AgID,Inc,Co,OwOReF,Sta,MidIn,NumCa,LNa,Ph,MarSta,CrRat,C,NuChil,A,Empl,NuCreCar,NWor
Hht7932,471714.0,United States of America,R,GA,,1.0,Hhtvg,1-121-752-0498,U,318.0,Allentown,5.0,89.0,MasterCard,9.0,523749.0
Cjg7933,373866.0,United States of America,R,Manitoba,,5.0,Cjgmk,1-419-724-9641,M,506.0,Riverside,4.0,91.0,Guess,1.0,2688676.0
Zpv7934,5853.0,United States of America,R,NC,,1.0,Zpvjcvyogaqpidqhxuxwknrxya,1-127-364-0489,S,619.0,Omaha,5.0,7.0,Zimmer Holdings,9.0,2808658.0
WEV7935,159711.0,United States of America,O,New Brunswick,u,5.0,WEVJFVZSRNGZBLJSIIQBXLZQZNDKK,1-999-797-0401,S,614.0,Tucson,3.0,,Scotts Miracle-Gro,7.0,2758259.0
Poh7936,299560.0,United States of America,O,Alberta,S,0.0,Pohgovabtsxaiamduinfdwixbl,1-561-951-8350,U,375.0,Macon,5.0,84.0,Jabil Circuit,5.0,2928920.0
Rkr7937,384975.0,United States of America,,VT,w,2.0,Rkroqdfcrdhm,1-545-257-1373,M,714.0,Atlanta,3.0,82.0,Biomet,9.0,3007587.0
RDA7938,231656.0,United States of America,O,Quebec,U,,RDAWYKIVCJQDEJFQHWN,1-786-471-6923,S,661.0,Salinas,0.0,94.0,Warner Music Group,2.0,1713014.0
ntv7939,141052.0,United States of America,O,CA,,3.0,ntvzpsfxhwsyxpltlc,1-295-114-1108,W,338.0,Savannah,1.0,34.0,Pep Boys,6.0,2751413.0
Vds7940,484382.0,United States of America,O,CA,J,3.0,Vdsofnvmqkryhbactojcgz,1-590-272-3005,M,374.0,Pembroke Pines,2.0,,CVS Caremark,0.0,3218756.0
yug7941,56526.0,United States of America,O,SD,K,1.0,yugjafrgxlpautprkkysdkeoemharx,1-711-129-7518,M,,Aurora,0.0,47.0,International Paper,1.0,402020.0
tef7942,37250.0,United States of America,O,FL,,2.0,tefjapnsbwwtznfzozkd,1-637-774-5956,M,545.0,Fort Collins,0.0,24.0,ABM Industries,1.0,2681790.0
VAQ7943,,United States of America,O,OR,l,3.0,VAQEZQMRSJKIMXLYDIGRCXL,1-848-267-8973,U,633.0,Frederick,4.0,2.0,Intuit,7.0,109559.0
kdz7944,181697.0,United States of America,O,British Columbia,H,4.0,kdzhyfehfz,1-269-725-9428,W,519.0,Huntsville,1.0,29.0,Avnet,4.0,891209.0
Sfl7945,36412.0,United States of America,O,WY,,1.0,Sflvvddkfg,1-485-719-7513,M,757.0,New Haven,1.0,40.0,Chevron,5.0,1712490.0
dvk7946,304183.0,,R,British Columbia,,0.0,dvkvcvmgsiuxdss,1-112-550-4761,S,634.0,Cincinnati,0.0,71.0,L-3 Communications,8.0,
szt7947,116425.0,United States of America,O,ME,,4.0,sztaoru,1-221-176-5784,U,633.0,Fort Worth,4.0,16.0,Olin,1.0,2942794.0
Mep7948,201188.0,United States of America,O,VA,X,0.0,Mepmpbddokfessxi,1-622-415-0229,W,564.0,Vancouver,1.0,,,7.0,2502907.0
Veq7949,6488.0,United States of America,O,Prince Edward Island,,2.0,Veqecgkojfdtrr,1-177-081-9596,M,562.0,Little Rock,2.0,29.0,Administaff,8.0,3411671.0
NBU7950,352785.0,United States of America,O,MD,P,3.0,NBUAQ,1-613-317-6920,U,698.0,Charlottetown,3.0,46.0,Pacific Life,9.0,2374063.0
usi7951,98403.0,United States of America,O,KY,C,3.0,usixjzgnbgprketqmuqvalk,1-425-168-8926,M,766.0,Iqaluit,3.0,71.0,Imation,3.0,2950394.0
lyi7952,193163.0,United States of America,O,VA,,0.0,lyisulvrmtakxjlcrzbniepngdgdgs,1-834-776-5359,M,715.0,Hilo,2.0,67.0,Burger King Holdings,1.0,1812351.0
Nxw7953,293740.0,United States of America,R,KS,,1.0,Nxwdpb,1-725-384-2416,D,778.0,Milwaukee,1.0,95.0,Rowan Cos.,5.0,2401369.0
Fkd7954,491432.0,Canada,O,KY,O,3.0,Fkdvusshhfdlurvcgajkiwduecvfo,1-683-708-8535,S,591.0,Hamilton,1.0,8.0,Susser Holdings,2.0,680974.0
Kom7955,300246.0,United States of America,R,NH,U,4.0,Komsojeljwpanmjeufy,1-634-619-6654,M,538.0,Austin,5.0,89.0,Cephalon,2.0,3928533.0
tll7956,499522.0,United States of America,O,IA,O,3.0,tllghgshlaacczyrijfvfhig,1-250-147-0365,S,775.0,Windsor,,41.0,Sprint Nextel,9.0,387652.0
Izc7957,261504.0,United States of America,U,IL,G,3.0,Izcbxzsfhkh,1-899-001-2403,M,843.0,Allentown,1.0,32.0,BJ Services,9.0,821584.0
WKX7958,,United States of America,,OR,,0.0,WKXOVR,,M,512.0,Fayetteville,3.0,87.0,Retail Ventures,10.0,1244071.0
WNO7959,338850.0,Canada,O,NM,,2.0,WNOCXFMRKUJOQZSNXVOVJPUZCXCK,1-589-125-1887,M,833.0,Montreal,0.0,92.0,American Eagle Outfitters,0.0,1189322.0
Kxm7960,322878.0,,U,NE,,2.0,Kxmnnrjsjcbmxbslqcsxtw,1-496-317-3058,M,400.0,Akron,2.0,83.0,Omnicom Group,0.0,3233142.0
VBK7961,344857.0,Canada,O,IA,E,3.0,VBKQCEJRJTKDOSOOSNFF,1-048-902-4918,S,754.0,Independence,3.0,73.0,Belk,8.0,1977072.0
MOW7962,326286.0,United States of America,R,KS,G,4.0,MOWBNSOUWPPJL,1-707-512-6428,S,738.0,San Jose,5.0,6.0,Intuit,8.0,2565062.0
Okv7963,258746.0,United States of America,O,ID,,2.0,Okvqft,1-755-429-0507,M,839.0,Sandy,4.0,73.0,Cooper Tire & Rubber,0.0,172431.0
Jnr7964,388720.0,Canada,O,Newfoundland,b,3.0,Jnrcuoo,1-226-695-4242,U,724.0,San Francisco,3.0,56.0,Toro,6.0,2735339.0
sld7965,397650.0,United States of America,O,VA,,1.0,sldgkcgfqpfpydzeqtqaaw,1-275-909-0362,D,770.0,Elizabeth,0.0,95.0,Helmerich & Payne,8.0,3273938.0
HTJ7966,138396.0,United States of America,O,TX,P,4.0,HTJTRSEJDKMVVLQRJPSFCRJ,1-339-141-9741,W,844.0,Reno,2.0,92.0,Centex,0.0,497721.0
Jah7967,278359.0,United States of America,O,WA,,1.0,Jahnzodkpghhmtdmijinjlzvxvu,1-401-115-6829,W,307.0,Simi Valley,0.0,62.0,Qualcomm,2.0,3397603.0
oce7968,36336.0,United States of America,R,RI,r,2.0,ocezyyodhewjsgxkaupfjely,,U,600.0,New York,2.0,80.0,,9.0,2320613.0
Gyg7969,210065.0,United States of America,U,WA,B,2.0,Gygpgtqpx,1-423-497-9642,M,843.0,Simi Valley,,42.0,Universal Health Services,6.0,3162291.0
Qwr7970,165145.0,United States of America,O,MT,,5.0,Qwrrnrvsnybhuvihlywkqfzaojcicu,1-667-132-0118,W,616.0,Coral Springs,0.0,45.0,Medtronic,7.0,2835719.0
Bpg7971,58218.0,United States of America,,NM,w,3.0,Bpgpfcq,,S,330.0,Bakersfield,1.0,63.0,Sally Beauty Holdings,4.0,1856955.0
MBQ7972,67777.0,United States of America,R,TN,,0.0,MBQWJAFTVDSNXZCWX,1-366-870-0408,U,444.0,Moreno Valley,0.0,35.0,SLM,4.0,228641.0
Qtn7973,39761.0,United States of America,O,NM,n,0.0,Qtnvdxyubqfxb,1-458-995-5122,M,595.0,San Bernardino,5.0,87.0,PNC Financial Services Group,,361584.0
aqr7974,129508.0,United States of America,R,ID,a,4.0,aqrpatoqyqkwwkuvrwxxidrnvag,1-233-397-4249,W,425.0,Ann Arbor,0.0,9.0,American Axle & Manufacturing,0.0,52012.0
QMU7975,137883.0,United States of America,O,NJ,o,5.0,QMUHYNUCXJERQXLDEJKKQENVAJAQCB,1-135-933-5159,M,396.0,Salem,0.0,1.0,IMS Health,8.0,2518827.0
Zbc7976,181746.0,,R,NH,,4.0,Zbcdtdrhqxbkmnd,1-431-497-0163,S,720.0,Louisville,0.0,58.0,C.H. Robinson Worldwide,6.0,
VHX7977,332881.0,Canada,O,SC,,3.0,VHXMMQBSVWPSEFMB,1-601-191-7044,U,656.0,Irving,0.0,58.0,Sprint Nextel,5.0,2028687.0
Rub7978,446723.0,United States of America,O,IN,c,5.0,Rubexgzukftyzkouj,1-137-179-7233,U,749.0,Saskatoon,2.0,20.0,Dentsply International,0.0,2903276.0
Bbh7979,307144.0,United States of America,O,KY,,5.0,Bbhptzsrbajmxpcqdznx,1-429-280-6110,U,584.0,Erie,3.0,92.0,Walt Disney,6.0,1055051.0
hyl7980,168863.0,United States of America,O,FL,F,5.0,hylxso,1-697-497-5231,,,Hartford,2.0,67.0,Aventine Renewable Energy,6.0,3490418.0
Eel7981,426083.0,United States of America,O,FL,,5.0,Eelnw,1-548-067-3818,S,613.0,Cleveland,,38.0,Supervalu,7.0,2367528.0
aen7982,435691.0,United States of America,O,KY,z,3.0,aenknkxrgpkbxwdld,1-013-355-4164,S,761.0,Allentown,3.0,39.0,Penn National Gaming,3.0,1843385.0
Mme7983,489399.0,United States of America,O,OH,,3.0,Mmeupcvwdgmqotrybnfqlsrpwtm,1-817-810-5742,U,498.0,Omaha,2.0,21.0,Supervalu,1.0,2453788.0
rnh7984,173047.0,United States of America,,AZ,,1.0,rnhfnydigxrpjgjbq,1-416-838-4692,D,500.0,Omaha,2.0,28.0,Dell,1.0,2846133.0
AMK7985,334169.0,United States of America,O,AR,k,,AMKKXEWBHR,1-487-500-1420,S,328.0,Idaho Falls,3.0,81.0,Citigroup,1.0,464486.0
Quw7986,415529.0,United States of America,O,NV,,,Quwlydwgttiauxmcxhxkomgxjiys,1-660-829-1708,U,549.0,Cedar Rapids,0.0,32.0,Hudson City Bancorp,1.0,3389791.0
RWC7987,74371.0,United States of America,O,IN,l,4.0,RWCKNX,1-192-498-2461,M,383.0,Simi Valley,5.0,92.0,SAIC,6.0,1069894.0
Ido7988,313315.0,United States of America,O,VT,,1.0,Idozbpnkbysomf,1-142-166-6504,M,318.0,Raleigh,4.0,51.0,Darden Restaurants,9.0,216883.0
USP7989,158974.0,United States of America,O,Newfoundland,a,2.0,USPWUSKZEWJQWLFCF,1-638-418-0655,S,656.0,Great Falls,0.0,70.0,Herman Miller,0.0,3624917.0
OQO7990,206128.0,United States of America,U,NC,M,1.0,OQOSDWKICQGZBGFDTIJFJVQDCWTRL,1-798-461-1441,M,389.0,Rochester,5.0,70.0,Automatic Data Processing,1.0,3338800.0
dnu7991,234045.0,United States of America,O,WA,t,0.0,dnuzcbgreffkbbbvpmsobyojakfzxz,1-331-218-0022,W,583.0,Naperville,1.0,54.0,Mohawk Industries,0.0,1156363.0
EXT7992,423527.0,United States of America,O,NJ,,3.0,EXTKIVMOKLHYQKBRCT,1-744-452-2641,D,408.0,San Jose,1.0,76.0,Questar,6.0,167904.0
OZM7993,386685.0,United States of America,O,UT,,0.0,OZMPLDCUTRNUVQULYLY,1-181-898-5778,S,715.0,Tacoma,2.0,100.0,Cypress Semiconductor,1.0,3720069.0
Djl7994,185313.0,United States of America,R,KS,f,4.0,Djlwkbbcsuqlmgtbcoodsugrdwh,1-045-510-7922,D,644.0,Jacksonville,3.0,99.0,Abercrombie & Fitch,0.0,2295922.0
YTU7995,121101.0,United States of America,O,AL,D,5.0,YTUBCXDBNQNWLUM,1-071-848-9400,M,378.0,Bridgeport,,98.0,Morgan Stanley,6.0,337666.0
QLF7996,92187.0,United States of America,O,NE,X,4.0,QLFPUYXVNODZPWKYOBI,1-961-299-1862,,841.0,Warren,5.0,64.0,Avis Budget Group,2.0,778019.0
zju7997,38552.0,Canada,U,NJ,Z,2.0,zjuqvzbdwjqmpfoipsuhlomwsukll,1-019-060-4384,D,,Tempe,0.0,63.0,Volt Information Sciences,5.0,305311.0
Oab7998,16691.0,United States of America,O,UT,E,5.0,Oabbfqqbqienbjnz,1-520-702-8601,M,747.0,North Las Vegas,5.0,55.0,VF,5.0,3080436.0
xve7999,120512.0,United States of America,O,WI,A,1.0,xveafagmbkhtvdi,1-563-081-3970,M,810.0,Lincoln,0.0,7.0,Urban Outfitters,4.0,2052565.0
EHZ8000,270139.0,United States of America,R,AZ,p,5.0,EHZCV,1-999-226-5168,S,368.0,Washington,0.0,,Lennar,1.0,
Lws8001,361164.0,United States of America,R,AL,I,3.0,Lwsqjsu,1-552-654-6988,M,676.0,Virginia Beach,5.0,26.0,Principal Financial,1.0,3462913.0
Jqs8002,342647.0,Canada,R,IN,,1.0,Jqsqpalivy,1-383-717-3914,M,505.0,Minneapolis,4.0,34.0,Piedmont Natural Gas,7.0,2613827.0
Mek8003,238810.0,United States of America,O,MD,d,2.0,Mekgcyxxonyfkwapfpjqczuwpniov,1-387-492-1802,W,771.0,Glendale,1.0,44.0,Sally Beauty Holdings,6.0,393637.0
Hfq8004,445985.0,United States of America,O,KS,z,3.0,Hfqlfbbkmiimtzjaohgiu,1-841-060-4968,M,713.0,Frederick,0.0,83.0,Armstrong World Industries,7.0,299040.0
Lft8005,15075.0,United States of America,O,Nova Scotia,,3.0,Lftdyjimoskrml,1-755-610-0722,M,708.0,Allentown,2.0,17.0,Parker Hannifin,7.0,3377834.0
VEQ8006,100336.0,United States of America,O,MI,,1.0,VEQIACJLOBHPJOBSDKWFM,1-891-655-0364,U,732.0,Washington,1.0,11.0,Northrop Grumman,5.0,1999428.0
Ljg8007,318321.0,United States of America,O,MT,L,1.0,Ljgjglivlmoxkqtuwiy,1-805-853-3528,D,794.0,Saskatoon,1.0,74.0,,5.0,770368.0
Qvc8008,51469.0,United States of America,U,MN,u,1.0,Qvcgtabliwdnzykbqx,1-715-849-1831,S,418.0,Lewiston,,96.0,Computer Sciences,2.0,3684933.0
XPF8009,383624.0,Canada,O,FL,,4.0,XPFEVPPUEMBLEKUH,1-710-070-8467,W,706.0,Peoria,0.0,4.0,Polo Ralph Lauren,3.0,501398.0
LDQ8010,241986.0,United States of America,O,MI,E,3.0,LDQGDUJBCGGOCCNFYDRQ,1-558-667-8933,M,767.0,Mobile,2.0,0.0,Toro,1.0,1868660.0
Frh8011,152859.0,,R,British Columbia,A,4.0,Frhzds,1-462-627-1683,M,698.0,Jersey City,1.0,2.0,Regions Financial,7.0,1613282.0
Mvu8012,332155.0,United States of America,R,MS,w,2.0,Mvuoujxermeqarcdssxjnrcs,1-946-850-1175,M,397.0,Worcester,3.0,14.0,Pep Boys,2.0,850716.0
Uqo8013,163191.0,United States of America,O,KS,,1.0,Uqoiimfh,,M,413.0,Provo,1.0,26.0,Calpine,0.0,2056567.0
SJB8014,413962.0,United States of America,O,WV,,4.0,SJBWZOHWKRCHEUHWOXAC,1-821-158-3797,S,787.0,Toledo,5.0,58.0,KAR Holdings,10.0,866588.0
cpe8015,190630.0,United States of America,O,OR,g,0.0,cpeweasobdnnqeseephekuosunqivb,1-724-439-5793,,399.0,Portland,4.0,76.0,,10.0,1062891.0
osl8016,,United States of America,O,IN,,3.0,osldoewghvfajlh,1-037-028-9797,U,675.0,Arlington,4.0,43.0,Merck,1.0,630650.0
Rto8017,364290.0,Canada,O,MN,,0.0,Rtolpe,1-472-312-5067,U,556.0,Washington,2.0,37.0,AMR,0.0,2417102.0
Rkt8018,,United States of America,R,NE,,0.0,Rktadm,1-468-691-5712,M,357.0,Inglewood,2.0,50.0,J.B. Hunt Transport Services,7.0,
EBS8019,13472.0,United States of America,O,AK,q,3.0,EBSSBRAPSRMIHRLHXLMI,1-664-475-4373,M,303.0,Mobile,3.0,69.0,Sysco,7.0,3556093.0
RAH8020,377276.0,United States of America,O,Manitoba,,1.0,RAHSFDTES,1-962-509-4844,W,645.0,Chattanooga,5.0,48.0,Northeast Utilities,1.0,481360.0
gpf8021,184783.0,United States of America,O,OK,,3.0,gpfugsdhyiaf,1-918-742-4297,S,,Aurora,0.0,33.0,Mattel,4.0,2121994.0
Uzp8022,339071.0,,O,NH,w,5.0,Uzphepqwkktazwjlakvdenoqqtok,1-589-877-6520,M,728.0,Austin,5.0,1.0,Universal Forest Products,1.0,1206934.0
LNI8023,168295.0,United States of America,O,Manitoba,u,4.0,LNIOJAFOCILZSXDNQWICAVUKHCHY,1-469-388-7767,,665.0,Jacksonville,2.0,1.0,PSS World Medical,8.0,1045226.0
PPT8024,461109.0,United States of America,,WY,Z,2.0,PPTIYNKBWFLMOXPXWVNEKXMUBSIXH,1-183-526-1691,M,833.0,Pueblo,3.0,14.0,ConAgra Foods,,697590.0
Ula8025,205545.0,Canada,O,NM,g,4.0,Ulasvakuipzgculmaedxunqobbfstf,1-769-218-0825,S,579.0,Chandler,4.0,13.0,,2.0,1411687.0
Kgc8026,153449.0,Canada,O,SC,A,3.0,Kgcxqldazawsankrs,1-896-771-1038,U,410.0,Columbia,0.0,19.0,W.R. Grace,1.0,3413890.0
Wfd8027,268590.0,United States of America,R,Alberta,,5.0,Wfdelivhudzvhatladrjups,1-011-030-4142,M,,Little Rock,1.0,88.0,Thor Industries,3.0,3940811.0
Lyh8028,456221.0,Canada,R,MS,,4.0,Lyhufytoq,1-099-288-5148,U,846.0,St. Johns,0.0,44.0,Enbridge Energy Partners,6.0,1181657.0
Aep8029,,United States of America,U,New Brunswick,,5.0,Aepdwmgfhxrrv,1-935-830-3336,M,488.0,Cedar Rapids,5.0,3.0,Key Energy Services,2.0,2410721.0
hdz8030,279973.0,United States of America,O,FL,E,0.0,hdzqxtjrsnglprujxvpgglww,1-711-331-7079,M,815.0,Salinas,2.0,45.0,Albemarle,,2181486.0
Rmk8032,176051.0,,R,Quebec,o,5.0,Rmkykafjvnhraabuwolzrkurwptuwx,1-949-869-4694,S,474.0,San Bernardino,1.0,10.0,Cummins,5.0,408166.0
HGJ8033,364876.0,,O,NE,A,1.0,HGJZUDODMRBBYAOCWFKHMZ,1-816-228-0366,S,693.0,San Bernardino,1.0,11.0,Arkansas Best,3.0,1433641.0
HDJ8034,67488.0,,O,MI,,1.0,HDJSJNXBZXSXZVTKUADMDFJJCOWSTY,1-848-925-3291,U,644.0,San Diego,5.0,48.0,Mutual Life Insurance,10.0,2954062.0
BRQ8035,37020.0,United States of America,O,VT,,1.0,BRQLUSDIY,1-185-642-9518,M,742.0,Escondido,0.0,35.0,Oil States International,,660532.0
Nhc8036,224282.0,United States of America,O,MO,,2.0,Nhcmzqghxansrscamavkaen,1-821-354-7214,M,583.0,Hilo,1.0,30.0,International Paper,8.0,1555614.0
rgx8037,164419.0,United States of America,O,Alberta,,4.0,rgxmtdkrbskibcdlk,1-423-173-6430,W,545.0,Pittsburgh,1.0,37.0,BE Aerospace,2.0,2563447.0
CAZ8038,150884.0,United States of America,O,MT,,3.0,CAZKXPVSVKNUL,1-020-405-1474,U,302.0,Columbia,3.0,74.0,IDT,0.0,1223944.0
tcx8039,26168.0,United States of America,R,ME,I,4.0,tcxxnwhtiohtaamrhkvlqbkckgnrf,1-701-846-5029,S,646.0,Pueblo,1.0,89.0,Schering-Plough,,1353587.0
Uzq8040,14182.0,United States of America,R,NH,,4.0,Uzqgdffiyqcbwftjsqaevdxz,1-380-069-8864,U,514.0,Great Falls,3.0,70.0,Chemtura,10.0,2571277.0
Qpo8041,311513.0,Canada,,VT,S,,Qpoauvlogbpfifzdfflitomvryhtm,1-133-263-9768,M,387.0,North Las Vegas,0.0,32.0,ArvinMeritor,8.0,928430.0
ZOT8042,382145.0,United States of America,O,NJ,,5.0,ZOTCPAWWUQSYBSKHSYXIEXDAEVCXSG,1-829-248-5554,M,564.0,Fargo,1.0,67.0,Laboratory Corp. of America,2.0,1674038.0
Zat8043,145398.0,United States of America,U,CO,,5.0,Zatilrxauxfxcwfoblyem,1-042-788-7719,D,697.0,Hollywood,1.0,10.0,Hershey,6.0,1515033.0
Owo8044,760.0,United States of America,O,Alberta,U,2.0,Owoycczzg,1-925-737-7759,D,398.0,Louisville,2.0,18.0,O'Reilly Automotive,10.0,3710958.0
Xmn8045,234083.0,United States of America,U,WI,,2.0,Xmnqpryftvpoqkguaeiiebes,1-751-937-4871,U,812.0,Irving,1.0,58.0,Nasdaq OMX Group,5.0,640918.0
Czn8046,368734.0,United States of America,,DC,q,1.0,Cznvrhlupdpqbtrp,1-811-592-5327,U,442.0,Hayward,2.0,2.0,UAL,2.0,2856426.0
Vri8047,153370.0,United States of America,R,LA,s,0.0,Vrixfjpxhicvasvbe,1-801-759-2877,S,610.0,Detroit,5.0,80.0,Lam Research,2.0,27261.0
Leo8048,421899.0,United States of America,O,IN,,5.0,Leountyxsesx,1-852-644-7809,M,542.0,Garland,0.0,61.0,Eagle Rock Energy Partners,2.0,2034896.0
qip8049,497123.0,United States of America,R,WV,,3.0,qipdgngdlehu,1-280-689-5854,M,621.0,Minneapolis,0.0,12.0,United Technologies,7.0,1101937.0
Ffr8050,282798.0,United States of America,O,VA,,4.0,Ffrusigygzildvhgevw,1-808-896-3924,M,498.0,Elizabeth,0.0,85.0,GMAC,3.0,2539495.0
Ymw8051,457615.0,United States of America,O,WY,,5.0,Ymwznnlmazqdjcyouzzpqkajfmk,1-681-432-5475,M,334.0,St. Johns,,99.0,Textron,9.0,3725194.0
Fhr8052,153419.0,United States of America,R,MA,,2.0,Fhrtlg,1-623-511-8227,M,681.0,Stockton,1.0,17.0,Pantry,3.0,343347.0
Ooh8053,,United States of America,O,SC,S,0.0,Oohpghzcfdsawgqqficbobflnd,1-762-498-5143,M,821.0,Knoxville,0.0,96.0,IAC/InterActiveCorp,4.0,2146476.0
Jek8054,204349.0,,O,MD,y,2.0,Jekswwujboq,1-220-496-6695,M,512.0,Los Angeles,5.0,32.0,BearingPoint,8.0,73734.0
mbc8055,466988.0,Canada,O,TX,,4.0,mbcfxdjl,1-674-945-7585,U,717.0,Phoenix,4.0,52.0,Tech Data,8.0,1380687.0
Aqs8056,340591.0,,O,FL,Z,1.0,Aqsuiuepdsgpnnfcugxhod,1-791-921-3989,W,553.0,Bellevue,5.0,64.0,Asbury Automotive Group,3.0,3262152.0
Shy8057,76426.0,United States of America,O,WI,I,5.0,Shyicmxzvlnufumbajs,1-963-009-3594,M,545.0,London,3.0,89.0,PPG Industries,9.0,2732465.0
Pzc8058,363857.0,United States of America,O,MO,,4.0,Pzcificsejeiupjrbwcy,1-602-991-0719,M,819.0,Rockford,5.0,38.0,Administaff,9.0,
Xim8059,294054.0,United States of America,O,VT,,3.0,Ximyjoakesvfdxevxjqdt,1-546-507-2743,S,555.0,Fairbanks,2.0,8.0,Kla-Tencor,6.0,657603.0
Otu8060,124933.0,United States of America,R,WA,,4.0,Otuegrmurwfstjayphmvdrwkrx,1-647-433-7355,,343.0,Fullerton,,23.0,Penn National Gaming,1.0,463379.0
Xql8061,139343.0,United States of America,O,Saskatchewan,o,4.0,Xqlepgtmunsmokqowvptxtzd,1-995-786-4727,S,669.0,Arlington,5.0,55.0,Chesapeake Energy,1.0,1498562.0
HKX8062,387803.0,United States of America,O,OH,,2.0,HKXXS,1-223-972-6600,M,814.0,Denver,4.0,23.0,,,2961070.0
Rif8063,283924.0,Canada,O,NV,,1.0,Rifjovgfdengdrzpxytvuqf,1-756-187-2805,U,689.0,Overland Park,0.0,38.0,Alexander & Baldwin,7.0,1378874.0
EFY8064,120662.0,,O,SC,,1.0,EFYAVVJVRS,1-268-756-9467,U,790.0,Oklahoma City,0.0,91.0,AmerisourceBergen,5.0,1564963.0
Jkc8065,7021.0,United States of America,R,OH,R,4.0,Jkcjhrenwebupynfphpdngtv,1-504-237-4451,U,423.0,Overland Park,5.0,34.0,Pantry,4.0,1517724.0
tke8066,18275.0,Canada,U,ND,,5.0,tkemnomcdjlnqvvenntludtup,1-938-687-0028,M,538.0,San Diego,5.0,90.0,Buckeye GP Holdings,10.0,3297172.0
HQN8067,338041.0,United States of America,O,Quebec,W,1.0,HQNGMTBSIKPEANCRONDFQBYFZ,1-415-995-7124,M,309.0,Chicago,0.0,33.0,Briggs & Stratton,2.0,917182.0
Nik8068,308124.0,United States of America,O,Saskatchewan,X,3.0,Nikbshivkkdsbskidusil,1-732-600-7028,M,470.0,Indianapolis,1.0,21.0,,3.0,2498089.0
Orb8069,154807.0,,R,Alberta,,5.0,Orbxhztymdefpakxi,1-628-134-8281,D,762.0,El Monte,3.0,78.0,Cimarex Energy,10.0,2566713.0
PPK8070,393376.0,United States of America,R,TN,K,5.0,PPKKLMIXILXJWAEFFCYXNIQW,1-279-541-1931,M,330.0,San Antonio,1.0,45.0,Republic Services,9.0,3661813.0
Kyl8071,360634.0,United States of America,O,NV,,0.0,Kyltdoratcassgsomzkicnnm,1-345-928-4728,W,569.0,Cedar Rapids,4.0,11.0,Omnicare,7.0,576097.0
tnz8072,431106.0,Canada,O,AK,,0.0,tnzknqsnpkmoyxgalpxov,1-167-029-6203,D,794.0,Beaumont,1.0,63.0,Fortune Brands,3.0,1537561.0
ANY8073,284259.0,Canada,O,AZ,y,2.0,ANYPDRXJJRUSKAOXQYISGXBI,1-591-579-8474,W,666.0,Kansas City,3.0,68.0,Donaldson,6.0,2875194.0
Npb8074,453974.0,United States of America,U,TN,b,2.0,Npbep,1-061-431-9407,U,366.0,Oakland,1.0,0.0,FPL Group,9.0,3846756.0
Hhg8075,229733.0,,O,MO,,4.0,Hhgndxg,1-739-740-6139,S,668.0,Santa Clarita,2.0,74.0,Berry Plastics,3.0,1535308.0
LEY8076,130928.0,United States of America,O,VT,,2.0,LEYMSVECEPUOBXENJRI,1-981-776-0112,M,415.0,Pembroke Pines,4.0,13.0,Sealed Air,7.0,2520114.0
exj8077,284486.0,Canada,O,IN,O,2.0,exjyxklbatcpwrajoarwcciaeqmea,1-483-110-5570,,544.0,Omaha,5.0,62.0,Republic Services,0.0,1263068.0
Wqo8078,398521.0,Canada,U,Ontario,,3.0,Wqoittkgjqilmoriznlsrgxf,1-214-850-8638,M,514.0,San Antonio,2.0,6.0,National Fuel Gas,4.0,576860.0
wcx8079,344423.0,United States of America,O,NC,M,5.0,wcxvqtaqvgfupyrgi,1-171-206-0394,D,617.0,Elizabeth,3.0,38.0,United Rentals,10.0,
vhh8080,22578.0,United States of America,U,New Brunswick,n,2.0,vhhnjsdgv,1-163-349-4895,S,602.0,Yonkers,,64.0,Lithia Motors,3.0,867762.0
Jfu8081,216152.0,Canada,U,Saskatchewan,,0.0,Jfushgmtutwilhtbs,1-573-614-3825,S,434.0,Worcester,1.0,27.0,Liberty Media,7.0,3517709.0
BRA8082,254254.0,United States of America,R,CO,,2.0,BRAGKSHU,1-981-184-4237,S,410.0,Charlotte,3.0,,Crane,10.0,789993.0
eam8083,238063.0,United States of America,O,MT,s,3.0,eamqtjribmnohrqxslnuyzih,1-782-265-1918,W,495.0,Huntington Beach,2.0,49.0,Auto-Owners Insurance,0.0,2573032.0
AEW8084,95261.0,United States of America,R,KS,H,3.0,AEWWHTMKNNJHVABFWZBH,1-921-965-2114,M,429.0,San Jose,,37.0,Cliffs Natural Resources,1.0,74624.0
Wvj8085,171907.0,United States of America,O,IL,v,0.0,Wvjlskoytguobwnjqua,1-125-065-7159,M,382.0,Edmonton,4.0,100.0,Biomet,3.0,1331048.0
Ajq8086,58285.0,United States of America,O,DC,,3.0,Ajqmzhfcnlgvspdewexcgnkab,1-969-454-0562,M,458.0,Santa Rosa,3.0,77.0,Penske Automotive Group,9.0,2961777.0
Npg8087,450122.0,United States of America,R,NY,B,5.0,Npgcy,1-116-081-8170,M,395.0,Winnipeg,1.0,77.0,Unisys,10.0,1014724.0
Wyc8088,189975.0,Canada,,NM,,3.0,Wyczf,1-395-439-2231,S,393.0,Chandler,5.0,9.0,Beacon Roofing Supply,1.0,175998.0
Ddj8089,131586.0,United States of America,O,Alberta,K,2.0,Ddjkjobsbjwlzbx,1-665-574-6764,U,569.0,Nashua,3.0,14.0,Kraft Foods,3.0,1603482.0
