Sta,Cou,A,NuCa,PosCo,CrRat,OwORF,In,FirNa,NumChi,AddrLi2,AgID,NumCreCar,C,NeWor,Ph,LN,MiIni,Gen,AddLi1,MariSta,Em
AL,United States of America,27.0,3.0,Kcvlqlscqifg,533.0,R,146666.0,KPBOUAO,2.0,rxiwcmawvmtpnvctqcxlcgcpvm,imi8200,8.0,Oxnard,3600396.0,1-614-453-6661,imiphygkuweehyoix,,,Bmvdjsuslkrwjevbaqsvctqucigpanrjuazmqxdilvfzybzqecqkkmqjycr,D,MetLife
British Columbia,Canada,56.0,3.0,Bpsbdnduogp,802.0,U,384125.0,clcslkujjlmjhvqrdfsjsb,2.0,Xbrrmnkiiqxzxexxqgeka,Lmf8201,2.0,El Monte,2441258.0,1-121-346-6384,Lmftqgcwhht,t,m,Xqcnypuosloykfxjlneotgrlspkhw,W,Teledyne Technologies
WY,United States of America,39.0,0.0,Ievkjfwfisop,509.0,O,338664.0,Qipyasl,1.0,Jpyjrtcbpjcbofaz,WWC8202,4.0,Glendale,2117405.0,1-154-819-1355,WWCCV,,M,PTPNMORFZIEP,W,Auto-Owners Insurance
Prince Edward Island,United States of America,55.0,1.0,Tqczrwtvsu,828.0,O,254827.0,rntlqjspsjcckmemmnslmh,,Nscrq,Nad8203,9.0,Lafayette,773721.0,1-090-640-7428,Nadsywhryevzxofldwanwszpvkooy,r,,Divfttevdyapvsnpxhleh,D,Dillard's
ND,United States of America,86.0,5.0,RGQPN,768.0,O,447298.0,Oydiawnouspsflnnwulj,1.0,Oqwbrxinohuboqewgrqryfiupblfj,Tqz8204,10.0,Salinas,1023774.0,1-335-781-8696,Tqzpc,L,,,,Energizer Holdings
NY,United States of America,67.0,4.0,CEEBXOC,583.0,O,464063.0,Ahlgftiwnnkmjayugygdvlqklgcb,4.0,eutwwmcynehummiqs,Pcx8205,7.0,Anaheim,3692883.0,,Pcxzcfjkolhwkqogtllwbaaauar,U,m,MQUFKIQUGLNNWLDJLAHJNSXAOXAEYDKINEWPDDYCQRPBTWHUIZJHQSLZEIJTUPAIJJFJKHMW,M,AGL Resources
HI,United States of America,36.0,1.0,QEDCUPBG,621.0,O,405372.0,Qjdqu,,Ynflzmgrjitreylqmscwdvhq,Dth8206,4.0,Chesapeake,2853195.0,1-943-942-3078,Dthggg,,,Lorfuokapjyovztxytgtdgtreitmcbwiznunfdcvhifyqlwocekdpoksrluqmccxf,,
AK,Canada,89.0,0.0,Hlemnp,448.0,O,62455.0,WBNDRAKMYZVRITOMVNGPE,1.0,Bwkxkbknywmrqxhxpzwjhvsppqjgmvlj,EQO8207,5.0,Modesto,1697107.0,1-001-681-0348,EQOAJPFINCJJFODKVNCID,,F,Urjuzpteplcfvdjvcpddvqpzbpkxaavaqpynuislthojwexu,U,Core-Mark Holding
WY,Canada,87.0,1.0,,420.0,U,399849.0,Rstvrlsxkodythdwpgt,4.0,Lnxssyxrqujvg,Idi8208,8.0,Rochester,391124.0,1-261-211-3400,Idiufwrrpwhprckckbhm,o,F,Yefknlntrwefsbkciaphtgsmdfxerccbffmwmmsmpotxgfktwsvnzjp,M,StanCorp Financial
NV,United States of America,18.0,2.0,zouxtepig,791.0,U,162461.0,Qgmbfdkadqhdfckftbiskkdlwdhy,0.0,Fhwjxisatcmlwawmvlxlrdqjuezntcoxyihgbjmsxpcqfunndkycioobupytnxqlsftwpf,Xyt8209,3.0,Lansing,2910503.0,1-804-913-4361,Xytlkj,,,Jovwwjbjfqvhyhuydlravowqshoowvnbeysqy,S,Las Vegas Sands
Saskatchewan,Canada,53.0,1.0,Ckwaeqo,371.0,O,163926.0,Vblyhfikhvwtgg,3.0,jtaqdgcteazkiictztypdbvekllzuiutvhcotopxmtdgdbupdjh,xyi8210,3.0,West Covina,2591538.0,1-602-704-9589,xyifmljhovcgsohwapvhg,,,PIZONFPTOGOHTLEXTGBKWOAQ,W,Acuity Brands
MA,United States of America,46.0,3.0,PIQJHCDBVOV,,O,208474.0,sejqlp,4.0,mamfigkqjfmkbiktstggoxntjnurhugrmxibsnxrfrhcybsekikpbrvfigscvnabs,Exu8211,8.0,Santa Ana,2809880.0,1-038-387-0439,Exuagn,,,Twndurtodjolskadcvmfxsdzwaihewe,S,Genworth Financial
ND,United States of America,3.0,0.0,Bpfta,402.0,O,39456.0,PQWTUXPXDUA,3.0,Zjtstevleqvpcgyh,kzj8212,1.0,Milwaukee,3306870.0,1-870-355-3897,kzjpwidx,,M,GIULDRUDBZ,U,NTK Holdings
AR,United States of America,7.0,3.0,,,R,494350.0,Oxjcponugursaznhdxrqxditlxm,4.0,IIEVPKUCALOJYMWWEGGBXDNBPLUW,YSU8213,0.0,Allentown,3723482.0,1-296-876-0053,YSUJXSZJLWSTDXIMPSDPGATNREMO,T,,Jqyxjycytgijutjizkufkmsyavseckl,M,Spartan Stores
IL,United States of America,44.0,,Xrqzcmaoqfvi,473.0,O,341454.0,Uhasfhugxokmwwweir,1.0,XXOLEGWPGWAUBHQWMCBBOKDNUP,Cos8214,9.0,Provo,789890.0,1-303-166-3207,Cosyxqfrwdf,Q,f,Tsjhuwcqwtbzmcunpwnsjywcqzrvfudidkuebebhkrmi,S,HNI
Newfoundland,United States of America,12.0,3.0,Bkusa,743.0,O,122477.0,Avamsoppkhcgzuqtdfqcb,1.0,Vbsksvanuvjojploofwpojnooypdiccxrxhsmf,FRJ8215,7.0,Los Angeles,2886430.0,1-737-247-0619,FRJYWWFBOTOXPM,y,F,Ugakrzohprguzxqyyldtnxotkaiuqwqkspemfalmdztqrijfoeojwlfak,S,Williams
OH,United States of America,92.0,1.0,Cuoeykmp,404.0,R,162234.0,nnnrubuanuoqhp,3.0,ryxvbnyenqrhhz,Vbk8216,0.0,Brownsville,3066721.0,1-071-444-5129,Vbkiqizjxmcgdfemxjtdqolgtd,,F,SOKXLAJSZIGDVCEOCJKNRNAQLMCPTQRMIIMJFFVPHHIDINXTMATTVRHODOGQPWKPSOS,M,eBay
MO,United States of America,51.0,0.0,PTTKRUYXES,681.0,O,193222.0,Ccyliytexfjkfqrik,1.0,pprntdwtclzukopitwicmzxbmqbtqsitlaqfztssofiepgzlmeppotmwulzojhy,Zsg8217,7.0,Newport News,872916.0,1-573-874-6141,Zsgqcrdlttb,e,F,vzknfgltnqfwkvbpstnljtnqlforxswxgilexpgmmmwuwydaokjnmnchzecwijlrvvybvtfrvil,M,YRC Worldwide
IA,United States of America,79.0,0.0,TUREXJHVT,554.0,O,299743.0,Drlfgwkjyikwhisyggeudjquntp,3.0,nwqohmfvebrfslbiwowiclxmchnmhzwbbcmkwnqkogudpowssoajwqdpxybl,bcw8218,0.0,New York,354979.0,1-074-853-1368,bcwmgcq,B,,WSHNRMYKEYHACABHNIFWLWIQVXYOEFQSZEFWKFRZKIQQWYFBSNOAXEHJBFAIWAUAPROYSKHWJJGZH,M,Ford Motor
Prince Edward Island,United States of America,81.0,5.0,Udjrglip,691.0,O,87508.0,edtmttbv,5.0,PDAKHWMLGLFBEQIAPWJHQXCEUFZLQFKGVFRVACNMDKWRSIEWVUZAZHPDYSOKSAOB,Sad8219,4.0,Columbus,451259.0,,Sadmehgqditjcdlowcn,,f,Tdyiniwcgcgwzgwdp,M,Xcel Energy
Alberta,United States of America,39.0,,HLEVVUMYTEWX,456.0,O,,Tuupugqczlavoopi,1.0,Yfmpaauyntgefhthilpcclmutfof,gdy8220,2.0,Fairbanks,1210004.0,1-461-637-6649,gdyvjrqdaxbzjixbnz,v,M,Qeywshuncdiitvgsbtrdhfdh,M,Watson Pharmaceuticals
WA,United States of America,9.0,0.0,Duljoufuzjne,592.0,O,472544.0,Fggsufnkfmelvgyjkezrlnswoddtd,1.0,Hzwgeuyewqesokomfolswmauewecpjzezakc,Skw8221,6.0,Sandy,827501.0,1-569-602-1277,Skwqmwneikpvxrrklribfdu,,,Hnrjwxmnzkofwakbzllpscttsisqsjwktwxyokbeokiarmnqnagmcnljiyhc,W,Plains All American Pipeline
CO,United States of America,85.0,3.0,Vooyvfr,811.0,,172339.0,Qgnblafndsz,0.0,Auyknnqfqtneflcnnphpdehadcwbyfduqlfytduyugtgjqapqwbrmfspntofyuvuu,Iin8222,4.0,Chicago,1214585.0,1-439-765-3706,Iinztqwawakcj,P,M,Cfdaicehpmfnvytumdvvqlcsxjeoj,M,D.R. Horton
ND,United States of America,95.0,3.0,,,O,222389.0,Qowjjoagmlkgoshfxchschihp,4.0,ENASYGRXPNWTLWMIVDRFRJOGIWXVDBJGFXKEMCPYLCYVDJQKRAWIPPOB,Hvx8223,,Pittsburgh,1626041.0,1-246-017-9030,Hvxvrt,H,e,IEOKOAZEMVKLR,S,MetroPCS Communications
British Columbia,United States of America,19.0,1.0,,,R,96828.0,SDNYFRMGERF,3.0,yfahrrnndgvrzasbkoi,WMQ8224,9.0,Toronto,1664278.0,1-923-307-7682,WMQJYMBR,,,Ngzyyxzvzpmtiyrijjtjaqveirkzvefqcokakdcejmyrseknbvmpdsnlsvbnlukcuoyttqcq,W,Comcast
MS,United States of America,17.0,5.0,Hmugnutvjkv,476.0,O,331955.0,Jrpdxslsjaitcgbgje,2.0,Vdcqznh,Kpx8225,0.0,Santa Clara,3621441.0,1-752-166-6659,Kpxlgmpxzalxmsujieydcr,,,DZQFIGQMMFFJWGKUEQVYMOPSNFDPLRTVIBVBZHIQZMFIUYNIPWQEI,W,ConAgra Foods
OK,United States of America,59.0,0.0,Irvnsknl,512.0,U,317773.0,FOKCITVXMQORYEKOSC,5.0,XMAJHTNDZJS,VPV8226,6.0,Missoula,1736086.0,1-320-563-0473,VPVOMENUIKOEOQJZDLJNSTXGSZJOGG,,M,UCBMAKLAMEIIIIQNJEUIGONKEMQEAJFPYIUTPSBVWLZHFAYH,M,RadioShack
Ontario,Canada,97.0,1.0,BRXENPDOEB,693.0,O,194250.0,ldqwbgqddxwvlrqcgveoallj,3.0,Qeorvdogtaehzvrifgvmmdy,VYM8227,8.0,Quebec,1253712.0,1-321-306-1431,VYMZFCRIRUE,,M,Hzqfmfqgziqbhpviudjvhjpbxfgaxulszeiynftjuzzt,M,CF Industries Holdings
KY,United States of America,45.0,0.0,Anarmyrl,623.0,O,91558.0,jiafttrkfdfxej,4.0,vxomuiajqtiqlhyoefyiusu,Mgi8228,5.0,Mesa,58913.0,1-052-095-8041,Mgiarpfrvqbrtp,H,f,Peidcp,S,
IA,United States of America,54.0,4.0,Ognny,622.0,O,422839.0,Xjpevbukikogxjgdbr,2.0,,Gbw8229,3.0,Santa Ana,1999815.0,,Gbweeigts,K,,Nqtlvgdddcynuhmwxuapofqeymfzqvjeafplewkkvgariuukififojkemkqii,U,Teleflex
Saskatchewan,United States of America,17.0,4.0,dvzouz,750.0,O,239411.0,Vnaxqiqgvgtolwihahbmijjjssio,5.0,Rgdmwnspyuuloagwnqjfojsxqsymvtitoeouazyrjl,qma8230,2.0,Oklahoma City,896850.0,1-052-009-5616,qmaoxucwmafgpgxbv,,,,,Sigma-Aldrich
Alberta,United States of America,72.0,0.0,Clstl,686.0,R,444526.0,Yucdkwkaralraloiw,5.0,vqxrxqaxtnnpxyefflybhmuhzhlmjxebuuoljmojxmusdvbpmwc,Zwk8231,6.0,London,3240804.0,1-170-960-9109,Zwkgytc,c,,Impnsqvntocfwobhnrabjgivkawepwfqj,M,Steelcase
KS,United States of America,5.0,2.0,Iypwb,648.0,O,202486.0,Fqsgea,3.0,WPSLKXVDQIFUZSCHFFJFQWNPFPZJXNVMXMOJKAAGCCOGRXDPWPLMWCDRMHMBPTENV,NMP8232,9.0,Grand Rapids,2554609.0,1-847-755-5040,NMPAZTBOQLEQMNHMBTGSWXSCHTBWVD,,f,MTFHVPATTDXCOMTJEDZYVDIOQYKHMVALOZSRSPUOPDNKTHOTIFWREBNN,M,FirstEnergy
WY,United States of America,56.0,2.0,Kqntlxhvz,499.0,O,68361.0,WFTFLQLUQACPIMSSGEGWOL,0.0,Mgpnkjinxuzhjeligpebxhpxxbiuycmacrzkebuevwsjjlfsvususcsmdvpg,GTD8233,9.0,Colorado Springs,988258.0,1-224-955-2425,GTDBAXQJFWSEVNYATGBEOW,a,,Ynagcrismpmdzuiqhbviaeszgaswicwkwhbeflfyqmyzbcckhgbsomapheahuwhzlth,D,Affiliated Computer Services
Saskatchewan,United States of America,2.0,4.0,YQVNVGI,682.0,O,158060.0,aqrcqagkmchehta,2.0,Slxjqewoxozjaudqjdmhkdobzjxpoojdsafjduscvmodtmpowfxdldkolm,Bic8234,0.0,Iqaluit,1873895.0,1-292-360-1691,Bicyrvktfccwcjh,,,udxfegumntghjpjmbvdacqwwvcsvudetqvegkrpl,M,Cytec Industries
VT,United States of America,,4.0,rgnle,561.0,O,175529.0,gaekbxp,3.0,tjqojnmkfaffqzrsbsiyractihgysfwfqugnhmbejjrrepkncngoi,IDA8235,2.0,San Buenaventura,2357669.0,1-991-535-2419,IDANLHDUTRTCXOSLH,y,f,,M,News Corp.
ME,United States of America,,1.0,Imvcaq,679.0,O,200101.0,Odtqpljvpmhyaewcriuansipstghd,0.0,izupcnuofnterqg,lwk8236,5.0,Torrance,1038657.0,1-399-636-9496,lwklmrwvnmg,y,,DXRKBQCJKBRSTIZU,S,Discovery Communications
NC,United States of America,88.0,0.0,Yibnrsiehvke,495.0,O,384042.0,eetamvoamhvhxbftt,2.0,hglbpcxy,Zht8237,1.0,Sunnyvale,1104168.0,1-111-488-6975,Zhtutvmvpcdvoziznvoqa,,f,rjwfufufmcghvsewqsxbqdjxtrjqckx,S,"Toys ""R"" Us"
MI,United States of America,35.0,4.0,Kxcfvm,801.0,R,398456.0,errpyy,2.0,Mygphp,kcg8238,8.0,Boston,3238082.0,1-153-902-5023,kcgbophjwhglqgbovhjbbceak,,m,Jjbiifckdzsbjpeuorvoxlipxsghewlsapwcmvereoqeovdxmvwmvqjadzmlasiuopdggwpqnhwo,W,Hexion Specialty Chemicals
ND,United States of America,54.0,5.0,yzsipr,611.0,,161310.0,Foxlmlxnaoopwiytqiumpp,3.0,,Qtq8239,8.0,Montreal,2417935.0,1-225-117-5803,Qtqygefcbitzk,N,,wxemwwasopexvzhfoslaxefenrxwsntzejbdhnpndekhubtinpmvxirvdpslurivmoz,U,Trinity Industries
WY,United States of America,72.0,0.0,Drlqq,525.0,R,322139.0,Nralbmee,1.0,BPNZHCVEEBTUTJHXMGANTPPYDMUTKVMJDXFKALDPHAVUEVUHZWMHNAZSROWQZ,SNX8240,6.0,Warren,2714291.0,,SNXKNTIRANDVNKXS,L,,CTBMNRKZKYIOGEOJRVRQGUE,M,Applied Biosystems
IN,Canada,68.0,5.0,epuab,805.0,U,379425.0,Itbaluqrdzaogxymgbny,3.0,Zstbujqdzotfwngrkautshzcpbnjotfersizpxpmzdr,umw8241,10.0,Charlotte,1200283.0,1-812-389-6366,umwpvofddlxhmtvar,,,IVITWNZ,S,PerkinElmer
Prince Edward Island,United States of America,2.0,5.0,OTHPEOWY,508.0,R,449935.0,Tjptfgw,4.0,Erplrnpqbjvtgqlqfohhccellozggsfkahnfo,Kdu8242,6.0,Macon,3904614.0,1-048-272-4247,Kdujtpq,D,M,mdaiilpcpaposswtmjvyhutynonncjflomkkekwbmtcupnkgacpgigsknwinxzkkuysjrpmexs,S,FMC Technologies
Ontario,United States of America,79.0,0.0,wanarqvjjiy,490.0,O,388691.0,WTLQZTRCUTYNIXP,3.0,Xheqkwdgwuxjmwoqelyqvsxormkqhiukggsewzfplcktnewbhighmdgwuxucf,Voq8243,7.0,Waco,2821487.0,1-501-508-6157,Voqzuedberysnlkjtavrbkwnwp,q,f,mdwmgllbqxvcbdizfrjjetnytvsntdflwzdjeonmphtgaqdigmiqhkumwjtlwbvrhhbthpcijzhsvrou,M,StanCorp Financial
VT,Canada,,1.0,cknwfvnusq,510.0,R,342163.0,NPHTOYFJMENHCQYF,0.0,LYIMHAMNIKAETKQXVVUBLAPXUHWFVVVQRGTAUWJUEFAVIJJKPNPSZOBDOODHHTA,gga8244,6.0,Wilmington,1237889.0,1-336-477-4646,ggaxhjcopqdnoakdklpbjhl,R,M,,M,Gilead Sciences
FL,United States of America,89.0,3.0,YWWBFVXMH,761.0,O,368434.0,Hlqfwcocwn,1.0,,OHZ8245,3.0,Baltimore,1753222.0,1-474-720-6190,OHZXBCCGHGDOTLBFOFDXYBUJPOR,E,,Hvinftrtmhiqhtioplrkitqu,U,Carlisle
NM,United States of America,86.0,3.0,Gaaiy,639.0,U,468239.0,VZVRHKKDE,1.0,uwgsicoypkbccoobmocjeqqplhrxckxdirzdafbcljxlmzqvayiqxkhlnjzbzbxexgbk,XKK8246,9.0,Bellevue,929818.0,1-799-030-5417,XKKGJNUBOELKBXHLZJAKIKL,V,,Gvhvhhd,M,US Airways Group
VA,United States of America,45.0,4.0,SDXFPS,375.0,O,376227.0,Bztunhjcroefgumpyxghaqyw,5.0,RQXMPRNJHHMZSWDGROPANMFRLXWYDLTJEGGZDUTCXWDJCIO,Btx8247,,Hilo,3936166.0,1-712-712-1689,Btxtq,E,F,pjbesxitsmdditkhzvqrurucduhaoiglzwjrgjblakwxtdmxmjdlescqfqf,U,Steelcase
IA,Canada,17.0,5.0,Jsstotteua,410.0,O,84005.0,Pokarfduavw,2.0,klqmyddzngmmadgmfxowol,Ihd8248,8.0,Ann Arbor,3874282.0,1-735-098-2967,Ihdfhvujxlsuyjhmbztnv,,f,Esssiazilfxsczhuobobfslsdbxsycyerymlawdmoqgdijc,U,Las Vegas Sands
FL,United States of America,51.0,0.0,jefmmjvjn,567.0,O,324715.0,Jxtojmbvnhhddtscesee,1.0,Yajcjjcvazigtmatqgtkkwsxdxshensagmjoofgrzgdepfebmoofmstosvvgscslabzalaee,Axh8249,4.0,Shreveport,667415.0,1-268-546-4849,Axhcysfdsrdbpego,,,YTMBDNFVPKITIUWUXBFCJVMWLNCYPJIARWJWBLDIHPVUKFP,M,Discover Financial Services
Quebec,United States of America,34.0,1.0,Zyhigafqb,338.0,O,251835.0,BDDWRAXICYTMHVTSDVR,5.0,EXYHGGCOHCCBRQTEUWUMVAWOFVNSSUJZYAWCIDKBYLFPWMEHAVXVODAJHZZOOQITSCBRBCNAVJRS,jyx8250,6.0,Warwick,3919924.0,1-252-339-9310,jyxuaofoqmcwcqobb,,,sxdqqllyptpbksuvfvaldxqpjyvpnqeibrmsmesvthfdavliasjljudcuvdsscbl,M,Cummins
MS,United States of America,15.0,5.0,Vvlqiw,328.0,O,337799.0,hcmaebyzjvrc,3.0,rbiscxmdivmmarzxyiewihjmgujeuaiilhtvbzbhaouas,Jir8251,1.0,Vancouver,3029241.0,1-558-469-8699,Jiresqzgxvqthohlhhbvaal,,m,Sugjnnmp,S,Unified Grocers
VA,United States of America,77.0,3.0,Ulxccizgae,461.0,O,226214.0,Ucvhmofoxyrlms,1.0,rdqsqerhxf,nbh8252,8.0,Wichita,2706929.0,1-529-039-7160,nbhzhbtidw,r,F,FEIXPHQQKQWYPRNKILXNGSWCRMBBZRVKOEAVGXHSMAYQOJIFMSJTTZDTJZQQPFATXVWLUAB,M,Liberty Mutual Insurance Group
NY,,50.0,2.0,DQWEMHMSBLS,720.0,O,248844.0,WJYKUMONVEGRJHUUWOFKFJUQ,4.0,GBJDHBDSVCPV,Gbd8253,4.0,Topeka,3588909.0,1-149-127-7299,Gbdlkerocaqwjdzjeikpnabopqx,,,AGNMOTVSPCDMSXDPMPBBWREZYRKPKQQLJRAMHAFYLZWONHQTAHPOKKKOJJRFCOYIRUJRHERKY,W,United Services Automobile
LA,United States of America,98.0,0.0,IARALD,697.0,O,467894.0,NWWSVMUKWGSKPNBTGZRECQIULSSZ,2.0,,Gji8254,2.0,Buffalo,3208555.0,1-548-271-6193,Gjipmgvft,y,,xisktpstmyefdtwqdjxsvuuuirbwobezfgonrkcqmsksqvwortijbhqtx,M,
AR,United States of America,81.0,4.0,QWHBINPPSWW,426.0,O,,Tgpjnwmhumabgymoxidjn,2.0,Mckheqokahzouewmmaiqtjpvrytjizesrtozcpikkriikvtqpqeqiofghjtaivzmqaiwkdhcguxafm,MRJ8255,10.0,Garland,3859308.0,1-959-002-8858,MRJYKEH,,,Vagaczbmlaahkipyxsnsobzweizqfooaxqizibhchavywgtbymhspcsxpmwjfgbxlfv,W,Mattel
Prince Edward Island,United States of America,29.0,3.0,dfndhhvga,412.0,U,309563.0,xsbuyngvvbisozvnjqnbodl,,KWKLVJZCLS,Qev8256,3.0,Scottsdale,2372347.0,1-790-570-3402,Qevocooirnrcsqrrtapbiyrtwcmuoy,,,ZUCMSNQZOOLGFBBYVTZYJKTBZGTLGHWKUPCJFLWEBZESQAORIXZQVFRRPFRIRCREXBXZSUM,M,Church & Dwight
IA,United States of America,61.0,4.0,Tdzgiw,589.0,O,23737.0,Jnlzmjcwkpemyymlh,4.0,Lbmoxxwmwwplpbanwocdvncpwburutwqlfrkzsxuahforhdhheryerxjcvovihtvhtcijboxvmoe,REX8257,10.0,Anchorage,2547185.0,1-459-573-8675,REXWTZAEUMPFEFTB,J,,Flcxzhoiwdrwxwvdngllihdlywqvupwsprqlrwuioswooo,M,Mohawk Industries
OH,Canada,23.0,0.0,mgetjpc,832.0,U,84510.0,wkdvxre,2.0,Ctvtlvpzksrkrpdchobcogaexwqbqbydwsfmclhevgtmg,Shz8258,0.0,Kansas City,2397440.0,1-736-284-7347,Shzyzlgofcyxgokctdfptuskal,,m,Aihixnpbkmigawwuvrrohhof,M,Vishay Intertechnology
Saskatchewan,United States of America,34.0,1.0,TINZY,,,62462.0,Pghxkpvmgykhhswgu,4.0,xpsnmdnyvuadlrqlbfckxumlctbljhdlzvuzlrtmevkcat,Ibx8259,8.0,Colorado Springs,1278208.0,1-413-543-7562,Ibxttzkpxtz,g,M,oaahpkhopatcjubnvuhdvmwzuz,M,Hanesbrands
SD,United States of America,91.0,5.0,RKPWYO,766.0,R,259950.0,dzohpfyrblsidtjngmxlrordkq,3.0,,Srz8260,0.0,Fairbanks,1657447.0,1-086-431-7246,Srzzksnhzumy,I,f,wamapqtqjwntsaignftghcmqqoqnanlbgwobwbkifremhvxjrhlafc,M,ConocoPhillips
NC,Canada,90.0,5.0,Jstovqqiv,508.0,O,177982.0,Mqwcfyiprvsirchhacxorh,5.0,GJNVQCTEZASJWNZYGKHVRYZFDXHZWBFWM,FLL8261,3.0,Inglewood,3306301.0,1-385-146-8140,FLLHKIIZAZHRICLTIT,,,OAEMFJZOEQACUMFJIHZNTSQPZSDBARA,M,Clorox
VT,United States of America,99.0,1.0,WIVOEI,744.0,O,399867.0,renxmtwbgbeli,5.0,fbpgbzxivlrfpbfieerezohtxxjdvejbzokmaftqqexxxhhtgteyfxwbkgunfqz,foq8262,5.0,Fresno,3114013.0,1-555-884-4350,foqinya,A,M,Ozlaiqbxxwbwbjuvpiqfjhxyahzexbytgejyuczrfzgjribshcoxqt,S,Mutual of America Life
CA,,94.0,0.0,ZHRQLGKHVJH,569.0,,197976.0,ZAWCSPHUSBYDJBYU,0.0,Kxsqsnmuqegjx,wsz8263,5.0,Quebec,1628599.0,1-747-411-6701,wszqkkjrtgrxpdvc,p,f,QYJAUZVDZJLHTOJBKIGZDCPHBP,S,Medtronic
Newfoundland,United States of America,70.0,0.0,Epoqvkjntsm,632.0,O,479805.0,YVOWJQOE,3.0,zzytpsyeotgvakdunhbohxccavktecvdreykvwxfykxifuqsffbvtatddclhlohhlzqpnjug,Mlh8264,8.0,Allentown,406225.0,1-068-236-5784,Mlhvjh,b,,Nlozdmobbxwbvyxiokhlkufrselvyxisiuqklmnskqblsozwdsydacxlwcuyartarjauikiyqiqx,M,Xcel Energy
CO,United States of America,43.0,2.0,ojwznjkjt,709.0,U,355323.0,biywtldywztveknplf,4.0,cssopwtrqsktthl,GIQ8265,0.0,Newark,1201091.0,1-866-836-5802,GIQMAHZBIVGDGAUR,,u,gzrcvlnxkcgmmsaasugzvjmynvasvsatwvbirulbhaxkwpehomxppjxvjguznfwtoitax,S,Portland General Electric
OR,United States of America,21.0,4.0,TXYMHK,448.0,R,138933.0,ijnbscdbqqsocghvx,5.0,EGCCYNCVJMFBMCEVSICLWSTCJTRLIMAWNJGBISMOSIRYLNSWRNDBMSOSZMKMYJYNG,qsw8266,2.0,Overland Park,3141283.0,1-998-541-3254,qswxcmgcffgfprvslvkq,n,,Pgwjcdzmcygjlkmvpakpzjejddjjxovvosibxoseyvlvnwfojeqxv,D,Molson Coors Brewing
NC,United States of America,56.0,1.0,BSGJLGSSLR,452.0,O,373085.0,JJIBTDGBWHWOIMQERU,,Xpfutiazenlhgvxzbkhlacczttudrnxeaqrhxrydhftnastdtggnyvyriexlrhkxu,bfv8267,,Brownsville,1926007.0,1-885-323-1549,bfvlotpwyiqbjyqeiy,,,Zqlvlqqwupjwvduawfmvcngnclponxhbofnbw,M,PG&E Corp.
Newfoundland,United States of America,10.0,3.0,CSYSBOTSMB,841.0,U,223635.0,Drnhlmcrckf,2.0,Dgszqgfquibiajwisgmscdhvooikijlivhepxuapsxpqlxvilniopriziuxenrshstbuqhtmpecrcx,jqv8268,6.0,Newark,2838996.0,1-514-968-3721,jqvfnemhqipdnmbwbmkwohtd,o,F,Iuwwrampcmqsqtohet,U,Williams-Sonoma
CT,United States of America,51.0,2.0,nqdvvjf,570.0,O,293818.0,Ugfwtampizrxogf,2.0,Idjtaneahscsfglpusqzwbhtndjiqyrfyowcykcijyhhkbfzszhhglwbbuxaxwrfonogyosjvoaii,Buz8269,5.0,Oklahoma City,1737347.0,1-269-244-1579,Buzzkmgbvosvzzipim,,m,Hxshojgldxpwdvczfqvfofmpcpnsblntzwfvhznmynodglewdacmazdxmtvrfrnjefgcrfpxfgbdj,M,Honeywell International
AR,United States of America,88.0,1.0,evvdujmiehcc,328.0,O,310287.0,FUXMVCVRUDAMQHROEHP,0.0,cnkqfguebusvxeinbmswcshotgtanpljafynkumilhrapwulxcsaykotuabacnmrgclmpyiqvbwrngye,End8270,6.0,Hull,2727896.0,1-372-816-4603,Endjftcwylmlgjzqvuurzvokjb,u,M,WOVSRUBZSLYASYSFWUZRDBDIRQJBETCCRWTCVOMIJJCGIMLZEONPXMNRBXTDUEPQHFRDCUUKYWKUSQBO,M,Raymond James Financial
UT,Canada,29.0,2.0,hpbaanyphumm,691.0,R,347444.0,Ibtbtxmcvtwvijegzzmyxezaqcgq,4.0,Sanwkaeqwgioyfaijdkubtkjhegnvplfwtqdzvrvviusoqnncddrvohj,fnw8271,10.0,Lowell,1463334.0,1-469-915-1376,fnwccaavwyaywtyfmygb,m,F,UTVYNMHKRUVICOLDMWTIWXXQYOWYINYNYLCREO,S,Calumet Specialty Products
IN,,42.0,2.0,ldphbkktlme,549.0,O,438442.0,Kvvixfanpvev,0.0,brqdhledhbrmhnbjcagcfgmftphdzjdiwueqqkswdatvilkosxgggzpiwduktddk,rra8272,3.0,Bakersfield,3778043.0,,rradsttvsznubvf,,,embljhtpibdtlgybnjkopkpj,M,Cinemark Holdings
NE,United States of America,49.0,4.0,Fpnxtsdsz,399.0,O,259339.0,xvgnmmwd,5.0,wshgv,Zso8273,7.0,Stockton,,1-980-661-2985,Zsotdworplimkuaqq,K,m,AUPRBOVBHRIYQDQULVTTTNLBNPYHATSGQLVDXOENJKDFWJEMUIKBNTSKFECAM,M,Hasbro
Newfoundland,United States of America,,1.0,Kmxxtsp,419.0,O,249443.0,Sbbnesrvfiuf,0.0,Qdkswditpiykwfcqwqbvfhoavxwcscrqatqzbhrvwvofhpugsvnlqoqhnsggrkqmwzwnbbymmlcawh,Jun8274,5.0,Frederick,1111335.0,1-219-975-6702,Juneadslw,P,,BZPPBHMKIOZBLNWBUTEDVXBVQACFMBIVQSAVHDLEHVRED,,Ecolab
