prospect_AgeID,prospect_NuCrCar,prospect_NumCh,prospect_OwORF,prospect_NWo,prospect_LaNa,prospect_FiN,prospect_A,prospect_Ph,prospect_NumCa,prospect_PosC,prospect_CrRat,prospect_St,prospect_Ci,prospect_Ge,prospect_Coun,prospect_In,prospect_MarSt,prospect_Em
Use9239,2.0,4.0,O,3662459.0,Usehudpckvxjcdlwonrozdgxrcnzlb,Tpdxbbxltoganfnbcnfwlkkpqtyheg,29.0,1-631-103-7871,5.0,Plugso,,SD,Nashua,,United States of America,164814.0,U,DaVita
Fqe9240,2.0,2.0,,425003.0,Fqeoekkckfzktqfmtnelnzplnxtbvh,Izmaqnicswrleld,31.0,1-194-652-1520,5.0,Dblsby,316.0,CT,Carrollton,m,United States of America,,S,AmeriCredit
AAV9241,7.0,2.0,,967122.0,AAVRWQUVBJMCBTIUZPATJLVCXRD,Lrxirmegcfjadagrip,59.0,1-687-767-2273,1.0,Mzwcjbhho,,HI,Milwaukee,,United States of America,203916.0,M,Costco Wholesale
Jge9242,3.0,0.0,U,3112956.0,Jgehovngtscfhewbngbztpva,ncxvxgwpxyutuvqmc,100.0,1-614-818-6727,4.0,Myoub,317.0,Alberta,Regina,,Canada,225279.0,U,Genzyme
IRN9243,7.0,0.0,O,77354.0,IRNUDRNYHPYCRRTMKQJSTKFAURGX,pormvseqmtibzznihvi,7.0,1-513-180-3381,4.0,laqlmyyxn,759.0,WI,Iqaluit,,United States of America,369644.0,S,Tesoro
eva9244,1.0,3.0,O,3381930.0,evardwwrnncfbxxviwhhr,Mtjkbuqg,27.0,1-083-206-8001,,Vfcguvnqzym,369.0,VT,Washington,,United States of America,31804.0,U,Zions Bancorp.
Dwx9245,7.0,1.0,,659165.0,Dwxrhezpx,Fueoadmilnehpvjvbh,75.0,1-121-207-1806,,Haoeirqcrbt,329.0,MA,Beaumont,,Canada,113650.0,U,Gilead Sciences
Qyv9246,4.0,4.0,O,1496328.0,Qyvjtmifetoegablkfygnudzbb,Tmbsoucxfya,68.0,1-190-876-8598,1.0,,439.0,AZ,Billings,M,United States of America,47147.0,U,Applied Materials
Xqn9247,4.0,2.0,O,76649.0,Xqnfma,RFAZQKTTUSIYOFTQPGHBBJVDEBA,49.0,1-406-006-7635,0.0,LYUWCHLH,669.0,Saskatchewan,Costa Mesa,m,United States of America,389952.0,U,Delta Air Lines
Vlh9248,7.0,,U,2291150.0,Vlhxhbnmjvrluincmbpe,QHKKAXIARNECUERBWYRWEDYGG,30.0,1-460-765-3876,3.0,Ppvtn,538.0,OH,Berkeley,,United States of America,202459.0,U,Blockbuster
uhb9249,,4.0,U,,uhbumnnqgythoezkacvdtjwhtudtln,Dchnlnfxnhqjwuqwmt,44.0,1-687-753-0503,1.0,flqdly,486.0,Manitoba,Orange,,United States of America,396254.0,U,Regis
Ams9250,1.0,5.0,U,1862553.0,Amsjn,Hheviciawlzeuuymfva,61.0,1-045-600-2747,2.0,mkfatn,314.0,ND,Mesa,,United States of America,304743.0,U,Auto-Owners Insurance
ACB9251,3.0,5.0,O,3422525.0,ACBBWUKYQQECHEVJK,WZZSMCVAHMCAXBE,94.0,1-572-237-2964,4.0,IRPXAPGKLCSV,335.0,IL,North Las Vegas,,United States of America,268291.0,M,Ruddick
afh9252,2.0,0.0,O,451385.0,afhjpdmqsctdcjqegrjpmmz,Yheahpkslgerciemwkrzwlxz,88.0,1-101-877-7370,0.0,Radqrl,717.0,NH,West Covina,M,United States of America,413892.0,S,Kla-Tencor
pdt9253,0.0,3.0,O,3234523.0,pdtopzmcvqtcxzixftnjfbmq,OZKMSRUHEELWBT,72.0,1-978-257-4310,0.0,Lqzpj,486.0,CO,Sacramento,,United States of America,50739.0,M,Gardner Denver
UUP9254,2.0,0.0,O,2390840.0,UUPNZIWHDYHKPYAHBHUOFFDNC,OLQIAKKTYR,40.0,1-285-220-4963,1.0,ginwatk,404.0,Saskatchewan,Mount Pearl,,Canada,80798.0,W,Mosaic
ixs9255,10.0,1.0,O,3164221.0,ixseoty,stmtgjgpnsbly,61.0,1-929-454-9080,4.0,THRPUTV,650.0,Newfoundland,Buffalo,,Canada,,S,CarMax
Fty9256,1.0,0.0,O,455909.0,Ftyiqwnaygdcozzp,Hgwjjjycqtho,28.0,1-573-046-0328,3.0,yqxoo,757.0,KS,New York,,United States of America,402527.0,U,Sherwin-Williams
Dkk9257,7.0,2.0,O,2269320.0,Dkktfl,wrvibahnpkzhxtcvmysegarucvmpu,64.0,1-177-407-1347,4.0,Kmvlj,461.0,ID,Vancouver,,,344996.0,U,General Growth Properties
EWZ9258,2.0,3.0,R,,EWZPJILFHQROA,Pppsvtdphfmyqkdlkml,28.0,1-035-398-3179,2.0,Mawtlavbq,356.0,HI,Providence,,United States of America,27697.0,M,Quest Diagnostics
Iqn9259,6.0,1.0,O,3460973.0,Iqnoqthi,Tclgxtramnv,,1-112-898-0222,2.0,Rglypmjksoq,522.0,GA,Lubbock,M,United States of America,61175.0,D,Goldman Sachs Group
nco9260,2.0,1.0,O,158220.0,ncoqc,gunjawgjmsfjokkhrpvqq,13.0,,0.0,Jjijpl,536.0,SD,Huntington Beach,F,United States of America,470956.0,D,SunTrust Banks
Mfd9261,4.0,5.0,O,1236451.0,Mfddasyorwev,Wajtsdextuevmfefytsgwmcbuxji,90.0,1-981-187-3119,0.0,Bnmprs,800.0,IA,Provo,,United States of America,14329.0,S,Expedia
iun9262,10.0,0.0,O,2050117.0,iunifaexxv,VIHNEBVTPFTALFXKI,45.0,1-602-182-5007,0.0,MDPRRNMGV,429.0,CT,St. Louis,,Canada,340416.0,M,Plains Exploration
Jwy9263,5.0,,O,3132061.0,Jwyjoxgb,QIHRKDEMFNWRXUV,90.0,1-469-600-6858,2.0,ZTHLRCSUNXRI,485.0,VT,Providence,,Canada,494896.0,S,NSTAR
OZU9264,7.0,0.0,R,2096984.0,OZUENEPHICAQWUSCTQBMQCFZUNTES,ISYOOBVOXJGEFZ,40.0,1-102-636-6366,2.0,Ovsjvyu,647.0,Newfoundland,Norfolk,f,Canada,332331.0,M,Tenneco
Vhh9265,5.0,0.0,O,2604664.0,Vhhgrmkdenk,Wvnnjxrehdaaopcsx,23.0,1-294-034-4125,0.0,dliaww,302.0,Alberta,Fullerton,x,Canada,188310.0,S,"Toys ""R"" Us"
kkk9266,8.0,2.0,O,1842010.0,kkkcsbwvwetlatpvpl,WEIBIOH,39.0,1-797-828-2051,2.0,Wadqtqnimtw,350.0,AK,Hollywood,M,United States of America,180615.0,M,Allegheny Energy
hcd9267,8.0,0.0,O,1094780.0,hcdyloziuyyaznjqmlpsiqrvttwkj,Mdacvdkdvsjgihavsfrzwthofvfk,69.0,1-071-343-3869,5.0,WHPEYHMUAA,609.0,British Columbia,El Monte,F,Canada,14461.0,U,MEMC Electronic Materials
NVP9268,10.0,5.0,R,1398892.0,NVPHVLMUGJCQPJWULROJDD,LJOEY,77.0,1-495-563-1627,5.0,qftsswso,751.0,KY,Nashville,m,United States of America,395795.0,M,New York Life Insurance
Hkk9269,4.0,2.0,U,1471913.0,Hkkbpwelajnxdseapeclhzufve,Eojqgbczxtgalqkuhwlg,37.0,1-163-355-4572,5.0,Xukaatfxbz,410.0,TN,Riverside,m,United States of America,341012.0,M,Sauer-Danfoss
Qwf9270,4.0,2.0,R,40150.0,Qwfexxxhvwcluqegmwya,xrkclrvumuf,99.0,1-328-166-9769,3.0,Lvzjxcsoojnp,437.0,MD,Orlando,m,Canada,,M,Service Corp. International
uzy9271,1.0,0.0,,2455738.0,uzyaolbnuwf,Bkjdjfjvrogmwgfu,33.0,1-560-210-6284,3.0,Cpjhrrjvtiyk,399.0,IL,Vancouver,f,United States of America,33940.0,M,Chubb
Qer9272,3.0,1.0,U,3823670.0,Qerifijdfsccqnsq,ohlidpaxszglvjlynxuciwsmqjoeya,38.0,1-331-171-6816,0.0,Kxuvdas,844.0,ND,Idaho Falls,,Canada,4143.0,U,Harsco
Znu9273,1.0,2.0,O,2749198.0,Znukufazahthydrsbuvdemgacpks,flcpwdexwrhggd,52.0,1-779-855-6704,4.0,pysjnd,844.0,SD,Nashua,M,United States of America,167631.0,M,Big Lots
cvg9274,9.0,5.0,R,1091679.0,cvgjccsq,VKJHKTUTOJSNCIQTJMJAP,74.0,1-202-354-1589,2.0,RFPQT,353.0,MO,San Jose,F,,354988.0,M,Spectrum Brands
Qql9275,10.0,3.0,O,2150364.0,Qqllnzdmqcqtfqeywmywkh,mhlpjcgrrdhqrrzueglrtpag,94.0,1-950-104-6943,3.0,Rmxniyi,448.0,FL,Hartford,f,United States of America,449820.0,S,Ecolab
Sfp9276,7.0,4.0,O,1323751.0,Sfphozwoskrtgldrmq,Bbcwooktmcsowphiffewaxkran,61.0,1-275-718-2640,3.0,,550.0,AR,Nashua,,Canada,6411.0,M,Fiserv
Gvg9277,4.0,4.0,,3615431.0,Gvgjgwo,iqzfhrcoduahehwr,51.0,1-123-090-5633,0.0,pxwhx,460.0,GA,Columbia,f,United States of America,452184.0,M,Deere
Uha9278,0.0,0.0,O,1454327.0,Uhasmd,DHIGLBOOXGGQYYZK,92.0,1-144-202-0200,5.0,eqlrbe,448.0,ND,Santa Fe,,United States of America,,S,Dominion Resources
QUU9279,10.0,0.0,O,2994755.0,QUUFSLBYDDTHIBVXZGZFUIRABC,Gbyvkltwavaeiczs,47.0,1-931-271-7927,3.0,NBNBJJLVE,503.0,MO,Garden Grove,M,United States of America,174030.0,M,NRG Energy
Qkl9280,2.0,0.0,O,3471416.0,Qklresvwkwxaocjilzigyyj,utecrvzrpjxogjytgsnp,34.0,1-454-876-2261,0.0,yzuynlhvmz,697.0,Nova Scotia,Milwaukee,,United States of America,151380.0,M,Amkor Technology
Zma9281,0.0,1.0,,1230647.0,Zmapnfoowjipky,Eppnuv,93.0,1-056-699-8225,0.0,ravyrsrl,831.0,Nova Scotia,Cincinnati,F,United States of America,491974.0,M,Sempra Energy
azx9282,0.0,5.0,R,552886.0,azxvsqisiojdmjm,Znsboolysnmpldan,61.0,1-961-866-6787,3.0,Llzyw,493.0,ME,Pueblo,,United States of America,186620.0,M,Smurfit-Stone Container
Ipb9283,8.0,1.0,O,3241806.0,Ipbzlojbvhacqccerowielllwqd,Yrovgp,28.0,1-383-262-5550,4.0,nehurgpltfwj,565.0,KS,Thousand Oaks,m,United States of America,4011.0,,BJ Services
SOO9284,2.0,2.0,O,498520.0,SOOJTHL,REJRTAMMEXPYLUKXL,,1-442-477-1954,5.0,hafatin,344.0,PA,Santa Fe,,United States of America,161973.0,M,PepsiAmericas
Tmj9285,6.0,1.0,O,558126.0,Tmjensldwlktroejbxlak,BIAFNRGXEEUJVLLAQOZFFTTX,24.0,1-709-748-9824,4.0,vwitbvqqibxs,342.0,VT,Albuquerque,,United States of America,79257.0,M,Graphic Packaging Holding
Inx9286,7.0,4.0,O,,Inxssortmcsljzvnvuiwebpxt,Whwnizkrwdrpkk,70.0,1-800-248-1863,5.0,ZIHQU,444.0,HI,St. Catharines,,United States of America,350087.0,M,Cardinal Health
OWV9287,0.0,3.0,O,519396.0,OWVQSHINCOKRQXKIXYXNIPAZAV,ohpvwayijuxo,23.0,1-902-199-4348,1.0,Pvdgdmv,840.0,NC,Peoria,,United States of America,461393.0,S,Abercrombie & Fitch
Vis9288,1.0,,O,3639546.0,Visilggvejmmoabn,XAOPNMDCFEZXBJBRDFTPOGQKRDFQGI,25.0,1-303-389-8865,3.0,Efnykp,803.0,MO,El Monte,,United States of America,358062.0,U,Furniture Brands International
YIZ9289,,0.0,O,1137629.0,YIZNBQQRZQXRW,Agkusdsomfpiwoqfmft,92.0,1-327-455-9315,2.0,Nyebrtkch,532.0,NJ,Arlington,,United States of America,322165.0,M,Enterprise GP Holdings
NDY9290,5.0,5.0,R,2565674.0,NDYUXTFFKQLOETG,Oeuwqaowwndwwgjdzunou,12.0,1-742-872-1218,1.0,Hrvhby,601.0,WY,Worcester,f,United States of America,418613.0,S,Priceline.com
Roc9291,4.0,3.0,R,493797.0,Roclcmdkmtemcrapyyhhjmstd,pgkuzhcqgzmffkjjmvojmkincbxn,60.0,1-103-237-4616,4.0,Ajuirgwhh,843.0,NJ,Huntington Beach,f,United States of America,107902.0,S,
KCT9292,0.0,0.0,O,717847.0,KCTWQSYEVMBNLDFMQRQ,Egpaen,76.0,1-340-367-3066,0.0,Xaknnclovwq,396.0,TX,Sterling Heights,F,United States of America,349077.0,M,Valero Energy
Edl9293,5.0,5.0,O,220373.0,Edladrnlxinyozrqhrn,Hdtzhharlbpigpvplvqcuezmq,82.0,1-036-228-3920,4.0,qxozoctki,324.0,CT,Denver,f,United States of America,422984.0,M,StanCorp Financial
Nbr9294,7.0,5.0,U,2458485.0,Nbrhyb,Lzhgyjebytryjhlgibcbveabmptng,51.0,1-082-706-4664,0.0,,417.0,Prince Edward Island,Detroit,,United States of America,441805.0,D,Cincinnati Financial
Xad9295,4.0,3.0,O,,Xadmziwrjvkohghjnch,JVUFBSPTGIAUYY,29.0,1-773-838-6362,2.0,MUJJYTCHREO,,SC,Thousand Oaks,,United States of America,451605.0,M,Goodyear Tire & Rubber
njx9296,9.0,1.0,R,812824.0,njxaisspqrpsupj,SOJNSMIW,80.0,1-763-470-0579,3.0,Ejimkjtnjsq,741.0,NM,Colorado Springs,,United States of America,262664.0,M,Dick's Sporting Goods
Vun9297,6.0,0.0,R,2914214.0,Vuntqtnirhycmjnffdowdbsqlqag,Gpaabluxxfawxddcojdsuprej,58.0,1-132-369-5017,4.0,Xiegdxdb,330.0,VA,Springfield,,United States of America,90056.0,D,General Cable
PCR9298,0.0,5.0,,2936891.0,PCREKZDISXJTJEXIPACHFBN,wfsuikxyoywlxqqnprlhznuphxtq,,1-994-356-6533,2.0,Ipjwakx,492.0,NC,Tempe,F,United States of America,303070.0,M,Regis
Gbo9299,9.0,0.0,O,2573727.0,Gboqvchqobqmke,Wqaul,83.0,1-281-521-8414,3.0,NUQEWF,808.0,VA,Montpelier,,Canada,264157.0,W,Apollo Group
LXA9300,0.0,1.0,,85554.0,LXAWCDZVIYMBJDCOTDZCSWA,Ovadotf,64.0,1-991-410-2680,1.0,Uibuzlym,367.0,SD,Aurora,,United States of America,90133.0,M,Owens Corning
Sro9301,2.0,1.0,R,333160.0,Srovmfsxe,UXZCNCCHTNJ,25.0,1-433-513-9740,4.0,ijhchcovugi,,IA,Fort Lauderdale,,United States of America,192710.0,U,Kindred Healthcare
Fjm9302,5.0,4.0,O,1964125.0,Fjmmirdtvjewtuxyvtsfqfzefqlgpc,Rswdjsstifmlpnr,58.0,1-834-107-7735,0.0,,718.0,NH,Fresno,f,United States of America,247648.0,W,Monsanto
Sur9303,3.0,4.0,R,2334579.0,Surumny,Brafmvstgmxkoaxc,82.0,1-766-430-1474,3.0,Nafcmm,447.0,NV,Livonia,,United States of America,409256.0,M,Maxim Integrated Products
Hax9304,8.0,5.0,O,114832.0,Haxzkyuvarhfvrojqerq,pjvlmghfnypsormcm,51.0,1-936-575-5788,1.0,Vmvfoqbppkve,405.0,Manitoba,Orange,,United States of America,60268.0,M,BJ Services
zgx9305,4.0,2.0,O,2593495.0,zgxmchgcibwahtuqbwetcjdebjxo,jifbzqajzi,60.0,1-779-005-3408,5.0,NXGKVJWD,646.0,MA,Provo,F,Canada,299077.0,D,ON Semiconductor
Kmh9306,8.0,5.0,R,1731732.0,Kmhvrbqnjgeqpaovmjchzxnd,MBWLYSAE,10.0,1-544-182-1503,2.0,Arvzcjdgi,617.0,Manitoba,Orange,m,United States of America,265850.0,U,Polaris Industries
tec9307,9.0,3.0,O,,tecxyzdmc,Ooomeumwnkjrwbvgmdi,11.0,1-485-053-4961,3.0,Kymuormq,346.0,AR,Salem,,Canada,448020.0,U,Varian Medical Systems
Xsb9308,5.0,0.0,O,,Xsbucvojvnycqwsglin,Btjxbxiusovm,42.0,1-434-184-5650,1.0,Cahdunqytzw,784.0,WI,Charlotte,,Canada,205923.0,M,YRC Worldwide
RJB9309,,3.0,O,1137816.0,RJBJIFLRSJNQZBPXYPKXCNKU,smtrflmqrnwve,73.0,1-444-992-9218,2.0,NTXJNIOWALG,345.0,HI,Frederick,,United States of America,457110.0,U,Terra Industries
Ttw9310,8.0,4.0,O,2948275.0,Ttwll,qbncfpqaqljcevrsi,30.0,1-182-939-2795,,,816.0,Prince Edward Island,Scottsdale,,United States of America,,S,Walgreen
Gox9311,2.0,4.0,O,1018827.0,Goxfyxkivmh,Xnliajjqurqe,71.0,1-544-562-4582,1.0,,,VT,Orange,f,United States of America,25537.0,S,Protective Life
zxx9312,2.0,3.0,R,3670831.0,zxxjajcsbzdypbvt,Qgxutpoumkrpmatennp,73.0,1-656-542-3365,1.0,DTIINLFR,479.0,SC,Columbia,f,Canada,243425.0,S,AGL Resources
Oik9313,,3.0,O,1101433.0,Oikbnitywbnqvgycfuajqrvtfmuys,AZMNKHHZPQBNQXASKUOKJJQGWUOC,,1-155-740-9974,5.0,JURUW,840.0,IL,Augusta,f,United States of America,456113.0,D,Manpower
Fdu9314,5.0,1.0,R,1520350.0,Fdutbsmhsdlvlprypt,NJYKUNBYYAWWO,92.0,1-365-387-3031,3.0,wgbyllvqa,765.0,TN,Hollywood,F,United States of America,,D,Chevron
BSV9315,10.0,2.0,R,1705062.0,BSVKTAAYQLBVKEPARMYOGGGK,cfdnwicklpka,97.0,1-699-774-1254,2.0,Kbxrynbkidr,490.0,HI,Madison,,United States of America,151157.0,U,Nasdaq OMX Group
qyt9316,10.0,0.0,O,1648906.0,qytpqwqyfthgmw,PYQGPSFRHUQEHB,70.0,1-111-491-8558,5.0,Kjdjjhyquzix,650.0,CA,Las Cruces,,United States of America,359574.0,S,Assurant
Uap9317,0.0,,O,3534957.0,Uapgrvpwycjpjbnsxqdozq,FKJASEIGPATSLUBLCOLATFDEDAMTSV,10.0,1-204-025-6092,3.0,YIARXL,318.0,AZ,Concord,f,United States of America,162420.0,W,Michaels Stores
PUL9318,10.0,3.0,R,2906056.0,PULOEIKIYYYSCFSJIKVL,Javlatmbwptycth,90.0,1-151-395-1617,3.0,Yvkjj,458.0,PA,Sudbury,,United States of America,118416.0,S,
Vsi9319,9.0,5.0,O,1758546.0,Vsijctsrojoqoj,VSRWFROWHIFKTVYUJOUGLHDP,19.0,1-742-249-7532,3.0,Sfaicbotep,508.0,CA,Whitehorse,f,United States of America,44735.0,D,NuStar Energy
Ulq9320,1.0,1.0,O,1876595.0,Ulqyabpugubryqtelqg,Dikmhjzelxddvrlfv,7.0,1-116-620-1198,2.0,Hfsqglb,600.0,CO,San Bernardino,f,United States of America,265368.0,,Equifax
PXR9321,0.0,4.0,O,3364612.0,PXRRCICOOZNUSFTXV,awklsmzsxabkshblb,48.0,1-479-570-7693,5.0,Zssib,470.0,KY,San Bernardino,F,United States of America,90317.0,,Vanguard Health Systems
BIC9322,8.0,4.0,R,960349.0,BICCMYAGGJHYPZXHXWAD,Mqeqxfcadwag,27.0,1-281-131-8778,2.0,Capwj,367.0,NC,Tempe,M,United States of America,305683.0,M,WellPoint
Egt9323,6.0,3.0,O,2434281.0,Egtmhllbazlgtx,spqhwlkxxxzgohfy,19.0,1-246-441-5565,1.0,Usyykxhpgnmd,828.0,NY,Winnipeg,M,United States of America,312046.0,U,Charles Schwab
Hwi9324,4.0,2.0,O,1687912.0,Hwishmepjqmmrfiblcelvafulscrrh,aexqqtqlezfhfufldyzbwmfa,2.0,1-106-315-9052,0.0,Wmsrsdnxsua,791.0,Saskatchewan,Syracuse,,United States of America,130547.0,U,Helix Energy Solutions Group
Aiz9325,9.0,1.0,O,226828.0,Aizanjlxjpzujid,ZLPFFHLUSJAPY,88.0,1-944-038-8243,5.0,SXCRDAMJ,770.0,ND,McAllen,f,United States of America,54561.0,U,Great Plains Energy
lbj9326,,2.0,O,2682142.0,lbjeroxcnzmhaqnixybypks,JVNICHGFFIWAYQY,37.0,1-616-635-2195,0.0,,640.0,Prince Edward Island,Hialeah,,United States of America,430056.0,W,Granite Construction
klz9327,10.0,2.0,O,2356998.0,klzfhvajxs,Lrxhkz,30.0,1-109-509-5374,4.0,Aaxxbmsskwa,485.0,WV,Yonkers,,United States of America,208745.0,M,TECO Energy
Vaq9328,4.0,0.0,O,848687.0,Vaqysjteypyisgkndgb,Bvcopkcwckwjwngi,51.0,1-017-213-1159,3.0,Jrcoao,544.0,DC,St. Johns,,United States of America,328669.0,S,NetApp
iwp9329,4.0,2.0,O,735994.0,iwpghalrdeuyuncpxojaianrokcuj,BEQDMALRSXISLVXVRVDALAOCG,41.0,1-886-868-0874,,BYJKMHU,646.0,CA,Albuquerque,,United States of America,217250.0,S,International Game Technology
VDX9330,2.0,0.0,O,1439992.0,VDXWJBPHGD,ewxaehuvaxdvdkaooetxmttzxesl,2.0,1-597-653-2241,1.0,gagsm,563.0,VA,Huntington,,United States of America,386927.0,W,McDonald's
XOT9331,7.0,2.0,R,1274990.0,XOTHLHFWLVNUDANICZVBHVZQMM,Wxeod,39.0,1-442-207-8967,1.0,Dswflqojjpu,821.0,MI,St. Paul,,United States of America,223494.0,M,Steel Dynamics
bgd9332,0.0,5.0,O,206621.0,bgdjhofbkvrtcjcvh,VTBXPKOCFYKSVGTHHGT,96.0,1-270-865-8570,3.0,Qkbttvtpywe,455.0,ID,Halifax,f,United States of America,372159.0,U,Helmerich & Payne
LWI9333,6.0,3.0,O,2310238.0,LWIJBHYAK,Iigvgshocsudihifqofrsg,13.0,1-346-294-4429,3.0,Bbrzyk,662.0,ME,West Valley,m,Canada,462514.0,M,Lear
EXK9334,5.0,3.0,O,,EXKABAMXCPMPKWVLHILKMPGA,vhozqtlqagnmlphguedihgpfk,44.0,1-623-096-3088,1.0,Yunta,818.0,WA,Spokane,,United States of America,93567.0,U,Atlas America
nyq9335,5.0,,O,2044618.0,nyqidnnkakqlcwscaouyxuqruqae,XEJONMWTVOPDEPMI,63.0,1-863-400-3831,1.0,Vfskfmfa,701.0,Saskatchewan,Manchester,M,,410810.0,U,Jones Apparel Group
Hdi9336,5.0,1.0,R,556278.0,Hdihvvewyckk,qsslcjawvsiofzkxhp,74.0,1-091-554-0668,5.0,MZGVHDPMC,547.0,ND,Chula Vista,m,United States of America,177807.0,M,Henry Schein
YEV9337,6.0,0.0,O,3284453.0,YEVSITPTTFMNXNGKCJ,pgcuoyfh,13.0,1-041-041-7084,0.0,Mzrva,511.0,MA,Toronto,F,United States of America,220965.0,D,Celanese
jmb9338,7.0,1.0,O,3775743.0,jmbftxvvfwysz,Glrbqdnj,98.0,1-179-719-7301,2.0,wrstbrhrlh,776.0,WI,Minneapolis,,United States of America,7870.0,U,Applied Biosystems
Uhs9339,10.0,3.0,O,1974666.0,Uhszphnuf,Kphnoub,20.0,1-036-500-9811,2.0,Hddgntm,603.0,KY,Dallas,m,United States of America,359152.0,W,Las Vegas Sands
Pmo9340,2.0,0.0,O,1329378.0,Pmoyhbghbqnj,Blehwqglsvnjq,49.0,1-577-862-5813,4.0,Nccjzmhff,413.0,AL,Salinas,,United States of America,244334.0,S,Coach
BMP9341,2.0,0.0,R,2909229.0,BMPLCGLDOJCAPBEVVZHTNKQ,njrjui,8.0,1-520-927-1380,0.0,,481.0,British Columbia,Memphis,,United States of America,428099.0,,Ameriprise Financial
HOC9342,2.0,5.0,O,,HOCTAIMFPJDGZJHB,Qnurlffgnzaaktkbefbposxwcuihq,59.0,1-191-312-5506,1.0,Cbabfkgrzovp,673.0,AR,Allentown,,United States of America,325852.0,M,Vought Aircraft Industries
uoe9343,4.0,5.0,O,2869101.0,uoebfrpkxmhqklwwjvmevu,rgkgdgmaznapaerhtyitmjnwoo,55.0,1-184-898-8716,1.0,IWYMOWM,726.0,MO,Denver,,United States of America,,M,Hanesbrands
ddv9344,10.0,4.0,O,565070.0,ddvqxpgrr,hqoguvgrwfkmyvvovmawu,,1-542-783-2509,4.0,WTVUWV,394.0,AL,Charleston,,United States of America,31005.0,M,J.M. Smucker
AQO9345,3.0,4.0,O,2283039.0,AQOKLOKMDHIW,kdrfkneohautfhlwibh,25.0,1-568-123-5187,1.0,,613.0,NM,Sudbury,,Canada,5605.0,M,Conseco
Cxi9346,3.0,4.0,O,3189016.0,Cxiybtaprkizhqhmwkjewlsjap,zlkrxlmxjljxbzfziqvekkpkugjru,8.0,1-489-309-9438,5.0,Ilifeydpije,361.0,ND,Gary,m,United States of America,159171.0,U,AptarGroup
Drr9347,10.0,5.0,U,2654496.0,Drrtwr,Ddvmxsfq,89.0,1-340-208-6107,4.0,Dbpohaojyxk,577.0,OH,Independence,,United States of America,360692.0,M,Helix Energy Solutions Group
Bno9348,3.0,0.0,R,2716732.0,Bnojfhbfenwespohegwakvt,Wyfmbeamnwrthsnvhlnnaod,9.0,1-442-696-6249,0.0,Uzuotmimptgh,455.0,ME,Dayton,,United States of America,71803.0,M,Sanmina-SCI
ibm9349,9.0,3.0,O,266702.0,ibmuehqxrxzeptwngsiezgvgaeztd,GPWOPXIJABYIJUVWOFTFUJXGBHXZ,33.0,1-782-519-8480,4.0,yzgbigsdx,647.0,WY,Anchorage,M,United States of America,431130.0,U,Vought Aircraft Industries
Roq9350,2.0,4.0,R,3036109.0,Roqafammmuvpwxibe,Gynofqdavqsl,83.0,1-771-983-0971,1.0,Tqzpn,344.0,PA,St. Louis,F,United States of America,402077.0,W,Thermo Fisher Scientific
Bee9351,5.0,4.0,O,802666.0,Beequyncxupianpfvrtw,Nqtdnfcuesuh,76.0,1-026-310-4002,2.0,MGHHRBBS,702.0,NM,Salinas,f,United States of America,317493.0,U,Morgan Stanley
pmt9352,7.0,2.0,O,2121177.0,pmtuqtkegdapmr,ilugjogjdnclo,21.0,1-904-123-5817,5.0,Jhdqfr,602.0,AR,Cincinnati,,United States of America,242846.0,U,Hershey
XNV9353,5.0,1.0,O,3243442.0,XNVOYYDIDARTIJAWVCTDKWCSHFRRUK,qeeatmwk,42.0,1-236-421-1891,,GANTKFQISCB,526.0,WA,Los Angeles,m,United States of America,189279.0,S,Noble Energy
Hra9354,3.0,5.0,O,2021690.0,Hracsjnosjdmht,Dnrdptglnkmrctrqbojnongt,95.0,1-769-176-0939,,Gniqeiujegr,,OK,Bellevue,F,United States of America,96167.0,D,Century Aluminum
xmp9355,5.0,3.0,O,1980845.0,xmpunfa,kcvecwbqjwsskervicgplk,70.0,1-408-211-0567,4.0,Evnkdvlzp,514.0,Prince Edward Island,Virginia Beach,m,United States of America,321492.0,U,
Mlt9356,6.0,4.0,O,838050.0,Mltudkmvjmjxtg,jfaaazwseidqhj,66.0,1-506-571-8374,2.0,WNDOXJDHOUMV,331.0,OR,Overland Park,F,United States of America,66367.0,S,Terra Industries
kfj9357,9.0,4.0,O,2021368.0,kfjdfrmfsdvpygcs,ZVZXXTMVCQNM,73.0,1-509-391-0683,5.0,SZAQVQ,840.0,VA,Yellow Knife,,United States of America,257884.0,W,Mattel
XGL9358,10.0,2.0,O,176674.0,XGLXJODSFPENAHQVDETJLHTLEAKQ,duupdbgsawuriazmffdxasxlnl,88.0,1-384-794-2882,2.0,Ojhic,668.0,ME,Santa Rosa,,Canada,449830.0,U,
Aio9359,4.0,1.0,O,630392.0,Aiogsioqctvxepkkyoeunuiikovef,BYCDMYKSLQVGP,70.0,1-982-194-8517,4.0,wbqhcbhmw,474.0,TN,Huntington,f,,58702.0,M,Fiserv
jjd9360,10.0,3.0,,939924.0,jjdaaestqrkhgwsdnut,Drmxeniqubofej,43.0,,4.0,CDBPFV,368.0,British Columbia,Cleveland,f,United States of America,32361.0,M,Emerson Electric
pru9361,7.0,,R,1766726.0,prudmlnatpkamdwtphrosbhsokzhy,Lorda,47.0,1-379-305-4148,2.0,Lzahzjcosid,425.0,Alberta,Fullerton,,Canada,445223.0,S,Rite Aid
