MarSt,AdLi2,NuC,LN,AddrL1,PoC,Ph,Gen,CrRat,Ag,Em,Sta,In,NumCreCa,NeWor,Ci,AgID,NuCh,Cou,MiIn,FiN,OOReF
M,Gzfdyyzmvbrgnkilgdjzesjclwfliaxhinlhebqlegmc,3.0,QUUFSLBYDDTHIBVXZGZFUIRABC,KXLGBHVVQGJEBMY,NBNBJJLVE,1-931-271-7927,M,503.0,47.0,NRG Energy,MO,174030.0,10.0,2994755.0,Garden Grove,QUU9279,0.0,United States of America,,Gbyvkltwavaeiczs,O
M,Lokkhepfkwzgfdcixhhutokfsnbtilnerf,0.0,Qklresvwkwxaocjilzigyyj,kiumrgmgeezibnjqpsodzorrivbsxmwhnzt,yzuynlhvmz,1-454-876-2261,,697.0,34.0,Amkor Technology,Nova Scotia,151380.0,2.0,3471416.0,Milwaukee,Qkl9280,0.0,United States of America,,utecrvzrpjxogjytgsnp,O
M,ecocbswqbffkecefiskuaoladignwhmnjkpfhsweiinlrhutughqhyfjapqg,0.0,Zmapnfoowjipky,Fvracepauyrpswkns,ravyrsrl,1-056-699-8225,F,831.0,93.0,Sempra Energy,Nova Scotia,491974.0,0.0,1230647.0,Cincinnati,Zma9281,1.0,United States of America,d,Eppnuv,
M,Elsltvsbvezfoxsffxfnnjlcqflahmpduxljhxhgvkgcakvipgpeacykj,3.0,azxvsqisiojdmjm,Adfjmtyqtkwsh,Llzyw,1-961-866-6787,,493.0,61.0,Smurfit-Stone Container,ME,186620.0,0.0,552886.0,Pueblo,azx9282,5.0,United States of America,l,Znsboolysnmpldan,R
,tuwttnjccszutxoxlgofpzccmtsgojrqhwkohafjooohawdjprrclszhipeocjhetkbwqeho,4.0,Ipbzlojbvhacqccerowielllwqd,HOSAUOMELHWAKCIFVFQGYKAUURRUPSFY,nehurgpltfwj,1-383-262-5550,m,565.0,28.0,BJ Services,KS,4011.0,8.0,3241806.0,Thousand Oaks,Ipb9283,1.0,United States of America,v,Yrovgp,O
M,Jkfzzkvoyzruqcoduxqlhcbcxy,5.0,SOOJTHL,XEKSPNLHYTPKOYTTEEKKECCXANDIXD,hafatin,1-442-477-1954,,344.0,,PepsiAmericas,PA,161973.0,2.0,498520.0,Santa Fe,SOO9284,2.0,United States of America,W,REJRTAMMEXPYLUKXL,O
M,Tnvdbsuvadjuhjnafrczpdvxbnfnatxlprakqmqhgidriobtbvsjskmyfgopgsfrpr,4.0,Tmjensldwlktroejbxlak,TXRZFBFKHKDQXGKHUQYMATPXVBSQWKAEFLLV,vwitbvqqibxs,1-709-748-9824,,342.0,24.0,Graphic Packaging Holding,VT,79257.0,6.0,558126.0,Albuquerque,Tmj9285,1.0,United States of America,,BIAFNRGXEEUJVLLAQOZFFTTX,O
M,ztzayqihedzdpdeoid,5.0,Inxssortmcsljzvnvuiwebpxt,Wulknjymjwfssmwkyfatfoaqqz,ZIHQU,1-800-248-1863,,444.0,70.0,Cardinal Health,HI,350087.0,7.0,,St. Catharines,Inx9286,4.0,United States of America,A,Whwnizkrwdrpkk,O
S,Eiqhmdykr,1.0,OWVQSHINCOKRQXKIXYXNIPAZAV,RREYGYIXWHPFQBIODYKPAPYCLUHZCZGWOSRFXIJBCZRSDQSUFMPVUBB,Pvdgdmv,1-902-199-4348,,840.0,23.0,Abercrombie & Fitch,NC,461393.0,0.0,519396.0,Peoria,OWV9287,3.0,United States of America,c,ohpvwayijuxo,O
U,Sgltlbngahdyawacivbdbutpxbmfddbgkbnbvkezpzajyqjwgpsaqyvrj,3.0,Visilggvejmmoabn,Tqbfzrnppvhnsbbejupfwgvymdlmtajv,Efnykp,1-303-389-8865,,803.0,25.0,Furniture Brands International,MO,358062.0,1.0,3639546.0,El Monte,Vis9288,,United States of America,N,XAOPNMDCFEZXBJBRDFTPOGQKRDFQGI,O
M,Vlrvxsvogecmitxfmemkabxzegbrkwnqlepkamdpfvtyntvlzymwtrzauipbhcxckvnykxfnehfdn,2.0,YIZNBQQRZQXRW,Odgjlhffsvfzitiyfsrflvucyjzdm,Nyebrtkch,1-327-455-9315,,532.0,92.0,Enterprise GP Holdings,NJ,322165.0,,1137629.0,Arlington,YIZ9289,0.0,United States of America,C,Agkusdsomfpiwoqfmft,O
S,TSLWYPFATLKVZXJUOESSFAKTYMSIGJDGRFKNPHOZFV,1.0,NDYUXTFFKQLOETG,Zoevtvypndccfnnhxciwljjrskibrmcjxcxlblbkxghlvuhlnciblynvuhfobpnidnkcrkqvbbaiw,Hrvhby,1-742-872-1218,f,601.0,12.0,Priceline.com,WY,418613.0,5.0,2565674.0,Worcester,NDY9290,5.0,United States of America,B,Oeuwqaowwndwwgjdzunou,R
S,Kjcaskyikbfqqffqtnigglwuedtbivlfiylyhrk,4.0,Roclcmdkmtemcrapyyhhjmstd,PSSIMPBBIJOYBVYXFSKLCAOUQSZWSOJZNAERJKYBAQJKEXPOZNMZLBVPKJAOBGKOANY,Ajuirgwhh,1-103-237-4616,f,843.0,60.0,,NJ,107902.0,4.0,493797.0,Huntington Beach,Roc9291,3.0,United States of America,Z,pgkuzhcqgzmffkjjmvojmkincbxn,R
M,vfqcntakkwtfpglgtnatejtkauphmggvgavjfknvwwqevbkj,0.0,KCTWQSYEVMBNLDFMQRQ,VMNKZNZQWFAKVQSWVAFLLTMAMQZNEAHRXCCWSSZVPESYVFCBHSVKNEAI,Xaknnclovwq,1-340-367-3066,F,396.0,76.0,Valero Energy,TX,349077.0,0.0,717847.0,Sterling Heights,KCT9292,0.0,United States of America,V,Egpaen,O
M,jtjswomanhgjcgnnuctxoamejilbfndrlmo,4.0,Edladrnlxinyozrqhrn,Bspbmiztnbqvgrvcwjpyujic,qxozoctki,1-036-228-3920,f,324.0,82.0,StanCorp Financial,CT,422984.0,5.0,220373.0,Denver,Edl9293,5.0,United States of America,T,Hdtzhharlbpigpvplvqcuezmq,O
D,Etqxbmqwcg,0.0,Nbrhyb,cgignbmurpztdqglumddutziphxasvscmoz,,1-082-706-4664,,417.0,51.0,Cincinnati Financial,Prince Edward Island,441805.0,7.0,2458485.0,Detroit,Nbr9294,5.0,United States of America,u,Lzhgyjebytryjhlgibcbveabmptng,U
M,Mvtlokjvurhzpjsreldoqawdvwcfxcsvvbdmirxejonzpuldisvuxotsbjevsvwfpdncfhvnitgtvnn,2.0,Xadmziwrjvkohghjnch,Ajpmuxcqxriawphsifellkjwrgwxtonaquwpudfhdpcydvmviwqtswnu,MUJJYTCHREO,1-773-838-6362,,,29.0,Goodyear Tire & Rubber,SC,451605.0,4.0,,Thousand Oaks,Xad9295,3.0,United States of America,n,JVUFBSPTGIAUYY,O
M,Sjnmbsrecxlltscbwwvxdraszhvicspbakrwndeamx,3.0,njxaisspqrpsupj,JJWXCLFRWVGWLSADRWHSJXSCWNJNWVDILDRWY,Ejimkjtnjsq,1-763-470-0579,,741.0,80.0,Dick's Sporting Goods,NM,262664.0,9.0,812824.0,Colorado Springs,njx9296,1.0,United States of America,Q,SOJNSMIW,R
D,ejvkpslzxyyst,4.0,Vuntqtnirhycmjnffdowdbsqlqag,PRSOICGRELBJVUQDRNGNDOSJANARVKCLCDIXCW,Xiegdxdb,1-132-369-5017,,330.0,58.0,General Cable,VA,90056.0,6.0,2914214.0,Springfield,Vun9297,0.0,United States of America,,Gpaabluxxfawxddcojdsuprej,R
M,Xuxnmypoupjdrblbtertgemzzmgospkdrkifbwiojspyawooilntcbvlvmbf,2.0,PCREKZDISXJTJEXIPACHFBN,tlhvfxiijsvocpwgcmwyyjljvupwvtocmpxxtb,Ipjwakx,1-994-356-6533,F,492.0,,Regis,NC,303070.0,0.0,2936891.0,Tempe,PCR9298,5.0,United States of America,,wfsuikxyoywlxqqnprlhznuphxtq,
W,Mxfrzovsbgrdjrggfdxwwhquhfbszofssgnoaczdhvhfijpdckukgmqibsfcennmoxzizcucflbi,3.0,Gboqvchqobqmke,rugraczpdtouejqbyvimpiizbdgfwyppujnnqczspwtniibhnzrytbpehcjuiqhcmr,NUQEWF,1-281-521-8414,,808.0,83.0,Apollo Group,VA,264157.0,9.0,2573727.0,Montpelier,Gbo9299,0.0,Canada,,Wqaul,O
M,dbdqke,1.0,LXAWCDZVIYMBJDCOTDZCSWA,qdkpduxsbmucndsdibwkyq,Uibuzlym,1-991-410-2680,,367.0,64.0,Owens Corning,SD,90133.0,0.0,85554.0,Aurora,LXA9300,1.0,United States of America,,Ovadotf,
U,Nyukdlsvgxlqdu,4.0,Srovmfsxe,Avnbhkzdkcmmcnncafdztbtetbpnjhfwwkmnqqicqgvfatxiotwbhodxpigwocixdqcaewpggplf,ijhchcovugi,1-433-513-9740,,,25.0,Kindred Healthcare,IA,192710.0,2.0,333160.0,Fort Lauderdale,Sro9301,1.0,United States of America,,UXZCNCCHTNJ,R
W,,0.0,Fjmmirdtvjewtuxyvtsfqfzefqlgpc,Doovfgyddvwpwmsegdjfohrkqvvwj,,1-834-107-7735,f,718.0,58.0,Monsanto,NH,247648.0,5.0,1964125.0,Fresno,Fjm9302,4.0,United States of America,,Rswdjsstifmlpnr,O
M,ydxqovdpvfdhibnbaipwzbhnboai,3.0,Surumny,JKMWAQWGWAWTEBUPHUTAGCAVTWTKVBQFNYJONKYGCRMWGINELOAD,Nafcmm,1-766-430-1474,,447.0,82.0,Maxim Integrated Products,NV,409256.0,3.0,2334579.0,Livonia,Sur9303,4.0,United States of America,,Brafmvstgmxkoaxc,R
M,Yzohenfewurtnomyldcjpnzkiugzhgrtbvejngisuugcnobhfalkreeqqxnazwcbxltmomluznbfkdd,1.0,Haxzkyuvarhfvrojqerq,Zfjjwdxmqsuinnthbtvuvulthhxognhcvdhznwayoixdu,Vmvfoqbppkve,1-936-575-5788,,405.0,51.0,BJ Services,Manitoba,60268.0,8.0,114832.0,Orange,Hax9304,5.0,United States of America,,pjvlmghfnypsormcm,O
D,gdfqiwqfreovwywdpwkxhnamgpvsznrwuzyfnabmzwnxaiaswlmzfzzbkvchgtq,5.0,zgxmchgcibwahtuqbwetcjdebjxo,VLFKWILH,NXGKVJWD,1-779-005-3408,F,646.0,60.0,ON Semiconductor,MA,299077.0,4.0,2593495.0,Provo,zgx9305,2.0,Canada,I,jifbzqajzi,O
U,chxntv,2.0,Kmhvrbqnjgeqpaovmjchzxnd,Ohksijheoeierjbfujnicdicbgdwzrrzwie,Arvzcjdgi,1-544-182-1503,m,617.0,10.0,Polaris Industries,Manitoba,265850.0,8.0,1731732.0,Orange,Kmh9306,5.0,United States of America,,MBWLYSAE,R
U,Txznnkwnwbhesvfylsachhhmeziwvzrchkkjpqdcllhwscktnppcqczeeupwqjp,3.0,tecxyzdmc,CDUEVDMMLBWDDSDYENHRZQNJFWLNOVQBQHTANDTUJTQHXWJSTNR,Kymuormq,1-485-053-4961,,346.0,11.0,Varian Medical Systems,AR,448020.0,9.0,,Salem,tec9307,3.0,Canada,,Ooomeumwnkjrwbvgmdi,O
M,HOXXQNCQSDYORUKFRDJAAYNYOPKHVURBZAHDFF,1.0,Xsbucvojvnycqwsglin,efajzhcmjwlgogjcraenqyemdeiukqlzopmubqzpdkngiwijhahbaccfokpvlgpbwbalnm,Cahdunqytzw,1-434-184-5650,,784.0,42.0,YRC Worldwide,WI,205923.0,5.0,,Charlotte,Xsb9308,0.0,Canada,c,Btjxbxiusovm,O
U,SXELGOJMTRROD,2.0,RJBJIFLRSJNQZBPXYPKXCNKU,Wnqcoqixkld,NTXJNIOWALG,1-444-992-9218,,345.0,73.0,Terra Industries,HI,457110.0,,1137816.0,Frederick,RJB9309,3.0,United States of America,,smtrflmqrnwve,O
S,yqueoiywzzttegytqbzqojzuwhjbasmhndjybobddgksdyjmmkjvclafbtefpbzquxwnqnfypcl,,Ttwll,Cnbmncbypygewtxakmjxyrlfvxzjbadd,,1-182-939-2795,,816.0,30.0,Walgreen,Prince Edward Island,,8.0,2948275.0,Scottsdale,Ttw9310,4.0,United States of America,,qbncfpqaqljcevrsi,O
S,papqrxddcqfkgbvsfasnzekveqpowrxinou,1.0,Goxfyxkivmh,Tkmgbuhkivgcobgjqsoxhnk,,1-544-562-4582,f,,71.0,Protective Life,VT,25537.0,2.0,1018827.0,Orange,Gox9311,4.0,United States of America,i,Xnliajjqurqe,O
S,Fawdnkypxomwfpdrvdqcmvhruuxfmeqfgpzafgcwfqanpojnobvk,1.0,zxxjajcsbzdypbvt,Apwdrtidfbhfpqvsicnkrarriorylrthjqbfwcivxftgewqnkvnbmvwqubjlxvmqrnwvrxlb,DTIINLFR,1-656-542-3365,f,479.0,73.0,AGL Resources,SC,243425.0,2.0,3670831.0,Columbia,zxx9312,3.0,Canada,E,Qgxutpoumkrpmatennp,R
D,Opulebrytghkfxplwrapmpkhfrxrthpprqyukajbzgybddvjwnxqzviqnhzwhlgdmmnqc,5.0,Oikbnitywbnqvgycfuajqrvtfmuys,Iwxbhfqalqdppbgsmerhphrzgdjnmwiujxvuxfunnuruoyctorn,JURUW,1-155-740-9974,f,840.0,,Manpower,IL,456113.0,,1101433.0,Augusta,Oik9313,3.0,United States of America,Q,AZMNKHHZPQBNQXASKUOKJJQGWUOC,O
D,Pgikpnaekazewzwfdhpuluahsbvccoqavdqxwqymdhixwzndljkuykhfuyajqy,3.0,Fdutbsmhsdlvlprypt,,wgbyllvqa,1-365-387-3031,F,765.0,92.0,Chevron,TN,,5.0,1520350.0,Hollywood,Fdu9314,1.0,United States of America,,NJYKUNBYYAWWO,R
U,VLCJYGFBAISHEPUUQWLIEQTGOLJOJSASOQZWTA,2.0,BSVKTAAYQLBVKEPARMYOGGGK,Wichk,Kbxrynbkidr,1-699-774-1254,,490.0,97.0,Nasdaq OMX Group,HI,151157.0,10.0,1705062.0,Madison,BSV9315,2.0,United States of America,e,cfdnwicklpka,R
S,WSILFCMSYVVPQHPKTUPEVFFFWJFBV,5.0,qytpqwqyfthgmw,Vkdlnwlxhoyikmvjvznwjulowopjnekcnitxgwhoshduoo,Kjdjjhyquzix,1-111-491-8558,,650.0,70.0,Assurant,CA,359574.0,10.0,1648906.0,Las Cruces,qyt9316,0.0,United States of America,,PYQGPSFRHUQEHB,O
W,Zisyadnpflpbljwqtljdsntymrxcxllentwcsnyathtgoojvcrxwmsqeqepl,3.0,Uapgrvpwycjpjbnsxqdozq,,YIARXL,1-204-025-6092,f,318.0,10.0,Michaels Stores,AZ,162420.0,0.0,3534957.0,Concord,Uap9317,,United States of America,,FKJASEIGPATSLUBLCOLATFDEDAMTSV,O
S,ctqqxbnonarjdjaitrnqenuo,3.0,PULOEIKIYYYSCFSJIKVL,ntkedpcwsdwgwaugbeljgwxbaywoqnhq,Yvkjj,1-151-395-1617,,458.0,90.0,,PA,118416.0,10.0,2906056.0,Sudbury,PUL9318,3.0,United States of America,S,Javlatmbwptycth,R
D,Isesxjdjokydskgmfifykhlqyqncneoflyvzfqtjmfjokcroucaqpsbyzg,3.0,Vsijctsrojoqoj,Naont,Sfaicbotep,1-742-249-7532,f,508.0,19.0,NuStar Energy,CA,44735.0,9.0,1758546.0,Whitehorse,Vsi9319,5.0,United States of America,a,VSRWFROWHIFKTVYUJOUGLHDP,O
,Cwokpfcpoizsidxsmjpvxoevnlvbol,2.0,Ulqyabpugubryqtelqg,KRMKNJCBPRFBVGIOUCOPFXARDBLULKLMFWTRVSLENOQAFKLIAF,Hfsqglb,1-116-620-1198,f,600.0,7.0,Equifax,CO,265368.0,1.0,1876595.0,San Bernardino,Ulq9320,1.0,United States of America,v,Dikmhjzelxddvrlfv,O
,Sdtwfpfwflymjzfvudkwjbatvkvrmzlrwndwfkhdkizamlcguufxejpvlbnxegausyhocmokbwu,5.0,PXRRCICOOZNUSFTXV,Xgznkfoxypvihkafuffvllwv,Zssib,1-479-570-7693,F,470.0,48.0,Vanguard Health Systems,KY,90317.0,0.0,3364612.0,San Bernardino,PXR9321,4.0,United States of America,,awklsmzsxabkshblb,O
M,Clpcttsnhkiblzgifxaorhkjmkfmyyouokoxrhobrdgegwqhvdjmdsbu,2.0,BICCMYAGGJHYPZXHXWAD,MKNWVZEBDNXJQGSJOVZOIKCNLKWCXYAYGWDSDVAFAZCRA,Capwj,1-281-131-8778,M,367.0,27.0,WellPoint,NC,305683.0,8.0,960349.0,Tempe,BIC9322,4.0,United States of America,,Mqeqxfcadwag,R
U,CTASIRTBKXTJIXMYHMNSOSZPPTBKDCHHSPNYOWQZPEUXERHQFFTXERVERSYZUFTTGFOLUFEPOUDXKGJA,1.0,Egtmhllbazlgtx,UIUAINSDQUYGOYNRFULPCCZTPOQWZIXBCVFOLHYZKQCHRKQVUCTSQFNPLZQHVNQSNPMPKNHHMRV,Usyykxhpgnmd,1-246-441-5565,M,828.0,19.0,Charles Schwab,NY,312046.0,6.0,2434281.0,Winnipeg,Egt9323,3.0,United States of America,W,spqhwlkxxxzgohfy,O
U,qbmtdxwzzcvwkpmeulpkhfkrcmnketbyuvwwtrdmtjlqheyybouaq,0.0,Hwishmepjqmmrfiblcelvafulscrrh,Rghtyensqiwcrjfootkhcrj,Wmsrsdnxsua,1-106-315-9052,,791.0,2.0,Helix Energy Solutions Group,Saskatchewan,130547.0,4.0,1687912.0,Syracuse,Hwi9324,2.0,United States of America,L,aexqqtqlezfhfufldyzbwmfa,O
U,Dozbuvmjcfreqowskbqlcjytecyxa,5.0,Aizanjlxjpzujid,Iqxirqilnaetokwoaxqsmtnynnshzlptiyef,SXCRDAMJ,1-944-038-8243,f,770.0,88.0,Great Plains Energy,ND,54561.0,9.0,226828.0,McAllen,Aiz9325,1.0,United States of America,I,ZLPFFHLUSJAPY,O
W,,0.0,lbjeroxcnzmhaqnixybypks,kcomhbxoctjfuvcxwoownuxcbohmlvubw,,1-616-635-2195,,640.0,37.0,Granite Construction,Prince Edward Island,430056.0,,2682142.0,Hialeah,lbj9326,2.0,United States of America,N,JVNICHGFFIWAYQY,O
M,iuytdtnhthdsxxhedaxqrxfzbaesdq,4.0,klzfhvajxs,Lxryimwvxicjipjryesqmsxfhhdxqusuxocuudqrksxrccdxuwkjalqjbhsyk,Aaxxbmsskwa,1-109-509-5374,,485.0,30.0,TECO Energy,WV,208745.0,10.0,2356998.0,Yonkers,klz9327,2.0,United States of America,,Lrxhkz,O
S,Mstbmombzanafmeuwopwko,3.0,Vaqysjteypyisgkndgb,,Jrcoao,1-017-213-1159,,544.0,51.0,NetApp,DC,328669.0,4.0,848687.0,St. Johns,Vaq9328,0.0,United States of America,,Bvcopkcwckwjwngi,O
S,Rwercyyvajfmqjimrlzakftsyfzmissklrvixaevesrtupq,,iwpghalrdeuyuncpxojaianrokcuj,Hrjgfshvkahv,BYJKMHU,1-886-868-0874,,646.0,41.0,International Game Technology,CA,217250.0,4.0,735994.0,Albuquerque,iwp9329,2.0,United States of America,,BEQDMALRSXISLVXVRVDALAOCG,O
W,Tkiblzjttddhkldkheow,1.0,VDXWJBPHGD,Azxpmfnlgypttrcvfsoetbktcsjsvdlmbrju,gagsm,1-597-653-2241,,563.0,2.0,McDonald's,VA,386927.0,2.0,1439992.0,Huntington,VDX9330,0.0,United States of America,,ewxaehuvaxdvdkaooetxmttzxesl,O
M,anodqaakempciqtfdkyoiaaudkpfnn,1.0,XOTHLHFWLVNUDANICZVBHVZQMM,fdhrmqbrfsnpqgdhjpmgceeqmndsreqfqwpnufbjtgy,Dswflqojjpu,1-442-207-8967,,821.0,39.0,Steel Dynamics,MI,223494.0,7.0,1274990.0,St. Paul,XOT9331,2.0,United States of America,,Wxeod,R
U,mejbpohtvkfeupsibtnbvsquil,3.0,bgdjhofbkvrtcjcvh,Iapfxocyabqpafnphkqiitqckpeerpngsqcwunoyufxtcemppailkipmkxacuugmfrqfzgfmy,Qkbttvtpywe,1-270-865-8570,f,455.0,96.0,Helmerich & Payne,ID,372159.0,0.0,206621.0,Halifax,bgd9332,5.0,United States of America,M,VTBXPKOCFYKSVGTHHGT,O
M,Aygqdevttcwevcpjofqrvsyazlufpelcojluxpjgzhtjune,3.0,LWIJBHYAK,HHONPGZVCSSIQFDJOZIMQRHRINATOCKFGLDKBGPEZZCMAQTWQPIDXMQZEGCWLDM,Bbrzyk,1-346-294-4429,m,662.0,13.0,Lear,ME,462514.0,6.0,2310238.0,West Valley,LWI9333,3.0,Canada,,Iigvgshocsudihifqofrsg,O
U,EVEFBOACAIXQSLUXZBAGZZRYSEBNTWHE,1.0,EXKABAMXCPMPKWVLHILKMPGA,pifhdafzygmqtoilalaiduuliobfkvzlhi,Yunta,1-623-096-3088,,818.0,44.0,Atlas America,WA,93567.0,5.0,,Spokane,EXK9334,3.0,United States of America,,vhozqtlqagnmlphguedihgpfk,O
U,Bcznykrkaslevhnaweedykjucxyfozrlvqeoy,1.0,nyqidnnkakqlcwscaouyxuqruqae,Fuexijfecuwvbnziqrldiqhmcephfnzfvgncyebwmfqkzcvbiudkbyshvuofktichqanmreie,Vfskfmfa,1-863-400-3831,M,701.0,63.0,Jones Apparel Group,Saskatchewan,410810.0,5.0,2044618.0,Manchester,nyq9335,,,o,XEJONMWTVOPDEPMI,O
M,Eddgpqndjgpqymevdlswsntyypgyfspatbx,5.0,Hdihvvewyckk,Ugrlygznksqmynlvxbylnzxeokcpuwqudsllunbllagakkuyblskutuogodelddmbm,MZGVHDPMC,1-091-554-0668,m,547.0,74.0,Henry Schein,ND,177807.0,5.0,556278.0,Chula Vista,Hdi9336,1.0,United States of America,G,qsslcjawvsiofzkxhp,R
D,SFPEZOQTNJKQXXRCVMHZVCQCF,0.0,YEVSITPTTFMNXNGKCJ,,Mzrva,1-041-041-7084,F,511.0,13.0,Celanese,MA,220965.0,6.0,3284453.0,Toronto,YEV9337,0.0,United States of America,,pgcuoyfh,O
U,Sdbwmprktuutstrmylpdsemxukfyawudircimvpjzabgfypvuplj,2.0,jmbftxvvfwysz,wunnsxtohdflbukesllwffcrejntprpqwfiwxvvtkqcebmwqcnprtyh,wrstbrhrlh,1-179-719-7301,,776.0,98.0,Applied Biosystems,WI,7870.0,7.0,3775743.0,Minneapolis,jmb9338,1.0,United States of America,,Glrbqdnj,O
W,,2.0,Uhszphnuf,Wzkqkuyarzdaiivcerrihozmdguqfulmfmnxnmi,Hddgntm,1-036-500-9811,m,603.0,20.0,Las Vegas Sands,KY,359152.0,10.0,1974666.0,Dallas,Uhs9339,3.0,United States of America,G,Kphnoub,O
S,ggjwjsrznrbelzgkdfzotllwgdzsyssuudvayqqrxenwgr,4.0,Pmoyhbghbqnj,,Nccjzmhff,1-577-862-5813,,413.0,49.0,Coach,AL,244334.0,2.0,1329378.0,Salinas,Pmo9340,0.0,United States of America,S,Blehwqglsvnjq,O
,Stedvsjsbiprxgyfcnraxphyjgcwhepcebsszdueuitvgflnhydzetpvmzztcakyvwxlghppsvqvjiii,0.0,BMPLCGLDOJCAPBEVVZHTNKQ,RKRLPIAGGLCQCTZKRNBANXPJHQQDBWJPSKWPNTHRKBZOCLUSFKQMXITDPTDUYVSUEZBYVVZJNLAOB,,1-520-927-1380,,481.0,8.0,Ameriprise Financial,British Columbia,428099.0,2.0,2909229.0,Memphis,BMP9341,0.0,United States of America,,njrjui,R
M,Xitnikonfohknqcvljjwaqsywlhffxvyubgociapsnqrphewfmotbpkslyokr,1.0,HOCTAIMFPJDGZJHB,RGJGTKHEQAWNTWWTHQJQZORWIUJFCTVBAMZINETSATZFS,Cbabfkgrzovp,1-191-312-5506,,673.0,59.0,Vought Aircraft Industries,AR,325852.0,2.0,,Allentown,HOC9342,5.0,United States of America,W,Qnurlffgnzaaktkbefbposxwcuihq,O
M,Pnwkpjfpkwwbzptthdczopjtuk,1.0,uoebfrpkxmhqklwwjvmevu,Seqqgldmmbfolljsnjyjdryebucxbhbvohujbvavovhkqjrjhybeddughlqqftqfiuegwy,IWYMOWM,1-184-898-8716,,726.0,55.0,Hanesbrands,MO,,4.0,2869101.0,Denver,uoe9343,5.0,United States of America,,rgkgdgmaznapaerhtyitmjnwoo,O
M,Ihsuqhlqkqwazptbuhuzpokxblxlpuyduthengnibjqxiqgrmt,4.0,ddvqxpgrr,IMOFNFOSPKRCDECGTPSFNPONNWXRSLBIWTMYFEUGNPYNCLMTBSHWGDZIVNSVOQLWHRJ,WTVUWV,1-542-783-2509,,394.0,,J.M. Smucker,AL,31005.0,10.0,565070.0,Charleston,ddv9344,4.0,United States of America,,hqoguvgrwfkmyvvovmawu,O
M,Kwjhybjfioliqtmgimayafrmxgcjgmxbieafapypfstsotcjcivjppjznethgoguaetssslgp,1.0,AQOKLOKMDHIW,Rrrpritsqgyoxjqtngkrnjwsctmcxlbnmzrihihduqucaluzgacrlnzmu,,1-568-123-5187,,613.0,25.0,Conseco,NM,5605.0,3.0,2283039.0,Sudbury,AQO9345,4.0,Canada,,kdrfkneohautfhlwibh,O
U,Zglfmhnexkzhfftokgxkpzpzmkuvreermweramwhpfdoucitgpodnggraqjpmdmmbtjjrauw,5.0,Cxiybtaprkizhqhmwkjewlsjap,Limurlputyexlrupkgaexdgwpdrtvllnbmhksrsgvoqzdicfexnvqldfdfqhcqnqsqapvhkxz,Ilifeydpije,1-489-309-9438,m,361.0,8.0,AptarGroup,ND,159171.0,3.0,3189016.0,Gary,Cxi9346,4.0,United States of America,B,zlkrxlmxjljxbzfziqvekkpkugjru,O
M,Kevymmwjjstakccmcspcpguxdidcuntralspmydktxcvdljcstpladsw,4.0,Drrtwr,FMFEWKUHEWKCBSJWFFIX,Dbpohaojyxk,1-340-208-6107,,577.0,89.0,Helix Energy Solutions Group,OH,360692.0,10.0,2654496.0,Independence,Drr9347,5.0,United States of America,,Ddvmxsfq,U
M,OTJFKMFW,0.0,Bnojfhbfenwespohegwakvt,Pvxatpndkxvwrslzxxtlrpeicwblpiwhlqidngzvuzhnndmsvbikhxduxjsqhrtftpztotciumz,Uzuotmimptgh,1-442-696-6249,,455.0,9.0,Sanmina-SCI,ME,71803.0,3.0,2716732.0,Dayton,Bno9348,0.0,United States of America,,Wyfmbeamnwrthsnvhlnnaod,R
U,,4.0,ibmuehqxrxzeptwngsiezgvgaeztd,Jxmqxbyoy,yzgbigsdx,1-782-519-8480,M,647.0,33.0,Vought Aircraft Industries,WY,431130.0,9.0,266702.0,Anchorage,ibm9349,3.0,United States of America,,GPWOPXIJABYIJUVWOFTFUJXGBHXZ,O
W,ybijkuopzzyibycmi,1.0,Roqafammmuvpwxibe,Flxqbpmfihthvloklurscit,Tqzpn,1-771-983-0971,F,344.0,83.0,Thermo Fisher Scientific,PA,402077.0,2.0,3036109.0,St. Louis,Roq9350,4.0,United States of America,E,Gynofqdavqsl,R
U,zbvgstivcisyweayjxscnvodawooapsrvdwlbvfcwovbxexdt,2.0,Beequyncxupianpfvrtw,,MGHHRBBS,1-026-310-4002,f,702.0,76.0,Morgan Stanley,NM,317493.0,5.0,802666.0,Salinas,Bee9351,4.0,United States of America,,Nqtdnfcuesuh,O
U,nwsaodmchrfyqdzrpxrjdhhwkteuhjarur,5.0,pmtuqtkegdapmr,,Jhdqfr,1-904-123-5817,,602.0,21.0,Hershey,AR,242846.0,7.0,2121177.0,Cincinnati,pmt9352,2.0,United States of America,,ilugjogjdnclo,O
S,VEAMSVBKTDFPXKUHNSQILSWRZMLARWSIWUBZXISAVGBCLHSHOLJBTQXHXJUNNYKXAMVDULHTUFEK,,XNVOYYDIDARTIJAWVCTDKWCSHFRRUK,Vofselcthhgvuhsadnglmzimyuqgfsostiwcslnvstpqaasplp,GANTKFQISCB,1-236-421-1891,m,526.0,42.0,Noble Energy,WA,189279.0,5.0,3243442.0,Los Angeles,XNV9353,1.0,United States of America,N,qeeatmwk,O
