gncd,crdtrtng,g,nmbrchldrn,mddlntl,frstnm,phn,ncm,nmbrcrs,mrtlstts,wnrrntflg,mplr,nmbrcrdtcrds,ntwrth
MKQ9912,766.0,12.0,5.0,,Rujdxilpigmugmkhtxwsj,1-248-843-8017,6992.0,0.0,M,O,,3.0,2916832.0
AFB9913,341.0,89.0,0.0,,Dtaeroklwtyiyl,1-708-984-9780,309180.0,4.0,D,O,PepsiAmericas,0.0,1104262.0
Twb9914,570.0,11.0,0.0,,Xbhvqraybuaernzatbosvwnbde,1-328-471-4213,,3.0,M,R,OGE Energy,6.0,667902.0
lfz9915,642.0,99.0,3.0,,wnvartjntxrvsmdkw,1-182-809-0312,246734.0,4.0,,O,Gap,10.0,1873427.0
CPH9916,363.0,22.0,4.0,,Qxwuxtlmv,1-870-707-8696,92762.0,3.0,S,O,Family Insurance Group,8.0,3464870.0
Mbh9917,813.0,68.0,2.0,,Uonkncmclphyixsninpwrnlfg,1-652-374-2595,321743.0,0.0,U,O,Parker Hannifin,7.0,813850.0
Xep9918,738.0,,4.0,q,Bnwnz,1-423-169-1051,298505.0,4.0,M,O,NCR,10.0,207598.0
Pgq9919,700.0,35.0,2.0,R,Gugxxpxnthcfsxplempdizrtspjivh,1-718-318-5063,472587.0,0.0,M,R,ConocoPhillips,7.0,1983672.0
ZRY9920,511.0,,3.0,,RVTCCCFIHGQWTSOTUYTECIIE,1-653-791-2483,84781.0,4.0,U,O,Honeywell International,1.0,
lhb9921,408.0,64.0,1.0,,Vhrkcrjnnkcgvwt,1-574-075-7346,,0.0,,O,RPM International,3.0,2629512.0
tco9922,403.0,81.0,5.0,,KROEQLBZDNYCDLIEHGKCZR,1-109-000-5273,439717.0,,M,O,Zimmer Holdings,0.0,468793.0
rrx9923,,15.0,4.0,L,Mwgrjkjsxkatgciijrsojabxrwah,1-818-102-2606,211844.0,0.0,M,U,,0.0,3229310.0
Yws9924,531.0,63.0,1.0,W,Ekani,1-589-331-4934,,5.0,M,,AutoNation,9.0,3004304.0
DCG9925,519.0,41.0,,D,Thzjidothkikijmkcuqcrqautn,1-284-446-8984,95032.0,3.0,M,R,Universal Health Services,9.0,1617848.0
pys9926,313.0,13.0,0.0,J,Hjtqydvkbbjgfidzzsc,1-124-118-0596,138163.0,1.0,W,O,Systemax,8.0,769693.0
ihx9927,579.0,65.0,3.0,,Pczln,1-360-376-8323,446526.0,4.0,M,O,Sprint Nextel,8.0,1154495.0
slt9928,530.0,23.0,4.0,,Fdwjwioledpmtphkklcisodgum,1-666-477-6134,69393.0,0.0,U,O,NYSE Euronext,10.0,1054531.0
EOM9929,355.0,52.0,2.0,t,FVODCXQYOU,1-208-351-1734,14073.0,3.0,W,O,NuStar Energy,3.0,3360669.0
Ctt9930,313.0,40.0,3.0,W,KAEJYMFMS,1-229-318-2971,294077.0,0.0,M,U,,0.0,2842734.0
YKK9931,396.0,69.0,2.0,E,Rxnjhpdtnxalyl,1-773-149-4206,185014.0,1.0,U,,Abercrombie & Fitch,5.0,457529.0
Acp9932,792.0,56.0,4.0,w,Vxodobgpowkzgvheggillwr,1-283-835-0166,291320.0,5.0,S,O,Vectren,1.0,3529994.0
Svn9933,600.0,,3.0,A,JLRCYKLKDGORHNDA,1-499-794-9314,258469.0,0.0,M,O,Cinemark Holdings,8.0,2134962.0
KSB9934,344.0,95.0,1.0,S,Yiwqbrcfddouynpqdc,1-411-165-8892,279488.0,1.0,D,O,Furniture Brands International,1.0,3439269.0
glz9935,664.0,31.0,3.0,S,Yjcdma,1-450-611-8246,283927.0,3.0,,U,Carpenter Technology,8.0,1089291.0
Qwz9936,746.0,54.0,4.0,,KCJLTJRY,1-711-879-0121,54913.0,0.0,W,R,Costco Wholesale,5.0,1186944.0
Ooj9937,795.0,42.0,1.0,Q,Huivdqiyblw,1-607-189-9575,65141.0,0.0,M,O,Cooper Tire & Rubber,10.0,354550.0
ojf9938,,32.0,2.0,r,XOEZWVTIQJJLZYUQDNONWDVIMXAWAE,1-703-570-3406,25073.0,1.0,W,O,General Electric,7.0,2954808.0
Kwz9939,832.0,33.0,4.0,P,oyyolzonxnwmsghngupjuhvv,1-788-584-4878,222766.0,2.0,S,O,A.O. Smith,7.0,486311.0
FVX9940,365.0,94.0,3.0,,TDOEJIPGMAHQPHBDKMWWFUKI,1-837-966-7016,257636.0,3.0,D,O,Enterprise GP Holdings,3.0,
Sdh9941,827.0,20.0,5.0,,XWADAMSPVJR,1-764-781-9763,,1.0,M,O,,1.0,1641768.0
QTG9942,575.0,13.0,0.0,k,Eqzxwmlfbsirvassmouqudt,1-639-737-7537,14337.0,3.0,D,,Cabela's,4.0,2148413.0
JFX9943,832.0,88.0,4.0,f,Lilwhirpimhwuvjovm,1-220-082-0931,171557.0,3.0,W,U,Dynegy,2.0,968265.0
WMS9944,524.0,95.0,3.0,g,Ihmiacm,1-999-016-8444,492359.0,1.0,U,O,Invacare,8.0,285248.0
Bka9945,545.0,15.0,2.0,,pthwkenfgqxc,1-382-217-3884,348574.0,5.0,M,O,Interactive Brokers Group,5.0,1978929.0
Qlu9946,560.0,97.0,2.0,,Rldyrhpndzhhxhisxmv,1-991-923-9235,403628.0,4.0,W,O,W.W. Grainger,6.0,228156.0
Lsi9947,335.0,56.0,0.0,,Udhqnbgtxiueap,1-650-223-6393,343117.0,3.0,M,O,Adobe Systems,2.0,1831564.0
cwz9948,499.0,51.0,5.0,e,PNFOGF,1-057-448-9870,79562.0,2.0,U,O,Pfizer,6.0,1779473.0
KIM9949,342.0,8.0,0.0,,Jxiguuta,1-597-448-6618,469154.0,5.0,M,O,Capital One Financial,7.0,860482.0
WIV9950,802.0,79.0,4.0,A,Jgrkxejukoulngxbviknapz,1-035-171-4038,476233.0,4.0,M,O,Anadarko Petroleum,1.0,3622268.0
uxg9951,426.0,13.0,4.0,n,Qmmrvzwchuecuudbcodzbgqivjksah,,195396.0,5.0,D,R,Pepsi Bottling,0.0,1138798.0
vvt9952,421.0,47.0,4.0,,Hfgxehkfjknkwjobaelwnfvokft,1-432-890-3579,448092.0,2.0,S,O,Allstate,3.0,922109.0
HJY9953,530.0,9.0,4.0,d,Hgglzsgwkauyjzmedd,1-845-292-6913,342147.0,1.0,S,O,Teleflex,9.0,646544.0
NOB9954,452.0,68.0,4.0,W,gvniwounfdakxfpij,1-336-381-6195,93335.0,3.0,M,R,Harley-Davidson,4.0,3760420.0
Wpi9955,672.0,24.0,4.0,J,gdfbddim,1-411-418-8803,251230.0,3.0,U,O,Marshall & Ilsley Corp.,2.0,780192.0
WPW9956,504.0,63.0,1.0,g,Dqijevbyfxmnwsmhwwhnoces,1-474-116-8712,84409.0,5.0,M,R,Smurfit-Stone Container,0.0,2787515.0
Wbr9957,841.0,31.0,5.0,,Htoxjzjlccxs,,47384.0,4.0,W,R,Terra Industries,0.0,244252.0
AEV9958,695.0,64.0,2.0,,Htwumkbbazrp,1-665-795-4500,476045.0,4.0,W,O,Halliburton,2.0,3528341.0
Avp9959,369.0,4.0,0.0,,AGKIXBSZMPECHHHQUKLNHOKEOLFK,1-262-644-2459,2655.0,3.0,S,O,Host Hotels & Resorts,9.0,1994954.0
Ngf9960,658.0,23.0,5.0,,PDQNJUUUUCCIUOCJXWJ,1-971-200-4914,253846.0,4.0,M,R,Liz Claiborne,,1336108.0
XNP9961,709.0,60.0,4.0,r,BVPDLRZCPLRMGLDOIXRFGXECYUXIV,1-660-892-0870,486272.0,5.0,D,O,Annaly Capital Management,6.0,1817303.0
pey9962,545.0,13.0,0.0,X,Czpwjfdja,,274933.0,4.0,M,O,Franklin Resources,4.0,3454142.0
Tjs9963,363.0,78.0,3.0,A,cgngwgvsyqfwquq,1-362-620-3196,194656.0,1.0,U,O,,0.0,198600.0
uir9964,752.0,,5.0,G,Ofyfxqpaasoidvl,1-835-776-9979,182149.0,3.0,D,O,MetroPCS Communications,4.0,1428445.0
Yhy9965,631.0,13.0,3.0,,Toxoxanquhdceertldkbc,1-995-775-1277,476300.0,5.0,M,O,,7.0,
Kil9966,428.0,60.0,3.0,E,Orjdntjfplbqakbuxmmthknr,,96472.0,0.0,W,O,StanCorp Financial,2.0,3102320.0
sdl9967,325.0,19.0,3.0,,Ulcqxstmvfgqcfhpscaslrjon,1-893-384-4849,231626.0,0.0,S,U,Northwestern Mutual,1.0,3031369.0
gmu9968,612.0,88.0,5.0,X,YLHRUHNRNWICILUPAHKSVGNOTO,1-373-728-1522,49098.0,1.0,S,O,Applied Industrial Tech,6.0,1077981.0
Zro9969,,75.0,0.0,X,KJNUKPOCKHCAHXCIVBDIUOB,1-108-469-7278,344614.0,0.0,W,O,NetApp,7.0,2325514.0
Oyl9970,687.0,56.0,5.0,E,GBMAFFRZEEHNHYUY,1-964-738-6809,256466.0,5.0,W,,Belk,6.0,970103.0
Xfq9971,750.0,88.0,0.0,,Lmsxmfqiowccgxolpxasmkko,1-896-585-9857,246431.0,3.0,M,U,Pepsi Bottling,7.0,1769681.0
Cst9972,673.0,,2.0,o,Bhalpuavzynqdvtjouzflfkzofjko,1-950-666-3504,416080.0,0.0,U,O,AT&T,9.0,1024654.0
YGS9973,623.0,52.0,3.0,,Vnqvrsdgcgulndyqnfz,1-492-758-0108,232546.0,4.0,M,O,Humana,,249951.0
URW9974,792.0,86.0,1.0,U,Qpyrtyoqacwtedrhzr,1-469-855-0684,176152.0,5.0,M,O,Beazer Homes USA,8.0,1630478.0
LGE9975,777.0,78.0,1.0,,evbqtprgifjogzlh,1-906-550-1449,99224.0,4.0,S,O,Great Atlantic & Pacific Tea,9.0,2736671.0
SPK9976,377.0,89.0,5.0,J,WQZGL,1-492-565-4758,143783.0,2.0,D,O,Western Digital,6.0,3677397.0
svm9977,667.0,27.0,,o,ZSOLSRA,1-571-166-0406,305447.0,4.0,W,O,Caterpillar,0.0,2341352.0
TJH9978,458.0,78.0,2.0,,Gvrybqsjawbhdq,1-135-469-2934,75007.0,5.0,M,O,Michaels Stores,10.0,2405463.0
Jjq9979,804.0,96.0,0.0,A,QJETMDNHN,1-983-117-8717,256518.0,4.0,U,O,,10.0,3969807.0
iaw9980,366.0,23.0,3.0,,Noxnbiwwddjdmlqnfhmmkumpr,1-702-773-3515,387592.0,3.0,M,U,Del Monte Foods,3.0,3988978.0
Ucx9981,665.0,18.0,3.0,,KVBBBKYGPK,1-546-881-8509,346508.0,2.0,S,O,Alpha Natural Resources,2.0,2553164.0
Ebv9982,554.0,73.0,4.0,,JXWYQUMZBZY,1-002-192-0661,408235.0,,M,O,CarMax,9.0,3391162.0
qje9983,,86.0,0.0,X,ITJALLECYDTCBZTPBRY,,315970.0,5.0,M,O,Interstate Bakeries,7.0,2598686.0
HRV9984,600.0,77.0,3.0,F,TIBCWEQZYLONGLUJEKSKDHZ,1-426-470-5366,189077.0,0.0,U,O,HCA,10.0,3820785.0
oju9985,,90.0,3.0,l,wkeaoomrj,1-472-071-7502,314101.0,4.0,M,O,eBay,6.0,1453831.0
Uxd9986,617.0,91.0,5.0,z,Hgdmleltixaulnjdpznjlbi,1-280-630-5078,491753.0,4.0,M,O,Plains All American Pipeline,10.0,276003.0
eyq9987,637.0,23.0,4.0,h,Ldxldtsrrlnhcqiduhbcuarmqemwbs,1-097-067-2883,37449.0,1.0,D,O,Quiksilver,8.0,1649056.0
Axb9988,426.0,99.0,1.0,,Gtlikkxxmavsbfelnjztkyykjqtjq,1-859-786-9498,207312.0,0.0,M,O,Smithfield Foods,3.0,795362.0
rnd9989,321.0,4.0,3.0,S,FIQVBYVPXTCZGOBWAKFQNDQE,1-224-654-1813,321254.0,2.0,S,O,PHH,5.0,3364901.0
Azc9990,327.0,8.0,4.0,U,Pascia,1-706-896-5465,308024.0,1.0,D,R,Interpublic Group,10.0,3421108.0
Ekq9991,387.0,25.0,2.0,,Xunfpgmiq,1-745-491-0599,200225.0,2.0,S,O,Pinnacle West Capital,1.0,1091828.0
Rux9992,502.0,97.0,1.0,,Ngsyzhnzficj,1-595-653-6195,332722.0,4.0,M,O,Lincoln Electric Holdings,7.0,1081621.0
ZFY9993,631.0,25.0,3.0,,Vprkexgdpqx,1-440-294-2153,133787.0,0.0,W,O,Manpower,6.0,3184861.0
Lgv9994,731.0,,3.0,,DROUIVQEHLNXVKERAKX,1-615-571-0980,493546.0,0.0,S,U,Eli Lilly,9.0,1774335.0
Fgl9995,335.0,90.0,4.0,,Ffresvjlagngp,1-994-085-6113,314243.0,4.0,W,O,,8.0,611125.0
Hxy9996,808.0,62.0,0.0,,BCLQAOOGNX,1-426-325-7093,378017.0,5.0,W,R,Steel Dynamics,8.0,100413.0
hlt9997,,43.0,5.0,,Ericexxnoqdxiasju,1-905-614-4366,98857.0,4.0,M,O,Alliant Techsystems,3.0,824650.0
lht9998,589.0,87.0,0.0,m,QWWNED,1-313-539-4938,267298.0,1.0,U,U,Hovnanian Enterprises,5.0,2577348.0
Oyd9999,436.0,5.0,4.0,,Vmxddngcidumnggxx,1-314-525-4383,90464.0,0.0,U,O,Caterpillar,10.0,3029417.0
Bhz10000,732.0,38.0,5.0,i,btmmdefbmsekwxyw,1-317-441-2462,344571.0,4.0,S,R,OGE Energy,0.0,3474077.0
Lhr10001,331.0,57.0,3.0,e,mrkduarzytovvwp,1-241-235-6398,307585.0,2.0,,O,,7.0,1406446.0
Ohd10002,428.0,41.0,1.0,V,wodnecilctbajrcwrbl,1-610-804-4891,63385.0,1.0,U,O,Yahoo,3.0,407626.0
ovj10003,640.0,70.0,3.0,,Ovldwtd,1-675-268-0167,234946.0,3.0,U,O,Ametek,7.0,2968167.0
Ogq10004,340.0,0.0,2.0,,EQRNXKGSMCPKERM,1-463-461-8590,95378.0,4.0,S,U,Calpine,9.0,2655144.0
Nrd10005,799.0,46.0,4.0,J,Uegjsijczuzcndymzzpycbbaewoxby,1-807-997-8844,379612.0,0.0,U,U,Universal,5.0,608571.0
XRC10006,369.0,40.0,3.0,f,Etesvpucqewtfwguftpanc,1-072-522-9475,81172.0,0.0,M,R,General Electric,10.0,653937.0
rto10007,424.0,82.0,0.0,,XULEMVBHEZFSVAMAAFC,1-619-888-6726,55966.0,4.0,M,O,Carlisle,,747071.0
Mjx10008,622.0,89.0,3.0,Q,Ortsnhe,1-447-246-4565,207624.0,1.0,W,R,M&T Bank Corp.,7.0,2835796.0
Jso10009,663.0,6.0,3.0,x,Rcutrnrsqcadqsji,1-841-673-0814,424274.0,1.0,U,O,Service Enterprise Group,10.0,3211023.0
Crb10010,383.0,86.0,4.0,y,Vpxoqiwevvlnus,1-615-225-4904,56830.0,,M,O,Thrivent Financial,10.0,3143366.0
tzh10011,353.0,70.0,,T,Lhqiaepgiblszltvpfflgj,1-688-763-9982,406599.0,5.0,W,O,Goodyear Tire & Rubber,8.0,2870170.0
Xfd10012,581.0,100.0,3.0,,zlnpolfxjiesmad,1-220-554-5813,394424.0,,W,O,Brown Shoe,9.0,1001653.0
Lmf10013,500.0,14.0,2.0,,dkotsxvkmitaiznvnjjv,1-571-220-6767,30696.0,3.0,W,U,,2.0,1023484.0
Gop10014,330.0,1.0,2.0,w,Xmudqewcetmscpetxuxxavhxxyu,1-537-987-9492,190881.0,2.0,W,O,National Semiconductor,2.0,2923681.0
Xpw10015,651.0,88.0,0.0,,Uygfvgzcdbsekuocbkuou,1-419-745-2569,7744.0,4.0,S,O,SanDisk,7.0,
Ben10016,735.0,23.0,3.0,I,Hemgvcmndhtvrpycfw,1-242-357-9176,115929.0,5.0,M,U,Patterson,3.0,2614217.0
vfo10017,582.0,27.0,2.0,,msbvogeyttcwnchcsachdznmfy,1-311-650-4217,340441.0,0.0,M,O,Aon,4.0,1103724.0
Yfh10018,475.0,77.0,,e,QZMECIXREEHVFIA,1-130-807-7466,208736.0,3.0,U,O,Martin Marietta Materials,3.0,
Ndi10019,548.0,10.0,0.0,,Zciepwfto,1-410-352-8064,10024.0,1.0,M,R,Corning,4.0,2187825.0
Nvq10020,705.0,12.0,3.0,,WQVOHLGXPISTFSCYQTXA,1-208-898-6958,,5.0,U,O,Consol Energy,5.0,865624.0
Zmi10021,456.0,60.0,,,Iwnbfjnq,1-450-413-5347,,5.0,W,U,Warnaco Group,0.0,2063636.0
qtt10022,575.0,19.0,3.0,t,uosvokdxoqulgpkahhirtcrokwb,1-600-676-1137,153002.0,5.0,S,O,Beazer Homes USA,10.0,
GRI10023,694.0,77.0,3.0,,Opmtvwbkmxk,1-675-464-0057,57895.0,5.0,U,O,,4.0,320429.0
Eau10024,343.0,100.0,3.0,,Ohiftagrxicnz,1-059-243-0540,,4.0,,R,Steelcase,2.0,429522.0
Xdh10025,304.0,36.0,0.0,,Ybwgijz,1-124-255-9435,254815.0,3.0,M,O,Unified Grocers,2.0,2417260.0
Gtk10026,776.0,3.0,2.0,P,nomkrafhteeleriiuqan,1-913-090-8549,149808.0,3.0,U,O,Sun Microsystems,7.0,2924753.0
Vxt10027,496.0,32.0,2.0,j,xekiwxaaijnipymvntqhgrdxbnc,1-151-623-8702,197887.0,5.0,M,O,Fidelity National Financial,9.0,2237097.0
Mxq10028,775.0,30.0,2.0,K,NJSTAEVRQFMRFKJSJMDGYMOLJDWM,1-792-751-0393,100236.0,1.0,D,R,Washington Post,2.0,1700638.0
Xdy10030,709.0,2.0,2.0,P,XCRIZHKGDGQPCSDAGMMYFMA,1-370-533-4546,471903.0,2.0,M,O,Baker Hughes,10.0,1645270.0
DQG10031,387.0,73.0,3.0,,UOLVXQHFDICDSRSBIIFOYFMXA,1-871-898-7648,253467.0,3.0,,,Dentsply International,4.0,1695223.0
cyc10032,479.0,21.0,3.0,z,THWFNFVKDPQVFRJTBWH,1-498-887-2381,343089.0,3.0,D,O,FPL Group,1.0,209987.0
qlb10033,525.0,4.0,4.0,,TKMGIUHYGXLSUFPMO,1-835-940-8907,174235.0,5.0,U,O,VWR Funding,7.0,123327.0
Qpl10034,511.0,43.0,4.0,,WADDHAHRG,1-864-714-0995,408801.0,4.0,U,O,Intuit,3.0,3785648.0
WUV10035,802.0,81.0,0.0,,Rpauzvnlmj,1-142-414-7706,122309.0,2.0,U,O,Bed Bath & Beyond,3.0,3462238.0
Lgk10036,518.0,81.0,,,Bmbfuqpkylqtabsoo,1-407-947-5386,285722.0,3.0,S,O,Diebold,2.0,2630578.0
Tcd10037,374.0,75.0,2.0,G,Fgfyohzbse,1-258-739-1381,212558.0,4.0,U,O,Darden Restaurants,9.0,612958.0
kxt10038,652.0,11.0,,,Atsmrfhsuxxzzjgrvuskhtcpwhs,1-672-102-3843,151023.0,5.0,,O,Piedmont Natural Gas,1.0,2534811.0
HOS10039,501.0,90.0,1.0,g,JDUWXGLXRZQGCAXEWFDFB,,,,U,R,Gannett,1.0,3983470.0
XSI10040,694.0,82.0,1.0,i,Qfeuqpefmnlweyjwveurw,1-769-294-8359,73141.0,4.0,M,U,,4.0,1655697.0
KPI10041,338.0,38.0,0.0,,Surnvnzyflcflufbmtbtxgmf,1-681-729-7853,481681.0,,M,R,World Fuel Services,1.0,1819333.0
hiv10042,389.0,96.0,3.0,,Lgkfbfksctf,1-260-360-1152,53062.0,5.0,M,O,E.W. Scripps,0.0,2590567.0
qxo10043,697.0,90.0,0.0,E,Hucilm,1-009-619-1159,309730.0,4.0,U,U,Fifth Third Bancorp,2.0,1771470.0
Gsp10044,630.0,98.0,5.0,L,Zsyzerhllwvvtebs,1-799-905-6697,400198.0,2.0,M,O,National Semiconductor,2.0,3773953.0
Fkv10045,540.0,31.0,0.0,R,Jmzhcwuot,1-778-455-0101,36994.0,1.0,U,R,3M,,2772818.0
RQZ10046,547.0,34.0,5.0,Q,HHWQIETLUW,1-734-700-3184,342771.0,2.0,W,R,,,3224271.0
GRY10047,533.0,100.0,2.0,,rpoptepsvyphifrcyvlaoghqedn,1-287-138-0050,171960.0,0.0,U,O,McGraw-Hill,3.0,726190.0
Uhu10048,812.0,73.0,4.0,p,ITWICSPPTODNDKNRTXBAYVOJNACE,1-655-905-8881,308562.0,0.0,,O,M&T Bank Corp.,3.0,3762880.0
Enc10049,553.0,100.0,0.0,b,Kxwqxlwjkbbsghzjxuwghmws,1-292-945-9624,,1.0,W,R,Fred's,4.0,1686253.0
Dgz10050,730.0,61.0,3.0,,Wuvwv,1-803-082-5990,30979.0,1.0,U,R,Motorola,9.0,726053.0
Xsi10051,615.0,72.0,1.0,,PQXAZLUOMLEMJAMLKJASMKTHLGIDF,1-688-610-8556,301764.0,4.0,M,O,Children's Place Retail Stores,10.0,3222421.0
Tqq10052,654.0,34.0,2.0,D,uirzkqxe,1-510-911-1412,367956.0,3.0,U,O,UGI,8.0,218472.0
Vbj10053,791.0,23.0,3.0,,tfvjjosukkhroqfbblvvlpitdssc,1-483-303-8915,121964.0,4.0,M,O,Cincinnati Financial,8.0,3441222.0
Kpb10054,332.0,61.0,4.0,W,hezgmmyxnurbugqbkr,1-479-489-4960,353936.0,3.0,W,O,Amkor Technology,0.0,1329934.0
pgh10055,510.0,51.0,0.0,,Ftmldhkwfjjdkdn,1-279-217-5453,463771.0,,W,O,Perrigo,10.0,2881163.0
Utw10056,666.0,16.0,0.0,,ocdekfzezia,1-632-565-2831,323990.0,1.0,,O,Harley-Davidson,,3431520.0
osk10057,594.0,84.0,2.0,S,Haxcuirbxzghiylpchsnj,1-886-121-4794,476366.0,0.0,S,R,American Greetings,8.0,203573.0
MZP10058,,33.0,3.0,,Dykrutfymrfqecuvbwyujgbtjwyvj,1-070-535-6972,,2.0,D,O,Ashland,1.0,232850.0
Ixo10059,677.0,67.0,0.0,A,DACHJNAAGH,1-933-413-2342,134760.0,3.0,W,O,Scotts Miracle-Gro,1.0,230107.0
SMA10060,484.0,23.0,0.0,,XVFGUSHBBGKB,1-891-019-9037,420695.0,4.0,M,O,ScanSource,8.0,3683833.0
dge10061,436.0,98.0,5.0,x,Punva,1-109-880-5806,396813.0,3.0,U,O,CarMax,2.0,2315776.0
zrj10062,480.0,78.0,1.0,,Ouczxanszaaveznwuvvd,1-831-077-5103,161845.0,0.0,M,O,Archer Daniels Midland,,
yuw10063,514.0,0.0,3.0,,SEFBFVAQEXXTMLEFRUEDELTM,1-368-825-9338,460815.0,3.0,U,R,Walgreen,3.0,3261613.0
WIR10064,658.0,62.0,1.0,U,ZHARYIVTAYLXGGOGMY,1-111-668-4356,105812.0,4.0,M,O,Micron Technology,10.0,1255727.0
aey10065,465.0,72.0,1.0,,CAEWDAZCOWTWYOUCHHXRUQTR,1-934-310-6708,82416.0,2.0,U,R,Hovnanian Enterprises,0.0,3068148.0
CTU10066,508.0,21.0,1.0,r,FERDTAINXZQN,,13053.0,2.0,M,R,,,1599721.0
PPX10067,375.0,92.0,0.0,,Msxscbulohz,1-098-084-9093,498286.0,4.0,D,R,Blockbuster,6.0,1691481.0
Lho10068,751.0,73.0,5.0,k,Fauetkegduqpslyljskmoajfocigq,1-294-965-8900,303617.0,4.0,S,R,Patterson,6.0,136905.0
snk10069,,45.0,2.0,,Kwhcghgtntrpwojvsgxr,,399677.0,5.0,M,O,Temple-Inland,,3129743.0
cvd10070,665.0,88.0,1.0,,ebuamqjd,,144231.0,0.0,U,U,Abbott Laboratories,1.0,2693706.0
ogt10071,436.0,4.0,0.0,i,Liozxbiqtegiuspwiykjedgvwt,1-048-096-5918,373697.0,4.0,,O,Integrys Energy Group,4.0,16462.0
Fno10072,337.0,30.0,2.0,,Psdtpsbuaupyksaepannfqt,1-283-862-3359,307469.0,5.0,S,U,StanCorp Financial,4.0,2155019.0
lfp10073,583.0,74.0,4.0,,Vixlmcrbgmkxzlxnfuprada,1-001-377-1529,122087.0,1.0,S,R,Olin,6.0,3690017.0
Gmp10074,,66.0,,,Tumufkuqumtxnggibahyjkp,1-315-660-4386,261407.0,0.0,M,U,Catalyst Health Solutions,0.0,3540302.0
Ntq10075,391.0,100.0,4.0,P,YSQXUVGAW,1-406-599-2861,31387.0,0.0,D,O,Fannie Mae,4.0,1692798.0
epg10076,761.0,22.0,1.0,,Xefnyyvum,1-448-934-9856,157597.0,5.0,M,O,Coventry Health Care,3.0,3331506.0
xug10077,745.0,69.0,2.0,,BRUNVRDDM,1-739-095-9177,378281.0,5.0,D,R,Brookdale Senior Living,2.0,1356771.0
Wuq10078,750.0,38.0,5.0,,Exddzuaultnaymkf,1-263-330-3722,480199.0,1.0,U,U,AECOM Technology,,349586.0
nkv10079,817.0,30.0,,,LDZTCIGFMTTGOSMGVBJDOSO,1-717-139-3674,46065.0,1.0,W,O,Bemis,6.0,2058296.0
NUT10080,316.0,36.0,3.0,D,Almryqsq,1-722-770-3518,255263.0,4.0,M,R,Alliance Data Systems,5.0,2114682.0
HIS10081,455.0,16.0,1.0,,cdnueynqvjodscbrsjtjmece,1-384-014-2572,225331.0,2.0,S,O,VWR Funding,,3647819.0
Jyi10082,654.0,16.0,3.0,,SAPVDZJUHSQIWBCOIX,1-194-403-9641,338565.0,4.0,M,U,Wyeth,2.0,3183870.0
xwa10083,333.0,96.0,2.0,G,Tpfmeigbohkwbmsefzai,1-743-589-1084,417002.0,5.0,W,O,Becton Dickinson,8.0,2003485.0
Otj10084,694.0,95.0,5.0,c,Dxuacelnwciqceyjkwhqmt,1-748-948-6135,12553.0,2.0,M,O,Calumet Specialty Products,6.0,1056073.0
Oyf10085,746.0,84.0,5.0,i,fkgeuojqonkfwnpsi,1-488-954-9587,443000.0,2.0,M,O,UGI,9.0,1649128.0
bte10086,631.0,10.0,4.0,Q,Ipyeqetwhcdqlidlyzixwzql,1-487-588-4438,,4.0,U,R,Dun & Bradstreet,,3061951.0
Pcf10087,352.0,16.0,0.0,,Cxqsbgxayhycbssivxy,1-994-369-2884,169061.0,2.0,D,R,Marsh & McLennan,4.0,
Bmu10088,505.0,66.0,2.0,,Dgznrcdpohwulxz,1-522-544-3796,465786.0,3.0,M,O,Aramark,7.0,1609930.0
Yev10089,318.0,63.0,4.0,,RAOXAOMGHVVLRVD,1-917-689-4879,191808.0,0.0,D,O,Genzyme,2.0,3250568.0
Mpq10090,302.0,85.0,3.0,,Rxcuzlkevfvvcawyg,1-366-779-0853,18428.0,2.0,M,O,Stanley Works,4.0,2421503.0
Blb10091,469.0,42.0,5.0,,dlbghmdfwrdebiylxtdoorcefdaw,1-506-111-9309,72492.0,2.0,W,U,Martin Marietta Materials,4.0,3779989.0
Psf10092,,6.0,0.0,,Qscumqakosrqyipunlfayulompxpeo,1-255-264-5230,358276.0,3.0,M,O,Avnet,8.0,1042465.0
Ixg10093,449.0,,5.0,S,gdnrdqrnulntwegwue,1-171-379-4196,,,M,R,Annaly Capital Management,7.0,412817.0
Ldb10094,400.0,60.0,0.0,Q,grghvulpjvjsgnihkcvebptpvh,1-843-912-8827,295516.0,0.0,U,O,Fluor,8.0,1050013.0
Gms10095,541.0,80.0,1.0,A,Vbpdsdepvifagpky,1-561-132-3037,346045.0,2.0,S,,Timken,2.0,3171403.0
Gtp10096,710.0,0.0,1.0,,Zwxozxokoejspdkofgxcfqnefqfxlm,1-431-389-7830,15757.0,4.0,U,R,Toro,7.0,1973343.0
OHA10097,395.0,4.0,1.0,Z,XBEEKD,1-552-424-3133,441529.0,,M,R,Smith International,1.0,783159.0
Uld10098,792.0,,3.0,,KKOHPRKQQLICZMXKWUUMUJVEP,1-335-601-0235,374311.0,2.0,M,O,Texas Instruments,0.0,2991020.0
Kfv10099,818.0,69.0,0.0,f,Jjbkkz,1-616-041-5276,67592.0,4.0,M,U,Pitney Bowes,6.0,1314466.0
Aqw10100,652.0,10.0,3.0,r,Nhbkeuscolvlrpdcbuufegr,1-549-786-7335,476468.0,5.0,M,R,Hanover Insurance Group,3.0,2068936.0
tpe10101,760.0,15.0,1.0,k,nljcn,1-315-097-9135,102926.0,1.0,M,O,Enersys,4.0,2045428.0
