AgID,Ci,MiIn,NumCrCar,AddL2,A,CrRat,LaNa,MarSt,Ge,Ph,OORFl,Coun,AddL1,NuChi,Inc,NuC,Em,NeWor
MBL9745,Richmond,f,1.0,VCWUEPMXM,48.0,523.0,MBLKETVGULOVSQHKVNWDRM,,M,,U,Canada,MWHQKCMZKJEEGRODBNWAAENVTLKXELJPUJYOVFZQXNAD,5.0,187633.0,5.0,SunTrust Banks,2391361.0
IFB9746,Waterbury,O,2.0,UYUMAXMJFQJWJRHFFXAMXYIEWTLSNWRSDOEJWGPCFVAREJFBZIQWGUYQWOOPBQMNHEUMZNQU,36.0,570.0,IFBJSNFQJHOCZ,D,f,1-499-752-2335,R,Canada,KCVOJYWMMLIXNJWYWADJVPLDVQD,3.0,457959.0,1.0,Motorola,3806448.0
Sru9747,Santa Clara,S,10.0,vwqewconorbilvfxcxgyzogqpgobswallxgadijajtfvtrswaplhcnkcmedabisgjfhuqaajg,,729.0,Sruqfw,U,f,1-971-778-0152,O,United States of America,Vbkxfjjqcqvgncfngarntiurvdbmktgmmcn,2.0,279576.0,5.0,Cigna,2348293.0
Esq9748,Newark,h,6.0,fbfbjafdqopuhcemhpuieauuymilqbcnivdqthobubgaxacuuynuplevhfsublquwgstagl,8.0,453.0,Esqhltcubozghjutf,U,,1-327-221-7261,O,United States of America,Sdrjwsaptcszruufsdccnylxdghedyevypbffvmbdcabvculchhujaprddwiilmfarqrajdovquiio,5.0,76307.0,1.0,BorgWarner,2794519.0
Jbk9749,Costa Mesa,h,10.0,Yalsboqntimqpf,69.0,501.0,Jbkwofyyk,M,,1-266-735-1050,O,United States of America,Hvphoca,0.0,150356.0,3.0,Pep Boys,3981941.0
dri9750,Hampton,X,2.0,RUADEMNXRPFIDUXCGGFKXIOQNUNOCYUHLZI,7.0,737.0,driovrqyknts,U,m,1-235-910-5247,R,,pwuodgaxedouvomssqqljtsowqcyqsxvnpwwbahveoxzkljnw,5.0,281781.0,5.0,Duane Reade Holdings,2484656.0
CLQ9751,Fairbanks,V,7.0,Ptsievhrqbvsafhifexxngjeykmfkeeffwrbjsojdm,22.0,663.0,CLQYZOP,U,f,1-222-954-3222,U,United States of America,PMZKRNELCQTMEKRASKPDYIORYKJKETUXVHJDCGZUOPKK,2.0,480928.0,4.0,Metals USA Holdings,829464.0
Wde9752,Miami,,5.0,LIBVPSLNYU,57.0,455.0,Wdeawqamvqwqwxfifiqffjp,M,m,1-367-453-5459,,United States of America,Vmlanumikunrntcwrthzoraimoodvyidnhvkvqohw,0.0,47477.0,0.0,Avon Products,2766748.0
Fus9753,Victoria,V,8.0,Hpgxazmluaedxglpozjwxbbwhfuscnbp,96.0,716.0,Fusjewkguotgdhgvig,U,F,1-440-119-4367,O,Canada,mireswmbvwq,4.0,,1.0,Markel,3851436.0
AWZ9754,Charleston,,9.0,wdfetrsarawqcpvhkuiufudzbrkpyrjzoezhahfatblyoasnwvry,5.0,394.0,AWZMVKKVLKHVIWSWEBL,M,,1-017-402-7313,O,United States of America,feawwriypqivvzvjmauhekiquhbzryrwzwhivsxjeepbutqswwitgxvtfbtzvad,5.0,202337.0,,BE Aerospace,
EIW9755,Tampa,,7.0,Wizdlrzgeioftkybeqiitnpeuxvcqpjtjlsztjciowwenrkrweizer,10.0,624.0,EIWUWLIC,S,F,1-634-288-6589,O,United States of America,Qlgeewyjfiynrgzqgfniakbwdolkpvrbutudqcgavmzqyh,3.0,259743.0,4.0,Burlington Northern Santa Fe,3438394.0
bom9756,Lexington,W,4.0,NAMUIQGTTCVAAFPKHYPMGGM,19.0,822.0,bomasfnkusfkxbffsxqz,S,m,1-815-478-3247,R,Canada,Jsdmzvimmsflmqjpgletxgixlfurgsrptljflonjgfdeqhmslpaghiquyukguieonodkeujwvrf,2.0,473020.0,5.0,Sauer-Danfoss,1952019.0
WPO9757,Sherbrooke,,,Xbmgxfpgyoafgsyskvtmriseivpcyrfvxbzxliftjxqqzcmdsgynugbrlvpogxauywh,95.0,742.0,WPODTYIVVBXSTTBBMS,S,,1-430-006-1717,R,United States of America,TFCORORJWITRNNBJSKQHSCSZCSPFBCRCFW,0.0,350535.0,2.0,BorgWarner,1002370.0
Ewe9758,San Bernardino,Y,7.0,ATQKGWURYGUBRMSJRBEIXWXE,95.0,744.0,Eweqpakklabbogjnsbmpgccd,M,,1-408-553-9606,O,United States of America,BSMKPO,0.0,495731.0,1.0,,401126.0
Gdp9759,St. Paul,,0.0,GXQDLJHRHTWGAGHWRCPINCGBUAMOAROVDGCMAHDOZT,17.0,804.0,Gdpnurtsq,U,m,1-512-806-6987,O,United States of America,TELKSJLXIATKOEQLHQUWDRAIEOFFHUJAE,5.0,266068.0,3.0,CarMax,738712.0
pkg9760,Laredo,,3.0,STCNUZOYJ,2.0,740.0,pkggeqplcssuhuqkreggmsqn,D,,1-127-705-4220,O,United States of America,MWRUEFFWEERWRDVLHIDDDNBEKDVKSVMTJRHOMXANORMAAGCUTBRUGAOBAMVNSZFTDOOVVPBXIPNKLD,1.0,13742.0,5.0,Realogy,368588.0
Ppp9761,Montpelier,T,5.0,ylxxwyvligvpspcnnlmprmsp,50.0,643.0,Pppsggcqgatwfb,U,f,1-597-278-9123,O,Canada,rngmtjwbwrzfxfajctsvjdqzykblrxmudkufqkbb,4.0,158464.0,0.0,Domtar,2868652.0
HTN9762,Warren,,1.0,udsnealvnngrfqnfgtyxoygglfmeywibke,3.0,537.0,HTNOPYSDEQFVIKG,S,,1-310-889-2244,O,Canada,Oljgbjqntydnpx,5.0,217501.0,5.0,Expeditors International,3706122.0
Jmb9763,Columbia,V,6.0,kkwelvlvfuihlimdpmacmpxshgygvisfgiquauiebjedxefhkmlnfea,35.0,838.0,Jmbqiifstykosxfu,M,M,1-176-469-4736,O,,Thjwtusfbqsvrpuciwvahwdhlkunjssdglraxehjrtdecxpfyvebrslfw,5.0,360528.0,3.0,Reliance Steel & Aluminum,
BYA9764,Plano,,0.0,Rrtewwnduecmflxdjtqasxmrmhsjaqq,29.0,673.0,BYAJHUXGYMTFVIMETPYMZBTGXODFU,M,m,1-126-977-4741,O,United States of America,tchchmwdxcaogigxlwbwoudqikrokwbiiselnnuxhszrislptmtykae,0.0,249634.0,3.0,Archer Daniels Midland,126280.0
Lfg9765,Erie,J,9.0,Ijjpvqrgaewdvtmkhrbtmjeptkxvtbwymlk,70.0,673.0,Lfghn,U,M,1-640-749-7987,O,United States of America,,4.0,19012.0,3.0,Snap-On,3391430.0
aui9766,Eugene,,3.0,Qhuophszcwamtfuxbpwvnqnyfixrnanjofagizrwzsbizdzzbttfonadledsyofluqacgrww,10.0,690.0,auidnolwwibkuqmnvmtzixuveltp,S,F,1-128-600-4335,O,,Qyrgvxgwvcsffvsncljmhvooctrpsgskzrroqgnmtaolgtxslc,0.0,260411.0,1.0,Rowan Cos.,3857035.0
Tse9767,Yonkers,,6.0,Pgsocilotmypftqdis,,313.0,Tseiuqyxevfredxlqkyhbtxodf,S,,1-391-125-3176,O,Canada,yuglprxvxiozxefdhazbscxegutmbqesfuxucwpmqdtmomuqnkwiqpoqlfkocxa,0.0,428633.0,0.0,Jones Lang LaSalle,998642.0
Qqj9768,Provo,w,0.0,Nwdfaclbgqdshcqbbnkvavzsuywhweqjjwxckacvsmpomilnw,63.0,561.0,Qqjmzuytjpnake,M,,1-489-334-9152,O,Canada,Pdcxlwbpaxnmkkxctgxotbnsorhqijulljjdehwppcmpevdgnxdfojcvosprbdkcqqhdhcnc,0.0,485730.0,1.0,Valassis Communications,356647.0
pwv9769,Dallas,v,6.0,Tsulnmvkayf,80.0,678.0,pwvdhumjdrapvwcypzeemrcd,M,F,1-527-060-6688,O,United States of America,Fdntqquolg,1.0,376278.0,3.0,Superior Energy Services,
Rvb9770,St. Petersburg,,1.0,,,391.0,Rvbomlocexofznsbxiedukcovlcash,S,m,1-842-863-3693,,United States of America,Ptalsqkabslroiszsddyqijqusgvfhphvkuwsdembbtfqqnzfqdrpipsqqmoaujuaud,0.0,483333.0,5.0,Bank of America Corp.,1736087.0
WIC9771,Madison,D,8.0,oouyaaqjrtfhrefirlthtwlvyxlfakhiitn,68.0,556.0,WICRRWABLIDDPNT,M,,1-631-365-2065,R,United States of America,XYTNPKYBCZWISTEVTGQDRYEWOFUEOCELPQMVUOMEI,0.0,240007.0,2.0,Penske Automotive Group,2551540.0
Zje9772,Grand Rapids,u,1.0,joqiawipoyerydkdnhvvqkslogxvyi,69.0,730.0,Zjewxdw,D,m,1-783-817-4776,R,United States of America,Evtzfybzzzhirauewbwauynjzriiyfjvag,4.0,334773.0,2.0,Colgate-Palmolive,861964.0
Jba9773,Jackson,Q,2.0,Xoxyjjbjh,98.0,718.0,Jbaukn,M,,1-775-482-3616,U,United States of America,qzomiq,0.0,270739.0,5.0,Stryker,
Dsg9774,West Valley,,5.0,vcouhbpwcauqcutgehempojtehnbnaxedcjorufbqxktvbdwh,36.0,575.0,Dsgwlletrzvr,U,F,1-188-214-9956,R,United States of America,RBXDIEFFGNGGKAEKRTEQLNMCWEEAJDWHZWSQOPAAUJOCRHAVTBDGDQWHCIOGALHUTCCCLD,1.0,415362.0,5.0,Service Corp. International,2891160.0
VCH9775,Philadelphia,,5.0,edkgxsdekwsdeameqfedsynmoadwrz,82.0,720.0,VCHIHGOPFG,U,,1-689-730-8281,R,United States of America,Eosdhkptggmjn,0.0,440482.0,1.0,Service Corp. International,520676.0
udj9776,Omaha,d,5.0,Lgqsmpohsymcctuncvdoekdjsfsjsionpiijnjftzxuyyannddfcoqvxmdu,92.0,320.0,udjcyuh,M,,1-185-666-4477,O,United States of America,geytpqgpmnnnerimzpeioedmczddgtswkhpvadxsiomztlsptiyrxifxglmpp,5.0,414410.0,3.0,Occidental Petroleum,910547.0
lhr9777,Columbus,o,0.0,rzdpywzqvsaipyguybafvhkmoandovki,27.0,403.0,lhrcvldxceekt,,,1-400-323-3151,U,United States of America,Rectcvxesckqcylohqovcpqzrvzcybkjmmxybuoq,4.0,493647.0,5.0,Belden,178958.0
Eed9778,Elizabeth,C,0.0,GDPQEJCXPOBBRLEADQPIYUGWIQTIQCVTSYVUCAHGRUESUDWXTDCRMHBMHTFLJKSKKUNMTCWHMH,43.0,,Eedzplwkszvaglolkqqdjbxmxu,W,,1-527-194-1440,O,United States of America,Hhnsoxeosdepsiccxhugdsyhvdvetfkyryoedrpzuthfpzjjjpljutqhhwmkavbndmzc,4.0,339925.0,4.0,Cisco Systems,179723.0
Rjy9779,Amarillo,F,7.0,Srfiofinkomfjuokrbufnzrsfzbbvkw,31.0,521.0,Rjynzgeosfrfmjcmimc,M,,1-592-334-0332,O,Canada,Rtegnlwpcquztuldq,3.0,435223.0,2.0,Regions Financial,560038.0
Otz9780,Waco,V,10.0,Qavomoxdprzsbodhohxcwofcrioohzivqmvpmekokmojjlsxevzkdvpy,84.0,493.0,Otzotclmdhwa,S,,1-192-355-9148,O,United States of America,sxbdyvmvvrknbkqkaqownpfjhzlrkcnhmbiicbzszlfgzzadhkkbfwmxahcjxsudctqbmgmdeidhd,,35941.0,0.0,Seaboard,48989.0
xnq9781,Atlanta,z,9.0,Waqacknjvbcwcynhzewbntttvq,78.0,650.0,xnqpxrkbqibq,M,,1-424-574-5497,U,United States of America,bjdccsqrgtbi,5.0,435372.0,0.0,Sovereign Bancorp,3631565.0
efd9782,Orlando,g,6.0,INKKDFCJXPICWPXHIYNMZ,98.0,601.0,efdcdsbcbpaq,U,,,R,United States of America,vczyozownhexb,0.0,38603.0,3.0,Staples,20964.0
KFQ9783,Edmonton,,0.0,Romcwtnhobcly,0.0,466.0,KFQHLTQFCIKMWYHBTAOM,S,F,1-847-549-4326,O,United States of America,uvoyqgllnejajchbewilqdvdrdiuixnnufjuincnychwmmfvhsvpnijdiuqdygcuohhbykcvkct,3.0,367985.0,1.0,Sigma-Aldrich,3152680.0
BTV9784,Escondido,K,0.0,Kjraggvvhttkqghslryvpqhciodupxmusfiriaxnfmyabhadsowvxzimhamumyn,23.0,619.0,BTVQHLMSTBUWJNTBNUPCBUZQVAHUR,M,,1-116-368-3368,U,United States of America,BVTHYNHMGPNEKPZCIDPSCFWOXOUEG,1.0,294515.0,5.0,Xcel Energy,3058045.0
Tae9785,Washington,,,TGUDDZIXRB,35.0,326.0,Taejoeotsacihmwigcqrqodwkvtta,D,,1-697-596-2552,U,United States of America,,3.0,,5.0,Int. Business Machines,3995842.0
Gci9786,Ontario,,6.0,WTYTRKMFBVPLFQ,23.0,380.0,Gcild,D,M,1-303-723-5831,O,United States of America,Tlekperrebuqaszkktjm,5.0,407401.0,,Metals USA Holdings,1814013.0
Xcd9787,Santa Clarita,N,8.0,Brxddsclfttmtsmpzszdsdsblfmhvonconsvarbweggcytwvky,50.0,699.0,Xcdxa,M,,1-807-845-1621,O,Canada,AHWHDY,3.0,136863.0,,ProLogis,2746916.0
Wrb9788,Shreveport,,8.0,EZPQFPMAKDFHRWZ,56.0,300.0,Wrbovqz,,f,1-532-915-4568,U,United States of America,WZJNSROBXORIOXGWMEQZJJZGEQD,5.0,140613.0,5.0,Insight Enterprises,3673503.0
dqt9789,Hialeah,l,9.0,xkcbrlambeehrgkfuoxfutnmuaxdxupnfrvwpmmkwkbkvcduzvb,71.0,705.0,dqtvvpzdipaenrpiycd,S,,1-840-477-1190,O,United States of America,Mzvnktohtumyeagtxnszsulvafkstqgzumhbjevexpnlnrdgzbmqwyoiemkghyvrr,2.0,101326.0,3.0,Henry Schein,2439162.0
Lkf9790,Hollywood,,5.0,Aatumismfvuennuuaqvbmzpwhfkjumeebwkpuafdvhvhmh,48.0,602.0,Lkfijnjquhpvjctkal,U,,1-876-538-1436,O,Canada,Jzkvdfrvgwyrthkpqhtmbtudaykzfwegwusulkscueqqtw,0.0,205725.0,4.0,Wynn Resorts,2739411.0
Jca9791,Warren,l,7.0,EGHDHVIQRARNTLOSMCKXMADPNUEUKNDUWQUITFE,63.0,542.0,Jcatjndjkdcz,W,m,1-434-897-1689,R,Canada,ZSBKLSQCOCKBAXQRHGNZMLSZMDKJFBRFTHOUZKLCSCTSAGMUMNNGHHOCKYIPBBCKBORTOGWMSPGG,5.0,308540.0,5.0,Western Refining,1610254.0
Cyo9792,Austin,,7.0,VDXUMKCOIQOGCMBUUATJJXUVJFQANHIGKXNBDGBYKUBJ,55.0,608.0,Cyohtezkfyrmtwp,,,1-229-228-4105,O,United States of America,drbvtim,,321517.0,1.0,,
Fbo9793,Ontario,,6.0,RDSRYEKCWP,99.0,,Fboaytxlbchnwudfrvdoykio,S,,1-712-455-7425,O,United States of America,,,,0.0,Synnex,3521205.0
RWL9794,Bellevue,g,3.0,Potjafvmncnslujiswlcqgxggnjshwllxmwowrxhpafipjtqaetcgnwbsbjxcdxtusuenejrtw,7.0,647.0,RWLSUMHLZWDWD,M,M,1-321-095-8066,U,Canada,Juunjd,0.0,23536.0,1.0,Monsanto,2425580.0
Ymj9795,Orlando,Y,0.0,LRBXLZJWYBWFAXCITPCDLQKLEDHLJWRXTWDGYZIRJN,36.0,,Ymjgmxvanihjivfntxmqnmddr,D,F,1-452-393-4430,O,Canada,ZFHFVIMUKGMJYODKWXKOVNDXYOZUHBUODAKHK,2.0,444451.0,5.0,Weis Markets,
kqr9796,Salem,,0.0,Rvgdxfvxlcpjeyajokzffejmi,99.0,798.0,kqraiarz,S,,1-038-099-3417,O,United States of America,Nzkcflgehrjlrljamfsamdpktdibkmakjazxrxijgsqvmdbaclsnm,5.0,250390.0,0.0,Beckman Coulter,1353495.0
Anu9797,Fort Smith,,1.0,Krtufggjdaordprmvqhpbosgmdmwczcztbgzffrdjgubjskrgaodgkemfkpsax,43.0,332.0,Anuqotndrpjoqqniczwznfgl,M,,1-284-920-3901,O,Canada,Ktobutmsuedrqzjdfxazdcosywqfmhjokl,5.0,167063.0,0.0,Pentair,443045.0
Odk9798,Ottawa,,3.0,KTQEMACPLLQISGSSAI,85.0,392.0,Odkwrjmnxturxfjmlht,M,,1-542-243-3222,U,United States of America,Fturreltuidlbrqbmbtdcalrrhlnsdj,0.0,94636.0,,Western Union,2597213.0
Sng9799,Rochester,o,6.0,Mervixzxlfwjwfavsbzksmburry,28.0,565.0,Sngszx,M,,1-229-158-8024,,United States of America,ifvsmabhwwssqztbuqulepseeearjukjvviiigbuucquhqvhrsbofbgx,,91842.0,0.0,Office Depot,3176155.0
ryj9800,Rapid City,N,5.0,Iwpbruildwguhzfyclsqbdgdezzsxrsmqdbtxsjjlmvdatbisxqsepiegnlok,86.0,732.0,ryjuxunbtawoxpgynsngkg,S,m,1-075-206-4337,O,United States of America,Jwqqjtnulntfqrdzwskrhtqqvptghhfulbtayet,2.0,442243.0,5.0,Brightpoint,3265617.0
gle9801,Seattle,,5.0,ZOWVAJPOSLXPYBDKLWLNHRVJSQAJETSCH,32.0,369.0,glehdnmsru,D,m,1-724-404-2730,O,United States of America,IVDPVYUJKCXIBFHWKORGOMRHLDLLXWSW,0.0,277520.0,2.0,GameStop,2387472.0
BCG9802,Allentown,,5.0,Mbgmoqyztlfzqzqsgpxaxzcvloj,28.0,483.0,BCGZZBASECNMDHQDRVIFH,W,M,1-389-179-0350,O,United States of America,Plmcadovhjsfpzrloyurqyhjndbybppbgopevgixdcvfpvnmifscinskrhxcx,1.0,,4.0,Nacco Industries,846372.0
WXO9803,Eugene,,2.0,rvkbfpam,,661.0,WXOTBOUUONMGADSYYEP,W,F,1-536-802-1200,U,United States of America,Rhfdimcphjvdakotsmxqpfdszvvjxlunpqyjmevveazq,4.0,151886.0,4.0,,2862895.0
Ijq9804,San Bernardino,,6.0,Aantblnicdpirvtzqkyrykfxnevfr,83.0,438.0,Ijqgfedqpivgbojceahjl,S,f,1-591-775-1309,O,United States of America,powvvmxggmpnfjuwavdwxfoxwjvmqhkcfwfalcodeggntxggfvnmkrqywoatfhtzxrwvocrf,5.0,175605.0,4.0,Graphic Packaging Holding,1652410.0
fdd9805,Denver,,8.0,nzgpmqxyuckysrtigpqakwqczvniiieshi,,813.0,fddtazyddcpiiczsqrmgzptfydlt,S,,1-199-805-6277,R,United States of America,xmxluewjktjqemfdrlt,4.0,37684.0,5.0,Terra Industries,2406642.0
Aro9806,Sunnyvale,w,5.0,RQSTTQIYGATFJPDAEIDARGUYN,71.0,511.0,Arojbiotzgzftpsjmw,S,C,1-134-178-7893,O,United States of America,Kslnyuofcetnlfuwoikencvtlfruii,3.0,71197.0,3.0,DISH Network,435495.0
uso9807,Charlottetown,,8.0,jencxuxjgflvth,32.0,474.0,usobkxgrdpwsjlhxwfvknzuu,U,,1-476-772-9719,O,United States of America,SKMVQTIUBJFRFXIHTDVENAIB,,157122.0,2.0,,1537756.0
Bhj9808,Costa Mesa,v,4.0,Srffxwjdxmvybnsbisgfbkmbdlkduswxeqxhovvpqupcugaeiapjwmjbhuydtxglh,,506.0,Bhjicsnyglqujidytzcfmquvny,M,,1-526-786-0424,R,United States of America,Ajoqjyerxnnubhgjujpsfxqydzkthdhwanwrvndpbrciyhtqpmtxypmkrcxbqwdfwu,1.0,444816.0,2.0,Sanmina-SCI,2722282.0
Mge9809,Richmond,U,6.0,ugnjamvltbrxxug,48.0,772.0,Mgeoovhgsbzjdwosce,D,F,1-786-446-9417,,United States of America,GGSVNAHTVOBTGYPMFCMEKPKVHUJITIASOHITZTWCDFFXMIREGMXYAQBNEEBASDGIIOVGPMCIXIAVXKL,4.0,8311.0,5.0,Stanley Works,
Coo9810,Kitchener,,3.0,,69.0,546.0,Coooihjzppussofxxvhq,M,,1-781-637-3596,O,United States of America,Vpoxxiksceoidccqvhusgjgsiopza,0.0,155914.0,3.0,Johnson Controls,678801.0
JYX9811,Sherbrooke,x,10.0,Jcbalnjxbuurvrujskvuhhenqjdwuzcqfbezdkkosplbqzhbelbmwkdl,97.0,552.0,JYXEOF,U,,1-964-545-5956,O,United States of America,Kzjsizsefkpnugkoptwwqnizwmhebvwjupuprxebymbcazcinizfiodlphrivqprcvfbkxvpwkc,2.0,339601.0,4.0,Tech Data,1049475.0
szn9812,Tulsa,D,6.0,OOBZCQHJNQZPHEYXNDIEBWRFAEFAASKWUWDIKQWMNMZPSDOJXHUJRQ,55.0,738.0,szngbzuzfutuplmpozkbhyggfelci,D,F,1-827-775-1568,O,Canada,Fltumnqknzfacnvjnadmyetqmyqiauakhqmckxxyuvq,2.0,344862.0,1.0,,3844727.0
CRH9813,Erie,,10.0,xwkpbekpyxdipkanpoiaasoqqrqgvohixhlfhpyumkclsthmjxxsviercbenkrubtbpauupfrvuztt,22.0,573.0,CRHRPXRXFSJO,W,x,1-311-965-2370,O,United States of America,Cxqtlpyvdpvtcoojffylfwhxuufzmqdxlnpircbkc,0.0,496829.0,0.0,Rohm & Haas,2888275.0
lgv9814,San Francisco,,6.0,Eaqwoyhqxwkiereprvprhz,42.0,842.0,lgvkgshxkyvu,S,m,1-984-027-7433,O,United States of America,UCRQCKVTESORIATLXNBDTIPCTUVROPVBGIJTLKKAAMVRNQUBFCIJQRZQAWTGHNITHBQUDYHILWB,3.0,129017.0,1.0,M&T Bank Corp.,2451777.0
Vvl9815,Huntington Beach,y,0.0,AUPDBVMKTVUUAWJOVOLFUZONHBXSPGOSBSJNMKCUZGJRPQUWQWHZ,3.0,347.0,Vvlunxebdrwi,M,M,1-157-236-7700,R,United States of America,YBLJAONGSBSADAEKHWLGYFIIEISBOBPKQEMEMRADGWYSFVPXPEHWIKLPBMYXRFJDKCPFVDREQ,3.0,430025.0,0.0,Automatic Data Processing,776583.0
Ugw9816,Costa Mesa,j,10.0,Esdaxnmxrubgu,40.0,551.0,Ugwsbxpufxcb,S,m,1-656-109-1600,O,United States of America,jwifyfzpvlyxjetobbfcdbsnsiojwdzoskdbhatkidwiqdtciunsccxcpxfqvo,1.0,97349.0,2.0,Mettler-Toledo International,2562495.0
Ryu9817,Paterson,,5.0,ymiyvvhdnuhtpfennyvpxovigwpcnygqckfkkvjsxyzxqbweedghupapvegsm,55.0,565.0,Ryuvdvxypyktpshsit,D,,1-635-447-3318,O,United States of America,lhegnojkildgxyefbpsvafiqwiugqeefrxhaaja,3.0,393547.0,3.0,Jarden,3652078.0
Vlp9818,Aurora,F,0.0,Gmylbsdfwmdtqzlhwlcnxbhtfzijffndibdmdpgwxvgtoxvgliasztyvi,56.0,301.0,Vlpfkofjvptyybykwqptmkwvjgmmt,S,M,1-393-830-5416,U,Canada,tlekusvfnrojycuautbvpl,2.0,182351.0,2.0,Brookdale Senior Living,557439.0
lfx9819,Plano,t,3.0,Wxhtqiagtwuksursxtrajmvqtouzolvdsapjsdhuwowrjikne,51.0,572.0,lfxwwtpilgxklhzskpsmzckoe,S,,1-441-296-2469,U,United States of America,RKBLDHWJBIMMA,0.0,416999.0,3.0,Airtran Holdings,3406094.0
JLW9820,Biloxi,,,Bcikjcqggvhg,43.0,328.0,JLWEFLUXGRATKV,U,,1-673-121-3558,O,United States of America,VLSGJEUFOZPTZNTMTRITDBKDAPLEGBCXKAGNFLTXCIUNZFVG,5.0,417268.0,1.0,Packaging Corp. of America,
AMX9821,Kansas City,,5.0,Ufboxaccmyuyeveztvmpshiueyoltxbkrailigffwcoffxhklnh,24.0,318.0,AMXNLWGKXSDIVZMNQXRFIZFJ,S,,1-405-616-8440,R,United States of America,NLODNKBJSRCSAKSIFCIJRPQBUIWDJTWNHP,0.0,8210.0,4.0,Health Net,2569171.0
Uax9822,Manchester,Z,,jlrncrjhmmeinduhnmgfbuiwqcdbquapaogubbugrmwzcpijphmnnevfqvdtpgmyusucbsg,87.0,397.0,Uaxubjtupwcipuhegkyn,M,M,,O,United States of America,DQCBZDGNIBBNDBXUIWWOAZKRAKVTUODJRRYQWFMQXEUNWJXFIWTMW,0.0,310092.0,2.0,Coca-Cola Enterprises,
eth9823,Boise,L,4.0,QHDXMVZBPFLMTZTHPXQYCVJGOJFZSEKNENKEOXWHZAEKECYYSBPGCMQCPDHCGJBXASP,2.0,755.0,ethgqfrwlsjbkklnspaudgxa,M,,1-062-969-9915,O,United States of America,Nmvmftnexfwgklrsjx,1.0,308220.0,1.0,UAL,3800745.0
Yes9824,Eugene,,6.0,Owfpxeoekwsnzilqlbtewbeubeuzhueoccn,82.0,726.0,Yeswpiwgmxaaurbxpxvmgtmetn,U,,1-237-403-1731,,United States of America,ZFUSPYYRWFJLWTS,5.0,13133.0,1.0,,2501119.0
KWC9825,Tucson,V,9.0,Drfbekmqakvxaqewbciepivudwkydesfcuknexhhf,27.0,599.0,KWCVWN,U,M,1-763-307-9397,,United States of America,Gssfbtuwryglaooygvtouzbxljklasubiplkrvadaenuejkmeeccucidkqtbz,0.0,324723.0,,McGraw-Hill,2719500.0
Tqi9826,Sherbrooke,,1.0,Aftwmjstkogktwxpesrpqfvzdfrgqxxuqfppzxbd,83.0,418.0,Tqifxiuqtuhil,U,M,1-354-555-1031,O,United States of America,UVZUTQJCLFPXRYEOIHXIPRWSHRW,1.0,85424.0,5.0,Chemtura,2076148.0
Wpa9827,Aurora,,4.0,geghzaqbebddvfwvllgx,50.0,807.0,Wpadiavudi,U,,1-913-677-8025,O,Canada,jlkurfhgsskruleusprnpizsytphqxzzlsjzshhqrartv,2.0,156722.0,2.0,Church & Dwight,3893034.0
gpm9828,Allentown,K,5.0,zixthcjjkxsixnrkqfkzbwihaongybbonjiyggllx,32.0,549.0,gpmvk,U,m,1-368-266-8562,O,United States of America,Wriznnopheofyngbktplqtzpcpfyhr,0.0,220136.0,5.0,Family Insurance Group,3870783.0
prv9829,Houston,,3.0,yjpxxqiclwnbfrwggrtlshpvznynfhizfjnwaidycanojlilhiwotppxkxikqtuwztjspfwsckmsadrk,17.0,633.0,prvkrqxn,W,,1-244-489-1174,O,,Ozmazwnhnlnyjjczowuxahzmtaxcbevvqqzaktaweyavnkfbukbmpkukttywhxleolmpgkrfgd,4.0,398813.0,4.0,Kraft Foods,2179066.0
Ytv9830,Baton Rouge,,5.0,Ierayjllbnhdrisdqxajfzonlgsekhbcmrmmzq,54.0,300.0,Ytvmaeamrsgnfqor,U,,1-801-737-7051,O,,fdwbrhrvqjsrmv,5.0,32185.0,4.0,Anadarko Petroleum,3916822.0
Ttl9831,Mesquite,V,7.0,rxksdcdweqjyakljsekauexnvhfcumfbxhhasycjaaiyzykxeenzvuvkvkoyyemnjegcaseblfi,68.0,383.0,Ttlqqprevk,M,,1-628-498-6046,O,United States of America,RKSAVVXJCPOCTRQIJZNFOUBKWKI,1.0,380312.0,3.0,Fortune Brands,1771227.0
Kkh9832,Ottawa,W,7.0,MAGTTTTDOKAVCAHVTYSSTQTSKLWNP,98.0,598.0,Kkhip,U,m,1-520-341-5913,O,Canada,Qmmqfcnwelnheldepwcyee,4.0,286646.0,4.0,PC Connection,2911392.0
LES9833,Toronto,U,5.0,Kpfgvrhmylmamj,23.0,351.0,LESBZ,M,,1-955-867-3416,O,United States of America,cojvhjeaijvxjsniocrnyrjybazkncqvqcn,0.0,255157.0,5.0,,2302082.0
Kbn9834,Omaha,S,9.0,,6.0,757.0,Kbnxhcbftikyxghfgqtfqjxvr,M,,,O,United States of America,Phqjhatujixwrixletzwaruvvtecwpwbarssiufcoikssydoktqccjyhtdowkwnkzmrphghsnbnsmdgt,1.0,151929.0,5.0,Fortune Brands,3809157.0
VNB9835,St. Johns,,8.0,NZXOCRTHPAXNRFQCMCSFOCVUVIRLJVMPHLMKHQWKNRTRMLPFWYQUGVQHWMKKODSR,11.0,,VNBOHODVLMIJLQU,U,m,1-413-207-9887,O,United States of America,,5.0,416186.0,4.0,Philip Morris International,1780094.0
