gncd,nmbrchldrn,crdtrtng,wnrrntflg,nmbrcrdtcrds,ddrssln1,pstlcd,ncm,frstnm,mplr,gndr,nmbrcrs,stt,g,mrtlstts,ct,cntr,phn,ntwrth
Idi9452,1.0,644.0,O,8.0,Jfzoezvvubwudkugiyxgdybfoiuiqbezzdpfvdlmnbkydelhtssqekblrbpnezqrdhhcneuj,Fyfzmls,399863.0,Vizklyikfbedxljosvqwtprsufgpxz,Perini,M,3.0,UT,69.0,S,Edmonton,United States of America,1-836-310-0994,2519470.0
Tqb9453,1.0,401.0,O,9.0,xoiovaipujzsandrtoxmehmtptx,Ydolkqmvi,,IHADRUISJBT,Colgate-Palmolive,,4.0,Newfoundland,92.0,M,Chicago,United States of America,1-843-949-1842,2955446.0
Aes9454,5.0,,O,10.0,Ruvmi,Zudhwij,88608.0,VAQQGJGWOFQSGXDHIHJGQZC,Fiserv,f,0.0,WA,17.0,M,Jersey City,United States of America,1-321-626-7500,3586672.0
Epf9455,4.0,655.0,R,9.0,KMJJDQLYFSCXDRMJCRCYDSIHFBCJQVIYYQRKCQOEYCPBYTHEGHWWJNJOXBKWNPEDONZS,Wcjnkvquhm,206395.0,Xklndzkubdihalq,Belk,m,1.0,PA,49.0,M,San Buenaventura,Canada,1-081-367-6586,2939478.0
Ffn9456,3.0,435.0,O,9.0,vdacewsgdm,tkyqjp,446935.0,ztvixiwgn,Atmos Energy,,4.0,MT,69.0,W,Eugene,United States of America,1-476-410-7306,2827456.0
pap9457,3.0,674.0,O,5.0,Urfhbodrfcuzcpqsmrhingzvhefpadbvkaeuvipirsqtfujuzutwdxmj,jfxftl,51971.0,Wgyhjwhkwwynavgxerzvnimnjgt,American Express,,2.0,CA,15.0,U,Alexandria,United States of America,1-306-138-1852,17134.0
Nkg9458,1.0,760.0,O,1.0,TSGBEVSFDAUMQQYSYVRMFLKOPYDQUHBUOWNGATWPQLXZYKAXUYXSKNKNFNXHPYNRAWVITXJBWX,vhaqt,369850.0,Vdbmvczmfacictfnrnwjibxcllr,Teledyne Technologies,,,OR,21.0,M,Vancouver,United States of America,1-738-679-1863,3886166.0
ufh9459,2.0,496.0,O,1.0,Jcrrxtpxqnwgjrqqffchkzsbnlyjptraszsvdtbhgaguhzhkreibsphdmdqcdihuclbypmrtaiwwnfsn,Dhoilzaxk,38251.0,EKDDYPCTHOTJQPTCHEQZWIPPW,Integrys Energy Group,f,0.0,VT,34.0,,Hull,United States of America,1-250-092-6595,191154.0
tmt9460,1.0,493.0,R,5.0,fwcsrknoauqvnvgvqrtsxnnyqlrbjuhibqkrmcobalqc,Xfejhubxlrp,206315.0,TUSBQIOXUJHLHBMLHJLDEWIESG,ON Semiconductor,m,,AZ,55.0,S,Spokane,Canada,1-137-415-0657,1856083.0
rnl9461,0.0,786.0,O,6.0,Dmmqwjrlmpdqwzrtuigtejvlijdxqbziajirturxenuleffnmpnhtlrxnxmeoipvglhjapw,Wqtrdfcxu,164978.0,ksest,WGL Holdings,M,1.0,VA,100.0,S,Oxnard,United States of America,1-218-529-4942,1001341.0
pit9462,0.0,662.0,,3.0,Jxfhlnkwohygdyq,clvhdpzs,166099.0,Dlnlbdigigwdujievmrsavrjnso,Urban Outfitters,,1.0,CO,59.0,W,Rochester,United States of America,1-757-529-1404,1537954.0
ykm9463,3.0,758.0,O,6.0,JOFNWCQDANVRVHDQCPQIWCQRWIJUUFB,Fegrbe,151735.0,dfmsbcstmymsxxuxtkucprdbvx,Beazer Homes USA,F,4.0,UT,21.0,W,Baltimore,Canada,1-816-003-1563,1683196.0
Ieo9464,1.0,,O,3.0,Hnlaljnwesbjnd,dyselvuahblw,273278.0,Yhierprljgnifrqiotob,Consol Energy,M,3.0,HI,64.0,S,Stamford,United States of America,1-347-832-1748,3685385.0
XPB9465,1.0,403.0,U,7.0,SBOGNVDIRHGLMOZBYVXKMFKEPLENJRAOUFZMWGFUVBJ,URQIVEGJZA,306611.0,RVGXVZCYXYRD,Lexmark International,f,3.0,NM,58.0,M,San Buenaventura,Canada,1-408-519-8134,2095651.0
UDI9466,1.0,567.0,O,6.0,abbnmexzct,,213721.0,Pfjdqvshodu,MetLife,m,1.0,AL,20.0,S,Aurora,United States of America,1-264-254-6090,1897205.0
VYR9467,4.0,513.0,O,8.0,Ntpgriczqskpyuspejivzweqrtxorwdhqgirrkiydcsyyhaimwlan,qncpmaonbdzm,69496.0,Choeewhpbzmqdbdoogchmdeczbwjl,Electronic Arts,m,2.0,NM,19.0,M,Los Angeles,,1-178-515-6978,3278747.0
Csj9468,5.0,312.0,O,1.0,ZIEOILUSAVSTOIATTLFARKJFUXWGEKRQLLPJPRUAWCUQDJUPLRNCHBVBG,Lxybxcbe,4312.0,Jqyuyhnjwqpbq,FreeportMcMoRan Copper & Gold,f,1.0,KY,37.0,M,Irvine,United States of America,1-276-993-0775,1675180.0
vln9469,5.0,484.0,O,8.0,XOWOTCEPJQ,XGKTLHUTNIZK,449247.0,TQQWJOIOPZOFKLNXQAF,Textron,m,5.0,NM,32.0,S,Warren,United States of America,,1925476.0
GPW9470,5.0,701.0,R,9.0,Attkgirnhdrvoxazqviyytppdcemybeqore,Flhlvy,462540.0,GIHIY,Celgene,m,2.0,DE,60.0,W,Coral Springs,Canada,1-257-160-4273,1648142.0
shm9471,0.0,777.0,O,7.0,hlwrmniqomhffksgsaimapviuvphmobcxbnjtzfajlymxrsxmbqjuwrnflknaemfgakagcxh,Qajvkl,123281.0,Qbvltihnnmdbuqsu,Hertz Global Holdings,M,3.0,CA,78.0,S,Burlington,United States of America,1-205-906-8735,2596913.0
Kih9472,4.0,699.0,R,6.0,jwuvlgjhanbzpiiddljfugqkpkihnhnbdpjewmbrzolbrcmflmd,GRRNYFLQYZ,488130.0,ADUGIWADATKHDXXKMRHHRQPWSEOLM,,f,3.0,Alberta,55.0,M,Louisville,United States of America,1-397-809-0257,506192.0
Nof9473,3.0,449.0,O,8.0,TBAIRDCOHWFEXSKZLNOKZUUPUPADPODXRPYNQDJNKQCMMORYRUYTE,Pnfic,231999.0,JKAFYBFJTVUVYLSLKFFGHGNSZDOMF,Fred's,F,2.0,NJ,52.0,U,St. Louis,United States of America,1-952-727-5786,2492527.0
Lnx9474,1.0,461.0,O,10.0,Rxocuctevltzjpuoquoxseyvo,FSLPNNGWPMO,452141.0,Bisoa,American Express,m,1.0,NH,0.0,M,Akron,United States of America,1-832-870-1417,1273348.0
Esi9475,3.0,542.0,O,7.0,gunqxpfcjigconajwxmuslpbankanceahcpgstwuicbgrvg,Mvcwhcq,395563.0,Uruxnkwwdzuhvixjwraaox,Massey Energy,,0.0,WY,,M,Austin,United States of America,1-883-550-6487,3466631.0
ADN9476,3.0,365.0,O,10.0,uhohppexqsfelcqipr,Qtmsrjoym,193652.0,Dbdzdvmvcbrdtmfvbwyjrkwjyt,Sunoco,,4.0,NM,45.0,S,Bakersfield,United States of America,,2791594.0
sri9477,5.0,603.0,U,2.0,Sogptbuxoue,XVPUMDL,270460.0,Kihalpie,FirstEnergy,f,4.0,PA,89.0,S,St. Petersburg,United States of America,1-801-531-1913,1242476.0
jyk9478,4.0,495.0,R,0.0,AMLRVMIGSMAWXKTKGHLEYFDRLMGFLMMFHXOCMXDYTDIXVLXKXUGAT,qwfiyhgbq,485810.0,Oyhnuackylbzucvioksdwqpl,Mutual of Omaha Insurance,F,5.0,HI,38.0,W,Anchorage,United States of America,1-972-313-0974,507823.0
hoe9479,3.0,359.0,O,9.0,SJZSFCVPMOTEUEQCOLEAFYLFTLNTUNTTWOPNXBNVMSFIAZUZTYYMUKUR,lilonqfd,263744.0,Gqgfgq,Goldman Sachs Group,,2.0,MD,1.0,M,Evansville,United States of America,1-298-597-6992,471703.0
Qzp9480,2.0,402.0,R,2.0,Nissplekhbhadhtxqwbgeob,VRBFJZD,64117.0,Lhwxz,Con-way,,0.0,PA,2.0,M,Virginia Beach,United States of America,1-568-249-4995,3392701.0
Wfv9481,,362.0,R,,cabrgcdiwievbnmpjtybkmczqxwpmki,Bfqacgjl,229941.0,BHXIDQPDBPBFIMPMXFAXUVKM,Oshkosh,,5.0,Alberta,18.0,S,Eugene,United States of America,1-002-996-9327,336336.0
Tpp9482,3.0,812.0,R,1.0,MLLYY,CHUVHXD,,cardcxmifrbtb,Cameron International,,4.0,AL,91.0,M,Fort Worth,,1-401-933-0040,3133893.0
Klq9483,3.0,580.0,R,,Gzwrqaekpfatpvnvwlcdtvpzlimbhqeyyc,auissiprllz,158070.0,Tnwhwuwujob,Idearc,,5.0,DC,97.0,U,Dallas,United States of America,1-744-027-1339,3715814.0
Hfa9484,5.0,763.0,R,3.0,Bqwaphomktjjavqgggfwzciptnuvuyundbhpjnmm,EGWJXLSMA,497002.0,Hdfmrozegpzk,Oceaneering International,,,MA,60.0,W,Thousand Oaks,United States of America,1-990-209-1115,3526834.0
VBM9485,2.0,823.0,R,8.0,Qotjuogwwgwcofaencrarbgcqnfwkcszjktlhkkaapwbtmvwlyoobfmtwkmantxuxmtsqjefw,Qtvqy,335685.0,cecswjuysqrev,,M,5.0,OK,30.0,M,Honolulu,United States of America,1-101-422-8097,2526231.0
Lsu9486,4.0,551.0,R,1.0,qjeodgbgoyqpiywwzg,Ttyqnesuvi,281035.0,CHSATXLJVRUDBPGWJKYRYQRMUGLCB,Ameren,,5.0,Ontario,84.0,M,Dayton,United States of America,,2534383.0
Hme9487,0.0,473.0,O,4.0,lzwbmsutlepgrkevntutxfxadgzogtjakb,egswl,147416.0,Bdleoq,Varian Medical Systems,m,4.0,DE,21.0,W,Hayward,United States of America,1-844-124-5250,3156142.0
Bnz9488,5.0,328.0,O,10.0,Afysoxhbbutokdmjscyobgccbavduvvqctbq,cjjmjwd,387521.0,ckedmlgsjvva,Hess,f,5.0,MA,3.0,S,San Antonio,Canada,1-879-912-0700,3838059.0
Wxa9489,0.0,368.0,O,8.0,Shgijigpajfpwiuhfzwsqqsyqkdpsz,Ervxzcz,57312.0,diidsgtr,Icahn Enterprises,,1.0,FL,55.0,M,Seattle,United States of America,1-576-723-5565,3283829.0
Seb9490,0.0,386.0,R,4.0,Hnbcckbsqowqxhgsheaxakjhmguryedibipjbhhpqhodhpdjhdetazcnbqpkv,Ewgxs,360779.0,KIVSZDVIZ,Procter & Gamble,,4.0,NE,,M,Irvine,United States of America,1-088-841-1426,
qxx9491,3.0,560.0,R,10.0,Jibocqwiasetfpgvlbmiqpqcwkxkpcknqwcddvycmigjsdtkfjkqubedboxgxuz,KRYKTFOBLSOD,126400.0,lnzvvavvcvxsizugwr,BorgWarner,,3.0,NJ,85.0,W,Albuquerque,,1-562-385-1787,3518557.0
Lis9492,1.0,362.0,,2.0,Erohdgxsfvtsogqligjahfljrgwivwaofslaiwiihpewvbrguiqpuofwhpenfhpctdgsmq,izyrvgewim,298516.0,ZXMJATT,Crown Holdings,,1.0,OH,98.0,M,Grand Prairie,United States of America,1-517-796-9701,1027508.0
nwd9493,5.0,,O,5.0,hobpeooxafabekrebrqfuuoamwuhgr,HTHXTM,235487.0,Txjmlarkrczqgnnhlcbwu,Affiliated Computer Services,F,4.0,IN,33.0,S,Hayward,Canada,1-362-203-7159,3327641.0
fnx9494,4.0,496.0,O,7.0,Eewdqmpadwhravltiaumbrgeemanohflompvkjaijgjkiltclsysruzugicwmq,Ktwng,491115.0,ILILMVTEUCJYLPNZOWRRJVPZG,,,4.0,PA,9.0,S,Shreveport,United States of America,1-884-559-1729,1816348.0
xgl9495,2.0,748.0,R,1.0,Qkdastidobuhiogyoepdaxppzqptcwuzyhdmvkdsttqkqbcqgatxhpivflfmxx,gvvshn,256666.0,TPOLWGNSIPDZNHKFPOTSPYQXTEHI,LandAmerica Financial Group,M,4.0,VA,1.0,M,Evansville,,1-725-024-5182,
Psv9496,1.0,792.0,O,3.0,xotuwemogf,YNNVY,286893.0,Fqczqnlshdxgxptfqntxi,Kindred Healthcare,,3.0,MI,74.0,S,St. Paul,United States of America,1-308-338-7519,3435022.0
ODJ9497,,699.0,O,9.0,EECZFSWXTLCMRCCXZDEYXZKLCFITLNQPTY,Wgkwqaxh,288389.0,Fjkqdehhyecbfjolf,Buildings Materials Corp.,M,2.0,OH,34.0,M,Richmond,United States of America,1-741-219-6035,156473.0
GIO9498,0.0,,R,9.0,Ywckijppzilxrewmocgnyxwatwdvztwqazxcvblqbwxtmhhbsxmhxnefnthzvlzlfu,Vofudytah,213958.0,Boruvwogralvzujhm,Mueller Water Products,,5.0,NY,95.0,S,Grand Rapids,United States of America,1-739-791-3178,484180.0
Syt9499,4.0,722.0,R,5.0,lfberiectxbowjnwzrohugjucfhnwhwtonhcxwtikg,Oyhcglbo,36584.0,ABVFXVEHDLRXTYQ,Icahn Enterprises,F,0.0,VT,,W,Raleigh,United States of America,1-138-297-2263,3122213.0
Xtu9500,4.0,435.0,O,0.0,SIOXPYRGBXCBFPZIUWCQQORMJOHTQWAGEAXLUCJJO,Mycdwr,433090.0,PNGARPSQF,A. Schulman,F,1.0,WI,76.0,U,Iqaluit,United States of America,1-407-422-0343,
Lkg9501,5.0,816.0,R,5.0,wtzjomvzpewpupbpvjgynhuxnxkelzazaclsbpdcejejkxgwaenrkrutuzk,Knnxrinui,480247.0,Bwynsjpiqwnrrygdvwfk,Allegheny Energy,F,1.0,TN,73.0,W,Naperville,United States of America,1-213-805-8297,3449474.0
wgw9502,5.0,693.0,O,,Kkihbu,BRCYWIHVZO,311882.0,JCNOLPDAANBE,Cintas,,0.0,Ontario,82.0,U,Columbus,United States of America,1-293-053-3055,2102334.0
Scx9503,2.0,723.0,O,9.0,Cqrmgiuyvcvsdxmxgjxklguvpfydrdhkmxkcbfhat,Dgblofbac,195215.0,egunlngewxmbnccnhjeuloi,Public Storage,m,5.0,MD,45.0,M,Richmond,United States of America,1-372-926-4609,3280769.0
xcc9504,3.0,597.0,O,2.0,YTCMCWHRHLXFWNIPGSEJWHPTTNAHLJHMWYMSFWRGVFJYXNMRAWQQACC,Pxltw,377759.0,MOPZPKINEBFZILDIBXZFMDNUQZKKGH,Watson Wyatt Worldwide,,0.0,WV,21.0,M,Bismarck,United States of America,1-306-312-4894,
kpm9505,,747.0,O,9.0,Sgrwhetuqefhicwsbpxslawoghnmetqfxssktivixiepwcosfbpnybmygspm,wvezgjmcohf,444654.0,rbtugfjvexhogfkgrxowjmfc,,,1.0,ME,82.0,U,Warren,United States of America,1-775-115-5430,2576901.0
BKE9506,0.0,391.0,O,6.0,rcwkqeazogxxvwzrbhygzerqtclyidhrjdp,EORSP,20521.0,rjswvwansmgiinzb,Constellation Energy,,2.0,GA,7.0,D,Jackson,United States of America,1-593-713-6307,3502928.0
Ayt9507,4.0,584.0,O,1.0,kgvqnpkkpoihwacshftkuawedhrcrwddelnuica,Pnaibukwjx,136656.0,Swfvoswmtv,United Technologies,,4.0,CT,38.0,M,Phoenix,,,
Qhc9508,3.0,391.0,U,0.0,FELBQVWJKZEIRXVNGMWBPPQRJ,Jwetxmtjfxu,434474.0,Kduhxyidhpsslqdbkuinishahbz,Reynolds American,M,3.0,TX,59.0,U,Paterson,United States of America,1-695-441-1442,713120.0
Eyf9509,0.0,797.0,R,10.0,exgprlepalpyfakithh,ESFZUZ,7450.0,vyywbazlxp,Computer Sciences,m,,WV,99.0,M,New Haven,United States of America,1-376-518-0976,67828.0
btq9510,1.0,588.0,O,0.0,Bpvcfipdcolgdrudgvbxbovbydrwhvabzlxrlwlcuctdstezdemajbmubmv,jwugjkyaqdop,336413.0,Jhsyjrojeliemyyryled,OM Group,,5.0,SC,48.0,S,Elizabeth,United States of America,1-394-033-1715,1044199.0
Udy9511,3.0,627.0,O,5.0,Hktymsvtwhgjaujjvealqlmcipkixsvbfqitjnylcwydaknrxocuxamaociup,PUOQHA,115331.0,graeyjzmnehtocnoda,Perot Systems,m,5.0,PA,9.0,M,Overland Park,United States of America,1-036-501-5452,2450172.0
XSS9512,3.0,771.0,O,10.0,JMDMEJXCVVRGKDSWWQQQZDNU,jcvmarlcly,343939.0,Vddsnjalxbv,Energy Transfer Equity,,4.0,WA,46.0,D,Fullerton,United States of America,1-544-882-9655,111571.0
SCX9513,5.0,519.0,O,8.0,OSUIPJAMGUOLNCNLHOSFDF,Vjoyvd,294758.0,Rahhlcgufnmugcbaca,New Jersey Resources,m,2.0,AZ,51.0,D,Anchorage,United States of America,1-162-662-4252,1473285.0
Pwy9514,1.0,351.0,,0.0,NPXEJYWQCPDZLLZPEZEIFAVKANEGPDZTRSZOCMQEY,XIHUVUHXZ,420820.0,Hrcpggdnlrkdfqrgtwnrihkdelqt,Burlington Northern Santa Fe,,5.0,DE,77.0,U,Columbia,United States of America,1-482-008-2988,1763265.0
yce9515,2.0,519.0,O,9.0,Pcmsgmiacpppzlquayxsepcodwfhtxttpr,aszgyiuacq,,Psuzqehfevhxlhfilrkcg,Andersons,f,0.0,MT,93.0,W,Memphis,United States of America,1-641-614-4165,2590140.0
Kiy9516,,308.0,O,7.0,SDFVVOZJQDCKCYHDXNNSXEVLIGLUNAQEPMITVPAUQJJW,Ywwatikt,114636.0,PXYEXXEENWOHUANR,Forest Laboratories,,1.0,HI,54.0,D,El Monte,United States of America,1-394-241-2808,2830890.0
fau9517,1.0,757.0,O,6.0,DWGAKUKVAMVKHQLRFPTENWIB,Xlnkqcsdb,177716.0,Kxvvmhwjuctalcgm,Staples,f,2.0,NV,,U,Pomona,Canada,1-273-121-4926,1473229.0
Cak9518,4.0,725.0,O,6.0,UUQKMMOGTNSSCUVQKISDGHKOJJVGVSGAYPSDPQYHITRFXFEMVDI,Duaxmmxe,197479.0,FDFUWVLTXUMBFRPEXU,Waste Management,f,3.0,DC,51.0,U,Boston,Canada,1-905-452-9414,1713820.0
WOI9519,4.0,844.0,R,0.0,gbjygzsudqgepamlalgrimfhpdqoeebeqywunrafdamuswrys,Sezwvnbs,219143.0,UDSBQN,,,4.0,Alberta,1.0,M,Pittsburgh,United States of America,1-989-371-3149,3557413.0
Flg9520,2.0,787.0,R,0.0,Qtyrdtfibdfzydechmqunovbwbpfvznn,Pnusdh,338480.0,Imkknfqooyllziraq,Entergy,,4.0,ID,68.0,D,Santa Rosa,United States of America,1-993-885-9527,3315382.0
Hbr9521,5.0,740.0,O,1.0,eylagojbtjclfpcmidqnfgknbzbggvyduqtxubncklvrcwq,Dkponakif,53545.0,Lsdxohossqtarsksnjxjheqh,XTO Energy,,4.0,Quebec,75.0,,Anchorage,United States of America,1-553-253-2612,991552.0
XDG9522,1.0,601.0,R,5.0,DDIJAMVKFUK,Xxryb,102688.0,QTIPLXMVMS,H&R Block,,1.0,WI,61.0,U,Fayetteville,United States of America,1-215-413-6363,1132095.0
kkt9523,4.0,685.0,O,8.0,Fexnprcjrmdkkoulxbwjagvbfulfsuegahujakoojowyxhpsilpoakhnbfqo,Xbyvh,484439.0,Kwiemlicx,Olin,,2.0,Manitoba,,D,Jacksonville,United States of America,1-845-154-9153,1503092.0
dvr9524,2.0,725.0,O,4.0,Qnqthqwq,XVFXZX,373412.0,LPFTYVJXSKKTSBDORIKHCZHI,Brunswick,F,0.0,SD,52.0,D,Jacksonville,Canada,1-781-987-8972,3272166.0
Lcn9525,2.0,759.0,O,2.0,Waitogrcivfgmmfprkuvcjhbvrrnyicijbvizibgit,thrsonqvfapf,438674.0,DQDXQRQDHGPOKABZ,CC Media Holdings,m,3.0,NJ,60.0,M,Chesapeake,United States of America,1-560-532-0833,1810930.0
whn9526,1.0,433.0,O,3.0,NHNPAPFRJDFPQZDIOUFXBCXMJLCVZMXFULZAUSZKELSDOIWBCPOENFKEH,VTOSSEELNGV,207133.0,Pjfpeempxknncgwkfxff,BMC Software,f,4.0,Saskatchewan,26.0,D,Fort Worth,United States of America,1-982-881-0154,721498.0
Ybh9527,4.0,369.0,O,4.0,atmsevmx,xqipnwp,278778.0,Qqpknsnzxqpxjol,Rowan Cos.,,0.0,IA,16.0,U,Irvine,Canada,1-407-512-5719,2814573.0
Qmy9528,4.0,510.0,O,3.0,KYMJIUMVPZIKYKA,OYCGIIJBYMU,157989.0,Evrncaxxrrlccewfntssjkf,W.R. Grace,m,4.0,FL,65.0,S,Allentown,United States of America,1-914-367-1741,2108915.0
Ujk9529,5.0,660.0,R,3.0,,MTCNU,148832.0,onmoobpphropposcehqbcokaspkhau,Cardinal Health,,4.0,HI,39.0,S,Lakewood,United States of America,1-740-453-4690,3439434.0
Lcu9530,4.0,640.0,U,4.0,Smayydcjhiulwsqvvltzrwqfjpxhzijupdzuaagesydjbqolvimchc,Yrxvz,240358.0,SHEBMNMLZUQDVNJUATFYIRHOGUSAO,Old Republic International,F,1.0,NJ,29.0,U,Allentown,Canada,1-623-300-6425,252999.0
Lnq9531,3.0,531.0,R,3.0,WHZNLHMNNSHBWWYOUPNTVTLFWNFLXGYHY,Bpkjoosn,114774.0,STFUBOYXFMVYXMGACEWPCLOGSVDU,Foot Locker,,1.0,VT,14.0,U,Escondido,United States of America,1-833-301-8303,166120.0
Syj9532,5.0,690.0,O,2.0,TJUIHKQYISDWOCAOZSKXGUUDMAPFUIIILOBAJBXHHIRKXQTOKTUKSGIBIMUOZILRNXZ,Jlxrqihpiocz,479458.0,xkvqnjdcdm,Stanley Works,,5.0,NY,28.0,D,Savannah,United States of America,1-623-880-5407,1963169.0
las9533,4.0,613.0,O,8.0,IVYICJCENUWXCKZMBQSDHYJLRKVBYOU,gstgjolgxnr,165085.0,Gfsecwmkdbcyaqafnolkrmdaqobc,Pep Boys,m,1.0,SD,10.0,S,Rochester,United States of America,1-571-629-3781,3306961.0
WGM9534,3.0,610.0,O,8.0,jraporeutynrrlmbbfajkfvdy,Unhwb,,ioplsn,Cognizant Technology Solutions,M,0.0,Newfoundland,55.0,W,Henderson,United States of America,1-108-758-1356,774888.0
pcw9535,0.0,598.0,O,6.0,JNMAQFUAWOASVOQKVFIRDAXMGHTDZXXFPZUDQBBDGTDOYFBQADLWDBMVEOBCI,Gsuyxassa,15031.0,lvxwdigrh,Dean Foods,,3.0,NM,77.0,M,Windsor,United States of America,1-843-168-2446,2006421.0
Hfq9536,5.0,531.0,O,9.0,Srnxitreylnkhayythbazxddwmxrbwrybuugktjaplphaqbdjxqlrqnusznxaj,Mkidmm,3124.0,Vonhiaasd,McDonald's,F,5.0,VA,41.0,M,Corpus Christi,United States of America,1-360-653-8595,2523553.0
Hix9537,5.0,673.0,O,0.0,Smbbdltfjostkpytkykabxfu,wtqkkpvi,428891.0,FKBTPSIEALMATWBEKEEGM,Microsoft,,,Prince Edward Island,74.0,U,Virginia Beach,United States of America,1-796-626-0062,3271342.0
CSE9538,0.0,369.0,,10.0,GIWCMUFHOIYGVVPTGPZVZLSAJDBUZGXNCJPEXIFLL,FQBFOQI,255697.0,anttcutvmjpivnunhdadbur,Ferrellgas Partners,,4.0,IN,40.0,S,Bellevue,United States of America,1-101-816-4142,2547937.0
Bpl9539,4.0,350.0,O,10.0,idpufvonioqxzcakheannlxptivhdnfoxhyulihl,Fcgjulorpcmx,359642.0,Fwiby,Dell,m,0.0,OK,7.0,M,Provo,United States of America,1-678-039-3665,2050507.0
QTO9540,5.0,825.0,R,6.0,xblshhqucrzzqvuzdjocqazkmapwrgoekhucfkbvqgovifsgdsamvubchdvdzfdrfa,Yxheyqzr,297738.0,Alvbnxwudftli,Simon Property Group,F,5.0,ME,58.0,M,Oklahoma City,United States of America,1-364-201-2596,537965.0
HDF9541,2.0,622.0,R,10.0,COHDBOBBNDSVNIJMEYNHSOROLDJJRKAEKTGOICYHSLWRGSMZUUKKNZKPTAEZFXOCSCYDUXTKY,Xysxk,,voqbfcnoidjelckpr,Pactiv,,4.0,British Columbia,61.0,S,Rapid City,United States of America,1-665-961-7967,1890962.0
YWM9542,2.0,842.0,R,7.0,KULWLIOKJDFOPBTGYHESFKCWDDHNPKBWJRMVKTZEBJSBAZGFUSNRQMLFWFLNIRXUGNITU,,54311.0,Ebfzhwvfrhzdkdsivcighiqrktqcs,Liberty Global,M,3.0,British Columbia,84.0,,Huntsville,United States of America,1-441-739-2755,2743742.0
Faw9543,4.0,638.0,O,5.0,ailqdqukludmajymvbvonbskjqfwhkxyeosbzvbfdcchzpdhilchjbaevnsbchfkwxb,sjqwqetqqa,409026.0,Dzlfrbilai,Seaboard,f,3.0,MN,39.0,S,Tallahassee,Canada,1-141-542-6570,3414260.0
YEL9544,4.0,399.0,O,2.0,Gqvucpccmwfovcxxbxarmgvryujvqtroyebhxwgwssepuaebn,duikdby,213527.0,Yalaouhtiwajvxetvg,NYSE Euronext,f,2.0,MO,51.0,U,Fairbanks,United States of America,1-001-648-8073,2081460.0
Dpa9545,3.0,486.0,O,3.0,Jsmdsuudmeegjqjfjaytzgxzzdbynuzq,DCFIFWWNMGO,3742.0,XHJDYEDWETCHREGLOIN,VWR Funding,,1.0,WY,40.0,M,Ann Arbor,United States of America,1-987-622-5771,1285744.0
Zql9546,4.0,,O,0.0,AALZEUCJYJZZWXHDDBBT,Glgmnybgrulf,345341.0,oqtufykgequerqxkxatygryzlrd,Hormel Foods,,4.0,TX,84.0,S,Corpus Christi,United States of America,1-002-753-8064,
wtn9547,4.0,720.0,R,3.0,dcjnjmelhtlcovebrdhdkragmxwwcttfhxxjwkqnihdmalvjabnsrnlcnutegwrjqnwmdyiytp,Uiwrcyeqqib,245486.0,siksxtwcuayrnjmkb,Packaging Corp. of America,,5.0,Quebec,57.0,D,Great Falls,United States of America,1-994-644-6144,3548174.0
uar9548,1.0,524.0,O,,Jeyvukiuxngummucacnsomvgxnxcrdkotbtvbfmfz,Edgqdw,286642.0,AGBVHHHJCHHA,Tiffany & Co,,3.0,FL,15.0,M,Fairbanks,United States of America,1-264-803-8163,3823666.0
PLA9549,3.0,419.0,O,4.0,Amqnnutnlzqxlsirb,Ekgomzwbbbv,173856.0,Fisprwdtzgmqwcpemcjhisejlzvvg,Sempra Energy,f,1.0,KS,98.0,U,Regina,United States of America,1-481-361-0304,822813.0
YTY9550,4.0,532.0,O,0.0,Azphnyytyjxuwzpqymvgyogdwbkhqpulgouwaxenpalqvcbgzoj,Lmtzmnr,76123.0,fwrgtrk,Zale,,1.0,ME,24.0,M,Montpelier,Canada,1-523-555-9650,913686.0
RDQ9551,2.0,478.0,R,3.0,AVGCYZLHJEHLLJAFCWGKWVVTOXHZVXDMJPWNZTASRBIHYVZVALZVQRPWOALIR,Nhrnphrvmn,348221.0,XLVMFIPKCWXVGRG,Family Dollar Stores,,4.0,NV,8.0,D,Chattanooga,United States of America,1-185-052-2108,2616612.0
XEX9552,0.0,687.0,O,9.0,ssmestatbdzqgb,Okqhmytw,351887.0,BLXUVAHPITCR,Donaldson,,4.0,NH,73.0,S,St. Paul,United States of America,1-876-758-7615,2580162.0
Krn9553,0.0,652.0,U,4.0,Sadhppqprgltkdvvfaeqidyauchvlpnuxdctmuvllkqmnidjsrqbrhewyy,EWWHK,63951.0,FSIGAQOPACWIWOOFMSQUJZK,FM Global,,2.0,MS,60.0,S,St. Johns,Canada,1-728-079-7194,952324.0
Cwk9554,0.0,657.0,U,10.0,Ipvvvddgjyueppgsamxfgdkghrkqewcclcnmmhhwtctzaoluywjtfrlnsphghg,UJBECSNQLFTR,474609.0,RNBHICHPBVLOOBLIPXECXXEWQ,Securian Financial Group,m,2.0,GA,11.0,D,Hay River,United States of America,1-278-223-0919,1307047.0
ysk9555,0.0,486.0,O,7.0,qalgk,Fnrbwqcsnc,,Tkuvsrawgwmzg,KAR Holdings,M,,NY,62.0,M,Calgary,United States of America,1-741-822-8317,1543743.0
Ins9556,4.0,623.0,O,8.0,Eihoxytg,qvcpwekp,180193.0,wdkollevqc,Oceaneering International,M,1.0,OH,86.0,S,Kansas City,Canada,1-538-388-5268,601154.0
