prospect_gncd,prospect_mddlntl,prospect_nmbrchldrn,prospect_mrtlstts,prospect_gndr,prospect_frstnm,prospect_ncm,prospect_nmbrcrs,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
WIN4325,,4.0,U,,Batsheva,290131.0,0.0,70.0,450.0,U,Qwest Communications,3.0,2434706.0
Rie4326,,3.0,,M,Pegeen,490290.0,5.0,22.0,457.0,O,C.H. Robinson Worldwide,3.0,2295184.0
bac4327,J,5.0,M,,JANIFER,321094.0,4.0,60.0,456.0,O,,2.0,1729634.0
D'a4328,Q,1.0,W,,Lars,109170.0,3.0,27.0,542.0,O,SLM,4.0,2865729.0
CAS4329,,1.0,S,,VIVEK,,2.0,20.0,,O,Southwest Gas,7.0,196856.0
Tra4330,N,2.0,D,M,Pierre,223425.0,0.0,,446.0,O,TravelCenters of America,0.0,839311.0
Lit4331,,5.0,M,f,judith,277906.0,0.0,71.0,812.0,O,Huntsman,1.0,860617.0
GAJ4332,,2.0,M,,MARTIN,397653.0,4.0,,406.0,R,JohnsonDiversey,1.0,828864.0
Ste4333,,3.0,D,m,MELYNDA,246014.0,3.0,17.0,337.0,U,Nvidia,10.0,3234466.0
Gre4334,D,0.0,W,M,Willamina,120392.0,,89.0,707.0,O,HealthSpring,9.0,
GUI4335,,2.0,U,F,Kathye,446561.0,2.0,50.0,376.0,R,Vornado Realty Trust,,2061841.0
che4336,,0.0,U,M,Kial,28571.0,5.0,29.0,714.0,U,,4.0,2871522.0
Fre4337,B,,M,,Ghassem,231818.0,4.0,48.0,678.0,,Fidelity National Financial,8.0,3246194.0
ANT4338,,0.0,U,m,Amalea,190572.0,5.0,70.0,533.0,O,NuStar Energy,7.0,3458985.0
dai4339,,4.0,M,,RAMON,70598.0,2.0,19.0,,O,CUNA Mutual Group,2.0,3686819.0
Hes4340,,5.0,,M,LAUREEN,248027.0,3.0,15.0,372.0,R,State Street Corp.,0.0,1360868.0
ken4341,K,4.0,,f,Ved,457802.0,2.0,42.0,321.0,O,Del Monte Foods,8.0,3436227.0
GRE4342,,5.0,M,,AILEY,91671.0,0.0,99.0,446.0,O,Tenet Healthcare,5.0,1994840.0
fau4343,O,4.0,W,,thanh-quoc,300853.0,4.0,65.0,696.0,,RBS Global,3.0,2572827.0
KAY4344,,0.0,U,,Annalise,402253.0,0.0,60.0,522.0,O,Las Vegas Sands,1.0,2733553.0
GOO4345,,3.0,M,,marjo,469155.0,1.0,34.0,825.0,O,Quanta Services,0.0,1109504.0
Lib4346,,4.0,M,m,Rycca,37300.0,0.0,44.0,301.0,O,Jack in the Box,0.0,3577569.0
Kov4347,,2.0,U,f,dawn,23070.0,4.0,59.0,596.0,O,HCA,4.0,1759158.0
COT4348,V,0.0,S,,Bambi,205607.0,0.0,14.0,510.0,O,Eastman Kodak,4.0,3757860.0
kar4349,,5.0,M,,NOELLE,364271.0,4.0,91.0,333.0,U,Discover Financial Services,5.0,1276411.0
ric4350,G,0.0,M,m,Kirbie,383948.0,5.0,10.0,617.0,O,Pfizer,7.0,3226822.0
let4351,Y,3.0,U,f,Narinder,117216.0,3.0,7.0,,O,Inergy Holdings,8.0,
Ave4352,,3.0,U,m,penelopa,161014.0,3.0,37.0,358.0,U,Publix Super Markets,1.0,3576358.0
nor4353,E,2.0,W,,paul,257128.0,0.0,64.0,738.0,O,AbitibiBowater,1.0,1820559.0
Hab4354,,2.0,U,,Qainsp,298247.0,0.0,16.0,448.0,R,Amkor Technology,7.0,3708236.0
Lat4355,,2.0,M,,IDUS,123295.0,3.0,73.0,774.0,O,Perot Systems,10.0,1734153.0
LET4356,B,2.0,M,,JULEE,68134.0,3.0,56.0,450.0,U,SPX,7.0,445458.0
Sto4357,L,5.0,U,,SUNDARAM,325684.0,2.0,88.0,469.0,O,SAIC,5.0,1968176.0
SYL4358,,0.0,M,,Cho,105465.0,0.0,3.0,455.0,O,,9.0,622079.0
DAN4359,,5.0,,,Ramon,101539.0,5.0,28.0,422.0,R,,5.0,1896525.0
DES4360,R,5.0,U,,LETITIA,13585.0,4.0,76.0,822.0,O,Oneok,10.0,892117.0
Red4361,,0.0,M,,shirley,200625.0,4.0,54.0,778.0,O,Cognizant Technology Solutions,,3053070.0
BAR4362,,1.0,M,,Dela,255018.0,2.0,20.0,,O,Tupperware Brands,,3445326.0
Cla4364,,0.0,W,,SHEKAR,354633.0,4.0,47.0,769.0,O,Electronic Arts,10.0,1470282.0
BLA4365,,4.0,M,f,Norri,423577.0,0.0,,797.0,U,,3.0,1851070.0
HER4366,,5.0,,m,Etienne,343709.0,,90.0,362.0,O,Wyeth,9.0,1112692.0
wom4367,X,5.0,U,f,Lyndsie,176534.0,4.0,41.0,571.0,O,Puget Energy,0.0,2293421.0
Cro4368,,0.0,W,,HILDEGAARD,410820.0,4.0,92.0,693.0,O,,6.0,2375379.0
wim4369,,1.0,S,,GALEN,63148.0,0.0,14.0,626.0,R,Gap,6.0,1098814.0
Rat4370,,5.0,M,,Franki,176887.0,1.0,22.0,567.0,U,Lennar,10.0,3937786.0
Par4371,,1.0,M,F,Goldwyn,412056.0,1.0,47.0,825.0,O,Chesapeake Energy,0.0,340845.0
Stu4372,,0.0,M,f,annemarie,369283.0,3.0,83.0,600.0,R,Armstrong World Industries,4.0,790315.0
pan4373,,5.0,M,,WYNNE,487234.0,1.0,,502.0,O,Dun & Bradstreet,1.0,2972684.0
Zal4374,S,4.0,U,,Yodha,416325.0,2.0,,721.0,O,MEMC Electronic Materials,9.0,576332.0
Mlc4375,,1.0,,M,Greer,306126.0,5.0,85.0,755.0,O,,3.0,
MAC4376,,2.0,U,,dupuy,,3.0,7.0,422.0,R,Paychex,8.0,2374964.0
Gri4377,O,5.0,M,f,brian,436207.0,0.0,46.0,401.0,R,Superior Energy Services,9.0,659856.0
Bri4378,G,2.0,W,,chen-chen,341663.0,3.0,92.0,778.0,O,Waste Management,,3622516.0
cal4379,K,5.0,,f,MARYLYNN,250537.0,3.0,77.0,,O,Southwestern Energy,3.0,2581455.0
DOB4380,,,U,,valerye,277984.0,0.0,54.0,403.0,U,Nucor,1.0,2790101.0
GAR4381,,5.0,U,,Chiu,47121.0,0.0,48.0,692.0,,Newfield Exploration,9.0,
WIL4382,,0.0,M,f,opalina,101995.0,0.0,62.0,734.0,O,Precision Castparts,6.0,
Irv4383,,0.0,M,N,Ronny,182968.0,0.0,11.0,591.0,O,Masco,5.0,1661433.0
BYC4384,H,2.0,M,,Rakhuma,261491.0,0.0,32.0,664.0,O,Ingram Micro,9.0,1143553.0
Kin4385,,3.0,D,m,casi,480953.0,5.0,77.0,520.0,O,Genzyme,1.0,734384.0
HAB4386,,4.0,S,,JAAN,229628.0,5.0,76.0,549.0,O,Popular,2.0,895404.0
ROS4387,S,4.0,M,,BABB,361241.0,4.0,30.0,777.0,O,TJX,7.0,1116807.0
Bat4388,P,5.0,D,m,NESSY,,1.0,90.0,332.0,O,AmeriCredit,6.0,1794990.0
Lak4389,T,4.0,U,m,BRITTA,139300.0,4.0,13.0,764.0,O,Liz Claiborne,8.0,3885194.0
Pao4390,Z,,,,Verena,301930.0,1.0,7.0,309.0,U,,6.0,2289652.0
FOG4391,,3.0,M,,Elliott,395454.0,1.0,30.0,,O,NII Holdings,5.0,3808316.0
Zin4392,S,1.0,M,,Clarita,287931.0,1.0,70.0,662.0,O,,2.0,3800887.0
Tho4393,R,2.0,U,f,Hendrik,245470.0,0.0,3.0,720.0,O,Thrivent Financial,5.0,1193302.0
bhu4394,,,W,,Dalila,443370.0,1.0,71.0,633.0,O,URS,0.0,2057643.0
BAG4395,,5.0,U,,Liduine,241768.0,2.0,3.0,339.0,O,ProLogis,5.0,1998868.0
Atp4396,Q,4.0,U,,Catlin,158212.0,,97.0,653.0,O,Steelcase,7.0,2102461.0
Dei4397,,,M,,Costas-dinos,466760.0,1.0,75.0,377.0,O,Lockheed Martin,7.0,3752822.0
PEE4398,,4.0,D,M,IDELLE,319184.0,0.0,90.0,568.0,O,Kellogg,9.0,237708.0
Aza4399,,1.0,U,,CRISTIAN,351059.0,0.0,82.0,538.0,R,Wesco International,5.0,446039.0
Kay4400,Z,1.0,U,,dore,,5.0,92.0,583.0,U,KB Home,4.0,
Sye4401,,,S,,Gracie,,4.0,81.0,654.0,O,Tech Data,5.0,1475593.0
duk4402,,2.0,M,,Malory,199465.0,,48.0,536.0,O,Abbott Laboratories,10.0,349849.0
Pkd4403,,2.0,S,,Corry,387100.0,4.0,63.0,850.0,O,Amerigroup,0.0,1345608.0
Isk4404,,4.0,M,,AMELITA,210170.0,4.0,13.0,,O,W.W. Grainger,1.0,1252041.0
Dav4405,,2.0,U,,Francene,329536.0,3.0,93.0,750.0,O,Emcor Group,1.0,700515.0
war4406,T,1.0,M,,Moray,197526.0,0.0,97.0,347.0,U,Scotts Miracle-Gro,8.0,189629.0
Fre4407,,0.0,M,m,Maressa,497966.0,2.0,40.0,308.0,O,Massey Energy,1.0,2252856.0
O'M4408,,,M,M,CATHLENE,21149.0,0.0,57.0,641.0,O,Interstate Bakeries,6.0,839241.0
Ruc4409,,4.0,M,,Oguz,437354.0,3.0,48.0,759.0,O,National Life Group,,2668914.0
GAN4410,,3.0,M,,Charene,191111.0,3.0,9.0,607.0,O,Westlake Chemical,5.0,1526669.0
Col4411,,0.0,M,,Adrienne,48073.0,0.0,87.0,414.0,O,NCI Building Systems,4.0,1825975.0
gen4412,,0.0,M,,CORTLAND,393791.0,2.0,72.0,,U,NetApp,7.0,649048.0
Bla4413,X,,S,m,katrina,420266.0,1.0,5.0,444.0,U,Lam Research,8.0,2615842.0
Tap4414,P,1.0,M,m,isaac,271166.0,2.0,23.0,708.0,O,TravelCenters of America,10.0,683969.0
Hor4415,T,4.0,M,,fitness,45986.0,1.0,35.0,315.0,U,Alliance Data Systems,7.0,250393.0
SUM4416,,1.0,U,,mable,268405.0,3.0,100.0,440.0,O,Werner Enterprises,9.0,675685.0
Tur4417,,5.0,M,,Wannell,155171.0,4.0,33.0,672.0,O,Aleris International,5.0,94228.0
Fai4418,,4.0,D,M,Peng-david,328872.0,4.0,44.0,536.0,O,A. Schulman,10.0,2731721.0
SET4419,,2.0,M,,Eyde,301602.0,4.0,93.0,729.0,O,Unisys,8.0,2104750.0
sin4420,,2.0,M,,PARKER,416332.0,,54.0,614.0,O,AptarGroup,8.0,3556648.0
Ewi4421,,4.0,D,,Stesha,74200.0,2.0,96.0,,O,Burlington Northern Santa Fe,8.0,1326989.0
WIL4422,,1.0,M,,BERNI,191221.0,5.0,35.0,710.0,O,ConocoPhillips,4.0,2184065.0
Leo4423,,2.0,U,,coraline,308477.0,3.0,85.0,587.0,O,,2.0,2904252.0
MIC4424,,3.0,U,,fidelia,112512.0,0.0,100.0,470.0,R,Steelcase,3.0,1661228.0
Men4425,,1.0,D,M,Tianbao,257797.0,3.0,88.0,835.0,U,NSTAR,5.0,783794.0
dil4426,Y,0.0,S,,atalanta,303975.0,2.0,8.0,395.0,O,Quest Diagnostics,10.0,2709540.0
Cre4427,,5.0,W,f,QAINFO,389069.0,5.0,87.0,619.0,O,WellPoint,7.0,2356613.0
You4428,,3.0,W,,Zafer,182693.0,5.0,98.0,358.0,O,Goldman Sachs Group,8.0,
CER4429,,1.0,M,M,Harmonie,107492.0,0.0,6.0,804.0,,Freddie Mac,2.0,994860.0
Spl4430,D,4.0,U,,JOHNNY,434960.0,,,364.0,R,Google,9.0,634746.0
SHE4431,,4.0,M,f,GNNI,382711.0,3.0,34.0,824.0,O,NetApp,4.0,148239.0
Bul4432,,1.0,S,,cordy,152887.0,5.0,18.0,603.0,R,Archer Daniels Midland,1.0,736114.0
pus4433,N,2.0,S,F,gini,158889.0,1.0,52.0,768.0,U,,2.0,885201.0
HOR4434,,0.0,W,,Shobana,440008.0,3.0,72.0,395.0,O,Coca-Cola,10.0,1739395.0
Loc4435,P,5.0,M,,CHARLENA,299517.0,4.0,94.0,721.0,O,Radian Group,1.0,1064661.0
Kir4436,,,W,,MARYLIN,263922.0,4.0,68.0,529.0,,Rockwell Automation,4.0,3892709.0
wig4437,S,2.0,M,,kaylee,458346.0,1.0,43.0,694.0,O,Furniture Brands International,3.0,3618277.0
mad4438,Z,5.0,M,,Kynthia,335334.0,0.0,49.0,542.0,R,Freescale Semiconductor,3.0,2584482.0
Vir4439,,4.0,U,,KIN-WAI,404847.0,3.0,68.0,,O,Hewitt Associates,3.0,3199985.0
Bah4440,Z,2.0,M,F,seang,333852.0,1.0,12.0,719.0,U,Belden,0.0,2708481.0
SEN4441,,0.0,M,F,minnnie,247365.0,3.0,91.0,730.0,O,General Electric,5.0,
Cha4442,S,2.0,M,B,Joan,252580.0,0.0,74.0,731.0,U,Walt Disney,5.0,
sie4443,,1.0,M,,jolee,142476.0,1.0,52.0,494.0,O,CB Richard Ellis Group,5.0,2129101.0
gra4444,,2.0,S,M,ANNET,400204.0,3.0,92.0,724.0,O,,,1939375.0
DEC4445,,3.0,M,f,KANNAN,439933.0,1.0,12.0,537.0,U,Time Warner,6.0,2542875.0
bro4446,,4.0,M,,ITALO,119348.0,5.0,,739.0,O,Murphy Oil,8.0,3156456.0
Bal4447,,0.0,S,F,Chawki,102791.0,4.0,92.0,588.0,O,VeraSun Energy,7.0,1749005.0
Dal4448,,0.0,S,,CAITLIN,208419.0,4.0,26.0,348.0,R,NetApp,0.0,3148926.0
uhl4449,,4.0,D,,SEVEN,410708.0,1.0,35.0,773.0,O,NBTY,7.0,3400941.0
Rol4450,E,4.0,M,,MATILDA,40444.0,5.0,32.0,807.0,,Joy Global,6.0,1056500.0
mai4451,,0.0,,,maciej,127233.0,3.0,78.0,840.0,O,DISH Network,4.0,2288860.0
pac4452,,3.0,S,f,Yu-hung,57442.0,3.0,30.0,574.0,O,,0.0,1208933.0
Suh4453,,2.0,M,,Margarete,5115.0,5.0,61.0,729.0,U,Bob Evans Farms,3.0,2368908.0
Ash4454,,5.0,S,,ardeen,370669.0,0.0,53.0,802.0,,Mueller Industries,6.0,3466072.0
Mos4455,D,2.0,U,,WALLACE,473373.0,1.0,,472.0,R,MasterCard,3.0,175694.0
Jam4456,,3.0,M,,chungsik,322832.0,0.0,66.0,,O,Patterson,0.0,
Syl4457,,5.0,S,,emile,424662.0,4.0,46.0,679.0,O,Pitney Bowes,5.0,1090289.0
mar4458,,4.0,M,,YOKO,370473.0,2.0,27.0,314.0,,Crosstex Energy,1.0,992563.0
IMB4459,,1.0,S,,DI,207661.0,3.0,57.0,400.0,O,Bio-Rad Laboratories,3.0,272971.0
Vir4460,,4.0,S,,Laurna,,5.0,41.0,689.0,U,United Refining,7.0,509130.0
Zad4461,,,S,,mehmud,301121.0,4.0,10.0,728.0,O,Ametek,2.0,2606590.0
lov4462,,3.0,S,F,tom,328939.0,4.0,,679.0,O,NuStar Energy,,2961203.0
Tow4463,C,5.0,D,m,Layney,108275.0,1.0,41.0,401.0,O,Casey's General Stores,3.0,1632349.0
cli4464,,3.0,,,Carmita,131046.0,2.0,55.0,498.0,O,Church & Dwight,8.0,1339623.0
ZBI4465,,3.0,U,,Ringo,450227.0,5.0,25.0,662.0,R,Burger King Holdings,3.0,152465.0
Cop4466,,4.0,S,F,emyle,273386.0,5.0,22.0,793.0,,Staples,,2141567.0
Mck4467,,0.0,M,,balakrishna,407910.0,5.0,,312.0,O,Express Scripts,0.0,2903661.0
run4468,,2.0,M,M,balakrishna,148628.0,5.0,25.0,745.0,O,Molina Healthcare,10.0,1097525.0
MUM4469,Y,4.0,U,,Kac,403130.0,2.0,70.0,410.0,R,Sonoco Products,1.0,377486.0
BEA4470,,1.0,W,,Zsazsa,497628.0,1.0,58.0,341.0,O,DST Systems,10.0,2761903.0
Mus4471,F,4.0,M,m,MERRIDIE,119959.0,2.0,54.0,587.0,O,,5.0,1756876.0
Bou4472,,4.0,U,,Sati,454769.0,,,639.0,O,Arkansas Best,0.0,3840537.0
SID4473,,3.0,M,M,HIROSHI,28780.0,2.0,45.0,673.0,O,Procter & Gamble,7.0,254897.0
BVW4474,Y,0.0,M,,Felice,241731.0,4.0,5.0,802.0,U,Inergy Holdings,,3166324.0
mcc4475,,1.0,U,M,Concordia,300834.0,0.0,94.0,437.0,O,Varian Medical Systems,10.0,379506.0
gor4476,J,3.0,U,F,Eoin,453230.0,0.0,11.0,535.0,U,Sprint Nextel,3.0,3516026.0
col4477,,4.0,D,M,Cordelie,173201.0,2.0,87.0,518.0,O,AGCO,5.0,1766102.0
Wil4478,,5.0,D,F,ELENA,160432.0,1.0,,331.0,O,RSC Holdings,0.0,2600781.0
reg4479,,2.0,W,,Veronica,134181.0,2.0,35.0,387.0,O,Varian Medical Systems,9.0,2127431.0
cae4480,P,4.0,U,m,HAILEE,,1.0,83.0,806.0,O,ITT,7.0,
azz4481,,2.0,U,m,sacto,126371.0,1.0,50.0,415.0,O,Continental Airlines,6.0,765852.0
dre4482,,5.0,S,,GRETTA,400884.0,3.0,66.0,796.0,R,Equity Residential,4.0,2699993.0
her4483,D,5.0,U,,MATILDE,119069.0,0.0,35.0,647.0,R,Pep Boys,10.0,2718531.0
hol4484,E,5.0,U,,Krista,401281.0,4.0,55.0,679.0,O,Mettler-Toledo International,1.0,1263694.0
CRE4485,,5.0,S,,kazuhito,419561.0,5.0,74.0,421.0,O,Textron,9.0,2759617.0
ANO4486,,0.0,S,f,Merissa,178713.0,4.0,54.0,354.0,O,Ameren,6.0,3627001.0
Hol4487,,3.0,U,,Jon,454276.0,5.0,60.0,541.0,R,Applied Industrial Tech,1.0,1850242.0
Mcc4488,R,1.0,,,marjory,59477.0,5.0,25.0,824.0,R,W.R. Berkley,3.0,92455.0
ADE4489,L,1.0,U,B,ROBINIA,337054.0,3.0,61.0,357.0,O,Hill-Rom Holdings,10.0,2610393.0
Fre4490,J,2.0,U,,firat,34169.0,0.0,74.0,402.0,O,L-3 Communications,8.0,1744065.0
jam4491,U,1.0,U,F,Bulletin,421062.0,,75.0,821.0,R,Casey's General Stores,9.0,3739091.0
Bre4492,Z,1.0,S,m,jolyn,432393.0,0.0,47.0,539.0,O,W.W. Grainger,7.0,1564070.0
Unk4493,,5.0,S,M,katha,281939.0,0.0,25.0,825.0,O,Cabela's,2.0,2000094.0
Sal4494,,1.0,D,F,Tyler,255085.0,4.0,100.0,669.0,R,Public Storage,5.0,953262.0
Mit4495,,5.0,M,,LINNEA,455608.0,2.0,99.0,642.0,O,Eli Lilly,8.0,3004941.0
Kom4496,L,4.0,S,f,Ruben,411287.0,0.0,6.0,404.0,O,Tyson Foods,7.0,622801.0
FAI4497,,,W,,Emanuel,91656.0,5.0,39.0,362.0,O,Tractor Supply,7.0,2713174.0
Cis4498,,1.0,U,f,pier,240004.0,4.0,17.0,552.0,O,Kla-Tencor,5.0,1337287.0
SHI4499,,5.0,,,ADORNE,120662.0,1.0,89.0,681.0,O,Career Education,6.0,2251723.0
Gla4500,,2.0,M,,ILAN,40354.0,0.0,14.0,409.0,,Inergy Holdings,,832323.0
Hr4501,O,0.0,U,m,Trisha,168373.0,5.0,68.0,671.0,U,Owens & Minor,0.0,3870989.0
Bra4502,L,4.0,M,F,TIMMI,98735.0,1.0,90.0,669.0,O,Colgate-Palmolive,3.0,1234672.0
NAD4503,,0.0,M,M,ROBY,178254.0,0.0,72.0,521.0,R,Rock-Tenn,6.0,458148.0
GAL4504,D,4.0,M,F,YUNG,243956.0,1.0,,605.0,O,Mutual Life Insurance,3.0,544182.0
Col4505,L,1.0,D,,PATCH,304145.0,0.0,100.0,490.0,,Men's Wearhouse,1.0,3459537.0
Emo4506,,3.0,M,m,Bathsheba,40772.0,1.0,60.0,590.0,O,Pacific Life,1.0,2479432.0
Ben4507,,3.0,U,f,siamak,235869.0,5.0,23.0,318.0,R,Burlington Northern Santa Fe,6.0,
Sam4508,,4.0,M,,Rajan,277855.0,0.0,58.0,789.0,R,Buckeye GP Holdings,3.0,1870058.0
Squ4509,,5.0,W,F,Kassem,284961.0,0.0,25.0,426.0,O,Scotts Miracle-Gro,6.0,3749435.0
Koe4510,,4.0,M,,Mehdi,468885.0,3.0,16.0,652.0,O,ITT,6.0,574175.0
Wol4511,,2.0,M,,THEADORA,254074.0,0.0,64.0,410.0,O,FedEx,5.0,1989202.0
SER4512,,1.0,S,,Ester,483195.0,2.0,83.0,613.0,,HealthSouth,3.0,1946285.0
Whi4513,F,3.0,S,m,LOLITA,162095.0,0.0,14.0,608.0,O,Constellation Energy,7.0,2563342.0
vei4514,,4.0,S,M,tonia,231090.0,2.0,90.0,677.0,O,World Fuel Services,2.0,3313326.0
LEV4515,,4.0,U,f,Cloris,473528.0,0.0,68.0,443.0,O,McClatchy,4.0,2052188.0
Haf4516,,5.0,M,f,Hedy,410380.0,1.0,72.0,640.0,O,Teleflex,8.0,1102267.0
Tol4517,,0.0,S,,Dorian,422529.0,,90.0,528.0,U,Capital One Financial,4.0,656689.0
PET4518,,0.0,W,,emilia,434499.0,1.0,94.0,554.0,O,Big Lots,6.0,1007589.0
Hat4519,G,4.0,U,f,Coretta,58535.0,4.0,73.0,794.0,O,Principal Financial,6.0,142183.0
wes4520,I,,M,,kerrie,,3.0,55.0,771.0,,Time Warner,4.0,2548214.0
Ian4521,,4.0,D,f,Louis-rene,303291.0,5.0,19.0,439.0,O,Neiman Marcus,6.0,1461924.0
Ite4522,L,1.0,M,f,merline,348883.0,0.0,88.0,334.0,O,MetroPCS Communications,3.0,3667334.0
kre4523,H,2.0,D,,malaysia,175737.0,2.0,80.0,474.0,O,Lowe's,2.0,1936634.0
leb4524,,1.0,D,f,Jamal,373098.0,0.0,16.0,340.0,U,Fidelity National Information,6.0,711497.0
COR4525,,2.0,W,m,Melesa,358160.0,4.0,92.0,684.0,R,Wyeth,6.0,511829.0
COL4526,,4.0,U,,Tetsuyuki,22752.0,1.0,26.0,437.0,,Huntington Bancshares,0.0,3224291.0
PEA4527,,0.0,S,m,Salina,457707.0,5.0,26.0,618.0,O,StanCorp Financial,6.0,2463181.0
Ove4528,Z,0.0,S,,viktor,312749.0,2.0,82.0,833.0,U,Xilinx,6.0,1364102.0
TOR4529,Q,0.0,S,,DUSAN,177651.0,0.0,83.0,635.0,R,,1.0,33980.0
Cho4530,D,1.0,M,,Janell,105854.0,5.0,78.0,686.0,O,Liz Claiborne,7.0,2607482.0
Ayo4531,,3.0,S,,Theresa,272790.0,3.0,6.0,838.0,U,Telephone & Data Systems,10.0,2828137.0
OVA4532,D,4.0,M,,KO,442498.0,0.0,100.0,678.0,O,Cummins,0.0,2337650.0
Att4533,G,1.0,U,,Dawn,361034.0,1.0,50.0,360.0,O,Colgate-Palmolive,8.0,2644717.0
sme4534,,5.0,M,f,bessie,55851.0,4.0,83.0,442.0,O,General Dynamics,3.0,713808.0
Fab4535,F,0.0,M,,Amberly,335859.0,1.0,87.0,829.0,U,Owens & Minor,3.0,3505595.0
sar4536,E,2.0,S,m,Cherri,434850.0,0.0,29.0,647.0,O,Express Scripts,6.0,3227429.0
Kro4537,,1.0,W,,heath,200682.0,2.0,,650.0,O,Alliance Data Systems,1.0,3379188.0
hat4538,Q,4.0,M,,van,78123.0,3.0,,709.0,O,Hill-Rom Holdings,9.0,1958509.0
Res4539,,3.0,W,f,Souphalack,449966.0,,45.0,743.0,O,Broadcom,8.0,3537164.0
TIG4540,O,0.0,U,M,KENDRE,124070.0,1.0,89.0,361.0,O,Chemtura,7.0,269583.0
ayr4541,D,4.0,M,m,hedy,274024.0,3.0,80.0,553.0,O,Wendy's/Arby's Group,2.0,3792100.0
vol4542,,3.0,U,,SOPHIE,164624.0,3.0,61.0,443.0,R,Air Products & Chemicals,9.0,2347169.0
bah4543,,2.0,W,F,Marilin,95001.0,5.0,42.0,,R,CenterPoint Energy,1.0,1388819.0
REW4544,,0.0,M,F,Lani,456998.0,4.0,6.0,625.0,U,Volt Information Sciences,2.0,789910.0
Gos4545,O,3.0,S,M,NENAD,461647.0,4.0,67.0,820.0,R,Atlas America,5.0,2513817.0
coc4546,U,5.0,M,m,Norma,280263.0,1.0,32.0,336.0,R,Google,6.0,3165313.0
Lam4547,H,4.0,M,,CHRISTY,,2.0,74.0,776.0,U,Archer Daniels Midland,9.0,2475898.0
Pas4548,Q,4.0,M,m,Clovis,237508.0,1.0,18.0,694.0,O,Humana,3.0,3230038.0
pak4549,,1.0,W,,NAREN,419165.0,1.0,17.0,768.0,U,Assurant,0.0,2949891.0
CRA4550,,3.0,U,m,Armand,413079.0,5.0,,617.0,O,Allergan,10.0,2765477.0
Sha4551,,4.0,S,F,gen,321862.0,4.0,93.0,806.0,R,Jack in the Box,1.0,122830.0
Sab4552,L,5.0,M,,lab,342705.0,0.0,37.0,327.0,R,,8.0,218218.0
mat4553,H,4.0,S,,JENSON,121989.0,4.0,36.0,551.0,O,Aon,10.0,3616932.0
Khu4554,A,1.0,M,,ora,206444.0,5.0,73.0,764.0,O,,8.0,1572965.0
Hal4555,F,3.0,S,,Sudesh,466235.0,2.0,93.0,346.0,O,Laclede Group,9.0,3152907.0
SWI4556,,2.0,W,,Jeralee,81360.0,0.0,74.0,812.0,R,UAL,3.0,3017611.0
Now4557,,4.0,M,f,PADRAIG,279952.0,,13.0,464.0,O,Energy Future Holdings,,1674496.0
aza4558,,3.0,W,,PHUOC,338857.0,0.0,81.0,725.0,O,CF Industries Holdings,4.0,2192131.0
Con4559,,3.0,M,,AUSTINE,256478.0,3.0,48.0,321.0,O,Modine Manufacturing,9.0,1941628.0
TAT4560,K,2.0,U,f,Guglielma,447802.0,5.0,64.0,756.0,R,Jarden,9.0,1139129.0
Gat4561,N,3.0,W,,Bernita,207243.0,5.0,17.0,594.0,O,Xerox,4.0,3035126.0
zbu4562,,4.0,W,M,kaminsky,8170.0,1.0,,574.0,O,PPL,9.0,97854.0
gol4563,,4.0,W,,RICKY,323831.0,1.0,49.0,586.0,O,Cabot,3.0,455983.0
Kre4564,,0.0,M,m,KENDRA,446614.0,0.0,69.0,550.0,O,Loews,7.0,3655914.0
ozi4565,,4.0,U,M,Kerri-ann,107686.0,1.0,63.0,432.0,O,Capital One Financial,8.0,343820.0
Alt4566,,1.0,S,f,Ronnica,330373.0,2.0,92.0,822.0,O,United Rentals,4.0,376384.0
COL4567,B,0.0,,,zainab,135620.0,4.0,26.0,348.0,R,Estee Lauder,3.0,1813601.0
end4568,,3.0,M,,fitzgerald,60272.0,4.0,12.0,486.0,O,Principal Financial,2.0,1449765.0
PAN4569,,5.0,M,,celene,431864.0,0.0,26.0,454.0,O,First Data,6.0,3256278.0
EIS4570,T,2.0,S,M,carola,291612.0,5.0,,607.0,R,Virgin Media,0.0,2813219.0
Bul4571,,3.0,M,,BINNIE,383999.0,0.0,35.0,346.0,O,Rent A Center,,3009750.0
dis4572,H,4.0,D,,yousef,282778.0,4.0,34.0,706.0,O,Sovereign Bancorp,10.0,227130.0
flo4573,N,3.0,U,,Fleur,124568.0,5.0,56.0,848.0,,VeraSun Energy,0.0,1113417.0
wik4574,F,1.0,D,M,Ruthanne,108048.0,4.0,22.0,312.0,O,Weyerhaeuser,0.0,2312154.0
Gut4575,C,4.0,S,f,STEPHENIE,74655.0,4.0,,608.0,O,Analog Devices,9.0,897939.0
WAI4576,,,M,F,Steffie,92399.0,3.0,53.0,597.0,O,Key Energy Services,0.0,3736825.0
Arm4577,,1.0,U,,brita,,5.0,32.0,515.0,R,Progress Energy,4.0,733388.0
Cos4578,O,5.0,M,,Elton,289274.0,0.0,64.0,747.0,O,Valassis Communications,5.0,720629.0
EIN4579,,4.0,M,F,ROSENE,,0.0,2.0,,O,Valspar,2.0,1334065.0
