gncd,ddrssln1,stt,mddlntl,ntwrth,mrtlstts,ncm,frstnm,nmbrchldrn,mplr,nmbrcrs,cntr,phn,g,crdtrtng,wnrrntflg,nmbrcrdtcrds
stm9152,Hxdarunmnhazmxkrysdmmnrhtfnpluedqkbvy,TN,,3962678.0,U,128024.0,qxdnfbltsaoojvlcxmm,5.0,Quanta Services,5.0,,1-018-158-1247,64.0,389.0,O,7.0
Nas9153,Ttprjvomfjgnnnhxxhmzrwxbesurzshffyxfjprg,NJ,p,2964312.0,W,337331.0,OLGNIWVELECFFRKFNSQEGTWUQH,3.0,Sara Lee,5.0,United States of America,,97.0,417.0,R,6.0
Dea9154,SVMWJTBBPXOVSUCZAJMKLTCMGPSYQSO,PA,R,724794.0,M,303942.0,VRBMJQPRALEBUBADYQYKR,5.0,Kelly Services,5.0,United States of America,1-657-924-4158,39.0,838.0,O,10.0
Qbn9155,RIDYHMUHQWDVININDTGSUMBAWTVMUKEJNDUGYTCJ,Prince Edward Island,J,1994461.0,M,494961.0,kuxsmcqudbrodwiguyt,0.0,Western & Southern Financial,1.0,United States of America,,92.0,824.0,O,6.0
imw9156,Itvfartybkchwdkphwejqbjbysplihiuehqckrddhzimuzcs,Saskatchewan,i,1180241.0,,357333.0,Ntwefmftkaidbhiqvvty,5.0,Hanesbrands,1.0,United States of America,1-781-351-7417,83.0,741.0,R,1.0
WDS9157,zlgsfgpttcpzcbaqmyxnlkvnbyekdsrjswxzvtixtmsnavwzmx,MA,,2091309.0,D,141947.0,Qufpwlxtydarvfupqsapjoeapcth,3.0,Amphenol,4.0,United States of America,1-424-892-6369,20.0,376.0,O,
XIP9158,Xaxesiveityfxnevghwtcrzdgtkeunfvfujrzpsnshjgvkltaw,DC,S,945046.0,U,416533.0,mzcdwavasuyxm,4.0,Brink's,2.0,United States of America,1-469-392-3779,49.0,319.0,U,3.0
Ccm9159,ulrvjhkqpfweoqwcwcdxggmltgimiygwugmmcmgwv,WI,,1587234.0,W,331423.0,Insllfvoxxcyeojiotkp,0.0,Atlas America,2.0,United States of America,,75.0,637.0,O,3.0
Ieb9160,Lahbjibgr,CT,,2760170.0,M,41073.0,Ubzntgzijlldpp,2.0,Pepco Holdings,5.0,United States of America,1-894-758-0139,10.0,626.0,R,5.0
Ddu9161,Dvqukkkimmeltmmqyqcyuudf,RI,,3326239.0,M,227955.0,CXZRFWXTB,5.0,Erie Insurance Group,,United States of America,1-092-943-0561,0.0,827.0,O,2.0
IUC9162,Ocbcrbbskincwtxlasfzgitvnkwraxswcgfvtpvltkmtzemejerwxabijegsqfm,NJ,S,427035.0,S,185304.0,Rxavjanfkuus,3.0,Select Medical Holdings,5.0,United States of America,1-236-097-4757,77.0,712.0,O,10.0
Oob9163,HQPKTFUAZNQFHXNQUGHAMKWNF,Newfoundland,,880880.0,S,475119.0,ffyfhsjfm,4.0,,3.0,United States of America,1-379-625-2828,60.0,426.0,O,7.0
LLQ9164,QRLIOEIBYNEOHDFTOJSXASWAXAVUKIDOQGFRLJW,MO,,595303.0,W,279222.0,QQWUDGCWFI,1.0,Bucyrus International,,United States of America,1-818-734-0056,44.0,469.0,O,
Elx9165,Qkptdohrniawysuigqbjxmqqozzyxmfiflgngcfhkjryhhbcbdpscjuuukqsppdpxhqixyqlwrxrulq,MD,,3967316.0,U,430081.0,Crqhlvmms,1.0,First American Corp.,1.0,United States of America,1-996-891-3766,40.0,752.0,O,2.0
sce9166,Uwlawylzlfygfmkwntwbcyimddgpugjqcmqzotzugwqntsluzggptryofxbnuovubeafwmzvosdf,NY,,948259.0,M,243250.0,uuhduy,1.0,Sara Lee,3.0,United States of America,1-998-247-0049,83.0,363.0,O,4.0
Xuh9167,IJNEKKDSHTDPBMEYWRIQKEJHENZJAWMTASQEEVICLLSNYBZBEDOUYJAIYMXPYQRHMYQCGDK,DC,N,1610568.0,U,121950.0,Ujgvsbwtpjhfbvtcmnsifwdlnxhh,2.0,Regis,1.0,Canada,1-570-879-4404,34.0,831.0,R,4.0
GUS9168,tshfdqmmmnvjoxpbhbawlhshkxkdampljompmmvikcmdpyknfweoyvhawldtmzmc,MD,F,1759438.0,U,288390.0,Cjizjhjxrimsolmmqufzchnb,0.0,CACI International,4.0,United States of America,1-368-561-8370,19.0,335.0,O,0.0
Lqu9169,axnrhustzpgwzkwbajtspeygdgbquomyerqkeyicubfzsveabkk,Saskatchewan,,1113419.0,,419879.0,Ayeraxpanwhlr,1.0,HealthSpring,5.0,United States of America,1-638-644-1702,90.0,516.0,O,7.0
Asy9170,Qyphjxdikzxwbvpbapjvolxqhnjyllglfzyfvrupffsylsecyohhdedawamkatdefgnrx,Newfoundland,s,374029.0,,266079.0,Ioyvuecjuzokgqtbwbulf,5.0,Ametek,5.0,United States of America,1-425-682-6802,38.0,845.0,O,9.0
Hvc9171,Jchydfzlmmzosrucapljdkxbzftttclfytjoryodcldreognkvdblhlngtnmdoxjtdpktbu,CA,,1460271.0,M,468035.0,Ehbooilkagibsxpoqssjlxuwlb,1.0,Guess,,United States of America,1-009-685-4523,79.0,305.0,O,0.0
Cem9172,Uctqzprqvdjthlc,DE,,3304104.0,M,54914.0,FHNKECNZSXNGBPHSXUBW,4.0,Dollar General,1.0,Canada,1-911-020-4396,82.0,675.0,O,
ghk9173,tsorvrnsjyrtelrdhryxttewujytww,WI,,3710345.0,S,78820.0,tbkrsheb,2.0,Fidelity National Information,1.0,United States of America,1-086-373-2938,81.0,778.0,R,1.0
Hwt9174,jsbbqvkowwbjnxpsfdfmxaicfdulhgfghvstmecjcjuezushtd,VT,,3233806.0,S,376708.0,iwflsrvpbos,0.0,,2.0,United States of America,1-997-781-1093,12.0,756.0,O,3.0
UWP9175,Nscciuykulavmyxkfupefakjimwhouxnbsaupukzdlhytxvomzrlwzurhgdvdmftmtcnmci,MN,,1802654.0,S,349957.0,Ldfsesadait,2.0,EOG Resources,5.0,United States of America,1-674-356-0758,44.0,630.0,R,9.0
Imi9176,Ivmmggrczqxqgtlmfgcofs,NM,T,3443988.0,M,100475.0,Nqknuz,5.0,Abbott Laboratories,,United States of America,1-760-959-9757,,726.0,R,2.0
frq9177,LJJMDEKXFZILMAWFCAYQBWOQTTHTAPBDWNVZJFDOZDJJXQ,SD,H,2344256.0,S,218327.0,Nhvjpimdsaxdbqyyxuhcrkxehpwnno,5.0,Becton Dickinson,0.0,Canada,1-040-011-0945,3.0,,O,2.0
brk9178,Haooryebbakcvdvtceamdxzeeknnygemdequzgljobbjojjqvjrgcnbgjhibvvborxqketthqvmg,MA,L,1463889.0,U,291592.0,Fntwvfriwkmbd,1.0,Scholastic,2.0,Canada,1-880-778-3276,,686.0,,9.0
Uns9179,Khjdilsfubjyuzyftfuvifbkzxwuwsjfgpmopu,WY,,543974.0,S,303607.0,Suaszjbfxhbqjvwfnikimdplx,4.0,,3.0,,1-765-473-8287,75.0,794.0,U,2.0
Dom9180,Ojncncmjkeuewyygfkycnmsbcorjdusdtxobrsuxhijyfndp,RI,,1080827.0,M,284065.0,Xuejihekiuig,0.0,LKQ,2.0,United States of America,1-456-488-2807,92.0,611.0,O,5.0
tgv9181,Rnmmygifdrbipxihzxbllvzcopplakvgzlik,British Columbia,,777878.0,M,161403.0,eimwwprxpwe,0.0,Jo Ann Stores,5.0,,1-129-652-0322,92.0,346.0,R,7.0
Xom9182,kteafhlxvatykzbozurtfdrvbkhtkzcosevjolipxpzojnsdjjrjfbtpvfoonjgmc,WY,z,2770169.0,U,241708.0,YDKLPHPXZTSLG,3.0,M&T Bank Corp.,2.0,United States of America,1-295-674-2688,78.0,528.0,O,2.0
RYR9183,VHEWNLQGINRSAYZWPXSZXQJYHULCJLZBUGAJWUKSUHTIULXYVFL,UT,,2002134.0,,349706.0,Jelnmltiiy,3.0,Brown-Forman,1.0,United States of America,1-997-928-3807,92.0,501.0,O,10.0
ujo9184,DJDCBWECWTPWWDUSTXLJCFDIGCVYWWVL,OR,,2512507.0,U,443580.0,rmoszlrlyltjjxk,3.0,Packaging Corp. of America,3.0,United States of America,1-106-900-8878,23.0,815.0,R,6.0
Dry9185,BJBIRGFYZZSPETAXOPXPWHBTIHJXJBGQCVYZPRBWINUYBHEBXATPQOOYYPANRKHNUQPIWC,IL,B,485091.0,S,366858.0,EGKZIXGOPPMHYEVB,0.0,NuStar Energy,2.0,United States of America,1-185-101-7573,64.0,344.0,R,0.0
QCW9186,Endxfuhozkxvq,Ontario,,209138.0,M,487454.0,Jbosletmkfubcaueuk,2.0,SanDisk,4.0,United States of America,1-133-271-7352,86.0,417.0,O,9.0
LTC9187,Mfeduu,MO,,,M,6753.0,MRNTDEDLEGWXQDOJAVFIG,0.0,Republic Services,4.0,United States of America,1-257-518-6672,26.0,835.0,O,1.0
Fxj9188,Cqptskddhdtrbesqmegroxobdyjirat,CO,,1632998.0,M,314007.0,bnbmkqqcgxxzu,2.0,Biomet,0.0,United States of America,1-929-821-3320,72.0,795.0,O,5.0
dsx9189,jtopozckgcokzlavdegmpnrkwnanjcgagprhdjdnalanwrenbduouomzugijlymaquvputo,RI,x,374006.0,U,146899.0,Odrpouqkyijwndh,2.0,Constellation Energy,4.0,United States of America,1-539-472-0866,48.0,701.0,O,8.0
Luf9190,ijglcmscngrxruxxauxaatjdjckhqzmjsvoqpoluknbtnyz,MT,,2449166.0,W,,Jhcatqubltxnp,0.0,Advance Auto Parts,0.0,United States of America,1-645-153-1683,15.0,546.0,R,7.0
Bye9191,XBNBSREBJTDSACSSJXRXEGCAEOGRF,UT,L,2580050.0,M,381790.0,Imkfvnumwclhdoqhvcsxjfvelvrcdx,5.0,Kindred Healthcare,0.0,United States of America,1-486-402-0643,56.0,390.0,O,6.0
Pfy9192,okvuykuzxtxysovxoueeyfxuwnvzmfxkg,LA,,,D,17390.0,Bkxagqumlbdfbactczd,3.0,Morgan Stanley,2.0,United States of America,1-119-799-4971,52.0,372.0,,9.0
gun9193,UMFCBKTXHB,GA,f,3502915.0,,238063.0,TEHGDRXLRKSPSAEMUQQWDOFHN,4.0,Del Monte Foods,1.0,United States of America,1-037-369-0178,10.0,396.0,,5.0
qvn9194,,MT,N,1689133.0,M,302505.0,Wbptuszdmz,5.0,Regal Entertainment Group,0.0,,1-640-077-2640,53.0,518.0,O,5.0
krx9195,vyzgitblaejonvxyhfxubfqxwwnmhyimdprlrttypnlkmkdsesik,FL,,968034.0,M,152676.0,abfubm,0.0,Whole Foods Market,0.0,United States of America,1-318-452-6794,63.0,598.0,U,6.0
Bvd9196,Rstsmiposocpudvzuaitthigmbjgxbrqlhy,WI,,802062.0,S,314196.0,ppurqrmltvgbtqaoupujeeidnlmlw,0.0,Brink's,1.0,United States of America,1-741-252-7353,13.0,390.0,O,9.0
Xvc9197,Ympllgegtkneprkvoalpa,FL,w,3239896.0,U,226932.0,Uygcpkanqunvmqd,1.0,Embarq,0.0,,1-666-139-6875,72.0,693.0,O,10.0
dwp9198,,FL,q,460924.0,U,399292.0,Lyvypvankcyunvnhffgkxlhtdxmm,0.0,Ecolab,4.0,United States of America,1-145-205-8503,26.0,395.0,O,1.0
Dyw9199,TMUFMNVYOWEHLSLHFQONCATCVDXFGQSYNLFJEAOFWKMWVOIUTVGQ,IA,,2154624.0,D,379263.0,laahfuyqvhaadvsekjsfofactvq,0.0,News Corp.,2.0,,1-562-068-9921,43.0,614.0,O,1.0
Gzd9200,vdqvwtaxkhqzcpguibmsqqeomxqhfsvcfmwbqwnbekhrzxibtfwkqqhxsebhcmkwtxsmmbkooqynipfe,AL,,333758.0,W,467066.0,agmaxuztqfollqgftkxrrdjo,1.0,US Airways Group,3.0,United States of America,1-825-912-0116,51.0,674.0,O,8.0
ote9201,rxtxowxiyhggn,Manitoba,B,1163886.0,W,374351.0,Wgilgruhvtzsnkiapzjt,1.0,Mohawk Industries,2.0,United States of America,,61.0,656.0,O,6.0
Wma9202,Szwxpmdddpdzxctkbvabgmqcovolvkgdlvjiojgccjxakokmvyvqwtupqdrlwgjy,RI,c,,U,39456.0,Hpscusqtkhdicxdndbpasdscmbb,4.0,BMC Software,3.0,,1-338-994-9667,13.0,630.0,O,8.0
lxx9203,grawjwnavifsuznrabgdabtw,AK,,3895690.0,D,478333.0,Smjwifispixncnrnukzyjqwqa,3.0,Pulte Homes,1.0,United States of America,1-852-595-3195,89.0,648.0,U,3.0
qeo9204,gjrduxgigmphalniqdyzflfv,Saskatchewan,W,3262809.0,D,334209.0,EOPLLIUURHXZMI,3.0,Big Lots,0.0,United States of America,1-725-814-3421,55.0,821.0,R,0.0
Cbm9205,BVYPBZHVSSX,MA,V,2745045.0,M,261038.0,Uvwzmsicez,0.0,Hubbell,0.0,United States of America,1-148-542-8338,44.0,692.0,O,1.0
evm9206,LXXOXGJSAQLGNMPYKDHLTIMEXBLVDDNIQJGFSBQIDXRXUXGOE,GA,,2845538.0,M,345000.0,DQZGHGEIMFVYXMPTCAETG,2.0,Tiffany & Co,1.0,United States of America,1-138-082-9611,67.0,741.0,O,0.0
QMR9207,Lwurmahnzytlddungywasfjvswcqwodnezjbpzgktzcbmt,MA,T,3526238.0,M,476570.0,Hwikiasiunleribe,3.0,Ross Stores,1.0,United States of America,,87.0,844.0,R,5.0
NEF9208,Wmxrpknhvtqr,KY,D,2626638.0,M,257638.0,Jteecztsymoeggilrekjp,0.0,Macy's,3.0,United States of America,1-684-115-0152,,562.0,O,2.0
Doc9209,Gaftcjlgfslddxsotjopfxvcekifiwulbtlhgkaudlovvrjfybgpyjbiugsb,CA,j,595730.0,U,25062.0,QBUFAYNDNVNGWKGCHZHPJNWEXT,4.0,Expeditors International,0.0,United States of America,1-720-664-0283,,385.0,O,2.0
Kfj9210,Ghondwjspviutfcgoxqrsyiskgmpbhhreuawi,MN,,3488045.0,U,192169.0,Dykvlnyqaxss,5.0,Werner Enterprises,5.0,United States of America,1-839-882-6088,84.0,510.0,O,4.0
taj9211,Qrvodnkirzltwhclntt,MI,,2272366.0,M,3702.0,KQOYVKSIZPOBEBZU,2.0,Chevron,4.0,United States of America,1-352-424-7336,75.0,592.0,O,2.0
Ycq9212,Adktqpedvxqr,MT,g,2966797.0,D,42734.0,Cknbeyrg,0.0,FPL Group,2.0,Canada,1-623-752-7526,71.0,414.0,R,4.0
geu9213,JTCLJUREOFOWOCKBLTVQNURBBLLCKWRRKFHPNECSSUGVOFSXHQKTXFCQ,TX,,811317.0,U,171321.0,Qkapuyetksgewbuosczkdweikhnb,1.0,,5.0,Canada,1-401-248-2354,0.0,531.0,O,1.0
aph9214,rulhbj,NM,,2286478.0,U,173619.0,GVFHZXYABLSRULZL,2.0,McDonald's,5.0,United States of America,1-375-969-9352,52.0,456.0,O,1.0
Lgo9215,Rummsghdcqukanqnhxaqcjpxyjnielkdezdbjprdpblxtqep,ND,,2947139.0,U,160290.0,Mohlcicpbskabzyccecrfocgozxkv,1.0,Kraft Foods,5.0,United States of America,1-246-250-5029,72.0,327.0,R,2.0
Yhn9216,Eihugfbgjuufuyorcpogmekthgboohyeecrqiyoxfoh,MA,,3444949.0,S,278170.0,OOFOZOADDNZPZBV,4.0,Interactive Brokers Group,4.0,United States of America,1-297-274-8671,44.0,617.0,O,2.0
ZXH9217,Pasmvlveygvbmxszvokqubizkafpaaivfztcfqbjefmrsdvrhhyyfknoaswcdlrxjhdv,AK,w,2428103.0,M,165449.0,Kuvdeov,1.0,Nacco Industries,2.0,United States of America,1-015-340-9847,72.0,590.0,O,
Qls9218,SJJEWFRRNTMFSOECIDMBHWYIYQG,NM,,2434001.0,U,455788.0,UHHUBDAACEILNCQGNYBXLPIJLRX,0.0,Rohm & Haas,1.0,United States of America,1-747-775-7347,79.0,797.0,U,6.0
rku9219,KUPRHNLCRWQLYLBXESXLNOIRUAPNUGTUDRQFSPSIXFEDTYZJYVQG,TX,,3196638.0,M,261009.0,wsrovhigkbjclgqtfnscohsxijfqpp,0.0,Holly,5.0,Canada,1-456-399-0093,91.0,619.0,O,5.0
Shq9220,QSTXVYKECTIVZHCCJGRCA,WA,,2446920.0,U,19403.0,Fkhwbamtup,,Helix Energy Solutions Group,1.0,United States of America,1-514-436-4765,50.0,425.0,O,10.0
lih9221,FSDSZOBCEHZHVKQEYKQPWNEKW,MD,R,1049783.0,S,484294.0,xuvtdoqmhnssgsygkfly,1.0,,3.0,United States of America,1-946-787-7622,87.0,819.0,R,0.0
Fzd9222,UZGEIXNPUKFQVEHWEOUVFJPSLDMAYQNYUGCRHYKPXPOMRRXTCEWEXIHHBCHHXWWOXJZHZM,MT,,769929.0,D,122476.0,qvyyttysbpuhnn,4.0,Moog,,Canada,1-020-464-0685,42.0,614.0,O,3.0
FQN9223,KCBZEKWYBOWQUGPZVDKZNVNAKOHMKSYHMHIJQXNNJFGNCF,Manitoba,,1634320.0,W,,Jivmavhbbto,1.0,,3.0,United States of America,1-030-905-9849,0.0,762.0,O,
Pkj9224,NXLOOAUDKBSBNXYLVWFWDREGUCYEFTSNWQIPGNNLPJQLNCBJGNURKXHDNGCQGZJTIHMFDX,MO,X,2440706.0,M,329945.0,Aoxsijmbxoccevwj,0.0,Kansas City Southern,3.0,Canada,1-212-387-4537,36.0,627.0,R,0.0
Kmr9225,Xsmhsvxmfuuvufxupfhvqcktklnroqa,Manitoba,O,466863.0,M,50567.0,Vnvijpbdsrucesmtdn,0.0,PNM Resources,4.0,United States of America,1-606-638-7100,6.0,383.0,O,7.0
Fxk9226,FBPJDALQIKRBLFOIRGHQWVQGSLWJNUICFVXONXMOULHLXBGJUWSW,Saskatchewan,A,2393992.0,D,154063.0,NMVMGLQNULZTRCZUVNUWAWQATH,,Cracker Barrel Old Country,4.0,United States of America,1-456-457-2900,57.0,463.0,R,0.0
wsx9227,,MS,n,1111146.0,M,379919.0,BHDWPQMUO,1.0,Cinemark Holdings,5.0,United States of America,1-131-498-7770,74.0,368.0,O,3.0
YGS9228,Vlbudwelfadkbb,SD,f,2874610.0,S,494886.0,JGAEETABLZYQ,1.0,Microsoft,5.0,United States of America,1-196-597-7595,10.0,695.0,O,6.0
Adr9229,pqomiclodlctsfizygonzuzvbnksrvjceguahklujzmjvqaqckecevr,KS,K,1630292.0,D,101214.0,tyzkfgqvkpzpklfn,4.0,Cimarex Energy,1.0,United States of America,1-178-030-1731,94.0,529.0,O,7.0
muo9230,stetmcqrafsntrpuzs,Newfoundland,,684575.0,M,452773.0,zohfutcjdvqhu,1.0,Mosaic,2.0,United States of America,1-770-509-8324,0.0,832.0,O,7.0
xiv9231,MXRVHBPVKSLFUBPAWPEJKXGCJCGT,MA,,1464585.0,S,10714.0,tkilpjfqwaziu,0.0,McCormick,1.0,Canada,1-542-451-2383,81.0,732.0,R,4.0
Vxn9232,byovifgqkhkddollzcfxsgbmdmcohtcsvygdjchmlsmwzokdcmrlirxojwilzaicryfcjwtnzvwolevk,AL,,113667.0,D,114135.0,lxuonewjnsqc,5.0,NV Energy,5.0,United States of America,1-247-980-4019,90.0,364.0,R,2.0
Swk9233,vgekypipwwjtonmwiwpmihsdrbx,CT,a,2650557.0,W,215294.0,npxuxtaiaoayvmujnvczlcftbuh,,Qualcomm,3.0,United States of America,1-963-392-9867,39.0,477.0,U,8.0
jst9234,Wpjbgikqbvylioewaptcmnxsllxjx,IN,,1606515.0,U,130437.0,cfljtwtelzldvthlgievgegseazdh,2.0,Nacco Industries,1.0,United States of America,1-033-526-5329,63.0,713.0,O,3.0
Ebo9235,BHSXITCFPCOQGJKVAIUGNGOGPBHWOMZIYYCZGPTQBLWJFSV,NM,,,U,210787.0,Eplnaumorweyfraiiqrunawp,3.0,Williams-Sonoma,0.0,United States of America,1-506-158-9437,88.0,645.0,R,6.0
Mtm9236,qzoyvbtugcnm,British Columbia,,2591325.0,M,148324.0,CMPDZEBEJSMMMHFZ,4.0,Sunrise Senior Living,,Canada,1-511-355-5877,85.0,799.0,R,2.0
jub9237,GPCIWVYLSM,UT,,2114324.0,S,264799.0,Qvkgdbsqjlcdkjhyjbn,0.0,Service Enterprise Group,3.0,Canada,1-810-279-0179,73.0,353.0,U,3.0
Dap9238,Qufnlxdnriwvaavdrwhefdqtemfauuvrjnuzlzknnfsggsebgxawszqizpphbdvkdrzdxj,NH,,2504886.0,W,304975.0,Vbfqisdpedoh,2.0,Mutual of Omaha Insurance,0.0,United States of America,1-101-747-7443,20.0,308.0,O,
Use9239,Ibxjpbfqnhmtxfodwtekcspqxtfcbhdnwxzquwnmjgrginfomllvkycwprxzzoxtghgjq,SD,u,3662459.0,U,164814.0,Tpdxbbxltoganfnbcnfwlkkpqtyheg,4.0,DaVita,5.0,United States of America,1-631-103-7871,29.0,,O,2.0
Fqe9240,IKACUTZLP,CT,,425003.0,S,,Izmaqnicswrleld,2.0,AmeriCredit,5.0,United States of America,1-194-652-1520,31.0,316.0,,2.0
AAV9241,,HI,,967122.0,M,203916.0,Lrxirmegcfjadagrip,2.0,Costco Wholesale,1.0,United States of America,1-687-767-2273,59.0,,,7.0
Jge9242,Qumxz,Alberta,o,3112956.0,U,225279.0,ncxvxgwpxyutuvqmc,0.0,Genzyme,4.0,Canada,1-614-818-6727,100.0,317.0,U,3.0
IRN9243,GYIECNP,WI,,77354.0,S,369644.0,pormvseqmtibzznihvi,0.0,Tesoro,4.0,United States of America,1-513-180-3381,7.0,759.0,O,7.0
eva9244,Idrdfuwovurjijlhgdwraoviexscfvqmtvnaoxchukeruvj,VT,,3381930.0,U,31804.0,Mtjkbuqg,3.0,Zions Bancorp.,,United States of America,1-083-206-8001,27.0,369.0,O,1.0
Dwx9245,rzlxasxxwjbkhdafdvnxasyjklaictldyppzgkkqpdjqorohrzrahtgdgnb,MA,,659165.0,U,113650.0,Fueoadmilnehpvjvbh,1.0,Gilead Sciences,,Canada,1-121-207-1806,75.0,329.0,,7.0
Qyv9246,Jnapdwqn,AZ,,1496328.0,U,47147.0,Tmbsoucxfya,4.0,Applied Materials,1.0,United States of America,1-190-876-8598,68.0,439.0,O,4.0
Xqn9247,Ibxzatbfxkihb,Saskatchewan,,76649.0,U,389952.0,RFAZQKTTUSIYOFTQPGHBBJVDEBA,2.0,Delta Air Lines,0.0,United States of America,1-406-006-7635,49.0,669.0,O,4.0
Vlh9248,leitdpznllxcirwfgtxmgscuvtrovcuvshmbricgrhdplfkq,OH,f,2291150.0,U,202459.0,QHKKAXIARNECUERBWYRWEDYGG,,Blockbuster,3.0,United States of America,1-460-765-3876,30.0,538.0,U,7.0
uhb9249,Osatesuslmvkdmkaawr,Manitoba,t,,U,396254.0,Dchnlnfxnhqjwuqwmt,4.0,Regis,1.0,United States of America,1-687-753-0503,44.0,486.0,U,
Ams9250,Qkljgmcvcnzsnuvivmavcnhvw,ND,B,1862553.0,U,304743.0,Hheviciawlzeuuymfva,5.0,Auto-Owners Insurance,2.0,United States of America,1-045-600-2747,61.0,314.0,U,1.0
ACB9251,Bgswwhxkavgm,IL,K,3422525.0,M,268291.0,WZZSMCVAHMCAXBE,5.0,Ruddick,4.0,United States of America,1-572-237-2964,94.0,335.0,O,3.0
afh9252,Lmdfxuzbkvuwysjwnwlcssqyfsrqibjuahsnbrrwnguvbtbdlycsxwwptsgbuhrdob,NH,,451385.0,S,413892.0,Yheahpkslgerciemwkrzwlxz,0.0,Kla-Tencor,0.0,United States of America,1-101-877-7370,88.0,717.0,O,2.0
pdt9253,Lsouyhndcdzsxchvfwtmmxxt,CO,,3234523.0,M,50739.0,OZKMSRUHEELWBT,3.0,Gardner Denver,0.0,United States of America,1-978-257-4310,72.0,486.0,O,0.0
UUP9254,Dqacrawruy,Saskatchewan,f,2390840.0,W,80798.0,OLQIAKKTYR,0.0,Mosaic,1.0,Canada,1-285-220-4963,40.0,404.0,O,2.0
ixs9255,nuwocjzdujbpovrluicdlznguuucnzsnxeopah,Newfoundland,l,3164221.0,S,,stmtgjgpnsbly,1.0,CarMax,4.0,Canada,1-929-454-9080,61.0,650.0,O,10.0
Fty9256,EZMPOTTY,KS,Q,455909.0,U,402527.0,Hgwjjjycqtho,0.0,Sherwin-Williams,3.0,United States of America,1-573-046-0328,28.0,757.0,O,1.0
Dkk9257,Sxbvbiemjjwuucqdunxazvbuzvckoptasuchjwbsltjjxddjqvteujrlduekpfkfoagffzncvwkzc,ID,O,2269320.0,U,344996.0,wrvibahnpkzhxtcvmysegarucvmpu,2.0,General Growth Properties,4.0,,1-177-407-1347,64.0,461.0,O,7.0
EWZ9258,Lusjevhyyljmwnmgyfnepzbbfcdyxkpefqnwmxajasfrmphjceeeomuqzhhcujdup,HI,,,M,27697.0,Pppsvtdphfmyqkdlkml,3.0,Quest Diagnostics,2.0,United States of America,1-035-398-3179,28.0,356.0,R,2.0
Iqn9259,Pmllxaodixguvdjtyuehhqneneczivhmllpsnmaxgfaoulsycnwbcedcbvcegqamfqe,GA,,3460973.0,D,61175.0,Tclgxtramnv,1.0,Goldman Sachs Group,2.0,United States of America,1-112-898-0222,,522.0,O,6.0
nco9260,Wdlfqwjqmqhuqkhjclmafvlllxlwzqigbopsokelvajvzmrbffmwwurxteww,SD,O,158220.0,D,470956.0,gunjawgjmsfjokkhrpvqq,1.0,SunTrust Banks,0.0,United States of America,,13.0,536.0,O,2.0
Mfd9261,Teuaandqdjgdrujamwetpugcyltdrdcvdixihtiknefchdgpwelbpkbxrvppccwicrlrnzjqkqytgdl,IA,t,1236451.0,S,14329.0,Wajtsdextuevmfefytsgwmcbuxji,5.0,Expedia,0.0,United States of America,1-981-187-3119,90.0,800.0,O,4.0
iun9262,THAXZXGNIIWZERVUXQREFJNZADHKFO,CT,y,2050117.0,M,340416.0,VIHNEBVTPFTALFXKI,0.0,Plains Exploration,0.0,Canada,1-602-182-5007,45.0,429.0,O,10.0
Jwy9263,pyukfuhlzqrlgkcqfgxkljlxatlzyfsvxsvkb,VT,p,3132061.0,S,494896.0,QIHRKDEMFNWRXUV,,NSTAR,2.0,Canada,1-469-600-6858,90.0,485.0,O,5.0
OZU9264,CQGOTQPAHDSLFJLOOKQXRHUWDMG,Newfoundland,J,2096984.0,M,332331.0,ISYOOBVOXJGEFZ,0.0,Tenneco,2.0,Canada,1-102-636-6366,40.0,647.0,R,7.0
Vhh9265,tzmozvqckhhzpvkefjrypcqsedtjsue,Alberta,,2604664.0,S,188310.0,Wvnnjxrehdaaopcsx,0.0,"Toys ""R"" Us",0.0,Canada,1-294-034-4125,23.0,302.0,O,5.0
kkk9266,MKTGBBVKHLIIDWPOJJAPANDZESYURAOZUKTXVCXHDSLMQAEGUUVHLNEJJS,AK,,1842010.0,M,180615.0,WEIBIOH,2.0,Allegheny Energy,2.0,United States of America,1-797-828-2051,39.0,350.0,O,8.0
hcd9267,HXNVGPCZUDUZXOMUSFKASRFSDMHQNYNRACKNLMVRL,British Columbia,I,1094780.0,U,14461.0,Mdacvdkdvsjgihavsfrzwthofvfk,0.0,MEMC Electronic Materials,5.0,Canada,1-071-343-3869,69.0,609.0,O,8.0
NVP9268,Ivtajljrsarvfmtgwtmayngniiabyytepsinwelhsraxf,KY,,1398892.0,M,395795.0,LJOEY,5.0,New York Life Insurance,5.0,United States of America,1-495-563-1627,77.0,751.0,R,10.0
Hkk9269,DCQUWAWCDLTSLMFJAMJFOJBWSLZEMCB,TN,t,1471913.0,M,341012.0,Eojqgbczxtgalqkuhwlg,2.0,Sauer-Danfoss,5.0,United States of America,1-163-355-4572,37.0,410.0,U,4.0
Qwf9270,Uhartoxxcnvgpdumhopwkkidodrspzoiblqhutrgiygexctpmxgti,MD,,40150.0,M,,xrkclrvumuf,2.0,Service Corp. International,3.0,Canada,1-328-166-9769,99.0,437.0,R,4.0
uzy9271,stzocozqlxstqvfflds,IL,,2455738.0,M,33940.0,Bkjdjfjvrogmwgfu,0.0,Chubb,3.0,United States of America,1-560-210-6284,33.0,399.0,,1.0
