prospect_gncd,prospect_ct,prospect_ddrssln2,prospect_crdtrtng,prospect_wnrrntflg,prospect_ncm,prospect_frstnm,prospect_nmbrchldrn,prospect_ntwrth,prospect_mddlntl,prospect_mplr,prospect_cntr,prospect_phn,prospect_nmbrcrs,prospect_mrtlstts,prospect_g,prospect_nmbrcrdtcrds
MOW7962,San Jose,CNIQGATPHOH,738.0,R,326286.0,qjdmqsxtdko,5.0,2565062.0,G,Intuit,United States of America,1-707-512-6428,4.0,S,6.0,8.0
Okv7963,Sandy,,839.0,O,258746.0,Enldryzsvsbpjihkh,4.0,172431.0,,Cooper Tire & Rubber,United States of America,1-755-429-0507,2.0,M,73.0,0.0
Jnr7964,San Francisco,Eqiecdycntfesorjocoopn,724.0,O,388720.0,XOXGELDEQPNXMNNWVPMHYHWMJL,3.0,2735339.0,b,Toro,Canada,1-226-695-4242,3.0,U,56.0,6.0
sld7965,Elizabeth,Eugnbodhmtbdxusjoqhtvrmntdrsyjmzktjpjlkbhcbupllqfikvxqdrhlnjaazzin,770.0,O,397650.0,WBMJXRIMJEDRXSIEPNXCGABXWTVNZ,0.0,3273938.0,,Helmerich & Payne,United States of America,1-275-909-0362,1.0,D,95.0,8.0
HTJ7966,Reno,Vucopbdsvuglhktaoefscqwhtfryzaujublfpogjnlureyycoexidlivdvuaqclaatxarxtflpqs,844.0,O,138396.0,Hxgwxrlvbsa,2.0,497721.0,P,Centex,United States of America,1-339-141-9741,4.0,W,92.0,0.0
Jah7967,Simi Valley,Rwrwnohykhzxyajmpvttarwnwwbaicgdjagrtpupaguupdndreegkxaxpchmlerpnkxs,307.0,O,278359.0,Wbcbhqqqqqroffgwbeb,0.0,3397603.0,,Qualcomm,United States of America,1-401-115-6829,1.0,W,62.0,2.0
oce7968,New York,Tabpcqvbrhweptexsaaeyhpxfamknxvdcqkxcxxmcehsvvznshgtmuqwmsxdhfzohqxeobvmauz,600.0,R,36336.0,VFYTKJDYIDRQWYGCRR,2.0,2320613.0,r,,United States of America,,2.0,U,80.0,9.0
Gyg7969,Simi Valley,Guadpsvgtdooevwesspsgrkcfmyafgkhsosclxfdvobfoqceffgfdrmynjvuqpmdgngn,843.0,U,210065.0,bdcdxsejlvnmopabrdeosuxsl,,3162291.0,B,Universal Health Services,United States of America,1-423-497-9642,2.0,M,42.0,6.0
Qwr7970,Coral Springs,Arqifwtalzxwnfuwfyizjwwtjpnmlqudsojkkvnrcddm,616.0,O,165145.0,txtlcvn,0.0,2835719.0,,Medtronic,United States of America,1-667-132-0118,5.0,W,45.0,7.0
Bpg7971,Bakersfield,djtavgmzwlwtavuakhhhvogzthldlbwcbmcgosrn,330.0,,58218.0,Ojvyeksqyppuvorlagbwnlszdvige,1.0,1856955.0,w,Sally Beauty Holdings,United States of America,,3.0,S,63.0,4.0
MBQ7972,Moreno Valley,URWGHABHNLQAVIPDLTMACDOWVMRPBHYNAJEUHUUFJHJSBWVCAQNFCSPBMSQ,444.0,R,67777.0,gshlcqxdbcnqputqltqnafkm,0.0,228641.0,,SLM,United States of America,1-366-870-0408,0.0,U,35.0,4.0
Qtn7973,San Bernardino,Qifahzwmvbncytyvwigkdwsyvpewtczpsz,595.0,O,39761.0,hvcsxhhdordpebod,5.0,361584.0,n,PNC Financial Services Group,United States of America,1-458-995-5122,0.0,M,87.0,
aqr7974,Ann Arbor,Mgqweoniaaxmigclhvmtfhxorwulfxarnqgzccevgamukogsfrthmdqytfbcrk,425.0,R,129508.0,tqymhenitzedh,0.0,52012.0,a,American Axle & Manufacturing,United States of America,1-233-397-4249,4.0,W,9.0,0.0
QMU7975,Salem,EQLWTZATSUPXBSQVMGAQQHZEDIJMUSAAOYYMCLZ,396.0,O,137883.0,ltneghsfijwmwccmwpqalkhu,0.0,2518827.0,o,IMS Health,United States of America,1-135-933-5159,5.0,M,1.0,8.0
Zbc7976,Louisville,nsqszkunggembpaxtlzzixaiavuamueyvuahdtffojqlzyjsgbjrgoiy,720.0,R,181746.0,xwkbdkhqrksgdvvhfhtzr,0.0,,,C.H. Robinson Worldwide,,1-431-497-0163,4.0,S,58.0,6.0
VHX7977,Irving,Twqaaokigotsoejzvjlzzitiajnbveabnfqualpxbslawnpmrupkdmzpqop,656.0,O,332881.0,Weogedkdasbnabrtprx,0.0,2028687.0,,Sprint Nextel,Canada,1-601-191-7044,3.0,U,58.0,5.0
Rub7978,Saskatoon,Camhyanhhlgrsfprsaidtmroxhdbnwlmysbatiwgrrv,749.0,O,446723.0,RVBANQWTYYOTEZWUBCHNHHUDESQWI,2.0,2903276.0,c,Dentsply International,United States of America,1-137-179-7233,5.0,U,20.0,0.0
Bbh7979,Erie,Zovdduwvsbbwkayokvoithkegphcfbdgbm,584.0,O,307144.0,ssdngmtgmqdrkwkk,3.0,1055051.0,,Walt Disney,United States of America,1-429-280-6110,5.0,U,92.0,6.0
hyl7980,Hartford,ILAWNYOVUNMSNXFVJRQNBCXHSDNSZPMVPGB,,O,168863.0,wronkstrtpxuopeqgbm,2.0,3490418.0,F,Aventine Renewable Energy,United States of America,1-697-497-5231,5.0,,67.0,6.0
Eel7981,Cleveland,wbkhuqjjmmtqcbqlqlrkunnypzb,613.0,O,426083.0,FPDGQCIUCJZLMNPHIVSYLG,,2367528.0,,Supervalu,United States of America,1-548-067-3818,5.0,S,38.0,7.0
aen7982,Allentown,bqzcbknvvuxqzwxjrgxzuqgtoeglooklqohgehxjzsdgwurd,761.0,O,435691.0,drnrzowdfytxkikoapsv,3.0,1843385.0,z,Penn National Gaming,United States of America,1-013-355-4164,3.0,S,39.0,3.0
Mme7983,Omaha,ovrtfurrjwcieejqwdsxeeuxakyvsaesnsvpwkqanynmbcchqlsdxqgqivcgwzgw,498.0,O,489399.0,cwhtrurjmbeid,2.0,2453788.0,,Supervalu,United States of America,1-817-810-5742,3.0,U,21.0,1.0
rnh7984,Omaha,zicwdymulgrgpqtynjvpbcnlsdvtsjfqrdrxmxmmplthgrcxj,500.0,,173047.0,Imwtykmppdwfraafgfzkpicq,2.0,2846133.0,,Dell,United States of America,1-416-838-4692,1.0,D,28.0,1.0
AMK7985,Idaho Falls,Gehsxsympffrjsjwafstnvyhkgicwykuop,328.0,O,334169.0,Rwonkxpelogthewayftqlu,3.0,464486.0,k,Citigroup,United States of America,1-487-500-1420,,S,81.0,1.0
Quw7986,Cedar Rapids,Xoanpdtfsiufsc,549.0,O,415529.0,aaksvsjyrorzcnbowfzp,0.0,3389791.0,,Hudson City Bancorp,United States of America,1-660-829-1708,,U,32.0,1.0
RWC7987,Simi Valley,Xrdskqxcwutikvqhhosxbydrwckfudhpxemxcnlrrfbtqguytmasrhavuatcgruevrnejpchetdwk,383.0,O,74371.0,Zquwohjxlqrdqmkedcfuowox,5.0,1069894.0,l,SAIC,United States of America,1-192-498-2461,4.0,M,92.0,6.0
Ido7988,Raleigh,Lbibosawqqqdwbclvjsjoehuoizwptyuhhzzotjlrnroqxom,318.0,O,313315.0,AEJEOUZBNXNRYGCZPFRIHEROTGZNIG,4.0,216883.0,,Darden Restaurants,United States of America,1-142-166-6504,1.0,M,51.0,9.0
USP7989,Great Falls,Ujnggiajsspwhrvdcpbeonzqfkb,656.0,O,158974.0,Mtkiwxtttxfuhfgg,0.0,3624917.0,a,Herman Miller,United States of America,1-638-418-0655,2.0,S,70.0,0.0
OQO7990,Rochester,LDFOWPEUA,389.0,U,206128.0,Cwjbcdsmein,5.0,3338800.0,M,Automatic Data Processing,United States of America,1-798-461-1441,1.0,M,70.0,1.0
dnu7991,Naperville,fwadtsoafiwgooxgvlwibwgogksswbiiduocuhicccfdulpybsncblwcrljtazovbqoqyxbyib,583.0,O,234045.0,Nvhcdrfheyeyxem,1.0,1156363.0,t,Mohawk Industries,United States of America,1-331-218-0022,0.0,W,54.0,0.0
EXT7992,San Jose,,408.0,O,423527.0,Cbzzuvsdcolkfickj,1.0,167904.0,,Questar,United States of America,1-744-452-2641,3.0,D,76.0,6.0
OZM7993,Tacoma,Orjjjbvvmrnrlkutvxyoahzcmjoktwnandwhymjdcpvrmvkhdbb,715.0,O,386685.0,Rwbbqkqqjschwyhhq,2.0,3720069.0,,Cypress Semiconductor,United States of America,1-181-898-5778,0.0,S,100.0,1.0
Djl7994,Jacksonville,Niyvufqhitaplytdxptwnvolevwpjntvhypbrhfkxlaksqlveqexjifqjkcp,644.0,R,185313.0,Nwbeothstuthkljaikdtik,3.0,2295922.0,f,Abercrombie & Fitch,United States of America,1-045-510-7922,4.0,D,99.0,0.0
YTU7995,Bridgeport,FDVDGXUTOQZTWLQAVIWBR,378.0,O,121101.0,GCVYHYHRTUDTRPPLUOFBQQVH,,337666.0,D,Morgan Stanley,United States of America,1-071-848-9400,5.0,M,98.0,6.0
QLF7996,Warren,TDLGVOTVOIHTGMRMCDNQYAKKHOVMHLPZDDEIOBEIJGVVSIKZ,841.0,O,92187.0,Fyclziwfwtbehdepds,5.0,778019.0,X,Avis Budget Group,United States of America,1-961-299-1862,4.0,,64.0,2.0
zju7997,Tempe,wbtfpwxjrmvlont,,U,38552.0,SBJWOT,0.0,305311.0,Z,Volt Information Sciences,Canada,1-019-060-4384,2.0,D,63.0,5.0
Oab7998,North Las Vegas,Qczwsqymzkajrirruktvxryjsphdrofuetnfhyxppxwdeunbmk,747.0,O,16691.0,xmlsatau,5.0,3080436.0,E,VF,United States of America,1-520-702-8601,5.0,M,55.0,5.0
xve7999,Lincoln,Uzzruqgyrlniqguzmhkpjuwtphusieajpnkocwpwfatdwx,810.0,O,120512.0,jbnhjtrsox,0.0,2052565.0,A,Urban Outfitters,United States of America,1-563-081-3970,1.0,M,7.0,4.0
EHZ8000,Washington,kdhenyrf,368.0,R,270139.0,NJOFUUIEQTANIFHYLM,0.0,,p,Lennar,United States of America,1-999-226-5168,5.0,S,,1.0
Lws8001,Virginia Beach,VCONXILUETAPXCVGHIGUJGH,676.0,R,361164.0,Xaibtvy,5.0,3462913.0,I,Principal Financial,United States of America,1-552-654-6988,3.0,M,26.0,1.0
Jqs8002,Minneapolis,ZQPDJFNICERRNTPBN,505.0,R,342647.0,Frnlmag,4.0,2613827.0,,Piedmont Natural Gas,Canada,1-383-717-3914,1.0,M,34.0,7.0
Mek8003,Glendale,jktgppuhsyqrlejrjxdwiob,771.0,O,238810.0,DDLRCDCAGIGLOPQCPXYELWVJYDJO,1.0,393637.0,d,Sally Beauty Holdings,United States of America,1-387-492-1802,2.0,W,44.0,6.0
Hfq8004,Frederick,SRHEEXPTBPCDUHNPYMNYXRUEFRHUSYVIIKDNITQWIRRAV,713.0,O,445985.0,patspkzhrbmjbfssros,0.0,299040.0,z,Armstrong World Industries,United States of America,1-841-060-4968,3.0,M,83.0,7.0
Lft8005,Allentown,qervrizdmhivkvdpvdrbzawdylsebmcmsbytwzaqqbqjtocnhzxhrlputmkdhu,708.0,O,15075.0,Rtgvqz,2.0,3377834.0,,Parker Hannifin,United States of America,1-755-610-0722,3.0,M,17.0,7.0
VEQ8006,Washington,Zmxialdvbgtonanuvtohbmizq,732.0,O,100336.0,Ltyfwtrxrciisqksgqqmnkbvddpmfo,1.0,1999428.0,,Northrop Grumman,United States of America,1-891-655-0364,1.0,U,11.0,5.0
Ljg8007,Saskatoon,ludivnwidprlosdoldibsxleoonkjnhelagg,794.0,O,318321.0,Fwlrulyjxvuxqdgasmstrocdw,1.0,770368.0,L,,United States of America,1-805-853-3528,1.0,D,74.0,5.0
Qvc8008,Lewiston,Xpgxirhcugugctohmmckj,418.0,U,51469.0,euoeohunoszahgngnvxz,,3684933.0,u,Computer Sciences,United States of America,1-715-849-1831,1.0,S,96.0,2.0
XPF8009,Peoria,eknbdrxefjojqtmzelgyllezldxyyevoqoipnawmvsnkvixlqculdhbmpgdwfokstytgq,706.0,O,383624.0,LPJWUFMXMDUIWXJFNVZH,0.0,501398.0,,Polo Ralph Lauren,Canada,1-710-070-8467,4.0,W,4.0,3.0
LDQ8010,Mobile,Olxzgfvmofgzzvsbpgtufbpcuznymakfrgtviuzwiindozvjtcjgbpzntubckmdxvfxsnugkxssm,767.0,O,241986.0,Lgqahnloeniumenwg,2.0,1868660.0,E,Toro,United States of America,1-558-667-8933,3.0,M,0.0,1.0
Frh8011,Jersey City,rudamugfcrvhifccwzwbezumasva,698.0,R,152859.0,IFSDSGJSXQKVKBUJOZUPJLNJBTCO,1.0,1613282.0,A,Regions Financial,,1-462-627-1683,4.0,M,2.0,7.0
Mvu8012,Worcester,Aoooeljhokmssxwazjghfxkymingtknnkbkymgyiqhwkkybcxsftttnpqdsvr,397.0,R,332155.0,Ucpqth,3.0,850716.0,w,Pep Boys,United States of America,1-946-850-1175,2.0,M,14.0,2.0
Uqo8013,Provo,Tqxlvtjlabawqheihkcdgjcaefntjwyhlsmwhkta,413.0,O,163191.0,gvzvwrpborcsypcduifkqhu,1.0,2056567.0,,Calpine,United States of America,,1.0,M,26.0,0.0
SJB8014,Toledo,UVQYCJVZAXEVHE,787.0,O,413962.0,Nuevhhfqmiirnowiimqddkdfifgb,5.0,866588.0,,KAR Holdings,United States of America,1-821-158-3797,4.0,S,58.0,10.0
cpe8015,Portland,BTKTFX,399.0,O,190630.0,Axiwievpevhoywactywv,4.0,1062891.0,g,,United States of America,1-724-439-5793,0.0,,76.0,10.0
osl8016,Arlington,ldeqixufpwbpycwywhkrqdwwe,675.0,O,,ujnzwc,4.0,630650.0,,Merck,United States of America,1-037-028-9797,3.0,U,43.0,1.0
Rto8017,Washington,Mqnkdngntbhqikvxzdgqrscuqcrehqaksorjgqanfcdihhxycl,556.0,O,364290.0,qnqnk,2.0,2417102.0,,AMR,Canada,1-472-312-5067,0.0,U,37.0,0.0
Rkt8018,Inglewood,jfxmngcxzpnifytakuyinbgbzvutsblriohfvqbtvabdbwmfghiqbrbrpznyhcrkwp,357.0,R,,Wfgpkudwoextkeeghcpahw,2.0,,,J.B. Hunt Transport Services,United States of America,1-468-691-5712,0.0,M,50.0,7.0
EBS8019,Mobile,wvtmwwxshsrzkqeuoqbjarnroiigkiusqjty,303.0,O,13472.0,Zbfxtnvyexrrudmkaxjrww,3.0,3556093.0,q,Sysco,United States of America,1-664-475-4373,3.0,M,69.0,7.0
RAH8020,Chattanooga,Kdkhdzrwiqoeemwdfgmpweyp,645.0,O,377276.0,Kszouhmp,5.0,481360.0,,Northeast Utilities,United States of America,1-962-509-4844,1.0,W,48.0,1.0
gpf8021,Aurora,BTKKVPYGCUOUHEQBZMDKQJCAEUCGNSNBHRHCSGHMSTMBJWZU,,O,184783.0,Wqkujuxopjuioxrhwyegbojtut,0.0,2121994.0,,Mattel,United States of America,1-918-742-4297,3.0,S,33.0,4.0
Uzp8022,Austin,tmhozgenkbxneihwedbmhjliqdewgapydddpaadiaupyusfgzgnaskkjbeohmazdrro,728.0,O,339071.0,Oklmymec,5.0,1206934.0,w,Universal Forest Products,,1-589-877-6520,5.0,M,1.0,1.0
LNI8023,Jacksonville,essrkfnkztneu,665.0,O,168295.0,Ukjikxzjlupncpyawtylr,2.0,1045226.0,u,PSS World Medical,United States of America,1-469-388-7767,4.0,,1.0,8.0
PPT8024,Pueblo,Zjsgdgujsyzrkoozfhwpjvinpwrbbnunvjpiuanfnnxzsssvebhedyawnfmwvoxcvcpsy,833.0,,461109.0,Xrxsnpojnbwylhwwbjfinkaeimu,3.0,697590.0,Z,ConAgra Foods,United States of America,1-183-526-1691,2.0,M,14.0,
Ula8025,Chandler,Oharrlbgvigsfozuwxzjbpcrtcplaxsmorrgosuotsitrzftsivlc,579.0,O,205545.0,Onbqauvefoigtlq,4.0,1411687.0,g,,Canada,1-769-218-0825,4.0,S,13.0,2.0
Kgc8026,Columbia,Lvrjmhasupstbncpkgqgpcjstndcxrqyyktdxwlmsuwuflwvsvllyqwyvjhfi,410.0,O,153449.0,nankoeffzqilvhkyxd,0.0,3413890.0,A,W.R. Grace,Canada,1-896-771-1038,3.0,U,19.0,1.0
Wfd8027,Little Rock,Grxofdsrbntglvlsuaslseep,,R,268590.0,Lapsgapriqybymmwzkiyxdv,1.0,3940811.0,,Thor Industries,United States of America,1-011-030-4142,5.0,M,88.0,3.0
Lyh8028,St. Johns,NOAWMSPCNKALFGWUSAEKBAFPWWCKNWTNTIRAADAPXGRBHFVBXBEZSQFHJZMLAFXPQJPMKXB,846.0,R,456221.0,Vfmgtbkxjdrr,0.0,1181657.0,,Enbridge Energy Partners,Canada,1-099-288-5148,4.0,U,44.0,6.0
Aep8029,Cedar Rapids,nqjunrlccyhtmarhiyrilbommyolyetitotpskwwtbknwrnjp,488.0,U,,FEKRVB,5.0,2410721.0,,Key Energy Services,United States of America,1-935-830-3336,5.0,M,3.0,2.0
hdz8030,Salinas,Hyhfyhpbezh,815.0,O,279973.0,llreycsbmfvklhvajnuwfh,2.0,2181486.0,E,Albemarle,United States of America,1-711-331-7079,0.0,M,45.0,
Rmk8032,San Bernardino,ykxxixbfhsmdatzjxizwo,474.0,R,176051.0,TDUQPIRVOKMBYHJWOQBVPIC,1.0,408166.0,o,Cummins,,1-949-869-4694,5.0,S,10.0,5.0
HGJ8033,San Bernardino,NTEBDRDDCHXHAWZSPDAWFNFWU,693.0,O,364876.0,bxrwchpxuxoombjhqjeoj,1.0,1433641.0,A,Arkansas Best,,1-816-228-0366,1.0,S,11.0,3.0
HDJ8034,San Diego,,644.0,O,67488.0,tbskghfwocsfbihecigwavo,5.0,2954062.0,,Mutual Life Insurance,,1-848-925-3291,1.0,U,48.0,10.0
BRQ8035,Escondido,XQXPTHMMQQRV,742.0,O,37020.0,pcaewuhbvitxdwnvoqsrh,0.0,660532.0,,Oil States International,United States of America,1-185-642-9518,1.0,M,35.0,
Nhc8036,Hilo,Spfxdjqmrdntplo,583.0,O,224282.0,dlydjs,1.0,1555614.0,,International Paper,United States of America,1-821-354-7214,2.0,M,30.0,8.0
rgx8037,Pittsburgh,Ybknlslbueknicmhliqbcvnficqocapllezteczreruqidwmhdxbribbjr,545.0,O,164419.0,LBXVWSKMAAKBMCSONNOSMKWSYD,1.0,2563447.0,,BE Aerospace,United States of America,1-423-173-6430,4.0,W,37.0,2.0
CAZ8038,Columbia,,302.0,O,150884.0,NNKVJG,3.0,1223944.0,,IDT,United States of America,1-020-405-1474,3.0,U,74.0,0.0
tcx8039,Pueblo,Wzuxagdhklldayuevhsiufmsbbetdxonrepoxjtnueasqdwcsowdjwwnfluxtfje,646.0,R,26168.0,Badtgesdjwacmicaafq,1.0,1353587.0,I,Schering-Plough,United States of America,1-701-846-5029,4.0,S,89.0,
Uzq8040,Great Falls,Jzdnipcjudrmdzjtroieqqmzuxqsbhjndlqfybumsdvymllbotcujygqhlclwvhk,514.0,R,14182.0,Htakxkmqorjritvnwq,3.0,2571277.0,,Chemtura,United States of America,1-380-069-8864,4.0,U,70.0,10.0
Qpo8041,North Las Vegas,Pewndwkkcoqmkmghqzcbjvizbhc,387.0,,311513.0,EKOJWDITBPSTELTDPXITKFKE,0.0,928430.0,S,ArvinMeritor,Canada,1-133-263-9768,,M,32.0,8.0
ZOT8042,Fargo,Jsevemcfwxbdplvevzanwoshitmqifjc,564.0,O,382145.0,CJTVFJTXYQHCDHSIUXHMMCBXSTC,1.0,1674038.0,,Laboratory Corp. of America,United States of America,1-829-248-5554,5.0,M,67.0,2.0
Zat8043,Hollywood,yablvqlfzmpznumiuwhsentg,697.0,U,145398.0,KORQISQXHSDABHOEWAKCPNX,1.0,1515033.0,,Hershey,United States of America,1-042-788-7719,5.0,D,10.0,6.0
Owo8044,Louisville,Ckxcblwa,398.0,O,760.0,Clghol,2.0,3710958.0,U,O'Reilly Automotive,United States of America,1-925-737-7759,2.0,D,18.0,10.0
Xmn8045,Irving,Surelhbhjovkaojxnudrvvgmsgcgbhldxaqzggkntssqevvddryunnizquklcgzatdmg,812.0,U,234083.0,ljdmdggdxoemoncutyghfkh,1.0,640918.0,,Nasdaq OMX Group,United States of America,1-751-937-4871,2.0,U,58.0,5.0
Czn8046,Hayward,,442.0,,368734.0,vypqjwlfhjisaxj,2.0,2856426.0,q,UAL,United States of America,1-811-592-5327,1.0,U,2.0,2.0
Vri8047,Detroit,xcusmlidazipwwhxohsoerrpyjsqtieatlaabqavo,610.0,R,153370.0,Sfurayjxedmskthi,5.0,27261.0,s,Lam Research,United States of America,1-801-759-2877,0.0,S,80.0,2.0
Leo8048,Garland,Ighbinplegmxrbygpqdbibufqtheodnelgwuvglmoezqrbpajpgbdgbfgznitdasttjmhho,542.0,O,421899.0,jwagfxizpzbkf,0.0,2034896.0,,Eagle Rock Energy Partners,United States of America,1-852-644-7809,5.0,M,61.0,2.0
qip8049,Minneapolis,ktqkvfiofqocgayuwahvfbqioqsixqfdsqdqhvqibpplnkshwhehhswxgopsiuvlffagjqepfwauhmh,621.0,R,497123.0,Sjaigbathvqsercvbndaarfc,0.0,1101937.0,,United Technologies,United States of America,1-280-689-5854,3.0,M,12.0,7.0
Ffr8050,Elizabeth,XOAURGGHMRLVNRA,498.0,O,282798.0,Bselahtaae,0.0,2539495.0,,GMAC,United States of America,1-808-896-3924,4.0,M,85.0,3.0
Ymw8051,St. Johns,ASIDJSPBNVMSTEHXGNFWKZJLKSYMDCBXMFRGJWBOJ,334.0,O,457615.0,Qqixbqmrvroamjteoqxtnaps,,3725194.0,,Textron,United States of America,1-681-432-5475,5.0,M,99.0,9.0
Fhr8052,Stockton,,681.0,R,153419.0,Xgeoqwrdztcpvg,1.0,343347.0,,Pantry,United States of America,1-623-511-8227,2.0,M,17.0,3.0
Ooh8053,Knoxville,jtobiharglsochderaexmoriqwnnws,821.0,O,,Zmmmzxjqgdimxxugkimdhj,0.0,2146476.0,S,IAC/InterActiveCorp,United States of America,1-762-498-5143,0.0,M,96.0,4.0
Jek8054,Los Angeles,ztlcfkcrsjedfnicpxryqoagbvwsgadwoolqgwbfuldmoknnft,512.0,O,204349.0,Mtassf,5.0,73734.0,y,BearingPoint,,1-220-496-6695,2.0,M,32.0,8.0
mbc8055,Phoenix,jbogudiieqbfsiedznfrgtdzmybjjqdqncajisicodwwauejxztuzmtws,717.0,O,466988.0,AMQLOPEEOUJJGTBCU,4.0,1380687.0,,Tech Data,Canada,1-674-945-7585,4.0,U,52.0,8.0
Aqs8056,Bellevue,Kgcgvbxp,553.0,O,340591.0,Vdbfbgqtj,5.0,3262152.0,Z,Asbury Automotive Group,,1-791-921-3989,1.0,W,64.0,3.0
Shy8057,London,QHEJKMRZIOJQCVORBHZWFDBMCXVNFKAFCUXFRVQUTEODKNDLVIMSJDTKHZDNML,545.0,O,76426.0,Nhmjdlcwicszgjqirgtrtvnx,3.0,2732465.0,I,PPG Industries,United States of America,1-963-009-3594,5.0,M,89.0,9.0
Pzc8058,Rockford,Uoffuhojoaavovwcvhskbmlquraxrgkcwebhouojw,819.0,O,363857.0,Amfgkikmxteouupqb,5.0,,,Administaff,United States of America,1-602-991-0719,4.0,M,38.0,9.0
Xim8059,Fairbanks,MDYJOWBDUVWUBCGWCSGZKJBSWKCKMLPLFHMGFQNJTR,555.0,O,294054.0,VNPWMEOGEQZHPPJNB,2.0,657603.0,,Kla-Tencor,United States of America,1-546-507-2743,3.0,S,8.0,6.0
Otu8060,Fullerton,QEELGQPLRWDRXAXWOGJDECMCQGNXYATUQSEKJYXLTOUHXORHSKULCAPKZODZ,343.0,R,124933.0,Qtbwudexxegjmaejmdztvrqy,,463379.0,,Penn National Gaming,United States of America,1-647-433-7355,4.0,,23.0,1.0
Xql8061,Arlington,Eqwdxnwxrpxddlyjnwxxvvsxukijgci,669.0,O,139343.0,Upwxohxfyirmhzxousuapjzyqedklu,5.0,1498562.0,o,Chesapeake Energy,United States of America,1-995-786-4727,4.0,S,55.0,1.0
HKX8062,Denver,Sbsdhnwfxhtumxmlilkysfudurmftinfbvd,814.0,O,387803.0,SNRCPSWUCIPUGXBDZDIHSZRC,4.0,2961070.0,,,United States of America,1-223-972-6600,2.0,M,23.0,
Rif8063,Overland Park,Otgzxduuqrtfobnnqlhkaqenzmspeo,689.0,O,283924.0,Jprfz,0.0,1378874.0,,Alexander & Baldwin,Canada,1-756-187-2805,1.0,U,38.0,7.0
EFY8064,Oklahoma City,Ivgnxhnbwdglkmkbqeslyabbxkidmcyeuibddtejqlyqaphloqmggbnzveqigvyhmyeavyhmqph,790.0,O,120662.0,zchbrlcskqoyncarudviznuugixag,0.0,1564963.0,,AmerisourceBergen,,1-268-756-9467,1.0,U,91.0,5.0
Jkc8065,Overland Park,,423.0,R,7021.0,Lrhwckqkgtyrefuphhdwflocqmud,5.0,1517724.0,R,Pantry,United States of America,1-504-237-4451,4.0,U,34.0,4.0
tke8066,San Diego,,538.0,U,18275.0,Nburpqsowje,5.0,3297172.0,,Buckeye GP Holdings,Canada,1-938-687-0028,5.0,M,90.0,10.0
HQN8067,Chicago,TFUWJWSEDRFNO,309.0,O,338041.0,eeicw,0.0,917182.0,W,Briggs & Stratton,United States of America,1-415-995-7124,1.0,M,33.0,2.0
Nik8068,Indianapolis,Mqadrrurbgcykdjimhzotmcjncnbmflpjhqbgsuobwhovdsykafekkxkzpc,470.0,O,308124.0,klqeympz,1.0,2498089.0,X,,United States of America,1-732-600-7028,3.0,M,21.0,3.0
Orb8069,El Monte,Bxmgakjfeqfpvuncafyovxbjgqcsll,762.0,R,154807.0,utxxcgfqbgpxzk,3.0,2566713.0,,Cimarex Energy,,1-628-134-8281,5.0,D,78.0,10.0
PPK8070,San Antonio,kxjszcgchfgdfyahssmzxtrhjvcutqtcsovsglltoklrbypjlzdjpldbvfjgs,330.0,R,393376.0,gfmatmxzvtj,1.0,3661813.0,K,Republic Services,United States of America,1-279-541-1931,5.0,M,45.0,9.0
Kyl8071,Cedar Rapids,Imdieymqedhihzygttorittfsbmfmgemj,569.0,O,360634.0,ientkglurjvtvnfxy,4.0,576097.0,,Omnicare,United States of America,1-345-928-4728,0.0,W,11.0,7.0
tnz8072,Beaumont,DWUPIBLRMMISXSG,794.0,O,431106.0,Evsonsebsxxhvdfmnxubvhtxu,1.0,1537561.0,,Fortune Brands,Canada,1-167-029-6203,0.0,D,63.0,3.0
ANY8073,Kansas City,rjqbswbusgalhjgabkcsuxdzfqtsssxdjbuhxiomwjkvxeqaseqnnufwdiwe,666.0,O,284259.0,Cklpctcmnftkwjluh,3.0,2875194.0,y,Donaldson,Canada,1-591-579-8474,2.0,W,68.0,6.0
Npb8074,Oakland,Tbkjwtgzvfqxplfcdc,366.0,U,453974.0,Lwzww,1.0,3846756.0,b,FPL Group,United States of America,1-061-431-9407,2.0,U,0.0,9.0
Hhg8075,Santa Clarita,xxecwtqzzteixniulzwplbbpiovfqvmwhgxswtjfxeeclcunigezmhpghpwkraoudkr,668.0,O,229733.0,Bjejsrhnhvqehzxzaijyhifbu,2.0,1535308.0,,Berry Plastics,,1-739-740-6139,4.0,S,74.0,3.0
LEY8076,Pembroke Pines,Ronzbsceuhpzmcahqlbayvjvxjroeostdxxiumnabfgziqbolntsv,415.0,O,130928.0,HHKZFKSILER,4.0,2520114.0,,Sealed Air,United States of America,1-981-776-0112,2.0,M,13.0,7.0
exj8077,Omaha,GNQAOWGITIFQRHKMURSLWMNMORYFQORXSGLYWEZMNPQWIDIDSNZBBMMTUSDBM,544.0,O,284486.0,Kfavlpnzwfv,5.0,1263068.0,O,Republic Services,Canada,1-483-110-5570,2.0,,62.0,0.0
Wqo8078,San Antonio,Llfsnahwswzoti,514.0,U,398521.0,qglyylesvqd,2.0,576860.0,,National Fuel Gas,Canada,1-214-850-8638,3.0,M,6.0,4.0
wcx8079,Elizabeth,knxktoxhhisvdwagdy,617.0,O,344423.0,Lhwzpllsu,3.0,,M,United Rentals,United States of America,1-171-206-0394,5.0,D,38.0,10.0
