gncd,ddrssln1,nmbrcrs,wnrrntflg,gndr,lstnm,ncm,nmbrchldrn,mrtlstts,g,crdtrtng,mplr,nmbrcrdtcrds,ntwrth
Aza2185,16764 mcafee park,0.0,O,,Azad,294993.0,2.0,M,35.0,529.0,Liberty Mutual Insurance Group,0.0,3600531.0
mer2186,20487 vickery lower,1.0,O,f,merrils,252462.0,2.0,U,12.0,617.0,Solutia,4.0,95158.0
RAL2187,11344 cole east,0.0,O,m,RALPH,18471.0,0.0,S,39.0,543.0,BE Aerospace,4.0,725079.0
Ott2188,16983 flagler drive,3.0,O,,Ottosson,21390.0,2.0,S,1.0,531.0,Ecolab,10.0,3698763.0
Rod2189,1625 fernando court,0.0,O,m,Rodenfels,209725.0,5.0,M,50.0,829.0,,1.0,1646529.0
Moh2190,13276 westella upper,0.0,O,,Moharram,325520.0,4.0,D,98.0,550.0,Shaw Group,3.0,2962329.0
Bor2191,11358 elle lee street,1.0,R,,Bortolussi,30311.0,3.0,S,36.0,459.0,D.R. Horton,2.0,2318873.0
lud2192,15633 landmark park,4.0,U,F,ludwig,253568.0,3.0,W,79.0,351.0,Popular,0.0,641809.0
coa2193,7757 CLIFFBROOK EAST,2.0,O,,coallier,352434.0,1.0,M,42.0,359.0,CVR Energy,,1063042.0
Al 2194,7079 collinwood west,3.0,O,,Al bud,492432.0,1.0,D,23.0,602.0,Coca-Cola,8.0,1235598.0
pea2195,5462 knowles court,4.0,O,,peacemaker,419550.0,0.0,M,,767.0,Liberty Media,1.0,824700.0
val2196,22507 gaines south,1.0,O,,valliere,174911.0,0.0,S,85.0,514.0,ABM Industries,,1813464.0
Loy2197,24160 STAR DRIVE,3.0,R,m,Loyst,31745.0,5.0,M,65.0,663.0,Peabody Energy,4.0,419792.0
Suw2198,16845 boll upper,3.0,O,m,Suwanawongse,137037.0,1.0,M,16.0,560.0,Terra Industries,,545067.0
KLA2199,1715 texas west,5.0,O,F,KLAVKALNS,58259.0,2.0,W,60.0,471.0,Teledyne Technologies,2.0,815661.0
WEE2200,24301 fulton north,4.0,O,,WEEDMARK,435413.0,4.0,W,83.0,406.0,Bon-Ton Stores,5.0,2643505.0
Tra2201,7255 berry way,1.0,O,,Trachsel,322953.0,5.0,S,84.0,774.0,CACI International,9.0,1243192.0
pit2202,18715 myrtle way,3.0,O,F,pitt,361990.0,,U,37.0,319.0,Travelers Cos.,2.0,1610451.0
STA2203,20039 crestline court,,O,,STATILE,195192.0,0.0,M,64.0,623.0,Celanese,0.0,184546.0
blo2204,20108 electra court,4.0,O,,bloodworth,90147.0,0.0,U,66.0,309.0,Supervalu,8.0,
Bow2205,24050 ESSINGTON EAST,1.0,O,,Bowling,139623.0,0.0,S,83.0,749.0,NV Energy,10.0,3388619.0
Cou2206,8317 holly rue,,O,m,Couron,396615.0,1.0,M,11.0,678.0,Celgene,1.0,3228183.0
noo2207,9167 zimmerman road,2.0,O,,noorbhai,,5.0,D,83.0,415.0,Enersys,5.0,2650029.0
Bra2208,19358 beach street,5.0,,F,Bragado,391739.0,4.0,W,79.0,842.0,Office Depot,2.0,
Leb2209,16592 creekbend street,4.0,O,,Lebo,390609.0,1.0,U,37.0,554.0,,5.0,2757645.0
bou2210,12777 pembrook lower,3.0,U,F,bourret,325550.0,0.0,M,91.0,659.0,DirecTV Group,4.0,2982964.0
Lua2211,950 WILLS WEST,0.0,O,m,Luan,293691.0,1.0,M,85.0,608.0,Aventine Renewable Energy,3.0,2073728.0
BVW2212,19647 bonnie brae drive,4.0,U,,BVWORKS,61619.0,2.0,U,,454.0,Juniper Networks,10.0,1939876.0
Bob2213,19939 BEARD PARK,3.0,O,,Bobbitt,445303.0,1.0,M,10.0,550.0,Chemtura,2.0,2858774.0
De 2214,23070 waldemar road,0.0,O,,De coursey,293105.0,2.0,M,100.0,516.0,Ross Stores,9.0,2416064.0
Mox2215,23477 vessey way,4.0,O,h,Moxley,226478.0,0.0,U,,345.0,St. Jude Medical,2.0,1190422.0
Han2216,22133 wesleyan way,2.0,O,,Hanham,144259.0,3.0,,1.0,847.0,Host Hotels & Resorts,2.0,828465.0
Zad2217,16701 pearl drive,1.0,U,,Zadow,212364.0,1.0,U,,703.0,Cummins,8.0,3079265.0
SUG2218,8157 puckett court,1.0,O,,SUGARMAN,50136.0,2.0,S,29.0,443.0,Noble Energy,8.0,3832103.0
Cos2219,6341 charlotte court,2.0,O,m,Costantino,274124.0,1.0,U,22.0,,Macy's,0.0,2668580.0
LIN2220,13342 cecil way,2.0,O,F,LINDSTROM,147109.0,0.0,D,42.0,301.0,McClatchy,6.0,1482017.0
ols2221,4482 EDEN AVENUE,2.0,O,F,olsen,66281.0,2.0,M,20.0,496.0,,7.0,2850059.0
Fer2222,1297 GRAY FALLS CRESCENT,1.0,O,M,Fernando,211254.0,4.0,S,99.0,414.0,Markel,2.0,2638386.0
BRO2223,18716 GREENE DRIVE,0.0,R,F,BRODY,106807.0,3.0,S,38.0,468.0,Discover Financial Services,0.0,2747300.0
Tar2224,7609 josey street,1.0,O,,Tarsky,15654.0,4.0,M,48.0,542.0,Piedmont Natural Gas,4.0,557889.0
Buf2225,8813 olympia north,3.0,O,,Buffam,398145.0,0.0,S,53.0,672.0,Wyeth,2.0,3329855.0
Cur2226,4382 WISTERIA AVENUE,0.0,R,,Currer,356110.0,5.0,S,99.0,328.0,Duke Energy,0.0,1393026.0
Ver2227,3695 SILVER SAGE DRIVE,2.0,,m,Verhotz,54815.0,1.0,M,26.0,445.0,Penske Automotive Group,8.0,408633.0
Sch2228,8830 saratoga east,0.0,O,f,Schutz,339019.0,5.0,W,24.0,327.0,Interstate Bakeries,7.0,1984436.0
Cre2229,10331 round lake upper,5.0,O,,Crepeau,93925.0,4.0,M,62.0,489.0,Ryland Group,5.0,1404547.0
LAS2230,2023 REYNOLDS STREET,0.0,O,,LASSIG,230037.0,5.0,D,46.0,413.0,Universal,6.0,1761507.0
BOG2231,5740 PINTO CRESCENT,5.0,O,m,BOGUMILL,461496.0,4.0,,10.0,704.0,Neiman Marcus,8.0,2227297.0
PRO2232,18675 calhoun lane,2.0,O,M,PRODUCTION,273162.0,0.0,W,65.0,375.0,Tech Data,10.0,967270.0
Nao2233,24399 rollingwood crescent,,R,,Naolu,172115.0,2.0,U,98.0,681.0,CHS,9.0,747031.0
Gri2234,3909 marcus road,5.0,O,F,Grissom,36882.0,1.0,W,69.0,575.0,Administaff,2.0,3172177.0
Lav2235,10302 BASSWOOD SOUTH,5.0,O,,Laverty,299947.0,2.0,M,3.0,,Energy Transfer Equity,8.0,326172.0
KRE2236,11183 wilshire avenue,5.0,O,,KREIGER,12288.0,1.0,M,0.0,359.0,Zimmer Holdings,4.0,1134832.0
Td2237,10534 milam north,0.0,O,f,Td,280713.0,1.0,M,17.0,655.0,Procter & Gamble,3.0,2940157.0
VRE2238,6590 yohan upper,5.0,O,,VREUGDENHIL,201411.0,2.0,S,44.0,576.0,Tupperware Brands,1.0,2623046.0
pbx2239,16096 burnham park,2.0,U,,pbx,,3.0,W,60.0,493.0,Pitney Bowes,8.0,1128811.0
Lac2240,17362 coffey upper,4.0,O,M,Lacasse,130185.0,4.0,U,90.0,715.0,International Paper,9.0,1236194.0
Mei2241,20827 clint way,4.0,O,,Meiser,104271.0,2.0,M,30.0,639.0,Tiffany & Co,2.0,3767930.0
Cum2242,15336 shadowbriar east,4.0,O,m,Cumming,491280.0,2.0,S,79.0,733.0,,7.0,
Bro2243,3234 pasadena boulevard,0.0,O,,Brownlie,182489.0,5.0,W,23.0,385.0,Home Depot,2.0,3041308.0
Bru2244,2201 cone avenue,0.0,R,,Brunsting,,2.0,U,90.0,484.0,Supervalu,8.0,3873645.0
Kik2245,18123 CORMORANT CRESCENT,5.0,,f,Kikuta,301456.0,3.0,S,2.0,831.0,Insight Enterprises,,1653673.0
Dan2246,3234 PASADENA BOULEVARD,2.0,R,,Dantzler,160217.0,1.0,S,58.0,557.0,YRC Worldwide,6.0,2992277.0
Sev2247,19453 WISTERIA EAST,1.0,U,m,Severin,218278.0,5.0,W,69.0,543.0,Southwestern Energy,,3264333.0
Man2248,7766 brown rue,1.0,O,M,Manuszak,51626.0,2.0,M,15.0,307.0,Estee Lauder,5.0,3994013.0
NAU2249,12449 KNIPP COURT,3.0,O,f,NAUJOKS,446209.0,0.0,M,55.0,460.0,Caterpillar,7.0,3575154.0
bor2250,22282 bramblewood park,0.0,U,f,boraie,202504.0,0.0,M,65.0,583.0,Equity Residential,2.0,3930784.0
hug2251,11976 halms upper,2.0,O,,hugo,268782.0,5.0,M,4.0,751.0,Brink's,6.0,2620437.0
Syd2252,12773 linden west,0.0,O,F,Sydoryk,293569.0,0.0,M,37.0,,Allegheny Technologies,3.0,574754.0
EAR2253,15613 PAINE LOWER,1.0,O,f,EARNHARDT,109482.0,3.0,S,96.0,719.0,Apollo Group,6.0,398547.0
sha2254,20394 macon avenue,5.0,O,,shackelford,36620.0,2.0,D,70.0,318.0,Newell Rubbermaid,6.0,
DYB2255,19551 alexander way,0.0,R,,DYBA,354302.0,0.0,M,26.0,841.0,McGraw-Hill,6.0,2630153.0
Whi2256,12957 midway park,4.0,,M,Whitt,373145.0,2.0,M,48.0,,eBay,5.0,707793.0
CAM2257,11376 KNIGHT COURT,3.0,R,,CAMPEAU,405984.0,1.0,U,42.0,835.0,Protective Life,2.0,1417934.0
Gav2258,13327 darlington drive,5.0,O,f,Gavin,55640.0,1.0,S,4.0,429.0,Bristol-Myers Squibb,7.0,1289312.0
KUR2259,24717 midland lane,1.0,R,,KURACINA,28337.0,4.0,W,80.0,540.0,Hewlett-Packard,7.0,2108279.0
MUL2260,4966 westpark south,2.0,O,,MULVIE,121726.0,3.0,M,28.0,586.0,Staples,7.0,3266194.0
Law2261,23686 king lane,4.0,,f,Laws,481904.0,2.0,M,39.0,467.0,Modine Manufacturing,1.0,652363.0
HEA2262,5462 knowles court,0.0,O,,HEARNDEN,13808.0,2.0,M,21.0,819.0,Jacobs Engineering Group,9.0,1883004.0
Hum2263,10534 milam north,4.0,O,,Humphrey,80614.0,5.0,,84.0,599.0,Nucor,3.0,3893078.0
Hel2264,7820 harrington park,5.0,O,,Helstab,214149.0,5.0,U,25.0,412.0,Belk,9.0,1390265.0
OPE2265,3450 dunbar avenue,2.0,O,f,OPERATIONS,381996.0,1.0,M,72.0,548.0,Vulcan Materials,6.0,
Ess2266,17976 jack avenue,0.0,O,M,Esson,447390.0,,U,53.0,692.0,Amerco,9.0,2038893.0
Mun2267,14506 abbott west,4.0,O,,Mundi,229848.0,3.0,U,11.0,768.0,Praxair,3.0,
Str2268,10484 HARLEY DRIVE,3.0,O,,Struble,264281.0,5.0,W,21.0,448.0,Gardner Denver,3.0,3305120.0
POR2269,2132 meadow lake upper,4.0,,M,PORTERFIELD,248054.0,3.0,U,66.0,796.0,Dick's Sporting Goods,,3279204.0
dev2270,19015 chennault lane,5.0,O,,devault,94612.0,2.0,U,72.0,830.0,Mosaic,1.0,51515.0
Dik2271,20387 fox grove park,0.0,O,,Dikens,391600.0,2.0,U,67.0,794.0,Southern,4.0,3395383.0
PIZ2272,14830 EDGEWOOD ROAD,5.0,O,,PIZZARELLO,73933.0,2.0,M,12.0,416.0,Genzyme,8.0,2810972.0
Mar2273,12064 alonzo street,5.0,O,,Margetson,41919.0,5.0,S,38.0,372.0,Tyson Foods,10.0,2340572.0
FOG2274,23274 beatty park,2.0,O,f,FOGELSON,447666.0,4.0,M,56.0,667.0,CenterPoint Energy,1.0,1470592.0
luc2275,6976 parkinson court,3.0,O,M,lucas,,0.0,M,6.0,,CC Media Holdings,8.0,202727.0
Rot2276,19611 mesa lane,3.0,R,,Rothey,73642.0,0.0,D,,405.0,Aleris International,4.0,2529122.0
TRE2277,5291 market avenue,4.0,O,f,TREMAINE,204354.0,3.0,S,95.0,541.0,Brown Shoe,5.0,2681930.0
Tra2278,21247 sandpoint boulevard,3.0,R,,Trader,489505.0,1.0,M,38.0,432.0,RadioShack,2.0,3231612.0
Gon2279,15768 crestline east,3.0,O,,Goniotakis,121694.0,5.0,W,87.0,504.0,Genzyme,9.0,3514932.0
TEE2280,15339 mccann road,3.0,O,F,TEERDHALA,194556.0,4.0,M,23.0,,Insight Enterprises,0.0,2224454.0
Nos2281,22506 shelter drive,0.0,O,,Noseworthy,98424.0,4.0,D,51.0,364.0,H&R Block,1.0,
DEE2282,428 emerson west,4.0,R,f,DEE,475499.0,0.0,M,41.0,698.0,General Cable,8.0,3924427.0
Zbu2283,12716 lexington street,3.0,O,,Zbuda,282310.0,4.0,,,756.0,Unified Grocers,8.0,115798.0
O'R2284,13121 wise park,3.0,U,f,O'REGAN,60104.0,1.0,S,,592.0,Cooper-Standard Holdings,10.0,3637801.0
Bre2285,22609 REAGAN DRIVE,,R,,Brewster,316804.0,1.0,M,40.0,458.0,Discovery Communications,6.0,814000.0
Kum2286,17962 COLUMBUS EAST,2.0,O,f,Kumar,269740.0,3.0,M,68.0,441.0,Applied Biosystems,4.0,3294853.0
Moo2287,19068 coventry park,5.0,O,,Moores,119158.0,1.0,M,14.0,759.0,Convergys,0.0,3398170.0
KAT2288,10792 trail lake road,5.0,O,,KATHIE,6965.0,0.0,M,24.0,695.0,Sempra Energy,10.0,2620242.0
Mou2289,4679 furr avenue,2.0,U,,Moulton,,3.0,W,5.0,634.0,Fortune Brands,3.0,2441656.0
ero2290,14569 VOSS NORTH,,R,m,eros,220392.0,,M,80.0,585.0,Cummins,0.0,2878456.0
Hol2291,20166 presido park,,O,F,Holsclaw,471016.0,3.0,W,3.0,767.0,Northern Trust Corp.,7.0,2658916.0
RIT2292,13309 windsor rue,2.0,O,F,RITCHEY,52045.0,2.0,S,35.0,717.0,ConocoPhillips,2.0,
BLA2293,21811 SILVER NORTH,5.0,R,f,BLANCHETTE,355829.0,2.0,M,50.0,706.0,Nash-Finch,0.0,3704935.0
Mcm2294,20900 marchmont west,3.0,O,,Mcmannen,75149.0,2.0,M,27.0,757.0,Pool,7.0,416153.0
lin2295,10386 bellflower upper,0.0,O,,lindsey,474316.0,5.0,M,73.0,690.0,LandAmerica Financial Group,0.0,1723082.0
cho2296,13175 halifax lower,3.0,O,m,choo,112638.0,5.0,M,27.0,356.0,First American Corp.,2.0,429379.0
dzi2297,23956 sheriden way,1.0,,m,dzioba,303430.0,0.0,U,78.0,632.0,Kellogg,,1047754.0
DUP2298,9625 allen boulevard,0.0,R,,DUPLAN,37937.0,1.0,U,84.0,483.0,Magellan Health Services,0.0,
Bar2299,482 lamar lane,5.0,,F,Bartley,284757.0,5.0,S,38.0,722.0,,4.0,3912108.0
Boy2300,20025 routh crescent,5.0,O,F,Boyd,242727.0,4.0,U,74.0,,Clorox,8.0,3998775.0
Che2301,19342 WYCLIFFE PARK,2.0,O,M,Cheesman,134606.0,3.0,M,,319.0,FirstEnergy,6.0,970582.0
ala2302,21448 HAMPTON BOULEVARD,2.0,O,,alavi,292291.0,1.0,,3.0,423.0,McKesson,4.0,
Gat2303,3367 FOUR WINDS STREET,1.0,R,f,Gatka,293566.0,2.0,S,43.0,624.0,Hayes Lemmerz,0.0,2818031.0
Van2304,13725 CENTRAL LANE,1.0,O,M,Vanderpol,443983.0,2.0,S,80.0,688.0,Centex,10.0,834838.0
pel2305,24200 north crescent,2.0,O,,pelz,184998.0,0.0,M,14.0,329.0,Fortune Brands,8.0,1401306.0
Wic2306,9941 briar forest street,4.0,O,F,Wickham,348409.0,4.0,U,51.0,774.0,Wendy's/Arby's Group,4.0,1949038.0
Sta2307,10881 bellaire avenue,0.0,O,F,Stackpole,340287.0,2.0,S,74.0,511.0,Las Vegas Sands,6.0,1178413.0
Mcg2308,21665 gemini east,2.0,O,,Mcgurn,127452.0,2.0,U,,413.0,OM Group,2.0,3048799.0
jan2309,17687 denton lower,2.0,O,,jancewicz,42707.0,5.0,U,16.0,554.0,NCI Building Systems,6.0,3135220.0
Tan2310,8980 orinda east,2.0,O,F,Tanferna,366758.0,0.0,U,100.0,821.0,National Fuel Gas,5.0,1739318.0
O'g2311,14827 PAINE UPPER,,O,,O'grady,75183.0,1.0,U,29.0,512.0,CHS,5.0,2825750.0
DEM2312,16897 TANBARK LOWER,0.0,O,,DEMPS,493454.0,3.0,W,84.0,423.0,United Rentals,6.0,1956967.0
RUD2313,20857 HOWARD PARK,1.0,O,,RUDDELL,216137.0,,S,77.0,549.0,Watson Wyatt Worldwide,10.0,3675083.0
Gab2314,6106 ashland east,4.0,R,F,Gabe,252633.0,4.0,M,12.0,778.0,Baker Hughes,8.0,1966185.0
Hil2315,5993 NOONAN LOWER,0.0,O,,Hildebrand,477451.0,4.0,M,42.0,665.0,BE Aerospace,5.0,3943075.0
bam2316,14930 griffin upper,4.0,U,,bamfo,374480.0,2.0,S,97.0,535.0,Briggs & Stratton,2.0,1635014.0
sch2317,2297 amsterdam court,3.0,R,,scheible,489398.0,3.0,M,42.0,698.0,ConAgra Foods,10.0,3266869.0
Cro2318,8400 polaris west,2.0,O,f,Croom,58340.0,5.0,U,75.0,766.0,Land O'Lakes,0.0,2308190.0
Lom2319,7661 grant way,5.0,O,M,Lommen,151060.0,4.0,M,99.0,770.0,Aramark,9.0,908999.0
Slo2320,21437 whitman south,4.0,R,,Sloan,259012.0,2.0,,33.0,746.0,Laclede Group,8.0,3457876.0
ANN2321,22818 candlelight upper,,O,,ANNUNZIATA,443274.0,0.0,W,31.0,559.0,Northrop Grumman,1.0,1165375.0
tes2322,14770 juniper drive,3.0,O,m,testing,159601.0,4.0,M,46.0,737.0,Rent A Center,7.0,3794304.0
Ric2323,4370 vessey avenue,3.0,R,,Ricketson,152019.0,2.0,M,53.0,301.0,ON Semiconductor,8.0,1610195.0
Gra2324,18464 ashbrook lane,2.0,O,m,Grafton,397390.0,4.0,M,76.0,605.0,Harman International Ind.,5.0,2958408.0
loa2325,22326 colonial lower,4.0,O,,loadsum,487336.0,4.0,U,71.0,,Calpine,1.0,612598.0
GOO2326,2747 conier lane,3.0,U,,GOODIER,363511.0,3.0,M,,504.0,Plexus,7.0,691904.0
Bea2327,232 LYLE PARK,,,,Beavis,39038.0,2.0,,11.0,741.0,Consolidated Edison,9.0,565745.0
Sid2328,3259 beningus west,2.0,O,,Sidorovsky,120729.0,5.0,W,82.0,533.0,US Oncology Holdings,7.0,2782013.0
Mtl2329,12709 wycliffe crescent,4.0,R,,Mtl,7960.0,2.0,M,37.0,490.0,Scotts Miracle-Gro,9.0,377933.0
O'k2330,22019 lyons avenue,4.0,R,U,O'keefe,171442.0,5.0,,7.0,700.0,Dr Pepper Snapple Group,10.0,622766.0
Tse2331,10526 doheny rue,2.0,O,,Tse,221743.0,2.0,D,56.0,661.0,Lockheed Martin,7.0,2574160.0
VER2332,24996 ROBBINS EAST,0.0,O,F,VERHOEVEN,268622.0,,U,58.0,578.0,Silgan Holdings,9.0,2745664.0
Col2333,8220 ledgestone street,,R,,Collier,441542.0,0.0,S,1.0,845.0,Equifax,7.0,1272244.0
YOH2334,14754 woodview east,3.0,O,,YOHE,261285.0,0.0,U,26.0,406.0,Greif,4.0,
Gha2335,855 havenridge avenue,2.0,O,,Ghartey,78272.0,5.0,U,57.0,449.0,Old Republic International,4.0,454794.0
Nat2336,18165 pecos lower,2.0,R,,Nathoo,488193.0,4.0,M,,505.0,Weis Markets,3.0,1972544.0
Dun2337,12873 WILLS EAST,3.0,O,,Dunn,44720.0,2.0,M,71.0,577.0,VF,5.0,3141638.0
het2338,9078 nealy lower,,O,m,hetzel,187267.0,2.0,M,74.0,342.0,United Rentals,8.0,270573.0
MIH2339,8101 clifton drive,5.0,R,F,MIHARA,262800.0,1.0,M,58.0,753.0,Lockheed Martin,3.0,3528893.0
And2340,12194 julian lower,,O,,Ander,332790.0,5.0,,15.0,449.0,General Motors,3.0,2376305.0
Mau2341,6244 HAVENRIDGE BOULEVARD,2.0,O,,Mauck,327836.0,4.0,S,55.0,397.0,Warner Music Group,9.0,2691761.0
Ben2342,20263 APOLLO DRIVE,2.0,R,,Benski,131708.0,1.0,M,94.0,395.0,Atlas America,3.0,3371037.0
HOG2343,24422 bellflower street,,U,f,HOGG,462132.0,2.0,W,4.0,774.0,Lithia Motors,5.0,462163.0
HEI2344,10117 COLLEGE UPPER,5.0,U,,HEISLER,403260.0,1.0,U,55.0,393.0,Noble Energy,6.0,2187582.0
hei2345,16354 sand rue,4.0,O,f,heinjus,233147.0,0.0,W,71.0,301.0,Western & Southern Financial,5.0,577090.0
Red2346,3685 copenhill crescent,0.0,O,M,Redshaw,221488.0,2.0,U,77.0,467.0,Carpenter Technology,2.0,2718934.0
Irc2347,3556 kerry avenue,5.0,O,m,Ircinternal-docs,246262.0,1.0,S,45.0,478.0,First Data,8.0,2350901.0
lon2348,10716 LAVENDER EAST,4.0,O,,lonnman,,2.0,M,100.0,357.0,General Dynamics,8.0,2794359.0
Roh2349,22174 blalock east,4.0,O,m,Rohal,335103.0,5.0,M,26.0,753.0,MPS Group,7.0,2478439.0
Ana2350,22140 CONLEY CRESCENT,3.0,R,,Ananth,2931.0,2.0,U,38.0,456.0,Western Union,2.0,687807.0
Gow2351,14460 TOSCA LANE,3.0,R,,Gowland,374108.0,0.0,D,66.0,601.0,Brown-Forman,10.0,2663439.0
Rod2352,3918 shadowbriar street,0.0,O,,Rodrigues,156049.0,1.0,M,22.0,500.0,SanDisk,6.0,1424315.0
hu2353,22607 atlantic rue,0.0,U,,hu,121334.0,4.0,W,88.0,744.0,Newmont Mining,7.0,577523.0
Cir2354,17727 ashbrook lane,0.0,R,,Cirulli,155327.0,,U,20.0,841.0,Rowan Cos.,3.0,261743.0
moo2355,20091 whistler north,3.0,O,f,moorer,383268.0,4.0,U,90.0,696.0,,6.0,2093607.0
Afk2356,21477 WARREN PARK,,R,,Afkham-ebrahimi,61649.0,2.0,M,85.0,724.0,NetApp,9.0,777552.0
CLA2357,7075 GLEN LOCH DRIVE,3.0,O,M,CLARKE,298064.0,0.0,S,6.0,828.0,Southwestern Energy,,766339.0
MAU2358,2082 gemini court,5.0,U,F,MAUNEY,172965.0,5.0,M,20.0,819.0,Universal American,6.0,259703.0
BAL2359,15655 OAKMONT CRESCENT,4.0,O,,BALKISSOON,,0.0,S,70.0,436.0,Hormel Foods,5.0,1956151.0
MUR2360,15069 dillbeck street,0.0,O,F,MURAWSKI,483310.0,2.0,U,41.0,690.0,Solutia,7.0,1275379.0
Mck2361,24059 meadow haven lower,3.0,O,I,Mckay,497702.0,5.0,U,44.0,575.0,Cypress Semiconductor,10.0,439741.0
BED2362,9270 leaf south,5.0,O,F,BEDI,,2.0,M,94.0,689.0,Burlington Northern Santa Fe,5.0,2039127.0
Weg2363,24573 BEDFORD WAY,3.0,O,M,Weger,300843.0,3.0,,64.0,469.0,Oceaneering International,1.0,515069.0
end2364,24223 HUNT BOULEVARD,3.0,O,f,endsley,419266.0,0.0,W,70.0,642.0,Walgreen,5.0,2214018.0
hei2366,19734 greenspoint boulevard,3.0,O,,heinen,325857.0,4.0,M,46.0,360.0,AMR,8.0,50584.0
Coh2367,16942 SUMMER CREST CRESCENT,0.0,R,M,Cohoe,304835.0,1.0,U,85.0,479.0,Caterpillar,3.0,817367.0
mik2368,428 emerson west,4.0,O,M,mikelonis,155646.0,2.0,W,27.0,457.0,Oil States International,7.0,1590880.0
Lau2369,14709 panther creek avenue,5.0,O,,Laux,317265.0,0.0,U,26.0,635.0,United Services Automobile,10.0,2019232.0
MAR2370,21074 mallory lower,5.0,O,F,MARRETT,456824.0,0.0,D,60.0,800.0,Ecolab,4.0,826989.0
Rob2371,23719 MCAFEE UPPER,,R,,Robustness,206795.0,2.0,U,,306.0,USG,9.0,2453454.0
ell2372,8601 kempner lane,2.0,O,,elliott,300837.0,2.0,M,3.0,780.0,Regal Entertainment Group,6.0,
Bil2373,23923 POTOMAC ROAD,4.0,U,f,Billingham,65955.0,2.0,S,93.0,328.0,Pilgrim's Pride,6.0,3871733.0
SHE2374,493 day lane,0.0,R,m,SHERARD,321730.0,3.0,S,87.0,324.0,Coca-Cola,,3255930.0
Bur2375,11744 WHISTLER UPPER,3.0,O,F,Burkett,208518.0,2.0,M,25.0,773.0,United Stationers,6.0,
OFF2376,20903 HANCOCK CRESCENT,5.0,O,F,OFFERS,297838.0,2.0,M,,832.0,Cabela's,2.0,1779671.0
Mcd2377,1633 ALTAMESA COURT,4.0,O,M,Mcdougald,389438.0,5.0,W,48.0,777.0,Flowserve,0.0,976785.0
SAL2378,3571 porter lane,5.0,O,F,SALKILLD,91681.0,2.0,W,43.0,449.0,Colgate-Palmolive,,1171861.0
kor2379,13005 BRAMBLEWOOD SOUTH,5.0,O,F,korpela,341542.0,3.0,U,84.0,552.0,Vectren,6.0,2340594.0
Bij2380,12586 post oak west,1.0,O,F,Bijman,114373.0,5.0,S,26.0,687.0,Energizer Holdings,,3018200.0
wae2381,18688 BEATTY BOULEVARD,4.0,O,f,waespe,458117.0,2.0,M,98.0,377.0,Bio-Rad Laboratories,9.0,1733755.0
Chu2382,5653 worth drive,5.0,O,,Chuah,117699.0,5.0,M,56.0,426.0,SLM,0.0,2999873.0
HUE2383,8626 midway road,4.0,O,,HUENEMANN,475792.0,1.0,M,96.0,372.0,NBTY,4.0,2266021.0
Mon2384,9521 bailey east,5.0,O,,Monaco,363406.0,1.0,M,4.0,583.0,Catalyst Health Solutions,2.0,495921.0
Wan2385,8914 ROSEDALE COURT,,O,m,Wanner,286062.0,4.0,M,38.0,663.0,Oshkosh,10.0,1390408.0
EFL2386,5398 COLLIER CRESCENT,0.0,O,Z,EFLAND,378333.0,1.0,U,4.0,584.0,Morgan Stanley,4.0,1094684.0
Mok2387,22376 burton upper,1.0,O,,Mokbel,210066.0,5.0,M,0.0,567.0,Ingles Markets,2.0,1177509.0
JOS2388,11173 VANCE JACKSON NORTH,1.0,O,,JOSON,264065.0,3.0,M,46.0,640.0,Graham Packaging,9.0,307391.0
Run2389,20143 8th crescent,1.0,O,F,Runciman,77859.0,5.0,S,60.0,,Express Scripts,4.0,1654065.0
sha2390,14518 westheimer avenue,5.0,O,f,shames,344724.0,0.0,D,96.0,543.0,Verso Paper,6.0,476567.0
HAV2391,8251 SARATOGA UPPER,2.0,R,,HAVERKAMP,68202.0,0.0,S,92.0,772.0,Robert Half International,0.0,2923115.0
mcd2392,5007 SANDPOINT STREET,,O,F,mcdevitt,19561.0,1.0,U,73.0,406.0,Merck,0.0,3191341.0
Kee2393,24444 strass upper,5.0,U,m,Keer,290416.0,5.0,M,88.0,466.0,Kraft Foods,6.0,1825169.0
bud2394,12481 HAYDEN LOWER,1.0,O,,budihardjo,103318.0,,W,98.0,,Wynn Resorts,5.0,453059.0
NAD2395,11618 jack north,4.0,R,f,NADOLNY,223121.0,3.0,S,24.0,430.0,Williams,8.0,789229.0
ska2396,6047 knipp boulevard,1.0,O,M,skanes,163966.0,4.0,S,97.0,637.0,Family Dollar Stores,5.0,818733.0
Bro2397,15972 valita upper,1.0,O,,Broadfoot,405249.0,1.0,M,50.0,723.0,Texas Instruments,10.0,1146215.0
fal2398,17043 montview west,2.0,O,m,faley,289248.0,2.0,S,56.0,431.0,Hershey,2.0,765929.0
Bra2399,17521 reilly street,2.0,R,m,Bradlow,150068.0,2.0,M,78.0,380.0,Alliant Techsystems,,2493355.0
Cha2400,12906 stanford road,1.0,R,,Channell,121986.0,0.0,S,44.0,361.0,Susser Holdings,5.0,1259266.0
Ram2401,13859 chelsea drive,0.0,O,m,Raman,118455.0,0.0,M,10.0,495.0,Graybar Electric,3.0,3439765.0
BER2402,2240 clifton lower,5.0,O,M,BERGLAND,142989.0,4.0,M,78.0,712.0,United Stationers,10.0,3477009.0
