Ag,LaNa,Sta,Pho,MidInit,AdLi2,Inc,NumCa,C,AdL1,Coun,PoC,NumCrCar,FirNa,MariSt,Em,Gen,NeWor,OOReF,NuChi,CreRa,AgeID
17.0,Vjcmft,MI,1-129-134-1820,b,FUZFWMCELFGABA,,5.0,Santa Rosa,BSZDTYUSUJY,United States of America,Prmgksic,9.0,NUYFMRJTUMUJAHWUKOFURKWPPCJXS,M,Dr Pepper Snapple Group,,3583968.0,U,3.0,335.0,Vjc7851
41.0,Woviwj,ID,1-613-597-5717,,Utnbqklhhwgmvzpnuqdmsacooquhu,431628.0,0.0,Brownsville,demslsvriohohkhqijtkxcmeqhnfwwyffflkzgufmebrglttjpieckrpkjqrpi,Canada,VQTHN,1.0,Tjyltdejmep,D,Valspar,,2685074.0,R,,504.0,Wov7852
31.0,Mjllgabisvehvfbodxhjngaoj,OR,1-207-263-3980,T,GSRFWNTMZIDJMRUFRXOLOPNHUWSOQVUHKD,,1.0,Durham,guynwrbdzrfnvrsaqfqapcxcsl,United States of America,Acbjiwqbwpfg,8.0,qvihipsexxf,S,Fifth Third Bancorp,F,406002.0,O,0.0,507.0,Mjl7853
81.0,Xqnivjlspbwatltsax,OR,1-833-808-2289,,Byjwelwrwyqydgpqrrsltaeumhloflbsxlujgnoyqja,,1.0,Grand Rapids,Jhzjlsdhqmcntoiykowqqkvzsfvhgbpcbhhfftexmdinfftsovbwmeugimpteookdltvqwt,United States of America,jtwgatfrvo,,Kswapmyzwbpyzo,D,Winn-Dixie Stores,,3551514.0,O,1.0,739.0,Xqn7854
72.0,Lspeijgrqefxylhwxrrwbpgpj,NJ,1-383-304-3979,O,qgnowrynksacdmaajzsfrskwxkdinanxeboleqbumr,,4.0,Idaho Falls,QIXDBRFXUKMQY,United States of America,wxunpqzjgb,2.0,Wlqztpolurziuqvntcj,M,Henry Schein,m,3048132.0,O,3.0,775.0,Lsp7855
29.0,sjwwhrumivlblatxnofom,AZ,1-982-376-7085,,Ogljuoxhfmocqndol,242718.0,1.0,Norfolk,GCCIHBEBAUAXQKDKMTTJQICOXAGGOOTXOMNFCZUKKHWRWXQLXQNOYCQFERWNCHXQTFBJI,United States of America,Aqhiv,8.0,XGGHMUEFKMDVKKZIGPQC,S,Sanmina-SCI,M,1444829.0,O,3.0,486.0,sjw7856
31.0,oaenpkntrrmigpdrjcdovvjbbpo,Manitoba,1-817-038-9599,,Cjihkpzffoebvjpxfxkiefccthbtbylarlqfdzbfkisjfq,89847.0,0.0,Lexington,fohmaqriumgkicnmpjrlylodgrgbavlthzh,,IMWZJP,6.0,wsrlemaurpo,M,Pentair,,577156.0,O,1.0,665.0,oae7857
57.0,Slmrylnfvrgx,NY,1-532-467-7887,,GWDBMQATEBPMRRRFYGGLMDBWYFRCAYWDFNZUZHBXSSTTULMAESKCNLDOBLKNLUDGFABOK,200377.0,3.0,Warwick,Gcgandfueazxkhsjtljzrcqvggnluahlzvpkrtjs,United States of America,Jysfr,7.0,Rqxdxjkkmiijjnovvzxoc,M,Northwestern Mutual,M,1633874.0,R,0.0,743.0,Slm7858
67.0,Peazbaargwh,TX,1-954-558-4116,,Ibzgfllcpexycqsvegklsdrp,247008.0,2.0,Lansing,NQVOORLTYLVDKHXRTYNBWMGJIBLBPPYYUBXSCMBMCAATTALRFHGIWBXD,United States of America,lbepjm,1.0,Awvrmvo,U,AmerisourceBergen,,616351.0,,3.0,,Pea7859
95.0,Knuojanqrowebnqnuskrnc,AZ,1-050-997-0064,V,xregdppgewwchczl,258784.0,0.0,Albuquerque,XPOUXGGNQTZWHXMANBVDFBGWJBYMQHILBJAAPCIZA,United States of America,phowwpiof,5.0,Xcwwrmshlbd,U,Virgin Media,,1768202.0,O,0.0,433.0,Knu7860
22.0,Qtgbfknkrgutdklkje,MO,1-491-566-7949,,albeixrkutlxza,86676.0,5.0,Orlando,IYSTOKMPYWRCNBAYFPQUV,Canada,hcqdourgtjc,3.0,wksjhaqgkaqflvgkvggeues,W,Waste Management,f,1298890.0,,1.0,611.0,Qtg7861
28.0,Dcqsambknfmffglba,RI,1-938-251-5007,v,Baveijkgpqlddhgqqluednslsplfpaagordlkgvprzqurgjnmmxwvklhxhshazimcysrnabhzacqnrcc,158860.0,3.0,Lincoln,MMFHFLQWWJHEWDIGNGBMXEYBVEISRKRWHJESSSVGQOTUEYETFSMMFODMOGZANVZSKEQUEDGXNJNCRV,United States of America,,8.0,uvxkhvrlkdfkqhux,M,Pepsi Bottling,,1491737.0,O,5.0,813.0,Dcq7862
62.0,Bieggajsnf,MI,1-197-300-6114,,Sshyepwbusychcmciojhequczx,440716.0,5.0,St. Petersburg,Teaqtsj,United States of America,UCESV,9.0,yruaeieaghzeokcvbwfagjc,M,,,2985049.0,O,1.0,441.0,Bie7863
40.0,Ciiqwremllurqulbghbqhryitw,OR,1-992-031-4213,,Oxqmkaulzbaclowvlmdjkjdykkajsdxespryjgjbubinqnlivwlqlzouhsojkxaropmykmatsgsmcpq,233026.0,3.0,Newport News,Hcvalcnfszz,United States of America,Xjabv,5.0,Djpcpxhzcdsojwmszp,S,Windstream,M,2705761.0,O,2.0,443.0,Cii7864
,Lpvnfitpcglsamfavfxiqfe,WI,1-712-665-4502,,Dbytbl,158271.0,,Overland Park,MNAPGSQLMQDXFRHJZPVJGUFMOUWRIXXA,United States of America,kinkcnvtbrff,1.0,ENQKWKJK,U,Praxair,F,1281210.0,R,3.0,374.0,Lpv7865
12.0,QCTNQYDRLOBLQJHOXVLU,MS,1-683-204-0166,i,Namgeausgrzpfyjtvkuidkecqyewxrfllopjgdyj,,4.0,Wichita,hsbowomruvqkuijkxxcvrmuooafkxljixzano,United States of America,eueovjkrfawr,7.0,Zdytkjdvwavdvu,U,Smith International,,483590.0,O,1.0,309.0,QCT7866
52.0,yvfnxvjisgxvo,PA,1-935-790-1838,,Febduntegkdzuaboksunetakichtiuhakpwbmtwxaltpspyrstymdwyczwijeuuebmwrhhjelsuxpw,131086.0,3.0,Missoula,,Canada,TPIVTV,9.0,oihyndcwkdsoscucifszdojds,,Flowserve,,2262741.0,O,3.0,315.0,yvf7867
67.0,RKSUDFSNATRLEQ,ID,1-364-543-4378,T,Qtfgejjwhqtadopvhzipuswvnjdixjigicauhmkgfsxsxyyalghlualonsjvqldzaqdxu,65639.0,4.0,Kitchener,JOGEFIFDYFWBCBFKVDIDNVKKIXBLHPMQNVRQIKLSLXFIQBLZHBBGMHKTAEEHSDEDFSF,United States of America,QNJXEEYW,9.0,OWNYCALKNQLMJDB,,Tyson Foods,F,1063286.0,R,2.0,555.0,RKS7868
51.0,Ksbvyunhjuthnfwkeahibljs,NC,1-115-023-7573,P,Brgxczciebmsdzxjgwfhihwdiztdqklhbqerhzaeqsngrzvtvpwqbsajwaln,140132.0,0.0,Toledo,oejarvzjntflhfligibuojcujtddnleiitlxibwirhrnptmvauvbvmfstjbemfadar,United States of America,vxtaprxkbqi,5.0,Mlvtbncshbg,M,W.R. Grace,,3558240.0,O,1.0,850.0,Ksb7869
41.0,LMYRFQGNFXTXYMMDKYDIOVNBXK,WV,1-266-642-9644,N,Lpwhgjofdpisezrtrcyeifdwpnfrquzjesmhgpoykyudxwdlatuxbgyohtlge,102589.0,2.0,Cleveland,PAWLRLBNUNRKRTDKKJTTXIZNQSENEZBPPOCKHBENWVDPBVYPGINL,United States of America,Tsqeo,6.0,atucbgjj,M,McGraw-Hill,F,,R,3.0,411.0,LMY7870
,lkpjzzstourluwelyiaqteewxgjx,VA,1-257-904-6002,X,seiemidbutvmagdmhpwicbbmuonsamrgpryqhphmarhehccrntscvcrsekmspx,128650.0,5.0,Hull,Rtikunxvjtusiscesyxlkgdqnbpiheyuvymma,United States of America,KIOTUSLSIWRC,4.0,Roqotu,M,Vectren,,940857.0,,4.0,428.0,lkp7871
79.0,Aeohlbsbgqnnyin,TN,1-498-061-0053,,Txndjpazugrittxrwkyad,356899.0,2.0,Oxnard,usmbfnfifhroqwxtefxgsncysudwqaotwvlrneegpbgidwbfxfnuwgvxjuicojnqlpldbpvfqato,Canada,RZLRQHVGYZ,3.0,OEWWGFFUANLC,M,R.H. Donnelley,,3849116.0,O,4.0,585.0,Aeo7872
41.0,hpqfogl,ME,1-280-297-7178,J,Vbhcmemmaxgolnnkvdblmslqwprgjlecsjalwwmpwvinhkdslhboyfmzmlwrzsgbmhrqceo,307676.0,0.0,Evansville,Breskmlioyeomihprfmqnojlc,United States of America,gevqxy,3.0,YYFZRHJDI,M,RPM International,,3423528.0,U,0.0,506.0,hpq7873
93.0,Hqhsagjfzxipjbrcxvsemvcxzldo,SD,1-352-753-0683,A,miqpmdibmrnreawputpicfbnjzkjlfyrgxawmknkzogolmsvawhuiho,,1.0,Amarillo,Lscjxgy,United States of America,Gcoampk,6.0,ifcgmwyzhdltldq,U,Urban Outfitters,,3486382.0,O,5.0,471.0,Hqh7874
9.0,pzxdjoqjc,NY,1-103-066-5056,Q,Jwmumxmpmphtnblwgmfrfocgrunpqskkgrbfocanckyctza,207454.0,0.0,Lancaster,Siutkdwlhjrexxb,United States of America,DGHNEIP,8.0,vuihrbjqfkwqy,W,Loews,M,2855254.0,R,3.0,501.0,pzx7875
54.0,Znqsgmn,OR,1-287-844-6042,,Uxyrpzvrrjmeasdztytqcculshoxhgrfpbdrsncygexglbbjxziniuvaul,145543.0,0.0,Spokane,Avqybjbihisvqveracnxaqqnajmwezhfbzcdsmwqfwnfpnmkdepasjch,Canada,Zrtqyvkuoh,10.0,Krxqe,M,Idearc,,2381485.0,O,5.0,,Znq7876
79.0,Ftypppxyb,LA,1-124-039-8872,,jdmdbbisppnzkcmqkzbpw,430752.0,3.0,Augusta,Oaswogszzjucsksfidrzmnecnpi,United States of America,,3.0,TAIRRCXXRWOJRP,D,Loews,,3621231.0,O,3.0,645.0,Fty7877
22.0,tqvhkrbjgq,Newfoundland,1-243-980-3130,H,Shylplyvdmcumddwwxdmlcacfccuqmqwqnjdzn,203884.0,1.0,Halifax,Npcbegtuhiehvfzjeumlfi,United States of America,Lgxqsuk,1.0,Azzvgce,U,NTK Holdings,,3366913.0,O,3.0,783.0,tqv7878
,Cpfkgmro,KY,1-763-235-5180,,HNHEBPBFOWQCJZDQHZYQSTSSCXKAXG,357917.0,0.0,Miami,Oxqsmzocrdcvgbyxe,United States of America,POARLU,5.0,dvhctlymkwvekf,M,Ecolab,,,R,3.0,646.0,Cpf7879
57.0,HHEBMAOTXCMHHADRMBTXXLPT,MT,1-602-584-7562,Y,Nokpmfteedsjkenkthtgmjcquikgnbuwoakwhkllwtpnwlljjrvenpcaanyxeqitmutjmjhixvkc,59041.0,1.0,El Monte,WWWEOJTHMDQAGFPHNCCPINPYVXNVRPID,United States of America,,5.0,Bfbnghedeiuwlrkwzbnya,M,Constellation Energy,,,O,1.0,429.0,HHE7880
73.0,Gkwjrembbtjrezbemucxl,Manitoba,1-985-663-8604,,KDSCCTAYUPXTBSCNTMJRNFZEGLDUAESRFIXJZQZPFAGTJYMEGAKTFFPUWXQJ,440657.0,5.0,Springfield,xwfnbghvzubeljuckasdjjtcnxotjh,United States of America,Vyygfdjf,8.0,Pssvpxmnxzlzlzedabvrg,S,Owens & Minor,F,3689007.0,R,,671.0,Gkw7881
42.0,rfgbsgno,KY,1-224-594-9781,,DQKARXWRADTCMQLGTOSZMMAYSDGIYDUBKT,152922.0,3.0,Manchester,ZGPUBTNIEUQDDF,United States of America,Asbicmvyabvw,7.0,Sglyr,S,Coventry Health Care,,2839770.0,R,0.0,416.0,rfg7882
33.0,Kfpakqvozvvhnc,Manitoba,1-048-255-0392,A,zfenvemekgzedkgchawmztokktnrbskvkyptxweekqvsfannpvsliodravry,375311.0,0.0,Warwick,Zfoagiqxqkthavikmgcxkw,United States of America,aesbuumzqqm,3.0,Qkxfqxkayacxxaoynjfpmr,S,Casey's General Stores,F,2797542.0,R,4.0,340.0,Kfp7883
51.0,Wejxbrazfsnhlqedliqybxf,NC,1-994-250-5987,,xhqououeujwscxcthdowiqkwtbkcoxyuoxbmingaoffongujngqevyxwjyxtginjgk,326382.0,3.0,Scottsdale,WETQDSKPDNSLQNJRFOEETEHTVNRLZDACIBEUOTGNNNORWPQNKLXXWAWWBFIYGJPYOTKVDXY,United States of America,JFGMCGWBPD,,Ogdsnm,U,Embarq,,657646.0,O,4.0,345.0,Wej7884
86.0,XBDVIEFKRRJZUHEZCWCGWTH,British Columbia,1-752-387-8618,F,ueddwnzmsoshfhd,102543.0,1.0,Hartford,ETCCFEDNKSNPRJXATYRDQLOKDLXRZJTIKLHVQYYKSS,United States of America,owklhjpu,4.0,Gsrrfpmodoxueojxadjaxiaasxojof,M,MGIC Investment,M,300475.0,O,2.0,475.0,XBD7885
60.0,kdppm,NE,1-336-761-2623,K,byziijxxisf,8999.0,1.0,Syracuse,Vqixcjmmssxzoshvmoh,United States of America,NNRWJCG,10.0,EOOCWUEJLYWCRQIUTAMRZQCI,U,Campbell Soup,,317213.0,O,1.0,510.0,kdp7886
52.0,QJUCEWOCYFVAAOXAKCFRPMXOKDP,AR,1-673-756-4923,O,XESLVOJZNQNARTFJVOFKOETJGJLBGAZHYVIHZRNLZXVVGXINLSUMIYOEXWJINYCVAQBWLVCFB,423210.0,0.0,St. Catharines,JLNGOFUVJSGPLLKSORFSWEHLFUVOBWXGZFJDXSAEQVYUHHDCEZCPHKTOANTSLSHXDSRFLNLRQWETNTU,United States of America,btltcfi,4.0,Yuahsjrzxesdwqkr,M,Idearc,f,780316.0,O,3.0,821.0,QJU7887
22.0,Nyzlxdbussfnsvctrgumoegmidnc,AZ,1-539-338-8755,R,OQEQFVCIUFZLRPJTEBO,252935.0,2.0,Victoria,Xlsdzehoykiexcntxvgwpklcqfpsltcsdgjewxqsiqtduahinocngjarcqsxwuxlyrvmldbfqndt,Canada,QGSBMCXCYGM,,vqaizzbgmhuhy,U,Nalco Holding,,1287221.0,O,1.0,455.0,Nyz7888
99.0,owfzgqjxsyponidsw,ME,1-701-246-6780,,Rmegtgpz,,4.0,Oklahoma City,bgdkwahikqrebhjurieoopnlagiyayhyvztsnrmicoltrxzkougwhefds,United States of America,Qydoxenszb,4.0,YJAUZRDHDW,M,Molina Healthcare,,3763532.0,O,0.0,492.0,owf7889
92.0,Fonrlbwyctpvqliyyqqhmpia,IA,1-105-287-2906,h,Vurykljtaswvufrtqpaogiwcmlctapiapcjmnuwcvlkheurwejamuaftjnibyzkkr,344133.0,5.0,Inglewood,Vfsfyqslulgrgssqvhfkxunwyhbdaorfnahewaotuczuloxyltmhvtvslgabjfgph,United States of America,Gonyap,6.0,Lxwjudwtvnsgirhvfhwxqcq,U,Western Digital,,2470297.0,O,0.0,563.0,Fon7890
75.0,LHBMOWKDQSWCWYSFZVSXELMXYFKCU,British Columbia,1-066-105-2383,,BAZNH,476719.0,,Cleveland,Xqsnaftoxpapclfoizvovxtutwfcfzwwypdqrxlixzkmxnxi,United States of America,Oxfgfmpq,9.0,nxwcphszaffkrtuvqfzekwxa,S,WellPoint,,1005779.0,O,1.0,358.0,LHB7891
99.0,Zpsadlvriuewdawdkgfapwlkj,NV,1-888-677-5979,,GIYVXVYWTCTMPEXQNDNYTWXHXNJNKZJPOCZGULAAWCPZKEZ,340848.0,,Erie,Eujznhplhdtrxnmgpxflknmru,United States of America,aooke,0.0,VVOLVBVUTJOXYASAGDWYQBV,M,,F,3636355.0,O,2.0,754.0,Zps7892
30.0,INXBMCOJHSMMAESQM,MS,1-629-616-6366,,UDFTSEEPXHFAFYVEUZMHKMJR,67595.0,1.0,Las Cruces,Plysdxcwuumpxesxiigycpqpygbdzwwynztgqsalyeerluppkrtkwztvsebzdfuxxoejling,,Azckbkb,5.0,zyfllljfuwlqhtperwbkfgv,W,Whirlpool,,2881527.0,R,0.0,773.0,INX7893
45.0,Lsnckacqedklvwjmt,OR,1-512-964-7715,,JOAPSGWWSNBWCMTGADBTQMWVIZHCZMMSCUUTAAPYYNKMUCLJPSOIHPB,65319.0,3.0,Portland,WPQIFCLOABBTPQIEPDWCCQ,United States of America,Jiqxcqdipuv,3.0,mfktkzvogdhorknelkxcvkd,U,Plains Exploration,,433677.0,O,,784.0,Lsn7894
21.0,WSDSBCFFDRWSED,MO,1-522-191-0965,C,JAEOCFSPPHENSSHOGUBSBVJKPPQMRAJJWGHLEAKNFASWIMCGZRHMSKMSQQBWZWKKETNRXRJJLFGMCJG,110011.0,3.0,Grand Prairie,Ljsvkijzrssfoqpwfyvhkuesuxjyvbaexqigz,United States of America,yvfomkinly,,ETRUMPVVBOSRCRSVESAMVO,W,DirecTV Group,M,1299931.0,O,2.0,523.0,WSD7895
48.0,Dbfokkqjcsirqsgenp,MI,1-562-988-5731,,Znchjfwomalvtmimcn,451614.0,3.0,Iqaluit,EWJDISWPIJZASLRCOTZZJMTERAOMGFKSLAPMAGIQXRTXISBEMZINNRBMP,United States of America,Xkvkbwva,5.0,Lxvrxpkqwfgdbero,U,3M,,,R,2.0,314.0,Dbf7896
26.0,LFXSIQKBVXMMTZLYEOQKOORXDCMZIZ,SC,1-583-320-6359,,Nnlhgprrpymweohoarkaqcqugkzecypxmqqsaicsfgjwpcrtygzfizkxlbfyn,192175.0,0.0,Oklahoma City,,United States of America,IHJKRXFSQ,10.0,Orpngehrvphzdxkkvkpv,S,Cardinal Health,,2117082.0,O,3.0,373.0,LFX7897
70.0,xqpqogbpgkvwwikoohot,MD,1-568-189-9048,,Jdaomloeixvgdxieinyeovkjlvoxsduggwgubwnkhrnnrlsmzsysiqrqjnjxukfqk,412689.0,0.0,Brownsville,ZLQTYBQMAFJHYMCOMMMFNOTFMLEXYIGUFSFAIETGWIBHTUPI,United States of America,Tzkuauut,5.0,zwooptawtzsocloewymwjpws,M,Activision Blizzard,,2212262.0,,3.0,345.0,xqp7898
22.0,Kunkciwzwpihwmjjmlqfbdrbwu,NY,1-869-293-6863,p,XQSONJJQHEKTMNAWKDSNRSBCCPOQACRISGHZBBTFTOTONLUYTPVCBKSUJKSTBAJVGHUUXL,220347.0,1.0,Independence,Nmdtltowkwxbudeihjdqcmdbtiadtzc,United States of America,AQYJBWQ,,Tuhaafkmakkvicexujaagsf,U,Pantry,,3147795.0,U,3.0,,Kun7899
21.0,Eoupkduibzzukgqxgich,WY,1-766-759-2179,,yxktspvorpfffiomwhikmbdprzqkjedriwurqtfulmkzedkistbwurojqsztearucjcriecanhhczv,295061.0,1.0,Mobile,Xyhptmclfgefbkvmg,,fvcnwmd,9.0,GLZOSXKV,M,Centex,f,2081696.0,R,2.0,774.0,Eou7900
77.0,ZGLRMJHSMZCJCQEWMRKWEAP,LA,1-512-428-8707,Q,Luhbradgmwgfcqpfoovhuddgwiadqyuoawailjs,146431.0,3.0,Austin,Iujqhknpipyinqmgjogjwtasqbrofoyexkdzpfhttjghqp,Canada,Owsmcnhi,8.0,nyhlacgxbpiiwekf,,United Stationers,M,3895241.0,R,0.0,768.0,ZGL7901
94.0,Riruuvllcbvgvlcrytieefpk,Nova Scotia,1-302-297-4891,N,Ntdhkwpdkonjbsevjgaqijdlfgdbiyvrwzflxoopjcxpfenhcteybqsbdaeilsvhsolqqg,353114.0,5.0,Mount Pearl,,United States of America,UDVBQETOUHQA,7.0,fyanurmtawfifqwvrpth,M,Ryder System,f,2628656.0,U,4.0,813.0,Rir7902
88.0,wqybu,KS,1-332-033-5429,,KUOQVOWATRRVLCBCOMGIKUDYFENIATOUQFIIVAQMTLNMSNLYXNCYPHHNJQOWODUROBYKVQRQIEWRREP,457831.0,4.0,San Jose,Swgdrybfxbqkmqixgqdcutrzsmjynaookoxw,United States of America,Tjssbiu,6.0,JFNNELSUDQXESNBTOJAPM,U,Warner Music Group,,3275612.0,R,0.0,433.0,wqy7903
77.0,yeuyxgcfxufxg,Quebec,1-287-043-4893,,Cczopvhhrxbtnlmfwyhn,216328.0,,Warwick,PZFDA,United States of America,Mjhawshw,3.0,yqvnawqel,S,Texas Instruments,M,524281.0,O,3.0,488.0,yeu7904
65.0,YCWFQWQILVWHUMQXHCEZVKHCP,WI,1-792-014-1918,,BCPNPCNENQCKHNJMMRICUTQN,219123.0,5.0,Charlotte,LTLLIULLNWJNQIIRKZWXYURHBMLNAYZVHVYRSBLBMDSYDPKFZRUQPEIBQRGZHDLNBJLS,Canada,RDEMLHTRFPYK,,Esjresonrdjxrzbgfuqx,M,Lowe's,m,700154.0,U,4.0,,YCW7905
81.0,Fxrqyedfiiphldwwsaibcfhkwj,Nova Scotia,1-026-125-7995,H,Osrilwcuivjtqjrxupfetdeszllvkupgkhmbeshzrk,271779.0,3.0,Mobile,Dnroqlhqdminynrachfhfexyvikxgczknmfqhfywvaefmqlawjtrtekganffipilymv,United States of America,pjgao,8.0,Jcpfjlrgotqshdazdxmwoqw,W,Jabil Circuit,,2725260.0,O,0.0,580.0,Fxr7906
12.0,Lmyieyqdgvcstenlgbwhpbgtc,MO,1-062-842-7216,,Utsezxvfgaycwubuvtbbqisgmzlfnchatxjipkiequkxsgvlro,20593.0,4.0,Sydney,bprasr,United States of America,Akmsvphefm,,Tjwmmvjjpdeaxvmhdlisyxw,,Reliance Steel & Aluminum,,2657344.0,R,3.0,723.0,Lmy7907
17.0,panpxjiq,KS,1-056-149-3559,,JZQPDTCCPJQKHEFTUOFZNJUWQFGJNNEM,25434.0,4.0,Oklahoma City,,United States of America,Qybaiijz,6.0,gpqbb,S,Wyeth,,1331718.0,O,3.0,804.0,pan7908
,Phnlcbpaqbsjage,NY,1-234-265-2699,p,rvgvmzeoismpxumntoqinloutijjuujuto,386293.0,3.0,Peoria,Ojcntdvkzusbjticesclziugakeatjfpbxrwqkwktkgifpccghrbgwb,United States of America,VQTQJHFTGUF,4.0,Lmcrwvysclibvcm,M,RSC Holdings,F,3809227.0,O,3.0,499.0,Phn7909
68.0,Qxjgenyg,IA,1-261-891-0099,,Gtvbo,383223.0,5.0,Toronto,,United States of America,KJQMUNHHKQ,10.0,Xnvxresdvqjhbpdxb,M,Ametek,f,3395139.0,O,5.0,609.0,Qxj7910
46.0,gnrgksp,NJ,1-466-757-1291,,Cvdttynviwbtvezwgtkokvvctpchloyndpeagykfxawbuckwetwdvhgovkbmvvrwvbvtygxcs,177160.0,4.0,Fort Wayne,Gjxkmoivphuexxeqbqqlidyieithhd,Canada,jvjcgtehn,7.0,Caqtoamzsaehgjvulmmeadj,W,KeyCorp,,2413564.0,O,1.0,745.0,gnr7911
11.0,YFSJHBBDDROOBGHUCXVZPIW,OH,1-794-350-9050,J,kgrenupiiejkchwnptnjlyhzxxmpns,207177.0,4.0,Kitchener,QZZPVAEASLSJXHRRFFXVPJJRKCWUOOSNGFIYKAJAZBVOYMCIDPXAFBV,United States of America,Myzipngml,6.0,Hfhozsumjnfdjksffywdejyduahieb,M,Ingles Markets,,1218281.0,U,2.0,,YFS7912
55.0,kmcwmjeqtucbjonu,VT,1-407-417-4636,Z,ubwpjekdliiaiirkwomccfoepmngoukvajtajsdgfxlwiugisigugy,378510.0,3.0,Mobile,SKOHRHOBJVQYSQKGKROWWOOAGYJTOZUCXWIVMCWCCTXBVIMKFSUVGDTH,United States of America,Bamrstb,,ugreadsmyyzflhraopczm,S,Smith International,F,1501110.0,O,5.0,575.0,kmc7913
80.0,Jveolosdhwigoy,Alberta,1-413-798-8740,n,Wfpsogdaulwoaewqttymplfbiymruobnvu,39969.0,0.0,Henderson,Outbpsofzvvllcxocdjloxmbaeoijbgiuwwsilwytvoqdidaoskndolshurnaxocqatemlxtbgkligfc,United States of America,Krimsrswlrzr,10.0,CWDYPFHQLUUWQIBRDPXCFNW,M,Trinity Industries,,3510096.0,O,1.0,468.0,Jve7914
20.0,HAHACMBLMSH,NE,1-693-514-6735,b,Peakucarebkqqowcxyjwsuqbpxkkgoddzbikxxxrmhdceqotjbvnxmsacdxlhizkj,126133.0,0.0,Casper,Iovmordzsewiippemxxxfqbojldimrhvhid,United States of America,oapsimceir,7.0,duoqmjonqbichgsqwsaxomykkw,W,T. Rowe Price,,,O,5.0,543.0,HAH7915
58.0,Wzikriwnntdbqzilgvtlsewam,PA,1-676-265-1012,,klczhzwofgxorfxmkkvnuqpydwremqspayihjzcubwdqhwjttsrluaxlvwouvd,354032.0,5.0,Macon,HHUXFDBQAUOFNFMYHIUCXTKVZAUCUOMPXSMGSPHEKROPNK,,oorpdfvrd,9.0,umirygydvvkkekerszbnhfqkeybn,U,Steelcase,,1465068.0,O,0.0,313.0,Wzi7916
33.0,doiwobekxvqcyswbc,HI,1-465-904-8392,,Qpwsepjuhbcxdbldbdrumxqzytrtgaqxdnuuxfidtqkafxfjcgyctvesyefo,393358.0,4.0,Savannah,Atvzcyljdextktcuwjdacr,United States of America,Mhrkuraadkb,2.0,SNKXJGTQRWWQWLMOWJJYVHQ,W,Energy Transfer Equity,m,,O,2.0,710.0,doi7917
60.0,Jqypfnqhmpuxmlcbrwswvee,DE,1-541-422-7984,w,Dcfdwrhlupetlrcgpdjcpwh,360080.0,0.0,Erie,,Canada,Fqkhm,8.0,NFYRMRREIKMRNGBHWAHE,D,3M,,3868349.0,U,2.0,320.0,Jqy7918
56.0,Kbaoljhbgdg,AR,1-486-040-0417,B,PNCVGINMBDCEREMIGKLGBBVJMEWMLFUESEYFEHFONFTTVNXJSLLSULOILWGBWMMCLDKJOQNQMIF,310910.0,1.0,Minneapolis,fybnngsnfazs,United States of America,LMFPXGXBZEGK,4.0,Jvzmlvkjpqlwuvpzkezubbtjf,S,Equity Residential,,2409902.0,O,4.0,842.0,Kba7919
81.0,Dvttbwfx,Ontario,1-426-146-7892,,Zttnpyuyqvhdf,482624.0,,Plano,cuebfeqkxawdmtcukzsellbemotuxldxswdcjzlsashtelnoxfuwrapwnxuidxjkarfggz,,ZXRTKKPO,9.0,duyhyceaiukzomwqkhfcnvmlac,M,DST Systems,,3205565.0,O,2.0,364.0,Dvt7920
32.0,XERDYDGUIKZAQPIULQVBDSXRFEOOB,AK,1-674-592-3807,Z,hxxbsfkqamwvkzfhvqoftxgzytniovbjpzv,47644.0,5.0,Boise,YQXAKMZESSIVDHGOTUEAJVCNCSVVUY,United States of America,PFEKGCYFAGHN,1.0,XIHUXU,U,Hawaiian Electric Industries,,354145.0,O,2.0,543.0,XER7921
15.0,Gbkdkeisaste,Saskatchewan,1-983-632-9079,,JTDBXBTPLNXOVQOVGXTIHPUMVEJAKNHTGGNSOTCSTFOYJWVZTQCWLHPGGLXCAMHTOJHTOQTWJBSOHF,433844.0,0.0,Akron,Gwnuncibniiuhffoufedrkvdteetipsjouwfpkyobhgupmjdzyartmiyer,United States of America,Xskbyx,1.0,Wnperbzagblechbiuebt,M,NVR,f,1104063.0,R,2.0,845.0,Gbk7922
23.0,Whninzryszfjxphspzcgeq,KS,1-146-786-7699,h,Grvtwbldjuqurytjusxd,181596.0,4.0,Lansing,Xqquwywircryqyajocqbefddlhjqsvhtvpyxwpzhqkzfrgitnaabqwaf,United States of America,AXMNPVJYGX,6.0,WVPTBBBERUN,,Virgin Media,,2213495.0,O,4.0,745.0,Whn7923
76.0,IVYMGECWJXSMDAFIVU,NJ,1-234-496-7120,g,agcetpprnhvxchlbvaisfhdp,338080.0,5.0,Anaheim,Yklpwrsq,United States of America,CCOMKORPR,1.0,Wvpvtumgfcvdntgyllvp,M,Polo Ralph Lauren,,775085.0,O,0.0,378.0,IVY7924
44.0,nlodvthfggrjpx,SC,1-053-718-0926,R,Kjyyterjaosalnolfimisnzusipktupgaywhpytdigvdctllqcovbwevfybfdasmqwrzzlx,192895.0,5.0,Reno,Oyvnrhnrusia,United States of America,Dzgpamgblur,10.0,gtgjjbedkz,M,Fannie Mae,,468879.0,O,0.0,464.0,nlo7925
