lstnm,nmbrchldrn,wnrrntflg,gncd,g,ddrssln2,crdtrtng,ntwrth,mplr,ncm,nmbrcrdtcrds,ddrssln1,stt,phn,nmbrcrs,mddlntl,gndr,frstnm,ct,mrtlstts,cntr,pstlcd
RXKJMVPYAGLDQLNMFFNAAAHOOCOQDT,5.0,O,RXK8681,91.0,Ubsfilzwtrxhqssjgnkllemupndwcmvrkbbwfczdlivvjyatcpdyiyjtoqvcfklt,488.0,,Iron Mountain,115346.0,10.0,OACQVTAUTDXNSALHFWHRJOGBTRHLBTAHWUTXRJWRDH,OH,1-124-907-2076,0.0,s,f,Fsxfdhoeykwx,Austin,M,United States of America,CUNWRCPDT
XMWAL,2.0,U,XMW8682,93.0,Ahhdlmnefcjovebtjdfxgaiwantpguc,472.0,3243516.0,Hess,414519.0,4.0,Tujgprmwwgheampglymmueirocgjpyrhvryjychlozysjjzqzeocnpc,HI,1-426-308-8028,3.0,,m,Txhbispkqqdiwdimvyoaowpsdtf,Stamford,M,United States of America,Qljmhipol
Etlwcswaihfcfxhndlfraksboscacp,2.0,R,Etl8683,44.0,Ivjrhwxvxyoevhptfbcnsbawxmrobbfkiueljroym,625.0,1575746.0,Danaher,328886.0,,Nrtieajioyeoaejlrbzmrfxkyikjxpne,CO,1-308-924-6128,1.0,,,Cpdihpwmeykeyxih,Vancouver,M,United States of America,lfpxxsvqqfai
URBDZICHOOHMJYY,5.0,O,URB8684,35.0,HGRQRVRFPFRKTKRAYEHTXHZCJXAIVWCCMDSUIMUXXJDQMSFOQQWOEDNXPXG,731.0,1420362.0,Barnes & Noble,,5.0,Pwpqvhipnhvqrwfdkikofyjfuevpiqkwtarpnxtcyoroilyzzdslkqbvqiiohtdn,KY,1-566-614-5439,1.0,,f,Jzmmqgwngvjf,Escondido,U,United States of America,Venboxurii
Aadtd,0.0,O,Aad8685,89.0,rigrldrewdqepabbzoctxkudocmjmytlhvqhknbscwupoaviyywcdxdothlytfoua,597.0,2265704.0,3M,155341.0,10.0,ituogckvrpsgrmtronllzvuhapgcwmmoxdrcmbkovnwlbmsrujsuejzsuxbgjxfhpppi,WA,1-900-742-0811,1.0,O,M,Tnejoljbhfseoaequbqkcsct,Augusta,M,United States of America,Froezukt
Efufthozhwsq,2.0,U,Efu8686,90.0,Seqveoqznjgoxkifsupcsuaubetxceojmyima,789.0,806681.0,Smurfit-Stone Container,403188.0,0.0,Cltjxoyxtkrxklrawuojkoqnfjgcqqtepyibfluhunuhpayvxdczpaplapkkisuzsjtbtl,KS,1-362-535-4147,4.0,M,m,BNYCWSMYVN,Nashua,M,United States of America,Mtwmtxh
eeuipdwqrnuckd,5.0,O,eeu8687,81.0,ucswwutiaqhqefzrvomlssokpjsuqgvruaawpvmtssucxilydjnvflvkjt,745.0,3913762.0,AptarGroup,44208.0,1.0,KLQKUIXKFVEATXWVAV,NH,1-088-611-4747,4.0,j,,XPTFCOYVKGPDDVSPDKWKJETJV,Buffalo,S,United States of America,yggygjfcqq
Vnmbblxbtljmzpbrkokjeig,0.0,O,Vnm8688,2.0,uxapqyegkd,750.0,193717.0,Graphic Packaging Holding,409011.0,2.0,Lfdpkrvsvytufrwjkzjfsxuzuqkyugpvldzogojezeshxpirbworgdqqeeom,IA,1-057-920-6008,3.0,,,QBZBNKMKFWMJHOF,Madison,S,United States of America,wceabvwagbbj
RVPDMGDPQFRIBLDU,0.0,O,RVP8689,54.0,lgtmjntipgqbpkjspwtuupujzmjjndnlqwqibzkrdmpufmxjqd,533.0,1013981.0,Maxim Integrated Products,,3.0,DYMVDKSSBWOGLBFDJLKXILEXUBNYQYHZGQEMVOQD,MD,,4.0,F,F,donevtolsjsqmxdwutlmoavj,Lowell,M,,zcmfujrx
Poruhchhbbdhpz,4.0,R,Por8690,84.0,CDRIXNFPSXDPNIIQXTGJLUTEBLIZMDTPPKLQBMBWBESDOBBWQWXETEINTGICHRWJWSHDPTNFXSDFB,717.0,2230529.0,Timken,45538.0,5.0,MQJZAUWRWTSEIRZJFWHGKLYV,WI,1-130-549-6143,1.0,,M,QSNCNOXHTTUISM,Fullerton,M,,Xtnakt
Vunlbptyrrhxesgrdoedjqintceep,3.0,,Vun8691,46.0,Pskjozcisuirkpqgpvqoxzgtcvflyzqftjd,561.0,755031.0,Tech Data,296979.0,1.0,euymxsivaysprsstxlcwucxtjemzcjntlqvzajkhzyvqpabimwfrvqhjnajdlvlutijjnzjwozpaznlw,FL,1-608-744-7160,2.0,,,Dizfoztwmzdtnbn,West Covina,S,United States of America,Iubgss
CMZKHGNAETNNKKOTMGAMJSJVQBM,5.0,O,CMZ8692,85.0,Sukrnocfyofmkkjhrxaezxcysaxxpddwyd,410.0,3551603.0,Bank of New York Mellon Corp.,33341.0,0.0,ynswzsilslvlvwmk,MI,1-298-926-9454,1.0,j,,Jabvixzqwlrmcvrabooxifgxjfer,Casper,W,United States of America,oqdxh
xfvujrdpqjxmboxpwg,4.0,R,xfv8693,17.0,Elwmrdcqkikfrscajbshbbwyijdbfeksbqlvqroekhorswnfgtjdfjmlwzttwurhl,802.0,77595.0,Enterprise GP Holdings,386181.0,,Zsdycbhskdgwebmhbnlznthzcyocswchulkomiraudmqsjypvvpja,NV,1-911-587-8459,1.0,U,M,Aelrkjecqbjhu,Columbia,U,United States of America,Koltafaovnj
eniogzvrbkmkjskmlijgfk,5.0,O,eni8694,56.0,HZYIQQTQOVXELXFACAZOETCOBCDKLSCGR,548.0,1126008.0,Spartan Stores,329659.0,4.0,QKSDWHKOPITCEOUSKUPNXINQYXDPDDXGKJBFBTEFFYAKWYCDIDMJHEQAB,KS,1-149-575-5771,,T,,XBQUYTXUBBJXEHUQU,Macon,W,United States of America,Nvtoeawmg
Botbkfxhrfefpauqvusnbgl,4.0,O,Bot8695,30.0,pzzxeaqvekekhsvxghbybzlebuyxqijhrhkvqvjigdmgkmqxfjcufqnb,830.0,3638975.0,ON Semiconductor,336056.0,2.0,,KY,1-795-875-8204,3.0,,F,vemtwplnkidzhrqedntpkfmcfbioiu,Peoria,M,United States of America,
Vfgasnkqeytvyrffwjetudeo,,R,Vfg8696,4.0,Exgtqlemgqnahvzunkvpqhagdxfaweglqvlphuet,461.0,3761180.0,,441771.0,3.0,AUGLXDQMAXFWRMXQTFGNTOSMLXQLAHAFTPKGWRMBGDQNFUNXCEMPDPDYTDMO,NH,1-512-001-8308,4.0,,f,Ckkyymeswoq,Bellevue,S,Canada,Tfruklbsese
nhlig,4.0,O,nhl8697,21.0,yylidipunpaaaqvaviqrtznakvaqfaduibnpspmqkoeafcyvprllwjnk,550.0,3437967.0,Carlisle,373903.0,7.0,Ensumqxyqgasvaltdzslotficnlugjkqteeqztqpypjolwrdozchu,Manitoba,1-514-315-6199,5.0,,,cajkgef,Iqaluit,S,United States of America,Gqsyttujbz
Xipbcliokgiko,4.0,O,Xip8698,43.0,Dcepvydjnien,658.0,1796117.0,Modine Manufacturing,63737.0,3.0,Hjrobcmgdfmwtrchtayifqfdjkuubaacqonkhkbheqxtmvwysbaqvekqjpafextqvey,CA,1-567-741-9888,5.0,,,RZHQJSPZMBPTIEBDFRZNAI,Savannah,,United States of America,Cbchizcfh
CIHEWBWGITWNBZCTZBMHKMUHFG,4.0,O,CIH8699,55.0,Dharkvjmeoldahikezcfyjlceoexlfdzaenfigkfagneos,792.0,3140997.0,Marriott International,123182.0,10.0,QCCKPRDMCDRUNHNGXVQUBKVXARYFLY,HI,1-986-658-4714,3.0,u,F,XSFVJNNDXDLJ,Milwaukee,D,United States of America,OADLLJ
cdmuzcdyhokqqudw,5.0,O,cdm8700,59.0,Hpadrfbmajwpgcnvtzapgjolzttmjnrcjfguqokdcgak,641.0,3616733.0,Asbury Automotive Group,53537.0,4.0,kedobsurlwqcpjaqtz,RI,1-981-528-4850,5.0,p,,VYDUSTVSXJ,Fargo,M,Canada,ZXVFS
jxkeyqevw,2.0,O,jxk8701,9.0,Pitsugztwnjifbqiacldrtldfz,590.0,2447031.0,CH2M Hill,91206.0,4.0,TTDTXLMXSBSYRYHJOIMWVOUJOJZVTZOGXCCDBNZSETPDBXLBNRZZYJXERED,AK,1-726-949-0017,4.0,Z,M,LHPFH,Eugene,U,United States of America,Cqemfcqaxk
Rfpvavgs,,R,Rfp8702,62.0,FXMJCVHWBLJDFKNHJLPLAWNNRFJOSDPMAABBGSYSFWDXOGGWTPCUXZUACCGWJV,393.0,2243112.0,Cigna,326428.0,8.0,Rwbdbsisaamdmcdypqpcyewbmld,Saskatchewan,1-457-463-6333,5.0,,,Hkzqyyjusjhmjmgyxjnqdwmwm,Mount Pearl,M,Canada,Opefevmvmix
Zcjhtpf,3.0,O,Zcj8703,53.0,Dwypkefnwoywntbehqmvepvhldpzfwetmdddmqhh,796.0,2775156.0,Priceline.com,302934.0,3.0,GSPPQDEJQGBULLRZGYVPXT,Newfoundland,1-474-956-2555,2.0,O,,Rhzijsfxajejox,Des Moines,U,Canada,Irfmwksz
Xztppqbzsmoixfdrqkotbdkwry,4.0,O,Xzt8704,80.0,qnefnwfrblzmxetqmpijjpeptrkewwrrjygewygkhvldmaawiflwx,476.0,,Hub Group,358087.0,8.0,GXDZUASRIJPRUBVLXCHSGLLHIWPSRIGUDLBCRYQBMXYFTKQTL,OK,1-983-965-1357,4.0,Z,,oprioqqgzmlogusobkeevtubzfip,West Valley,W,United States of America,
vnrgtmilnwqz,1.0,U,vnr8705,70.0,xtfqfrgxopqjcuxyndcypmarkogemhdyiax,482.0,3983183.0,Century Aluminum,102441.0,4.0,avxhxwswkpuddhsizbrwuzxivbivvswaohihnnqlgdksphfspbyo,NM,1-371-971-8422,5.0,,m,Dupmuuwceopnihvllqf,Whitehorse,M,United States of America,
Lcotfhuarucdqempm,1.0,O,Lco8706,,XOIAQJUGWLWPOEJTBRNNQPTSUC,607.0,94738.0,Southwest Gas,328772.0,6.0,,PA,1-197-386-7002,5.0,K,,Jeclljufjcndcgcicv,Vancouver,S,United States of America,Ebfwbvbzqq
Qxvhkkexe,0.0,O,Qxv8707,25.0,Wjjvdarzdsyjabjqzdexngdampllkmluuddraofueejfopwslrshsighkxqobdzzmg,661.0,407560.0,Wal-Mart Stores,46302.0,10.0,rmdisjymgajjwhxeatynbtbjzayfae,MO,,0.0,b,,rufxwjlcthehrvisrtvzkcm,Des Moines,S,United States of America,PFGLR
Zknuxoiiafaohhhqhphrajdiehujrx,5.0,O,Zkn8708,67.0,gkncamovwugdkguazjrgvlrphxaf,555.0,89739.0,CHS,483159.0,7.0,wieuquycdhgkuzijwvauglbxdhfkkxhcazxtuehgzwczseqcudtgnejluaog,AK,1-741-916-1995,3.0,,,qermzmeuinxofmvfnrmdqa,Elizabeth,S,,Zahoanzbnoi
zthmpjkdikbomqnfsi,3.0,O,zth8709,44.0,PPYXEEVRSTQPSSXPVLNDSFGYKNHWYKIKCJZHCRRSWGYSY,517.0,3345102.0,BJ's Wholesale Club,390647.0,7.0,Vrxnvgpjvlg,MD,1-840-399-2919,3.0,R,,AGXJCUOAFBHQC,Lowell,U,,jwqnihv
lbidnknhniu,0.0,R,lbi8710,93.0,vhblxdcmmkninzprzdbmnqgomzdz,618.0,336067.0,Goldman Sachs Group,409796.0,1.0,Ymddjgxpvhmkhooldkvvxypnruqm,CT,1-855-202-0449,0.0,,,Pmibejfdilhkf,Washington,W,United States of America,LKXAQ
HATTWN,4.0,O,HAT8711,13.0,,821.0,1616585.0,Pride International,115895.0,3.0,piwfvyhgoaqyptqumjwpanknxufnkwgsfkgq,NJ,1-911-293-0750,1.0,a,,Elcnhegdhmredfjmfdixutgaqb,Ontario,,United States of America,YNYREG
Hjgsaxseohxvsckqabdebt,3.0,O,Hjg8712,64.0,Uipdlbdheqtqouxhljpddunadfseurquzzpfedhmedecekxxmv,678.0,1332431.0,LKQ,368247.0,9.0,PASELFILCFQGSMBXHQUBDQJGOFHBHOIROTZWUTHMMSYMDNADLCOWVOFESBQAIPXIZCMHQXZV,SC,,3.0,j,,Yqskbobwwnefismwsucubgjkf,Santa Ana,S,United States of America,SGGMMX
Jjjkuxpbavslc,2.0,O,Jjj8713,19.0,dmfilckpjhxbstweigjwpwapgxsujsbhfgudsueltsnsqukpnggweeaign,513.0,3448599.0,,166111.0,1.0,Bxeuykahq,WY,1-439-163-0429,5.0,,f,Nsytiyvpx,Hayward,M,United States of America,Tqszevht
Yhmbxrjrealcmmikhm,2.0,R,Yhm8714,1.0,ehuqkcqxaebgpczgnqhofyqvgfbgrptunwrvlfivmvfbfpwalgehunxyiqcdleaobchmlhsdm,435.0,3593769.0,Furniture Brands International,128617.0,3.0,dtxwfigbupgjdbqcatsjbamngsuojpl,RI,1-407-919-7219,3.0,G,E,Wlwbgpram,Grand Rapids,M,Canada,Wqjdrrvyd
ELUBFTWOIKFIPPDQNHCVHPUBD,1.0,,ELU8715,57.0,Vtaswrlhaaoewrdahpddraihsiztptm,716.0,874749.0,Ameriprise Financial,115558.0,4.0,Hpvviwedudpowmdytreljkiimuvtrhwlaploaurpxk,TN,,5.0,j,,EWGPMYEBUGBIBXQURMCFQXKLKOM,Hollywood,S,United States of America,Qsgev
Iqlmhmjbquanxrtmiyemthwuap,0.0,O,Iql8716,82.0,Rnnftowcjwgfbhbgapfjjpjwnxvdfphzqdgdbxwqzcxcquqvqzjfyvvnhvikyuluchwwsxetl,834.0,3033101.0,Hawaiian Electric Industries,25.0,6.0,,OK,1-452-687-1866,0.0,C,,Qlivmkhowkmnoeq,Las Cruces,M,United States of America,Rnborgsn
RFWJTZZPFB,1.0,O,RFW8717,72.0,ywyjwgdjcbomxtqnngvbujpnctyjpyfmmhottkgtzphtwpwcjvwyohaxcfb,595.0,1469644.0,AptarGroup,106163.0,6.0,Vfnbptwetuhhvzfhlotevsicctgu,AK,1-275-391-6536,3.0,,,Mddxnqs,Carrollton,D,,
HADNVFAO,5.0,O,HAD8718,93.0,Kcysuavc,783.0,2763782.0,Constellation Brands,498676.0,0.0,Zfflrkkvhsnfmwjasqxohlvlgsds,OR,1-211-844-6025,2.0,e,,Tvfrpbbe,Newport News,M,Canada,Izwarxfzhu
Twnur,3.0,O,Twn8719,80.0,QZSMENASODDKNPTMXASRQVLRXLCWWFCIGNQWNQLXKEWYXSQJZBRFWWD,800.0,3182270.0,,392898.0,5.0,gumytzajsukuutryjwvqupymsgtbkwgutwkrjijl,Saskatchewan,1-774-451-1517,3.0,p,,Lpqew,Windsor,U,Canada,uzmlkrvkp
KTKOXXQR,1.0,R,KTK8720,25.0,Qjdrmfwloqoqppeaamiagoxhqiwcwjqipbokxwfmjbrih,777.0,3336163.0,Iasis Healthcare,,,TMDLMVMGMRNEMFUNYKIUCZLVPRPSBTKUQNS,LA,1-826-516-2456,1.0,,,Njztl,Charlottetown,M,United States of America,Wwkmg
Ffcnqhjijaj,5.0,U,Ffc8721,80.0,Fudtaepdkrpnlra,337.0,3669939.0,NII Holdings,176625.0,3.0,Cslalilamdoqrtwwhpxszjgeayndtykzsfaavtvqqcqvmiczbsbeveksgbhluaeso,WY,1-769-735-3164,5.0,,M,twyuqaobukecbamjdcknrqmoobp,Montreal,U,United States of America,Gqkgg
MFOFUNUYEFIMRG,2.0,,MFO8722,92.0,Pxtanzseszinipjvsd,481.0,3074498.0,CarMax,206504.0,3.0,dqftawtecbo,MA,1-655-509-0238,,,f,Whgpbitgxhv,Saskatoon,S,United States of America,Kzujwikkfx
Oktqhy,5.0,O,Okt8723,66.0,Loncifqhyoobzcxlnxmlbiedehonnjxbhbvpvzxsggrdgyrmwwxfvgbwvlp,620.0,3295287.0,Hubbell,381330.0,4.0,Iltetztbgyetqxjslvvyhmhdqdzilbowchmzfgxojryzftmcaipcdkdqcruinifztpdv,IL,1-535-841-7219,5.0,,,Zgshxhltrzbwhuexgleoza,Huntington Beach,D,United States of America,Mhcwzxdz
Rsitkewecremmwegnzqfuvmqszsshp,1.0,O,Rsi8724,58.0,Mrmxxtyxmzcgovwixsyrcipgnymcgteugphhilozovfplvhnhfcbudb,671.0,363539.0,United Services Automobile,139408.0,4.0,kwskaugyhlrousjzzfdqrtxduirdbisxxxmkwfkkf,OH,1-900-851-9005,5.0,,,Ihpvfbqphxokyxybrdwax,Little Rock,U,,jcjaecwii
hxhrbjwnad,1.0,O,hxh8725,77.0,Jhexsktmbjbfjexlq,551.0,3823179.0,Berkshire Hathaway,342850.0,4.0,Lqhulbemutqujdrbv,NH,1-028-752-2687,5.0,,,qbhuiccpnmfqrvqiebexujigz,Austin,M,United States of America,Pcuzclsmrd
hmzwpupp,3.0,O,hmz8726,29.0,Dappqlgmburslylroaxennpdbbzonkvlt,493.0,1445701.0,United Services Automobile,110105.0,,Ubfpthadnxrkn,UT,1-381-245-1446,5.0,,,hwran,Stockton,S,United States of America,hipmfapbivn
Upafbhhgtarxnfhdvhbnlugrt,4.0,O,Upa8727,67.0,CCOAECCJKMVVKZEWFCBLIKJ,328.0,369743.0,Home Depot,311268.0,2.0,Eamkbgacbcvodvbcs,Manitoba,1-429-602-7716,0.0,O,,Bnquawnwdvgqvesagav,Minneapolis,,United States of America,Qhxohmjug
ksjdcjbubnbtnhflixha,1.0,O,ksj8728,82.0,Eynnrxlldtaripprtvjqqvhvg,763.0,3576300.0,Mirant,306801.0,1.0,Zapgbujscvqlvtatdglomcejsyhabmgsvsdqqxphcifeeiwrmrsixbanfnb,NY,,,t,M,Dutimcpvdnmftr,Garland,S,United States of America,QYMYEANPE
Evgnxiiavpvywbcyczqzs,3.0,O,Evg8729,50.0,qublxjrwljdupiwmcjnuteqrkuggon,319.0,2433627.0,Hudson City Bancorp,350324.0,6.0,Xwrmquhsnkgczintronpkwupalnldlgqxnmkudor,MI,1-099-486-3382,0.0,,,hhaacfiqsboqgnr,St. Paul,M,United States of America,gesufn
Tqoihlxucrybsvlxnnomqpuanwtwue,4.0,O,Tqo8730,44.0,,457.0,258321.0,NRG Energy,377700.0,2.0,khgcjpdjbzbpqxvpwoxwsiiifziuzxzfaduqwyxcfpyh,Manitoba,1-049-912-9587,5.0,,,emijsqfjmgjrjwtjhwdouxtib,Miami,U,United States of America,CNIYHYVLR
Fapqu,4.0,R,Fap8731,52.0,LUPPTVEZOMDDHSY,490.0,2175149.0,PC Connection,429696.0,10.0,Uuwqxuy,Quebec,1-780-616-5514,1.0,g,,Eqjjvgsbncfcazieghcgueytt,Newark,W,United States of America,Atipy
Fiucczfnsuxxxhjxvssbbmdj,1.0,O,Fiu8732,58.0,Tlsvijjtyrfguuldnzuznauhkajhgqirxnzhebdwpfggtfbmpikrjpjvspdqhbzdhzqvm,519.0,3577781.0,Amerigroup,356449.0,0.0,Yuqiuxvhfaqcjvyxorcbfnaxrsa,ME,1-305-187-1767,2.0,,,Ecvwdgvwiyv,Newark,M,United States of America,bzlymrkug
QLCPNUUHTBLIUWRXVZLGBEDIHRCYCR,,O,QLC8733,56.0,QLKLFBGRCGXNJRFIBQTBQFKAEKWOO,306.0,1685246.0,Puget Energy,451900.0,0.0,Ddpivbvlyzznhquqrhldmgnlahachiotw,ID,1-965-343-3373,4.0,m,,zlwjexwygdeirjwmkecbvzcphfuae,Pasadena,,United States of America,Fpdfqrmdb
Gucppimlzgtmqgisz,0.0,O,Guc8734,74.0,LNRFLNOELSWMNHVDAQVIMDEOGYMGICPRBRBILTTQKUJXKVFFWCU,337.0,2294288.0,TravelCenters of America,195452.0,8.0,CWPUWRQCZIYEJYAAWUMXKIKLVLUIKBYBUDGRVIVS,CO,1-382-135-6945,1.0,,m,Lgcnccdjf,Vancouver,M,,Iarcdmqi
QMXLWQRXMSV,1.0,O,QMX8735,59.0,,724.0,2711390.0,Bed Bath & Beyond,434630.0,4.0,,IA,1-223-603-6648,4.0,O,,Jbfzqcfa,Oshawa,W,United States of America,Gsdypcxar
Jinaycnxhl,0.0,O,Jin8736,9.0,Uicuqosheuxlofsylgputqiwvfnfwccihvgfysff,641.0,,Merck,304825.0,0.0,Stuuybhfztnvkncnlofhvfcwmpojehatkxgdebbxwfjpmgwmocuovajzabfchkbdzcelt,MO,1-875-548-0615,2.0,,,Refcdumxsufhsdqrleoozbpt,Scottsdale,M,United States of America,DJOHKVQ
Gpebwqtbfepbkfj,1.0,O,Gpe8737,58.0,UUKSSSNKLODDTLXENFKSOFLQKFSBIJIZGGNHHENWCTHAOAUZQTLANDLRGI,517.0,904453.0,,410522.0,0.0,OOBYQROHVAQUROQOTVJKAXGQHZEOOBUPCHONKMXTAEWVHUSG,Newfoundland,1-707-940-5935,2.0,,,Mcugsippraqdhnrycrqttqgz,Phoenix,U,Canada,jngxitnl
Bebinlglknnubhbbzvom,2.0,O,Beb8738,57.0,Rfkznckodftgkkxbzw,840.0,,Avis Budget Group,177656.0,10.0,cjhapaherlqzhjirkktfenfyofkjmlgkumpjhvchzfupjnu,AZ,1-309-343-2740,0.0,,f,TLUVWUJIAB,Las Vegas,M,Canada,MODIOAHUIHQ
Qvdjioynxoudwuv,5.0,O,Qvd8739,77.0,kpbghib,351.0,3786307.0,Alaska Air Group,327392.0,3.0,Fyqcpbybblymmuglwo,Prince Edward Island,1-842-949-8321,5.0,D,m,JXFWOATISMRNNDMFNGUQODUFSNPLXX,Casper,,United States of America,SOPWSZMTNH
TFDFEWBROOSMPXCUJJEQX,,O,TFD8740,58.0,Evmkjjpxihtkwedgjfcvxdsdxiljjmkadfjvpgyu,685.0,2234199.0,New Jersey Resources,420139.0,7.0,uhwbjocjbuhthfkvioacryppoiefgkieoefieytkxsbp,KY,1-006-046-7891,0.0,,f,ukunhworoddnjwqdndxwanmsyrk,Iqaluit,W,United States of America,DYYHVA
Zvecl,0.0,O,Zve8741,10.0,Ieykqmlmtqiaxjovdqhokesm,664.0,1847503.0,Manitowoc,252638.0,5.0,alkxhztonhbnvqveqgtqtgfvpmfeiilcghcwnllejxpbmafownucou,VA,1-113-873-5730,3.0,,,vekbntlq,Mesa,M,United States of America,Ecxbz
DGIEOVAOK,5.0,O,DGI8742,32.0,XSCNHYHSNCNNHSTKWGMINRXMPLDJMUWBALDPJRTUNHZAIOMXWRGQOUK,425.0,2809593.0,UnitedHealth Group,372907.0,5.0,Jmkkinlbuhazmkoppcyekgmxymyoderyhdbbahrthrssoqkejkrzidozswollspfe,Alberta,1-426-021-1454,2.0,A,,Hueml,Thousand Oaks,U,United States of America,Lpdpmda
Jsrdjsrfqdkvomitakcombblif,2.0,O,Jsr8743,91.0,ggacivmdzibelgyewlrwbmwhfvfnusopczmltcfssdrgtqejvavxipuphuamaazg,342.0,1647811.0,Domtar,59849.0,7.0,sdnfhnsephlcquzbhr,ID,1-807-747-7300,5.0,,,YNVHGERLNPNFYQYUPIROWQKA,London,U,Canada,Znqepkzs
rgwbsvfkembybxmkqtgjkgbvqpcfuz,3.0,O,rgw8744,46.0,,829.0,3454244.0,Zale,360417.0,0.0,Albnwqagiggowqgylmpmrmldrwoawygmezzuf,New Brunswick,1-136-083-7561,5.0,B,,vlwnxoidilgukuxrpkyddm,Columbus,M,United States of America,
Vfsyrmebavbdvin,1.0,O,Vfs8745,55.0,Shnvkdpgqqxvcfshgmvqgphopfnljxonwjanfbsrbemwuobjiqtnkkbefyiwfvjecuyjile,841.0,66981.0,Steelcase,100780.0,2.0,wmdcxmudntowkrqtueszunktyaszijyjcyoebfrlmfnbjadstyxwskkzsiptufsqocnymq,Ontario,1-447-474-4758,4.0,B,,Lcnednsealqecgsgxdddaczcb,Lexington,W,United States of America,yuowoafxapiw
Tuaxtkqjh,4.0,O,Tua8746,28.0,Zqcatonfwibmdipgsmjwwdvrkmsic,795.0,1664718.0,Travelers Cos.,,3.0,mvexpdrafvqqisznaiwqfxyr,VT,1-040-016-2827,1.0,o,f,dqmhvebbyqgrxoa,Ann Arbor,U,United States of America,TNMHPGP
OLUNNEUODEFXNMUFHH,4.0,O,OLU8747,50.0,HIJXARSJBSS,,2956944.0,Windstream,160302.0,10.0,saxzdcukapnywrnwzkdbyqjsoifmvuthzsiheeaw,DC,1-223-807-1417,2.0,,,sbdnwvxkguvevkoox,Tacoma,U,United States of America,UVPTAPG
Irbskhitngqr,0.0,O,Irb8748,32.0,Hnxjwfvikrjeqlyfvpm,374.0,202849.0,UGI,79693.0,8.0,Vvxyohpskxsdgfzkkakgdnvyamspjanmcuaarlvbodlgwwl,AL,1-119-946-1179,0.0,P,f,Tyrbcxfyvgyedispsvbgqnwczg,Sioux Falls,S,United States of America,Wysdrisb
zkczdfavfwhp,5.0,O,zkc8749,93.0,Hlvwojgwmhynwjrzdlatxzrogopjttvfdkepibwybhhqiejsbz,359.0,106692.0,Electronic Arts,218561.0,9.0,Vqmtknjvxnrldxdjudocuhlurzumtjeallsbtlehnabscktngqfkovtwlndkn,AL,1-847-936-3645,4.0,,F,Ecymnygm,Virginia Beach,S,United States of America,
Bjqkn,4.0,O,Bjq8750,1.0,Pvrhmmuhxuppmcc,769.0,2767324.0,Liberty Mutual Insurance Group,195890.0,8.0,Mgvylwtav,MI,1-754-660-6519,3.0,b,m,ujhapppsrvokegjoacknz,Savannah,M,United States of America,LTMWDOQC
HCXTTHLJUVAFJT,3.0,O,HCX8751,73.0,Puunhfkjrwybcnltzaowgugmqnntvpddyiooqxkxinugscvvrgvkhoofgpzsxxxexlagqpbgxnkdry,655.0,615774.0,Chevron,312488.0,8.0,Hgoerumbsaacwdqjvrmgqjnktdqnolo,KS,1-051-107-6178,0.0,,,Aaszdjkk,Irvine,M,United States of America,chdburrwpsmn
NTSLSPKCSEPTJ,1.0,O,NTS8752,39.0,cvtwimmlzysetfkwrzqohakqbcoyepusitotk,,1891656.0,National Semiconductor,100374.0,6.0,gmocjaruqiclzmmdoj,MT,1-374-556-0777,4.0,,,Dvwuwe,Austin,M,United States of America,tomikungnc
Uezasahwxkylbphfvh,,O,Uez8753,15.0,Kyvoujdtbzgfmsrjafpuwoqwafptkhgegubmibxjrkmxlinmfjnxihaql,472.0,1984498.0,Chubb,271957.0,5.0,Dwufnzvtzlroqbd,UT,1-549-388-6080,5.0,,,xlocjbnhusnnuzacvcq,Anchorage,M,United States of America,OXSQQGMIXVFP
rvtoxdout,1.0,R,rvt8754,37.0,Irijebcljlvhdbdikqwnxswgolflshractebilywtparjuxfstxfesrkgyrakhzqfsjxflhxf,526.0,3560532.0,Cummins,454216.0,0.0,ERDKWWWT,MT,1-987-236-1149,0.0,,,GRIAWBJYXPEMOVHGTBVIRVSFOS,Nashville,U,United States of America,ritkotv
yxwtpszfttnf,4.0,R,yxw8755,8.0,yusydvontjnrspgibcuaxllmssvjrwzndkylnqhwackrvpodiszebumgchvquq,,1947868.0,eBay,426250.0,4.0,vqkbnguuarlheteqwcxpoylkmdjizreczrmlmhlhujpvbzldhqmeoit,RI,1-559-422-7871,4.0,,,Xowwauvnvgvj,Fontana,M,United States of America,RMSWFXMLCAZ
Pnihculihotil,5.0,O,Pni8756,64.0,NBJJMRAMGYMIR,776.0,1507966.0,PepsiCo,162425.0,5.0,YIVSXMHYWFENKJESVXABLKWCWAHZFNRBQWMCMNCPFTKEBBFIZGAVLQCFDRTCLG,AK,,2.0,,f,Bestnoldrqa,Boston,M,,Ayhqnrhjmb
Szcapan,5.0,R,Szc8757,20.0,jtjpmsnyfvilflebhakwpnthw,327.0,3120969.0,Patterson-UTI Energy,374423.0,,,SC,1-091-476-8349,2.0,v,,Eoyiinae,Knoxville,M,United States of America,DCKDCKH
