indirizzo2,distretto,telefono,codice_postale,indirizzo_id,indirizzo,città,stato,stato_id,città_id
,Shiga,341242939532.0,46044.0,290,1336 Benin City Drive,Otsu,Japan,50,386
,Oyo & Osun,558236142492.0,22650.0,291,1155 Liaocheng Place,Effon-Alaiye,Nigeria,69,152
,Tamil Nadu,648482415405.0,64221.0,292,1993 Tabuk Lane,Tambaram,India,44,522
,Guanajuato,957128697225.0,33768.0,293,86 Higashiosaka Lane,Valle de Santiago,Mexico,60,563
,Kowloon and New Kowl,172262454487.0,58124.0,294,1912 Allende Manor,Kowloon and New Kowloon,Hong Kong,42,279
,Gurico,892523334.0,53145.0,295,544 Tarsus Boulevard,Valle de la Pascua,Venezuela,104,562
,Virginia,976798660411.0,61195.0,296,1936 Cumaná Avenue,Roanoke,United States,103,433
,Sharja,350970907017.0,19065.0,297,1192 Tongliao Street,Sharja,United Arab Emirates,101,470
,Baskimaa,96604821070.0,61391.0,298,44 Najafabad Way,Donostia-San Sebastián,Spain,87,146
,Ohio,967274728547.0,38834.0,299,32 Pudukkottai Lane,Dayton,United States,103,140
,Pietari,816436065431.0,8856.0,300,661 Chisinau Lane,Kolpino,Russian Federation,80,274
,Punjab,429925609431.0,98573.0,301,951 Stara Zagora Manor,Patiala,India,44,400
,Maharashtra,510737228015.0,4085.0,302,922 Vila Velha Loop,Ahmadnagar,India,44,9
,Pohjois-Pohjanmaa,161643343536.0,40070.0,303,898 Jining Lane,Oulu,Finland,33,387
,Hiroshima,710603868323.0,52137.0,304,1635 Kuwana Boulevard,Hiroshima,Japan,50,205
,Maharashtra,51917807050.0,56883.0,305,41 El Alto Parkway,Parbhani,India,44,398
,Kaliningrad,96110042435.0,68469.0,306,1883 Maikop Lane,Kaliningrad,Russian Federation,80,254
,Liaoning,108053751300.0,58979.0,307,1908 Gaziantep Place,Tiefa,China,23,536
,Sanaa,407218522294.0,57587.0,308,687 Alessandria Parkway,Sanaa,Yemen,107,455
,Callao,504434452842.0,79047.0,309,827 Yuncheng Drive,Callao,Peru,74,99
,Texas,262088367001.0,42141.0,310,913 Coacalco de Berriozábal Loop,Arlington,United States,103,33
,Kedah,181179321332.0,84804.0,311,715 São Bernardo do Campo Lane,Sungai Petani,Malaysia,59,507
,Rio de Janeiro,573441801529.0,80184.0,312,1354 Siegen Street,Angra dos Reis,Brazil,15,25
,Missouri,983259819766.0,9668.0,313,1191 Sungai Petani Boulevard,Kansas City,United States,103,262
,Lombardia,806016930576.0,70923.0,314,1224 Huejutla de Reyes Boulevard,Brescia,Italy,49,91
,Minas Gerais,103602195112.0,59686.0,315,543 Bergamo Avenue,Ibirité,Brazil,15,215
,Kursk,688485191923.0,94878.0,316,746 Joliet Lane,Kursk,Russian Federation,80,286
,Tabuk,824396883951.0,17032.0,317,780 Kimberley Way,Tabuk,Saudi Arabia,82,515
,Hubei,613124286867.0,91400.0,318,1774 Yaoundé Place,Ezhou,China,23,166
,São Paulo,704948322302.0,59255.0,319,1957 Yantai Lane,Sorocaba,Brazil,15,490
,Tel Aviv,508800331065.0,62472.0,320,1542 Lubumbashi Boulevard,Bat Yam,Israel,48,57
,Maharashtra,139378397418.0,59811.0,321,651 Pathankot Loop,Miraj,India,44,336
,Streymoyar,46568045367.0,29763.0,322,1359 Zhoushan Parkway,Tórshavn,Faroe Islands,32,545
,Kujawsko-Pomorskie,556100547674.0,25787.0,323,1769 Iwaki Lane,Bydgoszcz,Poland,76,97
,Mxico,674805712553.0,73170.0,324,1145 Vilnius Manor,San Felipe del Progreso,Mexico,60,451
,Tutuila,478229987054.0,28396.0,325,1892 Nabereznyje Tšelny Lane,Tafuna,American Samoa,3,516
,Central,908029859266.0,97960.0,326,470 Boksburg Street,Birgunj,Nepal,66,81
,Buenos Aires,972574862516.0,85799.0,327,1427 A Coruña (La Coruña) Place,Bahía Blanca,Argentina,6,45
,Morelos,869051782691.0,54949.0,328,479 San Felipe del Progreso Avenue,Cuautla,Mexico,60,130
,Henan,168884817145.0,78543.0,329,867 Benin City Avenue,Yuzhou,China,23,591
,Distrito Federal,829116184079.0,87611.0,330,981 Kumbakonam Place,Brasília,Brazil,15,89
,St George,961370847344.0,49833.0,331,1016 Iwakuni Street,Kingstown,Saint Vincent and the Grenadines,81,269
,Adana,834418779292.0,33463.0,332,663 Bahía Blanca Parkway,Adana,Turkey,97,5
,West Java,38158430589.0,59550.0,333,1860 Taguig Loop,Ciparay,Indonesia,45,119
,Dhaka,965273813662.0,64308.0,334,1816 Bydgoszcz Loop,Jamalpur,Bangladesh,12,234
,Illinois,165450987037.0,91590.0,335,587 Benguela Manor,Aurora,United States,103,42
,Santa Fé,105470691550.0,28814.0,336,430 Kumbakonam Drive,Santa Fé,Argentina,6,457
,Dhaka,38988715447.0,1195.0,337,1838 Tabriz Lane,Dhaka,Bangladesh,12,143
,Baki,119501405123.0,57828.0,338,431 Székesfehérvár Avenue,Baku,Azerbaijan,10,48
,Sumqayit,834626715837.0,49812.0,339,503 Sogamoso Loop,Sumqayit,Azerbaijan,10,505
,Sousse,80303246192.0,22971.0,340,507 Smolensk Loop,Sousse,Tunisia,96,492
,Uttar Pradesh,869507847714.0,15643.0,341,1920 Weifang Avenue,Rampur,India,44,427
,Hiroshima,647899404952.0,52368.0,342,124 al-Manama Way,Onomichi,Japan,50,382
,Western Cape,231383037471.0,31483.0,343,1443 Mardan Street,Paarl,South Africa,85,392
,Henan,624138001031.0,19913.0,344,1909 Benguela Lane,Xinxiang,China,23,581
,Hanoi,870635127812.0,85926.0,345,68 Ponce Parkway,Hanoi,Vietnam,105,201
,Gelderland,718917251754.0,504.0,346,1217 Konotop Avenue,Ede,Netherlands,67,151
,Roraima,697656479977.0,71583.0,347,1293 Nam Dinh Way,Boa Vista,Brazil,15,84
,Baja California,895616862749.0,36170.0,348,785 Vaduz Street,Mexicali,Mexico,60,335
,Tongatapu,64536069371.0,46069.0,349,1516 Escobar Drive,Nuku´alofa,Tonga,95,370
,Central,20064292617.0,60079.0,350,1628 Nagareyama Lane,San Lorenzo,Paraguay,73,453
,Adygea,262744791493.0,56380.0,351,1157 Nyeri Loop,Maikop,Russian Federation,80,320
,Daugavpils,627924259271.0,26857.0,352,1673 Tangail Drive,Daugavpils,Latvia,54,137
,Taipei,55477302294.0,87272.0,353,381 Kabul Way,Hsichuh,Taiwan,92,209
,Southern Tagalog,53912826864.0,18841.0,354,953 Hodeida Street,Imus,Philippines,75,221
,Tuvassia,689199636560.0,58866.0,355,469 Nakhon Sawan Street,Tšeboksary,Russian Federation,80,531
,Krasnojarsk,840957664136.0,40792.0,356,1378 Beira Loop,Zeleznogorsk,Russian Federation,80,597
,Nord-Ouest,256546485220.0,37636.0,357,1641 Changhwa Place,Bamenda,Cameroon,19,52
,Hidalgo,754358349853.0,49009.0,358,1698 Southport Loop,Pachuca de Soto,Mexico,60,393
,São Paulo,764680915323.0,37650.0,359,519 Nyeri Manor,Santo André,Brazil,15,461
,Shimane,142596392389.0,81508.0,360,619 Huánuco Avenue,Matsue,Japan,50,331
,Madhya Pradesh,650496654258.0,7431.0,361,45 Aparecida de Goiânia Place,Satna,India,44,464
,Bratislava,738968474939.0,97056.0,362,482 Kowloon and New Kowloon Manor,Bratislava,Slovakia,84,90
,Jharkhand,620719383725.0,5373.0,363,604 Bern Place,Ranchi,India,44,429
,Buenos Aires,296394569728.0,91299.0,364,1623 Kingstown Drive,Almirante Brown,Argentina,6,20
,Arecibo,102396298916.0,64875.0,365,1009 Zanzibar Lane,Arecibo,Puerto Rico,77,32
,Centre,845378657301.0,60440.0,366,114 Jalib al-Shuyukh Manor,Yaoundé,Cameroon,19,585
,Par,675120358494.0,6066.0,367,1163 London Parkway,Belém,Brazil,15,66
,Central,568367775448.0,96584.0,368,1658 Jastrzebie-Zdrój Loop,Nyeri,Kenya,52,372
,Jalisco,151249681135.0,77449.0,369,817 Laredo Avenue,Guadalajara,Mexico,60,188
,Okinawa,634445428822.0,45750.0,370,1565 Tangail Manor,Okinawa,Japan,50,377
,Balikesir,99883471275.0,33050.0,371,1912 Emeishan Drive,Balikesir,Turkey,97,50
,Andhra Pradesh,166898395731.0,2738.0,372,230 Urawa Drive,Adoni,India,44,8
,Esfahan,320471479776.0,13203.0,373,1922 Miraj Way,Najafabad,Iran,46,356
,Chihuahua,561729882725.0,91330.0,374,433 Florencia Street,Juárez,Mexico,60,250
,Karnataka,960505250340.0,69640.0,375,1049 Matamoros Parkway,Gulbarga,India,44,191
,Southern Tagalog,333390595558.0,57810.0,376,1061 Ede Avenue,Cabuyao,Philippines,75,98
,East Java,440365973660.0,72771.0,377,154 Oshawa Manor,Probolinggo,Indonesia,45,415
,Southern Tagalog,45554316010.0,6362.0,378,1191 Tandil Drive,Tanauan,Philippines,75,523
,Pernambuco,600264533987.0,2800.0,379,1133 Rizhao Avenue,Vitória de Santo Antão,Brazil,15,572
,East Kasai,409315295763.0,22025.0,380,1519 Santiago de los Caballeros Loop,Mwene-Ditu,"Congo, The Democratic Republic of the",25,348
,Kurgan,96846695220.0,26385.0,381,1618 Olomouc Manor,Kurgan,Russian Federation,80,285
,Kermanshah,342720754566.0,45298.0,382,220 Hidalgo Drive,Kermanshah,Iran,46,265
,Guangdong,71857599858.0,97390.0,383,686 Donostia-San Sebastián Lane,Shenzhen,China,23,471
,Gujarat,924815207181.0,89294.0,384,97 Mogiljov Lane,Bhavnagar,India,44,73
,Slaskie,821476736117.0,75442.0,385,1642 Charlotte Amalie Drive,Tychy,Poland,76,549
,,934352415130.0,32716.0,386,1368 Maracaíbo Boulevard,South Hill,Anguilla,5,493
,New Hampshire,486395999608.0,25007.0,387,401 Sucre Boulevard,Manchester,United States,103,322
,Namibe,106439158941.0,17165.0,388,368 Huánuco Boulevard,Namibe,Angola,4,360
,Ji´angsu,550306965159.0,95509.0,389,500 Lincoln Parkway,Huai´an,China,23,210
,Ibaragi,776031833752.0,14073.0,390,102 Chapra Drive,Tama,Japan,50,521
,Hmelnytskyi,619966287415.0,33535.0,391,1793 Meixian Place,Kamjanets-Podilskyi,Ukraine,100,258
,Shaba,900235712074.0,69973.0,392,514 Ife Way,Lubumbashi,"Congo, The Democratic Republic of the",25,315
,Southern Tagalog,426255288071.0,21615.0,393,717 Changzhou Lane,Cavite,Philippines,75,104
,Sichuan,464511145118.0,3656.0,394,753 Ilorin Avenue,Emeishan,China,23,157
,Nakhon Sawan,175283210378.0,29810.0,395,1337 Mit Ghamr Avenue,Nakhon Sawan,Thailand,94,358
,Osaka,667736124769.0,83536.0,396,767 Pyongyang Drive,Izumisano,Japan,50,229
,Addis Abeba,47808359842.0,27796.0,397,614 Pak Kret Street,Addis Abeba,Ethiopia,31,6
,Moskova,737229003916.0,8816.0,398,954 Lapu-Lapu Way,Korolev,Russian Federation,80,278
,Asturia,537374465982.0,966.0,399,331 Bydgoszcz Parkway,Gijón,Spain,87,181
,al-Qadarif,765957414528.0,5239.0,400,1152 Citrus Heights Manor,al-Qadarif,Sudan,89,15
,Saitama,679095087143.0,73824.0,401,168 Cianjur Manor,Iwatsuki,Japan,50,228
,Krasnojarsk,604177838256.0,46043.0,402,616 Hagonoy Avenue,Atšinsk,Russian Federation,80,39
,Rio Grande do Sul,841876514789.0,10417.0,403,1190 0 Place,Bagé,Brazil,15,44
,Punjab,280578750435.0,30586.0,404,734 Béchar Place,Okara,Pakistan,72,375
,Texas,775235029633.0,11067.0,405,530 Lausanne Lane,Dallas,United States,103,135
,Fukushima,794553031307.0,13496.0,406,454 Patiala Lane,Koriyama,Japan,50,276
,Bretagne,516647474029.0,61507.0,407,1346 Mysore Drive,Brest,France,34,92
,Tamil Nadu,206169448769.0,79940.0,408,990 Etawah Loop,Valparai,India,44,564
,Saitama,1483365694.0,7664.0,409,1266 Laredo Parkway,Omiya,Japan,50,380
,Buenos Aires,779461480495.0,86868.0,410,88 Nagaon Manor,Tandil,Argentina,6,524
,St Thomas,302526949177.0,54749.0,411,264 Bhimavaram Manor,Charlotte Amalie,"Virgin Islands, U.S.",106,111
,North West,328494873422.0,9827.0,412,1639 Saarbrücken Drive,Rustenburg,South Africa,85,437
,Northern,359478883004.0,35575.0,413,692 Amroha Drive,Jaffna,Sri Lanka,88,230
,Bauchi & Gombe,653436985797.0,7122.0,414,1936 Lapu-Lapu Parkway,Deba Habe,Nigeria,69,141
,Ontario,615964523510.0,65630.0,415,432 Garden Grove Street,Richmond Hill,Canada,20,430
,West Java,598912394463.0,70809.0,416,1445 Carmen Parkway,Cianjur,Indonesia,45,117
,Punjab,129953030512.0,40509.0,417,791 Salinas Street,Hoshiarpur,India,44,208
,West Bengali,480039662421.0,58888.0,418,126 Acuña Parkway,Berhampore (Baharampur),India,44,71
,Guanajuato,680851640676.0,55566.0,419,397 Sunnyvale Avenue,Allende,Mexico,60,19
,Utrecht,855290087237.0,33711.0,420,992 Klerksdorp Loop,Amersfoort,Netherlands,67,23
,Sind,15273765306.0,94018.0,421,966 Arecibo Loop,Dadu,Pakistan,72,134
,al-Sharqiya,214976066017.0,72410.0,422,289 Santo André Manor,al-Qatif,Saudi Arabia,82,16
,Puerto Plata,491271355190.0,59489.0,423,437 Chungho Drive,San Felipe de Puerto Plata,Dominican Republic,27,450
,Bihar,987306329957.0,60622.0,424,1948 Bayugan Parkway,Katihar,India,44,264
,California,546793516940.0,89420.0,425,1866 al-Qatif Avenue,El Monte,United States,103,155
,Tamil Nadu,270456873752.0,14400.0,426,1661 Abha Drive,Pudukkottai,India,44,416
,Hubei,368284120423.0,46875.0,427,1557 Cape Coral Parkway,Laohekou,China,23,293
,Sawhaj,129673677866.0,78813.0,428,1727 Matamoros Place,Sawhaj,Egypt,29,465
,Guangdong,736517327853.0,47394.0,429,1269 Botosani Manor,Shanwei,China,23,468
,Oaxaca,548003849552.0,81758.0,430,355 Vitória de Santo Antão Way,San Juan Bautista Tuxtepec,Mexico,60,452
,Jharkhand,157133457169.0,70425.0,431,1596 Acuña Parkway,Purnea (Purnia),India,44,418
,São Paulo,419009857119.0,64964.0,432,259 Ipoh Drive,Guarujá,Brazil,15,189
,Komi,307133768620.0,33191.0,433,1823 Hoshiarpur Lane,Syktyvkar,Russian Federation,80,510
,Okayama,572068624538.0,87212.0,434,1404 Taguig Drive,Tsuyama,Japan,50,547
,Nizni Novgorod,497288595103.0,33505.0,435,740 Udaipur Lane,Dzerzinsk,Russian Federation,80,150
,Chuquisaca,82619513349.0,72736.0,436,287 Cuautla Boulevard,Sucre,Bolivia,14,501
,KwaZulu-Natal,617567598243.0,63104.0,437,1766 Almirante Brown Street,Newcastle,South Africa,85,364
,Nampula,342709348083.0,65892.0,438,596 Huixquilucan Place,Naçala-Porto,Mozambique,63,351
,Northern Mindanao,959834530529.0,41775.0,439,1351 Aparecida de Goiânia Parkway,Ozamis,Philippines,75,391
,Shandong,746251338300.0,90920.0,440,722 Bradford Lane,Junan,China,23,249
,British Colombia,145720452260.0,47472.0,441,983 Santa Fé Way,Vancouver,Canada,20,565
,La Romana,331888642162.0,40926.0,442,1245 Ibirité Way,La Romana,Dominican Republic,27,290
,Copperbelt,689681677428.0,55405.0,443,1836 Korla Parkway,Kitwe,Zambia,109,272
,Lombardia,575081026569.0,57833.0,444,231 Kaliningrad Place,Bergamo,Italy,49,70
,Maharashtra,82088937724.0,3.0,445,495 Bhimavaram Lane,Dhule (Dhulia),India,44,144
,Batna,406784385440.0,52625.0,446,1924 Shimonoseki Drive,Batna,Algeria,2,59
,Inner Mongolia,240776414296.0,48570.0,447,105 Dzerzinsk Manor,Tongliao,China,23,540
,Rio Grande do Sul,876491807547.0,29444.0,448,614 Denizli Parkway,São Leopoldo,Brazil,15,486
,Tartumaa,237368926031.0,88306.0,449,1289 Belém Boulevard,Tartu,Estonia,30,530
,Buenos Aires,411549550611.0,73942.0,450,203 Tambaram Street,Escobar,Argentina,6,161
,West Bengali,39463554936.0,2834.0,451,1704 Tambaram Manor,Uluberia,India,44,554
,Tatarstan,782900030287.0,52671.0,452,207 Cuernavaca Loop,Nabereznyje Tšelny,Russian Federation,80,352
,Baijeri,72524459905.0,99552.0,453,319 Springs Loop,Erlangen,Germany,38,160
,Kerman,474047727727.0,21872.0,454,956 Nam Dinh Manor,Sirjan,Iran,46,481
,Central Java,834061016202.0,23636.0,455,1947 Paarl Way,Surakarta,Indonesia,45,509
,Sinaloa,524567129902.0,48745.0,456,814 Simferopol Loop,El Fuerte,Mexico,60,154
,Abu Dhabi,985109775584.0,41136.0,457,535 Ahmadnagar Manor,Abu Dhabi,United Arab Emirates,101,3
,Zulia,974433019532.0,16790.0,458,138 Caracas Boulevard,Maracaíbo,Venezuela,104,326
,Michoacn de Ocampo,118011831565.0,16119.0,459,251 Florencia Drive,Uruapan,Mexico,60,556
,La Paz,205524798287.0,28587.0,460,659 Gatineau Boulevard,El Alto,Bolivia,14,153
,Ziguinchor,670370974122.0,75559.0,461,1889 Valparai Way,Ziguinchor,Senegal,83,600
,Illinois,924663855568.0,83183.0,462,1485 Bratislava Place,Rockford,United States,103,435
,Central Java,335052544020.0,64709.0,463,935 Aden Boulevard,Tegal,Indonesia,45,532
,Esfahan,762361821578.0,23343.0,464,76 Kermanshah Manor,Qomsheh,Iran,46,423
,Caquet,366776723320.0,70664.0,465,734 Tanshui Avenue,Florencia,Colombia,24,170
,Northern Mindanao,325526730021.0,10447.0,466,118 Jaffna Loop,Gingoog,Philippines,75,182
,Irkutsk,209342540247.0,22173.0,467,1621 Tongliao Avenue,Usolje-Sibirskoje,Russian Federation,80,558
,Nova Scotia,164414772677.0,84461.0,468,1844 Usak Avenue,Halifax,Canada,20,196
,OHiggins,928809465153.0,7939.0,469,1872 Toulon Loop,Rancagua,Chile,22,428
,Jalisco,49084281333.0,88502.0,470,1088 Ibirité Place,Zapopan,Mexico,60,595
,Shandong,268053970382.0,95400.0,471,1322 Mosul Parkway,Dongying,China,23,145
,Chihuahua,769370126331.0,41545.0,472,1447 Chatsworth Place,Cuauhtémoc,Mexico,60,129
,Karnataka,195337700615.0,33599.0,473,1257 Guadalajara Street,Bijapur,India,44,78
,Galicia,622884741180.0,95835.0,474,1469 Plock Lane,Ourense (Orense),Spain,87,388
,Hodeida,562370137426.0,14122.0,475,434 Ourense (Orense) Manor,Hodeida,Yemen,107,206
,Gauteng,248446668735.0,9668.0,476,270 Tambaram Parkway,Johannesburg,South Africa,85,244
,Nam Ha,206060652238.0,66546.0,477,1786 Salinas Place,Nam Dinh,Vietnam,105,359
,Aceh,932992626595.0,69221.0,478,1078 Stara Zagora Drive,Lhokseumawe,Indonesia,45,301
,Drenthe,131912793873.0,42123.0,479,1854 Okara Boulevard,Emmen,Netherlands,67,158
,Sumy,726875628268.0,11363.0,480,421 Yaoundé Street,Šostka,Ukraine,100,385
,Québec,856872225376.0,20336.0,481,1153 Allende Way,Gatineau,Canada,20,179
,England,553452430707.0,41060.0,482,808 Naçala-Porto Parkway,Stockport,United Kingdom,102,500
,Ha Darom,667648979883.0,73085.0,483,632 Usolje-Sibirskoje Parkway,Ashqelon,Israel,48,36
,Ohio,191958435142.0,88749.0,484,98 Pyongyang Boulevard,Akron,United States,103,11
,Gaziantep,435118527255.0,28165.0,485,984 Novotšerkassk Loop,Gaziantep,Turkey,97,180
,Mwanza,510383179153.0,25145.0,486,64 Korla Street,Mwanza,Tanzania,93,347
,Veracruz,684529463244.0,71182.0,487,1785 São Bernardo do Campo Street,Coatzacoalcos,Mexico,60,125
,Denizli,975185523021.0,2596.0,488,698 Jelets Boulevard,Denizli,Turkey,97,142
,Ningxia,508348602835.0,11839.0,489,1297 Alvorada Parkway,Yinchuan,China,23,587
,Guangdong,702955450528.0,88513.0,490,1909 Dayton Avenue,Shaoguan,China,23,469
,Coahuila de Zaragoza,936806643983.0,8268.0,491,1789 Saint-Denis Parkway,Acuña,Mexico,60,4
,Stavropol,589377568313.0,23661.0,492,185 Mannheim Lane,Pjatigorsk,Russian Federation,80,408
,Baja California Sur,488425406814.0,94239.0,493,184 Mandaluyong Street,La Paz,Mexico,60,288
,Okayama,37247325001.0,46400.0,494,591 Sungai Petani Drive,Okayama,Japan,50,376
,Boyac,17305839123.0,19489.0,495,656 Matamoros Drive,Sogamoso,Colombia,24,487
,al-Daqahliya,171973024401.0,22358.0,496,775 Šostka Drive,Mit Ghamr,Egypt,29,337
,West Bengali,158399646978.0,96203.0,497,1013 Tabuk Boulevard,Kanchrapara,India,44,261
,Istanbul,854259976812.0,26101.0,498,319 Plock Parkway,Sultanbeyli,Turkey,97,504
,Chimborazo,898559280434.0,63667.0,499,1954 Kowloon and New Kowloon Way,Ríobamba,Ecuador,28,434
,Gansu,962020153680.0,98030.0,500,362 Rajkot Lane,Baiyin,China,23,47
,Shandong,211256301880.0,72349.0,501,1060 Tandil Lane,Rizhao,China,23,432
,England,959467760895.0,57197.0,502,1515 Korla Way,York,United Kingdom,102,589
,Zufar,144206758053.0,50592.0,503,1416 San Juan Bautista Tuxtepec Avenue,Salala,Oman,71,444
,Apulia,465897838272.0,86208.0,504,1 Valle de Santiago Avenue,Brindisi,Italy,49,93
,East Java,793996678771.0,69504.0,505,519 Brescia Parkway,Madiun,Indonesia,45,318
,Lubelskie,52709222667.0,16370.0,506,414 Mandaluyong Street,Lublin,Poland,76,314
,West Bengali,868602816371.0,87687.0,507,1197 Sokoto Boulevard,Siliguri (Shiliguri),India,44,478
,Nagano,759586584889.0,90797.0,508,496 Celaya Drive,Ueda,Japan,50,552
,Illinois,111177206479.0,37469.0,509,786 Matsue Way,Joliet,United States,103,245
,Central Luzon,82671830126.0,1570.0,510,48 Maracaíbo Place,Talavera,Philippines,75,519
,Kalimantan Barat,131370665218.0,44816.0,511,1152 al-Qatif Lane,Pontianak,Indonesia,45,412
,Eskisehir,402630109080.0,54674.0,512,1269 Ipoh Avenue,Eskisehir,Turkey,97,163
,Andhra Pradesh,441628280920.0,75474.0,513,758 Korolev Parkway,Vijayawada,India,44,568
,Bihar,442673923363.0,51369.0,514,1747 Rustenburg Place,Chapra,India,44,110
,Volgograd,711928348157.0,19450.0,515,886 Tonghae Place,Kamyšin,Russian Federation,80,259
,Heilongjiang,59634255214.0,39529.0,516,1574 Goiânia Boulevard,Suihua,China,23,502
,Ontario,879347453467.0,35653.0,517,548 Uruapan Street,London,United Kingdom,102,312
,,282667506728.0,65952.0,519,962 Tama Loop,Yangor,Nauru,65,583
,Hubei,288910576761.0,35156.0,520,1778 Gijón Manor,Zaoyang,China,23,594
,Coquimbo,602101369463.0,92568.0,521,568 Dhule (Dhulia) Loop,Coquimbo,Chile,22,127
,Battambang,448876499197.0,32347.0,522,1768 Udine Loop,Battambang,Cambodia,18,60
,Taipei,627425618482.0,400.0,523,608 Birgunj Parkway,Chungho,Taiwan,92,116
,Sivas,158326114853.0,49806.0,524,680 A Coruña (La Coruña) Manor,Sivas,Turkey,97,482
,Gumma,132100972047.0,61244.0,525,1949 Sanya Street,Isesaki,Japan,50,224
,Khanh Hoa,574973479129.0,94707.0,526,617 Klerksdorp Place,Nha Trang,Vietnam,105,366
,Liaoning,25865528181.0,41214.0,527,1993 0 Loop,Yingkou,China,23,588
,Southern Tagalog,236679267178.0,81651.0,528,1176 Southend-on-Sea Manor,Santa Rosa,Philippines,75,458
,Nghe An,638409958875.0,18043.0,529,600 Purnea (Purnia) Avenue,Vinh,Vietnam,105,571
,West Java,35533115997.0,25972.0,530,1003 Qinhuangdao Street,Purwakarta,Indonesia,45,419
,Friuli-Venezia Giuli,182059202712.0,95775.0,531,1986 Sivas Place,Udine,Italy,49,551
,Florida,214756839122.0,31342.0,532,1427 Tabuk Place,Cape Coral,United States,103,101
,Mogiljov,338244023543.0,35364.0,533,556 Asunción Way,Mogiljov,Belarus,13,339
,Benguela,105882218332.0,35202.0,534,486 Ondo Parkway,Benguela,Angola,4,67
,Andhra Pradesh,80593242951.0,40899.0,535,635 Brest Manor,Bhimavaram,India,44,75
,Buenos Aires,717566026669.0,86760.0,536,166 Jinchang Street,Ezeiza,Argentina,6,165
,Mie,427274926505.0,88408.0,537,958 Sagamihara Lane,Kuwana,Japan,50,287
,Khanh Hoa,478380208348.0,79401.0,538,1817 Livorno Way,Cam Ranh,Vietnam,105,100
,Shandong,383353187467.0,22813.0,539,1332 Gaziantep Lane,Binzhou,China,23,80
,Uttar Pradesh,122981120653.0,67521.0,540,949 Allende Lane,Amroha,India,44,24
,Chari-Baguirmi,8912935608.0,49250.0,541,195 Ilorin Street,NDjamna,Chad,21,363
,Kang-won,745267607502.0,9750.0,542,193 Bhusawal Place,Tonghae,South Korea,86,539
,Colorado,484500282381.0,79814.0,543,43 Vilnius Manor,Aurora,United States,103,42
,Jilin,488600270038.0,69953.0,544,183 Haiphong Street,Baicheng,China,23,46
,Carabobo,754579047924.0,33030.0,545,163 Augusta-Richmond County Loop,Valencia,Venezuela,104,561
,Ruse,932156667696.0,13629.0,546,191 José Azueta Parkway,Ruse,Bulgaria,17,436
,Toscana,921960450089.0,74568.0,547,379 Lublin Parkway,Livorno,Italy,49,309
,Sumatera Selatan,784907335610.0,51309.0,548,1658 Cumaná Loop,Pangkal Pinang,Indonesia,45,396
,Tadla-Azilal,786270036240.0,25866.0,549,454 Qinhuangdao Drive,Beni-Mellal,Morocco,62,68
,São Paulo,169352919175.0,55676.0,550,1715 Okayama Street,São Bernardo do Campo,Brazil,15,485
,Sumy,426346224043.0,15414.0,551,182 Nuku´alofa Drive,Konotop,Ukraine,100,275
,Hainan,357593328658.0,5753.0,552,390 Wroclaw Way,Sanya,China,23,462
,Ishikawa,135407755975.0,19151.0,553,1421 Quilmes Lane,Kanazawa,Japan,50,260
,Central Luzon,50898428626.0,841.0,554,947 Tórshavn Place,Tarlac,Philippines,75,528
,Galicia,84794532510.0,77642.0,555,1764 Jalib al-Shuyukh Parkway,Santiago de Compostela,Spain,87,459
,Zhejiang,978430786151.0,39976.0,556,346 Cam Ranh Avenue,Zhoushan,China,23,599
,Rio Grande do Sul,380077794770.0,26284.0,557,1407 Pachuca de Soto Place,Alvorada,Brazil,15,21
,Zhejiang,955349440539.0,52234.0,558,904 Clarksville Drive,Haining,China,23,193
,Vojvodina,698182547686.0,11892.0,559,1917 Kumbakonam Parkway,Novi Sad,Yugoslavia,108,368
,Gujarat,62127829280.0,12905.0,560,1447 Imus Place,Rajkot,India,44,426
,KwaZulu-Natal,368738360376.0,63022.0,561,1497 Fengshan Drive,Chatsworth,South Africa,85,112
,England,590764256785.0,57380.0,562,869 Shikarpur Way,Southport,United Kingdom,102,496
,Vilna,107092893983.0,47498.0,563,1059 Yuncheng Avenue,Vilnius,Lithuania,56,570
,Dolnoslaskie,970638808606.0,97271.0,564,505 Madiun Boulevard,Wroclaw,Poland,76,577
,al-Sharqiya,855066328617.0,22372.0,565,1741 Hoshiarpur Boulevard,Bilbays,Egypt,29,79
,Buenos Aires,817740355461.0,40195.0,566,1229 Varanasi (Benares) Manor,Avellaneda,Argentina,6,43
,Texas,239357986667.0,77464.0,567,1894 Boa Vista Way,Garland,United States,103,178
,Sokoto & Kebbi & Zam,946114054231.0,93655.0,568,1342 Sharja Way,Sokoto,Nigeria,69,488
,Bukarest,997453607116.0,10714.0,569,1342 Abha Boulevard,Bucuresti,Romania,78,95
,Shandong,203202500108.0,44274.0,570,415 Pune Avenue,Xintai,China,23,580
,Huánuco,863080561151.0,32515.0,571,1746 Faaa Way,Huánuco,Peru,74,214
,Tokat,525518075499.0,52196.0,572,539 Hami Way,Tokat,Turkey,97,538
,Moskova,324346485054.0,33224.0,573,1407 Surakarta Manor,Serpuhov,Russian Federation,80,466
,Anzotegui,618156722572.0,15992.0,574,502 Mandi Bahauddin Parkway,Barcelona,Venezuela,104,55
