AgID,St,NuCh,OwOReFl,Inc,PoC,Co,AdL2,MiIni,AddrL1,MarSt,NumC,NWor,LN,Em,Ph,A,CreRat,NumCreCar
umw9657,KY,5.0,R,102698.0,Jcqqdasnbq,United States of America,Wgmrapwgjoc,I,Pzvblkxzz,M,4.0,,umwdecwnvkvah,Genzyme,1-590-018-4997,30.0,779.0,0.0
tjj9658,SD,0.0,O,314955.0,pguikuweayns,United States of America,Xoxveuemycwwxhallcnuapboulwzvgnopciaccmy,,FHUGDBGVHQLKULGGFDPGFELRNJDPR,D,2.0,2886757.0,tjjqhcketlab,,1-491-191-5968,15.0,452.0,9.0
zzq9659,DC,0.0,O,,TMIXPFYVKGE,United States of America,GNKDWSAOGSXNPPAOKECAWFZZDJOEHKPZUOLBIGPNRLRLQNFEWBGQ,p,Oidhmmumqpuemabvdjxpihgxgeqcrrvtlaml,D,2.0,1681142.0,zzqercahynbbydkndayjctbmwhmiwq,Ralcorp Holdings,1-586-119-8258,70.0,673.0,6.0
Fuj9660,Prince Edward Island,5.0,,,Kefgng,United States of America,gjfyemuiyvunciczbseowfsqwbplw,E,tsnpdvrnwho,S,4.0,,Fujxwq,Marriott International,1-933-513-8421,52.0,418.0,1.0
xwr9661,New Brunswick,4.0,O,35214.0,XLOFUJVHVG,United States of America,Rlhtdbsjltjhxndfpusedjzbxchqwvkrozgsedmxbsayevsqvaijxdddkogneptmm,,Ddmqwhytsdfo,S,0.0,1578917.0,xwrcsyvuiycalqmpxrodiqz,Devon Energy,1-082-095-9779,49.0,453.0,1.0
Qqv9662,AZ,2.0,U,419445.0,Tuakxjjdmyq,United States of America,Cazftyvbjjuswioxce,,,S,5.0,2209812.0,Qqvugrcnukigvyd,Hess,1-848-087-7400,35.0,347.0,8.0
lmh9663,DC,3.0,O,306590.0,BRYIFZZI,Canada,BMJBJGWSOTIQDZJPRRREODSSQUFULZBPPEVPKGUKRAVCRKXQNTMYOFKZSAJJARSODEUZHUSNGWD,,Nadwnovydxlptxlcs,D,1.0,2741874.0,lmhqlxamjdkdfnbaqxpixzrs,Cardinal Health,1-267-122-8885,51.0,652.0,8.0
aoy9664,TN,5.0,O,238125.0,UESWAUAVSD,,MQIUXKJMYRUEBAFJHLDAHMNCKUNBBAJFQROMXNVBKME,c,JVCZTMCWSKSZOWBHIKEJSPYTORSSSZHTCV,S,5.0,3568994.0,aoywumesvcflcbdasxppsqxsbunrwb,IDT,1-483-408-3124,89.0,315.0,
Rqd9665,OH,5.0,O,261835.0,dcvamdzj,United States of America,inlhxjyshouosxrweoahbjtndxxcmtofauywjpdo,,Sqtuhhllecdmkzhhsltxuopcfjfwonaypqyhsjtmtt,S,4.0,2346784.0,Rqdivrhznoezcw,Sauer-Danfoss,1-968-859-9429,41.0,459.0,7.0
Dqw9666,Alberta,0.0,O,497692.0,Qcdyewmngkxa,United States of America,Cmtfjhxazegmmbvtubsqtdpqhlcwiqriwedknfkylhrdmwqccjvlrfjgzrtaxqsdfjkpkbd,,OSQTIJOMCMPBEEHJZNDSMLUQADPYJQOSVTOZEFTGILUDIQXZA,U,3.0,1898220.0,Dqwdkkbrbmhriaoseyofjwizj,Micron Technology,1-745-910-7040,67.0,725.0,2.0
Dgn9667,NV,0.0,O,88112.0,wuskbqszeb,United States of America,zmpvticxajhuftrllcvxepdcnqmzgeoparwfzx,,WWZPPTLQFTESGQ,U,1.0,2203625.0,Dgnbzrqfsncvsbpgpgeuju,General Cable,1-899-093-9739,93.0,447.0,3.0
aoq9668,KS,1.0,O,104437.0,Fbnoo,United States of America,MXULIDLHNRGRPZVRGCIMXHJBLQUHKTHWXPCEYXFVI,f,Chjxrujupnfkncigpbmcywjkzyoq,M,,52183.0,aoqbwlqnbrulcjliaqcxm,"Toys ""R"" Us",1-541-695-3852,65.0,,6.0
Sad9669,SC,4.0,O,,Immphapz,United States of America,VBSTXOQFXBLNZWOSZJUQTOVOGNKPJWFXOILCDFJBPYEDVOBUKWUCNXMEARJL,,,M,5.0,239989.0,Sadlkcbatgxumizwgt,Thor Industries,1-007-280-8774,56.0,792.0,4.0
Ado9670,CT,3.0,R,,Coqnelttwkq,United States of America,rhceudgltdkwzkventbozcwkibdwdepslvfjlyxwvyysspfkxakgmqawwhnnbgfsiafsodjz,A,Vrhzatsidclblopzesmcjtgvpzucrhxqdqhiwgpibdgj,M,2.0,2767366.0,Adorixruifipw,Dell,1-413-101-7772,90.0,621.0,3.0
Vmi9671,ID,1.0,O,341013.0,YJGAXIBDGIF,United States of America,FTCUZXMWUHVJTPKGFKXSDXAP,k,Mcfloylpncgezyarkxazhpzbzvohgmslmvkyiion,S,5.0,2497914.0,Vmiuddoaetmomzzvdzxsad,Bucyrus International,1-591-593-2209,18.0,658.0,2.0
Hnj9672,SC,1.0,O,485066.0,huceedxenkvb,Canada,YDJZBRMXZIIJREF,j,iyharocbthpk,S,,2766304.0,Hnjmwjokuofbslwy,Community Health Systems,1-720-657-9962,42.0,584.0,9.0
dei9673,TX,0.0,O,75434.0,EWAIYYFNO,,ttlyjighwxjjsdsmukexerluvnsobva,J,Rxobtjvropvgqomehvhrqapchbshyvhrvqtroioluaruajdqrjk,M,1.0,,deiqwrtjzqgdiflymnmodm,Adobe Systems,1-519-930-3145,47.0,678.0,5.0
XWZ9674,OH,3.0,O,414049.0,Hfepjdkbxtsu,Canada,Qxojh,p,Vdvwkbvrujwktcnpozgjekxcpdkqwxsxkpezteedgsexfeclyjurwttm,M,5.0,842909.0,XWZAINO,Sonic Automotive,1-308-247-8605,4.0,363.0,9.0
orz9675,British Columbia,5.0,O,428708.0,Wwfytjgb,United States of America,Fytvnjeojcnsfjmbxlrqvhjrtvyncdgmakglwlbicmvsxgyoaz,,Virwbwjrnohycqnqgovdfsdphlxxnqbeneiupgwvcgaahakuobvplmqeh,M,5.0,1984905.0,orzilxccetwnyyniiqypcqtw,KB Home,1-055-588-7882,24.0,735.0,0.0
aup9676,British Columbia,,O,39844.0,Owwjdhdjalao,United States of America,Hhmlqgwfcqxpirs,,IENCJDBLRAAUMLC,M,2.0,,auploanpdwrmoziljakqidolazxs,United Refining,1-958-444-3864,0.0,478.0,6.0
yfc9677,NJ,3.0,O,478282.0,vmfxlubyh,,zddkaspfsraemotchcjnzjzguqzbpdgezabjzaacqiznokwjowbyozbojsaiuuoytbe,,lxqnxkrkh,S,5.0,1768786.0,yfcwjaapnmxcokqclumtxwfhhqps,TECO Energy,1-571-946-4731,75.0,601.0,1.0
Gmm9678,IA,2.0,R,398282.0,Dybsohghvv,Canada,Cawkbziwteifyvlotsxhvqhrdqsacppnsihkyfabrdloypdhdfvgxtsohdlfvocmmczcteqnnp,,Gudlptbdjsxqnekngcdutxvqisxerztxedmazjkkjlciphansqwoheqiossztlumbitckmem,U,4.0,1753547.0,Gmmlwwlsgo,Rockwell Automation,1-274-031-4367,86.0,360.0,2.0
Fax9679,VT,2.0,R,118446.0,VTEGEGX,United States of America,,D,guexuyewomivukp,S,1.0,1629815.0,Faxlpklcazejwacnjypabte,Allstate,1-013-497-5463,63.0,344.0,9.0
Rjb9680,WA,5.0,R,81725.0,Fdwsbajlddtl,United States of America,PWLJTONKSFPJPKMWXKKLCXUNEC,M,Cbslaopdrfxpdehicvm,M,1.0,475073.0,Rjbcis,BB&T Corp.,1-339-574-0564,85.0,491.0,1.0
MQE9681,KS,3.0,O,351317.0,Btyepvnn,United States of America,pfjbdbfegsxvgjzgwcttedfnlanytthbdlqqnolxzfhbdmtjniodpwfqwocoqwju,,Alszbfuucozscrfcxuavokuizaofkfvvggvmtrykszvr,U,3.0,778154.0,MQEMC,Health Net,1-036-625-3420,36.0,747.0,3.0
Jxc9682,ME,1.0,O,389550.0,VGMEFCJQI,Canada,Niiemsgqsztpkhoctmeupknuqdxvgvuzzls,P,EMGPPNCSDAPUPHMBRTHZLWIOAXUTHIBMZYSFPNZGJYXLKMWTIFRRTDBJSXAM,M,0.0,2754129.0,Jxclbgnpnwxifgku,Jacobs Engineering Group,1-689-457-5027,,365.0,
Mzk9683,GA,4.0,O,327758.0,Fzhjd,Canada,Rlngxdppwajnljewscj,A,Jvlooqpnvwsrmpeohmyhesjjmbrdxrrnxbvzuduxxcpnfkldlwrreiqsxhtlgcwmfthbsuab,M,2.0,856092.0,Mzkopwrbky,Thomas & Betts,1-104-467-5384,71.0,644.0,7.0
Vpr9684,TX,5.0,O,473327.0,Owmcxwrqim,United States of America,DHFMABKBVHJSXAXOSXQZBWEJMPJKYAXIXNUHTXIZUOIYDJRZWZRTGNQOOGRIQHDFSKI,U,Aitqdlprfkarfhuipmsjjpnbvjpfzjadadhwnoaexrcwegtoairukwevppz,M,0.0,3946401.0,Vprew,Hershey,1-939-928-9518,83.0,667.0,0.0
ter9685,KS,2.0,O,78196.0,Dumtemhcqw,United States of America,Vyhez,,Yzbshrkfprewjifcmouyqbrgpmhxuoffuqynyfltssbfabkfpcvqihjdcanowmanpermxmhfkmnpnf,S,0.0,1772756.0,tercwg,Peter Kiewit Sons',1-855-338-8338,2.0,404.0,2.0
BVB9686,AR,0.0,R,369645.0,Ukbhyktiegtx,Canada,kjyohttautindomqpzboscfugxtwa,,CBCWBFHKXPUAACGMFABK,M,1.0,890225.0,BVBNXVKY,Biomet,1-663-637-9407,5.0,302.0,10.0
Rtr9687,IL,5.0,R,387813.0,jiytkmat,United States of America,Chmdkxxmtz,,WKEUOQOKPOTBKNPWOVECORFMTMACTGDECSPKT,U,2.0,522058.0,Rtrmljgulplfsqyyppoegssvjf,Helix Energy Solutions Group,1-253-522-7670,45.0,715.0,
Gqm9688,Newfoundland,3.0,O,224373.0,nhxmvfdza,United States of America,Hfmccvouaxdvlraluqp,,Fwwtcmiwanzqbzvkcrtuafzeuqcolhxkteqhrycccsthwocdvvos,,5.0,729468.0,Gqmryjahnyqwgkwptr,Peter Kiewit Sons',1-518-921-6896,16.0,569.0,7.0
twx9689,LA,2.0,R,411588.0,Lxpyjoiqpe,United States of America,Hbohvblxeusmbnyaytoldzqpjoilhrcdfyfrbpdfjdnogqp,,VJXZFNSREFDIOSVGVZPOQLFQJVTDEFGYRJPPLFZCMJNDPCYDWVZEEDICAZMPWKQLLVGKDFW,W,,785210.0,twxwphvmdplo,Metals USA Holdings,1-940-990-0427,30.0,427.0,5.0
Nya9690,NC,2.0,R,131727.0,egjkeyujahr,United States of America,Jooaqoxpokg,B,Smadqwikhkpifvjxgegdkcgrsgaqettntjzatalmmjjeaonihqyavkumyufnalesjt,M,1.0,3678733.0,Nyaigkrywjfixyuqvpdicy,Corn Products International,1-398-166-5292,,469.0,0.0
lqb9691,TN,1.0,O,418095.0,Ujkodnbusc,United States of America,ZIPFECVQQWBJNTSBWAPVJILOQQGRCB,T,Doajfbrrckejgucpnifghadcilhbfpxhiugmk,M,4.0,2362008.0,lqbchpqgwqqgiia,Select Medical Holdings,1-927-097-0868,28.0,765.0,8.0
Sgj9692,IN,5.0,O,176403.0,Pnnbejwipn,United States of America,Jgqromjnyvmnlssehhqvshpsubtqp,f,Oliqrykeuivkjzepwiynwmkxtxmuzouhl,M,1.0,1148605.0,Sgjviwbz,Dow Chemical,1-737-043-5199,81.0,612.0,9.0
Nxi9693,MT,5.0,O,480921.0,Dccmp,United States of America,Qvukmwowlmeavrqkyjtsseojgxfabzejhdu,,dbbubzuciqhezvzgkhgqlprsbhvwijsdbzuwohqybkqroxixabrku,M,5.0,725507.0,Nxizymxaaydoyjeiyhm,Tractor Supply,1-244-217-7148,72.0,446.0,8.0
dsc9694,LA,,O,135544.0,xzzqsvkm,United States of America,LEWVUHTQWVJJIYDUUGUXGLDUB,K,civievlepfgkdwyltopuqeasutvqhlodxgqfzbcczluakmdbglcetbgajsafvtsvmddmqawdl,S,1.0,687245.0,dscfassaostjxiljtbk,TECO Energy,1-615-809-4057,100.0,729.0,6.0
KES9695,MT,2.0,O,141282.0,,United States of America,MLIXZQBRSIDHX,r,cqzxonxozogidiifoczdgptqhzlntfvctfawdfbabhfyrkpxocyfmtgtnhqzvpmdcrppcchrlpy,U,4.0,3128364.0,KESWIOFNFQMOEFFEBNVGNZB,Jones Lang LaSalle,1-947-023-7069,27.0,536.0,9.0
Ioy9696,HI,0.0,O,124643.0,ZATUGUX,United States of America,injxyhsiiokljmaefyugkhsbrqabwetcsebjulxdplcb,s,Uafdysfm,W,5.0,2019975.0,Ioyihiir,Molina Healthcare,1-804-557-4843,79.0,392.0,
Chf9697,AR,2.0,R,30059.0,Ougozvevg,United States of America,Evuytdqafghmlfogqvufrrfbaoybivjteprujwyyrofiebffisfgcomoaacawblp,,ZQUQOMDHNOJSKVTCIHN,U,,3947994.0,Chflwyn,Eaton,1-449-118-3915,62.0,710.0,4.0
udq9698,CO,0.0,O,161910.0,Doerbagjqikl,Canada,Kyaieljkhipjmkizckkzdobuqhhlwpjp,,Wztotdcatgkfpqfvrglvzixuwvenbhdrqmjfimvfuhh,M,3.0,1117777.0,udquzihhkpcjtqcikodzktov,Graphic Packaging Holding,1-792-399-2590,6.0,509.0,
Tex9699,MI,5.0,O,188636.0,Jduhkv,United States of America,xrmppjdkukqptmoodzaahxdsodcxxjjkffjnqkxldjydbrjteurququxssxv,K,nfemyqjffpkcovojnufiibxpsusvfxjfusza,D,,3699271.0,Texdcpywqgdijttkmuphzqkijv,Universal Health Services,1-144-991-6718,,494.0,4.0
nsr9700,OK,4.0,R,192899.0,qzkohi,Canada,Hrydgzyxwvvnbktfktfqs,,Rfyguulihuwwddjncdexklacma,M,1.0,3390554.0,nsrrpjd,Amphenol,1-249-519-6691,43.0,451.0,10.0
uyo9701,DC,2.0,O,131135.0,Cxmjasscm,United States of America,Iwknmhengae,l,vdaeasowkswwmglkypemwpjblxcvqrpsusvmigr,S,2.0,2595389.0,uyoxbaxfrnpqds,Cracker Barrel Old Country,1-168-431-2457,,544.0,
Kni9702,NE,5.0,O,179290.0,Auibgawr,Canada,Narsxo,,Mhmanzfbleqexvhetpsbchmmgznhbusdbfgfgwciaxfsdwbrrydtmweqkffpf,M,5.0,2461368.0,Knitrdotunwlbschdykqjisopv,Scholastic,1-328-227-5957,95.0,,3.0
Wvv9703,RI,2.0,O,346151.0,Iplvgcirddat,Canada,ndfyepgfaohmrsorgxupaoycbfrlcekkxnxolwzpadvkavyfhmnpbarynrcwbgqpiahwbw,Z,VSMEQDNQCNRBDTWAOMS,W,3.0,2313032.0,Wvvib,Cardinal Health,1-909-047-8936,6.0,607.0,1.0
OKM9704,British Columbia,0.0,O,361254.0,,United States of America,MLGYLMVEMFJDAXGSKVSJPTOZNXLEWATYRRYPBTOFSPAKSTOR,,Fcvqxyflsjliruyuutcattfjsmjxalrkblj,U,0.0,1248101.0,OKMYXBUOBUUTTUORREVC,Delphi,1-385-703-4324,72.0,739.0,6.0
zpp9705,ME,,O,412022.0,KOGZCYOVIE,United States of America,QBMNOVYUVKQBAOLPABAMEIOKP,,Givecuumchckjaeseesvxqwenwqyejjvklclovmwveiovmoggjepeuohdlchnfxenpgghptxboer,M,2.0,3651964.0,zppvtlakkinj,PolyOne,1-944-594-1754,98.0,361.0,8.0
Msa9706,WV,0.0,U,103144.0,Jiqdwcgjv,United States of America,Xuzbrhychyfwuoennlvanlwufdtnsvggenridshavlltbwqjcjqhpjptxfvvmervmldm,,WOVTHDTXOVTXXFPNTCBPXRBGXHNRPPKQVDRASJTLIGYWAIWRTRCJPPWNIIKJCOQ,M,0.0,,Msajkghmrkvcbwfxohfpajourzd,Analog Devices,1-090-561-3869,12.0,836.0,
lkc9707,British Columbia,3.0,R,121611.0,Rsfcyhddxk,United States of America,EXMUFPZBYXKBXHSIHTZIRNMOMOUIIGHJMDWAFGMDAYGEYUY,,Qozfxaewqbkkqd,U,3.0,901782.0,lkckqoraguvfnpsbftgmtpcwz,Cooper Tire & Rubber,1-038-513-8916,48.0,521.0,5.0
Xbb9708,TX,3.0,O,475893.0,Mdvzjrznpde,United States of America,glzvnekwfbpuxteagfqy,f,Urhnihufkcbvrrpfsvxzbfjordrtdfoijcqxhttsio,W,4.0,,Xbbceoijbyzqo,Ryland Group,1-894-515-7591,61.0,782.0,10.0
Udb9709,ND,4.0,O,464301.0,aeeekyk,United States of America,strncruqpabfjyazmikukagnxoumvkuiwxobojocdopdjlybtmpfjhbdozienziyeprifcrlgyxuailx,z,IIPUQLOQFRJK,U,1.0,2133261.0,Udbgg,Sprint Nextel,1-142-702-3953,82.0,492.0,4.0
mmi9710,NC,0.0,O,314885.0,NGRKGELEVGF,United States of America,ukbfqdnyrgnhjiuaqcmhwmmmklagv,S,Zxjgshkiclbokdsgmzxnpsivmznprrcvhnexvfirgydxzjonkqftgnvmknm,S,0.0,995044.0,mmifwazwkzincrxcenfrqzutfqcpxn,Union Pacific,1-668-043-1872,90.0,,1.0
Ips9711,WA,1.0,O,499232.0,,United States of America,iygiwmkivfstzhukydkdmekofelkflkdtaskjupovgxqriirnz,x,febxumwqdhjhuvodqosqsuyzmbmkwpzifmuzypltalpwlij,,5.0,2211836.0,Ipsidoaoraeelnnaccrqusnemj,Pilgrim's Pride,1-582-913-5759,18.0,649.0,2.0
hir9712,OR,2.0,O,,NTVXORR,Canada,MQUWEHCUDOLUPE,,Ltctlurhbforfvngjnhugtiaihxxtynrjklfkt,S,2.0,3913615.0,hirczesymchtaiphkenkv,Airgas,1-075-910-5493,47.0,386.0,5.0
pnx9713,WI,5.0,O,376966.0,,United States of America,Ptnfhjtullssunzqabzdnepvzcgrdjymfwfhkxgovkqczxybnmrqhbspwrtaaqibat,,Zsfqbeozlgwtsmaeocvgpfslyewrlcnnuskpffscxwp,D,4.0,501692.0,pnxcyquzvupmcjgdzewck,Abbott Laboratories,1-444-526-8440,70.0,664.0,3.0
Ocp9714,OK,3.0,O,417819.0,Sltkznivpuh,United States of America,hdcowwzpfvymosawgifgbqaykpldlhqkhsfypwqjk,,Htprpphhvfjugzfgpbdgjxmbq,W,3.0,3318801.0,Ocpdhecxhlvpzn,,1-414-351-2921,21.0,821.0,5.0
Vce9715,NJ,5.0,U,181317.0,giheh,United States of America,Xeotwaffwbhftuncbpnsxpdgqijmvxvekclgewlnlmlpuhtkdsqpfswfxxabkezmoanxonogfhrs,,Vmvawldllbcdlodvdoxznuxcuoffhohgcvipupoghywmywymttlz,M,5.0,3906230.0,Vcemcpoedyobqdnlqrtmvv,Micron Technology,1-601-041-7304,88.0,683.0,10.0
HBH9716,HI,0.0,O,322935.0,Mbnzlsyeys,United States of America,Zpektevekclqvpfrqjjdknbz,u,Ndqwytvdosnl,S,2.0,3078341.0,HBHEZKJOJJKHXNUJG,NCI Building Systems,1-011-770-3136,5.0,560.0,3.0
Hse9717,TN,0.0,O,340623.0,YFFWBJ,United States of America,Hbvgroxdisioyndbsddooklkeipzrvyihuyviqlgxrdufv,,qpemzizsuwcjtcamwvdubmfmzakbwrsummjzcxpqvgqnkynbeecimcmlibhcffzsbyibknmw,S,4.0,2172994.0,Hseygmegsclvvdijfdz,,1-134-713-5400,82.0,790.0,0.0
VXX9718,OH,3.0,O,76246.0,,United States of America,Kyliulfro,i,Thxtyzvwinxjyubofnhryojtnpjyyvmtqmgvywsfyoiirhb,U,4.0,1090017.0,VXXZXKNTWPXQXOFUFHBTQQI,AutoZone,1-903-001-3397,77.0,334.0,2.0
Vmf9719,MN,1.0,O,212640.0,Cczmaa,United States of America,Ctupgzivswmzcdpsqwafcib,,vsifemhnatfbmvwifmieeucfqlhjqaoyvmlioqwglzhdalj,W,0.0,31902.0,Vmfdkijchuwdqe,Steelcase,1-497-787-0410,80.0,807.0,1.0
evj9720,OR,4.0,O,27123.0,Enjmrggdsq,United States of America,bkjjdbfpnswljsebtfistgfcifairmbuygnfym,,Wpupzjehkxcmynqsekddkviszshgqpcwjpcogpabznamyivdhsgmhwdiwnkwkndiyzkxnz,M,4.0,1842743.0,evjifcvwgdvlaru,Raytheon,1-306-765-7201,41.0,372.0,10.0
asd9721,CA,2.0,O,428212.0,DQUOY,United States of America,LCMLRMJQFQEWOZIJDFBYFXEHJZKVQUMBOUBGKQRXOAOUCRZQPRNTHZNRUPFCWFLSSEHKUXFIVTGD,,CNKHTHPTHLQGCJIRVRWVBSPXRLLELRMVSDBKNEXCFPNOCTWQSAZYNHJVXNZHTSZKKYYQSLMYOXRDUH,U,1.0,1954597.0,asdhtcahouwldasvrrins,CH2M Hill,1-927-838-7243,78.0,447.0,
Ieu9722,AL,5.0,O,208135.0,Efulnxsnk,United States of America,mixrvdfamfpigqisncckmpwradlnhiquutwbx,F,Tgcxqherqidosnnfxmubhzgduhqkto,S,3.0,3002681.0,Ieukq,Metals USA Holdings,1-437-699-8957,68.0,588.0,6.0
kfi9723,CO,5.0,O,,Narulrixws,Canada,Rilcmmbggjqqr,p,Ytvajkiadowxdklppplpavpbfknrbotjecefkvdhnpuqybrkxqmaadrsetwisygreowbloscvutcwt,M,,264407.0,kfijbdbsounjdb,Texas Instruments,1-218-324-5533,76.0,400.0,3.0
FJJ9724,Quebec,1.0,O,447022.0,LJIYILMAJL,United States of America,Egbrmleujrmgruficakxeasndwgddlxlgkvaqjenzswwthjcyofcoussncflxxeugvdzmk,,JXQHUWMYMIHOATAOMHSRCGWZRRQYGUPXIPSHXBNPXWEUPPPTJDHSPMKHRKGOHEOYW,M,1.0,1001820.0,FJJVHDFNJLDVKVBLEQLNVKCOVLPXGZ,Leap Wireless International,1-715-615-5940,12.0,432.0,0.0
VWN9725,AK,4.0,R,383912.0,Nlispiudmvt,Canada,LPUGQVYVVMDSN,a,Ufebhydwrkpsaflolngthahmamolvqqaohfwlfolhbahodvuuvcqiheeim,D,1.0,2798572.0,VWNRUNAZHP,Safeway,1-665-357-7789,5.0,848.0,6.0
Txo9726,TX,4.0,O,196459.0,Rssugc,United States of America,Nkranawdfisjftmgqzjkprxclsvdxpngugzcvgzqemcmezoaqomtlqksxkowfx,A,,S,1.0,1918410.0,Txoydinbhxmcnlucs,Guess,1-329-612-7351,27.0,728.0,3.0
Vkb9727,MO,0.0,O,469095.0,Aooexlbpfsi,United States of America,Yqaygdemadhtqbledyesoqapaoptxsbfblrkbvobknyliz,y,Vwsjdftdihutxflugoz,U,3.0,1158545.0,Vkbvhryzarlwlbejojjwltpwvcwvp,Eli Lilly,1-729-753-6101,91.0,725.0,3.0
Yph9728,NC,2.0,O,257503.0,mogzyazzbe,United States of America,IUZZAGUXADADCQKKFNQEIDIKZUPCMMOOMERGHZDBERGUOTSMHXPVN,,Dcusbqetghigsrhrpmdluniuzuahpox,M,2.0,,Yphfgbhdhjtynstyqolf,Cisco Systems,1-634-922-5897,94.0,743.0,8.0
dop9729,VT,4.0,O,394763.0,Ecggpkb,United States of America,MUPCAXFPHTIIUHLZLMJELNPQPHVUVUCLOVT,F,Wjwmrzuotwrcbmenlaxmgessevhyuz,W,4.0,2009083.0,dopqcmfvklpnsvlmcjprqubom,Snap-On,1-339-811-1218,18.0,756.0,8.0
hqy9730,WA,1.0,,322195.0,,United States of America,sppqrmrgbpwcxeggocfapjnblexmchibhidqmaotxphztdbusdkxnvgmrmasbfsjivrdnhkbxqbx,,Ldeatyzcdbwnigrxazn,U,5.0,1615971.0,hqyvnzolocapy,KBR,1-640-831-4740,63.0,668.0,4.0
Qcf9731,PA,1.0,R,410099.0,Owxcpx,United States of America,VWQBZGZLGVQOYQXQJOG,,UIMAPJAUWHCTMXZWVLBQLLIYOSJXCRAJSEBWTTDVUEZTTCSNTKRSPMAUNRNJEZZJWLTMMKHUU,,0.0,256039.0,Qcfkai,Entergy,1-265-245-5768,38.0,810.0,4.0
GDA9732,IN,5.0,O,66652.0,euntgoolsea,United States of America,uerytmwyhdlcjoa,,Xufeuuepzgrsfapokgpjjriekiohmhxoemicmjl,W,0.0,3250398.0,GDAISSTXEQF,Oceaneering International,1-913-446-2689,3.0,581.0,0.0
DKK9733,IA,1.0,O,440258.0,hidzwufhjtc,United States of America,,w,qzclwaxdmrmzdoqmzadogolsglybzxisoj,D,5.0,3280363.0,DKKKWANEMVWSVBAITKQTCZL,Del Monte Foods,1-551-223-2543,41.0,693.0,0.0
KHE9734,NJ,5.0,O,167562.0,BOFOY,United States of America,CSRJHTXEQWXAQABIPMOMROATAOBMQYLYTNJBTKIFGOEYNKS,g,SLLXKGRDFJCTZFVQVTLESKXTYZ,M,2.0,2841008.0,KHEIMLPNQJX,Western Digital,1-894-465-5565,73.0,531.0,7.0
Zbn9735,Manitoba,1.0,R,498721.0,msubwo,Canada,Ckghskfopulpcrfqofrksdnhlrpjnggbousbrschfjxmhhepmqvdaxzpkhedyootgpedeiiy,q,KQENNFVBCJKAUNTAFOTGFSIRGVXATBTRYLINOVJJLAYTQXKXAPUIYAHJSZVEZTKRMWRGXGHJZYDSN,S,5.0,3582446.0,Zbnhetaqlijoufidbswf,Icahn Enterprises,1-117-340-4152,48.0,611.0,6.0
Loq9736,GA,5.0,,437438.0,CESMAGJGDNN,United States of America,AFMZUQDZJJTOXVTDWGFPLKCZH,b,itbogpscqbnleshjucuelcapdvhyzvwhwkebdjgqrqhzuvcpmaangjoszlfmrurclxxdzf,W,5.0,1390504.0,Loquxknlkxsfbbzpdqxwyrx,Casey's General Stores,1-713-198-0317,91.0,827.0,
Jls9737,NY,4.0,O,,HKFBKYYYJF,United States of America,syxgeuuawx,q,Lmielnb,M,0.0,3629595.0,Jlspsqffr,Owens & Minor,1-324-690-0496,,740.0,3.0
wtg9738,MD,4.0,R,271547.0,,Canada,PBKDTAWIONIRXVBLVQXLBQCNJXTCDUFCXVQNZSYQU,p,JFBZXTQGUONQFDMVPUYBLFCBHKO,W,5.0,227315.0,wtgyt,Amgen,1-019-035-8513,98.0,614.0,8.0
xfn9739,MA,4.0,O,122003.0,Tuyvbikyv,United States of America,VVOCFBBNGUDYYGFHCNJQFRUAGCCDPFWLVSSQZPAIWLGW,q,Xmaxcuegaeeelvdjsxpewixbxz,W,4.0,3498913.0,xfnzghrhijzy,MSC Industrial Direct,1-159-720-7051,53.0,526.0,4.0
Yho9740,Manitoba,,U,394116.0,Xtkeyycouu,United States of America,Apoxiqtzyyqyxsychhjgpmtdnvvigfhoctdsheojiuguxlmmsckvqyhhrigegohsxnievxi,,IJDYWPAVPOEFAQCBVPJHIZQVLBFTNOKNYW,M,2.0,2723921.0,Yhokylsvtxutiwajawosacvefpz,Werner Enterprises,1-376-345-5653,90.0,840.0,2.0
ioc9741,Manitoba,4.0,,143799.0,VELBKG,United States of America,Jnklwwvogdyrkmljjvpxylemomtmgsshxorixeo,p,Ufiicgtrigaqvmwsfrhzmfqpmkbymj,M,3.0,1439744.0,iocpxtlhfnltakt,Waste Management,1-195-028-2007,9.0,,4.0
Vux9742,MS,0.0,O,312994.0,ZFTDLLZK,United States of America,Sfiqjzcuncwiwz,,Nkiowaeusu,S,3.0,2721559.0,Vuxabvqvcdruyjwrwhzqzomxtrtbh,Air Products & Chemicals,1-308-365-4420,37.0,361.0,9.0
LGH9743,NM,1.0,O,354207.0,amvqixmmqcbe,Canada,Bcujvfbfhgxuoaqocdqumhjgnhbutqebczjtprsbbfovhurwe,,XZGRSBUYRCRRYUOIPWQNICYKINPLK,M,5.0,3509245.0,LGHBPNNMKYZWWFPRHXAFKDFIZQJGM,Constellation Brands,,42.0,580.0,1.0
grs9744,FL,2.0,,243914.0,HPHFKGMTIRLJ,Canada,lxcttwtjccklpbatglkhoqfnbbzfdyrnwkzizqbyrjlpvpxscaxvcfunbiga,,FLDOYMLKRRRYMTJZPGBHQZBXESSRVGSSF,M,0.0,2852522.0,grsqcztsfp,O'Reilly Automotive,1-795-145-9991,99.0,547.0,0.0
