PostalCode,NetWorth,CreditRating,Gender,AddressLine2,Income,State,Age,Employer,MaritalStatus,MiddleInitial,LastName,OwnOrRentFlag,FirstName,City,NumberCreditCards,Country,AgencyID,NumberCars,NumberChildren,Phone,AddressLine1
KISYNK,1560889.0,528.0,f,NJSFIKELPUHK,394420.0,MI,42.0,Fifth Third Bancorp,U,,GYVYJVLAFGKOVOEUDOIJCLNDXZ,O,Skdlkxfdgoerigvdnwiiifcwwlddbx,Louisville,7.0,United States of America,GYV9143,3.0,4.0,1-932-086-1896,kerxeaustbeemgcrdhjc
DJSDUOEM,2795249.0,802.0,m,Ihhdgqlhpsvfcndzxethadvaifsnlrckmgzkymmcmelepazmhzd,331864.0,WY,90.0,Biomet,S,,Jggsjaqscfvuaksutwp,O,AGVKLDTDTYUMASVEKDDNUIRC,Hilo,1.0,United States of America,Jgg9144,5.0,4.0,1-730-680-6559,
Soovgsnqugo,2173389.0,509.0,,ophfcqltnlfwper,362556.0,ID,3.0,Ruddick,,,Jclukxljwdfjxkic,O,Ujzvmqthtbgqzirhfqwzwe,Lansing,6.0,United States of America,Jcl9145,5.0,1.0,1-003-356-1671,iykwocwfty
Pglceslq,3217303.0,501.0,F,Bbxyabphzekwaauuoiepgre,422474.0,AL,94.0,Alliance One International,S,,Eljljwcplkffmdscmejfhrjmnms,O,Eettjxgcbfitaog,Fort Lauderdale,4.0,United States of America,Elj9146,5.0,4.0,1-208-414-2689,Zvpxxjfcbrhmtgkxcyqiwbdzqpvxapqkfajbyglrljomlcsmgiyktxrpxm
JRIAYBR,1174560.0,766.0,F,Vclcxwxepnwmuqlmeymibojuisoexzcfkyylpqaxlhotrpftcfizdcqoppxhweaza,69579.0,NC,88.0,World Fuel Services,M,,Fdzpgezkpzrrf,O,Reyimicsehhrcsvvzjomtwb,Torrance,0.0,,Fdz9147,0.0,0.0,1-825-506-8869,Edtprgd
ebztihbgwuvh,2968566.0,607.0,F,Qxworafkjcuazlcdunzzqnk,14746.0,ME,35.0,Coca-Cola Enterprises,W,,TOACWLOQAJHL,U,Sjwurosllglkizwfss,Mesquite,8.0,United States of America,TOA9148,3.0,2.0,1-958-506-3364,
Tuentivkg,2840442.0,334.0,M,JOJSFZMGAQMLMGV,258437.0,UT,87.0,CB Richard Ellis Group,M,e,Hpjrvqjzkcfjphvufnctmnacd,O,Xawwrjrliijrrq,Baltimore,8.0,Canada,Hpj9149,5.0,3.0,1-942-846-7199,torwvjepeuhnvpcjnmspftcqmphynnhpycxkvtfdlopspwcjrueysvfhmnesobkimae
znkahcnw,121610.0,555.0,,EJGORGINKJAXSKIVUCSYGGDRLPGFHQCNZGVQTUNWCHPWGDDPFCWEXHRCPT,476651.0,IL,,Popular,M,,Jymbbmcx,U,SFXTL,Elizabeth,4.0,United States of America,Jym9150,3.0,3.0,1-818-647-1608,Jnkeajvvhbacchsygovfqxkgsfzcdpwoccckzblaklgwbeblvx
qawts,2589336.0,576.0,F,Efhodltjwiooikdivwphuxej,173781.0,LA,53.0,Casey's General Stores,W,L,FDIUHRH,O,Rrlyfghtzqi,Columbia,5.0,United States of America,FDI9151,1.0,3.0,1-608-831-7553,Wfcgxsipedzlujxqczkoyiusaepjzpfotqoomsqgbdhlvadfgnhfhnqi
Pfplpuwn,3962678.0,389.0,M,hgwanlvawdehrabjxdvnzubmadlvncbajieffvicvbxdzktydfqwifkbcnpyr,128024.0,TN,64.0,Quanta Services,U,,stmbgulriwpdklg,O,qxdnfbltsaoojvlcxmm,Garland,7.0,,stm9152,5.0,5.0,1-018-158-1247,Hxdarunmnhazmxkrysdmmnrhtfnpluedqkbvy
VZHEJZIJYII,2964312.0,417.0,,NPNZWBOGXWTPHHHKZDTERICAWJBQC,337331.0,NJ,97.0,Sara Lee,W,p,Nasgapwfkyvzleruvaexpouxerz,R,OLGNIWVELECFFRKFNSQEGTWUQH,Omaha,6.0,United States of America,Nas9153,5.0,3.0,,Ttprjvomfjgnnnhxxhmzrwxbesurzshffyxfjprg
Vqvhsn,724794.0,838.0,F,Oekuwnedabtkpiiufwphaldqovgacbaywhjjscmsvtfoptstlcqytcvvezodjovtvojtgnasnsz,303942.0,PA,39.0,Kelly Services,M,R,Deaktekoplkqcuqjxqfnl,O,VRBMJQPRALEBUBADYQYKR,Overland Park,10.0,United States of America,Dea9154,5.0,5.0,1-657-924-4158,SVMWJTBBPXOVSUCZAJMKLTCMGPSYQSO
nuxldoyht,1994461.0,824.0,f,Eltcudkghnjny,494961.0,Prince Edward Island,92.0,Western & Southern Financial,M,J,Qbnfyjwkzfz,O,kuxsmcqudbrodwiguyt,Santa Clara,6.0,United States of America,Qbn9155,1.0,0.0,,RIDYHMUHQWDVININDTGSUMBAWTVMUKEJNDUGYTCJ
Vjldnszpvn,1180241.0,741.0,f,Ufrfgcywqmwzpswqqifbvxxfbzlpaftcoffpvveyglexfsudki,357333.0,Saskatchewan,83.0,Hanesbrands,,i,imwbhencenazbbpxjbnizzkqw,R,Ntwefmftkaidbhiqvvty,Huntington Beach,1.0,United States of America,imw9156,1.0,5.0,1-781-351-7417,Itvfartybkchwdkphwejqbjbysplihiuehqckrddhzimuzcs
ERYNYCFMQTO,2091309.0,376.0,m,Dffgvaignigusodyeutxpavitwggijhchg,141947.0,MA,20.0,Amphenol,D,,WDSHPZDPICQDBPTZYRNZ,O,Qufpwlxtydarvfupqsapjoeapcth,Pembroke Pines,,United States of America,WDS9157,4.0,3.0,1-424-892-6369,zlgsfgpttcpzcbaqmyxnlkvnbyekdsrjswxzvtixtmsnavwzmx
gwogwvogqhu,945046.0,319.0,f,Eywvqotarhbauwidlkhrwo,416533.0,DC,49.0,Brink's,U,S,XIPFMDSAT,U,mzcdwavasuyxm,Toronto,3.0,United States of America,XIP9158,2.0,4.0,1-469-392-3779,Xaxesiveityfxnevghwtcrzdgtkeunfvfujrzpsnshjgvkltaw
vrdqfr,1587234.0,637.0,,KTHOVGPWNIQCCWODPONYQSQLJMYHCLI,331423.0,WI,75.0,Atlas America,W,,Ccmmwmenqkwqeiulbweedvncmi,O,Insllfvoxxcyeojiotkp,Yellow Knife,3.0,United States of America,Ccm9159,2.0,0.0,,ulrvjhkqpfweoqwcwcdxggmltgimiygwugmmcmgwv
OGNITNRN,2760170.0,626.0,,Whykvurjxbbzpkhbjaqgdxjbpihgptuqnntwkbfkahhmoyqvvsflgbrokvmoxjfgpbl,41073.0,CT,10.0,Pepco Holdings,M,,Iebwckcevteooioy,R,Ubzntgzijlldpp,Halifax,5.0,United States of America,Ieb9160,5.0,2.0,1-894-758-0139,Lahbjibgr
EUOPOCBVOM,3326239.0,827.0,K,Sqdwiiivhvippuoxtezymkdiqhpcvfexgopujjpkvmnciknszbezzackmaqtmn,227955.0,RI,0.0,Erie Insurance Group,M,,Dduyacwqsewjdatmjeqyfx,O,CXZRFWXTB,Mesa,2.0,United States of America,Ddu9161,,5.0,1-092-943-0561,Dvqukkkimmeltmmqyqcyuudf
Scykysbml,427035.0,712.0,f,,185304.0,NJ,77.0,Select Medical Holdings,S,S,IUCYPTGNMHMGMEDRFYEOV,O,Rxavjanfkuus,Waco,10.0,United States of America,IUC9162,5.0,3.0,1-236-097-4757,Ocbcrbbskincwtxlasfzgitvnkwraxswcgfvtpvltkmtzemejerwxabijegsqfm
uirpruwpyqu,880880.0,426.0,m,qhmdlzdcbvknipcmsxhvbqrrxtqglvxnmcvx,475119.0,Newfoundland,60.0,,S,,Oobqudl,O,ffyfhsjfm,Idaho Falls,7.0,United States of America,Oob9163,3.0,4.0,1-379-625-2828,HQPKTFUAZNQFHXNQUGHAMKWNF
Wkgybt,595303.0,469.0,,Yvphpehfpvmmklrmgggkjehblexgtwqc,279222.0,MO,44.0,Bucyrus International,W,,LLQXSCQHGIVACAM,O,QQWUDGCWFI,Garden Grove,,United States of America,LLQ9164,,1.0,1-818-734-0056,QRLIOEIBYNEOHDFTOJSXASWAXAVUKIDOQGFRLJW
GOLRHUD,3967316.0,752.0,,BKTAPSHYIHELFMNTFOSD,430081.0,MD,40.0,First American Corp.,U,,Elxjmwmrxfzdbkkfwcqgg,O,Crqhlvmms,Newport News,2.0,United States of America,Elx9165,1.0,1.0,1-996-891-3766,Qkptdohrniawysuigqbjxmqqozzyxmfiflgngcfhkjryhhbcbdpscjuuukqsppdpxhqixyqlwrxrulq
MUUULYMRSMP,948259.0,363.0,f,vjyjsgezxnm,243250.0,NY,83.0,Sara Lee,M,,scepvkkctfhtkxfiyxmekwj,O,uuhduy,Nashua,4.0,United States of America,sce9166,3.0,1.0,1-998-247-0049,Uwlawylzlfygfmkwntwbcyimddgpugjqcmqzotzugwqntsluzggptryofxbnuovubeafwmzvosdf
AGCKFMPAW,1610568.0,831.0,M,Rhbslhsem,121950.0,DC,34.0,Regis,U,N,Xuhwfuzeytpfi,R,Ujgvsbwtpjhfbvtcmnsifwdlnxhh,New York,4.0,Canada,Xuh9167,1.0,2.0,1-570-879-4404,IJNEKKDSHTDPBMEYWRIQKEJHENZJAWMTASQEEVICLLSNYBZBEDOUYJAIYMXPYQRHMYQCGDK
vzsmopts,1759438.0,335.0,m,Qzsdryjdhsrxamng,288390.0,MD,19.0,CACI International,U,F,GUSIZFSJATCETMHNVXWW,O,Cjizjhjxrimsolmmqufzchnb,Oklahoma City,0.0,United States of America,GUS9168,4.0,0.0,1-368-561-8370,tshfdqmmmnvjoxpbhbawlhshkxkdampljompmmvikcmdpyknfweoyvhawldtmzmc
Byjpxez,1113419.0,516.0,M,Dgzrkdpqhplemmglofvllmjigtgsymdjzclyemsklnspwgbjrdrvcrwucinbjkynbqclna,419879.0,Saskatchewan,90.0,HealthSpring,,,Lquchqx,O,Ayeraxpanwhlr,Fort Worth,7.0,United States of America,Lqu9169,5.0,1.0,1-638-644-1702,axnrhustzpgwzkwbajtspeygdgbquomyerqkeyicubfzsveabkk
Edkexthfdq,374029.0,845.0,,IKHGLCV,266079.0,Newfoundland,38.0,Ametek,,s,Asyenwqkwlxbzfgvlykuzyqfl,O,Ioyvuecjuzokgqtbwbulf,Norfolk,9.0,United States of America,Asy9170,5.0,5.0,1-425-682-6802,Qyphjxdikzxwbvpbapjvolxqhnjyllglfzyfvrupffsylsecyohhdedawamkatdefgnrx
Hcayf,1460271.0,305.0,,Hrtibrgboixokcwzbiea,468035.0,CA,79.0,Guess,M,,Hvckigjvuwftqcit,O,Ehbooilkagibsxpoqssjlxuwlb,Peoria,0.0,United States of America,Hvc9171,,1.0,1-009-685-4523,Jchydfzlmmzosrucapljdkxbzftttclfytjoryodcldreognkvdblhlngtnmdoxjtdpktbu
axlewbffbqbk,3304104.0,675.0,m,Rsshgts,54914.0,DE,82.0,Dollar General,M,,Cemrvegmvfanlzrmozsaebkw,O,FHNKECNZSXNGBPHSXUBW,Austin,,Canada,Cem9172,1.0,4.0,1-911-020-4396,Uctqzprqvdjthlc
Atzwxfsfpc,3710345.0,778.0,m,Drzbuwvsirlerywjjktdesxdlazfwbbpwlhmitcnyvvzmwkpjsfjyzzmlcnqji,78820.0,WI,81.0,Fidelity National Information,S,,ghkthdhabunnwynaqgzmviknzmnxl,R,tbkrsheb,Mesquite,1.0,United States of America,ghk9173,1.0,2.0,1-086-373-2938,tsorvrnsjyrtelrdhryxttewujytww
Dpghi,3233806.0,756.0,F,Ldmcfgobqeicelbsnljlferrk,376708.0,VT,12.0,,S,,Hwtrk,O,iwflsrvpbos,Idaho Falls,3.0,United States of America,Hwt9174,2.0,0.0,1-997-781-1093,jsbbqvkowwbjnxpsfdfmxaicfdulhgfghvstmecjcjuezushtd
Ijcitbuzoy,1802654.0,630.0,,OPPUSDVUPVV,349957.0,MN,44.0,EOG Resources,S,,UWPHXGLOPOFQVFGZ,R,Ldfsesadait,Salem,9.0,United States of America,UWP9175,5.0,2.0,1-674-356-0758,Nscciuykulavmyxkfupefakjimwhouxnbsaupukzdlhytxvomzrlwzurhgdvdmftmtcnmci
Ptgxcn,3443988.0,726.0,,asgyphxsxhuhjcjqsexitxptqklalcrmmil,100475.0,NM,,Abbott Laboratories,M,T,Imisbadhhyosllkvd,R,Nqknuz,Erie,2.0,United States of America,Imi9176,,5.0,1-760-959-9757,Ivmmggrczqxqgtlmfgcofs
Mabkkvvlo,2344256.0,,m,gxjqd,218327.0,SD,3.0,Becton Dickinson,S,H,frqdwhtsdknrzwigmkdkqw,O,Nhvjpimdsaxdbqyyxuhcrkxehpwnno,Glendale,2.0,Canada,frq9177,0.0,5.0,1-040-011-0945,LJJMDEKXFZILMAWFCAYQBWOQTTHTAPBDWNVZJFDOZDJJXQ
Djlstrf,1463889.0,686.0,,GPJDDFBRAIBCXJPIJIPIRTLOWMZJDWSXOXCNLVKFQTLTIMFPXEPIPYIOXFEGCWDBEFTHCFGSPVAE,291592.0,MA,,Scholastic,U,L,brkvaibrejxsk,,Fntwvfriwkmbd,San Antonio,9.0,Canada,brk9178,2.0,1.0,1-880-778-3276,Haooryebbakcvdvtceamdxzeeknnygemdequzgljobbjojjqvjrgcnbgjhibvvborxqketthqvmg
pdvaf,543974.0,794.0,f,FGOTKGMQANFTFBJDLOXJFLRCOYVSFEBSFXHFMV,303607.0,WY,75.0,,S,,Unszfujv,U,Suaszjbfxhbqjvwfnikimdplx,Arlington,2.0,,Uns9179,3.0,4.0,1-765-473-8287,Khjdilsfubjyuzyftfuvifbkzxwuwsjfgpmopu
ZTXULO,1080827.0,611.0,M,OZWPNFUFSPTXHLIFXBEWIUMJVVMST,284065.0,RI,92.0,LKQ,M,,Domxltnjoafesguiipexztwqlx,O,Xuejihekiuig,Eugene,5.0,United States of America,Dom9180,2.0,0.0,1-456-488-2807,Ojncncmjkeuewyygfkycnmsbcorjdusdtxobrsuxhijyfndp
,777878.0,346.0,,Jlazejasfrxakejjjnmnhpilswfaxlmsjlxvtptyaigghwmrlbgfmwxxgdnchdhswwbfwgp,161403.0,British Columbia,92.0,Jo Ann Stores,M,,tgvcxtxbhgccfvazopslpgj,R,eimwwprxpwe,Santa Clara,7.0,,tgv9181,5.0,0.0,1-129-652-0322,Rnmmygifdrbipxihzxbllvzcopplakvgzlik
vukupbknocly,2770169.0,528.0,,ibtvffqelsigiekuhraeaaehjebnltaxannlqlrunprveqwwavxv,241708.0,WY,78.0,M&T Bank Corp.,U,z,Xomiluarnhbfavubhc,O,YDKLPHPXZTSLG,Richmond,2.0,United States of America,Xom9182,2.0,3.0,1-295-674-2688,kteafhlxvatykzbozurtfdrvbkhtkzcosevjolipxpzojnsdjjrjfbtpvfoonjgmc
Rqzly,2002134.0,501.0,,Ijkdbfqhdxpyhbtpwpq,349706.0,UT,92.0,Brown-Forman,,,RYRBK,O,Jelnmltiiy,Tacoma,10.0,United States of America,RYR9183,1.0,3.0,1-997-928-3807,VHEWNLQGINRSAYZWPXSZXQJYHULCJLZBUGAJWUKSUHTIULXYVFL
Nffkov,2512507.0,815.0,f,Xvduukjkmrxpebfp,443580.0,OR,23.0,Packaging Corp. of America,U,,ujodbxpqbupgmeitaocxqcnr,R,rmoszlrlyltjjxk,London,6.0,United States of America,ujo9184,3.0,3.0,1-106-900-8878,DJDCBWECWTPWWDUSTXLJCFDIGCVYWWVL
Dlpicds,485091.0,344.0,m,Wakdzlwaaixxfdnmtahihm,366858.0,IL,64.0,NuStar Energy,S,B,Dryrgvj,R,EGKZIXGOPPMHYEVB,Vancouver,0.0,United States of America,Dry9185,2.0,0.0,1-185-101-7573,BJBIRGFYZZSPETAXOPXPWHBTIHJXJBGQCVYZPRBWINUYBHEBXATPQOOYYPANRKHNUQPIWC
,209138.0,417.0,,fvcwpjrvaqthgqex,487454.0,Ontario,86.0,SanDisk,M,,QCWIQW,O,Jbosletmkfubcaueuk,Cheyenne,9.0,United States of America,QCW9186,4.0,2.0,1-133-271-7352,Endxfuhozkxvq
,,835.0,f,YXQZURLYOOCTNTFSHCAMUBSPMDYMNGFTZHXUDCQCQQELKRANSOVLXUYIZSFJLDJMTXV,6753.0,MO,26.0,Republic Services,M,,LTCSTP,O,MRNTDEDLEGWXQDOJAVFIG,Plano,1.0,United States of America,LTC9187,4.0,0.0,1-257-518-6672,Mfeduu
dnxkyhneovf,1632998.0,795.0,f,,314007.0,CO,72.0,Biomet,M,,Fxjmtrdrjhwnyrtddedoowta,O,bnbmkqqcgxxzu,Buffalo,5.0,United States of America,Fxj9188,0.0,2.0,1-929-821-3320,Cqptskddhdtrbesqmegroxobdyjirat
THHPCTAYFXTG,374006.0,701.0,M,Uwuxwawymxbnmwcpltckwamnntxcimkpnsjqrjkkrhejpvs,146899.0,RI,48.0,Constellation Energy,U,x,dsxkrgiuyuqjcfnqqwhmpfinrzr,O,Odrpouqkyijwndh,Orlando,8.0,United States of America,dsx9189,4.0,2.0,1-539-472-0866,jtopozckgcokzlavdegmpnrkwnanjcgagprhdjdnalanwrenbduouomzugijlymaquvputo
SXACCSB,2449166.0,546.0,F,,,MT,15.0,Advance Auto Parts,W,,Lufhqjqpdqezp,R,Jhcatqubltxnp,Cheyenne,7.0,United States of America,Luf9190,0.0,0.0,1-645-153-1683,ijglcmscngrxruxxauxaatjdjckhqzmjsvoqpoluknbtnyz
Xhwgookh,2580050.0,390.0,,Ihnylwzekisjmdlspwmdxsodeaojjwqnuyokqcwjbvsaibmlhfftiddqmquwtxpues,381790.0,UT,56.0,Kindred Healthcare,M,L,Byetq,O,Imkfvnumwclhdoqhvcsxjfvelvrcdx,Stamford,6.0,United States of America,Bye9191,0.0,5.0,1-486-402-0643,XBNBSREBJTDSACSSJXRXEGCAEOGRF
Ygsgnqta,,372.0,,Plaomzihfspaelewgjxywhtdr,17390.0,LA,52.0,Morgan Stanley,D,,Pfyrzlgtqmowomikrpxybqbkm,,Bkxagqumlbdfbactczd,Laredo,9.0,United States of America,Pfy9192,2.0,3.0,1-119-799-4971,okvuykuzxtxysovxoueeyfxuwnvzmfxkg
Bwmktnix,3502915.0,396.0,,Yfrvfluuetoifknfxnjtgeinxhnkmkagjzjbvdruuhqsfrdpnvcagfmjsgmjaumjhvnbruxkmjx,238063.0,GA,10.0,Del Monte Foods,,f,gunaupdtgexe,,TEHGDRXLRKSPSAEMUQQWDOFHN,New Haven,5.0,United States of America,gun9193,1.0,4.0,1-037-369-0178,UMFCBKTXHB
Brgblmp,1689133.0,518.0,,IYNCLQECHKSKSMNXUJBXHNFCX,302505.0,MT,53.0,Regal Entertainment Group,M,N,qvnysqo,O,Wbptuszdmz,Windsor,5.0,,qvn9194,0.0,5.0,1-640-077-2640,
Nubeyiy,968034.0,598.0,F,,152676.0,FL,63.0,Whole Foods Market,M,,krxpdfn,U,abfubm,Bellevue,6.0,United States of America,krx9195,0.0,0.0,1-318-452-6794,vyzgitblaejonvxyhfxubfqxwwnmhyimdprlrttypnlkmkdsesik
,802062.0,390.0,F,vdhivmnkedxbmfejenmksmpahalcnhtqfuqrhhhvbajwvtvhucaqcxltfcjoembtxdw,314196.0,WI,13.0,Brink's,S,,Bvdpmwrofypw,O,ppurqrmltvgbtqaoupujeeidnlmlw,Provo,9.0,United States of America,Bvd9196,1.0,0.0,1-741-252-7353,Rstsmiposocpudvzuaitthigmbjgxbrqlhy
Estjbv,3239896.0,693.0,,FKSPGWYDSDFKHRRWPWANAMN,226932.0,FL,72.0,Embarq,U,w,Xvcsmqfrazwhd,O,Uygcpkanqunvmqd,Atlanta,10.0,,Xvc9197,0.0,1.0,1-666-139-6875,Ympllgegtkneprkvoalpa
Pdugmwtidrl,460924.0,395.0,f,VJQSEQBFMRAVSSGNWMBTOTRNAPCXEZMFRWRRMKUHQVFCDHAZPAFIXEONFLBMBJBMHGEDKBG,399292.0,FL,26.0,Ecolab,U,q,dwpqqjpuebvby,O,Lyvypvankcyunvnhffgkxlhtdxmm,Santa Clara,1.0,United States of America,dwp9198,4.0,0.0,1-145-205-8503,
DFTKQVDSUFAX,2154624.0,614.0,,Zzqlxlwvhqddrmnkxywsyx,379263.0,IA,43.0,News Corp.,D,,Dywqihli,O,laahfuyqvhaadvsekjsfofactvq,Anaheim,1.0,,Dyw9199,2.0,0.0,1-562-068-9921,TMUFMNVYOWEHLSLHFQONCATCVDXFGQSYNLFJEAOFWKMWVOIUTVGQ
Womlenbhwmz,333758.0,674.0,,Jfoirlhpubhnriyqolokjhuxdpoacaxwhsmsaewxvmcgedohs,467066.0,AL,51.0,US Airways Group,W,,Gzdpfyqezaaoahutwufkwfmjdtsc,O,agmaxuztqfollqgftkxrrdjo,Oxnard,8.0,United States of America,Gzd9200,3.0,1.0,1-825-912-0116,vdqvwtaxkhqzcpguibmsqqeomxqhfsvcfmwbqwnbekhrzxibtfwkqqhxsebhcmkwtxsmmbkooqynipfe
Tsjvfvzvknvf,1163886.0,656.0,,UVHJWIOVMLCWHOHEAUZFQINZXMACJYLVRFDMNOELHPHWQXQPUASIAJJJFPUBBV,374351.0,Manitoba,61.0,Mohawk Industries,W,B,otezdfxhkhpstrtxfhuheug,O,Wgilgruhvtzsnkiapzjt,Riverside,6.0,United States of America,ote9201,2.0,1.0,,rxtxowxiyhggn
wqpbjsjavd,,630.0,F,Qkuagiqhrgkcjfnap,39456.0,RI,13.0,BMC Software,U,c,Wmaptwhpvfsvwterwpbpxpjms,O,Hpscusqtkhdicxdndbpasdscmbb,Grand Rapids,8.0,,Wma9202,3.0,4.0,1-338-994-9667,Szwxpmdddpdzxctkbvabgmqcovolvkgdlvjiojgccjxakokmvyvqwtupqdrlwgjy
MFPEALEXC,3895690.0,648.0,F,TSFGUSMYMHHZLAUTPYJROVGCF,478333.0,AK,89.0,Pulte Homes,D,,lxxfkapeso,U,Smjwifispixncnrnukzyjqwqa,Bellevue,3.0,United States of America,lxx9203,1.0,3.0,1-852-595-3195,grawjwnavifsuznrabgdabtw
Uuqansex,3262809.0,821.0,,CDTBKSBPMFSLUYIDVZIEHYKQFE,334209.0,Saskatchewan,55.0,Big Lots,D,W,qeoboafphqopv,R,EOPLLIUURHXZMI,St. Johns,0.0,United States of America,qeo9204,0.0,3.0,1-725-814-3421,gjrduxgigmphalniqdyzflfv
fzrcyd,2745045.0,692.0,M,FQVATNYNUBRLACRPCFLKMMMWWPGNIHKHHAUMKAUDATQUFUMWNRDJE,261038.0,MA,44.0,Hubbell,M,V,Cbmcxclah,O,Uvwzmsicez,Bellevue,1.0,United States of America,Cbm9205,0.0,0.0,1-148-542-8338,BVYPBZHVSSX
Dhwefgmdl,2845538.0,741.0,f,uycquhtgxbsgfptzcroohjgbkvscan,345000.0,GA,67.0,Tiffany & Co,M,,evmemqttngjazhn,O,DQZGHGEIMFVYXMPTCAETG,Saskatoon,0.0,United States of America,evm9206,1.0,2.0,1-138-082-9611,LXXOXGJSAQLGNMPYKDHLTIMEXBLVDDNIQJGFSBQIDXRXUXGOE
ngwnhrzbm,3526238.0,844.0,,Xamoxktrwbnngemfubfrwmgbxqdcidjdfjiljxiwmvnypow,476570.0,MA,87.0,Ross Stores,M,T,QMRKVW,R,Hwikiasiunleribe,Bridgeport,5.0,United States of America,QMR9207,1.0,3.0,,Lwurmahnzytlddungywasfjvswcqwodnezjbpzgktzcbmt
Cnucpkiwyoai,2626638.0,562.0,M,,257638.0,KY,,Macy's,M,D,NEFPUZBUXCLYWLHTCNINOBYONOUAA,O,Jteecztsymoeggilrekjp,Yonkers,2.0,United States of America,NEF9208,3.0,0.0,1-684-115-0152,Wmxrpknhvtqr
jcvjvdks,595730.0,385.0,,Twpfvdxzxguabvcnfyhxhvrxqfcnwfgcyhuafeqpoedzescsrqgbvfx,25062.0,CA,,Expeditors International,U,j,Dockhhclpvlxttynjdli,O,QBUFAYNDNVNGWKGCHZHPJNWEXT,Coral Springs,2.0,United States of America,Doc9209,0.0,4.0,1-720-664-0283,Gaftcjlgfslddxsotjopfxvcekifiwulbtlhgkaudlovvrjfybgpyjbiugsb
Tayouyd,3488045.0,510.0,m,Vrrrpyblmqnzgipeqvcjaqyap,192169.0,MN,84.0,Werner Enterprises,U,,Kfjolcfg,O,Dykvlnyqaxss,Salt Lake City,4.0,United States of America,Kfj9210,5.0,5.0,1-839-882-6088,Ghondwjspviutfcgoxqrsyiskgmpbhhreuawi
Cykjrihyvua,2272366.0,592.0,,Fsfhouuttsnnderoppnextjcdypcbukuzrnp,3702.0,MI,75.0,Chevron,M,,tajsb,O,KQOYVKSIZPOBEBZU,Huntington,2.0,United States of America,taj9211,4.0,2.0,1-352-424-7336,Qrvodnkirzltwhclntt
VTMTYCIJRIXN,2966797.0,414.0,,UDBQHFAUCAADXBXMOARBBV,42734.0,MT,71.0,FPL Group,D,g,Ycqygoqlhttmapqjq,R,Cknbeyrg,Tulsa,4.0,Canada,Ycq9212,2.0,0.0,1-623-752-7526,Adktqpedvxqr
Rdzzerer,811317.0,531.0,,xvbtqetxcuzqvjjobucrjszyohyscsqnjbytauewgcdxkaknzhaqkpddia,171321.0,TX,0.0,,U,,geuszdjzjixa,O,Qkapuyetksgewbuosczkdweikhnb,Vancouver,1.0,Canada,geu9213,5.0,1.0,1-401-248-2354,JTCLJUREOFOWOCKBLTVQNURBBLLCKWRRKFHPNECSSUGVOFSXHQKTXFCQ
TXNXZPUXL,2286478.0,456.0,F,Hcnfcfkhldlecqgldfrhegibvedbqviiorppuutehgmsdwhlmig,173619.0,NM,52.0,McDonald's,U,,aphcnrzlkkiamhcollphrxwwgu,O,GVFHZXYABLSRULZL,San Diego,1.0,United States of America,aph9214,5.0,2.0,1-375-969-9352,rulhbj
Vwfrv,2947139.0,327.0,,Mjhlptqgtuuxbhpuuligiaeeloaggdhfmg,160290.0,ND,72.0,Kraft Foods,U,,Lgoek,R,Mohlcicpbskabzyccecrfocgozxkv,Milwaukee,2.0,United States of America,Lgo9215,5.0,1.0,1-246-250-5029,Rummsghdcqukanqnhxaqcjpxyjnielkdezdbjprdpblxtqep
VLRXZCI,3444949.0,617.0,,Mzlnkdemzindjazpmhkicny,278170.0,MA,44.0,Interactive Brokers Group,S,,Yhnxccdsrvkvf,O,OOFOZOADDNZPZBV,Wichita,2.0,United States of America,Yhn9216,4.0,4.0,1-297-274-8671,Eihugfbgjuufuyorcpogmekthgboohyeecrqiyoxfoh
MQKRFP,2428103.0,590.0,,Tyiypmulcrxwbflshghyidebuqbyllwlnprplnnbfbjrwwgecnhlfuyxqvhllmwc,165449.0,AK,72.0,Nacco Industries,M,w,ZXHUOLPRMDCWVHKOBMHJWSXBU,O,Kuvdeov,Glendale,,United States of America,ZXH9217,2.0,1.0,1-015-340-9847,Pasmvlveygvbmxszvokqubizkafpaaivfztcfqbjefmrsdvrhhyyfknoaswcdlrxjhdv
wsoabj,2434001.0,797.0,M,txpqcmhlorwig,455788.0,NM,79.0,Rohm & Haas,U,,Qlsxjepqjbfaccsxedynb,U,UHHUBDAACEILNCQGNYBXLPIJLRX,Madison,6.0,United States of America,Qls9218,1.0,0.0,1-747-775-7347,SJJEWFRRNTMFSOECIDMBHWYIYQG
Wbzgtxqxayv,3196638.0,619.0,,XKSIFBOHFKLKNAFLCKIMWVQATEUNRMHMSUJQTNJLHDHOLAIKSTOEGOONHOWAUUBOYGRD,261009.0,TX,91.0,Holly,M,,rkueexcalprusykzyjv,O,wsrovhigkbjclgqtfnscohsxijfqpp,Vancouver,5.0,Canada,rku9219,5.0,0.0,1-456-399-0093,KUPRHNLCRWQLYLBXESXLNOIRUAPNUGTUDRQFSPSIXFEDTYZJYVQG
EQEGICSU,2446920.0,425.0,F,Xpzodjposujmupcvacenpwsarulrhuvlelmvtsycppczpwnxignrrsiodhtwqmeju,19403.0,WA,50.0,Helix Energy Solutions Group,U,,Shquljuwrmufpcsjyewxzgqzeu,O,Fkhwbamtup,Pueblo,10.0,United States of America,Shq9220,1.0,,1-514-436-4765,QSTXVYKECTIVZHCCJGRCA
