prospect_mrtlstts,prospect_mplr,prospect_g,prospect_frstnm,prospect_ct,prospect_cntr,prospect_ncm,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_wnrrntflg,prospect_ddrssln1,prospect_ntwrth,prospect_crdtrtng,prospect_pstlcd,prospect_gncd,prospect_phn,prospect_lstnm,prospect_mddlntl,prospect_nmbrcrs,prospect_nmbrchldrn,prospect_stt,prospect_gndr
M,Office Depot,72.0,Aowhkevqtvsu,Pomona,United States of America,101953.0,ZWDTZJTZIDTKLQQZLQBCLMQUCNU,9.0,O,Jornzdaklyri,3444099.0,668.0,Mueohvmswa,Aca9023,1-547-011-2401,Acajkwhjaplysmhvpejpyh,B,0.0,4.0,IN,
D,,40.0,hngdgruojplshwxrmfxscbw,Cincinnati,United States of America,,itjptudqknqwax,2.0,U,Tehgryjecqkarg,1221233.0,450.0,Hmqpldqweju,VVC9024,1-934-607-0579,VVCIJI,A,5.0,1.0,MS,F
S,Flowserve,89.0,yeyzpbqynxuqvwrwpwfytlex,Quebec,Canada,278302.0,,10.0,O,ocmntqlepawppkjlukxbyomtluzfesjrqidammobpdxczoizttticlxnsqhpakvzjmtkmye,902828.0,835.0,QXDWPCWNGU,nai9025,1-631-388-1488,naidksqrtbl,P,2.0,3.0,Ontario,
U,Cytec Industries,17.0,Czsmma,Cheyenne,United States of America,200492.0,VBDUKVTINQRXSZOIXHXIYQFDHKWSTKHKJEQCZNUPGSQPNHAGPETLIN,6.0,R,Ptxxlzrymattimv,3491043.0,418.0,Mbeopjdkxk,Vqz9026,1-873-989-6311,Vqzxvpsrlqhiq,G,,5.0,UT,
,Hanover Insurance Group,48.0,JKARSXRKDCMLPUVYCQR,Stockton,United States of America,216593.0,PGHTFMTIYKGWLAMVOXUJWCJFOJQKTCBOLIJNWQ,8.0,,SLSVSSTVFEJRTLQTDCVMQWRYYGVRLKSTKBCAPPT,445764.0,800.0,jvveuw,Ujm9027,1-033-653-6445,Ujmoilxkzulgjgyloufbol,,5.0,4.0,MS,
M,Winn-Dixie Stores,37.0,Yqvos,Oklahoma City,United States of America,405947.0,ujxnavzkbyllckdlpalrvgxsvsmwhcrznipxzsrvqwidtusgkdeyiy,5.0,O,lanxs,2391815.0,759.0,uosvsfv,bqm9028,1-861-237-5303,bqmtwldp,y,5.0,0.0,DC,
U,Nationwide,68.0,ngnzahnqaaumzd,Sterling Heights,United States of America,274233.0,Rfubaqmhormmaewvdpzondzlmiikkzeiwdmcszscqoenw,0.0,O,Rvainysxmakulruaramqcskmlypiqwvzpfrfanfdyqgvpazgwsncznooyqmzmxhjxblagbtckfa,1093821.0,353.0,KRSTV,IPW9029,1-864-914-2765,IPWLEMAOJGTWEAVGK,,4.0,,Prince Edward Island,
U,Republic Services,5.0,usualnewfdfetqphzddqlrqngir,Grand Rapids,United States of America,52192.0,Chumoophcsodixnjbfgtxnwagiwbfqtmsg,9.0,U,Wmlgiinxlzmgjrngwdobgwsaogfqwxqdvxr,1803498.0,731.0,Vaigeqwjg,Uzx9030,1-145-922-5285,Uzxonodnjzvbsnwwcqv,,,1.0,Nova Scotia,
M,Hanesbrands,22.0,Wxjdtwcjuettlutwgprbljeien,San Antonio,,,Lsyznhwyhjxexxezbehjplzhzknjcskfgvl,8.0,O,Axpohkpyeymylfycfbcxtykuyrhxpltctmqkmjopwayrhafltadnrvhnqvodkhrtplhi,662717.0,585.0,Qlppwcyx,Kcg9031,1-389-836-8190,Kcgyomrhp,O,0.0,5.0,DE,
D,Bucyrus International,29.0,dxrgkrewzvokajzkma,Santa Ana,United States of America,,utsgriecxrxyxsqescfqsnijpceumtnfspafgkmfhonahxsmnbayggncvtteydpveyavpddcekf,2.0,O,EPHNNWVNVGVNZOINDMIPJFNOHLABXEYRJBWNJPPRDKRHUDXWKOXKRROCETYARMFCFSW,548373.0,723.0,Foydrkfgoa,Nmi9032,1-081-832-3873,Nmimdorewrfznowpo,A,3.0,2.0,TN,M
W,Lender Processing Services,90.0,Npwvvrpmkievkd,Sherbrooke,United States of America,224380.0,Mmiusklxbxdrtkkisrqhoqrhnlvwtixwnhlveycunugxxpylaesebnzj,1.0,O,DEBSGJFROBATSCGJINNQXMDOFIIXONOINRHINVRYYHMWLUJXBVCLPCHUCTNIQUANMEWNARYRWDSHF,1693517.0,796.0,nwjdcbqzuq,VDH9033,1-329-079-4483,VDHFSZOKQWVJMAMMVQQTK,A,3.0,5.0,VT,
D,Domtar,5.0,nlirabaanqekdvkuwcpadxd,Hamilton,United States of America,356649.0,ijafqbosxidlymhyqamnhaakjydiqjibkscwlnbvhslnhozudotdqepqwzktpl,1.0,O,IKCRCHXBGUKJWMOFZDHTIFFMVVJPIFWVSFGHQERZRRSRSLUPERISYGQQRXCAE,3269891.0,664.0,Yjclg,Ovj9034,1-590-510-2676,Ovjbmaodeblauztzbopznonmalbjyf,K,1.0,1.0,WA,f
D,Zions Bancorp.,64.0,Claqpjkbrtfao,Fontana,Canada,436571.0,nsfbktkegkvalcgifvcrnplerxbntgkbqcyuqupwramwaif,9.0,O,bnjmazdblwmiezgvbrgmlejruerjephjwzcrrvparceccfrttedohjaau,390005.0,,Ggwvu,Uud9035,1-389-847-1426,Uudlppltnbxmpsqezdkdwa,l,4.0,0.0,Alberta,
W,Telephone & Data Systems,94.0,VEJKQCVSMOFIRODMIGYKBYUK,Hamilton,United States of America,272889.0,zdecpbmcrqjsgkwqfcvcuvbtejtebayspsjtpsii,7.0,O,uargehxgluwsho,1014466.0,644.0,Bbcqady,ALJ9036,1-380-053-2323,ALJKCSLVHNVU,a,3.0,3.0,NE,
W,Anadarko Petroleum,65.0,xefaxes,Hilo,United States of America,340611.0,ZMSCTVEZLCXXKRYZXISMQSSVYKOTDUWKOOUQNEHIVASXVFSTQRSZXT,9.0,U,LQAPAQTVDPXCHVHPCHAPYGGGNFTGOQWCGGBIAMNFJCPPUIBQMRTOFNSR,1558896.0,765.0,TQMPJWZH,Qdr9037,1-606-598-1769,Qdradgev,W,2.0,0.0,MN,
S,Chiquita Brands International,78.0,TNEGCY,Corpus Christi,United States of America,220284.0,Dhsqhxxdewohmhlyiplspgnqcrikwrvrnrljrozgackhunmdwxapuyxgd,2.0,O,Wdccztrzlxtpxitokfpzetstgg,3968747.0,407.0,Ilgxxw,Rhn9038,1-106-802-4951,Rhnmwxhuovklamzjhjxv,G,2.0,5.0,FL,M
D,Danaher,0.0,ftbdjgvkrdtmqji,Bridgeport,Canada,99428.0,pjmkdcdkrslooxa,3.0,R,afwwsxs,3376343.0,452.0,Osgghtpi,JFF9039,1-872-553-7759,JFFBF,o,1.0,1.0,UT,m
M,,36.0,Kesfizllnnjltminniwfsputdlgwk,Columbia,Canada,34976.0,Rjdlpabrmu,0.0,R,Exbrasseeqpq,771535.0,747.0,Eboce,brz9040,1-345-999-3849,brzhk,,0.0,3.0,UT,
U,Zale,69.0,BXOKNGPHJH,Dawson City,Canada,183713.0,Brkrkkuvieutggdnaixuknyugtjbzxaqngmbulujontprqseflz,7.0,R,ybztlngjaptwixtyldddydnqkhjidid,,799.0,Tnfxinbym,SUB9041,1-305-485-4118,SUBIVDHT,u,3.0,2.0,OK,M
M,Supervalu,78.0,Nxodxnsooomsusmk,Oshawa,United States of America,356630.0,DVLAVCOZYZBARECZTFDNYLVBSDOLOAHHPFSTUAJLMNYNNAMCDOOEPYV,5.0,R,Rhgsbbnfbpywgsrxmqkurkfxljrb,3426140.0,449.0,Edulhokbl,Qyc9042,1-789-430-0169,Qycngsivmnqhrsuirwslj,,5.0,1.0,MT,
S,Lowe's,47.0,Wmpfn,Cedar Rapids,United States of America,331360.0,XUNKOXEAEXRFMJLURANVXHLJLWMPEZBSJFUDTRFK,0.0,O,TCUXCZWQERLMCAYFAOYXGF,1604309.0,672.0,,CXE9043,1-415-913-6501,CXEKKLRPZKQSBBNCP,,3.0,4.0,NJ,M
S,Barnes & Noble,43.0,prbfkcoxwpflhoslfv,Sacramento,United States of America,273534.0,Kgqmvpntgeoglfpchuhfcfvjhikagsxnyfemtndrlhwhorrtegofsgmkvcjewfmvmkxkommvtlkdjl,4.0,O,PZDCJMRREDQPIDYBDRVUFMUQQNXOUTQCRJBUREKFUKZAULKHBYSNJXFJOABBFXSDKTXFEWYZRXYN,1202391.0,350.0,ALQNE,lws9044,1-975-650-5604,lwseqnpikrvryjqilsjlrqcqtnnvji,Y,2.0,0.0,NY,
M,Adams Resources & Energy,4.0,VHTXDBLOQPZLTMGGBEFXHQMYVVS,Kansas City,United States of America,472256.0,IVAZUTXLERBTOBTDWVSTTAHIHGRCGJGEWVOITH,4.0,U,Tvykfwtaxdoowyzxjctlwxscwnus,2563181.0,347.0,Hmgsg,Blc9045,1-562-711-1503,Blcgwnlpawjvtuuchkuyehsmsdw,Q,5.0,2.0,NE,m
M,First Horizon National Corp.,7.0,dwiebxdsqiyyxmfrjphsppdrcq,Oxnard,United States of America,121915.0,Jvkuvcvieegbrzxd,6.0,O,Xfxdtlrfladkwggthiqpsefnnuxigohdksmjhagetdkldsjwap,2363654.0,624.0,Uyidtfyfsdhv,kel9046,1-176-238-7058,kelletaqhvoaemytcgnilftp,e,3.0,1.0,AL,
M,ManTech International,44.0,cfsmuofkjordjrbrecueepmtbp,Memphis,United States of America,58662.0,Sjjigfngyoqunkqiwnglbtnshzsqqkwnuzfxqoisioofvrfgkwrgmpypjrrsdyjvw,2.0,R,ltphslcqkzscmspcfazhtwbraucmisbwphwaptccsrnknwayvnmncterus,1333242.0,433.0,Fxjrydkmt,yqi9047,1-832-029-7337,yqiidts,b,3.0,5.0,MO,m
M,Hub Group,30.0,CJOJNSL,Mesquite,United States of America,390926.0,eleuwpmshfxxccbwhelpxtymsjpiwtvpsfcdeiaknqbwhlgtqyysnfnjrf,3.0,R,Dfsfaiglwcmcwjprwodkamyeswiroyj,2363869.0,754.0,YRELMMLD,ZDP9048,1-255-063-9344,ZDPGNYFJGEZPGGGWIZYIPCELQXSC,,1.0,3.0,WV,
S,Campbell Soup,32.0,GLNWMGTKBS,Pomona,United States of America,311591.0,,,O,LGHIMTNYGDQSXUPIBIQOXXOVYASDOVOCJRDABTEW,2654689.0,515.0,Iikfe,Zgl9049,1-566-389-6340,Zglbnhrvbuxevbvtjoiwcfly,,1.0,1.0,Prince Edward Island,
M,Exterran Holdings,97.0,Ldmhavyjlpkbwa,Warren,Canada,370163.0,Kgwqjggidasftmaayfymapcaflq,10.0,R,SFYKPNHJGFTDVVROQIHHGNLDHVKGARDGQJKKIYYWXLBONKCZATXEEFEWEOASUN,1718570.0,377.0,lactlbk,EOH9050,1-468-972-7769,EOHLHACMPUE,F,2.0,4.0,RI,M
M,Sempra Energy,51.0,IDSTDA,Des Moines,Canada,217166.0,dzvxzwfcbvfxysrajsfumhivqadxyf,7.0,O,fmcxrftfsnmbfngrqdadfhmupevenpkfjgohcrstsbbrqao,2275248.0,442.0,Wnesd,kuv9051,1-660-623-6276,kuvhuxqltiwnwfjoycbjgmwnkm,j,2.0,5.0,OH,
M,Embarq,61.0,kvsimhijxtzhpdywki,Coral Springs,United States of America,,Nvofcpiiadbxhopedivslamehrl,6.0,O,EAZSGVJWLWYXYMAFFOWAKNWYKDAJBZLEEBOFRHJLVW,2398575.0,448.0,qofquqfwcvrt,Hes9052,1-979-753-7274,Hesnddumcjioxier,,1.0,3.0,Manitoba,m
U,DirecTV Group,12.0,Qlywyoyyxbpangiidnpzfem,Allentown,Canada,134976.0,vnssdodtyvreoehirmnbxntigpgozmhm,9.0,O,Jegenuequqlajuc,3388009.0,786.0,ekcpo,Zqx9053,1-633-493-0577,Zqxgelwswgf,,1.0,3.0,NY,F
M,SkyWest,42.0,Fwfpdpavpbwcfebyirvdmuwpaoqk,San Francisco,Canada,457421.0,Kyzplevsyhexdefkvgzhktrfztojptdonqercgmmmpxiijsehevakkcay,8.0,R,Cwdfrjphmnmhqcadbbivoxo,1994676.0,501.0,lmvrhfetkkh,tyd9054,1-645-461-6717,tydnkjrkmywsx,g,5.0,3.0,Newfoundland,f
S,Saks,17.0,enuilrhdbtjh,Garden Grove,United States of America,439921.0,YJHLATGGLREUQWRAMULRPAHBWJOIWOSPZNTGUVCVTXIGQNJPPWSKNJHIXJCVXENMCCERMHUU,1.0,R,Wewzsrhdvukfpyjlpncpixvvyldaxgbjkbzgmzbfgs,1512099.0,368.0,TRUTKSZIOD,Dcn9055,1-107-122-3193,Dcnbspnqvhmvqotmrammdcldgty,,1.0,4.0,TX,
U,Mueller Industries,98.0,Hlcpsrsrfuj,Nashua,,484943.0,Ekxhegmiuqpnjtdrheimkgasuncwinbcwf,1.0,O,Lrworylpvgsoumvsmdauxeflatxdjzvseeghjtrbnkqmcagljh,3879319.0,811.0,BKBVLPJI,GCZ9056,1-527-338-9953,GCZDDEXMLCVOVJFGANDGIC,h,1.0,,MD,
U,Virgin Media,12.0,Zhbkluikubrhhlndfio,Sterling Heights,Canada,3931.0,Nixojzasogtniwqcvagw,10.0,R,,2650724.0,647.0,KEXLA,pal9057,1-325-444-4058,palsonmqziug,F,3.0,4.0,TX,
S,Brunswick,53.0,Ddiwnvlgbsxygsmlypkrvwvwwn,Mobile,United States of America,303855.0,Oqvveiqwxnvslqhvrtnrdljzmkbqainbljwtdtnkvgfkypqirlkifvitgtaookanccmicmvkxeaqam,3.0,O,DWSSEKRXKCMFITDVUIVNKBVZVLPNGJPTMURXOIZDPLIKPUKKNQRSBQOZJX,2932540.0,590.0,ZNSTEXTR,laj9058,1-100-973-7745,lajyyzvncxcgfsoqlllhxisc,D,4.0,0.0,ID,
M,Vought Aircraft Industries,92.0,Wlgckxxifqlzpaszuu,Lubbock,United States of America,390579.0,ZXEITLNIQSGHQIBIXUVEQJDQOCO,7.0,R,PYJBRXIFCSCF,2537638.0,413.0,yjxvjb,WKW9059,1-543-448-1276,WKWNDPXKYPVUOEGLSW,f,5.0,2.0,KY,M
M,General Growth Properties,74.0,Fxiynyiyvbtzblkywleuhrilfmjfe,Portland,United States of America,353787.0,KAKQMAMJAKDWEOUCQLVHSBLNKUZOPQHKFKYHTDUJVSRVAV,3.0,O,Qfuaxggcnxexzkbzszsdrssmpiaoqrefokeqflefsxrlqlstfsecrptkxlnoliuuevf,2419797.0,657.0,Arrxhyig,Iey9060,1-009-684-3357,Ieyokibpjrey,i,2.0,,OK,
S,Bio-Rad Laboratories,91.0,uvdxcfm,Mount Pearl,Canada,197638.0,muddmmkyuyslmgqglyghwqdfdqrhlqxxichytonirqkbodpobbhutaoctqhwqgcmkveqbyfx,2.0,U,diroxxgcrvorvntxqtsbruwdes,3120865.0,675.0,Hgryncq,Dvx9061,1-575-072-2765,Dvxbrmkkltfotmt,n,1.0,2.0,UT,
D,Career Education,70.0,Kacypsmeshodumqup,Hayward,United States of America,75876.0,Tjynqewluzsdpwnfvdvwwsxsobyjbimsfkfrwpxroddksotkhedxicehg,5.0,R,Bxrwdeboiekkwnyrlhkmzlvqqeemudumblohkxiogmtxnsfx,3782888.0,619.0,,SJS9062,1-080-029-2339,SJSUYT,,5.0,4.0,SC,
S,Inergy Holdings,45.0,Blbngjylfttlrtzkqrwwodfa,Tampa,United States of America,385649.0,GOPPDW,4.0,R,,839276.0,673.0,qxtvbfzt,Tpn9063,1-373-459-5263,Tpncmydt,y,0.0,,NE,m
U,Vought Aircraft Industries,,Tlgqfayx,Edmonton,Canada,54013.0,Ufccsjzrniejgnlvwfpywwbvtevjfrbksm,5.0,,Onatokwylcozhcayxbneofbkozwgudsrzycdjvjojksvwuicamrcs,3086070.0,677.0,Labxkmqtkriy,Wgd9064,1-204-082-1597,Wgdgrfkixmhmpd,K,1.0,0.0,Nova Scotia,f
S,BMC Software,4.0,Iofbqznircpzhfhboghaknpwqlh,Tacoma,Canada,352671.0,rkixchsmcgcyshhlpizklewagpzadlgtnrqnoxskelvobnwjpbixxmphfrztqsw,2.0,O,EUBFDZMVPGKJ,3369642.0,346.0,RTYXGVBTJM,Xzx9065,1-884-040-7471,Xzxxnixolagjcydk,N,2.0,3.0,CA,
W,Exterran Holdings,80.0,Rytknefuuesl,Dayton,United States of America,,Gyqqledftdmgqnupbpkspikgimurjgybbkcfqpmavyd,6.0,,REQQJEAXLSPXAPFRJNKBP,2911477.0,504.0,lxvdqfpjcj,Pus9066,1-442-918-1304,Pusnp,A,0.0,0.0,AK,M
M,Tesoro,34.0,Ouhvridnbezemrjqcbrvjovohycx,Laredo,Canada,467353.0,Goylmecehfjxdbjttncjvrklseicdtjfcrfupaqbpuoppbvmz,7.0,U,kiitlvhpjuhitkwbjatildsqusyodrseavvuzcqvdzqbpytadmjcdukuiifrqpdwmyblqxotwludyj,3583334.0,711.0,Akghp,Tqm9067,1-389-256-3830,Tqmvvudykpmkabchkquarv,,5.0,3.0,PA,
M,Baldor Electric,2.0,PHZDLCWOZJUSSQCMFKVRQMGALEJ,Yellow Knife,United States of America,,Bjpsxpfdofobcmnvbhpxpdvaciipcwksausdrgawlmocnnggqnwbazltn,1.0,O,Khycsiczst,3171605.0,821.0,TDNNF,FNT9068,1-226-949-1287,FNTOATF,G,2.0,2.0,New Brunswick,
M,Buildings Materials Corp.,95.0,Lwxzavrmguykbabntjdlmlbw,Augusta,United States of America,102847.0,bocmqczxexqgnyfvtkxfjhfzekqwdozkknmcqpu,0.0,O,wmstaiaexgpbpcfpaecgrvqncpbrljbvclshhtifvjgzgcueuicedvgpwozkgyxmgetmshf,,483.0,tkucc,zlz9069,1-287-294-5503,zlzcpjqizsyvnxxuq,o,1.0,1.0,AZ,
W,Masco,92.0,Xogirrp,Memphis,United States of America,155136.0,Rejgxpteligqvjgupchskyyfuhligyledgkawxproaazamnenocwzkjzq,2.0,O,Fmpjnemjiabsgragmx,2454614.0,684.0,qshfzhnjjhk,Gjn9070,1-066-757-8383,Gjnsxzckidfxjtozbdpyxbokrivoza,m,1.0,4.0,British Columbia,f
S,Symantec,3.0,bssehwfbuo,Dayton,United States of America,350615.0,uiajmbdkcpxdhibweamvaxllbwqkkhhcsudcnhigomodjzmqu,9.0,U,Tlyspwsdppqglioujajlcjguytnlbnngqwlnuptmnjjpdubvwnhzjfbkcvyhshhhi,2814752.0,801.0,Fjbfnkwyk,Exi9071,1-868-197-7645,Exidclf,,3.0,3.0,Ontario,
U,Dana Holding,76.0,WGTLIEHVIIFHMQEXCQVNJBWFNOLBE,Winnipeg,United States of America,256564.0,MPZDHVHKNGJHULHWBNHDMNGZIXWAKCPDCWRKKDGAAKRCRKYCNB,4.0,O,Ksndaaiiio,2386722.0,741.0,ERSAO,Kfh9072,1-572-501-3425,Kfhtjeqjfivug,t,0.0,2.0,CA,F
M,,62.0,Wibnewirprgqplygwqgowuxajg,St. Johns,United States of America,393221.0,zgbaboajaunynlfjtnwounbbwqfczlnxsmslinusroermsshbivk,7.0,,Tkaswbaiudljzppltrssxgvmhmjxscdktcvjqohwkuovhimaqmwxnula,1764876.0,744.0,Ivfizpm,FHM9073,1-919-835-6946,FHMXADMNCPVFUKVAGZDSYHQAK,,4.0,5.0,NH,M
D,,4.0,jztxzhbhwh,Victoria,United States of America,257831.0,LNNJGSWTPANUQUXFEUX,4.0,O,RRQLHCGQJXLWJECKIUQFSBOHMMXLKPPPV,2615328.0,310.0,Ufbkukftvbg,FCY9074,1-473-992-1561,FCYYK,D,3.0,1.0,Nova Scotia,
S,EOG Resources,49.0,Khlblcvifgpfjocdabgqbbptcilual,Irving,Canada,214159.0,Agjydlnrsgpraiwwpdwcwlakrz,7.0,O,DRYAYQVMNNTXAWIYWEANBJNNXCVJGNHDDTOAQKZYUPTXAIGUIIUNUPMVZCTBUCGCNOIJJWUTP,3391580.0,590.0,stkvmgxqusk,nax9075,1-851-333-6758,naxegynlemsoxkilrcdghojfpa,g,3.0,5.0,ID,f
W,Retail Ventures,,Lmsbafghjfoiuhaasevqnltmxmixbq,Billings,United States of America,306852.0,Ficekkddwuqxoalfofepcqdttcvaomdktsdgwateufqdofwnnpaxxibkpdxnvrsgbuyypmuyylhserp,,O,Mldpwfvzyesfmvzlrtustgfrsacqmxllobcqtqskmwbkkuvszmynijqkjeeqvriaiyeiasthbpyy,3027394.0,446.0,Pprndbitt,Awg9076,1-640-867-5083,Awgnttkataf,,5.0,5.0,VA,
U,Hewlett-Packard,52.0,SIZLAOGEQVQIRKQSNPVQI,New Orleans,United States of America,65222.0,Gvnmynvkieygtchutlvhbpmelymkbfiepxbuledungtbidm,1.0,O,Ncytheonautnhlpozdsyxwruyrdsxvknzcjhitxsxkvzkcbjfcon,2720766.0,461.0,GPIFAENAKL,BUA9077,1-110-646-7688,BUAZKV,,0.0,5.0,AR,M
S,Level 3 Communications,33.0,wnuluragnlrvdqsjhumio,Biloxi,United States of America,,slqtqtdbnsaibzwblwxjvphkbbqzshvjqcvurhotvtmtqbxnvafauyuzdysmyctucwnixc,10.0,O,fcoousrjwnjqwvyjjsmuhjesjf,2614673.0,742.0,smizh,ZHQ9078,1-349-628-0712,ZHQQMIBJISNPUM,,0.0,2.0,British Columbia,M
M,Arch Coal,69.0,uqmlinoijwznbzihcoilm,Mesa,United States of America,82665.0,Npfmmehaalytpxtczhxbjsbjurnhfanramubmghwqiqphudcvq,0.0,,XKKPWPSUYXQXFHCVFDLTKEDELVGABDVSNHJXBGWCUWXIGZBSJTNHFYCJRVCQ,1851946.0,798.0,Lzibpsbu,Gch9079,1-756-238-8923,Gchvoheqfnfpb,I,2.0,4.0,RI,m
M,NSTAR,76.0,LFXMEBPJGZAPMNHLFENYTFQNHTYTKN,Peoria,United States of America,408469.0,wfatskvdrcwhssauiqpnotcpm,1.0,O,Uelgjakkjjuhgwawsilpglqhdmehmfzqfdadsgcopheuezvpgbbxszi,2434597.0,371.0,,Zex9080,1-086-992-9966,Zexevlyofqqjmu,,1.0,5.0,AR,
M,Walt Disney,4.0,Jgfztkwqjfaflhex,Colorado Springs,United States of America,,jgzdrijudfjlvrsdvoiliiriotxuoomopnqgyhmnsefjvucjjhcqfcnvqydqsvfnqonsdgfmkuvzpk,6.0,O,,728389.0,475.0,Uqubzzf,moi9081,1-477-506-8567,moipenuhzeqajfpssljvsngxbbcie,H,1.0,5.0,AR,
W,Merrill Lynch,69.0,Iqjtl,Billings,United States of America,253501.0,VVUSJEGVSOHUBFLMIUTIBIIFJCAXFPXZWDHVMODHGHPJJRVTOTQFKZTFRGNQIRVYIYMO,5.0,O,Tlaohvntaehfizoekoeugaqhmspofhwdxypuxkokglakxrrsfogbhmx,3255082.0,,Omxdvols,noc9082,1-316-309-6226,noczhzumtsm,B,5.0,3.0,MD,
,Nationwide,68.0,Tdmipllmcmvcinshjkc,Saskatoon,United States of America,129484.0,rihronmqcafhjvevhuwgdfaruokcsscngckltpwxgfslpy,2.0,O,pleermrmaldtjxtbpuezkxeumalejldudooanbetmnxxhelozlvnovqnatgd,2071646.0,370.0,Ipleuoqo,Evp9083,1-634-474-3568,Evpacpro,,4.0,,MT,
U,LKQ,43.0,xqjpart,Peoria,United States of America,,wrsvtlfivjsliwylehxrxgwwuphjhutguexpvzxetzcqpsngssjouucawv,4.0,O,,2966387.0,599.0,Tkpxk,Noq9084,1-085-164-1972,Noqixybv,O,2.0,3.0,Prince Edward Island,m
S,Intuit,24.0,Anqmslrnbkqp,Oxnard,United States of America,,,9.0,O,Zvwmjvlajqsmtngsgrhttlbacdrzhsxcloneqxlqfasaeayuckavpijemgtlfhpvnljvcjuich,3849332.0,359.0,Lcrfpouordka,Cpc9085,1-892-816-7266,Cpcfq,d,1.0,5.0,MI,
M,Mueller Water Products,76.0,Bwijcvmaelrtl,Los Angeles,United States of America,183286.0,hherbaogbhyeqrrrfovigzfqqwovgar,9.0,O,aodpsbl,2584817.0,482.0,Hcmlfnegomg,bsx9086,,bsxngx,,5.0,5.0,WA,f
M,Fred's,57.0,Blqxhfsml,Baltimore,United States of America,307679.0,ZEGQHPRSEDUNJPLUJGISLIMRBXIKKJQ,5.0,O,iabsflhfmnpigkehinoditnhsbg,1141717.0,431.0,fxmpsasfu,KBR9087,1-601-434-0469,KBRXRSSNOGPBJDWYFCJGQEHVT,c,1.0,4.0,Saskatchewan,f
M,Pfizer,17.0,Jftrvjrdwnsdltawtbsjwlfo,Anchorage,United States of America,324935.0,TMYNBLJB,0.0,R,,,823.0,Zhizpkmypl,Ori9088,1-857-345-8085,Orimmuqaopk,I,0.0,5.0,AR,f
U,First Horizon National Corp.,72.0,wfhpryujgpkuucpocitsgk,Missoula,United States of America,103312.0,Cbyofroeiziysvfrkyvpoijxxwjguegxkmjjench,0.0,O,iuvjdqtcvefhopibzud,1685550.0,424.0,vurpvjphkwsc,Yep9089,1-699-092-2187,Yephoxaqysvklaapfom,,0.0,5.0,UT,F
M,Albemarle,98.0,pvdpruapyzovbdwkemobnddzs,Laredo,Canada,289915.0,Mabnt,10.0,O,fflycezktlhdqkotcgldggpvmncemfcbbjxcvrgoryazzogbcilekqlalugyvrmcefupfyt,722484.0,439.0,,Zba9090,1-835-922-7917,Zbahlgqcsmiixxlrknisapew,U,0.0,2.0,New Brunswick,
U,Corning,11.0,Kgnhfxkgnxef,Waco,United States of America,31237.0,Jtzikqjhfuuccwxxeqhebrglyzaylzvtwtesofxtdwpititmslhghwiakreavppofloukatqmkqodt,8.0,O,fsrccwhgssmlzvbwpizeranpgzmxt,1758014.0,634.0,bhrtipm,Kgl9091,1-063-730-2652,Kgljgapdv,,0.0,3.0,MT,
,Wells Fargo,13.0,Skywhphpxuqqfqyxzugcyfdp,New York,United States of America,468473.0,zktedglnuuiksbowtluuprccqmnpxxdahlt,3.0,O,YVMEFAXBRRCKTJEJRDCAD,,308.0,UVLLLDKKZD,wge9092,1-766-865-6032,wgevsrufkzlppfeixszm,,5.0,3.0,MS,F
S,HCA,2.0,HPQIJBAHTSFYZMC,Seattle,Canada,341264.0,ESYDWPIVHEBMTKARWWRRUQDRTWPTIGBNUXHSMKKQBCKGWXMVGSXFRZDSAUQKGSTI,10.0,U,Vcherzssaxyoawbjrtymiwqqkycppdvdnpgiwzt,3804205.0,426.0,fcudpfssq,iqm9093,1-932-118-6007,iqmiwiqd,v,3.0,2.0,CA,
S,Norfolk Southern,97.0,lfdmeogewcfhdfagtvdfrgliboumtc,Sacramento,United States of America,461893.0,Mjqhkhtiuhczofkekxqdbwofxgcgwhybweanutkbeccnbelpodwreojvr,9.0,O,Glwgutidbkmtvkxsavhgqjlavfitpobnsoelmcvvbfihbfrjgotbfqpgefurtedgbefypfxcvmhzl,309089.0,580.0,gzzayzgdusnw,TMP9094,1-337-427-0265,TMPTKOHSTUXSYJDPWVICX,,3.0,0.0,NY,
D,Sun Microsystems,45.0,ISNZJSJBXAFZRYKSLS,Omaha,Canada,134034.0,Oeiaqrphikmrejucprhqnlyosdmispwdawmkeakljulnfnzorkyshhmxditonddfmwnkfkexairwbhfm,5.0,O,Llzvfixu,2521415.0,835.0,XSHNBKODXGA,Gzn9095,1-598-611-9957,Gznlsylokofbhnxzgqxlcxvequf,a,4.0,5.0,KY,M
S,Service Enterprise Group,20.0,Fnjyvddhqlabivimojtuecefjep,Louisville,United States of America,469123.0,JALMWRYGGEIWDDNTJNFCNYYEXOADZRWTO,2.0,R,Lugazqx,2990483.0,544.0,fdgxtrhffehn,ERT9096,1-974-176-6655,ERTRTR,S,1.0,4.0,AR,
,Synovus Financial Corp.,23.0,Lqovlximeaxngo,Newport News,Canada,202723.0,Rhpwlsjxpzlva,2.0,O,,1771252.0,831.0,Qmlhgchfsjvm,SHG9097,1-564-317-9383,SHGPDQLSVOOSDOKYCMOMWZT,z,4.0,5.0,OR,m
