prospect_gncd,prospect_frstnm,prospect_phn,prospect_nmbrcrs,prospect_stt,prospect_ct,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Cos8214,Uhasfhugxokmwwweir,1-303-166-3207,,IL,Provo,1.0,S,44.0,473.0,O,HNI,9.0,789890.0
FRJ8215,Avamsoppkhcgzuqtdfqcb,1-737-247-0619,3.0,Newfoundland,Los Angeles,1.0,S,12.0,743.0,O,Williams,7.0,2886430.0
Vbk8216,nnnrubuanuoqhp,1-071-444-5129,1.0,OH,Brownsville,3.0,M,92.0,404.0,R,eBay,0.0,3066721.0
Zsg8217,Ccyliytexfjkfqrik,1-573-874-6141,0.0,MO,Newport News,1.0,M,51.0,681.0,O,YRC Worldwide,7.0,872916.0
bcw8218,Drlfgwkjyikwhisyggeudjquntp,1-074-853-1368,0.0,IA,New York,3.0,M,79.0,554.0,O,Ford Motor,0.0,354979.0
Sad8219,edtmttbv,,5.0,Prince Edward Island,Columbus,5.0,M,81.0,691.0,O,Xcel Energy,4.0,451259.0
gdy8220,Tuupugqczlavoopi,1-461-637-6649,,Alberta,Fairbanks,1.0,M,39.0,456.0,O,Watson Pharmaceuticals,2.0,1210004.0
Skw8221,Fggsufnkfmelvgyjkezrlnswoddtd,1-569-602-1277,0.0,WA,Sandy,1.0,W,9.0,592.0,O,Plains All American Pipeline,6.0,827501.0
Iin8222,Qgnblafndsz,1-439-765-3706,3.0,CO,Chicago,0.0,M,85.0,811.0,,D.R. Horton,4.0,1214585.0
Hvx8223,Qowjjoagmlkgoshfxchschihp,1-246-017-9030,3.0,ND,Pittsburgh,4.0,S,95.0,,O,MetroPCS Communications,,1626041.0
WMQ8224,SDNYFRMGERF,1-923-307-7682,1.0,British Columbia,Toronto,3.0,W,19.0,,R,Comcast,9.0,1664278.0
Kpx8225,Jrpdxslsjaitcgbgje,1-752-166-6659,5.0,MS,Santa Clara,2.0,W,17.0,476.0,O,ConAgra Foods,0.0,3621441.0
VPV8226,FOKCITVXMQORYEKOSC,1-320-563-0473,0.0,OK,Missoula,5.0,M,59.0,512.0,U,RadioShack,6.0,1736086.0
VYM8227,ldqwbgqddxwvlrqcgveoallj,1-321-306-1431,1.0,Ontario,Quebec,3.0,M,97.0,693.0,O,CF Industries Holdings,8.0,1253712.0
Mgi8228,jiafttrkfdfxej,1-052-095-8041,0.0,KY,Mesa,4.0,S,45.0,623.0,O,,5.0,58913.0
Gbw8229,Xjpevbukikogxjgdbr,,4.0,IA,Santa Ana,2.0,U,54.0,622.0,O,Teleflex,3.0,1999815.0
qma8230,Vnaxqiqgvgtolwihahbmijjjssio,1-052-009-5616,4.0,Saskatchewan,Oklahoma City,5.0,,17.0,750.0,O,Sigma-Aldrich,2.0,896850.0
Zwk8231,Yucdkwkaralraloiw,1-170-960-9109,0.0,Alberta,London,5.0,M,72.0,686.0,R,Steelcase,6.0,3240804.0
NMP8232,Fqsgea,1-847-755-5040,2.0,KS,Grand Rapids,3.0,M,5.0,648.0,O,FirstEnergy,9.0,2554609.0
GTD8233,WFTFLQLUQACPIMSSGEGWOL,1-224-955-2425,2.0,WY,Colorado Springs,0.0,D,56.0,499.0,O,Affiliated Computer Services,9.0,988258.0
Bic8234,aqrcqagkmchehta,1-292-360-1691,4.0,Saskatchewan,Iqaluit,2.0,M,2.0,682.0,O,Cytec Industries,0.0,1873895.0
IDA8235,gaekbxp,1-991-535-2419,4.0,VT,San Buenaventura,3.0,M,,561.0,O,News Corp.,2.0,2357669.0
lwk8236,Odtqpljvpmhyaewcriuansipstghd,1-399-636-9496,1.0,ME,Torrance,0.0,S,,679.0,O,Discovery Communications,5.0,1038657.0
Zht8237,eetamvoamhvhxbftt,1-111-488-6975,0.0,NC,Sunnyvale,2.0,S,88.0,495.0,O,"Toys ""R"" Us",1.0,1104168.0
kcg8238,errpyy,1-153-902-5023,4.0,MI,Boston,2.0,W,35.0,801.0,R,Hexion Specialty Chemicals,8.0,3238082.0
Qtq8239,Foxlmlxnaoopwiytqiumpp,1-225-117-5803,5.0,ND,Montreal,3.0,U,54.0,611.0,,Trinity Industries,8.0,2417935.0
SNX8240,Nralbmee,,0.0,WY,Warren,1.0,M,72.0,525.0,R,Applied Biosystems,6.0,2714291.0
umw8241,Itbaluqrdzaogxymgbny,1-812-389-6366,5.0,IN,Charlotte,3.0,S,68.0,805.0,U,PerkinElmer,10.0,1200283.0
Kdu8242,Tjptfgw,1-048-272-4247,5.0,Prince Edward Island,Macon,4.0,S,2.0,508.0,R,FMC Technologies,6.0,3904614.0
Voq8243,WTLQZTRCUTYNIXP,1-501-508-6157,0.0,Ontario,Waco,3.0,M,79.0,490.0,O,StanCorp Financial,7.0,2821487.0
gga8244,NPHTOYFJMENHCQYF,1-336-477-4646,1.0,VT,Wilmington,0.0,M,,510.0,R,Gilead Sciences,6.0,1237889.0
OHZ8245,Hlqfwcocwn,1-474-720-6190,3.0,FL,Baltimore,1.0,U,89.0,761.0,O,Carlisle,3.0,1753222.0
XKK8246,VZVRHKKDE,1-799-030-5417,3.0,NM,Bellevue,1.0,M,86.0,639.0,U,US Airways Group,9.0,929818.0
Btx8247,Bztunhjcroefgumpyxghaqyw,1-712-712-1689,4.0,VA,Hilo,5.0,U,45.0,375.0,O,Steelcase,,3936166.0
Ihd8248,Pokarfduavw,1-735-098-2967,5.0,IA,Ann Arbor,2.0,U,17.0,410.0,O,Las Vegas Sands,8.0,3874282.0
Axh8249,Jxtojmbvnhhddtscesee,1-268-546-4849,0.0,FL,Shreveport,1.0,M,51.0,567.0,O,Discover Financial Services,4.0,667415.0
jyx8250,BDDWRAXICYTMHVTSDVR,1-252-339-9310,1.0,Quebec,Warwick,5.0,M,34.0,338.0,O,Cummins,6.0,3919924.0
Jir8251,hcmaebyzjvrc,1-558-469-8699,5.0,MS,Vancouver,3.0,S,15.0,328.0,O,Unified Grocers,1.0,3029241.0
nbh8252,Ucvhmofoxyrlms,1-529-039-7160,3.0,VA,Wichita,1.0,M,77.0,461.0,O,Liberty Mutual Insurance Group,8.0,2706929.0
Gbd8253,WJYKUMONVEGRJHUUWOFKFJUQ,1-149-127-7299,2.0,NY,Topeka,4.0,W,50.0,720.0,O,United Services Automobile,4.0,3588909.0
Gji8254,NWWSVMUKWGSKPNBTGZRECQIULSSZ,1-548-271-6193,0.0,LA,Buffalo,2.0,M,98.0,697.0,O,,2.0,3208555.0
MRJ8255,Tgpjnwmhumabgymoxidjn,1-959-002-8858,4.0,AR,Garland,2.0,W,81.0,426.0,O,Mattel,10.0,3859308.0
Qev8256,xsbuyngvvbisozvnjqnbodl,1-790-570-3402,3.0,Prince Edward Island,Scottsdale,,M,29.0,412.0,U,Church & Dwight,3.0,2372347.0
REX8257,Jnlzmjcwkpemyymlh,1-459-573-8675,4.0,IA,Anchorage,4.0,M,61.0,589.0,O,Mohawk Industries,10.0,2547185.0
Shz8258,wkdvxre,1-736-284-7347,0.0,OH,Kansas City,2.0,M,23.0,832.0,U,Vishay Intertechnology,0.0,2397440.0
Ibx8259,Pghxkpvmgykhhswgu,1-413-543-7562,1.0,Saskatchewan,Colorado Springs,4.0,M,34.0,,,Hanesbrands,8.0,1278208.0
Srz8260,dzohpfyrblsidtjngmxlrordkq,1-086-431-7246,5.0,SD,Fairbanks,3.0,M,91.0,766.0,R,ConocoPhillips,0.0,1657447.0
FLL8261,Mqwcfyiprvsirchhacxorh,1-385-146-8140,5.0,NC,Inglewood,5.0,M,90.0,508.0,O,Clorox,3.0,3306301.0
foq8262,renxmtwbgbeli,1-555-884-4350,1.0,VT,Fresno,5.0,S,99.0,744.0,O,Mutual of America Life,5.0,3114013.0
wsz8263,ZAWCSPHUSBYDJBYU,1-747-411-6701,0.0,CA,Quebec,0.0,S,94.0,569.0,,Medtronic,5.0,1628599.0
Mlh8264,YVOWJQOE,1-068-236-5784,0.0,Newfoundland,Allentown,3.0,M,70.0,632.0,O,Xcel Energy,8.0,406225.0
GIQ8265,biywtldywztveknplf,1-866-836-5802,2.0,CO,Newark,4.0,S,43.0,709.0,U,Portland General Electric,0.0,1201091.0
qsw8266,ijnbscdbqqsocghvx,1-998-541-3254,4.0,OR,Overland Park,5.0,D,21.0,448.0,R,Molson Coors Brewing,2.0,3141283.0
bfv8267,JJIBTDGBWHWOIMQERU,1-885-323-1549,1.0,NC,Brownsville,,M,56.0,452.0,O,PG&E Corp.,,1926007.0
jqv8268,Drnhlmcrckf,1-514-968-3721,3.0,Newfoundland,Newark,2.0,U,10.0,841.0,U,Williams-Sonoma,6.0,2838996.0
Buz8269,Ugfwtampizrxogf,1-269-244-1579,2.0,CT,Oklahoma City,2.0,M,51.0,570.0,O,Honeywell International,5.0,1737347.0
End8270,FUXMVCVRUDAMQHROEHP,1-372-816-4603,1.0,AR,Hull,0.0,M,88.0,328.0,O,Raymond James Financial,6.0,2727896.0
fnw8271,Ibtbtxmcvtwvijegzzmyxezaqcgq,1-469-915-1376,2.0,UT,Lowell,4.0,S,29.0,691.0,R,Calumet Specialty Products,10.0,1463334.0
rra8272,Kvvixfanpvev,,2.0,IN,Bakersfield,0.0,M,42.0,549.0,O,Cinemark Holdings,3.0,3778043.0
Zso8273,xvgnmmwd,1-980-661-2985,4.0,NE,Stockton,5.0,M,49.0,399.0,O,Hasbro,7.0,
Jun8274,Sbbnesrvfiuf,1-219-975-6702,1.0,Newfoundland,Frederick,0.0,,,419.0,O,Ecolab,5.0,1111335.0
YPV8275,Jwgobvuokphtfmuluahwfw,1-853-223-4071,3.0,UT,Hamilton,0.0,U,33.0,739.0,O,Activision Blizzard,0.0,3962912.0
Dey8276,ivzklgeuujrffttsufderbqqibadek,1-353-902-3981,,SC,Elizabeth,2.0,D,35.0,807.0,R,Asbury Automotive Group,0.0,643738.0
Ihr8277,Zeohltwkqfwijfxxndnqt,1-543-814-1676,5.0,WI,Hialeah,5.0,S,3.0,571.0,O,Wyndham Worldwide,,3566462.0
Dqo8278,sfjzolrwvmosbsouxr,1-559-289-7306,3.0,KS,Inglewood,1.0,W,83.0,,R,Zimmer Holdings,0.0,2076840.0
Adm8279,zuubajrrahsxgj,1-666-150-9832,,AZ,Fairbanks,2.0,U,37.0,468.0,O,Flowers Foods,4.0,2685720.0
Dyl8280,zeaexfpwzoqohxnrssajrkwiss,1-912-438-2596,2.0,Nova Scotia,Oceanside,2.0,U,94.0,720.0,O,H&R Block,4.0,974327.0
LAL8281,bbolbqgsxcvkrtwjjafw,1-551-364-2695,0.0,GA,Warren,3.0,U,,529.0,,Spherion,8.0,371533.0
RHK8282,Nlgudmfywhmankncpbipth,1-326-313-5651,1.0,MO,Denver,5.0,W,74.0,305.0,O,Dominion Resources,4.0,1033295.0
jgp8283,Ocampeuciugmeoelfrxecawulknnf,1-068-074-9026,,ME,Huntington Beach,2.0,U,30.0,331.0,R,Fifth Third Bancorp,2.0,3099872.0
frg8284,oqlwffzvfiaajukmy,1-514-868-3441,5.0,WA,Sherbrooke,2.0,M,52.0,377.0,U,Ferrellgas Partners,4.0,1291565.0
xwe8285,stlyjwslbfajjnshvafaedijxc,1-587-880-4716,5.0,NE,Irvine,5.0,U,93.0,739.0,O,Aramark,10.0,788535.0
PRF8286,UTYKJRYJO,1-727-447-5620,3.0,UT,Anchorage,3.0,,67.0,421.0,R,Wesco International,2.0,1886889.0
Mqj8287,Bhiibxfmgacvpjnnjigshge,1-375-508-8176,0.0,HI,Buffalo,1.0,,25.0,656.0,,Hospira,1.0,
JQO8288,kvgftwzfetbrngdav,1-278-610-0395,2.0,CT,Grand Rapids,4.0,,94.0,378.0,U,Hartford Financial Services,3.0,2868030.0
Mkb8289,Vqfmrbmqmnfhwdlcmkajc,1-998-478-8123,4.0,OK,Aurora,0.0,M,37.0,652.0,O,American Electric Power,4.0,3517153.0
phr8290,Wcqnq,1-365-036-0540,1.0,ME,Winnipeg,5.0,D,0.0,,O,Loews,5.0,1888168.0
OGP8291,UBNAAWIBEAWN,1-617-193-1217,5.0,HI,Omaha,1.0,S,41.0,699.0,O,BorgWarner,6.0,2688811.0
Kzv8292,KFLHXVOQPMKOMS,1-263-955-2325,5.0,MI,Overland Park,0.0,D,79.0,511.0,R,Hexion Specialty Chemicals,3.0,2318514.0
Mxm8293,whufulsklxghrvitmbgzba,1-690-400-7919,5.0,Ontario,Thousand Oaks,0.0,D,92.0,738.0,O,Superior Energy Services,4.0,3261356.0
Ups8294,Lppbhyvretlcv,1-029-325-4281,5.0,Saskatchewan,Billings,3.0,S,21.0,403.0,O,DynCorp International,6.0,2166586.0
KHN8295,Usmfxlmxvjhfyxcmfphbo,1-262-777-5215,3.0,ID,Sandy,1.0,M,18.0,495.0,O,Vulcan Materials,3.0,1622840.0
gxk8296,OQXMVQEVNRSXIVXWA,1-104-172-5088,0.0,MN,Grand Rapids,4.0,U,,618.0,R,Jo Ann Stores,5.0,1711660.0
zce8297,Cuduxsshbqmmnepnth,1-348-111-9084,3.0,AR,San Francisco,4.0,U,79.0,661.0,O,Genzyme,3.0,2306134.0
ufz8298,hikjbpinscefhafvrjkoie,1-653-997-9543,1.0,Ontario,Flint,4.0,D,31.0,690.0,O,Kindred Healthcare,0.0,2920907.0
luk8299,DOWJUCGLUQOHAQDKWU,1-321-311-4553,2.0,Saskatchewan,Fort Smith,3.0,U,16.0,388.0,O,Dun & Bradstreet,1.0,3409998.0
Pgj8300,Dcdfihpl,1-495-037-1682,1.0,Manitoba,London,0.0,U,7.0,405.0,O,AmerisourceBergen,1.0,3355826.0
Jny8301,Chgxonsdbkuzmxlxuqhidbejow,1-059-699-6840,0.0,NV,El Paso,3.0,S,55.0,744.0,O,Scotts Miracle-Gro,0.0,3216402.0
Wfs8302,Pmtpzeucyxwgteyglfifhgexl,1-516-996-6623,1.0,MN,Santa Clarita,3.0,M,73.0,332.0,O,Owens Corning,9.0,1530401.0
rzx8303,Asqnbilufegjvvqidaimfw,1-247-641-8846,4.0,Newfoundland,Allentown,5.0,U,10.0,717.0,O,American Express,9.0,2738959.0
Phn8304,Bvrnngrwah,1-038-753-7861,5.0,IA,Charleston,2.0,M,2.0,446.0,O,Source Interlink Cos.,4.0,755150.0
Fay8305,Gtuhcphozltpzzrop,1-089-612-4002,2.0,FL,Victoria,2.0,M,,518.0,O,Illinois Tool Works,2.0,3439669.0
Dta8306,Hudbfurfefi,1-323-261-4767,4.0,KS,Simi Valley,4.0,U,73.0,689.0,U,DynCorp International,2.0,2233842.0
Xtx8307,FLWZTQRLQUU,1-965-130-1576,4.0,NH,Louisville,3.0,M,29.0,425.0,R,Tyson Foods,2.0,1712245.0
Jbo8308,Kdqhtemimorhhvdgzso,1-353-313-3825,4.0,MI,Rochester,2.0,S,84.0,770.0,O,Harley-Davidson,5.0,1517955.0
Onl8309,Zcctyaphheddak,1-031-949-4840,1.0,IA,Windsor,,,96.0,342.0,O,Cracker Barrel Old Country,5.0,2059713.0
Iyg8310,yzumkz,1-838-427-0008,5.0,Saskatchewan,Huntington Beach,5.0,S,44.0,575.0,O,Idearc,8.0,3107564.0
Sju8311,Feietljkdqapzhwe,1-625-093-1158,,MT,Nashville,,M,21.0,669.0,O,Rohm & Haas,2.0,78813.0
kjt8312,Fhwoen,1-383-665-2314,1.0,OK,Albuquerque,0.0,M,53.0,693.0,O,Paychex,0.0,3028301.0
XSN8313,Yuwuomkfqovsqlui,1-285-784-3736,0.0,VT,Escondido,2.0,S,29.0,559.0,O,AFLAC,8.0,530655.0
idm8314,Fziccmjofpjaxsrxqokdlpcihstne,1-540-762-5989,5.0,KY,Springfield,1.0,W,56.0,362.0,O,Polaris Industries,1.0,3285886.0
Fid8315,Buytenw,1-404-385-6647,0.0,NH,Buffalo,4.0,D,69.0,813.0,O,,7.0,2451048.0
Veh8316,RXNLKSMBDXVNMLQKQDA,1-571-358-3286,,SC,Baton Rouge,5.0,D,94.0,755.0,O,,7.0,3165266.0
ZMU8317,Ssgccryjxavrulkfsdtqi,1-158-505-0198,5.0,Nova Scotia,Hialeah,,D,94.0,431.0,O,Carpenter Technology,5.0,1628344.0
zzn8318,Ptnlupxjboffzlhamkjwp,1-823-289-3395,0.0,ME,Montpelier,4.0,S,35.0,707.0,O,KBR,3.0,3911459.0
AFZ8319,Qabcqhqjmajjgrnfiknmfproknvh,1-366-576-7674,4.0,IA,Chula Vista,5.0,M,77.0,584.0,O,Health Net,7.0,3499177.0
Ejj8320,UBHSYLVZ,1-241-402-2286,3.0,Newfoundland,Norfolk,2.0,M,84.0,449.0,O,Group 1 Automotive,10.0,1928426.0
Fjf8321,XEHNUJIKPKYKPMGSQY,1-163-510-4261,0.0,OR,Huntsville,2.0,M,90.0,807.0,,W.W. Grainger,10.0,928230.0
CGY8322,Btfvngdvnbbmbubfwaidz,1-693-041-9883,0.0,IL,Augusta,5.0,W,72.0,810.0,O,Mattel,8.0,2224043.0
bel8323,Nzxeqrlzwy,,3.0,VT,Charleston,3.0,M,33.0,772.0,O,ScanSource,9.0,192997.0
Llp8324,nasaqtzcqgqnlxtysufcu,1-033-611-0110,1.0,NJ,Kansas City,1.0,U,24.0,793.0,O,AnnTaylor Stores,,2573716.0
Yie8325,hedlqjbfdfovwgogbghrcdmj,,1.0,MA,London,3.0,D,63.0,587.0,R,,6.0,2891892.0
Lsj8326,Vndhsbjqkelocefehhdhnjpnsocv,1-223-574-4581,3.0,IL,Madison,4.0,M,77.0,816.0,O,,8.0,3542416.0
dcy8327,ZLPOP,1-286-662-5149,1.0,HI,Atlanta,5.0,S,12.0,662.0,O,PNM Resources,5.0,340613.0
Goq8328,Zrduepvymcsudkymoqcxusswh,1-376-958-1811,5.0,MN,Cedar Rapids,4.0,S,61.0,324.0,R,Fidelity National Information,10.0,1620653.0
qfq8329,Dpyldrfmhckidoom,1-074-357-6659,3.0,LA,Dayton,4.0,S,66.0,,U,Expeditors International,4.0,469588.0
sea8330,Wllmwfujsonnngqaboimuwalstj,1-838-734-6644,3.0,British Columbia,Baton Rouge,,,98.0,825.0,O,Target,0.0,628952.0
Brx8331,Axrfrf,,0.0,ND,McAllen,,M,32.0,768.0,O,Watson Pharmaceuticals,4.0,2627200.0
Udh8332,kpcmntroczd,1-417-441-6704,0.0,Quebec,Saskatoon,3.0,D,14.0,506.0,R,AnnTaylor Stores,,1162079.0
Jsj8333,Wiqbmltkpqztvxomqkcamznflmav,1-217-642-9000,2.0,Newfoundland,Fargo,,M,78.0,,O,Cigna,1.0,603942.0
Ghx8334,evkgpqjffugnufnzkxvjspga,1-119-538-1837,0.0,FL,Charleston,4.0,M,27.0,700.0,O,ConocoPhillips,,2528598.0
Edz8335,Agscwxstfahmfggjmmgzpalr,1-790-202-9336,,PA,Augusta,0.0,U,12.0,354.0,R,Leap Wireless International,6.0,3459874.0
Fun8336,Ebgidqbwfb,1-373-451-3779,5.0,SC,Hialeah,0.0,D,33.0,661.0,O,SPX,2.0,2834186.0
SOZ8337,Khvqsgykl,1-100-752-8483,5.0,CT,Toronto,0.0,U,74.0,609.0,R,BE Aerospace,4.0,3505753.0
buf8338,Auksjodbgrfwdgoccjbbjdhwvszym,1-843-287-9110,2.0,UT,Lowell,2.0,M,70.0,846.0,O,Western & Southern Financial,0.0,1592317.0
Maa8339,FULEDRRKUTHJASZVK,1-545-551-5882,1.0,SC,Philadelphia,2.0,W,93.0,709.0,O,Medtronic,1.0,2404099.0
pwo8340,ESUOR,1-556-545-4106,1.0,WY,Billings,2.0,S,27.0,402.0,O,,4.0,
vei8341,nxsgbnkatgwsyaeqejygpf,1-711-159-0030,0.0,NM,Las Vegas,2.0,M,96.0,594.0,,MetLife,4.0,3281237.0
Big8342,Ozybrvxztlgtocgsjw,1-571-456-8029,4.0,SD,St. Petersburg,1.0,M,35.0,717.0,O,,7.0,3191520.0
Gwl8343,Yevbnmpeuuugm,1-375-881-9626,3.0,KY,Virginia Beach,0.0,M,79.0,416.0,O,EMC,1.0,1098160.0
UJD8344,ebnndieeluiiuqsiopqvtypgaty,1-502-145-4210,5.0,GA,Coral Springs,2.0,M,81.0,489.0,O,International Paper,10.0,3216384.0
TJA8345,Nnvkqgggyyjvnw,1-978-773-4788,1.0,VT,Richmond,4.0,U,78.0,435.0,O,Bemis,9.0,33574.0
Lqn8346,kbrsajutj,1-305-742-1412,3.0,OR,Overland Park,1.0,M,19.0,645.0,R,Dresser-Rand Group,9.0,574125.0
Sjv8347,Yuvsw,1-425-281-0871,0.0,AR,Nashua,4.0,M,88.0,594.0,O,AT&T,0.0,3712135.0
XOS8348,Cenkpugxblzucfnbq,1-201-283-9289,1.0,WY,Las Cruces,1.0,U,68.0,779.0,O,Pentair,9.0,477424.0
Tsn8349,UYNREPABHTWQPPTYBUWCQH,1-370-140-5115,0.0,Saskatchewan,Rochester,4.0,U,15.0,635.0,R,Ball,8.0,2296151.0
aqb8350,ahnyqtixdzmgtawgkioiru,1-213-108-9032,3.0,CA,Gary,5.0,S,66.0,407.0,,C.H. Robinson Worldwide,6.0,1205049.0
Tog8351,Egrsrwlehsunqceeckabrokavsagna,1-935-846-7322,3.0,British Columbia,Fort Lauderdale,3.0,D,44.0,667.0,R,ConocoPhillips,,612942.0
Srm8352,HOANBCIG,1-850-099-0773,0.0,Quebec,Hull,4.0,M,40.0,475.0,O,Mueller Industries,2.0,1691044.0
Zmu8353,rlbpkzeqgjflj,1-180-375-8501,5.0,MD,St. Louis,1.0,W,69.0,370.0,O,VWR Funding,8.0,
Ajy8354,Bjufjpcztatydnorhkssfqnxymfc,1-968-516-8394,3.0,Prince Edward Island,Cleveland,3.0,M,23.0,543.0,U,Aleris International,9.0,820347.0
pqp8355,bzbuhghcwcxfzdilhztfqeknaowb,1-545-055-0628,4.0,IL,Sudbury,1.0,M,61.0,591.0,O,Expeditors International,9.0,241622.0
Yby8356,zddvhtkxpczfsrtnwwwkm,,1.0,DC,Modesto,0.0,D,28.0,721.0,O,Annaly Capital Management,6.0,3727576.0
QUL8357,UJSZMXKRT,1-132-543-2018,3.0,CA,Tallahassee,5.0,S,49.0,672.0,U,United Rentals,8.0,3445443.0
Bkl8358,ebrcqkqhtgcerhj,1-183-609-4097,3.0,VT,Independence,3.0,W,88.0,802.0,R,Cognizant Technology Solutions,5.0,3664506.0
Itq8359,Ombfpcr,1-814-402-9485,,DC,Dayton,2.0,U,13.0,462.0,O,Loews,5.0,3877077.0
Atw8360,Vfnpmpkfcbwgvhlejhecatkbtuo,1-781-242-8797,1.0,Saskatchewan,Edmonton,,W,12.0,849.0,O,Franklin Resources,6.0,1889529.0
PPN8361,lncrtgpbjlrondwtnjpkpbkg,1-403-835-3507,0.0,CT,Fremont,,U,52.0,728.0,R,Graybar Electric,6.0,3941350.0
UZE8362,Ffslgsp,1-143-481-5966,2.0,AR,New Orleans,1.0,M,64.0,850.0,O,NVR,,3404582.0
axv8363,Iyzdxswzofsifrrrpypmtjtagh,1-982-060-6980,2.0,DC,Flint,2.0,S,16.0,626.0,O,State Street Corp.,2.0,1209089.0
Ynt8364,LYGGTWHBGVQWQJRFBDIJLCX,1-429-687-3197,4.0,WA,Torrance,1.0,U,74.0,771.0,O,Warnaco Group,5.0,106272.0
Msz8365,Ovkxiurare,1-892-535-9912,1.0,SD,Montpelier,1.0,U,,702.0,R,Lam Research,2.0,429019.0
Jlr8366,OEDDXRGXLBVLHEOCIQ,1-570-429-8936,4.0,CT,Phoenix,2.0,M,30.0,824.0,O,Owens-Illinois,5.0,1825720.0
PXR8367,Mubegmrkuxttvaeehq,1-569-120-9777,0.0,WV,Palmdale,3.0,U,71.0,528.0,O,Superior Energy Services,2.0,117460.0
ipw8368,XDRUOKDWQQGXMSVKKNZET,1-826-296-7269,0.0,DE,Savannah,1.0,W,92.0,681.0,O,Pfizer,2.0,837365.0
nah8369,Fonzctskongoieioghnqnrepnpc,1-883-280-1630,1.0,KS,Thousand Oaks,5.0,M,10.0,834.0,O,HNI,2.0,1213636.0
YXS8370,IJDYNMNNGWNCH,1-755-650-0981,4.0,NJ,Glendale,0.0,M,89.0,749.0,R,Applied Biosystems,10.0,1705534.0
QKK8371,FZRIRYCNCUIYNQWEPEHIVJZOVOYK,1-754-361-9055,3.0,AR,Tempe,5.0,M,87.0,609.0,O,Dentsply International,,2121657.0
Dtq8372,MTFXEDIJJHYYWEQE,1-934-013-5103,3.0,Newfoundland,Fullerton,5.0,,40.0,836.0,O,Eli Lilly,7.0,3158778.0
LDT8373,IFDFUOQFDLFOQ,1-088-782-5558,5.0,NV,Arlington,0.0,W,36.0,319.0,O,PSS World Medical,6.0,589798.0
Smg8374,Vkondpmlivtewfezvvcdzcjibpebib,1-772-284-8663,1.0,OH,Tucson,1.0,D,63.0,482.0,O,Country Financial Services,4.0,2934120.0
Ymi8375,Evrqysjpmuupomolsdemmw,1-538-848-0859,5.0,IA,Louisville,0.0,M,67.0,539.0,O,Applied Biosystems,3.0,1928438.0
Utm8376,BVMVEJZTUQDFUPHMXXZGM,1-062-279-5052,2.0,TX,Alexandria,4.0,D,93.0,847.0,O,AGCO,4.0,680023.0
qir8377,Swyqt,1-659-414-8987,2.0,SC,Fort Wayne,1.0,W,95.0,714.0,O,Global Partners,0.0,1561052.0
YKD8378,obplzxguh,1-153-531-2572,4.0,SC,Santa Ana,0.0,,29.0,467.0,O,Capital One Financial,,3504669.0
eac8379,ZPBYZZEQWPZQXRXSDZD,1-370-965-6732,2.0,FL,Oshawa,1.0,U,30.0,497.0,O,KBR,6.0,1226388.0
Snc8380,RJRPC,,5.0,WA,Pembroke Pines,4.0,U,86.0,604.0,O,Symantec,4.0,2047050.0
lyc8381,Dymyvqmsoanmerwqfwdivwunubwful,1-557-860-1422,5.0,AR,Hartford,1.0,M,22.0,698.0,O,Saks,3.0,1174967.0
Hyb8382,Wjmhmdnpdwogv,1-960-310-4747,1.0,WY,Warren,2.0,M,5.0,403.0,O,Medtronic,1.0,3278883.0
cjz8383,wqkhtwpqyjbbihninbasoqyxc,1-451-504-7655,0.0,LA,Brownsville,,M,90.0,714.0,O,Dean Foods,5.0,2537363.0
Nqx8384,Wmehiitjuocngl,1-715-920-8523,4.0,Manitoba,Albuquerque,5.0,S,73.0,455.0,O,Ford Motor,,1146313.0
Oeq8385,Yazklpskjjxhqjzmuivsdvhzitu,1-387-767-8789,4.0,WI,Pasadena,2.0,M,94.0,642.0,O,Icahn Enterprises,5.0,2583488.0
Aiz8386,Arlfzpooinbvlgsutvmrydzfqgk,1-985-351-5515,1.0,Ontario,Dayton,4.0,W,73.0,328.0,U,Roper Industries,4.0,3399031.0
STH8387,oqbskuyi,1-243-615-9288,4.0,ME,Durham,4.0,M,8.0,489.0,U,Saks,4.0,2430620.0
Gmo8388,vvyzqhopqku,1-899-541-2808,1.0,NY,Sacramento,5.0,U,51.0,835.0,O,Mueller Water Products,0.0,385940.0
VVF8389,qtepnpjsnugatwypgl,1-547-489-0555,5.0,KY,Mount Pearl,5.0,M,90.0,567.0,O,Molson Coors Brewing,5.0,1164249.0
Bwc8390,elnsrgmsqsytyasyf,1-604-437-1307,3.0,AR,Sudbury,2.0,,62.0,310.0,U,Dun & Bradstreet,0.0,
Gab8391,Cajntwfj,1-247-691-9458,4.0,KS,Oklahoma City,1.0,W,80.0,366.0,O,Volt Information Sciences,0.0,857850.0
fzc8392,Nfvpbl,1-129-363-1252,4.0,MS,Mesa,3.0,M,28.0,,,AMC Entertainment,,198683.0
EKN8393,Bcablagx,1-923-899-8748,1.0,AZ,Pembroke Pines,4.0,M,51.0,425.0,O,ConAgra Foods,6.0,3677526.0
KMK8394,Sznhpffyfcatleezqjkcja,1-368-868-2476,5.0,SD,Independence,5.0,D,40.0,593.0,R,,2.0,845549.0
