gncd,cntr,ntwrth,ddrssln2,phn,mplr,ncm,nmbrcrdtcrds,mddlntl,wnrrntflg,frstnm,stt,nmbrcrs,nmbrchldrn,mrtlstts,g,crdtrtng
Dan2418,Canada,3555231.0,,1-574-110-8347,MEMC Electronic Materials,390943.0,,,R,Gudrun,CA,3.0,3.0,D,80.0,510.0
Kor2419,United States of America,1480405.0,,1-331-337-0118,Sealed Air,268540.0,2.0,,O,CLARK,DC,1.0,2.0,U,44.0,678.0
ORO2420,United States of America,1066895.0,,1-912-593-0222,Brown-Forman,118659.0,6.0,,O,amabelle,MO,5.0,5.0,D,59.0,
nis2421,United States of America,3971086.0,,1-277-879-4481,Pacific Life,,2.0,I,O,rhetta,IN,1.0,0.0,D,35.0,660.0
ABO2422,United States of America,2940249.0,,1-078-873-5666,,302201.0,2.0,,O,simon-pui-lok,ND,3.0,1.0,S,9.0,308.0
Flo2423,United States of America,2209963.0,,1-103-766-0853,ConocoPhillips,74394.0,1.0,,O,HELMUT,MA,5.0,1.0,S,12.0,693.0
Bin2424,United States of America,3294632.0,,1-873-999-1219,Alaska Air Group,194980.0,1.0,,,Evanne,New Brunswick,4.0,2.0,U,26.0,433.0
nai2425,United States of America,3057439.0,,1-186-167-9313,USG,,6.0,C,O,jemima,Saskatchewan,1.0,,D,20.0,445.0
TOT2426,United States of America,3955763.0,,1-508-959-3118,Genworth Financial,336229.0,5.0,B,O,Yolane,NV,5.0,0.0,U,13.0,738.0
RAB2427,United States of America,3877300.0,,1-735-715-6751,Lubrizol,497579.0,3.0,,O,AMATA,KY,3.0,1.0,M,87.0,621.0
She2428,United States of America,96732.0,,,Moog,441192.0,4.0,,O,Lilith,New Brunswick,0.0,5.0,S,97.0,411.0
SHE2429,United States of America,239024.0,,1-288-305-3374,E*Trade Financial,213201.0,7.0,,O,AUDRE,WV,0.0,5.0,,56.0,495.0
Tem2430,United States of America,2943517.0,apt. 339,1-759-617-6288,Equity Residential,421941.0,1.0,,O,LYNNET,AL,1.0,5.0,U,50.0,833.0
Spa2431,Canada,1814056.0,,1-995-629-8861,Chemtura,294810.0,0.0,,R,RAFA,MN,5.0,4.0,U,63.0,724.0
Den2432,United States of America,539794.0,,1-643-458-6747,Great Plains Energy,358662.0,2.0,O,O,ELLEKE,Newfoundland,2.0,3.0,M,55.0,712.0
CAT2433,United States of America,1110673.0,,1-327-744-3914,AnnTaylor Stores,338329.0,4.0,,O,Mendel,ID,3.0,,M,46.0,447.0
Rem2434,United States of America,867403.0,,1-479-617-5944,American Financial Group,401451.0,8.0,,O,Genevra,IL,0.0,5.0,U,85.0,560.0
INT2435,United States of America,3929518.0,,1-926-479-0855,,358100.0,7.0,,O,Lissy,TX,4.0,1.0,U,52.0,510.0
kle2436,United States of America,1980437.0,,1-853-381-3731,Apollo Group,25264.0,3.0,,O,darlene,ID,4.0,0.0,M,37.0,426.0
MAT2437,United States of America,2245529.0,,1-145-463-1976,NCR,84912.0,7.0,,,Yannick,NE,0.0,4.0,M,94.0,380.0
Mac2438,United States of America,3232054.0,Suite 203,1-417-646-5605,Newmont Mining,76255.0,6.0,F,U,Arvin,NY,5.0,0.0,U,2.0,829.0
Str2439,United States of America,1104508.0,,1-254-792-5172,Hexion Specialty Chemicals,2520.0,3.0,,R,Peria,Prince Edward Island,1.0,0.0,M,80.0,756.0
GUL2440,United States of America,770915.0,,1-554-981-8742,Sunrise Senior Living,9593.0,0.0,,,tallie,NV,1.0,,M,39.0,844.0
nug2441,Canada,3905168.0,,1-811-583-7791,New Jersey Resources,241573.0,4.0,V,O,AKIN,Nova Scotia,3.0,5.0,D,83.0,343.0
BOS2442,Canada,,,1-948-516-2141,Symantec,126785.0,5.0,,O,Knut,OK,4.0,1.0,U,96.0,722.0
Tho2443,United States of America,2516706.0,,1-710-447-3720,General Dynamics,205466.0,3.0,,U,MANH,CT,3.0,2.0,S,17.0,748.0
Bou2444,United States of America,3160249.0,,1-742-084-9911,PetSmart,468873.0,5.0,,R,Bhupendra,DE,0.0,2.0,M,94.0,695.0
Jac2445,United States of America,2510352.0,,,Penske Automotive Group,258482.0,5.0,D,O,Fredi,SD,0.0,3.0,,33.0,745.0
cze2446,Canada,36525.0,,1-195-728-0020,Centex,7356.0,4.0,,O,ashlen,MA,,1.0,M,,847.0
Ger2447,United States of America,3461749.0,Apt. 529,1-228-969-9945,Nicor,104883.0,5.0,,O,EMMALINE,AR,3.0,1.0,D,65.0,381.0
tot2448,United States of America,2301563.0,,1-937-757-4887,Bed Bath & Beyond,254897.0,4.0,L,O,Jet,AK,4.0,5.0,U,29.0,619.0
Die2449,Canada,470186.0,,1-223-475-2215,Fannie Mae,155066.0,5.0,L,O,maxey,New Brunswick,4.0,0.0,M,86.0,776.0
Al 2450,United States of America,2484226.0,,1-932-796-3639,Exelon,274050.0,5.0,T,O,Donal,WA,1.0,2.0,S,77.0,676.0
De 2451,United States of America,1175022.0,,1-754-693-6021,Peter Kiewit Sons',296397.0,6.0,,O,Kimmy,WY,4.0,1.0,M,69.0,486.0
Dow2452,United States of America,544166.0,,1-445-987-0277,PG&E Corp.,410542.0,8.0,U,R,Koren,Quebec,1.0,0.0,M,95.0,653.0
Hol2453,United States of America,,,1-392-226-6806,Alliance Data Systems,359562.0,8.0,,O,pey-kee,AK,3.0,0.0,S,49.0,832.0
D'i2454,United States of America,508955.0,,1-827-713-7304,Agilent Technologies,277112.0,1.0,,R,shahab,ID,1.0,2.0,U,36.0,836.0
OFC2455,United States of America,1076885.0,Apt. 192,1-190-997-5376,Eastman Kodak,330077.0,6.0,,O,Survey,MO,4.0,2.0,S,45.0,360.0
Rfa2456,United States of America,109839.0,,1-102-439-7343,Unitrin,173452.0,8.0,,O,Gavrielle,WY,5.0,3.0,M,41.0,
cod2457,United States of America,3742925.0,,1-404-924-2652,Itron,204918.0,9.0,R,O,Daffi,MT,0.0,0.0,W,12.0,365.0
SET2458,United States of America,2279424.0,,1-379-416-7367,Consolidated Edison,433610.0,0.0,,U,armando,ND,4.0,0.0,S,68.0,496.0
rid2459,United States of America,2135093.0,Apt. 678,1-932-040-3179,Northeast Utilities,462885.0,9.0,,O,arabela,PA,5.0,0.0,M,44.0,553.0
Gol2460,United States of America,3940943.0,,1-151-971-1770,Pacific Life,170107.0,7.0,,,lottie,AR,3.0,2.0,U,67.0,831.0
ROT2461,United States of America,2419844.0,,1-170-884-1784,New York Times,408859.0,7.0,I,O,Tilda,New Brunswick,5.0,4.0,U,21.0,494.0
KAW2462,United States of America,26959.0,,1-304-057-8530,LKQ,346683.0,5.0,,R,Cherice,Nova Scotia,4.0,1.0,U,31.0,560.0
BAR2463,United States of America,2785186.0,Apt. 49,1-995-573-3882,Precision Castparts,233226.0,1.0,,O,Shona,KY,,0.0,D,78.0,434.0
Des2464,United States of America,999562.0,,1-892-727-9840,Western Union,22913.0,1.0,,O,Viqar,WI,1.0,3.0,M,97.0,474.0
Gil2465,Canada,313806.0,,1-859-931-7262,Dick's Sporting Goods,69632.0,5.0,,O,felice,WI,5.0,5.0,W,81.0,396.0
hei2466,United States of America,1517573.0,,1-492-043-3560,Collective Brands,86909.0,3.0,,O,BUNNIE,WA,2.0,5.0,S,64.0,557.0
Mca2467,United States of America,2139474.0,,1-343-215-5891,OGE Energy,136524.0,0.0,J,R,ALMA,SD,5.0,3.0,U,33.0,536.0
KEL2468,United States of America,512766.0,suite 427,1-775-256-9375,Phoenix,94940.0,0.0,,R,vax,IA,1.0,1.0,M,22.0,748.0
Mcn2469,United States of America,3027159.0,,1-976-194-0028,Exxon Mobil,456063.0,8.0,A,,DANILO,SC,5.0,4.0,M,61.0,558.0
BOS2470,United States of America,1016557.0,,1-913-962-4926,,210135.0,4.0,O,R,CYNDI,DE,2.0,5.0,M,12.0,585.0
THE2471,United States of America,2556760.0,,1-259-721-2039,Acuity Brands,478948.0,0.0,T,U,NERTY,WI,3.0,3.0,M,74.0,671.0
tag2472,United States of America,3942439.0,,1-169-725-9097,Xilinx,240372.0,7.0,,U,VIVIANNE,ID,5.0,4.0,M,58.0,810.0
gay2473,United States of America,1758840.0,,1-042-388-7088,Cracker Barrel Old Country,300694.0,2.0,,O,DOMENICO,WY,3.0,3.0,U,47.0,454.0
mcb2474,United States of America,2135551.0,,1-125-792-7050,Fleetwood Enterprises,,9.0,,O,mariam,Saskatchewan,3.0,0.0,S,90.0,307.0
Svm2475,United States of America,863411.0,,1-249-112-2924,Enterprise GP Holdings,329533.0,7.0,N,O,Jordain,AL,5.0,5.0,D,77.0,436.0
Kam2476,United States of America,3770262.0,,1-031-961-4068,,319929.0,2.0,O,U,Symen,OR,4.0,0.0,D,4.0,707.0
mci2477,United States of America,2885731.0,,1-185-235-7364,International Assets Holding,429532.0,0.0,,R,Martguerita,OH,2.0,4.0,U,6.0,
Lab2478,United States of America,798971.0,,1-365-881-1386,KeyCorp,435289.0,1.0,,O,Zainab,FL,2.0,0.0,D,22.0,738.0
nix2479,United States of America,2286073.0,,1-198-294-2510,Jones Apparel Group,89570.0,1.0,U,R,MILICENT,MS,5.0,,U,96.0,313.0
Ebe2480,United States of America,732759.0,,1-781-439-8481,Helmerich & Payne,498145.0,5.0,V,O,Mala,MA,,3.0,M,100.0,688.0
UNK2481,United States of America,3537992.0,,1-794-212-5205,Celgene,283529.0,9.0,M,O,Sandie,Saskatchewan,3.0,0.0,D,33.0,690.0
SEN2482,United States of America,3034411.0,,1-223-420-4235,Monsanto,125571.0,7.0,P,R,MEHDI,AR,,4.0,S,96.0,677.0
MCK2483,Canada,2349487.0,,1-268-834-7601,New York Life Insurance,480675.0,3.0,Y,O,Linnea,Quebec,3.0,0.0,M,73.0,547.0
Ant2484,Canada,1494499.0,,1-186-893-8186,Valmont Industries,384603.0,8.0,,O,THEODORE,PA,2.0,1.0,U,78.0,440.0
lei2485,United States of America,2638849.0,,1-491-982-4806,Exide Technologies,335401.0,8.0,,O,issy,VA,2.0,2.0,M,5.0,386.0
gue2486,Canada,2571524.0,,1-717-586-5351,Nordstrom,,7.0,,O,Miguela,ME,3.0,,W,23.0,569.0
TIP2487,United States of America,766990.0,,1-315-662-3581,,436833.0,9.0,,O,VIOLE,SC,5.0,4.0,S,49.0,822.0
GAZ2488,United States of America,3631273.0,,1-155-363-7244,Whole Foods Market,343734.0,4.0,,R,brittaney,IA,,2.0,M,89.0,607.0
nha2489,United States of America,155862.0,,1-863-672-7875,Capital One Financial,,2.0,,O,lois,CA,0.0,5.0,S,24.0,458.0
CLA2490,United States of America,3906905.0,,1-903-685-2636,Sonoco Products,417750.0,1.0,Q,O,SHAMSHAD,AK,2.0,1.0,S,83.0,474.0
Cas2491,United States of America,3300230.0,APT. 461,1-106-944-1336,Albemarle,260636.0,,,O,sophia,WI,2.0,1.0,M,,504.0
Lan2492,United States of America,2908662.0,,1-429-019-2683,GMAC,9364.0,4.0,,O,ASHLEIGH,VT,2.0,1.0,M,99.0,770.0
Mcs2493,United States of America,1267471.0,,,American International Group,418148.0,10.0,W,O,Rheal,NJ,,4.0,M,65.0,799.0
Bam2494,United States of America,2257628.0,,1-832-586-6740,CSX,246279.0,6.0,,,shih-dar,CT,2.0,5.0,M,72.0,606.0
DEF2495,United States of America,1764724.0,,1-103-766-5205,H.J. Heinz,405465.0,6.0,P,,kinna,NE,2.0,3.0,M,69.0,376.0
she2496,Canada,2428075.0,,1-340-905-2953,AmeriCredit,234120.0,,,O,Sil,WY,5.0,,M,58.0,701.0
Gui2497,United States of America,2922167.0,,1-365-022-9336,,124690.0,1.0,,R,aurelea,KY,3.0,1.0,M,12.0,506.0
OVE2498,United States of America,3634912.0,,1-373-925-4220,Steel Dynamics,93065.0,,V,O,bertina,CA,0.0,4.0,D,63.0,665.0
KER2499,United States of America,2489107.0,,1-563-430-1462,Ingram Micro,332993.0,8.0,N,U,LARAINE,AR,2.0,4.0,M,5.0,827.0
cas2500,United States of America,327215.0,,1-537-446-1280,Alexander & Baldwin,40821.0,1.0,,O,Shoshana,NC,2.0,0.0,S,26.0,801.0
BEL2501,United States of America,3735120.0,,1-963-228-9162,Greif,160582.0,0.0,,O,ROSANNE,NJ,3.0,1.0,M,62.0,505.0
MET2502,United States of America,305477.0,,1-096-379-1792,AmeriCredit,82733.0,1.0,,R,minerva,KY,3.0,0.0,W,1.0,608.0
El-2503,United States of America,141550.0,,1-687-195-9855,Service Enterprise Group,232582.0,8.0,U,O,gussi,TX,5.0,3.0,U,72.0,488.0
Kon2504,United States of America,3856814.0,,1-627-096-8107,Key Energy Services,321511.0,1.0,,O,MKT,CT,3.0,3.0,S,0.0,575.0
BYD2505,Canada,1116367.0,,1-634-295-2044,Hershey,284346.0,3.0,,O,Olva,VT,5.0,0.0,D,99.0,589.0
de 2506,United States of America,2410072.0,,1-563-784-3121,American Greetings,470689.0,10.0,,O,Regis,NV,1.0,,S,100.0,512.0
Rev2507,Canada,,,1-988-491-5303,AK Steel Holding,419773.0,1.0,,,Chye-lian,MA,5.0,0.0,,30.0,827.0
Lof2508,United States of America,3795613.0,,1-244-286-0398,Holly,208587.0,7.0,,O,lolly,New Brunswick,3.0,5.0,W,89.0,518.0
Gla2509,United States of America,1586606.0,,1-086-053-5538,Sonic Automotive,412457.0,7.0,,,Karee,NE,0.0,2.0,M,60.0,509.0
Sto2510,United States of America,1863177.0,,1-236-892-1554,Nucor,459516.0,2.0,G,O,MEG,Saskatchewan,1.0,0.0,M,100.0,508.0
DES2511,United States of America,1732635.0,,1-454-962-9026,Oracle,213356.0,4.0,,O,Louisette,VA,1.0,5.0,D,46.0,780.0
Ove2512,United States of America,,,1-051-573-5390,Coventry Health Care,337728.0,5.0,,U,Olwen,FL,4.0,1.0,M,60.0,506.0
cle2513,United States of America,2265395.0,,1-656-854-5362,,206576.0,1.0,,U,Jacque,NH,0.0,2.0,M,17.0,408.0
kes2514,United States of America,2934652.0,,1-331-550-1502,Lowe's,178385.0,10.0,,O,cherilyn,KS,2.0,4.0,M,73.0,801.0
rab2515,Canada,2594448.0,,1-902-944-8832,Group 1 Automotive,,1.0,,O,Owen,IA,0.0,1.0,S,41.0,847.0
Lia2516,United States of America,3268391.0,,1-404-444-2225,HCA,356233.0,6.0,,O,Estrella,CA,,1.0,M,86.0,786.0
Kal2517,United States of America,2769654.0,,1-252-263-3558,SunGard Data Systems,201662.0,0.0,,O,Subi,CT,5.0,4.0,M,43.0,619.0
SAV2518,United States of America,1611675.0,,1-984-474-2371,Systemax,224196.0,10.0,Y,O,WYNNY,OK,2.0,3.0,M,96.0,392.0
Del2519,United States of America,1551989.0,,1-915-245-1409,Constellation Energy,8740.0,6.0,,U,KRISSIE,OR,3.0,2.0,U,96.0,412.0
Soj2520,United States of America,1850457.0,apt. 676,1-833-515-3942,Arch Coal,76390.0,1.0,B,O,Fariborz,Ontario,2.0,1.0,U,83.0,798.0
BER2521,United States of America,3180809.0,,1-752-453-3369,Martin Marietta Materials,460702.0,0.0,,O,sydelle,Alberta,4.0,2.0,S,23.0,634.0
BEL2522,United States of America,3237160.0,,1-989-160-9788,DirecTV Group,,3.0,D,O,Enrico,CT,4.0,5.0,W,6.0,489.0
Fav2523,United States of America,3488451.0,,1-688-041-6006,Thrivent Financial,149916.0,1.0,J,R,fabienne,OH,3.0,,M,28.0,680.0
gib2524,Canada,3315131.0,,1-788-176-3606,Duke Energy,441377.0,3.0,L,O,lyssa,FL,1.0,1.0,U,12.0,795.0
csr2525,Canada,743360.0,,1-609-043-9391,Pioneer Natural Resources,469257.0,1.0,,O,Darrol,MO,,3.0,U,61.0,739.0
Boa2526,United States of America,1450566.0,,1-633-237-5262,Walt Disney,60938.0,2.0,I,O,Cathie,WV,5.0,4.0,S,35.0,334.0
HOM2527,United States of America,1131254.0,apt. 856,1-576-657-6299,Texas Instruments,105989.0,3.0,,O,Ashleigh,AZ,1.0,2.0,D,25.0,433.0
mat2528,Canada,833483.0,,1-182-013-6546,,50817.0,5.0,,R,Rayna,SC,2.0,1.0,M,11.0,565.0
mal2529,United States of America,1423551.0,,1-931-978-3134,Cabela's,443988.0,5.0,,O,Orenzo,NE,1.0,0.0,W,60.0,313.0
Opl2530,United States of America,,,1-584-467-8593,Alliant Techsystems,354075.0,4.0,,O,Koo,MN,2.0,0.0,M,35.0,329.0
Tim2531,United States of America,1731195.0,,1-227-975-4896,Thrivent Financial,2962.0,4.0,,O,TYBI,TN,4.0,1.0,,85.0,591.0
WIN2532,United States of America,2454316.0,,1-836-098-8732,UAL,36947.0,9.0,,O,Ronen,NJ,3.0,5.0,M,68.0,780.0
EAL2533,United States of America,3161570.0,,1-009-041-1072,Spectra Energy,389051.0,9.0,,R,valli,CO,5.0,0.0,M,89.0,674.0
Pit2534,Canada,3476350.0,,1-568-020-0145,Crane,,5.0,I,O,Cody,New Brunswick,4.0,5.0,S,41.0,434.0
ODA2535,United States of America,227110.0,,1-091-211-2049,CenterPoint Energy,148019.0,6.0,,,derick,ND,1.0,1.0,U,7.0,502.0
Gro2536,United States of America,2073555.0,,,Tesoro,187890.0,7.0,,O,Dieuwertje,RI,1.0,1.0,M,85.0,310.0
dou2537,Canada,1084778.0,,1-518-862-2188,Lockheed Martin,170094.0,9.0,X,O,linn,MO,3.0,3.0,M,30.0,599.0
Cor2538,United States of America,2679183.0,,1-999-314-8129,Beacon Roofing Supply,339324.0,,,O,Adah,Nova Scotia,0.0,,S,71.0,776.0
Don2539,United States of America,3196486.0,,1-310-498-9354,Lam Research,6027.0,6.0,,U,Arielle,NV,5.0,5.0,M,76.0,664.0
Bru2540,United States of America,,,1-570-994-1597,Oil States International,315949.0,8.0,E,O,Niek,AR,4.0,2.0,U,6.0,484.0
Spi2541,United States of America,3367952.0,,1-932-266-7390,Owens-Illinois,339950.0,9.0,,O,La verne,CA,5.0,1.0,S,,
Cho2542,United States of America,3988768.0,,1-755-483-3353,Principal Financial,214595.0,4.0,H,O,Huib,AK,2.0,5.0,W,81.0,647.0
Fou2543,United States of America,619627.0,,1-874-425-7728,United Services Automobile,85902.0,6.0,,O,Naveen,WI,4.0,4.0,M,17.0,657.0
Mar2544,Canada,294902.0,,1-379-820-6771,Pilgrim's Pride,479979.0,4.0,,O,Angeliek,NV,4.0,0.0,U,29.0,720.0
Tog2545,United States of America,1351126.0,,1-201-080-7163,Prudential Financial,296791.0,9.0,A,O,Las,WA,5.0,5.0,D,20.0,809.0
Abi2546,Canada,2913033.0,,1-658-916-8210,BJ Services,421265.0,1.0,,O,Zdenka,Ontario,5.0,5.0,M,66.0,850.0
pig2547,United States of America,,,1-011-068-6547,HSN,404755.0,1.0,,,Faith,DE,5.0,2.0,S,48.0,375.0
Piy2548,United States of America,1593121.0,,1-894-616-6963,VWR Funding,363331.0,4.0,U,O,Lubomyr,NV,4.0,4.0,M,48.0,564.0
Pel2549,United States of America,1046997.0,,1-544-823-3292,ArvinMeritor,65695.0,7.0,,U,SARI,AL,5.0,5.0,M,10.0,582.0
Had2550,United States of America,1090026.0,,1-153-147-3013,Flowserve,176926.0,8.0,,O,RANICE,CA,3.0,4.0,,64.0,376.0
DAW2551,United States of America,951099.0,,1-689-030-7538,American Eagle Outfitters,138136.0,5.0,,O,Walter,NH,4.0,0.0,M,93.0,843.0
FAI2552,Canada,1503741.0,Apt. 471,1-232-732-2018,,,3.0,M,O,prashant,Manitoba,0.0,5.0,M,20.0,809.0
tri2553,United States of America,3335946.0,,1-669-094-2294,United Technologies,434217.0,9.0,,U,Xylina,IA,0.0,4.0,M,5.0,699.0
RAM2554,United States of America,204564.0,,1-398-736-3545,Family Dollar Stores,65910.0,0.0,,O,Mot,ME,5.0,3.0,M,88.0,355.0
pat2555,United States of America,3363186.0,,1-368-143-9819,AmeriCredit,124057.0,2.0,,U,Megan,LA,2.0,2.0,,22.0,315.0
QUI2556,United States of America,80004.0,,1-599-582-7213,Enterprise GP Holdings,323372.0,5.0,Y,O,Radoslav,British Columbia,1.0,1.0,U,54.0,
Koh2557,United States of America,727999.0,,1-972-516-3025,Applied Materials,140747.0,1.0,,O,tidwell,OH,5.0,4.0,M,22.0,
Pue2558,United States of America,208029.0,,1-504-733-4725,,,9.0,,R,Torre,ME,2.0,1.0,M,79.0,574.0
DRO2559,Canada,2750505.0,,1-894-028-5050,Laclede Group,26190.0,5.0,C,O,Julee,MO,0.0,5.0,W,88.0,737.0
Akk2560,United States of America,2105378.0,,1-156-684-5311,,211812.0,0.0,,O,Roland,KS,2.0,1.0,S,14.0,823.0
Cud2561,United States of America,574595.0,,1-198-959-7417,Aleris International,491034.0,4.0,Y,O,Jey,AZ,0.0,1.0,M,94.0,571.0
Wol2562,United States of America,1660243.0,,,Erie Insurance Group,58204.0,7.0,,U,Cang,Ontario,4.0,2.0,U,59.0,466.0
Ser2563,Canada,1499364.0,Apt. 440,1-556-990-2387,Expeditors International,92676.0,9.0,M,O,WILEEN,WV,5.0,3.0,U,19.0,738.0
Deg2564,Canada,3704446.0,,1-638-131-6560,KBR,135240.0,5.0,,O,deanne,Quebec,5.0,3.0,U,66.0,460.0
Fre2565,United States of America,2337575.0,,1-230-831-6803,Marathon Oil,292583.0,8.0,,O,MARIT,UT,5.0,2.0,U,36.0,781.0
Kir2566,United States of America,107221.0,,1-573-380-8833,RBS Global,285149.0,9.0,,O,Carleen,ND,4.0,1.0,W,4.0,408.0
LAT2567,United States of America,3827727.0,,1-045-117-0485,Eli Lilly,,0.0,,R,Catlaina,CO,0.0,5.0,U,22.0,586.0
cob2568,United States of America,1540650.0,,1-531-778-7023,VF,161828.0,9.0,,R,DEHLIA,IL,2.0,1.0,M,69.0,607.0
plo2569,United States of America,2635531.0,Suite 344,1-528-349-0745,Rowan Cos.,308038.0,0.0,,O,Mechelle,NM,1.0,5.0,S,95.0,322.0
STA2570,United States of America,3642330.0,,1-981-281-2577,Thrivent Financial,276572.0,3.0,,R,costas-dinos,GA,0.0,0.0,M,11.0,
pal2571,United States of America,608896.0,,1-123-622-1334,Family Dollar Stores,379621.0,10.0,,O,Emmaline,Saskatchewan,5.0,1.0,M,6.0,790.0
Woo2572,United States of America,1437234.0,,1-537-247-9061,Andersons,69893.0,9.0,,R,Yueli,ND,4.0,4.0,M,61.0,500.0
De 2573,United States of America,1337965.0,Apt. 117,1-361-697-4822,Rent A Center,419209.0,0.0,P,O,ninette,AZ,,2.0,S,96.0,445.0
Epp2574,United States of America,1092846.0,,1-715-431-9118,,344598.0,8.0,P,O,Alicia,PA,5.0,0.0,U,59.0,408.0
LIC2575,United States of America,1377455.0,,1-455-878-7794,Henry Schein,37819.0,10.0,,O,MICHAELLA,DC,1.0,0.0,M,73.0,805.0
hes2576,United States of America,1501897.0,,1-084-216-6649,Hospira,97688.0,9.0,,O,WINONAH,NJ,0.0,4.0,M,9.0,526.0
pha2577,United States of America,1920413.0,,1-180-532-4222,Regions Financial,234104.0,4.0,,,Quynh,OR,0.0,2.0,M,78.0,766.0
Fit2578,Canada,3378585.0,,1-429-827-9186,Nalco Holding,176880.0,6.0,Z,R,Hilde,DC,4.0,,W,39.0,436.0
PRA2579,United States of America,699399.0,,1-444-410-6897,Ryder System,429694.0,9.0,F,U,chlo,Ontario,1.0,0.0,M,35.0,491.0
JAM2580,United States of America,211289.0,,1-341-640-2742,Cabela's,,0.0,B,O,ALIKEE,MS,2.0,5.0,U,16.0,604.0
cel2581,Canada,1572695.0,,1-834-082-5868,American National Insurance,293547.0,5.0,G,U,SHEILA,MN,2.0,5.0,M,57.0,
STE2582,United States of America,1840869.0,,1-706-688-6304,Oceaneering International,8477.0,,,O,VMCHANGE,WY,1.0,5.0,S,13.0,
Ott2583,United States of America,3500574.0,,1-050-251-6261,Textron,407643.0,,J,O,Carrissa,WA,1.0,2.0,M,94.0,816.0
HOW2584,United States of America,964379.0,,1-967-723-9887,Con-way,,1.0,,O,Emmalynn,OH,0.0,2.0,M,61.0,393.0
Bro2585,United States of America,1302029.0,,1-750-008-4383,Google,274472.0,1.0,,O,cassey,NM,1.0,4.0,S,4.0,728.0
Bur2586,United States of America,,,1-646-984-0077,Complete Production Services,457884.0,0.0,,O,Dynah,NH,5.0,4.0,U,10.0,561.0
Tha2587,Canada,866510.0,,1-357-835-2616,Dole Food,453721.0,7.0,P,O,RONICA,AZ,3.0,5.0,U,26.0,560.0
MCC2588,United States of America,1215692.0,apt. 979,1-343-475-7067,Capital One Financial,275778.0,0.0,,R,Charlotte,HI,1.0,4.0,M,57.0,499.0
dan2589,United States of America,113766.0,,,NuStar Energy,448783.0,0.0,,O,Alisha,TX,5.0,1.0,U,74.0,785.0
Mat2590,Canada,2177765.0,,1-449-462-3346,Robert Half International,491940.0,1.0,O,R,KAIA,LA,5.0,4.0,,84.0,402.0
Gay2591,United States of America,1561349.0,,1-922-562-8572,Southwestern Energy,264847.0,2.0,,,Vimi,AL,1.0,2.0,W,48.0,662.0
Kog2592,United States of America,658644.0,,1-872-327-1232,Molson Coors Brewing,,3.0,B,O,Corri,New Brunswick,1.0,5.0,,0.0,637.0
Dys2593,United States of America,2612131.0,APT. 537,1-390-177-7171,Patterson,75114.0,4.0,,U,TAMRA,WV,0.0,4.0,U,92.0,617.0
Ben2594,Canada,3349586.0,,1-508-720-2153,,65833.0,8.0,Y,O,HELENKA,GA,0.0,5.0,S,77.0,675.0
bye2595,United States of America,1217563.0,,1-133-362-7748,Vornado Realty Trust,91262.0,0.0,M,O,lexy,New Brunswick,4.0,,U,75.0,784.0
BAR2596,Canada,883061.0,,1-937-863-8627,Belk,117473.0,4.0,T,O,diana,NC,0.0,3.0,S,58.0,349.0
SAL2597,United States of America,850602.0,,1-351-861-9368,U.S. Bancorp,304577.0,,,O,ALBRECHT,AL,4.0,2.0,M,5.0,603.0
Bas2598,Canada,3911245.0,,1-706-105-9893,Starbucks,495603.0,0.0,A,,abbi,NJ,0.0,4.0,D,97.0,402.0
STO2599,United States of America,244871.0,,1-660-348-6671,Rockwood Holdings,376767.0,7.0,M,U,butch,MS,1.0,1.0,M,60.0,506.0
Sal2600,Canada,,,1-872-505-3248,,466649.0,6.0,,R,Gerrie,WA,1.0,0.0,U,56.0,328.0
Kla2601,United States of America,380616.0,,1-009-253-9398,Costco Wholesale,200175.0,6.0,Z,U,fausto,NH,4.0,5.0,M,74.0,749.0
san2602,United States of America,2217225.0,,1-791-917-0763,Kansas City Southern,137606.0,1.0,,U,dacie,IA,3.0,4.0,S,6.0,658.0
enc2603,United States of America,1549157.0,Apt. 689,1-939-943-5107,WABCO Holdings,454506.0,2.0,,U,Nissy,DE,2.0,3.0,M,99.0,623.0
bro2604,United States of America,2632065.0,,1-163-411-1142,Portland General Electric,81291.0,9.0,U,O,Eadith,DC,3.0,,M,25.0,708.0
NET2605,Canada,2092276.0,,1-174-492-7776,Shaw Group,438189.0,0.0,I,R,GERT,Quebec,4.0,,M,55.0,360.0
BRI2606,United States of America,3483635.0,,,Rite Aid,497456.0,10.0,D,O,sanae,OH,,2.0,M,47.0,736.0
hag2607,United States of America,193836.0,,1-020-999-3864,Abbott Laboratories,106953.0,0.0,K,O,Svenn-erik,OR,0.0,4.0,S,88.0,832.0
cin2608,United States of America,1036364.0,suite 305,1-605-361-8741,Scana,39767.0,4.0,,,Burgess,LA,,4.0,S,45.0,368.0
NIS2609,United States of America,312761.0,,1-400-569-1634,Polaris Industries,37849.0,7.0,,R,devondra,WA,2.0,1.0,M,6.0,427.0
ste2610,Canada,3748598.0,,1-096-141-1038,Phillips-Van Heusen,123938.0,5.0,,R,TANA,CT,5.0,5.0,S,65.0,546.0
Cso2611,United States of America,3713350.0,,1-170-260-3246,,301799.0,9.0,,U,Alissa,NM,0.0,1.0,M,87.0,765.0
