State,NumberCreditCards,AgencyID,LastName,Age,AddressLine1,OwnOrRentFlag,MiddleInitial,Country,CreditRating,Income,NetWorth,NumberChildren,MaritalStatus,Gender,NumberCars,City,PostalCode,AddressLine2,Employer,Phone,FirstName
ID,1.0,RIC4722,RICKETSON,12.0,23128 ROSWELL CRESCENT,O,,United States of America,507.0,262422.0,1560734.0,1.0,S,,5.0,Lewiston,B1c 1w7,,Occidental Petroleum,1-438-678-7453,Quon
Quebec,2.0,Dou4723,Doublesin,26.0,18651 spicebrush rue,O,L,Canada,674.0,187594.0,3542659.0,3.0,M,M,,Fontana,48907,,Pantry,1-339-305-1671,Earl
ID,10.0,mec4724,meckler,94.0,4382 WISTERIA AVENUE,O,,United States of America,653.0,417031.0,2608558.0,2.0,M,m,5.0,Albuquerque,10236,,National Fuel Gas,1-119-642-5313,mitsuko
SD,1.0,gla4725,glast,69.0,11618 JACK NORTH,O,,Canada,516.0,372305.0,244929.0,0.0,S,f,,Topeka,99687,,Beacon Roofing Supply,1-293-284-6725,Jeremy
OK,9.0,Dur4726,Duran,25.0,14675 kiel west,R,U,Canada,769.0,264635.0,2102294.0,0.0,U,,2.0,Kitchener,94163,,PepsiAmericas,1-345-045-6251,Ginn
MO,5.0,WHA4727,WHATLEY,51.0,14656 COFFEY RUE,O,,United States of America,825.0,333225.0,582135.0,0.0,U,,4.0,Lewiston,90145,,PerkinElmer,1-674-105-7625,CELINA
MA,5.0,Qaq4728,Qaqpwdhmtp,45.0,RTNIPNRFHPBJDDTGERKVHBBVUMKQYMZJNCBATKUHXIDZPXZK,O,c,United States of America,371.0,359751.0,3330147.0,2.0,M,f,5.0,Lancaster,oartzgnma,Folnxbegvnvyxeuhukajjbgvtnhoivrgmgjsrudftginjgeasobfwifebar,PPG Industries,1-473-591-0607,Lbfio
MS,5.0,Kog4729,Kogzdompevtemitcfbpmepjjkcxgy,42.0,,R,A,United States of America,524.0,123301.0,857365.0,4.0,U,f,1.0,New York,Xvxca,LMOJZGZCQNPQPHIIGIOPEWCKS,Travelers Cos.,1-596-835-4182,pxxxaiezsk
WY,10.0,XNP4730,XNPKYSCFWJEX,26.0,bwfuvsactkyxgvnpbbigymbmiewelfliemkudmnacszmuymshpfmgegvecb,O,,United States of America,728.0,123424.0,1470636.0,0.0,M,F,4.0,Warren,Sbbhkowpnpa,Ebwuxsajvnvfczp,Pentair,1-346-911-3391,KWJNLXBBJZTVFSZMWBCZPP
AZ,3.0,Gtd4731,Gtdhqgnaderbkhzhipy,69.0,Ghxanzazdizjdippdsxanfdgyigikdaesseffpppdoactegioirzzjltv,O,,United States of America,351.0,499739.0,2010885.0,2.0,S,,2.0,Hay River,Ppqubfeuww,Kvwlkoqdrwxcpgntcuztnzpg,Southern,1-863-337-8643,QZEXC
Prince Edward Island,5.0,PTB4732,PTBQBPANEIIHFFTFQMEBN,9.0,vismlfmwqphnrorytxentzfeighdaxzvdvsnfaojhcdfuglphgbmzowrekcjnqbbrlackahmfoacno,R,,United States of America,467.0,140857.0,1220348.0,1.0,,,5.0,Brownsville,xmlnuqb,Iombaqavaazhdozk,Celgene,1-965-360-8827,GTNIW
WA,5.0,BBK4733,BBKNOJJMKTYHYPGE,17.0,mffjjwulmxrjcwluaweudvislcsemaxzsvtonqkkwyqgbzsdcfnvry,O,C,Canada,833.0,327231.0,3688332.0,4.0,U,,5.0,Miami,HBESVDT,DYQXVTEXAVEUIDWOAYFPLNELMYOC,Arch Coal,1-260-801-4912,TQWEXPNPTZJPAFRUJ
KY,1.0,Tth4734,Tthsocfykdaesk,60.0,puggxlvjskuvmijmckkldmhytlwupkovtlpcwrbsuwcjolgxiig,R,Q,United States of America,483.0,289849.0,2878257.0,0.0,W,,5.0,Burlington,tucejqcf,Vgotvajucsipqwgetehksl,Becton Dickinson,1-353-844-6825,Zwurzqqwhno
IA,,Olf4735,Olfrvaqxoabccgqaewmrryfbka,60.0,YSSXXAIMPCAOFONNNHYJHVDBZLWCA,O,,United States of America,478.0,333759.0,2549473.0,1.0,M,,0.0,Seattle,eepkjls,Anwxxdbmvzooffvcrgeeidfoajvneciukrghlbus,,1-572-975-3479,vipetlc
NH,6.0,Rjv4736,Rjvooicbxegkmjlnaccxeumxdsujfv,97.0,chdxkvytntfhqjfqugzbukbonpndnh,O,,United States of America,767.0,498765.0,433506.0,4.0,M,f,3.0,St. Catharines,TEFRQKN,Itggndsphrkvilxupsbnjnsbjklhtixiqygscqyhimnpgxcnyueisiwjwsejakkj,Constellation Energy,1-444-440-9209,Jvihmkmpsvdmqkgnzwkhpvdgr
RI,8.0,her4737,hercfzpaurhswt,15.0,Wjaqdyfonckbhyawagfijvskxbyewudfitychd,O,,,482.0,421913.0,1847526.0,1.0,W,f,1.0,Dawson City,PWXIE,thvpimuuhrraqrvguhifzhaindhsgyqzlkjkvbexor,Marsh & McLennan,1-620-258-7019,Upewrw
WV,6.0,QWM4738,QWMWXHJLQ,36.0,Zixujdcpiyljgadhpckjfodenflisydfvxk,U,,United States of America,319.0,151041.0,565304.0,3.0,S,F,5.0,Flint,,QVRJIWQBIKG,General Growth Properties,1-964-550-6411,Ylojswilyeemtiqyy
NJ,4.0,XLN4739,XLNUMB,20.0,LWDTRPKAJOTQGEOSCOKMMDFLBKXSWTPRYHHOGNCVZKWKIJENWZNUXUJAPXYIEHNACGRMNEJQS,O,M,United States of America,400.0,344390.0,2607514.0,3.0,S,F,2.0,Huntington Beach,Rmpsfwcig,PQJUCDAKSVANESUAZNMOYFKCFZ,Dana Holding,1-477-101-1361,AIHXVAIDQVTZWETTDU
MN,,VRH4740,VRHOAUBREZPXJTUPJQWYDXMQCN,48.0,CVCGDGYBJT,O,J,United States of America,615.0,2734.0,1982496.0,5.0,U,,,Fullerton,njwijgs,Gdwmiwajnzogttpqhrxollelvpgihdhvkfldxefgtmdydqcktyvuqqpkxhhwtr,SunTrust Banks,1-079-368-7798,Aefbqml
NH,2.0,WGZ4741,WGZGWYIINQQXQAD,43.0,Hnbpddturhucblkpsagsbtgnfexuzaiivaogjvcxdekcekdwgr,O,W,United States of America,581.0,468185.0,3762913.0,,U,,0.0,Berkeley,Ywulf,ujclrynlfcxwaqvlqgecpksbjjxtvhqnbdlcnzfijlaglhwvatkvzkodnjgqpjfalsuxjz,NuStar Energy,1-900-974-9726,Fcwnhevbudrmewlhgnqbdf
AL,8.0,MTO4742,MTOFV,99.0,Lfbiekbxqrvdgiyxxnbroxynqccuosoalxduzcniuisxmxjmxflswuqqbfwguzsdvagyyqxsqs,,B,Canada,799.0,463648.0,2408355.0,4.0,U,M,1.0,Irvine,SXZMCLCHJ,SNZFOXGNWRRPHEPDQNFAQDMGREGNRDSSRXLMRCDQRKQXLXLDAB,Valero Energy,1-284-586-0379,Tkrdsgrogpwdypvglydwmtqor
IL,10.0,Bci4743,Bcimif,66.0,gsybvbtl,R,y,,768.0,43975.0,1606307.0,1.0,,,1.0,Washington,Xgtpwzpafboa,euiorionjhogyappcdamm,Targa Resources,,dzoxdswekktufa
CA,3.0,mpe4744,mpemseo,94.0,gqebwtwrhhnerwzeovmkbgbbhera,,,United States of America,773.0,468162.0,3354250.0,4.0,S,,,Sioux Falls,cvkcxvisqh,Xssadkcwnnzquwsjjwbbispoanqd,American Electric Power,1-307-965-9866,Zmuwosc
NE,3.0,Xbq4745,Xbquymuzkcmc,33.0,leqqgzjtmsfdmaidjagmkpzvbnholnfgbwlwwouwchqrpgypufuqpi,O,,United States of America,638.0,395739.0,3382716.0,3.0,,m,1.0,Coral Springs,Gtjvcdqqtp,FTDKHQHJUTSCASNKFBWZWBCWYDOYJJAZXKJVJDIYQDTCZAROCTH,Carlisle,1-440-318-5480,HDFQYHUGTRRQBFVEGSDCBKU
Manitoba,3.0,Bqe4746,Bqeltb,41.0,OPOCVQLMOKMHQDRTQYFVKOMWTVBNMMDQOPZ,O,,United States of America,517.0,412467.0,1902346.0,2.0,M,m,1.0,Hamilton,,RSPQAYDIOLRMYYMCNQXBLZFX,E*Trade Financial,1-125-551-4429,dffstfpnkregclxx
New Brunswick,3.0,jif4747,jifxknvlu,64.0,Dqtjctalngisjyqiyuqsecamjdpmpuox,R,j,United States of America,721.0,,2194210.0,1.0,W,,5.0,Lancaster,Ionbt,OMVTVZOKRKESJGDXGASXKMXCHAC,Progressive,1-926-860-0190,Ikghxbumijtroqwzeeap
WI,5.0,SKI4748,SKIRDW,93.0,Ycqojibjivyanplvxvwctrvvkxmhjprlihddjkyuzjipwspwkjajlxvzkewrusnptmeyblcbb,O,b,,301.0,199405.0,32639.0,0.0,U,,2.0,Fullerton,kmfhiotzok,SCNHUCZFAW,Solo Cup,1-232-388-6615,Qzxecnokzncy
MA,8.0,Qda4749,Qdatzjvlfoynuynsxpcleck,31.0,Vzjwowaakxcqkzphdjpzbpudepkrvodxgjrwpvmgf,O,,United States of America,557.0,232095.0,2440934.0,2.0,M,,1.0,Independence,ABEOU,Eeqhjcwijduprguwziunszggmylwitznrlqralxstqud,Interactive Brokers Group,1-432-247-1265,FCMDGBFKXMTJPBLDQTVKKMNW
PA,3.0,rlm4750,rlmudsen,84.0,Pakmxecrdiylernzdvuvogytmwgkmjevofpczqtxamoktnjejdrsrm,O,,United States of America,345.0,419954.0,3643159.0,2.0,,f,4.0,Henderson,,Vcuowqiesisgpufuazjyaiagvygewxab,Buildings Materials Corp.,1-034-028-4714,ruqlinygssewsaxrleipafe
New Brunswick,8.0,czc4751,czccymsz,51.0,apxknqqjpgwnazwtgzbpuekmzfarlzcxcxpeynleaoiwzikummgfhmdanwnocpkpugfqxpasawxavgw,O,,,651.0,199018.0,1342979.0,0.0,U,,,Laredo,KJDWIQHWUO,SNTBAXIVPMRCGSFT,,1-432-095-5406,Rcqbiwqbkdhmetuloiqcxulrr
WV,0.0,GGV4752,GGVPYSPJNHHZBALQGLKXLEVSK,11.0,Ezshjwfbegjadjcpugqwctwfstwrowwudfmwdcjvapns,R,U,United States of America,324.0,359494.0,2652575.0,3.0,S,,5.0,Oklahoma City,Lmlagmua,MNMDJSEHZWIGNHDFUGYPWFGDPHMVRNSIIZIDMODPDWZBTAOKZDEV,Rock-Tenn,1-277-314-7505,qblxdfxdlzfznpwmofmcfodasvc
RI,1.0,xzv4753,xzvprahrgexxcdzhmcgcoklksseb,5.0,ebtovoxxihsegmtjsyhhbnroxfjkmzinmuk,,s,United States of America,369.0,222207.0,2649494.0,0.0,S,m,5.0,Sandy,DHWUDQMFEDTT,KIEOD,Spherion,1-339-579-3351,LSUOTXPFJEP
VA,6.0,Vkq4754,Vkqguauiujkngtnmbhj,25.0,hmqiupwnaumccdodrgfuazlfkgcf,U,,United States of America,425.0,384766.0,3544328.0,2.0,S,,,Torrance,Kwcdev,Qtskozaytyzjnmbbgmcpnekvlylcafkwqqljklecotz,Alliant Energy,1-813-737-7193,alidnmdydz
British Columbia,8.0,Hzr4755,Hzruxopykhsmcmmlnifxu,13.0,Wqccskbhzcksphrozxhx,U,n,United States of America,795.0,229674.0,2133746.0,0.0,M,,1.0,Lansing,cpteevoqr,skuiquosijgeuh,Itron,1-003-808-7989,ELQHLOFAXJGHCEVCHK
NM,5.0,Uho4756,Uhorxjvdoictkgwkkuhvwthnqa,40.0,Ctqxfeoojsblzowgedjmanmwizfhhddwbvgkpknsxxogxmx,O,,United States of America,800.0,168959.0,2654803.0,1.0,U,,3.0,Halifax,BWWIPXSRL,ZWARSURTEBLRUCSCPVMXCHONETEVNKXKWOSVSALXAKOKKLBQPLLSJNJAVDOILBLR,E*Trade Financial,1-788-493-3915,Sfqsfkp
CA,0.0,Slm4757,Slmkktjhhnmvxrsqjtms,2.0,Hlslfwflvohptfoasuoszcvbucvvmvmrjbosbwankbepppqnfolost,O,,United States of America,505.0,120986.0,2575833.0,4.0,M,,3.0,Hialeah,VLYFLPCQPBE,Pqazimgczydpxqrbfzqcugafmlibfokogxwjmevyolhimtfdjjpmhwcwqib,PSS World Medical,1-198-334-5765,Yzorifaxkc
WV,2.0,Vyq4758,Vyqgk,30.0,XAWZFSHYAKGKWT,O,Z,United States of America,617.0,207701.0,3945014.0,3.0,W,,2.0,Sydney,gavqomgrfhmx,Qbfpmdlkdzrtzkvxehehnghcnnk,Hewlett-Packard,1-636-925-2740,CMVMLPPTLCSEDNMYFJR
TX,9.0,IIA4759,IIADZCQX,96.0,GVZMFLEBOADCIZRXTRRRAXUVIZYMOVJEGCZDRFZEQFWZQMUYHEEDVQPQOYOROHGUJ,R,V,,791.0,247224.0,2908095.0,1.0,U,,1.0,Chula Vista,CQBJEEKNJBRJ,Zaxgegegpjxehywttrrmmaeebrrdmgkupuvakxdwouyar,Metals USA Holdings,1-905-152-0339,GJCSW
New Brunswick,6.0,HBF4760,HBFANBOQPESLQSQPIV,54.0,KPHEORSIGOAQAXPDN,O,c,Canada,672.0,189582.0,1774340.0,1.0,M,,0.0,Colorado Springs,DJLMJABTSH,FNPSDYDZGKLHBTYPAYLSGNIJZCVNRUIAT,Vornado Realty Trust,1-025-416-9548,TKLSAITZQKIOWFJXRAIKZSEWVAI
UT,6.0,DLG4761,DLGJEMMBMDE,13.0,Drlvxqujhclnzslemjskzdsjdrlwxzycjhkoebwqaphntndwjhujgcjpmzjcphieps,O,,United States of America,723.0,217090.0,1326183.0,0.0,,M,3.0,St. Catharines,VFVDVQGOEH,VINFNWDRLONWVZDXKKZXIVAMUFMHXTBOOKBYKQGTNQFUMMYU,Fleetwood Enterprises,1-852-761-4971,JZKEUFIWWHPIYJWNTYJTDVTBEJ
MI,2.0,jih4762,jihsjrfatxwnsmfnezvofc,71.0,Tcjexlarzdtxsvjyngbulqsrbotmccbpwciqoegzqmtugcf,O,t,United States of America,430.0,394758.0,274845.0,3.0,U,F,4.0,Huntington,moyhcl,,Starwood Hotels & Resorts,1-881-383-4147,erlcxtphbrrbbyxautwvnpm
NH,3.0,evt4763,evtsa,35.0,Yiecphosbhhmkwgnjplutklazlujriiseaxzhpdecolwcymxltuxukjfwlhvadvalqrsicvyvuhoe,O,b,Canada,357.0,290045.0,911040.0,5.0,D,,1.0,Bellevue,hlcchp,Xuqnaiohpbfqimqenwiwcaaamrnmwkeiugkzsfrgzvxesqclfrsioidvqjfqawurkpvmodmvwqawcmf,Comcast,1-314-963-8357,cwsiirxfqqhcpuwhquwpuowa
FL,7.0,Qbq4764,Qbqhytdptmtxnjeymz,53.0,Xfrttxwzjcxqciltaeqjer,O,,United States of America,721.0,214129.0,645586.0,4.0,S,,3.0,Santa Clara,Qarelhd,XJMMUYREOZBCFVTYBCGO,Arrow Electronics,1-095-557-5367,Vaodqcpjionkqlpwjrque
Saskatchewan,6.0,tun4765,tunhfdrrbwrrkegqnxcjwmeaorb,51.0,SVZPYPRUMANZGEQIKAUASDNGUCTWXDIGVNNQOFMXGEEMAHMA,R,k,United States of America,711.0,51424.0,3669863.0,2.0,M,f,1.0,Philadelphia,Qsqxxxo,IIHEWPHLNXSBNHNVGQYPXFDSTZANHLZTEFHNVPZSFM,Hospira,1-235-166-6388,Bhiznrgnstwiuljgxkqhqghzea
GA,1.0,AQO4766,AQOXMVTTU,31.0,,R,D,Canada,568.0,352104.0,2972333.0,,S,,0.0,Baton Rouge,Adkkq,Aypvkgbhikiwulirpharr,State Farm Insurance Cos.,1-842-023-3239,Uspvkskl
RI,4.0,NBE4767,NBEXAMDDMBYUFXXKIWOX,100.0,Bniqluvwqocxviafhgubufbpnyvutdmpehllpsmsdraxbvjuvbkmuzuwjq,R,,Canada,785.0,322999.0,2324898.0,0.0,D,,4.0,Atlanta,secbio,OANKGDOTMLRXOBKPKFPVIOQXTBYHCTPJKKAVTQHFRQBCCTJCAZOHQBHUEYUCLEAONWRGNDJKMOW,Mirant,1-863-751-1461,FVBZONADUSBYBKBP
KS,3.0,Wkt4768,Wktzspenzcrklxhgbjtwapghzvdf,82.0,QTDKGTPHMQJAFJQIDLCXWCKBRBPLFISPBUSBBXPJTBQSZBDOVSRHRS,O,A,United States of America,789.0,421001.0,3485641.0,1.0,D,,,Palmdale,Ecpiidayjhw,Tkmswuwsqsazjrgusgk,Waste Management,1-960-017-7001,HKVOHMQZQKUXBYEXUPMDE
Saskatchewan,2.0,RQW4769,RQWCVSTOHMFIPYCDIFVMIZMSHGRUOJ,28.0,zizjgdxksarhw,O,r,United States of America,323.0,90016.0,2686282.0,1.0,U,F,0.0,Independence,Kdtskjlrp,,OGE Energy,1-879-079-4687,Cfkmdztjpzdhdwoljogbuxvfwuou
MO,6.0,Gac4770,Gacgsyawkwlkvjiowmnsns,36.0,EISRPMLENLOMJZSPBJQKSBWZMZKDILICNSVNWIZFTPKAJ,,,Canada,810.0,382751.0,627980.0,2.0,W,,5.0,Orlando,Ivqipfsngolg,nieshg,Valero Energy,1-251-194-3546,dzcurnkzgejwpuq
OH,7.0,wnn4771,wnnlgkmcezlflqgwekf,34.0,DMWHZXTHHCFRPAMXZFGHVJFCCOTDM,O,,United States of America,507.0,52098.0,,3.0,M,M,,Grand Rapids,Iexkcu,ARKVFESHHEZMTE,Northern Trust Corp.,1-297-731-0806,CUVZEQCFCPLERPLWPGRVZEUCTLN
MS,7.0,Mxu4772,Mxuwvcatathctkpzf,100.0,Qekwhpaxhuuxfappcsdpbziyzeyxigbeukcqbmubqodzjutwq,O,,United States of America,470.0,54611.0,2197047.0,5.0,S,F,3.0,Cincinnati,Hfdpscj,Oqkerklvkqzhnjzincoxujboqilmqypiidsmjogsvqbcuc,Cablevision Systems,1-962-096-9446,IKDXBNDMSSNXNKPJ
Manitoba,10.0,Ytn4773,Ytnyjykkn,18.0,cjzqdlpfksmqyk,O,N,United States of America,321.0,296427.0,1460876.0,1.0,,f,4.0,Tempe,lmpwapz,uchtgofxtxemhwnzsxhodmgehdvcwsqy,Universal,1-017-224-5280,qjnhzcrcndgvzlrtivurzkb
NM,3.0,OHQ4774,OHQAHDNCYQKHCDSTIANYHEGKKX,,Kivcirdncabwrjkwftzwsbfirmbuofsqjyxftzy,R,,United States of America,313.0,14911.0,2865365.0,0.0,S,,2.0,Halifax,ugbeatr,QMXHKJHTLHRQZAGSKEUMXTHSZLSJPWVOMJG,Amazon.com,1-929-493-2177,Ddceavqgieiohddx
HI,1.0,Wjy4775,Wjysddxajxisgfnlizagzl,74.0,keqfeoxrfkojbahvswlymmuthtm,O,,United States of America,561.0,201428.0,516628.0,3.0,U,,1.0,Hayward,tzcijbfirlbs,Mlcvsnvnfafgdpsixnsbrgactrabdhkdytyfbjmhkwjoqqvyukgwizrszsgbdjal,Rite Aid,1-877-120-6900,Bznzyfnve
DC,5.0,Ske4776,Skerluhjdetcoqsthux,17.0,Kedqehremleetgwasoxwuodqnihodawkwytaokcgwdiinmotfmyeqkoftqcjoxiosltmcnshabrfutau,U,,United States of America,476.0,144435.0,1116008.0,1.0,,M,4.0,Ottawa,qryykulyaym,Vumvfzpzqsugabexjkjaatbbeyzfduxgwrmnfbxdffyidvrqezwhhhxfijzcctxr,Thor Industries,1-374-043-5434,mdemeztjhbahkixnjkhpjkuqe
FL,0.0,vqj4777,vqjxrz,92.0,Gzovdlrkhaybpoyhdwacregdnyyewdrvwlmgdrvhdhjtephwpzlcvpqddu,O,V,United States of America,752.0,90628.0,197084.0,1.0,M,,2.0,Milwaukee,Fulkt,Ajnwzinivwjfsxnjvsnohzvhmbrcolydsgsdfncaijlwakeprdkjpotvahcakrtcdqatukemkebrg,Newmont Mining,1-075-008-9722,QDWJQKZKEDRNEBOGHRJDOFX
IA,1.0,clu4778,cluegokhxlpkjvblpwhqu,83.0,Stvcmeztqifuuscmcmwdhltsgwivjtumousynlognypbpaotpvkbdqylifcmhfxlkotdakpvja,U,,United States of America,633.0,77842.0,1545300.0,5.0,M,,1.0,Pembroke Pines,Obdlslz,,Holly,1-530-986-6567,KHOCMEVKAJOZSWD
DE,8.0,Kar4779,Karllqxkdsjmcx,79.0,vmqooylxwuscevgthkeprcvyzqhcvvvmxxozuzxvokbwsyw,R,,United States of America,843.0,449874.0,3490296.0,1.0,M,,1.0,Alexandria,Ujlruc,adxjemvvhxoastvgwzwfuyfssiu,Sun Microsystems,1-152-266-8393,KHWYXOSGCBFGZYODFKHPIJMG
RI,6.0,CFH4780,CFHJZCDMNNAJBNA,2.0,Dlstrlmpgltucjlgssglzucygdbuprdkeain,O,,United States of America,413.0,200169.0,1275415.0,4.0,U,,3.0,Orlando,ovrid,lesltewinrbgkjwtinywyujswfcqwbtnldznmzmqcoqdcei,A. Schulman,,Sfjlogozydnnbmhuradcckysaer
ID,0.0,wsk4781,wskrlnhdxyifbisiuol,91.0,ijciyjybajdlhvxtnxxbjpfdfrtib,O,,United States of America,524.0,359586.0,2993866.0,2.0,M,F,1.0,Cedar Rapids,zpuljfoedbgv,Jtovenxsizupqcwbibpgpqbfjxiufrnnbiibnzkmwkxfsoowqkvgtptqglali,Hasbro,1-725-743-8408,xcaqatohexbbsrcyjqncksmtui
Alberta,9.0,QFZ4782,QFZBUC,71.0,Aamhwyesxvvggvn,U,,United States of America,849.0,486414.0,2922236.0,1.0,M,m,4.0,Pittsburgh,GJVGFYXN,GCYNTREHODBOQLSPOCIEANF,Coach,1-326-915-4135,Xualnxqlryaaofk
CA,2.0,Vjs4783,Vjswwbbnlujrstuogiiwksny,40.0,Lbepklezvuludquzqyttvhnwlzzqhxup,O,,Canada,787.0,83630.0,82518.0,3.0,W,F,5.0,Durham,JHBKNAX,tdejwzacasqrmbfrvihhucwgqtooiisjvbttbpfykxfahmxjvesxnydjdoloasxmu,Lennar,1-780-720-2815,TEQIRRLDWIUKAFUUCZDQCXXNUMG
MA,3.0,Mrz4784,Mrzapxygfujkydwruapfyevomdsg,,,O,,United States of America,623.0,195656.0,2467957.0,,S,f,0.0,Thousand Oaks,Jbbdhjdgp,Jfmjfsnboqjxmeyzxrwhwedgcusiwshmhdezyhmxs,General Growth Properties,1-972-786-1950,iqzhexbgygaungtbiao
VA,1.0,TVB4785,TVBCSLNWPVRLEXIWSVIX,54.0,zzrivnsuisppqkv,R,,United States of America,691.0,108454.0,2650848.0,0.0,S,F,0.0,Fayetteville,Gfmovyqov,ocefz,Furniture Brands International,1-346-704-5546,Ttfniyxhvpkjqqejayyftmzxlj
WV,7.0,Gfq4786,Gfqxrosxaw,59.0,vxwqhypiltvbrlimcxusfgabegpkrmpzxzdgwbpvdthihjmvsblammcedawdm,O,I,United States of America,492.0,113893.0,384820.0,3.0,M,,0.0,New Haven,,Fvxnkfbtqkwqqhtenyfoganxpqvnfjoodsv,Altria Group,1-670-016-0457,Udthxsmsuktgrtvcxmjuocwukuwbew
ND,5.0,Rqe4787,Rqepojxeemax,84.0,Jcdbmypzmwaymaoigbbvhpqnbgkpylwcgbtgbjplfhgdwymgibvwfsm,O,Z,United States of America,775.0,487953.0,3080655.0,2.0,U,,2.0,Montreal,mepnfcmpwzf,Xftybumizebsctrmyr,Jacobs Engineering Group,1-573-569-4369,tnqdraipzgwu
GA,9.0,byf4788,byfqeoz,33.0,Ohntdnllrzmqpdfxhpijeiqiaelpxdxdpsgiqqpfffxenljyklbz,O,x,United States of America,340.0,391268.0,612805.0,0.0,S,M,4.0,Reno,jbiqnbk,dzhblctevgrpyhdenhyxuj,Dr Pepper Snapple Group,1-624-320-7212,Jguqnlmtswktsinnurfx
OK,8.0,xgo4789,xgoslxlqldexalfushjz,62.0,HHQQMXWCSMVWEFYUDWFXKSBHYWSDLDEAFBQPN,R,W,United States of America,655.0,82973.0,1638444.0,3.0,M,,3.0,Lafayette,Jyhvtmmbeis,iqxagfrjaqmzbdsywjteujonyoyiuuftzyuugvytjtu,LandAmerica Financial Group,1-596-035-1942,Cnhmodtcvajfdmwbiwftbmcqxox
OH,3.0,bkz4790,bkzoguhqejgtmwibeuoyqe,15.0,NFDDXPUUASRCVPHULQCJWXZROIOMMWLDBIIHP,O,,United States of America,487.0,71271.0,1610350.0,2.0,U,,1.0,Newport News,Yhsng,CSRDTSCUVZAQJDSOU,Snap-On,1-651-361-6666,febncrpiyvvavy
Newfoundland,4.0,Ogw4791,Ogwiulgtnptmm,29.0,nmiecysqugk,O,C,United States of America,410.0,342675.0,885111.0,3.0,W,,2.0,Simi Valley,Knulty,Vbjyqfvdmomshklxkbpxntuiczxcbtgdmcelsyenplpixbx,Coventry Health Care,1-401-158-5090,VCFQIJHKGUEGLSLDWIA
VA,8.0,wig4792,wigxgizqwvzeevt,65.0,xfzzsztv,R,u,United States of America,,127065.0,852296.0,0.0,,,2.0,Oshawa,kyofrdfqhgpl,Zvgzidgzqinnsdghyjhroyltjsoxgh,Scotts Miracle-Gro,1-635-678-2527,Jzoczoiyrvdvcwymqdigwwjvpgu
KS,7.0,Yae4793,Yaeddmdmpyfldpselrjw,32.0,XBRXTCVDPOPVQFJVQKXVHWKGQD,O,,Canada,433.0,399944.0,376976.0,0.0,S,,4.0,Salem,Oacomnb,bldrdrquiwqfxnmfctgxqchseknoxttkokvtnevlfm,Hewlett-Packard,1-811-784-4932,Opfnptsdxdkyihijj
Saskatchewan,6.0,WCE4794,WCETXPPMBHDQDCC,54.0,micfaiecswmgmukdiiuipdwrnwoomawbsjocbxahnvxxfedzcxqncbxejk,O,,United States of America,594.0,21634.0,805551.0,4.0,M,f,4.0,Costa Mesa,DVPWDLXBLJ,Gwxolerckggkvmujbnyiajvrp,"Toys ""R"" Us",1-440-442-0036,Nzgoxmsvc
PA,,Bvq4795,Bvqfzecbusimqaqezqs,4.0,Euerfgueyivevazazaqxtjvificgjpukdslfnbngrxelhh,O,,United States of America,803.0,9161.0,1764697.0,0.0,U,F,0.0,Warren,,Fdruvswgdbljjcbbqfjbddxbdovjnwt,Northwestern Mutual,1-205-062-8105,onplycdvnatudvvkcyvpateum
MO,1.0,Zxh4796,Zxhxoqksjmanyogfng,47.0,ovbwdcdwhjvtqpvmwtmehfyyguocpbuxirnlv,R,,United States of America,306.0,272454.0,3672390.0,3.0,M,,0.0,San Jose,Xwfslgwclck,Ttabqrclkqblvkblfyctyjiknhikbxcfnbkporovynvofvqsoixytxfrcdwcmgru,Rockwell Collins,1-831-719-4038,dumufipjil
DC,10.0,VZO4797,VZOSLOWLDKQ,0.0,Tmbevrrvuaglhqcstkmwksljujitfsny,O,L,United States of America,773.0,374669.0,2418068.0,2.0,D,,,Tacoma,CRETZICPVF,evwkzhclwkbjkjxllvhqmgtzewhxkmgjiseozgqcodovwjzzfarmnovivmndywqhaagshzrgkcqpmdh,,1-651-305-9683,acnopzpvitwjcvjgf
NY,4.0,Txl4798,Txlyahbmdrntsogee,0.0,hgrselhom,O,,Canada,704.0,25089.0,3480110.0,1.0,S,,2.0,Santa Clarita,FNASNC,Abmoqdxmmucwneodqxthlxfcg,SLM,,yyesvqejnxvbkwnhv
HI,0.0,Khs4799,Khsouzbrfeavmcsfgkb,14.0,BOYDOSNUOMRTSGWDFPJQKJMWLSBY,O,,Canada,716.0,229377.0,3938170.0,3.0,M,f,4.0,Kitchener,Jaafymc,Xzcpxielwkhqbcchdgpd,DuPont,1-677-144-9839,Gtgeybvqzabhkgfekthh
OH,6.0,Jta4800,Jtacfxoofzlmxeqamiqrerwbkdalyr,38.0,dydnmcerzbbwbdxazvtnboxgouiiigj,,,Canada,622.0,454349.0,1150640.0,1.0,U,,0.0,Kansas City,Pyaxbuv,Mdyjlafxmknspysenfmakwmxfewkwxx,CarMax,1-440-592-8791,MDAWZMPITIFKINGCWWJPE
Manitoba,2.0,njj4801,njjeiwieido,62.0,Hrlsvdlgj,O,,United States of America,550.0,266286.0,3418179.0,,M,,4.0,Wilmington,oqztcucmr,Vljpofuziquoihstnkbcomckszdxpozhlvlbmcmbmeqmrzomdvvilpmgaruqmzbxwzvhiunhtmk,Universal,1-032-839-8552,gpbgimeirizzsv
