State,MaritalStatus,NumberChildren,NumberCreditCards,NetWorth,PostalCode,City,FirstName,MiddleInitial,AgencyID,Country,OwnOrRentFlag,Phone,CreditRating,LastName,Age,Gender,Employer,AddressLine1,AddressLine2,NumberCars,Income
NH,M,0.0,4.0,,76144,Milwaukee,sunny,,Cro3637,United States of America,U,1-259-855-0223,395.0,Crompton,11.0,f,,22820 wilshire boulevard,,5.0,54049.0
Prince Edward Island,S,5.0,10.0,65194.0,m9e 1u5,Saskatoon,Nadir,,Lud3638,United States of America,U,1-500-391-0040,595.0,Ludwig,87.0,f,Public Storage,3503 thorndale court,,0.0,424769.0
NH,S,2.0,6.0,2218719.0,V6s 1w8,Billings,Ernest,,Fro3639,United States of America,O,1-760-859-2538,761.0,Frosst,,M,ON Semiconductor,20020 knipp way,,2.0,141511.0
OK,M,4.0,8.0,1926848.0,V6e 1p3,Fremont,ZOLTAN,,Cre3640,United States of America,O,1-833-571-7298,553.0,Creighton,0.0,,Edison International,12873 cordova lane,APT. 152,5.0,432252.0
FL,M,5.0,7.0,3775784.0,23254,Halifax,Dian,C,Bla3641,Canada,O,,819.0,Blackley,33.0,M,McDonald's,16181 foster park,,5.0,36356.0
SD,S,4.0,1.0,3327429.0,73126,Frederick,MIKELIS,,WYB3642,United States of America,O,1-809-505-1255,718.0,WYBLE,80.0,,Cliffs Natural Resources,2031 ross road,,2.0,149831.0
TX,U,2.0,5.0,1680433.0,92107,Frederick,jesselyn,,Liv3643,United States of America,R,1-948-779-6439,463.0,Livek,76.0,M,Aramark,12232 drexel crescent,,3.0,17868.0
NY,S,0.0,3.0,1968052.0,77112,West Covina,Ferne,,Zou3644,United States of America,O,1-409-646-4188,429.0,Zou,51.0,m,WellPoint,19295 sweeney road,,2.0,261349.0
WV,W,4.0,1.0,3676260.0,t5a 1p5,Palmdale,jerald,J,HER3645,United States of America,O,1-351-800-0412,762.0,HERRMANN,26.0,F,Interactive Brokers Group,11516 TANNER STREET,,3.0,41200.0
KY,M,2.0,7.0,641271.0,93688,Charleston,DORALYN,W,Wsa3646,Canada,O,1-587-150-5266,411.0,Wsadmin,11.0,,MasterCard,16511 YAMATO LOWER,,4.0,316624.0
GA,M,,10.0,931479.0,x1h 1s8,Torrance,MARGI,,MAY3647,United States of America,O,1-067-262-9018,631.0,MAYHUGH,76.0,,Crane,7054 SOUTHLAKE UPPER,Apt. 577,2.0,270346.0
SC,M,0.0,9.0,616621.0,95291,Hollywood,TUESDAY,,Mor3648,United States of America,O,1-919-591-8267,382.0,Moritz,77.0,,Freddie Mac,3967 bedford crescent,,3.0,126176.0
SD,S,2.0,,2908755.0,v6n 1w4,Aurora,Danyelle,,she3649,United States of America,O,1-393-545-9121,824.0,shein,37.0,F,Pacer International,14362 reilly boulevard,,1.0,2605.0
ME,U,,8.0,2752442.0,V5d 1o2,Eugene,Hernandez,,hot3650,United States of America,R,1-901-376-5264,764.0,hotlist,36.0,,Chemtura,280 elle lee lower,,1.0,222805.0
MA,D,4.0,6.0,3234310.0,t6d 1j2,Mesquite,Noellyn,R,Dea3651,United States of America,O,1-895-368-0139,480.0,Dearaujo,31.0,F,KAR Holdings,4433 fillmore avenue,,1.0,232660.0
SC,M,3.0,3.0,3474199.0,33302,Hilo,An,,sto3652,Canada,O,1-342-573-1774,491.0,storey,36.0,,Waste Management,23261 long way,SUITE 97,2.0,490506.0
CA,S,2.0,10.0,2956140.0,19807,Birmingham,Catharine,,ZEN3653,Canada,R,1-251-428-4342,,ZENG,38.0,F,Puget Energy,1417 parkwood north,,4.0,254831.0
SC,S,3.0,,3260019.0,t5c 1t1,St. Johns,Anthia,,dyn3654,Canada,O,1-316-366-0478,440.0,dynie,2.0,C,LandAmerica Financial Group,19649 CARNATION NORTH,,4.0,227073.0
AZ,M,0.0,7.0,1790297.0,78250,Oxnard,Timm,,Mla3655,United States of America,O,1-980-103-1911,387.0,Mlacak,17.0,m,,2335 san felipe east,,1.0,162713.0
AK,M,5.0,7.0,3349273.0,95221,Elizabeth,Alikee,,Mcc3656,United States of America,O,1-165-380-3679,745.0,Mccaffrey,41.0,F,Coca-Cola Enterprises,15868 dewdrop park,,5.0,450992.0
VA,W,4.0,1.0,1255578.0,63105,Torrance,adam,,Bro3657,United States of America,U,1-824-017-4282,806.0,Brouillette,29.0,,Robert Half International,8622 brownway park,apt. 301,0.0,384215.0
PA,U,2.0,4.0,3348858.0,y5d 1m2,Stockton,Cubical,U,Sil3658,United States of America,R,1-472-673-2287,710.0,Silverthorn,96.0,m,Crown Holdings,20020 KNIPP WAY,,2.0,211458.0
DE,M,2.0,3.0,651020.0,T5B 1Q4,Anaheim,gloriana,,cor3659,United States of America,O,1-219-815-1147,377.0,corbett,82.0,,International Paper,3760 dearborn east,,2.0,145920.0
OK,M,2.0,5.0,3650619.0,80052,Dayton,Malcolm,,Lar3660,United States of America,R,1-730-076-1491,,Lariviere,22.0,,Brookdale Senior Living,20664 ross upper,,4.0,97777.0
OH,M,5.0,0.0,2504474.0,44303,San Diego,albertine,G,WAL3661,United States of America,O,1-030-816-7638,748.0,WALTA,81.0,M,Qualcomm,12985 camp bowie south,,5.0,446908.0
VT,S,5.0,6.0,2511190.0,V5C 1P6,Brownsville,Yolanthe,,Rez3662,United States of America,O,1-397-508-1430,730.0,Rezzik,90.0,,Massey Energy,18231 flint river lane,Apt. 288,,415369.0
CO,U,4.0,7.0,3475664.0,H6d 1y2,Richmond,BENJAMIN,,Smy3663,United States of America,O,1-114-736-0339,847.0,Smyth,77.0,M,Dean Foods,14255 EUCLID DRIVE,,2.0,354483.0
New Brunswick,S,1.0,8.0,2884513.0,78279,Columbus,man,D,Wes3664,United States of America,R,1-458-901-2572,692.0,Wessel,91.0,m,Micron Technology,8216 oaklawn way,,3.0,172299.0
Newfoundland,M,3.0,4.0,2937205.0,V6X 1T5,Allentown,Imtiaz,,ing3665,United States of America,U,1-045-914-5248,530.0,ing,1.0,M,Pentair,7574 berry road,,0.0,212485.0
PA,S,1.0,2.0,3752928.0,E7O 1O5,St. Louis,NITA,,BRI3666,United States of America,U,1-689-288-3353,,BRIERLEY,37.0,,Synovus Financial Corp.,23181 CANTEY COURT,,4.0,450241.0
VT,W,5.0,3.0,443032.0,02110,Irvine,NANI,,GRI3667,United States of America,O,1-836-544-9117,815.0,GRIMES,59.0,,NV Energy,22703 DURAND RUE,,4.0,188304.0
WA,U,2.0,8.0,3193944.0,80912,Newark,empdb,,mcb3668,United States of America,O,1-461-810-7113,548.0,mcbeth,14.0,,Express Scripts,15962 TAMARIND PARK,apt. 136,,303493.0
Newfoundland,W,3.0,5.0,292761.0,44138,Salt Lake City,Brianna,J,Shi3669,Canada,U,1-468-803-9981,756.0,Shi,15.0,m,Worthington Industries,17727 ashbrook lane,,3.0,271815.0
SC,M,3.0,10.0,473062.0,91186,Missoula,EDITH,M,hys3670,United States of America,R,1-478-369-0539,605.0,hyslop,50.0,,Nalco Holding,13385 colby park,,5.0,240163.0
HI,S,0.0,9.0,3760817.0,90841,Virginia Beach,RUDOLPH,I,Hug3671,United States of America,,1-801-642-3888,,Hugo,38.0,,Vanguard Health Systems,23750 bellaire lower,,0.0,233490.0
VT,W,1.0,3.0,,90772,Columbus,Cynthie,,Bou3672,United States of America,O,,635.0,Boutot,58.0,M,Hovnanian Enterprises,7837 HOWELL COURT,,1.0,
CA,D,1.0,10.0,3327102.0,45261,Columbus,Gwynith,,Hsi3673,United States of America,O,1-071-266-5991,771.0,Hsieh,9.0,m,Carpenter Technology,15013 harris road,,5.0,4154.0
Saskatchewan,U,5.0,6.0,2291685.0,97208,Mount Pearl,Mahshad,,Wol3674,Canada,O,1-708-175-8114,681.0,Wolfenbarger,80.0,,Coca-Cola Enterprises,22649 weyland rue,,3.0,172138.0
NM,W,5.0,2.0,1857270.0,V6u 1p2,Mobile,illa,,Fre3675,United States of America,O,1-112-578-8311,801.0,Fretz,7.0,,Sara Lee,17129 kalani east,,,167856.0
DE,M,,4.0,2668741.0,91171,Cheyenne,Geir,C,shi3676,United States of America,R,1-141-201-9293,556.0,shirey,25.0,F,Medical Mutual of Ohio,13388 el monte rue,,5.0,132496.0
ME,M,0.0,9.0,2657145.0,X5e 1u1,Pembroke Pines,Gnni,,kem3677,United States of America,U,1-720-308-7067,458.0,kemppainen,87.0,,Pep Boys,20901 ashley north,,4.0,326957.0
TX,U,2.0,8.0,2509398.0,60732,Irvine,Hildegarde,,vaf3678,United States of America,U,1-311-585-8264,576.0,vafaie,56.0,,Pulte Homes,22325 spanish river rue,APT. 895,1.0,244781.0
SD,W,0.0,2.0,533620.0,98128,Missoula,Enis,A,Str3679,United States of America,O,1-235-319-5430,363.0,Strauss,52.0,,News Corp.,10479 WHITTINGTON RUE,,2.0,154988.0
NY,,2.0,5.0,,H7f 1v7,Laredo,BREE,,FER3680,United States of America,R,1-291-235-4123,800.0,FERGUSSON,61.0,m,Sherwin-Williams,2951 ennis west,,0.0,312933.0
MD,M,5.0,8.0,3930263.0,M4j 1o2,Huntington Beach,Sandy,,ash3681,United States of America,O,1-854-068-5233,675.0,ashton,56.0,,Williams,24697 FLORENCE WEST,Suite 114,2.0,370462.0
VT,,2.0,0.0,1714740.0,23218,Escondido,kaycee,,NEA3682,United States of America,O,1-006-968-7331,704.0,NEARING,12.0,,Liberty Global,17991 chamberlin way,,,434164.0
ND,M,3.0,,3372519.0,70837,Raleigh,NAMRATA,,cha3683,Canada,O,1-535-846-1149,815.0,chapmond,50.0,,NCI Building Systems,24701 PEMBROOK CRESCENT,,4.0,230233.0
NJ,U,2.0,10.0,587291.0,93379,Chesapeake,neile,,NAH3684,United States of America,O,1-946-617-1715,762.0,NAHATA,88.0,,PNM Resources,22785 peachtree boulevard,Apt. 387,1.0,226460.0
Saskatchewan,U,2.0,3.0,2621848.0,33198,Baton Rouge,Madonna,,BAI3685,United States of America,O,1-949-789-1381,602.0,BAILLARGEON,68.0,F,CUNA Mutual Group,7936 altamesa lane,,1.0,390526.0
VT,D,1.0,3.0,2068957.0,23253,Halifax,Jodie,,POM3686,United States of America,O,1-297-404-0108,686.0,POMA,52.0,F,Progress Energy,2167 mockingbird drive,,,445707.0
NV,M,2.0,2.0,397855.0,78724,Grand Rapids,MOHAMMED,,bun3687,United States of America,U,1-023-481-9726,331.0,bunner,38.0,,Abercrombie & Fitch,11941 maywind crescent,,5.0,300897.0
CT,D,4.0,8.0,1613178.0,h5l 1q7,Billings,Kordula,,Dav3688,Canada,O,1-390-472-2788,576.0,David,47.0,f,Kimberly-Clark,21952 sabine drive,,5.0,40419.0
UT,W,4.0,1.0,3209847.0,35869,Great Falls,MAMORU,,KAS3689,Canada,O,1-988-324-2798,465.0,KASPRZAK,2.0,M,Supervalu,16606 skillman west,,2.0,263253.0
IL,M,5.0,0.0,3325636.0,23275,Houston,may,,lei3690,United States of America,O,1-688-623-4666,629.0,leibich,38.0,,Jo Ann Stores,6528 PEMBROOK NORTH,,3.0,14803.0
CT,U,3.0,5.0,3061317.0,91353,Sacramento,HALIE,,RUS3691,United States of America,O,1-697-410-8698,843.0,RUSHING,13.0,F,Advanced Micro Devices,2103 campbell boulevard,,4.0,301280.0
Prince Edward Island,W,5.0,4.0,1625727.0,h6c 1z1,Hay River,di,V,Bor3692,United States of America,R,1-569-532-1319,487.0,Bortolussi,21.0,f,CME Group,3570 reynolds upper,,1.0,174994.0
AL,M,1.0,4.0,3208377.0,92182,Montgomery,Erinna,,war3693,United States of America,O,1-839-583-5331,836.0,warun,75.0,f,Omnicare,1726 clearwater drive,,2.0,156413.0
RI,S,0.0,2.0,332233.0,89160,Reno,Synful,W,van3694,United States of America,R,1-322-166-7819,795.0,van loon,61.0,f,BMC Software,6320 wagner drive,,2.0,437554.0
NV,W,4.0,8.0,1618911.0,T5A 1W6,Huntington Beach,Rakel,,Moo3695,United States of America,O,1-605-476-1531,,Moorer,57.0,m,Country Financial Services,8989 spicebrush street,,2.0,431799.0
WY,,2.0,,19785.0,30333,Torrance,evelien,,CAL3696,Canada,O,1-299-903-7005,527.0,CALMENSON,91.0,f,McGraw-Hill,21944 richardson upper,,3.0,412706.0
WV,S,3.0,,3024604.0,80075,Worcester,Access,,HOQ3697,United States of America,O,1-986-031-6279,,HOQUE,49.0,M,Maxim Integrated Products,18972 elm lower,,1.0,11964.0
SC,M,0.0,10.0,1040806.0,43603,Akron,SIDONEY,,ope3698,United States of America,O,1-961-479-5777,567.0,operators,36.0,F,McDonald's,20494 ross west,SUITE 420,5.0,342640.0
SD,M,2.0,2.0,3386869.0,T5B 1L3,Flint,kamal,X,clo3699,United States of America,O,1-248-811-0898,807.0,clow,85.0,,Realogy,16956 bellwood rue,,1.0,184543.0
NV,D,1.0,1.0,1506608.0,E7N 1N6,Biloxi,kacey,,Ano3700,United States of America,O,1-508-810-3835,315.0,Anolik,5.0,f,Jacobs Engineering Group,22480 lenwood street,,4.0,302299.0
ID,U,3.0,0.0,602576.0,B1c 1w9,Portland,Thia,,Hol3701,Canada,O,,819.0,Holloway,87.0,m,Qualcomm,17514 payne park,,1.0,261472.0
Newfoundland,M,2.0,1.0,2062313.0,T5d 1j2,Berkeley,juline,,BUR3702,Canada,,1-740-038-3061,803.0,BURKERT,87.0,M,Brunswick,8729 halle street,,,199483.0
AK,U,5.0,3.0,516813.0,M5b 1u1,Mount Pearl,Nady,,Sel3703,United States of America,O,1-400-025-6609,374.0,Selby,39.0,m,Tech Data,5142 bramblewood avenue,,0.0,392164.0
MA,,1.0,4.0,904658.0,96825,Bellevue,arleyne,,Ser3704,United States of America,U,1-315-046-7380,566.0,Sergi,73.0,f,J.C. Penney,9941 ROYALTON DRIVE,,3.0,392747.0
CA,U,0.0,6.0,1164476.0,98197,Las Cruces,angeles,Z,BRY3705,United States of America,O,1-708-393-2869,349.0,BRYDGES,56.0,m,SunGard Data Systems,20857 howard park,,0.0,378400.0
Quebec,S,5.0,6.0,424337.0,93350,Great Falls,MAURITA,,van3706,United States of America,,1-715-576-6794,781.0,van weringh,31.0,M,UnitedHealth Group,5680 powers drive,,3.0,486859.0
RI,D,0.0,1.0,,V6d 1v3,Flint,DRAGO,,Dea3707,United States of America,R,1-817-835-5953,567.0,Dearaujo,10.0,M,FMC Technologies,23477 havenridge rue,,0.0,
RI,U,1.0,,270781.0,m4j 1o6,Rancho Cucamonga,Bette-ann,,Neu3708,United States of America,O,1-799-302-5921,720.0,Neumeister,30.0,M,,14482 kirby south,,2.0,489235.0
WA,S,3.0,9.0,49208.0,77283,Huntington,Lorilyn,,Cof3709,United States of America,,1-124-930-7139,301.0,Coffey,2.0,M,Albemarle,11593 stonehill rue,,3.0,78742.0
New Brunswick,M,1.0,6.0,728772.0,89137,Huntington Beach,Emylee,,Pri3710,United States of America,O,1-031-776-4963,692.0,Prikkel,9.0,,Colgate-Palmolive,24178 turtle creek street,,3.0,339878.0
Newfoundland,S,2.0,,1259871.0,t6b 1c4,Tallahassee,netty,U,Ahm3711,Canada,,,715.0,Ahmad,84.0,,PNC Financial Services Group,2461 vista park,,1.0,299840.0
AL,S,0.0,9.0,565999.0,V6C 1T6,Greensboro,Carolien,,Fre3712,United States of America,O,1-234-363-8893,471.0,French,93.0,,Colgate-Palmolive,10070 glenview boulevard,,5.0,247966.0
SC,M,5.0,10.0,642512.0,06116,Tempe,Tammy,D,dem3713,United States of America,R,,,demeulemeester,94.0,f,Time Warner,9902 altamesa park,apt. 384,2.0,246504.0
NH,M,5.0,1.0,3592841.0,44111,Tacoma,Betty-anne,,Del3714,United States of America,O,1-517-007-7792,738.0,Deliva,98.0,,American National Insurance,23434 ashbrook boulevard,apt. 714,4.0,318844.0
Manitoba,S,4.0,3.0,3418129.0,28220,Fontana,Harold,,Roe3715,United States of America,R,1-037-214-8441,717.0,Roelofs,100.0,,Loews,2246 rexford avenue,,0.0,88922.0
TX,M,1.0,8.0,2305807.0,t5a 1s5,Sacramento,Thanh-ha,K,PEL3716,United States of America,U,1-907-600-8587,671.0,PELLAND,67.0,,Tiffany & Co,17552 SAVANNAH NORTH,apt. 678,5.0,427133.0
CO,M,3.0,3.0,154974.0,M5f 1v5,Savannah,Addie,,row3717,United States of America,R,1-662-637-7484,760.0,rowatt,27.0,,Questar,16552 FRESCO SOUTH,,5.0,10238.0
MI,M,4.0,1.0,315900.0,H6C 1X3,Kansas City,KAS,,fra3718,United States of America,O,1-781-040-8826,621.0,franze,67.0,m,CenturyTel,11065 CANDLELIGHT WAY,apt. 989,2.0,424999.0
ND,U,2.0,2.0,2028359.0,h2a 1w9,St. Petersburg,pedro,F,KAS3719,United States of America,O,1-985-892-7861,740.0,KASSAM,77.0,m,McClatchy,14518 westheimer avenue,,4.0,238849.0
Prince Edward Island,D,1.0,1.0,3401242.0,02120,Salt Lake City,ailina,I,che3720,United States of America,O,1-742-971-3742,482.0,chenier,48.0,,Systemax,18417 voss park,,1.0,211947.0
MT,M,3.0,3.0,276197.0,66112,Charlotte,selim,I,UGU3721,United States of America,U,1-422-246-5333,627.0,UGUCCIONI,27.0,M,O'Reilly Automotive,21434 robertson south,Apt. 915,5.0,480010.0
OK,M,1.0,2.0,977908.0,V6e 1s1,Las Cruces,Blancha,Q,MAR3722,United States of America,O,1-164-418-8341,426.0,MARMEN,66.0,m,Great Atlantic & Pacific Tea,5755 bluff road,,2.0,44051.0
VA,W,,8.0,3116089.0,36642,Windsor,Mal,U,TYS3723,United States of America,,1-881-249-0054,519.0,TYSON,3.0,,Loews,3824 8th east,apt. 407,3.0,363477.0
PA,S,4.0,8.0,820385.0,30907,Vancouver,Rong-chin,K,KAH3724,United States of America,O,1-070-233-8193,763.0,KAHAN,82.0,M,Lennar,11835 allen drive,,3.0,281684.0
GA,U,2.0,4.0,1963389.0,94319,Costa Mesa,Chabert,G,Zvo3725,United States of America,O,1-345-141-6408,488.0,Zvonar,66.0,,Apollo Group,16775 pike east,,0.0,10464.0
AL,M,0.0,3.0,2079552.0,91764,Virginia Beach,ARLETA,T,LET3726,United States of America,O,,422.0,LETCHWORTH,84.0,m,Bank of America Corp.,8550 BRIGGS AVENUE,Apt. 513,0.0,273728.0
AZ,U,4.0,1.0,995478.0,94388,Independence,jean-louis,,Keh3727,Canada,O,1-722-277-0703,310.0,Kehoe,61.0,,Aleris International,4941 beardsley north,,1.0,
Ontario,S,4.0,,958655.0,90269,Houston,Ext,,bra3728,United States of America,O,1-776-871-1745,404.0,brannon,40.0,F,Enterprise GP Holdings,2412 bonita lane,,5.0,422299.0
IA,S,3.0,5.0,2563060.0,80923,Toronto,Elyn,,HOL3729,United States of America,R,1-309-628-8323,834.0,HOLTON,73.0,,Sun Microsystems,5668 watts crescent,,5.0,430074.0
New Brunswick,U,5.0,0.0,432528.0,R5g 1m1,Cincinnati,stclair,,Hop3730,United States of America,O,1-254-797-0807,452.0,Hopkins,79.0,,Aon,1253 kingsbridge upper,,5.0,318800.0
LA,M,1.0,3.0,3655820.0,93780,Lansing,JONIE,,Kor3731,United States of America,O,1-878-352-0080,357.0,Korea,70.0,f,Steelcase,375 austin boulevard,,0.0,176625.0
TN,M,3.0,4.0,3917267.0,19903,Tulsa,hermia,,Gro3732,United States of America,O,1-459-249-7849,,Groulx,73.0,,T. Rowe Price,1238 westwick west,,5.0,462167.0
SD,U,0.0,1.0,1276796.0,V6h 1p6,West Valley,LORELLE,,Gog3733,United States of America,O,1-434-031-2688,818.0,Goggin,33.0,,SkyWest,12417 airport drive,,4.0,148261.0
ME,M,4.0,10.0,1066355.0,33127,Scottsdale,Mignonne,,Bor3734,United States of America,O,1-499-268-2965,336.0,Borthwick,62.0,,Noble Energy,3327 buckline court,,,255310.0
MI,W,5.0,3.0,3779442.0,43617,Saint John,Ioan,,Arn3735,Canada,O,1-665-569-7816,791.0,Arnon,16.0,f,Texas Instruments,20744 gene way,,1.0,313382.0
Saskatchewan,W,5.0,10.0,1189522.0,V6N 1P2,Hamilton,BERTIE,,SPO3736,United States of America,R,1-994-456-8769,812.0,SPOONER,47.0,m,Consol Energy,10457 valderra boulevard,,2.0,480526.0
MT,W,3.0,2.0,1612749.0,91349,San Diego,Sudesh,L,lan3737,Canada,R,1-710-130-2088,,landry,,,Ferrellgas Partners,17207 wycliffe park,,5.0,
WA,M,4.0,9.0,1716600.0,89116,Pembroke Pines,cammy,,CAR3738,United States of America,O,1-160-783-7022,387.0,CARLING,4.0,,Penske Automotive Group,17852 DURAND PARK,,5.0,57481.0
CO,M,2.0,3.0,3364906.0,21225,Sandy,Whitney,K,NAR3739,United States of America,O,1-840-182-7908,344.0,NARRAWAY,30.0,,Carlisle,11645 KIMBERLEY CRESCENT,APT. 776,5.0,471749.0
OH,M,1.0,4.0,165857.0,31215,Raleigh,hqs,W,SCH3740,United States of America,O,1-140-875-8751,327.0,SCHIRTZINGER,83.0,,Affinia Group Intermediate,11460 briar forest lower,apt. 224,3.0,356279.0
Manitoba,M,5.0,7.0,614050.0,63176,Detroit,hanny,L,Nek3741,United States of America,O,1-786-153-9323,758.0,Nekueey,12.0,M,Family Dollar Stores,232 lyle park,,2.0,482482.0
IA,M,,4.0,1065045.0,35274,Albuquerque,KONRAD,,Dar3742,Canada,O,1-694-243-0209,670.0,Dares,,M,Thor Industries,3920 EMMONDS BOULEVARD,,2.0,38517.0
MO,S,4.0,2.0,975974.0,94196,Plano,Cornie,,Dun3743,United States of America,O,1-070-553-6643,340.0,Dunlay,69.0,F,Merrill Lynch,19582 bellevue lane,,5.0,141125.0
Manitoba,D,0.0,8.0,2336041.0,76147,Santa Fe,JUDIE,O,BAB3744,United States of America,O,1-279-880-4425,503.0,BABIONE,59.0,F,Sonic Automotive,15246 dunn park,Apt. 266,3.0,310966.0
TX,M,2.0,0.0,3847430.0,45438,Paterson,ALVINIA,I,pon3745,United States of America,O,1-291-664-0418,567.0,pon,89.0,M,Reynolds American,20025 routh crescent,,0.0,30670.0
ND,M,2.0,1.0,1307768.0,90081,Windsor,EMILY,T,Mag3746,United States of America,U,1-316-708-5846,320.0,Maglione,69.0,,Delta Air Lines,12232 drexel crescent,APT. 440,1.0,161338.0
WA,D,1.0,0.0,1609736.0,95258,Cheyenne,christal,,Wil3747,United States of America,O,1-511-826-6681,836.0,Wilkie,,,MEMC Electronic Materials,16878 plumb park,,3.0,231523.0
DC,U,3.0,5.0,1519697.0,77003,Oklahoma City,Kelcey,,Hoe3748,United States of America,O,1-282-864-4196,665.0,Hoeler,17.0,F,Alcoa,2798 1ST EAST,,5.0,231496.0
UT,M,0.0,6.0,1022755.0,77154,Baltimore,lineth,,Blo3749,Canada,R,1-965-486-8968,791.0,Blount,32.0,m,Johnson Controls,19922 sweetgum upper,,1.0,32736.0
Manitoba,D,4.0,0.0,858084.0,H2d 1y4,Elizabeth,BRANDI,,Mul3750,United States of America,O,1-811-043-6123,308.0,Mulqueen,17.0,M,Western Union,1282 baynard lane,,5.0,413177.0
VT,,5.0,5.0,2428453.0,91758,Sherbrooke,tybi,,VIL3751,United States of America,O,1-695-511-9565,640.0,VILIS,16.0,M,CSX,23423 SAKOWITZ STREET,APT. 792,3.0,67815.0
Nova Scotia,M,0.0,1.0,1585407.0,M5E 1X6,Calgary,Ashly,,jaz3752,United States of America,O,1-724-794-1956,374.0,jazanoski,16.0,,Fidelity National Information,4040 lendon east,,5.0,264119.0
NE,S,4.0,5.0,3602781.0,19209,Toronto,rhonda,,Hla3753,United States of America,O,,706.0,Hlauschek,66.0,,Staples,23485 SINCLAIR UPPER,,3.0,463027.0
Alberta,M,4.0,5.0,1402256.0,83707,Dawson City,Garry,,Net3754,Canada,O,1-207-123-2993,646.0,Netlink,88.0,f,Amerigroup,23490 FOUR WINDS UPPER,,1.0,330969.0
Manitoba,S,,6.0,2069103.0,85712,Warren,Fqa,W,MAC3755,Canada,R,1-911-983-6609,561.0,MACIEL,87.0,,State Street Corp.,14566 WISTERIA ROAD,,4.0,334004.0
TX,U,3.0,0.0,2462374.0,79906,Springfield,Perry,F,VOG3756,United States of America,U,1-315-698-6591,746.0,VOGEL,70.0,,MetLife,24958 tangle brush upper,,5.0,51163.0
VA,M,,5.0,3953300.0,T5B 1J1,Portland,anni,,Chr3757,United States of America,O,1-985-068-2914,686.0,Christensen,56.0,,Nacco Industries,8293 wayne crescent,,4.0,56141.0
TX,M,2.0,0.0,1368050.0,V5c 1p2,Santa Clarita,marlo,,DES3758,United States of America,O,1-871-682-2368,419.0,DESHARNAIS,70.0,,Idearc,10369 gemini way,,3.0,153340.0
CT,S,3.0,9.0,2028581.0,T6A 1F8,Simi Valley,Tyne,,PEE3759,United States of America,U,1-108-323-6445,,PEETERS,41.0,,CB Richard Ellis Group,15013 harris road,,2.0,4305.0
HI,D,5.0,7.0,2495743.0,93699,Madison,Nashir,B,Gar3760,United States of America,U,1-985-643-6398,303.0,Garcia-molina,51.0,,Bio-Rad Laboratories,7364 red willow south,,2.0,34830.0
KY,M,4.0,2.0,2050419.0,78781,Peoria,kwok,,MAR3761,United States of America,O,1-173-622-2101,594.0,MARCEY,30.0,M,Dentsply International,1540 crestmere north,,2.0,467618.0
KY,U,1.0,9.0,501565.0,06609,Las Vegas,Yong,,Cli3762,United States of America,O,1-629-466-7660,473.0,Clifton,1.0,,Ametek,2761 TRAFALGAR EAST,,4.0,412102.0
HI,W,1.0,4.0,2187654.0,77140,Dawson City,BEATRIZ,S,SHN3763,United States of America,O,1-216-726-9008,301.0,SHNAY,19.0,,CVS Caremark,18639 artesian boulevard,,0.0,86859.0
TN,M,5.0,5.0,108434.0,T5c 1o3,Los Angeles,Ruthe,,Les3764,United States of America,R,1-078-942-9885,837.0,Lesniak,14.0,,Coach,7377 coventry east,,3.0,150572.0
CO,U,5.0,,844532.0,70836,Augusta,Stesha,,Swi3765,United States of America,O,1-423-419-7104,400.0,Swinkels,42.0,f,Chesapeake Energy,13963 SPRING DRIVE,,0.0,176910.0
MA,M,0.0,4.0,1402583.0,48501,Tulsa,Suki,J,SAM3766,United States of America,R,1-482-212-7776,391.0,SAMIEIAN,73.0,,Amgen,18688 BEATTY BOULEVARD,,5.0,247036.0
Prince Edward Island,D,0.0,10.0,955733.0,79409,Erie,Gaby,L,HOL3767,United States of America,O,1-466-775-7792,763.0,HOLLEY,82.0,m,USG,5293 MCFARLIN CRESCENT,,2.0,192998.0
CA,S,5.0,1.0,2175371.0,93674,Chicago,ROANNA,,HUS3768,United States of America,R,1-522-889-6155,741.0,HUSAREWYCH,83.0,,Charming Shoppes,24973 teal rue,,0.0,73123.0
OR,D,5.0,4.0,17438.0,V6f 1u2,Fresno,Katharina,,Dal3769,United States of America,O,1-141-481-0128,503.0,Dallas,100.0,,National Oilwell Varco,13276 westella upper,,0.0,32152.0
GA,M,1.0,2.0,342579.0,H2D 1W3,Scottsdale,erma,G,GAS3770,United States of America,O,1-956-581-6294,472.0,GASIKOWSKI,13.0,,,11141 waverly south,,0.0,139556.0
UT,M,3.0,1.0,598877.0,94505,Little Rock,Carolyn,P,Jak3771,United States of America,R,1-954-777-1829,694.0,Jakola,67.0,,Aetna,10572 KIEL AVENUE,,1.0,178341.0
OK,M,4.0,,3258701.0,94406,Huntington,hooi-lee,F,Boe3772,Canada,O,1-691-018-0526,717.0,Boeck,73.0,,A. Schulman,5263 wayne drive,APT. 3,5.0,380963.0
IN,M,4.0,,2056890.0,94154,Savannah,Haste,,Jer3773,United States of America,O,1-504-157-1507,503.0,Jervis,21.0,,Dynegy,22605 deerwood south,,0.0,356863.0
NM,M,2.0,9.0,760673.0,35253,Mount Pearl,Mitchell,B,Hos3774,United States of America,O,1-060-425-4080,788.0,Hosier,82.0,,American Axle & Manufacturing,3028 spring valley court,,4.0,274429.0
