distretto,indirizzo2,codice_postale,indirizzo,città,telefono,stato_id,città_id,stato,indirizzo_id
Shiga,,46044.0,1336 Benin City Drive,Otsu,341242939532.0,50,386,Japan,290
Oyo & Osun,,22650.0,1155 Liaocheng Place,Effon-Alaiye,558236142492.0,69,152,Nigeria,291
Tamil Nadu,,64221.0,1993 Tabuk Lane,Tambaram,648482415405.0,44,522,India,292
Guanajuato,,33768.0,86 Higashiosaka Lane,Valle de Santiago,957128697225.0,60,563,Mexico,293
Kowloon and New Kowl,,58124.0,1912 Allende Manor,Kowloon and New Kowloon,172262454487.0,42,279,Hong Kong,294
Gurico,,53145.0,544 Tarsus Boulevard,Valle de la Pascua,892523334.0,104,562,Venezuela,295
Virginia,,61195.0,1936 Cumaná Avenue,Roanoke,976798660411.0,103,433,United States,296
Sharja,,19065.0,1192 Tongliao Street,Sharja,350970907017.0,101,470,United Arab Emirates,297
Baskimaa,,61391.0,44 Najafabad Way,Donostia-San Sebastián,96604821070.0,87,146,Spain,298
Ohio,,38834.0,32 Pudukkottai Lane,Dayton,967274728547.0,103,140,United States,299
Pietari,,8856.0,661 Chisinau Lane,Kolpino,816436065431.0,80,274,Russian Federation,300
Punjab,,98573.0,951 Stara Zagora Manor,Patiala,429925609431.0,44,400,India,301
Maharashtra,,4085.0,922 Vila Velha Loop,Ahmadnagar,510737228015.0,44,9,India,302
Pohjois-Pohjanmaa,,40070.0,898 Jining Lane,Oulu,161643343536.0,33,387,Finland,303
Hiroshima,,52137.0,1635 Kuwana Boulevard,Hiroshima,710603868323.0,50,205,Japan,304
Maharashtra,,56883.0,41 El Alto Parkway,Parbhani,51917807050.0,44,398,India,305
Kaliningrad,,68469.0,1883 Maikop Lane,Kaliningrad,96110042435.0,80,254,Russian Federation,306
Liaoning,,58979.0,1908 Gaziantep Place,Tiefa,108053751300.0,23,536,China,307
Sanaa,,57587.0,687 Alessandria Parkway,Sanaa,407218522294.0,107,455,Yemen,308
Callao,,79047.0,827 Yuncheng Drive,Callao,504434452842.0,74,99,Peru,309
Texas,,42141.0,913 Coacalco de Berriozábal Loop,Arlington,262088367001.0,103,33,United States,310
Kedah,,84804.0,715 São Bernardo do Campo Lane,Sungai Petani,181179321332.0,59,507,Malaysia,311
Rio de Janeiro,,80184.0,1354 Siegen Street,Angra dos Reis,573441801529.0,15,25,Brazil,312
Missouri,,9668.0,1191 Sungai Petani Boulevard,Kansas City,983259819766.0,103,262,United States,313
Lombardia,,70923.0,1224 Huejutla de Reyes Boulevard,Brescia,806016930576.0,49,91,Italy,314
Minas Gerais,,59686.0,543 Bergamo Avenue,Ibirité,103602195112.0,15,215,Brazil,315
Kursk,,94878.0,746 Joliet Lane,Kursk,688485191923.0,80,286,Russian Federation,316
Tabuk,,17032.0,780 Kimberley Way,Tabuk,824396883951.0,82,515,Saudi Arabia,317
Hubei,,91400.0,1774 Yaoundé Place,Ezhou,613124286867.0,23,166,China,318
São Paulo,,59255.0,1957 Yantai Lane,Sorocaba,704948322302.0,15,490,Brazil,319
Tel Aviv,,62472.0,1542 Lubumbashi Boulevard,Bat Yam,508800331065.0,48,57,Israel,320
Maharashtra,,59811.0,651 Pathankot Loop,Miraj,139378397418.0,44,336,India,321
Streymoyar,,29763.0,1359 Zhoushan Parkway,Tórshavn,46568045367.0,32,545,Faroe Islands,322
Kujawsko-Pomorskie,,25787.0,1769 Iwaki Lane,Bydgoszcz,556100547674.0,76,97,Poland,323
Mxico,,73170.0,1145 Vilnius Manor,San Felipe del Progreso,674805712553.0,60,451,Mexico,324
Tutuila,,28396.0,1892 Nabereznyje Tšelny Lane,Tafuna,478229987054.0,3,516,American Samoa,325
Central,,97960.0,470 Boksburg Street,Birgunj,908029859266.0,66,81,Nepal,326
Buenos Aires,,85799.0,1427 A Coruña (La Coruña) Place,Bahía Blanca,972574862516.0,6,45,Argentina,327
Morelos,,54949.0,479 San Felipe del Progreso Avenue,Cuautla,869051782691.0,60,130,Mexico,328
Henan,,78543.0,867 Benin City Avenue,Yuzhou,168884817145.0,23,591,China,329
Distrito Federal,,87611.0,981 Kumbakonam Place,Brasília,829116184079.0,15,89,Brazil,330
St George,,49833.0,1016 Iwakuni Street,Kingstown,961370847344.0,81,269,Saint Vincent and the Grenadines,331
Adana,,33463.0,663 Bahía Blanca Parkway,Adana,834418779292.0,97,5,Turkey,332
West Java,,59550.0,1860 Taguig Loop,Ciparay,38158430589.0,45,119,Indonesia,333
Dhaka,,64308.0,1816 Bydgoszcz Loop,Jamalpur,965273813662.0,12,234,Bangladesh,334
Illinois,,91590.0,587 Benguela Manor,Aurora,165450987037.0,103,42,United States,335
Santa Fé,,28814.0,430 Kumbakonam Drive,Santa Fé,105470691550.0,6,457,Argentina,336
Dhaka,,1195.0,1838 Tabriz Lane,Dhaka,38988715447.0,12,143,Bangladesh,337
Baki,,57828.0,431 Székesfehérvár Avenue,Baku,119501405123.0,10,48,Azerbaijan,338
Sumqayit,,49812.0,503 Sogamoso Loop,Sumqayit,834626715837.0,10,505,Azerbaijan,339
Sousse,,22971.0,507 Smolensk Loop,Sousse,80303246192.0,96,492,Tunisia,340
Uttar Pradesh,,15643.0,1920 Weifang Avenue,Rampur,869507847714.0,44,427,India,341
Hiroshima,,52368.0,124 al-Manama Way,Onomichi,647899404952.0,50,382,Japan,342
Western Cape,,31483.0,1443 Mardan Street,Paarl,231383037471.0,85,392,South Africa,343
Henan,,19913.0,1909 Benguela Lane,Xinxiang,624138001031.0,23,581,China,344
Hanoi,,85926.0,68 Ponce Parkway,Hanoi,870635127812.0,105,201,Vietnam,345
Gelderland,,504.0,1217 Konotop Avenue,Ede,718917251754.0,67,151,Netherlands,346
Roraima,,71583.0,1293 Nam Dinh Way,Boa Vista,697656479977.0,15,84,Brazil,347
Baja California,,36170.0,785 Vaduz Street,Mexicali,895616862749.0,60,335,Mexico,348
Tongatapu,,46069.0,1516 Escobar Drive,Nuku´alofa,64536069371.0,95,370,Tonga,349
Central,,60079.0,1628 Nagareyama Lane,San Lorenzo,20064292617.0,73,453,Paraguay,350
Adygea,,56380.0,1157 Nyeri Loop,Maikop,262744791493.0,80,320,Russian Federation,351
Daugavpils,,26857.0,1673 Tangail Drive,Daugavpils,627924259271.0,54,137,Latvia,352
Taipei,,87272.0,381 Kabul Way,Hsichuh,55477302294.0,92,209,Taiwan,353
Southern Tagalog,,18841.0,953 Hodeida Street,Imus,53912826864.0,75,221,Philippines,354
Tuvassia,,58866.0,469 Nakhon Sawan Street,Tšeboksary,689199636560.0,80,531,Russian Federation,355
Krasnojarsk,,40792.0,1378 Beira Loop,Zeleznogorsk,840957664136.0,80,597,Russian Federation,356
Nord-Ouest,,37636.0,1641 Changhwa Place,Bamenda,256546485220.0,19,52,Cameroon,357
Hidalgo,,49009.0,1698 Southport Loop,Pachuca de Soto,754358349853.0,60,393,Mexico,358
São Paulo,,37650.0,519 Nyeri Manor,Santo André,764680915323.0,15,461,Brazil,359
Shimane,,81508.0,619 Huánuco Avenue,Matsue,142596392389.0,50,331,Japan,360
Madhya Pradesh,,7431.0,45 Aparecida de Goiânia Place,Satna,650496654258.0,44,464,India,361
Bratislava,,97056.0,482 Kowloon and New Kowloon Manor,Bratislava,738968474939.0,84,90,Slovakia,362
Jharkhand,,5373.0,604 Bern Place,Ranchi,620719383725.0,44,429,India,363
Buenos Aires,,91299.0,1623 Kingstown Drive,Almirante Brown,296394569728.0,6,20,Argentina,364
Arecibo,,64875.0,1009 Zanzibar Lane,Arecibo,102396298916.0,77,32,Puerto Rico,365
Centre,,60440.0,114 Jalib al-Shuyukh Manor,Yaoundé,845378657301.0,19,585,Cameroon,366
Par,,6066.0,1163 London Parkway,Belém,675120358494.0,15,66,Brazil,367
Central,,96584.0,1658 Jastrzebie-Zdrój Loop,Nyeri,568367775448.0,52,372,Kenya,368
Jalisco,,77449.0,817 Laredo Avenue,Guadalajara,151249681135.0,60,188,Mexico,369
Okinawa,,45750.0,1565 Tangail Manor,Okinawa,634445428822.0,50,377,Japan,370
Balikesir,,33050.0,1912 Emeishan Drive,Balikesir,99883471275.0,97,50,Turkey,371
Andhra Pradesh,,2738.0,230 Urawa Drive,Adoni,166898395731.0,44,8,India,372
Esfahan,,13203.0,1922 Miraj Way,Najafabad,320471479776.0,46,356,Iran,373
Chihuahua,,91330.0,433 Florencia Street,Juárez,561729882725.0,60,250,Mexico,374
Karnataka,,69640.0,1049 Matamoros Parkway,Gulbarga,960505250340.0,44,191,India,375
Southern Tagalog,,57810.0,1061 Ede Avenue,Cabuyao,333390595558.0,75,98,Philippines,376
East Java,,72771.0,154 Oshawa Manor,Probolinggo,440365973660.0,45,415,Indonesia,377
Southern Tagalog,,6362.0,1191 Tandil Drive,Tanauan,45554316010.0,75,523,Philippines,378
Pernambuco,,2800.0,1133 Rizhao Avenue,Vitória de Santo Antão,600264533987.0,15,572,Brazil,379
East Kasai,,22025.0,1519 Santiago de los Caballeros Loop,Mwene-Ditu,409315295763.0,25,348,"Congo, The Democratic Republic of the",380
Kurgan,,26385.0,1618 Olomouc Manor,Kurgan,96846695220.0,80,285,Russian Federation,381
Kermanshah,,45298.0,220 Hidalgo Drive,Kermanshah,342720754566.0,46,265,Iran,382
Guangdong,,97390.0,686 Donostia-San Sebastián Lane,Shenzhen,71857599858.0,23,471,China,383
Gujarat,,89294.0,97 Mogiljov Lane,Bhavnagar,924815207181.0,44,73,India,384
Slaskie,,75442.0,1642 Charlotte Amalie Drive,Tychy,821476736117.0,76,549,Poland,385
,,32716.0,1368 Maracaíbo Boulevard,South Hill,934352415130.0,5,493,Anguilla,386
New Hampshire,,25007.0,401 Sucre Boulevard,Manchester,486395999608.0,103,322,United States,387
Namibe,,17165.0,368 Huánuco Boulevard,Namibe,106439158941.0,4,360,Angola,388
Ji´angsu,,95509.0,500 Lincoln Parkway,Huai´an,550306965159.0,23,210,China,389
Ibaragi,,14073.0,102 Chapra Drive,Tama,776031833752.0,50,521,Japan,390
Hmelnytskyi,,33535.0,1793 Meixian Place,Kamjanets-Podilskyi,619966287415.0,100,258,Ukraine,391
Shaba,,69973.0,514 Ife Way,Lubumbashi,900235712074.0,25,315,"Congo, The Democratic Republic of the",392
Southern Tagalog,,21615.0,717 Changzhou Lane,Cavite,426255288071.0,75,104,Philippines,393
Sichuan,,3656.0,753 Ilorin Avenue,Emeishan,464511145118.0,23,157,China,394
Nakhon Sawan,,29810.0,1337 Mit Ghamr Avenue,Nakhon Sawan,175283210378.0,94,358,Thailand,395
Osaka,,83536.0,767 Pyongyang Drive,Izumisano,667736124769.0,50,229,Japan,396
Addis Abeba,,27796.0,614 Pak Kret Street,Addis Abeba,47808359842.0,31,6,Ethiopia,397
Moskova,,8816.0,954 Lapu-Lapu Way,Korolev,737229003916.0,80,278,Russian Federation,398
Asturia,,966.0,331 Bydgoszcz Parkway,Gijón,537374465982.0,87,181,Spain,399
al-Qadarif,,5239.0,1152 Citrus Heights Manor,al-Qadarif,765957414528.0,89,15,Sudan,400
Saitama,,73824.0,168 Cianjur Manor,Iwatsuki,679095087143.0,50,228,Japan,401
Krasnojarsk,,46043.0,616 Hagonoy Avenue,Atšinsk,604177838256.0,80,39,Russian Federation,402
Rio Grande do Sul,,10417.0,1190 0 Place,Bagé,841876514789.0,15,44,Brazil,403
Punjab,,30586.0,734 Béchar Place,Okara,280578750435.0,72,375,Pakistan,404
Texas,,11067.0,530 Lausanne Lane,Dallas,775235029633.0,103,135,United States,405
Fukushima,,13496.0,454 Patiala Lane,Koriyama,794553031307.0,50,276,Japan,406
Bretagne,,61507.0,1346 Mysore Drive,Brest,516647474029.0,34,92,France,407
Tamil Nadu,,79940.0,990 Etawah Loop,Valparai,206169448769.0,44,564,India,408
Saitama,,7664.0,1266 Laredo Parkway,Omiya,1483365694.0,50,380,Japan,409
Buenos Aires,,86868.0,88 Nagaon Manor,Tandil,779461480495.0,6,524,Argentina,410
St Thomas,,54749.0,264 Bhimavaram Manor,Charlotte Amalie,302526949177.0,106,111,"Virgin Islands, U.S.",411
North West,,9827.0,1639 Saarbrücken Drive,Rustenburg,328494873422.0,85,437,South Africa,412
Northern,,35575.0,692 Amroha Drive,Jaffna,359478883004.0,88,230,Sri Lanka,413
Bauchi & Gombe,,7122.0,1936 Lapu-Lapu Parkway,Deba Habe,653436985797.0,69,141,Nigeria,414
Ontario,,65630.0,432 Garden Grove Street,Richmond Hill,615964523510.0,20,430,Canada,415
West Java,,70809.0,1445 Carmen Parkway,Cianjur,598912394463.0,45,117,Indonesia,416
Punjab,,40509.0,791 Salinas Street,Hoshiarpur,129953030512.0,44,208,India,417
West Bengali,,58888.0,126 Acuña Parkway,Berhampore (Baharampur),480039662421.0,44,71,India,418
Guanajuato,,55566.0,397 Sunnyvale Avenue,Allende,680851640676.0,60,19,Mexico,419
Utrecht,,33711.0,992 Klerksdorp Loop,Amersfoort,855290087237.0,67,23,Netherlands,420
Sind,,94018.0,966 Arecibo Loop,Dadu,15273765306.0,72,134,Pakistan,421
al-Sharqiya,,72410.0,289 Santo André Manor,al-Qatif,214976066017.0,82,16,Saudi Arabia,422
Puerto Plata,,59489.0,437 Chungho Drive,San Felipe de Puerto Plata,491271355190.0,27,450,Dominican Republic,423
Bihar,,60622.0,1948 Bayugan Parkway,Katihar,987306329957.0,44,264,India,424
California,,89420.0,1866 al-Qatif Avenue,El Monte,546793516940.0,103,155,United States,425
Tamil Nadu,,14400.0,1661 Abha Drive,Pudukkottai,270456873752.0,44,416,India,426
Hubei,,46875.0,1557 Cape Coral Parkway,Laohekou,368284120423.0,23,293,China,427
Sawhaj,,78813.0,1727 Matamoros Place,Sawhaj,129673677866.0,29,465,Egypt,428
Guangdong,,47394.0,1269 Botosani Manor,Shanwei,736517327853.0,23,468,China,429
Oaxaca,,81758.0,355 Vitória de Santo Antão Way,San Juan Bautista Tuxtepec,548003849552.0,60,452,Mexico,430
Jharkhand,,70425.0,1596 Acuña Parkway,Purnea (Purnia),157133457169.0,44,418,India,431
São Paulo,,64964.0,259 Ipoh Drive,Guarujá,419009857119.0,15,189,Brazil,432
Komi,,33191.0,1823 Hoshiarpur Lane,Syktyvkar,307133768620.0,80,510,Russian Federation,433
Okayama,,87212.0,1404 Taguig Drive,Tsuyama,572068624538.0,50,547,Japan,434
Nizni Novgorod,,33505.0,740 Udaipur Lane,Dzerzinsk,497288595103.0,80,150,Russian Federation,435
Chuquisaca,,72736.0,287 Cuautla Boulevard,Sucre,82619513349.0,14,501,Bolivia,436
KwaZulu-Natal,,63104.0,1766 Almirante Brown Street,Newcastle,617567598243.0,85,364,South Africa,437
Nampula,,65892.0,596 Huixquilucan Place,Naçala-Porto,342709348083.0,63,351,Mozambique,438
Northern Mindanao,,41775.0,1351 Aparecida de Goiânia Parkway,Ozamis,959834530529.0,75,391,Philippines,439
Shandong,,90920.0,722 Bradford Lane,Junan,746251338300.0,23,249,China,440
British Colombia,,47472.0,983 Santa Fé Way,Vancouver,145720452260.0,20,565,Canada,441
La Romana,,40926.0,1245 Ibirité Way,La Romana,331888642162.0,27,290,Dominican Republic,442
Copperbelt,,55405.0,1836 Korla Parkway,Kitwe,689681677428.0,109,272,Zambia,443
Lombardia,,57833.0,231 Kaliningrad Place,Bergamo,575081026569.0,49,70,Italy,444
Maharashtra,,3.0,495 Bhimavaram Lane,Dhule (Dhulia),82088937724.0,44,144,India,445
Batna,,52625.0,1924 Shimonoseki Drive,Batna,406784385440.0,2,59,Algeria,446
Inner Mongolia,,48570.0,105 Dzerzinsk Manor,Tongliao,240776414296.0,23,540,China,447
Rio Grande do Sul,,29444.0,614 Denizli Parkway,São Leopoldo,876491807547.0,15,486,Brazil,448
Tartumaa,,88306.0,1289 Belém Boulevard,Tartu,237368926031.0,30,530,Estonia,449
Buenos Aires,,73942.0,203 Tambaram Street,Escobar,411549550611.0,6,161,Argentina,450
West Bengali,,2834.0,1704 Tambaram Manor,Uluberia,39463554936.0,44,554,India,451
Tatarstan,,52671.0,207 Cuernavaca Loop,Nabereznyje Tšelny,782900030287.0,80,352,Russian Federation,452
Baijeri,,99552.0,319 Springs Loop,Erlangen,72524459905.0,38,160,Germany,453
Kerman,,21872.0,956 Nam Dinh Manor,Sirjan,474047727727.0,46,481,Iran,454
Central Java,,23636.0,1947 Paarl Way,Surakarta,834061016202.0,45,509,Indonesia,455
Sinaloa,,48745.0,814 Simferopol Loop,El Fuerte,524567129902.0,60,154,Mexico,456
Abu Dhabi,,41136.0,535 Ahmadnagar Manor,Abu Dhabi,985109775584.0,101,3,United Arab Emirates,457
Zulia,,16790.0,138 Caracas Boulevard,Maracaíbo,974433019532.0,104,326,Venezuela,458
Michoacn de Ocampo,,16119.0,251 Florencia Drive,Uruapan,118011831565.0,60,556,Mexico,459
La Paz,,28587.0,659 Gatineau Boulevard,El Alto,205524798287.0,14,153,Bolivia,460
Ziguinchor,,75559.0,1889 Valparai Way,Ziguinchor,670370974122.0,83,600,Senegal,461
Illinois,,83183.0,1485 Bratislava Place,Rockford,924663855568.0,103,435,United States,462
Central Java,,64709.0,935 Aden Boulevard,Tegal,335052544020.0,45,532,Indonesia,463
Esfahan,,23343.0,76 Kermanshah Manor,Qomsheh,762361821578.0,46,423,Iran,464
Caquet,,70664.0,734 Tanshui Avenue,Florencia,366776723320.0,24,170,Colombia,465
Northern Mindanao,,10447.0,118 Jaffna Loop,Gingoog,325526730021.0,75,182,Philippines,466
Irkutsk,,22173.0,1621 Tongliao Avenue,Usolje-Sibirskoje,209342540247.0,80,558,Russian Federation,467
Nova Scotia,,84461.0,1844 Usak Avenue,Halifax,164414772677.0,20,196,Canada,468
OHiggins,,7939.0,1872 Toulon Loop,Rancagua,928809465153.0,22,428,Chile,469
Jalisco,,88502.0,1088 Ibirité Place,Zapopan,49084281333.0,60,595,Mexico,470
Shandong,,95400.0,1322 Mosul Parkway,Dongying,268053970382.0,23,145,China,471
Chihuahua,,41545.0,1447 Chatsworth Place,Cuauhtémoc,769370126331.0,60,129,Mexico,472
Karnataka,,33599.0,1257 Guadalajara Street,Bijapur,195337700615.0,44,78,India,473
Galicia,,95835.0,1469 Plock Lane,Ourense (Orense),622884741180.0,87,388,Spain,474
Hodeida,,14122.0,434 Ourense (Orense) Manor,Hodeida,562370137426.0,107,206,Yemen,475
Gauteng,,9668.0,270 Tambaram Parkway,Johannesburg,248446668735.0,85,244,South Africa,476
Nam Ha,,66546.0,1786 Salinas Place,Nam Dinh,206060652238.0,105,359,Vietnam,477
Aceh,,69221.0,1078 Stara Zagora Drive,Lhokseumawe,932992626595.0,45,301,Indonesia,478
Drenthe,,42123.0,1854 Okara Boulevard,Emmen,131912793873.0,67,158,Netherlands,479
Sumy,,11363.0,421 Yaoundé Street,Šostka,726875628268.0,100,385,Ukraine,480
Québec,,20336.0,1153 Allende Way,Gatineau,856872225376.0,20,179,Canada,481
England,,41060.0,808 Naçala-Porto Parkway,Stockport,553452430707.0,102,500,United Kingdom,482
Ha Darom,,73085.0,632 Usolje-Sibirskoje Parkway,Ashqelon,667648979883.0,48,36,Israel,483
Ohio,,88749.0,98 Pyongyang Boulevard,Akron,191958435142.0,103,11,United States,484
Gaziantep,,28165.0,984 Novotšerkassk Loop,Gaziantep,435118527255.0,97,180,Turkey,485
Mwanza,,25145.0,64 Korla Street,Mwanza,510383179153.0,93,347,Tanzania,486
Veracruz,,71182.0,1785 São Bernardo do Campo Street,Coatzacoalcos,684529463244.0,60,125,Mexico,487
Denizli,,2596.0,698 Jelets Boulevard,Denizli,975185523021.0,97,142,Turkey,488
Ningxia,,11839.0,1297 Alvorada Parkway,Yinchuan,508348602835.0,23,587,China,489
Guangdong,,88513.0,1909 Dayton Avenue,Shaoguan,702955450528.0,23,469,China,490
Coahuila de Zaragoza,,8268.0,1789 Saint-Denis Parkway,Acuña,936806643983.0,60,4,Mexico,491
Stavropol,,23661.0,185 Mannheim Lane,Pjatigorsk,589377568313.0,80,408,Russian Federation,492
Baja California Sur,,94239.0,184 Mandaluyong Street,La Paz,488425406814.0,60,288,Mexico,493
Okayama,,46400.0,591 Sungai Petani Drive,Okayama,37247325001.0,50,376,Japan,494
Boyac,,19489.0,656 Matamoros Drive,Sogamoso,17305839123.0,24,487,Colombia,495
al-Daqahliya,,22358.0,775 Šostka Drive,Mit Ghamr,171973024401.0,29,337,Egypt,496
West Bengali,,96203.0,1013 Tabuk Boulevard,Kanchrapara,158399646978.0,44,261,India,497
Istanbul,,26101.0,319 Plock Parkway,Sultanbeyli,854259976812.0,97,504,Turkey,498
Chimborazo,,63667.0,1954 Kowloon and New Kowloon Way,Ríobamba,898559280434.0,28,434,Ecuador,499
Gansu,,98030.0,362 Rajkot Lane,Baiyin,962020153680.0,23,47,China,500
Shandong,,72349.0,1060 Tandil Lane,Rizhao,211256301880.0,23,432,China,501
England,,57197.0,1515 Korla Way,York,959467760895.0,102,589,United Kingdom,502
Zufar,,50592.0,1416 San Juan Bautista Tuxtepec Avenue,Salala,144206758053.0,71,444,Oman,503
Apulia,,86208.0,1 Valle de Santiago Avenue,Brindisi,465897838272.0,49,93,Italy,504
East Java,,69504.0,519 Brescia Parkway,Madiun,793996678771.0,45,318,Indonesia,505
Lubelskie,,16370.0,414 Mandaluyong Street,Lublin,52709222667.0,76,314,Poland,506
West Bengali,,87687.0,1197 Sokoto Boulevard,Siliguri (Shiliguri),868602816371.0,44,478,India,507
Nagano,,90797.0,496 Celaya Drive,Ueda,759586584889.0,50,552,Japan,508
Illinois,,37469.0,786 Matsue Way,Joliet,111177206479.0,103,245,United States,509
Central Luzon,,1570.0,48 Maracaíbo Place,Talavera,82671830126.0,75,519,Philippines,510
Kalimantan Barat,,44816.0,1152 al-Qatif Lane,Pontianak,131370665218.0,45,412,Indonesia,511
Eskisehir,,54674.0,1269 Ipoh Avenue,Eskisehir,402630109080.0,97,163,Turkey,512
Andhra Pradesh,,75474.0,758 Korolev Parkway,Vijayawada,441628280920.0,44,568,India,513
Bihar,,51369.0,1747 Rustenburg Place,Chapra,442673923363.0,44,110,India,514
Volgograd,,19450.0,886 Tonghae Place,Kamyšin,711928348157.0,80,259,Russian Federation,515
Heilongjiang,,39529.0,1574 Goiânia Boulevard,Suihua,59634255214.0,23,502,China,516
Ontario,,35653.0,548 Uruapan Street,London,879347453467.0,102,312,United Kingdom,517
,,65952.0,962 Tama Loop,Yangor,282667506728.0,65,583,Nauru,519
Hubei,,35156.0,1778 Gijón Manor,Zaoyang,288910576761.0,23,594,China,520
Coquimbo,,92568.0,568 Dhule (Dhulia) Loop,Coquimbo,602101369463.0,22,127,Chile,521
Battambang,,32347.0,1768 Udine Loop,Battambang,448876499197.0,18,60,Cambodia,522
Taipei,,400.0,608 Birgunj Parkway,Chungho,627425618482.0,92,116,Taiwan,523
Sivas,,49806.0,680 A Coruña (La Coruña) Manor,Sivas,158326114853.0,97,482,Turkey,524
Gumma,,61244.0,1949 Sanya Street,Isesaki,132100972047.0,50,224,Japan,525
Khanh Hoa,,94707.0,617 Klerksdorp Place,Nha Trang,574973479129.0,105,366,Vietnam,526
Liaoning,,41214.0,1993 0 Loop,Yingkou,25865528181.0,23,588,China,527
Southern Tagalog,,81651.0,1176 Southend-on-Sea Manor,Santa Rosa,236679267178.0,75,458,Philippines,528
Nghe An,,18043.0,600 Purnea (Purnia) Avenue,Vinh,638409958875.0,105,571,Vietnam,529
West Java,,25972.0,1003 Qinhuangdao Street,Purwakarta,35533115997.0,45,419,Indonesia,530
Friuli-Venezia Giuli,,95775.0,1986 Sivas Place,Udine,182059202712.0,49,551,Italy,531
Florida,,31342.0,1427 Tabuk Place,Cape Coral,214756839122.0,103,101,United States,532
Mogiljov,,35364.0,556 Asunción Way,Mogiljov,338244023543.0,13,339,Belarus,533
Benguela,,35202.0,486 Ondo Parkway,Benguela,105882218332.0,4,67,Angola,534
Andhra Pradesh,,40899.0,635 Brest Manor,Bhimavaram,80593242951.0,44,75,India,535
Buenos Aires,,86760.0,166 Jinchang Street,Ezeiza,717566026669.0,6,165,Argentina,536
Mie,,88408.0,958 Sagamihara Lane,Kuwana,427274926505.0,50,287,Japan,537
Khanh Hoa,,79401.0,1817 Livorno Way,Cam Ranh,478380208348.0,105,100,Vietnam,538
Shandong,,22813.0,1332 Gaziantep Lane,Binzhou,383353187467.0,23,80,China,539
Uttar Pradesh,,67521.0,949 Allende Lane,Amroha,122981120653.0,44,24,India,540
Chari-Baguirmi,,49250.0,195 Ilorin Street,NDjamna,8912935608.0,21,363,Chad,541
Kang-won,,9750.0,193 Bhusawal Place,Tonghae,745267607502.0,86,539,South Korea,542
Colorado,,79814.0,43 Vilnius Manor,Aurora,484500282381.0,103,42,United States,543
Jilin,,69953.0,183 Haiphong Street,Baicheng,488600270038.0,23,46,China,544
Carabobo,,33030.0,163 Augusta-Richmond County Loop,Valencia,754579047924.0,104,561,Venezuela,545
Ruse,,13629.0,191 José Azueta Parkway,Ruse,932156667696.0,17,436,Bulgaria,546
Toscana,,74568.0,379 Lublin Parkway,Livorno,921960450089.0,49,309,Italy,547
Sumatera Selatan,,51309.0,1658 Cumaná Loop,Pangkal Pinang,784907335610.0,45,396,Indonesia,548
Tadla-Azilal,,25866.0,454 Qinhuangdao Drive,Beni-Mellal,786270036240.0,62,68,Morocco,549
São Paulo,,55676.0,1715 Okayama Street,São Bernardo do Campo,169352919175.0,15,485,Brazil,550
Sumy,,15414.0,182 Nuku´alofa Drive,Konotop,426346224043.0,100,275,Ukraine,551
Hainan,,5753.0,390 Wroclaw Way,Sanya,357593328658.0,23,462,China,552
Ishikawa,,19151.0,1421 Quilmes Lane,Kanazawa,135407755975.0,50,260,Japan,553
Central Luzon,,841.0,947 Tórshavn Place,Tarlac,50898428626.0,75,528,Philippines,554
Galicia,,77642.0,1764 Jalib al-Shuyukh Parkway,Santiago de Compostela,84794532510.0,87,459,Spain,555
Zhejiang,,39976.0,346 Cam Ranh Avenue,Zhoushan,978430786151.0,23,599,China,556
Rio Grande do Sul,,26284.0,1407 Pachuca de Soto Place,Alvorada,380077794770.0,15,21,Brazil,557
Zhejiang,,52234.0,904 Clarksville Drive,Haining,955349440539.0,23,193,China,558
Vojvodina,,11892.0,1917 Kumbakonam Parkway,Novi Sad,698182547686.0,108,368,Yugoslavia,559
Gujarat,,12905.0,1447 Imus Place,Rajkot,62127829280.0,44,426,India,560
KwaZulu-Natal,,63022.0,1497 Fengshan Drive,Chatsworth,368738360376.0,85,112,South Africa,561
England,,57380.0,869 Shikarpur Way,Southport,590764256785.0,102,496,United Kingdom,562
Vilna,,47498.0,1059 Yuncheng Avenue,Vilnius,107092893983.0,56,570,Lithuania,563
Dolnoslaskie,,97271.0,505 Madiun Boulevard,Wroclaw,970638808606.0,76,577,Poland,564
al-Sharqiya,,22372.0,1741 Hoshiarpur Boulevard,Bilbays,855066328617.0,29,79,Egypt,565
Buenos Aires,,40195.0,1229 Varanasi (Benares) Manor,Avellaneda,817740355461.0,6,43,Argentina,566
Texas,,77464.0,1894 Boa Vista Way,Garland,239357986667.0,103,178,United States,567
Sokoto & Kebbi & Zam,,93655.0,1342 Sharja Way,Sokoto,946114054231.0,69,488,Nigeria,568
Bukarest,,10714.0,1342 Abha Boulevard,Bucuresti,997453607116.0,78,95,Romania,569
Shandong,,44274.0,415 Pune Avenue,Xintai,203202500108.0,23,580,China,570
Huánuco,,32515.0,1746 Faaa Way,Huánuco,863080561151.0,74,214,Peru,571
Tokat,,52196.0,539 Hami Way,Tokat,525518075499.0,97,538,Turkey,572
Moskova,,33224.0,1407 Surakarta Manor,Serpuhov,324346485054.0,80,466,Russian Federation,573
Anzotegui,,15992.0,502 Mandi Bahauddin Parkway,Barcelona,618156722572.0,104,55,Venezuela,574
