gncd,ncm,mrtlstts,mddlntl,nmbrchldrn,mplr,ntwrth,ddrssln1,crdtrtng,nmbrcrdtcrds,cntr,ct,stt,phn,nmbrcrs,g,wnrrntflg
Bnz9488,387521.0,S,J,5.0,Hess,3838059.0,Afysoxhbbutokdmjscyobgccbavduvvqctbq,328.0,10.0,Canada,San Antonio,MA,1-879-912-0700,5.0,3.0,O
Wxa9489,57312.0,M,K,0.0,Icahn Enterprises,3283829.0,Shgijigpajfpwiuhfzwsqqsyqkdpsz,368.0,8.0,United States of America,Seattle,FL,1-576-723-5565,1.0,55.0,O
Seb9490,360779.0,M,,0.0,Procter & Gamble,,Hnbcckbsqowqxhgsheaxakjhmguryedibipjbhhpqhodhpdjhdetazcnbqpkv,386.0,4.0,United States of America,Irvine,NE,1-088-841-1426,4.0,,R
qxx9491,126400.0,W,Q,3.0,BorgWarner,3518557.0,Jibocqwiasetfpgvlbmiqpqcwkxkpcknqwcddvycmigjsdtkfjkqubedboxgxuz,560.0,10.0,,Albuquerque,NJ,1-562-385-1787,3.0,85.0,R
Lis9492,298516.0,M,U,1.0,Crown Holdings,1027508.0,Erohdgxsfvtsogqligjahfljrgwivwaofslaiwiihpewvbrguiqpuofwhpenfhpctdgsmq,362.0,2.0,United States of America,Grand Prairie,OH,1-517-796-9701,1.0,98.0,
nwd9493,235487.0,S,,5.0,Affiliated Computer Services,3327641.0,hobpeooxafabekrebrqfuuoamwuhgr,,5.0,Canada,Hayward,IN,1-362-203-7159,4.0,33.0,O
fnx9494,491115.0,S,O,4.0,,1816348.0,Eewdqmpadwhravltiaumbrgeemanohflompvkjaijgjkiltclsysruzugicwmq,496.0,7.0,United States of America,Shreveport,PA,1-884-559-1729,4.0,9.0,O
xgl9495,256666.0,M,,2.0,LandAmerica Financial Group,,Qkdastidobuhiogyoepdaxppzqptcwuzyhdmvkdsttqkqbcqgatxhpivflfmxx,748.0,1.0,,Evansville,VA,1-725-024-5182,4.0,1.0,R
Psv9496,286893.0,S,,1.0,Kindred Healthcare,3435022.0,xotuwemogf,792.0,3.0,United States of America,St. Paul,MI,1-308-338-7519,3.0,74.0,O
ODJ9497,288389.0,M,G,,Buildings Materials Corp.,156473.0,EECZFSWXTLCMRCCXZDEYXZKLCFITLNQPTY,699.0,9.0,United States of America,Richmond,OH,1-741-219-6035,2.0,34.0,O
GIO9498,213958.0,S,d,0.0,Mueller Water Products,484180.0,Ywckijppzilxrewmocgnyxwatwdvztwqazxcvblqbwxtmhhbsxmhxnefnthzvlzlfu,,9.0,United States of America,Grand Rapids,NY,1-739-791-3178,5.0,95.0,R
Syt9499,36584.0,W,,4.0,Icahn Enterprises,3122213.0,lfberiectxbowjnwzrohugjucfhnwhwtonhcxwtikg,722.0,5.0,United States of America,Raleigh,VT,1-138-297-2263,0.0,,R
Xtu9500,433090.0,U,j,4.0,A. Schulman,,SIOXPYRGBXCBFPZIUWCQQORMJOHTQWAGEAXLUCJJO,435.0,0.0,United States of America,Iqaluit,WI,1-407-422-0343,1.0,76.0,O
Lkg9501,480247.0,W,U,5.0,Allegheny Energy,3449474.0,wtzjomvzpewpupbpvjgynhuxnxkelzazaclsbpdcejejkxgwaenrkrutuzk,816.0,5.0,United States of America,Naperville,TN,1-213-805-8297,1.0,73.0,R
wgw9502,311882.0,U,f,5.0,Cintas,2102334.0,Kkihbu,693.0,,United States of America,Columbus,Ontario,1-293-053-3055,0.0,82.0,O
Scx9503,195215.0,M,R,2.0,Public Storage,3280769.0,Cqrmgiuyvcvsdxmxgjxklguvpfydrdhkmxkcbfhat,723.0,9.0,United States of America,Richmond,MD,1-372-926-4609,5.0,45.0,O
xcc9504,377759.0,M,N,3.0,Watson Wyatt Worldwide,,YTCMCWHRHLXFWNIPGSEJWHPTTNAHLJHMWYMSFWRGVFJYXNMRAWQQACC,597.0,2.0,United States of America,Bismarck,WV,1-306-312-4894,0.0,21.0,O
kpm9505,444654.0,U,d,,,2576901.0,Sgrwhetuqefhicwsbpxslawoghnmetqfxssktivixiepwcosfbpnybmygspm,747.0,9.0,United States of America,Warren,ME,1-775-115-5430,1.0,82.0,O
BKE9506,20521.0,D,,0.0,Constellation Energy,3502928.0,rcwkqeazogxxvwzrbhygzerqtclyidhrjdp,391.0,6.0,United States of America,Jackson,GA,1-593-713-6307,2.0,7.0,O
Ayt9507,136656.0,M,,4.0,United Technologies,,kgvqnpkkpoihwacshftkuawedhrcrwddelnuica,584.0,1.0,,Phoenix,CT,,4.0,38.0,O
Qhc9508,434474.0,U,p,3.0,Reynolds American,713120.0,FELBQVWJKZEIRXVNGMWBPPQRJ,391.0,0.0,United States of America,Paterson,TX,1-695-441-1442,3.0,59.0,U
Eyf9509,7450.0,M,T,0.0,Computer Sciences,67828.0,exgprlepalpyfakithh,797.0,10.0,United States of America,New Haven,WV,1-376-518-0976,,99.0,R
btq9510,336413.0,S,d,1.0,OM Group,1044199.0,Bpvcfipdcolgdrudgvbxbovbydrwhvabzlxrlwlcuctdstezdemajbmubmv,588.0,0.0,United States of America,Elizabeth,SC,1-394-033-1715,5.0,48.0,O
Udy9511,115331.0,M,,3.0,Perot Systems,2450172.0,Hktymsvtwhgjaujjvealqlmcipkixsvbfqitjnylcwydaknrxocuxamaociup,627.0,5.0,United States of America,Overland Park,PA,1-036-501-5452,5.0,9.0,O
XSS9512,343939.0,D,L,3.0,Energy Transfer Equity,111571.0,JMDMEJXCVVRGKDSWWQQQZDNU,771.0,10.0,United States of America,Fullerton,WA,1-544-882-9655,4.0,46.0,O
SCX9513,294758.0,D,E,5.0,New Jersey Resources,1473285.0,OSUIPJAMGUOLNCNLHOSFDF,519.0,8.0,United States of America,Anchorage,AZ,1-162-662-4252,2.0,51.0,O
Pwy9514,420820.0,U,P,1.0,Burlington Northern Santa Fe,1763265.0,NPXEJYWQCPDZLLZPEZEIFAVKANEGPDZTRSZOCMQEY,351.0,0.0,United States of America,Columbia,DE,1-482-008-2988,5.0,77.0,
yce9515,,W,,2.0,Andersons,2590140.0,Pcmsgmiacpppzlquayxsepcodwfhtxttpr,519.0,9.0,United States of America,Memphis,MT,1-641-614-4165,0.0,93.0,O
Kiy9516,114636.0,D,,,Forest Laboratories,2830890.0,SDFVVOZJQDCKCYHDXNNSXEVLIGLUNAQEPMITVPAUQJJW,308.0,7.0,United States of America,El Monte,HI,1-394-241-2808,1.0,54.0,O
fau9517,177716.0,U,,1.0,Staples,1473229.0,DWGAKUKVAMVKHQLRFPTENWIB,757.0,6.0,Canada,Pomona,NV,1-273-121-4926,2.0,,O
Cak9518,197479.0,U,h,4.0,Waste Management,1713820.0,UUQKMMOGTNSSCUVQKISDGHKOJJVGVSGAYPSDPQYHITRFXFEMVDI,725.0,6.0,Canada,Boston,DC,1-905-452-9414,3.0,51.0,O
WOI9519,219143.0,M,,4.0,,3557413.0,gbjygzsudqgepamlalgrimfhpdqoeebeqywunrafdamuswrys,844.0,0.0,United States of America,Pittsburgh,Alberta,1-989-371-3149,4.0,1.0,R
Flg9520,338480.0,D,e,2.0,Entergy,3315382.0,Qtyrdtfibdfzydechmqunovbwbpfvznn,787.0,0.0,United States of America,Santa Rosa,ID,1-993-885-9527,4.0,68.0,R
Hbr9521,53545.0,,V,5.0,XTO Energy,991552.0,eylagojbtjclfpcmidqnfgknbzbggvyduqtxubncklvrcwq,740.0,1.0,United States of America,Anchorage,Quebec,1-553-253-2612,4.0,75.0,O
XDG9522,102688.0,U,,1.0,H&R Block,1132095.0,DDIJAMVKFUK,601.0,5.0,United States of America,Fayetteville,WI,1-215-413-6363,1.0,61.0,R
kkt9523,484439.0,D,T,4.0,Olin,1503092.0,Fexnprcjrmdkkoulxbwjagvbfulfsuegahujakoojowyxhpsilpoakhnbfqo,685.0,8.0,United States of America,Jacksonville,Manitoba,1-845-154-9153,2.0,,O
dvr9524,373412.0,D,,2.0,Brunswick,3272166.0,Qnqthqwq,725.0,4.0,Canada,Jacksonville,SD,1-781-987-8972,0.0,52.0,O
Lcn9525,438674.0,M,,2.0,CC Media Holdings,1810930.0,Waitogrcivfgmmfprkuvcjhbvrrnyicijbvizibgit,759.0,2.0,United States of America,Chesapeake,NJ,1-560-532-0833,3.0,60.0,O
whn9526,207133.0,D,Q,1.0,BMC Software,721498.0,NHNPAPFRJDFPQZDIOUFXBCXMJLCVZMXFULZAUSZKELSDOIWBCPOENFKEH,433.0,3.0,United States of America,Fort Worth,Saskatchewan,1-982-881-0154,4.0,26.0,O
Ybh9527,278778.0,U,M,4.0,Rowan Cos.,2814573.0,atmsevmx,369.0,4.0,Canada,Irvine,IA,1-407-512-5719,0.0,16.0,O
Qmy9528,157989.0,S,w,4.0,W.R. Grace,2108915.0,KYMJIUMVPZIKYKA,510.0,3.0,United States of America,Allentown,FL,1-914-367-1741,4.0,65.0,O
Ujk9529,148832.0,S,D,5.0,Cardinal Health,3439434.0,,660.0,3.0,United States of America,Lakewood,HI,1-740-453-4690,4.0,39.0,R
Lcu9530,240358.0,U,i,4.0,Old Republic International,252999.0,Smayydcjhiulwsqvvltzrwqfjpxhzijupdzuaagesydjbqolvimchc,640.0,4.0,Canada,Allentown,NJ,1-623-300-6425,1.0,29.0,U
Lnq9531,114774.0,U,,3.0,Foot Locker,166120.0,WHZNLHMNNSHBWWYOUPNTVTLFWNFLXGYHY,531.0,3.0,United States of America,Escondido,VT,1-833-301-8303,1.0,14.0,R
Syj9532,479458.0,D,,5.0,Stanley Works,1963169.0,TJUIHKQYISDWOCAOZSKXGUUDMAPFUIIILOBAJBXHHIRKXQTOKTUKSGIBIMUOZILRNXZ,690.0,2.0,United States of America,Savannah,NY,1-623-880-5407,5.0,28.0,O
las9533,165085.0,S,,4.0,Pep Boys,3306961.0,IVYICJCENUWXCKZMBQSDHYJLRKVBYOU,613.0,8.0,United States of America,Rochester,SD,1-571-629-3781,1.0,10.0,O
WGM9534,,W,c,3.0,Cognizant Technology Solutions,774888.0,jraporeutynrrlmbbfajkfvdy,610.0,8.0,United States of America,Henderson,Newfoundland,1-108-758-1356,0.0,55.0,O
pcw9535,15031.0,M,,0.0,Dean Foods,2006421.0,JNMAQFUAWOASVOQKVFIRDAXMGHTDZXXFPZUDQBBDGTDOYFBQADLWDBMVEOBCI,598.0,6.0,United States of America,Windsor,NM,1-843-168-2446,3.0,77.0,O
Hfq9536,3124.0,M,y,5.0,McDonald's,2523553.0,Srnxitreylnkhayythbazxddwmxrbwrybuugktjaplphaqbdjxqlrqnusznxaj,531.0,9.0,United States of America,Corpus Christi,VA,1-360-653-8595,5.0,41.0,O
Hix9537,428891.0,U,b,5.0,Microsoft,3271342.0,Smbbdltfjostkpytkykabxfu,673.0,0.0,United States of America,Virginia Beach,Prince Edward Island,1-796-626-0062,,74.0,O
CSE9538,255697.0,S,i,0.0,Ferrellgas Partners,2547937.0,GIWCMUFHOIYGVVPTGPZVZLSAJDBUZGXNCJPEXIFLL,369.0,10.0,United States of America,Bellevue,IN,1-101-816-4142,4.0,40.0,
Bpl9539,359642.0,M,w,4.0,Dell,2050507.0,idpufvonioqxzcakheannlxptivhdnfoxhyulihl,350.0,10.0,United States of America,Provo,OK,1-678-039-3665,0.0,7.0,O
QTO9540,297738.0,M,,5.0,Simon Property Group,537965.0,xblshhqucrzzqvuzdjocqazkmapwrgoekhucfkbvqgovifsgdsamvubchdvdzfdrfa,825.0,6.0,United States of America,Oklahoma City,ME,1-364-201-2596,5.0,58.0,R
HDF9541,,S,P,2.0,Pactiv,1890962.0,COHDBOBBNDSVNIJMEYNHSOROLDJJRKAEKTGOICYHSLWRGSMZUUKKNZKPTAEZFXOCSCYDUXTKY,622.0,10.0,United States of America,Rapid City,British Columbia,1-665-961-7967,4.0,61.0,R
YWM9542,54311.0,,N,2.0,Liberty Global,2743742.0,KULWLIOKJDFOPBTGYHESFKCWDDHNPKBWJRMVKTZEBJSBAZGFUSNRQMLFWFLNIRXUGNITU,842.0,7.0,United States of America,Huntsville,British Columbia,1-441-739-2755,3.0,84.0,R
Faw9543,409026.0,S,,4.0,Seaboard,3414260.0,ailqdqukludmajymvbvonbskjqfwhkxyeosbzvbfdcchzpdhilchjbaevnsbchfkwxb,638.0,5.0,Canada,Tallahassee,MN,1-141-542-6570,3.0,39.0,O
YEL9544,213527.0,U,I,4.0,NYSE Euronext,2081460.0,Gqvucpccmwfovcxxbxarmgvryujvqtroyebhxwgwssepuaebn,399.0,2.0,United States of America,Fairbanks,MO,1-001-648-8073,2.0,51.0,O
Dpa9545,3742.0,M,,3.0,VWR Funding,1285744.0,Jsmdsuudmeegjqjfjaytzgxzzdbynuzq,486.0,3.0,United States of America,Ann Arbor,WY,1-987-622-5771,1.0,40.0,O
Zql9546,345341.0,S,,4.0,Hormel Foods,,AALZEUCJYJZZWXHDDBBT,,0.0,United States of America,Corpus Christi,TX,1-002-753-8064,4.0,84.0,O
wtn9547,245486.0,D,,4.0,Packaging Corp. of America,3548174.0,dcjnjmelhtlcovebrdhdkragmxwwcttfhxxjwkqnihdmalvjabnsrnlcnutegwrjqnwmdyiytp,720.0,3.0,United States of America,Great Falls,Quebec,1-994-644-6144,5.0,57.0,R
uar9548,286642.0,M,,1.0,Tiffany & Co,3823666.0,Jeyvukiuxngummucacnsomvgxnxcrdkotbtvbfmfz,524.0,,United States of America,Fairbanks,FL,1-264-803-8163,3.0,15.0,O
PLA9549,173856.0,U,w,3.0,Sempra Energy,822813.0,Amqnnutnlzqxlsirb,419.0,4.0,United States of America,Regina,KS,1-481-361-0304,1.0,98.0,O
YTY9550,76123.0,M,Z,4.0,Zale,913686.0,Azphnyytyjxuwzpqymvgyogdwbkhqpulgouwaxenpalqvcbgzoj,532.0,0.0,Canada,Montpelier,ME,1-523-555-9650,1.0,24.0,O
RDQ9551,348221.0,D,,2.0,Family Dollar Stores,2616612.0,AVGCYZLHJEHLLJAFCWGKWVVTOXHZVXDMJPWNZTASRBIHYVZVALZVQRPWOALIR,478.0,3.0,United States of America,Chattanooga,NV,1-185-052-2108,4.0,8.0,R
XEX9552,351887.0,S,Y,0.0,Donaldson,2580162.0,ssmestatbdzqgb,687.0,9.0,United States of America,St. Paul,NH,1-876-758-7615,4.0,73.0,O
Krn9553,63951.0,S,E,0.0,FM Global,952324.0,Sadhppqprgltkdvvfaeqidyauchvlpnuxdctmuvllkqmnidjsrqbrhewyy,652.0,4.0,Canada,St. Johns,MS,1-728-079-7194,2.0,60.0,U
Cwk9554,474609.0,D,,0.0,Securian Financial Group,1307047.0,Ipvvvddgjyueppgsamxfgdkghrkqewcclcnmmhhwtctzaoluywjtfrlnsphghg,657.0,10.0,United States of America,Hay River,GA,1-278-223-0919,2.0,11.0,U
ysk9555,,M,C,0.0,KAR Holdings,1543743.0,qalgk,486.0,7.0,United States of America,Calgary,NY,1-741-822-8317,,62.0,O
Ins9556,180193.0,S,w,4.0,Oceaneering International,601154.0,Eihoxytg,623.0,8.0,Canada,Kansas City,OH,1-538-388-5268,1.0,86.0,O
Zwh9557,466100.0,M,b,2.0,Forest Laboratories,255089.0,Kudyyclfljhluby,412.0,,Canada,Overland Park,IA,1-860-298-6605,1.0,2.0,O
TLT9558,479075.0,S,,5.0,Toro,1692570.0,Dlhwixvhhvpfdqhgnqjjisazkbcgcphquijinnumnjclgudzpvcewybyaib,844.0,9.0,United States of America,Cleveland,CA,1-584-870-7045,1.0,,O
RXD9559,32827.0,M,,3.0,PC Connection,281870.0,ZFGVPHWJHLFJJGTTRFDJFJO,586.0,0.0,United States of America,St. Catharines,TX,1-922-290-1553,2.0,33.0,O
Nlk9560,303348.0,M,,4.0,Wells Fargo,3593324.0,IDLMHHI,464.0,3.0,,Sherbrooke,WY,,4.0,15.0,R
Zbx9561,421052.0,M,r,2.0,Tech Data,1179562.0,,424.0,7.0,Canada,Spokane,AZ,1-547-138-4390,5.0,71.0,U
Feq9562,,U,,,Goldman Sachs Group,833293.0,qxaedynevvxmwdsdtfgmbxhegopctykk,528.0,2.0,,Grand Prairie,OR,1-245-923-8288,5.0,36.0,R
jrp9563,447136.0,M,,,JetBlue Airways,559458.0,Eixshyjdpcqaswzlcaopgttjbqujozgsucabuthbd,308.0,2.0,Canada,Shreveport,NC,1-662-954-0862,0.0,68.0,O
VCQ9564,378352.0,U,,0.0,,2490128.0,Ppxvcerbrdxytigaojosotcwvwjldwfc,413.0,,United States of America,Mesquite,MO,1-103-293-3560,1.0,2.0,O
vsb9565,99482.0,M,,3.0,LifePoint Hospitals,3286201.0,QBODMYFUXCTUOIMGQRPZYQGHFIL,590.0,4.0,United States of America,Baltimore,CT,1-435-883-4963,3.0,36.0,O
Bog9566,202184.0,M,Y,1.0,PepsiAmericas,,MLBIFJWLGEZKALJOFWQJWKBODOTIKMCDXJOGPHYNMP,356.0,0.0,United States of America,Tempe,DC,1-414-232-5178,3.0,34.0,O
oox9567,226522.0,U,,0.0,Nalco Holding,1327387.0,Usmpwkp,646.0,1.0,United States of America,Los Angeles,VA,1-145-568-1188,3.0,90.0,O
Quw9568,119285.0,U,,1.0,Retail Ventures,2496893.0,wuamjuooutfsbtoppoelyzhcrvupkvloghiebdwupygecmpwknpxmqcmn,443.0,7.0,United States of America,Winston-Salem,New Brunswick,,4.0,96.0,O
jsc9569,384384.0,D,X,,CC Media Holdings,3141170.0,JSCPQMYYDGAFNAXZUUAQISROJEIIYNQZKUXMJQRSHUIVLEUAKZYHKECYVDRBFN,660.0,7.0,Canada,Pembroke Pines,WA,1-099-959-1170,,46.0,O
Gag9570,26242.0,M,,3.0,RPM International,159285.0,MKTCYBITZCKIAFRNQXFMSBFVDSNPJKCOQMNIWBPGULPVYUFOFBKERGWHLUHBRTZZAYHEBOGDVZYG,448.0,,United States of America,Mobile,NH,1-849-432-3416,5.0,81.0,R
Zei9571,,U,,2.0,International Paper,3794937.0,Nwwadpmkadtcpxirxajijjlhwzmirxjwfsthhbmwexalysjxla,330.0,1.0,United States of America,Austin,IL,1-663-555-7586,0.0,37.0,U
lwi9572,467896.0,U,j,0.0,Boyd Gaming,2787169.0,pcdhbrxksnodfctpjkcggcwgqpazbbzpzduabhdywvyyvua,566.0,5.0,United States of America,Independence,SD,1-522-737-2862,5.0,35.0,O
JQN9573,292846.0,D,e,5.0,Rowan Cos.,3243634.0,Nivbrjzgqyqcbcgwvtlgcvdjoafhhfthlswspowpmtx,510.0,0.0,United States of America,Chula Vista,TX,1-139-061-7035,2.0,51.0,O
XJD9574,94349.0,M,,1.0,Vornado Realty Trust,,Zavmbrnxxcdkbmitavocswkebt,407.0,3.0,United States of America,Washington,AL,1-140-936-8711,3.0,72.0,O
Pkb9575,117874.0,M,L,3.0,Precision Castparts,570578.0,Xrchxbzuizzh,644.0,2.0,United States of America,San Diego,NJ,1-288-512-4531,3.0,23.0,R
Jsn9576,168747.0,S,,2.0,Gap,866654.0,Nqewcdghszypoavedybbfdwnmhwcrosjixzw,672.0,9.0,United States of America,McAllen,WY,1-074-564-4635,4.0,94.0,O
OQF9577,375855.0,D,f,,Chubb,3883861.0,Rjjhtnhyfcabixigwoftaiftc,827.0,1.0,United States of America,Washington,NH,1-034-049-2184,4.0,24.0,O
akn9578,310793.0,M,o,1.0,AGCO,1661912.0,BOYVUZELOQITOYEMKNXISMFPY,394.0,,United States of America,Fort Wayne,Quebec,1-958-595-3219,5.0,27.0,R
wow9579,206675.0,D,,4.0,Biomet,2334122.0,Zjppddropiovdkckwdciosvsrcbeuueyredqxmgoewibil,542.0,8.0,United States of America,Hayward,HI,1-152-835-9487,5.0,59.0,U
SGV9580,367962.0,U,,3.0,Spherion,2651982.0,Bdjggtbiakdfikrtptaklpacscvhldcsrtvofduvqjddvvkmdjtobggdjrhcdcndswskbzsqnrzlg,675.0,10.0,United States of America,Scottsdale,IN,1-024-257-9090,4.0,55.0,
Ace9581,497404.0,S,a,1.0,KBR,1839032.0,Cqndcqsghqrb,415.0,4.0,United States of America,Sioux Falls,CA,1-346-424-7217,2.0,19.0,R
Ziv9582,23985.0,M,,0.0,AmeriCredit,1927218.0,Iuutkubzgtywbziqphkexcckylapoau,695.0,6.0,United States of America,Bridgeport,AL,1-656-335-6322,4.0,32.0,R
IMK9583,439662.0,S,C,,Barnes & Noble,2633551.0,Fwselhldygqcmazhkfbzx,834.0,9.0,United States of America,Fontana,MD,1-919-212-4817,2.0,48.0,O
Ylk9584,369204.0,M,,,PharMerica,3287590.0,NANGJGKJKLPYIOOGHMODUNBGGRGRRQKXDHF,671.0,8.0,United States of America,Fargo,AL,1-535-055-3536,1.0,20.0,O
Zwl9585,141929.0,M,,,Waste Management,2043569.0,Jmxpwornzweibcoquxwnmvnvpicevxccutqdvvkohpyojy,301.0,1.0,United States of America,Minneapolis,UT,1-329-330-1734,4.0,90.0,O
Oxi9586,365389.0,M,,4.0,Philip Morris International,3024522.0,Hpchloumeyguupqqzozkgamhiizdhrftrbckxfpmpsoidcdxrhz,714.0,2.0,Canada,Charleston,MI,1-998-953-3901,,3.0,O
HYC9587,234124.0,S,K,0.0,Air Products & Chemicals,2097877.0,urpfeqchowzwzamchwrietvcqlkcyqablcjjxsugzpcknrwwqtjxlaiqnvdenedbljxicblngaiccpxs,641.0,9.0,United States of America,Elizabeth,MN,1-649-495-7117,,34.0,O
Yik9588,298976.0,S,V,2.0,BJ's Wholesale Club,2114972.0,JYASALXNBJSZXRKAEVO,582.0,0.0,,Lexington,AR,1-603-787-0064,3.0,99.0,R
FFM9589,323188.0,M,,4.0,,71123.0,MJPATPBBFJGHR,318.0,9.0,United States of America,Santa Ana,Quebec,1-724-827-3598,0.0,25.0,O
Tkd9590,125822.0,M,r,4.0,Aleris International,481333.0,IGOENRHESZLVVTATVQBPTGLKBSMUSANPCRYXSSNZQFQJPBJGZQORQRJUR,513.0,6.0,United States of America,San Diego,NJ,1-750-106-0156,2.0,90.0,O
Ucz9591,382939.0,U,,1.0,,2491861.0,Bhucrckyjxffvvrdgxqloqpecdhlflkesvutoefsdownsgihfaoivxnmipdaxnsnelwmhwblfmdj,795.0,5.0,United States of America,Chesapeake,LA,1-963-696-2524,3.0,11.0,O
ist9592,141355.0,M,L,0.0,Levi Strauss,3221662.0,fepgcrsevmgbinqybhbwoexmgnlfi,720.0,5.0,United States of America,Arlington,WA,1-517-390-0230,5.0,30.0,R
Wyq9593,364346.0,,,1.0,UGI,1959595.0,Njconlwyewrukkwszrrqpnaei,351.0,0.0,United States of America,Overland Park,Manitoba,1-290-754-4689,5.0,79.0,R
ERG9594,86581.0,U,P,3.0,CH2M Hill,119276.0,Xsbzen,845.0,8.0,United States of America,Alexandria,CA,1-637-106-0842,1.0,89.0,O
Vjm9595,111228.0,W,O,2.0,M&T Bank Corp.,1813521.0,Pefgmeuqwlvuiouqwoskhnroovcvsavbdaofxnfwpwrgxbetga,407.0,1.0,Canada,Hayward,IA,1-694-681-6738,5.0,45.0,O
Dnq9596,129040.0,M,,0.0,PG&E Corp.,,gnsaenxsyboqifgznissezpdmeodqcsvfymximvyoifiptegthjprbuwkjwfjvappreefspunxwj,694.0,9.0,United States of America,Grand Rapids,Nova Scotia,,0.0,82.0,O
Jxj9597,305340.0,S,,1.0,Peter Kiewit Sons',1835226.0,Dxctelmugglxdhjhxtwomgjoumqpzcoyehqsqlxxcyhycqgqnrauxfoupfoeulgfai,566.0,6.0,Canada,Fargo,Saskatchewan,1-450-992-8755,2.0,15.0,U
PYR9598,59865.0,M,A,4.0,AGL Resources,280212.0,nsbusopkifiqevnuesmdbzwlgrixxczqglm,626.0,8.0,United States of America,Fort Wayne,KS,1-996-648-6019,2.0,1.0,O
UFD9599,358175.0,U,,1.0,Rohm & Haas,947447.0,FYJFWRPMGRPQDAUPVNIOPQNXYHLAMLBOLNQCWGMJBULF,794.0,0.0,United States of America,Chicago,NE,1-491-567-4129,3.0,74.0,O
rlf9600,284583.0,U,N,0.0,Progress Energy,1796353.0,wqpbgabjdpeicuusedwkryzqmphzgvkxxhvxygnxqpcrpjfjhmhrjdoqyhntoxtdzgva,639.0,2.0,United States of America,Hamilton,NE,1-819-998-9209,2.0,44.0,O
Hik9601,147469.0,M,,5.0,Lincoln Electric Holdings,766911.0,svnqswxcedigkhhtmorneurrpdcwbcwxwkgvqn,595.0,7.0,United States of America,Louisville,CT,1-704-621-9062,3.0,9.0,U
UER9602,164412.0,S,,5.0,Vishay Intertechnology,50549.0,KGJAXQEADLSRCNVKPICGDRWTFM,539.0,6.0,Canada,Lexington,RI,1-469-302-8928,4.0,60.0,R
Pne9603,60820.0,S,S,5.0,Select Medical Holdings,1509000.0,Wrsszhmrscxnrjtwmybwrxtqjvwiqotb,672.0,5.0,United States of America,Sterling Heights,MD,1-962-082-4168,0.0,74.0,O
lqs9604,401822.0,S,,5.0,Erie Insurance Group,2054169.0,Xtdakoppqlicucmtxvxkvmamufgrmzfudxo,570.0,3.0,Canada,El Paso,CA,1-775-715-3803,1.0,45.0,U
ppr9605,266517.0,M,,0.0,Union Pacific,,IVIFUTZJVRUEIUCIPSVLMVRUSNWGVXAFUNMMEQSMJJLGCZBHTNAEWRTNWBGWVPNDKD,350.0,2.0,Canada,Pueblo,Quebec,1-921-672-3046,1.0,24.0,R
JVU9606,236621.0,D,,1.0,EOG Resources,,nyjdqefglslst,521.0,0.0,United States of America,Chattanooga,Manitoba,1-775-339-9138,5.0,29.0,O
Ctn9607,410609.0,D,r,4.0,Wynn Resorts,1991727.0,rdbgoamihavtfyhvdwimoyaraysupqjkuqgrtqhdkxnqfqbanianskk,426.0,4.0,United States of America,Vancouver,UT,1-297-283-2223,4.0,63.0,R
qlm9608,,M,R,0.0,Hanesbrands,30888.0,Nffidxzjdszntagrdoeyhlwfmumgeiwb,823.0,5.0,United States of America,Sacramento,CO,1-354-529-3892,1.0,83.0,O
jha9609,429711.0,M,J,2.0,,3932732.0,Tproadybwetcifrhyuttrga,548.0,9.0,United States of America,Jacksonville,KS,1-115-583-3844,2.0,75.0,R
Uku9610,25462.0,M,,5.0,Jabil Circuit,3816349.0,NQSXTPCWBGFXFL,850.0,2.0,Canada,Denver,RI,1-570-847-9762,3.0,52.0,U
ZVX9611,200012.0,S,q,2.0,Imation,1524003.0,Dlstpxtzknvffyzfphkjhrjjmstwsrkgtmufzhirmwxpgcjhdjkurolncqjj,,0.0,United States of America,Rockford,NV,,0.0,28.0,O
srx9612,359501.0,,,4.0,Coventry Health Care,1604876.0,Ejgkxibrfsvudwhpqshahrflxmpqcuicosdvskcnvucdslahepu,825.0,4.0,United States of America,Naperville,WA,1-117-699-8077,4.0,45.0,O
ens9613,244323.0,M,c,3.0,Blockbuster,3122664.0,Kfookxkkovchtemaqggeupgwadzckebkxfwjf,684.0,5.0,United States of America,San Francisco,Saskatchewan,1-330-169-0786,3.0,8.0,R
Fvl9614,375382.0,S,n,3.0,Harsco,2039156.0,yxdtadapbxczdzifmwbmsdelbwvchpbtupvpclzhlfkhhddkehsldwy,,9.0,United States of America,Santa Clarita,NM,1-818-529-5438,1.0,79.0,O
TFM9615,86581.0,M,,5.0,Erie Insurance Group,3389179.0,Zosxqpmmanjaghlrlrdodldcxctijxbgtbbgutwkwllnmziizrfdxpcbkqnmcuenmkemwifwszigumn,460.0,10.0,United States of America,Charlottetown,Nova Scotia,1-199-835-8035,4.0,9.0,
CHC9616,273274.0,U,,0.0,Bon-Ton Stores,1705338.0,xgguvqfrhnmohbenpxpfilkfokcc,698.0,0.0,United States of America,Edmonton,AZ,1-150-892-6454,5.0,45.0,O
Jts9617,31076.0,M,A,1.0,Windstream,2764245.0,Bwfkspsfhjeuorgqjcxfhlvfwiifocqkwlwbddoncbhphhumfrxaqcqwsh,531.0,10.0,United States of America,Lowell,TX,1-576-326-3388,3.0,52.0,R
