Age,City,Country,NumberCreditCards,AgencyID,AddressLine2,LastName,AddressLine1,NumberChildren,FirstName,OwnOrRentFlag,MaritalStatus,NumberCars,Gender,PostalCode,Employer,MiddleInitial,CreditRating,NetWorth,Phone,Income,State
20.0,Thousand Oaks,Canada,4.0,Lok2930,,Loker,1573 brighton west,2.0,sylvia,O,W,3.0,,v6f 1s2,Solo Cup,F,495.0,,1-193-663-2269,73826.0,OH
37.0,San Bernardino,United States of America,6.0,Lor2931,,Lortie,10572 kiel avenue,4.0,Jastinder,O,U,2.0,,M3V 1J8,Plexus,,604.0,2350603.0,1-727-033-7258,139921.0,Quebec
41.0,Irvine,United States of America,,Rig2932,,Rightmire,6464 bonnie brae street,2.0,lianne,,M,2.0,,99787,BJ's Wholesale Club,,322.0,3542550.0,1-205-320-3693,19871.0,ID
95.0,Vallejo,United States of America,4.0,CON2933,,CONISTIS,22679 chimney rock west,4.0,carilyn,O,M,,m,V6Q 1S2,Pantry,,326.0,729029.0,1-141-026-4625,429326.0,WI
74.0,Lexington,United States of America,1.0,Kot2934,,Kotval,16165 ottley north,2.0,Grissel,O,W,0.0,m,V5c 1m4,Donaldson,,663.0,2915930.0,1-651-899-6898,414355.0,NC
18.0,New York,Canada,6.0,nee2935,,neely,12683 la cienega street,,Herman,U,M,2.0,,75026,,,,881421.0,1-217-597-6246,429914.0,WI
73.0,Nashville,United States of America,0.0,Mcm2936,,Mcmullin,4937 chestnut avenue,5.0,Azam,O,M,4.0,f,94160,Praxair,,617.0,2165336.0,1-991-589-7678,144269.0,SD
80.0,Yellow Knife,United States of America,3.0,mer2937,,merrithew,22649 WEYLAND RUE,3.0,Azar,O,W,4.0,,23509,Hub Group,,743.0,3487477.0,1-689-484-9060,188313.0,Quebec
67.0,Wilmington,United States of America,7.0,Bul2938,,Bulitka,19969 austin boulevard,3.0,Maso,O,M,5.0,F,99536,Limited Brands,,303.0,,1-974-114-9281,290119.0,WV
40.0,Washington,United States of America,,bit2939,apt. 897,bittman,24021 roosevelt rue,2.0,Dix,O,D,2.0,,21203,Northwestern Mutual,,791.0,2129073.0,1-683-066-1019,256698.0,AK
75.0,West Covina,United States of America,,har2940,,harapiak,6832 atlantic park,4.0,Ellynn,O,S,5.0,,44327,Insight Enterprises,K,457.0,1300323.0,1-663-286-3107,118219.0,TN
,Boise,United States of America,8.0,Ben2941,,Benning,18833 3rd park,5.0,HACK-HOO,O,W,5.0,,93746,Cliffs Natural Resources,R,496.0,2792896.0,1-515-263-5084,288881.0,British Columbia
87.0,Kitchener,Canada,7.0,cos2942,APT. 716,costen,4129 crestline avenue,4.0,willard,O,,,F,35252,,,403.0,709636.0,1-980-109-2382,447556.0,Prince Edward Island
28.0,Mesa,Canada,4.0,Mai2943,,Maijala,6463 walters boulevard,,Maged,O,S,5.0,f,78723,Holly,,452.0,3220890.0,1-628-211-2763,349885.0,WY
93.0,Norfolk,United States of America,5.0,sch2944,,schittl,2546 ashley way,0.0,Mohamed,O,M,5.0,,95185,Intuit,T,,3625645.0,1-310-142-4448,37212.0,Nova Scotia
23.0,Providence,United States of America,8.0,HER2945,,HERRINGTON,9933 inwood south,1.0,Nessie,O,U,1.0,M,M2p 1d9,Rockwood Holdings,,,2681833.0,1-275-976-0375,136724.0,New Brunswick
51.0,Jacksonville,United States of America,4.0,dot2946,,dotsey,10013 shaw road,3.0,Monica,O,S,4.0,,M3w 1k9,Universal American,,573.0,207894.0,1-964-439-4557,30699.0,SD
66.0,Salinas,United States of America,6.0,nao2947,,naor,2156 BLEDSOE ROAD,0.0,DATHA,R,M,2.0,f,T5C 1J2,VeraSun Energy,T,574.0,3788965.0,1-395-014-1110,31143.0,ND
64.0,Charleston,United States of America,0.0,Zel2948,,Zeller,7524 linberg north,3.0,RENNY,U,M,4.0,,H5j 1q4,United Rentals,,393.0,713831.0,1-478-098-8176,473545.0,DC
76.0,Regina,United States of America,3.0,San2949,,Sangha,12037 overton ridge upper,5.0,ko,U,M,1.0,M,V6U 1U2,PG&E Corp.,T,374.0,1587674.0,1-834-194-1414,371120.0,WV
41.0,Little Rock,United States of America,2.0,CRO2950,,CROSSLEY,2035 eaton park,,Eoin,O,M,2.0,,M6t 1i1,Erie Insurance Group,P,538.0,3992451.0,1-410-898-3130,280035.0,IA
11.0,Topeka,United States of America,0.0,COS2951,,COSTANTINO,9733 berry south,5.0,Yovonnda,U,M,4.0,,99619,Jones Financial,V,564.0,1952207.0,1-313-439-2968,48225.0,NC
21.0,Bellevue,United States of America,8.0,Klo2952,,Klowak,19827 CHERRY RIDGE WAY,2.0,LETICIA,O,M,3.0,F,94112,Motorola,G,663.0,2713850.0,1-549-529-8766,51842.0,Newfoundland
98.0,Baton Rouge,United States of America,0.0,IAR2953,,IAROCCI,5902 lincoln north,1.0,Florida,R,S,4.0,F,50308,DTE Energy,P,318.0,3062409.0,1-410-570-3292,111112.0,DE
42.0,Lafayette,United States of America,6.0,mik2954,Apt. 759,mikulka,16675 dewey upper,2.0,elvera,O,M,0.0,F,v6w 1u1,Solutia,G,632.0,1969908.0,1-053-520-6823,470629.0,VT
96.0,Sterling Heights,United States of America,9.0,COM2955,,COMMENTS,10784 gold park,0.0,noslab,O,M,3.0,M,V6v 1p7,Reynolds American,S,800.0,2660942.0,1-633-512-4482,392006.0,Prince Edward Island
90.0,Columbus,Canada,1.0,Mom2956,,Momon,17172 pershing west,0.0,magdalena,O,S,0.0,,43615,Qwest Communications,V,411.0,1074766.0,1-862-102-6685,197466.0,Saskatchewan
,Beaumont,United States of America,4.0,hob2957,,hobin,16844 leon south,1.0,Fung,O,S,5.0,F,V6M 1W9,PHH,,,840785.0,1-743-495-3074,,NY
12.0,Jersey City,United States of America,2.0,bus2958,,bustillos,21575 WOOLRIDGE LANE,5.0,perla,U,M,5.0,,45276,Newfield Exploration,,753.0,1854522.0,1-516-599-9846,450686.0,PA
14.0,Yonkers,Canada,8.0,cla2959,,clampitte,20823 west chapel avenue,3.0,KYNTHIA,O,S,4.0,M,23294,Harris,,755.0,3872226.0,,415082.0,Quebec
38.0,Manchester,United States of America,6.0,NOA2960,,NOAH,336 knipp boulevard,3.0,Myrilla,O,M,2.0,F,V6m 1q3,Perot Systems,,826.0,2953710.0,1-859-839-9282,313480.0,ID
47.0,Madison,United States of America,0.0,Lay2961,,Layne,22296 cherry ridge drive,4.0,TERRI,O,U,3.0,,30321,Valmont Industries,,389.0,3459125.0,1-191-044-8493,385302.0,NV
26.0,Escondido,United States of America,9.0,Pry2962,,Prymack,7766 brown rue,4.0,Brittany,O,D,1.0,m,E4b 1r5,BorgWarner,,592.0,,1-681-963-3495,241535.0,ME
17.0,Pittsburgh,United States of America,10.0,BLO2963,,BLOEDON,23318 GRANDVIEW STREET,0.0,FRANCO,O,W,,,97238,Flowers Foods,Q,703.0,,1-143-396-3283,55008.0,TN
12.0,West Valley,Canada,9.0,Pau2964,,Pauli,11309 AMSTERDAM SOUTH,3.0,Lind,R,M,2.0,M,M3w 1j6,Harman International Ind.,,361.0,3533197.0,1-914-238-6699,489095.0,VT
74.0,Nashua,United States of America,8.0,lem2965,,lemieux,9929 michaels west,5.0,Gabrila,O,M,4.0,F,27616,,,402.0,125888.0,1-418-088-6917,369231.0,TX
12.0,Erie,United States of America,0.0,GOR2966,,GORES,24185 SHALLOWFORD LANE,2.0,previn,O,M,4.0,,13203,Black & Decker,,669.0,,1-922-393-6173,36490.0,AZ
17.0,Des Moines,Canada,1.0,Kos2967,,Kosten,4604 knipp road,3.0,PETRI,O,U,5.0,,33077,Equity Residential,,437.0,1313579.0,1-233-929-3668,442740.0,CT
40.0,Paterson,United States of America,6.0,GIT2968,,GITTINS,1311 apollo north,1.0,RAKEL,R,M,5.0,,T6D 1B9,MPS Group,U,330.0,3687633.0,1-151-790-4546,106747.0,AK
10.0,Oxnard,United States of America,0.0,FIX2969,,FIXSEN,8220 ledgestone street,2.0,DACIA,O,M,1.0,f,V6q 1t7,R.R. Donnelley & Sons,,666.0,2613178.0,1-667-128-0978,89105.0,VA
91.0,Kansas City,United States of America,9.0,shn2970,,shnider,13971 MILBURY COURT,2.0,maudie,U,M,0.0,m,H6b 1y1,,,767.0,1107566.0,1-621-347-6876,486677.0,WA
90.0,Oakland,United States of America,5.0,Pae2971,,Paetsch,16508 CLEVELAND UPPER,4.0,DNIREN,O,S,0.0,,77084,American Electric Power,,490.0,3272248.0,1-639-776-6243,488647.0,NH
2.0,Anaheim,Canada,3.0,Kre2972,,Kreimer,14569 VOSS NORTH,4.0,jilleen,O,M,2.0,,84104,,O,571.0,3242266.0,1-712-693-5007,352910.0,MO
41.0,Toronto,Canada,4.0,GAR2973,,GARRY,22978 travis west,2.0,Shela,O,U,3.0,F,H2G 1W3,Kraft Foods,,371.0,2618607.0,1-380-429-9482,497678.0,HI
0.0,Overland Park,United States of America,1.0,Inc2974,,Incze,7003 sinclair road,0.0,Ria,R,D,2.0,,T5d 1s1,Sally Beauty Holdings,Z,785.0,2882763.0,1-200-434-2862,304110.0,DE
24.0,Birmingham,United States of America,8.0,Mas2975,,Massicotte,10513 barberry north,2.0,Herman,U,M,4.0,F,32813,Hexion Specialty Chemicals,P,,3744174.0,1-259-578-7304,,MO
34.0,Huntington Beach,United States of America,9.0,Gut2976,,Gutierrez,10036 MARSH LOWER,3.0,Knut,O,M,4.0,,V6s 1u3,Lincoln Electric Holdings,R,482.0,1704845.0,1-261-787-1111,302663.0,NM
77.0,Aurora,United States of America,10.0,Zin2977,,Zinkie,7409 lexington lane,0.0,serena,R,M,3.0,m,H5l 1p6,TRW Automotive Holdings,,763.0,1998311.0,1-961-575-8060,496525.0,NM
71.0,Tempe,United States of America,3.0,Nak2978,,Nakano,6250 dolores east,0.0,yih,O,W,2.0,,92860,First American Corp.,K,628.0,509042.0,1-096-153-7314,146436.0,NC
86.0,London,Canada,4.0,WOL2979,,WOLOSHKO,14783 saunders upper,,Sayed,O,D,1.0,,89035,Perrigo,,540.0,2492254.0,1-471-844-8637,246963.0,ID
82.0,Chattanooga,Canada,5.0,Ric2980,,Ricketson,18630 atlantic road,2.0,SHLOMO,O,U,2.0,,E7o 1j2,PHH,,796.0,2549878.0,,38764.0,WI
85.0,Henderson,United States of America,6.0,Duq2981,,Duquette,2454 cliffbrook west,4.0,Suzanne,O,M,0.0,f,43610,Henry Schein,V,341.0,573855.0,1-687-285-4276,192151.0,MO
8.0,Iqaluit,United States of America,9.0,RAN2982,,RANOA,11483 bonaventure park,4.0,shiela,O,U,0.0,,10117,Sunoco,,302.0,448581.0,1-542-469-7001,149414.0,SD
24.0,Lafayette,United States of America,6.0,TUR2983,,TURNER,7409 LEXINGTON LANE,4.0,Wilmont,O,S,2.0,,V6O 1P5,Visteon,,512.0,1752738.0,1-621-215-3506,189463.0,GA
80.0,Rochester,United States of America,3.0,LAN2984,,LANUNIX,14561 HICKORY WAY,4.0,ELEONORE,R,S,4.0,f,75209,MEMC Electronic Materials,U,421.0,307721.0,1-727-763-1623,159034.0,Saskatchewan
14.0,Anchorage,Canada,5.0,Fwp2985,,Fwptools,6377 waverly upper,2.0,JENIFER,O,S,2.0,m,H2c 1x3,Warnaco Group,M,445.0,1807343.0,1-637-680-4229,114785.0,KY
45.0,Cedar Rapids,United States of America,0.0,Dub2986,,Dubreck,4862 martin court,5.0,Ardyth,O,M,5.0,,v6r 1t1,Lithia Motors,,738.0,3365843.0,1-941-089-8297,233432.0,ID
71.0,Des Moines,United States of America,1.0,URB2987,,URBSHAS,1612 beardsley crescent,1.0,fitness,O,,3.0,f,98104,Darden Restaurants,,489.0,644607.0,1-663-161-7279,35126.0,British Columbia
93.0,Albuquerque,Canada,4.0,COR2988,,CORRITORE,12279 VALLEY VISTA UPPER,1.0,Tessa,O,U,0.0,,38115,United States Steel,,428.0,2977127.0,1-774-882-8228,335500.0,MT
,Tucson,Canada,4.0,Mur2989,,Murphy,378 NOLAN AVENUE,4.0,VMCHANGE,O,M,3.0,F,92424,Air Products & Chemicals,,812.0,952535.0,1-188-470-9595,80402.0,NC
98.0,Des Moines,United States of America,1.0,net2990,,networks,6110 EMERSON WAY,5.0,dorie,O,D,4.0,M,85314,Quest Diagnostics,,535.0,393816.0,1-542-659-2882,475380.0,NM
,Jacksonville,Canada,1.0,Dep2991,,Dephoure,11886 quentin west,3.0,Wiebe,O,U,3.0,m,h2e 1z6,,K,601.0,722484.0,1-687-895-2994,166133.0,FL
74.0,Missoula,United States of America,6.0,HOF2992,,HOFSTEDE,20916 california north,,MARYLIN,O,D,3.0,,A2B 1V1,Teleflex,G,634.0,1682874.0,1-736-713-7938,387153.0,OK
21.0,Tucson,Canada,5.0,ARO2993,APT. 715,ARONSTAM,8866 STONEHILL SOUTH,1.0,ramin,O,M,4.0,f,60751,El Paso,,315.0,3296260.0,1-722-836-9527,361899.0,CT
43.0,Fontana,United States of America,5.0,Gre2994,,Grelck,12454 neilson lane,5.0,micheal,O,W,0.0,,76136,Cinemark Holdings,,561.0,186236.0,1-914-589-5077,245173.0,IL
5.0,Sioux Falls,Canada,8.0,joa2995,,joachimpillai,13288 hughes east,5.0,ROOBBIE,R,M,4.0,f,84601,Pep Boys,F,554.0,1814295.0,1-769-708-9859,381005.0,MN
39.0,Akron,United States of America,2.0,Ala2996,,Alanoly,18313 5th lane,,KITT,R,M,5.0,,96813,Susser Holdings,P,329.0,1073700.0,,138668.0,Nova Scotia
42.0,San Antonio,United States of America,3.0,Omu2997,,Omura,23131 clint way,3.0,SONNI,O,U,0.0,f,93365,Conseco,,809.0,3850491.0,1-409-329-3516,319598.0,Saskatchewan
62.0,Peoria,Canada,9.0,las2998,,lashmit,2446 FOREST LANE,1.0,raf,O,W,3.0,F,60605,Affiliated Computer Services,,514.0,3546884.0,1-655-638-7223,294683.0,OK
60.0,Sherbrooke,United States of America,1.0,Mal2999,,Maltby,2712 MADISON STREET,4.0,Meta,O,M,2.0,m,M9F 1T1,,,554.0,2695954.0,1-178-274-2023,11636.0,MN
,Biloxi,United States of America,6.0,COT3000,,COTUNA,19181 west north,3.0,Sherye,O,U,2.0,M,79923,IDT,,547.0,2257941.0,1-260-128-7669,395228.0,MA
55.0,Iqaluit,Canada,7.0,WIT3001,,WITZEL,20808 flint river lane,3.0,Aile,O,D,3.0,F,47724,Amerco,,748.0,,1-681-739-5139,,FL
64.0,Columbus,Canada,1.0,Ter3002,,Terrell,4966 westpark south,4.0,KRISTY,,M,3.0,,v6x 1s7,National Oilwell Varco,,532.0,2590434.0,1-355-572-6592,428621.0,NE
8.0,Columbia,United States of America,10.0,sai3003,Suite 459,saifullah,18033 western way,2.0,ADELICE,O,U,3.0,m,60706,NuStar Energy,G,827.0,655722.0,1-148-432-2818,109822.0,NV
5.0,Santa Rosa,United States of America,8.0,ANS3004,,ANSTEAD,11943 keswick west,1.0,MARLINE,O,M,2.0,,h2a 1z6,BMC Software,,337.0,1577324.0,1-217-916-8307,484207.0,NE
13.0,Sioux Falls,United States of America,0.0,bro3005,,brodman,24696 linden west,1.0,Astrix,O,W,5.0,,t5a 1w5,Markel,O,,3339269.0,1-552-566-5268,123691.0,OK
,Hay River,United States of America,1.0,DUN3006,,DUNAJSKI,3123 clint south,3.0,Darrol,O,M,5.0,,53785,Genuine Parts,J,473.0,1788068.0,1-431-079-3365,149147.0,NE
56.0,Santa Clara,United States of America,2.0,hol3007,Apt. 492,hollington,23517 LENOX UPPER,0.0,Bunnie,R,M,1.0,f,19022,Symantec,,833.0,2323666.0,1-196-277-9588,348554.0,GA
57.0,Little Rock,United States of America,2.0,ohm3008,,ohmayer,23310 bryant irvin way,5.0,kast,O,W,2.0,,V5B 1M5,Hubbell,S,433.0,3091303.0,1-504-843-0323,121095.0,AR
5.0,Brownsville,United States of America,6.0,Dic3009,,Dickerson,22679 chimney rock west,5.0,rana,O,S,1.0,,68125,Brinker International,,683.0,3387499.0,1-939-064-8011,324572.0,Manitoba
35.0,Shreveport,United States of America,0.0,pec3010,,peckel,9307 BEALE UPPER,4.0,KYLE,R,M,3.0,,v6v 1s8,Watson Wyatt Worldwide,P,399.0,2869536.0,1-650-906-3178,185204.0,PA
79.0,Bellevue,United States of America,1.0,de 3011,,de cristofaro,17508 weller west,4.0,PAULIEN,O,,,,06521,ArvinMeritor,,607.0,3941120.0,1-860-661-9820,234478.0,NM
,Savannah,Canada,,DAD3012,,DADKHAH,18008 elm south,1.0,Millie,O,M,5.0,F,85271,Bemis,,522.0,1435767.0,1-282-401-7200,328218.0,WA
7.0,Los Angeles,United States of America,6.0,Hoe3013,,Hoequist,23956 sheriden way,1.0,Turus,O,S,4.0,M,80099,Pool,,448.0,3789374.0,1-403-795-6624,116234.0,New Brunswick
57.0,Richmond,United States of America,8.0,DOG3014,,DOGGETT,10436 ingersoll upper,2.0,GREG,R,S,3.0,,B8A 1Z9,Hawaiian Electric Industries,F,711.0,3167261.0,1-473-895-6553,196778.0,IA
19.0,Huntsville,United States of America,8.0,Bit3015,,Bitton,4059 bannister park,2.0,Winston,O,S,2.0,,80914,Mutual Life Insurance,,419.0,2216657.0,1-336-295-6596,90633.0,DE
52.0,Honolulu,United States of America,1.0,o'l3016,,o'leary,9721 rexford crescent,4.0,Alika,R,M,4.0,,94157,Catalyst Health Solutions,A,494.0,3148000.0,1-370-451-9388,287000.0,NV
58.0,Anaheim,United States of America,5.0,HAN3017,,HANNAH,2560 willowlake road,5.0,Jenilee,O,M,4.0,,V6B 1S1,Lowe's,I,619.0,2028828.0,1-698-770-5253,477809.0,NJ
71.0,Irvine,United States of America,4.0,mak3018,,makohoniuk,14505 wainwright boulevard,1.0,Lesia,O,U,3.0,,99219,Interstate Bakeries,,618.0,3539666.0,1-715-127-8304,97907.0,HI
78.0,Worcester,United States of America,9.0,Tyr3019,,Tyrance,1612 beardsley crescent,2.0,ruby,O,U,,M,91165,Boeing,W,314.0,443129.0,1-308-822-3097,153380.0,DC
22.0,Pembroke Pines,United States of America,7.0,De 3020,,De la,15591 holgate lane,0.0,RAOUF,O,U,0.0,f,r3a 1m7,Chubb,X,551.0,3396478.0,1-275-939-5916,310011.0,CO
22.0,Torrance,United States of America,3.0,sta3021,,stachowiak,7899 murie park,2.0,Tally,O,D,2.0,F,93727,Service Corp. International,,657.0,2581395.0,1-770-830-7433,401631.0,NC
35.0,Inglewood,United States of America,5.0,sch3022,APT. 816,schallenberg,5653 WORTH DRIVE,1.0,vincente,O,S,4.0,f,h7e 1v4,Campbell Soup,,538.0,2817698.0,,426928.0,NE
15.0,Glendale,United States of America,2.0,JUN3023,,JUNGMEISTERIS,22381 CAPITAL BOULEVARD,4.0,SAMEH,O,M,,,m8c 1x4,National Life Group,S,826.0,531245.0,1-667-709-5038,138198.0,NH
14.0,Atlanta,United States of America,3.0,PLA3024,,PLAISANCE,3927 NEVILLE SOUTH,3.0,Wladyslaw,O,M,1.0,f,A5D 1A6,URS,,706.0,882893.0,1-973-046-6627,341813.0,IN
99.0,Tucson,Canada,10.0,Dan3025,,Dans,6450 lemming rue,4.0,htd,O,S,5.0,,78771,Fluor,,380.0,3431555.0,1-717-151-9083,379868.0,UT
3.0,Idaho Falls,United States of America,6.0,D'o3026,,D'orazio,8438 century lane,5.0,Kelvin,O,M,5.0,m,V6f 1v7,MSC Industrial Direct,B,605.0,1866478.0,1-257-272-5104,213704.0,KS
56.0,Warren,United States of America,6.0,Mur3027,,Murphy,21476 BANNISTER WEST,2.0,Amparo,O,D,5.0,,h2d 1w3,Republic Services,E,691.0,500267.0,1-574-520-1876,215881.0,PA
100.0,Coral Springs,Canada,0.0,Sor3028,,Sorensen,17574 katherine crescent,0.0,RIGEL,R,D,5.0,M,14232,Sun Microsystems,Y,486.0,141033.0,1-297-166-0874,429358.0,OH
38.0,Sandy,United States of America,8.0,Squ3029,,Squires,3366 curtis west,0.0,HOUSSEINI,U,W,1.0,f,v6n 1r2,Wal-Mart Stores,H,338.0,1075540.0,1-709-389-8112,204704.0,ID
30.0,Sacramento,United States of America,6.0,Jas3030,,Jasmann,3664 worley avenue,4.0,Trees,,M,0.0,m,A5e 1b6,VWR Funding,M,617.0,2124364.0,1-595-151-5920,450486.0,OH
78.0,Dallas,Canada,4.0,sta3031,,stat,3872 milam way,0.0,Maury,O,M,3.0,f,93358,,,843.0,78079.0,1-327-292-0175,,Saskatchewan
81.0,Hayward,United States of America,9.0,Bec3032,,Beckstead,11101 morton boulevard,4.0,FUZAL,O,M,2.0,a,53702,Progress Energy,,619.0,2016564.0,1-975-610-5322,278331.0,DC
3.0,Tempe,United States of America,8.0,Tal3033,,Talbott,1821 9th south,1.0,GWENORA,O,S,3.0,M,37933,Omnicare,,757.0,2268780.0,1-874-502-7674,241842.0,ND
62.0,Tampa,United States of America,0.0,Eav3034,,Eaves,3543 MORNING BOULEVARD,0.0,florida,U,M,4.0,f,92199,Michaels Stores,,325.0,1115509.0,1-938-759-1065,104417.0,CA
100.0,Fresno,United States of America,4.0,rom3035,,romanowski,17032 cantrell south,0.0,Shaji,U,S,5.0,,M7n 1c8,Hershey,,422.0,84478.0,1-937-040-1895,13869.0,LA
94.0,Modesto,Canada,2.0,Cop3036,,Copello,4633 palm east,0.0,Marget,O,U,0.0,,M1H 1Q3,,,700.0,3219328.0,1-493-627-5175,469275.0,Quebec
59.0,Oakland,Canada,7.0,Kal3037,,Kalwa,3713 JARVIS AVENUE,4.0,EMLYNNE,O,M,4.0,M,55140,Regal Entertainment Group,G,547.0,2333732.0,1-074-909-9925,436225.0,MA
24.0,Hampton,United States of America,7.0,HOP3038,,HOPCROFT,3918 shadowbriar street,2.0,ron,O,U,3.0,F,V6c 1v1,Acuity Brands,I,761.0,1873912.0,1-240-772-1887,10833.0,Nova Scotia
12.0,Buffalo,United States of America,1.0,Gai3039,,Gaiotti,18947 FRESCO LANE,5.0,Zilvia,O,M,5.0,m,V6W 1P6,Boston Scientific,H,446.0,3705811.0,1-311-917-1988,226750.0,Saskatchewan
9.0,Waco,United States of America,5.0,Tis3040,,Tischhauser,23884 lavender park,0.0,mame,R,M,1.0,,28202,,,,2888989.0,1-050-567-1812,225440.0,Ontario
19.0,Beaumont,United States of America,2.0,de 3041,,de chabert,8685 peachtree upper,2.0,nancie,R,U,4.0,F,94507,Toll Brothers,,313.0,2893876.0,1-987-312-3856,296802.0,PA
37.0,Jersey City,United States of America,9.0,MCL3042,,MCLACHLAN,2116 whistler upper,0.0,Hotline,O,,2.0,M,47708,Emerson Electric,,300.0,3689369.0,1-903-170-8733,416108.0,VT
47.0,Anaheim,United States of America,7.0,KAN3043,,KANGELIS,1191 highland park lane,4.0,HERA,O,S,3.0,,99600,NSTAR,,446.0,3371684.0,1-095-812-4138,337549.0,NY
73.0,Grand Rapids,United States of America,,Bar3044,Apt. 34,Barsch,13306 dryden court,4.0,Sherman,O,M,0.0,,77505,US Oncology Holdings,H,604.0,677680.0,1-008-220-6353,66022.0,DE
33.0,San Antonio,United States of America,2.0,Kee3045,,Keeler,6993 MALDEN STREET,0.0,Gokul,R,U,4.0,,m5b 1z8,Questar,V,737.0,2877244.0,1-643-759-1094,293688.0,NH
93.0,Scottsdale,United States of America,8.0,Nap3046,,Napier-wilson,12171 PEACH CRESCENT,5.0,Jagriti,O,U,5.0,,90043,R.R. Donnelley & Sons,,466.0,2345752.0,1-296-516-1516,284311.0,NC
63.0,Sudbury,United States of America,2.0,Ive3047,,Ivers,11484 HOLMAN EAST,5.0,mara,O,M,2.0,,95262,MetLife,,330.0,1935111.0,1-872-271-1074,120451.0,MN
39.0,Corpus Christi,United States of America,0.0,lin3048,,linkletter,1585 FULTON DRIVE,2.0,ANJA,O,M,3.0,f,T5B 1L3,Universal American,,761.0,2072568.0,1-642-526-0594,385459.0,IA
4.0,Simi Valley,United States of America,0.0,Moc3049,,Mocock,192 enterprise west,5.0,REIKO,O,W,2.0,M,30391,Duane Reade Holdings,W,833.0,3594996.0,1-926-212-4603,449684.0,OK
100.0,Austin,Canada,8.0,ILI3050,,ILIC,16221 cannon crescent,4.0,Deniece,O,M,0.0,,A5d 1b1,Harsco,N,651.0,1912142.0,1-271-109-9612,461436.0,DC
5.0,Santa Clara,United States of America,10.0,Fed3051,,Feder,22498 smithdale avenue,1.0,harlene,U,S,5.0,F,m9d 1u9,Spectra Energy,C,718.0,1792215.0,1-307-275-7773,115045.0,OK
33.0,Vallejo,Canada,5.0,Fel3052,,Felicetti,7667 bayridge road,3.0,Darren,O,S,5.0,,72268,Perini,,697.0,1602546.0,1-035-466-3002,299061.0,Alberta
,Bridgeport,United States of America,3.0,Ram3053,,Ramlogan,5066 pasadena boulevard,1.0,Carolina,O,,1.0,M,60621,Imation,,397.0,104470.0,1-628-509-7841,445285.0,GA
73.0,Hartford,United States of America,8.0,Jos3054,,Joson,19305 crystal hills lower,1.0,gillian,R,M,0.0,,M8b 1x7,J.B. Hunt Transport Services,,,3561107.0,1-862-673-9665,99055.0,ND
48.0,Tempe,United States of America,,gue3055,,guenette,18440 RYAN NORTH,0.0,WARDEN,U,M,1.0,,90216,Qwest Communications,,706.0,2506385.0,1-138-198-0701,275495.0,FL
17.0,Louisville,United States of America,0.0,Agh3056,,Aghili,16716 FRESCO ROAD,5.0,trescha,O,D,1.0,,91158,Commercial Metals,,323.0,3178803.0,1-880-565-5231,174542.0,NJ
16.0,Las Cruces,United States of America,6.0,HOR3057,,HORGAN,4065 pampas south,1.0,Ravinder,O,M,3.0,f,53217,Ross Stores,I,505.0,,1-022-077-6010,439661.0,IN
27.0,Lansing,United States of America,6.0,Hag3058,,Hager,9907 upton south,1.0,EMMALINE,O,D,3.0,f,99766,General Motors,Z,446.0,2849116.0,1-070-754-6492,,AZ
50.0,St. Johns,United States of America,5.0,yak3059,,yakibchuk,10363 BOLT BOULEVARD,0.0,jazmin,O,D,2.0,,t5a 1o3,Fidelity National Information,J,506.0,872344.0,1-536-525-9604,,HI
14.0,Ottawa,United States of America,3.0,WIN3060,,WINSBORROW,11358 elle lee street,3.0,Miles,O,W,0.0,,94620,Kindred Healthcare,,695.0,2352015.0,1-374-553-6999,221516.0,NM
40.0,Winnipeg,United States of America,10.0,GOD3061,,GODCHARLES,5524 VERMACK STREET,0.0,ELFRIDA,O,U,1.0,f,S3b 1f9,Verizon Communications,T,,3948680.0,1-148-531-2413,44842.0,Alberta
92.0,Phoenix,United States of America,9.0,SWA3062,,SWACT,2203 valita boulevard,0.0,NIK,O,S,0.0,,M5a 1w4,Union Pacific,,,1895317.0,1-136-060-4753,172863.0,Newfoundland
15.0,Bakersfield,United States of America,,Gru3063,,Gruska,5083 hunt drive,5.0,Faye,O,S,2.0,M,48268,Harrah's Entertainment,,544.0,1164152.0,1-903-378-9049,403073.0,FL
89.0,Provo,Canada,0.0,BAI3064,,BAINER,20166 PRESIDO PARK,2.0,belia,O,W,1.0,F,90098,Benchmark Electronics,G,,3046755.0,1-373-411-1855,108660.0,UT
75.0,Montreal,United States of America,9.0,co3065,,co,20706 dawnview lower,5.0,TIAN,O,U,2.0,,31419,Flowserve,M,353.0,1832388.0,1-997-534-5980,288265.0,DE
48.0,Lansing,United States of America,9.0,bvw3066,apt. 897,bvworks,22987 milbury south,3.0,Adrie,O,W,5.0,,V6i 1v5,Portland General Electric,T,693.0,2028555.0,1-288-380-1182,280282.0,PA
77.0,Riverside,United States of America,8.0,fal3067,,fallis,21477 warren park,3.0,Jennie,O,M,0.0,f,96814,Regis,Z,760.0,1844297.0,1-263-780-9228,221263.0,British Columbia
45.0,Tacoma,United States of America,5.0,Lar3068,,Larabie,17109 TIDE MILL NORTH,,Hector,O,U,3.0,,t6d 1b6,Consolidated Edison,K,828.0,,1-010-786-8617,19344.0,RI
