gncd,wnrrntflg,phn,mplr,mddlntl,pstlcd,gndr,nmbrcrs,stt,ncm,mrtlstts,cntr,nmbrchldrn,g,crdtrtng,nmbrcrdtcrds,ntwrth
KHG8168,U,1-954-159-3230,Helmerich & Payne,Y,Wwffhas,,1.0,IA,19952.0,D,United States of America,3.0,63.0,795.0,0.0,3022855.0
pml8169,,1-381-023-9337,Dick's Sporting Goods,,Sjybk,,2.0,MA,,M,United States of America,0.0,39.0,776.0,5.0,3143732.0
nfg8170,O,1-520-652-6941,,,,,2.0,Prince Edward Island,129442.0,M,United States of America,3.0,44.0,452.0,5.0,3379381.0
Sss8171,O,1-607-807-3132,Reynolds American,,INVPMIYHXYZ,,2.0,WY,363140.0,M,United States of America,5.0,5.0,453.0,6.0,3356639.0
QUR8172,R,1-801-864-7089,BJ Services,,Lggkistgqss,M,1.0,IA,469249.0,D,United States of America,0.0,52.0,437.0,6.0,2864358.0
ewm8173,U,1-598-892-3616,Consolidated Edison,c,titltmr,M,5.0,PA,439011.0,M,United States of America,2.0,93.0,537.0,4.0,2307534.0
qfx8174,,1-707-823-6520,Volt Information Sciences,,Temzy,f,1.0,NC,312166.0,W,,5.0,81.0,717.0,8.0,2189380.0
Eev8175,O,1-026-056-6947,Toll Brothers,,Wnmmein,,2.0,MD,431603.0,S,United States of America,3.0,17.0,846.0,5.0,3399421.0
Ofj8176,R,1-397-746-0552,Cameron International,,DERUSKTWSMO,,4.0,TN,278790.0,S,United States of America,4.0,34.0,529.0,9.0,298212.0
osw8177,O,1-677-492-9300,,,OYLURWO,m,0.0,HI,318563.0,M,Canada,4.0,29.0,330.0,10.0,113758.0
uxt8178,O,1-085-487-9852,Teleflex,h,GYSFCFQBI,f,0.0,MT,62248.0,S,Canada,2.0,82.0,795.0,8.0,324094.0
Kdl8179,,1-635-756-8687,Andersons,,RCTLHT,,0.0,AZ,,S,United States of America,4.0,21.0,489.0,3.0,3881656.0
QYG8180,R,1-445-178-3967,PPG Industries,,Xlizseeiq,,4.0,FL,247025.0,S,United States of America,5.0,,353.0,5.0,1527059.0
PRE8181,O,1-377-341-7886,Borders Group,,Vdxqxcnlmsq,,0.0,NJ,338041.0,U,United States of America,1.0,50.0,784.0,2.0,3499626.0
MCG8182,O,1-572-480-1354,Nacco Industries,,dalhyezjmppf,,1.0,ID,,M,United States of America,,84.0,449.0,8.0,1582947.0
PBD8183,O,1-224-571-6718,Mirant,,Dnjygrt,,1.0,Alberta,9428.0,W,United States of America,2.0,27.0,326.0,7.0,3415635.0
hzq8184,R,1-321-322-0488,Oshkosh,,Kiosohps,,1.0,CA,225464.0,D,Canada,1.0,44.0,729.0,0.0,1994536.0
Yrk8185,O,,Southern,s,isehxfxrz,,1.0,ID,416767.0,U,United States of America,0.0,86.0,507.0,0.0,426125.0
Ysl8186,O,1-413-216-8569,Virgin Media,,Wkmjoeud,,,Newfoundland,456718.0,,United States of America,5.0,64.0,593.0,3.0,1703585.0
khg8187,,1-519-686-5786,FMC,B,ABRUFJF,m,1.0,WI,113342.0,D,United States of America,0.0,10.0,695.0,5.0,3333185.0
Sdt8188,R,1-008-106-6982,Deere,,IVMGHPDBJC,,5.0,CA,157687.0,M,United States of America,3.0,33.0,530.0,9.0,893537.0
Dwc8189,O,1-498-041-3053,Corning,I,MXLIVRZQIIDT,,1.0,WI,241471.0,S,United States of America,0.0,8.0,573.0,4.0,690568.0
frb8190,U,1-191-776-3418,Wyndham Worldwide,,TSJHH,,4.0,OR,438046.0,M,United States of America,4.0,2.0,672.0,2.0,3623733.0
ulp8191,O,1-080-277-1648,PPL,C,uuzjrvntbmfu,,4.0,MS,456022.0,U,United States of America,4.0,10.0,693.0,2.0,2204304.0
zhi8192,O,1-345-056-6859,Celgene,,Frmhssjqavj,,,NV,167597.0,S,United States of America,1.0,58.0,709.0,9.0,
Yoh8193,O,1-497-690-1567,Invacare,V,GJQQXTJG,F,5.0,VT,475123.0,M,Canada,0.0,96.0,664.0,6.0,1093488.0
etf8194,O,1-133-399-3669,Church & Dwight,,Ggwbtytvanc,f,5.0,AZ,203941.0,U,Canada,3.0,36.0,827.0,5.0,1945110.0
XRA8195,O,1-619-130-7359,American Electric Power,,VIGDDUIHCPMU,F,5.0,IN,190429.0,M,United States of America,2.0,51.0,401.0,0.0,2938159.0
nic8196,U,1-469-461-4709,Polo Ralph Lauren,v,Prlxgvdmdc,,3.0,MD,441173.0,D,United States of America,2.0,8.0,745.0,,3012500.0
Ikz8197,O,1-876-229-0783,Cooper Tire & Rubber,,njhneyfpgv,,5.0,MO,343745.0,M,United States of America,1.0,29.0,685.0,3.0,2406948.0
Qtl8198,O,1-584-518-3901,Sears Holdings,a,Uevwgan,,1.0,LA,275020.0,W,United States of America,1.0,88.0,570.0,9.0,1038641.0
hiv8199,U,1-237-569-3360,Scholastic,S,Brkraizktc,F,2.0,SC,489955.0,U,United States of America,2.0,20.0,624.0,3.0,2815598.0
imi8200,R,1-614-453-6661,MetLife,,Kcvlqlscqifg,,3.0,AL,146666.0,D,United States of America,2.0,27.0,533.0,8.0,3600396.0
Lmf8201,U,1-121-346-6384,Teledyne Technologies,t,Bpsbdnduogp,m,3.0,British Columbia,384125.0,W,Canada,2.0,56.0,802.0,2.0,2441258.0
WWC8202,O,1-154-819-1355,Auto-Owners Insurance,,Ievkjfwfisop,M,0.0,WY,338664.0,W,United States of America,1.0,39.0,509.0,4.0,2117405.0
Nad8203,O,1-090-640-7428,Dillard's,r,Tqczrwtvsu,,1.0,Prince Edward Island,254827.0,D,United States of America,,55.0,828.0,9.0,773721.0
Tqz8204,O,1-335-781-8696,Energizer Holdings,L,RGQPN,,5.0,ND,447298.0,,United States of America,1.0,86.0,768.0,10.0,1023774.0
Pcx8205,O,,AGL Resources,U,CEEBXOC,m,4.0,NY,464063.0,M,United States of America,4.0,67.0,583.0,7.0,3692883.0
Dth8206,O,1-943-942-3078,,,QEDCUPBG,,1.0,HI,405372.0,,United States of America,,36.0,621.0,4.0,2853195.0
EQO8207,O,1-001-681-0348,Core-Mark Holding,,Hlemnp,F,0.0,AK,62455.0,U,Canada,1.0,89.0,448.0,5.0,1697107.0
Idi8208,U,1-261-211-3400,StanCorp Financial,o,,F,1.0,WY,399849.0,M,Canada,4.0,87.0,420.0,8.0,391124.0
Xyt8209,U,1-804-913-4361,Las Vegas Sands,,zouxtepig,,2.0,NV,162461.0,S,United States of America,0.0,18.0,791.0,3.0,2910503.0
xyi8210,O,1-602-704-9589,Acuity Brands,,Ckwaeqo,,1.0,Saskatchewan,163926.0,W,Canada,3.0,53.0,371.0,3.0,2591538.0
Exu8211,O,1-038-387-0439,Genworth Financial,,PIQJHCDBVOV,,3.0,MA,208474.0,S,United States of America,4.0,46.0,,8.0,2809880.0
kzj8212,O,1-870-355-3897,NTK Holdings,,Bpfta,M,0.0,ND,39456.0,U,United States of America,3.0,3.0,402.0,1.0,3306870.0
YSU8213,R,1-296-876-0053,Spartan Stores,T,,,3.0,AR,494350.0,M,United States of America,4.0,7.0,,0.0,3723482.0
Cos8214,O,1-303-166-3207,HNI,Q,Xrqzcmaoqfvi,f,,IL,341454.0,S,United States of America,1.0,44.0,473.0,9.0,789890.0
FRJ8215,O,1-737-247-0619,Williams,y,Bkusa,F,3.0,Newfoundland,122477.0,S,United States of America,1.0,12.0,743.0,7.0,2886430.0
Vbk8216,R,1-071-444-5129,eBay,,Cuoeykmp,F,1.0,OH,162234.0,M,United States of America,3.0,92.0,404.0,0.0,3066721.0
Zsg8217,O,1-573-874-6141,YRC Worldwide,e,PTTKRUYXES,F,0.0,MO,193222.0,M,United States of America,1.0,51.0,681.0,7.0,872916.0
bcw8218,O,1-074-853-1368,Ford Motor,B,TUREXJHVT,,0.0,IA,299743.0,M,United States of America,3.0,79.0,554.0,0.0,354979.0
Sad8219,O,,Xcel Energy,,Udjrglip,f,5.0,Prince Edward Island,87508.0,M,United States of America,5.0,81.0,691.0,4.0,451259.0
gdy8220,O,1-461-637-6649,Watson Pharmaceuticals,v,HLEVVUMYTEWX,M,,Alberta,,M,United States of America,1.0,39.0,456.0,2.0,1210004.0
Skw8221,O,1-569-602-1277,Plains All American Pipeline,,Duljoufuzjne,,0.0,WA,472544.0,W,United States of America,1.0,9.0,592.0,6.0,827501.0
Iin8222,,1-439-765-3706,D.R. Horton,P,Vooyvfr,M,3.0,CO,172339.0,M,United States of America,0.0,85.0,811.0,4.0,1214585.0
Hvx8223,O,1-246-017-9030,MetroPCS Communications,H,,e,3.0,ND,222389.0,S,United States of America,4.0,95.0,,,1626041.0
WMQ8224,R,1-923-307-7682,Comcast,,,,1.0,British Columbia,96828.0,W,United States of America,3.0,19.0,,9.0,1664278.0
Kpx8225,O,1-752-166-6659,ConAgra Foods,,Hmugnutvjkv,,5.0,MS,331955.0,W,United States of America,2.0,17.0,476.0,0.0,3621441.0
VPV8226,U,1-320-563-0473,RadioShack,,Irvnsknl,M,0.0,OK,317773.0,M,United States of America,5.0,59.0,512.0,6.0,1736086.0
VYM8227,O,1-321-306-1431,CF Industries Holdings,,BRXENPDOEB,M,1.0,Ontario,194250.0,M,Canada,3.0,97.0,693.0,8.0,1253712.0
Mgi8228,O,1-052-095-8041,,H,Anarmyrl,f,0.0,KY,91558.0,S,United States of America,4.0,45.0,623.0,5.0,58913.0
Gbw8229,O,,Teleflex,K,Ognny,,4.0,IA,422839.0,U,United States of America,2.0,54.0,622.0,3.0,1999815.0
qma8230,O,1-052-009-5616,Sigma-Aldrich,,dvzouz,,4.0,Saskatchewan,239411.0,,United States of America,5.0,17.0,750.0,2.0,896850.0
Zwk8231,R,1-170-960-9109,Steelcase,c,Clstl,,0.0,Alberta,444526.0,M,United States of America,5.0,72.0,686.0,6.0,3240804.0
NMP8232,O,1-847-755-5040,FirstEnergy,,Iypwb,f,2.0,KS,202486.0,M,United States of America,3.0,5.0,648.0,9.0,2554609.0
GTD8233,O,1-224-955-2425,Affiliated Computer Services,a,Kqntlxhvz,,2.0,WY,68361.0,D,United States of America,0.0,56.0,499.0,9.0,988258.0
Bic8234,O,1-292-360-1691,Cytec Industries,,YQVNVGI,,4.0,Saskatchewan,158060.0,M,United States of America,2.0,2.0,682.0,0.0,1873895.0
IDA8235,O,1-991-535-2419,News Corp.,y,rgnle,f,4.0,VT,175529.0,M,United States of America,3.0,,561.0,2.0,2357669.0
lwk8236,O,1-399-636-9496,Discovery Communications,y,Imvcaq,,1.0,ME,200101.0,S,United States of America,0.0,,679.0,5.0,1038657.0
Zht8237,O,1-111-488-6975,"Toys ""R"" Us",,Yibnrsiehvke,f,0.0,NC,384042.0,S,United States of America,2.0,88.0,495.0,1.0,1104168.0
kcg8238,R,1-153-902-5023,Hexion Specialty Chemicals,,Kxcfvm,m,4.0,MI,398456.0,W,United States of America,2.0,35.0,801.0,8.0,3238082.0
Qtq8239,,1-225-117-5803,Trinity Industries,N,yzsipr,,5.0,ND,161310.0,U,United States of America,3.0,54.0,611.0,8.0,2417935.0
SNX8240,R,,Applied Biosystems,L,Drlqq,,0.0,WY,322139.0,M,United States of America,1.0,72.0,525.0,6.0,2714291.0
umw8241,U,1-812-389-6366,PerkinElmer,,epuab,,5.0,IN,379425.0,S,Canada,3.0,68.0,805.0,10.0,1200283.0
Kdu8242,R,1-048-272-4247,FMC Technologies,D,OTHPEOWY,M,5.0,Prince Edward Island,449935.0,S,United States of America,4.0,2.0,508.0,6.0,3904614.0
Voq8243,O,1-501-508-6157,StanCorp Financial,q,wanarqvjjiy,f,0.0,Ontario,388691.0,M,United States of America,3.0,79.0,490.0,7.0,2821487.0
gga8244,R,1-336-477-4646,Gilead Sciences,R,cknwfvnusq,M,1.0,VT,342163.0,M,Canada,0.0,,510.0,6.0,1237889.0
OHZ8245,O,1-474-720-6190,Carlisle,E,YWWBFVXMH,,3.0,FL,368434.0,U,United States of America,1.0,89.0,761.0,3.0,1753222.0
XKK8246,U,1-799-030-5417,US Airways Group,V,Gaaiy,,3.0,NM,468239.0,M,United States of America,1.0,86.0,639.0,9.0,929818.0
Btx8247,O,1-712-712-1689,Steelcase,E,SDXFPS,F,4.0,VA,376227.0,U,United States of America,5.0,45.0,375.0,,3936166.0
Ihd8248,O,1-735-098-2967,Las Vegas Sands,,Jsstotteua,f,5.0,IA,84005.0,U,Canada,2.0,17.0,410.0,8.0,3874282.0
Axh8249,O,1-268-546-4849,Discover Financial Services,,jefmmjvjn,,0.0,FL,324715.0,M,United States of America,1.0,51.0,567.0,4.0,667415.0
jyx8250,O,1-252-339-9310,Cummins,,Zyhigafqb,,1.0,Quebec,251835.0,M,United States of America,5.0,34.0,338.0,6.0,3919924.0
Jir8251,O,1-558-469-8699,Unified Grocers,,Vvlqiw,m,5.0,MS,337799.0,S,United States of America,3.0,15.0,328.0,1.0,3029241.0
nbh8252,O,1-529-039-7160,Liberty Mutual Insurance Group,r,Ulxccizgae,F,3.0,VA,226214.0,M,United States of America,1.0,77.0,461.0,8.0,2706929.0
Gbd8253,O,1-149-127-7299,United Services Automobile,,DQWEMHMSBLS,,2.0,NY,248844.0,W,,4.0,50.0,720.0,4.0,3588909.0
Gji8254,O,1-548-271-6193,,y,IARALD,,0.0,LA,467894.0,M,United States of America,2.0,98.0,697.0,2.0,3208555.0
MRJ8255,O,1-959-002-8858,Mattel,,QWHBINPPSWW,,4.0,AR,,W,United States of America,2.0,81.0,426.0,10.0,3859308.0
Qev8256,U,1-790-570-3402,Church & Dwight,,dfndhhvga,,3.0,Prince Edward Island,309563.0,M,United States of America,,29.0,412.0,3.0,2372347.0
REX8257,O,1-459-573-8675,Mohawk Industries,J,Tdzgiw,,4.0,IA,23737.0,M,United States of America,4.0,61.0,589.0,10.0,2547185.0
Shz8258,U,1-736-284-7347,Vishay Intertechnology,,mgetjpc,m,0.0,OH,84510.0,M,Canada,2.0,23.0,832.0,0.0,2397440.0
Ibx8259,,1-413-543-7562,Hanesbrands,g,TINZY,M,1.0,Saskatchewan,62462.0,M,United States of America,4.0,34.0,,8.0,1278208.0
Srz8260,R,1-086-431-7246,ConocoPhillips,I,RKPWYO,f,5.0,SD,259950.0,M,United States of America,3.0,91.0,766.0,0.0,1657447.0
FLL8261,O,1-385-146-8140,Clorox,,Jstovqqiv,,5.0,NC,177982.0,M,Canada,5.0,90.0,508.0,3.0,3306301.0
foq8262,O,1-555-884-4350,Mutual of America Life,A,WIVOEI,M,1.0,VT,399867.0,S,United States of America,5.0,99.0,744.0,5.0,3114013.0
wsz8263,,1-747-411-6701,Medtronic,p,ZHRQLGKHVJH,f,0.0,CA,197976.0,S,,0.0,94.0,569.0,5.0,1628599.0
Mlh8264,O,1-068-236-5784,Xcel Energy,b,Epoqvkjntsm,,0.0,Newfoundland,479805.0,M,United States of America,3.0,70.0,632.0,8.0,406225.0
GIQ8265,U,1-866-836-5802,Portland General Electric,,ojwznjkjt,u,2.0,CO,355323.0,S,United States of America,4.0,43.0,709.0,0.0,1201091.0
qsw8266,R,1-998-541-3254,Molson Coors Brewing,n,TXYMHK,,4.0,OR,138933.0,D,United States of America,5.0,21.0,448.0,2.0,3141283.0
bfv8267,O,1-885-323-1549,PG&E Corp.,,BSGJLGSSLR,,1.0,NC,373085.0,M,United States of America,,56.0,452.0,,1926007.0
jqv8268,U,1-514-968-3721,Williams-Sonoma,o,CSYSBOTSMB,F,3.0,Newfoundland,223635.0,U,United States of America,2.0,10.0,841.0,6.0,2838996.0
Buz8269,O,1-269-244-1579,Honeywell International,,nqdvvjf,m,2.0,CT,293818.0,M,United States of America,2.0,51.0,570.0,5.0,1737347.0
End8270,O,1-372-816-4603,Raymond James Financial,u,evvdujmiehcc,M,1.0,AR,310287.0,M,United States of America,0.0,88.0,328.0,6.0,2727896.0
fnw8271,R,1-469-915-1376,Calumet Specialty Products,m,hpbaanyphumm,F,2.0,UT,347444.0,S,Canada,4.0,29.0,691.0,10.0,1463334.0
rra8272,O,,Cinemark Holdings,,ldphbkktlme,,2.0,IN,438442.0,M,,0.0,42.0,549.0,3.0,3778043.0
Zso8273,O,1-980-661-2985,Hasbro,K,Fpnxtsdsz,m,4.0,NE,259339.0,M,United States of America,5.0,49.0,399.0,7.0,
Jun8274,O,1-219-975-6702,Ecolab,P,Kmxxtsp,,1.0,Newfoundland,249443.0,,United States of America,0.0,,419.0,5.0,1111335.0
YPV8275,O,1-853-223-4071,Activision Blizzard,,IUDUXW,m,3.0,UT,421335.0,U,United States of America,0.0,33.0,739.0,0.0,3962912.0
Dey8276,R,1-353-902-3981,Asbury Automotive Group,,Uwcdxqb,,,SC,329021.0,D,United States of America,2.0,35.0,807.0,0.0,643738.0
Ihr8277,O,1-543-814-1676,Wyndham Worldwide,,Ovzjftyc,f,5.0,WI,382911.0,S,Canada,5.0,3.0,571.0,,3566462.0
Dqo8278,R,1-559-289-7306,Zimmer Holdings,,ORWQFEQEMOV,,3.0,KS,483478.0,W,United States of America,1.0,83.0,,0.0,2076840.0
Adm8279,O,1-666-150-9832,Flowers Foods,,Vxumajswncsq,F,,AZ,242798.0,U,United States of America,2.0,37.0,468.0,4.0,2685720.0
Dyl8280,O,1-912-438-2596,H&R Block,O,Exqpgylmk,m,2.0,Nova Scotia,387352.0,U,Canada,2.0,94.0,720.0,4.0,974327.0
LAL8281,,1-551-364-2695,Spherion,I,ydysrcbtufqo,,0.0,GA,201029.0,U,United States of America,3.0,,529.0,8.0,371533.0
RHK8282,O,1-326-313-5651,Dominion Resources,,Oisfjawpbogt,,1.0,MO,368666.0,W,United States of America,5.0,74.0,305.0,4.0,1033295.0
jgp8283,R,1-068-074-9026,Fifth Third Bancorp,g,NLERGAH,M,,ME,233211.0,U,United States of America,2.0,30.0,331.0,2.0,3099872.0
frg8284,U,1-514-868-3441,Ferrellgas Partners,O,ezdosdm,F,5.0,WA,475153.0,M,United States of America,2.0,52.0,377.0,4.0,1291565.0
xwe8285,O,1-587-880-4716,Aramark,,KKNLB,M,5.0,NE,259621.0,U,United States of America,5.0,93.0,739.0,10.0,788535.0
PRF8286,R,1-727-447-5620,Wesco International,N,Wvixm,M,3.0,UT,248249.0,,United States of America,3.0,67.0,421.0,2.0,1886889.0
Mqj8287,,1-375-508-8176,Hospira,p,DQPRMQLRZC,,0.0,HI,18849.0,,United States of America,1.0,25.0,656.0,1.0,
JQO8288,U,1-278-610-0395,Hartford Financial Services,,mvcvrwovrc,M,2.0,CT,144063.0,,United States of America,4.0,94.0,378.0,3.0,2868030.0
Mkb8289,O,1-998-478-8123,American Electric Power,P,rnxpoaqqwti,F,4.0,OK,242827.0,M,United States of America,0.0,37.0,652.0,4.0,3517153.0
phr8290,O,1-365-036-0540,Loews,,RIOCI,m,1.0,ME,85649.0,D,United States of America,5.0,0.0,,5.0,1888168.0
OGP8291,O,1-617-193-1217,BorgWarner,I,pejsowqsw,f,5.0,HI,144969.0,S,Canada,1.0,41.0,699.0,6.0,2688811.0
Kzv8292,R,1-263-955-2325,Hexion Specialty Chemicals,,HAZDBN,,5.0,MI,412027.0,D,United States of America,0.0,79.0,511.0,3.0,2318514.0
Mxm8293,O,1-690-400-7919,Superior Energy Services,,Ehhwmebruefp,F,5.0,Ontario,354599.0,D,Canada,0.0,92.0,738.0,4.0,3261356.0
Ups8294,O,1-029-325-4281,DynCorp International,U,TUFQHHJOPFKZ,,5.0,Saskatchewan,433350.0,S,United States of America,3.0,21.0,403.0,6.0,2166586.0
KHN8295,O,1-262-777-5215,Vulcan Materials,k,Qqxrvbihd,,3.0,ID,108187.0,M,United States of America,1.0,18.0,495.0,3.0,1622840.0
gxk8296,R,1-104-172-5088,Jo Ann Stores,v,Ufxancgwc,M,0.0,MN,100838.0,U,United States of America,4.0,,618.0,5.0,1711660.0
zce8297,O,1-348-111-9084,Genzyme,,Beclsmvht,f,3.0,AR,314845.0,U,United States of America,4.0,79.0,661.0,3.0,2306134.0
ufz8298,O,1-653-997-9543,Kindred Healthcare,h,CCFQSVV,,1.0,Ontario,327117.0,D,United States of America,4.0,31.0,690.0,0.0,2920907.0
luk8299,O,1-321-311-4553,Dun & Bradstreet,,hchnug,f,2.0,Saskatchewan,185551.0,U,United States of America,3.0,16.0,388.0,1.0,3409998.0
Pgj8300,O,1-495-037-1682,AmerisourceBergen,,ggyra,F,1.0,Manitoba,81136.0,U,Canada,0.0,7.0,405.0,1.0,3355826.0
Jny8301,O,1-059-699-6840,Scotts Miracle-Gro,,,M,0.0,NV,338074.0,S,United States of America,3.0,55.0,744.0,0.0,3216402.0
Wfs8302,O,1-516-996-6623,Owens Corning,,ufbjsn,,1.0,MN,371921.0,M,United States of America,3.0,73.0,332.0,9.0,1530401.0
rzx8303,O,1-247-641-8846,American Express,z,dlwhqoefj,,4.0,Newfoundland,341713.0,U,United States of America,5.0,10.0,717.0,9.0,2738959.0
Phn8304,O,1-038-753-7861,Source Interlink Cos.,,Ghjmnepvgyot,,5.0,IA,8895.0,M,United States of America,2.0,2.0,446.0,4.0,755150.0
Fay8305,O,1-089-612-4002,Illinois Tool Works,,Knumhlqlvh,,2.0,FL,402591.0,M,United States of America,2.0,,518.0,2.0,3439669.0
Dta8306,U,1-323-261-4767,DynCorp International,,epzhwekiwfs,,4.0,KS,165225.0,U,United States of America,4.0,73.0,689.0,2.0,2233842.0
Xtx8307,R,1-965-130-1576,Tyson Foods,,Pelpfrqno,,4.0,NH,443129.0,M,United States of America,3.0,29.0,425.0,2.0,1712245.0
Jbo8308,O,1-353-313-3825,Harley-Davidson,w,Mormzpa,,4.0,MI,463880.0,S,United States of America,2.0,84.0,770.0,5.0,1517955.0
Onl8309,O,1-031-949-4840,Cracker Barrel Old Country,G,Bckstjxtr,,1.0,IA,358722.0,,United States of America,,96.0,342.0,5.0,2059713.0
Iyg8310,O,1-838-427-0008,Idearc,F,Pbaayckj,f,5.0,Saskatchewan,247423.0,S,United States of America,5.0,44.0,575.0,8.0,3107564.0
Sju8311,O,1-625-093-1158,Rohm & Haas,Q,Cjgofwjnn,F,,MT,446701.0,M,Canada,,21.0,669.0,2.0,78813.0
kjt8312,O,1-383-665-2314,Paychex,,AJGUUE,,1.0,OK,119573.0,M,United States of America,0.0,53.0,693.0,0.0,3028301.0
XSN8313,O,1-285-784-3736,AFLAC,,Nwpvqg,,0.0,VT,24102.0,S,United States of America,2.0,29.0,559.0,8.0,530655.0
idm8314,O,1-540-762-5989,Polaris Industries,T,nogbp,,5.0,KY,241496.0,W,United States of America,1.0,56.0,362.0,1.0,3285886.0
Fid8315,O,1-404-385-6647,,D,Ihiggjpxvg,,0.0,NH,471685.0,D,United States of America,4.0,69.0,813.0,7.0,2451048.0
Veh8316,O,1-571-358-3286,,,VGEBD,f,,SC,321933.0,D,United States of America,5.0,94.0,755.0,7.0,3165266.0
ZMU8317,O,1-158-505-0198,Carpenter Technology,R,hhoyggjsd,,5.0,Nova Scotia,979.0,D,United States of America,,94.0,431.0,5.0,1628344.0
zzn8318,O,1-823-289-3395,KBR,U,PITGQBOPMG,F,0.0,ME,193451.0,S,Canada,4.0,35.0,707.0,3.0,3911459.0
AFZ8319,O,1-366-576-7674,Health Net,a,rtbmfihmdfvv,,4.0,IA,329543.0,M,United States of America,5.0,77.0,584.0,7.0,3499177.0
Ejj8320,O,1-241-402-2286,Group 1 Automotive,,Ayckkkfusccl,F,3.0,Newfoundland,41482.0,M,United States of America,2.0,84.0,449.0,10.0,1928426.0
Fjf8321,,1-163-510-4261,W.W. Grainger,,nqwvllbg,M,0.0,OR,159252.0,M,United States of America,2.0,90.0,807.0,10.0,928230.0
CGY8322,O,1-693-041-9883,Mattel,g,Qjdpefpit,,0.0,IL,148355.0,W,United States of America,5.0,72.0,810.0,8.0,2224043.0
bel8323,O,,ScanSource,I,Qitxryg,,3.0,VT,328658.0,M,United States of America,3.0,33.0,772.0,9.0,192997.0
Llp8324,O,1-033-611-0110,AnnTaylor Stores,,vudor,,1.0,NJ,253317.0,U,,1.0,24.0,793.0,,2573716.0
Yie8325,R,,,Z,usovmkpyos,M,1.0,MA,67122.0,D,United States of America,3.0,63.0,587.0,6.0,2891892.0
Lsj8326,O,1-223-574-4581,,,PZCZU,,3.0,IL,271302.0,M,Canada,4.0,77.0,816.0,8.0,3542416.0
dcy8327,O,1-286-662-5149,PNM Resources,M,,F,1.0,HI,117685.0,S,Canada,5.0,12.0,662.0,5.0,340613.0
Goq8328,R,1-376-958-1811,Fidelity National Information,F,ovndbfcbjgf,f,5.0,MN,353676.0,S,United States of America,4.0,61.0,324.0,10.0,1620653.0
qfq8329,U,1-074-357-6659,Expeditors International,U,IIKFP,M,3.0,LA,256196.0,S,Canada,4.0,66.0,,4.0,469588.0
sea8330,O,1-838-734-6644,Target,,Mptzfobp,m,3.0,British Columbia,319544.0,,Canada,,98.0,825.0,0.0,628952.0
Brx8331,O,,Watson Pharmaceuticals,A,Ofntxhjnnpgs,m,0.0,ND,55879.0,M,United States of America,,32.0,768.0,4.0,2627200.0
Udh8332,R,1-417-441-6704,AnnTaylor Stores,L,Ohvftlrrbxse,,0.0,Quebec,74233.0,D,United States of America,3.0,14.0,506.0,,1162079.0
Jsj8333,O,1-217-642-9000,Cigna,,tshxvei,,2.0,Newfoundland,36850.0,M,United States of America,,78.0,,1.0,603942.0
Ghx8334,O,1-119-538-1837,ConocoPhillips,U,JYWQSLAK,,0.0,FL,12494.0,M,United States of America,4.0,27.0,700.0,,2528598.0
Edz8335,R,1-790-202-9336,Leap Wireless International,,GEKSBEUS,,,PA,51667.0,U,Canada,0.0,12.0,354.0,6.0,3459874.0
Fun8336,O,1-373-451-3779,SPX,S,zkisqorztj,f,5.0,SC,380580.0,D,Canada,0.0,33.0,661.0,2.0,2834186.0
SOZ8337,R,1-100-752-8483,BE Aerospace,,Bwfak,,5.0,CT,123348.0,U,Canada,0.0,74.0,609.0,4.0,3505753.0
buf8338,O,1-843-287-9110,Western & Southern Financial,,HPQICKPU,,2.0,UT,429014.0,M,Canada,2.0,70.0,846.0,0.0,1592317.0
Maa8339,O,1-545-551-5882,Medtronic,M,OKYMYNRUZ,,1.0,SC,374158.0,W,United States of America,2.0,93.0,709.0,1.0,2404099.0
pwo8340,O,1-556-545-4106,,,Xxekm,M,1.0,WY,156741.0,S,,2.0,27.0,402.0,4.0,
vei8341,,1-711-159-0030,MetLife,,NPEKNO,,0.0,NM,19121.0,M,United States of America,2.0,96.0,594.0,4.0,3281237.0
Big8342,O,1-571-456-8029,,,sagtj,,4.0,SD,129753.0,M,United States of America,1.0,35.0,717.0,7.0,3191520.0
Gwl8343,O,1-375-881-9626,EMC,n,ESUFYETXCKKH,M,3.0,KY,126899.0,M,United States of America,0.0,79.0,416.0,1.0,1098160.0
UJD8344,O,1-502-145-4210,International Paper,,Cmbbvnvk,,5.0,GA,171924.0,M,United States of America,2.0,81.0,489.0,10.0,3216384.0
TJA8345,O,1-978-773-4788,Bemis,,,m,1.0,VT,411993.0,U,United States of America,4.0,78.0,435.0,9.0,33574.0
Lqn8346,R,1-305-742-1412,Dresser-Rand Group,L,UEPNRTYKBOT,F,3.0,OR,160887.0,M,United States of America,1.0,19.0,645.0,9.0,574125.0
Sjv8347,O,1-425-281-0871,AT&T,h,IIVJD,f,0.0,AR,377310.0,M,Canada,4.0,88.0,594.0,0.0,3712135.0
XOS8348,O,1-201-283-9289,Pentair,,Caipwhdmw,M,1.0,WY,294968.0,U,United States of America,1.0,68.0,779.0,9.0,477424.0
Tsn8349,R,1-370-140-5115,Ball,E,Uasectprj,,0.0,Saskatchewan,264331.0,U,United States of America,4.0,15.0,635.0,8.0,2296151.0
aqb8350,,1-213-108-9032,C.H. Robinson Worldwide,a,uzwlxghd,f,3.0,CA,336093.0,S,United States of America,5.0,66.0,407.0,6.0,1205049.0
