prospect_AgencyID,prospect_State,prospect_City,prospect_MaritalStatus,prospect_NumberCars,prospect_Phone,prospect_Employer,prospect_Age,prospect_CreditRating,prospect_Country,prospect_NetWorth,prospect_AddressLine2,prospect_PostalCode,prospect_Income,prospect_NumberChildren,prospect_OwnOrRentFlag,prospect_NumberCreditCards
Lfg9765,NC,Erie,U,3.0,1-640-749-7987,Snap-On,70.0,673.0,United States of America,3391430.0,Ijjpvqrgaewdvtmkhrbtmjeptkxvtbwymlk,Bokapztwaos,19012.0,4.0,O,9.0
aui9766,CT,Eugene,S,1.0,1-128-600-4335,Rowan Cos.,10.0,690.0,,3857035.0,Qhuophszcwamtfuxbpwvnqnyfixrnanjofagizrwzsbizdzzbttfonadledsyofluqacgrww,Nmgooht,260411.0,0.0,O,3.0
Tse9767,AZ,Yonkers,S,0.0,1-391-125-3176,Jones Lang LaSalle,,313.0,Canada,998642.0,Pgsocilotmypftqdis,,428633.0,0.0,O,6.0
Qqj9768,MA,Provo,M,1.0,1-489-334-9152,Valassis Communications,63.0,561.0,Canada,356647.0,Nwdfaclbgqdshcqbbnkvavzsuywhweqjjwxckacvsmpomilnw,Chlxbkxdljbd,485730.0,0.0,O,0.0
pwv9769,OK,Dallas,M,3.0,1-527-060-6688,Superior Energy Services,80.0,678.0,United States of America,,Tsulnmvkayf,Avsxqx,376278.0,1.0,O,6.0
Rvb9770,WI,St. Petersburg,S,5.0,1-842-863-3693,Bank of America Corp.,,391.0,United States of America,1736087.0,,,483333.0,0.0,,1.0
WIC9771,NY,Madison,M,2.0,1-631-365-2065,Penske Automotive Group,68.0,556.0,United States of America,2551540.0,oouyaaqjrtfhrefirlthtwlvyxlfakhiitn,WKEHUBS,240007.0,0.0,R,8.0
Zje9772,ND,Grand Rapids,D,2.0,1-783-817-4776,Colgate-Palmolive,69.0,730.0,United States of America,861964.0,joqiawipoyerydkdnhvvqkslogxvyi,CUVUBMBYQ,334773.0,4.0,R,1.0
Jba9773,Ontario,Jackson,M,5.0,1-775-482-3616,Stryker,98.0,718.0,United States of America,,Xoxyjjbjh,ymblxrjie,270739.0,0.0,U,2.0
Dsg9774,SD,West Valley,U,5.0,1-188-214-9956,Service Corp. International,36.0,575.0,United States of America,2891160.0,vcouhbpwcauqcutgehempojtehnbnaxedcjorufbqxktvbdwh,ivbiiosl,415362.0,1.0,R,5.0
VCH9775,WY,Philadelphia,U,1.0,1-689-730-8281,Service Corp. International,82.0,720.0,United States of America,520676.0,edkgxsdekwsdeameqfedsynmoadwrz,Ctxmyswo,440482.0,0.0,R,5.0
udj9776,OH,Omaha,M,3.0,1-185-666-4477,Occidental Petroleum,92.0,320.0,United States of America,910547.0,Lgqsmpohsymcctuncvdoekdjsfsjsionpiijnjftzxuyyannddfcoqvxmdu,Csqpoi,414410.0,5.0,O,5.0
lhr9777,VA,Columbus,,5.0,1-400-323-3151,Belden,27.0,403.0,United States of America,178958.0,rzdpywzqvsaipyguybafvhkmoandovki,Lwdxyahnou,493647.0,4.0,U,0.0
Eed9778,NV,Elizabeth,W,4.0,1-527-194-1440,Cisco Systems,43.0,,United States of America,179723.0,GDPQEJCXPOBBRLEADQPIYUGWIQTIQCVTSYVUCAHGRUESUDWXTDCRMHBMHTFLJKSKKUNMTCWHMH,Gtdqmrvrodr,339925.0,4.0,O,0.0
Rjy9779,HI,Amarillo,M,2.0,1-592-334-0332,Regions Financial,31.0,521.0,Canada,560038.0,Srfiofinkomfjuokrbufnzrsfzbbvkw,tuynu,435223.0,3.0,O,7.0
Otz9780,Prince Edward Island,Waco,S,0.0,1-192-355-9148,Seaboard,84.0,493.0,United States of America,48989.0,Qavomoxdprzsbodhohxcwofcrioohzivqmvpmekokmojjlsxevzkdvpy,NJJQDTIWHH,35941.0,,O,10.0
xnq9781,FL,Atlanta,M,0.0,1-424-574-5497,Sovereign Bancorp,78.0,650.0,United States of America,3631565.0,Waqacknjvbcwcynhzewbntttvq,OIQMRFAOB,435372.0,5.0,U,9.0
efd9782,CA,Orlando,U,3.0,,Staples,98.0,601.0,United States of America,20964.0,INKKDFCJXPICWPXHIYNMZ,YZTZMEZTX,38603.0,0.0,R,6.0
KFQ9783,Prince Edward Island,Edmonton,S,1.0,1-847-549-4326,Sigma-Aldrich,0.0,466.0,United States of America,3152680.0,Romcwtnhobcly,anicaidxqhl,367985.0,3.0,O,0.0
BTV9784,AR,Escondido,M,5.0,1-116-368-3368,Xcel Energy,23.0,619.0,United States of America,3058045.0,Kjraggvvhttkqghslryvpqhciodupxmusfiriaxnfmyabhadsowvxzimhamumyn,nijgnbgdt,294515.0,1.0,U,0.0
Tae9785,SC,Washington,D,5.0,1-697-596-2552,Int. Business Machines,35.0,326.0,United States of America,3995842.0,TGUDDZIXRB,dkceajmashi,,3.0,U,
Gci9786,New Brunswick,Ontario,D,,1-303-723-5831,Metals USA Holdings,23.0,380.0,United States of America,1814013.0,WTYTRKMFBVPLFQ,acmacflq,407401.0,5.0,O,6.0
Xcd9787,NY,Santa Clarita,M,,1-807-845-1621,ProLogis,50.0,699.0,Canada,2746916.0,Brxddsclfttmtsmpzszdsdsblfmhvonconsvarbweggcytwvky,wefnezad,136863.0,3.0,O,8.0
Wrb9788,NM,Shreveport,,5.0,1-532-915-4568,Insight Enterprises,56.0,300.0,United States of America,3673503.0,EZPQFPMAKDFHRWZ,,140613.0,5.0,U,8.0
dqt9789,GA,Hialeah,S,3.0,1-840-477-1190,Henry Schein,71.0,705.0,United States of America,2439162.0,xkcbrlambeehrgkfuoxfutnmuaxdxupnfrvwpmmkwkbkvcduzvb,Dpfnty,101326.0,2.0,O,9.0
Lkf9790,AK,Hollywood,U,4.0,1-876-538-1436,Wynn Resorts,48.0,602.0,Canada,2739411.0,Aatumismfvuennuuaqvbmzpwhfkjumeebwkpuafdvhvhmh,zywpjmcqdtte,205725.0,0.0,O,5.0
Jca9791,MA,Warren,W,5.0,1-434-897-1689,Western Refining,63.0,542.0,Canada,1610254.0,EGHDHVIQRARNTLOSMCKXMADPNUEUKNDUWQUITFE,Nanqg,308540.0,5.0,R,7.0
Cyo9792,TN,Austin,,1.0,1-229-228-4105,,55.0,608.0,United States of America,,VDXUMKCOIQOGCMBUUATJJXUVJFQANHIGKXNBDGBYKUBJ,,321517.0,,O,7.0
Fbo9793,ID,Ontario,S,0.0,1-712-455-7425,Synnex,99.0,,United States of America,3521205.0,RDSRYEKCWP,Uspump,,,O,6.0
RWL9794,NH,Bellevue,M,1.0,1-321-095-8066,Monsanto,7.0,647.0,Canada,2425580.0,Potjafvmncnslujiswlcqgxggnjshwllxmwowrxhpafipjtqaetcgnwbsbjxcdxtusuenejrtw,AAIAQQEJ,23536.0,0.0,U,3.0
Ymj9795,Newfoundland,Orlando,D,5.0,1-452-393-4430,Weis Markets,36.0,,Canada,,LRBXLZJWYBWFAXCITPCDLQKLEDHLJWRXTWDGYZIRJN,dwpmlztks,444451.0,2.0,O,0.0
kqr9796,OR,Salem,S,0.0,1-038-099-3417,Beckman Coulter,99.0,798.0,United States of America,1353495.0,Rvgdxfvxlcpjeyajokzffejmi,UQVRZGZQH,250390.0,5.0,O,0.0
Anu9797,RI,Fort Smith,M,0.0,1-284-920-3901,Pentair,43.0,332.0,Canada,443045.0,Krtufggjdaordprmvqhpbosgmdmwczcztbgzffrdjgubjskrgaodgkemfkpsax,FHTKTLERXT,167063.0,5.0,O,1.0
Odk9798,Ontario,Ottawa,M,,1-542-243-3222,Western Union,85.0,392.0,United States of America,2597213.0,KTQEMACPLLQISGSSAI,FZCXE,94636.0,0.0,U,3.0
Sng9799,Saskatchewan,Rochester,M,0.0,1-229-158-8024,Office Depot,28.0,565.0,United States of America,3176155.0,Mervixzxlfwjwfavsbzksmburry,Nibnnr,91842.0,,,6.0
ryj9800,IN,Rapid City,S,5.0,1-075-206-4337,Brightpoint,86.0,732.0,United States of America,3265617.0,Iwpbruildwguhzfyclsqbdgdezzsxrsmqdbtxsjjlmvdatbisxqsepiegnlok,Aptjpvosoe,442243.0,2.0,O,5.0
gle9801,AZ,Seattle,D,2.0,1-724-404-2730,GameStop,32.0,369.0,United States of America,2387472.0,ZOWVAJPOSLXPYBDKLWLNHRVJSQAJETSCH,KSCYCESK,277520.0,0.0,O,5.0
BCG9802,AR,Allentown,W,4.0,1-389-179-0350,Nacco Industries,28.0,483.0,United States of America,846372.0,Mbgmoqyztlfzqzqsgpxaxzcvloj,Srllf,,1.0,O,5.0
WXO9803,KY,Eugene,W,4.0,1-536-802-1200,,,661.0,United States of America,2862895.0,rvkbfpam,Dnuryfeirof,151886.0,4.0,U,2.0
Ijq9804,OH,San Bernardino,S,4.0,1-591-775-1309,Graphic Packaging Holding,83.0,438.0,United States of America,1652410.0,Aantblnicdpirvtzqkyrykfxnevfr,,175605.0,5.0,O,6.0
fdd9805,NH,Denver,S,5.0,1-199-805-6277,Terra Industries,,813.0,United States of America,2406642.0,nzgpmqxyuckysrtigpqakwqczvniiieshi,Rjoxn,37684.0,4.0,R,8.0
Aro9806,OH,Sunnyvale,S,3.0,1-134-178-7893,DISH Network,71.0,511.0,United States of America,435495.0,RQSTTQIYGATFJPDAEIDARGUYN,PTEZIOYKNGBQ,71197.0,3.0,O,5.0
uso9807,LA,Charlottetown,U,2.0,1-476-772-9719,,32.0,474.0,United States of America,1537756.0,jencxuxjgflvth,Xgpiffwdr,157122.0,,O,8.0
Bhj9808,GA,Costa Mesa,M,2.0,1-526-786-0424,Sanmina-SCI,,506.0,United States of America,2722282.0,Srffxwjdxmvybnsbisgfbkmbdlkduswxeqxhovvpqupcugaeiapjwmjbhuydtxglh,alrwz,444816.0,1.0,R,4.0
Mge9809,NM,Richmond,D,5.0,1-786-446-9417,Stanley Works,48.0,772.0,United States of America,,ugnjamvltbrxxug,Nnezf,8311.0,4.0,,6.0
Coo9810,MS,Kitchener,M,3.0,1-781-637-3596,Johnson Controls,69.0,546.0,United States of America,678801.0,,Rgmbf,155914.0,0.0,O,3.0
JYX9811,AK,Sherbrooke,U,4.0,1-964-545-5956,Tech Data,97.0,552.0,United States of America,1049475.0,Jcbalnjxbuurvrujskvuhhenqjdwuzcqfbezdkkosplbqzhbelbmwkdl,Lgdeo,339601.0,2.0,O,10.0
szn9812,MT,Tulsa,D,1.0,1-827-775-1568,,55.0,738.0,Canada,3844727.0,OOBZCQHJNQZPHEYXNDIEBWRFAEFAASKWUWDIKQWMNMZPSDOJXHUJRQ,,344862.0,2.0,O,6.0
CRH9813,KY,Erie,W,0.0,1-311-965-2370,Rohm & Haas,22.0,573.0,United States of America,2888275.0,xwkpbekpyxdipkanpoiaasoqqrqgvohixhlfhpyumkclsthmjxxsviercbenkrubtbpauupfrvuztt,Pvpgftphron,496829.0,0.0,O,10.0
lgv9814,NE,San Francisco,S,1.0,1-984-027-7433,M&T Bank Corp.,42.0,842.0,United States of America,2451777.0,Eaqwoyhqxwkiereprvprhz,Bzihvvbyqf,129017.0,3.0,O,6.0
Vvl9815,WY,Huntington Beach,M,0.0,1-157-236-7700,Automatic Data Processing,3.0,347.0,United States of America,776583.0,AUPDBVMKTVUUAWJOVOLFUZONHBXSPGOSBSJNMKCUZGJRPQUWQWHZ,PQRUO,430025.0,3.0,R,0.0
Ugw9816,Quebec,Costa Mesa,S,2.0,1-656-109-1600,Mettler-Toledo International,40.0,551.0,United States of America,2562495.0,Esdaxnmxrubgu,Gdmdlbnjbt,97349.0,1.0,O,10.0
Ryu9817,Prince Edward Island,Paterson,D,3.0,1-635-447-3318,Jarden,55.0,565.0,United States of America,3652078.0,ymiyvvhdnuhtpfennyvpxovigwpcnygqckfkkvjsxyzxqbweedghupapvegsm,Luplgst,393547.0,3.0,O,5.0
Vlp9818,New Brunswick,Aurora,S,2.0,1-393-830-5416,Brookdale Senior Living,56.0,301.0,Canada,557439.0,Gmylbsdfwmdtqzlhwlcnxbhtfzijffndibdmdpgwxvgtoxvgliasztyvi,ywozoerkq,182351.0,2.0,U,0.0
lfx9819,MN,Plano,S,3.0,1-441-296-2469,Airtran Holdings,51.0,572.0,United States of America,3406094.0,Wxhtqiagtwuksursxtrajmvqtouzolvdsapjsdhuwowrjikne,SXPPXJXUPKA,416999.0,0.0,U,3.0
JLW9820,MN,Biloxi,U,1.0,1-673-121-3558,Packaging Corp. of America,43.0,328.0,United States of America,,Bcikjcqggvhg,Jnnfard,417268.0,5.0,O,
AMX9821,NE,Kansas City,S,4.0,1-405-616-8440,Health Net,24.0,318.0,United States of America,2569171.0,Ufboxaccmyuyeveztvmpshiueyoltxbkrailigffwcoffxhklnh,Wprqtaiifpi,8210.0,0.0,R,5.0
Uax9822,Quebec,Manchester,M,2.0,,Coca-Cola Enterprises,87.0,397.0,United States of America,,jlrncrjhmmeinduhnmgfbuiwqcdbquapaogubbugrmwzcpijphmnnevfqvdtpgmyusucbsg,KDWZDFHPK,310092.0,0.0,O,
eth9823,DE,Boise,M,1.0,1-062-969-9915,UAL,2.0,755.0,United States of America,3800745.0,QHDXMVZBPFLMTZTHPXQYCVJGOJFZSEKNENKEOXWHZAEKECYYSBPGCMQCPDHCGJBXASP,LZSRWIUVTD,308220.0,1.0,O,4.0
Yes9824,New Brunswick,Eugene,U,1.0,1-237-403-1731,,82.0,726.0,United States of America,2501119.0,Owfpxeoekwsnzilqlbtewbeubeuzhueoccn,Rowrnedbgdvp,13133.0,5.0,,6.0
KWC9825,OK,Tucson,U,,1-763-307-9397,McGraw-Hill,27.0,599.0,United States of America,2719500.0,Drfbekmqakvxaqewbciepivudwkydesfcuknexhhf,ONURDXOYLBJD,324723.0,0.0,,9.0
Tqi9826,WA,Sherbrooke,U,5.0,1-354-555-1031,Chemtura,83.0,418.0,United States of America,2076148.0,Aftwmjstkogktwxpesrpqfvzdfrgqxxuqfppzxbd,Nsvqzlwwfjfb,85424.0,1.0,O,1.0
Wpa9827,New Brunswick,Aurora,U,2.0,1-913-677-8025,Church & Dwight,50.0,807.0,Canada,3893034.0,geghzaqbebddvfwvllgx,Gxvmaymhdz,156722.0,2.0,O,4.0
gpm9828,Newfoundland,Allentown,U,5.0,1-368-266-8562,Family Insurance Group,32.0,549.0,United States of America,3870783.0,zixthcjjkxsixnrkqfkzbwihaongybbonjiyggllx,Ftiviokemot,220136.0,0.0,O,5.0
prv9829,IA,Houston,W,4.0,1-244-489-1174,Kraft Foods,17.0,633.0,,2179066.0,yjpxxqiclwnbfrwggrtlshpvznynfhizfjnwaidycanojlilhiwotppxkxikqtuwztjspfwsckmsadrk,VZRUAF,398813.0,4.0,O,3.0
Ytv9830,DC,Baton Rouge,U,4.0,1-801-737-7051,Anadarko Petroleum,54.0,300.0,,3916822.0,Ierayjllbnhdrisdqxajfzonlgsekhbcmrmmzq,Noexilytzfe,32185.0,5.0,O,5.0
Ttl9831,NE,Mesquite,M,3.0,1-628-498-6046,Fortune Brands,68.0,383.0,United States of America,1771227.0,rxksdcdweqjyakljsekauexnvhfcumfbxhhasycjaaiyzykxeenzvuvkvkoyyemnjegcaseblfi,Kvzrp,380312.0,1.0,O,7.0
Kkh9832,New Brunswick,Ottawa,U,4.0,1-520-341-5913,PC Connection,98.0,598.0,Canada,2911392.0,MAGTTTTDOKAVCAHVTYSSTQTSKLWNP,Pbwequhd,286646.0,4.0,O,7.0
LES9833,RI,Toronto,M,5.0,1-955-867-3416,,23.0,351.0,United States of America,2302082.0,Kpfgvrhmylmamj,Iykvwpxhik,255157.0,0.0,O,5.0
Kbn9834,OH,Omaha,M,5.0,,Fortune Brands,6.0,757.0,United States of America,3809157.0,,kajgselxyhsd,151929.0,1.0,O,9.0
VNB9835,NH,St. Johns,U,4.0,1-413-207-9887,Philip Morris International,11.0,,United States of America,1780094.0,NZXOCRTHPAXNRFQCMCSFOCVUVIRLJVMPHLMKHQWKNRTRMLPFWYQUGVQHWMKKODSR,Bopfksow,416186.0,5.0,O,8.0
mog9836,ME,Corpus Christi,M,1.0,1-975-288-7412,Oil States International,86.0,539.0,United States of America,2476975.0,Vfuqgrsjfvpzrzgtwgurcgtbsprsuygmwewfmmhkbeuqjzitrpbfagukideabsnyuoxmskaefoen,Ojhblexfg,248338.0,3.0,O,6.0
XOZ9837,Manitoba,Coral Springs,M,3.0,1-540-846-0942,Northern Trust Corp.,50.0,,United States of America,890294.0,Gvhwfeugmiawsgzfwqzoitkydxsziidbkyfowncuupaxfcnrwvscywipdgtrqwyxu,ADPLLPPFTK,86514.0,3.0,O,7.0
Ixh9838,IA,Ann Arbor,W,4.0,1-252-815-0749,Health Net,93.0,819.0,,2635253.0,ZQTYXPBWLXVSUJAULWHOTJLYIMXTCCKMXHBMGVQETBRBLVLHVG,jromb,247336.0,0.0,O,8.0
Awr9839,ID,Brownsville,S,,1-196-424-5054,Pantry,81.0,831.0,Canada,496823.0,pjocvvwldbiwfzfcchsszfpwdzeqmqhvevyftwfjzordhakzokkbdzkqcnadlhij,ejvdrmfih,309440.0,5.0,O,8.0
RMI9840,PA,Shreveport,M,1.0,1-601-649-3790,Publix Super Markets,25.0,514.0,United States of America,362621.0,Bahrhtysumfdylbgfbemlgzzn,UCHFZOP,486563.0,2.0,R,1.0
iff9841,KY,Lexington,M,2.0,1-820-566-0356,Smith International,47.0,480.0,United States of America,2966858.0,Btfdhbffoaldjwoswjtvkepmbupinklxwdrbkjayjklrirzgfuvfxw,xxqfqmsnoado,408888.0,5.0,O,9.0
Moj9842,New Brunswick,Indianapolis,M,1.0,1-362-942-1548,Cytec Industries,,526.0,United States of America,2439916.0,aiuwdeakudxkujkgwjtddcxxloboqpjwflrvgplnxkkhvghxvkquaa,chlacgze,172886.0,4.0,O,3.0
dnf9843,NJ,St. Louis,S,4.0,1-214-875-8476,Virgin Media,,706.0,,1037920.0,CZLRNOTWZNMIMYWTSLZZAGQJRQGRPBWPAIABVWIOJENEVXXPOZMS,PSEHMK,499374.0,5.0,O,1.0
Kwl9844,MT,Santa Clara,D,2.0,1-993-409-1963,FPL Group,20.0,394.0,United States of America,1071787.0,Bysdgnfiodqrptrmltckwwfacsgordsbpblbfbbkqblijjmljrqnzpgvazvexcrmhwouojsimodzp,Plrahvyojds,360279.0,2.0,O,9.0
agh9845,MN,Indianapolis,S,3.0,1-552-189-4153,Honeywell International,30.0,461.0,United States of America,1964285.0,Kakqcmencantstnljbgvgzvdpjqsfzrrschojfglaffjcqivcwtwvypxp,Evdsexkixjc,479794.0,2.0,O,4.0
Ikq9846,KY,Las Vegas,M,,1-089-839-7520,Precision Castparts,13.0,390.0,United States of America,905620.0,Umkqjidltdjz,Dnovenprqjm,,3.0,O,10.0
Tcc9847,NH,Billings,U,3.0,1-540-949-5084,Cintas,13.0,747.0,United States of America,358003.0,ECXXPFWCJFYKREXGWCLQSWUCVMJDERHDARNOMNPLOBISBEEEFRRVRQUKFWJYXNJATRYYUOKQSQUQWQNV,,417999.0,4.0,,7.0
Phc9848,SD,Aurora,M,0.0,1-864-528-6133,L-3 Communications,16.0,671.0,United States of America,2726548.0,asdzkbwltmdsifucqivyearuabywcalbqczjajf,Wgoqxoxzbo,356581.0,1.0,,10.0
dah9849,Saskatchewan,Warwick,M,2.0,1-860-284-0921,Magellan Health Services,32.0,631.0,,810916.0,,RCRXZUMEWNHD,285031.0,3.0,,1.0
fyy9850,SC,Salt Lake City,S,0.0,,Bristol-Myers Squibb,74.0,634.0,United States of America,619755.0,Kywlyfqekhgghpqqjveylpsq,dqrhlbk,57300.0,5.0,R,6.0
cia9851,ND,Sunnyvale,M,3.0,1-717-655-6253,Fifth Third Bancorp,70.0,492.0,United States of America,2239170.0,KXMIJBYUHPOEWEXLHTAWBERAKLECJCUCWLUD,Hjovsweta,290970.0,0.0,U,9.0
Rup9852,British Columbia,San Diego,S,1.0,1-035-155-5723,United Rentals,83.0,413.0,United States of America,892128.0,POPUDPNOKXSFCNFTNKJXEDQSHPEHXNUYSSSLGOHNBULDGGCK,Eimawihtsvb,103512.0,0.0,O,7.0
JEK9853,Ontario,Virginia Beach,S,,,Michaels Stores,91.0,619.0,United States of America,3130806.0,Izhtyodzzntinvlziesgupkxoznkbbxvvizhqmqbvfpmpunpsicwncgco,EDMHYQMEEQ,297632.0,5.0,R,0.0
SGG9854,Newfoundland,Salem,M,2.0,1-549-547-9329,Agilent Technologies,99.0,446.0,Canada,3473479.0,HFNRPTZHYNPUISUJOAHPFIFKTIKSJDCQZMJHYKOFRIXGSQRSWOUKEBTPBAREVPHE,Fmwtwfq,239655.0,,R,
rmn9855,MT,Overland Park,D,4.0,1-754-004-1808,NewPage Holding,84.0,767.0,United States of America,100195.0,,Xcurw,366997.0,2.0,O,5.0
BUP9856,Nova Scotia,Mount Pearl,M,4.0,1-336-478-8193,General Cable,73.0,428.0,United States of America,106595.0,JHBLMPYIIDZFNKOHZNRACLPBOZDUDOECXTKSABYLEVYVDAHHRKFTIXBICWBPACPAPEKHVJRIWTAENCQG,oapuiec,73136.0,4.0,O,3.0
akt9857,VA,Los Angeles,M,2.0,1-270-703-6913,YRC Worldwide,84.0,528.0,United States of America,817817.0,wyhqaawdnqedsyysgbhsnctdwkiuuqortcvbhvfdmjwfnaw,Xsrfq,92343.0,3.0,O,8.0
PJS9858,AR,Syracuse,M,5.0,1-256-718-0489,NV Energy,54.0,523.0,United States of America,2802149.0,ISWKMPZN,btfjjlgouhus,283951.0,1.0,O,4.0
Puy9859,AZ,Allentown,M,0.0,1-417-894-7081,Sun Microsystems,34.0,658.0,United States of America,506871.0,Vhcsdwqkqfsjggsxdasswbbgs,Sgefxjev,37154.0,5.0,R,7.0
hoq9860,VT,Brownsville,M,2.0,1-185-319-8207,,48.0,475.0,United States of America,1405175.0,Opdbvexsxtuymsdfotsuxctnwtialirebxiixwgbbbbafhfwijqyfdfcwaztlu,cvktzjmnneb,96303.0,5.0,O,5.0
Rqx9861,PA,Charlottetown,D,3.0,1-450-615-4188,Lowe's,76.0,678.0,United States of America,2650306.0,yiitniskyiozqkdrcnzdmjozfsqjadpcrp,,430997.0,3.0,O,10.0
Qmb9862,Saskatchewan,San Francisco,M,2.0,1-871-896-6899,Total System Services,10.0,469.0,United States of America,1956097.0,rcounpcgmexgkmpl,WMALOJGPTYQN,428569.0,2.0,O,
ert9863,IL,Omaha,W,1.0,1-346-609-8684,Integrys Energy Group,74.0,595.0,United States of America,973923.0,gpffjqedvheykd,Nbwqyjg,304381.0,3.0,O,1.0
sjl9864,NH,Buffalo,D,5.0,1-983-655-0855,Collective Brands,96.0,749.0,United States of America,2446019.0,ckhioaxxblvczttjkuvkcqdudscruuxdjcfjktcruywyvqi,Rfsxjhdg,422144.0,4.0,U,2.0
LCR9865,SD,Montpelier,M,2.0,1-595-433-8361,Snap-On,43.0,344.0,United States of America,,Onunlqtkrwojgbagpbhrumyeaceiubuwofkgpoaacjsjkoi,VXSAUAAUZTKF,385918.0,2.0,O,1.0
Vjb9866,CA,Iqaluit,U,0.0,1-409-001-1296,Applied Biosystems,74.0,337.0,United States of America,2169049.0,XHSROTTOGPDRMKOTMRYOQHPNK,LGBNYJHKAJ,46320.0,3.0,O,6.0
fhb9867,DC,St. Paul,S,1.0,1-819-971-2152,Watson Wyatt Worldwide,75.0,841.0,United States of America,2566691.0,,DHODFOBH,355052.0,3.0,O,4.0
Vzn9868,MO,Lewiston,U,,1-193-083-0580,R.R. Donnelley & Sons,97.0,544.0,United States of America,2356764.0,Mdbnegsp,dsboanrla,335409.0,1.0,O,3.0
Niq9869,NE,San Francisco,U,0.0,1-784-700-1830,FreeportMcMoRan Copper & Gold,25.0,574.0,United States of America,2465932.0,XGWAPMOPNTQGZYXPPZQWLNPQKSACXCIWPFNSJSUAIPSPDXDKPETOPTKJIEOGZPKBJFRSUP,zvefwpsyvm,353085.0,3.0,R,5.0
Lza9870,AK,Elizabeth,M,0.0,1-944-696-1094,Smith International,88.0,411.0,United States of America,838029.0,Vmyhwsxuramhualvnjpshdyomhejqrcaptsnoumzcigxeyvjnaxrktowcrfjuhembzykgvfdmlrmvpph,EGOSCWCL,,2.0,O,3.0
nyp9871,SC,Hilo,M,1.0,1-467-923-4156,RPM International,53.0,428.0,Canada,1194315.0,XSDXWLMIKCBPPPFYJACRYCBJRHOSDK,FQWVNRBM,15241.0,5.0,U,2.0
YKS9872,VA,Elizabeth,S,5.0,1-551-393-7913,YRC Worldwide,21.0,768.0,United States of America,896952.0,jefxeebhecjjulhxdopovnlgjkxcf,Jxfgaesdyfks,201461.0,4.0,R,2.0
Miu9873,New Brunswick,Santa Clara,D,4.0,1-419-879-0272,Newmont Mining,91.0,841.0,United States of America,1449534.0,UMVDXRJTNSAYTFEVGIVDKLBFGSLMFMHF,Hwivicvow,175251.0,5.0,R,4.0
MGY9874,AZ,Albuquerque,U,4.0,1-069-537-7174,PSS World Medical,51.0,698.0,United States of America,2836067.0,Kjwkteidhopydthhvuha,cjaegfcwx,179654.0,5.0,O,1.0
Gez9875,GA,Sacramento,M,1.0,1-889-695-7999,Southern,56.0,,United States of America,3528220.0,FHSSPBEAMOZMYZXKFGAWHVAHBUNJKCVBRROOUGGQESRUXSTXPVGJHOQIIRZHSRQCRK,xneikr,228684.0,2.0,U,10.0
Pmm9876,CO,Lowell,M,1.0,1-210-900-6565,Perini,9.0,656.0,United States of America,844644.0,BSFVBCFZGDPMQGE,lovzfaqou,363168.0,3.0,O,
APL9877,ID,Lansing,M,0.0,1-607-512-2320,Ecolab,19.0,565.0,United States of America,3620604.0,DILUOQTBDPPUNPWXZLWHTDZIMSMIXWHBHGGG,Mfrulfcbz,403522.0,4.0,O,5.0
jlx9878,NC,Charleston,M,1.0,1-749-491-3569,United Natural Foods,,371.0,United States of America,400095.0,Tbpzrrbhvapnehinshrzpwfaofmtqzjdvdgvmtpvhrkvyagvmgwhzybtqnhqlve,Qhgrb,69468.0,4.0,O,6.0
CXM9879,Saskatchewan,Rochester,W,4.0,1-348-668-6049,First Data,26.0,753.0,United States of America,847663.0,DOYWOAMFIGMKSWLIOJICVPDN,Ejkjaust,217571.0,2.0,U,4.0
aah9880,Newfoundland,Virginia Beach,S,1.0,1-486-450-1008,New York Times,2.0,615.0,Canada,2345473.0,qfmfuljcbryhuriebttgebhsuoqduzroslapfmixdmienjethzmqj,Jpdqbh,137162.0,3.0,,7.0
Huy9881,WI,Iqaluit,W,3.0,1-979-047-5794,Olin,18.0,405.0,United States of America,3395353.0,,Gpgoazrimgpx,497380.0,5.0,U,10.0
QZC9882,WY,Chandler,M,1.0,1-493-543-3043,Con-way,88.0,731.0,United States of America,1433403.0,Nvhhdkdagfmdfugyxylbspbnnutvhwhwx,Vmwtekqmi,,4.0,O,10.0
HGM9883,Nova Scotia,Simi Valley,U,3.0,1-632-596-9700,Pfizer,46.0,795.0,United States of America,563734.0,oewwgvkepcbsobyeqybprrm,ipohwfmjkju,27599.0,2.0,O,4.0
ebf9884,CT,Pembroke Pines,W,4.0,1-083-018-8740,Liberty Global,94.0,826.0,United States of America,2116224.0,WLCGRFNOHOYGYFBDPYWTUJRNKIY,Cubvu,153424.0,1.0,,2.0
GIQ9885,CT,Chula Vista,S,4.0,1-273-786-5182,Pentair,68.0,768.0,United States of America,95894.0,Onfbqtiuqxfjhjbarnxhqydagwlaofjojenuzpvfbpsjlxusbggpcbxicl,,161673.0,4.0,O,2.0
Csi9886,WI,Macon,S,3.0,1-159-822-5035,CF Industries Holdings,71.0,,,2002783.0,Levtso,ymguyfrfe,466318.0,0.0,U,4.0
Iev9887,FL,Peoria,M,1.0,1-416-527-7417,CACI International,74.0,485.0,Canada,2439845.0,rcplsbdlejdhcbngwfifsibcirjpdtitbjlcfonauixt,Kmldwrttlu,304015.0,4.0,R,1.0
