prospect_gncd,prospect_nmbrcrs,prospect_wnrrntflg,prospect_g,prospect_mrtlstts,prospect_cntr,prospect_frstnm,prospect_ddrssln2,prospect_ct,prospect_phn,prospect_stt,prospect_mddlntl,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_pstlcd,prospect_ncm,prospect_nmbrchldrn,prospect_mplr,prospect_ntwrth
uyo9701,2.0,O,,S,United States of America,Slxiqybx,Iwknmhengae,Fullerton,1-168-431-2457,DC,l,,544.0,Cxmjasscm,131135.0,2.0,Cracker Barrel Old Country,2595389.0
Kni9702,5.0,O,95.0,M,Canada,JNUXCRGKKQJUDVNTDFKQBADGLVBS,Narsxo,Boston,1-328-227-5957,NE,,3.0,,Auibgawr,179290.0,5.0,Scholastic,2461368.0
Wvv9703,3.0,O,6.0,W,Canada,JXRESDTVVPINEIMUEIRRNOXOEIKM,ndfyepgfaohmrsorgxupaoycbfrlcekkxnxolwzpadvkavyfhmnpbarynrcwbgqpiahwbw,Raleigh,1-909-047-8936,RI,Z,1.0,607.0,Iplvgcirddat,346151.0,2.0,Cardinal Health,2313032.0
OKM9704,0.0,O,72.0,U,United States of America,chlqwmvvbgbpjwixsdso,MLGYLMVEMFJDAXGSKVSJPTOZNXLEWATYRRYPBTOFSPAKSTOR,Lancaster,1-385-703-4324,British Columbia,,6.0,739.0,,361254.0,0.0,Delphi,1248101.0
zpp9705,2.0,O,98.0,M,United States of America,GAAXRDUMXJRYOHN,QBMNOVYUVKQBAOLPABAMEIOKP,Sacramento,1-944-594-1754,ME,,8.0,361.0,KOGZCYOVIE,412022.0,,PolyOne,3651964.0
Msa9706,0.0,U,12.0,M,United States of America,oosmwjkahdkkecnrmvvdk,Xuzbrhychyfwuoennlvanlwufdtnsvggenridshavlltbwqjcjqhpjptxfvvmervmldm,Toledo,1-090-561-3869,WV,,,836.0,Jiqdwcgjv,103144.0,0.0,Analog Devices,
lkc9707,3.0,R,48.0,U,United States of America,okaztdsfkk,EXMUFPZBYXKBXHSIHTZIRNMOMOUIIGHJMDWAFGMDAYGEYUY,Victoria,1-038-513-8916,British Columbia,,5.0,521.0,Rsfcyhddxk,121611.0,3.0,Cooper Tire & Rubber,901782.0
Xbb9708,4.0,O,61.0,W,United States of America,Ppuhidwnvambjyqlfh,glzvnekwfbpuxteagfqy,Milwaukee,1-894-515-7591,TX,f,10.0,782.0,Mdvzjrznpde,475893.0,3.0,Ryland Group,
Udb9709,1.0,O,82.0,U,United States of America,fimztfztxff,strncruqpabfjyazmikukagnxoumvkuiwxobojocdopdjlybtmpfjhbdozienziyeprifcrlgyxuailx,Montreal,1-142-702-3953,ND,z,4.0,492.0,aeeekyk,464301.0,4.0,Sprint Nextel,2133261.0
mmi9710,0.0,O,90.0,S,United States of America,Bsbvbjcvtsotmgq,ukbfqdnyrgnhjiuaqcmhwmmmklagv,St. Louis,1-668-043-1872,NC,S,1.0,,NGRKGELEVGF,314885.0,0.0,Union Pacific,995044.0
Ips9711,5.0,O,18.0,,United States of America,MNUJDQHFGFGBWFZA,iygiwmkivfstzhukydkdmekofelkflkdtaskjupovgxqriirnz,Newark,1-582-913-5759,WA,x,2.0,649.0,,499232.0,1.0,Pilgrim's Pride,2211836.0
hir9712,2.0,O,47.0,S,Canada,Iqfdztgsksrfloyq,MQUWEHCUDOLUPE,New York,1-075-910-5493,OR,,5.0,386.0,NTVXORR,,2.0,Airgas,3913615.0
pnx9713,4.0,O,70.0,D,United States of America,jvsdtimhytwtflxtxwwnexpfeenwp,Ptnfhjtullssunzqabzdnepvzcgrdjymfwfhkxgovkqczxybnmrqhbspwrtaaqibat,Irvine,1-444-526-8440,WI,,3.0,664.0,,376966.0,5.0,Abbott Laboratories,501692.0
Ocp9714,3.0,O,21.0,W,United States of America,nkjsrbyh,hdcowwzpfvymosawgifgbqaykpldlhqkhsfypwqjk,Chandler,1-414-351-2921,OK,,5.0,821.0,Sltkznivpuh,417819.0,3.0,,3318801.0
Vce9715,5.0,U,88.0,M,United States of America,Kptstn,Xeotwaffwbhftuncbpnsxpdgqijmvxvekclgewlnlmlpuhtkdsqpfswfxxabkezmoanxonogfhrs,Sacramento,1-601-041-7304,NJ,,10.0,683.0,giheh,181317.0,5.0,Micron Technology,3906230.0
HBH9716,2.0,O,5.0,S,United States of America,Gmmbxiihahidnzwqxqgomzdrkvbaer,Zpektevekclqvpfrqjjdknbz,Tucson,1-011-770-3136,HI,u,3.0,560.0,Mbnzlsyeys,322935.0,0.0,NCI Building Systems,3078341.0
Hse9717,4.0,O,82.0,S,United States of America,Bzhrta,Hbvgroxdisioyndbsddooklkeipzrvyihuyviqlgxrdufv,Windsor,1-134-713-5400,TN,,0.0,790.0,YFFWBJ,340623.0,0.0,,2172994.0
VXX9718,4.0,O,77.0,U,United States of America,YWTJGWVRAKRVCRKOKCJGBEK,Kyliulfro,San Diego,1-903-001-3397,OH,i,2.0,334.0,,76246.0,3.0,AutoZone,1090017.0
Vmf9719,0.0,O,80.0,W,United States of America,Tnllrewsuaaygzjgrieverie,Ctupgzivswmzcdpsqwafcib,Oshawa,1-497-787-0410,MN,,1.0,807.0,Cczmaa,212640.0,1.0,Steelcase,31902.0
evj9720,4.0,O,41.0,M,United States of America,Nbqgguaetcaxlxfafgumrsnn,bkjjdbfpnswljsebtfistgfcifairmbuygnfym,Fresno,1-306-765-7201,OR,,10.0,372.0,Enjmrggdsq,27123.0,4.0,Raytheon,1842743.0
asd9721,1.0,O,78.0,U,United States of America,bmyxstqbjpcoyrnwyc,LCMLRMJQFQEWOZIJDFBYFXEHJZKVQUMBOUBGKQRXOAOUCRZQPRNTHZNRUPFCWFLSSEHKUXFIVTGD,Pueblo,1-927-838-7243,CA,,,447.0,DQUOY,428212.0,2.0,CH2M Hill,1954597.0
Ieu9722,3.0,O,68.0,S,United States of America,rvoxbnvtuspyuekezqee,mixrvdfamfpigqisncckmpwradlnhiquutwbx,Fullerton,1-437-699-8957,AL,F,6.0,588.0,Efulnxsnk,208135.0,5.0,Metals USA Holdings,3002681.0
kfi9723,,O,76.0,M,Canada,fmgcgqpsgyf,Rilcmmbggjqqr,Lansing,1-218-324-5533,CO,p,3.0,400.0,Narulrixws,,5.0,Texas Instruments,264407.0
FJJ9724,1.0,O,12.0,M,United States of America,Wqjhuogww,Egbrmleujrmgruficakxeasndwgddlxlgkvaqjenzswwthjcyofcoussncflxxeugvdzmk,Evansville,1-715-615-5940,Quebec,,0.0,432.0,LJIYILMAJL,447022.0,1.0,Leap Wireless International,1001820.0
VWN9725,1.0,R,5.0,D,Canada,HNMXQGGIJSTLFFHG,LPUGQVYVVMDSN,Mesa,1-665-357-7789,AK,a,6.0,848.0,Nlispiudmvt,383912.0,4.0,Safeway,2798572.0
Txo9726,1.0,O,27.0,S,United States of America,nwiicmqzbhdsoxtfvnnq,Nkranawdfisjftmgqzjkprxclsvdxpngugzcvgzqemcmezoaqomtlqksxkowfx,Milwaukee,1-329-612-7351,TX,A,3.0,728.0,Rssugc,196459.0,4.0,Guess,1918410.0
Vkb9727,3.0,O,91.0,U,United States of America,Afxxeifpljujqrsgfghdunvo,Yqaygdemadhtqbledyesoqapaoptxsbfblrkbvobknyliz,Plano,1-729-753-6101,MO,y,3.0,725.0,Aooexlbpfsi,469095.0,0.0,Eli Lilly,1158545.0
Yph9728,2.0,O,94.0,M,United States of America,Gwjiyyklkiijtdawgoowmqf,IUZZAGUXADADCQKKFNQEIDIKZUPCMMOOMERGHZDBERGUOTSMHXPVN,Scottsdale,1-634-922-5897,NC,,8.0,743.0,mogzyazzbe,257503.0,2.0,Cisco Systems,
dop9729,4.0,O,18.0,W,United States of America,Uwrfslssammwtx,MUPCAXFPHTIIUHLZLMJELNPQPHVUVUCLOVT,Philadelphia,1-339-811-1218,VT,F,8.0,756.0,Ecggpkb,394763.0,4.0,Snap-On,2009083.0
hqy9730,5.0,,63.0,U,United States of America,ghsjtmuerdjwfzlwem,sppqrmrgbpwcxeggocfapjnblexmchibhidqmaotxphztdbusdkxnvgmrmasbfsjivrdnhkbxqbx,Saint John,1-640-831-4740,WA,,4.0,668.0,,322195.0,1.0,KBR,1615971.0
Qcf9731,0.0,R,38.0,,United States of America,Jtmjipthkcmtwkoe,VWQBZGZLGVQOYQXQJOG,Lansing,1-265-245-5768,PA,,4.0,810.0,Owxcpx,410099.0,1.0,Entergy,256039.0
GDA9732,0.0,O,3.0,W,United States of America,clzlsujzhgbqbmss,uerytmwyhdlcjoa,Greensboro,1-913-446-2689,IN,,0.0,581.0,euntgoolsea,66652.0,5.0,Oceaneering International,3250398.0
DKK9733,5.0,O,41.0,D,United States of America,Rwdpgb,,New York,1-551-223-2543,IA,w,0.0,693.0,hidzwufhjtc,440258.0,1.0,Del Monte Foods,3280363.0
KHE9734,2.0,O,73.0,M,United States of America,LTNJGRIABCUBIWLXXRLYMT,CSRJHTXEQWXAQABIPMOMROATAOBMQYLYTNJBTKIFGOEYNKS,Grand Rapids,1-894-465-5565,NJ,g,7.0,531.0,BOFOY,167562.0,5.0,Western Digital,2841008.0
Zbn9735,5.0,R,48.0,S,Canada,AJFNSIBUTL,Ckghskfopulpcrfqofrksdnhlrpjnggbousbrschfjxmhhepmqvdaxzpkhedyootgpedeiiy,St. Louis,1-117-340-4152,Manitoba,q,6.0,611.0,msubwo,498721.0,1.0,Icahn Enterprises,3582446.0
Loq9736,5.0,,91.0,W,United States of America,Krzczgd,AFMZUQDZJJTOXVTDWGFPLKCZH,Buffalo,1-713-198-0317,GA,b,,827.0,CESMAGJGDNN,437438.0,5.0,Casey's General Stores,1390504.0
Jls9737,0.0,O,,M,United States of America,Ajvnxxdpvsenvtaivxqptfotiwby,syxgeuuawx,Scottsdale,1-324-690-0496,NY,q,3.0,740.0,HKFBKYYYJF,,4.0,Owens & Minor,3629595.0
wtg9738,5.0,R,98.0,W,Canada,Fznvsqtncdceenrq,PBKDTAWIONIRXVBLVQXLBQCNJXTCDUFCXVQNZSYQU,Chandler,1-019-035-8513,MD,p,8.0,614.0,,271547.0,4.0,Amgen,227315.0
xfn9739,4.0,O,53.0,W,United States of America,pplvkhtumihxjuo,VVOCFBBNGUDYYGFHCNJQFRUAGCCDPFWLVSSQZPAIWLGW,Newark,1-159-720-7051,MA,q,4.0,526.0,Tuyvbikyv,122003.0,4.0,MSC Industrial Direct,3498913.0
Yho9740,2.0,U,90.0,M,United States of America,Ppqtqqax,Apoxiqtzyyqyxsychhjgpmtdnvvigfhoctdsheojiuguxlmmsckvqyhhrigegohsxnievxi,Coral Springs,1-376-345-5653,Manitoba,,2.0,840.0,Xtkeyycouu,394116.0,,Werner Enterprises,2723921.0
ioc9741,3.0,,9.0,M,United States of America,Eqlohthzrfpmiwjyunxikuqtiwexg,Jnklwwvogdyrkmljjvpxylemomtmgsshxorixeo,Boston,1-195-028-2007,Manitoba,p,4.0,,VELBKG,143799.0,4.0,Waste Management,1439744.0
Vux9742,3.0,O,37.0,S,United States of America,guqhigtnglfmobu,Sfiqjzcuncwiwz,Palmdale,1-308-365-4420,MS,,9.0,361.0,ZFTDLLZK,312994.0,0.0,Air Products & Chemicals,2721559.0
LGH9743,5.0,O,42.0,M,Canada,Pkqughbahdkwosmvzik,Bcujvfbfhgxuoaqocdqumhjgnhbutqebczjtprsbbfovhurwe,Yonkers,,NM,,1.0,580.0,amvqixmmqcbe,354207.0,1.0,Constellation Brands,3509245.0
grs9744,0.0,,99.0,M,Canada,Nzmggzclyfhugalhdumlcshwdhk,lxcttwtjccklpbatglkhoqfnbbzfdyrnwkzizqbyrjlpvpxscaxvcfunbiga,Allentown,1-795-145-9991,FL,,0.0,547.0,HPHFKGMTIRLJ,243914.0,2.0,O'Reilly Automotive,2852522.0
MBL9745,5.0,U,48.0,,Canada,Muxso,VCWUEPMXM,Richmond,,New Brunswick,f,1.0,523.0,Zqddnejz,187633.0,5.0,SunTrust Banks,2391361.0
IFB9746,1.0,R,36.0,D,Canada,Jnanbfemqdlngfdgtqzfrir,UYUMAXMJFQJWJRHFFXAMXYIEWTLSNWRSDOEJWGPCFVAREJFBZIQWGUYQWOOPBQMNHEUMZNQU,Waterbury,1-499-752-2335,NC,O,2.0,570.0,Fhcceiam,457959.0,3.0,Motorola,3806448.0
Sru9747,5.0,O,,U,United States of America,YVUZGSDBLCQMMGUCXSJYWUXMAOICMK,vwqewconorbilvfxcxgyzogqpgobswallxgadijajtfvtrswaplhcnkcmedabisgjfhuqaajg,Santa Clara,1-971-778-0152,MO,S,10.0,729.0,hllhvyxxqs,279576.0,2.0,Cigna,2348293.0
Esq9748,1.0,O,8.0,U,United States of America,Sxetblyk,fbfbjafdqopuhcemhpuieauuymilqbcnivdqthobubgaxacuuynuplevhfsublquwgstagl,Newark,1-327-221-7261,CO,h,6.0,453.0,mejao,76307.0,5.0,BorgWarner,2794519.0
Jbk9749,3.0,O,69.0,M,United States of America,Kfbfowotjlwo,Yalsboqntimqpf,Costa Mesa,1-266-735-1050,IA,h,10.0,501.0,Hxmxijoio,150356.0,0.0,Pep Boys,3981941.0
dri9750,5.0,R,7.0,U,,ssrbwwffqqliqbdhsicmxphh,RUADEMNXRPFIDUXCGGFKXIOQNUNOCYUHLZI,Hampton,1-235-910-5247,ID,X,2.0,737.0,mhorjsbu,281781.0,5.0,Duane Reade Holdings,2484656.0
CLQ9751,4.0,U,22.0,U,United States of America,ZKMBJNXFPMVPAQXWUWCZV,Ptsievhrqbvsafhifexxngjeykmfkeeffwrbjsojdm,Fairbanks,1-222-954-3222,AL,V,7.0,663.0,hlhnweechud,480928.0,2.0,Metals USA Holdings,829464.0
Wde9752,0.0,,57.0,M,United States of America,lznkwntxerwamaajtniomnwgsjfbhl,LIBVPSLNYU,Miami,1-367-453-5459,HI,,5.0,455.0,Uqpduix,47477.0,0.0,Avon Products,2766748.0
Fus9753,1.0,O,96.0,U,Canada,EADMDJ,Hpgxazmluaedxglpozjwxbbwhfuscnbp,Victoria,1-440-119-4367,Prince Edward Island,V,8.0,716.0,NUARREEWKAWE,,4.0,Markel,3851436.0
AWZ9754,,O,5.0,M,United States of America,Opjbcjxfxuskolcpfdklhvbpauk,wdfetrsarawqcpvhkuiufudzbrkpyrjzoezhahfatblyoasnwvry,Charleston,1-017-402-7313,AL,,9.0,394.0,jdsmdchabpp,202337.0,5.0,BE Aerospace,
EIW9755,4.0,O,10.0,S,United States of America,Egbohdxj,Wizdlrzgeioftkybeqiitnpeuxvcqpjtjlsztjciowwenrkrweizer,Tampa,1-634-288-6589,SD,,7.0,624.0,Zlfcmcxx,259743.0,3.0,Burlington Northern Santa Fe,3438394.0
bom9756,5.0,R,19.0,S,Canada,KUWKXBDYGMLNEMIGHVGBXDG,NAMUIQGTTCVAAFPKHYPMGGM,Lexington,1-815-478-3247,MD,W,4.0,822.0,Yxagydaxtzqc,473020.0,2.0,Sauer-Danfoss,1952019.0
WPO9757,2.0,R,95.0,S,United States of America,dgnompdthfzadyhxfmldgzbmnkxgm,Xbmgxfpgyoafgsyskvtmriseivpcyrfvxbzxliftjxqqzcmdsgynugbrlvpogxauywh,Sherbrooke,1-430-006-1717,HI,,,742.0,rxzlmus,350535.0,0.0,BorgWarner,1002370.0
Ewe9758,1.0,O,95.0,M,United States of America,Tkytppdfdunrpkrdeffvuecx,ATQKGWURYGUBRMSJRBEIXWXE,San Bernardino,1-408-553-9606,Ontario,Y,7.0,744.0,Gfrwjymrkxwk,495731.0,0.0,,401126.0
Gdp9759,3.0,O,17.0,U,United States of America,Ftcyvmu,GXQDLJHRHTWGAGHWRCPINCGBUAMOAROVDGCMAHDOZT,St. Paul,1-512-806-6987,HI,,0.0,804.0,,266068.0,5.0,CarMax,738712.0
pkg9760,5.0,O,2.0,D,United States of America,czjoztkmdfxwkyd,STCNUZOYJ,Laredo,1-127-705-4220,TN,,3.0,740.0,wvnqecos,13742.0,1.0,Realogy,368588.0
Ppp9761,0.0,O,50.0,U,Canada,Kjgwnnhsehqrvsiclwvwpacfjvfe,ylxxwyvligvpspcnnlmprmsp,Montpelier,1-597-278-9123,MS,T,5.0,643.0,Eruugkuho,158464.0,4.0,Domtar,2868652.0
HTN9762,5.0,O,3.0,S,Canada,Efqlfsphlpxdrxidilgkidtlwlspg,udsnealvnngrfqnfgtyxoygglfmeywibke,Warren,1-310-889-2244,RI,,1.0,537.0,Nwizaccf,217501.0,5.0,Expeditors International,3706122.0
Jmb9763,3.0,O,35.0,M,,WAYLTHPURYPOGHLNBAYVDUJ,kkwelvlvfuihlimdpmacmpxshgygvisfgiquauiebjedxefhkmlnfea,Columbia,1-176-469-4736,UT,V,6.0,838.0,Bnhdflxl,360528.0,5.0,Reliance Steel & Aluminum,
BYA9764,3.0,O,29.0,M,United States of America,Wscyllvnbowqr,Rrtewwnduecmflxdjtqasxmrmhsjaqq,Plano,1-126-977-4741,WV,,0.0,673.0,FFDURDBPD,249634.0,0.0,Archer Daniels Midland,126280.0
Lfg9765,3.0,O,70.0,U,United States of America,Lactuq,Ijjpvqrgaewdvtmkhrbtmjeptkxvtbwymlk,Erie,1-640-749-7987,NC,J,9.0,673.0,Bokapztwaos,19012.0,4.0,Snap-On,3391430.0
aui9766,1.0,O,10.0,S,,Ojrishnnz,Qhuophszcwamtfuxbpwvnqnyfixrnanjofagizrwzsbizdzzbttfonadledsyofluqacgrww,Eugene,1-128-600-4335,CT,,3.0,690.0,Nmgooht,260411.0,0.0,Rowan Cos.,3857035.0
Tse9767,0.0,O,,S,Canada,Ldolidetvrnnzguynkqcdrjioo,Pgsocilotmypftqdis,Yonkers,1-391-125-3176,AZ,,6.0,313.0,,428633.0,0.0,Jones Lang LaSalle,998642.0
Qqj9768,1.0,O,63.0,M,Canada,CJOTPKTDJPMAOQLMQNAA,Nwdfaclbgqdshcqbbnkvavzsuywhweqjjwxckacvsmpomilnw,Provo,1-489-334-9152,MA,w,0.0,561.0,Chlxbkxdljbd,485730.0,0.0,Valassis Communications,356647.0
pwv9769,3.0,O,80.0,M,United States of America,BNXOWHHQLBADSKKRIWQN,Tsulnmvkayf,Dallas,1-527-060-6688,OK,v,6.0,678.0,Avsxqx,376278.0,1.0,Superior Energy Services,
Rvb9770,5.0,,,S,United States of America,Vdftmbecnrmrtnussseslkjhmpzw,,St. Petersburg,1-842-863-3693,WI,,1.0,391.0,,483333.0,0.0,Bank of America Corp.,1736087.0
WIC9771,2.0,R,68.0,M,United States of America,Bndsaihcj,oouyaaqjrtfhrefirlthtwlvyxlfakhiitn,Madison,1-631-365-2065,NY,D,8.0,556.0,WKEHUBS,240007.0,0.0,Penske Automotive Group,2551540.0
Zje9772,2.0,R,69.0,D,United States of America,etnijqehpykn,joqiawipoyerydkdnhvvqkslogxvyi,Grand Rapids,1-783-817-4776,ND,u,1.0,730.0,CUVUBMBYQ,334773.0,4.0,Colgate-Palmolive,861964.0
Jba9773,5.0,U,98.0,M,United States of America,BCKMOSHP,Xoxyjjbjh,Jackson,1-775-482-3616,Ontario,Q,2.0,718.0,ymblxrjie,270739.0,0.0,Stryker,
Dsg9774,5.0,R,36.0,U,United States of America,Xgrkfvcy,vcouhbpwcauqcutgehempojtehnbnaxedcjorufbqxktvbdwh,West Valley,1-188-214-9956,SD,,5.0,575.0,ivbiiosl,415362.0,1.0,Service Corp. International,2891160.0
VCH9775,1.0,R,82.0,U,United States of America,Gobtbtgnzoctabef,edkgxsdekwsdeameqfedsynmoadwrz,Philadelphia,1-689-730-8281,WY,,5.0,720.0,Ctxmyswo,440482.0,0.0,Service Corp. International,520676.0
udj9776,3.0,O,92.0,M,United States of America,Gbjistzh,Lgqsmpohsymcctuncvdoekdjsfsjsionpiijnjftzxuyyannddfcoqvxmdu,Omaha,1-185-666-4477,OH,d,5.0,320.0,Csqpoi,414410.0,5.0,Occidental Petroleum,910547.0
lhr9777,5.0,U,27.0,,United States of America,Inhwqohdlzpo,rzdpywzqvsaipyguybafvhkmoandovki,Columbus,1-400-323-3151,VA,o,0.0,403.0,Lwdxyahnou,493647.0,4.0,Belden,178958.0
Eed9778,4.0,O,43.0,W,United States of America,Gxigtulvvyeroi,GDPQEJCXPOBBRLEADQPIYUGWIQTIQCVTSYVUCAHGRUESUDWXTDCRMHBMHTFLJKSKKUNMTCWHMH,Elizabeth,1-527-194-1440,NV,C,0.0,,Gtdqmrvrodr,339925.0,4.0,Cisco Systems,179723.0
Rjy9779,2.0,O,31.0,M,Canada,Zkqadgkavtigwfzhdbgtqeo,Srfiofinkomfjuokrbufnzrsfzbbvkw,Amarillo,1-592-334-0332,HI,F,7.0,521.0,tuynu,435223.0,3.0,Regions Financial,560038.0
Otz9780,0.0,O,84.0,S,United States of America,yexkhok,Qavomoxdprzsbodhohxcwofcrioohzivqmvpmekokmojjlsxevzkdvpy,Waco,1-192-355-9148,Prince Edward Island,V,10.0,493.0,NJJQDTIWHH,35941.0,,Seaboard,48989.0
xnq9781,0.0,U,78.0,M,United States of America,Aiswdrncyaqocfgpq,Waqacknjvbcwcynhzewbntttvq,Atlanta,1-424-574-5497,FL,z,9.0,650.0,OIQMRFAOB,435372.0,5.0,Sovereign Bancorp,3631565.0
efd9782,3.0,R,98.0,U,United States of America,FNFRPL,INKKDFCJXPICWPXHIYNMZ,Orlando,,CA,g,6.0,601.0,YZTZMEZTX,38603.0,0.0,Staples,20964.0
KFQ9783,1.0,O,0.0,S,United States of America,RZBBHJESJOVCBEVVMAKYUX,Romcwtnhobcly,Edmonton,1-847-549-4326,Prince Edward Island,,0.0,466.0,anicaidxqhl,367985.0,3.0,Sigma-Aldrich,3152680.0
BTV9784,5.0,U,23.0,M,United States of America,NJLXD,Kjraggvvhttkqghslryvpqhciodupxmusfiriaxnfmyabhadsowvxzimhamumyn,Escondido,1-116-368-3368,AR,K,0.0,619.0,nijgnbgdt,294515.0,1.0,Xcel Energy,3058045.0
Tae9785,5.0,U,35.0,D,United States of America,Zsvcumpqorfedfys,TGUDDZIXRB,Washington,1-697-596-2552,SC,,,326.0,dkceajmashi,,3.0,Int. Business Machines,3995842.0
Gci9786,,O,23.0,D,United States of America,TCVUTVPIWPFAE,WTYTRKMFBVPLFQ,Ontario,1-303-723-5831,New Brunswick,,6.0,380.0,acmacflq,407401.0,5.0,Metals USA Holdings,1814013.0
Xcd9787,,O,50.0,M,Canada,nhpbxqrdubvkn,Brxddsclfttmtsmpzszdsdsblfmhvonconsvarbweggcytwvky,Santa Clarita,1-807-845-1621,NY,N,8.0,699.0,wefnezad,136863.0,3.0,ProLogis,2746916.0
Wrb9788,5.0,U,56.0,,United States of America,tancatsgpm,EZPQFPMAKDFHRWZ,Shreveport,1-532-915-4568,NM,,8.0,300.0,,140613.0,5.0,Insight Enterprises,3673503.0
dqt9789,3.0,O,71.0,S,United States of America,hoxucizkdxortuoaykhgea,xkcbrlambeehrgkfuoxfutnmuaxdxupnfrvwpmmkwkbkvcduzvb,Hialeah,1-840-477-1190,GA,l,9.0,705.0,Dpfnty,101326.0,2.0,Henry Schein,2439162.0
Lkf9790,4.0,O,48.0,U,Canada,ghmzuiadzojurradfrjvnfyezcm,Aatumismfvuennuuaqvbmzpwhfkjumeebwkpuafdvhvhmh,Hollywood,1-876-538-1436,AK,,5.0,602.0,zywpjmcqdtte,205725.0,0.0,Wynn Resorts,2739411.0
Jca9791,5.0,R,63.0,W,Canada,YFCUPMLIPIIFUCHHTOHFYUMU,EGHDHVIQRARNTLOSMCKXMADPNUEUKNDUWQUITFE,Warren,1-434-897-1689,MA,l,7.0,542.0,Nanqg,308540.0,5.0,Western Refining,1610254.0
Cyo9792,1.0,O,55.0,,United States of America,Tjdikoadlzyzkoklgypapsgpkdd,VDXUMKCOIQOGCMBUUATJJXUVJFQANHIGKXNBDGBYKUBJ,Austin,1-229-228-4105,TN,,7.0,608.0,,321517.0,,,
Fbo9793,0.0,O,99.0,S,United States of America,aiztjpznpjfmu,RDSRYEKCWP,Ontario,1-712-455-7425,ID,,6.0,,Uspump,,,Synnex,3521205.0
RWL9794,1.0,U,7.0,M,Canada,Glypzcpvgxfbrzybmbpr,Potjafvmncnslujiswlcqgxggnjshwllxmwowrxhpafipjtqaetcgnwbsbjxcdxtusuenejrtw,Bellevue,1-321-095-8066,NH,g,3.0,647.0,AAIAQQEJ,23536.0,0.0,Monsanto,2425580.0
Ymj9795,5.0,O,36.0,D,Canada,Dkqqxhtuafgfxoetbygxjhpu,LRBXLZJWYBWFAXCITPCDLQKLEDHLJWRXTWDGYZIRJN,Orlando,1-452-393-4430,Newfoundland,Y,0.0,,dwpmlztks,444451.0,2.0,Weis Markets,
kqr9796,0.0,O,99.0,S,United States of America,Nhzumynidyccsihmsguiqbc,Rvgdxfvxlcpjeyajokzffejmi,Salem,1-038-099-3417,OR,,0.0,798.0,UQVRZGZQH,250390.0,5.0,Beckman Coulter,1353495.0
Anu9797,0.0,O,43.0,M,Canada,LYIYRU,Krtufggjdaordprmvqhpbosgmdmwczcztbgzffrdjgubjskrgaodgkemfkpsax,Fort Smith,1-284-920-3901,RI,,1.0,332.0,FHTKTLERXT,167063.0,5.0,Pentair,443045.0
Odk9798,,U,85.0,M,United States of America,Lreqaivcqdrawvffzwdec,KTQEMACPLLQISGSSAI,Ottawa,1-542-243-3222,Ontario,,3.0,392.0,FZCXE,94636.0,0.0,Western Union,2597213.0
Sng9799,0.0,,28.0,M,United States of America,Yauotgusqlcjpilqsoph,Mervixzxlfwjwfavsbzksmburry,Rochester,1-229-158-8024,Saskatchewan,o,6.0,565.0,Nibnnr,91842.0,,Office Depot,3176155.0
ryj9800,5.0,O,86.0,S,United States of America,Wegwshbzdubcugqhac,Iwpbruildwguhzfyclsqbdgdezzsxrsmqdbtxsjjlmvdatbisxqsepiegnlok,Rapid City,1-075-206-4337,IN,N,5.0,732.0,Aptjpvosoe,442243.0,2.0,Brightpoint,3265617.0
gle9801,2.0,O,32.0,D,United States of America,Intgaluuihdohkjelwwwabh,ZOWVAJPOSLXPYBDKLWLNHRVJSQAJETSCH,Seattle,1-724-404-2730,AZ,,5.0,369.0,KSCYCESK,277520.0,0.0,GameStop,2387472.0
BCG9802,4.0,O,28.0,W,United States of America,zelijplqqfmwk,Mbgmoqyztlfzqzqsgpxaxzcvloj,Allentown,1-389-179-0350,AR,,5.0,483.0,Srllf,,1.0,Nacco Industries,846372.0
WXO9803,4.0,U,,W,United States of America,NFLUYAGEWTDJSJIRTRVOZOADGWGKVU,rvkbfpam,Eugene,1-536-802-1200,KY,,2.0,661.0,Dnuryfeirof,151886.0,4.0,,2862895.0
Ijq9804,4.0,O,83.0,S,United States of America,Sbjva,Aantblnicdpirvtzqkyrykfxnevfr,San Bernardino,1-591-775-1309,OH,,6.0,438.0,,175605.0,5.0,Graphic Packaging Holding,1652410.0
fdd9805,5.0,R,,S,United States of America,Kunqlddvufsg,nzgpmqxyuckysrtigpqakwqczvniiieshi,Denver,1-199-805-6277,NH,,8.0,813.0,Rjoxn,37684.0,4.0,Terra Industries,2406642.0
Aro9806,3.0,O,71.0,S,United States of America,LKPEFFPZQGYOEVC,RQSTTQIYGATFJPDAEIDARGUYN,Sunnyvale,1-134-178-7893,OH,w,5.0,511.0,PTEZIOYKNGBQ,71197.0,3.0,DISH Network,435495.0
uso9807,2.0,O,32.0,U,United States of America,BDIDFDPPLKDZKSQSIDHLO,jencxuxjgflvth,Charlottetown,1-476-772-9719,LA,,8.0,474.0,Xgpiffwdr,157122.0,,,1537756.0
Bhj9808,2.0,R,,M,United States of America,ivtcvmqobnmbmkthc,Srffxwjdxmvybnsbisgfbkmbdlkduswxeqxhovvpqupcugaeiapjwmjbhuydtxglh,Costa Mesa,1-526-786-0424,GA,v,4.0,506.0,alrwz,444816.0,1.0,Sanmina-SCI,2722282.0
