gncd,pstlcd,mddlntl,gndr,wnrrntflg,ncm,cntr,ddrssln2,ddrssln1,stt,mrtlstts,ct,phn,nmbrcrdtcrds,lstnm,g,crdtrtng,mplr,ntwrth
MUT1847,35892,K,f,O,388725.0,United States of America,,17273 GREENE COURT,MD,S,Springfield,1-537-401-0238,3.0,MUTHUSWAMY,62.0,688.0,Harrah's Entertainment,2818705.0
tru1848,X1G 1S7,Z,,O,372213.0,United States of America,,20031 crumley south,VT,S,Orlando,1-009-776-5456,2.0,truesdale,22.0,576.0,,3348276.0
Kee1849,55117,U,,O,54433.0,United States of America,APT. 254,13068 lakeview crescent,ID,M,Lansing,1-400-321-8985,8.0,Keef,14.0,765.0,Nucor,390507.0
Sib1850,80145,,m,R,221429.0,United States of America,,2833 saratoga lower,NJ,S,Raleigh,1-660-729-9318,4.0,Sibincic,,,C.H. Robinson Worldwide,2687759.0
Rod1851,h2d 1w5,H,f,R,499137.0,United States of America,,2846 ROSEMONT EAST,CO,S,Casper,1-699-935-3017,1.0,Roddy,40.0,346.0,Airtran Holdings,2845075.0
Hol1852,30335,F,f,O,110966.0,United States of America,,1427 addax lane,ND,S,Louisville,1-613-546-7635,3.0,Holton,27.0,430.0,,3310264.0
pot1853,V6o 1s1,,,,464920.0,United States of America,,19827 cherry ridge way,CA,M,Tallahassee,1-855-775-0545,7.0,potts,64.0,481.0,United Rentals,766546.0
Rag1854,94427,,M,U,182553.0,United States of America,,9749 overton ridge boulevard,Alberta,M,Stamford,1-525-684-5781,8.0,Raghunath,26.0,566.0,Boise Cascade Holdings,2204931.0
ume1855,94448,O,,O,304022.0,United States of America,suite 130,11146 penmarc street,Ontario,M,Springfield,1-612-577-9612,6.0,umeh,53.0,761.0,Cinemark Holdings,1612371.0
Jcs1856,H2F 1V3,,,O,71693.0,United States of America,,10789 winifred lane,UT,M,Rochester,,0.0,Jcst,37.0,532.0,Nasdaq OMX Group,550443.0
Spo1857,V6U 1R6,V,,R,127163.0,United States of America,,11450 WYCLIFFE SOUTH,MS,M,Burlington,1-049-590-8554,,Spohn,70.0,727.0,Mirant,309862.0
Whi1858,21206,,,O,85614.0,United States of America,,10256 BROWNWAY NORTH,HI,,Sunnyvale,1-112-858-9594,5.0,Whitwell,11.0,706.0,E*Trade Financial,539112.0
nic1859,m7n 1b3,N,F,,,United States of America,,13619 WITHERS UPPER,LA,S,Santa Ana,1-193-996-3384,5.0,nicholas,81.0,781.0,"Toys ""R"" Us",3422169.0
Gob1860,93314,,,O,172591.0,United States of America,suite 209,5620 ROYALTON AVENUE,CT,M,Evansville,1-905-512-3236,4.0,Gobeil,12.0,,SLM,1215514.0
Mac1861,55174,V,,O,171376.0,United States of America,,11503 stratton west,UT,M,Salinas,1-913-052-2172,0.0,Mackey,32.0,777.0,Omnicare,2580056.0
SYL1862,20017,,F,O,321338.0,United States of America,,4757 landmark road,MD,D,Tampa,1-394-734-5791,0.0,SYLVIE,6.0,587.0,Navistar International,1213893.0
das1863,89135,,,O,398897.0,United States of America,,21096 TANBARK PARK,British Columbia,W,Gary,,0.0,dassani,72.0,,Insight Enterprises,1869894.0
Eis1864,92801,K,,O,40064.0,United States of America,,11414 JAY STREET,CA,D,Corona,1-413-604-3746,3.0,Eisler,,630.0,Expeditors International,3692597.0
vir1865,03110,,,O,,United States of America,,3185 royalton lower,NE,U,Detroit,1-425-493-8607,0.0,virgoe,18.0,466.0,Jones Financial,1559663.0
MCF1866,V6F 1V4,,,R,63890.0,United States of America,,15121 reagan court,ME,U,Corpus Christi,1-985-599-3440,7.0,MCFARLAND,39.0,635.0,Massey Energy,1369175.0
SEA1867,07307,,m,O,280094.0,United States of America,,1243 salado road,NC,M,Tacoma,1-650-980-5910,0.0,SEARL,41.0,652.0,Kohl's,2111124.0
rah1868,53717,,,U,290837.0,United States of America,Apt. 758,9659 sakowitz west,ME,U,Erie,1-463-428-6155,7.0,rahman,4.0,386.0,AptarGroup,1474462.0
lei1869,74158,C,f,R,32286.0,United States of America,,10079 palm lane,Manitoba,M,Hampton,1-332-026-7039,6.0,leitrick,,800.0,Metals USA Holdings,1643864.0
Tri1870,93754,,f,O,207088.0,United States of America,,13456 stan hope upper,MN,U,Winnipeg,1-499-446-8723,0.0,Trivedi,1.0,670.0,Kraft Foods,3324951.0
Mis1871,66105,,,,119235.0,United States of America,,4842 LEON BOULEVARD,DE,M,Sandy,1-408-624-7279,7.0,Mishina,27.0,700.0,Alliance Data Systems,3981142.0
mar1872,77160,,M,O,274051.0,Canada,,19743 stockton way,DE,U,Houston,1-568-216-9463,6.0,marum,19.0,571.0,,2108215.0
gle1873,45216,P,,R,415585.0,Canada,,24256 GREENHILL BOULEVARD,OR,S,Newport News,1-046-306-7107,10.0,glemboski,86.0,835.0,Celgene,3509949.0
bar1874,23261,,m,R,176653.0,United States of America,suite 97,14569 voss north,IA,S,Mount Pearl,1-929-648-9392,6.0,barr,62.0,692.0,USG,1495631.0
Kel1875,H2d 1v9,,f,O,368766.0,United States of America,Apt. 716,24123 LAMPORT LOWER,Saskatchewan,M,Seattle,1-253-271-3001,6.0,Kellogg,11.0,488.0,Conseco,3845295.0
new1876,t5a 1s7,,f,O,455031.0,United States of America,,14558 kempner lane,OH,,Honolulu,1-540-948-2988,,newhook,,411.0,Community Health Systems,509951.0
Bor1877,85752,,,O,464987.0,United States of America,apt. 159,11671 wathan north,IA,S,Santa Ana,1-137-669-0376,1.0,Borsa,1.0,,DISH Network,
Fri1878,V6r 1r9,,F,U,77108.0,United States of America,,12756 weyland south,MN,M,Cedar Rapids,,,Fricker,2.0,764.0,Procter & Gamble,
THA1879,47737,,F,R,498134.0,United States of America,,23201 seip road,NE,,Simi Valley,1-231-146-9429,0.0,THAMES,15.0,675.0,AbitibiBowater,2798554.0
San1880,V6v 1v1,,,O,127769.0,United States of America,,17343 darlington avenue,VT,S,Atlanta,1-022-348-9665,2.0,Sandison,23.0,,Dominion Resources,2788608.0
Hug1881,92153,,m,R,87256.0,United States of America,,8728 selma north,LA,M,Riverside,1-583-657-4202,5.0,Hughes,43.0,719.0,NV Energy,733800.0
Hic1882,53756,,M,O,300839.0,United States of America,,23181 cantey court,WV,S,Milwaukee,1-968-155-5632,10.0,Hickey,10.0,,,212488.0
Der1883,V6V 1W8,,,O,492873.0,Canada,,18951 camden court,Quebec,M,Eugene,1-580-956-2715,3.0,Deraaf,85.0,587.0,Watson Pharmaceuticals,1367618.0
sou1884,T5a 1x3,,M,O,497274.0,United States of America,,4953 WILLIAMS BOULEVARD,LA,U,Thousand Oaks,1-002-202-2759,7.0,sousa,45.0,,Sun Microsystems,1152109.0
Bri1885,33149,,F,R,492890.0,United States of America,Apt. 703,21944 richardson upper,IA,M,Santa Rosa,1-234-455-9427,0.0,Brichetto,87.0,819.0,Lam Research,
eis1886,H7H 1U7,,m,O,357036.0,United States of America,,14210 charlotte way,GA,U,Arlington,1-700-474-9815,4.0,eisenach,34.0,529.0,NiSource,661081.0
bil1887,10266,,f,U,312978.0,United States of America,,11414 JAY STREET,SC,S,Vallejo,1-648-214-4241,2.0,bilsborough,28.0,344.0,Ameriprise Financial,1523576.0
Bri1888,t5d 1o9,G,m,R,348497.0,United States of America,,863 GARNER AVENUE,NE,S,Raleigh,1-389-543-7460,0.0,Briel,67.0,,Avis Budget Group,750105.0
Van1889,M4K 1O2,,,O,489382.0,United States of America,,18065 FOUR POINTS DRIVE,Quebec,,Fort Wayne,1-097-094-2987,9.0,Van hoy,44.0,597.0,Eaton,3548934.0
Jar1890,H2D 1V1,,,O,420495.0,United States of America,,9711 pharr avenue,VT,D,Ann Arbor,1-342-555-4679,2.0,Jarchow,63.0,517.0,CACI International,831484.0
CAR1891,H2D 1Z2,W,,O,277612.0,United States of America,,5755 bluff road,Nova Scotia,M,Albuquerque,1-551-586-7369,1.0,CARLE,82.0,815.0,CUNA Mutual Group,1660829.0
FRI1892,10099,,,O,444360.0,Canada,,15256 NEILSON AVENUE,VA,M,Portland,1-364-697-9792,10.0,FRICKS,12.0,577.0,Merrill Lynch,1973501.0
MOR1893,92031,,M,U,452874.0,United States of America,Apt. 286,15866 archer boulevard,PA,S,Amarillo,1-851-718-2640,1.0,MOROZ,85.0,342.0,Cummins,1874107.0
RUN1894,H2D 1U5,F,,O,42180.0,United States of America,,7557 park stream street,HI,W,Great Falls,1-970-197-1062,,RUNDLE,6.0,751.0,AutoNation,1355982.0
SHI1895,28242,M,F,,16312.0,United States of America,,298 CEDAR CRESCENT,CA,M,Vallejo,1-788-993-2148,4.0,SHIELL,,656.0,Unum Group,1424068.0
Ema1896,V6b 1p2,,M,R,278991.0,United States of America,,245 CONGRESS COURT,Nova Scotia,U,Stockton,1-614-186-9938,10.0,Emami,81.0,434.0,AptarGroup,2505978.0
Bar1897,H2f 1x1,,,,238951.0,United States of America,,3217 CRESTMONT AVENUE,SD,W,Tempe,1-541-847-2551,2.0,Barel,96.0,537.0,State Farm Insurance Cos.,770494.0
bal1898,80078,,,R,159998.0,United States of America,,6359 SANDPOINT STREET,Saskatchewan,M,Montpelier,1-934-200-1121,2.0,balogh,,833.0,Atmos Energy,2349216.0
dem1899,V6V 1W3,,m,O,56344.0,Canada,,20000 forest crescent,MD,S,Regina,1-861-784-9645,6.0,dempster,100.0,580.0,General Motors,414115.0
Pip1900,V6i 1w2,X,M,O,442409.0,Canada,,18710 queen lower,Alberta,U,Fullerton,1-981-298-0629,5.0,Pippy,93.0,500.0,Rite Aid,1619683.0
CHA1901,E7O 1O7,Z,,O,453340.0,United States of America,,20655 lendon avenue,OK,D,Dayton,1-173-834-1507,7.0,CHARCHANKO,24.0,575.0,Prudential Financial,634477.0
Lup1902,99592,,,O,476343.0,United States of America,apt. 392,20641 northland crescent,NC,D,Durham,1-124-907-0166,3.0,Lupatin,70.0,535.0,,775265.0
Bur1903,94550,T,,O,84071.0,Canada,,10803 DAY WAY,SD,U,Cedar Rapids,1-249-910-3550,8.0,Burrus,39.0,786.0,Southern Union,1958385.0
tol1904,36130,,F,O,111908.0,United States of America,,24675 seneca road,PA,S,Winston-Salem,1-423-145-8213,1.0,tolson,13.0,318.0,,3044067.0
Dir1905,v6e 1w5,,,R,276511.0,United States of America,,13653 collier avenue,Nova Scotia,M,Vancouver,1-317-810-8784,9.0,Dirienzo,69.0,616.0,Intuit,1919783.0
MAL1906,14616,,M,O,427771.0,Canada,,5049 BRANDYWYNE WEST,AK,,Shreveport,1-974-283-2412,3.0,MALAM,40.0,631.0,Autodesk,547286.0
Sal1907,10037,R,,O,332036.0,United States of America,,23152 notingham north,NC,U,Charleston,1-990-914-9609,0.0,Salemi,97.0,778.0,BB&T Corp.,629201.0
llo1908,80158,,,O,484209.0,United States of America,,2923 navarro lower,NV,W,Kitchener,1-122-431-9180,8.0,lloyd,84.0,340.0,,3899231.0
Swa1909,V6F 1V6,M,,O,6459.0,United States of America,,9479 oliver lower,ME,D,Simi Valley,1-530-264-0711,4.0,Swazey,62.0,330.0,Reliant Energy,3794142.0
Iko1910,93813,I,,O,108574.0,Canada,,20166 PRESIDO PARK,MT,S,Nashville,1-216-099-3048,6.0,Ikotin,78.0,830.0,Bank of New York Mellon Corp.,2757498.0
Sch1911,89148,,m,,117797.0,United States of America,Apt. 345,23086 pacific west,MT,U,Philadelphia,1-091-529-0365,6.0,Scherer,12.0,685.0,Oshkosh,191628.0
Pau1912,13221,M,,O,499499.0,Canada,,9733 BERRY SOUTH,GA,D,Baton Rouge,1-718-362-2865,0.0,Pauli,35.0,,Aleris International,1007328.0
Ver1913,93804,,,O,417841.0,United States of America,,739 dunbar way,NJ,U,Macon,1-029-083-7846,5.0,Vertolli,42.0,701.0,,
AKH1914,93682,,,O,188532.0,United States of America,,6488 AVALON NORTH,MA,W,Torrance,1-402-716-3406,9.0,AKHAVAN,65.0,765.0,Burlington Northern Santa Fe,312515.0
Alf1915,46245,,,O,141360.0,United States of America,,18182 woolridge lower,HI,D,Hayward,1-319-313-3854,4.0,Alfaro,58.0,443.0,R.R. Donnelley & Sons,447775.0
Dan1916,V6h 1u7,,,O,431809.0,United States of America,,10302 basswood south,VT,M,San Buenaventura,1-342-311-0648,4.0,Dando,75.0,635.0,Inergy Holdings,1078707.0
Baz1917,93356,A,,O,103473.0,United States of America,,1679 cartlett south,MT,U,Austin,1-588-477-5657,2.0,Baziuk,33.0,334.0,Integrys Energy Group,3729963.0
Ben1918,93803,,f,U,425972.0,United States of America,,19993 langdon upper,IA,M,Norfolk,1-688-048-3535,2.0,Benzie,26.0,,Viacom,685506.0
Cot1919,77261,P,M,O,39392.0,United States of America,,21820 pampas lower,NC,U,Dayton,1-822-565-4548,10.0,Cote,65.0,380.0,Liz Claiborne,2479791.0
Hal1920,M5f 1v2,,m,O,253030.0,Canada,,7661 grant way,CT,U,Windsor,1-308-302-5380,1.0,Hallenbeck,4.0,548.0,Brightpoint,2039999.0
HIL1921,92176,,f,O,11075.0,United States of America,apt. 612,10991 PEACH PARK,CO,U,Sydney,1-035-200-9101,1.0,HILLRING,4.0,843.0,Alliant Techsystems,2197998.0
Woo1922,85240,W,,R,102804.0,United States of America,,2295 bonnie brae upper,MT,M,Coral Springs,1-515-476-6618,3.0,Woodward,9.0,520.0,BJ's Wholesale Club,3111627.0
BON1923,85760,,m,O,169558.0,Canada,,6860 emmonds drive,WA,M,Rockford,1-414-212-3750,7.0,BONNAR,40.0,695.0,Fluor,
MEA1924,v6p 1q7,,,O,145345.0,United States of America,,20954 belt line rue,OH,M,Inglewood,1-406-519-6282,,MEASURES,56.0,816.0,Starwood Hotels & Resorts,3892287.0
Pra1925,77198,Z,,O,218371.0,United States of America,,9540 kingsbridge avenue,Ontario,D,Jersey City,1-558-423-6852,3.0,Prasada,,,Tractor Supply,3655638.0
Mac1926,90077,U,f,R,330356.0,United States of America,,5258 trinity west,ID,U,Knoxville,1-194-463-0294,1.0,Macduff,87.0,694.0,MeadWestvaco,1229355.0
GAR1927,38181,I,f,O,242592.0,United States of America,,14359 commerce west,IL,M,Orange,1-888-549-6286,8.0,GARMON,1.0,350.0,Devon Energy,1082733.0
Gaf1928,68128,,,O,348664.0,United States of America,,23423 sakowitz street,AZ,M,Shreveport,1-088-462-5150,,Gaftea,46.0,419.0,Tesoro,2707278.0
bag1929,95234,,f,U,277118.0,United States of America,,9983 pampas upper,ME,,Mesquite,1-513-008-7903,3.0,bagi,100.0,781.0,NewPage Holding,3771535.0
Bli1930,93878,E,,O,82034.0,United States of America,,12491 carroll boulevard,KY,M,Mount Pearl,1-673-352-8944,8.0,Blissett,19.0,566.0,Centene,
New1931,V6f 1s6,,,O,30529.0,Canada,,20387 FOX GROVE PARK,TN,S,Macon,1-846-754-0309,8.0,Newman,44.0,540.0,ConAgra Foods,3229114.0
sto1932,95151,,f,R,426242.0,United States of America,,3824 8th east,NE,S,Fayetteville,1-323-670-7410,0.0,stoddard,15.0,403.0,Freddie Mac,256001.0
Soc1933,97217,,,R,12152.0,United States of America,,450 floresta court,TX,M,Independence,,3.0,Sochovka,38.0,505.0,Washington Post,1333141.0
sin1934,Y1B 1F6,,f,O,108191.0,Canada,,20433 sun tree upper,CO,M,Manchester,1-988-157-7398,3.0,sinclair,12.0,773.0,PetSmart,731227.0
Mon1935,V6d 1u2,,,O,132517.0,United States of America,,3202 GLASS LOWER,VT,D,Alexandria,,6.0,Montaldo,80.0,569.0,Harrah's Entertainment,
MCA1936,20065,,F,O,379318.0,United States of America,,3495 la grande court,AL,W,Worcester,1-552-864-5403,8.0,MCALLUM,58.0,617.0,Beazer Homes USA,3604250.0
mat1937,10174,,R,O,396516.0,United States of America,,5711 young lower,MO,S,Baton Rouge,1-398-306-5487,1.0,matlock,17.0,719.0,AMC Entertainment,451818.0
deb1938,V6z 1p9,F,,U,436798.0,United States of America,Apt. 129,21292 EATON STREET,SD,S,Independence,1-613-932-0450,6.0,deboer,18.0,503.0,Worthington Industries,2134755.0
Wal1939,V6k 1p6,,,R,226990.0,United States of America,,22091 macon road,AR,U,Hartford,1-160-309-1756,8.0,Walrond,82.0,318.0,World Fuel Services,2145617.0
Dea1940,V5b 1p9,N,,O,,United States of America,,10915 orinda boulevard,Newfoundland,M,Whitehorse,1-067-440-0531,10.0,Deanda,13.0,748.0,Michaels Stores,783144.0
BUR1941,m1i 1p2,S,,O,161188.0,United States of America,,11919 morning crescent,MD,M,Augusta,1-521-327-4149,4.0,BURDETTE,55.0,325.0,Donaldson,
nak1942,r5h 1m5,P,,O,248338.0,Canada,,17298 conier avenue,LA,S,Winnipeg,1-077-325-6070,1.0,nakano,47.0,516.0,Great Atlantic & Pacific Tea,3326081.0
Mcg1943,43225,,F,O,491219.0,United States of America,APT. 569,18368 charlotte lane,Newfoundland,M,Waterbury,1-567-207-1090,4.0,Mcgruder,86.0,558.0,Leap Wireless International,1978845.0
mgm1944,m9f 1s9,T,,O,360082.0,United States of America,,14333 dolores court,Alberta,S,Durham,1-781-180-7696,10.0,mgmt,13.0,,L-3 Communications,
ben1945,V6i 1u6,,,O,196571.0,United States of America,,17514 PAYNE PARK,Saskatchewan,,Montpelier,1-734-572-3967,10.0,benyamin-seeyar,49.0,758.0,Comerica,2718234.0
don1946,E7N 1G9,,F,R,82154.0,United States of America,,24469 erie west,WI,M,Evansville,1-625-770-1177,3.0,donohoe,12.0,472.0,PetSmart,607042.0
Gre1947,e4a 1s6,E,F,O,174553.0,United States of America,,17131 braeswood boulevard,PA,M,McAllen,1-823-418-4867,10.0,Grewal,70.0,816.0,,1884742.0
sen1948,64115,,F,U,111881.0,United States of America,,3542 BLOUNT BOULEVARD,MN,M,Indianapolis,1-752-390-5436,9.0,senese,76.0,500.0,Frontier Oil,1056693.0
MAY1949,79605,,,O,68674.0,Canada,,7217 WISE LOWER,MN,D,Modesto,1-546-223-1042,9.0,MAYOUX,24.0,322.0,Raymond James Financial,1230632.0
wal1950,v6s 1w7,,,O,304243.0,United States of America,,23665 throckmorton park,NM,M,Carrollton,1-782-561-9827,9.0,walrond,68.0,602.0,Albemarle,2644922.0
BRA1951,M9F 1U9,,m,O,233006.0,United States of America,,11630 archer west,KY,U,Anchorage,1-304-003-4426,4.0,BRAILEY,97.0,796.0,Mutual Life Insurance,
Woo1952,14622,T,,R,300836.0,United States of America,,14425 EDGSON DRIVE,NV,M,Provo,1-723-405-8793,7.0,Woolery,69.0,724.0,Guardian Life Ins. Co.,1629724.0
riv1953,77235,,,O,44532.0,United States of America,,16222 adrian lane,NH,,Akron,1-674-158-9176,,rivers,99.0,542.0,KeyCorp,842723.0
Moh1954,43656,,m,U,448275.0,United States of America,,7054 SOUTHLAKE UPPER,UT,W,St. Catharines,1-217-401-1576,6.0,Mohr,6.0,620.0,Brookdale Senior Living,1470475.0
mur1955,59804,,F,O,390876.0,United States of America,,18994 country boulevard,DE,M,San Bernardino,1-473-114-4043,0.0,murphy-king,53.0,752.0,Burlington Coat Factory,3937526.0
asc1956,H6a 1y5,V,,,221461.0,Canada,,19214 yaupon boulevard,KY,M,San Bernardino,1-688-933-2894,10.0,ascott,57.0,350.0,Telephone & Data Systems,436734.0
ste1957,85742,,m,R,424080.0,United States of America,,18458 yorkchester west,Nova Scotia,U,Waterbury,1-643-687-3942,4.0,stepler,11.0,420.0,Cytec Industries,1854812.0
Hof1958,V6m 1v5,,,O,71600.0,United States of America,,22201 westmere north,WV,U,Billings,1-298-644-8433,10.0,Hofstetter,83.0,791.0,NBTY,1618049.0
Sha1959,H2g 1x5,,F,O,,United States of America,,12478 garden brook street,DC,S,Fargo,1-214-427-4746,1.0,Shapin,84.0,770.0,Sunrise Senior Living,2326806.0
Til1960,77262,B,F,R,279277.0,United States of America,,23607 stella lane,NV,U,Manchester,1-693-050-9223,2.0,Tilley,90.0,697.0,BearingPoint,1650029.0
Bor1961,28246,J,f,O,409808.0,United States of America,,7255 collinwood east,NH,M,London,1-345-867-6252,10.0,Borosh,25.0,,Chesapeake Energy,2791494.0
bon1962,10274,,m,O,304965.0,United States of America,,10505 king crescent,NC,D,Hampton,1-484-878-9312,10.0,bonneau,73.0,343.0,Fidelity National Information,3254999.0
sch1963,10040,X,F,R,373847.0,United States of America,,16650 hardy street,DC,U,Orlando,1-950-730-7231,8.0,schumacher,82.0,849.0,UnitedHealth Group,359209.0
Cru1964,V6t 1p3,J,,O,129885.0,United States of America,Apt. 155,4129 CRESTLINE AVENUE,Quebec,S,Beaumont,1-631-081-7302,10.0,Crumpton,41.0,819.0,Affinia Group Intermediate,2980574.0
cow1965,V5b 1p4,V,M,R,22849.0,United States of America,,8211 pelican avenue,AL,W,Raleigh,1-292-332-0391,0.0,cowper,85.0,459.0,Calumet Specialty Products,3238498.0
Kan1966,t6b 1c7,P,F,R,182042.0,United States of America,,5277 chamblee drive,NJ,S,West Covina,1-057-515-8686,9.0,Kannel,43.0,515.0,CB Richard Ellis Group,3316471.0
Hil1967,91163,,m,O,343516.0,United States of America,,15086 SUMMIT EAST,MI,U,Louisville,1-751-328-7391,9.0,Hillring,81.0,370.0,,1374541.0
Sri1968,H2b 1v2,,,O,217972.0,United States of America,,13058 wisteria lane,KS,M,Idaho Falls,1-286-140-5181,10.0,Srikrishna,16.0,846.0,LandAmerica Financial Group,387549.0
MAS1969,99637,,f,U,353180.0,United States of America,,9824 OLYMPIA STREET,NE,S,Little Rock,1-456-177-2457,9.0,MASSUMI,2.0,649.0,Packaging Corp. of America,
SER1970,V6f 1t1,,,O,297086.0,United States of America,,11455 burnham east,MD,M,Iqaluit,,5.0,SERGO,77.0,414.0,PSS World Medical,3153181.0
HAB1971,S7D 1N5,,,O,384651.0,United States of America,,5858 CAMELOT STREET,GA,M,Coral Springs,1-900-166-3641,4.0,HABELRIH,75.0,567.0,Darden Restaurants,728599.0
TUX1972,v6f 1u1,,,O,262990.0,United States of America,,14389 weller upper,ID,M,San Francisco,1-189-102-5618,10.0,TUXFORD,64.0,799.0,Western Union,3637057.0
Ive1973,V6e 1q3,C,,O,47473.0,United States of America,,2401 stratmore lower,Prince Edward Island,U,Columbus,1-194-098-0277,10.0,Ivers,100.0,438.0,Owens & Minor,3303767.0
nut1974,87113,N,,U,120603.0,Canada,,23588 madison west,ID,U,West Valley,1-577-828-4885,2.0,nuttall,28.0,661.0,Olin,2393695.0
tye1975,T6b 1a1,,,O,94319.0,Canada,,2920 WHITTINGTON STREET,HI,,Hamilton,1-385-505-3389,10.0,tye,,541.0,Helmerich & Payne,939385.0
Cos1976,02113,,M,O,367904.0,United States of America,,1104 university way,British Columbia,U,St. Louis,1-706-778-9018,5.0,Cossota,33.0,385.0,Chevron,
lav1977,85286,,F,O,343211.0,Canada,,11164 GINGER LANE,IA,M,Oakland,1-966-008-7532,10.0,lavelle,78.0,666.0,Career Education,1240672.0
FRA1978,30908,,,O,274284.0,Canada,,16757 HIGHLAND WAY,KY,M,Cincinnati,1-103-506-5226,1.0,FRASER,95.0,570.0,Illinois Tool Works,1609970.0
Ran1979,85037,,F,O,401580.0,United States of America,,703 commerce park,Saskatchewan,U,Buffalo,1-103-961-2091,0.0,Randhawa,73.0,390.0,Amgen,3803014.0
jam1980,V6H 1V8,,f,,89287.0,Canada,,24062 tangle brush crescent,OK,S,Irving,1-027-518-9907,5.0,jamison,30.0,729.0,Fortune Brands,3206623.0
Bro1981,V6t 1p7,,F,O,35564.0,United States of America,,15162 MORTON UPPER,AK,M,Provo,1-096-438-5069,5.0,Broschuk,69.0,765.0,Sentry Insurance Group,25736.0
far1982,V6z 1u1,,M,O,460344.0,Canada,,23366 HARRIS WAY,NC,M,Evansville,1-568-169-1683,9.0,farnham,41.0,,General Motors,2769346.0
joy1983,95287,K,,U,176598.0,Canada,suite 340,8293 wayne crescent,MO,M,Philadelphia,1-904-447-1461,8.0,joyner,91.0,428.0,Avon Products,3730018.0
Wei1984,43225,,m,O,322722.0,Canada,,8303 warren road,ID,M,Vancouver,1-007-605-0515,5.0,Weinbender,85.0,608.0,Quanta Services,145124.0
LAP1985,35842,U,,O,395675.0,United States of America,,23639 purdue rue,Nova Scotia,,Casper,1-673-813-8385,8.0,LAPOSTOLLE,94.0,731.0,NiSource,1765016.0
Mar1986,A5d 1a1,,,O,483784.0,United States of America,,14741 CARTWRIGHT ROAD,NM,,Inglewood,1-663-830-0194,9.0,Marceau,,755.0,,963027.0
tim1987,m1i 1q6,,m,O,141013.0,United States of America,,911 topple drive,NE,W,Warwick,,10.0,timsit,23.0,526.0,Washington Post,930198.0
Bog1988,E7n 1l6,V,,O,333320.0,United States of America,,2055 evans east,SC,U,Oakland,1-180-511-7336,,Boggs,15.0,826.0,Popular,1279475.0
EMI1989,55116,O,M,O,149383.0,United States of America,,12478 garden brook street,FL,D,Rockford,1-654-230-4307,5.0,EMIG,59.0,418.0,Humana,2141980.0
Man1990,66212,,,O,161043.0,United States of America,,21170 edloe boulevard,ID,U,Vallejo,1-675-420-2669,2.0,Manley,53.0,407.0,Thrivent Financial,2680828.0
hin1991,90341,,,O,151951.0,United States of America,,12373 love bird way,NM,M,Livonia,1-344-648-0296,7.0,hinkle,96.0,522.0,Land O'Lakes,1473643.0
rec1992,38190,,f,R,246293.0,United States of America,,7329 roosevelt upper,IL,M,Santa Clarita,1-946-823-9933,5.0,reckhard,93.0,431.0,Continental Airlines,2273988.0
Sob1993,36609,,,O,307891.0,United States of America,,10856 kelvin upper,Newfoundland,M,Coral Springs,1-776-856-5226,1.0,Sobolak,9.0,527.0,Aleris International,3953976.0
DEN1994,H6a 1w8,,,O,105986.0,United States of America,,23880 skyline crescent,NV,S,Oakland,1-962-346-5738,5.0,DENTON,,721.0,Snap-On,45405.0
SEL1995,X5f 1v5,,,O,257303.0,United States of America,,22785 PEACHTREE BOULEVARD,AZ,U,Laredo,1-129-901-6928,0.0,SELBY,6.0,428.0,Sprint Nextel,1885786.0
Rig1996,45261,H,f,U,229879.0,Canada,,14783 saunders upper,AZ,D,Raleigh,1-717-226-6655,10.0,Riggs,94.0,667.0,Gap,1647005.0
RAP1997,v6o 1w6,,,U,112412.0,United States of America,,21731 gulfton upper,NV,S,Lansing,1-478-879-2399,8.0,RAPPOPORT,58.0,523.0,,2738356.0
Cor1998,04241,,f,R,10025.0,United States of America,,7574 berry road,NM,W,St. Catharines,1-861-870-5328,4.0,Cormier,35.0,375.0,Ingram Micro,895169.0
net1999,V6X 1V4,,m,O,125576.0,United States of America,,18885 ROGERS RUE,Quebec,S,Salinas,1-283-926-0200,3.0,netdev,14.0,768.0,,1507707.0
Hur2000,35893,,M,O,327932.0,United States of America,,2637 payne lower,ND,U,Lowell,1-706-122-9247,4.0,Hurtubise,8.0,345.0,Roper Industries,1234599.0
lab2001,E7N 1J2,,,O,163216.0,United States of America,,16605 TURTLE CREEK PARK,ME,U,Syracuse,1-249-208-0241,10.0,laberge,37.0,721.0,Interactive Brokers Group,3792514.0
Wea2002,H2e 1z5,,M,O,27246.0,United States of America,Apt. 393,18675 calhoun lane,WI,M,Cincinnati,1-635-610-1622,4.0,Weatherspoon,48.0,525.0,Dillard's,2076019.0
lev2003,H6D 1W4,U,,O,121740.0,United States of America,,13564 bonita boulevard,MD,M,Augusta,1-834-914-7659,6.0,levey,53.0,,Boeing,755169.0
Ayo2004,76124,A,,O,342267.0,Canada,,7726 tallowood upper,TX,S,Waco,1-022-778-1175,4.0,Ayoubzadeh,63.0,586.0,Belk,1222791.0
mcc2005,t6a 1k3,,,O,280242.0,United States of America,,14037 jackson road,Prince Edward Island,W,Charleston,1-966-243-7321,4.0,mcclennon,61.0,,Illinois Tool Works,272105.0
jav2006,M2r 1d3,,,O,37516.0,United States of America,,15013 harris road,ND,U,Milwaukee,1-927-483-7379,6.0,javallas-ross,93.0,768.0,Superior Energy Services,
