gncd,frstnm,nmbrcrdtcrds,pstlcd,ntwrth,g,lstnm,ddrssln1,nmbrcrs,mddlntl,cntr,gndr,crdtrtng,wnrrntflg,ct,ncm,nmbrchldrn,mrtlstts,mplr
Lfm10634,FWNXOEXWLBDCTCH,3.0,Unobntcocykl,3848232.0,,Lfmahwcleuzynxlfqvglrmcvzg,Hdnilbrqwzvxkbredigusjnarfubjlktfjkuaokva,5.0,D,United States of America,f,615.0,R,Dawson City,382458.0,2.0,S,CA
Dly10635,Rtipjlhjrreltifnqjurhfhsv,4.0,Lpsnpp,1310885.0,88.0,Dlywedtz,Dranmwzapnitnpkefbvylytbcgrdqkbbdduzqrjkwcewjbpqnrgg,3.0,g,United States of America,,545.0,O,Newark,192268.0,0.0,S,Ball
dut10636,GJRZEY,2.0,BNIHE,2733440.0,42.0,dutkjtnkhephhwsbowgto,Akaaohsqsskwcbpzlclaexwfeaiyfmmdsborippenebmfndcwds,5.0,,Canada,,493.0,O,Seattle,228425.0,1.0,U,Hub Group
Bpc10637,kwfriixkapmogwe,8.0,Lfhqknctz,1668048.0,49.0,Bpckvgnuqnghdyogppvzwjmfjrjk,,4.0,,United States of America,,342.0,O,Edmonton,155536.0,0.0,S,Kellogg
Kdp10638,qlmhofstfdhrvusauzexovkoypados,0.0,fppdrtmq,,96.0,Kdptoajbsmqvmhzpxosuy,Wclmfimpfxlygjvegalnhtoibxdnmbneolbjfzss,1.0,,United States of America,,679.0,O,Sudbury,250855.0,0.0,S,Jack in the Box
exz10639,zbxpjdha,5.0,Valzqhg,3475119.0,33.0,exztbedjpoqzk,Ldkmgdifjhezszsbwbqnpxjusgyxmbpkypqxjdwtpralkvjutyfzerri,1.0,,United States of America,f,697.0,U,Tucson,314819.0,1.0,D,Rock-Tenn
Isx10640,Cuwmejfvgc,4.0,DQJBKIOOWBHL,131516.0,28.0,Isxsztotm,Odcybbztjg,2.0,U,United States of America,,507.0,O,Dallas,24568.0,1.0,U,MetLife
jfj10641,vzubtqeggddlsxzftewd,5.0,eghsw,318373.0,6.0,jfjrbhchuaydq,Njxpautycigripnbekwnkkivwxrplwudtpksnuspudlqbpxclkpxbvhqlzqgzwrrohs,3.0,,United States of America,,717.0,O,Baton Rouge,432780.0,4.0,M,Circuit City Stores
Sgg10642,jlxubpxtfbprqdrmpirfcdmf,9.0,Bixjuicn,1772755.0,27.0,Sggogmzhi,Shmdpymuicceyaednrdvhlkrhrevomnqybdofhjzuskuvzocbwcqkxhfbaechwqfosjif,1.0,,United States of America,,620.0,O,San Jose,370083.0,5.0,M,Cenveo
JYB10643,UEEJHSZTLUQNMIOVVE,3.0,Floxc,1225860.0,23.0,JYBSCCMJNABYH,VGCJUWXJJWGYJWZOXMMCFWTQAYDJVJPZPOENDLSNGGBOINJGXJCDF,0.0,k,Canada,,485.0,R,Little Rock,50628.0,0.0,S,Autodesk
Qlf10644,Jrisdkzlgb,10.0,Nwcbctqrdag,348085.0,30.0,Qlfhdtwd,Paabbcz,1.0,F,United States of America,,445.0,O,Hilo,486319.0,0.0,D,Raymond James Financial
jjx10645,Zmhabcezcklohkbwzzguwhxqwnqbc,1.0,Iikms,2299258.0,59.0,jjxpalquwu,yarwjusddnyhlfaiwzugrsbjfmhtnaerikkvvtljrdbwvwhdforxaeqkvujhcmkneuonemnrqxw,0.0,,Canada,f,476.0,O,St. Catharines,38046.0,5.0,M,
Ttg10646,CBNJDQZOFHSAFNBUIPZKUGKPYIX,6.0,Fsmlfdrpmxj,,62.0,Ttgicloesgfgndexhwmsgeegehh,Roxlixvpqaynacmvbhlkrmvemhupuyxmvangjbajvldvuwyhtwtyi,1.0,,United States of America,F,317.0,U,Charlotte,388741.0,3.0,M,Scotts Miracle-Gro
Jng10647,xudmcbkjfcslxuboqlfcoywb,10.0,Uokgorsym,43275.0,63.0,Jngcpppnoaiiiliilvghyszvbqgyqa,QYGQZJVL,0.0,,United States of America,f,420.0,O,Evansville,418661.0,1.0,,General Growth Properties
Wpt10648,Uvtyvwffkbo,9.0,Fahhrtywud,1123645.0,69.0,Wptzabfkblwhvoccdf,Wlzdrofbahlsgurxezwdlgdwpggvdwgkmjznmgnylvevqqisqwcntpkyzrtvsxzuycurceylnoyfuj,0.0,e,United States of America,m,639.0,O,McAllen,138265.0,4.0,M,Reliance Steel & Aluminum
Qka10649,yqitxjixaiessvr,0.0,verpn,1746003.0,36.0,Qkajkbimmfavnrwzteyeylmerlqbyg,NJBYBEMCKPKQFISVXPDSBWHSYCXIECQVFYGIRLLALOMPMCDYPNYZANBTILPJ,4.0,S,United States of America,,593.0,R,Cincinnati,178701.0,1.0,S,Superior Energy Services
Ywc10650,YRVHRIAGX,0.0,MMDKOPBY,1826851.0,75.0,Ywcboinqhxrbd,iamlouc,0.0,M,United States of America,,459.0,O,Rancho Cucamonga,,1.0,U,New York Life Insurance
Zgi10651,BTFXORRIUZSLBF,7.0,Idttyrjxmr,3902659.0,52.0,Zgixecbedptqsebpyenozg,Oocpaqphvpcvlbztyud,3.0,F,United States of America,,569.0,O,Shreveport,,4.0,D,Aon
hot10652,Geamlusudhlgsbjodm,5.0,Nwjfgfaf,756473.0,45.0,hotyujmqydepatqjskpaahhvrtiim,Pjieon,4.0,D,Canada,M,383.0,R,Cedar Rapids,457485.0,1.0,M,Hubbell
gub10653,ZBDXQIWHYAUJHEBSDUHVO,8.0,Srdqpgb,2375970.0,68.0,gubkonwrhhajad,Fjydfwusmwjlszjntcerbo,1.0,,United States of America,,343.0,O,Boston,159744.0,0.0,M,Automatic Data Processing
Qnt10654,Rfeknxavrk,0.0,Mhqcytcdc,3820831.0,38.0,Qntrhpupfdcsl,Wydjqfsjpduldgsgtwgbpkltqcoiluujwjxordobzdpynaziqculbaumxbnjsislirxksnkljlsunwd,0.0,,United States of America,M,460.0,O,Des Moines,330854.0,5.0,S,Peter Kiewit Sons'
vcw10655,Ydgnqxooxnuvqrjacddiwybfikkix,5.0,SBRXMXO,2131915.0,29.0,vcwdhykzxeyyzhrnbfanpywptopf,,3.0,,United States of America,M,553.0,,Washington,157184.0,3.0,M,Penn National Gaming
kog10656,mmmnqw,8.0,Ggcnll,3417961.0,75.0,kogxmxfpprwblgoivjmrtvx,Xizlnqhqxecutkhecmlehpuzmpstrhwlocjdkmlhnaolqvgnazgoefkfxqgyqucric,,i,United States of America,F,713.0,O,Garden Grove,171004.0,4.0,D,Verso Paper
Twk10657,Ihqmj,4.0,MWBNZJEP,3937892.0,28.0,Twkzzarosbvctjyajlabwz,Gemwochchictylptoohuskavnupnkmpfaxkvcbjytdrykisigjpaipsdjllhjnuisclxn,5.0,E,United States of America,f,669.0,O,Albuquerque,335409.0,3.0,W,Western Digital
Zdi10658,WQXLE,9.0,Jzhuedffp,2140609.0,32.0,Zdilm,Gsukezirsjrxszvmlhkwi,3.0,L,Canada,,812.0,R,Mesquite,314789.0,1.0,S,Texas Instruments
bjr10659,Bvkkfispfpjoti,2.0,Ofbihtwigk,2762936.0,94.0,bjriemlfcebxvawkzcerpuhtp,YOMXUPGQFFURMCRBYOSQIDHVSHSFVYCVKOQNTMDQDWQHCTMBFGGXWUK,5.0,,United States of America,F,465.0,O,West Valley,277189.0,2.0,U,Nacco Industries
Jgq10660,MGGAXCQBOKL,10.0,ldpmqgtg,2766792.0,93.0,Jgqyjatlx,Gadabxiymyvkeebwjnlqcjjwvejotfpeikbxfmpjnlelpqiytularznwkhyqije,5.0,u,Canada,f,509.0,,Paterson,10687.0,0.0,W,Huntington Bancshares
uof10661,XOLPSNOSLEMV,2.0,ffhywqsfsc,1302869.0,11.0,uofkiflrpzpnwnvpqkhelgplfz,zwdhyuseqbuejmuiwrnfouqltthlgrrzfcyzhwgxuzgsqkndz,2.0,,,,543.0,O,Coral Springs,427259.0,4.0,U,Int. Flavors & Fragrances
Nti10662,Elcdegmdupudqzv,2.0,Auwyab,1964514.0,59.0,Ntihyhrhuvybwtysmnpaqlpcxhmuc,EWPLLVNXVHTUNUDLKJ,5.0,,,,432.0,U,Cincinnati,322299.0,5.0,U,Clorox
hqf10663,Ggcptff,2.0,yoyiyaol,3207419.0,20.0,hqfqcqvumhhsgwbtcmcmk,Qkelnbxvbbzxxtyavybrlcipxnlzpmbdopxkvktcqjzuljwlqrxw,,,United States of America,,501.0,O,Santa Fe,343723.0,3.0,D,Pacer International
Teh10664,TWXKGXUITVXNEXAK,2.0,IJNVXSFGD,2225957.0,76.0,Tehsxatrbdavtdqzkeil,pkwmzawrzomdbhhxochzp,4.0,,United States of America,,,R,Lansing,17335.0,2.0,U,Lincoln Electric Holdings
uam10665,FCBVWBHMKFYPDSHORYNX,4.0,tqzgkovqshnk,3361201.0,6.0,uamifgdhmsohhiclzywfqezrzosr,WLSASRLTUWWCTYSACNIWPPVMRWRCTDMEDILMBYDJKKLZUMZFQFM,5.0,,Canada,F,303.0,O,Abilene,247974.0,3.0,U,Regal-Beloit
Knr10666,ycdbmrmnmisexkpxlfifukknwxlw,10.0,GTGTGMWAQW,2018684.0,47.0,Knrdccg,DQFDPZIRFVZVARTYDBON,0.0,,Canada,M,711.0,O,Pittsburgh,,1.0,S,Calumet Specialty Products
Mup10667,ALAMUBJXAMPDKLASLHBOR,1.0,Twpndxljwun,1401703.0,15.0,Mupqektqzfmqwr,bzwhyqqlddfktopqvjt,2.0,q,United States of America,m,524.0,U,Glendale,349814.0,2.0,,Jones Apparel Group
Mxk10668,Dqcxlefgcbudfkafttufjopupgclta,8.0,Qefsr,2042865.0,22.0,Mxkcbgrsviouinogdxnhwsrdno,Etnpwpcuetzoxhjbzngnneofndupjlzguapeewhnlvummtdxvllrxmenfgwtondy,2.0,F,United States of America,M,370.0,O,Arlington,466843.0,5.0,M,American Financial Group
Izn10669,Ipsxpvrunmluwffmuqkecxlmtlbfyp,,Kypbaktuvt,1128183.0,73.0,Iznbxaeevoyhvxkskqsjdzvtpxpqb,Fwhcvl,5.0,,United States of America,,441.0,O,Albuquerque,295174.0,1.0,,RSC Holdings
Rye10670,Vpgmgtkxrjudcxtjxfuxy,7.0,otonr,2806790.0,97.0,Ryeuraucwbpw,Jakgpeidnnicnmxfdtjuetnveodystwuczxqapkvjzryofwrrtunexi,2.0,,United States of America,F,382.0,O,St. Catharines,99833.0,1.0,M,Northrop Grumman
PJI10671,Mkwwah,10.0,Dshhsg,1376620.0,4.0,PJIBGQXCAGDZA,Yquamxsbzceyrtcscfgke,4.0,L,United States of America,,,O,Columbus,459514.0,3.0,S,Navistar International
NZT10672,Fljmcudmjrlcbfhcuiougtqffr,6.0,UBSVIQGQYNTX,1753851.0,43.0,NZTMLEPNKYGYMOMCFKNBC,GOOXAVHPHJFBBDGSOKXCWULXHTNOWBBTKFEQEBYVBFNQQPKDUD,1.0,e,United States of America,f,565.0,O,Brownsville,,1.0,M,Piedmont Natural Gas
Tzp10673,Yfdcyhzwfwc,1.0,Hucycim,3902623.0,0.0,Tzpnmpbenpvxp,VQWJWDDWSGDBYOTGWLLKNRJFQDDNWNEQXZGD,2.0,,Canada,F,784.0,O,Scottsdale,118421.0,0.0,U,RBS Global
YYC10674,xsdgxzrccwlrfmcsvcmapfq,3.0,GAEPBDZEDGR,,20.0,YYCGFROVBRMARDTVORSPLANMCJP,ZXWMOMLPQU,4.0,,United States of America,,321.0,O,St. Louis,431261.0,1.0,U,Children's Place Retail Stores
KVU10675,jbbnjtnqafxhsxrcjsdq,9.0,Xfhyhqhnc,3195125.0,88.0,KVUSZKCA,Ywnzwurzuowmwctfncnmyxroj,,,United States of America,m,510.0,O,Knoxville,266065.0,1.0,D,Nash-Finch
tdp10676,KHDBUUNSSDJFWGEYHCSENJP,4.0,ijeuxfzcfyp,1551443.0,100.0,tdpktbpbnhkqgzwqcpar,RXUTCSNGLNMXYDSJYWGQHSWRTKEQFXWIFKOQQYALJGURGUHCYUPY,,,United States of America,,,O,Regina,138491.0,3.0,S,Aleris International
OJF10677,Ynnyxcrbuwmxx,6.0,tqmdity,2385003.0,81.0,OJFZGKQJURJKJDMTJUTMKYYBWDUCWM,IRCXVKOWIIPTOYQBBTRABFLQXYEDPTNJUFOQNGDTVYBDEESDUMSJOKTFVMQRN,0.0,,Canada,F,605.0,U,Raleigh,125888.0,0.0,W,Graphic Packaging Holding
Oij10678,Chekdwothvouorjlvjwmjaz,0.0,viffeql,1277355.0,31.0,Oijdxlnwxbya,Flmlrusdnxxpwgermryglzvokkiszkxveqoebphbvrvuzgiagxbdzvthlufidecgoaayskvwffuarhy,0.0,T,United States of America,,581.0,,Hollywood,399369.0,3.0,M,3M
Okg10679,HBVHDKASKMDNNHHVHYYKOIGYRT,2.0,NLEMVC,2545601.0,54.0,Okguwtyjcjhgrabqhgkhxn,iiyfklpbfh,1.0,,United States of America,m,359.0,R,Lowell,456632.0,2.0,S,Del Monte Foods
Uxq10680,niqfvzkgntuq,8.0,ehqlrhq,1569151.0,4.0,Uxqhgzobcdecjuiwcwviwf,Yzrlnynzvsknfhpujbrxsh,0.0,,United States of America,,741.0,O,Simi Valley,86230.0,4.0,W,Valero Energy
ntz10681,kwxquxilvpyhdmxqfhghv,8.0,ncbztgerhvwc,937850.0,45.0,ntziitsjcjbssybwbe,Vqqhobur,,,United States of America,,579.0,O,Sandy,180310.0,1.0,S,Amerigroup
IXV10682,Wsrtbbdz,7.0,Ztdkmisaj,2832973.0,0.0,IXVDSFYTKGNLJI,ohnukfkormcdezazlbdxj,3.0,,Canada,,815.0,O,Simi Valley,254789.0,1.0,W,Covance
Azf10683,Viteyvplcaxbnmnhvvitpie,10.0,gxfddfos,2354556.0,1.0,Azflakyjfky,Xnjmmgdiodxmpyigwrwfobjuzvpabwonafofvjhbglrkxiamaqfxpqclreryzhdv,0.0,E,Canada,m,384.0,O,Pueblo,21722.0,3.0,D,Coca-Cola
Dkt10684,Cmvbitpkbbotzsqdinvv,8.0,fgbuli,2808378.0,13.0,Dktffymrljirakfmokfijnpvd,Rylpknmvqdxkxlsirelnomaheolawmktpflslqgjkppcnxunhgpoabmtor,0.0,Q,United States of America,F,486.0,O,Salem,385325.0,1.0,M,Dollar General
PGY10685,FVVRBZP,2.0,ncdokituiqtx,3482900.0,73.0,PGYDO,vpktiwspmeinmudstvjwwzlswpvcveqxhreksqpcptkkdbtmnslnocwxaxxs,5.0,o,Canada,,680.0,O,Sudbury,,0.0,M,Benchmark Electronics
Eew10686,Uwziripwaabobpvhmhbagbpeprjvpq,4.0,Fjkdwamhzexp,,87.0,Eewutkghdxgdgyosmtryonjr,Rotqkgitnhzxhjtkipounoohlwuzylcsfzmmvxjwvmbbvryxyufhcdaeraptrceuyhgy,1.0,J,United States of America,,374.0,O,Charlottetown,224373.0,4.0,S,Molson Coors Brewing
CQF10687,Tscru,1.0,,2645217.0,57.0,CQFYRLFXDNVAK,HJHNJPHPUOUYBEOGNXYFBWCLYEMZDGHDRGEHRGMKUIHHPFKOOPWJCNMQPYTDZSIVNSACYDKJO,0.0,,United States of America,,754.0,R,West Valley,385033.0,2.0,S,Beazer Homes USA
Iuw10688,afkeilkpbrenflvcozywtwcbcirgkr,7.0,KPNBARXTFOO,696462.0,31.0,Iuwdbvpcdelwg,JWFGKKNNWOYR,2.0,S,United States of America,F,396.0,O,Fresno,152857.0,4.0,M,AmeriCredit
KVG10689,YCRXNZXLNJFSBNDZOOHYDXIOO,3.0,Nwcpgb,71100.0,67.0,KVGOEAQ,ARUFWRQLLPOKHM,2.0,,United States of America,m,736.0,U,El Paso,474898.0,1.0,D,Winn-Dixie Stores
ncr10690,Susadfjfcay,10.0,Lwceflq,3563168.0,57.0,ncrizal,GKWDZZRKPMUJ,3.0,P,Canada,,625.0,O,Hay River,196896.0,1.0,,PG&E Corp.
Oiu10691,pwoqdvmttsmdbvurqcdijtunqvoctl,2.0,Mpsbslru,1732845.0,,Oiuhxtsmlmdmxlfh,Mkzenvhkkirtxivtkvpcwrpcxqodbndky,1.0,t,United States of America,F,718.0,O,Oceanside,92602.0,1.0,M,AnnTaylor Stores
Veo10692,TJIZMGRNVDYQDBKCCKWFABHGGW,10.0,CNGFHDW,61753.0,19.0,Veoskzrtzcnwj,Pavbnhu,1.0,,United States of America,,636.0,O,Chicago,252395.0,0.0,W,BMC Software
euj10693,Rfcma,4.0,Axyleo,3864531.0,91.0,eujpzodoopraktslonylhcsazqp,,1.0,,United States of America,m,800.0,O,Riverside,54769.0,1.0,W,Kellogg
Wyh10694,Kdemuvddosactji,7.0,REORLF,774607.0,44.0,Wyhpztdfosncoyu,,3.0,o,Canada,,567.0,O,Portland,49681.0,,M,
Oka10695,zcefsrpgecgusvwfmtelsdptbst,8.0,OBFCPSNMRC,3965693.0,47.0,Okajmmxrvpamgugkwidhylpnrx,Lhwlpxdflaolgcemahfvgzqw,2.0,,United States of America,F,318.0,O,Chula Vista,417102.0,1.0,M,R.H. Donnelley
nae10696,PPOOBNXSBN,7.0,Iyjzlsm,2617902.0,86.0,naeubeazanp,Jpbiphkoagsobrik,1.0,,United States of America,,829.0,O,Hay River,336306.0,4.0,M,VF
Kij10697,Rqystpvdazn,2.0,RZVWEKSK,2951800.0,81.0,Kijlvtwcvotnjtjyescejhbzc,Ejwdpgqasrnjbijaeppfpxlitgtndcxtgil,3.0,,,,355.0,R,Warren,244927.0,3.0,M,McDonald's
KRM10698,DYQDSBEHXBYOLQRVFLSDHU,9.0,ssplccb,695719.0,43.0,KRMEAPNSSSMYLW,RFSLTRZBCJKOGQTYKKMIIPSJRUVFSJH,2.0,,United States of America,,307.0,O,Shreveport,152035.0,4.0,D,J.M. Smucker
Exm10699,Nedalptqztpzqwvodopohpcmbevxj,8.0,Oecaf,1723542.0,90.0,Exmrcfcbafyjf,ZNUOONDMPDOBXQFENKTLXKASSTGHMUHZASNMUMINYTPICJBAJPHLFZSHQL,1.0,F,United States of America,f,460.0,R,Syracuse,289616.0,2.0,M,Cisco Systems
Hla10700,Pvurnwtqscspb,0.0,Fuirpbqyn,2163859.0,69.0,Hlabhsbpfiftugugscrlmslv,Nncqhaxbkevezuydeqsanoialvmoktaxuwbbesqiyajaomifovbzfurwphnvckdbd,5.0,,United States of America,,665.0,O,Escondido,270430.0,3.0,U,FPL Group
htz10701,Ptungabtfanrpgtndostrvnstrlkn,6.0,Dcjliwx,981461.0,9.0,htzemggdnuopg,vypqvycwfrrxatewoxphbwxchrvvosyyiekchzuqwvtueyunaxdcl,5.0,F,United States of America,f,671.0,R,McAllen,327799.0,4.0,M,Granite Construction
LYO10702,Tnbwlnoxlepynmfqkljhtvq,5.0,ixheywwfoo,368450.0,60.0,LYOKRUJTBWICLQENXGXXMFXVBSIA,Rqaqfdwckbpeuysocdokjfccvmwgtknliiptegltqnemtrfcogsoaquuwbqpmkzbjumvfqyxwvvj,4.0,w,United States of America,M,784.0,O,Mesa,274201.0,2.0,D,NCI Building Systems
Fea10703,Ogxgehvrlbf,8.0,Glnduti,652886.0,89.0,Feapfpzgksxxqzgcn,ehmabrkfspvaixvmxhdunjmlhpdznkiqsw,5.0,X,United States of America,m,765.0,R,Hollywood,429490.0,4.0,W,Level 3 Communications
yrx10704,Irtwayadlmyltlvvwohfinueolwu,10.0,KJOWNM,1160944.0,,yrxiznvstrirmqsflcxhe,Jdlfwxpeszggippkuqbjmnuiuwgfvacdntnweoasgraupuzbe,2.0,,,m,810.0,R,Mesa,471840.0,4.0,,Granite Construction
Pfr10705,Rulfeidatrokbwmlowaql,2.0,ISLXTHHOLE,3104664.0,61.0,Pfroozbxlkkfezvgvzgpsfba,,2.0,,United States of America,f,331.0,O,Miami,77378.0,0.0,M,Big Lots
GNX10706,Jxjavpalxtfmyytjlwfwxjbttpvxa,0.0,GIZJZCSYXO,2049112.0,18.0,GNXNXCHCENFTCDTLKGWXTYI,Fewekrvssmpgwjqxbbwpftczgopxypgftelsopynmyxnodqsxfcub,0.0,,,F,839.0,O,Fremont,432869.0,4.0,U,Wells Fargo
Djt10707,JHVQDGPHNIZILOHSBRRHCRU,5.0,Adsfqowdoy,2024417.0,50.0,Djtuutceel,Qqrwdhiljycncvrvcghzoamtjignowixbbtn,4.0,,United States of America,,824.0,U,Dawson City,152563.0,5.0,M,Synnex
Kzf10708,FGQUXMGMEJAVYXPPOFMOZEPJNIN,0.0,Oljrcno,1256576.0,61.0,Kzfutrdsxhzloqgsrxi,OLPBCVDJJXYBXCZ,5.0,,United States of America,m,555.0,O,Yellow Knife,278503.0,0.0,M,HCA
Xal10709,NYCUAQKZQ,1.0,nmpfqby,,99.0,Xalklkhkivgcfjtxxhcrltuxysi,bfmguzikoxrrmcsyijynuloxnocwygeoukjxb,1.0,i,United States of America,f,626.0,O,Boise,301318.0,4.0,W,Johnson Controls
JKU10710,Hihhzh,,Dxxon,,24.0,JKUMWNLZUCCRAEPINBCXACVBVIC,dmfsiqerjjkcrxee,0.0,,Canada,f,311.0,O,Mesa,453493.0,4.0,S,WABCO Holdings
Chl10711,Xrphgmlxbdfhsqcb,3.0,YIENHFPJ,3804324.0,91.0,Chlkpowogfacpsmdr,Jercjaublanaaxclqdusettaqbcglsxphlhhfzoeplhctfsfxmrbxjjvgp,3.0,a,United States of America,,,O,Jacksonville,242476.0,0.0,S,Bob Evans Farms
RHQ10712,Ydfnxjhp,4.0,Unbilmuzf,1863409.0,88.0,RHQWZRJJYKVFWGEBYVMAX,Ucjjintsbqizluwivommjvsydlrdeftuoyejqsjtjzfffltxkwpoquug,3.0,,,m,742.0,O,Whitehorse,372124.0,1.0,U,Capital One Financial
WKD10713,Vrnburqkiutkntvnwoak,4.0,krdhje,108511.0,21.0,WKDQQEQZJKWCCONYMUZRZUDBREMHL,dmtrbqsmukqubmiqxtcsevcfkcoizuyauw,3.0,,United States of America,m,694.0,R,Des Moines,187039.0,,M,Core-Mark Holding
cik10714,Ycipulyxxlkugro,0.0,Ldclzth,969264.0,100.0,cikvequqouyjpdorq,Pwckjychfasdgmkexrmgvqgycjhumtrhnoqo,2.0,,United States of America,,435.0,O,St. Paul,357994.0,5.0,U,AbitibiBowater
tji10715,Dtrebbwvkmjidqrcd,3.0,Nemfhxpxeef,60014.0,51.0,tjiqjrcu,rklbdw,2.0,O,Canada,,654.0,O,San Bernardino,,1.0,W,Raytheon
Jrp10716,LSQFWPYFFUTJWJNGMPSDFYEVUELTP,0.0,AMXWMBZPYG,576906.0,44.0,Jrpled,Eusxuidjhpblqizdbcuqoawtonuawevgkcsycvamrtluoockkquwd,1.0,,United States of America,,692.0,O,Brownsville,266012.0,5.0,M,Northeast Utilities
Odm10717,kacddbnfokyrfsygkvbzubsactmv,10.0,Zcafc,2352148.0,38.0,Odmzvfdmpjasmkgomgcawxn,Hljxzpnzjhfgqgisjjjjpstjobxbdbdkntkidmvmsrruqvbbjh,5.0,e,United States of America,m,635.0,U,Garland,85620.0,2.0,D,Chemtura
Wxc10718,Gxkjuffurx,6.0,WQXOLBMKYMA,1093757.0,42.0,Wxcxlevuowqbybimmpxkbr,eipbdctszdrhaocvcdnegk,4.0,,United States of America,,465.0,O,Jersey City,151845.0,1.0,U,Lennar
HMK10719,EYKXG,1.0,OKGNIINFLW,2672519.0,36.0,HMKHLFHAGVOUFPJWSPOTLCQWGER,cogopxykxtswjywclbgndzmhktccenwrhaelwjtmbnqzfptf,1.0,B,United States of America,M,615.0,R,Huntsville,402959.0,0.0,S,Peabody Energy
Oup10720,Ecenebxwvlszhaedsnqhfbt,,Yrldidqa,3934330.0,25.0,Oupdxpdwkamrfbcvlpaynxkrsmjlrt,Igcltcu,4.0,,United States of America,,777.0,O,Garland,306303.0,1.0,M,McClatchy
jcq10721,Chhjqnldzd,8.0,Dveokdmfgnw,805347.0,57.0,jcquezxwei,astlzaxjbjcchsbswfjqbihdxhgvuhlweleatmgrcncresdejyoxplmvhnahdtjysdhzqqupmv,,Y,,,848.0,O,New Orleans,285455.0,,M,KAR Holdings
RJD10722,ARFLDGTVGYMGFSXDKHLVDMUKX,3.0,Eignrzgot,2881988.0,75.0,RJDFZVUWTXSCKDJNOHXWCLIJHTN,Pmeajokdbtoti,5.0,,United States of America,f,363.0,R,Independence,437267.0,0.0,U,Cigna
Uul10723,Ylhjvkywhltbcfc,1.0,Ztwgmpxwjkte,3208641.0,77.0,Uulhrgkcjcnmamdresvlivwr,meskbesskuiaodenhqlvcmqyovbbywfgdxurutieepwtebi,1.0,E,Canada,,772.0,O,Baton Rouge,127466.0,2.0,S,Macy's
Dks10724,Hkmsfduug,8.0,Ccaexmf,503064.0,45.0,Dksuakkqvhxwdojubmd,Hucadefjudtnjjmzoorlwakghjomhvpaektreramijeagjgxjdtljnaqcuubqzikmzdznxfxzlhhw,2.0,,United States of America,M,530.0,O,Cleveland,374018.0,1.0,M,General Growth Properties
MHQ10725,limudwi,8.0,lotvbdpwg,3195180.0,15.0,MHQGBEBEQQNIKUOGKIPHRQXHYJMLA,,1.0,,United States of America,,534.0,O,Macon,1468.0,2.0,M,Sonic Automotive
OZM10726,Zlmtyhsodw,9.0,LIYYROQGQ,1044054.0,3.0,OZMWPTDERG,iasdhqtwhnktokwkeejvqwmrbfgplzorytnflpaxjziyictpylyqfdlnhvfwmfet,2.0,e,United States of America,,717.0,O,Charlotte,450040.0,2.0,M,Southwest Gas
dhc10727,Qaajjvtpgdkx,6.0,,881584.0,14.0,dhcsjmvaeedkwjjxcf,UXBMBLDYBFPBFTTKJZVHAFRTRGMBVZVFARCGSWALCTCPNOZWPQHZSKJMPOWCBGWGJF,2.0,Y,United States of America,,493.0,O,Charlottetown,351830.0,3.0,M,MeadWestvaco
Yvf10728,ppoug,9.0,FTHMCJITI,1849521.0,12.0,Yvfdkzfblrsjhwbyn,Rybwezumvwnizshtevhecsbgxaavutsjwwoxfsxuuafcwbu,0.0,D,United States of America,m,789.0,O,Oceanside,365119.0,2.0,M,Baxter International
Vlb10729,bswbf,3.0,Ovlizd,3625828.0,23.0,Vlbokmoxgbaxabvidvn,Obwnjkeuxgsunhnkp,2.0,f,United States of America,,440.0,O,Santa Fe,239852.0,4.0,M,Pactiv
nbf10730,Oimmcmssmumghuajg,10.0,fjieqdd,2943929.0,46.0,nbfixlkvxgwrfsvpllsxhuft,Lybqpiqoclgmyjxnixxpjkpmsnjoukmappstjdfqpm,5.0,,United States of America,,568.0,O,Rancho Cucamonga,22805.0,0.0,M,GMAC
BXH10731,Duwsyustszephzrspihmtugkja,0.0,Ksltx,659284.0,87.0,BXHDVTJTIVR,wphmagvdjpefqfczbyrk,4.0,q,Canada,,424.0,O,Santa Rosa,344647.0,1.0,U,BlueLinx Holdings
NND10732,Xqolnorrhjnwqrwfm,3.0,Iuvxcwqwxbr,2203511.0,29.0,NNDVW,,2.0,,United States of America,,582.0,U,Mesquite,79461.0,3.0,U,NII Holdings
dui10733,yyhhdnnsxuenqwqspqvjwmcbbcoukx,9.0,NDHZOO,1773544.0,78.0,duieqpgmbmpsprcqjitkyhar,,0.0,,United States of America,f,821.0,O,Yellow Knife,481235.0,,U,Owens & Minor
pdo10734,Ghwhelkbruz,0.0,Tekjifpydsa,2253227.0,96.0,pdodoc,ztaaoamgfqdkzjincgipdckmobrycglklbrthlymqui,3.0,T,United States of America,F,763.0,O,Philadelphia,72336.0,3.0,M,Alcoa
sha10735,idyfuqgtvbwdqcliukxuq,9.0,sefznloai,2139352.0,37.0,shazjdnfpo,OLKJGNGLNECU,0.0,N,United States of America,M,448.0,O,Salinas,395245.0,3.0,M,Hexion Specialty Chemicals
jpw10736,ucewmwwblnsyjctzbp,4.0,Svbhjttlhm,1001997.0,,jpwxqwafqccxwcdbartieaf,tyuodrllnvcmniep,,U,Canada,,451.0,O,London,156674.0,3.0,U,ConAgra Foods
