prospect_gncd,prospect_mrtlstts,prospect_ntwrth,prospect_nmbrcrs,prospect_gndr,prospect_mplr,prospect_ncm,prospect_mddlntl,prospect_ddrssln1,prospect_pstlcd,prospect_stt,prospect_nmbrchldrn,prospect_ddrssln2,prospect_lstnm,prospect_crdtrtng,prospect_phn,prospect_g,prospect_wnrrntflg,prospect_nmbrcrdtcrds
Duq2981,M,573855.0,0.0,f,Henry Schein,192151.0,V,2454 cliffbrook west,43610,MO,4.0,,Duquette,341.0,1-687-285-4276,85.0,O,6.0
RAN2982,U,448581.0,0.0,,Sunoco,149414.0,,11483 bonaventure park,10117,SD,4.0,,RANOA,302.0,1-542-469-7001,8.0,O,9.0
TUR2983,S,1752738.0,2.0,,Visteon,189463.0,,7409 LEXINGTON LANE,V6O 1P5,GA,4.0,,TURNER,512.0,1-621-215-3506,24.0,O,6.0
LAN2984,S,307721.0,4.0,f,MEMC Electronic Materials,159034.0,U,14561 HICKORY WAY,75209,Saskatchewan,4.0,,LANUNIX,421.0,1-727-763-1623,80.0,R,3.0
Fwp2985,S,1807343.0,2.0,m,Warnaco Group,114785.0,M,6377 waverly upper,H2c 1x3,KY,2.0,,Fwptools,445.0,1-637-680-4229,14.0,O,5.0
Dub2986,M,3365843.0,5.0,,Lithia Motors,233432.0,,4862 martin court,v6r 1t1,ID,5.0,,Dubreck,738.0,1-941-089-8297,45.0,O,0.0
URB2987,,644607.0,3.0,f,Darden Restaurants,35126.0,,1612 beardsley crescent,98104,British Columbia,1.0,,URBSHAS,489.0,1-663-161-7279,71.0,O,1.0
COR2988,U,2977127.0,0.0,,United States Steel,335500.0,,12279 VALLEY VISTA UPPER,38115,MT,1.0,,CORRITORE,428.0,1-774-882-8228,93.0,O,4.0
Mur2989,M,952535.0,3.0,F,Air Products & Chemicals,80402.0,,378 NOLAN AVENUE,92424,NC,4.0,,Murphy,812.0,1-188-470-9595,,O,4.0
net2990,D,393816.0,4.0,M,Quest Diagnostics,475380.0,,6110 EMERSON WAY,85314,NM,5.0,,networks,535.0,1-542-659-2882,98.0,O,1.0
Dep2991,U,722484.0,3.0,m,,166133.0,K,11886 quentin west,h2e 1z6,FL,3.0,,Dephoure,601.0,1-687-895-2994,,O,1.0
HOF2992,D,1682874.0,3.0,,Teleflex,387153.0,G,20916 california north,A2B 1V1,OK,,,HOFSTEDE,634.0,1-736-713-7938,74.0,O,6.0
ARO2993,M,3296260.0,4.0,f,El Paso,361899.0,,8866 STONEHILL SOUTH,60751,CT,1.0,APT. 715,ARONSTAM,315.0,1-722-836-9527,21.0,O,5.0
Gre2994,W,186236.0,0.0,,Cinemark Holdings,245173.0,,12454 neilson lane,76136,IL,5.0,,Grelck,561.0,1-914-589-5077,43.0,O,5.0
joa2995,M,1814295.0,4.0,f,Pep Boys,381005.0,F,13288 hughes east,84601,MN,5.0,,joachimpillai,554.0,1-769-708-9859,5.0,R,8.0
Ala2996,M,1073700.0,5.0,,Susser Holdings,138668.0,P,18313 5th lane,96813,Nova Scotia,,,Alanoly,329.0,,39.0,R,2.0
Omu2997,U,3850491.0,0.0,f,Conseco,319598.0,,23131 clint way,93365,Saskatchewan,3.0,,Omura,809.0,1-409-329-3516,42.0,O,3.0
las2998,W,3546884.0,3.0,F,Affiliated Computer Services,294683.0,,2446 FOREST LANE,60605,OK,1.0,,lashmit,514.0,1-655-638-7223,62.0,O,9.0
Mal2999,M,2695954.0,2.0,m,,11636.0,,2712 MADISON STREET,M9F 1T1,MN,4.0,,Maltby,554.0,1-178-274-2023,60.0,O,1.0
COT3000,U,2257941.0,2.0,M,IDT,395228.0,,19181 west north,79923,MA,3.0,,COTUNA,547.0,1-260-128-7669,,O,6.0
WIT3001,D,,3.0,F,Amerco,,,20808 flint river lane,47724,FL,3.0,,WITZEL,748.0,1-681-739-5139,55.0,O,7.0
Ter3002,M,2590434.0,3.0,,National Oilwell Varco,428621.0,,4966 westpark south,v6x 1s7,NE,4.0,,Terrell,532.0,1-355-572-6592,64.0,,1.0
sai3003,U,655722.0,3.0,m,NuStar Energy,109822.0,G,18033 western way,60706,NV,2.0,Suite 459,saifullah,827.0,1-148-432-2818,8.0,O,10.0
ANS3004,M,1577324.0,2.0,,BMC Software,484207.0,,11943 keswick west,h2a 1z6,NE,1.0,,ANSTEAD,337.0,1-217-916-8307,5.0,O,8.0
bro3005,W,3339269.0,5.0,,Markel,123691.0,O,24696 linden west,t5a 1w5,OK,1.0,,brodman,,1-552-566-5268,13.0,O,0.0
DUN3006,M,1788068.0,5.0,,Genuine Parts,149147.0,J,3123 clint south,53785,NE,3.0,,DUNAJSKI,473.0,1-431-079-3365,,O,1.0
hol3007,M,2323666.0,1.0,f,Symantec,348554.0,,23517 LENOX UPPER,19022,GA,0.0,Apt. 492,hollington,833.0,1-196-277-9588,56.0,R,2.0
ohm3008,W,3091303.0,2.0,,Hubbell,121095.0,S,23310 bryant irvin way,V5B 1M5,AR,5.0,,ohmayer,433.0,1-504-843-0323,57.0,O,2.0
Dic3009,S,3387499.0,1.0,,Brinker International,324572.0,,22679 chimney rock west,68125,Manitoba,5.0,,Dickerson,683.0,1-939-064-8011,5.0,O,6.0
pec3010,M,2869536.0,3.0,,Watson Wyatt Worldwide,185204.0,P,9307 BEALE UPPER,v6v 1s8,PA,4.0,,peckel,399.0,1-650-906-3178,35.0,R,0.0
de 3011,,3941120.0,,,ArvinMeritor,234478.0,,17508 weller west,06521,NM,4.0,,de cristofaro,607.0,1-860-661-9820,79.0,O,1.0
DAD3012,M,1435767.0,5.0,F,Bemis,328218.0,,18008 elm south,85271,WA,1.0,,DADKHAH,522.0,1-282-401-7200,,O,
Hoe3013,S,3789374.0,4.0,M,Pool,116234.0,,23956 sheriden way,80099,New Brunswick,1.0,,Hoequist,448.0,1-403-795-6624,7.0,O,6.0
DOG3014,S,3167261.0,3.0,,Hawaiian Electric Industries,196778.0,F,10436 ingersoll upper,B8A 1Z9,IA,2.0,,DOGGETT,711.0,1-473-895-6553,57.0,R,8.0
Bit3015,S,2216657.0,2.0,,Mutual Life Insurance,90633.0,,4059 bannister park,80914,DE,2.0,,Bitton,419.0,1-336-295-6596,19.0,O,8.0
o'l3016,M,3148000.0,4.0,,Catalyst Health Solutions,287000.0,A,9721 rexford crescent,94157,NV,4.0,,o'leary,494.0,1-370-451-9388,52.0,R,1.0
HAN3017,M,2028828.0,4.0,,Lowe's,477809.0,I,2560 willowlake road,V6B 1S1,NJ,5.0,,HANNAH,619.0,1-698-770-5253,58.0,O,5.0
mak3018,U,3539666.0,3.0,,Interstate Bakeries,97907.0,,14505 wainwright boulevard,99219,HI,1.0,,makohoniuk,618.0,1-715-127-8304,71.0,O,4.0
Tyr3019,U,443129.0,,M,Boeing,153380.0,W,1612 beardsley crescent,91165,DC,2.0,,Tyrance,314.0,1-308-822-3097,78.0,O,9.0
De 3020,U,3396478.0,0.0,f,Chubb,310011.0,X,15591 holgate lane,r3a 1m7,CO,0.0,,De la,551.0,1-275-939-5916,22.0,O,7.0
sta3021,D,2581395.0,2.0,F,Service Corp. International,401631.0,,7899 murie park,93727,NC,2.0,,stachowiak,657.0,1-770-830-7433,22.0,O,3.0
sch3022,S,2817698.0,4.0,f,Campbell Soup,426928.0,,5653 WORTH DRIVE,h7e 1v4,NE,1.0,APT. 816,schallenberg,538.0,,35.0,O,5.0
JUN3023,M,531245.0,,,National Life Group,138198.0,S,22381 CAPITAL BOULEVARD,m8c 1x4,NH,4.0,,JUNGMEISTERIS,826.0,1-667-709-5038,15.0,O,2.0
PLA3024,M,882893.0,1.0,f,URS,341813.0,,3927 NEVILLE SOUTH,A5D 1A6,IN,3.0,,PLAISANCE,706.0,1-973-046-6627,14.0,O,3.0
Dan3025,S,3431555.0,5.0,,Fluor,379868.0,,6450 lemming rue,78771,UT,4.0,,Dans,380.0,1-717-151-9083,99.0,O,10.0
D'o3026,M,1866478.0,5.0,m,MSC Industrial Direct,213704.0,B,8438 century lane,V6f 1v7,KS,5.0,,D'orazio,605.0,1-257-272-5104,3.0,O,6.0
Mur3027,D,500267.0,5.0,,Republic Services,215881.0,E,21476 BANNISTER WEST,h2d 1w3,PA,2.0,,Murphy,691.0,1-574-520-1876,56.0,O,6.0
Sor3028,D,141033.0,5.0,M,Sun Microsystems,429358.0,Y,17574 katherine crescent,14232,OH,0.0,,Sorensen,486.0,1-297-166-0874,100.0,R,0.0
Squ3029,W,1075540.0,1.0,f,Wal-Mart Stores,204704.0,H,3366 curtis west,v6n 1r2,ID,0.0,,Squires,338.0,1-709-389-8112,38.0,U,8.0
Jas3030,M,2124364.0,0.0,m,VWR Funding,450486.0,M,3664 worley avenue,A5e 1b6,OH,4.0,,Jasmann,617.0,1-595-151-5920,30.0,,6.0
sta3031,M,78079.0,3.0,f,,,,3872 milam way,93358,Saskatchewan,0.0,,stat,843.0,1-327-292-0175,78.0,O,4.0
Bec3032,M,2016564.0,2.0,a,Progress Energy,278331.0,,11101 morton boulevard,53702,DC,4.0,,Beckstead,619.0,1-975-610-5322,81.0,O,9.0
Tal3033,S,2268780.0,3.0,M,Omnicare,241842.0,,1821 9th south,37933,ND,1.0,,Talbott,757.0,1-874-502-7674,3.0,O,8.0
Eav3034,M,1115509.0,4.0,f,Michaels Stores,104417.0,,3543 MORNING BOULEVARD,92199,CA,0.0,,Eaves,325.0,1-938-759-1065,62.0,U,0.0
rom3035,S,84478.0,5.0,,Hershey,13869.0,,17032 cantrell south,M7n 1c8,LA,0.0,,romanowski,422.0,1-937-040-1895,100.0,U,4.0
Cop3036,U,3219328.0,0.0,,,469275.0,,4633 palm east,M1H 1Q3,Quebec,0.0,,Copello,700.0,1-493-627-5175,94.0,O,2.0
Kal3037,M,2333732.0,4.0,M,Regal Entertainment Group,436225.0,G,3713 JARVIS AVENUE,55140,MA,4.0,,Kalwa,547.0,1-074-909-9925,59.0,O,7.0
HOP3038,U,1873912.0,3.0,F,Acuity Brands,10833.0,I,3918 shadowbriar street,V6c 1v1,Nova Scotia,2.0,,HOPCROFT,761.0,1-240-772-1887,24.0,O,7.0
Gai3039,M,3705811.0,5.0,m,Boston Scientific,226750.0,H,18947 FRESCO LANE,V6W 1P6,Saskatchewan,5.0,,Gaiotti,446.0,1-311-917-1988,12.0,O,1.0
Tis3040,M,2888989.0,1.0,,,225440.0,,23884 lavender park,28202,Ontario,0.0,,Tischhauser,,1-050-567-1812,9.0,R,5.0
de 3041,U,2893876.0,4.0,F,Toll Brothers,296802.0,,8685 peachtree upper,94507,PA,2.0,,de chabert,313.0,1-987-312-3856,19.0,R,2.0
MCL3042,,3689369.0,2.0,M,Emerson Electric,416108.0,,2116 whistler upper,47708,VT,0.0,,MCLACHLAN,300.0,1-903-170-8733,37.0,O,9.0
KAN3043,S,3371684.0,3.0,,NSTAR,337549.0,,1191 highland park lane,99600,NY,4.0,,KANGELIS,446.0,1-095-812-4138,47.0,O,7.0
Bar3044,M,677680.0,0.0,,US Oncology Holdings,66022.0,H,13306 dryden court,77505,DE,4.0,Apt. 34,Barsch,604.0,1-008-220-6353,73.0,O,
Kee3045,U,2877244.0,4.0,,Questar,293688.0,V,6993 MALDEN STREET,m5b 1z8,NH,0.0,,Keeler,737.0,1-643-759-1094,33.0,R,2.0
Nap3046,U,2345752.0,5.0,,R.R. Donnelley & Sons,284311.0,,12171 PEACH CRESCENT,90043,NC,5.0,,Napier-wilson,466.0,1-296-516-1516,93.0,O,8.0
Ive3047,M,1935111.0,2.0,,MetLife,120451.0,,11484 HOLMAN EAST,95262,MN,5.0,,Ivers,330.0,1-872-271-1074,63.0,O,2.0
lin3048,M,2072568.0,3.0,f,Universal American,385459.0,,1585 FULTON DRIVE,T5B 1L3,IA,2.0,,linkletter,761.0,1-642-526-0594,39.0,O,0.0
Moc3049,W,3594996.0,2.0,M,Duane Reade Holdings,449684.0,W,192 enterprise west,30391,OK,5.0,,Mocock,833.0,1-926-212-4603,4.0,O,0.0
ILI3050,M,1912142.0,0.0,,Harsco,461436.0,N,16221 cannon crescent,A5d 1b1,DC,4.0,,ILIC,651.0,1-271-109-9612,100.0,O,8.0
Fed3051,S,1792215.0,5.0,F,Spectra Energy,115045.0,C,22498 smithdale avenue,m9d 1u9,OK,1.0,,Feder,718.0,1-307-275-7773,5.0,U,10.0
Fel3052,S,1602546.0,5.0,,Perini,299061.0,,7667 bayridge road,72268,Alberta,3.0,,Felicetti,697.0,1-035-466-3002,33.0,O,5.0
Ram3053,,104470.0,1.0,M,Imation,445285.0,,5066 pasadena boulevard,60621,GA,1.0,,Ramlogan,397.0,1-628-509-7841,,O,3.0
Jos3054,M,3561107.0,0.0,,J.B. Hunt Transport Services,99055.0,,19305 crystal hills lower,M8b 1x7,ND,1.0,,Joson,,1-862-673-9665,73.0,R,8.0
gue3055,M,2506385.0,1.0,,Qwest Communications,275495.0,,18440 RYAN NORTH,90216,FL,0.0,,guenette,706.0,1-138-198-0701,48.0,U,
Agh3056,D,3178803.0,1.0,,Commercial Metals,174542.0,,16716 FRESCO ROAD,91158,NJ,5.0,,Aghili,323.0,1-880-565-5231,17.0,O,0.0
HOR3057,M,,3.0,f,Ross Stores,439661.0,I,4065 pampas south,53217,IN,1.0,,HORGAN,505.0,1-022-077-6010,16.0,O,6.0
Hag3058,D,2849116.0,3.0,f,General Motors,,Z,9907 upton south,99766,AZ,1.0,,Hager,446.0,1-070-754-6492,27.0,O,6.0
yak3059,D,872344.0,2.0,,Fidelity National Information,,J,10363 BOLT BOULEVARD,t5a 1o3,HI,0.0,,yakibchuk,506.0,1-536-525-9604,50.0,O,5.0
WIN3060,W,2352015.0,0.0,,Kindred Healthcare,221516.0,,11358 elle lee street,94620,NM,3.0,,WINSBORROW,695.0,1-374-553-6999,14.0,O,3.0
GOD3061,U,3948680.0,1.0,f,Verizon Communications,44842.0,T,5524 VERMACK STREET,S3b 1f9,Alberta,0.0,,GODCHARLES,,1-148-531-2413,40.0,O,10.0
SWA3062,S,1895317.0,0.0,,Union Pacific,172863.0,,2203 valita boulevard,M5a 1w4,Newfoundland,0.0,,SWACT,,1-136-060-4753,92.0,O,9.0
Gru3063,S,1164152.0,2.0,M,Harrah's Entertainment,403073.0,,5083 hunt drive,48268,FL,5.0,,Gruska,544.0,1-903-378-9049,15.0,O,
BAI3064,W,3046755.0,1.0,F,Benchmark Electronics,108660.0,G,20166 PRESIDO PARK,90098,UT,2.0,,BAINER,,1-373-411-1855,89.0,O,0.0
co3065,U,1832388.0,2.0,,Flowserve,288265.0,M,20706 dawnview lower,31419,DE,5.0,,co,353.0,1-997-534-5980,75.0,O,9.0
bvw3066,W,2028555.0,5.0,,Portland General Electric,280282.0,T,22987 milbury south,V6i 1v5,PA,3.0,apt. 897,bvworks,693.0,1-288-380-1182,48.0,O,9.0
fal3067,M,1844297.0,0.0,f,Regis,221263.0,Z,21477 warren park,96814,British Columbia,3.0,,fallis,760.0,1-263-780-9228,77.0,O,8.0
Lar3068,U,,3.0,,Consolidated Edison,19344.0,K,17109 TIDE MILL NORTH,t6d 1b6,RI,,,Larabie,828.0,1-010-786-8617,45.0,O,5.0
Bra3069,M,2218624.0,0.0,,Advanced Micro Devices,105716.0,M,14202 NAUTILUS BOULEVARD,V6l 1v6,Prince Edward Island,3.0,,Brasset,675.0,1-843-222-1538,76.0,O,2.0
ZER3070,S,3657144.0,4.0,F,UAL,363556.0,,22775 gardina drive,10187,Manitoba,4.0,,ZERRIFFI,450.0,1-178-712-0787,44.0,O,0.0
Mcc3071,M,2744908.0,4.0,,Packaging Corp. of America,266666.0,,5257 flynn avenue,25729,MT,0.0,,Mcculloch,488.0,1-364-880-7790,64.0,O,4.0
TOD3072,U,,0.0,,Honeywell International,52034.0,,9375 WOOD SOUTH,V5b 1o2,MN,1.0,,TODO,515.0,1-048-970-6083,79.0,O,9.0
MOO3073,W,3223169.0,,,Saks,140710.0,,21568 ALPHA UPPER,97223,TN,4.0,,MOOKEN,478.0,1-440-276-2472,3.0,U,4.0
Ram3074,M,2414337.0,4.0,,Cintas,326409.0,,7820 harrington park,04243,VA,2.0,,Ramondt,585.0,1-170-779-6985,20.0,R,6.0
Bro3075,W,2913542.0,5.0,,Spartan Stores,253205.0,,7223 guadalupe lower,45233,MI,3.0,,Brockmann,624.0,1-701-744-4354,67.0,O,5.0
orl3076,M,1689879.0,4.0,,Crane,281757.0,U,10308 fredericksburg west,90836,WA,0.0,,orlando,532.0,1-308-397-0743,42.0,O,9.0
MES3077,U,2805881.0,5.0,,Qwest Communications,,,18570 woodtimber way,92126,WY,0.0,,MESSIER,332.0,1-196-365-4917,82.0,O,5.0
hoa3078,U,2004131.0,4.0,M,Host Hotels & Resorts,498848.0,U,13573 LAVENDER COURT,95256,MI,3.0,,hoang,624.0,1-772-762-6054,97.0,O,3.0
ser3079,U,192086.0,1.0,m,Bristol-Myers Squibb,220728.0,,8589 WALDEMAR WEST,m5c 1y8,GA,0.0,,serour,360.0,1-949-165-3348,20.0,O,4.0
Kri3080,,3576891.0,4.0,F,Harrah's Entertainment,93736.0,J,3647 crumley boulevard,e7o 1f5,AL,5.0,,Kriz,819.0,1-793-837-5966,96.0,O,7.0
Rok3081,W,357655.0,5.0,,Buckeye GP Holdings,382367.0,,21976 broken oak lane,95227,CT,,,Rok,472.0,1-300-888-6324,24.0,O,4.0
Str3082,M,1178324.0,5.0,,Lexmark International,400443.0,,9396 pasadena lane,91108,MT,1.0,,Stropp,614.0,1-940-479-9640,47.0,R,
Kun3083,U,773825.0,4.0,,E*Trade Financial,47255.0,,23588 madison west,70808,ID,5.0,,Kuntova,442.0,1-387-078-9049,10.0,,2.0
Run3084,S,704845.0,4.0,M,FMC Technologies,121542.0,,14495 valita road,85744,OK,1.0,,Runkel,603.0,1-824-182-0695,98.0,O,0.0
HOF3085,S,2757303.0,4.0,f,Philip Morris International,208798.0,,19474 blalock lower,61105,New Brunswick,0.0,,HOFMANN,475.0,1-910-740-1005,,O,8.0
QUE3086,M,1804442.0,5.0,m,Delta Air Lines,358599.0,,18710 queen lower,V6v 1w5,KS,2.0,,QUERENGESSER,397.0,1-426-650-1805,19.0,,
Zai3087,M,1824106.0,5.0,M,,34649.0,,23588 madison west,T5C 1Y4,ID,2.0,,Zaidi,482.0,1-571-492-6090,17.0,O,7.0
mcr3088,M,208420.0,5.0,,Clorox,460001.0,T,1684 weyland west,T6a 1k6,IN,1.0,apt. 803,mcready,593.0,1-351-764-2661,16.0,,7.0
mon3089,S,191171.0,4.0,,,105880.0,L,10309 KELVIN CRESCENT,72240,AR,5.0,,monson,681.0,1-642-251-4571,16.0,O,8.0
Akb3090,M,3672403.0,0.0,,,56130.0,,17727 ashbrook lane,37929,Ontario,0.0,,Akbas,,1-029-755-0157,68.0,O,4.0
Fss3091,M,1963014.0,4.0,F,Wells Fargo,183264.0,,4607 creekmoor upper,90862,Ontario,3.0,,Fssup,495.0,1-915-965-1116,5.0,O,1.0
TOO3092,M,511183.0,2.0,,Calpine,390264.0,Y,291 sheriden street,H6B 1X8,OH,3.0,,TOOP,635.0,1-491-255-8145,54.0,,2.0
AYU3093,M,142681.0,3.0,F,Textron,79798.0,,15520 LEDGESTONE UPPER,V6C 1P2,Manitoba,5.0,,AYUKAWA,846.0,1-320-723-7644,100.0,O,4.0
Dpn3094,U,1202763.0,4.0,,Aleris International,375011.0,,6916 SILVERADO AVENUE,74101,SD,3.0,APT. 689,Dpnbuild,356.0,1-672-051-0085,22.0,O,8.0
End3095,S,1020616.0,0.0,,AT&T,67480.0,D,13668 beach drive,T6b 1b9,MA,1.0,,Endsley,521.0,1-097-447-8793,69.0,O,4.0
Mot3096,U,3140668.0,0.0,t,Ferro,,,19906 rollingwood rue,T5a 1o2,TX,,,Mote,788.0,1-242-746-6531,34.0,O,0.0
Pul3097,M,208908.0,,,NetApp,279418.0,,5359 gaylord lane,78747,Alberta,5.0,apt. 406,Pulver,399.0,1-585-824-1550,11.0,R,9.0
agu3098,W,304075.0,3.0,M,Acuity Brands,259722.0,R,13019 8th south,68123,MT,5.0,,aguinsky,313.0,1-977-286-7076,37.0,O,0.0
LAH3099,S,3210311.0,0.0,,Black & Decker,304401.0,,23402 miller court,98130,IA,2.0,,LAHEY,684.0,1-851-723-8379,92.0,O,9.0
mcd3100,W,418425.0,0.0,,Jo Ann Stores,214080.0,Q,2260 mulberry north,H2B 1Y6,NV,4.0,APT. 716,mcdonough,435.0,1-888-382-7616,16.0,O,3.0
SOD3101,U,2170709.0,3.0,,BJ's Wholesale Club,390388.0,,5975 winston park,93791,HI,3.0,,SODHI,673.0,1-468-275-9164,84.0,R,4.0
EMH3102,U,179149.0,4.0,m,Bank of America Corp.,301045.0,,24375 6TH WEST,30323,KY,0.0,,EMHART,310.0,1-876-503-4833,37.0,R,9.0
Kro3103,U,1662610.0,0.0,,United Technologies,495022.0,,9764 harvard park,V6s 1q2,WA,5.0,,Krodel,544.0,,52.0,O,6.0
DEC3104,M,1073970.0,3.0,,Enersys,226822.0,,11867 davie north,y5c 1n8,UT,0.0,,DECAPUA,335.0,1-615-328-9622,68.0,O,
Ler3105,M,360341.0,0.0,,,76077.0,,1879 arcana lane,93877,CA,2.0,apt. 266,Leroux,739.0,1-894-812-4299,11.0,O,
Sto3106,M,3565040.0,3.0,,Lincoln Electric Holdings,277268.0,E,23140 GALE EAST,94552,British Columbia,4.0,,Stover,587.0,1-346-186-7731,70.0,O,10.0
Pae3107,M,876117.0,2.0,f,,,K,12272 regency lane,23236,IL,1.0,,Paes,705.0,1-357-662-1742,14.0,O,6.0
Nip3108,M,1086140.0,4.0,,NII Holdings,5586.0,L,19332 PAINT ROCK AVENUE,M7o 1b1,OK,1.0,,Nipper,,1-602-679-9263,34.0,R,
Wil3109,M,3498451.0,4.0,,SanDisk,327334.0,U,24130 sunscape crescent,33125,GA,2.0,,Wilkes,311.0,1-427-895-8131,95.0,,8.0
Alm3110,U,3779366.0,5.0,,United States Steel,381269.0,M,3713 jarvis avenue,35272,NY,,,Almeddahim,400.0,1-060-728-0288,,O,0.0
MON3111,M,3065339.0,3.0,,Dun & Bradstreet,39476.0,,24007 minot south,29403,Prince Edward Island,1.0,,MONETTE,641.0,,10.0,R,0.0
Lya3112,D,2240406.0,1.0,,Coventry Health Care,78953.0,,19342 WYCLIFFE PARK,M1i 1q8,Nova Scotia,5.0,,Lyall,770.0,1-285-069-0023,29.0,R,7.0
ZUK3113,M,68191.0,1.0,,SAIC,410231.0,M,22831 barberry park,H6b 1x2,New Brunswick,5.0,,ZUK,651.0,1-306-185-2595,,U,5.0
Ric3114,U,2085669.0,0.0,,Armstrong World Industries,214921.0,,9499 RICE AVENUE,64115,Newfoundland,0.0,,Rickel,378.0,1-150-952-1719,79.0,O,8.0
pla3115,W,2357219.0,1.0,F,News Corp.,35324.0,T,23783 grassland east,93765,IA,4.0,,plato,353.0,1-024-360-7807,92.0,O,5.0
Bob3116,M,807993.0,4.0,,Wells Fargo,455351.0,,23007 wakeforest way,73182,ME,4.0,,Bobar,568.0,1-167-430-1078,38.0,O,0.0
REI3117,,1949317.0,1.0,m,NSTAR,355096.0,,24368 rutgers way,H7E 1T5,Alberta,0.0,suite 465,REILLY,635.0,1-225-903-1599,82.0,O,2.0
ber3118,D,3028375.0,,,Masco,102727.0,,16328 rockdale avenue,60713,MO,4.0,,bergado,617.0,1-893-033-3879,,O,4.0
Che3119,M,3314050.0,1.0,F,Kla-Tencor,219927.0,,6496 PANTHER CREEK UPPER,V6B 1V3,VT,,,Cher,782.0,1-362-400-7136,37.0,O,10.0
his3120,W,1659771.0,1.0,f,Expedia,25075.0,H,10168 CRYSTAL HILLS EAST,e7o 1o7,Nova Scotia,2.0,apt. 254,hiscoe,461.0,1-584-507-6253,88.0,U,0.0
Pol3121,M,173008.0,1.0,F,Modine Manufacturing,285355.0,,21893 vaughan way,35213,NE,0.0,Suite 37,Pols,385.0,1-962-172-5663,60.0,O,2.0
Hec3122,W,409430.0,5.0,m,Northwestern Mutual,100367.0,,8385 raymond crescent,78289,CO,4.0,,Heckman,419.0,1-374-630-4994,29.0,O,10.0
pla3123,U,3118188.0,2.0,f,Bucyrus International,362095.0,O,10505 KING CRESCENT,90050,VT,0.0,,plasse,570.0,1-016-092-6193,96.0,O,2.0
Gul3124,M,,0.0,,Expedia,87845.0,,23787 HOSTA PARK,m5b 1w8,PA,0.0,,Gulko,306.0,1-554-553-0080,42.0,O,3.0
KOV3125,D,2840369.0,1.0,,FedEx,291368.0,G,19045 ROCKHILL ROAD,91919,TN,2.0,APT. 426,KOVACS,760.0,1-123-193-7228,37.0,R,4.0
Lao3126,M,3777874.0,5.0,F,Cigna,361721.0,,16759 park avenue,06517,OR,1.0,,Lao,645.0,1-183-412-1667,92.0,O,0.0
wep3127,M,2142987.0,5.0,,Cigna,141658.0,,2836 archer crescent,V6D 1U8,Prince Edward Island,4.0,,weppler,519.0,1-002-495-4668,28.0,O,3.0
STR3128,S,205756.0,3.0,m,Sara Lee,73771.0,,20716 knowles drive,T5C 1Z1,Ontario,5.0,,STRAUB,440.0,1-043-072-0240,74.0,R,4.0
tri3129,M,2811047.0,4.0,,VWR Funding,89922.0,V,13456 vernon street,90824,AK,4.0,,trisic,795.0,1-596-215-0246,6.0,R,7.0
Sal3130,W,1177879.0,4.0,,Aleris International,177712.0,C,4686 raymond south,V6D 1Q4,MA,2.0,,Salehi,572.0,1-859-619-5995,77.0,O,7.0
Scp3131,M,2129480.0,4.0,,BJ Services,287502.0,,24929 dusty boulevard,23261,MN,4.0,,Scp,768.0,1-978-950-0041,86.0,U,8.0
OBE3132,M,,4.0,,Seaboard,27872.0,,10970 HAWKINS RUE,35243,Nova Scotia,3.0,,OBERMEYER,615.0,1-536-180-2953,27.0,O,
dri3133,W,3898827.0,1.0,M,Fidelity National Information,,I,232 lyle park,M5g 1y3,MS,0.0,,drinnan,474.0,1-357-643-4970,83.0,O,8.0
KEH3134,W,,1.0,m,Cenveo,28457.0,,13147 YOHAN ROAD,91321,SC,2.0,,KEHOE,525.0,1-865-118-5428,48.0,O,9.0
Vya3135,M,1884720.0,2.0,,McKesson,399670.0,,22357 BELLADONNA SOUTH,v6h 1r1,MT,4.0,,Vyas,695.0,1-853-359-1371,25.0,U,5.0
o's3136,W,3105879.0,3.0,,Macy's,210152.0,C,10918 lindale avenue,t5a 1q3,RI,4.0,,o'shea,350.0,1-099-842-4032,0.0,O,8.0
Tis3137,M,3441700.0,4.0,m,Ryland Group,23651.0,,13005 bramblewood south,77198,Quebec,4.0,Apt. 157,Tisdall,767.0,1-980-519-7354,50.0,R,
Sla3138,S,3573061.0,3.0,M,Terex,,O,5379 camino real north,94444,WI,1.0,,Slavin,666.0,1-550-897-9674,43.0,,1.0
Het3139,,1788261.0,,,Jones Financial,53765.0,,10543 cravens crescent,93855,Newfoundland,0.0,,Hetzel,349.0,1-499-591-1345,37.0,O,0.0
Lit3140,M,3763814.0,4.0,F,Starwood Hotels & Resorts,414557.0,W,17788 EAGLE TRACE PARK,19197,CA,3.0,,Litt,787.0,1-448-117-7047,19.0,O,7.0
Cow3141,M,1099302.0,2.0,,Brown-Forman,253059.0,,4492 NOWITA ROAD,H2A 1X3,NJ,4.0,Apt. 607,Cowick,549.0,1-298-149-2645,10.0,O,6.0
gai3142,S,2295377.0,5.0,M,A.O. Smith,52347.0,,14359 COMMERCE WEST,94142,RI,0.0,,gaiger,492.0,1-940-083-2948,75.0,O,4.0
pol3143,M,3517884.0,4.0,,Schering-Plough,86239.0,,9371 sweeney court,45230,AK,5.0,,polanco,822.0,1-737-421-9400,57.0,U,4.0
