prospect_AgeID,prospect_Em,prospect_AddLi2,prospect_Ag,prospect_In,prospect_LaN,prospect_OwOReFl,prospect_Ph,prospect_MidIn,prospect_MariSt,prospect_Co,prospect_NuCa,prospect_AdLi1,prospect_NuCh,prospect_CreRat,prospect_Ci,prospect_St,prospect_NuCreCa,prospect_NWor
JEK9853,Michaels Stores,Izhtyodzzntinvlziesgupkxoznkbbxvvizhqmqbvfpmpunpsicwncgco,91.0,297632.0,JEKVKKUVFZH,R,,,S,United States of America,,suvrgpijwxr,5.0,619.0,Virginia Beach,Ontario,0.0,3130806.0
SGG9854,Agilent Technologies,HFNRPTZHYNPUISUJOAHPFIFKTIKSJDCQZMJHYKOFRIXGSQRSWOUKEBTPBAREVPHE,99.0,239655.0,SGGYQXCRPUBZCHNDHUQ,R,1-549-547-9329,,M,Canada,2.0,Alvlfusbdtqomlkeoxxrflxandqvuyjlxlezljedidjgmutpausuddotrtppaedqju,,446.0,Salem,Newfoundland,,3473479.0
rmn9855,NewPage Holding,,84.0,366997.0,rmnajclkedphqgofxfftredkeisawv,O,1-754-004-1808,E,D,United States of America,4.0,TOAFXTPHNCIPUPEZGGDLWOUSYCVSNOAMHVNIEAHJGVYCFLMLQ,2.0,767.0,Overland Park,MT,5.0,100195.0
BUP9856,General Cable,JHBLMPYIIDZFNKOHZNRACLPBOZDUDOECXTKSABYLEVYVDAHHRKFTIXBICWBPACPAPEKHVJRIWTAENCQG,73.0,73136.0,BUPPEOGTPSWTCUWSORH,O,1-336-478-8193,,M,United States of America,4.0,juxwqpzobftufrxyfjibn,4.0,428.0,Mount Pearl,Nova Scotia,3.0,106595.0
akt9857,YRC Worldwide,wyhqaawdnqedsyysgbhsnctdwkiuuqortcvbhvfdmjwfnaw,84.0,92343.0,aktkzstytbfnsh,O,1-270-703-6913,,M,United States of America,2.0,Hmujftsmvbcokwnoilcuugkeajrjdsupydwicssfaardrh,3.0,528.0,Los Angeles,VA,8.0,817817.0
PJS9858,NV Energy,ISWKMPZN,54.0,283951.0,PJSXAVMV,O,1-256-718-0489,S,M,United States of America,5.0,tsyqj,1.0,523.0,Syracuse,AR,4.0,2802149.0
Puy9859,Sun Microsystems,Vhcsdwqkqfsjggsxdasswbbgs,34.0,37154.0,Puyvejbpofixaxcslxrivncxzda,R,1-417-894-7081,,M,United States of America,0.0,,5.0,658.0,Allentown,AZ,7.0,506871.0
hoq9860,,Opdbvexsxtuymsdfotsuxctnwtialirebxiixwgbbbbafhfwijqyfdfcwaztlu,48.0,96303.0,hoqrjsqztbxucleb,O,1-185-319-8207,P,M,United States of America,2.0,,5.0,475.0,Brownsville,VT,5.0,1405175.0
Rqx9861,Lowe's,yiitniskyiozqkdrcnzdmjozfsqjadpcrp,76.0,430997.0,Rqxvrtksjsisacjahfqwnmxrptqwsl,O,1-450-615-4188,,D,United States of America,3.0,WWTAUUTSAXZNQHABECTKYBWFNSQUNEUITNLYEFHILMRQZHWZAEFQLVKARDXP,3.0,678.0,Charlottetown,PA,10.0,2650306.0
Qmb9862,Total System Services,rcounpcgmexgkmpl,10.0,428569.0,Qmbqapfddiinub,O,1-871-896-6899,,M,United States of America,2.0,ipxqdpezdnbxdllblghrbmhcrkgzbdmxgcnbtcox,2.0,469.0,San Francisco,Saskatchewan,,1956097.0
ert9863,Integrys Energy Group,gpffjqedvheykd,74.0,304381.0,ertxwhye,O,1-346-609-8684,,W,United States of America,1.0,WTIIHWMETSJOCUIOKSULCLTIEZYYPEJXKHSMPTBERTDK,3.0,595.0,Omaha,IL,1.0,973923.0
sjl9864,Collective Brands,ckhioaxxblvczttjkuvkcqdudscruuxdjcfjktcruywyvqi,96.0,422144.0,sjlsvaaanfwiainmxbfrrawgsuwrrc,U,1-983-655-0855,,D,United States of America,5.0,Ddwhtzvgucvxg,4.0,749.0,Buffalo,NH,2.0,2446019.0
LCR9865,Snap-On,Onunlqtkrwojgbagpbhrumyeaceiubuwofkgpoaacjsjkoi,43.0,385918.0,LCRHNFUZEHZPGB,O,1-595-433-8361,b,M,United States of America,2.0,ZBNXPWWQSFGLPUGGSLTKSGHAINIQSMMPRSACA,2.0,344.0,Montpelier,SD,1.0,
Vjb9866,Applied Biosystems,XHSROTTOGPDRMKOTMRYOQHPNK,74.0,46320.0,Vjbovhfibzftwqyilltu,O,1-409-001-1296,,U,United States of America,0.0,eibhqzsogmsjmbskjkoaupsxzoctivejsfmnuivsueeaoxtdcwbecemlhtseieh,3.0,337.0,Iqaluit,CA,6.0,2169049.0
fhb9867,Watson Wyatt Worldwide,,75.0,355052.0,fhbgdhifukqedkgqlvjotpyoitutve,O,1-819-971-2152,,S,United States of America,1.0,Fnjjaaxbdiwdqfycyracnzbchzkrvwxplpvvsvegzuxwobntktfdjdupqueloiasneybaffnjjj,3.0,841.0,St. Paul,DC,4.0,2566691.0
Vzn9868,R.R. Donnelley & Sons,Mdbnegsp,97.0,335409.0,Vzntwjorkjjh,O,1-193-083-0580,,U,United States of America,,Baxgsljqeeltpjpuakhaiktpotmdnsqcnnnjkluzwdzolzhrbgnoefriebj,1.0,544.0,Lewiston,MO,3.0,2356764.0
Niq9869,FreeportMcMoRan Copper & Gold,XGWAPMOPNTQGZYXPPZQWLNPQKSACXCIWPFNSJSUAIPSPDXDKPETOPTKJIEOGZPKBJFRSUP,25.0,353085.0,Niqsgubywjumk,R,1-784-700-1830,Y,U,United States of America,0.0,,3.0,574.0,San Francisco,NE,5.0,2465932.0
Lza9870,Smith International,Vmyhwsxuramhualvnjpshdyomhejqrcaptsnoumzcigxeyvjnaxrktowcrfjuhembzykgvfdmlrmvpph,88.0,,Lzaoo,O,1-944-696-1094,,M,United States of America,0.0,nduiygtugghvamcogyriwylttkwpgageywikmycjmphyoiwjqabpqwiocomo,2.0,411.0,Elizabeth,AK,3.0,838029.0
nyp9871,RPM International,XSDXWLMIKCBPPPFYJACRYCBJRHOSDK,53.0,15241.0,nypkfbhhr,U,1-467-923-4156,,M,Canada,1.0,Sayfpgwzvmiwdxlicpbxiudjioqficgdjpopznhkzwxmmvoxoxjtplsudverphcbdiezgftrgo,5.0,428.0,Hilo,SC,2.0,1194315.0
YKS9872,YRC Worldwide,jefxeebhecjjulhxdopovnlgjkxcf,21.0,201461.0,YKSEEDGQHIKQASSZAOKVUPDDWMBQ,R,1-551-393-7913,,S,United States of America,5.0,Gcweezm,4.0,768.0,Elizabeth,VA,2.0,896952.0
Miu9873,Newmont Mining,UMVDXRJTNSAYTFEVGIVDKLBFGSLMFMHF,91.0,175251.0,Miudmhrkxaxijuayrcfusm,R,1-419-879-0272,F,D,United States of America,4.0,Mgmwixvhtipswsrmrpklhxttmywdfzaeskjemxvjbcacfpctqnsdwsjyeghfmdpoitlcwdbuus,5.0,841.0,Santa Clara,New Brunswick,4.0,1449534.0
MGY9874,PSS World Medical,Kjwkteidhopydthhvuha,51.0,179654.0,MGYJLBH,O,1-069-537-7174,,U,United States of America,4.0,ABUTJIRLZZLSNLPLVAIYZTLYURFKUNAHODDSKISEZFDHBGDFMDPGHXBD,5.0,698.0,Albuquerque,AZ,1.0,2836067.0
Gez9875,Southern,FHSSPBEAMOZMYZXKFGAWHVAHBUNJKCVBRROOUGGQESRUXSTXPVGJHOQIIRZHSRQCRK,56.0,228684.0,Gezpnywjipqekgyjwywsny,U,1-889-695-7999,,M,United States of America,1.0,Huumfhewrwfvlxglorxrtrae,2.0,,Sacramento,GA,10.0,3528220.0
Pmm9876,Perini,BSFVBCFZGDPMQGE,9.0,363168.0,Pmmnpywempdapxiu,O,1-210-900-6565,,M,United States of America,1.0,CKAZQEPJKYXZWGRNRHGPZAYKPNZITWUPZMUTSIKEGTCVAPRDNIDXDCNXERAYIANSGQYHVLUPITAN,3.0,656.0,Lowell,CO,,844644.0
APL9877,Ecolab,DILUOQTBDPPUNPWXZLWHTDZIMSMIXWHBHGGG,19.0,403522.0,APLMI,O,1-607-512-2320,z,M,United States of America,0.0,Fqoosmgxyicpgckpxjhprposcqx,4.0,565.0,Lansing,ID,5.0,3620604.0
jlx9878,United Natural Foods,Tbpzrrbhvapnehinshrzpwfaofmtqzjdvdgvmtpvhrkvyagvmgwhzybtqnhqlve,,69468.0,jlxronfhkrhakrkigrcexqmdis,O,1-749-491-3569,,M,United States of America,1.0,Rketyklqgcs,4.0,371.0,Charleston,NC,6.0,400095.0
CXM9879,First Data,DOYWOAMFIGMKSWLIOJICVPDN,26.0,217571.0,CXMVGGRTNUIRK,U,1-348-668-6049,M,W,United States of America,4.0,xlmcdctsunokjepaxsijhuyrtgknjmbepqvnlzbjegstruipjwbpiuzfytameowurbr,2.0,753.0,Rochester,Saskatchewan,4.0,847663.0
aah9880,New York Times,qfmfuljcbryhuriebttgebhsuoqduzroslapfmixdmienjethzmqj,2.0,137162.0,aahunstrkuzxuamzruzj,,1-486-450-1008,A,S,Canada,1.0,Eyawltxvsdhjgkdopnmnunszbmhclmbavflhfkwqkiftstwnujmx,3.0,615.0,Virginia Beach,Newfoundland,7.0,2345473.0
Huy9881,Olin,,18.0,497380.0,Huylys,U,1-979-047-5794,,W,United States of America,3.0,emkohrnqrjbrjwkcgtztjglgjmonkdkzosaflivuvsiioj,5.0,405.0,Iqaluit,WI,10.0,3395353.0
QZC9882,Con-way,Nvhhdkdagfmdfugyxylbspbnnutvhwhwx,88.0,,QZCMUQNABYZVXZWWVZVZIF,O,1-493-543-3043,i,M,United States of America,1.0,,4.0,731.0,Chandler,WY,10.0,1433403.0
HGM9883,Pfizer,oewwgvkepcbsobyeqybprrm,46.0,27599.0,HGMLF,O,1-632-596-9700,,U,United States of America,3.0,XQLDVNTNOMAIWQDXXWNUDCSA,2.0,795.0,Simi Valley,Nova Scotia,4.0,563734.0
ebf9884,Liberty Global,WLCGRFNOHOYGYFBDPYWTUJRNKIY,94.0,153424.0,ebfsvymbidxfrxftvn,,1-083-018-8740,,W,United States of America,4.0,giggjyqihxkvrarddfevwxlwblymcvelsywfcntqpivkwdkeqjmvviqmdhrnalrq,1.0,826.0,Pembroke Pines,CT,2.0,2116224.0
GIQ9885,Pentair,Onfbqtiuqxfjhjbarnxhqydagwlaofjojenuzpvfbpsjlxusbggpcbxicl,68.0,161673.0,GIQXSKHVCXLED,O,1-273-786-5182,r,S,United States of America,4.0,YKONRAFKNMKNXZ,4.0,768.0,Chula Vista,CT,2.0,95894.0
Csi9886,CF Industries Holdings,Levtso,71.0,466318.0,Csikqrxdjvxiwcruimkjegnpfi,U,1-159-822-5035,f,S,,3.0,lrtdpbxedpasmppkshebwagbyrdpixftzedmrilzjvlhedjlpyfctohownzodxwdfwnhnxiluhlmzo,0.0,,Macon,WI,4.0,2002783.0
Iev9887,CACI International,rcplsbdlejdhcbngwfifsibcirjpdtitbjlcfonauixt,74.0,304015.0,Ievwgpvnxkvmowsdrwnnjt,R,1-416-527-7417,k,M,Canada,1.0,Ntqaptnblyvzjudebttjlsvuakcjfkycmzjrmbiuvnae,4.0,485.0,Peoria,FL,1.0,2439845.0
zau9888,New York Life Insurance,zmtflfjaiqaacliuhhnuyjsmlenoqwbkhtoducipmssgxupxlkvjojzukwuvfgukvm,98.0,130884.0,zausy,O,1-797-409-8765,X,U,United States of America,0.0,Hrdnjmwkwvfvailoqftwscwldqnlrnbb,3.0,463.0,London,OR,3.0,2342350.0
Bxb9889,,gjusmjtthhddutzrwppcywtrjyiqabhqfowlkzjmfyyzzghicjosnzwunnmkrlnbiydunv,60.0,480167.0,Bxbexadyatboiett,O,1-490-149-9176,,M,Canada,2.0,YAPIEDCNCOAVMOCYDAMWYFDRHKAKDVMMCJZSSL,3.0,769.0,Fort Collins,IA,6.0,2694839.0
Gmm9890,Timken,Dygffvsfjwaneiiqwltbjmferhpbtugh,40.0,133671.0,Gmmwevfgsewxrke,O,1-368-070-9973,J,W,United States of America,3.0,GSCZNGIANJYPVWGTAHDZLNPIEXX,,556.0,Scottsdale,GA,4.0,1486843.0
lii9891,Michael Foods,Rhtxkiajernfr,66.0,480094.0,liiowdfkirqappqzriywrripcupbxp,O,1-277-087-0426,,M,,4.0,DDKKFKCQIKCUFLOFZHMXXQXQMZHGLPUIJJIFFXSCSKUDYIEOVADECOURCDHPK,4.0,505.0,Sudbury,Nova Scotia,10.0,3037943.0
mep9892,Idearc,Oxbcpnvtbaeguxtzojqubiwdojmyysvmvbdxzxrbtvssmvdycpbyqblbytkvburopbesfa,56.0,38745.0,mepkkumyvoumnwhcox,O,1-279-864-8716,,W,United States of America,2.0,GVQRQKKRNHKAAWIEUIZXQFVNBJHNDLHN,4.0,393.0,San Antonio,TN,5.0,
jiq9893,Paccar,NXGAPNERRTIV,68.0,216278.0,jiqllnpdenluhoscnkhxtra,O,1-439-540-3593,x,M,United States of America,0.0,robqyrfltgvdvdcbkmktuafmjxhcxwezkiepjmbodum,2.0,710.0,Simi Valley,IN,2.0,524271.0
Smg9894,Aventine Renewable Energy,Iijfyrtiruwnmodfxuzwwkgvtednzhijgn,65.0,159431.0,Smghllfroebwnbukeam,R,1-446-000-6052,v,U,United States of America,4.0,uobhq,4.0,499.0,Cheyenne,IA,10.0,1364045.0
hlv9895,Boise,Yovgdnqccgbvjedgzeeackhxm,23.0,19888.0,hlveqavpxkqbeoxnhxmtiqe,R,1-241-295-6865,,U,United States of America,1.0,Otpufnpyvehalbnztonbxwcvteqobbzwoqdzk,4.0,503.0,Chattanooga,NY,10.0,
Umi9896,Erie Insurance Group,Fqekebjyutgjfxcrimgkqpkbmoxkldxi,96.0,256100.0,Umirzjhydmfjeprqqcoomweqpfeqs,O,1-050-189-4873,q,,United States of America,5.0,Kmccswqlvnblkxstueltlpvsndtwtsceaptbtx,5.0,664.0,Lexington,NC,,1640714.0
UIQ9897,Rite Aid,,38.0,218532.0,UIQGJHBVUXTXVWFBTELGQMZKK,O,1-897-005-0822,s,S,United States of America,0.0,NJPBRLOKPNERQSVMJBXHSXGAQ,0.0,580.0,Las Cruces,ID,5.0,1149542.0
fpi9898,Owens & Minor,Etflv,0.0,448600.0,fpiiwpe,O,1-785-431-3324,x,U,United States of America,3.0,KCQOQAPULIZAJDXPVIOAHXTPURBZSGDSTETOAFEETYPEJJ,5.0,381.0,Stamford,Quebec,4.0,
TMU9899,,kczfubaoexxnmxaiqngdaeedtjtarcmssrkathkefxokagvnehddcspatvlohaajkhgfwgtqdb,2.0,248667.0,TMUIKEQLQO,O,1-777-561-6436,,U,United States of America,1.0,Brakyithgldrymdbwlgrvunykpqdowxnjxudkblpouxkr,2.0,325.0,Irving,WI,1.0,2850504.0
AWQ9900,Rockwell Collins,Sauqgntdrbknoddamktscxlbvnktddxlqkcnphkwddfnudlsizmosxpyhgzfu,9.0,421362.0,AWQDOAKGTJNARNQAJT,O,1-780-406-7547,,M,United States of America,1.0,Lwjaoguiroerdihjxpdznszgpklblkcgnhbikhrpwifkjdi,2.0,613.0,Boise,Prince Edward Island,7.0,1927935.0
Koc9901,Pep Boys,UCFBO,58.0,321585.0,Kocjwrpzxezlxulcupmlnklbhijwv,R,1-967-103-9377,w,U,United States of America,3.0,Jlysteykpfmecrlvzaziacxfwshnwrfixqyyxfaeuaifjxtjdf,1.0,326.0,Detroit,SD,6.0,3088112.0
Dds9902,RSC Holdings,qvsffq,62.0,265660.0,Ddsofcguirdysfho,O,1-026-018-4555,,U,United States of America,3.0,suvfofjsatumssyyelzdkxzmhvmgb,3.0,304.0,Anaheim,WI,10.0,1745256.0
Rss9903,Analog Devices,Kwmhgrueplwtswggppwcijknrsviujrjqmodgpzlhffcbxgjnklcipvxywtnnhcymkaa,22.0,256894.0,Rssxdvqjuwloiadoyon,O,1-794-707-6361,u,S,United States of America,5.0,OYZKRWEQKMKPLKX,1.0,841.0,Salem,NM,9.0,3478614.0
IHF9904,,Cpjgpuyafuxjhagabxsohikqphjcpllbnbpovpqlkgkotbtskqtd,57.0,217120.0,IHFBGNWFRLMTPY,O,1-809-289-7249,,M,United States of America,1.0,Xxhkiaoewrnpawcevxelbfdlgqpnbhrbbkmirevprfsaiiamvxxpinjmamplkb,5.0,456.0,Provo,WA,10.0,2203683.0
Mmr9905,CC Media Holdings,Bxqftwftjxjlzxfdgmyekujzrrkhpvovsdnftqenomhqcxbfurlaemrwnuxcnyxubpdniicbpnbtdec,72.0,359626.0,Mmrapxsbnljl,O,1-971-340-2739,i,U,United States of America,3.0,RXHVNKDNWFXGNHGUPNCAEQBCMWZMVPGKBZPVQNAYSGRJP,1.0,322.0,Philadelphia,DC,9.0,389491.0
TAQ9906,Constellation Brands,,48.0,232875.0,TAQHNCJSDDGGVGIOACLSYRJTNPBJUR,O,1-997-869-5483,H,M,United States of America,3.0,JUECQGPOQQATCSPKBINQWNKJZWVJVJ,2.0,749.0,Boise,British Columbia,,2084364.0
yyp9907,Great Plains Energy,Svjhovnslmwdzhc,84.0,335620.0,yypkh,O,1-652-023-8483,Z,M,United States of America,0.0,BYKPSRBXIR,0.0,592.0,Nashville,UT,9.0,3727741.0
Kmg9908,Henry Schein,Lepecqjobwauoldhnuuwwzdraxhb,46.0,75247.0,Kmgpxoipxlnegzfwikwkvvfbkmybd,R,1-537-733-8366,c,M,United States of America,5.0,YTFHVZEYGOZHLDDTHVKJIYTNMGSPUQXPZRZBCDURWQQIGBRINXOYZWQKARKNCBETSTIY,5.0,665.0,Phoenix,MT,7.0,15865.0
jnr9909,Calpine,BIQPIFPHZKMIIKILQGDHFTUQKVNDVWGDZDEOUNREYTSAEVHMDSFQSXXWM,70.0,458699.0,jnrqabdxmfqwgmhlnbcfxpxsblp,R,,X,U,,5.0,Xeqxsnygyxrstacscrnzbaeubjmqrdqtdrqdsspaecplutpgiuxzrklcftzthoehspporyh,0.0,621.0,Omaha,MI,1.0,1627406.0
Urv9910,Lockheed Martin,,98.0,333343.0,Urvalnnfhljpxwvyvpgmdvznatif,R,1-287-654-2438,E,,United States of America,4.0,Aljsfxip,5.0,840.0,New Haven,Saskatchewan,1.0,43053.0
PVD9911,Tenneco,Ejlyvyhhoyvxbdggyhirjgx,73.0,141104.0,PVDCNMVAQPEQDBIBJPN,O,1-485-106-8017,u,D,United States of America,3.0,OEDXFZBKXODHNXP,3.0,806.0,Rockford,Nova Scotia,6.0,3870271.0
MKQ9912,,Lbvteivdmeoglziplmqpotvhegjstjnuzubhnnhkyd,12.0,6992.0,MKQZACVUFCDREKNGCCUPHBHDUZRN,O,1-248-843-8017,,M,United States of America,0.0,OZPHPIPDQHBPJWVKAIKVOSSNMCGMNUHNOZMEIJETWLTURSHORVHHVOWZAEMPZRNIQ,5.0,766.0,Detroit,LA,3.0,2916832.0
AFB9913,PepsiAmericas,jmyerrexnclhabjlivlvvccqiwzqmc,89.0,309180.0,AFBWCBQOFOKOBJRIHG,O,1-708-984-9780,,D,United States of America,4.0,Iagbynwxndncsxusrdtluqjmxhlhajhknxxoobraihilos,0.0,341.0,San Buenaventura,NC,0.0,1104262.0
Twb9914,OGE Energy,Ilsvjjuqajjtofbtxrlopiqgvjmhlxnlvmezvfhjgiooh,11.0,,Twbgrewyb,R,1-328-471-4213,,M,Canada,3.0,Hztmnzflszxjjhqgrggklqdimiyzlcuqzahmwxj,0.0,570.0,Chandler,MT,6.0,667902.0
lfz9915,Gap,OCORLMNMVNTHUUOK,99.0,246734.0,lfzzr,O,1-182-809-0312,,,United States of America,4.0,cunptwkcbpwfoqyhnvp,3.0,642.0,Lancaster,HI,10.0,1873427.0
CPH9916,Family Insurance Group,Ivqfbfijnihbzvmesxubvdxvsqelpvkdtpicichpbhyxnojrmsdegpr,22.0,92762.0,CPHFSCMOMGDRSEVFKAMTJJXIYX,O,1-870-707-8696,,S,United States of America,3.0,ypjuqbmphhladtfxmknecgpbbjtwktjkgisbunofrmdbwugbqasg,4.0,363.0,Fairbanks,Alberta,8.0,3464870.0
Mbh9917,Parker Hannifin,oajvuynhiqmbvaeneelovbnani,68.0,321743.0,Mbhaprqstdwyq,O,1-652-374-2595,,U,United States of America,0.0,VFZTLUWYEJWBEPCYKFSLAPD,2.0,813.0,Fairbanks,MN,7.0,813850.0
Xep9918,NCR,tbpfencrgufmwcxmyxojeskvtrwrtmlrzgdbjupaofmqpwqhaobubdwzfqvcdcqzrrtbqfrm,,298505.0,Xepaoxksb,O,1-423-169-1051,q,M,Canada,4.0,Jvsrccycwciawoxrjonjtfvpxbqaojtodivkufefkrxfycgarzcfmsampoglytxdajiqxtefqia,4.0,738.0,Stockton,NE,10.0,207598.0
Pgq9919,ConocoPhillips,BVHNQWMGTRJNUVUNUSBFBSHLOGYDMPDHELYKLNEGZFETUPILIPDDXNBWZNSXOJG,35.0,472587.0,Pgqfnqdjssnzklwa,R,1-718-318-5063,R,M,United States of America,0.0,Vpuuotqokvaouxkguvuencz,2.0,700.0,Greensboro,AR,7.0,1983672.0
ZRY9920,Honeywell International,Jxqcfsts,,84781.0,ZRYPKS,O,1-653-791-2483,,U,United States of America,4.0,Mnvijhtfqcsvdgynftwwcltxadjkfmfupedxyumncewfnjqvmrwpnmpawwfcjtotreshxgfmoi,3.0,511.0,Moncton,Quebec,1.0,
lhb9921,RPM International,Hguudjjkjrgkwqvbzjpldqjyazkamafnfdjtchcrifdm,64.0,,lhbdaeyqadwdbdvctshhb,O,1-574-075-7346,,,United States of America,0.0,owpqbmnhlehluuykcxjccynnapzgzfskijhgxelxmpriavcxhxkqvxizprcoqumacr,1.0,408.0,Dallas,WY,3.0,2629512.0
tco9922,Zimmer Holdings,Xbnicvrskwtjvdltwlau,81.0,439717.0,tcohvzvexofikvdz,O,1-109-000-5273,,M,United States of America,,qekfgtrcvvtwjwlnqfajxgkkkiqaqwerryqnrjheweusvgkuqtsvcneppqjbkllclowsdxcdupgema,5.0,403.0,Mesquite,TX,0.0,468793.0
rrx9923,,ibifvaoebgl,15.0,211844.0,rrxilbhsytajqehckgqndlwnc,U,1-818-102-2606,L,M,United States of America,0.0,Dmqfkrdoocfplsiepdrbpvakmhnexlmrozysfyliqefzawbpjbgf,4.0,,Dayton,DC,0.0,3229310.0
Yws9924,AutoNation,Lagyuaklwsiicdsenauwgxxkqbx,63.0,,Ywsfpfdaceyamfoqqwbinubbhrib,,1-589-331-4934,W,M,United States of America,5.0,BEFUFBSOAUELLXTLPCFSARXWECMLIUMFDWSQBIFHDBVIZWBRQY,1.0,531.0,Akron,Nova Scotia,9.0,3004304.0
DCG9925,Universal Health Services,wxxlfhjzbnykqgnbqsndzgojpelimdhxurlxkgybtqorkphhpdyqrkwetfdqpijgq,41.0,95032.0,DCGSTJIZIVOXC,R,1-284-446-8984,D,M,United States of America,3.0,Aesvvhvhwxceojxxxdudfewrg,,519.0,Wilmington,WY,9.0,1617848.0
pys9926,Systemax,WHCMOTNQABPHUWMYLQXZPUGLJHMHSACXUWEMJHWRBVIEPQRAHEX,13.0,138163.0,pysnkwtqcarmzxgyvpgcnf,O,1-124-118-0596,J,W,United States of America,1.0,Qvixnikvuioumfkrdrtbvvvhcmtzpdfamdfchbjaimonnzzapalbjwgahgxwodzumvstjxl,0.0,313.0,Escondido,CO,8.0,769693.0
ihx9927,Sprint Nextel,BLQGEUYQMZRNAVDITHMXRMFYIHPTJPHFXMPTGUTLHUUINBVALGPZBHJSUOKWWGBYMVMLRB,65.0,446526.0,ihxixwouznzvorbqbzuwxpmgj,O,1-360-376-8323,,M,United States of America,4.0,tjkjpbuvqjpccmasrousbepdrs,3.0,579.0,Huntington,Quebec,8.0,1154495.0
slt9928,NYSE Euronext,cacbxxzigz,23.0,69393.0,sltamwfbnmyupbzpkbeyzuujm,O,1-666-477-6134,,U,United States of America,0.0,zkfpfxbvgtvvhujspenbvffsuefll,4.0,530.0,Topeka,MA,10.0,1054531.0
EOM9929,NuStar Energy,Cogwnjdobqoovfcumvweatavrgutbppmekwxrpanrolkqiofkipvwvzealtqsfrg,52.0,14073.0,EOMCAZOHPMMBMEVKEIQOSHE,O,1-208-351-1734,t,W,United States of America,3.0,Wpcdelkjj,2.0,355.0,Irving,AZ,3.0,3360669.0
Ctt9930,,Unbukmjftjppfygfmyoohfusucg,40.0,294077.0,Cttmranzst,U,1-229-318-2971,W,M,United States of America,0.0,Yfmrmentzmtfnwozhnzdlsnybmoghvhzwtm,3.0,313.0,Ann Arbor,NH,0.0,2842734.0
YKK9931,Abercrombie & Fitch,Bejbjvhmvncgqkgjkvscxrvctzgzgpnkisfvthbtp,69.0,185014.0,YKKWWIKIJRHHWSZNJC,,1-773-149-4206,E,U,United States of America,1.0,Fhemmgyclalevgdlyeqsofhqszndlxwocamh,2.0,396.0,Washington,CT,5.0,457529.0
Acp9932,Vectren,xfhukjljamakdprffxkbimxjfiisfbsnwtabdcxlgbkojqtjqktwmrtklprcgfgijtb,56.0,291320.0,Acpkcpppdopgrffilvcglodvsxp,O,1-283-835-0166,w,S,United States of America,5.0,ELIOFZSQFQCJXEYIVYOIMHXDUGETTSKJJVCSISOEZGCWEDM,4.0,792.0,Mount Pearl,KY,1.0,3529994.0
Svn9933,Cinemark Holdings,Dqewqheomuwgyxxzjbbeekojehppljsommzyigzboxlbvdedtucnpnihzonstalnkqhiprzbr,,258469.0,Svnewquwjwzzokqouhmvrxs,O,1-499-794-9314,A,M,United States of America,0.0,hdchck,3.0,600.0,Sioux Falls,NV,8.0,2134962.0
KSB9934,Furniture Brands International,Dbhljmvxmtdrfblldklaxjjjzosufuatocpgkwssbslxkecdechhwludoddahmtvahilo,95.0,279488.0,KSBZP,O,1-411-165-8892,S,D,United States of America,1.0,EBBNOHOXTULSMBGSTAIYBGERCFCSURVGWLWQBQTBLUDLPUCRVD,1.0,344.0,Las Cruces,OK,1.0,3439269.0
glz9935,Carpenter Technology,vuebjkj,31.0,283927.0,glzkgvvermhr,U,1-450-611-8246,S,,United States of America,3.0,pldnryubkovdsufpfhorplrukltjeirscqwl,3.0,664.0,Allentown,GA,8.0,1089291.0
Qwz9936,Costco Wholesale,Lhhplmawqh,54.0,54913.0,Qwzqs,R,1-711-879-0121,,W,United States of America,0.0,Cgmcbfkdytrmjxamcaoopsmuidqqkvujvzlgve,4.0,746.0,Ann Arbor,VT,5.0,1186944.0
Ooj9937,Cooper Tire & Rubber,pyjqcbpxlkfmtmsvokddjchvjnrfd,42.0,65141.0,Oojprpapdekkghpmqjzagpvyj,O,1-607-189-9575,Q,M,United States of America,0.0,Ukarknmsinbfeftrzphenhrmbgxsauygiqqx,1.0,795.0,Independence,NY,10.0,354550.0
ojf9938,General Electric,zoevibubeiomirjqvjybrcakgzdtswkthimcepnssqxgatqllscuxbzhyj,32.0,25073.0,ojftkg,O,1-703-570-3406,r,W,Canada,1.0,Sqseuwxspovpdwexolerrdfbvt,2.0,,Memphis,SD,7.0,2954808.0
Kwz9939,A.O. Smith,mopwblltanvrxgexxqnymfnrxtewhawssifxqdxiarihl,33.0,222766.0,Kwzsgxhi,O,1-788-584-4878,P,S,United States of America,2.0,GNWMZVOQJAGNEYUPWPDGIWJJRCOYHBJTSNY,4.0,832.0,Winnipeg,CA,7.0,486311.0
FVX9940,Enterprise GP Holdings,Zusapchiueftfjvtjturdrjxfkzsfzsgjoe,94.0,257636.0,FVXMDCCAUSJPSUHTVVUWIZ,O,1-837-966-7016,,D,United States of America,3.0,VQZRXBLJOBYEKWGJUHGQBELQKAEKVPWVZLWVTEKACDBFGZFQXGCAMWHHIZPMKBBEEEJHFUSEU,3.0,365.0,Moncton,MT,3.0,
Sdh9941,,ngeiauoevsctixpsaahrrwggdwxhpckfmps,20.0,,Sdhsunhvwnrjrjchevfodqqqpx,O,1-764-781-9763,,M,United States of America,1.0,Iiytcemizrjtciusxnipfvbxtbi,5.0,827.0,Evansville,MD,1.0,1641768.0
