gncd,pstlcd,ddrssln2,nmbrcrs,frstnm,wnrrntflg,ncm,mrtlstts,lstnm,mddlntl,ddrssln1,stt,phn,mplr,nmbrcrdtcrds,nmbrchldrn,g,crdtrtng,ntwrth
rab8829,NNSEDGNNZ,ogemgghjykcwugcb,0.0,xopegba,O,409493.0,M,rabenkjxafcfc,,XPVUSUYVKKVICDBSP,NE,1-863-960-8338,HCA,,3.0,1.0,332.0,1187421.0
Xkx8830,VJMUU,AXSTGBVM,,Majltiytpouhbq,U,62147.0,M,Xkxzqkxwwmmosaarfmnbfbdobg,,wxtmkrgdrrlqmxjqwtmrrhfafuakrbdliqpiohdpvplealacjeipppdgovandtgqseqsqvbooxi,OR,1-016-925-1898,Murphy Oil,4.0,1.0,73.0,822.0,2565345.0
QCM8831,Kreqsbrgimcj,NVLLJUMELLFRITAZQFEXXUMAQMNBBDGLFQOKEOBIVJWLBKSRNSIAUMCHIHMZQRENBFD,4.0,NDLUGJPELMJ,O,357133.0,U,QCMKCESXDTUWQHNGOAQGFL,p,qxpdfmeodlxginmmlysqbiakcwiqrdexusiydhmdughqnwlo,OR,1-460-224-4181,Target,7.0,4.0,67.0,374.0,65012.0
Ocq8832,ZEMLDACQ,Rjnqsipkwebfpgokrlvmpsqijddfxujfpltmyxtqmynymkxfjddhecdeutngwakembkawe,3.0,gpthscxwjfdzjijobnjqlsgbapeccg,U,413182.0,U,Ocqsvjxafmdgukzzbaszb,L,,NC,,Tesoro,8.0,2.0,49.0,673.0,2396892.0
Kfq8833,OUEIKGJ,Kwwxdctulpjxvmjgyrmvqofxfqstdxcacvuaemk,0.0,Vsbolnwfpnieqtfzjbvqpik,R,259362.0,U,Kfqdwzehnwkpzv,L,snihhaouzxzhckijkgpiddypopogogbeuqnwpkurcbnadsiylonqfxmzuzfalloitizpkfcagmltom,ID,1-344-203-1694,Target,0.0,2.0,24.0,303.0,488832.0
Uhh8834,,mjdgelhnvehtnoqvkixdmxagbfgwjuksur,1.0,MSOJQOLXRXUOEBMRRVTWGBKMUZCCH,O,243301.0,M,Uhhlzcuzqhcpfsqjjtnhfaskwb,,akjjgblgysacendunnwtttchsooozxlxblwtkvdyhrsrtuoarmxwhhxiyyrfcxobzebzwxfkqzogfi,RI,1-117-175-0676,Amerco,7.0,3.0,35.0,364.0,3645703.0
Mrr8835,jijvi,Ngqipmzgowpqectrmdtgmweyovrgrngmt,4.0,SOZBJQLDREAYZZOKSHDBSEU,O,238343.0,W,Mrrdjkztnkaxe,n,jqjltqbwplvrruwmauynupvbicfsgnlxbgsqlq,IN,1-286-501-0529,,4.0,4.0,70.0,,
OQB8836,cmnlvcgbncq,Npplofopgjtkvqcppkbtvb,4.0,Wjgixfhduoglvxlzrqr,O,43778.0,W,OQBNNEEWKZSBOVC,D,SSTVIYAGDXOTEIVVYDJAHANGNYSQPLRKBGDNDPRWNBBIBZDPQBUPQGMJFEMYKG,WA,1-649-554-3066,Ferrellgas Partners,10.0,0.0,69.0,382.0,3225535.0
EUD8837,zujeloxei,QBZLOPARRDTGIAHNVQWUPYXPLWBSXAAHRLPLENJNBPGSDKIBIRFTHSDJHUMP,2.0,ogonemvybyd,O,466040.0,U,EUDVHPTHBYIMKCNZSBNRN,i,Yuvzthrhqhkxzhqipkmmodc,OK,1-407-337-5720,Computer Sciences,5.0,2.0,69.0,342.0,2167194.0
jcd8838,Sfhwfxxmh,MQQIZHYZCFMSVGZJWKURKGLEDM,3.0,Asdzzdqybjuzrqlwr,,118398.0,D,jcdlceotbdnychoufxuqvgulwq,,Crlbtndkjfggfnqptggqtpkkjvdubzvnuktmuueqxqacjkhuyessthdqrxhkclpfkeuuwbhgdrydvo,VA,1-077-203-4853,Coach,6.0,1.0,58.0,437.0,941869.0
Syc8839,Dydxwez,Crzsuvodllefvkdiubflgpvhjyllkyzpwwijuxhcphpmm,1.0,mlfmqwbwcxbkxvpmxm,R,94054.0,S,Sycgxvkcvevms,n,xvyopaqejlktuxlowmytuvcrqienoj,VA,1-484-629-5689,,5.0,5.0,89.0,679.0,1490723.0
sho8840,Brckpgivoim,Yfzebjfmvmxehqwhmcfiarwrofgneixheklljdikfi,2.0,Mggxvohnziyvywxbqknngxvqthwt,,16260.0,S,shoiryhfdhdfqw,,eatgolrhl,DE,1-997-986-2865,Xcel Energy,2.0,,74.0,304.0,1653781.0
ybe8841,Mvjxasjai,cqgajxwonexpmzwnpbzmexooftqcddf,,sstnhjchtudpmefuwzxenoushxwth,O,497516.0,U,ybemhexgfkcaauozsntrfacqrrcgr,,ljpjbnqirulgartlwfeemjcgjfolqnofwdsriwrupdlgarezzqntxmqxbeknaybiiwfmivc,VA,1-654-806-0353,Autodesk,4.0,1.0,3.0,755.0,3539106.0
Awy8842,XDTDGDBNHYST,lerdvmdlcnojlxdbbhzfzvuteknvuhjlsbfslzfhsospkslsjdhelqxuqjo,4.0,jqccnfaotdfgylvzrvvztza,O,219141.0,S,Awycoahvxgilvtcbpmyfofhkhpk,W,Vdguqwudgnwnesxoewrtlgifdqbvfxtxfjuvgblbmrcojlrea,Prince Edward Island,1-267-073-9280,Fidelity National Information,5.0,5.0,12.0,650.0,1449227.0
Lke8843,zddno,AHJBVJVBWHQOTTOUJDTYEGWBBBGCOSKHILMHGJJMSGVMNHTDNAM,3.0,Pgitmqktimxvilsgdq,O,375282.0,M,Lkelxisfmjfpdilcxqhm,,Iuaumkf,Quebec,1-978-405-2313,Harsco,2.0,,64.0,643.0,1867516.0
apw8844,VESCUKFSTT,Tdvilbagcmyrdqavzujerhuquhblmnlojdqrjjnzuflflksplbthnp,4.0,Oyqezoeuodvwbztlb,O,417355.0,M,apwbitmfovcnxnqxrhcjdegoktezl,a,vrvtchrgetvwoxfqsluwnfpmrnlucj,Newfoundland,1-909-799-1429,Reynolds American,10.0,3.0,73.0,571.0,
Wrs8845,carcxlp,RTOTLRBUQPPJNB,3.0,Nwurcyzhentdoilmtxsdgjxkrfvpe,O,424316.0,,Wrskogmtxqruii,N,tllaalxcnbrjztdvhmicqjqdkcputmhphfe,MA,1-440-127-2755,Nike,10.0,2.0,79.0,848.0,2351975.0
WLN8846,Kcqczgmy,,1.0,IFRNZWKUTFGPIJRMIIX,,467020.0,S,WLNUFGEGJJOKOEFDHEHVKLWRRMH,,kalrekqxazwcisonimejfidvxmjt,KY,1-755-305-4980,Activision Blizzard,4.0,3.0,16.0,753.0,1587842.0
Cfz8847,Crftpp,yipkppzrnefvtdfyqeusrhpsnkvdecayvrffwkpydpvjejfqkttlmijzkphdfwwvolixydkpnlgvg,0.0,dpuwwnpamqczucvhecjvyihxhd,O,26325.0,M,Cfzqtt,,FIFPOTJIDFMVCPUIOGSEOBVZNMEJRAAQKKMWHDTFJTCDHFNTQSIKVRU,MN,1-253-932-3146,Union Pacific,4.0,2.0,27.0,390.0,1987514.0
Vvw8848,Mapcsjng,cafgtdrghevupkomaleusrpaxatxfulockswmcinnwkykycpcxoninilbmsmebjblc,2.0,HHSESJJIKFNXPF,O,373028.0,U,Vvwlibwhduysoqgzctepzubefa,,Ofvcyaqprnqxyloxvlrqpsonizmxhufdeesmuqvmcfbjhqbpbbnpzpjbbwu,OR,1-638-215-2349,Penn National Gaming,0.0,4.0,30.0,654.0,265192.0
llc8849,Ufybdme,Bzpchsaaplwikkaosy,1.0,Dwprvsyjr,O,427837.0,W,llcwewbumwoldwdttwxhdrsxms,,GOZFVQWVV,ME,1-713-121-3708,Energy Future Holdings,7.0,3.0,79.0,309.0,925881.0
qlp8850,Jfjimb,HDGEPIYBMADTVMGHKHUFNRTWGQAXYYEGLQHWMPBGMDQJDGLQZ,3.0,isvzirsytcbfqbita,O,130178.0,D,qlpqx,,lqqflmldhsfdqizwycqdeee,CA,1-792-233-4441,,0.0,0.0,61.0,834.0,
SQK8851,Zcuhv,Byfangjmthwerkgxinctnbimouxuqtsjhewbbcjzlsdutbhriektuurznvetzxbwumdqbivfndqj,2.0,Ixgpcsqybgcbpkzrl,O,479893.0,D,SQKRHJHENYKXYPTPZWFICWFRRCTIPA,,SBHTZSNOAPJCBISVDRXMFQKVJDCKFLUXZAEVYAFWMZWAKEIBKUF,WI,1-141-417-2894,Time Warner,7.0,0.0,,828.0,2568313.0
gol8852,Urkgtr,dqbyrnabyifdlpxzkjgarxjjbsthvulvubjxevmlevhmbj,1.0,qccqnqggesid,O,59875.0,,golrdrpundo,,NYMJFWVZGIDFRJAUUXDERCBUQJAWIPJRCHCTAINNPNLKDNNZDNALLKBTGH,CT,1-197-604-4412,Vulcan Materials,1.0,5.0,67.0,601.0,2374752.0
IDD8853,Mkudnjqjj,Gduagvekjrhjtrniuzzltvpmqfixmggskrdoqkfjxxa,4.0,ditfijlfmrpcbepvgurjlrsrpd,O,469318.0,W,IDDOYRRLCFFAJQBEPROGLPXIPI,E,HWCOMGBMMVFBNSGWUZLNKJIZECDEOPQJAPIZCWQSCVQAEXWYJNNEHJAIZUXDZDLQWHHDBORTSSBPEJ,OH,1-397-297-8298,Great Plains Energy,2.0,2.0,32.0,732.0,1847435.0
UTD8854,Ujipppaf,Pmujqfdeesawfaartxctjvguycmkstpyjnyueitoyhnrqjkputgaubvdic,2.0,KMCVRWGEH,O,380997.0,M,UTDRHPBEOO,,Rxixruzdnuwodlhpmwgalqruaa,Prince Edward Island,1-903-295-4281,SPX,2.0,0.0,13.0,583.0,2736541.0
Pds8855,yfrepog,syrnfkhwglslcwl,,Prnefkja,O,449048.0,M,Pdsqklkakihqgxemmpt,N,eirqwirokfwycsrlpuxujfiiszpswggujqswwbfoan,Alberta,1-978-235-6639,Erie Insurance Group,8.0,4.0,9.0,406.0,3405429.0
OKE8856,iorvgqihxw,Liyeqwavqusaqwhiyaxixhsoti,0.0,Qaksvaejvasekzhaqsit,O,172034.0,M,OKEQNKDKYPRKGZCOR,,QCXGFPDPFIEOCAOGKCDKIITCBYYHECYPMQUVFOABKHSRX,MA,1-574-044-6737,Avon Products,0.0,0.0,13.0,761.0,281817.0
Oxt8857,Mjthfn,Apzvwcimrfghqrgnnnlbjlqnewdkgpaz,4.0,Jgvicwo,O,171637.0,S,Oxtqplapx,,Jikmtwiiwanzalphbvayqruezcfhlalpsrtzndqascjtjrulr,Quebec,1-607-834-9483,Complete Production Services,1.0,2.0,41.0,584.0,2973782.0
Ldf8858,dokahn,Yemmnhiivkaibjformnawionief,5.0,LKASYOSOLFBLNPZAKGI,O,360522.0,M,Ldfqgsobojiizjqimafgfjbxxpi,y,uoeyateigletwinkdtjshg,NE,1-407-466-2322,Maxim Integrated Products,3.0,4.0,72.0,,2359057.0
KCB8859,,IXFBLFNAUWBPLDAXHXBSFVWDVHXVJQESWXTPHPEHGUIGFZJQOLSWWJMSV,3.0,xjxrbbwesfjxuqfirxrrn,O,139173.0,S,KCBLWLMT,,RLXCVEMYHOAADSL,NJ,1-215-982-8704,First American Corp.,2.0,2.0,99.0,557.0,1143360.0
qnw8860,,Ljreepzmoivxvmpjahnciwdafikblafslxehbwcdyoxzfbowesbiopgfoavldyqdzyfhklicha,0.0,Tgnzrksnnycb,O,17325.0,S,qnwfbnonfvekrojllg,R,GPGDPVUITEDHGWPBEHSFFCWAKJKDINUJVBYSNUKRKUNKYCQNQJAKLPAMWNARGLBAJM,NE,1-464-581-2747,TIAA-CREF,9.0,5.0,52.0,614.0,3013913.0
vnx8861,Jfdkxhhbqnec,mxhtmnlicwpgebqtxyfxalbmupbufokvbziqnolnxhrgrrqtfkoimsifwxrxnhvspqhwvrcsyeuwy,0.0,Bcbpcbfaqqmmzcqzhgwkwuzjse,U,65151.0,U,vnxavufsjgo,q,vckwtmimfpbupjafu,PA,1-334-528-8457,Jack in the Box,9.0,1.0,21.0,409.0,3198133.0
TAM8862,Edofkcboyvtg,pmhzgtlmhlkscwogskzsmrxqcbpuhasyirvdryeyrnldgykd,2.0,Regikaweo,O,380981.0,M,TAMJUPBBDAAUHENNQLDFLQUX,,BCEOVJSEKYZQ,PA,1-086-268-5102,Penske Automotive Group,0.0,,46.0,558.0,196221.0
Cue8863,rqlwvdtub,Kfjmhlfepeambqdmbplkmtdkkhiutmiwogzcnvucswokjfebibkou,,LAKCCESLFYF,U,302912.0,S,Cuebhqiwvjanwcns,,RKOAWAVNNKMWAYJIWSQJCOYMYP,MN,1-163-262-7535,Hartford Financial Services,1.0,3.0,94.0,849.0,3416100.0
Zzg8864,knujsqxtkkse,reovjpubjyephdmysrhlbofgjfxqjlziktmqhumbxhhoifweoloitzgudgnonvvkxbe,3.0,Fyfbicamwgzrmozswdtjyegupg,,,M,Zzgpholigtmeuc,,trzgsuboyvttjugtpqztnwimxgkpbfundeumwfebofkcpka,NM,1-963-848-3085,Motorola,8.0,2.0,90.0,768.0,1634413.0
Hnn8865,,Vhxszbfrzlelfyccvnhlbcaieuraiyehvzfamjchtvpwrssgzsimhux,5.0,ciqghwunfpigozyeejlcokbmf,O,467362.0,M,Hnnpcwlgyzsmx,,Xxdsesxdatdbxakedxyerxhxvcjgjtzzlhsaurskqbjvgvtejolpaibzlflkzvnh,LA,1-024-886-4307,Exxon Mobil,9.0,3.0,82.0,451.0,2611624.0
Ptl8867,Cpprtvaigpi,hlkqyfprtdlpxnvitxj,3.0,Rucnglkmmt,R,103593.0,M,Ptlrsal,V,ukcnjwhipcemwypvpufdwnkefyutcdftkfccwgnmtol,RI,1-026-029-8812,Administaff,7.0,3.0,91.0,386.0,2236011.0
Zsj8868,LAEIIGVKRY,Cgnuxqccchy,5.0,PAKBNLGPWOSTKLZOUWKMVYF,O,244604.0,U,Zsjmxoxwdujuntiowqavspn,,HJVPYH,DE,1-618-277-9373,Harman International Ind.,,0.0,78.0,,289052.0
Qso8869,bplppvztu,Mxglhazbsvjomgryhcanfphfyxhsmsbvkqtqh,0.0,Ecmnuruietywlvcqrqm,,354556.0,M,Qsojdckn,,Zhcooabdhvncftjggtvylxuaximmlvqkwoqbgzhrjldgionltkahpiwf,MN,1-519-193-3062,Reliant Energy,8.0,4.0,90.0,593.0,3837240.0
geq8870,Qqsxhhi,Yxhcvkticaixeyfstygwvhfeepumcxntttqzaknqjwusyymsbe,5.0,EQRBLDLT,R,160141.0,S,geqvoepozzoydknjwifhndfflw,,Wfmswvffjwpvplxheuwyrpnwdotdfbdmesqy,ND,1-298-167-9421,UAL,5.0,5.0,27.0,712.0,587454.0
ubv8871,KYWZURM,Njywfgslybjfuhktlinhtrrxzddjvtlbtkmvimdogjfdgbkzxojmsjruozpraplrzobhovkfapbjjex,0.0,Ewegsybstpnecbttyxgv,O,153459.0,M,ubvcfescnvjcfynrgtvsexjwe,O,Ncvlgsbhgbgjyybwdwzkldlftlybzfrdfowjrzzdkqjsuuponqswnaszpkhduyqglbanocrvegmaon,NE,1-881-277-1678,Warner Music Group,3.0,4.0,12.0,680.0,1442966.0
Dwo8872,Lxhadl,Gbrpomsxmxahfqicwrmppqknhjcaesflvxylqlkigrbirjdhclhyubxwpyemattwpmssdjc,0.0,xjlqnlgtmeknomaijfcqyii,O,256660.0,S,Dwotgolswsgbbrli,I,Gmxfw,UT,1-179-545-7465,Icahn Enterprises,3.0,5.0,42.0,606.0,3965825.0
MMH8873,Vddpacdms,KOJBVDTPIXLLBRFAGAEONBYFPJWGUCHXULTBL,4.0,Dqvhxmqdmbylyc,U,227584.0,U,MMHNPDSWLAQRTRVOGHIFGTMUT,,RMBUKNGHJBPSKKWMEZTLIRWZNGGCXOCPXMHORLUTVFZIOE,WY,1-985-448-4351,Cytec Industries,10.0,2.0,63.0,754.0,1075557.0
Eqb8874,XRESL,Sqaqqdljhnchxiqpesvsvofrhcqlehaabkjw,4.0,kpcckatwnihrf,R,120011.0,,Eqbnxmxqmgkubqfghkxq,E,Ktqrefkdomiykl,KS,1-857-486-9272,Frontier Oil,1.0,4.0,52.0,496.0,184885.0
FGE8875,Zzndpcuice,DKKNKDXJWUDMINIYFNOGOAATJOQEBCOFPTBUIVUIGCJXCOSLNKKTLGTAKVGSHVCJDBMQT,5.0,Qaxhvdiybhxftgtczyliatldnyl,O,11940.0,M,FGEWKGTMIGQRG,,Vwmmhxdnfqvcjxtrjkopbfmfkkb,CT,,MeadWestvaco,10.0,0.0,1.0,500.0,1471024.0
FQH8876,ukexn,Amdfteo,1.0,Gahrajcdbexzyuaeq,U,478851.0,M,FQHCMXULOEARGMTVVMHWJUNHTP,E,rqepamufmzhsrubnfymspffjsszbrhltcgontauxlqqfnrcojxrc,MN,1-182-762-5633,Autodesk,5.0,2.0,91.0,732.0,2367831.0
ENZ8877,XESBWHREDO,Gmmhdqlfqzydk,2.0,Mimts,O,61212.0,S,ENZLYUDAP,,,Prince Edward Island,1-532-976-7047,Nordstrom,,5.0,45.0,720.0,969844.0
CSL8878,kvvcoq,LTDIGFXOEQXAQYNIEWMNTAVSJZVYCGGKQ,2.0,tyjjuiobtivefrhscgpcvthga,O,469342.0,D,CSLPSSHYXZTNVXWQYOUGRF,,Afafewsabfpsvgaxniwgzwbikcepsradhimbcahudbvpfxwfjx,NE,1-506-846-4911,CC Media Holdings,,5.0,60.0,817.0,1306276.0
DYN8879,Yppaxeteykuw,Rtmejggolnvxgwuwgujbjgvotwkpsbndwejvbsyfcggpnfpkeyyzydworudsqwhbszxgqhfnj,1.0,WFBMSOZZBSJENNGEFBDTFKYEMA,O,134460.0,S,DYNGYJQKKXVU,,CNFAPGGLFJOCGNFJEHZQSYGQFHUFJGSXUVUYAPQUKOGPRFEBPJMFVACGPZXQMPAJBKQQGUJEAKFLMKO,MT,1-814-306-8730,Southern Union,6.0,0.0,81.0,,
OET8880,UHBPEHTP,Dmaqprpnsdcqjqtjptzkcu,4.0,Pddxmafpoohhpvhp,R,188.0,D,OETXRDKCJFTRQUEFSLQBIV,U,OORBWAJGLVEWTNEQEHJBBAAJPGXWPVTMMJHPBC,IA,1-099-373-4276,Polo Ralph Lauren,7.0,3.0,34.0,573.0,2459848.0
PMI8881,JHEDMVNPIJH,NDDEPKQGLDADMIZROIAFQBZIZESCYRUKHOLSFHXZFHWROGYAUDQTJSQVP,,MBVCHTXFEQVDSGKHLACSJUGI,O,125928.0,S,PMICDMRLAZOKCOAPXMASWFAWO,Y,Ovniuyzhzspxwhtyiwsdhwovrcdsrkmaxpavlawxjqqrktahorosychjffv,GA,1-206-982-8100,Graphic Packaging Holding,10.0,1.0,80.0,784.0,1141839.0
EMI8882,Rprfwlkk,Dwiumeuqiveqryurrofnocjrtupudkhxbxdxkttjjtebrvioypno,2.0,Bugugdeyiboezjyddxuvzhmxtmz,R,63834.0,S,EMIRUSHUJKZHUFCJJINQ,q,Vhwyrbwlpulyilmjhrchavjrinkregzjikecggxtpiqdnuuwmetyoqxhs,MA,1-786-406-3178,Fiserv,7.0,3.0,33.0,846.0,575547.0
iis8883,XNAINOQIPKZ,Lmquequoqesucbinpctkuqokhhoqukbotbaqupkpeubfmsjidqstca,1.0,wccegnbrchjqtriszap,U,60848.0,M,iisxttocggx,Z,XLKDSBWWAGFBCVRTPNQKJZBB,DC,,,1.0,4.0,83.0,404.0,1998526.0
Nac8884,Ksrero,Omnofbqotsrtmqzceqrbyrv,3.0,EAMRYJZJZMIUJPTVMRVWJBDQBT,O,20456.0,S,Nacskngicvcbct,,Tlrnpfcboacfevukb,IA,1-871-210-6439,,3.0,2.0,64.0,682.0,3323737.0
Lgg8885,GSWDJPR,Ztwhttggvcmqejmtksovbhurtjztfztyencujpmhrfzlpwmwkalwhngotlfbmds,1.0,Axhkrwvowiepgrhejdc,O,19773.0,M,Lggapjcuuyvgqwhyxdczhxdcjfkhxr,G,IATZJQSEFRSVMWIOYFDRBNZEKW,DC,1-524-091-7799,West,3.0,3.0,27.0,806.0,3490733.0
Tmn8886,Vkbaodntj,Sspxehdkfqsbtipwcsumwenknobksukswtbkbtjztam,3.0,HIKUOTWLSAES,R,396570.0,W,Tmnhdhiajbewxxsaic,,jkqxanyzarwpbboblndcelzrrrxpjzqtqxhninnyomwgtioexgwkvnzixxluollwaoc,PA,1-030-583-2951,Ingram Micro,6.0,0.0,93.0,594.0,3011197.0
vpz8887,Oezlmruei,Ljhrsomviybkcfmhllovifqautgphnzozaxhxqousjpqzipfxctmhkjk,2.0,Wrpkofwpxzvmbbmtsbt,O,320048.0,M,vpzaxxtyodcuiwbtrdrkcf,,mbnvxnldatmsifovqnopbdaopautytyfdrsavwxnwuptipuaatrppbgmtexgzzcgtkrdyiewrlj,OK,1-915-839-3035,UnitedHealth Group,3.0,3.0,87.0,706.0,993941.0
obb8888,Mwqte,fdabvvlothfwfxpfthvrvgbpwxyrhbhdpmqhcphl,5.0,tipths,O,,W,obbgyxufjlswweclojmm,W,EBHOPOPAICUUXYLIAZUUKWGPOTHJTJPYSJILMAAYRFSPPUZJEWGAYSCUVOXKNNTWAIDXHXQUDCH,WY,1-745-508-4544,Core-Mark Holding,1.0,5.0,81.0,593.0,1987261.0
cqb8889,Kwdkdjrpql,Bnxvsrcsmb,3.0,AVXLPMGTBOLYEBKJCNACKXALFULG,O,234746.0,D,cqblj,,CRRTTXQNNJBXXXYHRPOGPGHPVHQNCRJOKBFR,VT,1-816-529-9933,Perrigo,2.0,1.0,73.0,668.0,3000677.0
Dhc8890,UJLWBVBAWTEP,RRRDWRIEMTBVNHLLQPCQUNFUTGFCBNAAVVTNBQMCLYPHUGBWEVPNIRJBIFBJTPAINUVAHVFOFXKWPX,0.0,rwatbpkpmuts,U,226703.0,U,Dhctbjcvnx,T,Mkadbxflwvbnjqnkecndznubjgyncbmqpvpavncosqga,NM,,AMC Entertainment,8.0,4.0,21.0,769.0,3947234.0
OAR8891,Taksjljzk,Ztlthhppsehnmjjjvyrpgmnsbicgyxvplqctyjkqgpgsnoc,1.0,Paslzfrjvfbingytonouhusjmdaag,O,459370.0,,OARTS,f,QLDWZICKHUJVPAAQIHVSZUTQNQVQWTKXHQTREJGGD,WV,1-223-469-3603,Genuine Parts,2.0,5.0,28.0,831.0,1571254.0
Zau8892,noxixfdxpoa,Exkuskghdkrreiggqmecoyribjifkhnfcxvnbfxmpcmlcualifdsojn,2.0,ntzposxxxa,U,417801.0,S,Zaubpseu,,gnguxpskbhzjraqeaxwjqsnqosnochelyuxvvsmibjnxvudhphckxkkuowilulhrjztaprhzxme,AZ,1-608-843-2076,Affiliated Computer Services,,2.0,20.0,711.0,2830891.0
Yfp8893,Mwndawczmiib,Egmljpykwyupnrqofldslitdktrgiqvbqcbdtoo,5.0,Vszffvxxoikuuznefplkte,R,230436.0,M,Yfpmmxdrukcxfephfx,u,NYICIKPDSXMBCQHELIPNAVPCEYCMVPNROSWEEEEOSDGRXWEKDOQJFQGQONLCVPHNOFVQPWFNADZYBICX,WY,1-917-033-4688,Mettler-Toledo International,5.0,2.0,54.0,432.0,1448098.0
Sno8894,,perizjjzwvrywqtdrizfxrvmoxlpiydibqtmpplousbdrchbhrsiqqko,3.0,FVKAUYCZZQKHARLOUWV,O,308606.0,M,Snotcdxpyvjperoorrnxdxnif,K,Ndfwygfyuqurum,AZ,1-333-834-5498,Eaton,0.0,0.0,73.0,500.0,3741167.0
gsx8895,jybeaexw,rqnjaezkocsjvbvhhfr,,vkfmmogqepjms,O,,S,gsxkwyqgfeyzvee,G,Xftestjafeqiacfxmtmmzcnxcagxwwqjhsbnxrsuftqth,WY,1-491-099-3318,Eagle Rock Energy Partners,4.0,5.0,45.0,,3427282.0
Tjn8896,Oebhfcwh,Ptxyezrmrzcuporjgjuypgcslflqtccasvccawsndnchof,1.0,lgcwnreltasbjreqnarlbni,O,270741.0,S,Tjnfzcwwoagesmig,P,HBAHWGPJEOLPWSOMPQHYQIISAQLKWPTIVOWNLIPRQTSTGXDXVBHZNOHASCVNQELXOKMYRBP,FL,1-743-552-6048,Maxim Integrated Products,2.0,2.0,97.0,726.0,2967585.0
qyr8897,Hbuzjssa,dafjxvpbuknxekrodksmtrj,2.0,YTXCLOIWBSPHOZOQXHYCISIY,O,495664.0,M,qyrfryeahiih,w,Wirrkhrvpnuluhxgtwbecsxpzmfnyfqmmjahnciugkgemvixukn,Quebec,1-407-618-1938,Honeywell International,6.0,1.0,57.0,756.0,1796289.0
THZ8898,Rmmhvepdbjqj,gvnlspocixbnqmeykrrchimhkfgaqpdrvigpxexpmmkufyhnngvzxtcjoqrcocaitsy,3.0,ikajxx,O,98709.0,M,THZYGGIQSEYS,o,gbcyklzvaxihglfwbchxulxbkjymbpwcucqzlz,NV,1-017-751-4041,Discovery Communications,8.0,3.0,22.0,439.0,1022708.0
Jgw8899,Hjxxzz,xihsfj,2.0,Uafvak,O,443416.0,M,Jgwrlkjwxjtndmlorprfw,,Rsceytdfysyuwnrhuslhrhrkopyx,DE,1-320-372-4579,Superior Energy Services,7.0,2.0,,830.0,1313379.0
Eia8900,qufrmtq,JWGHOTPYBLESVXYLFZFWLC,2.0,Orcxfzhjsq,O,488166.0,M,Eiaresrfkagkqqgwcxljsvvvhwnhfb,C,VDXHOXIJSIZFDSMYLDLJDGRGCLXUHEBCVVWJYSKECZMDMZQVLFQPQVUBUU,IN,1-276-896-3386,,5.0,5.0,82.0,639.0,1746934.0
CBN8901,IJCLKI,SOOJDNDVALGICCVCYS,5.0,Fjdzwbzpkfpctqhf,O,150229.0,U,CBNTZJSCW,,JZHIKKLVFHIMEHCCZEEIJGGWUYBCKYUELSIXZ,Manitoba,1-346-857-0171,Fiserv,5.0,5.0,75.0,376.0,1309524.0
THW8902,Rvxvozvii,TGRVDTQKEMMEXBLRNXALJMCDMZASGXYIHGASVKBLSQBJZOCOXKWGXGSZBMCORVJSLMIUVSVGCSY,0.0,Bikltupmcttmir,O,450129.0,U,THWMIBQSVGNPQBZKVOE,,sngrgwmzcnvdwgxclbedsgizgmzfjgpsfcwbdpcmojvjqpbepmvysmonafhjntybxngae,NV,1-490-587-1753,Radian Group,10.0,5.0,6.0,560.0,154786.0
DAD8903,eyfyibkmb,qlbyciqaekohnkwpjicpemrmjkbcxxfpydbecmanaqlpzdmgiljrcqvbkegstlfvvtflgsozghn,0.0,Ayaxqmpztxtufkenshrhbmfwdtcqbr,O,435338.0,W,DADCXBBQWIADBKLIRXNCTVIMVBVIA,,Btrpjdkz,British Columbia,1-539-172-7276,Energy Future Holdings,5.0,1.0,50.0,404.0,3244595.0
Fcc8904,dfiznjmasks,Juytsmudvqchjbsqgcjkavvtjrytdseatlqvouqditgcniczhvvferiivdobuuezkdrhntz,2.0,Emuumdmf,O,63899.0,U,Fccoi,Y,Rbfeukpnuktodypsizvhbnfwshevxywgd,WA,1-853-273-2769,NetApp,7.0,2.0,24.0,655.0,373029.0
ABT8905,pwmelpnn,Giqmehvjrycqpgxoajsdlurknxqjuofxlpatgqyddijraiwjqftreazphhenglrr,1.0,Jnuvonmabsicbl,U,32563.0,U,ABTACRMGXOWIBIDEDJ,X,pkflfdxb,AZ,1-074-812-9135,MGM Mirage,,0.0,,,2878147.0
Sxf8906,VLIXLYUCBX,Hvgfkrekelhikkpylprlgvkdatpbfbde,5.0,DMRQTL,O,321055.0,M,Sxfecfgcyzprpljzsmcdv,,IXKJNSNODJKICMCJ,NY,1-822-129-9241,Wells Fargo,,2.0,84.0,325.0,218894.0
Cwg8907,Sieolddh,Aaiqjjtzbmhiqoqhjsbykornvlqmkfcrggrclnhp,5.0,Ircamsmbqjfbszvdj,O,441786.0,U,Cwgqdwjzefrx,I,Mmfvvvklkoqduuyroyviwpngjjrrdirpufezjamvhsebdusnyblmdynv,MO,1-103-793-7794,Allegheny Energy,5.0,1.0,38.0,767.0,626614.0
