FirstName,NumberChildren,LastName,CreditRating,AddressLine1,NumberCars,MaritalStatus,OwnOrRentFlag,State,AddressLine2,NumberCreditCards,City,Employer,Gender,MiddleInitial,Phone,Age,AgencyID,PostalCode,Income,Country,NetWorth
MARYA,1.0,SANSOM,629.0,3123 clint south,0.0,U,U,NC,,10.0,Erie,Baxter International,M,,1-505-732-8802,40.0,SAN1184,V5d 1m2,396156.0,United States of America,1806295.0
rici,2.0,Dickie,798.0,1047 courtland lane,1.0,U,R,FL,,1.0,Regina,Henry Schein,M,,1-101-781-7512,41.0,Dic1185,M5C 1Z6,499850.0,United States of America,3456371.0
Sriranjani,2.0,Perron,679.0,23459 WESLEYAN LANE,1.0,M,R,Ontario,,2.0,Mesquite,PHH,,C,1-414-582-0346,56.0,Per1186,T6a 1i4,149880.0,United States of America,2691544.0
codi,3.0,Blodgett,692.0,6094 ALONZO LANE,5.0,D,O,UT,,3.0,Sudbury,Yahoo,,,1-142-777-8202,59.0,Blo1187,93801,34922.0,United States of America,3639971.0
Berri,1.0,Huber,,5003 travis lower,,M,U,MA,,8.0,Casper,,,A,1-712-335-7075,46.0,Hub1188,T5a 1q7,30239.0,United States of America,3209574.0
Kassem,0.0,KINNIBURGH,688.0,7421 sandpoint east,4.0,W,O,KY,,9.0,Omaha,,,,1-414-633-3613,43.0,KIN1189,V6s 1w9,93347.0,Canada,3756926.0
BENITA,0.0,testsds,,24160 star drive,5.0,M,R,RI,,9.0,Spokane,Hess,f,,1-740-250-5357,49.0,tes1190,v5b 1p6,197194.0,United States of America,2931041.0
gajendra,5.0,Serraf,663.0,16845 BOLL UPPER,5.0,W,,HI,,8.0,Cedar Rapids,Oracle,,V,1-521-470-9182,55.0,Ser1191,10034,91995.0,United States of America,775130.0
ross,5.0,kortekaas,684.0,15879 pardee rue,2.0,M,R,SD,apt. 990,2.0,Fairbanks,LSI,M,,1-489-574-8594,54.0,kor1192,32240,249279.0,United States of America,2616286.0
emmalee,2.0,bosnyak,836.0,17514 buckroe court,2.0,M,O,ME,,,Fort Wayne,Plains Exploration,,,1-589-412-8021,20.0,bos1193,72284,137890.0,Canada,933005.0
Myrtle,1.0,Engelberg,421.0,12417 airport drive,5.0,U,R,MI,,10.0,New York,Travelers Cos.,,I,1-815-395-4773,18.0,Eng1194,94138,124655.0,United States of America,2159011.0
LEONTYNE,5.0,Lindberg,721.0,14329 rio grande lower,0.0,W,R,Ontario,,0.0,New Haven,Charter Communications,,,1-205-996-4786,56.0,Lin1195,64108,213860.0,United States of America,2539729.0
Career,1.0,druzeta,539.0,3570 reynolds upper,2.0,W,O,IL,apt. 714,1.0,Greensboro,Massey Energy,M,,1-379-121-8359,5.0,dru1196,91759,210345.0,United States of America,1956521.0
ZACK,3.0,Mims,621.0,11436 crestline east,0.0,D,U,UT,,9.0,Saint John,,,,1-549-459-9347,63.0,Mim1197,36603,58462.0,United States of America,1568532.0
HEINO,4.0,MACIEJEWSKI,339.0,1963 holmes lower,1.0,M,O,Quebec,,8.0,Bismarck,Dun & Bradstreet,,Q,,7.0,MAC1198,33010,463531.0,United States of America,618397.0
Sonny,1.0,Boyce,344.0,1485 PEMBERTON WAY,0.0,S,O,TN,,5.0,St. Johns,American Axle & Manufacturing,M,X,1-105-878-1416,52.0,Boy1199,44133,2962.0,United States of America,792635.0
Michelle,2.0,shannon,689.0,1756 windsor east,5.0,U,U,Quebec,,8.0,Fontana,Texas Instruments,f,,1-099-542-7457,85.0,sha1200,e7o 1h5,492936.0,United States of America,3786664.0
Yoshiaki,0.0,Abernathy,339.0,3489 silver sage west,1.0,M,O,IL,,0.0,Fontana,Eli Lilly,,G,1-946-550-5142,41.0,Abe1201,44102,,United States of America,2234573.0
Schouwen,5.0,eisen,822.0,13324 preston way,0.0,M,O,PA,,6.0,San Buenaventura,AmerisourceBergen,,J,1-511-509-4165,82.0,eis1202,M5D 1W4,80814.0,Canada,1190191.0
MOLL,3.0,RUMMANS,657.0,8420 ASHLEY UPPER,5.0,M,O,MN,,0.0,Newport News,,,,1-123-823-0767,90.0,RUM1203,M5g 1y4,453062.0,Canada,1505284.0
Harrietta,5.0,CONERLY,,17973 scanlin north,4.0,D,O,Alberta,,10.0,Memphis,,f,,1-650-413-3513,13.0,CON1204,92879,260863.0,United States of America,2529745.0
CILKA,3.0,klapper,498.0,5054 emerson east,2.0,W,R,UT,,9.0,North Las Vegas,First Data,,,1-152-101-9525,29.0,kla1205,T5a 1l5,72979.0,United States of America,990318.0
aurlie,3.0,Hudyma,618.0,9902 altamesa park,4.0,U,O,CT,,,Tampa,HealthSpring,m,,1-753-826-8969,56.0,Hud1206,90244,347970.0,United States of America,2965412.0
duncan,1.0,eder,533.0,505 GAYLORD NORTH,4.0,S,O,PA,,5.0,Oshawa,Harley-Davidson,f,,1-450-541-8069,12.0,ede1207,91166,472646.0,Canada,3947021.0
Kellen,2.0,FELCZAK,539.0,12416 lenwood lane,,M,,ND,,2.0,Scottsdale,Alliance One International,F,,1-517-002-8015,77.0,FEL1208,23461,91620.0,United States of America,205448.0
utpala,3.0,Schrader,370.0,19334 stratmore lane,4.0,M,O,NC,,2.0,Sacramento,MPS Group,,,1-422-843-3164,94.0,Sch1209,93389,206466.0,Canada,1212587.0
maxi,4.0,broadhead,466.0,17595 TAHOE EAST,5.0,U,O,Manitoba,,,Charleston,Mosaic,m,,1-090-540-3172,1.0,bro1210,T6c 1h7,470471.0,United States of America,3019513.0
YARLANDA,1.0,doig,841.0,22014 rose park,3.0,M,R,TN,,1.0,Warwick,MGM Mirage,,,1-544-108-4404,47.0,doi1211,e7o 1n9,15702.0,United States of America,480003.0
shandy,2.0,Iaquinto,846.0,3692 evans north,0.0,M,O,HI,,3.0,Missoula,Weyerhaeuser,,,1-834-719-3009,32.0,Iaq1212,13203,,United States of America,1663851.0
Siamak,1.0,VOADMIN,,8293 wayne crescent,1.0,M,R,AR,,2.0,Jersey City,AGL Resources,,,1-309-532-1007,6.0,VOA1213,91335,77086.0,United States of America,16431.0
freddi,1.0,woodall,335.0,21646 lake park crescent,3.0,M,O,KY,,8.0,Winston-Salem,State Farm Insurance Cos.,,B,1-258-938-5054,92.0,woo1214,T6C 1G9,277587.0,United States of America,955759.0
Ilysa,4.0,hallett,340.0,19305 crystal hills lower,0.0,U,U,VA,,8.0,Lansing,Pilgrim's Pride,,Z,1-265-555-7012,31.0,hal1215,92878,309383.0,United States of America,829233.0
florida,4.0,Zaydan,,24611 WRANGLER AVENUE,2.0,U,U,PA,,3.0,Chicago,Precision Castparts,,,1-496-220-5173,59.0,Zay1216,29205,,United States of America,1277886.0
lynnea,5.0,Hurtubise,449.0,15581 INGERSOLL AVENUE,2.0,S,U,NE,,1.0,Nashua,Rock-Tenn,M,R,1-943-319-0450,92.0,Hur1217,h2f 1x4,86633.0,Canada,2693596.0
ofelia,5.0,GUMBLEY,381.0,14831 murray road,0.0,M,O,Prince Edward Island,,6.0,Concord,,f,,1-086-172-2402,69.0,GUM1218,t6a 1g7,31218.0,United States of America,1340742.0
Shirlene,2.0,sollman,419.0,20494 ross west,4.0,,U,NM,,2.0,San Diego,Delta Air Lines,,,1-738-154-3508,51.0,sol1219,90866,109562.0,United States of America,
Jerrylee,3.0,faou,747.0,19166 taylor crest east,1.0,D,O,NY,,8.0,Madison,Motorola,,,,71.0,fao1220,94273,201385.0,United States of America,852982.0
MIWA,4.0,ERNST,720.0,8815 concord court,1.0,D,O,OR,,3.0,Saint John,3M,m,,1-147-341-1855,72.0,ERN1221,43625,427589.0,Canada,1746702.0
Ida,1.0,Sylvain,,9720 tide mill east,,M,U,MD,,6.0,Norfolk,Ingles Markets,,,1-504-164-9114,40.0,Syl1222,H6b 1x8,442115.0,United States of America,1111993.0
Brittany,1.0,scourneau,547.0,3972 wilmington rue,2.0,M,R,ND,,8.0,Lakewood,Hudson City Bancorp,F,,1-382-486-7322,23.0,sco1223,v6t 1r1,419466.0,United States of America,905885.0
Morganne,1.0,Ridgway,308.0,10785 gemini north,4.0,U,O,LA,,1.0,El Paso,Citigroup,,,1-725-441-6643,40.0,Rid1224,50324,276706.0,United States of America,418487.0
Hortensia,4.0,Hotson,644.0,21034 WINDCHIME LOWER,1.0,S,O,NV,Apt. 646,4.0,El Paso,Schering-Plough,m,,1-624-667-8341,81.0,Hot1225,v6o 1s6,130584.0,United States of America,2667849.0
SAEID,5.0,LUE,523.0,3735 neilson upper,0.0,S,O,Nova Scotia,,2.0,Tulsa,,,,1-394-099-1580,10.0,LUE1226,E7o 1l7,363231.0,United States of America,3129396.0
MERIDEL,,WALBRIDGE,330.0,21985 oakhurst court,3.0,S,O,WY,,7.0,Escondido,Cephalon,m,,1-819-993-1787,87.0,WAL1227,93664,364610.0,United States of America,1827490.0
MIEP,1.0,Hoang,662.0,5530 MEADOW LAKE PARK,4.0,M,O,AL,,9.0,Irvine,Aventine Renewable Energy,,,1-284-475-3132,22.0,Hoa1228,67225,167477.0,Canada,1695044.0
SWD,0.0,VAN OORSCHOT,326.0,12397 ingersoll upper,2.0,W,O,ID,,9.0,Durham,National Life Group,,U,1-629-566-6403,71.0,VAN1229,V5c 1o5,15674.0,United States of America,3037827.0
RUTH,5.0,Scarrow,377.0,18751 lyle avenue,4.0,M,R,Nova Scotia,,0.0,Ann Arbor,Retail Ventures,f,S,1-288-650-2894,30.0,Sca1230,M5a 1v8,104231.0,United States of America,1394392.0
jaya,3.0,SIDOROVSKY,760.0,7750 RAMPART DRIVE,2.0,W,O,WV,,3.0,Bismarck,Apple,,,1-045-952-9338,44.0,SID1231,T6B 1J1,439123.0,United States of America,1165541.0
ivona,4.0,Luu,704.0,23949 SCOTCH PARK,0.0,S,U,Saskatchewan,,9.0,Lowell,Newmont Mining,F,,1-723-682-8994,,Luu1232,80022,65410.0,United States of America,1959230.0
Therese,3.0,Borson,,8729 halle street,2.0,U,O,ND,,4.0,Ottawa,Sealed Air,,,1-137-265-4305,68.0,Bor1233,10164,469337.0,United States of America,121635.0
Lou,4.0,GILLIARD,713.0,11100 morningside west,5.0,M,R,ND,,8.0,Milwaukee,Amgen,F,A,1-893-977-0837,73.0,GIL1234,60774,298717.0,United States of America,1752544.0
JOCELIN,5.0,Mcwherter,542.0,24123 lamport lower,3.0,M,O,ME,Suite 290,5.0,New Orleans,Spansion,,,1-204-729-1190,74.0,Mcw1235,37220,56675.0,United States of America,590157.0
Alan,0.0,Huffman,778.0,8188 candlelight north,5.0,M,R,AR,,9.0,Greensboro,Office Depot,,,1-784-145-6096,43.0,Huf1236,99703,250536.0,United States of America,378036.0
jolynn,2.0,mevis,623.0,16508 cleveland upper,,S,R,WA,,8.0,Simi Valley,,F,,1-112-443-1407,3.0,mev1237,14232,,Canada,150777.0
TWYLA,5.0,stirling,392.0,7609 josey street,0.0,U,O,TX,,7.0,Santa Clara,Halliburton,M,W,1-591-924-2610,49.0,sti1238,T5a 1m4,299575.0,United States of America,499128.0
saree,0.0,lorincz,314.0,298 CEDAR CRESCENT,5.0,U,O,CA,,10.0,Worcester,Kla-Tencor,F,X,,50.0,lor1239,93326,1647.0,United States of America,3883139.0
Shirley,3.0,vincent,702.0,9764 harvard park,4.0,W,O,ND,,10.0,Escondido,Thermo Fisher Scientific,m,,1-120-114-2808,53.0,vin1240,h2f 1x4,286954.0,Canada,2998448.0
LORNE,0.0,Wang,485.0,24132 abbott street,4.0,D,U,SC,,10.0,Erie,Williams,f,D,1-305-810-2623,38.0,Wan1241,90164,481516.0,Canada,2625185.0
Somsak,5.0,Bazik,715.0,12636 LINWOOD RUE,2.0,S,R,MN,APT. 254,6.0,Regina,Sonic Automotive,F,,1-652-883-3499,60.0,Baz1242,98141,111344.0,United States of America,3167634.0
Elyssa,5.0,Babin,743.0,22824 ROSE EAST,3.0,W,O,OH,,3.0,Lancaster,Flowserve,,,1-672-562-3209,72.0,Bab1243,90807,341647.0,United States of America,2769945.0
SHIRLEE,5.0,Neuman,752.0,19085 amsterdam avenue,3.0,M,O,PA,,4.0,Charlottetown,Huntsman,,,1-410-290-3625,42.0,Neu1244,E4a 1r2,425275.0,United States of America,3943063.0
Wilow,5.0,Betts,,15401 winter park lane,5.0,M,R,ID,APT. 159,10.0,Huntsville,,,,1-066-652-6553,3.0,Bet1245,v5a 1p5,76349.0,United States of America,26913.0
Christine,5.0,schwenk,727.0,16606 mcafee west,5.0,M,O,IL,,4.0,Springfield,Alliant Energy,,,1-783-423-3737,92.0,sch1246,90239,243685.0,Canada,1268277.0
Ria,3.0,Zelsmann,627.0,2031 ross road,2.0,U,R,MI,Suite 328,2.0,Bismarck,AptarGroup,M,,1-415-186-6059,56.0,Zel1247,35845,34059.0,United States of America,2173819.0
heddie,5.0,Winningham,439.0,15960 st. phillip boulevard,3.0,D,O,ND,APT. 421,2.0,Salinas,Genuine Parts,,,1-167-455-1042,80.0,Win1248,A2b 1v9,321140.0,United States of America,1004185.0
Aartjan,4.0,hebbar,828.0,8899 starling lane,1.0,D,O,TN,,2.0,Fort Wayne,Starwood Hotels & Resorts,f,,1-525-839-7401,54.0,heb1249,H5l 1p9,30169.0,Canada,3248647.0
Aloisia,3.0,picard,413.0,22133 wesleyan way,0.0,M,O,ND,,3.0,McAllen,Weis Markets,M,,1-906-537-8336,82.0,pic1250,M9e 1u7,232504.0,United States of America,403159.0
jossine,1.0,Mayr-stein,829.0,18267 cape lane,4.0,D,O,NM,apt. 776,2.0,Shreveport,OfficeMax,,J,1-933-285-4690,32.0,May1251,20011,,United States of America,1255629.0
ANSLEY,4.0,kleynenbergntmvaa,724.0,11961 beningus rue,2.0,D,O,AK,,10.0,Hilo,MetroPCS Communications,,,1-113-559-9611,76.0,kle1252,10187,33500.0,United States of America,2944139.0
chin,4.0,Dilley,,11926 GAYLORD SOUTH,1.0,W,O,WI,,6.0,Oxnard,Darden Restaurants,,,1-553-227-3208,58.0,Dil1253,V6L 1T1,94094.0,United States of America,2730313.0
cybill,2.0,COMBEE,597.0,2270 floresta rue,1.0,S,R,MD,,0.0,Pittsburgh,,,,1-119-188-8234,75.0,COM1254,93888,384343.0,Canada,3721362.0
QAINFO,4.0,mendez,702.0,14783 SAUNDERS UPPER,1.0,M,O,NY,,5.0,Pomona,Dentsply International,F,,1-610-990-4030,72.0,men1255,13204,335778.0,United States of America,87116.0
Luke,3.0,CALIS,783.0,23975 morton rue,5.0,S,O,Newfoundland,,3.0,Lubbock,Modine Manufacturing,,,1-418-964-5696,25.0,CAL1256,H2a 1w9,,United States of America,
CATE,5.0,CONNER,514.0,22345 4th east,4.0,S,O,New Brunswick,,2.0,Chicago,Maxim Integrated Products,,S,1-727-518-0923,73.0,CON1257,94629,170437.0,United States of America,188852.0
Florine,1.0,Van dyke,395.0,7626 clint west,2.0,S,R,ID,,6.0,Gary,Brink's,F,,1-424-230-7510,33.0,Van1258,m2q 1d5,269584.0,United States of America,697983.0
Luping,,Novia,431.0,17107 university court,1.0,U,U,SC,,1.0,Independence,American Financial Group,M,,1-158-972-9762,89.0,Nov1259,V6b 1r6,172183.0,Canada,2682855.0
Caroline,1.0,ACKWOOD,402.0,881 vance jackson south,1.0,M,O,TN,,,Little Rock,Regions Financial,,R,,8.0,ACK1260,94632,35385.0,United States of America,2101299.0
Krinda,0.0,PATTULLO,657.0,18723 ethridge park,0.0,D,R,Alberta,,10.0,North Las Vegas,WABCO Holdings,F,,1-921-154-5804,36.0,PAT1261,10703,223383.0,Canada,
Elfrieda,3.0,Pizzarello,663.0,15591 camp bowie way,3.0,M,,Newfoundland,,4.0,Fargo,UAL,m,,1-845-232-0939,4.0,Piz1262,94402,159693.0,United States of America,3419489.0
Emalee,2.0,Moffet,748.0,17132 MIDLAND RUE,3.0,U,O,NJ,,2.0,Cincinnati,General Electric,,U,1-310-011-8087,21.0,Mof1263,m1h 1p3,311444.0,Canada,1927419.0
Tierney,4.0,Drummond,794.0,17027 9th road,5.0,,O,GA,,5.0,Orlando,Collective Brands,,,1-367-411-5545,29.0,Dru1264,53757,285802.0,United States of America,2476124.0
STACEE,5.0,IOANNOU,800.0,21177 norfolk way,0.0,M,,NV,,5.0,Simi Valley,Duane Reade Holdings,f,Z,1-071-995-4878,32.0,IOA1265,33309,423642.0,Canada,3524149.0
Jacklin,2.0,Winstead,716.0,3833 PRINCETON CRESCENT,3.0,S,O,ND,,3.0,Stockton,VF,m,,1-944-859-5982,65.0,Win1266,M9d 1u1,414724.0,United States of America,2826334.0
Millard,4.0,CULMER,685.0,11460 briar forest lower,5.0,D,R,WY,,2.0,Denver,Quest Diagnostics,,R,1-500-161-2282,41.0,CUL1267,M5A 1W2,103095.0,United States of America,627765.0
GWENDOLYN,4.0,Rolston,467.0,2803 clearwater north,4.0,S,O,New Brunswick,,3.0,Ottawa,Amazon.com,f,F,1-900-782-2828,4.0,Rol1268,10193,251608.0,Canada,2079617.0
IOLANTHE,1.0,Davalo,424.0,3124 CONGRESS PARK,5.0,S,O,ND,,8.0,Santa Ana,Cooper-Standard Holdings,,,1-688-722-3100,,Dav1269,75204,466631.0,Canada,2440307.0
Buffy,4.0,florence,719.0,23318 grandview street,3.0,M,O,HI,,9.0,Fresno,Raymond James Financial,F,,1-663-949-2542,40.0,flo1270,M5F 1W6,319611.0,United States of America,494497.0
Noreen,0.0,Narraway,460.0,21976 broken oak lane,4.0,D,R,AL,,4.0,Newport News,Waste Management,,O,1-704-752-9592,23.0,Nar1271,t6a 1i7,31336.0,United States of America,2449007.0
DARINA,1.0,DEGEN,503.0,5623 memorial rue,0.0,W,R,MD,,0.0,Cedar Rapids,Patterson-UTI Energy,M,,1-829-463-0846,78.0,DEG1272,98160,234270.0,United States of America,1061532.0
subi,3.0,AL,781.0,6404 pharr park,5.0,M,O,PA,,9.0,Augusta,Fidelity National Financial,m,,1-956-266-9575,80.0,AL1273,44312,441616.0,Canada,3947420.0
KARIN,3.0,CRADDOCK,389.0,4065 pampas south,,M,,OR,,5.0,London,Brookdale Senior Living,M,,1-793-652-0399,7.0,CRA1274,v6m 1v2,199969.0,United States of America,323615.0
KESSLEY,4.0,sterian,472.0,16047 linwood north,5.0,M,R,NM,,10.0,Salinas,Nalco Holding,,,1-444-570-0151,11.0,ste1275,35895,104211.0,United States of America,2578863.0
miriam,3.0,Fallahi,,24990 conier park,5.0,S,O,New Brunswick,,3.0,Fargo,Dillard's,,,1-270-102-2156,,Fal1276,95402,125783.0,United States of America,2330950.0
HOLST,2.0,Erbilgin,,2295 bonnie brae upper,3.0,M,,FL,Apt. 343,,Overland Park,Hess,m,Z,1-088-500-6364,10.0,Erb1277,M5e 1u3,386913.0,United States of America,1028958.0
tonie,2.0,Egner,435.0,19305 crystal hills lower,1.0,U,O,WV,,1.0,Aurora,Medco Health Solutions,f,,1-002-204-0709,95.0,Egn1278,V6r 1u2,434919.0,United States of America,591978.0
Darrel,5.0,Taharuddin,345.0,7477 cone way,0.0,S,O,NJ,,5.0,Huntington Beach,H.J. Heinz,,M,1-560-601-9858,11.0,Tah1279,M9d 1u1,409171.0,United States of America,1566884.0
margette,4.0,Togasaki,845.0,6372 plumb drive,4.0,U,U,MT,,1.0,Cheyenne,Allegheny Technologies,m,H,1-003-740-6871,74.0,Tog1280,V6q 1w6,35973.0,United States of America,2233915.0
Siew,2.0,ingrey,583.0,22133 WESLEYAN WAY,0.0,,R,WI,,0.0,Bismarck,Perrigo,,,1-483-304-6077,8.0,ing1281,70132,496333.0,Canada,1697753.0
TIN,4.0,Dacre,410.0,15621 yaupon lower,5.0,U,R,AR,,1.0,Syracuse,Texas Instruments,,,1-018-689-7394,39.0,Dac1282,94467,34940.0,United States of America,2281290.0
Blythe,3.0,SEARS,743.0,22422 inman way,,U,O,DC,,4.0,Chicago,Gannett,,,1-945-171-3526,36.0,SEA1283,V6p 1r2,433355.0,Canada,3872337.0
Emer,5.0,Ertl,316.0,17043 GIBBES ROAD,0.0,M,O,British Columbia,,7.0,Newport News,,,,1-990-496-1766,10.0,Ert1284,M3w 1l1,204073.0,United States of America,2092159.0
EADIE,2.0,Cayouette,690.0,2063 KERRY LOWER,5.0,D,O,NJ,,3.0,Jackson,Dean Foods,f,I,,73.0,Cay1285,32210,311152.0,United States of America,1311610.0
Diannne,4.0,Williford,448.0,311 pike south,0.0,U,O,IA,,1.0,Ann Arbor,T. Rowe Price,M,,1-017-610-2976,56.0,Wil1286,v6b 1s5,140649.0,Canada,2854213.0
Kingsley,4.0,Regimbald,517.0,19133 fox grove east,3.0,U,O,FL,,10.0,Allentown,Gardner Denver,F,M,1-215-714-0481,90.0,Reg1287,T5A 1Z8,133125.0,Canada,503224.0
Hwei-ling,3.0,meriwether,787.0,7785 rusk boulevard,3.0,S,R,RI,,3.0,Toronto,Delta Air Lines,F,,1-035-789-6847,64.0,mer1288,45211,424101.0,United States of America,2678386.0
agnola,4.0,Squires,543.0,3967 bedford crescent,4.0,D,O,British Columbia,,8.0,El Monte,EMC,,,1-651-228-6591,6.0,Squ1289,46238,60208.0,United States of America,1823472.0
anthea,5.0,Gasul,639.0,17213 TOWERWOOD EAST,0.0,M,O,CT,,10.0,Richmond,CME Group,,Q,1-987-819-6633,4.0,Gas1290,94493,382836.0,United States of America,3929702.0
kaitlynn,0.0,Owensby,730.0,3872 milam way,4.0,M,O,Prince Edward Island,,3.0,Little Rock,Lincoln Electric Holdings,,,1-683-225-8085,97.0,Owe1291,V6h 1t2,151861.0,United States of America,2039071.0
STARS,2.0,aghili,374.0,17002 montfort north,2.0,U,O,Manitoba,,4.0,Macon,New Jersey Resources,M,,1-776-096-9636,,agh1292,99725,71838.0,United States of America,3295828.0
joanie,0.0,perron,307.0,2384 LAREDO ROAD,,D,U,IL,,8.0,Honolulu,Valassis Communications,m,A,1-738-161-5093,45.0,per1293,H7h 1v6,13393.0,Canada,408058.0
karil,5.0,marconi,420.0,19875 keswick avenue,0.0,S,O,SC,,4.0,St. Johns,Hexion Specialty Chemicals,m,B,1-661-702-6449,62.0,mar1294,61107,48174.0,United States of America,2402816.0
Concettina,0.0,Poyer,607.0,10666 TRAVIS WEST,3.0,,O,MD,,5.0,Nashua,Old Republic International,F,,1-506-342-0828,60.0,Poy1295,33160,291845.0,United States of America,3276957.0
SASCHA,4.0,Norton,510.0,12957 MIDWAY PARK,4.0,M,R,CO,Apt. 202,1.0,Huntington,,,,1-297-444-5533,31.0,Nor1296,93877,114680.0,Canada,1989523.0
ODELLE,,Presti,313.0,8954 bagby north,1.0,U,R,FL,,7.0,Winnipeg,AGCO,,,1-797-072-5206,98.0,Pre1297,44110,402704.0,United States of America,3405299.0
Jeniffer,5.0,inge,672.0,23961 hughes road,2.0,S,O,ND,,2.0,Santa Clara,GameStop,,,1-982-829-3696,81.0,ing1298,85037,176331.0,Canada,2615638.0
Linn,4.0,YERNENI,531.0,926 NOLAN DRIVE,0.0,M,,WA,,6.0,Mount Pearl,eBay,m,,1-142-222-3994,45.0,YER1299,91320,369094.0,United States of America,1007245.0
Jean-michel,4.0,Lyall,352.0,3271 ELM WAY,0.0,M,O,MO,,1.0,Baltimore,Cummins,f,,1-029-545-3628,26.0,Lya1300,48213,13493.0,Canada,2654937.0
Glori,,Boswick,431.0,327 CITY VIEW LANE,3.0,U,R,VT,,3.0,Salem,Systemax,,,1-521-945-7110,25.0,Bos1301,92148,353507.0,United States of America,3834204.0
Lizette,0.0,Mcdunn,413.0,10093 mckinnon north,,U,O,Ontario,,9.0,Lincoln,RadioShack,,,1-321-041-0384,96.0,Mcd1302,e7o 1q4,254075.0,Canada,1223723.0
Gorde,1.0,VIITANIEMI,682.0,11650 brielle boulevard,0.0,S,O,WY,,5.0,Great Falls,Service Enterprise Group,m,,1-534-030-4476,18.0,VII1303,53759,312305.0,United States of America,406806.0
keys,3.0,hershberger,487.0,21286 taubman park,4.0,S,O,GA,,6.0,Paterson,BearingPoint,,,1-053-195-2833,56.0,her1304,10068,483335.0,United States of America,839378.0
gusta,5.0,Mayoux,554.0,6094 alonzo lane,,M,O,MS,,7.0,Toronto,Worthington Industries,M,H,,49.0,May1305,74103,,United States of America,414126.0
ihor,5.0,Hallett,552.0,20658 kerry south,1.0,W,O,PA,,7.0,Yonkers,NiSource,m,,1-877-535-3350,79.0,Hal1306,66624,273949.0,United States of America,3220146.0
Suzann,0.0,STEKLASA,704.0,5954 hazard way,4.0,S,O,NY,,1.0,Coral Springs,H.J. Heinz,F,,1-254-886-9051,87.0,STE1307,76120,95144.0,Canada,1359422.0
Clifton,4.0,Haas,,3063 howard lane,1.0,,O,MT,,7.0,El Monte,Consol Energy,,,1-989-937-7865,10.0,Haa1308,93869,145720.0,United States of America,2734888.0
Christoph,3.0,flewelling,477.0,18395 bledsoe boulevard,2.0,U,O,LA,,5.0,Dayton,Valero Energy,,,1-169-112-7924,46.0,fle1309,v6r 1v9,436686.0,United States of America,1272562.0
hellen,5.0,wallace,329.0,2419 sherwood lower,2.0,U,O,HI,,3.0,Lincoln,United Services Automobile,,H,1-299-733-4392,48.0,wal1310,98148,452738.0,United States of America,
elysia,3.0,morton,831.0,15465 cliffbrook west,4.0,U,O,OH,,8.0,Sherbrooke,DRS Technologies,m,,1-084-315-4415,93.0,mor1311,44301,145288.0,United States of America,3847425.0
Martina,1.0,janecka,620.0,19492 lyons court,1.0,U,R,MI,,4.0,Shreveport,Mueller Water Products,M,,1-414-818-1188,50.0,jan1312,57702,221882.0,United States of America,3025982.0
Sharleen,3.0,van kast,485.0,17212 lander south,4.0,M,R,ND,,8.0,San Diego,W.R. Grace,,,1-983-209-0286,31.0,van1313,H2e 1v5,14405.0,Canada,2521783.0
roanne,4.0,Rousseau,349.0,16552 fresco south,4.0,M,O,GA,,6.0,Oxnard,Foot Locker,F,,1-228-142-7457,42.0,Rou1314,77119,491148.0,United States of America,3003955.0
ANNET,5.0,TAHARUDDIN,710.0,6580 bingham avenue,3.0,U,O,AL,,4.0,Augusta,Boise Cascade Holdings,,,1-519-379-3422,41.0,TAH1315,14224,439539.0,United States of America,1528063.0
Bernice,3.0,Glinka,,15880 chestnut rue,5.0,M,U,Alberta,,,Hartford,Rite Aid,N,,1-009-463-2794,33.0,Gli1316,v6s 1r8,464637.0,Canada,209853.0
gavin,0.0,Filippi,392.0,17536 frostwood crescent,5.0,M,O,IL,,5.0,Pomona,Capital One Financial,m,,1-126-781-5775,49.0,Fil1317,V6V 1S4,364193.0,United States of America,
kalie,4.0,De salis,354.0,14506 ABBOTT WEST,4.0,W,O,VT,,,Orange,Marshall & Ilsley Corp.,,,1-313-460-9270,4.0,De 1318,19075,32958.0,United States of America,3058804.0
monroe,3.0,Letarte,529.0,15258 winter oaks boulevard,2.0,U,U,TX,,4.0,Palmdale,Mattel,,,1-798-356-4562,14.0,Let1319,97208,82412.0,United States of America,1606513.0
LOGAN,5.0,Shingler,509.0,20920 balmoral north,2.0,M,,OR,,9.0,Salt Lake City,,,,1-938-878-2878,38.0,Shi1320,94319,288984.0,United States of America,3540880.0
Shanta,4.0,SHAKIB,764.0,9137 QUENTIN BOULEVARD,4.0,M,O,CT,,6.0,Oklahoma City,National Oilwell Varco,,,1-650-311-9912,70.0,SHA1321,y5c 1m8,107831.0,United States of America,2718726.0
Kordula,3.0,Gurica,412.0,11828 butler park,0.0,S,O,SD,APT. 784,4.0,Tulsa,Unified Grocers,,,1-077-572-2066,60.0,Gur1322,A5E 1B1,84588.0,Canada,2710048.0
libbey,2.0,Butner,695.0,7409 lexington lane,2.0,M,O,OR,,5.0,Ontario,Northeast Utilities,,,1-346-199-2974,9.0,But1323,V5C 1N4,426245.0,United States of America,3592521.0
Vivianna,1.0,Raghunath,391.0,2792 pike court,5.0,S,R,ND,,0.0,Toledo,Patterson-UTI Energy,,,1-196-113-9442,88.0,Rag1324,75229,113699.0,United States of America,
