prospect_Ag,prospect_Pho,prospect_NeWor,prospect_Inc,prospect_MariSt,prospect_PosCo,prospect_AgeID,prospect_AddrL2,prospect_C,prospect_CreRat,prospect_NuCrCar,prospect_Ge,prospect_NuChil,prospect_NumC,prospect_Cou,prospect_AddrL1,prospect_MiIn,prospect_LN,prospect_Sta,prospect_FirNa,prospect_Empl,prospect_OwORFl
17.0,1-056-149-3559,1331718.0,25434.0,S,Qybaiijz,pan7908,JZQPDTCCPJQKHEFTUOFZNJUWQFGJNNEM,Oklahoma City,804.0,6.0,,3.0,4.0,United States of America,,,panpxjiq,KS,gpqbb,Wyeth,O
,1-234-265-2699,3809227.0,386293.0,M,VQTQJHFTGUF,Phn7909,rvgvmzeoismpxumntoqinloutijjuujuto,Peoria,499.0,4.0,F,3.0,3.0,United States of America,Ojcntdvkzusbjticesclziugakeatjfpbxrwqkwktkgifpccghrbgwb,p,Phnlcbpaqbsjage,NY,Lmcrwvysclibvcm,RSC Holdings,O
68.0,1-261-891-0099,3395139.0,383223.0,M,KJQMUNHHKQ,Qxj7910,Gtvbo,Toronto,609.0,10.0,f,5.0,5.0,United States of America,,,Qxjgenyg,IA,Xnvxresdvqjhbpdxb,Ametek,O
46.0,1-466-757-1291,2413564.0,177160.0,W,jvjcgtehn,gnr7911,Cvdttynviwbtvezwgtkokvvctpchloyndpeagykfxawbuckwetwdvhgovkbmvvrwvbvtygxcs,Fort Wayne,745.0,7.0,,1.0,4.0,Canada,Gjxkmoivphuexxeqbqqlidyieithhd,,gnrgksp,NJ,Caqtoamzsaehgjvulmmeadj,KeyCorp,O
11.0,1-794-350-9050,1218281.0,207177.0,M,Myzipngml,YFS7912,kgrenupiiejkchwnptnjlyhzxxmpns,Kitchener,,6.0,,2.0,4.0,United States of America,QZZPVAEASLSJXHRRFFXVPJJRKCWUOOSNGFIYKAJAZBVOYMCIDPXAFBV,J,YFSJHBBDDROOBGHUCXVZPIW,OH,Hfhozsumjnfdjksffywdejyduahieb,Ingles Markets,U
55.0,1-407-417-4636,1501110.0,378510.0,S,Bamrstb,kmc7913,ubwpjekdliiaiirkwomccfoepmngoukvajtajsdgfxlwiugisigugy,Mobile,575.0,,F,5.0,3.0,United States of America,SKOHRHOBJVQYSQKGKROWWOOAGYJTOZUCXWIVMCWCCTXBVIMKFSUVGDTH,Z,kmcwmjeqtucbjonu,VT,ugreadsmyyzflhraopczm,Smith International,O
80.0,1-413-798-8740,3510096.0,39969.0,M,Krimsrswlrzr,Jve7914,Wfpsogdaulwoaewqttymplfbiymruobnvu,Henderson,468.0,10.0,,1.0,0.0,United States of America,Outbpsofzvvllcxocdjloxmbaeoijbgiuwwsilwytvoqdidaoskndolshurnaxocqatemlxtbgkligfc,n,Jveolosdhwigoy,Alberta,CWDYPFHQLUUWQIBRDPXCFNW,Trinity Industries,O
20.0,1-693-514-6735,,126133.0,W,oapsimceir,HAH7915,Peakucarebkqqowcxyjwsuqbpxkkgoddzbikxxxrmhdceqotjbvnxmsacdxlhizkj,Casper,543.0,7.0,,5.0,0.0,United States of America,Iovmordzsewiippemxxxfqbojldimrhvhid,b,HAHACMBLMSH,NE,duoqmjonqbichgsqwsaxomykkw,T. Rowe Price,O
58.0,1-676-265-1012,1465068.0,354032.0,U,oorpdfvrd,Wzi7916,klczhzwofgxorfxmkkvnuqpydwremqspayihjzcubwdqhwjttsrluaxlvwouvd,Macon,313.0,9.0,,0.0,5.0,,HHUXFDBQAUOFNFMYHIUCXTKVZAUCUOMPXSMGSPHEKROPNK,,Wzikriwnntdbqzilgvtlsewam,PA,umirygydvvkkekerszbnhfqkeybn,Steelcase,O
33.0,1-465-904-8392,,393358.0,W,Mhrkuraadkb,doi7917,Qpwsepjuhbcxdbldbdrumxqzytrtgaqxdnuuxfidtqkafxfjcgyctvesyefo,Savannah,710.0,2.0,m,2.0,4.0,United States of America,Atvzcyljdextktcuwjdacr,,doiwobekxvqcyswbc,HI,SNKXJGTQRWWQWLMOWJJYVHQ,Energy Transfer Equity,O
60.0,1-541-422-7984,3868349.0,360080.0,D,Fqkhm,Jqy7918,Dcfdwrhlupetlrcgpdjcpwh,Erie,320.0,8.0,,2.0,0.0,Canada,,w,Jqypfnqhmpuxmlcbrwswvee,DE,NFYRMRREIKMRNGBHWAHE,3M,U
56.0,1-486-040-0417,2409902.0,310910.0,S,LMFPXGXBZEGK,Kba7919,PNCVGINMBDCEREMIGKLGBBVJMEWMLFUESEYFEHFONFTTVNXJSLLSULOILWGBWMMCLDKJOQNQMIF,Minneapolis,842.0,4.0,,4.0,1.0,United States of America,fybnngsnfazs,B,Kbaoljhbgdg,AR,Jvzmlvkjpqlwuvpzkezubbtjf,Equity Residential,O
81.0,1-426-146-7892,3205565.0,482624.0,M,ZXRTKKPO,Dvt7920,Zttnpyuyqvhdf,Plano,364.0,9.0,,2.0,,,cuebfeqkxawdmtcukzsellbemotuxldxswdcjzlsashtelnoxfuwrapwnxuidxjkarfggz,,Dvttbwfx,Ontario,duyhyceaiukzomwqkhfcnvmlac,DST Systems,O
32.0,1-674-592-3807,354145.0,47644.0,U,PFEKGCYFAGHN,XER7921,hxxbsfkqamwvkzfhvqoftxgzytniovbjpzv,Boise,543.0,1.0,,2.0,5.0,United States of America,YQXAKMZESSIVDHGOTUEAJVCNCSVVUY,Z,XERDYDGUIKZAQPIULQVBDSXRFEOOB,AK,XIHUXU,Hawaiian Electric Industries,O
15.0,1-983-632-9079,1104063.0,433844.0,M,Xskbyx,Gbk7922,JTDBXBTPLNXOVQOVGXTIHPUMVEJAKNHTGGNSOTCSTFOYJWVZTQCWLHPGGLXCAMHTOJHTOQTWJBSOHF,Akron,845.0,1.0,f,2.0,0.0,United States of America,Gwnuncibniiuhffoufedrkvdteetipsjouwfpkyobhgupmjdzyartmiyer,,Gbkdkeisaste,Saskatchewan,Wnperbzagblechbiuebt,NVR,R
23.0,1-146-786-7699,2213495.0,181596.0,,AXMNPVJYGX,Whn7923,Grvtwbldjuqurytjusxd,Lansing,745.0,6.0,,4.0,4.0,United States of America,Xqquwywircryqyajocqbefddlhjqsvhtvpyxwpzhqkzfrgitnaabqwaf,h,Whninzryszfjxphspzcgeq,KS,WVPTBBBERUN,Virgin Media,O
76.0,1-234-496-7120,775085.0,338080.0,M,CCOMKORPR,IVY7924,agcetpprnhvxchlbvaisfhdp,Anaheim,378.0,1.0,,0.0,5.0,United States of America,Yklpwrsq,g,IVYMGECWJXSMDAFIVU,NJ,Wvpvtumgfcvdntgyllvp,Polo Ralph Lauren,O
44.0,1-053-718-0926,468879.0,192895.0,M,Dzgpamgblur,nlo7925,Kjyyterjaosalnolfimisnzusipktupgaywhpytdigvdctllqcovbwevfybfdasmqwrzzlx,Reno,464.0,10.0,,0.0,5.0,United States of America,Oyvnrhnrusia,R,nlodvthfggrjpx,SC,gtgjjbedkz,Fannie Mae,O
76.0,1-865-765-9738,3325505.0,471765.0,M,Dpcdojllw,ybf7926,TSOJVMMKXUERZWITQTYIAFSXFKOEBVAXIT,Brownsville,630.0,5.0,,5.0,1.0,United States of America,qfrurnedupzxgqvwmmzpkxwtnugglcetlkegklljkiiyqqmpvxplzzrrbmrbeftpwrxbeifbqukftsf,p,ybfbzsmuxwwmbuutk,WA,Kmdxshmxgvefoo,Zale,O
92.0,1-015-167-0461,230971.0,338586.0,M,Xpfqujvj,Kfs7927,yukcnvpipinyxmhekregypjwnwkccccwihlhayf,West Covina,628.0,7.0,F,4.0,,Canada,RFKSEHIHUOERISQUFWVHHVKLIKIFOUXFHPTGIQS,,Kfsmuipdwwslwoqldxfuksjcnt,TX,Nukqkieftaayxnlshyyziybhggs,NV Energy,O
67.0,1-686-872-7968,3026062.0,380309.0,M,mwmnam,zgg7928,Ikadovganezpeqmoxjjnfnqkd,Newark,,5.0,m,1.0,5.0,United States of America,RPXDQECHMXYZYTXMBWSGRAIKQHWFFBBEBCNLLAZZERMOJWVBJWOFAJEWHFRDZOIZQSDSVL,B,zgggpphbzlvx,Quebec,Kbjceoc,Legg Mason,R
36.0,1-359-001-5834,3566330.0,487268.0,D,DBDJJZ,OBA7929,Iavjbxljkhbpbwsjstmllr,Saint John,825.0,3.0,,2.0,0.0,,Epcknhojtbupkyqudpkuibzogogdkfwtxnnrvajetgmlwkfzagomzikrstrriilafktslzqwcswlstzv,K,OBAGLYRST,CT,ulosotjjbjg,,O
4.0,1-872-067-9058,536247.0,,M,iyajtvppqia,RBL7930,BQIPORMPXISARALRBJWOIVR,Fontana,473.0,4.0,,2.0,5.0,United States of America,,I,RBLKNILGLRJQIJTWGZPUZNB,IL,Zlspb,CA,R
19.0,1-636-527-6965,1337448.0,383251.0,W,tvmliuaepiew,SOB7931,Qdrtxkhbjwosnhefukagwhetnxltzh,Chesapeake,675.0,10.0,,5.0,0.0,United States of America,VYQOEA,P,SOBAHVHMCMQBJFVWRE,FL,LGLXZWYJCBDBHQHZPRSBH,IAC/InterActiveCorp,U
89.0,1-121-752-0498,523749.0,471714.0,U,,Hht7932,ludvxamkroxchqycjldlrlxcjxrpntthxwaqwaoolgdxfznagpwpczoeouab,Allentown,318.0,9.0,,5.0,1.0,United States of America,CYEBWLQFTPIROZRFYQGYYIMJDJRHLJEO,,Hhtvg,GA,vzafkskfmyxvyannuhzjhwhzkq,MasterCard,R
91.0,1-419-724-9641,2688676.0,373866.0,M,Dsrgdaiaxp,Cjg7933,vwarncoxumqivahv,Riverside,506.0,1.0,,4.0,5.0,United States of America,hnmekqkjkckwipnptortenzvbbthrsn,,Cjgmk,Manitoba,dpiruwvmljjxhqzmauunfvocbksjza,Guess,R
7.0,1-127-364-0489,2808658.0,5853.0,S,Nurqjpdrjs,Zpv7934,OXDCQRMW,Omaha,619.0,9.0,,5.0,1.0,United States of America,uutnqpqvjjwjhabwhezazaxisddegsktuig,,Zpvjcvyogaqpidqhxuxwknrxya,NC,Bgchecnwsjdwwsjfb,Zimmer Holdings,R
,1-999-797-0401,2758259.0,159711.0,S,qlnnsh,WEV7935,Vzzpdwiukinqngiwqrdvfkloenypixhinabaljfggxhrrqgqhhmaz,Tucson,614.0,7.0,,3.0,5.0,United States of America,Cdnkkxyxrfkryiuiuxsqcupswtauqcqksyuskmswndrguobmoncgysmkkowmaecelfroxncnvujqvm,u,WEVJFVZSRNGZBLJSIIQBXLZQZNDKK,New Brunswick,Ghxdfopjjqwvsuiuwyqaauitsuola,Scotts Miracle-Gro,O
84.0,1-561-951-8350,2928920.0,299560.0,U,odtlvrmnqbk,Poh7936,Jfojwqiyxgeimzihrlfgsfgexfzzxztcwxcsqagalblaprjqxyodvt,Macon,375.0,5.0,m,5.0,0.0,United States of America,XEDGSVDEZOEQBVQCVRBKXDXNCKUXNDZEGQMAACHMEQIZXBFTNXBEFDCROZBJYKUBPDXFSJNAR,S,Pohgovabtsxaiamduinfdwixbl,Alberta,QWHTLNW,Jabil Circuit,O
82.0,1-545-257-1373,3007587.0,384975.0,M,Gngacced,Rkr7937,Nijqb,Atlanta,714.0,9.0,f,3.0,2.0,United States of America,MQHAXENOEHNM,w,Rkroqdfcrdhm,VT,aketjvrjbhiqdmq,Biomet,
94.0,1-786-471-6923,1713014.0,231656.0,S,Mcjgbqm,RDA7938,ysjxaoaycnzmmrcrdcizwbileigajabgfbeuhkbhcuanatjdfhqe,Salinas,661.0,2.0,F,0.0,,United States of America,Ykxhxvmjmaadakpikasfexpcfchrvfgsehfrduhrvfscpylqvzlqx,U,RDAWYKIVCJQDEJFQHWN,Quebec,gabajbhg,Warner Music Group,O
34.0,1-295-114-1108,2751413.0,141052.0,W,VLVKVCOUB,ntv7939,Bqavfclieppertmdbhqmwhulcbgbqalujbmpdrsxdasvf,Savannah,338.0,6.0,F,1.0,3.0,United States of America,wjkqajlqnmdnonnuejtorxffmnzteutpvkaocdqurvnwwygnym,,ntvzpsfxhwsyxpltlc,CA,LUYOJYLMG,Pep Boys,O
,1-590-272-3005,3218756.0,484382.0,M,Aqtlezohomnt,Vds7940,Hvxrkzf,Pembroke Pines,374.0,0.0,,2.0,3.0,United States of America,Lgxjqvkcrvlxabwsktmribmyvhpxbytayotvjiwikllwgavawjrktmnixzejcat,J,Vdsofnvmqkryhbactojcgz,CA,fdluxsoswnuebpilv,CVS Caremark,O
47.0,1-711-129-7518,402020.0,56526.0,M,Brgxe,yug7941,knhrvjakppfswavojnnworzarnltnfbuuu,Aurora,,1.0,,0.0,1.0,United States of America,Jzpvekdnefsrgdfppfsdxxgogvxpqohfjqhvrph,K,yugjafrgxlpautprkkysdkeoemharx,SD,Gnxhmxxgsbmbczwforegsjlefuyf,International Paper,O
24.0,1-637-774-5956,2681790.0,37250.0,M,Bxwrukxd,tef7942,Swikzpfehqcxjejszslavlvgllttzfeuo,Fort Collins,545.0,1.0,f,0.0,2.0,United States of America,Ycqryledfoyipisexwdiemabkkblbcgmhjucsfctduedgdtiloqkbwymixsmpcpyoranzt,,tefjapnsbwwtznfzozkd,FL,YOKFTSYCSNBKCVODM,ABM Industries,O
2.0,1-848-267-8973,109559.0,,U,pizym,VAQ7943,Nvcoganjpnvfgkpdkmontkusfamrdjpywdpbflhnm,Frederick,633.0,7.0,,4.0,3.0,United States of America,Zqcybwygkkfrczwfvaebnqwleeqvkkwclszwvcfuefuxnlxsnwmsbrcvkntyjayspidqlgtmxtstjdjw,l,VAQEZQMRSJKIMXLYDIGRCXL,OR,YZREQIW,Intuit,O
29.0,1-269-725-9428,891209.0,181697.0,W,Mlenlzhknabe,kdz7944,VQSBWWUZIFRKATULKWDRAOSMKMTMKNLVXJBULXMNXZHGUYSLAF,Huntsville,519.0,4.0,M,1.0,4.0,United States of America,BCBJMWJVWPQGCHELPIWOIDJYKEHLGRSOLKYMVQYOVGKRP,H,kdzhyfehfz,British Columbia,nqdjlfati,Avnet,O
40.0,1-485-719-7513,1712490.0,36412.0,M,DZHTWG,Sfl7945,OQXNAUYVGKIACRDEGQTUPDCUVNQZGLQFDCMCFROXKFIIWTBMMQYAXUUVB,New Haven,757.0,5.0,M,1.0,1.0,United States of America,Qvkoeknuvnzutzhukzaixatrlvhrbctdgajnsqqwipm,,Sflvvddkfg,WY,Dzbimvialqrklbitbtlhjxv,Chevron,O
71.0,1-112-550-4761,,304183.0,S,lzlhjoaffpc,dvk7946,Gwgdpgytztbsdnmkgxqhhavlstlkw,Cincinnati,634.0,8.0,,0.0,0.0,,DXJLZWXAWVUCLOKITWNDKZJCMTJSZLMRVDHHYZIBISDYORXYFKPIPNGHETYMMV,,dvkvcvmgsiuxdss,British Columbia,GUAUNWOMZCZWTWQZVUWVHUNE,L-3 Communications,R
16.0,1-221-176-5784,2942794.0,116425.0,U,Vvpqcccjrva,szt7947,adnemwjeqpjfhntbtxvoidzbgitivpsblralnitnendscsuefsshboodwbqosrlifd,Fort Worth,633.0,1.0,,4.0,4.0,United States of America,IRPKUWOSUCCTMEAYKZNOT,,sztaoru,ME,ZEQEIFPPECJLLNKIQWDMZGTWPSUM,Olin,O
,1-622-415-0229,2502907.0,201188.0,W,Hcrfv,Mep7948,Ztmivyjjannefmqsqdvxuasplyfxyzgkfsvbecgryctlosoghsapqaxuerhssrdsvy,Vancouver,564.0,7.0,,1.0,0.0,United States of America,GZWGMVJGUPYQGTZYEGSAYWUUQDOZWSNCOYLBRMIGRHZFMGQNYCLUDFJJJAOFPEJPU,X,Mepmpbddokfessxi,VA,Zmjovzgwenaibjoudvdpo,,O
29.0,1-177-081-9596,3411671.0,6488.0,M,qemij,Veq7949,FQDKZWCI,Little Rock,562.0,8.0,F,2.0,2.0,United States of America,,,Veqecgkojfdtrr,Prince Edward Island,UZAWLWIQEMEWRASUST,Administaff,O
46.0,1-613-317-6920,2374063.0,352785.0,U,Wtmju,NBU7950,Yewrfezntvkozyyhssosxjfhvovbzttxqujfialbrgqdlvbomuwgcn,Charlottetown,698.0,9.0,M,3.0,3.0,United States of America,khsusfahhnmwaenjtcsarjgxfpksfnqsahdeantguvhnawldvkmcsbhwpidrvfdxrklwkg,P,NBUAQ,MD,Wttdigoxdlsetsaecsmykr,Pacific Life,O
71.0,1-425-168-8926,2950394.0,98403.0,M,WIILM,usi7951,SYSBTJBCAXCQTXQGRFNSAPVGYFVYLNJWMQOHBVHTWUWCIEEAZRHOVGKBFEQZASJRQMJ,Iqaluit,766.0,3.0,M,3.0,3.0,United States of America,Xibdijvesakpvikdpso,C,usixjzgnbgprketqmuqvalk,KY,Nttfpcyyuzn,Imation,O
67.0,1-834-776-5359,1812351.0,193163.0,M,Orodvakxoy,lyi7952,Finwjypacpbjglmrklswgrawzhbfeocpjprguiwttoeofspzwpmdtvabyxsr,Hilo,715.0,1.0,f,2.0,0.0,United States of America,,,lyisulvrmtakxjlcrzbniepngdgdgs,VA,Lockukwdquotjovdqynjpggsbsjibi,Burger King Holdings,O
95.0,1-725-384-2416,2401369.0,293740.0,D,Snjkoxfgemlk,Nxw7953,ISKAUVPKKQJSFTMQQKWIXHPPBPMJMAAWHPVASEKOKKLOGCBLFUUHEYAGYCNZFVOHRBQQ,Milwaukee,778.0,5.0,,1.0,1.0,United States of America,afewqtzrakkcfaboltipsatypddufefyvbdyj,,Nxwdpb,KS,Xwxobrpgzdoegqohlvszf,Rowan Cos.,R
8.0,1-683-708-8535,680974.0,491432.0,S,Cnzokxeuch,Fkd7954,WUJPIZUECFISNBTMZCYJSKCWAPAFMJRJLXVRJJXOYYUVDUSFUNWGYVMSIBAEPJNCXCQN,Hamilton,591.0,2.0,M,1.0,3.0,Canada,Anvfusruqasqkpymilppwliobuxyqmaoecnqdxqsnebwnrlhldisjcnytmhrmeuoitsnsfffnc,O,Fkdvusshhfdlurvcgajkiwduecvfo,KY,Kkosjkpgrnjx,Susser Holdings,O
89.0,1-634-619-6654,3928533.0,300246.0,M,wloyabve,Kom7955,Pkuicdupwughumxemyuaolzydhisbbs,Austin,538.0,2.0,M,5.0,4.0,United States of America,MSRMPOWBDFHQJCW,U,Komsojeljwpanmjeufy,NH,woqanmjieqlziqczibwthvksf,Cephalon,R
41.0,1-250-147-0365,387652.0,499522.0,S,Tukqgpngao,tll7956,Uqkhrezotmrn,Windsor,775.0,9.0,F,,3.0,United States of America,Acuihqueegwmztdgppraghmtnuqhmrqxcqbps,O,tllghgshlaacczyrijfvfhig,IA,Yagssloxvlchtsvnmfdhlbhubrt,Sprint Nextel,O
32.0,1-899-001-2403,821584.0,261504.0,M,dmwhtakvzrux,Izc7957,AVBUKYNNRHNLNISYSZPFNOVNNVLE,Allentown,843.0,9.0,M,1.0,3.0,United States of America,Lvqhtpofmpvxstwwbvtgtrwfgdmnjawiuioiwxyiklrhofrkqnnxxynhgascirnndybnw,G,Izcbxzsfhkh,IL,Labqpvyojuqlclykvzhbao,BJ Services,U
87.0,,1244071.0,,M,,WKX7958,HOKVGVAHIUFCKQ,Fayetteville,512.0,10.0,m,3.0,0.0,United States of America,XDPLYIXDGDTPIPVJODAMTPVDMKJRXTYACFJTAEVESOOGPTFWJHWNHWOGVUZJMRQKCWJFVNWXFJ,,WKXOVR,OR,EXFSMSCE,Retail Ventures,
92.0,1-589-125-1887,1189322.0,338850.0,M,covzi,WNO7959,,Montreal,833.0,0.0,,0.0,2.0,Canada,Flpunomecdxltugdwkzxwrjxrofgxtrbnqaimurleenttjetuwjxhdgaqaqamubudcqxjlbriksh,,WNOCXFMRKUJOQZSNXVOVJPUZCXCK,NM,ymeazlfwsuommmxxx,American Eagle Outfitters,O
83.0,1-496-317-3058,3233142.0,322878.0,M,NITLHBNQ,Kxm7960,Nbhccbhukwwirfbqnugogcoqelv,Akron,400.0,0.0,M,2.0,2.0,,Kvpnrufpvjqzotkrgmhmkz,,Kxmnnrjsjcbmxbslqcsxtw,NE,typhcytnmwbhluub,Omnicom Group,U
73.0,1-048-902-4918,1977072.0,344857.0,S,enxtyammfpso,VBK7961,guceoerjfiszxdqdcflppdvrtfewmyqdqdhtvgqpogxomzibbnalkq,Independence,754.0,8.0,,3.0,3.0,Canada,Koxucempitjjdvuibixfumqwtbesdenqgupvwpfejiigwadhcetfhwbo,E,VBKQCEJRJTKDOSOOSNFF,IA,sacefuthhvhttiunquq,Belk,O
6.0,1-707-512-6428,2565062.0,326286.0,S,Huhfvzb,MOW7962,CNIQGATPHOH,San Jose,738.0,8.0,,5.0,4.0,United States of America,BPKQBTFELLPHWJEVLGTITMJKGBTLFXHIGIWETH,G,MOWBNSOUWPPJL,KS,qjdmqsxtdko,Intuit,R
73.0,1-755-429-0507,172431.0,258746.0,M,Fwtryjknra,Okv7963,,Sandy,839.0,0.0,,4.0,2.0,United States of America,fdmnbqrmdvsefnmemmpopsviwdkgfynlnawsckpgzyxrfgvrgkwrhbrvxm,,Okvqft,ID,Enldryzsvsbpjihkh,Cooper Tire & Rubber,O
56.0,1-226-695-4242,2735339.0,388720.0,U,Gkinhvujwgs,Jnr7964,Eqiecdycntfesorjocoopn,San Francisco,724.0,6.0,f,3.0,3.0,Canada,abdvalumfxoggpynaofipkyadytyqufkcywfgoxxhgnykoxsee,b,Jnrcuoo,Newfoundland,XOXGELDEQPNXMNNWVPMHYHWMJL,Toro,O
95.0,1-275-909-0362,3273938.0,397650.0,D,QDBBWD,sld7965,Eugnbodhmtbdxusjoqhtvrmntdrsyjmzktjpjlkbhcbupllqfikvxqdrhlnjaazzin,Elizabeth,770.0,8.0,,0.0,1.0,United States of America,ehlkrefzwzxvpsmnmbot,,sldgkcgfqpfpydzeqtqaaw,VA,WBMJXRIMJEDRXSIEPNXCGABXWTVNZ,Helmerich & Payne,O
92.0,1-339-141-9741,497721.0,138396.0,W,Qwuuxhzahd,HTJ7966,Vucopbdsvuglhktaoefscqwhtfryzaujublfpogjnlureyycoexidlivdvuaqclaatxarxtflpqs,Reno,844.0,0.0,M,2.0,4.0,United States of America,Lgjlhyvqvsicmfhnetkuqyaohgaqiwljrqmmeiotxkpdfieohxktmbct,P,HTJTRSEJDKMVVLQRJPSFCRJ,TX,Hxgwxrlvbsa,Centex,O
62.0,1-401-115-6829,3397603.0,278359.0,W,Ewsgmajialx,Jah7967,Rwrwnohykhzxyajmpvttarwnwwbaicgdjagrtpupaguupdndreegkxaxpchmlerpnkxs,Simi Valley,307.0,2.0,m,0.0,1.0,United States of America,Bsgfyovraiehoqyyztxznffxapdqjseqstquqckefsfrnfzgkflslodxvmpaxxtlwcygngj,,Jahnzodkpghhmtdmijinjlzvxvu,WA,Wbcbhqqqqqroffgwbeb,Qualcomm,O
80.0,,2320613.0,36336.0,U,Oggomhoomi,oce7968,Tabpcqvbrhweptexsaaeyhpxfamknxvdcqkxcxxmcehsvvznshgtmuqwmsxdhfzohqxeobvmauz,New York,600.0,9.0,,2.0,2.0,United States of America,Nixvnantxjstnhozglhrmaeaxuckgsntmjwtnggnflww,r,ocezyyodhewjsgxkaupfjely,RI,VFYTKJDYIDRQWYGCRR,,R
42.0,1-423-497-9642,3162291.0,210065.0,M,ZUMATEYDNZPB,Gyg7969,Guadpsvgtdooevwesspsgrkcfmyafgkhsosclxfdvobfoqceffgfdrmynjvuqpmdgngn,Simi Valley,843.0,6.0,,,2.0,United States of America,usbvlcsllnqofggkmoekiueyahvyexjpbddvirmhnqcjkgmfokg,B,Gygpgtqpx,WA,bdcdxsejlvnmopabrdeosuxsl,Universal Health Services,U
45.0,1-667-132-0118,2835719.0,165145.0,W,Qrbhjg,Qwr7970,Arqifwtalzxwnfuwfyizjwwtjpnmlqudsojkkvnrcddm,Coral Springs,616.0,7.0,F,0.0,5.0,United States of America,Onjdfqvgkslkosrpknihvzylrkejlqpffflewnhtdfcvm,,Qwrrnrvsnybhuvihlywkqfzaojcicu,MT,txtlcvn,Medtronic,O
63.0,,1856955.0,58218.0,S,qauaawqjvc,Bpg7971,djtavgmzwlwtavuakhhhvogzthldlbwcbmcgosrn,Bakersfield,330.0,4.0,,1.0,3.0,United States of America,illmdyfbrlwadjxemcvfueyjtdykyaqucyyolfctrbwtysshjtdhywziuqivilfgmenru,w,Bpgpfcq,NM,Ojvyeksqyppuvorlagbwnlszdvige,Sally Beauty Holdings,
35.0,1-366-870-0408,228641.0,67777.0,U,Txtoucjdz,MBQ7972,URWGHABHNLQAVIPDLTMACDOWVMRPBHYNAJEUHUUFJHJSBWVCAQNFCSPBMSQ,Moreno Valley,444.0,4.0,,0.0,0.0,United States of America,aeclgwtslltzmlszezoyxvbldjtiiqnpfghmniimxjdwqpocs,,MBQWJAFTVDSNXZCWX,TN,gshlcqxdbcnqputqltqnafkm,SLM,R
87.0,1-458-995-5122,361584.0,39761.0,M,Cmjaegrju,Qtn7973,Qifahzwmvbncytyvwigkdwsyvpewtczpsz,San Bernardino,595.0,,,5.0,0.0,United States of America,OEDNATVXWFDIIHYBVJUEHLNKNCYYGRYFKOTZDJSMMQTFJSMPRNJPYPEREYMEBDTAKMDZENNQNMAGY,n,Qtnvdxyubqfxb,NM,hvcsxhhdordpebod,PNC Financial Services Group,O
9.0,1-233-397-4249,52012.0,129508.0,W,Urcnb,aqr7974,Mgqweoniaaxmigclhvmtfhxorwulfxarnqgzccevgamukogsfrthmdqytfbcrk,Ann Arbor,425.0,0.0,,0.0,4.0,United States of America,,a,aqrpatoqyqkwwkuvrwxxidrnvag,ID,tqymhenitzedh,American Axle & Manufacturing,R
1.0,1-135-933-5159,2518827.0,137883.0,M,Avzijcbkw,QMU7975,EQLWTZATSUPXBSQVMGAQQHZEDIJMUSAAOYYMCLZ,Salem,396.0,8.0,m,0.0,5.0,United States of America,Qeeiespwuhkewjxspsujvllvtgrucoxpahillguwacubqugzwyeljdtfgsbbtxd,o,QMUHYNUCXJERQXLDEJKKQENVAJAQCB,NJ,ltneghsfijwmwccmwpqalkhu,IMS Health,O
58.0,1-431-497-0163,,181746.0,S,Kctovgwi,Zbc7976,nsqszkunggembpaxtlzzixaiavuamueyvuahdtffojqlzyjsgbjrgoiy,Louisville,720.0,6.0,F,0.0,4.0,,Tkvxkmokxddklidoxmlpuxuqjmocnvhodbfcexspqxxztfcecvjgrnqwsfvwaulxlqp,,Zbcdtdrhqxbkmnd,NH,xwkbdkhqrksgdvvhfhtzr,C.H. Robinson Worldwide,R
58.0,1-601-191-7044,2028687.0,332881.0,U,Xkdzustf,VHX7977,Twqaaokigotsoejzvjlzzitiajnbveabnfqualpxbslawnpmrupkdmzpqop,Irving,656.0,5.0,M,0.0,3.0,Canada,EYBGVGDHTXWEFISEAJBLKPRFLXHHDRUFNSTVPMPPHMRJYVFXWDLMFSUMRFGEGJLCHAMX,,VHXMMQBSVWPSEFMB,SC,Weogedkdasbnabrtprx,Sprint Nextel,O
20.0,1-137-179-7233,2903276.0,446723.0,U,BLPVY,Rub7978,Camhyanhhlgrsfprsaidtmroxhdbnwlmysbatiwgrrv,Saskatoon,749.0,0.0,m,2.0,5.0,United States of America,sntcnoepfgncqgmfphgiukupjrpvunbvixxf,c,Rubexgzukftyzkouj,IN,RVBANQWTYYOTEZWUBCHNHHUDESQWI,Dentsply International,O
92.0,1-429-280-6110,1055051.0,307144.0,U,LCJGYVEIJ,Bbh7979,Zovdduwvsbbwkayokvoithkegphcfbdgbm,Erie,584.0,6.0,,3.0,5.0,United States of America,ibppaegmlyyqxbupjecshurfinxezskrgaqmnecacmaafwzxdlxsyjyvqyqfjwotyjjdb,,Bbhptzsrbajmxpcqdznx,KY,ssdngmtgmqdrkwkk,Walt Disney,O
67.0,1-697-497-5231,3490418.0,168863.0,,Uwzck,hyl7980,ILAWNYOVUNMSNXFVJRQNBCXHSDNSZPMVPGB,Hartford,,6.0,F,2.0,5.0,United States of America,wvdenuumxaaemzduywzrnkcztppoeretvrtbkcllpfzq,F,hylxso,FL,wronkstrtpxuopeqgbm,Aventine Renewable Energy,O
