prospect_AddressLine2,prospect_AgencyID,prospect_MaritalStatus,prospect_MiddleInitial,prospect_NumberChildren,prospect_OwnOrRentFlag,prospect_CreditRating,prospect_NumberCreditCards,prospect_Age,prospect_NetWorth,prospect_LastName,prospect_Country,prospect_Phone,prospect_Gender,prospect_AddressLine1,prospect_NumberCars,prospect_City,prospect_PostalCode,prospect_FirstName,prospect_Income,prospect_State,prospect_Employer
fsmkvlugbfcoktrmtducpmalcrbuhdrehn,Fjf8321,M,,2.0,,807.0,10.0,90.0,928230.0,Fjflhmnvoakmtwisrv,United States of America,1-163-510-4261,M,,0.0,Huntsville,nqwvllbg,XEHNUJIKPKYKPMGSQY,159252.0,OR,W.W. Grainger
Djklqdxtvvydntpipuebsewsynnuhmbpdirnoaypive,CGY8322,W,g,5.0,O,810.0,8.0,72.0,2224043.0,CGYNV,United States of America,1-693-041-9883,,,0.0,Augusta,Qjdpefpit,Btfvngdvnbbmbubfwaidz,148355.0,IL,Mattel
TPEJBUAELTKXKOSNILUJNDTHUFQATVOEBSMLQUEVYBFXITMLRDCJKEOXJFMFQAYAMKWLLEP,bel8323,M,I,3.0,O,772.0,9.0,33.0,192997.0,belbu,United States of America,,,FREVUPJFKPLAANIXABYLLTBHTCMFJPFIBXIWAIRJKMAVTGW,3.0,Charleston,Qitxryg,Nzxeqrlzwy,328658.0,VT,ScanSource
Vkhvlqxotyxwuxdrgpqcwsdthttshproufhxecvpr,Llp8324,U,,1.0,O,793.0,,24.0,2573716.0,Llpkdnfyvejkuzs,,1-033-611-0110,,yneevqbenlioynffaijzeyrwrqzifig,1.0,Kansas City,vudor,nasaqtzcqgqnlxtysufcu,253317.0,NJ,AnnTaylor Stores
Qvquxafsrasmdiexmmhcrnvlbswzvmxiegx,Yie8325,D,Z,3.0,R,587.0,6.0,63.0,2891892.0,Yiesvhhjzcnuvhqwe,United States of America,,M,Hbpdpqgcrqzwhsqzybhyyrhhneeclltkv,1.0,London,usovmkpyos,hedlqjbfdfovwgogbghrcdmj,67122.0,MA,
Jhxeamxbowafwjrxkwcjwwlhornptegepnmsitqdxcemksbqz,Lsj8326,M,,4.0,O,816.0,8.0,77.0,3542416.0,Lsjthwnwdvecoafq,Canada,1-223-574-4581,,mylzcclnsen,3.0,Madison,PZCZU,Vndhsbjqkelocefehhdhnjpnsocv,271302.0,IL,
PAZXXBYPCFZCSCZOWBPTIORRKESPFSSBHPDNTACVHDKMHGWSGJVSHHGOZLXOBHFASTFXQKJHL,dcy8327,S,M,5.0,O,662.0,5.0,12.0,340613.0,dcyvonrjqimravkpjrw,Canada,1-286-662-5149,F,mfcfevj,1.0,Atlanta,,ZLPOP,117685.0,HI,PNM Resources
lzsjvgqqftexyxooqmitwkaumspmzoomunmbzjugvmhpvhynwoxd,Goq8328,S,F,4.0,R,324.0,10.0,61.0,1620653.0,Goqycxzqhppgamftitcbroejtbzcg,United States of America,1-376-958-1811,f,Asiouqhqvtkjlbauoirtrjourbbsypgtbuvoaheglfixjimgyncibgomrocilysg,5.0,Cedar Rapids,ovndbfcbjgf,Zrduepvymcsudkymoqcxusswh,353676.0,MN,Fidelity National Information
Fzrhrcptgfronghmjpghcbavupujlqhgjnxgjdrz,qfq8329,S,U,4.0,U,,4.0,66.0,469588.0,qfqbhmvadftqdmdpzoxqbdbedaq,Canada,1-074-357-6659,M,eesunuxqgydeoqlvusoepewahf,3.0,Dayton,IIKFP,Dpyldrfmhckidoom,256196.0,LA,Expeditors International
Eglqhkgampjkqfeoxfeemrtewmlxxiwqftlrcpqoomksjvaazwlwjew,sea8330,,,,O,825.0,0.0,98.0,628952.0,seapngdaxdwrhnkps,Canada,1-838-734-6644,m,Ebtkaodqgbtbjtnccmyxbiwirzlnakluwgprdbtbszcoqfdpskarcvszrxailrpnio,3.0,Baton Rouge,Mptzfobp,Wllmwfujsonnngqaboimuwalstj,319544.0,British Columbia,Target
Fmqhgzilgbimrqkjzzmeltalplrgvloetjugklnmeunbyijtjey,Brx8331,M,A,,O,768.0,4.0,32.0,2627200.0,Brxosgqkrb,United States of America,,m,ZXWUAEPUKRKQJIWTMEHTATPFOJPWFAQURO,0.0,McAllen,Ofntxhjnnpgs,Axrfrf,55879.0,ND,Watson Pharmaceuticals
Ziavbxnapcjbwzticzkxdcxpbeesafhqvxdxjhagwfxwgsxfqlbshemjlipdcf,Udh8332,D,L,3.0,R,506.0,,14.0,1162079.0,Udhqoqeu,United States of America,1-417-441-6704,,Jrunkwyghraugithczuzkfrwoqrccwxqowrxsuwfhzpjhltegbrgfypvhwrwmctdmfszrsnypaybrq,0.0,Saskatoon,Ohvftlrrbxse,kpcmntroczd,74233.0,Quebec,AnnTaylor Stores
TSOLMWKHFFTGCXMZAEMHCNIFPAYWNMHLCSTKEBWTTXHQDRPBXEMIDDYPTGMTGLCSKWNPP,Jsj8333,M,,,O,,1.0,78.0,603942.0,Jsjjwtzzngwcg,United States of America,1-217-642-9000,,aipwbibipksssoorbsezarcoefaikpvdashim,2.0,Fargo,tshxvei,Wiqbmltkpqztvxomqkcamznflmav,36850.0,Newfoundland,Cigna
JHTVZPWPMMUYQXYSNNICEEIWAIKMLRJVESPKLTUYQCAJPCTXJ,Ghx8334,M,U,4.0,O,700.0,,27.0,2528598.0,Ghxfbjlntlonxmimsiifn,United States of America,1-119-538-1837,,Vassqnvuoo,0.0,Charleston,JYWQSLAK,evkgpqjffugnufnzkxvjspga,12494.0,FL,ConocoPhillips
Atrnicoxhosodfzzliyhwrjpethceirqctkqirlbjlcu,Edz8335,U,,0.0,R,354.0,6.0,12.0,3459874.0,Edzaeupfofuqnk,Canada,1-790-202-9336,,Pjcyvm,,Augusta,GEKSBEUS,Agscwxstfahmfggjmmgzpalr,51667.0,PA,Leap Wireless International
Cmbcnmmtnvocdqamtjmfhfpwjmogvvy,Fun8336,D,S,0.0,O,661.0,2.0,33.0,2834186.0,Funorixyeffotlhqyqseoud,Canada,1-373-451-3779,f,yagsmleiqpjxbdsrhostcxrfimhdyrhuaytcuuyhztefgfwr,5.0,Hialeah,zkisqorztj,Ebgidqbwfb,380580.0,SC,SPX
Tfqewrinwsgbghzcfoc,SOZ8337,U,,0.0,R,609.0,4.0,74.0,3505753.0,SOZSIFGRLTXRSYUEL,Canada,1-100-752-8483,,Mcviusptfwedntfysbknpbjblbwabof,5.0,Toronto,Bwfak,Khvqsgykl,123348.0,CT,BE Aerospace
Ihmbiwkvozrhmaz,buf8338,M,,2.0,O,846.0,0.0,70.0,1592317.0,bufzmajy,Canada,1-843-287-9110,,eiektdlgnmvje,2.0,Lowell,HPQICKPU,Auksjodbgrfwdgoccjbbjdhwvszym,429014.0,UT,Western & Southern Financial
Malvohpeprmlfzfalpgonuphmqfviugtscmlstvknunmsuvmtmwixqrtbbdxe,Maa8339,W,M,2.0,O,709.0,1.0,93.0,2404099.0,Maadmuxajjvmewuvpud,United States of America,1-545-551-5882,,Sybamiqdnfwrxjhdpvfcfsbciwqtuakvomjdgensrti,1.0,Philadelphia,OKYMYNRUZ,FULEDRRKUTHJASZVK,374158.0,SC,Medtronic
WPOMXBUDNRDQHQTUQXQOQSGXANCAVSASSHMWEHQQTPDRJPQEFGVVDMNWJUMDMGXKHSQLDOFJ,pwo8340,S,,2.0,O,402.0,4.0,27.0,,pwoweizu,,1-556-545-4106,M,Cqclzjhxgdtokgsgj,1.0,Billings,Xxekm,ESUOR,156741.0,WY,
tmwkowevktkbzokttaxtisqalehbdxkwwzbqczkzvlbzgtuuhhbsbtddjshafyxippt,vei8341,M,,2.0,,594.0,4.0,96.0,3281237.0,veinqzhqgbn,United States of America,1-711-159-0030,,Ngkknfuzinwrqsufvvlxijznltwdpbcsrhouiu,0.0,Las Vegas,NPEKNO,nxsgbnkatgwsyaeqejygpf,19121.0,NM,MetLife
wfrlhvvjnnbwrrhtuudfjupec,Big8342,M,,1.0,O,717.0,7.0,35.0,3191520.0,Bigxvdal,United States of America,1-571-456-8029,,Obmgewgvhhyemqircchhvrgqslqzzufogwrkcvvqu,4.0,St. Petersburg,sagtj,Ozybrvxztlgtocgsjw,129753.0,SD,
HCTYMHJBXVGNJNWNSC,Gwl8343,M,n,0.0,O,416.0,1.0,79.0,1098160.0,Gwllvjplgqxy,United States of America,1-375-881-9626,M,Syfzgdaotk,3.0,Virginia Beach,ESUFYETXCKKH,Yevbnmpeuuugm,126899.0,KY,EMC
dceanedzllqvftppktwzklngicjgnmglxksw,UJD8344,M,,2.0,O,489.0,10.0,81.0,3216384.0,UJDDXUKMICPQEJMWMAWVRJFJFSB,United States of America,1-502-145-4210,,Cqomhokmrvyerexzwbbnmmwetthdyvhvozzfhbzofvdhjoxwgx,5.0,Coral Springs,Cmbbvnvk,ebnndieeluiiuqsiopqvtypgaty,171924.0,GA,International Paper
Tmqgjpyouaqrqymqfzgvexkjsregzarobqcxvvddodjdnocqhpamjupnrkypmrgpdyuqcrmzufosgh,TJA8345,U,,4.0,O,435.0,9.0,78.0,33574.0,TJAIEHEBAKUTHKUCNO,United States of America,1-978-773-4788,m,Offsxhhssvdcczwtid,1.0,Richmond,,Nnvkqgggyyjvnw,411993.0,VT,Bemis
QQPBFZNDQZMQMDAZSUAFEKXAORDZLNZZJSKHERJKLLVFFZDZXGUGOBIHGPKTFMLWRUDQAITXJJMXVA,Lqn8346,M,L,1.0,R,645.0,9.0,19.0,574125.0,Lqnldewyb,United States of America,1-305-742-1412,F,Ibhedhjeydbqhdhhpwuooabdouwzsnkuaknj,3.0,Overland Park,UEPNRTYKBOT,kbrsajutj,160887.0,OR,Dresser-Rand Group
Vpnjfgtdaamqcuyspngepajzvfrbuxuyow,Sjv8347,M,h,4.0,O,594.0,0.0,88.0,3712135.0,Sjvxqwywraaiesxxwitstfsfctoscm,Canada,1-425-281-0871,f,Slpmhlbl,0.0,Nashua,IIVJD,Yuvsw,377310.0,AR,AT&T
QJOSMBQLOVUGPZAAISWYRLMQWBLJGWLGAULRWFYMCFOMJAUIZNCMFZRMXCPIGXQYJHZPIWEGLXV,XOS8348,U,,1.0,O,779.0,9.0,68.0,477424.0,XOSROZ,United States of America,1-201-283-9289,M,Xpsfissdabqzvpdoeqtcwgknqnvtujcvrgaslbccpdziakkuejlp,1.0,Las Cruces,Caipwhdmw,Cenkpugxblzucfnbq,294968.0,WY,Pentair
JSQKPBKQXLSZQTIRSXAATQBPCKLGQPRLLGJRZQKQPOQQOBDRISXUJFZAYVMQEDPUVPAZDATZQBJQHROB,Tsn8349,U,E,4.0,R,635.0,8.0,15.0,2296151.0,Tsnuqzyhxhwvvcfhcufbypo,United States of America,1-370-140-5115,,tvcpxocnqqcmfrwyqdiydbauxzenvhmflimtevaframlkzvmypbgxw,0.0,Rochester,Uasectprj,UYNREPABHTWQPPTYBUWCQH,264331.0,Saskatchewan,Ball
Wpspann,aqb8350,S,a,5.0,,407.0,6.0,66.0,1205049.0,aqbkfpcytchaixjswnlxptcdrbsc,United States of America,1-213-108-9032,f,Zoqbpmqaueqzcnjtwstwdclmiwmszlhcllljfjvnerxifagwnqanuitmk,3.0,Gary,uzwlxghd,ahnyqtixdzmgtawgkioiru,336093.0,CA,C.H. Robinson Worldwide
ayytqzdoufdjvieshulhdvaxclzqjwlmegtmkkvvxhhxtvssksibstgpwvfmjifgvuqvojumwhcnmiqp,Tog8351,D,,3.0,R,667.0,,44.0,612942.0,Toghj,United States of America,1-935-846-7322,F,Cdpsaqchjnkxppwcjcmdw,3.0,Fort Lauderdale,Yqwxyl,Egrsrwlehsunqceeckabrokavsagna,319157.0,British Columbia,ConocoPhillips
,Srm8352,M,u,4.0,O,475.0,2.0,40.0,1691044.0,Srmbflnfirveafyihmib,United States of America,1-850-099-0773,,Ucrdtznpfsyllgtntdwqpjoxdkxcidobenuvwavopjxafzxbjfxhutobxzveeyiloxxkanj,0.0,Hull,Xjuxrgcjqwfx,HOANBCIG,204546.0,Quebec,Mueller Industries
Jvanerwavrcsttlbkwqkddeozhgihvwcehd,Zmu8353,W,,1.0,O,370.0,8.0,69.0,,Zmueuzidkqvzcenhbhyfcnvuwuozh,United States of America,1-180-375-8501,F,OTXAYKLNSLFHHEKJPFFQPHKGQVKSOCZYENMMGKXIGEOXKP,5.0,St. Louis,Dxoqcluw,rlbpkzeqgjflj,493168.0,MD,VWR Funding
Tsvkxmlfwjnprhiewlvbmsrcvqdaddchiantbvlsbqvwbflgfiowdjnmlmdbmgbpep,Ajy8354,M,,3.0,U,543.0,9.0,23.0,820347.0,Ajyxfteev,United States of America,1-968-516-8394,,Ziatmdhmgtxxfihytusqdpamulknclpibbeqkyfmxphdejgldtiiyxlz,3.0,Cleveland,,Bjufjpcztatydnorhkssfqnxymfc,170982.0,Prince Edward Island,Aleris International
Zzzdixqzeta,pqp8355,M,,1.0,O,591.0,9.0,61.0,241622.0,pqpjnxcgulodnwpbvdmytluedk,United States of America,1-545-055-0628,m,OSVPPQTRMMWTFZUWXGVOJQVQGJGQAFOGITUFKERAAKTLCZUUFVUBWGZCRPKGGTCMZZSVUXGR,4.0,Sudbury,Fnmarklujwar,bzbuhghcwcxfzdilhztfqeknaowb,167544.0,IL,Expeditors International
fhvtiytkvuvvxjorehjxznhsbykfclubqdfkzwuztffjph,Yby8356,D,E,0.0,O,721.0,6.0,28.0,3727576.0,Ybyzlhpcxnhqoqvolgfldsqvnro,Canada,,,RMKBJYWHLNFLBVQJSXSSBJJAJLYTTOWBAZABEPIZPNCMGFAYUDGREGRDKHXPCFIYGGKSZG,1.0,Modesto,XJGCJV,zddvhtkxpczfsrtnwwwkm,10320.0,DC,Annaly Capital Management
edfiybojzykcekprawoisoigamtpocxwxxuttbhwrqqejlcymre,QUL8357,S,y,5.0,U,672.0,8.0,49.0,3445443.0,QULOVRVSZAEFXOTDMWLZK,United States of America,1-132-543-2018,m,ytgnsxjqjqeazvunylrsexbpjitmipnhbmndiz,3.0,Tallahassee,Owffydzeh,UJSZMXKRT,210885.0,CA,United Rentals
XYLYDULLMWWBKGVWOMXYIKKQEFHVDYJRNCHKWZKLCTXTXKTKIAIJDVQJBMRBOQBTXNDQUPCOO,Bkl8358,W,O,3.0,R,802.0,5.0,88.0,3664506.0,Bklpsvparhrwjx,Canada,1-183-609-4097,,Uthmicfwjygtzjk,3.0,Independence,Gozeirnfoy,ebrcqkqhtgcerhj,269090.0,VT,Cognizant Technology Solutions
Nyoqyycugevfqnavqtggexzpvurptagbwtvlxjucecghnhfzkachnouyxk,Itq8359,U,i,2.0,O,462.0,5.0,13.0,3877077.0,Itqzr,United States of America,1-814-402-9485,,VXEFZIRCIPIWHAACIWNMBTJQHQSBINHVVKZOHSSXALOXEZYVYMGAASFANNXPQUPJNOKYKVQVFNCLRHM,,Dayton,BZPSM,Ombfpcr,410313.0,DC,Loews
Scnsiedur,Atw8360,W,,,O,849.0,6.0,12.0,1889529.0,Atwupxhvhwf,United States of America,1-781-242-8797,,Tiarkxvctcvzmisnwtqcigylxuiqvhwtjxxutaijyhvrwfqvmyddbx,1.0,Edmonton,,Vfnpmpkfcbwgvhlejhecatkbtuo,24725.0,Saskatchewan,Franklin Resources
CKKLNRCLHRQKISWDHDQLONOIHOPHQLRVHTGGICNOVC,PPN8361,U,I,,R,728.0,6.0,52.0,3941350.0,PPNZHIWSIZMUQVTUCJTAD,Canada,1-403-835-3507,F,RREZAEWDKWHGNUEHJPCXZPFVOTSHKJTHHKBKJYAXTISRZKLPYG,0.0,Fremont,PFHKO,lncrtgpbjlrondwtnjpkpbkg,375140.0,CT,Graybar Electric
WJNHBHNUCHROPRBQPUVREQTBICLDVYCXRZKPCCQ,UZE8362,M,B,1.0,O,850.0,,64.0,3404582.0,UZERAEYLCA,United States of America,1-143-481-5966,,UZNTBUKNRJTPXDW,2.0,New Orleans,WTKWUNUYF,Ffslgsp,90376.0,AR,NVR
QAVEAYSRLBLFVEGFKC,axv8363,S,K,2.0,O,626.0,2.0,16.0,1209089.0,axveczdhzvdxtuswo,United States of America,1-982-060-6980,f,faaspgmihqsvdnveqxwvosrs,2.0,Flint,KVCMPZSLFVG,Iyzdxswzofsifrrrpypmtjtagh,74761.0,DC,State Street Corp.
herkfagezjhncpvwceapwigtdhsvxbdasfvceeaqtnegzsf,Ynt8364,U,,1.0,O,771.0,5.0,74.0,106272.0,Yntckeitt,Canada,1-429-687-3197,F,Sjtexsd,4.0,Torrance,WDJELHFSMHCY,LYGGTWHBGVQWQJRFBDIJLCX,254262.0,WA,Warnaco Group
bjjyrzwirrzekwocqihhobdldcnapkfoebrvzjveladsbulvmnklfeqdbjfxxkcb,Msz8365,U,m,1.0,R,702.0,2.0,,429019.0,Mszvcqhplyknab,United States of America,1-892-535-9912,m,Fglkkcioofsqfrcrueqefgecalfgpywrvqfwqkuduxaomdsqkiobjevwdmbdqjtvxgsdef,1.0,Montpelier,Sveby,Ovkxiurare,270354.0,SD,Lam Research
VUAZGJLVWHULFVGUSGCORIKDIHYWWCI,Jlr8366,M,,2.0,O,824.0,5.0,30.0,1825720.0,Jlrblhzt,Canada,1-570-429-8936,M,xflnbrkalaxssxamnxhezniactzkrrldpespwefegvqramczermglngthczivdul,4.0,Phoenix,Ommnteij,OEDDXRGXLBVLHEOCIQ,395379.0,CT,Owens-Illinois
Qgfuahqewhqwskrmiiowiuoyr,PXR8367,U,Z,3.0,O,528.0,2.0,71.0,117460.0,PXRHERGGKVRTU,United States of America,1-569-120-9777,,SPTHXBOXMDHKVKYESLDFZDNWDNCKWQVILDQMBVZAJCQAPJDCKOME,0.0,Palmdale,noith,Mubegmrkuxttvaeehq,222496.0,WV,Superior Energy Services
Uooqakmbtvewmyvahugzuvynacgffeqbgikuinjyryjdjuulujetwdyunxajeb,ipw8368,W,,1.0,O,681.0,2.0,92.0,837365.0,ipwkwgxufan,United States of America,1-826-296-7269,M,OVLSAUQGYXHNUNRSGNPRXMEFTHLQADWMJFYCSEEGHWFUOJMASLWUDYR,0.0,Savannah,FKXDXSESQIPF,XDRUOKDWQQGXMSVKKNZET,290102.0,DE,Pfizer
IMAFBZBGIJURLFEHHKTGGAFVYCACGFI,nah8369,M,B,5.0,O,834.0,2.0,10.0,1213636.0,nahagncxtaxmqwmskfltd,United States of America,1-883-280-1630,,Jzdzpxpkinatfffd,1.0,Thousand Oaks,,Fonzctskongoieioghnqnrepnpc,380542.0,KS,HNI
Hqrkligtxbzbvqflvorzsborukjbvsnhfmhnrzninvjrltkiavyoofzlweymlmdyjossdnrj,YXS8370,M,,0.0,R,749.0,10.0,89.0,1705534.0,YXSLQZJQGWHWWF,United States of America,1-755-650-0981,,Pencyxvsmkxchrlvkxflulsksgm,4.0,Glendale,Bglkqhk,IJDYNMNNGWNCH,293577.0,NJ,Applied Biosystems
ONYFUSMOSDBWJJWWBQOVFUWZXMQMSHOMBKPX,QKK8371,M,,5.0,O,609.0,,87.0,2121657.0,QKKFKWFCH,United States of America,1-754-361-9055,m,Szbsboehlyerksmpqlxkgceifmhsuaooeehqiqjlqzgazqurndabxjnmphbmgrtiochyygzhqfi,3.0,Tempe,Mgitpi,FZRIRYCNCUIYNQWEPEHIVJZOVOYK,115659.0,AR,Dentsply International
Nmpyuipxnvvjpnmscdjcgvfxgpane,Dtq8372,,,5.0,O,836.0,7.0,40.0,3158778.0,Dtqwpvaxmfgsspsuthdzgmwibbh,United States of America,1-934-013-5103,,Bpqoodqquxqjazstmbrtsptldtghkaqgiucn,3.0,Fullerton,VPHZV,MTFXEDIJJHYYWEQE,485918.0,Newfoundland,Eli Lilly
EJVIVOZMZFRRPSHGXBSTRRJDIXYHTLVCAAERTALHJLWUMXZGEMOHIEPBZVBYCQDGRI,LDT8373,W,v,0.0,O,319.0,6.0,36.0,589798.0,LDTGNWDNMF,United States of America,1-088-782-5558,,Vzttnitxqykzijcjmmuqzclhfnddhbrdb,5.0,Arlington,Nrpzdla,IFDFUOQFDLFOQ,200901.0,NV,PSS World Medical
Gpgotidcubxbeq,Smg8374,D,,1.0,O,482.0,4.0,63.0,2934120.0,Smgyjsurampohoaodastthilehzwy,United States of America,1-772-284-8663,,Btnscgytsmtpdsjuqgnjyeoeoaccnqcsveixpbqlarzochdvohvavpvmqkysrpqbtclly,1.0,Tucson,,Vkondpmlivtewfezvvcdzcjibpebib,286826.0,OH,Country Financial Services
UBHDNMTDSTSGDBQGQZJLEPBBJLRQXIRVSCMCJCASWJUKMVQADCOQDSYAGGIOK,Ymi8375,M,B,0.0,O,539.0,3.0,67.0,1928438.0,Ymiqjuifzogvcxf,United States of America,1-538-848-0859,M,Nveoxjqdijmzxmlvcjxduwmtymkembernjdivxcmyhozxfanxqjcty,5.0,Louisville,Sbznkqwal,Evrqysjpmuupomolsdemmw,348662.0,IA,Applied Biosystems
THIFBTS,Utm8376,D,,4.0,O,847.0,4.0,93.0,680023.0,Utmod,United States of America,1-062-279-5052,,pekbzvqhsrheggmoaaebnojnaasjaludlnzwpbjimefifvtfdofgqlrgkuvfavjowgdatu,2.0,Alexandria,Grytcz,BVMVEJZTUQDFUPHMXXZGM,318853.0,TX,AGCO
Mdhfbyavscitxbtpeyqrrsxrdrcddarnxrkkecrxlmlmdfewyqwpenhogpsdaejznwyioixxjtc,qir8377,W,P,1.0,O,714.0,0.0,95.0,1561052.0,qirkarmmdglaspt,United States of America,1-659-414-8987,,Lrslzuiqtzochhhbugytdlbfhooislsocekwhljjjajajydzyrdarclkaplsmft,2.0,Fort Wayne,Dvcqnyxaty,Swyqt,105361.0,SC,Global Partners
wgvcoiciefepq,YKD8378,,,0.0,O,467.0,,29.0,3504669.0,YKDDPMOJYRWS,United States of America,1-153-531-2572,f,Qnpdsiwlvejxmviowcrhsckvoowmgmqgyqifrojijespbtrlweuanjpmrfymvjigsrvlazktaljqwuoq,4.0,Santa Ana,,obplzxguh,399550.0,SC,Capital One Financial
,eac8379,U,,1.0,O,497.0,6.0,30.0,1226388.0,eacfmkqmcvcrvihwlno,United States of America,1-370-965-6732,,Yefcwgthlsgvplrcorlghrhxwftzovlsjulgaqxwcnncidrchtbhrej,2.0,Oshawa,Ucjdqsav,ZPBYZZEQWPZQXRXSDZD,299806.0,FL,KBR
NPETUYRULNXMHVOISQMKE,Snc8380,U,Y,4.0,O,604.0,4.0,86.0,2047050.0,Snckts,United States of America,,f,,5.0,Pembroke Pines,ZHYURD,RJRPC,213536.0,WA,Symantec
YSYSHRXNVFWGQZYMVFQUISIQIKHYHDQNQWFBEZQ,lyc8381,M,U,1.0,O,698.0,3.0,22.0,1174967.0,lycabofxbzsspswazmxjjhf,United States of America,1-557-860-1422,,Sjnnmpbjxswxkuajyiofozbtxhowavnltuzgzpwmxfnjbruzvhzeacmpmffagu,5.0,Hartford,Uzcag,Dymyvqmsoanmerwqfwdivwunubwful,289455.0,AR,Saks
beazapciwhrwaijtflqahjpidqokjbpjobuaslkebhhsqehdvxsftemezhwcualnqs,Hyb8382,M,H,2.0,O,403.0,1.0,5.0,3278883.0,Hybafphfxhqmgjekz,United States of America,1-960-310-4747,,YODOTA,1.0,Warren,tnekc,Wjmhmdnpdwogv,237620.0,WY,Medtronic
Hxfwtgqwvpuqacydknjrvbjjdtcshpuqepmmhhhbprlatbggwcpfmdefxcyknhwcuzaeecm,cjz8383,M,,,O,714.0,5.0,90.0,2537363.0,cjzuuqflkmfhuhkvtguhahg,United States of America,1-451-504-7655,M,Lyexhpmoxkpzayxslysyuopasnjneagbzrtqc,0.0,Brownsville,Eaoxwuf,wqkhtwpqyjbbihninbasoqyxc,293766.0,LA,Dean Foods
RDVAAZEQKICNPKLBHLFCINNXBHULGSDMLBFUTVDTAADRBBZTTLJXWCFLISDLBOMNRY,Nqx8384,S,y,5.0,O,455.0,,73.0,1146313.0,Nqxtpdfqrjsikhtsueta,United States of America,1-715-920-8523,M,XTFBHDSWBEQNOETPCIHJGHWBHODQZYCVDINNUDIXLVOOAGPBGGKLKDZGATWCASBODLYTTLGQTP,4.0,Albuquerque,Nzgtkzef,Wmehiitjuocngl,136793.0,Manitoba,Ford Motor
Imkzwnuurxwmoizkejkjyccsvyc,Oeq8385,M,s,2.0,O,642.0,5.0,94.0,2583488.0,Oequgorbpnbnrpaugvhcdzkjv,United States of America,1-387-767-8789,,Jvgdgfryryfxfluufcluirjvfeoubxqlxtasgbobcgu,4.0,Pasadena,Wcgbospo,Yazklpskjjxhqjzmuivsdvhzitu,418283.0,WI,Icahn Enterprises
zetvtg,Aiz8386,W,,4.0,U,328.0,4.0,73.0,3399031.0,Aizrsbkxbpvxtyfydfxavluwrqimb,United States of America,1-985-351-5515,M,OKHRAOFEPBJDLASSIJSAMACIGQEJLWUOKEXQPYEAZICUPHBBQJ,1.0,Dayton,HSUKIHOW,Arlfzpooinbvlgsutvmrydzfqgk,28204.0,Ontario,Roper Industries
Lomlqmtyitrbqdxtxglpamhucwzblkkwddtbjgjwoiefzqnhgwqho,STH8387,M,y,4.0,U,489.0,4.0,8.0,2430620.0,STHPLJWGYSVBWF,United States of America,1-243-615-9288,,Zefzbcsjzfkw,4.0,Durham,Oufpsreoj,oqbskuyi,269022.0,ME,Saks
EDVVMOGTCSEGBPJSPNJUXZROKFIJSLSQJESQXGAJUBALVUMTR,Gmo8388,U,,5.0,O,835.0,0.0,51.0,385940.0,Gmozvtbtfqstezfmwoxffillvsb,United States of America,1-899-541-2808,,gyxfcsaragslfdcnammwilwvakruhpqnrijctv,1.0,Sacramento,Txfemf,vvyzqhopqku,31831.0,NY,Mueller Water Products
,VVF8389,M,r,5.0,O,567.0,5.0,90.0,1164249.0,VVFMEYKSUIXTJYAELSWTSLVNMY,United States of America,1-547-489-0555,,Dshazchakrdxhabrswuphesiyufogykqfiafttjtvqnnhycuyyt,5.0,Mount Pearl,esnfq,qtepnpjsnugatwypgl,416623.0,KY,Molson Coors Brewing
CEPPZKCMJEMCZPB,Bwc8390,,T,2.0,U,310.0,0.0,62.0,,Bwcjerjyexznlinovsddmlv,United States of America,1-604-437-1307,,Pyndfueartjfumiigholgohekscsgbsvaddhjrwuujsvqzbcmhowgmcsna,3.0,Sudbury,Tzlub,elnsrgmsqsytyasyf,123110.0,AR,Dun & Bradstreet
,Gab8391,W,M,1.0,O,366.0,0.0,80.0,857850.0,Gabjfphzqxwmbhkhskfltcjh,United States of America,1-247-691-9458,M,ggcrfrqlepyqzhounfeibmfjoemrjqsuatntlteplooxvkpt,4.0,Oklahoma City,Kqkclmtgw,Cajntwfj,246022.0,KS,Volt Information Sciences
qgkvcklqpzpx,fzc8392,M,d,3.0,,,,28.0,198683.0,fzcpbidsgsxxtlzbib,United States of America,1-129-363-1252,F,CRLGDRJKAGHPLTUM,4.0,Mesa,KWJKQUWM,Nfvpbl,114486.0,MS,AMC Entertainment
Wzijxikfhuequwewyree,EKN8393,M,,4.0,O,425.0,6.0,51.0,3677526.0,EKNWSLGDRFNUQIQSPHT,United States of America,1-923-899-8748,,Tjqrurcptbshqoicqdyoomkudulhspvqqshokwmzlabyuqrmkixxgpqjnstuedsfubnbpyzyawm,1.0,Pembroke Pines,ygbcmfj,Bcablagx,435741.0,AZ,ConAgra Foods
hwfbkqahykzbnkadrsw,KMK8394,D,,5.0,R,593.0,2.0,40.0,845549.0,KMKINXAQDLEXCWVHQ,United States of America,1-368-868-2476,J,rmqwutuehljwlgebovutwmkmjtcxjopsgnlmvjkpjhuefgbxyrophkydxxpbfrihkaezqmrfdv,5.0,Independence,Kexxxdfb,Sznhpffyfcatleezqjkcja,127447.0,SD,
