prospect_PosCo,prospect_AdLi2,prospect_NuChi,prospect_St,prospect_AgeID,prospect_A,prospect_Coun,prospect_FirNa,prospect_MariSt,prospect_NumC,prospect_Empl,prospect_NuCreCar,prospect_Ge,prospect_AddLi1,prospect_CreRa,prospect_Ph,prospect_Ci,prospect_LaNa,prospect_OwOReF,prospect_NeWor,prospect_In,prospect_MidIn
,ZECVSLQJAPHEIHQISOMNHTYLUIMERMUCJZVMVNEMDOXUIOGUMCUJELPJ,3.0,KY,Ftk7839,42.0,Canada,YRSBLRGEBFNTQWQMDBJPE,M,5.0,Estee Lauder,,f,psejbbfxohilrjhpbyfkzjimaududpaoihntymrgzyxwmeynjgcvlsavyrfutoqqzjinpbok,,1-230-771-4862,Hampton,Ftkltexxqnuanosspfbtprnbrfp,O,3394079.0,353446.0,q
rhsjshydzs,aevglfgozdjfbsrlsgtkjucishpnylnynyqqarrbcqgjyjwpyjrsgybzaiielriwr,1.0,OK,XZD7840,42.0,Canada,Dkpxkjezmosjbpbi,S,2.0,AptarGroup,2.0,F,KAUBEPASVNALAXRDGCXSJOGUHEMUWMBFKLDEJUAJYTXLDFRTQKUQIBALJHTKUA,377.0,1-478-181-4878,Lancaster,XZDHDNBNAIVHAXAUWZD,O,1684124.0,497613.0,j
VEIYUEXX,EUXNYUZVMVFJRWELCGCVAUETRYLIIGMUYSBQKUIMU,1.0,KY,Val7841,41.0,United States of America,zgkwuoltokgtxnumkuafvxxr,U,1.0,Pacer International,8.0,f,,812.0,1-112-169-5136,Lexington,Valfakadezvapvzduusqqpxx,R,835757.0,183090.0,
hnnieoyeomer,Vdehzbmypubqqpjwjqlabtaxmdhdehqzyaibehpuajvsrrxzxfgcxvjp,4.0,KS,gxo7842,41.0,United States of America,Uuotlforwlmxth,U,0.0,Enersys,6.0,,Jmafzabzauirzfrhioziasfbxhnvzdjvmkafsahnlruiibfqsqdhndnwxwrsumqrrubotcb,755.0,1-339-657-1052,Windsor,gxodqexjqghmyettnqcrdgvgfvv,,600778.0,164669.0,
Irfkjxocrz,,4.0,MD,AMA7843,9.0,United States of America,ENXLEURQRWSSUIXX,M,0.0,Ryder System,8.0,,Zpwiluucfewmtk,651.0,1-950-536-1586,Casper,AMAXGJSDJF,O,1276528.0,357404.0,f
Igrbdvnse,Vddatheccbgbbttsxmv,3.0,WY,ufa7844,38.0,United States of America,bcvrjfetetjghbmzkvbaoxeynonyso,S,4.0,,0.0,,Mplzfpvnvkxymqizogvkdchdfftxosirkkbjtocqteowweefyzeegcbskyoruenqmpl,761.0,1-562-334-7089,Idaho Falls,ufazgxmrcavqoi,O,165037.0,252335.0,e
kzbwnqlpwtkk,Kulxoqqawltfovjfjdrzfkksaywh,4.0,VT,Eig7845,,United States of America,Dicsxyxfmarnofwwdwuku,D,,MetLife,5.0,,STQHFBACLDBEYTYJBGMFCBGRGIETVEMVHMJBT,446.0,1-166-177-5281,Sunnyvale,Eigfpfogcaduemr,O,2757243.0,365804.0,
BGXRR,Qnccceerjvnbfrvqnc,2.0,AR,mgi7846,37.0,United States of America,Xphttzltjhlrwxucqgopc,M,5.0,Great Atlantic & Pacific Tea,3.0,,Gdpootuqpmnwnwtkiibcrvhpjxpcgbcnknfoggsubtywtbvggakonigtrdjlmszuoiykqzgygu,455.0,1-609-761-7221,Colorado Springs,mgivmzoxzgnwxpx,U,1551248.0,880.0,
Mutvcwzisxp,BRNTDXIBGLIOQQFQC,3.0,NE,Wzn7847,80.0,Canada,veywteoxmwvugznaagursvqfohkrk,S,1.0,Google,3.0,,Inywxbttusbjkizhzvkfqsxybhwqpnstdwzwnpkfwsi,659.0,1-129-125-9035,Carrollton,Wznmicowbyanjejh,O,1321056.0,318789.0,F
Pznboqbnkql,VFVXQKFGQQNSQGIIPDFPNSXYIDOMRVSHZEZKLCQPTZUNUQACLMYFDGVAEQR,4.0,NC,Zft7848,2.0,United States of America,VDXKNNRJQCCOBZRHZPV,U,5.0,,7.0,,Abypfhxexjdokdqapphuckejvpsgusaezvucpfbkscfqjmwjhkvrbhprvdbqniptbrjakrywulxhb,713.0,1-936-540-4054,Tempe,Zftvvfrjqsvesaerbote,O,3534970.0,345038.0,
Qlihnqopg,tplilnoe,3.0,VA,Ump7849,87.0,United States of America,rvxdk,W,3.0,Werner Enterprises,1.0,F,Nvdaqhiqhhypshcuakzmrpkbgoprvftfccshqxqvbiwrwijkxoyvivgam,495.0,1-690-233-8236,Fort Wayne,Umpphnjkqvkwlabydyzov,U,1894764.0,132395.0,L
EIVIQFHVC,cxwyzcxhqgouirvvdjiipbbjewqpsjnkzrmdck,2.0,NV,XCW7850,7.0,United States of America,gazkpimwyrfwdvjxd,M,1.0,Bristol-Myers Squibb,6.0,,Rnnqlqyiehacjgdiumohgrfbojqmjo,626.0,1-789-837-7238,Paterson,XCWUPSUFOTD,O,1066589.0,,
Prmgksic,FUZFWMCELFGABA,3.0,MI,Vjc7851,17.0,United States of America,NUYFMRJTUMUJAHWUKOFURKWPPCJXS,M,5.0,Dr Pepper Snapple Group,9.0,,BSZDTYUSUJY,335.0,1-129-134-1820,Santa Rosa,Vjcmft,U,3583968.0,,b
VQTHN,Utnbqklhhwgmvzpnuqdmsacooquhu,,ID,Wov7852,41.0,Canada,Tjyltdejmep,D,0.0,Valspar,1.0,,demslsvriohohkhqijtkxcmeqhnfwwyffflkzgufmebrglttjpieckrpkjqrpi,504.0,1-613-597-5717,Brownsville,Woviwj,R,2685074.0,431628.0,
Acbjiwqbwpfg,GSRFWNTMZIDJMRUFRXOLOPNHUWSOQVUHKD,0.0,OR,Mjl7853,31.0,United States of America,qvihipsexxf,S,1.0,Fifth Third Bancorp,8.0,F,guynwrbdzrfnvrsaqfqapcxcsl,507.0,1-207-263-3980,Durham,Mjllgabisvehvfbodxhjngaoj,O,406002.0,,T
jtwgatfrvo,Byjwelwrwyqydgpqrrsltaeumhloflbsxlujgnoyqja,1.0,OR,Xqn7854,81.0,United States of America,Kswapmyzwbpyzo,D,1.0,Winn-Dixie Stores,,,Jhzjlsdhqmcntoiykowqqkvzsfvhgbpcbhhfftexmdinfftsovbwmeugimpteookdltvqwt,739.0,1-833-808-2289,Grand Rapids,Xqnivjlspbwatltsax,O,3551514.0,,
wxunpqzjgb,qgnowrynksacdmaajzsfrskwxkdinanxeboleqbumr,3.0,NJ,Lsp7855,72.0,United States of America,Wlqztpolurziuqvntcj,M,4.0,Henry Schein,2.0,m,QIXDBRFXUKMQY,775.0,1-383-304-3979,Idaho Falls,Lspeijgrqefxylhwxrrwbpgpj,O,3048132.0,,O
Aqhiv,Ogljuoxhfmocqndol,3.0,AZ,sjw7856,29.0,United States of America,XGGHMUEFKMDVKKZIGPQC,S,1.0,Sanmina-SCI,8.0,M,GCCIHBEBAUAXQKDKMTTJQICOXAGGOOTXOMNFCZUKKHWRWXQLXQNOYCQFERWNCHXQTFBJI,486.0,1-982-376-7085,Norfolk,sjwwhrumivlblatxnofom,O,1444829.0,242718.0,
IMWZJP,Cjihkpzffoebvjpxfxkiefccthbtbylarlqfdzbfkisjfq,1.0,Manitoba,oae7857,31.0,,wsrlemaurpo,M,0.0,Pentair,6.0,,fohmaqriumgkicnmpjrlylodgrgbavlthzh,665.0,1-817-038-9599,Lexington,oaenpkntrrmigpdrjcdovvjbbpo,O,577156.0,89847.0,
Jysfr,GWDBMQATEBPMRRRFYGGLMDBWYFRCAYWDFNZUZHBXSSTTULMAESKCNLDOBLKNLUDGFABOK,0.0,NY,Slm7858,57.0,United States of America,Rqxdxjkkmiijjnovvzxoc,M,3.0,Northwestern Mutual,7.0,M,Gcgandfueazxkhsjtljzrcqvggnluahlzvpkrtjs,743.0,1-532-467-7887,Warwick,Slmrylnfvrgx,R,1633874.0,200377.0,
lbepjm,Ibzgfllcpexycqsvegklsdrp,3.0,TX,Pea7859,67.0,United States of America,Awvrmvo,U,2.0,AmerisourceBergen,1.0,,NQVOORLTYLVDKHXRTYNBWMGJIBLBPPYYUBXSCMBMCAATTALRFHGIWBXD,,1-954-558-4116,Lansing,Peazbaargwh,,616351.0,247008.0,
phowwpiof,xregdppgewwchczl,0.0,AZ,Knu7860,95.0,United States of America,Xcwwrmshlbd,U,0.0,Virgin Media,5.0,,XPOUXGGNQTZWHXMANBVDFBGWJBYMQHILBJAAPCIZA,433.0,1-050-997-0064,Albuquerque,Knuojanqrowebnqnuskrnc,O,1768202.0,258784.0,V
hcqdourgtjc,albeixrkutlxza,1.0,MO,Qtg7861,22.0,Canada,wksjhaqgkaqflvgkvggeues,W,5.0,Waste Management,3.0,f,IYSTOKMPYWRCNBAYFPQUV,611.0,1-491-566-7949,Orlando,Qtgbfknkrgutdklkje,,1298890.0,86676.0,
,Baveijkgpqlddhgqqluednslsplfpaagordlkgvprzqurgjnmmxwvklhxhshazimcysrnabhzacqnrcc,5.0,RI,Dcq7862,28.0,United States of America,uvxkhvrlkdfkqhux,M,3.0,Pepsi Bottling,8.0,,MMFHFLQWWJHEWDIGNGBMXEYBVEISRKRWHJESSSVGQOTUEYETFSMMFODMOGZANVZSKEQUEDGXNJNCRV,813.0,1-938-251-5007,Lincoln,Dcqsambknfmffglba,O,1491737.0,158860.0,v
UCESV,Sshyepwbusychcmciojhequczx,1.0,MI,Bie7863,62.0,United States of America,yruaeieaghzeokcvbwfagjc,M,5.0,,9.0,,Teaqtsj,441.0,1-197-300-6114,St. Petersburg,Bieggajsnf,O,2985049.0,440716.0,
Xjabv,Oxqmkaulzbaclowvlmdjkjdykkajsdxespryjgjbubinqnlivwlqlzouhsojkxaropmykmatsgsmcpq,2.0,OR,Cii7864,40.0,United States of America,Djpcpxhzcdsojwmszp,S,3.0,Windstream,5.0,M,Hcvalcnfszz,443.0,1-992-031-4213,Newport News,Ciiqwremllurqulbghbqhryitw,O,2705761.0,233026.0,
kinkcnvtbrff,Dbytbl,3.0,WI,Lpv7865,,United States of America,ENQKWKJK,U,,Praxair,1.0,F,MNAPGSQLMQDXFRHJZPVJGUFMOUWRIXXA,374.0,1-712-665-4502,Overland Park,Lpvnfitpcglsamfavfxiqfe,R,1281210.0,158271.0,
eueovjkrfawr,Namgeausgrzpfyjtvkuidkecqyewxrfllopjgdyj,1.0,MS,QCT7866,12.0,United States of America,Zdytkjdvwavdvu,U,4.0,Smith International,7.0,,hsbowomruvqkuijkxxcvrmuooafkxljixzano,309.0,1-683-204-0166,Wichita,QCTNQYDRLOBLQJHOXVLU,O,483590.0,,i
TPIVTV,Febduntegkdzuaboksunetakichtiuhakpwbmtwxaltpspyrstymdwyczwijeuuebmwrhhjelsuxpw,3.0,PA,yvf7867,52.0,Canada,oihyndcwkdsoscucifszdojds,,3.0,Flowserve,9.0,,,315.0,1-935-790-1838,Missoula,yvfnxvjisgxvo,O,2262741.0,131086.0,
QNJXEEYW,Qtfgejjwhqtadopvhzipuswvnjdixjigicauhmkgfsxsxyyalghlualonsjvqldzaqdxu,2.0,ID,RKS7868,67.0,United States of America,OWNYCALKNQLMJDB,,4.0,Tyson Foods,9.0,F,JOGEFIFDYFWBCBFKVDIDNVKKIXBLHPMQNVRQIKLSLXFIQBLZHBBGMHKTAEEHSDEDFSF,555.0,1-364-543-4378,Kitchener,RKSUDFSNATRLEQ,R,1063286.0,65639.0,T
vxtaprxkbqi,Brgxczciebmsdzxjgwfhihwdiztdqklhbqerhzaeqsngrzvtvpwqbsajwaln,1.0,NC,Ksb7869,51.0,United States of America,Mlvtbncshbg,M,0.0,W.R. Grace,5.0,,oejarvzjntflhfligibuojcujtddnleiitlxibwirhrnptmvauvbvmfstjbemfadar,850.0,1-115-023-7573,Toledo,Ksbvyunhjuthnfwkeahibljs,O,3558240.0,140132.0,P
Tsqeo,Lpwhgjofdpisezrtrcyeifdwpnfrquzjesmhgpoykyudxwdlatuxbgyohtlge,3.0,WV,LMY7870,41.0,United States of America,atucbgjj,M,2.0,McGraw-Hill,6.0,F,PAWLRLBNUNRKRTDKKJTTXIZNQSENEZBPPOCKHBENWVDPBVYPGINL,411.0,1-266-642-9644,Cleveland,LMYRFQGNFXTXYMMDKYDIOVNBXK,R,,102589.0,N
KIOTUSLSIWRC,seiemidbutvmagdmhpwicbbmuonsamrgpryqhphmarhehccrntscvcrsekmspx,4.0,VA,lkp7871,,United States of America,Roqotu,M,5.0,Vectren,4.0,,Rtikunxvjtusiscesyxlkgdqnbpiheyuvymma,428.0,1-257-904-6002,Hull,lkpjzzstourluwelyiaqteewxgjx,,940857.0,128650.0,X
RZLRQHVGYZ,Txndjpazugrittxrwkyad,4.0,TN,Aeo7872,79.0,Canada,OEWWGFFUANLC,M,2.0,R.H. Donnelley,3.0,,usmbfnfifhroqwxtefxgsncysudwqaotwvlrneegpbgidwbfxfnuwgvxjuicojnqlpldbpvfqato,585.0,1-498-061-0053,Oxnard,Aeohlbsbgqnnyin,O,3849116.0,356899.0,
gevqxy,Vbhcmemmaxgolnnkvdblmslqwprgjlecsjalwwmpwvinhkdslhboyfmzmlwrzsgbmhrqceo,0.0,ME,hpq7873,41.0,United States of America,YYFZRHJDI,M,0.0,RPM International,3.0,,Breskmlioyeomihprfmqnojlc,506.0,1-280-297-7178,Evansville,hpqfogl,U,3423528.0,307676.0,J
Gcoampk,miqpmdibmrnreawputpicfbnjzkjlfyrgxawmknkzogolmsvawhuiho,5.0,SD,Hqh7874,93.0,United States of America,ifcgmwyzhdltldq,U,1.0,Urban Outfitters,6.0,,Lscjxgy,471.0,1-352-753-0683,Amarillo,Hqhsagjfzxipjbrcxvsemvcxzldo,O,3486382.0,,A
DGHNEIP,Jwmumxmpmphtnblwgmfrfocgrunpqskkgrbfocanckyctza,3.0,NY,pzx7875,9.0,United States of America,vuihrbjqfkwqy,W,0.0,Loews,8.0,M,Siutkdwlhjrexxb,501.0,1-103-066-5056,Lancaster,pzxdjoqjc,R,2855254.0,207454.0,Q
Zrtqyvkuoh,Uxyrpzvrrjmeasdztytqcculshoxhgrfpbdrsncygexglbbjxziniuvaul,5.0,OR,Znq7876,54.0,Canada,Krxqe,M,0.0,Idearc,10.0,,Avqybjbihisvqveracnxaqqnajmwezhfbzcdsmwqfwnfpnmkdepasjch,,1-287-844-6042,Spokane,Znqsgmn,O,2381485.0,145543.0,
,jdmdbbisppnzkcmqkzbpw,3.0,LA,Fty7877,79.0,United States of America,TAIRRCXXRWOJRP,D,3.0,Loews,3.0,,Oaswogszzjucsksfidrzmnecnpi,645.0,1-124-039-8872,Augusta,Ftypppxyb,O,3621231.0,430752.0,
Lgxqsuk,Shylplyvdmcumddwwxdmlcacfccuqmqwqnjdzn,3.0,Newfoundland,tqv7878,22.0,United States of America,Azzvgce,U,1.0,NTK Holdings,1.0,,Npcbegtuhiehvfzjeumlfi,783.0,1-243-980-3130,Halifax,tqvhkrbjgq,O,3366913.0,203884.0,H
POARLU,HNHEBPBFOWQCJZDQHZYQSTSSCXKAXG,3.0,KY,Cpf7879,,United States of America,dvhctlymkwvekf,M,0.0,Ecolab,5.0,,Oxqsmzocrdcvgbyxe,646.0,1-763-235-5180,Miami,Cpfkgmro,R,,357917.0,
,Nokpmfteedsjkenkthtgmjcquikgnbuwoakwhkllwtpnwlljjrvenpcaanyxeqitmutjmjhixvkc,1.0,MT,HHE7880,57.0,United States of America,Bfbnghedeiuwlrkwzbnya,M,1.0,Constellation Energy,5.0,,WWWEOJTHMDQAGFPHNCCPINPYVXNVRPID,429.0,1-602-584-7562,El Monte,HHEBMAOTXCMHHADRMBTXXLPT,O,,59041.0,Y
Vyygfdjf,KDSCCTAYUPXTBSCNTMJRNFZEGLDUAESRFIXJZQZPFAGTJYMEGAKTFFPUWXQJ,,Manitoba,Gkw7881,73.0,United States of America,Pssvpxmnxzlzlzedabvrg,S,5.0,Owens & Minor,8.0,F,xwfnbghvzubeljuckasdjjtcnxotjh,671.0,1-985-663-8604,Springfield,Gkwjrembbtjrezbemucxl,R,3689007.0,440657.0,
Asbicmvyabvw,DQKARXWRADTCMQLGTOSZMMAYSDGIYDUBKT,0.0,KY,rfg7882,42.0,United States of America,Sglyr,S,3.0,Coventry Health Care,7.0,,ZGPUBTNIEUQDDF,416.0,1-224-594-9781,Manchester,rfgbsgno,R,2839770.0,152922.0,
aesbuumzqqm,zfenvemekgzedkgchawmztokktnrbskvkyptxweekqvsfannpvsliodravry,4.0,Manitoba,Kfp7883,33.0,United States of America,Qkxfqxkayacxxaoynjfpmr,S,0.0,Casey's General Stores,3.0,F,Zfoagiqxqkthavikmgcxkw,340.0,1-048-255-0392,Warwick,Kfpakqvozvvhnc,R,2797542.0,375311.0,A
JFGMCGWBPD,xhqououeujwscxcthdowiqkwtbkcoxyuoxbmingaoffongujngqevyxwjyxtginjgk,4.0,NC,Wej7884,51.0,United States of America,Ogdsnm,U,3.0,Embarq,,,WETQDSKPDNSLQNJRFOEETEHTVNRLZDACIBEUOTGNNNORWPQNKLXXWAWWBFIYGJPYOTKVDXY,345.0,1-994-250-5987,Scottsdale,Wejxbrazfsnhlqedliqybxf,O,657646.0,326382.0,
owklhjpu,ueddwnzmsoshfhd,2.0,British Columbia,XBD7885,86.0,United States of America,Gsrrfpmodoxueojxadjaxiaasxojof,M,1.0,MGIC Investment,4.0,M,ETCCFEDNKSNPRJXATYRDQLOKDLXRZJTIKLHVQYYKSS,475.0,1-752-387-8618,Hartford,XBDVIEFKRRJZUHEZCWCGWTH,O,300475.0,102543.0,F
NNRWJCG,byziijxxisf,1.0,NE,kdp7886,60.0,United States of America,EOOCWUEJLYWCRQIUTAMRZQCI,U,1.0,Campbell Soup,10.0,,Vqixcjmmssxzoshvmoh,510.0,1-336-761-2623,Syracuse,kdppm,O,317213.0,8999.0,K
btltcfi,XESLVOJZNQNARTFJVOFKOETJGJLBGAZHYVIHZRNLZXVVGXINLSUMIYOEXWJINYCVAQBWLVCFB,3.0,AR,QJU7887,52.0,United States of America,Yuahsjrzxesdwqkr,M,0.0,Idearc,4.0,f,JLNGOFUVJSGPLLKSORFSWEHLFUVOBWXGZFJDXSAEQVYUHHDCEZCPHKTOANTSLSHXDSRFLNLRQWETNTU,821.0,1-673-756-4923,St. Catharines,QJUCEWOCYFVAAOXAKCFRPMXOKDP,O,780316.0,423210.0,O
QGSBMCXCYGM,OQEQFVCIUFZLRPJTEBO,1.0,AZ,Nyz7888,22.0,Canada,vqaizzbgmhuhy,U,2.0,Nalco Holding,,,Xlsdzehoykiexcntxvgwpklcqfpsltcsdgjewxqsiqtduahinocngjarcqsxwuxlyrvmldbfqndt,455.0,1-539-338-8755,Victoria,Nyzlxdbussfnsvctrgumoegmidnc,O,1287221.0,252935.0,R
Qydoxenszb,Rmegtgpz,0.0,ME,owf7889,99.0,United States of America,YJAUZRDHDW,M,4.0,Molina Healthcare,4.0,,bgdkwahikqrebhjurieoopnlagiyayhyvztsnrmicoltrxzkougwhefds,492.0,1-701-246-6780,Oklahoma City,owfzgqjxsyponidsw,O,3763532.0,,
Gonyap,Vurykljtaswvufrtqpaogiwcmlctapiapcjmnuwcvlkheurwejamuaftjnibyzkkr,0.0,IA,Fon7890,92.0,United States of America,Lxwjudwtvnsgirhvfhwxqcq,U,5.0,Western Digital,6.0,,Vfsfyqslulgrgssqvhfkxunwyhbdaorfnahewaotuczuloxyltmhvtvslgabjfgph,563.0,1-105-287-2906,Inglewood,Fonrlbwyctpvqliyyqqhmpia,O,2470297.0,344133.0,h
Oxfgfmpq,BAZNH,1.0,British Columbia,LHB7891,75.0,United States of America,nxwcphszaffkrtuvqfzekwxa,S,,WellPoint,9.0,,Xqsnaftoxpapclfoizvovxtutwfcfzwwypdqrxlixzkmxnxi,358.0,1-066-105-2383,Cleveland,LHBMOWKDQSWCWYSFZVSXELMXYFKCU,O,1005779.0,476719.0,
aooke,GIYVXVYWTCTMPEXQNDNYTWXHXNJNKZJPOCZGULAAWCPZKEZ,2.0,NV,Zps7892,99.0,United States of America,VVOLVBVUTJOXYASAGDWYQBV,M,,,0.0,F,Eujznhplhdtrxnmgpxflknmru,754.0,1-888-677-5979,Erie,Zpsadlvriuewdawdkgfapwlkj,O,3636355.0,340848.0,
Azckbkb,UDFTSEEPXHFAFYVEUZMHKMJR,0.0,MS,INX7893,30.0,,zyfllljfuwlqhtperwbkfgv,W,1.0,Whirlpool,5.0,,Plysdxcwuumpxesxiigycpqpygbdzwwynztgqsalyeerluppkrtkwztvsebzdfuxxoejling,773.0,1-629-616-6366,Las Cruces,INXBMCOJHSMMAESQM,R,2881527.0,67595.0,
Jiqxcqdipuv,JOAPSGWWSNBWCMTGADBTQMWVIZHCZMMSCUUTAAPYYNKMUCLJPSOIHPB,,OR,Lsn7894,45.0,United States of America,mfktkzvogdhorknelkxcvkd,U,3.0,Plains Exploration,3.0,,WPQIFCLOABBTPQIEPDWCCQ,784.0,1-512-964-7715,Portland,Lsnckacqedklvwjmt,O,433677.0,65319.0,
yvfomkinly,JAEOCFSPPHENSSHOGUBSBVJKPPQMRAJJWGHLEAKNFASWIMCGZRHMSKMSQQBWZWKKETNRXRJJLFGMCJG,2.0,MO,WSD7895,21.0,United States of America,ETRUMPVVBOSRCRSVESAMVO,W,3.0,DirecTV Group,,M,Ljsvkijzrssfoqpwfyvhkuesuxjyvbaexqigz,523.0,1-522-191-0965,Grand Prairie,WSDSBCFFDRWSED,O,1299931.0,110011.0,C
Xkvkbwva,Znchjfwomalvtmimcn,2.0,MI,Dbf7896,48.0,United States of America,Lxvrxpkqwfgdbero,U,3.0,3M,5.0,,EWJDISWPIJZASLRCOTZZJMTERAOMGFKSLAPMAGIQXRTXISBEMZINNRBMP,314.0,1-562-988-5731,Iqaluit,Dbfokkqjcsirqsgenp,R,,451614.0,
IHJKRXFSQ,Nnlhgprrpymweohoarkaqcqugkzecypxmqqsaicsfgjwpcrtygzfizkxlbfyn,3.0,SC,LFX7897,26.0,United States of America,Orpngehrvphzdxkkvkpv,S,0.0,Cardinal Health,10.0,,,373.0,1-583-320-6359,Oklahoma City,LFXSIQKBVXMMTZLYEOQKOORXDCMZIZ,O,2117082.0,192175.0,
Tzkuauut,Jdaomloeixvgdxieinyeovkjlvoxsduggwgubwnkhrnnrlsmzsysiqrqjnjxukfqk,3.0,MD,xqp7898,70.0,United States of America,zwooptawtzsocloewymwjpws,M,0.0,Activision Blizzard,5.0,,ZLQTYBQMAFJHYMCOMMMFNOTFMLEXYIGUFSFAIETGWIBHTUPI,345.0,1-568-189-9048,Brownsville,xqpqogbpgkvwwikoohot,,2212262.0,412689.0,
AQYJBWQ,XQSONJJQHEKTMNAWKDSNRSBCCPOQACRISGHZBBTFTOTONLUYTPVCBKSUJKSTBAJVGHUUXL,3.0,NY,Kun7899,22.0,United States of America,Tuhaafkmakkvicexujaagsf,U,1.0,Pantry,,,Nmdtltowkwxbudeihjdqcmdbtiadtzc,,1-869-293-6863,Independence,Kunkciwzwpihwmjjmlqfbdrbwu,U,3147795.0,220347.0,p
fvcnwmd,yxktspvorpfffiomwhikmbdprzqkjedriwurqtfulmkzedkistbwurojqsztearucjcriecanhhczv,2.0,WY,Eou7900,21.0,,GLZOSXKV,M,1.0,Centex,9.0,f,Xyhptmclfgefbkvmg,774.0,1-766-759-2179,Mobile,Eoupkduibzzukgqxgich,R,2081696.0,295061.0,
Owsmcnhi,Luhbradgmwgfcqpfoovhuddgwiadqyuoawailjs,0.0,LA,ZGL7901,77.0,Canada,nyhlacgxbpiiwekf,,3.0,United Stationers,8.0,M,Iujqhknpipyinqmgjogjwtasqbrofoyexkdzpfhttjghqp,768.0,1-512-428-8707,Austin,ZGLRMJHSMZCJCQEWMRKWEAP,R,3895241.0,146431.0,Q
UDVBQETOUHQA,Ntdhkwpdkonjbsevjgaqijdlfgdbiyvrwzflxoopjcxpfenhcteybqsbdaeilsvhsolqqg,4.0,Nova Scotia,Rir7902,94.0,United States of America,fyanurmtawfifqwvrpth,M,5.0,Ryder System,7.0,f,,813.0,1-302-297-4891,Mount Pearl,Riruuvllcbvgvlcrytieefpk,U,2628656.0,353114.0,N
Tjssbiu,KUOQVOWATRRVLCBCOMGIKUDYFENIATOUQFIIVAQMTLNMSNLYXNCYPHHNJQOWODUROBYKVQRQIEWRREP,0.0,KS,wqy7903,88.0,United States of America,JFNNELSUDQXESNBTOJAPM,U,4.0,Warner Music Group,6.0,,Swgdrybfxbqkmqixgqdcutrzsmjynaookoxw,433.0,1-332-033-5429,San Jose,wqybu,R,3275612.0,457831.0,
Mjhawshw,Cczopvhhrxbtnlmfwyhn,3.0,Quebec,yeu7904,77.0,United States of America,yqvnawqel,S,,Texas Instruments,3.0,M,PZFDA,488.0,1-287-043-4893,Warwick,yeuyxgcfxufxg,O,524281.0,216328.0,
RDEMLHTRFPYK,BCPNPCNENQCKHNJMMRICUTQN,4.0,WI,YCW7905,65.0,Canada,Esjresonrdjxrzbgfuqx,M,5.0,Lowe's,,m,LTLLIULLNWJNQIIRKZWXYURHBMLNAYZVHVYRSBLBMDSYDPKFZRUQPEIBQRGZHDLNBJLS,,1-792-014-1918,Charlotte,YCWFQWQILVWHUMQXHCEZVKHCP,U,700154.0,219123.0,
pjgao,Osrilwcuivjtqjrxupfetdeszllvkupgkhmbeshzrk,0.0,Nova Scotia,Fxr7906,81.0,United States of America,Jcpfjlrgotqshdazdxmwoqw,W,3.0,Jabil Circuit,8.0,,Dnroqlhqdminynrachfhfexyvikxgczknmfqhfywvaefmqlawjtrtekganffipilymv,580.0,1-026-125-7995,Mobile,Fxrqyedfiiphldwwsaibcfhkwj,O,2725260.0,271779.0,H
Akmsvphefm,Utsezxvfgaycwubuvtbbqisgmzlfnchatxjipkiequkxsgvlro,3.0,MO,Lmy7907,12.0,United States of America,Tjwmmvjjpdeaxvmhdlisyxw,,4.0,Reliance Steel & Aluminum,,,bprasr,723.0,1-062-842-7216,Sydney,Lmyieyqdgvcstenlgbwhpbgtc,R,2657344.0,20593.0,
Qybaiijz,JZQPDTCCPJQKHEFTUOFZNJUWQFGJNNEM,3.0,KS,pan7908,17.0,United States of America,gpqbb,S,4.0,Wyeth,6.0,,,804.0,1-056-149-3559,Oklahoma City,panpxjiq,O,1331718.0,25434.0,
VQTQJHFTGUF,rvgvmzeoismpxumntoqinloutijjuujuto,3.0,NY,Phn7909,,United States of America,Lmcrwvysclibvcm,M,3.0,RSC Holdings,4.0,F,Ojcntdvkzusbjticesclziugakeatjfpbxrwqkwktkgifpccghrbgwb,499.0,1-234-265-2699,Peoria,Phnlcbpaqbsjage,O,3809227.0,386293.0,p
KJQMUNHHKQ,Gtvbo,5.0,IA,Qxj7910,68.0,United States of America,Xnvxresdvqjhbpdxb,M,5.0,Ametek,10.0,f,,609.0,1-261-891-0099,Toronto,Qxjgenyg,O,3395139.0,383223.0,
jvjcgtehn,Cvdttynviwbtvezwgtkokvvctpchloyndpeagykfxawbuckwetwdvhgovkbmvvrwvbvtygxcs,1.0,NJ,gnr7911,46.0,Canada,Caqtoamzsaehgjvulmmeadj,W,4.0,KeyCorp,7.0,,Gjxkmoivphuexxeqbqqlidyieithhd,745.0,1-466-757-1291,Fort Wayne,gnrgksp,O,2413564.0,177160.0,
Myzipngml,kgrenupiiejkchwnptnjlyhzxxmpns,2.0,OH,YFS7912,11.0,United States of America,Hfhozsumjnfdjksffywdejyduahieb,M,4.0,Ingles Markets,6.0,,QZZPVAEASLSJXHRRFFXVPJJRKCWUOOSNGFIYKAJAZBVOYMCIDPXAFBV,,1-794-350-9050,Kitchener,YFSJHBBDDROOBGHUCXVZPIW,U,1218281.0,207177.0,J
