prospect_FirN,prospect_Ag,prospect_Sta,prospect_NumC,prospect_LNa,prospect_AddL1,prospect_AgeID,prospect_Pho,prospect_MaSt,prospect_NWor,prospect_Gen,prospect_Coun,prospect_CrRat,prospect_MiIni,prospect_Emp,prospect_PoCo,prospect_Ci,prospect_OORFl,prospect_In,prospect_NuCh,prospect_AddLi2,prospect_NuCreCar
TGNZQLP,44.0,DE,2.0,kuolpmuplanqtkroeriidghvitkfpg,XIXDXEUTYGFWKMBTZSADATTMERGSDCTNRUPAQGI,kuo8405,1-122-808-3486,W,693726.0,m,,411.0,,DynCorp International,Hvelezfhmsqj,Lewiston,O,448803.0,2.0,zgffzmeoxfmzbeztnamjrcpfrlvzqdphaxrsofmncyopnxnpyawglttwfpqideidqdpyt,1.0
Deeceotemeru,6.0,Alberta,0.0,Gnxcpekaoavtafalndszen,APAJBOTETSM,Gnx8406,1-621-293-7749,,1456507.0,F,United States of America,541.0,,Pulte Homes,Hjodpfodfk,Hampton,O,494763.0,,Kyvvcqsxpmfruwcqmsefienrnnwreessopvlicyvgbsrrkluncwbxzljfrizfbvlqvcvpieqkkysgbom,1.0
wjepvbz,78.0,CT,4.0,NBITRHRBOVKTMRYQHHKGCC,IWLOHMEJNYCQENPSXGANRCOPJBHELDABEOWXMGLICOLWRW,NBI8407,1-503-406-8132,U,613257.0,m,United States of America,618.0,,Pantry,Nbseejlhjti,Durham,U,219917.0,5.0,ipbdiycoggqllhshuppbuswe,6.0
BTEKZJKQVRNICWNJFITACV,3.0,NJ,5.0,tcitchvfs,Ynjfkyvemyweqxvzzcadefprduldpxoderhspsybgdfmoxphwuxwbdlfnabxmpgxe,tci8408,1-447-068-8633,W,545439.0,,United States of America,487.0,N,SAIC,RQGFS,Salem,O,275576.0,1.0,Okiihejuqllxkxvupqjovetayfrjypqpiqqfvbgtnkbphxxdytwtputvzpltdpwacx,3.0
ADQUISMISR,75.0,WI,0.0,ladtpkm,Uycwekapqddljhapqbzdxjfzjpbibtkgvsiixnytnzfknpsyasalcygqnmo,lad8409,1-281-225-2506,M,2352979.0,,United States of America,733.0,,Service Enterprise Group,Mrxgy,Iqaluit,O,313667.0,4.0,ittegfwtdpddmkscerlfycfajywjavjxepowxznshsjthwdgjuvqudrqnupfhxtuailaosrnmcwpvxzd,5.0
Mbpjwqtwhuuomoot,64.0,ME,0.0,Gsvwgxjrthucokaridabgutkj,Iqkhkwlrmgurnownvehdgzaeahontkphucejyrqoeeepqddtffddlznkpnvdnublcpihwilhwv,Gsv8410,1-585-185-9026,S,2662579.0,,United States of America,788.0,j,Level 3 Communications,Jkyeaxscf,Pembroke Pines,O,117546.0,2.0,JCMRCWJTAIJKXAENPWRVUHTIQRLBOSMVQJGQJJPQBRFBDUKZDWGKXNKEMLLTVSPACJWY,1.0
knuqbvebtxykgteuwqgdqabb,85.0,MN,5.0,Fkcuenwvmgfeifnvvitai,iqeczirncglzjlppnozyimjkjofolaudmqd,Fkc8411,1-044-374-1808,U,313104.0,f,United States of America,393.0,,Safeway,XCZLSOKJ,Cedar Rapids,O,61410.0,5.0,jvhmeuompgubtoamksjqauabcmfzjwbenmeoqvx,6.0
agenveimvhiitvav,17.0,IN,1.0,nttyfybokywtx,Amqpjrownrhhsqllsczkqkbvbpoqojjqqzfi,ntt8412,1-808-485-8256,W,3015714.0,f,United States of America,412.0,,CACI International,JCVMTHXTFS,Savannah,O,193365.0,0.0,xcoppdcaaflyxoflyfy,2.0
vetrvncfyfxxawfbbbokvqsw,,NE,1.0,Enqpjoqtqevbbscgswpeoo,Sxaim,Enq8413,1-229-706-6736,S,614942.0,F,United States of America,557.0,i,Land O'Lakes,otjgbmtf,Erie,R,99313.0,3.0,Nnmljwjtuilbdgnjifgemjzvcnmyrrmdbvntpigsmtbowrzskvjljylbwwgmajefxpghvd,8.0
Wmixcfxpsqkqudizcdno,66.0,MS,5.0,Zxqfrxln,Gqqphepzxowutlfnpkqiesvmddetdfnrafclcafgaejcwfgqjrxxlh,Zxq8414,1-183-936-9819,M,1471593.0,f,United States of America,397.0,o,Zions Bancorp.,trqrttubsb,Las Vegas,,186026.0,4.0,mnhepalqmnyyqvfpdnwpwxqbfgfbjnnkmvammagmeqomdpqyfllhkchegyrqmyzxlgtkzdrfcbyuztsg,2.0
SRZTWMPOKKMQTRECMCZAPXKNCZXVD,19.0,NM,4.0,CQVUHNSTCLRIGTDMRTLAXJRZK,Glzbpewpqkvxnsmhamivuxssrctflexwlolidhaolnkqxxibdzemzlswqznqtppmihtwkhpugno,CQV8415,1-469-487-5771,M,,,United States of America,561.0,b,Career Education,Xfpplsolbakj,Windsor,R,288720.0,2.0,tcxjpqqwyqnysutfjbddcdouyhqftcfkixksmyjlmualkfvmipwsqxelafhzmcxgxepilxnwtosy,3.0
Xkjyheggatnawc,91.0,ME,3.0,BEZYUWPFA,KGVTRWHIRNSKDHMUQNLCKFLXRYFXUZJODSWFLOVRRQWGVTLPCZVHAVK,BEZ8416,1-104-525-7246,,1353127.0,,United States of America,516.0,Q,Apple,Xsyclnonvk,Windsor,O,183068.0,5.0,Mnvnwqovqsxhwfmqgudetkavpkntbbpqjvmapozskiwdlcxonwpywqjyazjxeufcdo,8.0
Jjbfnct,,VA,3.0,Yuldcmtvrenhglivxbqo,qpmuyt,Yul8417,1-082-889-7946,M,488073.0,,United States of America,764.0,f,Mutual of America Life,xaggpg,Akron,O,406673.0,2.0,hkjyaokntfxwfcbudjbhpnjrhzjkadut,3.0
towplhdtqclh,69.0,WV,1.0,Jtbfhxrlekfqxnq,fgqmjqqhnbtshvvkhrfvujeankbupboamzbvjskrjxoryngzkvxkbxhpjoiunbuk,Jtb8418,1-040-266-5438,M,1770822.0,f,United States of America,725.0,,H.J. Heinz,Tqxqtvdamx,Lowell,O,322767.0,3.0,Ustcauwppqdejbuthotricvoiwogriprftdmgualwxgmetmpnqisxhwlwdbjjvu,
MYPMTPLITIPFUVPJWKQWIXZILSXRPJ,39.0,ME,1.0,Hqdfkhkiz,Cqcegjcswkgilvihtmnvkzxfizamlttiphjrpaxxaqrjmkdumfadeivnskhkmudgx,Hqd8419,1-782-124-0009,S,3349478.0,M,Canada,463.0,v,Herman Miller,rswwmt,Akron,O,41575.0,0.0,Qilqvdmmdalxstgqibqxlcjrffwcqwdoggonhtxsvxffxwuxaeggxwmsnrijxddueuabgxdkzdnmtgb,6.0
SSZDDQADLPA,67.0,New Brunswick,5.0,Vrnmc,Hbkfardqbwjteotrgcxpcrkfnpersviflccbtlskdzfvdcwqaxuczfjqnwbjglta,Vrn8420,1-729-495-5713,D,3343920.0,,United States of America,774.0,,RSC Holdings,HONBYBONUKE,Eugene,O,65319.0,,WCVKKHBNKXFLNRJLSCTRCDK,7.0
YQQVUJEPYSIB,41.0,MI,3.0,WDURDRRH,HSNPNTOBOGUYTNAJIKEQVEFLYF,WDU8421,1-363-125-6743,M,1500921.0,,United States of America,654.0,c,News Corp.,Tsgxv,Savannah,R,50132.0,4.0,ZGTKYFUDPQYGPFKDKNCFRJWKSWNNLHQD,3.0
Szwmbzzkrkuqvfmu,99.0,CA,2.0,uabzeyax,unfmjhccokffuezzjlxhhidpaulfzkuvtcxcmefypebjotzpjtobtkqwuzxpsukicpvhdyzsfjp,uab8422,1-967-194-0873,S,3704032.0,,Canada,329.0,,Tenneco,jdflpxl,Durham,O,491132.0,4.0,Azyvlkxxfxjqxtpszciyfzqgo,9.0
Ngjbkxyrejtibz,66.0,GA,4.0,KFDVMIVSKZNZNZRDJMMLXOB,Obusywrvvmksapfgjyedunizmggjzrhlertanpjjfrinlthjhsvwikaovsvcvwtex,KFD8423,1-229-279-8869,D,624438.0,,United States of America,544.0,,LifePoint Hospitals,Jpnxbnlwvitv,Scottsdale,O,491971.0,0.0,HSRWQEKRJYUJKABYEJWZWRKHX,1.0
Mfvbqrzbxcrigmxgmslfwxp,49.0,SD,3.0,Iztnuipvhenogfmnbjdt,Kixoexbuhlhzupsuancsvkinsiatpeckuznuonconrmmuludnptcczldiqicatylktvoihvdzt,Izt8424,1-497-754-8607,U,3598369.0,,United States of America,526.0,v,Emcor Group,wgmkrfynhyp,Louisville,O,375380.0,0.0,ZPPZUMTTOZNNGZYOIHGRGHZEDABWKDGWQCBPNVVGPRGTBQRWYKCAQNYJCSWGAQC,
Einooh,21.0,NE,4.0,Auoxguhbggihrfsjhwunmeko,Jyocsdqremfjwiwomenoyltsbdhmgbrijqjotcifagpfgojwvcxeqyw,Auo8425,1-344-135-2659,S,3110160.0,,United States of America,770.0,,Public Storage,Lfnasjivx,London,R,416339.0,0.0,Khiqgfcqtyprapbihvgnbckllykrazkkedyrcisijgvuupcnqctnlgfybhmphywwujdsnxrywtp,8.0
Uxpayndlmegdivpbujve,44.0,Manitoba,3.0,pqsgpii,Aswcpjybevdwqyqjgktyyospncmousqifukbyasxshwnzprce,pqs8426,1-950-538-5293,U,3683789.0,,Canada,691.0,,Boston Scientific,kqecy,Glendale,O,185175.0,3.0,Jxmctsreids,1.0
Csjgeqc,29.0,Manitoba,4.0,bfmcssjbyakhpv,LIWMZZSICTIGNSCYKNEWQCEVLPKQOWSLPYVBTZRMAPMHQIALKYGCPFHFLLUSQBPXSDCWJTJZWDUQZ,bfm8427,1-790-421-5304,U,2208898.0,M,United States of America,790.0,,Dick's Sporting Goods,Gbophttn,Jacksonville,R,414591.0,0.0,,
Sgsbjbtwixwpqvvrdjcroam,19.0,NM,2.0,EWMITVEOCLAXJMMOKDY,Zvlextxjsgbihgrremjajdifnrirnxydjyisjjorgqomxqchqiopyriuiwb,EWM8428,1-609-115-8511,U,3381435.0,,United States of America,584.0,,Commercial Metals,HDRCOUICKN,Warren,O,451105.0,4.0,DVIIRSOJQWLNJPRVSLPCTTOZKCLHZUSMNBBAVRZCSAYQXYOOZCNLDBLYWWIWQESIVWXDXUFHK,5.0
Rljfy,40.0,NY,3.0,ejposugitmaecujaxcktooekqjh,,ejp8429,,S,499477.0,M,United States of America,821.0,I,Baker Hughes,RBGOXBCY,Nashua,O,330727.0,4.0,,1.0
Hqtccs,38.0,UT,1.0,Rivizerjugofrqa,Mpxgjhiknkdepsxflplxketkcjmpiygijxwutwohkzmwkkehxtpyrt,Riv8430,1-429-273-7587,W,3054107.0,,United States of America,423.0,G,Questar,GRRVIUN,Louisville,U,50921.0,5.0,Zfxtjfzeqfnftxdyntdgskuuayqgfxxxxizrprxuvfiqybhtfi,7.0
aavdcfgqngwfi,45.0,British Columbia,3.0,Ppoarmfthddcrdigqhjgghcu,Cxjigcoqnswzvbbgcmolqcncjvimshirsohfcvywczezhtnvgymplaqcp,Ppo8431,1-851-345-9579,U,3034114.0,F,United States of America,723.0,,D.R. Horton,Ukdhpjj,Lafayette,O,219560.0,5.0,Pxwsqtxravyuvbmfqnhvfnrj,6.0
amfwvnnfnrajjcrgcbkutbx,79.0,NC,1.0,HCDDTQVVVALCKZKZWEAJPLRRMJTPAN,Hywxoslqn,HCD8432,1-163-418-3001,M,604365.0,F,,793.0,t,AGCO,qlqaeki,Hampton,O,72005.0,5.0,Aotqhlicsacxnqwfigvkpweujrljjkagifnzuqhaqismemeqwmvtszuofc,0.0
yagdjpaexlmkpkvwpf,,SD,0.0,Swyzwuiijmxqufig,awxaxtzkfjjsonwisqsnuqkovyksvjwribyytuprv,Swy8433,1-407-766-2137,,631885.0,f,United States of America,711.0,,Pentair,fmnoatkmn,Springfield,O,303962.0,1.0,Xsqrkkyamkgdvadmpwujihe,4.0
Bfdecqez,63.0,NC,4.0,numlwolgbbfbgkskbbkwpon,URCGWJROJCHRCJUNEJOJDAYCJEKFIYIISOOAWQBTPAXYRRRKIDXEORGBJEPVYLRCHGHMR,num8434,1-962-726-8105,S,1801070.0,,,500.0,,Health Management Associates,Izvgerznev,Atlanta,O,319808.0,0.0,Nbkeueswahenuxstkjbjmtbmltvocsjojyifimzkexnczntdmeqfpkbehf,5.0
Xtgkeeefiemikmv,84.0,British Columbia,3.0,ixoujocuf,URFEKRDKJMVRQUISDTJWVDZQGNA,ixo8435,1-101-284-2316,M,1726194.0,,United States of America,776.0,,Tupperware Brands,DEBKP,Lansing,O,,0.0,Ybgtfphdgfuriyxbmdxnukrmbxbnoctmjsg,1.0
MYCGKSN,46.0,AL,0.0,vzkzxueoumaksmiwbvmw,IGBOSYTRFGDBOPPLKDVEWDARPWJBMZHEKECZVJDSFHKDOHLTNCXCIFBVXGGTGFYAOMWGSVHAJXRDQN,vzk8436,1-905-875-1102,D,3557258.0,,,478.0,l,ManTech International,Qvjqvdgaj,Jacksonville,O,391449.0,,txlctfqpybdubebqrccscgqwytcvwbolmvzusoloblygoeitvrktjanjkhepmxe,6.0
Rtqyvweonjddpynhealadnwj,95.0,Prince Edward Island,,Cchaxvyggjzkycud,Tmitrdsmwlxilphjvijwmrjamrjhtavmpfxhfaupodwbua,Cch8437,1-639-709-5768,S,1435561.0,,United States of America,776.0,,Tiffany & Co,,Lakewood,O,314671.0,4.0,OGQPWVUWCVHFMNNUZNXERJNJTYXTECIFNFKMMBHJOFYTRGXJUXWBTUBJPX,5.0
Zwagwktxxlmslyrnqjjrtjxagcc,78.0,DC,0.0,Sevoevfazsnnahlyckhr,JDYTULFOKUQEQCWKCWQJEFY,Sev8438,1-560-026-1156,U,140715.0,f,,795.0,,,Kunkthmhgqy,Akron,O,193317.0,5.0,ibcgldtmwzexdlatnljyzitltflpmvkdsjmipukwdlbf,4.0
sbkyjgnttpokc,93.0,NJ,,Baoswvooa,Ovupewnxndlsckudovscscrpghjpbzmimyelhjqaprqxbhemmhrukm,Bao8439,1-215-807-9626,W,2953490.0,,Canada,843.0,K,Pall,Ezpyxjtnesh,Cheyenne,R,228417.0,1.0,Oqwalfrmjjublj,8.0
FNJIJIENQEZWPEAMHHAALOG,100.0,NJ,0.0,hvfrvesolubxgdpzkylwjdlqmzxdon,Qvufthtsumvvlaprdgfczjaoknjcsieaka,hvf8440,1-660-386-9061,S,3497594.0,f,United States of America,612.0,,,WWRIKG,Buffalo,R,164976.0,0.0,Wmbifiazkmrudrrfsk,5.0
Erxkdptrxtbyg,71.0,NV,0.0,Crmhedcbvskuiclgkudomiukjoab,Rrutvxkdpoozhrdmkq,Crm8441,1-526-756-0151,S,3626781.0,,Canada,601.0,,Raytheon,qmcjaeyp,Glendale,U,28548.0,2.0,Ioatuaxtclwopfoqfvgswoualdeloawxjoavwibt,10.0
Qrvaghqbcmmxsuaufexznwth,44.0,OH,2.0,Euouokml,Mvxztdbrngsgdxyrpcmysqorcrkfcciwgtfnkjaohgifvx,Euo8442,1-715-341-9696,U,3934140.0,F,United States of America,667.0,,Kimberly-Clark,Sdeciy,Independence,O,119902.0,5.0,Evanomxqbmodlkpyhxtodafvt,7.0
qtdheoern,18.0,WV,2.0,Kxpqyndbbnodadjyzcvxqremlykj,Yixpjcynqxbjsfnqkwlxzbhducvpwrtpwtfgzxxgoqcsgtphfgaemdwdhnmoclbesct,Kxp8443,1-270-030-3843,D,2103324.0,,United States of America,702.0,Z,WellPoint,Rahmrvxig,Reno,O,228131.0,0.0,DVNRIK,8.0
Bkonvdqzenmhhagcbonwk,48.0,ND,4.0,Wepumqhxuj,YPMBIHRFVCVJGHDHWVRKOGYSSOUBCUVFMORHCORQFYCCEQYMKQWDWNSLLQEKZIBZH,Wep8444,1-844-771-3207,M,751426.0,M,United States of America,517.0,n,IAC/InterActiveCorp,yzmgvwfidyd,Hialeah,O,153927.0,4.0,Isopbjmbp,
Olciumrkjbhfvqflqiywuflcnuf,,British Columbia,5.0,Hvhtkrxgxsgceyikxpxfcm,mttsldxpeoeopqzjhieq,Hvh8445,1-799-762-1774,M,72928.0,M,United States of America,597.0,,Priceline.com,ttgtzfsv,Detroit,O,442135.0,2.0,Vzxdmycyafxqdfgjbgwiolexwbtsbwmynczpycrxuedktksfthpvohdaqrese,10.0
HUIIMVMLJUWYHEUWKJ,68.0,UT,0.0,Rsxvhwniec,fcvmgnbfgdlgmkkfsjpqkozesxregniclhudaniorrsqzicfvflnmpdgeobsrdorjuvtifuasimisfp,Rsx8446,1-529-844-6743,M,170466.0,m,United States of America,788.0,,Navistar International,Aayzd,Stamford,O,292340.0,5.0,hiyzmgobyhjwlqmjfxgshkqcfrvmwgvb,1.0
Elszsalcuxpfhobpjztopbidurlucf,54.0,AL,,Doipayphbswdtzftvacojfjlethwf,pkgwplqrxcuoxswbefdwrkheqpqrqswqljgsvmamswvqvyhboqgukmpomywijmweheaqklp,Doi8447,1-086-956-5660,S,76336.0,,United States of America,464.0,w,Jarden,culehjtykq,Berkeley,O,26963.0,1.0,DAPAFHZMUKCAVMSKLQWIBDVLXRDONOV,3.0
AHXHJGSFSGAVHR,41.0,IN,5.0,Qqpuroadtuc,Useiziqpoplsjbzcsomkyjferwjfmampfskbsrxydcgutze,Qqp8448,,W,172798.0,M,United States of America,703.0,,Atlas America,rjqpmapoyudr,Augusta,O,337062.0,0.0,Fgqnxgaguibghsyclxnsnevgsrpblipjdobrknnw,6.0
WOBRTCUHXFCMIMMYALNDAKDXI,49.0,DC,0.0,Faechgbmpddstmghcrhdunliedmik,gbiypkjgtlykrvtjbbumkggpwxglpgiwm,Fae8449,1-865-928-1936,U,2266559.0,,Canada,476.0,,Insight Enterprises,FRPDNTRBVOTL,Boston,O,71795.0,3.0,Legdoajxmtmrqsi,9.0
URRXHJCRQBKGVHEOR,9.0,AR,4.0,FIUSGDDNMOGPDWOM,OBIQMFCTOEPLRYJMMGPFZYKWDZYKMDQJLDGJLKGOUREPRJRKUDMHNHKWQRXC,FIU8450,1-078-320-5212,S,1446659.0,m,United States of America,617.0,,Broadridge Financial Solutions,Azpxetq,Tempe,O,271114.0,5.0,Bmrotkppcwecksoot,5.0
QSBQWBFLFOJGCHZVATZHYCVQMJHA,95.0,ME,0.0,Eqfjjpwezaikfkn,bsbvxyaelonmxcwahjrmvfbh,Eqf8451,1-010-220-1308,S,2733798.0,,United States of America,347.0,,Perrigo,Pjhoxvurwqdy,Scottsdale,O,322148.0,3.0,GCENIXCNT,4.0
XISPGTVNQWOELWBQ,89.0,Saskatchewan,3.0,Cmjowlhqdrk,Apaacmekhbignedjgpxkzkpbhaootvqyudx,Cmj8452,1-251-163-0585,M,3057177.0,M,United States of America,,,Embarq,Lcvpm,Casper,O,233357.0,5.0,Vudkctitoflwsvjuqvepspet,7.0
jkrwlnfjgbjnplnfhkkg,54.0,VA,5.0,HDUWWGTUYQPUKPGUOZT,Dmsltuucykppehmqfezgtomjscbvupufxgccldgerwpniwqivyimxnnegqynddjdrxoekdzvn,HDU8453,,W,1392119.0,,Canada,767.0,,,Misusjjecac,Montpelier,O,105107.0,0.0,vadzzmveyaypjflrolynwpuggollcsngxihaqddphmrasdwowlyzxrqq,5.0
Ramljubfcin,50.0,VA,1.0,tsssfxvykpyihhfzzxjfzqabnr,Sqzfggosyyukvtmweoypfhwrdbmmuyvceheultglyloxpayqizshaxxqssuoocda,tss8454,1-219-906-6463,M,2505151.0,,United States of America,478.0,,WABCO Holdings,wvnaw,Stamford,O,248032.0,1.0,,3.0
Dnribjpkaijfadt,79.0,HI,4.0,pitumqhn,SBCGOVDUVQMPQOMVQTWBKMBQDWLBAZATTIDBDEARD,pit8455,1-870-258-0983,,1238133.0,,United States of America,521.0,,Beacon Roofing Supply,Mguikpinj,Aurora,O,478696.0,,,7.0
Jyuhcwnuekbngtwnrt,,WY,2.0,Volkv,Jgrdxjpfkhyacqxopaqbb,Vol8456,1-814-914-4841,D,1932173.0,F,United States of America,585.0,T,Smith International,Bcvqifn,Saint John,O,3391.0,2.0,noynshbn,4.0
VNBUYFN,50.0,CO,2.0,Ewzjooxfcladnqmwrdupehbd,Zxdwj,Ewz8457,1-476-525-7286,D,1930474.0,,United States of America,334.0,j,Huntington Bancshares,csnfrvuxuuf,San Bernardino,O,121179.0,5.0,Qwrqpifcvgytejnxwjhdjey,8.0
WUVZLLIRSNNGVZVCGVASQHHXQ,28.0,OH,,OWWOCOO,wgabdojkvwuhgqhvggbfprfripegyg,OWW8458,1-948-656-8165,M,2443730.0,f,United States of America,727.0,,Core-Mark Holding,VSYDB,Warren,O,303801.0,2.0,Kwipgfuvnwsexrrjcznahrvlessbiqbvekhvsemuvfvbhbbxmdp,5.0
Dijevzccrmfmmast,17.0,FL,1.0,Hhnoumpdzctklsvjijrauuzbeorok,hnmjpqay,Hhn8459,1-519-257-3199,W,990303.0,,Canada,611.0,N,Sentry Insurance Group,noffdqad,Louisville,R,6744.0,,Mmwbpfspqsglpfpimxxrdrffcrypevgjqsskpqewmejomhmvbsuqwmuvjtgvznhbldjicechfserih,1.0
Naajvmxefmwglbcantzm,,MA,3.0,FFXOKJLPJTPQYSNPKPPZM,Rdsnozoygdmfdrswodep,FFX8460,1-326-407-2371,S,1635558.0,f,United States of America,360.0,x,Amerigroup,Cnmsgoz,Cedar Rapids,,326543.0,1.0,ruisuallpdfsemhrxrymitapyzgkxzlhyjolbgknhwduqmpgsrlhnvfcvcxqabht,5.0
ywzzi,26.0,CT,5.0,vuscxq,Tsjdy,vus8461,1-793-516-3698,D,1831763.0,f,,445.0,,Terex,tddcdgegs,Eugene,O,270638.0,3.0,Iairukolxgcshllhnvlspvcn,5.0
Xfbadnpvibezbgchshz,49.0,HI,4.0,MCXLKSRMFEPXKDPBHWFLTVO,Ydxsomiumd,MCX8462,1-192-706-0536,S,429010.0,M,United States of America,713.0,A,Coca-Cola Enterprises,QWPSBWKSJA,Great Falls,O,60200.0,0.0,pthniru,4.0
Qqmrhtmhmq,26.0,WY,2.0,hnoojvmcjgnaakxgwrklpsbhbihaeg,xtuvqvsadyftjsoutajuxmvmyfyrcnivpopmmpybzth,hno8463,1-959-679-8837,S,1831294.0,,Canada,570.0,,Lockheed Martin,Xocdasikfx,Torrance,O,183336.0,2.0,Gwdpzxbryvgqgdjahkjudfhrzakdxjodghxzalhxilwrxrl,3.0
ANBFUSDIPEQCTIXAYLI,83.0,TN,4.0,ndfedooy,Xfvphqcziwetx,ndf8464,1-332-155-2981,M,436257.0,F,,656.0,,AGCO,edlffkhl,Casper,U,340069.0,4.0,mzvpqfziwtriuueonkrkiouoeoypwmdemngptijmgzpdyiomhxxnw,7.0
Wogjjypslxafzap,74.0,WI,0.0,CAPNSETUIQQCMJTCBAEMZ,nljpyfsneapzufceeonfogkwqlqisqdkqtfqdvorjidqwbzskndlhduayxxpvsjbcgoidmcbralqh,CAP8465,1-511-107-9446,S,799882.0,,United States of America,567.0,l,Con-way,Bqwza,Durham,O,4339.0,3.0,Elxbsuibdgtp,10.0
Wupsgwk,65.0,AR,0.0,rkjwghmwehbsxajzoozkaarvggqx,zghroslrzyvhrzajhkekfaauaavenipenyjlsgaplgakstcwjv,rkj8466,1-354-475-2420,M,3387121.0,f,United States of America,726.0,,CC Media Holdings,Qkpjoourc,Miami,O,380166.0,2.0,Fmehtiospkomkdvtacszfhtikqmyutqmrl,10.0
ytendbibwjohnzeipvqypbq,3.0,MD,5.0,euekarouhgigvbofu,rhyqdqnkuglhtlpyjwohomqsorlsriktsviixyhlkjdoeuszjdmhcseidbgxwoijdscjks,eue8467,1-794-555-3534,W,3690724.0,,United States of America,488.0,M,Dynegy,Ipmupduwced,Mount Pearl,O,483411.0,2.0,Uhwdnovwjuugehnomoeadhopemruktwhbnxwpmfijmhxjpixqhjckfjmqe,5.0
VNFBM,12.0,MI,4.0,Ofdihfowvobjkquwuwkpkvyvancp,Cfybuabgircdxjzwtplhjraqfwqkedluqtf,Ofd8468,1-223-235-3740,M,1730508.0,f,United States of America,525.0,,CMS Energy,FTMABKWW,Louisville,O,31197.0,0.0,Dirxndttnmlrwvlnovqzsijwojcpkgzlgxrvwnxgfyjr,2.0
GRGLSAFBTGSX,3.0,VT,,fcprhbnopxnsrrsdlryhuj,Frhscr,fcp8469,1-862-279-6049,S,728292.0,f,United States of America,640.0,,Domtar,Arpdgqpxnuoi,Escondido,O,470929.0,5.0,riyguvjqvlgjaudskmmiglxaro,6.0
Dvilvawkz,50.0,CO,4.0,Yyzeoieaqlrecpot,,Yyz8470,1-075-386-3166,M,1112286.0,,United States of America,314.0,,Pacific Life,gijya,Richmond,R,106289.0,1.0,XQQNNZKMGCCQCVOSLOADHGIQPEVNMPGIXITGPG,8.0
Hecwbhgwlqhwvqvoigxuhee,95.0,Quebec,0.0,Nwqhyrjwfufeauendhip,Stkcdrtid,Nwq8471,1-153-331-0598,S,3167276.0,,Canada,793.0,,Packaging Corp. of America,ahrampskctjn,North Las Vegas,,212470.0,4.0,Dtqbfoclwukfrhrahvukxcoicij,0.0
zdjlfmynxusdbfwszzyuhpbfch,77.0,MS,2.0,kgparymz,AOBHQRLOGFJEUBADBBGSLWTCYSBLFHEQOCZXCIBPTBA,kgp8472,,,2917329.0,,,,,Magellan Health Services,JEWYLEV,Saskatoon,O,324050.0,,,0.0
Frmbpca,28.0,NH,3.0,uionyfjpnzvpcapkntpfkbbgsl,QSUMZNWWLSDZMKGKVRKOBXTDXUWILJOEWXVCUQVGNBOCEJROTQWCBOCMQCQALO,uio8473,1-684-936-0510,U,1033637.0,F,United States of America,715.0,,Philip Morris International,Ugiwwibormt,Carrollton,R,323659.0,2.0,Alromidqlezsfrsiompvukdjnaewfdszemethqywrb,4.0
Mztsscizbgqaujn,38.0,MA,2.0,Ocrfuhgqanswigcnpgfucf,uvzhgowsixxiimgcjfxajibqqqvlpjjvlgswukgrjmyufbdv,Ocr8474,1-356-900-0449,S,626914.0,,Canada,585.0,,Ingram Micro,Jliyvrlda,Waterbury,O,228220.0,3.0,TGPFTFCMWVFUAJIZTUBXQNQVYNIYQKFWLXLVBIFLSCJOJPUULNAJPMPUUK,2.0
Cjsrzvmlps,41.0,CO,4.0,Uzqkwxormvnvhujdbnlqmlgrc,,Uzq8475,1-851-783-9290,M,2875202.0,F,United States of America,447.0,e,Intuit,Yrrwt,San Buenaventura,O,272203.0,2.0,,2.0
ffidowyqnivi,17.0,British Columbia,3.0,jdbypecrgkyuymr,NVYFFWKKALIDBRCCTMIFHIIJEFMXPOFEOFFGPWOYIQSMD,jdb8476,1-465-839-5265,U,3949799.0,F,Canada,536.0,,Kla-Tencor,Urxgigylz,Irvine,O,451917.0,5.0,ztlsxzqgdepiidgdufkgrjmejnzahpqtaituuiizmijioinuiibcfguzfqnyglrvxjwffajjbgupfhh,1.0
jxcwpit,100.0,FL,2.0,Lgdrojmddshqagcqsxbbczp,Cnjieduusskwgldmiwz,Lgd8477,1-995-917-0686,D,636659.0,f,United States of America,843.0,,Bio-Rad Laboratories,Tcahjf,Warren,O,111293.0,1.0,Ruehqososkkunbmnvvpieilkborqhwtxoaxfcwtjgazbvlrvbezda,10.0
Inrondldnhzpxhjshjoquc,56.0,AZ,3.0,LOBMRSTVKGPSIDLKKJLQLAQIWK,Xmucqkfkqvuywusyhpoblwquqgyugivuhoqdgbwmymgydublx,LOB8478,1-399-460-8921,D,2563261.0,,United States of America,316.0,P,WABCO Holdings,upibgkjx,Wichita,U,475106.0,,Uldnrmculnrufgyhgxdfcqqwmttkqtwvwzscknaibbnkw,9.0
AKWCFCPDHBCJWFTFOU,19.0,VT,3.0,Qbjuerjfzxtwemitlurgafqej,Timzitdvgbkzqdenxkjnppfkdggymgldjlmqjojeohoacpglxkgigvcdqkbpdxke,Qbj8479,1-889-021-4907,,2705581.0,,United States of America,562.0,y,FM Global,,Boston,O,331836.0,3.0,QOHCXPEVWQTBIO,4.0
