AgID,MidInit,CrRat,Sta,LNa,Inc,NuCreCar,Ci,AdLi2,MaSta,NuCh,Ag,Emp,Coun,AddrL1,Ph,NumCa,OORF,NeWo
Aai8507,,781.0,NV,Aaiykvk,195423.0,4.0,Livonia,qhnefrkij,W,1.0,86.0,Holly,Canada,Kslgaiplzcvxqabxurufbbmlarxayifziwmctucowrpixmlesuihcbkvnjlvwvmte,1-753-025-9341,5.0,O,3164138.0
Ruc8508,u,823.0,TN,Ructadrtmmldio,74911.0,8.0,London,rwcjojjyacfuqnflzndhsvatqrcmakwldmqyrbpooeupgcpnpsvwtat,M,4.0,41.0,,United States of America,Vzdjqdgiktfcnpcbnljyskwbkpecyggghgcercxocdphuexdpnojdcievaemnavbalpmynk,1-053-678-7968,4.0,U,1428073.0
Dpp8509,,821.0,NE,Dppneqsovlroxbavhjbomkktbkwpw,391792.0,3.0,Newport News,Lqedoayinp,D,0.0,77.0,Unum Group,United States of America,Hypicalqbrdtaovcieeslbumjeuqjkytlimcjvtoxvlxjdkzgvdmcodgmfq,1-155-137-1437,1.0,U,98688.0
UTU8510,,376.0,TN,UTUGDE,,9.0,Vallejo,Lpfbwdrgidozmvktv,U,0.0,35.0,NCI Building Systems,Canada,Tovrjxhshlobrkhbkhjkkrycbiufrzgsqmcpiuggnzwxbtsiybbfa,1-437-209-9491,2.0,O,1696676.0
dow8511,,790.0,SD,dowfflksslwbdwdia,116960.0,10.0,Iqaluit,wtiacjqcmfsuhqlwzixozimhbwbiqepdtnidkrieicsbtsubdfawhmqdhkvkvocsn,M,,41.0,Bon-Ton Stores,Canada,ynmrnomwvmztghatsrzydmysrqr,1-602-934-6802,0.0,O,567657.0
Xcn8512,,544.0,CA,Xcnjapclcbsnqkdfli,185858.0,7.0,Savannah,zpwszqlyrijqzlvudpxmqsatolmesxgjdyrjwgnwpvczughrfuxiedqsjqjqibgcmeaeltb,D,4.0,33.0,AMR,United States of America,,,4.0,O,2217949.0
Efl8513,G,333.0,LA,Eflozijcuxjadlucebxe,44305.0,3.0,Thousand Oaks,UCRLXIBINXKHHIEQWZZWPVXKKQEWVUAUT,M,0.0,15.0,New Jersey Resources,United States of America,Ocawcqqrbluqkzitmiqkineycspnsvjraqvczjezoimeray,1-432-879-2401,0.0,R,2753769.0
Lod8514,X,598.0,LA,Lodqunidcekgpmcdazbw,439692.0,4.0,Thousand Oaks,AQNCFZQKYSHIEKTHPFAUKBFICES,W,2.0,90.0,Embarq,United States of America,SILAPZLMTVZVKJARQIJEMOLUTHKIBVWEBWJGQKKQBYAROZ,1-915-084-0744,4.0,O,1381997.0
Pfa8515,O,410.0,NH,Pfahkgqhscn,224895.0,7.0,Louisville,YRTAXHRQVHTUWTKVIQBNROXKNUVYBYONULUHWIMDHAKAXKCMTVILZBVMJLWNGAKYYVVOFACJ,S,3.0,46.0,BorgWarner,United States of America,YXAEXRWPNPVTVUKHQMSIYOAGBKNIKEJSBMZBASALDXYOSQOFEFRY,1-492-311-3722,,O,3587663.0
Qfr8516,d,800.0,MO,Qfrxvuvgefcmhkoiilzqhq,125085.0,8.0,Baton Rouge,Upjaytwtzbwtqlovuczct,S,0.0,3.0,Neiman Marcus,United States of America,yvflexufbnlkikvoexmoqkvrlmrbihmgkbifiukufibhxiedmtyxsugstgkhafeubfbyfi,1-132-172-4935,0.0,R,1080310.0
Wnp8517,t,346.0,KY,Wnplhrddffgiakq,233974.0,4.0,Montgomery,ykwzsyrfwaxatstnacdayikzjrakpwpwihfkkhvchhzcwrzt,U,1.0,16.0,Amazon.com,United States of America,Rzxqfzsakjpklbudhixktnikbglqdilgocze,1-611-443-1713,4.0,U,3248166.0
Gvu8518,,318.0,OH,Gvusnxmtjsecbyecmhkqbaltdrxvsp,316779.0,,Halifax,Eubjwocmnfzgmohhsvemvrulnhimkijghyegulasgijxvofzotyjghhctcwilaqnijrxm,S,1.0,96.0,Arkansas Best,United States of America,iuzjrzeqdcltjsbycwlhbglbtdtkhpzesfprrvbtnpeufqaxvpurdrjagmfygqppmre,1-374-711-1669,1.0,,3957538.0
VFW8519,,470.0,ME,VFWSWRNHKJJMRHWATARQWAMTTINWNN,,7.0,Santa Rosa,Wejugkpbotwtzlwbtxbvcupeaaieqqidcnqiktxdwwewzbwlxfewklcbobpjcoxgre,,3.0,52.0,Nationwide,Canada,Szceqtcdwaaerrnpcfdfxfumcyhvpmijtuged,1-153-167-0916,0.0,O,1070106.0
Afx8520,,416.0,NV,Afxuvvgve,,10.0,Raleigh,kiutvmdirnsouuvjwopswxczvkbisjbpueoeunmffgfsyoidhjfrhnzqfiyuxwmakepssctthwzac,S,4.0,38.0,,United States of America,Aifmrucgawman,1-785-182-7850,3.0,O,268243.0
Usl8521,,365.0,HI,Uslfnqywh,69217.0,5.0,Casper,Ophyiakuzekldzqvzjvcdnb,S,3.0,78.0,State Farm Insurance Cos.,United States of America,vijutxmarhjldsea,1-821-352-6554,0.0,O,2932666.0
toj8522,W,668.0,RI,tojdsewgamiycorqxupsrlsp,128400.0,10.0,Dawson City,Kstozfiyvggnyxmdvjvsm,S,2.0,2.0,,United States of America,wbeozoodomrvegljblyzrlrslefyhihif,1-428-416-7331,3.0,,2510854.0
fqp8523,H,705.0,TX,fqptfqdi,172941.0,9.0,Sterling Heights,OBLISMMKUQDAKUACKDULCJIDBNEQLHEBOEIIRFOKGZUWNEZHSRPBAZBVFRWQXSC,M,1.0,1.0,Buildings Materials Corp.,United States of America,Mrbzkgda,,1.0,R,43530.0
sjm8524,F,471.0,WA,sjmxqonoruqvazsegcrxrijoow,,5.0,Long Beach,Zvqrcivdellsaxstdplodpxlpcg,M,4.0,64.0,FMC,Canada,Jysamgypvdxkqlyaweysjin,1-334-447-4491,5.0,O,1611189.0
Rie8525,,344.0,FL,Riextfotucbwsowooxbmthrrtwk,90913.0,10.0,El Monte,VQQGAGHNGRKJKNVNUMASDTDQXAXHXLJXFRMHVUAXJGGNMWJSAKUAKQNFHTYMYGULBUSCYL,S,4.0,29.0,ABM Industries,United States of America,Uemqsygglxhagiujbtsxubngjigrtvrfgehegjvzhciav,1-493-866-4852,5.0,O,
Msj8526,,545.0,WY,Msjmiiclajxoqborxvggrfdjkrviws,497850.0,9.0,Bellevue,LKIDHMRDIRZIWWAEPRIORJOVAXPCZEFIIWHCJCPUEOLQYSKOAHLJGFYWJH,,2.0,,Burlington Northern Santa Fe,United States of America,NQCPGPNVTKHRBFMLUZBRAY,1-539-316-6454,3.0,O,2668412.0
GQI8527,,469.0,Prince Edward Island,GQIGYIWCFCGZKGYPCXMGPKKXXKP,122536.0,,Boise,orlkilvuvsaublgqmgirvzcrofruxkoai,M,0.0,92.0,W.R. Grace,,qzatmghufwzdyvrtacrgj,1-437-906-2896,4.0,R,3357587.0
Qux8528,,504.0,OR,Quxsdpxaeqkmsbprpdwtkqtnwmj,325913.0,2.0,Berkeley,bydorrlnmwclwjxrzihzbgfagenasvozjajgxjncgxviatqporzgmhlaoqvjlqyfvxsodwfnctyryo,U,5.0,90.0,Vanguard Health Systems,United States of America,Ptpjpwwowfztojuqyuqgzlepyfvrqabkphpgycxnqzicdrkvnvfusvbxll,1-831-874-7712,2.0,O,2477983.0
IEE8529,,715.0,GA,IEEHLODRBBP,132810.0,9.0,Columbia,Ivtujpqeqaceiuseflwkvjhgrwjvrzlhu,M,1.0,43.0,Graham Packaging,United States of America,Slejkhtbxkfsvjcbpvutufmzeezebzrwbrtdhpazdrgweegdhdvpjwtetmsptldhaubwqpb,1-588-676-8975,1.0,U,3024331.0
Htj8530,,726.0,MO,Htjxiojmieuixrqb,84453.0,3.0,Santa Clarita,Xtaewrrgoslajwontsyjxbkwxeoaiwowuwlsyqlnyjinfqjoqizpgghpeomx,M,4.0,54.0,Wisconsin Energy,,vuydrahbxiatyvrcyratonjeywbmkprrychoeedwjriy,1-437-695-6425,5.0,O,424598.0
dxa8531,,715.0,Ontario,dxanskgwcootefho,155366.0,9.0,Plano,Jucnvvgzkhihomrmhkoeqfifyhupsuwj,M,4.0,85.0,Simon Property Group,United States of America,Xihnemrrgflfsmpyl,,3.0,O,3291469.0
mpd8532,,,SD,mpdjiiwemwqgbachvixsncw,427365.0,8.0,Fairbanks,cclliiudvpeozxoepvfrbwymdhzccauyktsvsqrvyodofqkcfpdvxv,S,2.0,90.0,Convergys,United States of America,XPHVEDDVVTHTNGMUUVPPBSDPNXUZAHBOWOIQUQCGXYDWBIVBUHVRWZAUBLYDITNV,1-816-980-8873,1.0,O,2438535.0
Icl8533,,583.0,GA,Iclgsbf,330508.0,5.0,Warren,,U,2.0,100.0,Diebold,United States of America,Wgvcjevhcmmnocqvcrc,1-152-091-9649,1.0,U,2930050.0
Rkm8534,,805.0,GA,Rkmbjfwvvnqzzjmvafvrssqjyhcuxp,14063.0,2.0,Saskatoon,Zzmqjibgpfmhsmfxhycrd,M,5.0,89.0,Vectren,United States of America,PQAUCELVVFXILWXBOULZFAWCGGNPKGFDBHVIZBSATDTRSFRLSKIESZFNTNWEMELSMTVOLDEQOKR,1-080-785-6233,3.0,O,3994449.0
TIZ8535,f,,ND,TIZDDCKGQJCMVOEGQHTOWHZ,61322.0,10.0,Wichita,Ldvpotktkkhgtfnbjcqidwkqlopgzoawhdoiazbafiueitrnopwoxhll,M,1.0,67.0,AbitibiBowater,United States of America,Qlfvxxykljazvqipujbdreuupyaqtklecetepsqxpyhymerzuqxpkjyguepktczipbsnqjooy,1-902-025-1797,0.0,O,1601499.0
usl8536,,678.0,IN,uslccabefgmkgu,488500.0,0.0,Buffalo,Uhndtjpyfdbmxfcykvfbbwckqykuzndmicbgk,U,3.0,,Brunswick,United States of America,Dajotqu,1-595-108-6831,5.0,O,708829.0
hzy8537,M,415.0,AZ,hzytkydswpeqg,,0.0,New Haven,JBQRHYVNZUCZYBORIVJYUJTRVXCIFSHLM,S,5.0,80.0,Interactive Brokers Group,United States of America,EINMNSETIOGKFKEFDLHPIQTIIYYNPZNQCIUGZKHNGWOYZJAZRVADLILLWIKXVKQDOVIPRC,1-618-489-9613,5.0,U,2087147.0
TWG8538,,741.0,SD,TWGBCYQJIMHPE,381888.0,8.0,Aurora,gkfzijtakiyd,M,1.0,90.0,OM Group,United States of America,Lwodceyqfqmomtxxmbcsgkgibpmiwcibsccdhbepprscwjcokxxglo,1-721-917-6298,1.0,R,2607740.0
Zdt8539,C,722.0,NC,Zdtrlzsvwk,106937.0,10.0,Fontana,JFLYWVRHHRAYQHJBD,S,2.0,84.0,Pulte Homes,United States of America,YBRRJWORHOMDAFQTKULXKENGJOTOZNXGZOCJEVPGEZIIBLWAIDHYGZJSBBBHXXWIADOMSFMJZKOTTSZM,1-835-293-3356,2.0,O,506421.0
JMI8540,,720.0,CA,JMILGNUEJJKJZXPZMECMOVBYGNTYL,,9.0,Wilmington,Eaecvvjyfthouweasulkojgdjazxtbametvcnqzofdtotacdvcownjmt,M,0.0,88.0,Global Partners,Canada,Qargbiozxkrdmgecuxedzuoxcxnsszbphwwoopskwkfwikcugzxwhqxaafywg,1-348-595-7405,5.0,R,1833920.0
nvv8541,,345.0,Prince Edward Island,nvvcdukxqeosyay,73858.0,5.0,Modesto,,D,4.0,25.0,TJX,Canada,Ujmtqwfdvzddgnkwmcibxveptwlfjttpouzvbcuxxkinjdxwsaojwtpshdqvkduqamprqqlonxxrppcu,1-749-829-2136,5.0,O,162870.0
Xbh8542,I,710.0,NH,Xbhwib,356137.0,9.0,Hollywood,Gawculczbovbghemzkjahtpctuvyllbkpbnbcioehudtwyrsa,M,3.0,26.0,Whirlpool,United States of America,Wqgnhrkrlo,1-753-677-2911,2.0,O,1194756.0
vbt8543,E,378.0,CA,vbtmnnwbyvdekygzimcpk,493727.0,1.0,Las Cruces,,D,1.0,58.0,Oil States International,United States of America,Qrjpbcwwzfnqvfjjbmvlewx,1-274-756-5441,5.0,O,1080794.0
Nbu8544,v,627.0,UT,Nbuuyw,255446.0,7.0,Chicago,Iphkatpzlmzmcedrmnjhpcunjxd,M,0.0,54.0,Tech Data,United States of America,Gtrumjbbyppmmkfxfotondkaiwrqylkhgeqowzrr,,1.0,,2555310.0
Rgr8545,,623.0,WI,Rgrmfobsuxgatswasbh,356544.0,2.0,Mesquite,Twntglcvthglhrnkjffkokabsfxnftoirzxmmnvkrpfquyaw,M,5.0,,Pactiv,United States of America,Sdufbkuih,,,O,3333718.0
Ftq8546,n,782.0,MO,Ftqxttzbnceldlynnlb,419228.0,7.0,Plano,KNZBYYUBGOQMRWHWTUNNMHMAEOAVMPMXCZJQVHTJKMPBUFAOSTZVHSSTVPDBMLZHBWSCUPUSAF,D,,87.0,Avnet,United States of America,hsvqlassjcernhtirzvaplyaazetrjglolzqwuvhdnlvmnittwpalckvoikiwvguabvslgzpbh,1-758-295-0803,3.0,O,3111050.0
FPQ8547,,535.0,NJ,FPQLTKGUYJRTTXHHTL,279760.0,,Cedar Rapids,ecpehdsxoiwhsbfprvaspshapkruueagweknndcjkkagux,M,5.0,62.0,Family Insurance Group,United States of America,Wgmiumhxoqabigqddvimnalqfupbcqwznilxrxdjitybzwyavmqcyinyjraptpqntjryxfgmcbtxwc,1-473-272-2226,4.0,O,1786559.0
zok8548,j,673.0,MO,zokrplot,92895.0,10.0,El Monte,alsggta,D,,88.0,Las Vegas Sands,United States of America,Rmxlvyhehyaarqvcgvfaihoifapebjgmgkhopasg,1-197-481-0306,3.0,O,2936931.0
oqa8549,q,336.0,DC,oqajmf,300631.0,5.0,Lafayette,gqhvzshybeysjmxkxxrmjk,S,4.0,41.0,Corn Products International,United States of America,Wfusiyndxtvl,1-381-354-2506,4.0,R,2245050.0
YIB8550,,791.0,SD,YIBJQYYJXJNKLWUPZVRMGYK,387843.0,7.0,Frederick,Rdezxkzvdsapmzcsubeynoefwhrd,M,5.0,9.0,,United States of America,Eqlfrlfe,,1.0,R,3280943.0
Csu8551,P,414.0,VT,Csubnjxydykciuqc,352565.0,6.0,Columbus,Sylrcvmjnwwrftbboqurittzepowqbmxvkxztlsjhzfzucnnxsuexeidobefhyz,U,2.0,54.0,Energizer Holdings,United States of America,Gfuptxdedbtobreekytbrcenygb,1-342-322-3904,0.0,O,2927688.0
kim8552,N,828.0,WY,kimucpzclwjeafplg,429081.0,1.0,Shreveport,Wglasftkcmigytqtzafsyiryevvlnhjnnjlxjkxvyrifdyhodi,U,0.0,80.0,Cliffs Natural Resources,Canada,ABQOZYG,1-656-561-4641,3.0,O,1585088.0
Wnh8553,t,,TN,Wnhusjzilytipwhsapzup,14301.0,10.0,Pittsburgh,ztbppudfvmzbamvobwqeagweggqqniwcxcofwkjiiekgbsmfvziottergvbjmdajezvu,M,5.0,85.0,Newell Rubbermaid,Canada,,1-743-541-4240,,O,999428.0
qlh8554,G,400.0,VT,qlhaqflseebcpyeqjtyquhqvodost,497857.0,0.0,Lexington,FGYAAEZFXCESJHJKAHHSHSVLBQLCIVWDADCNDEAOVBZEAQRUDOAJAIZXVJFZMROWWGTD,W,1.0,62.0,Merck,Canada,Dekryeuzykuexepcaxksbsmizilsmmdfbxopp,1-469-238-3881,3.0,U,1627222.0
Nwo8555,A,839.0,FL,Nwoywjci,24869.0,1.0,Salinas,Kajcvjjldsvlnnswoapbqwjmhkzxegrqdfbagwiubvgiuohmst,D,1.0,95.0,Airgas,United States of America,NVRKENCAQYHDA,1-867-437-4595,3.0,O,3135975.0
Xot8556,G,420.0,NV,Xotktdwbgvbdbaxrvtjyrt,2909.0,1.0,New Haven,Khirkpuglbanizwvhufmkmrpvzgtshtoivu,U,2.0,13.0,NuStar Energy,United States of America,Rvakiyqvkuolxii,,5.0,O,3765659.0
MTA8557,,333.0,MA,MTAKNDK,125147.0,3.0,London,LBAJQBNXOYEWKWATFECNFXSZTUBABYBPRFFTDKLSIBEAGMI,D,4.0,83.0,Wesco International,United States of America,Xlymradocrvgvamhoyw,1-187-926-5632,5.0,O,1001954.0
KSL8558,,,MD,KSLAFK,276867.0,2.0,Norfolk,Yaocyhvtfjawxpuhfndhreydwjeqgaklyjrojqmzofflvahwrwqorlkvbteunsvicwjwyzwverkrkrd,S,3.0,90.0,AK Steel Holding,United States of America,Pspixxkkfuhxooqiwwcemxxaageryikbuliax,1-387-972-7066,0.0,O,1697540.0
ecg8559,S,592.0,IL,ecggghuxswncysqicjfhmzlddirb,46118.0,8.0,Charleston,Pbcyudtgeobvuqorwevxbehcbwjrjcwovimhcxkqksioteagjamrhovvcog,M,3.0,50.0,Pepco Holdings,United States of America,COJRWTQWEHDUWNKLHMCVSHXAODNDKLWCEW,1-793-290-9018,3.0,O,
Cih8560,,324.0,RI,Cihrvlwhapmk,226788.0,3.0,Miami,Dpvdwrqyixbiyfsxgelttnhlcgllknouvvlsvjxgmgktbndneqskzdrjofcw,S,0.0,16.0,AK Steel Holding,Canada,avsxziewqgnkzumosqadsvsrjowatinpfbhb,1-473-480-3832,1.0,O,1665028.0
mjj8561,F,590.0,AZ,mjjgwtnwzyoqhjdfyltdkufrwsj,,9.0,Moncton,QVRIWPNEEPUXHEMLCQNNPWVHLFPMTORZMZQLJOUCLYBTMNPPUPZEFOPHOVKLXXAHAGRVAUISJDPIETL,S,2.0,49.0,,United States of America,bcrlpfinpansegjmbiowerdvtumnxldiodtzbtmpxduwowqsubfcwsydbzh,1-402-693-0317,1.0,O,605814.0
njc8562,,749.0,NE,njcnmidjbrkxbkqq,427738.0,0.0,Brownsville,Elsjgduszxnjulsaaholljctlhmkmltujqlh,U,2.0,4.0,Sentry Insurance Group,United States of America,GPFDSDVTZSRZBWFUCYSFWSBHVHLPLWDSETGVVKPNOLHXMPYVCGVXZSDM,1-815-588-2954,5.0,O,499139.0
QBV8563,,831.0,MA,QBVKPJQOOSJZXB,39631.0,8.0,San Antonio,Gtppvjanipziagbcbfyvksmpkyvejwatqgcfvbdlffckynqckwgonmqfecebgjfcwn,M,2.0,9.0,Verso Paper,Canada,Xjlbenrpuut,1-881-587-7928,4.0,O,
zlq8564,,394.0,AK,zlqkfshhrdliouwsou,406178.0,7.0,Shreveport,Niiqqyabjikpjzdeupnfvupepdnwydmsyotwbfzfokodxghejrmxwvq,M,5.0,66.0,Corn Products International,Canada,tcgsxqcyqodmcjxfmuietcxwkdsmbrppfftzrjrcaxrygcbytgcayskkarietubgfsxojduskpvxrrpi,1-985-476-1908,3.0,O,2020749.0
JKJ8565,E,743.0,ND,JKJIIEFH,219605.0,6.0,Santa Ana,Hropreyneciazivxzueuaptfydojvdfsdknspngeiynwbpcujezpwkc,U,5.0,,Olin,Canada,Neanvbz,1-175-452-9105,1.0,O,3158622.0
VQN8566,I,492.0,Newfoundland,VQNTPVPJYPVFX,139846.0,7.0,Fremont,DDQYPSLWDQJYLRWJMNXLJYWMGZAPSIFSCYBSXHRQBTHKHRJBGDOPSQV,M,5.0,7.0,Hasbro,United States of America,Fddgkqaqgwvgebeojvssxeh,1-398-474-1552,3.0,O,2571398.0
Vtc8567,,708.0,NJ,Vtcsb,133766.0,7.0,St. Louis,lsysoem,U,4.0,,Commercial Metals,United States of America,ARYDYNRDICQCFAPIPHKKITRJBD,1-709-908-2801,0.0,O,2385565.0
MKK8568,,311.0,WY,MKKUYRYRLIXWYFWRVXA,319693.0,9.0,Saskatoon,SNCMSIVZWWOLKURMZDDWKRNSPDGILFGGGXTKAUPPKXLQTHJJLSNVMNEYWOPHSLTZT,S,3.0,35.0,Micron Technology,United States of America,ZBOJSZFDTNYCJYGFYYDUSUSZHTRFEXWABPBUQYAOLOUFFWXBOMDHMVEVTVZJFOOPPPQTEYIN,1-271-675-2972,0.0,O,
Uhr8569,,559.0,NY,Uhrzstnepyqslz,393562.0,4.0,Coral Springs,NTEPIFYEPAICATLEXTGDIV,M,,92.0,DST Systems,Canada,Akgaatjjnnbygkfbirrfvamke,1-027-611-2308,3.0,O,3807560.0
Syo8570,,348.0,PA,Syolpcchbnnnml,294774.0,1.0,Washington,pmttctfgsnk,U,4.0,58.0,Land O'Lakes,United States of America,Gmjmmdccjjcbliuionlhwdoxbcjzhgywmn,1-121-205-6501,4.0,O,994608.0
amb8571,c,646.0,WI,ambyxohankbkebrqxzu,344292.0,3.0,Overland Park,KODKYFKTANNJEGEQPXPINCESIHBVKMYJYVDQHJOONSLTHBNVGXJUAZGIMLQJTZPBDQA,W,3.0,65.0,Aetna,United States of America,Wzdeyelfwtmvdffkismccxuwihmlfvzjbuakamxtxmmvyjbkruriazblyv,1-568-283-3625,0.0,O,1090133.0
Yap8572,,389.0,Alberta,Yapjempcfzacaugjpubatawxkcl,205716.0,2.0,Fremont,umttf,W,3.0,82.0,,United States of America,Vkxjwussqrtlzdnnodnoqikyesfaiwvfzatkjtjfoctqrgi,1-018-937-8589,3.0,O,2069203.0
QEF8573,b,519.0,HI,QEFZICFPPMRLMAR,,3.0,Lakewood,PHSZOFZKPTPSCVYKRVFUBFMDUIWPIOSRADCKHQUPJXXBPICWZMLEFJWKISKA,U,4.0,3.0,W.R. Grace,United States of America,Icuorhzdeshfmxwxoinxdiitxllqdhgafdcftwelikphforuqkzxwjdlderneifnlkjrrehracvhplwv,1-501-261-4606,4.0,O,3584493.0
YQM8574,l,329.0,New Brunswick,YQMTTLTB,254912.0,1.0,Yellow Knife,Jfcaxxfwaqkrjrqxwluxuswkarsfwbwbtrycjmhcanwd,U,3.0,31.0,Oil States International,United States of America,yuyvssjbiwiaseblggqoiyakramwmvodliswdsgzsgvvplnlteqtspudu,1-528-718-4757,0.0,O,825011.0
FMY8575,,677.0,IL,FMYBPDFSW,,10.0,Iqaluit,Vebstesipqirciyjkyhiojgfilirtpbslfjhpcwicdabxkk,W,2.0,21.0,Equifax,United States of America,WCNNDFEKPVQLBL,1-952-654-9818,3.0,O,2164663.0
PSI8576,,694.0,MD,PSIFYZNKZSKPGWECNXAQAPELQAIXNL,171520.0,10.0,Orlando,pbqnthbpaubjxjpfrqshbnkoxqcltnfohkbabyqpmcxfrngdljurbtctqfyrdjgnsubddcalujvi,U,2.0,37.0,Harrah's Entertainment,Canada,Poniesfplzibkktkquuusxhmyuviyqttligamauyqqvwtqplvodkpwjuqxoe,1-749-733-4725,2.0,R,
Iet8577,,415.0,VT,Ietggpumtcfowprporofoyafhhuc,469956.0,0.0,Yellow Knife,bghfdxsmujosdynupxjwtvaveucuqwvsxfupsgry,M,2.0,99.0,Amkor Technology,United States of America,Ljxrbbnpjkfqeokbqwattosjebpyxivmyvcizeandrrjojs,1-868-652-6057,5.0,O,1833295.0
CES8578,,478.0,WY,CESMIESWSPQUIAINWZWPTKK,87678.0,9.0,Philadelphia,,M,5.0,10.0,Alliant Techsystems,United States of America,SIISXIJSRWCQFGFVPQIGBRWHXEGUFWLDWOEAUTHCQAZJKETUVB,1-395-821-5990,4.0,R,2613406.0
zkb8579,,549.0,KY,zkbcownqzmlwpurgxzvgc,194160.0,4.0,Omaha,Irvxylyxhuhcfipykzyrdefgpntvtrtnqxccnxzjitagtcmomunkpgsubuhuifuwqchakv,D,4.0,100.0,ScanSource,United States of America,Saeavufrinpgfvfdvuosvnakwtiofhebvflrarnlwnmdup,1-228-394-6933,0.0,O,667919.0
Geu8580,,,MT,Geuijylvpqttneagyeq,404373.0,7.0,Pittsburgh,IMQLQXPAWKJNRTKEHITBDHHNSIRRDWGOJEOBOCRKGAVVDBFCBSGEVOEOCDOZ,S,1.0,35.0,Oshkosh,United States of America,opklrdjtievvhxxkqbcyglrvljxksmyhwkqetzqsoyimpjnjyvkzkfxvlsvze,1-097-791-8686,3.0,O,2164860.0
PVX8581,,305.0,AL,PVXUVKFYMLAKDXTZ,320544.0,6.0,Mobile,IZEBGLEHFKQUVGYTAHLGHBAAVMCYTEBYAMEVVPRGDNHTJND,M,2.0,9.0,Mylan,United States of America,NAUBJKJKTVJUODBBHFGKWGPFZUUUWSEBEMCNRQJWDNNCICALDVFLLPL,1-584-562-5576,2.0,O,2584624.0
BSK8582,,390.0,WA,BSKNQTMDPNH,275851.0,3.0,West Valley,Fihwdqmwskixsaejliajinfemjkmphpidrbwgdcaotlpnbb,S,2.0,0.0,FirstEnergy,Canada,Oqfjiiwbpewqdfkxnddfzxhkumkz,1-665-493-9945,2.0,O,
Ksg8583,m,559.0,SC,Ksgxyjobnbwmpratrmv,12801.0,1.0,Raleigh,dwrtwtzzktqesuyca,S,5.0,57.0,Family Insurance Group,United States of America,xvdlddrjkqajucevdximeeeecwsdjlwefhosssmliknhyxroxrtffscjgadhmrhxjhlpvrukj,1-832-818-3226,3.0,O,2579454.0
IXT8584,,344.0,WY,IXTRDFYHSXIGMFMNH,171542.0,2.0,Hilo,Ojfpmjrnwgeaindllgcngmuhmzrirknobhmwrwopoanxivmfsgkjlpqjhocndd,M,4.0,26.0,Rent A Center,United States of America,SBHVBRILJPSOQODKRETKYJHMESLOUSQQRMCCASVJMZ,1-538-883-9822,4.0,O,654997.0
CAT8585,O,384.0,Newfoundland,CATYFDBW,385808.0,3.0,Hull,Kntawiuwtxcobhgrtzenmjrkuxwlsyljhcbcbigsximrgrgbw,S,5.0,100.0,Alcoa,United States of America,Xlinjgbjyerzbrudnetdftdzbhbtiitgnjjjcfzusfd,1-123-863-6561,3.0,O,1781704.0
GEI8586,,627.0,MA,GEIMFKALJELHXKUVPHLPJTB,392215.0,2.0,San Antonio,,M,2.0,59.0,Becton Dickinson,Canada,amknocglbiyxfujossfintgszmrmvwnkwgfrizlmbcsumfsqosq,1-859-704-7095,5.0,R,828567.0
fzq8587,,416.0,WV,fzqrjqrayfwanglfvjhzejfxgfbla,391581.0,2.0,Lowell,Wmvxksimhprjdlzs,M,3.0,48.0,Humana,United States of America,GGVOZMMQPOBKFJGZENPLQJETPL,1-118-041-1022,1.0,O,3549977.0
akp8588,k,731.0,UT,akpvzmcoucgappgmlevl,403794.0,8.0,Rancho Cucamonga,Mxpishzhuspuednvreznflxhdxzzbtiyxlborbacaxursamtxvtnejcagessejja,U,3.0,,Amerigroup,United States of America,Odktavuhdggsgngcgvijoccfrvzhcvywerguddsenytwtdftadcstxedfiifnbh,1-911-283-5224,5.0,O,1091038.0
Gjy8589,q,301.0,UT,Gjykzcgwz,300089.0,5.0,Tallahassee,Dqfpniktjmssvqouhpyzxsilkcxqsjmeteazmbhacwbbxayiplrh,U,5.0,81.0,HCC Insurance Holdings,United States of America,Jfghoscsbewmeyadzqwujthpsacviravxpivtbzlxmbqwfaiugjwzlwmmfxmqnvlrdrjrgzsosq,1-956-423-3956,0.0,O,3328839.0
VAM8590,,634.0,Alberta,VAMRMSWNYFMZNAD,348355.0,5.0,St. Paul,Wcqqgzzjfysyqbgltdzzwjgdarmcjwnhukazmiepuyecshonpbbpm,W,0.0,89.0,Country Financial Services,United States of America,WMAHJZFFBUPXKUQCDZEKGGWWZTUXNDSQMBVCOJYRLDRNLBKVKKHJQKKHTITQQQFTIBYYRXNYJSS,1-079-929-7880,4.0,O,3629267.0
vhi8591,,567.0,NJ,vhiigltnapqnmvdhtvavl,392681.0,9.0,Albuquerque,Eqljvgchpvdlwfzdpwvzlklxyywfsxrcsnvuyuvzpkfbjmkkhyvhjifkubgcajt,M,,2.0,,United States of America,Orpkytotjnplmlnjghlojxareahdhkgeazvvncjapyrfsaxoggqpzjraeoutcisofpyn,1-081-075-8517,0.0,O,641857.0
FKP8592,R,582.0,KS,FKPCANNTJIJKQPNMEB,,8.0,Milwaukee,Fxawqibuiggvgbffmkaihhmngdixzgpaxmnvyffvgrnzmylfygdnoe,S,1.0,44.0,Levi Strauss,United States of America,Wqpzyiafoxkkmromlydjqnukspljs,1-293-065-7270,2.0,O,
