gncd,mrtlstts,g,ncm,crdtrtng,ddrssln1,phn,gndr,nmbrchldrn,ct,cntr,stt,nmbrcrs,wnrrntflg,mplr,nmbrcrdtcrds,ntwrth
ICR10861,M,55.0,194902.0,604.0,nuzqtgwjsbneiyhafnqlgxtxilkfekdowzbjn,1-388-554-0277,M,5.0,Durham,United States of America,KY,3.0,O,Caterpillar,1.0,
tee10862,M,88.0,13152.0,847.0,Doftzhwlgaquqnbjtmxjnlelqjflqsdcjjkuhgbjycdtaxcbmpm,1-727-292-8078,,4.0,Tulsa,United States of America,WV,0.0,O,Southwest Airlines,3.0,3917628.0
Tin10863,U,35.0,436025.0,363.0,kcgvlsjgzukaxiygqumazegwdpdnzumghjcpshsttlxuyyjlebtfhpstr,1-334-525-9861,f,5.0,Winnipeg,United States of America,CA,0.0,O,Flowserve,1.0,761443.0
Vch10865,M,,257165.0,326.0,WEZBXYOGFQTGTTGKFJINGNFZZEIEDWW,1-990-107-5564,m,1.0,Corona,United States of America,NJ,,O,Invacare,3.0,1771800.0
Pjx10866,M,48.0,337894.0,668.0,FXLIBKRYMQPXVGOVFFZRDHWYAXPHTQUCAOUHQNXKG,,M,5.0,Sacramento,United States of America,GA,,R,BB&T Corp.,4.0,3022542.0
Vpf10867,M,52.0,356799.0,825.0,PUIFBOFFIWGCHLHGIEBOSTVEFVWNXBGACOTRCRCFZOIYHJGSQFWLYOMULNVLAAAMGCVZEVFELRW,1-716-166-9366,F,0.0,San Antonio,United States of America,KS,4.0,U,,5.0,1383399.0
Gvj10868,M,99.0,270117.0,786.0,Pvwopybwrknqsllpcxyms,1-688-045-4901,,0.0,Brownsville,United States of America,WA,1.0,O,Genworth Financial,2.0,3990771.0
Xuc10869,M,5.0,494908.0,481.0,Jwjwsjcnrybugmdiwtdguaqgxajck,1-273-772-0860,,1.0,Charleston,United States of America,MO,1.0,O,Health Management Associates,4.0,2450042.0
IVN10870,M,23.0,,313.0,Jgvkbaqhsjluthmvgybamcprljfkqrcvkmuhzj,1-131-027-9958,f,2.0,St. Petersburg,,WI,2.0,R,International Assets Holding,10.0,3331943.0
Rgl10871,U,74.0,72631.0,797.0,Jykljxiwemgbbbdhfnneechmw,1-687-841-5725,M,4.0,Durham,Canada,ID,4.0,,CACI International,5.0,2700892.0
Zin10872,M,80.0,,655.0,Jrkwtdarqqipdxyyulonxxpecfe,1-049-141-1702,,4.0,Hilo,United States of America,WI,0.0,O,First Data,4.0,1988778.0
Adu10873,,28.0,91926.0,735.0,gcnwhpornjxchcxlckiltwwpbucakcgdqrflkoxbxbnxkgac,1-905-415-3583,,4.0,Anaheim,Canada,CO,0.0,U,SunGard Data Systems,8.0,726681.0
Csc10874,D,5.0,234038.0,459.0,qntnvkczaxvoeljiprixoafrhpmmjxjdgqqoafadsgepkjsbvxjbunwyszoprbjyrkfnqajeyrbcr,1-540-914-4756,,3.0,Livonia,United States of America,Prince Edward Island,1.0,O,Group 1 Automotive,4.0,2337460.0
Ekn10875,U,49.0,13154.0,664.0,xgxkrfobkkennyedpefvywwnwsmhwptpzlpm,1-191-268-1646,,4.0,El Monte,United States of America,MT,1.0,O,Capital One Financial,2.0,736224.0
Sql10876,M,24.0,489679.0,817.0,vmvgapslswmqlzjjrrmsgyosqicomgplfzwbpwyriqm,1-419-978-5211,,3.0,Overland Park,United States of America,HI,5.0,O,Adams Resources & Energy,3.0,608007.0
GPG10877,U,9.0,134587.0,,gknohzlvkkggmfzcvojoqrwtwebgaddicyjuelosnbleiyvomkfibxypetswzbilk,1-559-928-3346,M,4.0,Kitchener,United States of America,IL,0.0,U,MeadWestvaco,8.0,3246504.0
YFJ10878,M,62.0,127730.0,753.0,,1-052-414-7792,m,2.0,Tacoma,United States of America,RI,2.0,O,Dell,6.0,2086761.0
Jqw10879,M,71.0,34247.0,582.0,tasguijicdgeenb,1-165-465-6251,f,3.0,Charleston,United States of America,DC,0.0,O,,1.0,3868264.0
Dep10880,,53.0,315589.0,625.0,oiejwoaxuqnffkwrphftyveftbdjaawiiiyawxlrrg,1-394-137-7064,,4.0,Wichita,United States of America,MT,2.0,R,Jabil Circuit,5.0,25224.0
Zzq10881,W,11.0,377153.0,619.0,Hynackuhkubxtyfgfccsdekxdsymgvvhimjquymhxqsqj,1-095-184-2788,,2.0,Iqaluit,United States of America,British Columbia,2.0,O,Abercrombie & Fitch,6.0,2099888.0
Pnj10882,M,78.0,31105.0,641.0,Uwfnhxlcqbxnjbnwhkjducxfdvykhhnec,1-885-088-7182,,3.0,Scottsdale,United States of America,NC,2.0,U,Unum Group,4.0,413092.0
Waw10883,U,70.0,224693.0,531.0,,1-830-148-9088,,3.0,Salinas,United States of America,Quebec,,O,Fleetwood Enterprises,5.0,
Yjv10884,M,39.0,350254.0,811.0,MMSJLUUVIAIBFWZCDNVFWRBBSGMDPRETVMDCUMCPHJSLXDPXJSFWFMKAYNALQX,1-110-165-1188,,4.0,Concord,United States of America,AL,1.0,O,W.R. Grace,9.0,575786.0
Ahg10885,S,59.0,258746.0,846.0,Zjbxyihielqdblwdeimjwmrsqvfdxzbehkeatoeec,1-784-195-1927,,5.0,Salem,United States of America,NH,1.0,O,Foot Locker,0.0,2552837.0
Rsd10886,U,53.0,24839.0,543.0,Fwlucsltdrvitvunmulusixpylbqjblbhxnjixswhnvzfgivgsjhpicyoubbeqiemcxcpsmjnvzackm,,m,3.0,Lubbock,United States of America,WA,4.0,U,Textron,10.0,1478348.0
Coo10887,W,38.0,283482.0,708.0,Hcsqynbgjzwgeisafhvptcbrualmirsxeamjmiuotajdwhagxirj,1-390-959-7935,m,2.0,Huntsville,United States of America,British Columbia,0.0,O,Kroger,9.0,2812221.0
TAT10888,D,76.0,412788.0,736.0,Jtndeaakfzlroefesbopiqdcrkhtqazk,1-465-363-1576,,0.0,Atlanta,Canada,VA,0.0,O,,4.0,552625.0
Liz10889,W,8.0,18209.0,314.0,Ertrrupfingjlrgvznqieflkadpmqpgytrrbufikejsbbtskitmitrusyotokpfkdiwjjx,1-123-808-1516,,5.0,Cedar Rapids,United States of America,HI,4.0,O,DaVita,3.0,1217588.0
Son10890,U,35.0,156695.0,422.0,Oulmbramipkpdcjtzelzxmhznpqhwoesygbwkoonelmebyoskxoeslafvpgdpvnswx,1-369-111-0397,m,5.0,Independence,United States of America,Prince Edward Island,4.0,R,Broadcom,7.0,3426989.0
Coi10891,S,,497996.0,638.0,SLEUSKFIRMXLNNCPAYTWOYFNXUQSBWLXDCNXSHEIRPGOJBEUUUSCJI,1-652-781-7583,,2.0,Mobile,United States of America,OK,1.0,O,BB&T Corp.,5.0,553994.0
hfw10892,M,28.0,348858.0,740.0,Frgtkzzmmxfylifqavasdbzpvy,1-156-514-8299,,4.0,Torrance,United States of America,ME,3.0,R,BlackRock,10.0,1861088.0
Bgj10893,S,11.0,362732.0,769.0,Fcfjprszmvkyuyidicjrpfozxxojumeralisyohpjcc,1-554-737-2614,,4.0,Corpus Christi,United States of America,NH,2.0,R,Nasdaq OMX Group,7.0,1632708.0
Jef10894,M,80.0,291759.0,489.0,Xufektgzc,,,3.0,St. Paul,United States of America,TN,2.0,O,LifePoint Hospitals,4.0,242007.0
Pck10895,U,46.0,494615.0,664.0,Wigxqdqlofbxwjkwzhaffahkrqwjwuoghmelxbylguqxfurdztnxqe,1-292-180-2332,,1.0,Los Angeles,United States of America,AL,1.0,R,Andersons,5.0,2591328.0
HQJ10896,D,52.0,157794.0,534.0,uobjolhpzbnqybupcqpudsreylnimqvtcumibleujjrsnptkthkxwnhzkqkrcpnvuc,1-109-504-8456,F,2.0,Ontario,United States of America,FL,1.0,O,,9.0,2879085.0
Lcr10897,S,32.0,17017.0,800.0,Bohrqnkcspyjashwjwooieghfjozjmim,1-848-515-3209,,5.0,New York,Canada,Manitoba,2.0,R,Tractor Supply,8.0,2070875.0
euf10898,M,55.0,73499.0,622.0,Brbzhblyosz,1-746-280-7436,,,Evansville,United States of America,IL,1.0,R,Trinity Industries,3.0,2961512.0
Lwq10899,U,27.0,269621.0,779.0,tdwcndwzr,1-372-185-7674,m,2.0,Long Beach,United States of America,Alberta,1.0,R,URS,7.0,553731.0
vzp10900,M,29.0,66173.0,577.0,,1-447-973-6883,,4.0,Anchorage,United States of America,WY,4.0,O,Merrill Lynch,9.0,3805111.0
Unw10901,M,50.0,466342.0,618.0,UUVUZUZAZKKQZZQAMRMNUAZKNQMMDYYOHXYBKFMPDPWXEQWNAYTGTAJRNUBURFGLVRQ,1-711-512-6950,,3.0,San Jose,United States of America,NJ,0.0,U,Mercury General,10.0,1194478.0
Wzs10902,M,14.0,195879.0,699.0,Nwparlalxikgaqbrqpolabruuxcvbro,1-393-112-0293,,1.0,Sandy,United States of America,ME,1.0,U,Genworth Financial,10.0,702805.0
oyj10903,M,65.0,369560.0,642.0,Mgenfrolvtmseromvvlbw,1-995-397-2081,,0.0,Abilene,United States of America,TX,5.0,R,CMS Energy,9.0,89580.0
kuq10904,W,89.0,12936.0,808.0,cfmuwxurlsgjnmpmcwqgwosedeycvrauwrikzanhxuxqxyjnoqdqoblvlyosrwzkneaufnnjdwu,1-249-182-4524,,4.0,Columbus,United States of America,Ontario,4.0,O,Ecolab,4.0,3364856.0
Qiz10905,U,52.0,462950.0,379.0,dokmkuixymnjsrujtjzucuxthc,1-732-367-8014,f,2.0,Denver,United States of America,MO,4.0,O,Warnaco Group,5.0,1175581.0
FZN10906,M,58.0,405694.0,533.0,pcogmmtprs,1-212-364-0014,m,0.0,Montpelier,Canada,VA,4.0,U,Berkshire Hathaway,0.0,2461352.0
EWR10907,M,8.0,54271.0,558.0,Upngmlcneueswvnihbxyvotf,1-895-727-6050,,3.0,Bakersfield,United States of America,FL,5.0,O,Allstate,,3437713.0
Fgw10908,U,46.0,346404.0,555.0,Ztgqzcddmpuronnlazacpfeqjeogrjunpcgwveenqpguhm,1-245-123-3822,,1.0,Amarillo,United States of America,CA,0.0,O,Allstate,5.0,2036027.0
kzd10909,M,21.0,478931.0,470.0,NKQKXQIZXBDOVULOHNHGSNAUUONFHCZPHLJCEJPCAIGPZWJFHKLKWLJXKCNAOTAAW,1-601-692-2835,m,0.0,Hollywood,United States of America,TN,5.0,O,Vulcan Materials,5.0,2033653.0
Nve10910,D,9.0,210193.0,,Gjftdcperoworqifmnywhaoofarotfhvwmcxsecrrubfuovuahtwgcfeoricagzb,,,4.0,Mobile,United States of America,MI,,O,Interpublic Group,5.0,1255327.0
GHA10911,M,,481083.0,632.0,,1-514-526-5294,m,0.0,Madison,United States of America,OR,,O,DirecTV Group,8.0,2449252.0
Tev10912,S,60.0,339731.0,496.0,RJYTKOQIMFLREWFRMQDLTALYNVNGUBQDLWYDASNBDMDVTITWEEBLWEGMTZGUJWGDNWKXNCLBV,1-439-112-1157,,3.0,Evansville,United States of America,ND,1.0,O,NetApp,8.0,1340516.0
UZE10913,S,29.0,436764.0,392.0,Irviblmlepgmnhq,1-582-813-5255,,1.0,Hialeah,United States of America,ND,4.0,U,Crane,8.0,3461994.0
NCG10914,U,23.0,352360.0,517.0,BGESYFSVPSGUBGLPGSADVUT,1-548-978-1948,m,2.0,Dayton,United States of America,Ontario,1.0,O,Eagle Rock Energy Partners,8.0,2024540.0
bhq10915,S,94.0,158128.0,781.0,ASDKYVSLSSURLPBA,1-746-021-2699,,2.0,Toledo,United States of America,KS,0.0,O,Toro,1.0,1138992.0
PHJ10916,M,,420705.0,473.0,,1-415-186-6687,F,5.0,Stockton,United States of America,AL,3.0,O,Aventine Renewable Energy,4.0,714476.0
Nby10917,M,1.0,,833.0,hivydedderwdlvsthztrlolshjrkjhounjpxuustuukbtcrmviclbcmzimlulbncwrlfptbs,1-924-167-9389,m,1.0,Detroit,United States of America,Ontario,1.0,O,Calpine,0.0,2911061.0
OGB10918,M,24.0,129742.0,691.0,QBQLSQCYNHGJDDOGIFYCULIINVGPVPBHJQZFEZBNJSRESSYNVBAQGFSHIHYOIQKFWSXLFLJB,1-609-890-0204,,4.0,Arlington,United States of America,GA,2.0,O,ArvinMeritor,1.0,3969773.0
lxs10919,M,24.0,328525.0,605.0,vvnilmxdskheajvznnkyn,1-036-865-9969,,1.0,St. Petersburg,United States of America,MI,5.0,O,American Greetings,2.0,703094.0
acm10920,S,62.0,209184.0,606.0,Xiiuxyzagbkhq,1-051-526-1667,F,3.0,Iqaluit,United States of America,WI,5.0,O,Expedia,2.0,1949122.0
Wrm10921,U,0.0,345510.0,764.0,,1-768-813-5360,,5.0,Rancho Cucamonga,United States of America,FL,1.0,U,Cardinal Health,10.0,2703266.0
Jpi10922,S,39.0,186382.0,706.0,kslvlzglgopuixswthbbvdgufyudpiylawrvlxvwgcdahnshmsavkotdfddanvhuwk,1-649-666-1883,m,5.0,Casper,United States of America,PA,4.0,O,Nalco Holding,9.0,380664.0
Tro10923,M,41.0,360008.0,539.0,XYDVKBVKBOJNNKCOKWFEZTPSNLACMYSGYLKUHBQR,1-613-128-8542,,0.0,Rapid City,United States of America,IN,5.0,O,MSC Industrial Direct,1.0,2013608.0
xnn10924,U,96.0,437145.0,705.0,Aidpwxwimprqkiakditjvwhlgysgiisglsrlclfmqmsoyn,1-274-072-3038,,1.0,Alexandria,United States of America,WA,0.0,O,Toro,1.0,684957.0
Slk10925,M,53.0,156350.0,506.0,CNWZKFSBWJZMSHHLISMDFDVFRPDKKSW,,,5.0,Hull,United States of America,Newfoundland,2.0,O,Energizer Holdings,1.0,1880630.0
Mna10926,M,33.0,290929.0,722.0,WTFHKDJVUWXTVJWOPPFDOMLQ,1-790-225-4437,f,2.0,Sacramento,United States of America,NJ,4.0,O,Nasdaq OMX Group,10.0,2644379.0
Ceu10927,M,22.0,81542.0,652.0,Iwqrtepoxnq,1-263-408-2993,,3.0,Berkeley,Canada,CO,4.0,R,Psychiatric Solutions,6.0,2974979.0
Lib10928,S,46.0,370202.0,511.0,Wzctjjcdvfcxsdquibugbaazjwnqqwtcspbuqwliusgjwndoivdvcidudno,1-890-985-6572,,4.0,Raleigh,United States of America,WI,3.0,U,Torchmark,4.0,1290150.0
bbo10929,U,31.0,268225.0,399.0,QSYFZKHHMWWCNNRHLHDESEEOLCQHTUNTCYLHYXVSDZVDTLDLPOAZVRHYWNCYQKA,1-265-909-5632,,,Bellevue,Canada,AR,4.0,O,,6.0,376021.0
Ncp10930,S,70.0,215225.0,568.0,Uhqzkvfihncqgtgildgfhazosjmuyptmvfkcpezylur,1-375-393-7011,m,1.0,Ontario,United States of America,PA,3.0,R,LandAmerica Financial Group,10.0,492595.0
Uwx10931,,24.0,90783.0,561.0,Uaoosbvjczlvjrirfpyyohxfcbcmvdtqwpaheejwufditdmmtf,1-568-261-8929,,2.0,Evansville,United States of America,DC,3.0,O,Pactiv,4.0,3146306.0
OLB10932,S,3.0,305315.0,438.0,,1-986-959-3653,,,Baltimore,Canada,MO,1.0,,Mylan,8.0,1641342.0
xvj10933,M,40.0,136236.0,316.0,UPTVRUTYFZJBKCIULRMGHGQLYEVUOLUGWZOXHBUVHVSGBQOBCTHNFC,1-181-080-3564,f,3.0,West Valley,United States of America,WA,,R,R.R. Donnelley & Sons,1.0,3078194.0
STD10934,S,89.0,120953.0,309.0,iecjjzefpxglkogxuoejzfarrxhbsxpdadkgb,1-473-108-7514,f,5.0,Chicago,United States of America,AR,4.0,O,,,1146111.0
okg10935,S,10.0,233464.0,822.0,Xtytfbhgbfdolrkigjagjdfvowfpcffnlinpdi,1-423-981-4854,,0.0,Reno,United States of America,SC,2.0,U,Arch Coal,6.0,872488.0
kxq10936,U,77.0,,799.0,YDNMPJPGAXSAEXGRIQLQEPJRTCXOLYNKPJTXHKUIVKKOXDMRYTMLEPQETLJVSVRLLBTCDGEAVDAHJZ,1-926-129-3933,,1.0,Sterling Heights,United States of America,GA,1.0,U,Advanced Micro Devices,2.0,3099758.0
mgu10937,S,38.0,,558.0,ecmifmteidqpmzwrpzsovehomjpnv,1-161-889-5810,,4.0,Erie,United States of America,NH,3.0,U,Aon,3.0,1753441.0
RUR10938,M,,343496.0,805.0,,1-227-978-3308,,4.0,Hilo,United States of America,VA,5.0,O,WellCare Health Plans,,
Ffs10939,M,78.0,481035.0,745.0,ILGXZTBKVKMEDNVQCOMBVCFMZVRDWNDVGVKKZRQKTQMFLSCEOJJJMKUJILWTHSGKSWVPLWCIRIWIZJD,1-102-418-3672,,1.0,Wichita,United States of America,KY,4.0,O,Collective Brands,2.0,
Ukf10940,M,21.0,312758.0,381.0,xwfuxevgrheytyeblhagv,1-137-385-3341,,5.0,Gary,Canada,Saskatchewan,4.0,,Perrigo,7.0,3875663.0
sek10941,D,55.0,227393.0,626.0,Fiilpxpgrsvuciorqkhrcbuxjjmuwjoktotgqhunjjtanjloeqsifeuyfbjkd,1-540-667-6724,m,4.0,Salinas,United States of America,ND,1.0,O,Arkansas Best,2.0,3358247.0
Tna10942,S,85.0,437835.0,744.0,fizkawyqvaphmljiviipdiwimszlcpmhud,1-628-927-8038,,4.0,Washington,United States of America,ID,1.0,O,Lam Research,7.0,3661308.0
UZJ10943,M,94.0,322724.0,792.0,,1-139-345-7937,,2.0,Montgomery,United States of America,AZ,1.0,O,Sherwin-Williams,4.0,3371434.0
bpb10944,D,35.0,452361.0,741.0,GVIKCUQQGKAPSJTYCQIQWCJRLJDLRZ,1-498-150-8278,,0.0,Gary,United States of America,VT,2.0,O,Bed Bath & Beyond,2.0,3031663.0
Ljr10945,S,42.0,499003.0,582.0,snxdxzinxnkeuyqhlokxgnvhnidqtouuctoxcotbgrozzsvuflvqesgsjywa,1-058-612-8436,M,5.0,Vancouver,United States of America,PA,2.0,R,Health Management Associates,0.0,87159.0
Rzp10946,W,71.0,455818.0,663.0,RRUQOZTDQIEQNPDJBMRTCKJAOFDKIEAVYFK,1-265-513-2591,M,2.0,Berkeley,United States of America,CT,2.0,R,Huntsman,1.0,
Lrv10947,M,79.0,454772.0,840.0,qyuhrzumlavwthmgsvirmdgbxbbfq,1-485-595-0368,f,3.0,St. Johns,United States of America,MT,3.0,U,IAC/InterActiveCorp,10.0,126126.0
Wxg10948,D,42.0,273676.0,795.0,JZFCYOQUZIBFEXLLJKBQNQBYBMXMF,1-524-653-9485,,0.0,Huntington,United States of America,MI,2.0,O,Praxair,4.0,2449252.0
Alb10949,W,20.0,321116.0,437.0,IPYBDXXICQJNJBJXHWECRMDJMHHCDWDPGUTCRWLS,1-297-664-2075,f,2.0,Pembroke Pines,United States of America,New Brunswick,0.0,O,Patterson,8.0,1273654.0
UDW10950,M,20.0,320777.0,638.0,TIBEVSQXNDYCAQEA,1-721-975-2824,,3.0,Fairbanks,United States of America,Nova Scotia,5.0,R,Sanmina-SCI,10.0,440078.0
UAS10951,W,8.0,424772.0,814.0,fmowaumuskegfcdixkoziy,1-057-891-5436,m,4.0,Iqaluit,United States of America,SD,0.0,O,Hospira,9.0,1935817.0
uus10952,S,18.0,45651.0,685.0,UVXJCTVHNWRVCUMTLNPYWBNI,1-493-711-9216,M,5.0,Shreveport,United States of America,PA,2.0,O,AMC Entertainment,10.0,
Htq10953,S,47.0,224022.0,715.0,dnwedmwuyhurlp,1-379-648-5404,f,3.0,Springfield,,NY,1.0,U,Pride International,0.0,3355149.0
ZEI10954,U,72.0,123128.0,549.0,aljmgpxuopvxyfohbhoufyybqc,1-850-158-6289,,3.0,Cheyenne,United States of America,TN,3.0,O,McDonald's,0.0,3975497.0
TVP10955,M,15.0,122108.0,315.0,WSUWDXRDVJIFZSUZSYCRUMQTRQZMNAYJOVILFUPEOUUHO,1-810-599-3009,m,4.0,Knoxville,United States of America,KY,1.0,O,Wendy's/Arby's Group,0.0,108127.0
Lne10956,M,1.0,356575.0,693.0,Chrvlwmph,1-180-437-6306,,5.0,Coral Springs,United States of America,MA,0.0,O,Ferrellgas Partners,7.0,1777116.0
xds10957,M,92.0,368395.0,797.0,Alfht,1-661-668-5661,,0.0,St. Petersburg,United States of America,AZ,1.0,O,Office Depot,6.0,2189644.0
DWW10958,M,18.0,55621.0,313.0,sksjphecwjlypsellgqvrsicvrsknlqlvwsygqhpqjbgw,1-733-242-1972,F,4.0,Chicago,United States of America,ND,1.0,O,Freddie Mac,7.0,3043042.0
YBM10959,S,33.0,14921.0,815.0,Xwgwaytwotgmcudfwdsguxvioxcorovbzpbsxboobaecslugit,1-520-323-2184,,3.0,Grand Prairie,United States of America,IA,2.0,O,CACI International,0.0,1661619.0
xiu10960,M,18.0,69690.0,434.0,xllhjohpiixwrmjqiv,1-341-921-9360,o,4.0,Fargo,United States of America,NH,2.0,O,Fastenal,8.0,
vyz10961,S,58.0,445437.0,763.0,pertocbxhjcgahfcctjnszppopwzxfwihzdbpajppeyoltvpoaqxmewkdwuw,1-572-993-5025,m,3.0,Memphis,United States of America,OK,4.0,R,Mueller Industries,7.0,981900.0
ufo10962,U,71.0,143157.0,732.0,Acolkdkmvgnvoqlzmgxzzrlczcebeftwavoeqjqvvoddbwduzidfutxqdmptyixhkwqiawjiwfxkhk,1-498-268-3006,M,0.0,Saskatoon,United States of America,Manitoba,4.0,O,Shaw Group,7.0,3746110.0
hdf10963,M,84.0,81469.0,692.0,Ogdygkr,1-132-379-7031,,5.0,Mesa,Canada,TN,4.0,O,MeadWestvaco,4.0,2187192.0
Qqd10964,M,98.0,285117.0,708.0,mqdocptxi,1-400-066-6527,,5.0,Baton Rouge,United States of America,OR,0.0,,Yum Brands,7.0,451143.0
SLY10965,D,80.0,354851.0,308.0,nimvbdrcorrybzfianxkpcpejrrzza,1-695-527-9593,,4.0,Durham,United States of America,OR,2.0,O,Estee Lauder,,3341645.0
BMU10966,S,46.0,91762.0,386.0,YUTFRPMAHBKLPYEBYZUEZCRHVTBPAUMNRXGHKYWFTULDZ,1-029-847-4964,F,4.0,Toledo,United States of America,DE,5.0,O,WGL Holdings,8.0,822216.0
DWB10967,U,97.0,69985.0,597.0,tpnrqqqxvexhlxgqxbknltzyy,1-314-776-9465,M,1.0,Chesapeake,United States of America,WA,0.0,O,Fidelity National Information,2.0,2144374.0
Rgl10968,,4.0,380475.0,609.0,uxrxkxzkivjidgurgzwrsfuybnrhqtwfaskjpvakoqiy,1-899-913-4500,,0.0,Rapid City,United States of America,GA,0.0,U,DuPont,9.0,1685501.0
Tiz10969,D,23.0,,538.0,Lwojcgqdblhigbrjocfoxswlvggxuidhcfeiukotogezeuemv,1-928-688-6118,,2.0,Torrance,,Prince Edward Island,4.0,O,AT&T,3.0,3590095.0
qpb10970,M,64.0,127084.0,561.0,WSDXPSMOJYTFLGZXPENOHNILSKGLHVOSIQJQFJSQH,1-534-082-6100,,1.0,Yonkers,United States of America,OK,2.0,R,USG,5.0,2175688.0
Dbt10971,M,51.0,198184.0,484.0,kjmfwlomxnzwiiqxmrgxtuttwpeggwrclghnjaircf,1-831-110-5276,m,2.0,Wichita,United States of America,VA,0.0,O,Tech Data,7.0,435784.0
Oib10972,U,,153197.0,382.0,VKJWBDFMBTXEITLTTMKUJ,1-738-411-0914,,4.0,Omaha,Canada,TN,0.0,R,Sauer-Danfoss,3.0,1444106.0
Qnr10973,D,57.0,379055.0,639.0,Zisuksrrrdskdjkpgti,1-939-120-5236,,1.0,Huntington,Canada,CO,2.0,O,Apache,4.0,1586585.0
PXN10974,W,80.0,356373.0,425.0,BXQIFNCSWFYDNKOSGR,1-118-602-4025,,5.0,Lafayette,United States of America,MI,5.0,O,Goodyear Tire & Rubber,6.0,3786115.0
Ncp10975,U,56.0,353279.0,806.0,IQOROSXCMDTCITFBVSGPTBJVJNCIMFTRTDQMQSUL,1-792-060-7592,m,0.0,St. Petersburg,Canada,CO,2.0,O,Boeing,7.0,376409.0
YSD10976,M,43.0,140640.0,522.0,Tbhseysbvgzrulsxqwkkwjadmgrdslankrqokha,1-779-356-0532,,4.0,Charlotte,Canada,WI,4.0,O,Landstar System,10.0,716158.0
rgn10977,M,40.0,116679.0,696.0,umdiud,1-680-902-7386,,4.0,Oshawa,United States of America,Manitoba,2.0,R,,1.0,2054123.0
Gkm10978,M,28.0,198557.0,655.0,Rpiwqxnesrtrvxwyyryqtvjrdqst,1-309-464-0684,,3.0,Orlando,United States of America,AK,1.0,O,Pinnacle West Capital,7.0,1157950.0
USK10979,U,21.0,11010.0,399.0,Iygbnsvmbnhvkoqacvottxobfqqtdrhecbigrksihfgkpkquamqacqxuomzmrzflnswxgwqljmoozo,1-569-946-8438,,5.0,Providence,Canada,AZ,5.0,,Ameriprise Financial,4.0,1011786.0
oqu10980,U,94.0,431728.0,843.0,KCKMHCFIDXO,1-249-547-0160,f,0.0,Yellow Knife,United States of America,VT,1.0,,Group 1 Automotive,6.0,2709910.0
Qyw10981,U,42.0,410038.0,426.0,Yiufcthacangllgvezpxktqwrugqyb,1-043-870-1065,m,1.0,Macon,United States of America,Alberta,0.0,O,R.H. Donnelley,2.0,392239.0
Nkg10982,M,100.0,201173.0,583.0,kwnlyqsgibbmxyxzsqbzicgbrugvzwvweebugivmd,1-867-630-8354,,0.0,Lafayette,United States of America,DC,0.0,O,Berkshire Hathaway,7.0,3168652.0
FEB10983,U,74.0,124419.0,511.0,,1-191-825-2255,,1.0,Dayton,United States of America,AK,3.0,,Time Warner,1.0,186615.0
Iuq10984,W,35.0,132903.0,613.0,jlpeunmmrivlbyookbrlfjefadqeqjjbdjmanzbqgkkgsqyzcjwu,1-282-151-3272,F,2.0,Minneapolis,United States of America,IA,3.0,U,Eaton,6.0,552362.0
Qnc10985,W,5.0,140659.0,646.0,Xrcqitjaluheqheybbzsymggqxinfvhfxeuhfpinvtydxal,1-066-477-5944,,4.0,Denver,United States of America,Ontario,4.0,O,Forest Laboratories,1.0,3270324.0
ESG10986,S,50.0,,488.0,LHWVDDUGJGVHNBVVWDKJW,1-282-512-4315,f,,Dallas,Canada,SC,5.0,O,Watson Pharmaceuticals,10.0,3685597.0
Yjs10987,W,56.0,56183.0,699.0,Ubskzjndmewryzckgkrjxvucfhdnyagztbxwgwdijjivjtbycgpmfdwvtrsdaemlmqo,1-886-395-3491,f,2.0,Lubbock,United States of America,Newfoundland,1.0,R,Duane Reade Holdings,4.0,207116.0
Umt10988,M,5.0,,324.0,Nvnrrcemacjlsxihqvxuut,1-278-431-6057,,5.0,Casper,United States of America,NV,5.0,O,A.O. Smith,0.0,3499346.0
PYW10989,W,30.0,348650.0,512.0,Jqsefxjucpdhktaxxlvpddokzlhpsidimthpd,1-412-924-8688,,3.0,Providence,United States of America,NH,3.0,O,ITT,4.0,748619.0
PIS10990,M,33.0,287672.0,716.0,sdojpufzogmbxlrmjyozmbuegolvzmdyxfnabtpmnjsxblmvfxrcgljidgbvrvnkmdi,1-345-968-0834,,3.0,Pembroke Pines,United States of America,Ontario,1.0,O,Hartford Financial Services,5.0,3059847.0
ghl10991,S,61.0,36078.0,333.0,Kwlaavxlvnocxhvbqsdngppxtnlatzvrokhiumqap,1-424-096-1252,,5.0,Garland,United States of America,LA,5.0,O,Eagle Rock Energy Partners,9.0,1649676.0
OJC10992,M,25.0,422110.0,407.0,Wqhthynpjpbdyngthzcbhkwtktinbfcblctwm,1-730-997-1829,,4.0,Mesquite,United States of America,NE,4.0,R,Worthington Industries,6.0,3705423.0
Ind10993,S,22.0,111797.0,661.0,TVMBDBQP,1-053-888-3018,f,2.0,Nashville,Canada,ID,5.0,O,PG&E Corp.,10.0,2376501.0
INO10994,M,33.0,268988.0,620.0,ipofizkrojuhuxikswemcpqdz,1-223-074-7524,,5.0,Oxnard,United States of America,Prince Edward Island,5.0,O,Nvidia,2.0,2632165.0
OJB10995,M,82.0,,382.0,Ptuwfpifmmctyedehrcfiecvgtqiekzrfqujokgspxjeamvlnc,1-971-942-2630,,,Windsor,United States of America,VA,2.0,O,,2.0,934450.0
