prospect_State,prospect_AddressLine2,prospect_MiddleInitial,prospect_LastName,prospect_AddressLine1,prospect_AgencyID,prospect_NumberChildren,prospect_FirstName,prospect_NumberCars,prospect_CreditRating,prospect_OwnOrRentFlag,prospect_PostalCode,prospect_Income,prospect_City,prospect_Country,prospect_NumberCreditCards,prospect_Gender,prospect_Age,prospect_Phone,prospect_NetWorth,prospect_Employer,prospect_MaritalStatus
WY,Otqtpwcstaxwnkudozhxjzxxfiaoznjmohqosefjxbh,L,ZVVVPIVOPUTOJBDKGSDIOCMJ,Davgiccmtloxjcvyyauxtkkf,ZVV8598,3.0,vojochrppjgpci,1.0,305.0,O,Isokpygsb,330406.0,Denver,United States of America,8.0,,49.0,1-827-201-3872,3381734.0,Applied Biosystems,M
MS,Jtdfflvjmcjqviqzexpznbuvwlpngznolylisuuncvpipbmwbjbwfazdbflprqrpkoc,,xkttrimceayalpfahe,EFNBOIJXSVT,xkt8599,5.0,Aysdiadujjbhmtspcj,4.0,315.0,O,Exabxmsvqyev,195219.0,Evansville,Canada,8.0,,17.0,1-869-489-2003,,E*Trade Financial,S
PA,Clzpblfeiwtmzobfudixfodrblnhdnfsqwjvzcbhutnswqvoxe,t,Gpdzxeut,Sgqzyhtcmbvbajnmxtzfvdsedgpmcxrncqfnfictqibnhcaipbxpbittlknnevs,Gpd8600,2.0,AGWPZBVCTHDNCO,3.0,419.0,O,QUCJGDUFUBT,344329.0,Winston-Salem,United States of America,3.0,M,0.0,1-833-360-5068,,MPS Group,D
WI,Hctobzhvwsnpnjuvtyuvcexufxadgbzpyhaxzbjmehcpmtxhsxookcy,V,Cacxwojfxzbjgmwdmixdxl,ACPZCKZTNHBHPYADSQATCHISFJTIUJNPGCXXCKORFSMPHHCPOLMQFMZBDHQRSPMAUKEVFWQMJXTB,Cac8601,1.0,Bjwfmgrmhesukbtnjvzg,4.0,686.0,O,XNUHLUMPS,251678.0,Tulsa,United States of America,1.0,,37.0,1-843-633-3031,369324.0,,S
HI,Xwzikf,w,Hjvvwfxfmwafrpjejqeizfonysp,Lcifdtivbvvnitmnxrwrljejkmdvtkspctrtxtrqtwpfkjaapzsuzxoovibdvxyumykshovipmsvvps,Hjv8602,2.0,EXHTXIHOXDSWMAIRMQRL,4.0,533.0,O,nlyrncib,228925.0,Lancaster,United States of America,0.0,M,53.0,1-497-428-5242,3595684.0,Northeast Utilities,M
British Columbia,Fatljegfadjdwsbufjhhlxaezurvtnccvwubpiutmel,s,BGTJKKBHWYOTPREYMR,urpbnqdssqvafmi,BGT8603,5.0,PRUVTOKHCYHVEDZPCUHAQLBVOAXJ,3.0,471.0,O,KOQSBJUS,490808.0,Cincinnati,,2.0,m,58.0,1-293-846-5212,2887362.0,New Jersey Resources,S
CT,Jtobeiguqzjnanvtqhouwtvemjaulppktw,,bmyunlqjwudbxdskdksujqjtgruvd,wgaasrbezotgwhubbenoyo,bmy8604,1.0,UIKLNMG,0.0,830.0,O,Mqokpefrcii,462770.0,Calgary,United States of America,6.0,,93.0,1-842-210-6496,2712723.0,Family Insurance Group,U
NY,NMVYQBTIKGONRW,U,Fgijn,Hydwalpivtcjhcamdqs,Fgi8605,3.0,Febpgpvzm,1.0,316.0,O,DRJJKVDFTVT,16016.0,Lansing,United States of America,6.0,,90.0,1-846-075-8286,481938.0,Sprint Nextel,M
PA,Xbrszkwtzecxuirdarqjiqihrtw,,Gdmowrhyvkbskvkn,Mizkwmlkvigngsghyvqsyqojghrfigzaeglyfovejxzaazbjmbtc,Gdm8606,4.0,bxqojnjrqquulwbbge,0.0,721.0,O,Zvpsibht,295940.0,Yellow Knife,United States of America,9.0,m,25.0,1-602-995-8831,51727.0,,M
OH,QQSSNIHATDUERFZGROCXIPPYPPTMKBDOMROPAVMCHDYHKVN,O,Lccufnqjxmw,ITYPAC,Lcc8607,2.0,Tmunfhoaoofewvqthbeluameygvg,4.0,805.0,U,lpnovywojj,483119.0,Providence,Canada,5.0,m,75.0,1-812-512-5994,905678.0,Pantry,W
ND,TIRXBRETQGLUGQRPWHHNCVYNYPIGOAIQK,,Tzvkkruzfgjblombcpebvv,BEJOJNWCFUTZYAKLIFFOZJVQXZFGDUCRZWDLEYBCLZFDMRUUPEUGUCRLKTLIBUMK,Tzv8608,4.0,YURJPNNYJKKXARFABOFPLMPMXUMQO,0.0,468.0,,Zvigi,34284.0,San Diego,Canada,0.0,,29.0,1-321-001-2660,3099198.0,Apollo Group,U
NV,TTGIGQDTZIMRQBVCVGQCBPYEWIOSTZSZOLRVEKPWCFAZJNRKEZOZZLKWLCGMLOLCEGLWBUBDIBTXT,r,Qrwsphwewuwropvndpmugedur,Icjxksfaxllfkkjywgnicgnivtrjlxelpmtzativiullyfcb,Qrw8609,3.0,Erwsjzh,3.0,696.0,,nlyshkkmvqan,168208.0,Lubbock,Canada,5.0,,34.0,1-826-770-1095,1286722.0,,U
NJ,OXXXBCFBEJSUYGTRRX,,LIPUJAUTABMVVEPLTJK,UNVXRRIOWLADQCIQNXFLOLORVVXBJOP,LIP8610,0.0,vdjsbraetfue,3.0,631.0,O,Zqwqu,267730.0,Chandler,Canada,0.0,m,6.0,1-873-041-5255,1751169.0,Target,S
NJ,RMGGCIAXSWQCHRDBHWMSOYXKBZAPQJAIFXSLKMYHSJJRSUKRLGHQZOFP,,Pprmnidvapkkxemakghiaqhiis,Rshxlsbclfmuusiinzfulweywzatowssuvmuvclktuginvpqtetkwssfmgodr,Ppr8611,,WPBQLMKJVZNQ,3.0,463.0,O,csykxrqa,24383.0,Lakewood,Canada,5.0,m,7.0,1-068-155-5393,372631.0,Thor Industries,S
HI,Pkzajzniqkanhvhkvxakoccjabvdaslbxaltbylimlnmffvmxpneqbdiidsz,,uniiuotqnvhdotdtsju,Wxscwqtdvuxrq,uni8612,1.0,rqeaevsxvbvlh,5.0,740.0,O,YJOLLWVXGI,286678.0,Providence,United States of America,3.0,F,9.0,1-882-260-7195,1710525.0,Terex,W
WI,Btshfaulkyaexkstnvvmrzjjvjhvfhpzzxsxdfhfmonezknmyex,,Cppsw,Rlzjumbbiaqaqhywjfbgezttenembwlxrtswbu,Cpp8613,2.0,HBDTKOGUVKWQORUFWTGLSMXJ,3.0,627.0,O,Vdfdvc,380955.0,Hilo,United States of America,5.0,m,67.0,1-098-530-1114,380664.0,Synnex,M
VT,Dcjpgubxlsxjknxpuottgnkwedsoplom,N,EKGTHAMSHMBKSCCUTXNXOFYKJJ,Wsbogeykooahtpznky,EKG8614,1.0,Iqyzqfkcdzuakd,1.0,667.0,O,pggxjzgf,,Wilmington,Canada,6.0,f,1.0,1-607-564-3039,3917347.0,Arch Coal,S
Alberta,Hpsvqiqqbweqydzevqzuuqnjttdoducwlmnkudwuw,,Lykxhuckcaodzdtyvoiuwgomq,,Lyk8615,4.0,FOFGUIEZUKUSXQWMHHDXWETXHD,3.0,467.0,R,kwttu,428257.0,Thousand Oaks,,,m,0.0,1-723-344-1106,13701.0,AnnTaylor Stores,M
NY,eqohsfyltlwnbknnqdhjcfhtvqnlqnbio,,Ecfsletrgasqlszejvkyuzusunm,Wpzbj,Ecf8616,2.0,Nmukkluewwnfuwvcfysnemrkl,2.0,510.0,O,rcjjmxviwjnu,15535.0,Overland Park,United States of America,1.0,m,28.0,1-802-452-3334,,ENSCO International,M
MN,Lhuiylhjpovtnsfpchqoizsnteligcxkgfyeznvoncfegtbxubtdohlujtraml,,Iegvfutevnksoqfbkzbovht,Gahgnwfibmubqpj,Ieg8617,2.0,srsjsrpwqrgu,1.0,807.0,O,Uymvw,239390.0,Mobile,Canada,5.0,,41.0,1-202-386-1911,1116236.0,Children's Place Retail Stores,M
Quebec,Iujmmqynhlckfgwsyth,,Ohhlykmlzcjwtwdkhpiqgqh,awlohfhezcznrogwgrpxlarxrz,Ohh8618,5.0,EQGTMHAFDQT,3.0,482.0,O,Mimyduak,315629.0,Bismarck,United States of America,5.0,A,30.0,1-542-478-4325,466597.0,McClatchy,S
IL,RDYGGOHBEKPLBJCBUYJIEGPKUFIOYPLOREJAEBRCHZJTSGYEJXMNLNEFGUGNFIKTWMUVT,o,Jahlnex,Acafshpir,Jah8619,0.0,gmjvplagsorsmamjkfcmponmfij,4.0,548.0,O,,120199.0,Honolulu,Canada,1.0,,21.0,,3972709.0,Tractor Supply,S
MA,Cltdoxtnhjzqyrzzxhbvxxeuolvcicduioawjcklbmegxxdftcqcevhbqbuwyjwzjlfb,B,MGKFOME,Avrahqflzygq,MGK8620,2.0,Cvskfokpiljuetxm,1.0,742.0,O,Odfddkbkyorm,352122.0,El Monte,United States of America,4.0,f,59.0,1-699-573-8968,2526150.0,Flowserve,M
WY,Eggqhecoij,,oddoxlebhzrxfoibcbxzixje,Jssapovuedhtpnsdtgwxuhlyletwxsbvbljiam,odd8621,4.0,eplhoixxgrncvoasrjfosni,2.0,364.0,O,ZJVNHQTJ,327738.0,Fresno,United States of America,10.0,m,77.0,1-938-954-7452,,Automatic Data Processing,S
OR,Qlsimfwnevhhvzepvkcgzqyskebrpiawjdupwzvfexkdlcddrirgz,B,Rrdaqshvworazbvgewze,rxyvhzldmoqsavhdhtnejohewrilveucgly,Rrd8622,0.0,Jhxhlznwpkk,2.0,766.0,O,nhvvsxav,437384.0,Waco,United States of America,,M,7.0,1-536-647-4535,685534.0,Spartan Stores,W
British Columbia,Jqsjfbythtbmsqxukrkcejvynenwmtqtqvcevdscz,,rukmywd,Mmefekuxwgz,ruk8623,5.0,Gqqavrhciwylkrfd,4.0,633.0,R,BGGDUURLY,438148.0,Springfield,United States of America,6.0,M,33.0,1-178-860-8809,2177616.0,Fastenal,W
MA,Jkozsibcokziaxkplebdcgdthvpehuprncxqsadkkdaxymigjobv,,lvtwurbkqakpuvhytvtwnu,Wyhibjrpcltifptpkkzqgjd,lvt8624,2.0,Dlxcywveurghvutdvcyja,2.0,414.0,O,Bixbcsdh,238095.0,Mesquite,United States of America,,f,5.0,1-663-114-8399,1581228.0,Cardinal Health,S
AL,Nqgoqwjocdyslglaxjxnjapxivftelgtlyjwokxym,J,Udaqjfk,PJFCAIEJIEZNBJMVWGFOCEQDKPHTXONM,Uda8625,0.0,GVGXBDRXBYC,1.0,793.0,U,RLCCJRJFGGP,358004.0,Concord,United States of America,2.0,,59.0,1-851-113-9435,1598833.0,Chevron,W
NH,HDZZELHNJCQUEAARCJTNWUIHEDFTTMLXQEFJRVUZXEDRBCZIGNYMTGHDKQRULKFBOSESCD,,Crmqrtrl,TJGRKKJSCOYBNHHTRWZYIAXHJFFNFAMJBPRAUPILQCVUTCOUGQQQYKS,Crm8626,5.0,IOCVJK,3.0,805.0,R,wemgobxlih,182608.0,Moncton,Canada,,,44.0,1-312-728-8737,3676593.0,,U
Manitoba,,V,Grmoxixflhkjmnywtdireci,Kjtazyopovzymocebnvusvvwxbocahyrubufjwshbrvrjgqyqrunbqkdghqbeioatwpp,Grm8627,4.0,MUXXNOIBJQPFRNOGDTHPKLFJJSURDW,5.0,422.0,,TYWAZMLUVU,466060.0,Chattanooga,United States of America,4.0,f,79.0,1-626-454-0801,3009737.0,,M
NY,Uxgerevuirzhmkcehearrdufpbohtllwdtashhmqztcojoepikxnlbtgnwwlg,V,Ovovvswsdhutbkmoipdrs,Hrfegexhqdhvdbxgaxnchtijrzstlqsinezsvpllaidgqawfnkzzuwjceo,Ovo8628,,anvtphkojssesueru,5.0,752.0,O,Bsoff,3903.0,Dallas,United States of America,6.0,M,68.0,1-905-482-0584,2080213.0,Sherwin-Williams,S
TX,ncjnvbcrzullobhcgvqtjvvlyzxtvqyjbycgzaxyigyqquuzthbttmrsodpevxvnwgpgumf,B,Jdcnhnywdqtysnhgaw,mddjuhauphnzayfgftiabojxgmxqerntydqnrczjmclkbkqkwsvktd,Jdc8629,2.0,Bhltrlfmfpjiqelsqky,3.0,687.0,O,zwilc,100908.0,Sterling Heights,United States of America,1.0,,12.0,,933963.0,Vulcan Materials,M
IA,MSGNUJGWGGGUYNBUHFXPVWDZKXLODMBOQLLXUJVYSPBEDEIYIFPDBUIRZTREJ,g,tiswihktbwst,spjunnofqawzevzdlhxuoitnsajsbhifjyeusrjbmgztldjg,tis8630,5.0,ugsriyrrqjzuuqweoxyrra,2.0,792.0,O,Dwjttpomuq,311283.0,Houston,Canada,1.0,m,,1-838-911-6678,1880755.0,Children's Place Retail Stores,M
NE,QJQXOJPYINDHJVBDOIUNKSXSXPIYIKDWCVXH,,Lujyoujmuqmilcxltw,Ivcvqheclnqqwbbqwcukcbicfxqhisutfmqsznr,Luj8631,0.0,fouipudkp,3.0,380.0,R,lvinlf,230973.0,Oshawa,United States of America,0.0,M,62.0,1-588-517-2606,2051176.0,Bed Bath & Beyond,M
WA,kaeakngwdwnikajrnnjwte,,Ylizjatmvkdzazarjcikxmr,Jxtfsufzdawfgmtigtwidomhdxrqdoyrjqjvhufsvzwfzmchaeieo,Yli8632,4.0,Quowh,4.0,323.0,O,Fzxzmnjyd,244848.0,West Valley,Canada,2.0,,61.0,1-810-255-5287,1860178.0,United Refining,M
OR,Ebdrfoubadbwjlcrcvzwqxnstyzvuyevalcukkwdrftddtjsaonakwvilxddaktoukgdv,,Tmhwzizqroepjvrnevhao,BJOWYOKACYOFHVWELYXCZIIFOGGFCKYMRMBQYKHCCSBWHSAMCT,Tmh8633,3.0,Oxhauajvoskwmtpfttrpkgapfxz,5.0,750.0,O,hxhjcwvm,161668.0,Newport News,United States of America,10.0,,50.0,,319676.0,C.R. Bard,M
NY,Bmyxekacuvavkkggofaagmukojrdkfdufagzlfhl,T,Wioryact,,Wio8634,4.0,skgdnlnawxbwa,0.0,302.0,O,Gxlwnss,292038.0,Coral Springs,United States of America,7.0,F,,1-150-645-7298,1539682.0,MPS Group,U
DC,BUUVANFOQOWKAUWLXIQZHAWFBAWANXQTKKKISJJSEZLGZOWB,,Xdtakmjgypwsehimevgq,foezceqfowrcwtycdcnqnendgsghlbsaxtbeyz,Xdt8635,4.0,bvtwscbqhbhhwipuqbsa,2.0,716.0,,xvuhsfduuqt,303312.0,Yonkers,Canada,9.0,,,1-005-312-2157,3874159.0,Staples,M
OR,Ptowqwdhszecjilfqymnsdsoyvtxbumo,,Jrawwlguyybswsujezbmcdyatvhcxr,Yfwdnyseyhaeqtebuwkruqlabldiimoisvlqmjbukjxmljhyyygqmuon,Jra8636,4.0,UEEBFVYMRFGMAM,3.0,809.0,O,uftidcxp,446840.0,Raleigh,United States of America,1.0,,67.0,1-043-276-7064,1299762.0,Constellation Brands,S
New Brunswick,Yunkggtlhvbhsgyxowbaycidqrcibxmtjcyfeovgqjqgovcuznhxxtoomfgnxyxabdrnrrco,O,napdwhzcmtkbguhlhecltrmzecnv,poveokgzvngneedqqpyaartvzhcposts,nap8637,3.0,Buytxvcjkqwaobpuwtntosfzvrv,2.0,353.0,O,Vkxdrwan,331467.0,Brownsville,,1.0,,56.0,1-994-474-0701,3656160.0,Century Aluminum,S
GA,Wfxbbsetdlhwxbctou,,WLSZPYJMKLTYE,HKGWEBNCTZSVILXCJLUXVJWRQBLQMPKSKAERMPIENEHYFKGCJDXEEDYFSWLZYFJURU,WLS8638,4.0,Jfcagpzpdcr,5.0,715.0,O,OFCXQOKFBW,323172.0,Riverside,United States of America,9.0,,29.0,1-191-153-6993,2713421.0,United Natural Foods,M
NH,msyscasfsxao,r,AZAKACIBIFFOWW,Nebqnnpocxbztqlfs,AZA8639,1.0,pwxzwnehwedgeajijzjvlewvub,0.0,749.0,,UARJLVRYN,279223.0,Hilo,United States of America,2.0,M,80.0,1-654-579-3493,652312.0,Leap Wireless International,S
SC,ywlsrxihfdmexurptkfhwm,Y,RSSPVQHIUSFXXJBYMQJZ,hgktovnalubwbpxwstwkdvdehkgghcugprhmdzijdzvhc,RSS8640,3.0,Pmbdlkexoizaqrfosd,5.0,717.0,O,Hbhrgywqe,345826.0,Salt Lake City,United States of America,,,31.0,,3968552.0,Applied Biosystems,S
UT,ajnfiwnvw,q,Gwzngultgrabhe,Osiigzzosuosvalsdcusgxfzgdxvkjlqzqetkmkoqdxuqawvmbdckr,Gwz8641,3.0,mpcytf,5.0,365.0,O,Nhbqx,361491.0,North Las Vegas,Canada,1.0,,22.0,1-205-807-4212,,Lender Processing Services,U
AK,Xduhvzckgmrnwxmwbxtesqorumb,,chaofag,ERJJHOLNLASRVMAJBNCBORTPRWMELFRRMUJDVEZQJCNSW,cha8642,5.0,Grdhfmgdelmcqixbvforlegjntngi,5.0,790.0,O,jhhfmtwuu,,Dayton,United States of America,2.0,M,1.0,1-747-125-6020,1084486.0,Walt Disney,D
UT,weywavrlxrgenfqxgugfyttznzjqsdulhuywomfcgxfgjwungvrjjeutpkvtw,,skiql,GKXWUJREQIFMUDVOBBAXEODOUBFLAQHFAXIQNJDUVWTMNSJICYVUGUFJXWLIHHDTIWQZBRDULG,ski8643,1.0,Tcabndkdyq,3.0,408.0,O,EJJKHOA,147834.0,Provo,Canada,,,72.0,1-630-670-6165,1079320.0,Williams-Sonoma,S
OR,wrmrqmketarmkzxzwccxmniozt,,Ptsdmghmoclpmcicwngxolmume,Ehfsgd,Pts8644,4.0,Rzmwoxumoqgwxktjnav,2.0,499.0,O,Bvuxznyi,133569.0,Stamford,,5.0,,74.0,1-696-606-9301,714914.0,Pall,U
OK,Ivzrjyelsyyopdfvfikiyfyfbiwhcdxwcsetarihdupcbwhokrhtcwxhhcvvrxi,f,Kydgylhjl,Ndxumfktskvojxzcfylznhrhempznrbgtmlhkbtnfzpsilqjneurutgtmuzfmkastmkgsixa,Kyd8645,2.0,uulpcbvhletdz,1.0,708.0,R,Rbomamijx,399901.0,Mobile,United States of America,7.0,,63.0,1-228-334-8435,681347.0,Safeway,M
ID,Layvbomgracufexzd,,XVEMHJAZ,Ejmnqpqjkwoyswxipyasdvfygkbxcfbls,XVE8646,2.0,Lxxtsochmwtdwkcrigzbjfnexuuffb,5.0,690.0,O,Idmnm,204417.0,Vallejo,United States of America,10.0,,19.0,,2316964.0,Goodyear Tire & Rubber,D
NE,Uxxexlvrcubkengebtbanndixpktslfzraruajjxqddxp,,Glnuivdmuxjdnzskmtr,ZXASBILJTFMAWYGSVPXXTQCANOWKMDNSQEILJBHQOJLMCKLUNBLWHXVMIZJVRNIEQUJFNRETQ,Gln8647,2.0,bfhxocluuovlnqsklmwbsu,3.0,690.0,O,Nlcfny,433420.0,Idaho Falls,United States of America,4.0,,88.0,1-311-782-0987,690842.0,Celgene,U
AZ,KGDHBBRUTHVAAIBXENTVGRGVRLXUPYEVMXKXAHJALLXIOHYLQRK,,xzqcwnkllwbqbhi,HWEIPIXTBCTVWKDPGNA,xzq8648,5.0,Wyzcpiopxfvsbnwd,4.0,365.0,R,TQDOQX,276253.0,Oxnard,United States of America,2.0,,7.0,1-204-228-2576,2169282.0,Targa Resources,U
IA,Xvljtrgmoghdzzrildcxceplcixgiaqybdgxqvfhyaueefdqsi,b,Bmeyfxndudqvyjlhrawelmyxmazch,,Bme8649,5.0,AQRATLFENPKMCXSEOEKNX,5.0,603.0,R,VACEDPKBNYO,381418.0,Warwick,United States of America,3.0,m,89.0,,3731300.0,Principal Financial,M
OK,ygbsv,,Tfujefakmcalikaiweggabui,Gsqvequpfvwwvvwufaspjvmeahkrxfhlyjrmbocwpbz,Tfu8650,5.0,Adztlpujtfztjcx,5.0,844.0,R,zonpa,2348.0,Greensboro,United States of America,7.0,m,32.0,1-554-216-5900,1654506.0,NYSE Euronext,U
NY,Fzxqrvbxqdsaqcrabzhnocbveulwyvgkjdjpazianzadqdpntwjukkwsonaz,,Acupyx,Pxdgljfvikit,Acu8651,5.0,Hafjpswhjkppiefkbha,2.0,400.0,R,Gurdo,169615.0,Chattanooga,United States of America,6.0,,14.0,1-534-526-7325,3625783.0,Charles Schwab,S
IL,orsnyiihotfvhmfdzmtrkgcvwxeharbreofldpmbuihlykfvpaedlzglyeglgvjfgjfek,P,METLBA,Khinvtearjdrbkepqywgdqtlnelhbkymehrjnnsevoeswccpfyqcdwkxaacgxxebaebripbdxvfs,MET8652,4.0,Csukiexyhustwsziwdgnoqa,1.0,599.0,R,Bjkzvezqktj,106946.0,Madison,Canada,10.0,F,66.0,1-379-175-2676,1981626.0,Robert Half International,D
HI,Ksnithqzjqxlokpsjwwzngsuedckakdsyaqzifupgantyhdppplhwsenaelbsot,,DXLHKEDXJJFUILWTYTUAHCN,Qxbdryvbhdftcbsktebepizppvmsbuwjwsbwhxdebjucgjvonysbfuqewpxntdifttjo,DXL8653,5.0,HJLWMCBWUEHIVBWH,3.0,721.0,O,KVWBKIOJITAM,236679.0,Kitchener,,,M,51.0,1-292-920-0664,2075234.0,Virgin Media,M
Ontario,Zujfazleitjekpocjjpmqhqoqyofvdhvttayjeylkjirnsephs,,CMLHHGBSNDBVSBN,driakjaviqtpgbcqgbsmyeqhpdcvzweakdpckvxpgeoxxualypcwoubkbaetil,CML8654,,HSCSOBMLBHUDDHGQGAKRTFVOHYNT,0.0,703.0,O,YNISNM,81599.0,Dayton,Canada,0.0,,34.0,,265619.0,Foot Locker,D
SC,lakdsoxjbzsjqjvehwgsjcqugfwdaxlxfokueqixlvoqblhnjkbikyfqcdiphpbsxvbi,,hvslgbccqkkenfjtdlqugjpskbwtg,Jaauhpjakbwcljzwxbvxazfslkyzfcgtjvrabsvoetqbyhkyhnqipudbrgtgcctwmlfp,hvs8655,4.0,Fyzdobohotdc,3.0,828.0,O,RQIOUPCUNO,270045.0,Dover,Canada,7.0,F,49.0,1-729-142-7718,1085675.0,FPL Group,M
VA,Hzywbiqygwlrnohiatrllskv,,ZVMCL,Ixoaxjdixfbyuglppclskklflryykyvyqqgbzqjotqwblkeqbxrv,ZVM8656,4.0,Otwjbqept,3.0,704.0,U,Wexxqgkzea,,Windsor,United States of America,0.0,,23.0,1-561-470-2093,3561728.0,Textron,M
NE,DPYJCCDPHO,w,stcbewpwaszuyqptvgrr,Aecyryeuhjthstjaaaausriedbkarjuagf,stc8657,5.0,KMQMSYAPUQ,3.0,304.0,O,bwuffqwm,206028.0,Pittsburgh,United States of America,3.0,,7.0,1-802-635-5439,1700081.0,Coach,W
DC,,l,udcdwkxltwkvubajfwd,zleboittfqygmyctsztzczkzelucbegrsrvpqnvnrirvxwxlekvlvdyxpdmikouogfpnijhksbsgk,udc8658,0.0,Leeykzjpslwwtxbpyxmllbxpxpil,3.0,802.0,O,tvprsqbifmer,193676.0,Rapid City,Canada,3.0,F,23.0,1-085-501-4523,1531899.0,Burlington Northern Santa Fe,W
NC,zxcrsopzchqsadcjjwq,l,Ywzlkagjg,tsumdhpmipwnkmcvjtpiqiaicihpawxtlbevtkrgxqnwkycokvlahccrqt,Ywz8659,4.0,OEEEYZXL,4.0,,R,PEMOX,,St. Louis,United States of America,3.0,M,21.0,1-118-667-3641,2241976.0,Key Energy Services,S
WY,dggpzmzpoum,,BRNOCCYKRKDWKNXBODNSB,Fcnfvjtgtsucgjrzgptncbvvewemykllnq,BRN8660,3.0,WUQHRMOXWTDNGTURLGMHYVFATIA,,549.0,O,Fkiioaz,,Montreal,United States of America,10.0,F,58.0,1-277-090-7072,2613956.0,Constellation Brands,M
Prince Edward Island,INKHSPYRKWHTIKCZDPOABWSNNMVQWQRJGXFSWFFLPYXKBLNRBCHMNFBYQX,I,uicamhij,Ktkbmqwxvghxecdmmgxsapgz,uic8661,4.0,LCBPHAASSMS,,328.0,O,Suepypgbisvb,,Garden Grove,United States of America,9.0,,46.0,1-604-976-8273,3938637.0,Vanguard Health Systems,M
ME,Ikqnjubsnvxuckkbbv,E,owphozgqxpleacyailqijiuhcob,wfexjicphgflmjfnpnqpfobvmoacrwqscbjcmkyodnaznongjfqepfqsljqnn,owp8662,3.0,lktvmldpgsmmsbdfepzoe,5.0,580.0,O,htibh,70188.0,Laredo,Canada,5.0,,71.0,1-126-740-5799,3419279.0,Dominion Resources,U
VT,bgpryahdncugupykvnwiltegpdwjllfaujdmktfaycgvrfsirhbnyulybxkwipgdbxwjaslxmhkmv,d,UTALVF,Agkwwzprpjuebaadqbsohghkxxpntfnqhdgrcpynhiznleesqrbdvl,UTA8663,0.0,Rmgugvbjqwnuaglivctrx,2.0,630.0,,Aprseyj,104516.0,Yellow Knife,United States of America,10.0,m,79.0,1-198-361-8831,425069.0,Werner Enterprises,D
Quebec,OKCZMHYBJVQLTXTVALXOGIEKJTXNTSQSESOZQYOQDOTT,A,cakjjmwlqdtjnbwg,Mkxxjbhidrcloemfflwlkyqhcxnhvgibgmlqroprsjqeefkitjagiu,cak8664,1.0,YQPSL,2.0,607.0,R,Ataamzyieqv,299276.0,Buffalo,United States of America,4.0,M,89.0,1-124-558-6862,2747347.0,Walgreen,S
IA,Aaorjtyiaxuzkobeqggordqhbrmjhzysefmni,,QSWVLLWYVRHJTPIYAARRSNY,Enwtntxfbqiyltjibpvdqgdcaroyqwjk,QSW8665,0.0,Rzittd,,787.0,O,welaozue,346240.0,Inglewood,United States of America,5.0,,42.0,1-230-409-0929,3853851.0,Aon,S
Nova Scotia,wcqlitbrteylgxyyoxfzwynyuonmrsqvpzsxmpfznkkkvpspsmvqevtuddheiwti,,Bstvtmx,Zkklpxylmgmvfxs,Bst8666,2.0,DGBBK,,356.0,U,Tlprn,394524.0,Jackson,Canada,7.0,,96.0,1-085-296-6065,505520.0,Chemtura,U
British Columbia,Myxpbmrbtcaihnivcfovnykdsrkeleoqjgvmafqoziepqpqxhaiiheeliabcolddlmebrsvigjemow,g,exbcynbkpvxbalwuqhklum,ANHUJHIPQBDYCIGGHRRBIGXNVNLVCIQDPLTKAXZY,exb8667,3.0,cqeunqyvf,5.0,593.0,O,Acukzlcjq,247595.0,Buffalo,United States of America,4.0,,16.0,,1347208.0,Delta Air Lines,U
MI,Ailwxbmkptukn,S,IXNHARNPMMCMVQJALL,Pcygaffedhqrlnftgogrjwvuubmvrgyfmr,IXN8668,1.0,Pyaoorbaioaclliunpzdbquwhaeac,2.0,449.0,O,Okefipvgxpqe,441473.0,Colorado Springs,United States of America,3.0,,58.0,1-316-728-0218,2324716.0,Children's Place Retail Stores,U
Saskatchewan,Tdaqclbycrmripbtepwjcvybdjjbhwgdwycklougeccbjopr,X,Gikbiesnjhfhjlfuh,bzuqeaffmddsbmeifygiogpgexwaandkyurljoyazpplxuxyfhprqefikt,Gik8669,3.0,owsnbpxswhlauvlvnlffz,0.0,782.0,O,ZAAVRGUSIAJ,279929.0,Santa Clara,Canada,0.0,,,1-604-092-1658,3076472.0,Century Aluminum,
WY,suyslzxeddstbdnzen,,zisic,,zis8670,3.0,UIIRNUTFTALMXDUYUTI,1.0,705.0,O,Itmdjqturcqg,421060.0,Warren,United States of America,5.0,F,43.0,1-860-872-9403,2733940.0,Nicor,
ID,OTLPMICKSESZBYBSEKCNFMQVTHBFYYKEYLUHUUPJKAFJXYGRFL,Y,dcwjgnxmxlultbenmwpleadqwvlr,Wnlkasqhnxolltramymdvjnfpjxotjhcpcnjsnupidasgxwefolmqgsrnsfqzmsbzm,dcw8671,5.0,YIRFKCHZUXKQHON,4.0,,O,,407803.0,West Covina,United States of America,9.0,f,35.0,1-131-871-5621,2485282.0,Ryder System,D
FL,Edvkghlobpfyweerencfbfbymrocarkmiyiwdszjlftvfzbhhsxvnuwmvjcrklquheprefktcv,,amecb,Jclaxwaycoglzaecspwbmrmussdekdvvbcefzygafceginl,ame8672,0.0,KZSVEYDROLINM,3.0,474.0,O,VPOGTXRI,384831.0,Baton Rouge,United States of America,,M,63.0,1-478-866-2041,343843.0,DTE Energy,M
