prospect_gncd,prospect_crdtrtng,prospect_pstlcd,prospect_nmbrchldrn,prospect_mplr,prospect_mddlntl,prospect_lstnm,prospect_ddrssln1,prospect_ntwrth,prospect_phn,prospect_gndr,prospect_cntr,prospect_frstnm,prospect_nmbrcrs,prospect_ct,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_nmbrcrdtcrds
jlx9878,371.0,Qhgrb,4.0,United Natural Foods,,jlxronfhkrhakrkigrcexqmdis,Rketyklqgcs,400095.0,1-749-491-3569,,United States of America,oymhqcn,1.0,Charleston,M,,O,6.0
CXM9879,753.0,Ejkjaust,2.0,First Data,M,CXMVGGRTNUIRK,xlmcdctsunokjepaxsijhuyrtgknjmbepqvnlzbjegstruipjwbpiuzfytameowurbr,847663.0,1-348-668-6049,F,United States of America,HCJDCFMHQQ,4.0,Rochester,W,26.0,U,4.0
aah9880,615.0,Jpdqbh,3.0,New York Times,A,aahunstrkuzxuamzruzj,Eyawltxvsdhjgkdopnmnunszbmhclmbavflhfkwqkiftstwnujmx,2345473.0,1-486-450-1008,,Canada,Tojyz,1.0,Virginia Beach,S,2.0,,7.0
Huy9881,405.0,Gpgoazrimgpx,5.0,Olin,,Huylys,emkohrnqrjbrjwkcgtztjglgjmonkdkzosaflivuvsiioj,3395353.0,1-979-047-5794,,United States of America,Lqojfrjhll,3.0,Iqaluit,W,18.0,U,10.0
QZC9882,731.0,Vmwtekqmi,4.0,Con-way,i,QZCMUQNABYZVXZWWVZVZIF,,1433403.0,1-493-543-3043,m,United States of America,XLXRZG,1.0,Chandler,M,88.0,O,10.0
HGM9883,795.0,ipohwfmjkju,2.0,Pfizer,,HGMLF,XQLDVNTNOMAIWQDXXWNUDCSA,563734.0,1-632-596-9700,,United States of America,gnfxkrsstu,3.0,Simi Valley,U,46.0,O,4.0
ebf9884,826.0,Cubvu,1.0,Liberty Global,,ebfsvymbidxfrxftvn,giggjyqihxkvrarddfevwxlwblymcvelsywfcntqpivkwdkeqjmvviqmdhrnalrq,2116224.0,1-083-018-8740,,United States of America,Ydmjvbfpqjxjxnkuvlrxvpcpxgdye,4.0,Pembroke Pines,W,94.0,,2.0
GIQ9885,768.0,,4.0,Pentair,r,GIQXSKHVCXLED,YKONRAFKNMKNXZ,95894.0,1-273-786-5182,,United States of America,bbvwbzes,4.0,Chula Vista,S,68.0,O,2.0
Csi9886,,ymguyfrfe,0.0,CF Industries Holdings,f,Csikqrxdjvxiwcruimkjegnpfi,lrtdpbxedpasmppkshebwagbyrdpixftzedmrilzjvlhedjlpyfctohownzodxwdfwnhnxiluhlmzo,2002783.0,1-159-822-5035,m,,Smgnvmplsk,3.0,Macon,S,71.0,U,4.0
Iev9887,485.0,Kmldwrttlu,4.0,CACI International,k,Ievwgpvnxkvmowsdrwnnjt,Ntqaptnblyvzjudebttjlsvuakcjfkycmzjrmbiuvnae,2439845.0,1-416-527-7417,m,Canada,cliyceyftqfemphbqvihpazchbf,1.0,Peoria,M,74.0,R,1.0
zau9888,463.0,Pqwojlxycnuc,3.0,New York Life Insurance,X,zausy,Hrdnjmwkwvfvailoqftwscwldqnlrnbb,2342350.0,1-797-409-8765,,United States of America,Kbbgjie,0.0,London,U,98.0,O,3.0
Bxb9889,769.0,PLVXNFBEM,3.0,,,Bxbexadyatboiett,YAPIEDCNCOAVMOCYDAMWYFDRHKAKDVMMCJZSSL,2694839.0,1-490-149-9176,,Canada,Bihmokrtdfevfolufixldgooovadj,2.0,Fort Collins,M,60.0,O,6.0
Gmm9890,556.0,Nqodtedd,,Timken,J,Gmmwevfgsewxrke,GSCZNGIANJYPVWGTAHDZLNPIEXX,1486843.0,1-368-070-9973,,United States of America,Olxbzqlycx,3.0,Scottsdale,W,40.0,O,4.0
lii9891,505.0,Rpguxpxl,4.0,Michael Foods,,liiowdfkirqappqzriywrripcupbxp,DDKKFKCQIKCUFLOFZHMXXQXQMZHGLPUIJJIFFXSCSKUDYIEOVADECOURCDHPK,3037943.0,1-277-087-0426,,,Avjjhwnxofhdmi,4.0,Sudbury,M,66.0,O,10.0
mep9892,393.0,Tybpku,4.0,Idearc,,mepkkumyvoumnwhcox,GVQRQKKRNHKAAWIEUIZXQFVNBJHNDLHN,,1-279-864-8716,m,United States of America,SRXLROSWGNUAJMOPJ,2.0,San Antonio,W,56.0,O,5.0
jiq9893,710.0,Gkvwdz,2.0,Paccar,x,jiqllnpdenluhoscnkhxtra,robqyrfltgvdvdcbkmktuafmjxhcxwezkiepjmbodum,524271.0,1-439-540-3593,F,United States of America,Fczuvcdhmabwi,0.0,Simi Valley,M,68.0,O,2.0
Smg9894,499.0,Dlnqdnjdddpk,4.0,Aventine Renewable Energy,v,Smghllfroebwnbukeam,uobhq,1364045.0,1-446-000-6052,,United States of America,Xhsyjxmlalukdubttqgsay,4.0,Cheyenne,U,65.0,R,10.0
hlv9895,503.0,Dtnixiyknwp,4.0,Boise,,hlveqavpxkqbeoxnhxmtiqe,Otpufnpyvehalbnztonbxwcvteqobbzwoqdzk,,1-241-295-6865,m,United States of America,Oczxjvwjvcgdqbwsmmzdvxmgl,1.0,Chattanooga,U,23.0,R,10.0
Umi9896,664.0,Gsqam,5.0,Erie Insurance Group,q,Umirzjhydmfjeprqqcoomweqpfeqs,Kmccswqlvnblkxstueltlpvsndtwtsceaptbtx,1640714.0,1-050-189-4873,F,United States of America,Tcpkhab,5.0,Lexington,,96.0,O,
UIQ9897,580.0,Kbgmrcyx,0.0,Rite Aid,s,UIQGJHBVUXTXVWFBTELGQMZKK,NJPBRLOKPNERQSVMJBXHSXGAQ,1149542.0,1-897-005-0822,M,United States of America,pnldkvvspujybaicizguk,0.0,Las Cruces,S,38.0,O,5.0
fpi9898,381.0,gtrgrvy,5.0,Owens & Minor,x,fpiiwpe,KCQOQAPULIZAJDXPVIOAHXTPURBZSGDSTETOAFEETYPEJJ,,1-785-431-3324,m,United States of America,Uxfidecozcdoojdcsmgzdywmadeqq,3.0,Stamford,U,0.0,O,4.0
TMU9899,325.0,Mxecghvm,2.0,,,TMUIKEQLQO,Brakyithgldrymdbwlgrvunykpqdowxnjxudkblpouxkr,2850504.0,1-777-561-6436,,United States of America,KVXDTESZRHPYXUKKTCORQJPVGE,1.0,Irving,U,2.0,O,1.0
AWQ9900,613.0,Lvlvvzvmrva,2.0,Rockwell Collins,,AWQDOAKGTJNARNQAJT,Lwjaoguiroerdihjxpdznszgpklblkcgnhbikhrpwifkjdi,1927935.0,1-780-406-7547,,United States of America,Hytocvtejysavmhtxojpcxmkjeu,1.0,Boise,M,9.0,O,7.0
Koc9901,326.0,Twmycupggzzj,1.0,Pep Boys,w,Kocjwrpzxezlxulcupmlnklbhijwv,Jlysteykpfmecrlvzaziacxfwshnwrfixqyyxfaeuaifjxtjdf,3088112.0,1-967-103-9377,,United States of America,VEXWF,3.0,Detroit,U,58.0,R,6.0
Dds9902,304.0,,3.0,RSC Holdings,,Ddsofcguirdysfho,suvfofjsatumssyyelzdkxzmhvmgb,1745256.0,1-026-018-4555,,United States of America,UHOKTZGPPQAXMAKJPPRNQRP,3.0,Anaheim,U,62.0,O,10.0
Rss9903,841.0,jnuadqdor,1.0,Analog Devices,u,Rssxdvqjuwloiadoyon,OYZKRWEQKMKPLKX,3478614.0,1-794-707-6361,,United States of America,Nvxywjxxptxv,5.0,Salem,S,22.0,O,9.0
IHF9904,456.0,kmzdrxzjp,5.0,,,IHFBGNWFRLMTPY,Xxhkiaoewrnpawcevxelbfdlgqpnbhrbbkmirevprfsaiiamvxxpinjmamplkb,2203683.0,1-809-289-7249,,United States of America,Qifjpngclpbtqlfxkksmpy,1.0,Provo,M,57.0,O,10.0
Mmr9905,322.0,LQYHN,1.0,CC Media Holdings,i,Mmrapxsbnljl,RXHVNKDNWFXGNHGUPNCAEQBCMWZMVPGKBZPVQNAYSGRJP,389491.0,1-971-340-2739,,United States of America,Gzsuxxtbpavsnm,3.0,Philadelphia,U,72.0,O,9.0
TAQ9906,749.0,Ygffjgf,2.0,Constellation Brands,H,TAQHNCJSDDGGVGIOACLSYRJTNPBJUR,JUECQGPOQQATCSPKBINQWNKJZWVJVJ,2084364.0,1-997-869-5483,,United States of America,Hwmsszycqojevkbvtcgrtrf,3.0,Boise,M,48.0,O,
yyp9907,592.0,nzqrg,0.0,Great Plains Energy,Z,yypkh,BYKPSRBXIR,3727741.0,1-652-023-8483,M,United States of America,DYURNLKAOFDPLYBHLATE,0.0,Nashville,M,84.0,O,9.0
Kmg9908,665.0,Htihxemq,5.0,Henry Schein,c,Kmgpxoipxlnegzfwikwkvvfbkmybd,YTFHVZEYGOZHLDDTHVKJIYTNMGSPUQXPZRZBCDURWQQIGBRINXOYZWQKARKNCBETSTIY,15865.0,1-537-733-8366,,United States of America,KFIPNGPHDASUONXLEVWQ,5.0,Phoenix,M,46.0,R,7.0
jnr9909,621.0,Swkmbxesg,0.0,Calpine,X,jnrqabdxmfqwgmhlnbcfxpxsblp,Xeqxsnygyxrstacscrnzbaeubjmqrdqtdrqdsspaecplutpgiuxzrklcftzthoehspporyh,1627406.0,,,,Dtyozq,5.0,Omaha,U,70.0,R,1.0
Urv9910,840.0,IWFCQJDOKDR,5.0,Lockheed Martin,E,Urvalnnfhljpxwvyvpgmdvznatif,Aljsfxip,43053.0,1-287-654-2438,M,United States of America,Hykhrtdemgxpey,4.0,New Haven,,98.0,R,1.0
PVD9911,806.0,Ffhdpmbhkkbp,3.0,Tenneco,u,PVDCNMVAQPEQDBIBJPN,OEDXFZBKXODHNXP,3870271.0,1-485-106-8017,,United States of America,THJFEXOCOBBORRNNACADSA,3.0,Rockford,D,73.0,O,6.0
MKQ9912,766.0,Airgadp,5.0,,,MKQZACVUFCDREKNGCCUPHBHDUZRN,OZPHPIPDQHBPJWVKAIKVOSSNMCGMNUHNOZMEIJETWLTURSHORVHHVOWZAEMPZRNIQ,2916832.0,1-248-843-8017,,United States of America,Rujdxilpigmugmkhtxwsj,0.0,Detroit,M,12.0,O,3.0
AFB9913,341.0,kwvjagvihwka,0.0,PepsiAmericas,,AFBWCBQOFOKOBJRIHG,Iagbynwxndncsxusrdtluqjmxhlhajhknxxoobraihilos,1104262.0,1-708-984-9780,f,United States of America,Dtaeroklwtyiyl,4.0,San Buenaventura,D,89.0,O,0.0
Twb9914,570.0,Ncrffko,0.0,OGE Energy,,Twbgrewyb,Hztmnzflszxjjhqgrggklqdimiyzlcuqzahmwxj,667902.0,1-328-471-4213,,Canada,Xbhvqraybuaernzatbosvwnbde,3.0,Chandler,M,11.0,R,6.0
lfz9915,642.0,HHHCZQC,3.0,Gap,,lfzzr,cunptwkcbpwfoqyhnvp,1873427.0,1-182-809-0312,M,United States of America,wnvartjntxrvsmdkw,4.0,Lancaster,,99.0,O,10.0
CPH9916,363.0,Gkvovhb,4.0,Family Insurance Group,,CPHFSCMOMGDRSEVFKAMTJJXIYX,ypjuqbmphhladtfxmknecgpbbjtwktjkgisbunofrmdbwugbqasg,3464870.0,1-870-707-8696,,United States of America,Qxwuxtlmv,3.0,Fairbanks,S,22.0,O,8.0
Mbh9917,813.0,Mjifeeva,2.0,Parker Hannifin,,Mbhaprqstdwyq,VFZTLUWYEJWBEPCYKFSLAPD,813850.0,1-652-374-2595,M,United States of America,Uonkncmclphyixsninpwrnlfg,0.0,Fairbanks,U,68.0,O,7.0
Xep9918,738.0,nszbhfawdhr,4.0,NCR,q,Xepaoxksb,Jvsrccycwciawoxrjonjtfvpxbqaojtodivkufefkrxfycgarzcfmsampoglytxdajiqxtefqia,207598.0,1-423-169-1051,,Canada,Bnwnz,4.0,Stockton,M,,O,10.0
Pgq9919,700.0,Nzhoxj,2.0,ConocoPhillips,R,Pgqfnqdjssnzklwa,Vpuuotqokvaouxkguvuencz,1983672.0,1-718-318-5063,,United States of America,Gugxxpxnthcfsxplempdizrtspjivh,0.0,Greensboro,M,35.0,R,7.0
ZRY9920,511.0,andwd,3.0,Honeywell International,,ZRYPKS,Mnvijhtfqcsvdgynftwwcltxadjkfmfupedxyumncewfnjqvmrwpnmpawwfcjtotreshxgfmoi,,1-653-791-2483,f,United States of America,RVTCCCFIHGQWTSOTUYTECIIE,4.0,Moncton,U,,O,1.0
lhb9921,408.0,Qnssykij,1.0,RPM International,,lhbdaeyqadwdbdvctshhb,owpqbmnhlehluuykcxjccynnapzgzfskijhgxelxmpriavcxhxkqvxizprcoqumacr,2629512.0,1-574-075-7346,,United States of America,Vhrkcrjnnkcgvwt,0.0,Dallas,,64.0,O,3.0
tco9922,403.0,Sohikqsfpu,5.0,Zimmer Holdings,,tcohvzvexofikvdz,qekfgtrcvvtwjwlnqfajxgkkkiqaqwerryqnrjheweusvgkuqtsvcneppqjbkllclowsdxcdupgema,468793.0,1-109-000-5273,F,United States of America,KROEQLBZDNYCDLIEHGKCZR,,Mesquite,M,81.0,O,0.0
rrx9923,,Rlplrfskjlu,4.0,,L,rrxilbhsytajqehckgqndlwnc,Dmqfkrdoocfplsiepdrbpvakmhnexlmrozysfyliqefzawbpjbgf,3229310.0,1-818-102-2606,,United States of America,Mwgrjkjsxkatgciijrsojabxrwah,0.0,Dayton,M,15.0,U,0.0
Yws9924,531.0,GKGYUBJ,1.0,AutoNation,W,Ywsfpfdaceyamfoqqwbinubbhrib,BEFUFBSOAUELLXTLPCFSARXWECMLIUMFDWSQBIFHDBVIZWBRQY,3004304.0,1-589-331-4934,,United States of America,Ekani,5.0,Akron,M,63.0,,9.0
DCG9925,519.0,PVKSFOIF,,Universal Health Services,D,DCGSTJIZIVOXC,Aesvvhvhwxceojxxxdudfewrg,1617848.0,1-284-446-8984,,United States of America,Thzjidothkikijmkcuqcrqautn,3.0,Wilmington,M,41.0,R,9.0
pys9926,313.0,LPCDTD,0.0,Systemax,J,pysnkwtqcarmzxgyvpgcnf,Qvixnikvuioumfkrdrtbvvvhcmtzpdfamdfchbjaimonnzzapalbjwgahgxwodzumvstjxl,769693.0,1-124-118-0596,m,United States of America,Hjtqydvkbbjgfidzzsc,1.0,Escondido,W,13.0,O,8.0
ihx9927,579.0,UXCUHPMU,3.0,Sprint Nextel,,ihxixwouznzvorbqbzuwxpmgj,tjkjpbuvqjpccmasrousbepdrs,1154495.0,1-360-376-8323,,United States of America,Pczln,4.0,Huntington,M,65.0,O,8.0
slt9928,530.0,Whwlhsjkolxo,4.0,NYSE Euronext,,sltamwfbnmyupbzpkbeyzuujm,zkfpfxbvgtvvhujspenbvffsuefll,1054531.0,1-666-477-6134,,United States of America,Fdwjwioledpmtphkklcisodgum,0.0,Topeka,U,23.0,O,10.0
EOM9929,355.0,JCBQU,2.0,NuStar Energy,t,EOMCAZOHPMMBMEVKEIQOSHE,Wpcdelkjj,3360669.0,1-208-351-1734,M,United States of America,FVODCXQYOU,3.0,Irving,W,52.0,O,3.0
Ctt9930,313.0,fqlvyaoup,3.0,,W,Cttmranzst,Yfmrmentzmtfnwozhnzdlsnybmoghvhzwtm,2842734.0,1-229-318-2971,F,United States of America,KAEJYMFMS,0.0,Ann Arbor,M,40.0,U,0.0
YKK9931,396.0,Lfjpcisgup,2.0,Abercrombie & Fitch,E,YKKWWIKIJRHHWSZNJC,Fhemmgyclalevgdlyeqsofhqszndlxwocamh,457529.0,1-773-149-4206,F,United States of America,Rxnjhpdtnxalyl,1.0,Washington,U,69.0,,5.0
Acp9932,792.0,Xezmsgewdh,4.0,Vectren,w,Acpkcpppdopgrffilvcglodvsxp,ELIOFZSQFQCJXEYIVYOIMHXDUGETTSKJJVCSISOEZGCWEDM,3529994.0,1-283-835-0166,,United States of America,Vxodobgpowkzgvheggillwr,5.0,Mount Pearl,S,56.0,O,1.0
Svn9933,600.0,Talpokv,3.0,Cinemark Holdings,A,Svnewquwjwzzokqouhmvrxs,hdchck,2134962.0,1-499-794-9314,,United States of America,JLRCYKLKDGORHNDA,0.0,Sioux Falls,M,,O,8.0
KSB9934,344.0,cllhjdabw,1.0,Furniture Brands International,S,KSBZP,EBBNOHOXTULSMBGSTAIYBGERCFCSURVGWLWQBQTBLUDLPUCRVD,3439269.0,1-411-165-8892,F,United States of America,Yiwqbrcfddouynpqdc,1.0,Las Cruces,D,95.0,O,1.0
glz9935,664.0,hmvope,3.0,Carpenter Technology,S,glzkgvvermhr,pldnryubkovdsufpfhorplrukltjeirscqwl,1089291.0,1-450-611-8246,,United States of America,Yjcdma,3.0,Allentown,,31.0,U,8.0
Qwz9936,746.0,WHHYW,4.0,Costco Wholesale,,Qwzqs,Cgmcbfkdytrmjxamcaoopsmuidqqkvujvzlgve,1186944.0,1-711-879-0121,,United States of America,KCJLTJRY,0.0,Ann Arbor,W,54.0,R,5.0
Ooj9937,795.0,Krisipluczq,1.0,Cooper Tire & Rubber,Q,Oojprpapdekkghpmqjzagpvyj,Ukarknmsinbfeftrzphenhrmbgxsauygiqqx,354550.0,1-607-189-9575,m,United States of America,Huivdqiyblw,0.0,Independence,M,42.0,O,10.0
ojf9938,,Uzaehqnuqm,2.0,General Electric,r,ojftkg,Sqseuwxspovpdwexolerrdfbvt,2954808.0,1-703-570-3406,F,Canada,XOEZWVTIQJJLZYUQDNONWDVIMXAWAE,1.0,Memphis,W,32.0,O,7.0
Kwz9939,832.0,Akeuduipay,4.0,A.O. Smith,P,Kwzsgxhi,GNWMZVOQJAGNEYUPWPDGIWJJRCOYHBJTSNY,486311.0,1-788-584-4878,,United States of America,oyyolzonxnwmsghngupjuhvv,2.0,Winnipeg,S,33.0,O,7.0
FVX9940,365.0,Vqzklzfjj,3.0,Enterprise GP Holdings,,FVXMDCCAUSJPSUHTVVUWIZ,VQZRXBLJOBYEKWGJUHGQBELQKAEKVPWVZLWVTEKACDBFGZFQXGCAMWHHIZPMKBBEEEJHFUSEU,,1-837-966-7016,M,United States of America,TDOEJIPGMAHQPHBDKMWWFUKI,3.0,Moncton,D,94.0,O,3.0
Sdh9941,827.0,Kipggcgkduau,5.0,,,Sdhsunhvwnrjrjchevfodqqqpx,Iiytcemizrjtciusxnipfvbxtbi,1641768.0,1-764-781-9763,,United States of America,XWADAMSPVJR,1.0,Evansville,M,20.0,O,1.0
QTG9942,575.0,UKENILG,0.0,Cabela's,k,QTGWGERONG,Lhsptgvqoboxzdoxwwqfngzqiehpauaobbymbocsybtmmmgrrs,2148413.0,1-639-737-7537,F,Canada,Eqzxwmlfbsirvassmouqudt,3.0,Ontario,D,13.0,,4.0
JFX9943,832.0,uljzncnomb,4.0,Dynegy,f,JFXPJWEEAETECXKALUDTZWGZ,ONYQLXNZIATUCMBWVEIAPWVKOVZQTSAKXEFHQIWOZJGGAEFMIORAHLRGYHDN,968265.0,1-220-082-0931,d,United States of America,Lilwhirpimhwuvjovm,3.0,Hampton,W,88.0,U,2.0
WMS9944,524.0,wintebwcrdl,3.0,Invacare,g,WMSGGTXEVJEEYHOOMQFUBGHGIJ,FZDWQJWTNFCFJIDSYGUJZYCYRPHTZ,285248.0,1-999-016-8444,,Canada,Ihmiacm,1.0,Oakland,U,95.0,O,8.0
Bka9945,545.0,IEVMFKN,2.0,Interactive Brokers Group,,Bkatjkuofwceruygvwnddrec,,1978929.0,1-382-217-3884,f,,pthwkenfgqxc,5.0,Peoria,M,15.0,O,5.0
Qlu9946,560.0,usfbbsvwv,2.0,W.W. Grainger,,Qluoa,Yaaavxcnibtfqpok,228156.0,1-991-923-9235,f,United States of America,Rldyrhpndzhhxhisxmv,4.0,Albuquerque,W,97.0,O,6.0
Lsi9947,335.0,XRUIJTLQCOUO,0.0,Adobe Systems,,Lsifccksesneaixrnnmkrgkaitpkpi,gasyguaumdatgmskiblxebsrpsbfulgzbnfeey,1831564.0,1-650-223-6393,,United States of America,Udhqnbgtxiueap,3.0,Atlanta,M,56.0,O,2.0
cwz9948,499.0,xmuhrb,5.0,Pfizer,e,cwzomnofppgfyknkpuiul,xacepgtmyfrdlotanqpeypjlkjsknvhkjyiscsvtuxrafvswglhicmfrdcvabhmsov,1779473.0,1-057-448-9870,F,United States of America,PNFOGF,2.0,Colorado Springs,U,51.0,O,6.0
KIM9949,342.0,SPLKNGRAG,0.0,Capital One Financial,,KIMKRVFFFCKVEUQWXKURGNB,Taeexnjholbaeulcmpugiujxdsinmsfwtbgmcejrognuoijkmwxidyheqwxtkiefftndmn,860482.0,1-597-448-6618,M,United States of America,Jxiguuta,5.0,Peoria,M,8.0,O,7.0
WIV9950,802.0,Kskgg,4.0,Anadarko Petroleum,A,WIVMGABIAUAJHQPWCESQP,xeqaddhvfcioxtcpanufawbr,3622268.0,1-035-171-4038,M,United States of America,Jgrkxejukoulngxbviknapz,4.0,Knoxville,M,79.0,O,1.0
uxg9951,426.0,Afzahjljbc,4.0,Pepsi Bottling,n,uxgrmbjduqyiqgnafqkv,LXWBKALYUKOZHCBLERLVLXXOMVKZ,1138798.0,,M,Canada,Qmmrvzwchuecuudbcodzbgqivjksah,5.0,Gary,D,13.0,R,0.0
vvt9952,421.0,Hnvjmseju,4.0,Allstate,,vvteherkmard,Cuvszhv,922109.0,1-432-890-3579,,United States of America,Hfgxehkfjknkwjobaelwnfvokft,2.0,Frederick,S,47.0,O,3.0
HJY9953,530.0,Cysafkafm,4.0,Teleflex,d,HJYVBWDPTOGWXJSH,Alugqepfnpei,646544.0,1-845-292-6913,f,United States of America,Hgglzsgwkauyjzmedd,1.0,Lincoln,S,9.0,O,9.0
NOB9954,452.0,GMNBPEQHD,4.0,Harley-Davidson,W,NOBEIKDLQKDAPMEHIBGDNOMC,srlhhedijkcbzsplawouaaqsfqsgwpfnsaisovbtgoziisaoo,3760420.0,1-336-381-6195,,United States of America,gvniwounfdakxfpij,3.0,Halifax,M,68.0,R,4.0
Wpi9955,672.0,fdcsecw,4.0,Marshall & Ilsley Corp.,J,Wpiuniptcxk,Phkiejgtcdxfbszmlwrgujoocoprsg,780192.0,1-411-418-8803,F,Canada,gdfbddim,3.0,Montpelier,U,24.0,O,2.0
WPW9956,504.0,Oiqehef,1.0,Smurfit-Stone Container,g,WPWQESYBWADYNRJ,BVOJQUSSYUAWCXCDUECMOS,2787515.0,1-474-116-8712,M,United States of America,Dqijevbyfxmnwsmhwwhnoces,5.0,Fargo,M,63.0,R,0.0
Wbr9957,841.0,VDXNUG,5.0,Terra Industries,,Wbrgy,Reazdvsqeiobewvcsy,244252.0,,f,Canada,Htoxjzjlccxs,4.0,Hayward,W,31.0,R,0.0
AEV9958,695.0,Yzyzinag,2.0,Halliburton,,AEVHGBCJIIVZEMWSN,lfhjzysqafplgfxpkklsbywpcoqd,3528341.0,1-665-795-4500,,United States of America,Htwumkbbazrp,4.0,Worcester,W,64.0,O,2.0
Avp9959,369.0,SHFINJYGD,0.0,Host Hotels & Resorts,,Avpoqxcwbmgyplkhjtrwsv,QWKIVJQQBJZBQKNCWJFRIGIEPRKWSZBAGQQLXIGPNEQKNJWRSHAVZXMAFJHTPEPREIBJKNVTWIZOF,1994954.0,1-262-644-2459,,United States of America,AGKIXBSZMPECHHHQUKLNHOKEOLFK,3.0,Sunnyvale,S,4.0,O,9.0
Ngf9960,658.0,Gyear,5.0,Liz Claiborne,,Ngfejyawxoue,Wxugkybdxqnbmcyznxafijl,1336108.0,1-971-200-4914,,Canada,PDQNJUUUUCCIUOCJXWJ,4.0,San Antonio,M,23.0,R,
XNP9961,709.0,,4.0,Annaly Capital Management,r,XNPNEXWF,rtrcbtkp,1817303.0,1-660-892-0870,,United States of America,BVPDLRZCPLRMGLDOIXRFGXECYUXIV,5.0,Pembroke Pines,D,60.0,O,6.0
pey9962,545.0,JENWLEGFCZBM,0.0,Franklin Resources,X,peyctcwvdthvsvtytczpdkbgjqlq,DOAYPWGHIYNXEGVHBUPSPRJGMJKSMTRDGIFGWCHFMIMLVVRCXIFQB,3454142.0,,f,United States of America,Czpwjfdja,4.0,Missoula,M,13.0,O,4.0
Tjs9963,363.0,Kanju,3.0,,A,Tjsggbkyiovnitrzssyhcd,ltqoqelaxsuuobetuo,198600.0,1-362-620-3196,,United States of America,cgngwgvsyqfwquq,1.0,Huntington,U,78.0,O,0.0
uir9964,752.0,Ddzjdlecfxs,5.0,MetroPCS Communications,G,uiruqotaptnfdbhosc,Ozbtbgvxpjfljj,1428445.0,1-835-776-9979,m,United States of America,Ofyfxqpaasoidvl,3.0,Windsor,D,,O,4.0
Yhy9965,631.0,nvvqc,3.0,,,Yhyxsygqtidyuxzyp,Pqaztxktuxnmpniuvparqxkwldnvrhcjjntbvszjprnsjwlxwjzxqzvvxgbyrdxrjhwem,,1-995-775-1277,,United States of America,Toxoxanquhdceertldkbc,5.0,Sherbrooke,M,13.0,O,7.0
Kil9966,428.0,Iungcnk,3.0,StanCorp Financial,E,Kiluijwwhlrcdht,tlxaklyblaymksryekgnjdasjewdaidfnnlfbbrfnbewcfq,3102320.0,,,Canada,Orjdntjfplbqakbuxmmthknr,0.0,Newport News,W,60.0,O,2.0
sdl9967,325.0,Dxtwds,3.0,Northwestern Mutual,,sdlxgyhbpbtxeripzvvfnfak,Fdjxqgnzqahzvgwjjbcfbjb,3031369.0,1-893-384-4849,,Canada,Ulcqxstmvfgqcfhpscaslrjon,0.0,St. Louis,S,19.0,U,1.0
gmu9968,612.0,CPTSUVEJ,5.0,Applied Industrial Tech,X,gmueewqrvldcyh,Dmmgcutyovoksmmxgzihgrssluxxihgjjqszrjeqygluggwohepovnowf,1077981.0,1-373-728-1522,M,United States of America,YLHRUHNRNWICILUPAHKSVGNOTO,1.0,San Antonio,S,88.0,O,6.0
Zro9969,,ddbjz,0.0,NetApp,X,Zroiugqhsfpdtgsgiiq,NXAXNEAUSJACBKZDNCUBNUSJAHUWOARAVJQBFTVPQAJFACPPNHZAACWMALEZMWCTVOP,2325514.0,1-108-469-7278,f,United States of America,KJNUKPOCKHCAHXCIVBDIUOB,0.0,West Valley,W,75.0,O,7.0
Oyl9970,687.0,Akqvrokxmmmm,5.0,Belk,E,Oylumnvghdpctzqnzjkugjsrvq,mhsfwkkzqfnaqxluxmammjpzcjsuygtkpbxorrkpzvjcdruefg,970103.0,1-964-738-6809,,United States of America,GBMAFFRZEEHNHYUY,5.0,Norfolk,W,56.0,,6.0
Xfq9971,750.0,Ezoogaxbmym,0.0,Pepsi Bottling,,Xfqtzgdohktxn,edcqxvgzeqkfkjouutigueychgsoyfdpgukulj,1769681.0,1-896-585-9857,F,United States of America,Lmsxmfqiowccgxolpxasmkko,3.0,Hull,M,88.0,U,7.0
Cst9972,673.0,hbpijmq,2.0,AT&T,o,Csthsbglh,,1024654.0,1-950-666-3504,,United States of America,Bhalpuavzynqdvtjouzflfkzofjko,0.0,Orlando,U,,O,9.0
YGS9973,623.0,Ygvgmkqlchj,3.0,Humana,,YGSSFTPAXEQHGE,Ubdxwassftzblkiieeumsipxdrcwajujqjnwcqjvyncnpjkhojvpffrblaz,249951.0,1-492-758-0108,,United States of America,Vnqvrsdgcgulndyqnfz,4.0,Long Beach,M,52.0,O,
URW9974,792.0,UZGWBPZQITNZ,1.0,Beazer Homes USA,U,URWSVGIMFOZVPFDFIPKGKBXXS,,1630478.0,1-469-855-0684,f,United States of America,Qpyrtyoqacwtedrhzr,5.0,Fresno,M,86.0,O,8.0
LGE9975,777.0,XBGNCB,1.0,Great Atlantic & Pacific Tea,,LGENVIHRRJPFKBAYGHMGDM,Pmjmxluzzebegk,2736671.0,1-906-550-1449,,United States of America,evbqtprgifjogzlh,4.0,Providence,S,78.0,O,9.0
SPK9976,377.0,ptjdxhlx,5.0,Western Digital,J,SPKVBSOAWO,AHIQYVZSWFXVSELDFINQLUNMVIALRH,3677397.0,1-492-565-4758,M,United States of America,WQZGL,2.0,Winston-Salem,D,89.0,O,6.0
