AddressLine1,MaritalStatus,NumberCars,PostalCode,Phone,Country,AgencyID,City,Income,State,LastName,AddressLine2,MiddleInitial,NumberCreditCards,OwnOrRentFlag,Age,CreditRating,Employer,FirstName,Gender,NumberChildren,NetWorth
Vdlvjzzjetjghejpkxlaoasyekhbcnfeplizhydifdaju,S,2.0,uzadhiadz,1-256-760-1793,United States of America,gwn8130,Allentown,469519.0,FL,gwncnpyibilfoedexxjcqecfgit,Odgdpdsogfwjsutfgrnrwitytyqrrbmfktudhnpwfwcdoblgsgyvcshhkehofcws,D,2.0,O,26.0,321.0,Sherwin-Williams,Ncuqemlwkcurxg,f,1.0,2172666.0
BNSHBIJCMCWKXYFIJCROGKLVMM,W,5.0,Uizpmbcohvkn,1-916-950-4211,United States of America,EDH8131,Stockton,359678.0,OR,EDHSZFQIYUUEFJPSRYSMSXDVEBSQ,TSFJADMVZBQVWIYJWUSHGEDJZGJKXYCHEMVLKALUPKQKFRQNILPEPFABCXEFJBSXIWLP,,0.0,,14.0,561.0,State Farm Insurance Cos.,Rxkwoworucqcmngvtwqwtehog,,0.0,3310072.0
EHJMTJWRMZFYVACPSYTXSMGOMENXTNUCD,M,4.0,Uqnukb,1-820-679-5425,United States of America,Hsq8132,Santa Fe,381967.0,PA,Hsqumbsfurjlbxs,Xjrhmctrvtlxcirujuumzjzndguqcowqtttgwrdbsjtrzfacjvnxijfgezhfnonatggqtatkelqgoknp,N,5.0,U,7.0,476.0,Universal Health Services,Othsfexfeaquscun,,2.0,2595989.0
Rxksgbwunremsexmhuunyadgraxtlnurdvmemofswhylcnsyubpoojbdhjfxtqzut,M,1.0,wpgksqtd,1-196-283-1531,Canada,HJP8133,Amarillo,248533.0,DC,HJPDOHMWEMKJBRJXFRJJG,Wrsbgetdpcukrqtxsmmeldgfonlcwtvemqvaumfnfifuycerexchbeoeemzrkrondnvux,T,2.0,O,29.0,579.0,Priceline.com,Pnsjardt,M,5.0,3818938.0
jcmehnxhubkevzlwkebiqhbdyxcdmabeliqdnuni,D,3.0,Rqtkgiics,,,Kmb8134,Mobile,125789.0,CO,Kmbikndlsgiqoeegwrhdvverq,Npouynetlvrzqyjqzhpt,,5.0,U,14.0,645.0,Graybar Electric,vlkhotavbfvfdydym,,3.0,1150303.0
Fheixrcnwxfswegxzxpyfbdqgcouzavrquskdtcoauuxftsyqfyhvccbdrldwnytmfnslbpk,M,2.0,JQNLLNPTK,1-310-252-8290,United States of America,Lgc8135,Sherbrooke,462723.0,MN,Lgceuoarznpw,Vpwupnycehnxjugxgnazspsevnylludhcakhwzdluswdvqobruivyf,W,8.0,O,79.0,616.0,Owens & Minor,zmxoq,F,3.0,3730088.0
Jjtnpbgdfpyvwxqocatuaeitdfkwcqd,,0.0,ciyfcasj,1-814-394-7093,United States of America,DII8136,El Paso,317490.0,LA,DIIYCKKFGE,Gjqxgmqopfjacqsaiysxhqvvmcqymechajzctzuvldcpvtiryvrcqnispuitlntookidoirtebj,,5.0,O,21.0,696.0,NBTY,Mcnxqwthjfgravyhdbj,M,5.0,2210512.0
nauauzsoukidbpstadskargjjqc,U,4.0,Kjptta,1-297-916-2199,United States of America,Fif8137,Shreveport,271286.0,MI,Fifckjehkgbphvdfydlmyromk,Ztancthniyxotwiwdunybxhnwrflvsje,j,6.0,O,57.0,618.0,JohnsonDiversey,DBTRJBKVCM,,5.0,117995.0
jrtmoxyraiehkhawllcyfhbtcacrrahudhapzdfjed,M,0.0,qxfimksll,1-916-402-2999,United States of America,Jxw8138,Fayetteville,235292.0,Newfoundland,Jxwliumdfseomeqnyh,lqdunnf,,4.0,R,76.0,820.0,Perrigo,EAECSSTGULBYXFUOLJVB,,0.0,3717247.0
Sxogdekirfdvsqbipsibwivfdoeabxaidspgwetxkgtlbcgmnmraciupsajnrmarhuejyjjak,D,,SFUXTUABR,1-948-211-6324,United States of America,Zlu8139,Corpus Christi,,SC,Zluye,Qkvyuyrynwidswelgraiejrbossujdhmkrtvccmupywlwpjrz,V,6.0,O,92.0,824.0,Annaly Capital Management,Cwfvhjotolfdij,,2.0,460103.0
yywhaedwuwwrisqwmmgwrfvklnsskelohddnhtviawnzlkeguozbwgjtpbrqvliigmv,S,4.0,REHSUHML,1-723-326-2225,,Bdz8140,Rochester,35188.0,Alberta,Bdzawqbhlnrukfvtwydai,HXMATYCOSTIEFPSTVJDIOUDTYVGHFIOWQXVDJQKICDZCTFFEXXNQPMOUAEGLZOCAOMCAVOABJF,,6.0,O,51.0,519.0,Williams-Sonoma,nazvygguwmpsrbkp,,3.0,2525611.0
whcrtemuvlydcqlcbldfvsanrpmiydbsibawvjtptjjwpsvgkbnzenhvjmtn,M,1.0,zcapokwvrb,1-281-856-2336,United States of America,Sto8141,Durham,149832.0,NY,Stobrwlw,,X,0.0,O,49.0,768.0,CommScope,Emtbuhhzfrnjisoaqqeqberx,,0.0,2592766.0
HOQGVRHAIDKANMLKPCPESNEFTKIKWUPIPZONPWDVINPMKPDOISNYTDSTMGCTPYPJELYED,D,1.0,DVOZTIV,1-257-726-8171,Canada,Wbn8142,Lafayette,418048.0,DE,Wbnhmiwbwuimkpyxptzbjgemwkwu,Uijnqkdgisglgugwllcszovigvx,V,2.0,O,17.0,458.0,Hanover Insurance Group,sjotzqolx,,5.0,2460993.0
Eoqtskskbcmvfvtrulvkzlszksafutswlehepvvkdgnmmekzquywd,S,3.0,VIKPOJLKYCJX,1-987-083-5202,United States of America,Cqe8143,San Antonio,146643.0,AK,Cqelobbplbijwvdm,nftrcfdjomsj,j,6.0,O,40.0,825.0,Murphy Oil,ITMBRHINVHBYMGJWWPOGUVT,f,,1543629.0
ybmoezrmxpjtxnlezuhvm,U,,tnwsevem,1-711-859-2325,United States of America,cdq8144,Flint,38714.0,DC,cdquqnugtzrkewwysihcoefgxvarl,wbibvpbixvtqcfbrtctwaijqsuyhaliynkbvtlmpi,,1.0,O,76.0,850.0,Navistar International,idhkhqcqxtr,,1.0,3397241.0
Hnfvyoiwqlpbocysjugpfagzuoggylaidkvfbroqajupdvjdtizdbbfapdlcarhas,M,0.0,DAYVTJNQRIK,1-842-023-7557,Canada,Ann8145,Gary,440489.0,TX,Annjwpizcr,Umnzgviotddprypwoelxemzbemrzatdxltwnajlncapfqspbbnamdexmozqcrfzhdyu,H,9.0,O,91.0,652.0,Ecolab,Zxpelifjtmnuxyvgmwhopjgs,,1.0,884880.0
Mkgwbirqiprhpjzfhfnnknjufeoqaniyeswywbx,U,3.0,Nwbivxls,1-171-286-6175,United States of America,LNB8146,Orange,470583.0,CO,LNBZDKOZ,EGTIQHXKPWPAZCYYBETVASFHJPJFMZQDSPXGKPKJPABIZQ,,4.0,O,64.0,350.0,,Dfluy,f,3.0,1944220.0
Gtetneioufdabtvhlqgceozblwyaaununai,M,1.0,ZDGHHWLQAL,1-991-406-1884,United States of America,Bnh8147,Yonkers,384868.0,New Brunswick,Bnhmnihaqw,Vvwovpxeynokid,S,0.0,O,,719.0,Plains All American Pipeline,CCOTTCISQOFPIRWVESMZ,F,2.0,1615708.0
RWARUCDRZXTZBXTRYIVNRDGFJMJJJIDFDXC,M,1.0,IZTRLFCUVJ,1-443-558-8486,United States of America,Wwt8148,Rapid City,406499.0,Manitoba,Wwtaelvbuvfxfvouvhfvkeuzr,Sawfnoewzsilbwpbaauaseeutaxnpgmrfcnkhiwaxaercgypgozfhqd,,,O,55.0,850.0,Superior Energy Services,Yhgyslqvgyfrllccbua,,5.0,501558.0
REPPKKHQGUCGHYXNPRNRTDNNOKGFJCYCRD,U,4.0,Qmumvpbxfot,1-225-672-6616,United States of America,gkd8149,Inglewood,55705.0,Saskatchewan,gkdgvjkrefnleiwyrbbdslvmi,gdpsmkcfo,a,0.0,O,10.0,616.0,Amphenol,JUKSIIQWPNBIWQFKKMC,,1.0,146343.0
znqoftenaqlcjaajxsiqrfhhwwrkuogxke,S,4.0,Xioeomqwldnz,1-889-752-1258,United States of America,eav8150,Rapid City,318607.0,DC,eavlobusgzugedtvbpxyhzke,Fpbgshmtsdinpahnzxdbajkbvcxqkldreoooneapgdjgkwcqcilsaskpxjvueoknixcqgcoupemd,N,7.0,O,33.0,575.0,Foot Locker,Iqpmjnx,M,4.0,651007.0
Jdzgnchvynmefzfoxbjentagfquadbaqckgczofcgsbtyvedldknbecyaenqim,W,3.0,Lnkew,1-715-108-4952,United States of America,BBQ8151,Anaheim,336614.0,OR,BBQVTJMDIVVUKXMXVDKZWWK,IJPQRVMGXJUKTLFGRSHYSUXW,g,4.0,O,100.0,,Sigma-Aldrich,QFKXNEMMQQUGEYLLPFPEPOMHF,m,2.0,3140982.0
kzouughjbvziwspdulqlrcxmkcddgopfxkllctdhwbhgsdyyagdsheqegu,U,4.0,,1-712-483-8046,United States of America,Omw8152,Anaheim,233407.0,DE,Omwlaxplnmktljwylppni,Qgiurtvzsapriasvuhkzc,x,6.0,O,57.0,827.0,Starwood Hotels & Resorts,TTAJYVJN,,,1307980.0
Kpfxjfrwibcsqioyzmddnm,S,5.0,mmaymf,1-425-436-9198,United States of America,GXG8153,Boston,354539.0,MD,GXGVVFGDHAMLVDY,Ilhmcva,v,2.0,O,32.0,479.0,Johnson Controls,kzlcafordxaxggitaxdhub,,3.0,2349509.0
Egboh,D,5.0,DEUCK,1-961-759-8130,United States of America,Reu8154,Jersey City,426622.0,OR,Reuddvyw,Cmredgodquvwebabntougazraue,,0.0,O,41.0,379.0,Supervalu,LOHFONNVQWLYWZHGJKNAVI,,2.0,3811834.0
gbuzgqbpxmosqacpmarlpwiissrd,S,2.0,Yuwvhlx,1-145-022-2139,United States of America,Bch8155,Fort Collins,287485.0,New Brunswick,Bchndedyber,Ujneriqtgnnrifkkaowsrpirvfexuibmk,,0.0,O,85.0,342.0,Constellation Energy,Odlukjgpxcsekxnxjeqrfipijgzpm,,0.0,946348.0
HFFCTMMZLVABDTRFVGFWKIASABHVNOQGEMVJEZKKBEICUIBWDPSSUXLNKBMDRJELDCXTRIVJSVPL,S,2.0,Zcgzbqlm,1-664-064-7925,United States of America,Sdi8156,Huntington Beach,12283.0,British Columbia,Sdijdhqtmqrjkymuqllja,Shpwrjxvntzwbxxhypdgyikajxxlxexgvqudvwtcsbjpdbtjcgiowamhfteifebprisv,Z,9.0,O,93.0,385.0,Ingles Markets,Sowyjvkznq,,1.0,1279270.0
HQHXDHEXTML,W,5.0,oslggi,1-182-978-9810,United States of America,Ety8157,Anchorage,223604.0,Quebec,Etyspzjiznukeuqocyfwrbwjvxgusi,Jcbirawrlipchv,x,0.0,R,99.0,729.0,Virgin Media,Xhgoxewtskybivszdbdqmofl,F,2.0,692721.0
Uiqobjjowvrpbcwpttdmambva,W,4.0,Odvgyfu,1-929-535-2843,,Erm8158,Bakersfield,118256.0,IN,Ermsaaylmswzphwewydminxqlwk,udynvqgpwht,,10.0,O,79.0,729.0,TRW Automotive Holdings,Wvqshrozwenwxvglbv,,3.0,3163811.0
wkbfpirmvpsetwbznionbhdfdwnilxdwufvnusvlkb,D,3.0,Vytty,1-895-400-6385,Canada,KFN8159,San Antonio,101641.0,Ontario,KFNAWOHIAZLTKW,Jcogwdatnprspcrzhwxbqehhwvhmrlqvzezvqirlmpcqjtsrfdveodjrgmnbmyzuinisyebfxeveu,E,3.0,O,11.0,348.0,CMS Energy,Wtuuvfnzt,,3.0,1824263.0
Nffdelnhlxedkhifoggkejkdkgqpcgniqsvishfut,U,5.0,UKQRMOV,1-105-395-7069,United States of America,Aup8160,Quebec,360755.0,IA,Aupnphhayvbejntnpqtenujvcgawjp,UQNMOOIOFGUHGLQHZGQRQDNZXVNGHACACMPJASDRZBFKIHGNUJYCUUZWHWYDGGWGE,,6.0,O,91.0,380.0,Spectrum Brands,POCUJHLAKSIETAYJABBUX,,0.0,55523.0
Hpmwermwsfepkeqwvznsmpxeucrkbjsnzzjoorlrirrfpm,M,0.0,jzwiajueluc,1-403-838-7236,United States of America,rih8161,Hilo,66932.0,MS,rihkjkmplfkg,SVZXWRYUECHCMTCVEJOQVALZAHAPKYXNLIIIWGXPAXMTWMWBYAEBPPQPI,Q,5.0,O,14.0,795.0,Darden Restaurants,Ftfwjexzrazy,,5.0,1732468.0
Emlxayivqnntzn,M,0.0,JBXTMF,1-779-392-7227,United States of America,uge8162,Casper,1046.0,HI,ugebd,Zqueregsfwmpekrjavmbcuwebhsfghtjulhmtocgkegsfniaihwsfpxjwadgo,C,8.0,R,20.0,439.0,Avery Dennison,Ruqhrlo,f,4.0,1119698.0
Fbbiasggcsdtnvtzchwykjmvieecnibveoslqskhkkttllovvsftygdfkzoxpmtcujuide,W,3.0,SKHYXQPOHG,1-387-899-6880,United States of America,Yef8163,Erie,182243.0,VA,Yefoxk,GEPUDKQQMXBRCAHZRVDAGTJFGUIVMAZCBWHVVWJPURQEROUTMUTPQVQWUUPOPQXPLBDA,c,7.0,R,7.0,587.0,FPL Group,STMURNZB,F,4.0,1513665.0
EKKTUXLPXVORNRGIQEADWZQKC,M,2.0,YAWER,1-808-925-4977,United States of America,Kfi8164,Manchester,262091.0,Quebec,Kfistvyxdauthhxyjdm,NQWVEXILESASTHAGWARSBPJNJTTUWPKUDUCOIOADUERUWDFPUVHGKVFMXWOKWVUQLMFRGUIE,,4.0,O,41.0,,Simon Property Group,YXJYBLYAEDTRLBUIA,,4.0,3750549.0
FHSTTVOQ,U,,AJNTMKRQDYM,1-350-854-2202,,Rrn8165,Huntsville,329551.0,FL,Rrnsxuoiotroqwrrplocmazcbxpe,KPYNGJTNHEDQZHMKOFFCDAWQXFUKNMDQVHAIKFNQGFUODFGHX,q,,O,55.0,473.0,Wyeth,Mavsoyptqxslzkppdhrmrhmcfah,,5.0,431599.0
rinuczzqtfj,U,4.0,Ersgyyp,1-362-977-2780,,pjq8166,Las Cruces,401622.0,IN,pjquv,Jagrvuwoaoltzixebjewqliojsprqddxharjyallggnuobcojjpcpqaaalwl,,4.0,,35.0,579.0,McKesson,ocnlbolmfrqjsahfgtjguwv,,3.0,10739.0
GCUTBNQTVPAWONOQQXBRVCO,M,4.0,xsoyvg,1-544-827-5607,United States of America,XSH8167,Santa Fe,,WI,XSHCTZPLJTUASLMRXEYDQQJHAM,Wakzklkmjdwpiqzhqobnrawefgzqhpfjyrsqaueatmemypfquefbtwlfxmsd,,7.0,R,14.0,628.0,,Bouqhytfotjddpbk,,2.0,2431923.0
eggcyb,D,1.0,Wwffhas,1-954-159-3230,United States of America,KHG8168,Fort Lauderdale,19952.0,IA,KHGXMPJE,IKOUGGYTGBTOOPABLFR,Y,0.0,U,63.0,795.0,Helmerich & Payne,kzrevrqypzcyqju,,3.0,3022855.0
AAXBQWXXAJZXQ,M,2.0,Sjybk,1-381-023-9337,United States of America,pml8169,Mesa,,MA,pmlbwjwdcdjznlwddzskslwoewzegh,Fczidofgxwijbgnbomltdrniftzfkxmncxpjuotpjhgvvuqbaxhizpswbdafvdcfstr,,5.0,,39.0,776.0,Dick's Sporting Goods,sgegdmtbimrkndtntkpj,,0.0,3143732.0
FVWZTKXELPZWNDFWJWRSQVWXMTCEFBUUVOXTAMPLEPDXVJGLBHNBVPXMPKCLFWCLKQZXSJWWMSETCNP,M,2.0,,1-520-652-6941,United States of America,nfg8170,Stamford,129442.0,Prince Edward Island,nfgqjem,RIXXGKUGXDYKKMTVKTDNOKWEYQMQIWEMQGAVYZHJAJZYPPFQMIVYXTVRB,,5.0,O,44.0,452.0,,Oaloinvbvqtqwlrvz,,3.0,3379381.0
Fvxytuuvxwsrnctlmekntdbyebosdhzcionmgqrcltyljehggrjbqbzojbjzg,M,2.0,INVPMIYHXYZ,1-607-807-3132,United States of America,Sss8171,El Monte,363140.0,WY,Sssumzpgcfnatcjsrcszetjai,XRFWXRRGIWTALHMKMDMXBEIHECBCHJIKTKZNADVHNTBNNK,,6.0,O,5.0,453.0,Reynolds American,ICMIGBPNLR,,5.0,3356639.0
ioemfmzyzwxvwsctgiblkvkff,D,1.0,Lggkistgqss,1-801-864-7089,United States of America,QUR8172,Mobile,469249.0,IA,QURXHBLNOUAGZNZIKP,rgovamjusizuvnzsvazjvoyrkgwpaibennkyfkyvmjziihxswcilsohjgdnlzdq,,6.0,R,52.0,437.0,BJ Services,Ksdfwqkfvrfoolrdvrpzumdnxo,M,0.0,2864358.0
Mjhgxodhbhyvaun,M,5.0,titltmr,1-598-892-3616,United States of America,ewm8173,Providence,439011.0,PA,ewmwuvwdgjaxihtpdrwvcnwavyr,Bnpwhjcoicq,c,4.0,U,93.0,537.0,Consolidated Edison,Vfdagwrscwjmrtahspagndkqjlysky,M,2.0,2307534.0
Expkuduugsjluydmxqkiadltaitnjlvgcmgbpuifmwcvki,W,1.0,Temzy,1-707-823-6520,,qfx8174,Atlanta,312166.0,NC,qfxoosd,XJUJFHUPUISDCZPHZWPLMHNZUIKKSYADMEHAVTWUCDMCIJYFHPQQUEVJTZAGGARCWDB,,8.0,,81.0,717.0,Volt Information Sciences,Jxjwd,f,5.0,2189380.0
pizntfgydmyozpxvvcvzhlkcawfmzmcaheebzifdufkp,S,2.0,Wnmmein,1-026-056-6947,United States of America,Eev8175,Mount Pearl,431603.0,MD,Eevqmnheiqrkdijfhj,fdwbxywaklylillhomtbwwayzcpjqhgwusxbvpqcoxyctqshhpjdjrskwkyiaujlclstp,,5.0,O,17.0,846.0,Toll Brothers,SYAONZHWIKDMWNBYU,,3.0,3399421.0
Srwbqraoxkqebprzcaylrsxgxjmvmddeawevn,S,4.0,DERUSKTWSMO,1-397-746-0552,United States of America,Ofj8176,Paterson,278790.0,TN,Ofjzodlwpzbwjibx,jzduuvvh,,9.0,R,34.0,529.0,Cameron International,UBFZBUN,,4.0,298212.0
,M,0.0,OYLURWO,1-677-492-9300,Canada,osw8177,Atlanta,318563.0,HI,oswlexgxghnzsvhzgud,Eftqvbegbhsklweloymhewielnchfqapxhvcumeelmmmcknirtlzngw,,10.0,O,29.0,330.0,,TDTYFKN,m,4.0,113758.0
Ethqfhltfmatvlkfcuqdfkfbpuexxmiiznoxiobuopanhnhtulgtgbyabehxvepdbxa,S,0.0,GYSFCFQBI,1-085-487-9852,Canada,uxt8178,Ann Arbor,62248.0,MT,uxtabsuoxwhzzwoimm,FAZIOALVSLULIDQJTEQITWGRVBXQZYJEVPHNUJEJQDWASZJMANYGRTRGLHBOM,h,8.0,O,82.0,795.0,Teleflex,Wfafqeauxcnfjajtjkkpzvdqow,f,2.0,324094.0
Valxesegesdbvrjcaucex,S,0.0,RCTLHT,1-635-756-8687,United States of America,Kdl8179,El Monte,,AZ,Kdljh,,,3.0,,21.0,489.0,Andersons,zhswllynhuxmokxrsculwkkhvfk,,4.0,3881656.0
zqhapouqtsxikzmkana,S,4.0,Xlizseeiq,1-445-178-3967,United States of America,QYG8180,Baton Rouge,247025.0,FL,QYGMKXD,mqlfevcjkkqvycgnfvmajfhufqviwykcaainmogrmvqwyfjkfzqsbmitbidvlqyhg,,5.0,R,,353.0,PPG Industries,JIPXHYLOQMPUII,,5.0,1527059.0
rhkpjbkpehroracrddddmpcyexiqgaiafejfkbsswxgmdhdanisblwgbytyppqgkzgsjxpdawpga,U,0.0,Vdxqxcnlmsq,1-377-341-7886,United States of America,PRE8181,Irving,338041.0,NJ,PREWICKMPWCBMOSBPXNAWPQSSQA,rpbqdybpqcoeemcyuhnizeogwdlurxhftmfvmqzlwccwzlszhxfioyuxjclkn,,2.0,O,50.0,784.0,Borders Group,Guywca,,1.0,3499626.0
Etkfgkhklmarodmnfsynmbrcvioauwimf,M,1.0,dalhyezjmppf,1-572-480-1354,United States of America,MCG8182,West Covina,,ID,MCGJECTRXQXXQFL,Snynrhctdgppkydfmgkbdogqaosnbzqngyqhssxfimbqjemcab,,8.0,O,84.0,449.0,Nacco Industries,OPQPKBKVSXUXJUMIE,,,1582947.0
IHPGVC,W,1.0,Dnjygrt,1-224-571-6718,United States of America,PBD8183,Memphis,9428.0,Alberta,PBDKROITCIFSYHDLAHQKB,kxjrlbxjvpqacgunmafkpqqhjqmgukxtkvyicguhqnprigauohuelyoqv,,7.0,O,27.0,326.0,Mirant,Nusydtvdysbqshlycwey,,2.0,3415635.0
vgqwjkkrgszgfweurnfvmnaeeatrnepe,D,1.0,Kiosohps,1-321-322-0488,Canada,hzq8184,Wilmington,225464.0,CA,hzqggxssojudsiuopknp,Qntcqcjfwpszbeusqvdaekndnoinhslswudtttdvx,,0.0,R,44.0,729.0,Oshkosh,fqoehbxlrcnxkks,,1.0,1994536.0
Oqomezstsqrilxdhvkzjzbyxatvreaqtddqhrlmtcstgakluzitiaggqvpkobkgyiok,U,1.0,isehxfxrz,,United States of America,Yrk8185,San Buenaventura,416767.0,ID,Yrkgfbmnvsbswc,KOWESLTVMNZH,s,0.0,O,86.0,507.0,Southern,dtrnhvzzkdsnfuk,,0.0,426125.0
MOLPCXVIBDANO,,,Wkmjoeud,1-413-216-8569,United States of America,Ysl8186,Mesquite,456718.0,Newfoundland,Yslhbqzspeppgmwv,Suebhdefpeuimopiwiiyuzfonmymckqxoieafxhmhugimkglkimotmxufbcpjotnkhkc,,3.0,O,64.0,593.0,Virgin Media,Nlglw,,5.0,1703585.0
Japnlrbqwojpgxhadqogvqcvorztmcef,D,1.0,ABRUFJF,1-519-686-5786,United States of America,khg8187,Macon,113342.0,WI,khgmmqjpqqllfcjkvgtq,GEFJUDXMSOMCWGTNBBNMVAZB,B,5.0,,10.0,695.0,FMC,Smsvzbfoild,m,0.0,3333185.0
Bsukfvleqijroppnzqdyxpiloxijgwgsxmrzupgzefbnqcrfpsokzjpsdkykonhnpxtewnbmq,M,5.0,IVMGHPDBJC,1-008-106-6982,United States of America,Sdt8188,Amarillo,157687.0,CA,Sdtteis,iaqmyuftoifubmkrhaurtqcxragmefhbjtxysvqhraijlvyinyiwveshuxwvfposyuaxdimlytbre,,9.0,R,33.0,530.0,Deere,Djajkkacf,,3.0,893537.0
Snalqltgazuyjzwizmrjndawicmvixvmhcowyxiqgfch,S,1.0,MXLIVRZQIIDT,1-498-041-3053,United States of America,Dwc8189,Lubbock,241471.0,WI,Dwcjpkzihqjrg,Wcolchgsufebzxavprozjtvslcynfxcqsmsbwkniwyqlwddcpaozdiopheekafhcr,I,4.0,O,8.0,573.0,Corning,rayreivoiaddqucchviigzsukedf,,0.0,690568.0
Alhvnfxcbnniuaorityapwqfghvjvnkvkubktxakswggnnyenvcghnjxdxuq,M,4.0,TSJHH,1-191-776-3418,United States of America,frb8190,London,438046.0,OR,frbentracjqvkmujpddbxhbudpg,qsjmrkqdxqyndrqstzptrlantyblxolrysqpdzohtilgp,,2.0,U,2.0,672.0,Wyndham Worldwide,Fqpfksezsmwpqkgond,,4.0,3623733.0
Znwtrblpfpgvpouzqgcqyhbupcembsdubwsbahhzpqigjwciwrsbxyvb,U,4.0,uuzjrvntbmfu,1-080-277-1648,United States of America,ulp8191,Syracuse,456022.0,MS,ulputtixvghazhrs,ocozhnsslaxjqfbfpbdsdmcpclbcajhrglunekybxhrpxgxjteslviypenursipmv,C,2.0,O,10.0,693.0,PPL,DZQMFNV,,4.0,2204304.0
YPOWPFVXVFLAQTQPEQCZVLWFXWUKCAHJQWSERDGKBQLNPFUBMQMPEZLULBMVNKQOSQKAPBJOPHWKJT,S,,Frmhssjqavj,1-345-056-6859,United States of America,zhi8192,Huntington Beach,167597.0,NV,zhitbrtpkmpbeaaotdj,Uqurakqzrzjtabtaowzjcpmwuhvnmdbyycnzxfwirqznfgwtgmemykhltxjkcpn,,9.0,O,58.0,709.0,Celgene,DSZUNWOOA,,1.0,
YLZZPTRCMMJJXF,M,5.0,GJQQXTJG,1-497-690-1567,Canada,Yoh8193,Missoula,475123.0,VT,Yohuqqeggkkpotquwtjnk,Coxddfdjvgruhfjkclzrfnykfg,V,6.0,O,96.0,664.0,Invacare,Rlpkcjqxdfshiajouskkixcspwsvxw,F,0.0,1093488.0
CCNGGZRSDWNGOJSRBKJSSWIAPDSGIORAYWIQEKWZQRKTPILGRAAWQHCFKGWVVBYM,U,5.0,Ggwbtytvanc,1-133-399-3669,Canada,etf8194,Spokane,203941.0,AZ,etfndjzspnvaqwcs,Dxqhthlaehduduybazdieysgvrrpeabwbodsrlycyagjeafzxevmrwwnijrzhxxavooziqqaounb,,5.0,O,36.0,827.0,Church & Dwight,Omrlaxwq,f,3.0,1945110.0
Kbufhmdp,M,5.0,VIGDDUIHCPMU,1-619-130-7359,United States of America,XRA8195,Simi Valley,190429.0,IN,XRAFQRYWCHRBIB,lqtmyoznsjtjxqirvcom,,0.0,O,51.0,401.0,American Electric Power,WFRIFEAKKPBLNLRZOQBXGAM,F,2.0,2938159.0
Hnlpziqikrugpknfzvocfririgcahohzbhxhexsqmuzktdtx,D,3.0,Prlxgvdmdc,1-469-461-4709,United States of America,nic8196,Richmond,441173.0,MD,nicxgtouoygvkphhorpdifea,FANRGJVERAPPBJHBLJDEJ,v,,U,8.0,745.0,Polo Ralph Lauren,hhtsehfmyerogw,,2.0,3012500.0
Nsxcunautvnldsgfbrtwqrkhssbxnumpfzuiknukrahwxanjtsfn,M,5.0,njhneyfpgv,1-876-229-0783,United States of America,Ikz8197,Santa Ana,343745.0,MO,Ikzwgtsahegmum,Dsnrqxyw,,3.0,O,29.0,685.0,Cooper Tire & Rubber,RDCDGOUBCD,,1.0,2406948.0
,W,1.0,Uevwgan,1-584-518-3901,United States of America,Qtl8198,Nashville,275020.0,LA,Qtlbpourjomgjummcvcvdpzxqvkd,avysoqmdkfdofpnklilxzqshakpggmqigrcrqhijkdetwwetnrbilfyhlsvdwawkkywpyadaczqqojnm,a,9.0,O,88.0,570.0,Sears Holdings,Yxyciullcwwhayxtffobcn,,1.0,1038641.0
BHXAYKODYDPZEAJXFOYIIDORYUNPVVUQREHMIXGBYTJMCBPPBAKKSGXCSAGJQ,U,2.0,Brkraizktc,1-237-569-3360,United States of America,hiv8199,Oklahoma City,489955.0,SC,hivlrpkgnpdwmpagrgjhglt,LSGHZOZIDIUYETBXUNMPAXQMDOHCUKVVSDUHBPWFRYOCMGGQGX,S,3.0,U,20.0,624.0,Scholastic,hhwnwebeslwixyfnbouxeuow,F,2.0,2815598.0
Bmvdjsuslkrwjevbaqsvctqucigpanrjuazmqxdilvfzybzqecqkkmqjycr,D,3.0,Kcvlqlscqifg,1-614-453-6661,United States of America,imi8200,Oxnard,146666.0,AL,imiphygkuweehyoix,rxiwcmawvmtpnvctqcxlcgcpvm,,8.0,R,27.0,533.0,MetLife,KPBOUAO,,2.0,3600396.0
Xqcnypuosloykfxjlneotgrlspkhw,W,3.0,Bpsbdnduogp,1-121-346-6384,Canada,Lmf8201,El Monte,384125.0,British Columbia,Lmftqgcwhht,Xbrrmnkiiqxzxexxqgeka,t,2.0,U,56.0,802.0,Teledyne Technologies,clcslkujjlmjhvqrdfsjsb,m,2.0,2441258.0
PTPNMORFZIEP,W,0.0,Ievkjfwfisop,1-154-819-1355,United States of America,WWC8202,Glendale,338664.0,WY,WWCCV,Jpyjrtcbpjcbofaz,,4.0,O,39.0,509.0,Auto-Owners Insurance,Qipyasl,M,1.0,2117405.0
Divfttevdyapvsnpxhleh,D,1.0,Tqczrwtvsu,1-090-640-7428,United States of America,Nad8203,Lafayette,254827.0,Prince Edward Island,Nadsywhryevzxofldwanwszpvkooy,Nscrq,r,9.0,O,55.0,828.0,Dillard's,rntlqjspsjcckmemmnslmh,,,773721.0
,,5.0,RGQPN,1-335-781-8696,United States of America,Tqz8204,Salinas,447298.0,ND,Tqzpc,Oqwbrxinohuboqewgrqryfiupblfj,L,10.0,O,86.0,768.0,Energizer Holdings,Oydiawnouspsflnnwulj,,1.0,1023774.0
