Employer,NetWorth,Country,Income,NumberCars,AddressLine2,State,AgencyID,OwnOrRentFlag,PostalCode,MiddleInitial,AddressLine1,Age,Phone,MaritalStatus,FirstName,CreditRating,NumberChildren,Gender,NumberCreditCards,City,LastName
Amazon.com,3248166.0,United States of America,233974.0,4.0,ykwzsyrfwaxatstnacdayikzjrakpwpwihfkkhvchhzcwrzt,KY,Wnp8517,U,Uorqzyb,t,Rzxqfzsakjpklbudhixktnikbglqdilgocze,16.0,1-611-443-1713,U,Cvvsbqshqqo,346.0,1.0,F,4.0,Montgomery,Wnplhrddffgiakq
Arkansas Best,3957538.0,United States of America,316779.0,1.0,Eubjwocmnfzgmohhsvemvrulnhimkijghyegulasgijxvofzotyjghhctcwilaqnijrxm,OH,Gvu8518,,Fcbtcux,,iuzjrzeqdcltjsbycwlhbglbtdtkhpzesfprrvbtnpeufqaxvpurdrjagmfygqppmre,96.0,1-374-711-1669,S,ainaftbafsuqmhbvo,318.0,1.0,f,,Halifax,Gvusnxmtjsecbyecmhkqbaltdrxvsp
Nationwide,1070106.0,Canada,,0.0,Wejugkpbotwtzlwbtxbvcupeaaieqqidcnqiktxdwwewzbwlxfewklcbobpjcoxgre,ME,VFW8519,O,Fcajgck,,Szceqtcdwaaerrnpcfdfxfumcyhvpmijtuged,52.0,1-153-167-0916,,Nqsnhcjvskdisuxhvu,470.0,3.0,,7.0,Santa Rosa,VFWSWRNHKJJMRHWATARQWAMTTINWNN
,268243.0,United States of America,,3.0,kiutvmdirnsouuvjwopswxczvkbisjbpueoeunmffgfsyoidhjfrhnzqfiyuxwmakepssctthwzac,NV,Afx8520,O,RBUNLBK,,Aifmrucgawman,38.0,1-785-182-7850,S,Ojkcyxxvghfxtjpuesqx,416.0,4.0,,10.0,Raleigh,Afxuvvgve
State Farm Insurance Cos.,2932666.0,United States of America,69217.0,0.0,Ophyiakuzekldzqvzjvcdnb,HI,Usl8521,O,fwhiqaflryn,,vijutxmarhjldsea,78.0,1-821-352-6554,S,kjrcqgva,365.0,3.0,f,5.0,Casper,Uslfnqywh
,2510854.0,United States of America,128400.0,3.0,Kstozfiyvggnyxmdvjvsm,RI,toj8522,,Gnxrdib,W,wbeozoodomrvegljblyzrlrslefyhihif,2.0,1-428-416-7331,S,rqegusxykgbljkweft,668.0,2.0,M,10.0,Dawson City,tojdsewgamiycorqxupsrlsp
Buildings Materials Corp.,43530.0,United States of America,172941.0,1.0,OBLISMMKUQDAKUACKDULCJIDBNEQLHEBOEIIRFOKGZUWNEZHSRPBAZBVFRWQXSC,TX,fqp8523,R,Tbfcqi,H,Mrbzkgda,1.0,,M,kaxwwi,705.0,1.0,M,9.0,Sterling Heights,fqptfqdi
FMC,1611189.0,Canada,,5.0,Zvqrcivdellsaxstdplodpxlpcg,WA,sjm8524,O,MPSSJWSFSHL,F,Jysamgypvdxkqlyaweysjin,64.0,1-334-447-4491,M,XFOWLEIJCUP,471.0,4.0,,5.0,Long Beach,sjmxqonoruqvazsegcrxrijoow
ABM Industries,,United States of America,90913.0,5.0,VQQGAGHNGRKJKNVNUMASDTDQXAXHXLJXFRMHVUAXJGGNMWJSAKUAKQNFHTYMYGULBUSCYL,FL,Rie8525,O,Fcjlswnhfj,,Uemqsygglxhagiujbtsxubngjigrtvrfgehegjvzhciav,29.0,1-493-866-4852,S,Zinbzobhojitxkxvjplgdzektkczan,344.0,4.0,M,10.0,El Monte,Riextfotucbwsowooxbmthrrtwk
Burlington Northern Santa Fe,2668412.0,United States of America,497850.0,3.0,LKIDHMRDIRZIWWAEPRIORJOVAXPCZEFIIWHCJCPUEOLQYSKOAHLJGFYWJH,WY,Msj8526,O,Ktgqtjpppn,,NQCPGPNVTKHRBFMLUZBRAY,,1-539-316-6454,,FVUAFADJOFXWPDF,545.0,2.0,,9.0,Bellevue,Msjmiiclajxoqborxvggrfdjkrviws
W.R. Grace,3357587.0,,122536.0,4.0,orlkilvuvsaublgqmgirvzcrofruxkoai,Prince Edward Island,GQI8527,R,eshfnhteqkk,,qzatmghufwzdyvrtacrgj,92.0,1-437-906-2896,M,Vkjietkzgqhvqmxaulgvro,469.0,0.0,f,,Boise,GQIGYIWCFCGZKGYPCXMGPKKXXKP
Vanguard Health Systems,2477983.0,United States of America,325913.0,2.0,bydorrlnmwclwjxrzihzbgfagenasvozjajgxjncgxviatqporzgmhlaoqvjlqyfvxsodwfnctyryo,OR,Qux8528,O,EEJFP,,Ptpjpwwowfztojuqyuqgzlepyfvrqabkphpgycxnqzicdrkvnvfusvbxll,90.0,1-831-874-7712,U,Dgmpuojyidzhhtgumb,504.0,5.0,M,2.0,Berkeley,Quxsdpxaeqkmsbprpdwtkqtnwmj
Graham Packaging,3024331.0,United States of America,132810.0,1.0,Ivtujpqeqaceiuseflwkvjhgrwjvrzlhu,GA,IEE8529,U,,,Slejkhtbxkfsvjcbpvutufmzeezebzrwbrtdhpazdrgweegdhdvpjwtetmsptldhaubwqpb,43.0,1-588-676-8975,M,Zvykzfbabtgkvnerisxpttrmd,715.0,1.0,,9.0,Columbia,IEEHLODRBBP
Wisconsin Energy,424598.0,,84453.0,5.0,Xtaewrrgoslajwontsyjxbkwxeoaiwowuwlsyqlnyjinfqjoqizpgghpeomx,MO,Htj8530,O,,,vuydrahbxiatyvrcyratonjeywbmkprrychoeedwjriy,54.0,1-437-695-6425,M,UIVNHFOSFMNHBUTNP,726.0,4.0,,3.0,Santa Clarita,Htjxiojmieuixrqb
Simon Property Group,3291469.0,United States of America,155366.0,3.0,Jucnvvgzkhihomrmhkoeqfifyhupsuwj,Ontario,dxa8531,O,jtbomy,,Xihnemrrgflfsmpyl,85.0,,M,Xukxnrvfxaqcjdxdgaest,715.0,4.0,,9.0,Plano,dxanskgwcootefho
Convergys,2438535.0,United States of America,427365.0,1.0,cclliiudvpeozxoepvfrbwymdhzccauyktsvsqrvyodofqkcfpdvxv,SD,mpd8532,O,Qbpocmp,,XPHVEDDVVTHTNGMUUVPPBSDPNXUZAHBOWOIQUQCGXYDWBIVBUHVRWZAUBLYDITNV,90.0,1-816-980-8873,S,Eyazwtasgtqxbgacdoeo,,2.0,,8.0,Fairbanks,mpdjiiwemwqgbachvixsncw
Diebold,2930050.0,United States of America,330508.0,1.0,,GA,Icl8533,U,asmwnli,,Wgvcjevhcmmnocqvcrc,100.0,1-152-091-9649,U,WTVOER,583.0,2.0,m,5.0,Warren,Iclgsbf
Vectren,3994449.0,United States of America,14063.0,3.0,Zzmqjibgpfmhsmfxhycrd,GA,Rkm8534,O,IPKWAORTJYL,,PQAUCELVVFXILWXBOULZFAWCGGNPKGFDBHVIZBSATDTRSFRLSKIESZFNTNWEMELSMTVOLDEQOKR,89.0,1-080-785-6233,M,ljvdzjezustglylipou,805.0,5.0,t,2.0,Saskatoon,Rkmbjfwvvnqzzjmvafvrssqjyhcuxp
AbitibiBowater,1601499.0,United States of America,61322.0,0.0,Ldvpotktkkhgtfnbjcqidwkqlopgzoawhdoiazbafiueitrnopwoxhll,ND,TIZ8535,O,mhrogixhpus,f,Qlfvxxykljazvqipujbdreuupyaqtklecetepsqxpyhymerzuqxpkjyguepktczipbsnqjooy,67.0,1-902-025-1797,M,WYVPLOCSRAUMRQDTIUS,,1.0,,10.0,Wichita,TIZDDCKGQJCMVOEGQHTOWHZ
Brunswick,708829.0,United States of America,488500.0,5.0,Uhndtjpyfdbmxfcykvfbbwckqykuzndmicbgk,IN,usl8536,O,Ecwmkqidjg,,Dajotqu,,1-595-108-6831,U,XMMMCGOEWUFCAHLNYJXRLAD,678.0,3.0,F,0.0,Buffalo,uslccabefgmkgu
Interactive Brokers Group,2087147.0,United States of America,,5.0,JBQRHYVNZUCZYBORIVJYUJTRVXCIFSHLM,AZ,hzy8537,U,Advogivxi,M,EINMNSETIOGKFKEFDLHPIQTIIYYNPZNQCIUGZKHNGWOYZJAZRVADLILLWIKXVKQDOVIPRC,80.0,1-618-489-9613,S,ZXLYEWCRPAGAXWIM,415.0,5.0,,0.0,New Haven,hzytkydswpeqg
OM Group,2607740.0,United States of America,381888.0,1.0,gkfzijtakiyd,SD,TWG8538,R,lehtooqcko,,Lwodceyqfqmomtxxmbcsgkgibpmiwcibsccdhbepprscwjcokxxglo,90.0,1-721-917-6298,M,vjqbvmtwghtf,741.0,1.0,,8.0,Aurora,TWGBCYQJIMHPE
Pulte Homes,506421.0,United States of America,106937.0,2.0,JFLYWVRHHRAYQHJBD,NC,Zdt8539,O,xsjccoeuzfnk,C,YBRRJWORHOMDAFQTKULXKENGJOTOZNXGZOCJEVPGEZIIBLWAIDHYGZJSBBBHXXWIADOMSFMJZKOTTSZM,84.0,1-835-293-3356,S,Dnsparycommsbzmrrm,722.0,2.0,,10.0,Fontana,Zdtrlzsvwk
Global Partners,1833920.0,Canada,,5.0,Eaecvvjyfthouweasulkojgdjazxtbametvcnqzofdtotacdvcownjmt,CA,JMI8540,R,Wcqfntvji,,Qargbiozxkrdmgecuxedzuoxcxnsszbphwwoopskwkfwikcugzxwhqxaafywg,88.0,1-348-595-7405,M,Oaqxel,720.0,0.0,,9.0,Wilmington,JMILGNUEJJKJZXPZMECMOVBYGNTYL
TJX,162870.0,Canada,73858.0,5.0,,Prince Edward Island,nvv8541,O,Dkvxujycps,,Ujmtqwfdvzddgnkwmcibxveptwlfjttpouzvbcuxxkinjdxwsaojwtpshdqvkduqamprqqlonxxrppcu,25.0,1-749-829-2136,D,Aulnmqmdwnvzgsdj,345.0,4.0,,5.0,Modesto,nvvcdukxqeosyay
Whirlpool,1194756.0,United States of America,356137.0,2.0,Gawculczbovbghemzkjahtpctuvyllbkpbnbcioehudtwyrsa,NH,Xbh8542,O,Hvoicc,I,Wqgnhrkrlo,26.0,1-753-677-2911,M,nmdldfhilnljpvgo,710.0,3.0,,9.0,Hollywood,Xbhwib
Oil States International,1080794.0,United States of America,493727.0,5.0,,CA,vbt8543,O,,E,Qrjpbcwwzfnqvfjjbmvlewx,58.0,1-274-756-5441,D,AVDNUKVEDMOYAGHZ,378.0,1.0,,1.0,Las Cruces,vbtmnnwbyvdekygzimcpk
Tech Data,2555310.0,United States of America,255446.0,1.0,Iphkatpzlmzmcedrmnjhpcunjxd,UT,Nbu8544,,Cvplvipivhug,v,Gtrumjbbyppmmkfxfotondkaiwrqylkhgeqowzrr,54.0,,M,utrcnwnvwasjdyajtdgh,627.0,0.0,f,7.0,Chicago,Nbuuyw
Pactiv,3333718.0,United States of America,356544.0,,Twntglcvthglhrnkjffkokabsfxnftoirzxmmnvkrpfquyaw,WI,Rgr8545,O,yccmgbjeryss,,Sdufbkuih,,,M,Amqcifqnc,623.0,5.0,,2.0,Mesquite,Rgrmfobsuxgatswasbh
Avnet,3111050.0,United States of America,419228.0,3.0,KNZBYYUBGOQMRWHWTUNNMHMAEOAVMPMXCZJQVHTJKMPBUFAOSTZVHSSTVPDBMLZHBWSCUPUSAF,MO,Ftq8546,O,Eiifdj,n,hsvqlassjcernhtirzvaplyaazetrjglolzqwuvhdnlvmnittwpalckvoikiwvguabvslgzpbh,87.0,1-758-295-0803,D,pebeueusvmfcjpplslflyfcqlmzil,782.0,,,7.0,Plano,Ftqxttzbnceldlynnlb
Family Insurance Group,1786559.0,United States of America,279760.0,4.0,ecpehdsxoiwhsbfprvaspshapkruueagweknndcjkkagux,NJ,FPQ8547,O,Sajsagj,,Wgmiumhxoqabigqddvimnalqfupbcqwznilxrxdjitybzwyavmqcyinyjraptpqntjryxfgmcbtxwc,62.0,1-473-272-2226,M,PPDJNU,535.0,5.0,,,Cedar Rapids,FPQLTKGUYJRTTXHHTL
Las Vegas Sands,2936931.0,United States of America,92895.0,3.0,alsggta,MO,zok8548,O,nqmtv,j,Rmxlvyhehyaarqvcgvfaihoifapebjgmgkhopasg,88.0,1-197-481-0306,D,Pgvzxtchumensld,673.0,,f,10.0,El Monte,zokrplot
Corn Products International,2245050.0,United States of America,300631.0,4.0,gqhvzshybeysjmxkxxrmjk,DC,oqa8549,R,ebcknzmvowyp,q,Wfusiyndxtvl,41.0,1-381-354-2506,S,kartevabbushhvyuqxl,336.0,4.0,,5.0,Lafayette,oqajmf
,3280943.0,United States of America,387843.0,1.0,Rdezxkzvdsapmzcsubeynoefwhrd,SD,YIB8550,R,xagkfrlhb,,Eqlfrlfe,9.0,,M,Bremxoouunmn,791.0,5.0,,7.0,Frederick,YIBJQYYJXJNKLWUPZVRMGYK
Energizer Holdings,2927688.0,United States of America,352565.0,0.0,Sylrcvmjnwwrftbboqurittzepowqbmxvkxztlsjhzfzucnnxsuexeidobefhyz,VT,Csu8551,O,Vmknjokvjav,P,Gfuptxdedbtobreekytbrcenygb,54.0,1-342-322-3904,U,BBPAJBBWDGSLGNLUECEKBGVITLXLK,414.0,2.0,,6.0,Columbus,Csubnjxydykciuqc
Cliffs Natural Resources,1585088.0,Canada,429081.0,3.0,Wglasftkcmigytqtzafsyiryevvlnhjnnjlxjkxvyrifdyhodi,WY,kim8552,O,DWEJBF,N,ABQOZYG,80.0,1-656-561-4641,U,Atbttwxmlpydydlgkzptzieeq,828.0,0.0,,1.0,Shreveport,kimucpzclwjeafplg
Newell Rubbermaid,999428.0,Canada,14301.0,,ztbppudfvmzbamvobwqeagweggqqniwcxcofwkjiiekgbsmfvziottergvbjmdajezvu,TN,Wnh8553,O,,t,,85.0,1-743-541-4240,M,tblpo,,5.0,,10.0,Pittsburgh,Wnhusjzilytipwhsapzup
Merck,1627222.0,Canada,497857.0,3.0,FGYAAEZFXCESJHJKAHHSHSVLBQLCIVWDADCNDEAOVBZEAQRUDOAJAIZXVJFZMROWWGTD,VT,qlh8554,U,QLGASQVWG,G,Dekryeuzykuexepcaxksbsmizilsmmdfbxopp,62.0,1-469-238-3881,W,zdqzceuxodgjsteahs,400.0,1.0,m,0.0,Lexington,qlhaqflseebcpyeqjtyquhqvodost
Airgas,3135975.0,United States of America,24869.0,3.0,Kajcvjjldsvlnnswoapbqwjmhkzxegrqdfbagwiubvgiuohmst,FL,Nwo8555,O,Ntrqnv,A,NVRKENCAQYHDA,95.0,1-867-437-4595,D,Wysajcesxieiaxtktnweoswtmw,839.0,1.0,m,1.0,Salinas,Nwoywjci
NuStar Energy,3765659.0,United States of America,2909.0,5.0,Khirkpuglbanizwvhufmkmrpvzgtshtoivu,NV,Xot8556,O,HGCTRX,G,Rvakiyqvkuolxii,13.0,,U,Seymiptdtgbgfxsmqyefqropykgch,420.0,2.0,,1.0,New Haven,Xotktdwbgvbdbaxrvtjyrt
Wesco International,1001954.0,United States of America,125147.0,5.0,LBAJQBNXOYEWKWATFECNFXSZTUBABYBPRFFTDKLSIBEAGMI,MA,MTA8557,O,qkvrguii,,Xlymradocrvgvamhoyw,83.0,1-187-926-5632,D,HJTRWODWOZRIWMMIBSUCOFHCDL,333.0,4.0,,3.0,London,MTAKNDK
AK Steel Holding,1697540.0,United States of America,276867.0,0.0,Yaocyhvtfjawxpuhfndhreydwjeqgaklyjrojqmzofflvahwrwqorlkvbteunsvicwjwyzwverkrkrd,MD,KSL8558,O,fbfpkpbomam,,Pspixxkkfuhxooqiwwcemxxaageryikbuliax,90.0,1-387-972-7066,S,Qpdtilvoszrxevpmamgxdjvlysinco,,3.0,,2.0,Norfolk,KSLAFK
Pepco Holdings,,United States of America,46118.0,3.0,Pbcyudtgeobvuqorwevxbehcbwjrjcwovimhcxkqksioteagjamrhovvcog,IL,ecg8559,O,Xrrva,S,COJRWTQWEHDUWNKLHMCVSHXAODNDKLWCEW,50.0,1-793-290-9018,M,QMNEAIIPBLGLPBOPPSODKZQORKWRJG,592.0,3.0,P,8.0,Charleston,ecggghuxswncysqicjfhmzlddirb
AK Steel Holding,1665028.0,Canada,226788.0,1.0,Dpvdwrqyixbiyfsxgelttnhlcgllknouvvlsvjxgmgktbndneqskzdrjofcw,RI,Cih8560,O,THJHIGY,,avsxziewqgnkzumosqadsvsrjowatinpfbhb,16.0,1-473-480-3832,S,Kdcvelccatjn,324.0,0.0,,3.0,Miami,Cihrvlwhapmk
,605814.0,United States of America,,1.0,QVRIWPNEEPUXHEMLCQNNPWVHLFPMTORZMZQLJOUCLYBTMNPPUPZEFOPHOVKLXXAHAGRVAUISJDPIETL,AZ,mjj8561,O,Cuqovkg,F,bcrlpfinpansegjmbiowerdvtumnxldiodtzbtmpxduwowqsubfcwsydbzh,49.0,1-402-693-0317,S,Iptpgwkoqaevrmodoiwvkbdo,590.0,2.0,,9.0,Moncton,mjjgwtnwzyoqhjdfyltdkufrwsj
Sentry Insurance Group,499139.0,United States of America,427738.0,5.0,Elsjgduszxnjulsaaholljctlhmkmltujqlh,NE,njc8562,O,,,GPFDSDVTZSRZBWFUCYSFWSBHVHLPLWDSETGVVKPNOLHXMPYVCGVXZSDM,4.0,1-815-588-2954,U,Rxcrn,749.0,2.0,,0.0,Brownsville,njcnmidjbrkxbkqq
Verso Paper,,Canada,39631.0,4.0,Gtppvjanipziagbcbfyvksmpkyvejwatqgcfvbdlffckynqckwgonmqfecebgjfcwn,MA,QBV8563,O,nllofj,,Xjlbenrpuut,9.0,1-881-587-7928,M,ADERUOCDASHYJYECZZMJYETXJLCDV,831.0,2.0,,8.0,San Antonio,QBVKPJQOOSJZXB
Corn Products International,2020749.0,Canada,406178.0,3.0,Niiqqyabjikpjzdeupnfvupepdnwydmsyotwbfzfokodxghejrmxwvq,AK,zlq8564,O,Lskmzmv,,tcgsxqcyqodmcjxfmuietcxwkdsmbrppfftzrjrcaxrygcbytgcayskkarietubgfsxojduskpvxrrpi,66.0,1-985-476-1908,M,ZQYSEHKLCEJWFSZFDRUTMTBU,394.0,5.0,M,7.0,Shreveport,zlqkfshhrdliouwsou
Olin,3158622.0,Canada,219605.0,1.0,Hropreyneciazivxzueuaptfydojvdfsdknspngeiynwbpcujezpwkc,ND,JKJ8565,O,Dioiqat,E,Neanvbz,,1-175-452-9105,U,Gxfbuulujhfimnzoukfykdeyyqus,743.0,5.0,f,6.0,Santa Ana,JKJIIEFH
Hasbro,2571398.0,United States of America,139846.0,3.0,DDQYPSLWDQJYLRWJMNXLJYWMGZAPSIFSCYBSXHRQBTHKHRJBGDOPSQV,Newfoundland,VQN8566,O,Ywkdvdozoel,I,Fddgkqaqgwvgebeojvssxeh,7.0,1-398-474-1552,M,FCNFUEGJN,492.0,5.0,F,7.0,Fremont,VQNTPVPJYPVFX
Commercial Metals,2385565.0,United States of America,133766.0,0.0,lsysoem,NJ,Vtc8567,O,Btilb,,ARYDYNRDICQCFAPIPHKKITRJBD,,1-709-908-2801,U,OFENIAWVZLXNXZKEPJKUMOVI,708.0,4.0,,7.0,St. Louis,Vtcsb
Micron Technology,,United States of America,319693.0,0.0,SNCMSIVZWWOLKURMZDDWKRNSPDGILFGGGXTKAUPPKXLQTHJJLSNVMNEYWOPHSLTZT,WY,MKK8568,O,xivahzjmmlpv,,ZBOJSZFDTNYCJYGFYYDUSUSZHTRFEXWABPBUQYAOLOUFFWXBOMDHMVEVTVZJFOOPPPQTEYIN,35.0,1-271-675-2972,S,tbsiydhmznw,311.0,3.0,f,9.0,Saskatoon,MKKUYRYRLIXWYFWRVXA
DST Systems,3807560.0,Canada,393562.0,3.0,NTEPIFYEPAICATLEXTGDIV,NY,Uhr8569,O,MULUBOIHTSW,,Akgaatjjnnbygkfbirrfvamke,92.0,1-027-611-2308,M,Usfapkdk,559.0,,m,4.0,Coral Springs,Uhrzstnepyqslz
Land O'Lakes,994608.0,United States of America,294774.0,4.0,pmttctfgsnk,PA,Syo8570,O,Xjmtvwpak,,Gmjmmdccjjcbliuionlhwdoxbcjzhgywmn,58.0,1-121-205-6501,U,Hsjdnkedqmclpgr,348.0,4.0,,1.0,Washington,Syolpcchbnnnml
Aetna,1090133.0,United States of America,344292.0,0.0,KODKYFKTANNJEGEQPXPINCESIHBVKMYJYVDQHJOONSLTHBNVGXJUAZGIMLQJTZPBDQA,WI,amb8571,O,xydddfe,c,Wzdeyelfwtmvdffkismccxuwihmlfvzjbuakamxtxmmvyjbkruriazblyv,65.0,1-568-283-3625,W,PUXFIIE,646.0,3.0,,3.0,Overland Park,ambyxohankbkebrqxzu
,2069203.0,United States of America,205716.0,3.0,umttf,Alberta,Yap8572,O,hbkgxv,,Vkxjwussqrtlzdnnodnoqikyesfaiwvfzatkjtjfoctqrgi,82.0,1-018-937-8589,W,Czpwplfnkv,389.0,3.0,,2.0,Fremont,Yapjempcfzacaugjpubatawxkcl
W.R. Grace,3584493.0,United States of America,,4.0,PHSZOFZKPTPSCVYKRVFUBFMDUIWPIOSRADCKHQUPJXXBPICWZMLEFJWKISKA,HI,QEF8573,O,Vkabatduveh,b,Icuorhzdeshfmxwxoinxdiitxllqdhgafdcftwelikphforuqkzxwjdlderneifnlkjrrehracvhplwv,3.0,1-501-261-4606,U,Evrnxsyfeoqtqoaijsertuddqgmbwe,519.0,4.0,,3.0,Lakewood,QEFZICFPPMRLMAR
Oil States International,825011.0,United States of America,254912.0,0.0,Jfcaxxfwaqkrjrqxwluxuswkarsfwbwbtrycjmhcanwd,New Brunswick,YQM8574,O,qpoqosz,l,yuyvssjbiwiaseblggqoiyakramwmvodliswdsgzsgvvplnlteqtspudu,31.0,1-528-718-4757,U,Ukezeootnuvgkpqtidaznd,329.0,3.0,,1.0,Yellow Knife,YQMTTLTB
Equifax,2164663.0,United States of America,,3.0,Vebstesipqirciyjkyhiojgfilirtpbslfjhpcwicdabxkk,IL,FMY8575,O,bidjtjddi,,WCNNDFEKPVQLBL,21.0,1-952-654-9818,W,cruejrwztwnpimv,677.0,2.0,M,10.0,Iqaluit,FMYBPDFSW
Harrah's Entertainment,,Canada,171520.0,2.0,pbqnthbpaubjxjpfrqshbnkoxqcltnfohkbabyqpmcxfrngdljurbtctqfyrdjgnsubddcalujvi,MD,PSI8576,R,TQGGH,,Poniesfplzibkktkquuusxhmyuviyqttligamauyqqvwtqplvodkpwjuqxoe,37.0,1-749-733-4725,U,EPTGOEDABWJPSCC,694.0,2.0,,10.0,Orlando,PSIFYZNKZSKPGWECNXAQAPELQAIXNL
Amkor Technology,1833295.0,United States of America,469956.0,5.0,bghfdxsmujosdynupxjwtvaveucuqwvsxfupsgry,VT,Iet8577,O,RXEJGXQBRW,,Ljxrbbnpjkfqeokbqwattosjebpyxivmyvcizeandrrjojs,99.0,1-868-652-6057,M,Gogvpnwkixshosjzujx,415.0,2.0,m,0.0,Yellow Knife,Ietggpumtcfowprporofoyafhhuc
Alliant Techsystems,2613406.0,United States of America,87678.0,4.0,,WY,CES8578,R,LGCLSFKFPWG,,SIISXIJSRWCQFGFVPQIGBRWHXEGUFWLDWOEAUTHCQAZJKETUVB,10.0,1-395-821-5990,M,nsfzxfyocnkzu,478.0,5.0,,9.0,Philadelphia,CESMIESWSPQUIAINWZWPTKK
ScanSource,667919.0,United States of America,194160.0,0.0,Irvxylyxhuhcfipykzyrdefgpntvtrtnqxccnxzjitagtcmomunkpgsubuhuifuwqchakv,KY,zkb8579,O,Ttbvsjmac,,Saeavufrinpgfvfdvuosvnakwtiofhebvflrarnlwnmdup,100.0,1-228-394-6933,D,Illshmzeovdfdukaaqyn,549.0,4.0,m,4.0,Omaha,zkbcownqzmlwpurgxzvgc
Oshkosh,2164860.0,United States of America,404373.0,3.0,IMQLQXPAWKJNRTKEHITBDHHNSIRRDWGOJEOBOCRKGAVVDBFCBSGEVOEOCDOZ,MT,Geu8580,O,lbnavyplc,,opklrdjtievvhxxkqbcyglrvljxksmyhwkqetzqsoyimpjnjyvkzkfxvlsvze,35.0,1-097-791-8686,S,dktzfhcpggcniqbhsxjntpl,,1.0,,7.0,Pittsburgh,Geuijylvpqttneagyeq
Mylan,2584624.0,United States of America,320544.0,2.0,IZEBGLEHFKQUVGYTAHLGHBAAVMCYTEBYAMEVVPRGDNHTJND,AL,PVX8581,O,Rxgtglc,,NAUBJKJKTVJUODBBHFGKWGPFZUUUWSEBEMCNRQJWDNNCICALDVFLLPL,9.0,1-584-562-5576,M,YFWGUXVOPALIXBZFHKPFKTQXTBPSP,305.0,2.0,,6.0,Mobile,PVXUVKFYMLAKDXTZ
FirstEnergy,,Canada,275851.0,2.0,Fihwdqmwskixsaejliajinfemjkmphpidrbwgdcaotlpnbb,WA,BSK8582,O,rdysaaxujqqz,,Oqfjiiwbpewqdfkxnddfzxhkumkz,0.0,1-665-493-9945,S,wquowyussqmgvsapruo,390.0,2.0,f,3.0,West Valley,BSKNQTMDPNH
Family Insurance Group,2579454.0,United States of America,12801.0,3.0,dwrtwtzzktqesuyca,SC,Ksg8583,O,Zlqlv,m,xvdlddrjkqajucevdximeeeecwsdjlwefhosssmliknhyxroxrtffscjgadhmrhxjhlpvrukj,57.0,1-832-818-3226,S,Zaeaydkeeemlaurvzjnfkoblerrntt,559.0,5.0,F,1.0,Raleigh,Ksgxyjobnbwmpratrmv
Rent A Center,654997.0,United States of America,171542.0,4.0,Ojfpmjrnwgeaindllgcngmuhmzrirknobhmwrwopoanxivmfsgkjlpqjhocndd,WY,IXT8584,O,Lrcohtimjohh,,SBHVBRILJPSOQODKRETKYJHMESLOUSQQRMCCASVJMZ,26.0,1-538-883-9822,M,ZLISWFLMKHKJTJGGD,344.0,4.0,m,2.0,Hilo,IXTRDFYHSXIGMFMNH
Alcoa,1781704.0,United States of America,385808.0,3.0,Kntawiuwtxcobhgrtzenmjrkuxwlsyljhcbcbigsximrgrgbw,Newfoundland,CAT8585,O,Yxijhqnnw,O,Xlinjgbjyerzbrudnetdftdzbhbtiitgnjjjcfzusfd,100.0,1-123-863-6561,S,PFUJLTLSDGSANPUMXZNQMPXGGMERTC,384.0,5.0,,3.0,Hull,CATYFDBW
Becton Dickinson,828567.0,Canada,392215.0,5.0,,MA,GEI8586,R,Hrbumyy,,amknocglbiyxfujossfintgszmrmvwnkwgfrizlmbcsumfsqosq,59.0,1-859-704-7095,M,Cpoycuu,627.0,2.0,F,2.0,San Antonio,GEIMFKALJELHXKUVPHLPJTB
Humana,3549977.0,United States of America,391581.0,1.0,Wmvxksimhprjdlzs,WV,fzq8587,O,Dtkqffvif,,GGVOZMMQPOBKFJGZENPLQJETPL,48.0,1-118-041-1022,M,Ifvffbtxwyedgmigp,416.0,3.0,,2.0,Lowell,fzqrjqrayfwanglfvjhzejfxgfbla
Amerigroup,1091038.0,United States of America,403794.0,5.0,Mxpishzhuspuednvreznflxhdxzzbtiyxlborbacaxursamtxvtnejcagessejja,UT,akp8588,O,Iujbtxlyo,k,Odktavuhdggsgngcgvijoccfrvzhcvywerguddsenytwtdftadcstxedfiifnbh,,1-911-283-5224,U,Ehufgucptzaghfknueasvlyvwanq,731.0,3.0,M,8.0,Rancho Cucamonga,akpvzmcoucgappgmlevl
HCC Insurance Holdings,3328839.0,United States of America,300089.0,0.0,Dqfpniktjmssvqouhpyzxsilkcxqsjmeteazmbhacwbbxayiplrh,UT,Gjy8589,O,SKLJQD,q,Jfghoscsbewmeyadzqwujthpsacviravxpivtbzlxmbqwfaiugjwzlwmmfxmqnvlrdrjrgzsosq,81.0,1-956-423-3956,U,Tuibynmuyfuvkbpkdhldahr,301.0,5.0,f,5.0,Tallahassee,Gjykzcgwz
Country Financial Services,3629267.0,United States of America,348355.0,4.0,Wcqqgzzjfysyqbgltdzzwjgdarmcjwnhukazmiepuyecshonpbbpm,Alberta,VAM8590,O,tlxqxiw,,WMAHJZFFBUPXKUQCDZEKGGWWZTUXNDSQMBVCOJYRLDRNLBKVKKHJQKKHTITQQQFTIBYYRXNYJSS,89.0,1-079-929-7880,W,Kfnfenfsplolswgjqqeyfhexysv,634.0,0.0,f,5.0,St. Paul,VAMRMSWNYFMZNAD
