ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Providence,Canada,1.0,,G,1-123-451-7883,Seukyamzumdgsv,AZ,Clorox,PGHMGAYTXHHUATTDFHMBRVNCGYGGJIMXLFEZLDSTGXFAJDPRJNEQEO,4.0,76.0,Nqqdbye,3868421.0,Utrslebhhfarwlchvjidakogxptosqeboajeqtqflj,S,Fyjmzbiv,Nqq8991,10.0,309.0,R,126075.0
Norfolk,United States of America,2.0,f,q,1-614-623-9411,FGILILR,FL,Valspar,Wmgosqthdpsrxicdejsolsxetsypmbkpeizgdxbevkjqrljy,4.0,69.0,Autktcvevewvnzz,1747903.0,cuqftlbwxakqswdlnvnojhngnevapocgkbuhyjssdscxdhvuvvfjaq,W,ORXZKUHPAOKN,Aut8992,7.0,602.0,O,467687.0
Riverside,United States of America,3.0,M,y,1-960-793-0301,Cbsfpac,NH,Sun Microsystems,qemtacbrpsmcdxthzotxc,5.0,74.0,Lkvdfedtvymilarrwjkoautt,,Obzhzcqfbxcjblixhvpriw,M,,Lkv8993,7.0,424.0,O,73678.0
Costa Mesa,United States of America,2.0,M,,1-221-434-9140,CFVDTIBBFLRQI,Ontario,Fidelity National Information,AUYODZFFRURLFZFHKPFMCVISBTLITNAJGLAXIF,5.0,38.0,Iixnsouyyzipztmpcnheouy,2376736.0,OUXFWVLBXIUEKIJVCV,,Kayhpljfln,Iix8994,6.0,803.0,O,115249.0
Henderson,Canada,0.0,F,H,1-014-037-4881,Uytsqx,TN,Pepsi Bottling,Gwjmvhufwdrfeu,5.0,21.0,JNLZBFNUPBALMJD,3297104.0,Hipnh,U,Taumaqq,JNL8995,5.0,577.0,R,116688.0
Missoula,,5.0,,,1-516-161-0336,Knpmevndkdnlehzucqaxhkjt,PA,PPL,norevxkfktrujopchowkcxbvkaggpkjzmfjnkxogae,5.0,5.0,INJHHZANZKDP,3025756.0,Dseoeahdfvnilzuaurvwbqa,M,LCWOXDINHSP,INJ8996,5.0,813.0,O,29954.0
Boston,Canada,1.0,f,,1-409-960-5778,Ajaspc,Newfoundland,CHS,Luhwjomehxruzenzakkuxzalvmcokylsmyvrdvlidvvedgdgmblkciubmgg,3.0,21.0,Jlqbynolwlmicpfdziuymffctq,107175.0,NSOPUXQCCFLBSEHBLBDEIAHKTFXHLOIJNDRVXIPZIWSTJEKEDYANBTMXXRTRLBPAVIJW,U,,Jlq8997,9.0,568.0,,485326.0
Fontana,United States of America,3.0,f,A,1-531-797-5792,Oltvutbj,RI,Big Lots,FWPASCKDYPLBCDBZQYDVPSJVJFWN,,27.0,ppdzptdihwqiv,1827301.0,Ukbnstppwnsnndgzxnszuneetkfdbpfcnyqiemrcobfgkuvpedrriwvxz,M,,ppd8998,9.0,798.0,,268447.0
Berkeley,Canada,2.0,,,1-007-132-2737,Zhwzebh,MN,Brunswick,mfyasteivpmtjuoqpofnmadojfxdhtm,0.0,90.0,BNUEEDEECNLVLSJRSWR,1467575.0,Hkovqizzdmpzfriyayhahktjxqkdddqlxsxzghgfjfvhqgegcdggxfxnhrlppaynmsiqg,S,waknqfem,BNU8999,8.0,669.0,O,151560.0
Anchorage,United States of America,1.0,,,1-750-487-1983,QZCXFEWDGDHNFQGTAUEIRUQ,ID,FMC,Cbawbtkxbsjmbxswawlpqvcrdusmbskiakbtkjhzpjanvewgtsjvekmslopdth,1.0,68.0,Kxxteqasp,2207364.0,Tkidtiiwujgurshobesvhubbwlugmonuvnviypmr,M,kbwkupv,Kxx9000,1.0,,O,13974.0
Torrance,Canada,5.0,,T,1-860-430-7323,Sfgseyfmgldlonhgdgs,IL,Valspar,vpyngfbxohdmadufkkyiwwcdifbjmaqrlfovcqawqxxjbsfurhigkymzvbemdbenwcvj,4.0,42.0,Cekbmgcmwfwleyaqvd,1885306.0,SJMHNAXXBBVNSQMCYBCBVKQFVMPVCFJXGWDAAXZCZWQKLYBYSMK,M,lgpiejw,Cek9001,0.0,844.0,,301634.0
Tucson,Canada,2.0,,,1-299-609-7219,giczerfiybfdra,Ontario,First American Corp.,ZCQSGIGPVAGUHYCHVRPUMYPMQBLAUGBQOTPAJUMYIZDFQEWNFPPGKWSES,1.0,76.0,Rszdjuxcsssabkioqmadcnvqd,,RVUTTRILDPNDHNWRAIHQQNFSE,W,zhpmxlfll,Rsz9002,3.0,619.0,O,77635.0
Alexandria,United States of America,3.0,,,1-352-792-9668,Bkjqpkfqvxckmdsmijfypy,TX,Time Warner,Wgizr,5.0,31.0,ELWKRPLQXGH,2773249.0,Legnbpmjggosz,S,dbgkzdhswxd,ELW9003,1.0,822.0,U,243507.0
Columbus,United States of America,3.0,F,,1-617-383-5498,Abxqmyypbirvt,VT,Winn-Dixie Stores,GOCVMQYPBAGRIZNDEENDXOSSUCRNCNOXQFAMIMLSHJGRWRPXCZTBAEGJ,0.0,0.0,Kqsgwtcahvsmotonhulxrn,813031.0,Ldtuuhnfhxnumdpjadjqklhkojqiyrxmnybybyelrpaimi,S,FNPWDIWPMM,Kqs9004,6.0,508.0,R,443360.0
San Jose,United States of America,5.0,,w,1-415-402-8065,Tnadzzeijhhqeoxakb,British Columbia,HCC Insurance Holdings,Onxmohfmsnrxorxzwk,0.0,21.0,Rvhatertwhfvhoslh,1351079.0,MDEBPUCUMUBMGZGQVMYE,M,Hanpj,Rvh9005,6.0,382.0,R,205875.0
Plano,United States of America,5.0,,d,1-825-311-6084,Bmhlasswx,MI,Amerco,Abhplxavnjaiuducgnmbwsnurzqnnjutlvkiaxeltzbbmxjokzznhxuvwodprjna,1.0,1.0,Koxgjwfyyxcfk,1829906.0,jzzakudhxudvoqhqiubcqhkwnvxckooz,S,ijenlamsrvld,Kox9006,5.0,534.0,O,111986.0
Biloxi,United States of America,3.0,,,1-902-593-5681,qpfiv,CO,PC Connection,Tocxuzdolocdtjktcsejygaxghahgptdxbsavqlddnklqevjmebdexeplfoqriuapwnqezwxcm,5.0,72.0,QVQBTNTGKNXQLHTAQPYJCXEHRGTC,3535747.0,Uowwocrysvffj,M,CBFMRRSTY,QVQ9007,0.0,429.0,,279398.0
Scottsdale,Canada,4.0,,P,1-369-976-3931,odiegtelxdi,SD,Watson Pharmaceuticals,KYLYXHDXEIAXMGNGOIIRKTUIBNVVEVBVWUPWIWSYMBCNMGNK,1.0,,WWFMUBDTYGGNCFKVSSPJFLCOH,362641.0,LTRFQREOKHZHTL,W,Igvejgwfxplt,WWF9008,5.0,389.0,O,65562.0
Houston,United States of America,0.0,,u,1-034-029-9173,wrmqluaddfxv,IA,Fidelity National Information,,1.0,69.0,Lxoctwwtxgwozjp,1498021.0,Ltcqjwdzrnvnfesfodumdztnzhilrsocngavdtqqwyc,,zgujszxcij,Lxo9009,4.0,683.0,O,425975.0
Lincoln,United States of America,5.0,M,,1-671-489-4121,EPBKWNFEJC,MI,Manitowoc,Ycxqcefpaaufwovqjepcgtydzgzkuamxccvpgxnaxssmdmnqntlgacgxjzumsulgdtissfccat,0.0,,Yzols,849047.0,Xfpvotqhlwmkqcgxufrpsclvdfpntpr,W,Ewehv,Yzo9010,8.0,390.0,,48549.0
Ann Arbor,United States of America,4.0,F,C,1-209-073-4461,Ienou,FL,Auto-Owners Insurance,Znjrzkofjnhmbpynladgmpgbnlexntpnwymjjcjrgcbuk,4.0,,XBYVCPVJPGHOZTUJKEGQ,,Ukwjholbxrfwzuwavptpxcmydwxnpqpudurnkboyspcj,D,Zevlbvb,XBY9011,4.0,424.0,O,298844.0
Rochester,United States of America,2.0,,,1-786-398-2388,opluejgrykkumrmcum,Saskatchewan,Rockwood Holdings,Magakaquvkpelwwxvndvoknjybadvjfwrnilkuiuivyjcnjnhrrncerc,1.0,12.0,Yzlihimmvfsyqvg,3947823.0,JQYGLXQTM,M,Oifcl,Yzl9012,10.0,679.0,O,157758.0
Palmdale,United States of America,3.0,,L,1-038-370-3753,Mwtocxmxrmxzpkkllo,AR,Spectra Energy,iqtaooehtlsofgqrvzhvubxfhbzsmijeaygnmslhotjqpllllebqavublxmzltmajqsvjutwgb,2.0,,Kjyoeujx,1205937.0,IURDYTHXJZOVEOKTNSJBGLXGWPXNOTSETFTROKRDWMGSYGTIXLCAVZXTNIPBNMPIUPC,W,Ghkwzxlhcfx,Kjy9013,10.0,789.0,R,448843.0
San Diego,United States of America,5.0,M,K,1-667-388-6633,Vhwvpzzkbbsqbgpv,Alberta,Amerigroup,uupepohdnlnlukjvvivuvwvyuxbigombaizyaxwnaruuzqjuvdznpe,,4.0,Ckkwxrkbqtphi,2438018.0,GBSNEVCPJTAAVZHXJPGHUHWFRQDNI,W,iusrkoepecjo,Ckk9014,1.0,562.0,O,75455.0
Oshawa,United States of America,5.0,,Y,,djptcjhhs,Manitoba,U.S. Bancorp,Fghcgrvecetufdganpximyatysaoawrurquwkoqquyamvqhrkyzrbldlujlms,4.0,1.0,TKEYBRP,3490993.0,QOWVJYCXCOZNDZNSRSCFJDGRGK,M,kpuqcdhlyot,TKE9015,8.0,824.0,O,347440.0
Rapid City,United States of America,4.0,M,A,1-559-660-6573,FAHPQYZ,NH,C.R. Bard,Jiuqivxvabtdjwwxmqshkljxsdnnvptawzxlltb,2.0,65.0,Aorxiyyhvshqmakgwcha,3251834.0,Wrtebeqoebsvhhplalwjfbeurajqhrbeglvjmqskgjbbmorfkphfnznljmuftqvgxribkzdkcxlyoj,M,Yvmmijz,Aor9016,0.0,653.0,O,80446.0
Salem,United States of America,,F,,1-199-351-6560,Qoerjyrasmmxebanjllaxgelssz,VT,Lowe's,kvngzauzuqkkpubxpcjopilohdorgbfrrzmwa,5.0,80.0,ZDRPB,2696782.0,Jwhojkqiezlpxdbvzxbqpexhbmcexxrcduogqjixlwfxarlhlvesyxcwdvcpioolqwigwrltneo,M,Ncqni,ZDR9017,10.0,635.0,O,232169.0
Berkeley,,2.0,,,1-873-008-7940,Jxrwiwxiw,MO,MDU Resources Group,,0.0,72.0,zmypmjkqjmewcuihyoyqjxpjwnga,2215271.0,pzjkdbaponapxscpcukxgwvbpyucimztwtuehpfwevs,U,nwamupkmaet,zmy9018,4.0,643.0,R,34675.0
Dayton,United States of America,0.0,,,1-581-406-6537,FDRIPELWAUPZPXFNNOJ,ME,Rent A Center,Eslqngjqrsigfgmswgausosvlgrucw,4.0,45.0,Nrgleofrcmpwwwlbuevgienkngt,1186933.0,Nbfdqqjbepqikqlnzjgrngcfwwcdaitqlsrslg,D,GMNWGU,Nrg9019,0.0,824.0,O,177717.0
Kitchener,,5.0,M,,1-829-147-5339,AEGEYN,DC,,Gunjlxwolwxupbfqonyxzpskpjufopnestjwp,5.0,21.0,Lwicsaxabnpfdivokehqxhcaxfu,1157979.0,ITBCKHKVDOBQIOZHFBVOVVTTWQBSBJTYMQJGCXHIMGKFMYHZHBNRIIMUGBDEQITMZBUPYBOUSWD,U,Zaukwepneay,Lwi9020,10.0,378.0,O,238623.0
Lancaster,,1.0,M,,1-519-472-2749,ikzbskwlfmcjiwbdl,NM,CH2M Hill,QBKMKDQPLOAHAYVXMXAAEUXSAFCQODQRXJVOLRKBEYYPFRGM,3.0,20.0,Fselvpzoqclmcorbziis,1045413.0,Ycynryupzqtbmghvaixewjgrnmjqjnlgqb,W,Dddaeeanr,Fse9021,0.0,831.0,R,208491.0
Sydney,United States of America,1.0,,R,1-635-025-8669,qppppmuuuxrpmupkdwfjyqvfyg,RI,Vornado Realty Trust,Ueddrbnojgozbrknwxmfjmsxhtnxlqptcopfxlllvjaxydc,,65.0,tstlgdxpofcccbizc,200600.0,Ktozvfeqopupkzywcpedruyalbgeygyrxsgqziozsqofhauex,S,Hzskptrpp,tst9022,8.0,668.0,R,423539.0
Pomona,United States of America,0.0,,B,1-547-011-2401,Aowhkevqtvsu,IN,Office Depot,ZWDTZJTZIDTKLQQZLQBCLMQUCNU,4.0,72.0,Acajkwhjaplysmhvpejpyh,3444099.0,Jornzdaklyri,M,Mueohvmswa,Aca9023,9.0,668.0,O,101953.0
Cincinnati,United States of America,5.0,F,A,1-934-607-0579,hngdgruojplshwxrmfxscbw,MS,,itjptudqknqwax,1.0,40.0,VVCIJI,1221233.0,Tehgryjecqkarg,D,Hmqpldqweju,VVC9024,2.0,450.0,U,
Quebec,Canada,2.0,,P,1-631-388-1488,yeyzpbqynxuqvwrwpwfytlex,Ontario,Flowserve,,3.0,89.0,naidksqrtbl,902828.0,ocmntqlepawppkjlukxbyomtluzfesjrqidammobpdxczoizttticlxnsqhpakvzjmtkmye,S,QXDWPCWNGU,nai9025,10.0,835.0,O,278302.0
Cheyenne,United States of America,,,G,1-873-989-6311,Czsmma,UT,Cytec Industries,VBDUKVTINQRXSZOIXHXIYQFDHKWSTKHKJEQCZNUPGSQPNHAGPETLIN,5.0,17.0,Vqzxvpsrlqhiq,3491043.0,Ptxxlzrymattimv,U,Mbeopjdkxk,Vqz9026,6.0,418.0,R,200492.0
Stockton,United States of America,5.0,,,1-033-653-6445,JKARSXRKDCMLPUVYCQR,MS,Hanover Insurance Group,PGHTFMTIYKGWLAMVOXUJWCJFOJQKTCBOLIJNWQ,4.0,48.0,Ujmoilxkzulgjgyloufbol,445764.0,SLSVSSTVFEJRTLQTDCVMQWRYYGVRLKSTKBCAPPT,,jvveuw,Ujm9027,8.0,800.0,,216593.0
Oklahoma City,United States of America,5.0,,y,1-861-237-5303,Yqvos,DC,Winn-Dixie Stores,ujxnavzkbyllckdlpalrvgxsvsmwhcrznipxzsrvqwidtusgkdeyiy,0.0,37.0,bqmtwldp,2391815.0,lanxs,M,uosvsfv,bqm9028,5.0,759.0,O,405947.0
Sterling Heights,United States of America,4.0,,,1-864-914-2765,ngnzahnqaaumzd,Prince Edward Island,Nationwide,Rfubaqmhormmaewvdpzondzlmiikkzeiwdmcszscqoenw,,68.0,IPWLEMAOJGTWEAVGK,1093821.0,Rvainysxmakulruaramqcskmlypiqwvzpfrfanfdyqgvpazgwsncznooyqmzmxhjxblagbtckfa,U,KRSTV,IPW9029,0.0,353.0,O,274233.0
Grand Rapids,United States of America,,,,1-145-922-5285,usualnewfdfetqphzddqlrqngir,Nova Scotia,Republic Services,Chumoophcsodixnjbfgtxnwagiwbfqtmsg,1.0,5.0,Uzxonodnjzvbsnwwcqv,1803498.0,Wmlgiinxlzmgjrngwdobgwsaogfqwxqdvxr,U,Vaigeqwjg,Uzx9030,9.0,731.0,U,52192.0
San Antonio,,0.0,,O,1-389-836-8190,Wxjdtwcjuettlutwgprbljeien,DE,Hanesbrands,Lsyznhwyhjxexxezbehjplzhzknjcskfgvl,5.0,22.0,Kcgyomrhp,662717.0,Axpohkpyeymylfycfbcxtykuyrhxpltctmqkmjopwayrhafltadnrvhnqvodkhrtplhi,M,Qlppwcyx,Kcg9031,8.0,585.0,O,
Santa Ana,United States of America,3.0,M,A,1-081-832-3873,dxrgkrewzvokajzkma,TN,Bucyrus International,utsgriecxrxyxsqescfqsnijpceumtnfspafgkmfhonahxsmnbayggncvtteydpveyavpddcekf,2.0,29.0,Nmimdorewrfznowpo,548373.0,EPHNNWVNVGVNZOINDMIPJFNOHLABXEYRJBWNJPPRDKRHUDXWKOXKRROCETYARMFCFSW,D,Foydrkfgoa,Nmi9032,2.0,723.0,O,
Sherbrooke,United States of America,3.0,,A,1-329-079-4483,Npwvvrpmkievkd,VT,Lender Processing Services,Mmiusklxbxdrtkkisrqhoqrhnlvwtixwnhlveycunugxxpylaesebnzj,5.0,90.0,VDHFSZOKQWVJMAMMVQQTK,1693517.0,DEBSGJFROBATSCGJINNQXMDOFIIXONOINRHINVRYYHMWLUJXBVCLPCHUCTNIQUANMEWNARYRWDSHF,W,nwjdcbqzuq,VDH9033,1.0,796.0,O,224380.0
Hamilton,United States of America,1.0,f,K,1-590-510-2676,nlirabaanqekdvkuwcpadxd,WA,Domtar,ijafqbosxidlymhyqamnhaakjydiqjibkscwlnbvhslnhozudotdqepqwzktpl,1.0,5.0,Ovjbmaodeblauztzbopznonmalbjyf,3269891.0,IKCRCHXBGUKJWMOFZDHTIFFMVVJPIFWVSFGHQERZRRSRSLUPERISYGQQRXCAE,D,Yjclg,Ovj9034,1.0,664.0,O,356649.0
Fontana,Canada,4.0,,l,1-389-847-1426,Claqpjkbrtfao,Alberta,Zions Bancorp.,nsfbktkegkvalcgifvcrnplerxbntgkbqcyuqupwramwaif,0.0,64.0,Uudlppltnbxmpsqezdkdwa,390005.0,bnjmazdblwmiezgvbrgmlejruerjephjwzcrrvparceccfrttedohjaau,D,Ggwvu,Uud9035,9.0,,O,436571.0
Hamilton,United States of America,3.0,,a,1-380-053-2323,VEJKQCVSMOFIRODMIGYKBYUK,NE,Telephone & Data Systems,zdecpbmcrqjsgkwqfcvcuvbtejtebayspsjtpsii,3.0,94.0,ALJKCSLVHNVU,1014466.0,uargehxgluwsho,W,Bbcqady,ALJ9036,7.0,644.0,O,272889.0
Hilo,United States of America,2.0,,W,1-606-598-1769,xefaxes,MN,Anadarko Petroleum,ZMSCTVEZLCXXKRYZXISMQSSVYKOTDUWKOOUQNEHIVASXVFSTQRSZXT,0.0,65.0,Qdradgev,1558896.0,LQAPAQTVDPXCHVHPCHAPYGGGNFTGOQWCGGBIAMNFJCPPUIBQMRTOFNSR,W,TQMPJWZH,Qdr9037,9.0,765.0,U,340611.0
Corpus Christi,United States of America,2.0,M,G,1-106-802-4951,TNEGCY,FL,Chiquita Brands International,Dhsqhxxdewohmhlyiplspgnqcrikwrvrnrljrozgackhunmdwxapuyxgd,5.0,78.0,Rhnmwxhuovklamzjhjxv,3968747.0,Wdccztrzlxtpxitokfpzetstgg,S,Ilgxxw,Rhn9038,2.0,407.0,O,220284.0
Bridgeport,Canada,1.0,m,o,1-872-553-7759,ftbdjgvkrdtmqji,UT,Danaher,pjmkdcdkrslooxa,1.0,0.0,JFFBF,3376343.0,afwwsxs,D,Osgghtpi,JFF9039,3.0,452.0,R,99428.0
Columbia,Canada,0.0,,,1-345-999-3849,Kesfizllnnjltminniwfsputdlgwk,UT,,Rjdlpabrmu,3.0,36.0,brzhk,771535.0,Exbrasseeqpq,M,Eboce,brz9040,0.0,747.0,R,34976.0
Dawson City,Canada,3.0,M,u,1-305-485-4118,BXOKNGPHJH,OK,Zale,Brkrkkuvieutggdnaixuknyugtjbzxaqngmbulujontprqseflz,2.0,69.0,SUBIVDHT,,ybztlngjaptwixtyldddydnqkhjidid,U,Tnfxinbym,SUB9041,7.0,799.0,R,183713.0
Oshawa,United States of America,5.0,,,1-789-430-0169,Nxodxnsooomsusmk,MT,Supervalu,DVLAVCOZYZBARECZTFDNYLVBSDOLOAHHPFSTUAJLMNYNNAMCDOOEPYV,1.0,78.0,Qycngsivmnqhrsuirwslj,3426140.0,Rhgsbbnfbpywgsrxmqkurkfxljrb,M,Edulhokbl,Qyc9042,5.0,449.0,R,356630.0
Cedar Rapids,United States of America,3.0,M,,1-415-913-6501,Wmpfn,NJ,Lowe's,XUNKOXEAEXRFMJLURANVXHLJLWMPEZBSJFUDTRFK,4.0,47.0,CXEKKLRPZKQSBBNCP,1604309.0,TCUXCZWQERLMCAYFAOYXGF,S,,CXE9043,0.0,672.0,O,331360.0
Sacramento,United States of America,2.0,,Y,1-975-650-5604,prbfkcoxwpflhoslfv,NY,Barnes & Noble,Kgqmvpntgeoglfpchuhfcfvjhikagsxnyfemtndrlhwhorrtegofsgmkvcjewfmvmkxkommvtlkdjl,0.0,43.0,lwseqnpikrvryjqilsjlrqcqtnnvji,1202391.0,PZDCJMRREDQPIDYBDRVUFMUQQNXOUTQCRJBUREKFUKZAULKHBYSNJXFJOABBFXSDKTXFEWYZRXYN,S,ALQNE,lws9044,4.0,350.0,O,273534.0
Kansas City,United States of America,5.0,m,Q,1-562-711-1503,VHTXDBLOQPZLTMGGBEFXHQMYVVS,NE,Adams Resources & Energy,IVAZUTXLERBTOBTDWVSTTAHIHGRCGJGEWVOITH,2.0,4.0,Blcgwnlpawjvtuuchkuyehsmsdw,2563181.0,Tvykfwtaxdoowyzxjctlwxscwnus,M,Hmgsg,Blc9045,4.0,347.0,U,472256.0
Oxnard,United States of America,3.0,,e,1-176-238-7058,dwiebxdsqiyyxmfrjphsppdrcq,AL,First Horizon National Corp.,Jvkuvcvieegbrzxd,1.0,7.0,kelletaqhvoaemytcgnilftp,2363654.0,Xfxdtlrfladkwggthiqpsefnnuxigohdksmjhagetdkldsjwap,M,Uyidtfyfsdhv,kel9046,6.0,624.0,O,121915.0
Memphis,United States of America,3.0,m,b,1-832-029-7337,cfsmuofkjordjrbrecueepmtbp,MO,ManTech International,Sjjigfngyoqunkqiwnglbtnshzsqqkwnuzfxqoisioofvrfgkwrgmpypjrrsdyjvw,5.0,44.0,yqiidts,1333242.0,ltphslcqkzscmspcfazhtwbraucmisbwphwaptccsrnknwayvnmncterus,M,Fxjrydkmt,yqi9047,2.0,433.0,R,58662.0
Mesquite,United States of America,1.0,,,1-255-063-9344,CJOJNSL,WV,Hub Group,eleuwpmshfxxccbwhelpxtymsjpiwtvpsfcdeiaknqbwhlgtqyysnfnjrf,3.0,30.0,ZDPGNYFJGEZPGGGWIZYIPCELQXSC,2363869.0,Dfsfaiglwcmcwjprwodkamyeswiroyj,M,YRELMMLD,ZDP9048,3.0,754.0,R,390926.0
Pomona,United States of America,1.0,,,1-566-389-6340,GLNWMGTKBS,Prince Edward Island,Campbell Soup,,1.0,32.0,Zglbnhrvbuxevbvtjoiwcfly,2654689.0,LGHIMTNYGDQSXUPIBIQOXXOVYASDOVOCJRDABTEW,S,Iikfe,Zgl9049,,515.0,O,311591.0
Warren,Canada,2.0,M,F,1-468-972-7769,Ldmhavyjlpkbwa,RI,Exterran Holdings,Kgwqjggidasftmaayfymapcaflq,4.0,97.0,EOHLHACMPUE,1718570.0,SFYKPNHJGFTDVVROQIHHGNLDHVKGARDGQJKKIYYWXLBONKCZATXEEFEWEOASUN,M,lactlbk,EOH9050,10.0,377.0,R,370163.0
Des Moines,Canada,2.0,,j,1-660-623-6276,IDSTDA,OH,Sempra Energy,dzvxzwfcbvfxysrajsfumhivqadxyf,5.0,51.0,kuvhuxqltiwnwfjoycbjgmwnkm,2275248.0,fmcxrftfsnmbfngrqdadfhmupevenpkfjgohcrstsbbrqao,M,Wnesd,kuv9051,7.0,442.0,O,217166.0
Coral Springs,United States of America,1.0,m,,1-979-753-7274,kvsimhijxtzhpdywki,Manitoba,Embarq,Nvofcpiiadbxhopedivslamehrl,3.0,61.0,Hesnddumcjioxier,2398575.0,EAZSGVJWLWYXYMAFFOWAKNWYKDAJBZLEEBOFRHJLVW,M,qofquqfwcvrt,Hes9052,6.0,448.0,O,
Allentown,Canada,1.0,F,,1-633-493-0577,Qlywyoyyxbpangiidnpzfem,NY,DirecTV Group,vnssdodtyvreoehirmnbxntigpgozmhm,3.0,12.0,Zqxgelwswgf,3388009.0,Jegenuequqlajuc,U,ekcpo,Zqx9053,9.0,786.0,O,134976.0
San Francisco,Canada,5.0,f,g,1-645-461-6717,Fwfpdpavpbwcfebyirvdmuwpaoqk,Newfoundland,SkyWest,Kyzplevsyhexdefkvgzhktrfztojptdonqercgmmmpxiijsehevakkcay,3.0,42.0,tydnkjrkmywsx,1994676.0,Cwdfrjphmnmhqcadbbivoxo,M,lmvrhfetkkh,tyd9054,8.0,501.0,R,457421.0
Garden Grove,United States of America,1.0,,,1-107-122-3193,enuilrhdbtjh,TX,Saks,YJHLATGGLREUQWRAMULRPAHBWJOIWOSPZNTGUVCVTXIGQNJPPWSKNJHIXJCVXENMCCERMHUU,4.0,17.0,Dcnbspnqvhmvqotmrammdcldgty,1512099.0,Wewzsrhdvukfpyjlpncpixvvyldaxgbjkbzgmzbfgs,S,TRUTKSZIOD,Dcn9055,1.0,368.0,R,439921.0
Nashua,,1.0,,h,1-527-338-9953,Hlcpsrsrfuj,MD,Mueller Industries,Ekxhegmiuqpnjtdrheimkgasuncwinbcwf,,98.0,GCZDDEXMLCVOVJFGANDGIC,3879319.0,Lrworylpvgsoumvsmdauxeflatxdjzvseeghjtrbnkqmcagljh,U,BKBVLPJI,GCZ9056,1.0,811.0,O,484943.0
Sterling Heights,Canada,3.0,,F,1-325-444-4058,Zhbkluikubrhhlndfio,TX,Virgin Media,Nixojzasogtniwqcvagw,4.0,12.0,palsonmqziug,2650724.0,,U,KEXLA,pal9057,10.0,647.0,R,3931.0
Mobile,United States of America,4.0,,D,1-100-973-7745,Ddiwnvlgbsxygsmlypkrvwvwwn,ID,Brunswick,Oqvveiqwxnvslqhvrtnrdljzmkbqainbljwtdtnkvgfkypqirlkifvitgtaookanccmicmvkxeaqam,0.0,53.0,lajyyzvncxcgfsoqlllhxisc,2932540.0,DWSSEKRXKCMFITDVUIVNKBVZVLPNGJPTMURXOIZDPLIKPUKKNQRSBQOZJX,S,ZNSTEXTR,laj9058,3.0,590.0,O,303855.0
Lubbock,United States of America,5.0,M,f,1-543-448-1276,Wlgckxxifqlzpaszuu,KY,Vought Aircraft Industries,ZXEITLNIQSGHQIBIXUVEQJDQOCO,2.0,92.0,WKWNDPXKYPVUOEGLSW,2537638.0,PYJBRXIFCSCF,M,yjxvjb,WKW9059,7.0,413.0,R,390579.0
Portland,United States of America,2.0,,i,1-009-684-3357,Fxiynyiyvbtzblkywleuhrilfmjfe,OK,General Growth Properties,KAKQMAMJAKDWEOUCQLVHSBLNKUZOPQHKFKYHTDUJVSRVAV,,74.0,Ieyokibpjrey,2419797.0,Qfuaxggcnxexzkbzszsdrssmpiaoqrefokeqflefsxrlqlstfsecrptkxlnoliuuevf,M,Arrxhyig,Iey9060,3.0,657.0,O,353787.0
Mount Pearl,Canada,1.0,,n,1-575-072-2765,uvdxcfm,UT,Bio-Rad Laboratories,muddmmkyuyslmgqglyghwqdfdqrhlqxxichytonirqkbodpobbhutaoctqhwqgcmkveqbyfx,2.0,91.0,Dvxbrmkkltfotmt,3120865.0,diroxxgcrvorvntxqtsbruwdes,S,Hgryncq,Dvx9061,2.0,675.0,U,197638.0
Hayward,United States of America,5.0,,,1-080-029-2339,Kacypsmeshodumqup,SC,Career Education,Tjynqewluzsdpwnfvdvwwsxsobyjbimsfkfrwpxroddksotkhedxicehg,4.0,70.0,SJSUYT,3782888.0,Bxrwdeboiekkwnyrlhkmzlvqqeemudumblohkxiogmtxnsfx,D,,SJS9062,5.0,619.0,R,75876.0
Tampa,United States of America,0.0,m,y,1-373-459-5263,Blbngjylfttlrtzkqrwwodfa,NE,Inergy Holdings,GOPPDW,,45.0,Tpncmydt,839276.0,,S,qxtvbfzt,Tpn9063,4.0,673.0,R,385649.0
Edmonton,Canada,1.0,f,K,1-204-082-1597,Tlgqfayx,Nova Scotia,Vought Aircraft Industries,Ufccsjzrniejgnlvwfpywwbvtevjfrbksm,0.0,,Wgdgrfkixmhmpd,3086070.0,Onatokwylcozhcayxbneofbkozwgudsrzycdjvjojksvwuicamrcs,U,Labxkmqtkriy,Wgd9064,5.0,677.0,,54013.0
Tacoma,Canada,2.0,,N,1-884-040-7471,Iofbqznircpzhfhboghaknpwqlh,CA,BMC Software,rkixchsmcgcyshhlpizklewagpzadlgtnrqnoxskelvobnwjpbixxmphfrztqsw,3.0,4.0,Xzxxnixolagjcydk,3369642.0,EUBFDZMVPGKJ,S,RTYXGVBTJM,Xzx9065,2.0,346.0,O,352671.0
Dayton,United States of America,0.0,M,A,1-442-918-1304,Rytknefuuesl,AK,Exterran Holdings,Gyqqledftdmgqnupbpkspikgimurjgybbkcfqpmavyd,0.0,80.0,Pusnp,2911477.0,REQQJEAXLSPXAPFRJNKBP,W,lxvdqfpjcj,Pus9066,6.0,504.0,,
