prospect_PosCo,prospect_AgID,prospect_MarSt,prospect_Inc,prospect_AddLi1,prospect_Em,prospect_NumCh,prospect_MidInit,prospect_FirN,prospect_LaN,prospect_NuC,prospect_Ci,prospect_Pho,prospect_Gen,prospect_NuCreCa,prospect_St,prospect_AddLi2,prospect_Cou,prospect_CreRa,prospect_OwOReF,prospect_Ag,prospect_NeWor
Czjce,jrp9563,M,447136.0,Eixshyjdpcqaswzlcaopgttjbqujozgsucabuthbd,JetBlue Airways,,,sllro,jrpgaaxufxsqwj,0.0,Shreveport,1-662-954-0862,,2.0,NC,yfkeyxklswohrwwizsgontknrulldhcfnvzznaeepqzeooonpvcfb,Canada,308.0,O,68.0,559458.0
Uqmrmj,VCQ9564,U,378352.0,Ppxvcerbrdxytigaojosotcwvwjldwfc,,0.0,,pnpymkhbelwtknlfzaotstgv,VCQTAVNYBVVWHBUGMIYBUIV,1.0,Mesquite,1-103-293-3560,F,,MO,Lgprkopvjsjqzmdlwcevmekx,United States of America,413.0,O,2.0,2490128.0
Gbdyfva,vsb9565,M,99482.0,QBODMYFUXCTUOIMGQRPZYQGHFIL,LifePoint Hospitals,3.0,,nwohdjtmmy,vsbcnpbureqnfj,3.0,Baltimore,1-435-883-4963,F,4.0,CT,ktndwgslfxxulxtqvrnwqkkcamguqfgvdgryhlqbfhgmgkffbvdovzkzfjv,United States of America,590.0,O,36.0,3286201.0
Nfcptvqgv,Bog9566,M,202184.0,MLBIFJWLGEZKALJOFWQJWKBODOTIKMCDXJOGPHYNMP,PepsiAmericas,1.0,Y,zpjxj,Bogrmkuphptkotukiorcshx,3.0,Tempe,1-414-232-5178,,0.0,DC,Krjrnbrtgnhsvnlbltssrcdwsqsconfzyqxespseyiympqgutycdnvkryqh,United States of America,356.0,O,34.0,
Qkwsq,oox9567,U,226522.0,Usmpwkp,Nalco Holding,0.0,,qnnwnbmbd,ooxbvhsrwqjsxhrxai,3.0,Los Angeles,1-145-568-1188,,1.0,VA,ceoepcaxnmjxdahrjvkgyfxlaqjuzpgevipzmgtieoiqnxzoenm,United States of America,646.0,O,90.0,1327387.0
UUDFRWA,Quw9568,U,119285.0,wuamjuooutfsbtoppoelyzhcrvupkvloghiebdwupygecmpwknpxmqcmn,Retail Ventures,1.0,,WJVPGYAMVFXRWZTPIRSYJPK,Quweqbhvmenjbayscdppdismcmoix,4.0,Winston-Salem,,,7.0,New Brunswick,FBQBEWQTT,United States of America,443.0,O,96.0,2496893.0
Spvlyvcwa,jsc9569,D,384384.0,JSCPQMYYDGAFNAXZUUAQISROJEIIYNQZKUXMJQRSHUIVLEUAKZYHKECYVDRBFN,CC Media Holdings,,X,Gfwfaqaoxpoir,jscpwqrjnkuiiedorcnee,,Pembroke Pines,1-099-959-1170,,7.0,WA,lvkqntmjlyanplilynwjywtxxvlevniaolrgrofqfespokxqqpcqqkvejajucbwacxecvn,Canada,660.0,O,46.0,3141170.0
krjug,Gag9570,M,26242.0,MKTCYBITZCKIAFRNQXFMSBFVDSNPJKCOQMNIWBPGULPVYUFOFBKERGWHLUHBRTZZAYHEBOGDVZYG,RPM International,3.0,,Ngmwagpnhvvdeynr,Gagbqsb,5.0,Mobile,1-849-432-3416,,,NH,SOXPUBMFISHSTZJJALJ,United States of America,448.0,R,81.0,159285.0
HSHVSO,Zei9571,U,,Nwwadpmkadtcpxirxajijjlhwzmirxjwfsthhbmwexalysjxla,International Paper,2.0,,Uqmupybnkvapjprlvorammlxiwrr,Zeiiqkrbikekygxkr,0.0,Austin,1-663-555-7586,f,1.0,IL,Gszbxwdpborelxfkhnqkfhnptcvdxvkdzqqehrkpkwralibratdmfngafledht,United States of America,330.0,U,37.0,3794937.0
Gucwydsm,lwi9572,U,467896.0,pcdhbrxksnodfctpjkcggcwgqpazbbzpzduabhdywvyyvua,Boyd Gaming,0.0,j,Sjpcnhrtjxwjsfmrkxpb,lwicblwi,5.0,Independence,1-522-737-2862,,5.0,SD,Hyercsvndsevudixowyvkbbouhszxqgxtzqisihszdduosqmgwpnmavqampbkvatdmggywvhgfkul,United States of America,566.0,O,35.0,2787169.0
Bmllxpjz,JQN9573,D,292846.0,Nivbrjzgqyqcbcgwvtlgcvdjoafhhfthlswspowpmtx,Rowan Cos.,5.0,e,pgpwpppyjgjhiopcinitdonkua,JQNXPGMHLLPPZCAPAJXBNJD,2.0,Chula Vista,1-139-061-7035,M,0.0,TX,Vnxditodpmhjwxfuqaxepwsuihizktcprsaavgjcbtcwwrzpncrezmlqmyserptyfuxtggykmzqow,United States of America,510.0,O,51.0,3243634.0
xqmoug,XJD9574,M,94349.0,Zavmbrnxxcdkbmitavocswkebt,Vornado Realty Trust,1.0,,Pwojpvoekmzsskr,XJDXMCMQGVZHEFHCYDTFRUKARYG,3.0,Washington,1-140-936-8711,F,3.0,AL,Guwuoxzhirgxcbffptqdrltzrqqbsnujgjvikkfljljeuulbrpydxscapgicztgiqwixtiyvhetct,United States of America,407.0,O,72.0,
,Pkb9575,M,117874.0,Xrchxbzuizzh,Precision Castparts,3.0,L,Fulsjb,Pkbebqoucfxypflvhjqezmcfnyhm,3.0,San Diego,1-288-512-4531,,2.0,NJ,IHZTFKLCYBMNWMGWYXWLLBEDVEPKRCCIWDTIONSNSP,United States of America,644.0,R,23.0,570578.0
jjrlquu,Jsn9576,S,168747.0,Nqewcdghszypoavedybbfdwnmhwcrosjixzw,Gap,2.0,,MSGOHNGJGM,Jsnzexnvnqbhaudydsuxphovqpocq,4.0,McAllen,1-074-564-4635,,9.0,WY,,United States of America,672.0,O,94.0,866654.0
Tpcnwvevb,OQF9577,D,375855.0,Rjjhtnhyfcabixigwoftaiftc,Chubb,,f,xhxxnhgaesfcmyclvwjpwrg,OQFZN,4.0,Washington,1-034-049-2184,f,1.0,NH,Plpcupgscokwolokjvgqim,United States of America,827.0,O,24.0,3883861.0
Vcuynca,akn9578,M,310793.0,BOYVUZELOQITOYEMKNXISMFPY,AGCO,1.0,o,Hielutwja,aknmkcyxvwrgckjksbxmldhe,5.0,Fort Wayne,1-958-595-3219,M,,Quebec,Dmvjprabukcmztutfgbsweszaampoodlxltnulvecs,United States of America,394.0,R,27.0,1661912.0
Bunjvklnisiu,wow9579,D,206675.0,Zjppddropiovdkckwdciosvsrcbeuueyredqxmgoewibil,Biomet,4.0,,VSIVUQISFGOTZCUSWJZX,wowpxjlroveoinxgfkpglbo,5.0,Hayward,1-152-835-9487,,8.0,HI,Ackrhpiilaetjmvoc,United States of America,542.0,U,59.0,2334122.0
Suhlnnoxidyo,SGV9580,U,367962.0,Bdjggtbiakdfikrtptaklpacscvhldcsrtvofduvqjddvvkmdjtobggdjrhcdcndswskbzsqnrzlg,Spherion,3.0,,owqxqruuvfdotxguzjizkqqyd,SGVNCFA,4.0,Scottsdale,1-024-257-9090,,10.0,IN,RXCMFQENVJQBMFWOGWMVWQTVONZZWHWDTYWZVGGKREHIAZHEWYTUKKLWJBMCCDIPUJZWNNJCTBBRADHQ,United States of America,675.0,,55.0,2651982.0
Almthx,Ace9581,S,497404.0,Cqndcqsghqrb,KBR,1.0,a,GTEYCMPKOPFEHTIDEVGDRBSI,Acehtmkwg,2.0,Sioux Falls,1-346-424-7217,,4.0,CA,Qoacivaxdkalsorhvdmwzppttwxtpvzcepuupwaijpclkreoovpep,United States of America,415.0,R,19.0,1839032.0
CBUBOPRHHQW,Ziv9582,M,23985.0,Iuutkubzgtywbziqphkexcckylapoau,AmeriCredit,0.0,,Uwmrnfrsfbivpfmemaltl,Zivbeprkffsxrfz,4.0,Bridgeport,1-656-335-6322,F,6.0,AL,qxcflqpuudiqcpnavdtswokbkbrffccwactatexkbdu,United States of America,695.0,R,32.0,1927218.0
KKVRSLZGEI,IMK9583,S,439662.0,Fwselhldygqcmazhkfbzx,Barnes & Noble,,C,Lyrjeblke,IMKKQPAHENOWDEVFLUVZBNQL,2.0,Fontana,1-919-212-4817,,9.0,MD,vvelmcsawscyozgbpornfoyjwfxxkabwbbbueknrvcivdubwhwdawobauoswionxpetcbzsmuooyubuu,United States of America,834.0,O,48.0,2633551.0
Rnsyas,Ylk9584,M,369204.0,NANGJGKJKLPYIOOGHMODUNBGGRGRRQKXDHF,PharMerica,,,pvwbbqeanswwxjrc,Ylkthqservgp,1.0,Fargo,1-535-055-3536,F,8.0,AL,zhqrzuylisoypqwumvlknptqnkylauuqtmvpqomrsltxifunapzo,United States of America,671.0,O,20.0,3287590.0
eksbqwvego,Zwl9585,M,141929.0,Jmxpwornzweibcoquxwnmvnvpicevxccutqdvvkohpyojy,Waste Management,,,Zbprkavxewrrxihwrqdfkrnp,Zwlnpuduqrvgmbboqmuxsn,4.0,Minneapolis,1-329-330-1734,,1.0,UT,clhdhvbmxtqlydgutnxbdpjzbsapqenqyadnymnkueavkwocfbjgpdfvripgcdmrvv,United States of America,301.0,O,90.0,2043569.0
Eifoepazwvtd,Oxi9586,M,365389.0,Hpchloumeyguupqqzozkgamhiizdhrftrbckxfpmpsoidcdxrhz,Philip Morris International,4.0,,Lzajvdgopory,Oxiaooaibcbbockq,,Charleston,1-998-953-3901,F,2.0,MI,tddjhwydgidvepwfxkrywjfolmq,Canada,714.0,O,3.0,3024522.0
OROJEAPJN,HYC9587,S,234124.0,urpfeqchowzwzamchwrietvcqlkcyqablcjjxsugzpcknrwwqtjxlaiqnvdenedbljxicblngaiccpxs,Air Products & Chemicals,0.0,K,Pjibmstg,HYCNSCQZRTHQFJYIVCNRHNZNLIBU,,Elizabeth,1-649-495-7117,,9.0,MN,fhxarvcnggirlknmawrpshvlqncfugid,United States of America,641.0,O,34.0,2097877.0
Bosppjl,Yik9588,S,298976.0,JYASALXNBJSZXRKAEVO,BJ's Wholesale Club,2.0,V,Kyflluulstnop,Yikatvsvrdyppgu,3.0,Lexington,1-603-787-0064,,0.0,AR,eoxsbsibxmnnuakkrqlgaieqnk,,582.0,R,99.0,2114972.0
VYHAXHRURO,FFM9589,M,323188.0,MJPATPBBFJGHR,,4.0,,Iwshlllilpdpjpyfaxirn,FFMQWXU,0.0,Santa Ana,1-724-827-3598,,9.0,Quebec,GMFVOFMFOGQGLBAVSXELIWNQLWBUMPASGOEZBKETLBMKTOVRSHZBDHBTNEMSFMYRGWSPFNQW,United States of America,318.0,O,25.0,71123.0
USCUMJLZ,Tkd9590,M,125822.0,IGOENRHESZLVVTATVQBPTGLKBSMUSANPCRYXSSNZQFQJPBJGZQORQRJUR,Aleris International,4.0,r,Viwnqmi,Tkdrblqi,2.0,San Diego,1-750-106-0156,,6.0,NJ,Jcjpwtkdnsylsdgrob,United States of America,513.0,O,90.0,481333.0
bfblph,Ucz9591,U,382939.0,Bhucrckyjxffvvrdgxqloqpecdhlflkesvutoefsdownsgihfaoivxnmipdaxnsnelwmhwblfmdj,,1.0,,qteywprmaoq,Uczwtcbdtffpayfbcoqzjvdyfmhpb,3.0,Chesapeake,1-963-696-2524,F,5.0,LA,wpnwc,United States of America,795.0,O,11.0,2491861.0
Linglno,ist9592,M,141355.0,fepgcrsevmgbinqybhbwoexmgnlfi,Levi Strauss,0.0,L,Bfpyktuftistcqgkxccidibqqlpd,istdyt,5.0,Arlington,1-517-390-0230,,5.0,WA,agfpicyolhvwgrswbzkxantujrdkqeujetlgkcryhlqwjqofnhcdcdalvvcqjunrybezunqqsw,United States of America,720.0,R,30.0,3221662.0
Trqcrrrzl,Wyq9593,,364346.0,Njconlwyewrukkwszrrqpnaei,UGI,1.0,,PPUQORSCCJEDVFEKKK,Wyqcinkbkqbmxi,5.0,Overland Park,1-290-754-4689,N,0.0,Manitoba,tuyujrw,United States of America,351.0,R,79.0,1959595.0
Zoqzt,ERG9594,U,86581.0,Xsbzen,CH2M Hill,3.0,P,SXWRIAS,ERGRBLXULL,1.0,Alexandria,1-637-106-0842,,8.0,CA,tqkhmqscbwakpjayystrhwmbknqqaiwebgbjhdbhefrolfjnowbjsvlahgpbodupjhoagdbidxrus,United States of America,845.0,O,89.0,119276.0
ciyacdio,Vjm9595,W,111228.0,Pefgmeuqwlvuiouqwoskhnroovcvsavbdaofxnfwpwrgxbetga,M&T Bank Corp.,2.0,O,GUNPTONZNHODKGDFUXV,Vjmtpccuavvdckvihfztzupicsolws,5.0,Hayward,1-694-681-6738,n,1.0,IA,,Canada,407.0,O,45.0,1813521.0
dcwfvgty,Dnq9596,M,129040.0,gnsaenxsyboqifgznissezpdmeodqcsvfymximvyoifiptegthjprbuwkjwfjvappreefspunxwj,PG&E Corp.,0.0,,cnkmob,Dnqfybqijkwnrzwowtjgiimzmtm,0.0,Grand Rapids,,m,9.0,Nova Scotia,TQLBWNMBLCOSFXFRXLOIHPKQIUHCYXHUWGNZCPNYBFGWQTAOLEFHQBXDCTUNFTMVXQJMOP,United States of America,694.0,O,82.0,
Yxkdw,Jxj9597,S,305340.0,Dxctelmugglxdhjhxtwomgjoumqpzcoyehqsqlxxcyhycqgqnrauxfoupfoeulgfai,Peter Kiewit Sons',1.0,,JTKTZC,Jxjjwbbgsqcfdeerleaswmxlfdt,2.0,Fargo,1-450-992-8755,M,6.0,Saskatchewan,Wqwdppkjbncmyuyrumdxcirmdxvkudoubfbnvxn,Canada,566.0,U,15.0,1835226.0
LLUSTFOPGWLV,PYR9598,M,59865.0,nsbusopkifiqevnuesmdbzwlgrixxczqglm,AGL Resources,4.0,A,fppixcu,PYRQVSQMEFYLQWRLQX,2.0,Fort Wayne,1-996-648-6019,m,8.0,KS,fjfpudhxckkqjgixinhfrseikxnjfsqrnuyeyasimpotewzzshbhluzrkkokkzwnbagosr,United States of America,626.0,O,1.0,280212.0
OLARRGMXJPT,UFD9599,U,358175.0,FYJFWRPMGRPQDAUPVNIOPQNXYHLAMLBOLNQCWGMJBULF,Rohm & Haas,1.0,,PHTUJBR,UFDZQYLIFDDB,3.0,Chicago,1-491-567-4129,M,0.0,NE,lvhleknvptgwwicnseknkpdjbkimudovwgrtjxwmnfhwljhtzrr,United States of America,794.0,O,74.0,947447.0
Jhieredm,rlf9600,U,284583.0,wqpbgabjdpeicuusedwkryzqmphzgvkxxhvxygnxqpcrpjfjhmhrjdoqyhntoxtdzgva,Progress Energy,0.0,N,Wswezhpsgbv,rlfscelaaknihrkaxwijqsdbqmmd,2.0,Hamilton,1-819-998-9209,F,2.0,NE,Dnjmdrotakxsgndolxnrqtgcsain,United States of America,639.0,O,44.0,1796353.0
jnnulkcoahhn,Hik9601,M,147469.0,svnqswxcedigkhhtmorneurrpdcwbcwxwkgvqn,Lincoln Electric Holdings,5.0,,xlauir,Hikzxecogc,3.0,Louisville,1-704-621-9062,,7.0,CT,Cmlolmheigogxipoydwegluxxiairdcxlotxpvccbpmiwvhtkaw,United States of America,595.0,U,9.0,766911.0
Shqbwvhrbfh,UER9602,S,164412.0,KGJAXQEADLSRCNVKPICGDRWTFM,Vishay Intertechnology,5.0,,Efqzdipjtitxffgu,UERBNDILPZPQPQPGAZMEIMN,4.0,Lexington,1-469-302-8928,M,6.0,RI,,Canada,539.0,R,60.0,50549.0
Kduuenuudj,Pne9603,S,60820.0,Wrsszhmrscxnrjtwmybwrxtqjvwiqotb,Select Medical Holdings,5.0,S,Ywtnkioxsqndzzswdzdfled,Pnetkjnr,0.0,Sterling Heights,1-962-082-4168,,5.0,MD,bhisjrttbqymxenqsxasvkxoecavijyzgkkxvjftrlqevwcxztajoedvsqjqgilpc,United States of America,672.0,O,74.0,1509000.0
GQNUS,lqs9604,S,401822.0,Xtdakoppqlicucmtxvxkvmamufgrmzfudxo,Erie Insurance Group,5.0,,NOHMQAALAHJKEKJGD,lqstkx,1.0,El Paso,1-775-715-3803,F,3.0,CA,kpigvltudtddqvefrwapvkqoxxcjcqmowoqewyiypciahafgkla,Canada,570.0,U,45.0,2054169.0
NFKLNZXC,ppr9605,M,266517.0,IVIFUTZJVRUEIUCIPSVLMVRUSNWGVXAFUNMMEQSMJJLGCZBHTNAEWRTNWBGWVPNDKD,Union Pacific,0.0,,Euobgg,pprezrnzsnhptavalprgpo,1.0,Pueblo,1-921-672-3046,F,2.0,Quebec,Vebqkbgvmyqlbjgnjhiluieurciwgylonnnleqbbeetnvlhunlhflkseudv,Canada,350.0,R,24.0,
HYUBJUXXRQBG,JVU9606,D,236621.0,nyjdqefglslst,EOG Resources,1.0,,OWORMPTTTUJSVJHYGRGJOK,JVUVCDQVKQMAMXAKWNIWW,5.0,Chattanooga,1-775-339-9138,,0.0,Manitoba,Ybjgmlycdhgxfsngxzsqoltmfuahqqrdmpbysmduxuntalpywccsegafvei,United States of America,521.0,O,29.0,
WQIFQOX,Ctn9607,D,410609.0,rdbgoamihavtfyhvdwimoyaraysupqjkuqgrtqhdkxnqfqbanianskk,Wynn Resorts,4.0,r,HLPSJIKXMU,Ctnrliqyccfcfsyaftbbtdyhdrcsyt,4.0,Vancouver,1-297-283-2223,f,4.0,UT,Irjeneymsajdyrhroqmbntyfhcxmdrhtcxwsixrudqy,United States of America,426.0,R,63.0,1991727.0
GDUXT,qlm9608,M,,Nffidxzjdszntagrdoeyhlwfmumgeiwb,Hanesbrands,0.0,R,Myzgpxghj,qlmfa,1.0,Sacramento,1-354-529-3892,,5.0,CO,BKXOEKCBPUJTAEQPECWICZTITNEJSEWNWRHFLWAPBATQBJYYSHIDICPXHEAIAKMEMVOWYNVSX,United States of America,823.0,O,83.0,30888.0
Ezmrnolwl,jha9609,M,429711.0,Tproadybwetcifrhyuttrga,,2.0,J,Mpgxeyjrchkkxfamv,jhaveyhqxlcexposez,2.0,Jacksonville,1-115-583-3844,,9.0,KS,PRXXIPWAAFBNUMHADTMXHCYACVNCTFJQTYEWRUMXEOPPNFJGGEWOOQUGVZOEONYV,United States of America,548.0,R,75.0,3932732.0
WPWIUCSPC,Uku9610,M,25462.0,NQSXTPCWBGFXFL,Jabil Circuit,5.0,,Lbnwcmkmtkehqmzfgbyfxzsec,Ukutzkbddzfnoscgtdftcahhtkc,3.0,Denver,1-570-847-9762,,2.0,RI,YNMGEFVUNGCMDTYBRJAKLHIQNNANEVWJOPZSTKRXDRNRLNWLTXUPOEYGVOBVCHFDSPHUPR,Canada,850.0,U,52.0,3816349.0
CTBRL,ZVX9611,S,200012.0,Dlstpxtzknvffyzfphkjhrjjmstwsrkgtmufzhirmwxpgcjhdjkurolncqjj,Imation,2.0,q,Kmfbjwihfwovoypvulmyikdpp,ZVXXIIBOMHQTVGOVVBFJLUBBDATWSF,0.0,Rockford,,f,0.0,NV,Cjnetclltbrfaspwovhpwpxgkpoltilfartddcgwghclnhojnwmg,United States of America,,O,28.0,1524003.0
TXLAOXTGQBHB,srx9612,,359501.0,Ejgkxibrfsvudwhpqshahrflxmpqcuicosdvskcnvucdslahepu,Coventry Health Care,4.0,,tbhpfrhlaudrlfbiwkffirneho,srxyobcs,4.0,Naperville,1-117-699-8077,,4.0,WA,JKJOGEQBMRIAAYNLZUBAVCSLOUKRPJE,United States of America,825.0,O,45.0,1604876.0
ljeatulp,ens9613,M,244323.0,Kfookxkkovchtemaqggeupgwadzckebkxfwjf,Blockbuster,3.0,c,WVWHFNPOQHNJGBSZXH,ensrsaizskhiaglrnfagtfs,3.0,San Francisco,1-330-169-0786,,5.0,Saskatchewan,Dclkyoxlgqhoevlvvqypsakysfaivjdwpwmucm,United States of America,684.0,R,8.0,3122664.0
vqutpcii,Fvl9614,S,375382.0,yxdtadapbxczdzifmwbmsdelbwvchpbtupvpclzhlfkhhddkehsldwy,Harsco,3.0,n,YGQDLNKMGRNRRNDJSEEENVVAH,Fvlsczyvjrcwnnqbbmvetpipi,1.0,Santa Clarita,1-818-529-5438,,9.0,NM,uuutbmfctlmvngqpqyigixttxjcderkjcebximgbfwmthcwayedb,United States of America,,O,79.0,2039156.0
Aalgfl,TFM9615,M,86581.0,Zosxqpmmanjaghlrlrdodldcxctijxbgtbbgutwkwllnmziizrfdxpcbkqnmcuenmkemwifwszigumn,Erie Insurance Group,5.0,,Ayabdxdjyngunr,TFMCNDLUPEHYZVSPMJ,4.0,Charlottetown,1-199-835-8035,m,10.0,Nova Scotia,Opazresq,United States of America,460.0,,9.0,3389179.0
Jubxjgt,CHC9616,U,273274.0,xgguvqfrhnmohbenpxpfilkfokcc,Bon-Ton Stores,0.0,,AWKXU,CHCNNBLSXBJRHS,5.0,Edmonton,1-150-892-6454,m,0.0,AZ,CNALDFQEDDUQNTGLSLCUACFMNEPUUKGRKRWGAPNKMJSOAUDPNJFCIUNKWKHUMXZGHKOLFMTYGDVXEWRK,United States of America,698.0,O,45.0,1705338.0
Fljcopqrqps,Jts9617,M,31076.0,Bwfkspsfhjeuorgqjcxfhlvfwiifocqkwlwbddoncbhphhumfrxaqcqwsh,Windstream,1.0,A,IRGAXQKUHTEFYCUKVGWYSLQW,Jtsbavfrec,3.0,Lowell,1-576-326-3388,,10.0,TX,XDUPYGUSRXFOEHCHOGHGSDUSKITBZXNGPABNSXNNXYLKMHPKMCSRMQZTASWRIPARSXDXSJEEBPTULB,United States of America,531.0,R,52.0,2764245.0
Dfzsiuin,Kep9618,S,404917.0,zxadxmnpwbsxdpjyzphcohowixesavggnxcqlwkpnusfplfutnicisojmeionqermspjaraogvpi,,4.0,G,Crdsvrqvvstlngcacbolqueurql,Keprudkzerfzcvosaukb,3.0,San Francisco,1-742-084-1793,m,3.0,PA,gqbchqdrohwinvmcpxcfhgcjbqwcqmma,United States of America,478.0,O,87.0,2998827.0
Pybaopcx,Sbh9619,S,133860.0,,Teradata,3.0,c,jyhwjroobrp,Sbhlnwj,2.0,Flint,1-142-040-2754,,1.0,RI,VNOTLVQCEBZMJXQLDFCSBDJGUCXRCDQJFQYEHEDZSRBPVBGQYIYCPUR,Canada,522.0,O,77.0,125727.0
CIXBCICH,eax9620,,362096.0,Kfbzpfyrooylksymqqllwhtaxxowhytdhuqybdxu,Exide Technologies,,J,Lmmhbesdwtsgpo,eaxdafdhmwfbqzeckkwfwkhdnl,4.0,Sherbrooke,1-623-004-6373,M,2.0,WA,Gxffovdjfgsmd,United States of America,424.0,O,,2580217.0
,Fxb9621,W,62285.0,piugkibfidpqosedqzogqhjynhjayqulpbxftfcbgo,Raytheon,5.0,e,Mlzufzcivkdiudniqtfnwi,Fxbdobfjumieqcxoewxheczzx,1.0,Sydney,1-673-465-5530,,5.0,AR,Dcpbbusifpzyefxbftgtyjxkafvobuykoeiediiaxqeayrtepfnvhyyrkvsfqxoilnrzjjruudchrfmq,United States of America,838.0,O,18.0,2937182.0
ZTWERNIOUI,Pgd9622,M,485955.0,kvdqoncsxsgspsdcmggncltgnrhuotsjvbzitbexjkmsvehcelvorz,Ruddick,,a,KPTXRSZIBNPFNAB,Pgdwwxldumj,3.0,Independence,1-879-575-2775,f,2.0,IA,kyzddzfrrzhovowqnnjum,Canada,352.0,O,52.0,1688979.0
Cgmxunvo,Pbm9623,M,496062.0,Qtcenqrkpdetlzmlmivkpudeekqqeweafsbueowbxcjqspcwaxbqodsqxrpeellsjrpd,Affiliated Computer Services,2.0,,YWKDYVX,Pbmxseazxpesrenlkldcemnd,2.0,Chula Vista,1-617-314-4050,f,4.0,New Brunswick,mgiqlrmflgrwibkeqalzajupfbpickcngudomunubxifdgfikmophlgt,United States of America,541.0,O,28.0,951716.0
Njaawk,Tjq9624,D,357691.0,Xssxiegnbzspjeewamrftubpatrcjjngwjuxnq,Cisco Systems,5.0,l,Hhylrwzkatcghbvbhhdbsxwnfuqoo,Tjqiykfyprazzbqpqpowd,4.0,Amarillo,1-852-797-5421,m,8.0,HI,Beawlvqqgqdkmqnvfbibscgnisjtzmvhdzghhifpdqqskc,Canada,713.0,O,78.0,3286331.0
noielpof,Rqt9625,,363994.0,Seixwdkafflqwmwgrtnitnmtacbwjljxekvcygyupbpuuvcaytejohqvezayacuviuqf,Molex,3.0,I,jzkwjrbmaepnontstsjcfgjiqsorvp,Rqtiup,2.0,Vancouver,1-405-722-6037,,10.0,MS,Pgqkimxtrmrzpsvgcofwmzbnjjvjeuvwfj,United States of America,362.0,O,46.0,1548003.0
Oqvbjd,Vqd9626,S,447126.0,NRJEQDUKUMPXQYEEVHOWCNESVNISUMBIHAJSRJAXOVSCOQVLDBMJHEHJZTFEGVKLXCWSAGW,Procter & Gamble,0.0,,Oikthbktwbgxdbfflh,Vqdfu,2.0,Waterbury,1-572-286-3435,,10.0,IA,ahfwlw,United States of America,749.0,R,70.0,3560347.0
XPMQEIUH,Ear9627,,405459.0,Kermh,Watson Pharmaceuticals,4.0,,Lvvpxibmcaivbrinsltehxzqfzpin,Earpffp,4.0,Casper,1-207-535-0860,,5.0,NE,nsxjrp,Canada,368.0,O,98.0,3038857.0
skyyvmj,Cai9628,S,115063.0,jifdreeogwadhtoeqnseaueqqgplxkzbfirijngfmntviawrssq,BearingPoint,1.0,,ntrkmplovxjgxtoeixvvl,Caisstnltcmhcxsoeksx,2.0,Charlottetown,1-298-560-3607,F,5.0,MA,Rljrdpdqtnbfandmrvcfjbthdkkexpffdaeintzigrcjdywbwoigbmnvovdhkqdufpcvlla,Canada,642.0,O,84.0,3649153.0
Ubvdhi,Cvw9629,M,185892.0,Fmmvrxddgc,E.W. Scripps,3.0,,hzrpdufaqkxuhgcr,Cvwgxmuykxylilopstohoba,0.0,Saint John,,,4.0,Ontario,Uqodyfeovkbq,United States of America,781.0,O,93.0,3757101.0
Hshntn,Ujo9630,W,419892.0,Zlhtfklabphlwnukstectoanitctrrmlrvdwtidwhktumvztpbgqroveploasjjhxhrqrhbkoznrx,United Rentals,5.0,,bcwewjvgmkhthuuknbpzrecno,Ujobhadoiltkyttkfseihzqrcrek,5.0,Birmingham,1-121-277-4762,,7.0,KY,tpdzscdqwtqhjw,Canada,588.0,O,65.0,2050133.0
Xcfccj,Rlo9631,D,383095.0,Hqhjjvrujasjtt,Entergy,0.0,,Uchbalxphcccmbbilqdh,Rlovltjqjoruiwamyhjgfeesaywt,4.0,Sunnyvale,1-467-298-8636,,9.0,OH,Nwvchpspyzplswrxchjdxxteexhwnfvorfheoiznmnicmfgozjiskilacg,United States of America,838.0,R,22.0,1299398.0
stoiqh,Edt9632,U,308861.0,Svkrqysgohbxwealhbxwog,Carlisle,3.0,z,Nnyjmlbfjg,Edtnflqnmehsuoplpugdlbeehxqqe,,Torrance,1-303-717-2689,m,0.0,NC,Tcjfigwetjllmkvjbhxcusydsgwldcmkuqlnztwlmmt,United States of America,516.0,O,42.0,2701723.0
Vmgvg,HDH9633,M,94274.0,cudtcqxfgvybouccapaizpnupemndzvarrbctyujkvxlrlvdeflnxll,Patterson,4.0,,Pvxugrmv,HDHQWAJTTBLOIAXRDRWNFKSTWMXH,2.0,Columbus,1-750-299-1821,,,Prince Edward Island,dswkmfvrglidcilyduiophkecjecauwxbqekvnvzyfdnkrco,United States of America,839.0,O,21.0,
slwwcsq,Mbv9634,M,245985.0,xlhtcxgvgtaheikskoayppmziwzddizbagd,National Semiconductor,3.0,d,PJPXMZM,Mbvdkigafhdcfxpuckqohh,3.0,St. Johns,1-770-700-3972,F,,OH,feteslrtevlvkwslvmjkexqcpaghiozfxotkorvfawykgkv,United States of America,370.0,U,30.0,1756757.0
XFAGQHQFSDQG,WKP9635,M,400758.0,Ugbwiqhojdmvqoffkejjouatraapwabbabmapmuptywmaro,Coca-Cola,0.0,,Dbjpswqtushxqkdwh,WKPLD,,Salinas,1-998-749-6801,M,1.0,SC,Eazyxllrpvmtf,United States of America,456.0,R,59.0,942008.0
