prospect_nmbrchldrn,prospect_nmbrcrs,prospect_gncd,prospect_pstlcd,prospect_frstnm,prospect_crdtrtng,prospect_lstnm,prospect_wnrrntflg,prospect_g,prospect_ddrssln1,prospect_ncm,prospect_phn,prospect_ct,prospect_ntwrth,prospect_mrtlstts,prospect_gndr,prospect_mddlntl,prospect_stt,prospect_ddrssln2,prospect_nmbrcrdtcrds,prospect_cntr,prospect_mplr
3.0,3.0,NBU7950,Wtmju,Wttdigoxdlsetsaecsmykr,698.0,NBUAQ,O,46.0,khsusfahhnmwaenjtcsarjgxfpksfnqsahdeantguvhnawldvkmcsbhwpidrvfdxrklwkg,352785.0,1-613-317-6920,Charlottetown,2374063.0,U,M,P,MD,Yewrfezntvkozyyhssosxjfhvovbzttxqujfialbrgqdlvbomuwgcn,9.0,United States of America,Pacific Life
3.0,3.0,usi7951,WIILM,Nttfpcyyuzn,766.0,usixjzgnbgprketqmuqvalk,O,71.0,Xibdijvesakpvikdpso,98403.0,1-425-168-8926,Iqaluit,2950394.0,M,M,C,KY,SYSBTJBCAXCQTXQGRFNSAPVGYFVYLNJWMQOHBVHTWUWCIEEAZRHOVGKBFEQZASJRQMJ,3.0,United States of America,Imation
2.0,0.0,lyi7952,Orodvakxoy,Lockukwdquotjovdqynjpggsbsjibi,715.0,lyisulvrmtakxjlcrzbniepngdgdgs,O,67.0,,193163.0,1-834-776-5359,Hilo,1812351.0,M,f,,VA,Finwjypacpbjglmrklswgrawzhbfeocpjprguiwttoeofspzwpmdtvabyxsr,1.0,United States of America,Burger King Holdings
1.0,1.0,Nxw7953,Snjkoxfgemlk,Xwxobrpgzdoegqohlvszf,778.0,Nxwdpb,R,95.0,afewqtzrakkcfaboltipsatypddufefyvbdyj,293740.0,1-725-384-2416,Milwaukee,2401369.0,D,,,KS,ISKAUVPKKQJSFTMQQKWIXHPPBPMJMAAWHPVASEKOKKLOGCBLFUUHEYAGYCNZFVOHRBQQ,5.0,United States of America,Rowan Cos.
1.0,3.0,Fkd7954,Cnzokxeuch,Kkosjkpgrnjx,591.0,Fkdvusshhfdlurvcgajkiwduecvfo,O,8.0,Anvfusruqasqkpymilppwliobuxyqmaoecnqdxqsnebwnrlhldisjcnytmhrmeuoitsnsfffnc,491432.0,1-683-708-8535,Hamilton,680974.0,S,M,O,KY,WUJPIZUECFISNBTMZCYJSKCWAPAFMJRJLXVRJJXOYYUVDUSFUNWGYVMSIBAEPJNCXCQN,2.0,Canada,Susser Holdings
5.0,4.0,Kom7955,wloyabve,woqanmjieqlziqczibwthvksf,538.0,Komsojeljwpanmjeufy,R,89.0,MSRMPOWBDFHQJCW,300246.0,1-634-619-6654,Austin,3928533.0,M,M,U,NH,Pkuicdupwughumxemyuaolzydhisbbs,2.0,United States of America,Cephalon
,3.0,tll7956,Tukqgpngao,Yagssloxvlchtsvnmfdhlbhubrt,775.0,tllghgshlaacczyrijfvfhig,O,41.0,Acuihqueegwmztdgppraghmtnuqhmrqxcqbps,499522.0,1-250-147-0365,Windsor,387652.0,S,F,O,IA,Uqkhrezotmrn,9.0,United States of America,Sprint Nextel
1.0,3.0,Izc7957,dmwhtakvzrux,Labqpvyojuqlclykvzhbao,843.0,Izcbxzsfhkh,U,32.0,Lvqhtpofmpvxstwwbvtgtrwfgdmnjawiuioiwxyiklrhofrkqnnxxynhgascirnndybnw,261504.0,1-899-001-2403,Allentown,821584.0,M,M,G,IL,AVBUKYNNRHNLNISYSZPFNOVNNVLE,9.0,United States of America,BJ Services
3.0,0.0,WKX7958,,EXFSMSCE,512.0,WKXOVR,,87.0,XDPLYIXDGDTPIPVJODAMTPVDMKJRXTYACFJTAEVESOOGPTFWJHWNHWOGVUZJMRQKCWJFVNWXFJ,,,Fayetteville,1244071.0,M,m,,OR,HOKVGVAHIUFCKQ,10.0,United States of America,Retail Ventures
0.0,2.0,WNO7959,covzi,ymeazlfwsuommmxxx,833.0,WNOCXFMRKUJOQZSNXVOVJPUZCXCK,O,92.0,Flpunomecdxltugdwkzxwrjxrofgxtrbnqaimurleenttjetuwjxhdgaqaqamubudcqxjlbriksh,338850.0,1-589-125-1887,Montreal,1189322.0,M,,,NM,,0.0,Canada,American Eagle Outfitters
2.0,2.0,Kxm7960,NITLHBNQ,typhcytnmwbhluub,400.0,Kxmnnrjsjcbmxbslqcsxtw,U,83.0,Kvpnrufpvjqzotkrgmhmkz,322878.0,1-496-317-3058,Akron,3233142.0,M,M,,NE,Nbhccbhukwwirfbqnugogcoqelv,0.0,,Omnicom Group
3.0,3.0,VBK7961,enxtyammfpso,sacefuthhvhttiunquq,754.0,VBKQCEJRJTKDOSOOSNFF,O,73.0,Koxucempitjjdvuibixfumqwtbesdenqgupvwpfejiigwadhcetfhwbo,344857.0,1-048-902-4918,Independence,1977072.0,S,,E,IA,guceoerjfiszxdqdcflppdvrtfewmyqdqdhtvgqpogxomzibbnalkq,8.0,Canada,Belk
5.0,4.0,MOW7962,Huhfvzb,qjdmqsxtdko,738.0,MOWBNSOUWPPJL,R,6.0,BPKQBTFELLPHWJEVLGTITMJKGBTLFXHIGIWETH,326286.0,1-707-512-6428,San Jose,2565062.0,S,,G,KS,CNIQGATPHOH,8.0,United States of America,Intuit
4.0,2.0,Okv7963,Fwtryjknra,Enldryzsvsbpjihkh,839.0,Okvqft,O,73.0,fdmnbqrmdvsefnmemmpopsviwdkgfynlnawsckpgzyxrfgvrgkwrhbrvxm,258746.0,1-755-429-0507,Sandy,172431.0,M,,,ID,,0.0,United States of America,Cooper Tire & Rubber
3.0,3.0,Jnr7964,Gkinhvujwgs,XOXGELDEQPNXMNNWVPMHYHWMJL,724.0,Jnrcuoo,O,56.0,abdvalumfxoggpynaofipkyadytyqufkcywfgoxxhgnykoxsee,388720.0,1-226-695-4242,San Francisco,2735339.0,U,f,b,Newfoundland,Eqiecdycntfesorjocoopn,6.0,Canada,Toro
0.0,1.0,sld7965,QDBBWD,WBMJXRIMJEDRXSIEPNXCGABXWTVNZ,770.0,sldgkcgfqpfpydzeqtqaaw,O,95.0,ehlkrefzwzxvpsmnmbot,397650.0,1-275-909-0362,Elizabeth,3273938.0,D,,,VA,Eugnbodhmtbdxusjoqhtvrmntdrsyjmzktjpjlkbhcbupllqfikvxqdrhlnjaazzin,8.0,United States of America,Helmerich & Payne
2.0,4.0,HTJ7966,Qwuuxhzahd,Hxgwxrlvbsa,844.0,HTJTRSEJDKMVVLQRJPSFCRJ,O,92.0,Lgjlhyvqvsicmfhnetkuqyaohgaqiwljrqmmeiotxkpdfieohxktmbct,138396.0,1-339-141-9741,Reno,497721.0,W,M,P,TX,Vucopbdsvuglhktaoefscqwhtfryzaujublfpogjnlureyycoexidlivdvuaqclaatxarxtflpqs,0.0,United States of America,Centex
0.0,1.0,Jah7967,Ewsgmajialx,Wbcbhqqqqqroffgwbeb,307.0,Jahnzodkpghhmtdmijinjlzvxvu,O,62.0,Bsgfyovraiehoqyyztxznffxapdqjseqstquqckefsfrnfzgkflslodxvmpaxxtlwcygngj,278359.0,1-401-115-6829,Simi Valley,3397603.0,W,m,,WA,Rwrwnohykhzxyajmpvttarwnwwbaicgdjagrtpupaguupdndreegkxaxpchmlerpnkxs,2.0,United States of America,Qualcomm
2.0,2.0,oce7968,Oggomhoomi,VFYTKJDYIDRQWYGCRR,600.0,ocezyyodhewjsgxkaupfjely,R,80.0,Nixvnantxjstnhozglhrmaeaxuckgsntmjwtnggnflww,36336.0,,New York,2320613.0,U,,r,RI,Tabpcqvbrhweptexsaaeyhpxfamknxvdcqkxcxxmcehsvvznshgtmuqwmsxdhfzohqxeobvmauz,9.0,United States of America,
,2.0,Gyg7969,ZUMATEYDNZPB,bdcdxsejlvnmopabrdeosuxsl,843.0,Gygpgtqpx,U,42.0,usbvlcsllnqofggkmoekiueyahvyexjpbddvirmhnqcjkgmfokg,210065.0,1-423-497-9642,Simi Valley,3162291.0,M,,B,WA,Guadpsvgtdooevwesspsgrkcfmyafgkhsosclxfdvobfoqceffgfdrmynjvuqpmdgngn,6.0,United States of America,Universal Health Services
0.0,5.0,Qwr7970,Qrbhjg,txtlcvn,616.0,Qwrrnrvsnybhuvihlywkqfzaojcicu,O,45.0,Onjdfqvgkslkosrpknihvzylrkejlqpffflewnhtdfcvm,165145.0,1-667-132-0118,Coral Springs,2835719.0,W,F,,MT,Arqifwtalzxwnfuwfyizjwwtjpnmlqudsojkkvnrcddm,7.0,United States of America,Medtronic
1.0,3.0,Bpg7971,qauaawqjvc,Ojvyeksqyppuvorlagbwnlszdvige,330.0,Bpgpfcq,,63.0,illmdyfbrlwadjxemcvfueyjtdykyaqucyyolfctrbwtysshjtdhywziuqivilfgmenru,58218.0,,Bakersfield,1856955.0,S,,w,NM,djtavgmzwlwtavuakhhhvogzthldlbwcbmcgosrn,4.0,United States of America,Sally Beauty Holdings
0.0,0.0,MBQ7972,Txtoucjdz,gshlcqxdbcnqputqltqnafkm,444.0,MBQWJAFTVDSNXZCWX,R,35.0,aeclgwtslltzmlszezoyxvbldjtiiqnpfghmniimxjdwqpocs,67777.0,1-366-870-0408,Moreno Valley,228641.0,U,,,TN,URWGHABHNLQAVIPDLTMACDOWVMRPBHYNAJEUHUUFJHJSBWVCAQNFCSPBMSQ,4.0,United States of America,SLM
5.0,0.0,Qtn7973,Cmjaegrju,hvcsxhhdordpebod,595.0,Qtnvdxyubqfxb,O,87.0,OEDNATVXWFDIIHYBVJUEHLNKNCYYGRYFKOTZDJSMMQTFJSMPRNJPYPEREYMEBDTAKMDZENNQNMAGY,39761.0,1-458-995-5122,San Bernardino,361584.0,M,,n,NM,Qifahzwmvbncytyvwigkdwsyvpewtczpsz,,United States of America,PNC Financial Services Group
0.0,4.0,aqr7974,Urcnb,tqymhenitzedh,425.0,aqrpatoqyqkwwkuvrwxxidrnvag,R,9.0,,129508.0,1-233-397-4249,Ann Arbor,52012.0,W,,a,ID,Mgqweoniaaxmigclhvmtfhxorwulfxarnqgzccevgamukogsfrthmdqytfbcrk,0.0,United States of America,American Axle & Manufacturing
0.0,5.0,QMU7975,Avzijcbkw,ltneghsfijwmwccmwpqalkhu,396.0,QMUHYNUCXJERQXLDEJKKQENVAJAQCB,O,1.0,Qeeiespwuhkewjxspsujvllvtgrucoxpahillguwacubqugzwyeljdtfgsbbtxd,137883.0,1-135-933-5159,Salem,2518827.0,M,m,o,NJ,EQLWTZATSUPXBSQVMGAQQHZEDIJMUSAAOYYMCLZ,8.0,United States of America,IMS Health
0.0,4.0,Zbc7976,Kctovgwi,xwkbdkhqrksgdvvhfhtzr,720.0,Zbcdtdrhqxbkmnd,R,58.0,Tkvxkmokxddklidoxmlpuxuqjmocnvhodbfcexspqxxztfcecvjgrnqwsfvwaulxlqp,181746.0,1-431-497-0163,Louisville,,S,F,,NH,nsqszkunggembpaxtlzzixaiavuamueyvuahdtffojqlzyjsgbjrgoiy,6.0,,C.H. Robinson Worldwide
0.0,3.0,VHX7977,Xkdzustf,Weogedkdasbnabrtprx,656.0,VHXMMQBSVWPSEFMB,O,58.0,EYBGVGDHTXWEFISEAJBLKPRFLXHHDRUFNSTVPMPPHMRJYVFXWDLMFSUMRFGEGJLCHAMX,332881.0,1-601-191-7044,Irving,2028687.0,U,M,,SC,Twqaaokigotsoejzvjlzzitiajnbveabnfqualpxbslawnpmrupkdmzpqop,5.0,Canada,Sprint Nextel
2.0,5.0,Rub7978,BLPVY,RVBANQWTYYOTEZWUBCHNHHUDESQWI,749.0,Rubexgzukftyzkouj,O,20.0,sntcnoepfgncqgmfphgiukupjrpvunbvixxf,446723.0,1-137-179-7233,Saskatoon,2903276.0,U,m,c,IN,Camhyanhhlgrsfprsaidtmroxhdbnwlmysbatiwgrrv,0.0,United States of America,Dentsply International
3.0,5.0,Bbh7979,LCJGYVEIJ,ssdngmtgmqdrkwkk,584.0,Bbhptzsrbajmxpcqdznx,O,92.0,ibppaegmlyyqxbupjecshurfinxezskrgaqmnecacmaafwzxdlxsyjyvqyqfjwotyjjdb,307144.0,1-429-280-6110,Erie,1055051.0,U,,,KY,Zovdduwvsbbwkayokvoithkegphcfbdgbm,6.0,United States of America,Walt Disney
2.0,5.0,hyl7980,Uwzck,wronkstrtpxuopeqgbm,,hylxso,O,67.0,wvdenuumxaaemzduywzrnkcztppoeretvrtbkcllpfzq,168863.0,1-697-497-5231,Hartford,3490418.0,,F,F,FL,ILAWNYOVUNMSNXFVJRQNBCXHSDNSZPMVPGB,6.0,United States of America,Aventine Renewable Energy
,5.0,Eel7981,XEKHQF,FPDGQCIUCJZLMNPHIVSYLG,613.0,Eelnw,O,38.0,Xsnuelfuotcfcsfxoupjnnuysljdogsmrasap,426083.0,1-548-067-3818,Cleveland,2367528.0,S,,,FL,wbkhuqjjmmtqcbqlqlrkunnypzb,7.0,United States of America,Supervalu
3.0,3.0,aen7982,cywbmgtbar,drnrzowdfytxkikoapsv,761.0,aenknkxrgpkbxwdld,O,39.0,ZTRGTRYIIKKFXNRPFGTQSDORRLLSNHQDACJFMEKBGHLZONMGORZQHDGEZZPSFZGYSICLDPHOW,435691.0,1-013-355-4164,Allentown,1843385.0,S,f,z,KY,bqzcbknvvuxqzwxjrgxzuqgtoeglooklqohgehxjzsdgwurd,3.0,United States of America,Penn National Gaming
2.0,3.0,Mme7983,Djacarff,cwhtrurjmbeid,498.0,Mmeupcvwdgmqotrybnfqlsrpwtm,O,21.0,Wecstxtaprnpburaktllddxbmbyibsffojkvcpmijnyzfljzqbmhemqrluv,489399.0,1-817-810-5742,Omaha,2453788.0,U,,,OH,ovrtfurrjwcieejqwdsxeeuxakyvsaesnsvpwkqanynmbcchqlsdxqgqivcgwzgw,1.0,United States of America,Supervalu
2.0,1.0,rnh7984,Ogymapcjn,Imwtykmppdwfraafgfzkpicq,500.0,rnhfnydigxrpjgjbq,,28.0,Zpcqzzlxaslikjvv,173047.0,1-416-838-4692,Omaha,2846133.0,D,M,,AZ,zicwdymulgrgpqtynjvpbcnlsdvtsjfqrdrxmxmmplthgrcxj,1.0,United States of America,Dell
3.0,,AMK7985,Zvkdi,Rwonkxpelogthewayftqlu,328.0,AMKKXEWBHR,O,81.0,cdyvmyujgskbzhehtkcjohtvjjrewujqlvtbrhrllnsqyu,334169.0,1-487-500-1420,Idaho Falls,464486.0,S,,k,AR,Gehsxsympffrjsjwafstnvyhkgicwykuop,1.0,United States of America,Citigroup
0.0,,Quw7986,QHKTDQDDUOH,aaksvsjyrorzcnbowfzp,549.0,Quwlydwgttiauxmcxhxkomgxjiys,O,32.0,hbcbsqzgtcfiorujuutmuejfqddcofradaisozhelhojtldrtcfgxqx,415529.0,1-660-829-1708,Cedar Rapids,3389791.0,U,,,NV,Xoanpdtfsiufsc,1.0,United States of America,Hudson City Bancorp
5.0,4.0,RWC7987,ayyiejonxe,Zquwohjxlqrdqmkedcfuowox,383.0,RWCKNX,O,92.0,Botanbcivtabxwcpeuibdysbwsgvlajmpmqsjnwvcuxvyrzrgmhikthmgcscwgosm,74371.0,1-192-498-2461,Simi Valley,1069894.0,M,m,l,IN,Xrdskqxcwutikvqhhosxbydrwckfudhpxemxcnlrrfbtqguytmasrhavuatcgruevrnejpchetdwk,6.0,United States of America,SAIC
4.0,1.0,Ido7988,Geowphvwnibh,AEJEOUZBNXNRYGCZPFRIHEROTGZNIG,318.0,Idozbpnkbysomf,O,51.0,btxcnjudynhvambkvsssrhpfjmrityimmwqfdie,313315.0,1-142-166-6504,Raleigh,216883.0,M,,,VT,Lbibosawqqqdwbclvjsjoehuoizwptyuhhzzotjlrnroqxom,9.0,United States of America,Darden Restaurants
0.0,2.0,USP7989,YDQYIICN,Mtkiwxtttxfuhfgg,656.0,USPWUSKZEWJQWLFCF,O,70.0,RWWANNQXCBZZQIVDYMGYXUHSMNYJTIMONCMBLUZMVHAZBEPVQDLIVDYRZ,158974.0,1-638-418-0655,Great Falls,3624917.0,S,f,a,Newfoundland,Ujnggiajsspwhrvdcpbeonzqfkb,0.0,United States of America,Herman Miller
5.0,1.0,OQO7990,Adgusld,Cwjbcdsmein,389.0,OQOSDWKICQGZBGFDTIJFJVQDCWTRL,U,70.0,Bijavsamwbgodqukgzkqhnoodmhuthpdthggxttlojehajbfjizpsheuxcctwjikrrft,206128.0,1-798-461-1441,Rochester,3338800.0,M,,M,NC,LDFOWPEUA,1.0,United States of America,Automatic Data Processing
1.0,0.0,dnu7991,Ohfbik,Nvhcdrfheyeyxem,583.0,dnuzcbgreffkbbbvpmsobyojakfzxz,O,54.0,DNHWDUADIP,234045.0,1-331-218-0022,Naperville,1156363.0,W,M,t,WA,fwadtsoafiwgooxgvlwibwgogksswbiiduocuhicccfdulpybsncblwcrljtazovbqoqyxbyib,0.0,United States of America,Mohawk Industries
1.0,3.0,EXT7992,Dbdrbww,Cbzzuvsdcolkfickj,408.0,EXTKIVMOKLHYQKBRCT,O,76.0,Fucxjvshoqatqpimdplbcusrabwmvvaibhuuwssbisoafrndpkidcpskqsduiso,423527.0,1-744-452-2641,San Jose,167904.0,D,M,,NJ,,6.0,United States of America,Questar
2.0,0.0,OZM7993,Uhtvy,Rwbbqkqqjschwyhhq,715.0,OZMPLDCUTRNUVQULYLY,O,100.0,refjgy,386685.0,1-181-898-5778,Tacoma,3720069.0,S,F,,UT,Orjjjbvvmrnrlkutvxyoahzcmjoktwnandwhymjdcpvrmvkhdbb,1.0,United States of America,Cypress Semiconductor
3.0,4.0,Djl7994,Fomulrhrl,Nwbeothstuthkljaikdtik,644.0,Djlwkbbcsuqlmgtbcoodsugrdwh,R,99.0,,185313.0,1-045-510-7922,Jacksonville,2295922.0,D,,f,KS,Niyvufqhitaplytdxptwnvolevwpjntvhypbrhfkxlaksqlveqexjifqjkcp,0.0,United States of America,Abercrombie & Fitch
,5.0,YTU7995,chdnefzza,GCVYHYHRTUDTRPPLUOFBQQVH,378.0,YTUBCXDBNQNWLUM,O,98.0,Bahzndvxqeywnghnrorqnqspelhnqdeytcpngqpcypovro,121101.0,1-071-848-9400,Bridgeport,337666.0,M,f,D,AL,FDVDGXUTOQZTWLQAVIWBR,6.0,United States of America,Morgan Stanley
5.0,4.0,QLF7996,Dcyly,Fyclziwfwtbehdepds,841.0,QLFPUYXVNODZPWKYOBI,O,64.0,VHUFFFKVXUYEKJYHKHSDNEHYVPMOFNRPRWLGLDFAJJGGUHRFEHMGPTSUGPALPIKSHHWNGGDEE,92187.0,1-961-299-1862,Warren,778019.0,,,X,NE,TDLGVOTVOIHTGMRMCDNQYAKKHOVMHLPZDDEIOBEIJGVVSIKZ,2.0,United States of America,Avis Budget Group
0.0,2.0,zju7997,tlnsgzy,SBJWOT,,zjuqvzbdwjqmpfoipsuhlomwsukll,U,63.0,Hryypr,38552.0,1-019-060-4384,Tempe,305311.0,D,,Z,NJ,wbtfpwxjrmvlont,5.0,Canada,Volt Information Sciences
5.0,5.0,Oab7998,Dtpleovwiluc,xmlsatau,747.0,Oabbfqqbqienbjnz,O,55.0,ERWQAOIMWTTCSEOXRRGSZAOSHBOJDUNNMXVXVZMH,16691.0,1-520-702-8601,North Las Vegas,3080436.0,M,,E,UT,Qczwsqymzkajrirruktvxryjsphdrofuetnfhyxppxwdeunbmk,5.0,United States of America,VF
0.0,1.0,xve7999,qkrkhqmoaq,jbnhjtrsox,810.0,xveafagmbkhtvdi,O,7.0,,120512.0,1-563-081-3970,Lincoln,2052565.0,M,,A,WI,Uzzruqgyrlniqguzmhkpjuwtphusieajpnkocwpwfatdwx,4.0,United States of America,Urban Outfitters
0.0,5.0,EHZ8000,JLGKERPSSQM,NJOFUUIEQTANIFHYLM,368.0,EHZCV,R,,Xregnhzhytuhaieneavgzqreaoetxbbgqjxemstcjsioqhtdodfpccpkfehegjbkbqantkpdbxljbwe,270139.0,1-999-226-5168,Washington,,S,F,p,AZ,kdhenyrf,1.0,United States of America,Lennar
5.0,3.0,Lws8001,Vcgera,Xaibtvy,676.0,Lwsqjsu,R,26.0,Wnpri,361164.0,1-552-654-6988,Virginia Beach,3462913.0,M,,I,AL,VCONXILUETAPXCVGHIGUJGH,1.0,United States of America,Principal Financial
4.0,1.0,Jqs8002,Wkjbyppp,Frnlmag,505.0,Jqsqpalivy,R,34.0,Wsfytinibealaknfvjgobilhcthmrbgtgsftkldbkjrbaccelqobwovwvhrnxzysbdf,342647.0,1-383-717-3914,Minneapolis,2613827.0,M,m,,IN,ZQPDJFNICERRNTPBN,7.0,Canada,Piedmont Natural Gas
1.0,2.0,Mek8003,UWHJSSCQC,DDLRCDCAGIGLOPQCPXYELWVJYDJO,771.0,Mekgcyxxonyfkwapfpjqczuwpniov,O,44.0,Chvtgcmqvaafipjwauliheayoidgimxvmzkdfxvcjomuulwwmusshongljvxwaancqsnfqaziztbhew,238810.0,1-387-492-1802,Glendale,393637.0,W,m,d,MD,jktgppuhsyqrlejrjxdwiob,6.0,United States of America,Sally Beauty Holdings
0.0,3.0,Hfq8004,Uftcvrqx,patspkzhrbmjbfssros,713.0,Hfqlfbbkmiimtzjaohgiu,O,83.0,Vwwoxjjlepwphmukdqtnursisnqqylpopvixaealmwzteznkkcrdjrsniumzxhidxbo,445985.0,1-841-060-4968,Frederick,299040.0,M,,z,KS,SRHEEXPTBPCDUHNPYMNYXRUEFRHUSYVIIKDNITQWIRRAV,7.0,United States of America,Armstrong World Industries
2.0,3.0,Lft8005,htntdnzitiq,Rtgvqz,708.0,Lftdyjimoskrml,O,17.0,Uwgaszpxdcztakzwaeriddbyhrnaqywsbdzqbmt,15075.0,1-755-610-0722,Allentown,3377834.0,M,,,Nova Scotia,qervrizdmhivkvdpvdrbzawdylsebmcmsbytwzaqqbqjtocnhzxhrlputmkdhu,7.0,United States of America,Parker Hannifin
1.0,1.0,VEQ8006,Akcjndwkj,Ltyfwtrxrciisqksgqqmnkbvddpmfo,732.0,VEQIACJLOBHPJOBSDKWFM,O,11.0,EQSGTKZTFMRBNCWPNWUJPYCVNYZNWOVUCPNCKMHIEMBXJJWKSNSXGNHHRROGURAFCBIJENHWQFAMRZES,100336.0,1-891-655-0364,Washington,1999428.0,U,,,MI,Zmxialdvbgtonanuvtohbmizq,5.0,United States of America,Northrop Grumman
1.0,1.0,Ljg8007,ltscpmmvnj,Fwlrulyjxvuxqdgasmstrocdw,794.0,Ljgjglivlmoxkqtuwiy,O,74.0,,318321.0,1-805-853-3528,Saskatoon,770368.0,D,,L,MT,ludivnwidprlosdoldibsxleoonkjnhelagg,5.0,United States of America,
,1.0,Qvc8008,Cohchkoibzg,euoeohunoszahgngnvxz,418.0,Qvcgtabliwdnzykbqx,U,96.0,xshzsgbdxmppgopcancqnp,51469.0,1-715-849-1831,Lewiston,3684933.0,S,m,u,MN,Xpgxirhcugugctohmmckj,2.0,United States of America,Computer Sciences
0.0,4.0,XPF8009,Iueso,LPJWUFMXMDUIWXJFNVZH,706.0,XPFEVPPUEMBLEKUH,O,4.0,Ksjkbnxavfnxtqymmksoyhxiodheuqvadmjolxblrvrexkpkegpqognfaslagosnnggfjdnbnf,383624.0,1-710-070-8467,Peoria,501398.0,W,,,FL,eknbdrxefjojqtmzelgyllezldxyyevoqoipnawmvsnkvixlqculdhbmpgdwfokstytgq,3.0,Canada,Polo Ralph Lauren
2.0,3.0,LDQ8010,auixuc,Lgqahnloeniumenwg,767.0,LDQGDUJBCGGOCCNFYDRQ,O,0.0,rbyhesxxymtuzmqelgx,241986.0,1-558-667-8933,Mobile,1868660.0,M,,E,MI,Olxzgfvmofgzzvsbpgtufbpcuznymakfrgtviuzwiindozvjtcjgbpzntubckmdxvfxsnugkxssm,1.0,United States of America,Toro
1.0,4.0,Frh8011,Mepujqbcv,IFSDSGJSXQKVKBUJOZUPJLNJBTCO,698.0,Frhzds,R,2.0,Acglytjlwovwzqdqxluduoyzvvdfdzzaghyj,152859.0,1-462-627-1683,Jersey City,1613282.0,M,m,A,British Columbia,rudamugfcrvhifccwzwbezumasva,7.0,,Regions Financial
3.0,2.0,Mvu8012,Qfqsshuufkum,Ucpqth,397.0,Mvuoujxermeqarcdssxjnrcs,R,14.0,Ujsvbcaiczlsnffbesgwgsuwp,332155.0,1-946-850-1175,Worcester,850716.0,M,M,w,MS,Aoooeljhokmssxwazjghfxkymingtknnkbkymgyiqhwkkybcxsftttnpqdsvr,2.0,United States of America,Pep Boys
1.0,1.0,Uqo8013,Bdnhnb,gvzvwrpborcsypcduifkqhu,413.0,Uqoiimfh,O,26.0,XAXMBPKZOYRXDTBMXSONOVKSGYBDAUVIVMKLSLGRLHTITSYZVLWDNINOEM,163191.0,,Provo,2056567.0,M,,,KS,Tqxlvtjlabawqheihkcdgjcaefntjwyhlsmwhkta,0.0,United States of America,Calpine
5.0,4.0,SJB8014,Lvbkf,Nuevhhfqmiirnowiimqddkdfifgb,787.0,SJBWZOHWKRCHEUHWOXAC,O,58.0,vcfegiukvaxwaglbntnirflx,413962.0,1-821-158-3797,Toledo,866588.0,S,,,WV,UVQYCJVZAXEVHE,10.0,United States of America,KAR Holdings
4.0,0.0,cpe8015,BTGIVSUGWOGZ,Axiwievpevhoywactywv,399.0,cpeweasobdnnqeseephekuosunqivb,O,76.0,Zomyrakanlgzcoztcwlbyqcxnch,190630.0,1-724-439-5793,Portland,1062891.0,,m,g,OR,BTKTFX,10.0,United States of America,
4.0,3.0,osl8016,Yfhda,ujnzwc,675.0,osldoewghvfajlh,O,43.0,gaziurgjlpxicwzlqgncfmvbagincls,,1-037-028-9797,Arlington,630650.0,U,,,IN,ldeqixufpwbpycwywhkrqdwwe,1.0,United States of America,Merck
2.0,0.0,Rto8017,,qnqnk,556.0,Rtolpe,O,37.0,Xcfuonafgocqm,364290.0,1-472-312-5067,Washington,2417102.0,U,,,MN,Mqnkdngntbhqikvxzdgqrscuqcrehqaksorjgqanfcdihhxycl,0.0,Canada,AMR
2.0,0.0,Rkt8018,uhbalo,Wfgpkudwoextkeeghcpahw,357.0,Rktadm,R,50.0,Mudmkwwhwhbqazdmkaglxlqhbxntkjhhyiostoj,,1-468-691-5712,Inglewood,,M,,,NE,jfxmngcxzpnifytakuyinbgbzvutsblriohfvqbtvabdbwmfghiqbrbrpznyhcrkwp,7.0,United States of America,J.B. Hunt Transport Services
3.0,3.0,EBS8019,GRHHQGWDJHUZ,Zbfxtnvyexrrudmkaxjrww,303.0,EBSSBRAPSRMIHRLHXLMI,O,69.0,Plzqclrwadqcenwtoirsrvn,13472.0,1-664-475-4373,Mobile,3556093.0,M,,q,AK,wvtmwwxshsrzkqeuoqbjarnroiigkiusqjty,7.0,United States of America,Sysco
5.0,1.0,RAH8020,rbaszclsyz,Kszouhmp,645.0,RAHSFDTES,O,48.0,,377276.0,1-962-509-4844,Chattanooga,481360.0,W,M,,Manitoba,Kdkhdzrwiqoeemwdfgmpweyp,1.0,United States of America,Northeast Utilities
0.0,3.0,gpf8021,ZDUNOVPC,Wqkujuxopjuioxrhwyegbojtut,,gpfugsdhyiaf,O,33.0,Javyurlqlw,184783.0,1-918-742-4297,Aurora,2121994.0,S,,,OK,BTKKVPYGCUOUHEQBZMDKQJCAEUCGNSNBHRHCSGHMSTMBJWZU,4.0,United States of America,Mattel
5.0,5.0,Uzp8022,QWDJCK,Oklmymec,728.0,Uzphepqwkktazwjlakvdenoqqtok,O,1.0,Pkvxhpdsomjelmswqjupiedirvdocfrasjdmgwhswczthlsjpewsonoswkewxbcyl,339071.0,1-589-877-6520,Austin,1206934.0,M,,w,NH,tmhozgenkbxneihwedbmhjliqdewgapydddpaadiaupyusfgzgnaskkjbeohmazdrro,1.0,,Universal Forest Products
