prospect_mddlntl,prospect_ntwrth,prospect_mplr,prospect_ddrssln1,prospect_phn,prospect_cntr,prospect_crdtrtng,prospect_ddrssln2,prospect_pstlcd,prospect_lstnm,prospect_ncm,prospect_stt,prospect_wnrrntflg,prospect_ct,prospect_mrtlstts,prospect_nmbrcrs,prospect_g,prospect_gndr,prospect_frstnm,prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrdtcrds
,693726.0,DynCorp International,XIXDXEUTYGFWKMBTZSADATTMERGSDCTNRUPAQGI,1-122-808-3486,,411.0,zgffzmeoxfmzbeztnamjrcpfrlvzqdphaxrsofmncyopnxnpyawglttwfpqideidqdpyt,Hvelezfhmsqj,kuolpmuplanqtkroeriidghvitkfpg,448803.0,DE,O,Lewiston,W,2.0,44.0,m,TGNZQLP,kuo8405,2.0,1.0
,1456507.0,Pulte Homes,APAJBOTETSM,1-621-293-7749,United States of America,541.0,Kyvvcqsxpmfruwcqmsefienrnnwreessopvlicyvgbsrrkluncwbxzljfrizfbvlqvcvpieqkkysgbom,Hjodpfodfk,Gnxcpekaoavtafalndszen,494763.0,Alberta,O,Hampton,,0.0,6.0,F,Deeceotemeru,Gnx8406,,1.0
,613257.0,Pantry,IWLOHMEJNYCQENPSXGANRCOPJBHELDABEOWXMGLICOLWRW,1-503-406-8132,United States of America,618.0,ipbdiycoggqllhshuppbuswe,Nbseejlhjti,NBITRHRBOVKTMRYQHHKGCC,219917.0,CT,U,Durham,U,4.0,78.0,m,wjepvbz,NBI8407,5.0,6.0
N,545439.0,SAIC,Ynjfkyvemyweqxvzzcadefprduldpxoderhspsybgdfmoxphwuxwbdlfnabxmpgxe,1-447-068-8633,United States of America,487.0,Okiihejuqllxkxvupqjovetayfrjypqpiqqfvbgtnkbphxxdytwtputvzpltdpwacx,RQGFS,tcitchvfs,275576.0,NJ,O,Salem,W,5.0,3.0,,BTEKZJKQVRNICWNJFITACV,tci8408,1.0,3.0
,2352979.0,Service Enterprise Group,Uycwekapqddljhapqbzdxjfzjpbibtkgvsiixnytnzfknpsyasalcygqnmo,1-281-225-2506,United States of America,733.0,ittegfwtdpddmkscerlfycfajywjavjxepowxznshsjthwdgjuvqudrqnupfhxtuailaosrnmcwpvxzd,Mrxgy,ladtpkm,313667.0,WI,O,Iqaluit,M,0.0,75.0,,ADQUISMISR,lad8409,4.0,5.0
j,2662579.0,Level 3 Communications,Iqkhkwlrmgurnownvehdgzaeahontkphucejyrqoeeepqddtffddlznkpnvdnublcpihwilhwv,1-585-185-9026,United States of America,788.0,JCMRCWJTAIJKXAENPWRVUHTIQRLBOSMVQJGQJJPQBRFBDUKZDWGKXNKEMLLTVSPACJWY,Jkyeaxscf,Gsvwgxjrthucokaridabgutkj,117546.0,ME,O,Pembroke Pines,S,0.0,64.0,,Mbpjwqtwhuuomoot,Gsv8410,2.0,1.0
,313104.0,Safeway,iqeczirncglzjlppnozyimjkjofolaudmqd,1-044-374-1808,United States of America,393.0,jvhmeuompgubtoamksjqauabcmfzjwbenmeoqvx,XCZLSOKJ,Fkcuenwvmgfeifnvvitai,61410.0,MN,O,Cedar Rapids,U,5.0,85.0,f,knuqbvebtxykgteuwqgdqabb,Fkc8411,5.0,6.0
,3015714.0,CACI International,Amqpjrownrhhsqllsczkqkbvbpoqojjqqzfi,1-808-485-8256,United States of America,412.0,xcoppdcaaflyxoflyfy,JCVMTHXTFS,nttyfybokywtx,193365.0,IN,O,Savannah,W,1.0,17.0,f,agenveimvhiitvav,ntt8412,0.0,2.0
i,614942.0,Land O'Lakes,Sxaim,1-229-706-6736,United States of America,557.0,Nnmljwjtuilbdgnjifgemjzvcnmyrrmdbvntpigsmtbowrzskvjljylbwwgmajefxpghvd,otjgbmtf,Enqpjoqtqevbbscgswpeoo,99313.0,NE,R,Erie,S,1.0,,F,vetrvncfyfxxawfbbbokvqsw,Enq8413,3.0,8.0
o,1471593.0,Zions Bancorp.,Gqqphepzxowutlfnpkqiesvmddetdfnrafclcafgaejcwfgqjrxxlh,1-183-936-9819,United States of America,397.0,mnhepalqmnyyqvfpdnwpwxqbfgfbjnnkmvammagmeqomdpqyfllhkchegyrqmyzxlgtkzdrfcbyuztsg,trqrttubsb,Zxqfrxln,186026.0,MS,,Las Vegas,M,5.0,66.0,f,Wmixcfxpsqkqudizcdno,Zxq8414,4.0,2.0
b,,Career Education,Glzbpewpqkvxnsmhamivuxssrctflexwlolidhaolnkqxxibdzemzlswqznqtppmihtwkhpugno,1-469-487-5771,United States of America,561.0,tcxjpqqwyqnysutfjbddcdouyhqftcfkixksmyjlmualkfvmipwsqxelafhzmcxgxepilxnwtosy,Xfpplsolbakj,CQVUHNSTCLRIGTDMRTLAXJRZK,288720.0,NM,R,Windsor,M,4.0,19.0,,SRZTWMPOKKMQTRECMCZAPXKNCZXVD,CQV8415,2.0,3.0
Q,1353127.0,Apple,KGVTRWHIRNSKDHMUQNLCKFLXRYFXUZJODSWFLOVRRQWGVTLPCZVHAVK,1-104-525-7246,United States of America,516.0,Mnvnwqovqsxhwfmqgudetkavpkntbbpqjvmapozskiwdlcxonwpywqjyazjxeufcdo,Xsyclnonvk,BEZYUWPFA,183068.0,ME,O,Windsor,,3.0,91.0,,Xkjyheggatnawc,BEZ8416,5.0,8.0
f,488073.0,Mutual of America Life,qpmuyt,1-082-889-7946,United States of America,764.0,hkjyaokntfxwfcbudjbhpnjrhzjkadut,xaggpg,Yuldcmtvrenhglivxbqo,406673.0,VA,O,Akron,M,3.0,,,Jjbfnct,Yul8417,2.0,3.0
,1770822.0,H.J. Heinz,fgqmjqqhnbtshvvkhrfvujeankbupboamzbvjskrjxoryngzkvxkbxhpjoiunbuk,1-040-266-5438,United States of America,725.0,Ustcauwppqdejbuthotricvoiwogriprftdmgualwxgmetmpnqisxhwlwdbjjvu,Tqxqtvdamx,Jtbfhxrlekfqxnq,322767.0,WV,O,Lowell,M,1.0,69.0,f,towplhdtqclh,Jtb8418,3.0,
v,3349478.0,Herman Miller,Cqcegjcswkgilvihtmnvkzxfizamlttiphjrpaxxaqrjmkdumfadeivnskhkmudgx,1-782-124-0009,Canada,463.0,Qilqvdmmdalxstgqibqxlcjrffwcqwdoggonhtxsvxffxwuxaeggxwmsnrijxddueuabgxdkzdnmtgb,rswwmt,Hqdfkhkiz,41575.0,ME,O,Akron,S,1.0,39.0,M,MYPMTPLITIPFUVPJWKQWIXZILSXRPJ,Hqd8419,0.0,6.0
,3343920.0,RSC Holdings,Hbkfardqbwjteotrgcxpcrkfnpersviflccbtlskdzfvdcwqaxuczfjqnwbjglta,1-729-495-5713,United States of America,774.0,WCVKKHBNKXFLNRJLSCTRCDK,HONBYBONUKE,Vrnmc,65319.0,New Brunswick,O,Eugene,D,5.0,67.0,,SSZDDQADLPA,Vrn8420,,7.0
c,1500921.0,News Corp.,HSNPNTOBOGUYTNAJIKEQVEFLYF,1-363-125-6743,United States of America,654.0,ZGTKYFUDPQYGPFKDKNCFRJWKSWNNLHQD,Tsgxv,WDURDRRH,50132.0,MI,R,Savannah,M,3.0,41.0,,YQQVUJEPYSIB,WDU8421,4.0,3.0
,3704032.0,Tenneco,unfmjhccokffuezzjlxhhidpaulfzkuvtcxcmefypebjotzpjtobtkqwuzxpsukicpvhdyzsfjp,1-967-194-0873,Canada,329.0,Azyvlkxxfxjqxtpszciyfzqgo,jdflpxl,uabzeyax,491132.0,CA,O,Durham,S,2.0,99.0,,Szwmbzzkrkuqvfmu,uab8422,4.0,9.0
,624438.0,LifePoint Hospitals,Obusywrvvmksapfgjyedunizmggjzrhlertanpjjfrinlthjhsvwikaovsvcvwtex,1-229-279-8869,United States of America,544.0,HSRWQEKRJYUJKABYEJWZWRKHX,Jpnxbnlwvitv,KFDVMIVSKZNZNZRDJMMLXOB,491971.0,GA,O,Scottsdale,D,4.0,66.0,,Ngjbkxyrejtibz,KFD8423,0.0,1.0
v,3598369.0,Emcor Group,Kixoexbuhlhzupsuancsvkinsiatpeckuznuonconrmmuludnptcczldiqicatylktvoihvdzt,1-497-754-8607,United States of America,526.0,ZPPZUMTTOZNNGZYOIHGRGHZEDABWKDGWQCBPNVVGPRGTBQRWYKCAQNYJCSWGAQC,wgmkrfynhyp,Iztnuipvhenogfmnbjdt,375380.0,SD,O,Louisville,U,3.0,49.0,,Mfvbqrzbxcrigmxgmslfwxp,Izt8424,0.0,
,3110160.0,Public Storage,Jyocsdqremfjwiwomenoyltsbdhmgbrijqjotcifagpfgojwvcxeqyw,1-344-135-2659,United States of America,770.0,Khiqgfcqtyprapbihvgnbckllykrazkkedyrcisijgvuupcnqctnlgfybhmphywwujdsnxrywtp,Lfnasjivx,Auoxguhbggihrfsjhwunmeko,416339.0,NE,R,London,S,4.0,21.0,,Einooh,Auo8425,0.0,8.0
,3683789.0,Boston Scientific,Aswcpjybevdwqyqjgktyyospncmousqifukbyasxshwnzprce,1-950-538-5293,Canada,691.0,Jxmctsreids,kqecy,pqsgpii,185175.0,Manitoba,O,Glendale,U,3.0,44.0,,Uxpayndlmegdivpbujve,pqs8426,3.0,1.0
,2208898.0,Dick's Sporting Goods,LIWMZZSICTIGNSCYKNEWQCEVLPKQOWSLPYVBTZRMAPMHQIALKYGCPFHFLLUSQBPXSDCWJTJZWDUQZ,1-790-421-5304,United States of America,790.0,,Gbophttn,bfmcssjbyakhpv,414591.0,Manitoba,R,Jacksonville,U,4.0,29.0,M,Csjgeqc,bfm8427,0.0,
,3381435.0,Commercial Metals,Zvlextxjsgbihgrremjajdifnrirnxydjyisjjorgqomxqchqiopyriuiwb,1-609-115-8511,United States of America,584.0,DVIIRSOJQWLNJPRVSLPCTTOZKCLHZUSMNBBAVRZCSAYQXYOOZCNLDBLYWWIWQESIVWXDXUFHK,HDRCOUICKN,EWMITVEOCLAXJMMOKDY,451105.0,NM,O,Warren,U,2.0,19.0,,Sgsbjbtwixwpqvvrdjcroam,EWM8428,4.0,5.0
I,499477.0,Baker Hughes,,,United States of America,821.0,,RBGOXBCY,ejposugitmaecujaxcktooekqjh,330727.0,NY,O,Nashua,S,3.0,40.0,M,Rljfy,ejp8429,4.0,1.0
G,3054107.0,Questar,Mpxgjhiknkdepsxflplxketkcjmpiygijxwutwohkzmwkkehxtpyrt,1-429-273-7587,United States of America,423.0,Zfxtjfzeqfnftxdyntdgskuuayqgfxxxxizrprxuvfiqybhtfi,GRRVIUN,Rivizerjugofrqa,50921.0,UT,U,Louisville,W,1.0,38.0,,Hqtccs,Riv8430,5.0,7.0
,3034114.0,D.R. Horton,Cxjigcoqnswzvbbgcmolqcncjvimshirsohfcvywczezhtnvgymplaqcp,1-851-345-9579,United States of America,723.0,Pxwsqtxravyuvbmfqnhvfnrj,Ukdhpjj,Ppoarmfthddcrdigqhjgghcu,219560.0,British Columbia,O,Lafayette,U,3.0,45.0,F,aavdcfgqngwfi,Ppo8431,5.0,6.0
t,604365.0,AGCO,Hywxoslqn,1-163-418-3001,,793.0,Aotqhlicsacxnqwfigvkpweujrljjkagifnzuqhaqismemeqwmvtszuofc,qlqaeki,HCDDTQVVVALCKZKZWEAJPLRRMJTPAN,72005.0,NC,O,Hampton,M,1.0,79.0,F,amfwvnnfnrajjcrgcbkutbx,HCD8432,5.0,0.0
,631885.0,Pentair,awxaxtzkfjjsonwisqsnuqkovyksvjwribyytuprv,1-407-766-2137,United States of America,711.0,Xsqrkkyamkgdvadmpwujihe,fmnoatkmn,Swyzwuiijmxqufig,303962.0,SD,O,Springfield,,0.0,,f,yagdjpaexlmkpkvwpf,Swy8433,1.0,4.0
,1801070.0,Health Management Associates,URCGWJROJCHRCJUNEJOJDAYCJEKFIYIISOOAWQBTPAXYRRRKIDXEORGBJEPVYLRCHGHMR,1-962-726-8105,,500.0,Nbkeueswahenuxstkjbjmtbmltvocsjojyifimzkexnczntdmeqfpkbehf,Izvgerznev,numlwolgbbfbgkskbbkwpon,319808.0,NC,O,Atlanta,S,4.0,63.0,,Bfdecqez,num8434,0.0,5.0
,1726194.0,Tupperware Brands,URFEKRDKJMVRQUISDTJWVDZQGNA,1-101-284-2316,United States of America,776.0,Ybgtfphdgfuriyxbmdxnukrmbxbnoctmjsg,DEBKP,ixoujocuf,,British Columbia,O,Lansing,M,3.0,84.0,,Xtgkeeefiemikmv,ixo8435,0.0,1.0
l,3557258.0,ManTech International,IGBOSYTRFGDBOPPLKDVEWDARPWJBMZHEKECZVJDSFHKDOHLTNCXCIFBVXGGTGFYAOMWGSVHAJXRDQN,1-905-875-1102,,478.0,txlctfqpybdubebqrccscgqwytcvwbolmvzusoloblygoeitvrktjanjkhepmxe,Qvjqvdgaj,vzkzxueoumaksmiwbvmw,391449.0,AL,O,Jacksonville,D,0.0,46.0,,MYCGKSN,vzk8436,,6.0
,1435561.0,Tiffany & Co,Tmitrdsmwlxilphjvijwmrjamrjhtavmpfxhfaupodwbua,1-639-709-5768,United States of America,776.0,OGQPWVUWCVHFMNNUZNXERJNJTYXTECIFNFKMMBHJOFYTRGXJUXWBTUBJPX,,Cchaxvyggjzkycud,314671.0,Prince Edward Island,O,Lakewood,S,,95.0,,Rtqyvweonjddpynhealadnwj,Cch8437,4.0,5.0
,140715.0,,JDYTULFOKUQEQCWKCWQJEFY,1-560-026-1156,,795.0,ibcgldtmwzexdlatnljyzitltflpmvkdsjmipukwdlbf,Kunkthmhgqy,Sevoevfazsnnahlyckhr,193317.0,DC,O,Akron,U,0.0,78.0,f,Zwagwktxxlmslyrnqjjrtjxagcc,Sev8438,5.0,4.0
K,2953490.0,Pall,Ovupewnxndlsckudovscscrpghjpbzmimyelhjqaprqxbhemmhrukm,1-215-807-9626,Canada,843.0,Oqwalfrmjjublj,Ezpyxjtnesh,Baoswvooa,228417.0,NJ,R,Cheyenne,W,,93.0,,sbkyjgnttpokc,Bao8439,1.0,8.0
,3497594.0,,Qvufthtsumvvlaprdgfczjaoknjcsieaka,1-660-386-9061,United States of America,612.0,Wmbifiazkmrudrrfsk,WWRIKG,hvfrvesolubxgdpzkylwjdlqmzxdon,164976.0,NJ,R,Buffalo,S,0.0,100.0,f,FNJIJIENQEZWPEAMHHAALOG,hvf8440,0.0,5.0
,3626781.0,Raytheon,Rrutvxkdpoozhrdmkq,1-526-756-0151,Canada,601.0,Ioatuaxtclwopfoqfvgswoualdeloawxjoavwibt,qmcjaeyp,Crmhedcbvskuiclgkudomiukjoab,28548.0,NV,U,Glendale,S,0.0,71.0,,Erxkdptrxtbyg,Crm8441,2.0,10.0
,3934140.0,Kimberly-Clark,Mvxztdbrngsgdxyrpcmysqorcrkfcciwgtfnkjaohgifvx,1-715-341-9696,United States of America,667.0,Evanomxqbmodlkpyhxtodafvt,Sdeciy,Euouokml,119902.0,OH,O,Independence,U,2.0,44.0,F,Qrvaghqbcmmxsuaufexznwth,Euo8442,5.0,7.0
Z,2103324.0,WellPoint,Yixpjcynqxbjsfnqkwlxzbhducvpwrtpwtfgzxxgoqcsgtphfgaemdwdhnmoclbesct,1-270-030-3843,United States of America,702.0,DVNRIK,Rahmrvxig,Kxpqyndbbnodadjyzcvxqremlykj,228131.0,WV,O,Reno,D,2.0,18.0,,qtdheoern,Kxp8443,0.0,8.0
n,751426.0,IAC/InterActiveCorp,YPMBIHRFVCVJGHDHWVRKOGYSSOUBCUVFMORHCORQFYCCEQYMKQWDWNSLLQEKZIBZH,1-844-771-3207,United States of America,517.0,Isopbjmbp,yzmgvwfidyd,Wepumqhxuj,153927.0,ND,O,Hialeah,M,4.0,48.0,M,Bkonvdqzenmhhagcbonwk,Wep8444,4.0,
,72928.0,Priceline.com,mttsldxpeoeopqzjhieq,1-799-762-1774,United States of America,597.0,Vzxdmycyafxqdfgjbgwiolexwbtsbwmynczpycrxuedktksfthpvohdaqrese,ttgtzfsv,Hvhtkrxgxsgceyikxpxfcm,442135.0,British Columbia,O,Detroit,M,5.0,,M,Olciumrkjbhfvqflqiywuflcnuf,Hvh8445,2.0,10.0
,170466.0,Navistar International,fcvmgnbfgdlgmkkfsjpqkozesxregniclhudaniorrsqzicfvflnmpdgeobsrdorjuvtifuasimisfp,1-529-844-6743,United States of America,788.0,hiyzmgobyhjwlqmjfxgshkqcfrvmwgvb,Aayzd,Rsxvhwniec,292340.0,UT,O,Stamford,M,0.0,68.0,m,HUIIMVMLJUWYHEUWKJ,Rsx8446,5.0,1.0
w,76336.0,Jarden,pkgwplqrxcuoxswbefdwrkheqpqrqswqljgsvmamswvqvyhboqgukmpomywijmweheaqklp,1-086-956-5660,United States of America,464.0,DAPAFHZMUKCAVMSKLQWIBDVLXRDONOV,culehjtykq,Doipayphbswdtzftvacojfjlethwf,26963.0,AL,O,Berkeley,S,,54.0,,Elszsalcuxpfhobpjztopbidurlucf,Doi8447,1.0,3.0
,172798.0,Atlas America,Useiziqpoplsjbzcsomkyjferwjfmampfskbsrxydcgutze,,United States of America,703.0,Fgqnxgaguibghsyclxnsnevgsrpblipjdobrknnw,rjqpmapoyudr,Qqpuroadtuc,337062.0,IN,O,Augusta,W,5.0,41.0,M,AHXHJGSFSGAVHR,Qqp8448,0.0,6.0
,2266559.0,Insight Enterprises,gbiypkjgtlykrvtjbbumkggpwxglpgiwm,1-865-928-1936,Canada,476.0,Legdoajxmtmrqsi,FRPDNTRBVOTL,Faechgbmpddstmghcrhdunliedmik,71795.0,DC,O,Boston,U,0.0,49.0,,WOBRTCUHXFCMIMMYALNDAKDXI,Fae8449,3.0,9.0
,1446659.0,Broadridge Financial Solutions,OBIQMFCTOEPLRYJMMGPFZYKWDZYKMDQJLDGJLKGOUREPRJRKUDMHNHKWQRXC,1-078-320-5212,United States of America,617.0,Bmrotkppcwecksoot,Azpxetq,FIUSGDDNMOGPDWOM,271114.0,AR,O,Tempe,S,4.0,9.0,m,URRXHJCRQBKGVHEOR,FIU8450,5.0,5.0
,2733798.0,Perrigo,bsbvxyaelonmxcwahjrmvfbh,1-010-220-1308,United States of America,347.0,GCENIXCNT,Pjhoxvurwqdy,Eqfjjpwezaikfkn,322148.0,ME,O,Scottsdale,S,0.0,95.0,,QSBQWBFLFOJGCHZVATZHYCVQMJHA,Eqf8451,3.0,4.0
,3057177.0,Embarq,Apaacmekhbignedjgpxkzkpbhaootvqyudx,1-251-163-0585,United States of America,,Vudkctitoflwsvjuqvepspet,Lcvpm,Cmjowlhqdrk,233357.0,Saskatchewan,O,Casper,M,3.0,89.0,M,XISPGTVNQWOELWBQ,Cmj8452,5.0,7.0
,1392119.0,,Dmsltuucykppehmqfezgtomjscbvupufxgccldgerwpniwqivyimxnnegqynddjdrxoekdzvn,,Canada,767.0,vadzzmveyaypjflrolynwpuggollcsngxihaqddphmrasdwowlyzxrqq,Misusjjecac,HDUWWGTUYQPUKPGUOZT,105107.0,VA,O,Montpelier,W,5.0,54.0,,jkrwlnfjgbjnplnfhkkg,HDU8453,0.0,5.0
,2505151.0,WABCO Holdings,Sqzfggosyyukvtmweoypfhwrdbmmuyvceheultglyloxpayqizshaxxqssuoocda,1-219-906-6463,United States of America,478.0,,wvnaw,tsssfxvykpyihhfzzxjfzqabnr,248032.0,VA,O,Stamford,M,1.0,50.0,,Ramljubfcin,tss8454,1.0,3.0
,1238133.0,Beacon Roofing Supply,SBCGOVDUVQMPQOMVQTWBKMBQDWLBAZATTIDBDEARD,1-870-258-0983,United States of America,521.0,,Mguikpinj,pitumqhn,478696.0,HI,O,Aurora,,4.0,79.0,,Dnribjpkaijfadt,pit8455,,7.0
T,1932173.0,Smith International,Jgrdxjpfkhyacqxopaqbb,1-814-914-4841,United States of America,585.0,noynshbn,Bcvqifn,Volkv,3391.0,WY,O,Saint John,D,2.0,,F,Jyuhcwnuekbngtwnrt,Vol8456,2.0,4.0
j,1930474.0,Huntington Bancshares,Zxdwj,1-476-525-7286,United States of America,334.0,Qwrqpifcvgytejnxwjhdjey,csnfrvuxuuf,Ewzjooxfcladnqmwrdupehbd,121179.0,CO,O,San Bernardino,D,2.0,50.0,,VNBUYFN,Ewz8457,5.0,8.0
,2443730.0,Core-Mark Holding,wgabdojkvwuhgqhvggbfprfripegyg,1-948-656-8165,United States of America,727.0,Kwipgfuvnwsexrrjcznahrvlessbiqbvekhvsemuvfvbhbbxmdp,VSYDB,OWWOCOO,303801.0,OH,O,Warren,M,,28.0,f,WUVZLLIRSNNGVZVCGVASQHHXQ,OWW8458,2.0,5.0
N,990303.0,Sentry Insurance Group,hnmjpqay,1-519-257-3199,Canada,611.0,Mmwbpfspqsglpfpimxxrdrffcrypevgjqsskpqewmejomhmvbsuqwmuvjtgvznhbldjicechfserih,noffdqad,Hhnoumpdzctklsvjijrauuzbeorok,6744.0,FL,R,Louisville,W,1.0,17.0,,Dijevzccrmfmmast,Hhn8459,,1.0
x,1635558.0,Amerigroup,Rdsnozoygdmfdrswodep,1-326-407-2371,United States of America,360.0,ruisuallpdfsemhrxrymitapyzgkxzlhyjolbgknhwduqmpgsrlhnvfcvcxqabht,Cnmsgoz,FFXOKJLPJTPQYSNPKPPZM,326543.0,MA,,Cedar Rapids,S,3.0,,f,Naajvmxefmwglbcantzm,FFX8460,1.0,5.0
,1831763.0,Terex,Tsjdy,1-793-516-3698,,445.0,Iairukolxgcshllhnvlspvcn,tddcdgegs,vuscxq,270638.0,CT,O,Eugene,D,5.0,26.0,f,ywzzi,vus8461,3.0,5.0
A,429010.0,Coca-Cola Enterprises,Ydxsomiumd,1-192-706-0536,United States of America,713.0,pthniru,QWPSBWKSJA,MCXLKSRMFEPXKDPBHWFLTVO,60200.0,HI,O,Great Falls,S,4.0,49.0,M,Xfbadnpvibezbgchshz,MCX8462,0.0,4.0
,1831294.0,Lockheed Martin,xtuvqvsadyftjsoutajuxmvmyfyrcnivpopmmpybzth,1-959-679-8837,Canada,570.0,Gwdpzxbryvgqgdjahkjudfhrzakdxjodghxzalhxilwrxrl,Xocdasikfx,hnoojvmcjgnaakxgwrklpsbhbihaeg,183336.0,WY,O,Torrance,S,2.0,26.0,,Qqmrhtmhmq,hno8463,2.0,3.0
,436257.0,AGCO,Xfvphqcziwetx,1-332-155-2981,,656.0,mzvpqfziwtriuueonkrkiouoeoypwmdemngptijmgzpdyiomhxxnw,edlffkhl,ndfedooy,340069.0,TN,U,Casper,M,4.0,83.0,F,ANBFUSDIPEQCTIXAYLI,ndf8464,4.0,7.0
l,799882.0,Con-way,nljpyfsneapzufceeonfogkwqlqisqdkqtfqdvorjidqwbzskndlhduayxxpvsjbcgoidmcbralqh,1-511-107-9446,United States of America,567.0,Elxbsuibdgtp,Bqwza,CAPNSETUIQQCMJTCBAEMZ,4339.0,WI,O,Durham,S,0.0,74.0,,Wogjjypslxafzap,CAP8465,3.0,10.0
,3387121.0,CC Media Holdings,zghroslrzyvhrzajhkekfaauaavenipenyjlsgaplgakstcwjv,1-354-475-2420,United States of America,726.0,Fmehtiospkomkdvtacszfhtikqmyutqmrl,Qkpjoourc,rkjwghmwehbsxajzoozkaarvggqx,380166.0,AR,O,Miami,M,0.0,65.0,f,Wupsgwk,rkj8466,2.0,10.0
M,3690724.0,Dynegy,rhyqdqnkuglhtlpyjwohomqsorlsriktsviixyhlkjdoeuszjdmhcseidbgxwoijdscjks,1-794-555-3534,United States of America,488.0,Uhwdnovwjuugehnomoeadhopemruktwhbnxwpmfijmhxjpixqhjckfjmqe,Ipmupduwced,euekarouhgigvbofu,483411.0,MD,O,Mount Pearl,W,5.0,3.0,,ytendbibwjohnzeipvqypbq,eue8467,2.0,5.0
,1730508.0,CMS Energy,Cfybuabgircdxjzwtplhjraqfwqkedluqtf,1-223-235-3740,United States of America,525.0,Dirxndttnmlrwvlnovqzsijwojcpkgzlgxrvwnxgfyjr,FTMABKWW,Ofdihfowvobjkquwuwkpkvyvancp,31197.0,MI,O,Louisville,M,4.0,12.0,f,VNFBM,Ofd8468,0.0,2.0
,728292.0,Domtar,Frhscr,1-862-279-6049,United States of America,640.0,riyguvjqvlgjaudskmmiglxaro,Arpdgqpxnuoi,fcprhbnopxnsrrsdlryhuj,470929.0,VT,O,Escondido,S,,3.0,f,GRGLSAFBTGSX,fcp8469,5.0,6.0
,1112286.0,Pacific Life,,1-075-386-3166,United States of America,314.0,XQQNNZKMGCCQCVOSLOADHGIQPEVNMPGIXITGPG,gijya,Yyzeoieaqlrecpot,106289.0,CO,R,Richmond,M,4.0,50.0,,Dvilvawkz,Yyz8470,1.0,8.0
,3167276.0,Packaging Corp. of America,Stkcdrtid,1-153-331-0598,Canada,793.0,Dtqbfoclwukfrhrahvukxcoicij,ahrampskctjn,Nwqhyrjwfufeauendhip,212470.0,Quebec,,North Las Vegas,S,0.0,95.0,,Hecwbhgwlqhwvqvoigxuhee,Nwq8471,4.0,0.0
,2917329.0,Magellan Health Services,AOBHQRLOGFJEUBADBBGSLWTCYSBLFHEQOCZXCIBPTBA,,,,,JEWYLEV,kgparymz,324050.0,MS,O,Saskatoon,,2.0,77.0,,zdjlfmynxusdbfwszzyuhpbfch,kgp8472,,0.0
,1033637.0,Philip Morris International,QSUMZNWWLSDZMKGKVRKOBXTDXUWILJOEWXVCUQVGNBOCEJROTQWCBOCMQCQALO,1-684-936-0510,United States of America,715.0,Alromidqlezsfrsiompvukdjnaewfdszemethqywrb,Ugiwwibormt,uionyfjpnzvpcapkntpfkbbgsl,323659.0,NH,R,Carrollton,U,3.0,28.0,F,Frmbpca,uio8473,2.0,4.0
,626914.0,Ingram Micro,uvzhgowsixxiimgcjfxajibqqqvlpjjvlgswukgrjmyufbdv,1-356-900-0449,Canada,585.0,TGPFTFCMWVFUAJIZTUBXQNQVYNIYQKFWLXLVBIFLSCJOJPUULNAJPMPUUK,Jliyvrlda,Ocrfuhgqanswigcnpgfucf,228220.0,MA,O,Waterbury,S,2.0,38.0,,Mztsscizbgqaujn,Ocr8474,3.0,2.0
e,2875202.0,Intuit,,1-851-783-9290,United States of America,447.0,,Yrrwt,Uzqkwxormvnvhujdbnlqmlgrc,272203.0,CO,O,San Buenaventura,M,4.0,41.0,F,Cjsrzvmlps,Uzq8475,2.0,2.0
,3949799.0,Kla-Tencor,NVYFFWKKALIDBRCCTMIFHIIJEFMXPOFEOFFGPWOYIQSMD,1-465-839-5265,Canada,536.0,ztlsxzqgdepiidgdufkgrjmejnzahpqtaituuiizmijioinuiibcfguzfqnyglrvxjwffajjbgupfhh,Urxgigylz,jdbypecrgkyuymr,451917.0,British Columbia,O,Irvine,U,3.0,17.0,F,ffidowyqnivi,jdb8476,5.0,1.0
,636659.0,Bio-Rad Laboratories,Cnjieduusskwgldmiwz,1-995-917-0686,United States of America,843.0,Ruehqososkkunbmnvvpieilkborqhwtxoaxfcwtjgazbvlrvbezda,Tcahjf,Lgdrojmddshqagcqsxbbczp,111293.0,FL,O,Warren,D,2.0,100.0,f,jxcwpit,Lgd8477,1.0,10.0
P,2563261.0,WABCO Holdings,Xmucqkfkqvuywusyhpoblwquqgyugivuhoqdgbwmymgydublx,1-399-460-8921,United States of America,316.0,Uldnrmculnrufgyhgxdfcqqwmttkqtwvwzscknaibbnkw,upibgkjx,LOBMRSTVKGPSIDLKKJLQLAQIWK,475106.0,AZ,U,Wichita,D,3.0,56.0,,Inrondldnhzpxhjshjoquc,LOB8478,,9.0
y,2705581.0,FM Global,Timzitdvgbkzqdenxkjnppfkdggymgldjlmqjojeohoacpglxkgigvcdqkbpdxke,1-889-021-4907,United States of America,562.0,QOHCXPEVWQTBIO,,Qbjuerjfzxtwemitlurgafqej,331836.0,VT,O,Boston,,3.0,19.0,,AKWCFCPDHBCJWFTFOU,Qbj8479,3.0,4.0
