prospect_AgeID,prospect_Co,prospect_C,prospect_Ag,prospect_St,prospect_NeWor,prospect_NumCreCar,prospect_Em,prospect_In,prospect_Ph,prospect_OwORF,prospect_AddrL2,prospect_PoC,prospect_NuCa,prospect_NuChi,prospect_MaSta,prospect_CrRat
ERT9096,United States of America,Louisville,20.0,AR,2990483.0,2.0,Service Enterprise Group,469123.0,1-974-176-6655,R,JALMWRYGGEIWDDNTJNFCNYYEXOADZRWTO,fdgxtrhffehn,1.0,4.0,S,544.0
SHG9097,Canada,Newport News,23.0,OR,1771252.0,2.0,Synovus Financial Corp.,202723.0,1-564-317-9383,O,Rhpwlsjxpzlva,Qmlhgchfsjvm,4.0,5.0,,831.0
Nqu9098,Canada,Fort Smith,36.0,UT,3812366.0,6.0,Mettler-Toledo International,191739.0,1-533-578-2664,O,quvhebrppdiwlmmqensqtkhajijyvssuwzovnowdhgouhnckdxxkdvraagy,YWHYKXIURTL,5.0,3.0,M,798.0
Pum9099,United States of America,Simi Valley,23.0,VA,818691.0,7.0,Georgia Gulf,80711.0,1-411-100-5024,O,PNQOOBKVNIROHDICGAHNGUIXCJKCXOOPBDNIWEWMMIRBUWDNDQVWTDWOYQRZSQRWPXFGODEWYFXTT,Gljial,0.0,3.0,D,836.0
PVY9100,,Fullerton,27.0,WI,2235319.0,1.0,ENSCO International,440870.0,1-807-302-9893,O,wohegnazmqmmkjxmyzznftmrhduhqooufxtbgtjssfwkoelnnflicudiicjanmxizmqimpptdk,Fwjsmj,2.0,3.0,U,845.0
taf9101,United States of America,Grand Rapids,10.0,WI,3462325.0,7.0,,342420.0,1-981-939-4235,O,Hwctltbqtrfnjevjouciomwibbgibdmnnobnplqpnccnvqlwcqwpnrbxemonjerc,Exnesddtui,3.0,5.0,M,652.0
URA9102,United States of America,Chicago,83.0,Quebec,1902291.0,5.0,Charming Shoppes,128907.0,,R,IYJIRBFKXYAFTYFCSVRAMOUCFXWLLSEOMF,HNGVXJPO,1.0,5.0,S,530.0
Din9103,United States of America,Atlanta,31.0,MS,2482447.0,6.0,Autoliv,126396.0,1-210-936-0218,O,DFMTOQDBMIRYKUXXWXPFAYTNALBLHJJIJEZQANMDSXVO,Vwjocegn,1.0,4.0,D,786.0
OSI9104,United States of America,Dallas,50.0,DC,1045375.0,10.0,Iasis Healthcare,121198.0,1-985-699-0571,R,,Oiqerf,4.0,,M,735.0
Wen9105,United States of America,Fairbanks,52.0,MO,3945300.0,10.0,St. Jude Medical,304907.0,1-484-022-8418,O,Emiggilehepwutlbkbhojprndfoqrpedadvdshjhsjsffq,Hnpkr,2.0,3.0,S,766.0
rdy9106,,Topeka,52.0,OH,,9.0,United Technologies,301765.0,1-943-121-0295,R,skxwnedapnwqmaiewmqq,Cpcboi,4.0,2.0,U,789.0
HOT9107,United States of America,Grand Prairie,,MO,3608340.0,5.0,Barnes & Noble,155012.0,,R,jyhwasavyscqkzfmj,Douqcbdvxdt,5.0,1.0,S,446.0
ZBS9108,United States of America,Garden Grove,95.0,NV,986216.0,1.0,Amazon.com,75695.0,1-593-939-4938,O,Njqzdutxukbsqqlrtafxtdhyayioocbdxeloxswzyghccjre,DQYKEGLRHQF,3.0,4.0,M,402.0
yhp9109,United States of America,Anaheim,81.0,NH,614649.0,8.0,Dynegy,34885.0,1-189-115-0925,R,,GDOKHOIRDV,1.0,0.0,U,779.0
Sxw9110,United States of America,Shreveport,62.0,FL,1581472.0,5.0,Oneok,219414.0,1-846-543-7633,R,Kzhjsfezqglkixqjpsjulhqclgzqpqxrlemeqpdacaunrdynnqctsylffrpsrfqmxog,Milbgotbhn,3.0,2.0,U,769.0
Spk9111,Canada,Spokane,71.0,AK,1850158.0,10.0,Continental Airlines,141819.0,1-331-144-3504,O,Omaosjylsadzseiuacvlmbxwxwwjriheytvvmueiwqskhg,INCXPFSYVM,0.0,4.0,M,381.0
MON9112,United States of America,Augusta,35.0,ID,907663.0,8.0,Zimmer Holdings,316250.0,1-896-680-1025,R,Lxyeiekgmvtrjqudsklcumukmwuffgbancuytmprfqgumztxyldoqlzxsngbpbdptysqxrwy,Tdqaasvu,2.0,4.0,M,397.0
yvx9113,United States of America,Santa Clara,27.0,MT,2517177.0,4.0,Alliant Techsystems,341688.0,1-386-469-7777,R,Hkwgzbxiwmgdeipvftdvxiexgsxixibyowkrqixfgdbssxfzpfaugvmmqlrnb,Adhtdfsnkko,,3.0,U,767.0
gde9114,United States of America,Lansing,92.0,ID,3398489.0,2.0,Continental Airlines,436350.0,1-587-576-8425,O,covnazwfibucegwxquelglctdcxleujdakjfdeeek,FDOGI,5.0,2.0,U,496.0
Bhr9115,United States of America,Rochester,88.0,MO,3174786.0,10.0,Synnex,,1-350-139-6259,O,Bxnzegzkvezbwpwmbtuakkzwuremuogzoq,VIBQEIPQ,2.0,5.0,M,343.0
hyu9116,United States of America,Iqaluit,91.0,MI,,0.0,Alliance One International,428591.0,1-037-838-3725,R,qhvgukahxoiamxnbepxxwejpkgujklbnieldxaquzwvggtvstrdiuejfcpavcqq,Bmbygpppd,5.0,4.0,M,778.0
sip9117,United States of America,Wilmington,,ME,1792924.0,6.0,R.H. Donnelley,189661.0,1-074-244-9036,O,jntutpwiinwlctpblqpxjpotznhsuqdouclalslns,Wqpqglr,5.0,4.0,S,782.0
Nac9118,United States of America,San Bernardino,30.0,MA,3105163.0,8.0,Marriott International,177846.0,1-580-710-9750,R,EFNIFWYUXFZOQCROONKUTYELUKNFGGRPEOFSSKHMVFWTANDQOBGEJDICXGHMBBTWEXXTSAAVMCSKM,Huuenrczvuev,4.0,2.0,M,611.0
fti9119,United States of America,Gary,82.0,British Columbia,182914.0,10.0,New York Life Insurance,334776.0,1-052-410-2246,R,IBNKRANTCSFEKUVIXHPQRCASXQQGGDBJXFY,ezesyqol,,4.0,W,407.0
MAB9120,United States of America,Little Rock,5.0,AL,51606.0,2.0,Boise Cascade Holdings,89581.0,1-165-695-8008,O,,Oeamx,1.0,4.0,U,514.0
Pvk9121,United States of America,Vancouver,60.0,MS,3297862.0,2.0,Fidelity National Financial,115701.0,1-299-163-1904,O,Gslydrjqcauyxbcnwuygwprorsywogvnyw,OEYONMFHZD,1.0,4.0,M,364.0
lhm9122,United States of America,Houston,13.0,Ontario,3435890.0,7.0,Landstar System,296025.0,1-003-987-7376,O,PSFLQIKMXDOBYXRXMNW,pbnitlz,2.0,0.0,M,779.0
Zkn9123,United States of America,Boise,15.0,DE,2405091.0,3.0,Allergan,468444.0,1-651-090-0332,O,Fruldljiwktqbkspdtarhgfrlwufrmsabonrlep,KMSYHWO,3.0,3.0,W,634.0
FLZ9124,United States of America,Concord,23.0,AL,2076686.0,9.0,RPM International,127755.0,1-776-474-6726,O,JCZMEAMEURFCPWVETHPBONSHKQIXLEJMLXFIF,UFRAGOEIZWH,0.0,3.0,M,828.0
ntl9125,United States of America,Fairbanks,23.0,FL,2825373.0,8.0,Union Pacific,50878.0,1-643-874-9874,U,ZHCQLAHQCSSIHUYNGKXDCZP,Boexlonc,,0.0,M,644.0
HOQ9126,United States of America,Hayward,88.0,ID,2472579.0,4.0,Cummins,488433.0,1-300-243-4901,R,GEYRCAQSZXIYIZZQRKROPUVPSHLYXMAAMZAFKUWPTSQJPXSMC,SBKDQS,0.0,3.0,M,697.0
bgo9127,United States of America,Warren,85.0,GA,935480.0,4.0,Genzyme,338586.0,1-656-409-6568,O,Oqlojhfakiqscrxssswiafcwhderecqvenz,Wbgekovb,4.0,1.0,S,732.0
Bkp9128,United States of America,Billings,42.0,GA,2760694.0,1.0,Air Products & Chemicals,360218.0,1-938-034-1141,O,RGLWCWAYRVCRNEOQKYHHQCOOJWQWMYFGSNFMNNHAWDYHZBRR,Dxxewosinb,2.0,2.0,M,302.0
Fqr9129,United States of America,Baltimore,56.0,AR,2227555.0,1.0,Icahn Enterprises,472679.0,1-477-584-7138,O,YWMZSJRRNBSLUAVULWPVODITJZDYALHEGDJGOBUQ,qplusmxe,3.0,4.0,M,384.0
CAZ9130,United States of America,Boston,5.0,AK,1330067.0,8.0,Alliant Energy,466643.0,1-368-949-1321,U,duwdsovyvmjvrjnaarjmzrnmabdavxjphfxcasmxwnucpwwueednzqgd,Iikewgswfvq,1.0,5.0,M,540.0
Gxo9131,United States of America,Grand Rapids,33.0,MN,3295131.0,10.0,Adobe Systems,387050.0,1-136-051-7783,O,HDTSHOOHGFTUMMZG,ooztz,2.0,2.0,M,828.0
Hei9132,United States of America,Fort Wayne,96.0,WY,2397595.0,1.0,Jacobs Engineering Group,39920.0,1-132-423-8891,R,Dearsvwceomxfffmfrlhapcnfpmfnvxslwdittwuybdvcmezlqxrgrycwqmnxgg,Wsxcreudxgf,5.0,1.0,S,
Nmq9133,United States of America,Scottsdale,70.0,NY,2841745.0,3.0,TECO Energy,79200.0,1-936-035-3511,R,XZNLYJRSSTSKTZRGZFNPJLAZCYMLFTIABSQIIKHFZMLINLNEHXAXSYJOAQMUUMF,UZYQXMFJB,3.0,5.0,,438.0
BZN9134,United States of America,Norfolk,27.0,Newfoundland,218925.0,,Covance,232816.0,1-513-589-7802,O,Ymkbuzoupvavtdfvqxkowhxkhaqrqhsgmqbgsuexnrsvuwnpcrtipdrhpvvgtlfls,GDDABAKSBFDH,4.0,1.0,S,838.0
YEC9135,United States of America,Rochester,35.0,ID,757762.0,1.0,Monsanto,148209.0,1-671-382-4399,O,Gzxbeiopaadmsmpowpwfzscrbeomj,Sllkkxamr,4.0,1.0,M,700.0
WOR9136,United States of America,Jacksonville,73.0,MN,629235.0,7.0,Furniture Brands International,287039.0,1-236-011-8731,O,Apcnzqg,Unkfvo,5.0,1.0,U,845.0
pey9137,United States of America,Alexandria,58.0,GA,3970079.0,2.0,FreeportMcMoRan Copper & Gold,,1-401-758-4664,O,Lvpmtfopkionusvhksockyxoegoyogjfuzawk,OEZSUIMW,4.0,5.0,M,603.0
Exr9138,United States of America,Des Moines,13.0,CO,173107.0,1.0,MGIC Investment,481914.0,1-905-480-8192,O,Aeeephcaptskgwivtxckjcsdn,Xebvqsw,1.0,0.0,M,827.0
fja9139,United States of America,Dayton,13.0,AR,2117757.0,4.0,BE Aerospace,298652.0,,O,Arxrxqciswhyucr,Pdjkax,2.0,1.0,U,801.0
Oqs9140,,Oklahoma City,41.0,MD,986564.0,4.0,Newfield Exploration,288140.0,1-824-020-1502,O,bnaejdppinskkdhcarayohtzqgahukpwlxkclwemvsajpzlojah,Dyogksic,0.0,1.0,S,774.0
Njt9141,United States of America,Rapid City,76.0,NH,2840444.0,0.0,Darden Restaurants,415392.0,,O,QJFBCYLHCZUVOASWRBKBRACTOZEUGKFPQOKZYZEODIKSGNS,Nroycbwc,4.0,4.0,U,710.0
Stw9142,United States of America,Montpelier,80.0,Saskatchewan,344970.0,2.0,Xcel Energy,266393.0,1-187-623-9544,,Fhrtzzrfarkpkahwqffedwzblagv,Apyudlubq,0.0,1.0,W,506.0
GYV9143,United States of America,Louisville,42.0,MI,1560889.0,7.0,Fifth Third Bancorp,394420.0,1-932-086-1896,O,NJSFIKELPUHK,KISYNK,3.0,4.0,U,528.0
Jgg9144,United States of America,Hilo,90.0,WY,2795249.0,1.0,Biomet,331864.0,1-730-680-6559,O,Ihhdgqlhpsvfcndzxethadvaifsnlrckmgzkymmcmelepazmhzd,DJSDUOEM,5.0,4.0,S,802.0
Jcl9145,United States of America,Lansing,3.0,ID,2173389.0,6.0,Ruddick,362556.0,1-003-356-1671,O,ophfcqltnlfwper,Soovgsnqugo,5.0,1.0,,509.0
Elj9146,United States of America,Fort Lauderdale,94.0,AL,3217303.0,4.0,Alliance One International,422474.0,1-208-414-2689,O,Bbxyabphzekwaauuoiepgre,Pglceslq,5.0,4.0,S,501.0
Fdz9147,,Torrance,88.0,NC,1174560.0,0.0,World Fuel Services,69579.0,1-825-506-8869,O,Vclcxwxepnwmuqlmeymibojuisoexzcfkyylpqaxlhotrpftcfizdcqoppxhweaza,JRIAYBR,0.0,0.0,M,766.0
TOA9148,United States of America,Mesquite,35.0,ME,2968566.0,8.0,Coca-Cola Enterprises,14746.0,1-958-506-3364,U,Qxworafkjcuazlcdunzzqnk,ebztihbgwuvh,3.0,2.0,W,607.0
Hpj9149,Canada,Baltimore,87.0,UT,2840442.0,8.0,CB Richard Ellis Group,258437.0,1-942-846-7199,O,JOJSFZMGAQMLMGV,Tuentivkg,5.0,3.0,M,334.0
Jym9150,United States of America,Elizabeth,,IL,121610.0,4.0,Popular,476651.0,1-818-647-1608,U,EJGORGINKJAXSKIVUCSYGGDRLPGFHQCNZGVQTUNWCHPWGDDPFCWEXHRCPT,znkahcnw,3.0,3.0,M,555.0
FDI9151,United States of America,Columbia,53.0,LA,2589336.0,5.0,Casey's General Stores,173781.0,1-608-831-7553,O,Efhodltjwiooikdivwphuxej,qawts,1.0,3.0,W,576.0
stm9152,,Garland,64.0,TN,3962678.0,7.0,Quanta Services,128024.0,1-018-158-1247,O,hgwanlvawdehrabjxdvnzubmadlvncbajieffvicvbxdzktydfqwifkbcnpyr,Pfplpuwn,5.0,5.0,U,389.0
Nas9153,United States of America,Omaha,97.0,NJ,2964312.0,6.0,Sara Lee,337331.0,,R,NPNZWBOGXWTPHHHKZDTERICAWJBQC,VZHEJZIJYII,5.0,3.0,W,417.0
Dea9154,United States of America,Overland Park,39.0,PA,724794.0,10.0,Kelly Services,303942.0,1-657-924-4158,O,Oekuwnedabtkpiiufwphaldqovgacbaywhjjscmsvtfoptstlcqytcvvezodjovtvojtgnasnsz,Vqvhsn,5.0,5.0,M,838.0
Qbn9155,United States of America,Santa Clara,92.0,Prince Edward Island,1994461.0,6.0,Western & Southern Financial,494961.0,,O,Eltcudkghnjny,nuxldoyht,1.0,0.0,M,824.0
imw9156,United States of America,Huntington Beach,83.0,Saskatchewan,1180241.0,1.0,Hanesbrands,357333.0,1-781-351-7417,R,Ufrfgcywqmwzpswqqifbvxxfbzlpaftcoffpvveyglexfsudki,Vjldnszpvn,1.0,5.0,,741.0
WDS9157,United States of America,Pembroke Pines,20.0,MA,2091309.0,,Amphenol,141947.0,1-424-892-6369,O,Dffgvaignigusodyeutxpavitwggijhchg,ERYNYCFMQTO,4.0,3.0,D,376.0
XIP9158,United States of America,Toronto,49.0,DC,945046.0,3.0,Brink's,416533.0,1-469-392-3779,U,Eywvqotarhbauwidlkhrwo,gwogwvogqhu,2.0,4.0,U,319.0
Ccm9159,United States of America,Yellow Knife,75.0,WI,1587234.0,3.0,Atlas America,331423.0,,O,KTHOVGPWNIQCCWODPONYQSQLJMYHCLI,vrdqfr,2.0,0.0,W,637.0
Ieb9160,United States of America,Halifax,10.0,CT,2760170.0,5.0,Pepco Holdings,41073.0,1-894-758-0139,R,Whykvurjxbbzpkhbjaqgdxjbpihgptuqnntwkbfkahhmoyqvvsflgbrokvmoxjfgpbl,OGNITNRN,5.0,2.0,M,626.0
Ddu9161,United States of America,Mesa,0.0,RI,3326239.0,2.0,Erie Insurance Group,227955.0,1-092-943-0561,O,Sqdwiiivhvippuoxtezymkdiqhpcvfexgopujjpkvmnciknszbezzackmaqtmn,EUOPOCBVOM,,5.0,M,827.0
IUC9162,United States of America,Waco,77.0,NJ,427035.0,10.0,Select Medical Holdings,185304.0,1-236-097-4757,O,,Scykysbml,5.0,3.0,S,712.0
Oob9163,United States of America,Idaho Falls,60.0,Newfoundland,880880.0,7.0,,475119.0,1-379-625-2828,O,qhmdlzdcbvknipcmsxhvbqrrxtqglvxnmcvx,uirpruwpyqu,3.0,4.0,S,426.0
LLQ9164,United States of America,Garden Grove,44.0,MO,595303.0,,Bucyrus International,279222.0,1-818-734-0056,O,Yvphpehfpvmmklrmgggkjehblexgtwqc,Wkgybt,,1.0,W,469.0
Elx9165,United States of America,Newport News,40.0,MD,3967316.0,2.0,First American Corp.,430081.0,1-996-891-3766,O,BKTAPSHYIHELFMNTFOSD,GOLRHUD,1.0,1.0,U,752.0
sce9166,United States of America,Nashua,83.0,NY,948259.0,4.0,Sara Lee,243250.0,1-998-247-0049,O,vjyjsgezxnm,MUUULYMRSMP,3.0,1.0,M,363.0
Xuh9167,Canada,New York,34.0,DC,1610568.0,4.0,Regis,121950.0,1-570-879-4404,R,Rhbslhsem,AGCKFMPAW,1.0,2.0,U,831.0
GUS9168,United States of America,Oklahoma City,19.0,MD,1759438.0,0.0,CACI International,288390.0,1-368-561-8370,O,Qzsdryjdhsrxamng,vzsmopts,4.0,0.0,U,335.0
Lqu9169,United States of America,Fort Worth,90.0,Saskatchewan,1113419.0,7.0,HealthSpring,419879.0,1-638-644-1702,O,Dgzrkdpqhplemmglofvllmjigtgsymdjzclyemsklnspwgbjrdrvcrwucinbjkynbqclna,Byjpxez,5.0,1.0,,516.0
Asy9170,United States of America,Norfolk,38.0,Newfoundland,374029.0,9.0,Ametek,266079.0,1-425-682-6802,O,IKHGLCV,Edkexthfdq,5.0,5.0,,845.0
Hvc9171,United States of America,Peoria,79.0,CA,1460271.0,0.0,Guess,468035.0,1-009-685-4523,O,Hrtibrgboixokcwzbiea,Hcayf,,1.0,M,305.0
Cem9172,Canada,Austin,82.0,DE,3304104.0,,Dollar General,54914.0,1-911-020-4396,O,Rsshgts,axlewbffbqbk,1.0,4.0,M,675.0
ghk9173,United States of America,Mesquite,81.0,WI,3710345.0,1.0,Fidelity National Information,78820.0,1-086-373-2938,R,Drzbuwvsirlerywjjktdesxdlazfwbbpwlhmitcnyvvzmwkpjsfjyzzmlcnqji,Atzwxfsfpc,1.0,2.0,S,778.0
Hwt9174,United States of America,Idaho Falls,12.0,VT,3233806.0,3.0,,376708.0,1-997-781-1093,O,Ldmcfgobqeicelbsnljlferrk,Dpghi,2.0,0.0,S,756.0
UWP9175,United States of America,Salem,44.0,MN,1802654.0,9.0,EOG Resources,349957.0,1-674-356-0758,R,OPPUSDVUPVV,Ijcitbuzoy,5.0,2.0,S,630.0
Imi9176,United States of America,Erie,,NM,3443988.0,2.0,Abbott Laboratories,100475.0,1-760-959-9757,R,asgyphxsxhuhjcjqsexitxptqklalcrmmil,Ptgxcn,,5.0,M,726.0
frq9177,Canada,Glendale,3.0,SD,2344256.0,2.0,Becton Dickinson,218327.0,1-040-011-0945,O,gxjqd,Mabkkvvlo,0.0,5.0,S,
brk9178,Canada,San Antonio,,MA,1463889.0,9.0,Scholastic,291592.0,1-880-778-3276,,GPJDDFBRAIBCXJPIJIPIRTLOWMZJDWSXOXCNLVKFQTLTIMFPXEPIPYIOXFEGCWDBEFTHCFGSPVAE,Djlstrf,2.0,1.0,U,686.0
Uns9179,,Arlington,75.0,WY,543974.0,2.0,,303607.0,1-765-473-8287,U,FGOTKGMQANFTFBJDLOXJFLRCOYVSFEBSFXHFMV,pdvaf,3.0,4.0,S,794.0
Dom9180,United States of America,Eugene,92.0,RI,1080827.0,5.0,LKQ,284065.0,1-456-488-2807,O,OZWPNFUFSPTXHLIFXBEWIUMJVVMST,ZTXULO,2.0,0.0,M,611.0
tgv9181,,Santa Clara,92.0,British Columbia,777878.0,7.0,Jo Ann Stores,161403.0,1-129-652-0322,R,Jlazejasfrxakejjjnmnhpilswfaxlmsjlxvtptyaigghwmrlbgfmwxxgdnchdhswwbfwgp,,5.0,0.0,M,346.0
Xom9182,United States of America,Richmond,78.0,WY,2770169.0,2.0,M&T Bank Corp.,241708.0,1-295-674-2688,O,ibtvffqelsigiekuhraeaaehjebnltaxannlqlrunprveqwwavxv,vukupbknocly,2.0,3.0,U,528.0
RYR9183,United States of America,Tacoma,92.0,UT,2002134.0,10.0,Brown-Forman,349706.0,1-997-928-3807,O,Ijkdbfqhdxpyhbtpwpq,Rqzly,1.0,3.0,,501.0
ujo9184,United States of America,London,23.0,OR,2512507.0,6.0,Packaging Corp. of America,443580.0,1-106-900-8878,R,Xvduukjkmrxpebfp,Nffkov,3.0,3.0,U,815.0
Dry9185,United States of America,Vancouver,64.0,IL,485091.0,0.0,NuStar Energy,366858.0,1-185-101-7573,R,Wakdzlwaaixxfdnmtahihm,Dlpicds,2.0,0.0,S,344.0
QCW9186,United States of America,Cheyenne,86.0,Ontario,209138.0,9.0,SanDisk,487454.0,1-133-271-7352,O,fvcwpjrvaqthgqex,,4.0,2.0,M,417.0
LTC9187,United States of America,Plano,26.0,MO,,1.0,Republic Services,6753.0,1-257-518-6672,O,YXQZURLYOOCTNTFSHCAMUBSPMDYMNGFTZHXUDCQCQQELKRANSOVLXUYIZSFJLDJMTXV,,4.0,0.0,M,835.0
Fxj9188,United States of America,Buffalo,72.0,CO,1632998.0,5.0,Biomet,314007.0,1-929-821-3320,O,,dnxkyhneovf,0.0,2.0,M,795.0
dsx9189,United States of America,Orlando,48.0,RI,374006.0,8.0,Constellation Energy,146899.0,1-539-472-0866,O,Uwuxwawymxbnmwcpltckwamnntxcimkpnsjqrjkkrhejpvs,THHPCTAYFXTG,4.0,2.0,U,701.0
Luf9190,United States of America,Cheyenne,15.0,MT,2449166.0,7.0,Advance Auto Parts,,1-645-153-1683,R,,SXACCSB,0.0,0.0,W,546.0
Bye9191,United States of America,Stamford,56.0,UT,2580050.0,6.0,Kindred Healthcare,381790.0,1-486-402-0643,O,Ihnylwzekisjmdlspwmdxsodeaojjwqnuyokqcwjbvsaibmlhfftiddqmquwtxpues,Xhwgookh,0.0,5.0,M,390.0
Pfy9192,United States of America,Laredo,52.0,LA,,9.0,Morgan Stanley,17390.0,1-119-799-4971,,Plaomzihfspaelewgjxywhtdr,Ygsgnqta,2.0,3.0,D,372.0
gun9193,United States of America,New Haven,10.0,GA,3502915.0,5.0,Del Monte Foods,238063.0,1-037-369-0178,,Yfrvfluuetoifknfxnjtgeinxhnkmkagjzjbvdruuhqsfrdpnvcagfmjsgmjaumjhvnbruxkmjx,Bwmktnix,1.0,4.0,,396.0
qvn9194,,Windsor,53.0,MT,1689133.0,5.0,Regal Entertainment Group,302505.0,1-640-077-2640,O,IYNCLQECHKSKSMNXUJBXHNFCX,Brgblmp,0.0,5.0,M,518.0
krx9195,United States of America,Bellevue,63.0,FL,968034.0,6.0,Whole Foods Market,152676.0,1-318-452-6794,U,,Nubeyiy,0.0,0.0,M,598.0
Bvd9196,United States of America,Provo,13.0,WI,802062.0,9.0,Brink's,314196.0,1-741-252-7353,O,vdhivmnkedxbmfejenmksmpahalcnhtqfuqrhhhvbajwvtvhucaqcxltfcjoembtxdw,,1.0,0.0,S,390.0
Xvc9197,,Atlanta,72.0,FL,3239896.0,10.0,Embarq,226932.0,1-666-139-6875,O,FKSPGWYDSDFKHRRWPWANAMN,Estjbv,0.0,1.0,U,693.0
dwp9198,United States of America,Santa Clara,26.0,FL,460924.0,1.0,Ecolab,399292.0,1-145-205-8503,O,VJQSEQBFMRAVSSGNWMBTOTRNAPCXEZMFRWRRMKUHQVFCDHAZPAFIXEONFLBMBJBMHGEDKBG,Pdugmwtidrl,4.0,0.0,U,395.0
Dyw9199,,Anaheim,43.0,IA,2154624.0,1.0,News Corp.,379263.0,1-562-068-9921,O,Zzqlxlwvhqddrmnkxywsyx,DFTKQVDSUFAX,2.0,0.0,D,614.0
Gzd9200,United States of America,Oxnard,51.0,AL,333758.0,8.0,US Airways Group,467066.0,1-825-912-0116,O,Jfoirlhpubhnriyqolokjhuxdpoacaxwhsmsaewxvmcgedohs,Womlenbhwmz,3.0,1.0,W,674.0
ote9201,United States of America,Riverside,61.0,Manitoba,1163886.0,6.0,Mohawk Industries,374351.0,,O,UVHJWIOVMLCWHOHEAUZFQINZXMACJYLVRFDMNOELHPHWQXQPUASIAJJJFPUBBV,Tsjvfvzvknvf,2.0,1.0,W,656.0
Wma9202,,Grand Rapids,13.0,RI,,8.0,BMC Software,39456.0,1-338-994-9667,O,Qkuagiqhrgkcjfnap,wqpbjsjavd,3.0,4.0,U,630.0
lxx9203,United States of America,Bellevue,89.0,AK,3895690.0,3.0,Pulte Homes,478333.0,1-852-595-3195,U,TSFGUSMYMHHZLAUTPYJROVGCF,MFPEALEXC,1.0,3.0,D,648.0
qeo9204,United States of America,St. Johns,55.0,Saskatchewan,3262809.0,0.0,Big Lots,334209.0,1-725-814-3421,R,CDTBKSBPMFSLUYIDVZIEHYKQFE,Uuqansex,0.0,3.0,D,821.0
Cbm9205,United States of America,Bellevue,44.0,MA,2745045.0,1.0,Hubbell,261038.0,1-148-542-8338,O,FQVATNYNUBRLACRPCFLKMMMWWPGNIHKHHAUMKAUDATQUFUMWNRDJE,fzrcyd,0.0,0.0,M,692.0
evm9206,United States of America,Saskatoon,67.0,GA,2845538.0,0.0,Tiffany & Co,345000.0,1-138-082-9611,O,uycquhtgxbsgfptzcroohjgbkvscan,Dhwefgmdl,1.0,2.0,M,741.0
QMR9207,United States of America,Bridgeport,87.0,MA,3526238.0,5.0,Ross Stores,476570.0,,R,Xamoxktrwbnngemfubfrwmgbxqdcidjdfjiljxiwmvnypow,ngwnhrzbm,1.0,3.0,M,844.0
NEF9208,United States of America,Yonkers,,KY,2626638.0,2.0,Macy's,257638.0,1-684-115-0152,O,,Cnucpkiwyoai,3.0,0.0,M,562.0
Doc9209,United States of America,Coral Springs,,CA,595730.0,2.0,Expeditors International,25062.0,1-720-664-0283,O,Twpfvdxzxguabvcnfyhxhvrxqfcnwfgcyhuafeqpoedzescsrqgbvfx,jcvjvdks,0.0,4.0,U,385.0
Kfj9210,United States of America,Salt Lake City,84.0,MN,3488045.0,4.0,Werner Enterprises,192169.0,1-839-882-6088,O,Vrrrpyblmqnzgipeqvcjaqyap,Tayouyd,5.0,5.0,U,510.0
taj9211,United States of America,Huntington,75.0,MI,2272366.0,2.0,Chevron,3702.0,1-352-424-7336,O,Fsfhouuttsnnderoppnextjcdypcbukuzrnp,Cykjrihyvua,4.0,2.0,M,592.0
Ycq9212,Canada,Tulsa,71.0,MT,2966797.0,4.0,FPL Group,42734.0,1-623-752-7526,R,UDBQHFAUCAADXBXMOARBBV,VTMTYCIJRIXN,2.0,0.0,D,414.0
geu9213,Canada,Vancouver,0.0,TX,811317.0,1.0,,171321.0,1-401-248-2354,O,xvbtqetxcuzqvjjobucrjszyohyscsqnjbytauewgcdxkaknzhaqkpddia,Rdzzerer,5.0,1.0,U,531.0
aph9214,United States of America,San Diego,52.0,NM,2286478.0,1.0,McDonald's,173619.0,1-375-969-9352,O,Hcnfcfkhldlecqgldfrhegibvedbqviiorppuutehgmsdwhlmig,TXNXZPUXL,5.0,2.0,U,456.0
Lgo9215,United States of America,Milwaukee,72.0,ND,2947139.0,2.0,Kraft Foods,160290.0,1-246-250-5029,R,Mjhlptqgtuuxbhpuuligiaeeloaggdhfmg,Vwfrv,5.0,1.0,U,327.0
Yhn9216,United States of America,Wichita,44.0,MA,3444949.0,2.0,Interactive Brokers Group,278170.0,1-297-274-8671,O,Mzlnkdemzindjazpmhkicny,VLRXZCI,4.0,4.0,S,617.0
ZXH9217,United States of America,Glendale,72.0,AK,2428103.0,,Nacco Industries,165449.0,1-015-340-9847,O,Tyiypmulcrxwbflshghyidebuqbyllwlnprplnnbfbjrwwgecnhlfuyxqvhllmwc,MQKRFP,2.0,1.0,M,590.0
Qls9218,United States of America,Madison,79.0,NM,2434001.0,6.0,Rohm & Haas,455788.0,1-747-775-7347,U,txpqcmhlorwig,wsoabj,1.0,0.0,U,797.0
rku9219,Canada,Vancouver,91.0,TX,3196638.0,5.0,Holly,261009.0,1-456-399-0093,O,XKSIFBOHFKLKNAFLCKIMWVQATEUNRMHMSUJQTNJLHDHOLAIKSTOEGOONHOWAUUBOYGRD,Wbzgtxqxayv,5.0,0.0,M,619.0
