City,Income,Phone,Age,Country,Gender,State,NumberCars,AddressLine1,NetWorth,LastName,CreditRating,MaritalStatus,NumberCreditCards,NumberChildren,OwnOrRentFlag,MiddleInitial,AddressLine2,Employer,FirstName,PostalCode,AgencyID
Vancouver,358662.0,1-643-458-6747,55.0,United States of America,,Newfoundland,2.0,13134 ANSLEY UPPER,539794.0,Deneen,712.0,M,2.0,3.0,O,O,,Great Plains Energy,ELLEKE,92512,Den2432
Ann Arbor,338329.0,1-327-744-3914,46.0,United States of America,,ID,3.0,18993 RIVAS RUE,1110673.0,CATANACH,447.0,M,4.0,,O,,,AnnTaylor Stores,Mendel,60714,CAT2433
Edmonton,401451.0,1-479-617-5944,85.0,United States of America,f,IL,0.0,7828 cartwright park,867403.0,Remrey,560.0,U,8.0,5.0,O,,,American Financial Group,Genevra,55412,Rem2434
Escondido,358100.0,1-926-479-0855,52.0,United States of America,,TX,4.0,20870 charthouse lane,3929518.0,INTEGRATION,510.0,U,7.0,1.0,O,,,,Lissy,32256,INT2435
Pittsburgh,25264.0,1-853-381-3731,37.0,United States of America,,ID,4.0,20826 BELLWOOD CRESCENT,1980437.0,klebsch,426.0,M,3.0,0.0,O,,,Apollo Group,darlene,H6b 1y1,kle2436
Newport News,84912.0,1-145-463-1976,94.0,United States of America,M,NE,0.0,19199 keene park,2245529.0,MATSUSHITA,380.0,M,7.0,4.0,,,,NCR,Yannick,T5c 1q3,MAT2437
Tampa,76255.0,1-417-646-5605,2.0,United States of America,,NY,5.0,16235 wolcrest road,3232054.0,Macmillan,829.0,U,6.0,0.0,U,F,Suite 203,Newmont Mining,Arvin,33329,Mac2438
Salem,2520.0,1-254-792-5172,80.0,United States of America,,Prince Edward Island,1.0,17334 LAVENDER STREET,1104508.0,Strauss,756.0,M,3.0,0.0,R,,,Hexion Specialty Chemicals,Peria,25326,Str2439
Baton Rouge,9593.0,1-554-981-8742,39.0,United States of America,M,NV,1.0,12985 camp bowie south,770915.0,GULKO,844.0,M,0.0,,,,,Sunrise Senior Living,tallie,30329,GUL2440
Evansville,241573.0,1-811-583-7791,83.0,Canada,M,Nova Scotia,3.0,19744 taylor crest street,3905168.0,nugent,343.0,D,4.0,5.0,O,V,,New Jersey Resources,AKIN,59806,nug2441
Irving,126785.0,1-948-516-2141,96.0,Canada,m,OK,4.0,3504 regency avenue,,BOSWORTH,722.0,U,5.0,1.0,O,,,Symantec,Knut,80101,BOS2442
Gary,205466.0,1-710-447-3720,17.0,United States of America,M,CT,3.0,24996 robbins east,2516706.0,Thornburg,748.0,S,3.0,2.0,U,,,General Dynamics,MANH,80013,Tho2443
Denver,468873.0,1-742-084-9911,94.0,United States of America,m,DE,0.0,15883 baltic south,3160249.0,Boutilier,695.0,M,5.0,2.0,R,,,PetSmart,Bhupendra,72219,Bou2444
Oceanside,258482.0,,33.0,United States of America,F,SD,0.0,21414 pasadena road,2510352.0,Jacobson,745.0,,5.0,3.0,O,D,,Penske Automotive Group,Fredi,33304,Jac2445
Provo,7356.0,1-195-728-0020,,Canada,M,MA,,3549 ANSLEY WEST,36525.0,czeban,847.0,M,4.0,1.0,O,,,Centex,ashlen,77036,cze2446
West Covina,104883.0,1-228-969-9945,65.0,United States of America,,AR,3.0,14422 morning rue,3461749.0,Gerth,381.0,D,5.0,1.0,O,,Apt. 529,Nicor,EMMALINE,H5k 1r6,Ger2447
Eugene,254897.0,1-937-757-4887,29.0,United States of America,,AK,4.0,17676 rusk street,2301563.0,toth,619.0,U,4.0,5.0,O,L,,Bed Bath & Beyond,Jet,64055,tot2448
Mesquite,155066.0,1-223-475-2215,86.0,Canada,,New Brunswick,4.0,24890 LAKE DRIVE,470186.0,Diep,776.0,M,5.0,0.0,O,L,,Fannie Mae,maxey,89106,Die2449
Santa Rosa,274050.0,1-932-796-3639,77.0,United States of America,,WA,1.0,232 LYLE PARK,2484226.0,Al bud,676.0,S,5.0,2.0,O,T,,Exelon,Donal,V6F 1S4,Al 2450
Moncton,296397.0,1-754-693-6021,69.0,United States of America,,WY,4.0,18675 CALHOUN LANE,1175022.0,De coursey,486.0,M,6.0,1.0,O,,,Peter Kiewit Sons',Kimmy,99602,De 2451
Toledo,410542.0,1-445-987-0277,95.0,United States of America,,Quebec,1.0,6464 bonnie brae street,544166.0,Downs,653.0,M,8.0,0.0,R,U,,PG&E Corp.,Koren,m8c 1x6,Dow2452
Glendale,359562.0,1-392-226-6806,49.0,United States of America,,AK,3.0,24178 turtle creek street,,Hollenbeck,832.0,S,8.0,0.0,O,,,Alliance Data Systems,pey-kee,M5g 1v2,Hol2453
Huntsville,277112.0,1-827-713-7304,36.0,United States of America,f,ID,1.0,12009 pharr south,508955.0,D'ippolito,836.0,U,1.0,2.0,R,,,Agilent Technologies,shahab,h5l 1r3,D'i2454
Rochester,330077.0,1-190-997-5376,45.0,United States of America,,MO,4.0,20109 alexis lane,1076885.0,OFCPARM,360.0,S,6.0,2.0,O,,Apt. 192,Eastman Kodak,Survey,76707,OFC2455
Montreal,173452.0,1-102-439-7343,41.0,United States of America,,WY,5.0,19435 montfort road,109839.0,Rfa,,M,8.0,3.0,O,,,Unitrin,Gavrielle,95351,Rfa2456
Coral Springs,204918.0,1-404-924-2652,12.0,United States of America,,MT,0.0,10448 DAIRY ASHFORD COURT,3742925.0,codrington,365.0,W,9.0,0.0,O,R,,Itron,Daffi,80051,cod2457
Sunnyvale,433610.0,1-379-416-7367,68.0,United States of America,,ND,4.0,18966 BELT LINE UPPER,2279424.0,SETTERFIELD,496.0,S,0.0,0.0,U,,,Consolidated Edison,armando,57114,SET2458
New Orleans,462885.0,1-932-040-3179,44.0,United States of America,,PA,5.0,11640 baltic upper,2135093.0,ridgway,553.0,M,9.0,0.0,O,,Apt. 678,Northeast Utilities,arabela,91919,rid2459
Mount Pearl,170107.0,1-151-971-1770,67.0,United States of America,F,AR,3.0,16550 9th boulevard,3940943.0,Goldner,831.0,U,7.0,2.0,,,,Pacific Life,lottie,H2A 1U4,Gol2460
Providence,408859.0,1-170-884-1784,21.0,United States of America,f,New Brunswick,5.0,15916 royalton street,2419844.0,ROTONDO,494.0,U,7.0,4.0,O,I,,New York Times,Tilda,91103,ROT2461
Birmingham,346683.0,1-304-057-8530,31.0,United States of America,F,Nova Scotia,4.0,2590 crestmere park,26959.0,KAWAMURA,560.0,U,5.0,1.0,R,,,LKQ,Cherice,98189,KAW2462
Phoenix,233226.0,1-995-573-3882,78.0,United States of America,,KY,,18304 furth north,2785186.0,BARAGAR,434.0,D,1.0,0.0,O,,Apt. 49,Precision Castparts,Shona,90259,BAR2463
Lincoln,22913.0,1-892-727-9840,97.0,United States of America,F,WI,1.0,5822 edwin boulevard,999562.0,Desautels,474.0,M,1.0,3.0,O,,,Western Union,Viqar,m6s 1i1,Des2464
Plano,69632.0,1-859-931-7262,81.0,Canada,,WI,5.0,6492 adams east,313806.0,Gilliard,396.0,W,5.0,5.0,O,,,Dick's Sporting Goods,felice,33324,Gil2465
Brownsville,86909.0,1-492-043-3560,64.0,United States of America,M,WA,2.0,6963 EMMONDS DRIVE,1517573.0,heinonen,557.0,S,3.0,5.0,O,,,Collective Brands,BUNNIE,V6u 1v9,hei2466
Boston,136524.0,1-343-215-5891,33.0,United States of America,,SD,5.0,10411 apple tree lane,2139474.0,Mcalister,536.0,U,0.0,3.0,R,J,,OGE Energy,ALMA,90251,Mca2467
New York,94940.0,1-775-256-9375,22.0,United States of America,,IA,1.0,19336 boll drive,512766.0,KELLUM,748.0,M,0.0,1.0,R,,suite 427,Phoenix,vax,64138,KEL2468
Portland,456063.0,1-976-194-0028,61.0,United States of America,F,SC,5.0,13971 MILBURY COURT,3027159.0,Mcnamara,558.0,M,8.0,4.0,,A,,Exxon Mobil,DANILO,V6z 1p9,Mcn2469
Orange,210135.0,1-913-962-4926,12.0,United States of America,,DE,2.0,1464 green ash avenue,1016557.0,BOSILJEVAC,585.0,M,4.0,5.0,R,O,,,CYNDI,36151,BOS2470
Buffalo,478948.0,1-259-721-2039,74.0,United States of America,,WI,3.0,6396 woodall north,2556760.0,THELOOSEN,671.0,M,0.0,3.0,U,T,,Acuity Brands,NERTY,94270,THE2471
Santa Rosa,240372.0,1-169-725-9097,58.0,United States of America,F,ID,5.0,18630 ATLANTIC ROAD,3942439.0,taggart,810.0,M,7.0,4.0,U,,,Xilinx,VIVIANNE,45418,tag2472
Sacramento,300694.0,1-042-388-7088,47.0,United States of America,M,WY,3.0,1037 bonneville lane,1758840.0,gaylor,454.0,U,2.0,3.0,O,,,Cracker Barrel Old Country,DOMENICO,80058,gay2473
Berkeley,,1-125-792-7050,90.0,United States of America,,Saskatchewan,3.0,12566 MISTY UPPER,2135551.0,mcbryan,307.0,S,9.0,0.0,O,,,Fleetwood Enterprises,mariam,78220,mcb2474
Charleston,329533.0,1-249-112-2924,77.0,United States of America,,AL,5.0,9907 upton south,863411.0,Svm-bnrmtva,436.0,D,7.0,5.0,O,N,,Enterprise GP Holdings,Jordain,72906,Svm2475
Lubbock,319929.0,1-031-961-4068,4.0,United States of America,,OR,4.0,22959 charlestown rue,3770262.0,Kamiyama,707.0,D,2.0,0.0,U,O,,,Symen,v6h 1u6,Kam2476
Columbus,429532.0,1-185-235-7364,6.0,United States of America,f,OH,2.0,16655 ventura north,2885731.0,mcinnis,,U,0.0,4.0,R,,,International Assets Holding,Martguerita,74148,mci2477
Mesa,435289.0,1-365-881-1386,22.0,United States of America,,FL,2.0,12292 flynn park,798971.0,Labonte,738.0,D,1.0,0.0,O,,,KeyCorp,Zainab,64135,Lab2478
Oakland,89570.0,1-198-294-2510,96.0,United States of America,,MS,5.0,4482 eden avenue,2286073.0,nix,313.0,U,1.0,,R,U,,Jones Apparel Group,MILICENT,64192,nix2479
Boise,498145.0,1-781-439-8481,100.0,United States of America,,MA,,14717 rutledge lower,732759.0,Eberle,688.0,M,5.0,3.0,O,V,,Helmerich & Payne,Mala,77113,Ebe2480
Philadelphia,283529.0,1-794-212-5205,33.0,United States of America,,Saskatchewan,3.0,10014 MERCER LOWER,3537992.0,UNKEFER,690.0,D,9.0,0.0,O,M,,Celgene,Sandie,V6r 1v3,UNK2481
Tempe,125571.0,1-223-420-4235,96.0,United States of America,F,AR,,7255 berry way,3034411.0,SENYSHYN,677.0,S,7.0,4.0,R,P,,Monsanto,MEHDI,T6A 1A3,SEN2482
Greensboro,480675.0,1-268-834-7601,73.0,Canada,M,Quebec,3.0,16557 howser rue,2349487.0,MCKENZIE,547.0,M,3.0,0.0,O,Y,,New York Life Insurance,Linnea,T5B 1T9,MCK2483
Fullerton,384603.0,1-186-893-8186,78.0,Canada,,PA,2.0,12566 misty upper,1494499.0,Anthony,440.0,U,8.0,1.0,O,,,Valmont Industries,THEODORE,75218,Ant2484
Wichita,335401.0,1-491-982-4806,5.0,United States of America,,VA,2.0,3574 pemberton west,2638849.0,leiwe,386.0,M,8.0,2.0,O,,,Exide Technologies,issy,V6c 1v1,lei2485
Laredo,,1-717-586-5351,23.0,Canada,F,ME,3.0,703 COMMERCE PARK,2571524.0,guerette,569.0,W,7.0,,O,,,Nordstrom,Miguela,23466,gue2486
Mesquite,436833.0,1-315-662-3581,49.0,United States of America,,SC,5.0,16480 cliffbrook upper,766990.0,TIPPETT,822.0,S,9.0,4.0,O,,,,VIOLE,29218,TIP2487
Torrance,343734.0,1-155-363-7244,89.0,United States of America,,IA,,20497 echo upper,3631273.0,GAZIER,607.0,M,4.0,2.0,R,,,Whole Foods Market,brittaney,M8b 1x2,GAZ2488
Buffalo,,1-863-672-7875,24.0,United States of America,f,CA,0.0,23361 stonehill way,155862.0,nhan,458.0,S,2.0,5.0,O,,,Capital One Financial,lois,V6w 1s2,nha2489
Colorado Springs,417750.0,1-903-685-2636,83.0,United States of America,,AK,2.0,1378 clara street,3906905.0,CLAYBROOK,474.0,S,1.0,1.0,O,Q,,Sonoco Products,SHAMSHAD,V6w 1u6,CLA2490
West Valley,260636.0,1-106-944-1336,,United States of America,f,WI,2.0,4862 martin court,3300230.0,Cassese,504.0,M,,1.0,O,,APT. 461,Albemarle,sophia,v6i 1w1,Cas2491
McAllen,9364.0,1-429-019-2683,99.0,United States of America,,VT,2.0,15729 fondren street,2908662.0,Langton,770.0,M,4.0,1.0,O,,,GMAC,ASHLEIGH,99763,Lan2492
Irvine,418148.0,,65.0,United States of America,,NJ,,19512 storeywood drive,1267471.0,Mcsorley,799.0,M,10.0,4.0,O,W,,American International Group,Rheal,30378,Mcs2493
Austin,246279.0,1-832-586-6740,72.0,United States of America,,CT,2.0,19983 5th court,2257628.0,Bamfo,606.0,M,6.0,5.0,,,,CSX,shih-dar,95162,Bam2494
San Francisco,405465.0,1-103-766-5205,69.0,United States of America,,NE,2.0,24717 midland lane,1764724.0,DEFRANCHI,376.0,M,6.0,3.0,,P,,H.J. Heinz,kinna,93370,DEF2495
Bakersfield,234120.0,1-340-905-2953,58.0,Canada,,WY,5.0,6429 reeves lower,2428075.0,sheu,701.0,M,,,O,,,AmeriCredit,Sil,m5f 1w7,she2496
Burlington,124690.0,1-365-022-9336,12.0,United States of America,,KY,3.0,5088 overbrook way,2922167.0,Guisler,506.0,M,1.0,1.0,R,,,,aurelea,23220,Gui2497
Whitehorse,93065.0,1-373-925-4220,63.0,United States of America,,CA,0.0,15447 SENECA RUE,3634912.0,OVERBY,665.0,D,,4.0,O,V,,Steel Dynamics,bertina,36170,OVE2498
Corona,332993.0,1-563-430-1462,5.0,United States of America,,AR,2.0,6963 emmonds drive,2489107.0,KERNAHAN,827.0,M,8.0,4.0,U,N,,Ingram Micro,LARAINE,94615,KER2499
New Haven,40821.0,1-537-446-1280,26.0,United States of America,M,NC,2.0,20813 lamar park,327215.0,castronova,801.0,S,1.0,0.0,O,,,Alexander & Baldwin,Shoshana,H2e 1v8,cas2500
Salem,160582.0,1-963-228-9162,62.0,United States of America,,NJ,3.0,11538 KIMBERLEY BOULEVARD,3735120.0,BELZILE,505.0,M,0.0,1.0,O,,,Greif,ROSANNE,T5A 1P5,BEL2501
Kansas City,82733.0,1-096-379-1792,1.0,United States of America,,KY,3.0,2203 VALITA BOULEVARD,305477.0,METCALF,608.0,W,1.0,0.0,R,,,AmeriCredit,minerva,93310,MET2502
Lexington,232582.0,1-687-195-9855,72.0,United States of America,,TX,5.0,7266 CHERRY UPPER,141550.0,El-am,488.0,U,8.0,3.0,O,U,,Service Enterprise Group,gussi,50309,El-2503
Chattanooga,321511.0,1-627-096-8107,0.0,United States of America,,CT,3.0,6558 SAXON NORTH,3856814.0,Kong,575.0,S,1.0,3.0,O,,,Key Energy Services,MKT,90893,Kon2504
Iqaluit,284346.0,1-634-295-2044,99.0,Canada,m,VT,5.0,4633 PALM EAST,1116367.0,BYDELEY,589.0,D,3.0,0.0,O,,,Hershey,Olva,V6U 1S1,BYD2505
El Paso,470689.0,1-563-784-3121,100.0,United States of America,,NV,1.0,17032 cantrell south,2410072.0,de buda,512.0,S,10.0,,O,,,American Greetings,Regis,98106,de 2506
Chattanooga,419773.0,1-988-491-5303,30.0,Canada,F,MA,5.0,719 BUCKLINE LANE,,Reva,827.0,,1.0,0.0,,,,AK Steel Holding,Chye-lian,h6d 1x4,Rev2507
Fort Worth,208587.0,1-244-286-0398,89.0,United States of America,M,New Brunswick,3.0,5503 raymond park,3795613.0,Loftis,518.0,W,7.0,5.0,O,,,Holly,lolly,M2r 1d6,Lof2508
Santa Fe,412457.0,1-086-053-5538,60.0,United States of America,F,NE,0.0,5731 cadiz lower,1586606.0,Glast,509.0,M,7.0,2.0,,,,Sonic Automotive,Karee,93749,Gla2509
Inglewood,459516.0,1-236-892-1554,100.0,United States of America,f,Saskatchewan,1.0,11622 josey south,1863177.0,Stocks,508.0,M,2.0,0.0,O,G,,Nucor,MEG,v6k 1r2,Sto2510
Beaumont,213356.0,1-454-962-9026,46.0,United States of America,,VA,1.0,8442 deerwood avenue,1732635.0,DESAUTELS,780.0,D,4.0,5.0,O,,,Oracle,Louisette,79926,DES2511
Flint,337728.0,1-051-573-5390,60.0,United States of America,,FL,4.0,21985 oakhurst court,,Overby,506.0,M,5.0,1.0,U,,,Coventry Health Care,Olwen,94218,Ove2512
Riverside,206576.0,1-656-854-5362,17.0,United States of America,,NH,0.0,14808 HUDSON RUE,2265395.0,cleere,408.0,M,1.0,2.0,U,,,,Jacque,15227,cle2513
Paterson,178385.0,1-331-550-1502,73.0,United States of America,m,KS,2.0,9063 magnolia street,2934652.0,kessel,801.0,M,10.0,4.0,O,,,Lowe's,cherilyn,79114,kes2514
Indianapolis,,1-902-944-8832,41.0,Canada,,IA,0.0,20900 marchmont west,2594448.0,rabon,847.0,S,1.0,1.0,O,,,Group 1 Automotive,Owen,35220,rab2515
Anchorage,356233.0,1-404-444-2225,86.0,United States of America,f,CA,,9400 juniper west,3268391.0,Liang,786.0,M,6.0,1.0,O,,,HCA,Estrella,94429,Lia2516
Salem,201662.0,1-252-263-3558,43.0,United States of America,f,CT,5.0,22360 princeton upper,2769654.0,Kaluzny,619.0,M,0.0,4.0,O,,,SunGard Data Systems,Subi,33321,Kal2517
Boise,224196.0,1-984-474-2371,96.0,United States of America,,OK,2.0,20774 tartan west,1611675.0,SAVARIMUTHU,392.0,M,10.0,3.0,O,Y,,Systemax,WYNNY,93884,SAV2518
Ontario,8740.0,1-915-245-1409,96.0,United States of America,f,OR,3.0,19940 gold crest park,1551989.0,Delahay,412.0,U,6.0,2.0,U,,,Constellation Energy,KRISSIE,90386,Del2519
Cheyenne,76390.0,1-833-515-3942,83.0,United States of America,m,Ontario,2.0,24383 coventry north,1850457.0,Sojkowski,798.0,U,1.0,1.0,O,B,apt. 676,Arch Coal,Fariborz,65807,Soj2520
Fairbanks,460702.0,1-752-453-3369,23.0,United States of America,,Alberta,4.0,23128 roswell crescent,3180809.0,BERTINI,634.0,S,0.0,2.0,O,,,Martin Marietta Materials,sydelle,H2c 1v7,BER2521
Halifax,,1-989-160-9788,6.0,United States of America,f,CT,4.0,21629 royalton way,3237160.0,BELCOURT,489.0,W,3.0,5.0,O,D,,DirecTV Group,Enrico,m2p 1d7,BEL2522
Salt Lake City,149916.0,1-688-041-6006,28.0,United States of America,F,OH,3.0,20827 clint way,3488451.0,Favreau,680.0,M,1.0,,R,J,,Thrivent Financial,fabienne,99672,Fav2523
Garden Grove,441377.0,1-788-176-3606,12.0,Canada,f,FL,1.0,14568 fernando south,3315131.0,gibbs,795.0,U,3.0,1.0,O,L,,Duke Energy,lyssa,E7o 1n3,gib2524
Newark,469257.0,1-609-043-9391,61.0,Canada,F,MO,,12756 weyland south,743360.0,csr,739.0,U,1.0,3.0,O,,,Pioneer Natural Resources,Darrol,M5g 1u7,csr2525
Denver,60938.0,1-633-237-5262,35.0,United States of America,M,WV,5.0,15379 selma road,1450566.0,Boase,334.0,S,2.0,4.0,O,I,,Walt Disney,Cathie,H2e 1x5,Boa2526
Fremont,105989.0,1-576-657-6299,25.0,United States of America,f,AZ,1.0,6768 fondren lower,1131254.0,HOMAYOON,433.0,D,3.0,2.0,O,,apt. 856,Texas Instruments,Ashleigh,H2c 1w2,HOM2527
Ontario,50817.0,1-182-013-6546,11.0,Canada,j,SC,2.0,10856 summer street,833483.0,mathews,565.0,M,5.0,1.0,R,,,,Rayna,53703,mat2528
Warren,443988.0,1-931-978-3134,60.0,United States of America,f,NE,1.0,2047 brown west,1423551.0,malcolm,313.0,W,5.0,0.0,O,,,Cabela's,Orenzo,44103,mal2529
Grand Rapids,354075.0,1-584-467-8593,35.0,United States of America,M,MN,2.0,19202 ansley park,,Oplinger,329.0,M,4.0,0.0,O,,,Alliant Techsystems,Koo,90043,Opl2530
Simi Valley,2962.0,1-227-975-4896,85.0,United States of America,,TN,4.0,4068 beauregard drive,1731195.0,Timleck,591.0,,4.0,1.0,O,,,Thrivent Financial,TYBI,t5c 1u4,Tim2531
Palmdale,36947.0,1-836-098-8732,68.0,United States of America,F,NJ,3.0,11100 morningside west,2454316.0,WINICKI,780.0,M,9.0,5.0,O,,,UAL,Ronen,53790,WIN2532
Columbia,389051.0,1-009-041-1072,89.0,United States of America,,CO,5.0,15686 oliver street,3161570.0,EALES,674.0,M,9.0,0.0,R,,,Spectra Energy,valli,99635,EAL2533
Rochester,,1-568-020-0145,41.0,Canada,,New Brunswick,4.0,23851 gold rue,3476350.0,Pitre,434.0,S,5.0,5.0,O,I,,Crane,Cody,19217,Pit2534
Hialeah,148019.0,1-091-211-2049,7.0,United States of America,,ND,1.0,3788 holmes rue,227110.0,ODAC,502.0,U,6.0,1.0,,,,CenterPoint Energy,derick,72207,ODA2535
Eugene,187890.0,,85.0,United States of America,,RI,1.0,210 charthouse south,2073555.0,Groves,310.0,M,7.0,1.0,O,,,Tesoro,Dieuwertje,V6c 1u2,Gro2536
Whitehorse,170094.0,1-518-862-2188,30.0,Canada,F,MO,3.0,1722 mosshead drive,1084778.0,douet,599.0,M,9.0,3.0,O,X,,Lockheed Martin,linn,60735,dou2537
Mount Pearl,339324.0,1-999-314-8129,71.0,United States of America,m,Nova Scotia,0.0,14329 rio grande lower,2679183.0,Coriaty,776.0,S,,,O,,,Beacon Roofing Supply,Adah,80171,Cor2538
Arlington,6027.0,1-310-498-9354,76.0,United States of America,,NV,5.0,5965 DAWNVIEW ROAD,3196486.0,Donleycott,664.0,M,6.0,5.0,U,,,Lam Research,Arielle,t6b 1h4,Don2539
Santa Clara,315949.0,1-570-994-1597,6.0,United States of America,m,AR,4.0,6580 BINGHAM AVENUE,,Bruno,484.0,U,8.0,2.0,O,E,,Oil States International,Niek,M5e 1v6,Bru2540
Stockton,339950.0,1-932-266-7390,,United States of America,f,CA,5.0,7596 marchmont avenue,3367952.0,Spisak,,S,9.0,1.0,O,,,Owens-Illinois,La verne,46212,Spi2541
Jackson,214595.0,1-755-483-3353,81.0,United States of America,,AK,2.0,23592 ardmore rue,3988768.0,Choo-kang,647.0,W,4.0,5.0,O,H,,Principal Financial,Huib,85231,Cho2542
Fayetteville,85902.0,1-874-425-7728,17.0,United States of America,,WI,4.0,18688 BEATTY BOULEVARD,619627.0,Fouke,657.0,M,6.0,4.0,O,,,United Services Automobile,Naveen,98406,Fou2543
Mesquite,479979.0,1-379-820-6771,29.0,Canada,,NV,4.0,17886 st. phillip upper,294902.0,Marttinen,720.0,U,4.0,0.0,O,,,Pilgrim's Pride,Angeliek,h2e 1u4,Mar2544
Los Angeles,296791.0,1-201-080-7163,20.0,United States of America,,WA,5.0,8116 martin upper,1351126.0,Tognoni,809.0,D,9.0,5.0,O,A,,Prudential Financial,Las,70150,Tog2545
Tampa,421265.0,1-658-916-8210,66.0,Canada,,Ontario,5.0,17026 durand north,2913033.0,Abi-aad,850.0,M,1.0,5.0,O,,,BJ Services,Zdenka,T6d 1g6,Abi2546
Baton Rouge,404755.0,1-011-068-6547,48.0,United States of America,M,DE,5.0,17073 rust north,,piggott,375.0,S,1.0,2.0,,,,HSN,Faith,M5e 1y8,pig2547
Erie,363331.0,1-894-616-6963,48.0,United States of America,M,NV,4.0,10938 main lane,1593121.0,Piyasena,564.0,M,4.0,4.0,O,U,,VWR Funding,Lubomyr,h7f 1t9,Piy2548
Mobile,65695.0,1-544-823-3292,10.0,United States of America,,AL,5.0,19876 conier upper,1046997.0,Peleato,582.0,M,7.0,5.0,U,,,ArvinMeritor,SARI,V6k 1p6,Pel2549
Pueblo,176926.0,1-153-147-3013,64.0,United States of America,F,CA,3.0,14243 river place road,1090026.0,Hadley,376.0,,8.0,4.0,O,,,Flowserve,RANICE,10010,Had2550
Erie,138136.0,1-689-030-7538,93.0,United States of America,,NH,4.0,19518 sheriden upper,951099.0,DAWSON,843.0,M,5.0,0.0,O,,,American Eagle Outfitters,Walter,92411,DAW2551
Glendale,,1-232-732-2018,20.0,Canada,,Manitoba,0.0,4833 baltic boulevard,1503741.0,FAIRLIE,809.0,M,3.0,5.0,O,M,Apt. 471,,prashant,E7n 1q2,FAI2552
Cheyenne,434217.0,1-669-094-2294,5.0,United States of America,,IA,0.0,16181 foster park,3335946.0,trisic,699.0,M,9.0,4.0,U,,,United Technologies,Xylina,78749,tri2553
Modesto,65910.0,1-398-736-3545,88.0,United States of America,,ME,5.0,7042 ottley park,204564.0,RAMSAYER,355.0,M,0.0,3.0,O,,,Family Dollar Stores,Mot,93832,RAM2554
Vallejo,124057.0,1-368-143-9819,22.0,United States of America,,LA,2.0,1104 century road,3363186.0,paterson,315.0,,2.0,2.0,U,,,AmeriCredit,Megan,90232,pat2555
Santa Fe,323372.0,1-599-582-7213,54.0,United States of America,F,British Columbia,1.0,24400 SYCAMORE SCHOOL BOULEVARD,80004.0,QUILTY,,U,5.0,1.0,O,Y,,Enterprise GP Holdings,Radoslav,V6d 1v2,QUI2556
Whitehorse,140747.0,1-972-516-3025,22.0,United States of America,,OH,5.0,9815 withers lane,727999.0,Kohnhorst,,M,1.0,4.0,O,,,Applied Materials,tidwell,94590,Koh2557
Dayton,,1-504-733-4725,79.0,United States of America,,ME,2.0,15520 ledgestone upper,208029.0,Puent,574.0,M,9.0,1.0,R,,,,Torre,94518,Pue2558
Chula Vista,26190.0,1-894-028-5050,88.0,Canada,F,MO,0.0,2164 palm road,2750505.0,DROLET,737.0,W,5.0,5.0,O,C,,Laclede Group,Julee,72265,DRO2559
Macon,211812.0,1-156-684-5311,14.0,United States of America,,KS,2.0,13741 durand street,2105378.0,Akkermans,823.0,S,0.0,1.0,O,,,,Roland,T6d 1e7,Akk2560
St. Petersburg,491034.0,1-198-959-7417,94.0,United States of America,M,AZ,0.0,23181 CANTEY COURT,574595.0,Cuddihy,571.0,M,4.0,1.0,O,Y,,Aleris International,Jey,92858,Cud2561
Fort Wayne,58204.0,,59.0,United States of America,,Ontario,4.0,2989 madison north,1660243.0,Wolfman,466.0,U,7.0,2.0,U,,,Erie Insurance Group,Cang,10263,Wol2562
Overland Park,92676.0,1-556-990-2387,19.0,Canada,,WV,5.0,24795 CLOVER COURT,1499364.0,Serbin,738.0,U,9.0,3.0,O,M,Apt. 440,Expeditors International,WILEEN,75025,Ser2563
Hay River,135240.0,1-638-131-6560,66.0,Canada,M,Quebec,5.0,24368 rutgers way,3704446.0,Degan,460.0,U,5.0,3.0,O,,,KBR,deanne,94354,Deg2564
Nashville,292583.0,1-230-831-6803,36.0,United States of America,,UT,5.0,17976 jack avenue,2337575.0,Frey,781.0,U,8.0,2.0,O,,,Marathon Oil,MARIT,19133,Fre2565
Hollywood,285149.0,1-573-380-8833,4.0,United States of America,,ND,4.0,4144 LAKE PARK LANE,107221.0,Kirkby,408.0,W,9.0,1.0,O,,,RBS Global,Carleen,E7N 1P4,Kir2566
Salt Lake City,,1-045-117-0485,22.0,United States of America,,CO,0.0,5656 upton west,3827727.0,LATORRE,586.0,U,0.0,5.0,R,,,Eli Lilly,Catlaina,S3a 1g9,LAT2567
Fort Worth,161828.0,1-531-778-7023,69.0,United States of America,F,IL,2.0,6488 AVALON NORTH,1540650.0,cobaugh,607.0,M,9.0,1.0,R,,,VF,DEHLIA,39207,cob2568
Toledo,308038.0,1-528-349-0745,95.0,United States of America,F,NM,1.0,9109 western way,2635531.0,plouffe,322.0,S,0.0,5.0,O,,Suite 344,Rowan Cos.,Mechelle,v6x 1s8,plo2569
Buffalo,276572.0,1-981-281-2577,11.0,United States of America,,GA,0.0,8680 BAGBY COURT,3642330.0,STARSDPS,,M,3.0,0.0,R,,,Thrivent Financial,costas-dinos,31410,STA2570
Inglewood,379621.0,1-123-622-1334,6.0,United States of America,,Saskatchewan,5.0,6517 FRAILING WEST,608896.0,paliwal,790.0,M,10.0,1.0,O,,,Family Dollar Stores,Emmaline,20083,pal2571
