pstlcd,ddrssln2,frstnm,ncm,nmbrchldrn,ntwrth,gndr,wnrrntflg,cntr,crdtrtng,ddrssln1,nmbrcrs,g,mrtlstts,nmbrcrdtcrds,ct,mddlntl,gncd,stt,lstnm,phn,mplr
IWYMOWM,Pnwkpjfpkwwbzptthdczopjtuk,rgkgdgmaznapaerhtyitmjnwoo,,5.0,2869101.0,,O,United States of America,726.0,Seqqgldmmbfolljsnjyjdryebucxbhbvohujbvavovhkqjrjhybeddughlqqftqfiuegwy,1.0,55.0,M,4.0,Denver,,uoe9343,MO,uoebfrpkxmhqklwwjvmevu,1-184-898-8716,Hanesbrands
WTVUWV,Ihsuqhlqkqwazptbuhuzpokxblxlpuyduthengnibjqxiqgrmt,hqoguvgrwfkmyvvovmawu,31005.0,4.0,565070.0,,O,United States of America,394.0,IMOFNFOSPKRCDECGTPSFNPONNWXRSLBIWTMYFEUGNPYNCLMTBSHWGDZIVNSVOQLWHRJ,4.0,,M,10.0,Charleston,,ddv9344,AL,ddvqxpgrr,1-542-783-2509,J.M. Smucker
,Kwjhybjfioliqtmgimayafrmxgcjgmxbieafapypfstsotcjcivjppjznethgoguaetssslgp,kdrfkneohautfhlwibh,5605.0,4.0,2283039.0,,O,Canada,613.0,Rrrpritsqgyoxjqtngkrnjwsctmcxlbnmzrihihduqucaluzgacrlnzmu,1.0,25.0,M,3.0,Sudbury,,AQO9345,NM,AQOKLOKMDHIW,1-568-123-5187,Conseco
Ilifeydpije,Zglfmhnexkzhfftokgxkpzpzmkuvreermweramwhpfdoucitgpodnggraqjpmdmmbtjjrauw,zlkrxlmxjljxbzfziqvekkpkugjru,159171.0,4.0,3189016.0,m,O,United States of America,361.0,Limurlputyexlrupkgaexdgwpdrtvllnbmhksrsgvoqzdicfexnvqldfdfqhcqnqsqapvhkxz,5.0,8.0,U,3.0,Gary,B,Cxi9346,ND,Cxiybtaprkizhqhmwkjewlsjap,1-489-309-9438,AptarGroup
Dbpohaojyxk,Kevymmwjjstakccmcspcpguxdidcuntralspmydktxcvdljcstpladsw,Ddvmxsfq,360692.0,5.0,2654496.0,,U,United States of America,577.0,FMFEWKUHEWKCBSJWFFIX,4.0,89.0,M,10.0,Independence,,Drr9347,OH,Drrtwr,1-340-208-6107,Helix Energy Solutions Group
Uzuotmimptgh,OTJFKMFW,Wyfmbeamnwrthsnvhlnnaod,71803.0,0.0,2716732.0,,R,United States of America,455.0,Pvxatpndkxvwrslzxxtlrpeicwblpiwhlqidngzvuzhnndmsvbikhxduxjsqhrtftpztotciumz,0.0,9.0,M,3.0,Dayton,,Bno9348,ME,Bnojfhbfenwespohegwakvt,1-442-696-6249,Sanmina-SCI
yzgbigsdx,,GPWOPXIJABYIJUVWOFTFUJXGBHXZ,431130.0,3.0,266702.0,M,O,United States of America,647.0,Jxmqxbyoy,4.0,33.0,U,9.0,Anchorage,,ibm9349,WY,ibmuehqxrxzeptwngsiezgvgaeztd,1-782-519-8480,Vought Aircraft Industries
Tqzpn,ybijkuopzzyibycmi,Gynofqdavqsl,402077.0,4.0,3036109.0,F,R,United States of America,344.0,Flxqbpmfihthvloklurscit,1.0,83.0,W,2.0,St. Louis,E,Roq9350,PA,Roqafammmuvpwxibe,1-771-983-0971,Thermo Fisher Scientific
MGHHRBBS,zbvgstivcisyweayjxscnvodawooapsrvdwlbvfcwovbxexdt,Nqtdnfcuesuh,317493.0,4.0,802666.0,f,O,United States of America,702.0,,2.0,76.0,U,5.0,Salinas,,Bee9351,NM,Beequyncxupianpfvrtw,1-026-310-4002,Morgan Stanley
Jhdqfr,nwsaodmchrfyqdzrpxrjdhhwkteuhjarur,ilugjogjdnclo,242846.0,2.0,2121177.0,,O,United States of America,602.0,,5.0,21.0,U,7.0,Cincinnati,,pmt9352,AR,pmtuqtkegdapmr,1-904-123-5817,Hershey
GANTKFQISCB,VEAMSVBKTDFPXKUHNSQILSWRZMLARWSIWUBZXISAVGBCLHSHOLJBTQXHXJUNNYKXAMVDULHTUFEK,qeeatmwk,189279.0,1.0,3243442.0,m,O,United States of America,526.0,Vofselcthhgvuhsadnglmzimyuqgfsostiwcslnvstpqaasplp,,42.0,S,5.0,Los Angeles,N,XNV9353,WA,XNVOYYDIDARTIJAWVCTDKWCSHFRRUK,1-236-421-1891,Noble Energy
Gniqeiujegr,Pjmvaaiahxjobcceenudwbalshxklkewrbkzpjzauve,Dnrdptglnkmrctrqbojnongt,96167.0,5.0,2021690.0,F,O,United States of America,,rxgkinshlojqfodfkuhfbniijmxwwikswyanvfvitmfzcqvsqwyjuidvk,,95.0,D,3.0,Bellevue,m,Hra9354,OK,Hracsjnosjdmht,1-769-176-0939,Century Aluminum
Evnkdvlzp,jqoxmupf,kcvecwbqjwsskervicgplk,321492.0,3.0,1980845.0,m,O,United States of America,514.0,tipqftrqsqayxbrwpeupdwrfkrddwgmdr,4.0,70.0,U,5.0,Virginia Beach,z,xmp9355,Prince Edward Island,xmpunfa,1-408-211-0567,
WNDOXJDHOUMV,Fexheyizjrwfijnqobmgqikicxdgusekqdrbidzepvzt,jfaaazwseidqhj,66367.0,4.0,838050.0,F,O,United States of America,331.0,Yywumjyjolpxregxaorxmatnteghskplphcuckttywcxftoqdsysipiu,2.0,66.0,S,6.0,Overland Park,,Mlt9356,OR,Mltudkmvjmjxtg,1-506-571-8374,Terra Industries
SZAQVQ,Kjuukepetpfta,ZVZXXTMVCQNM,257884.0,4.0,2021368.0,,O,United States of America,840.0,DFJEWKEJQLITQPGHFXMMCKLUEFHXBOCONKYJRDZMFOPVOHQBVGVIQNGNSUTHHOBLMLXGMFISHE,5.0,73.0,W,9.0,Yellow Knife,,kfj9357,VA,kfjdfrmfsdvpygcs,1-509-391-0683,Mattel
Ojhic,,duupdbgsawuriazmffdxasxlnl,449830.0,2.0,176674.0,,O,Canada,668.0,fxefczwhvsqtdfwbu,2.0,88.0,U,10.0,Santa Rosa,,XGL9358,ME,XGLXJODSFPENAHQVDETJLHTLEAKQ,1-384-794-2882,
wbqhcbhmw,Vpyvghrarhhifpdidgzlhmgoqrqnygerdwwnggxkwgkznrgnsbpumrmwokcrj,BYCDMYKSLQVGP,58702.0,1.0,630392.0,f,O,,474.0,Xtlfuhdzolfiopgarhzuqmpgisdjw,4.0,70.0,M,4.0,Huntington,o,Aio9359,TN,Aiogsioqctvxepkkyoeunuiikovef,1-982-194-8517,Fiserv
CDBPFV,VWXEZSZJ,Drmxeniqubofej,32361.0,3.0,939924.0,f,,United States of America,368.0,Cnvhwqsnizpwazklfklploolcyfvkebuocshdke,4.0,43.0,M,10.0,Cleveland,,jjd9360,British Columbia,jjdaaestqrkhgwsdnut,,Emerson Electric
Lzahzjcosid,Ptgakynrgrjwcajmxtnwbaoxiftazpqsbshulnrgvdgroivihnxpznsgtrctkuoqxy,Lorda,445223.0,,1766726.0,,R,Canada,425.0,Ivdmfkobtnktrerpuxlqxnbsshaqqpauoatvpgrtvmxomevqmgtqussbjds,2.0,47.0,S,7.0,Fullerton,z,pru9361,Alberta,prudmlnatpkamdwtphrosbhsokzhy,1-379-305-4148,Rite Aid
lxpvethtxge,Odupyoqdwfrdvvswuvorubmhwufawamjroipeumwawdkoeooplggauudwykdoknjzmttb,uqurgcivoagwvcuplmcfnagpzagfit,415398.0,4.0,730781.0,m,O,Canada,320.0,SFILIJQVMZLODPRDKHZNMGZDDZPJIMCHXEIEMOOZGHWHMHRTMWPCRPFKDTCTHX,,88.0,D,2.0,Topeka,K,Pus9362,OH,Puszxt,1-445-578-9749,Sunoco
Txbouafl,Tcrpscbduepacfwmglkootzinigstuuqyulnhpwclnsntfeoe,Qiejglnboxxfcrsb,249106.0,3.0,3702054.0,F,O,United States of America,486.0,Zisxgkjncbnecmpqtkkjnkxxewrqsrtgnaomkn,4.0,11.0,W,3.0,Billings,,qiw9363,Saskatchewan,qiwskmanbwyuapwkwytqqog,1-559-131-1347,Key Energy Services
MGLKOSSTLAG,EFHASLATYPRZKWYQKTVZLECM,Hsfwimollqojhgisegb,305306.0,5.0,3474079.0,,,Canada,342.0,Tduwwnmzpbancwdgcyhv,5.0,24.0,M,5.0,Grand Prairie,M,Xje9364,IL,Xjentilutpkqclvzrsklvekht,1-890-526-1657,Marathon Oil
Iemtqx,Icmokukmbfxltltwdldnjaftsnfkkvauhuqaxqdprxfjrurhdvrszzakogzqvqrprihbjadvqqskct,jysisysiu,31765.0,3.0,837037.0,,O,United States of America,346.0,Esdodf,4.0,58.0,U,0.0,San Bernardino,v,edw9365,PA,edwoaxqkoocmyslqfbplsntuoa,1-765-701-6530,
mkevldommwq,,Vogciclxaweasmyvtlojxljtn,329439.0,5.0,1482994.0,M,U,United States of America,319.0,ANVEWXDUQMOHXALSVWMMEQLEOOPDKYEDOCEARJIGFLK,5.0,35.0,M,6.0,Huntsville,,Ayj9366,FL,Ayjdbvncpqvikogackpndqhirjeywl,1-739-416-0201,American Electric Power
BIYIZAITG,,zdorgqcfqtyrnwsd,49130.0,4.0,3433840.0,f,O,United States of America,782.0,GIYHHMYMDPKFTWPODHTEMTCYUWTISDJOCWKD,2.0,55.0,S,9.0,Concord,p,smf9367,HI,smfnrdwkryfjlhdtfcotqfrs,1-219-366-1225,Thor Industries
Nxtmpryovw,dnicw,GMBXIVPC,432107.0,4.0,926004.0,,O,United States of America,827.0,Wshipoblsnieamuyfctxzacqt,2.0,46.0,M,2.0,Rochester,,Flj9368,MO,Fljkjnwuolfizmfrrsdv,1-493-603-3040,Werner Enterprises
TLYILG,tlbggymtvofrydkmpzkr,gbifcpoa,321346.0,0.0,1032078.0,,R,United States of America,705.0,Pxozlbexqtershanbrzfitnxmbwbzunsrylsjvdttjlqbrockvgaxzlsbuuuqxeilmawkpttjiqka,1.0,30.0,U,5.0,Cincinnati,I,lrq9369,IL,lrqsfwewbpqgvkpe,1-268-764-2083,KAR Holdings
dnqwpc,Qccahrnbhkermqxqstpwargqhmyfqfwxnsfmfctetezoayed,SSRKBTKIRBRPAHD,471404.0,1.0,677109.0,,U,United States of America,808.0,qpgnstdxctltzftdpwhavbswurdl,1.0,27.0,W,0.0,El Monte,S,Zrb9370,MO,Zrbfcondoikwmxxd,1-345-028-9922,Bank of New York Mellon Corp.
AXYAXKQ,Agnioxncoulhoxtkkdsqjggajkltqixjsnlusymwhucoiinjdbjnkjsnmofvlxjolcywklkao,Rnubaocxxysvcnjumairk,434232.0,2.0,2824015.0,F,R,United States of America,837.0,Zboqlqxcslsknqbetigflwjhuctwb,1.0,26.0,S,9.0,Aurora,,Aqo9371,SC,Aqosnyjpzyogzk,1-067-056-0181,Ashland
JNZAAUOFXCWD,GGBDCOEXQGQTCJQOSIVQWICSDIZKAPWFZRPUINMMWSYXGQKSKDQSAJLYGPMCMHFULVZIXBCT,IUQDQKNXVQABDGI,354702.0,,2823628.0,,R,,576.0,Uqmcajxljgjlclplwvpg,2.0,36.0,U,9.0,Bismarck,o,FBJ9372,MI,FBJVTMODMRXGCGOQNL,1-231-999-0171,
JXAHYID,HKBLGFRRHYLUFTAJUTHVEUFSKXKKZGCFUPPCTDFXTMUCUBBKGXLVDFB,qgyuuqqkiphodkfxzjgdmkq,91047.0,2.0,3865939.0,,O,United States of America,623.0,Syjpyouwdnuusoqbjibhwqjmawersprxmaikkfvxvjenlkwujrojbvhrwqnpoeusccsvhwyphgtiua,4.0,92.0,U,8.0,Hamilton,,PWQ9373,Saskatchewan,PWQEELVHLSLQXXW,1-951-980-6497,
Lraunszebds,cgavkpjdxhyhliauilbndyyphalcu,Koslxxpun,245856.0,0.0,706155.0,M,O,United States of America,392.0,SJZOCXESRFDUCUJACGPHKTNYGQSCGUMHYYTYFMIGPTUGJRFMJOHWVNSSGIIBMSNHHIQD,4.0,100.0,M,1.0,Providence,,dkk9374,Nova Scotia,dkkbuleomucwvdquzqhwzv,1-015-592-9503,Portland General Electric
ujqdfvffoh,ADHWFKSYGOAJJGCJVBSCSUOASZIYLCETOKLXYUWVQQPGHGXJZHUCYGPUKUPIHDELDQQBGNXNYJUB,Rgegmnysmyfzmiq,230479.0,2.0,1704399.0,m,O,Canada,367.0,auchfnpkvtzvifftsulbcf,2.0,89.0,S,8.0,El Paso,,NBE9375,WV,NBERSMIMGLHLHRVIQXDTXE,1-768-185-5140,Chubb
Adsjmwttpsyd,wjpwumtvmxmbjh,KTIGDRTUETBL,154892.0,1.0,3871317.0,,O,United States of America,814.0,yuvbwdltxiokgmosbpbzjkblkfwnjzfsuwkhsdjmndpjoaacxlgmdquvk,0.0,30.0,M,5.0,Tacoma,,kds9376,CT,kdsmxhuutvyeicjdhndleeedpzsz,,Cabela's
Kdzoqjf,Bbhrsxqhoetnnweaidmgaolfogldth,Lhkgjilgwe,486835.0,2.0,3576531.0,m,O,United States of America,461.0,Tfbswypagdsrbwvqbvcapgdpgjtgklxwrmhqdxbwbhjqzofwbgeqfblughihekvqxlbdouvboglwldo,3.0,89.0,S,3.0,Biloxi,,YTF9377,KY,YTFLBXIA,1-468-522-8750,Puget Energy
YXOACWDAQY,Yrjayi,Lsoylmccqppuefdejxbbaku,325531.0,4.0,3418165.0,f,R,Canada,,Etqflrjhvvbkotindjubzeqkugmwvtpclcipfdnlswtflyvmhkllxvrvuliekgrjdnryteguarfnkhmq,0.0,75.0,M,,Whitehorse,L,ecj9378,ID,ecjibgbllojcwyaxsulyvadl,,Macy's
Nmlenv,Sollcivy,Uqkxbzsoumjrldqogqvdwkl,466191.0,3.0,3762568.0,m,R,United States of America,342.0,Jxzrjwmfmtfviadpqseitrnky,0.0,97.0,D,0.0,Pittsburgh,d,DOM9379,SD,DOMDOZUFAGQMQBQWNKAOFGREGJJAFA,1-977-481-2520,Exterran Holdings
xvoftt,mkqvcgbufcooqrjdshtmlomtcwexguweymbmlgtknytl,Urrexaigbjjfhatwjmldzwrimfnsxl,47954.0,1.0,17368.0,F,O,United States of America,527.0,,5.0,,U,4.0,San Antonio,Y,WKU9380,Saskatchewan,WKUSBSJDTXNDP,1-214-062-0263,Bob Evans Farms
Tqaqnaeo,Scztmieqrphmrrsaxcaldqcvfznnknofzayutahegefsdgwsvyxgfgkfmuq,Ihpwkusqbcydigjsauu,43295.0,1.0,2547897.0,f,O,United States of America,309.0,CPNWDJYQDMJHTLLYPOEACLXGSTNFPUQKLBC,1.0,57.0,M,0.0,Newark,,Leo9381,Saskatchewan,Leoeqdbmzikhygu,1-627-760-7172,Goodrich
JBRPPDEL,Dufmozxgvkkxxlajeqntiockjglkzvffaewpimvxzqkkejxgshlendjydryqhtuowjljrfiougxnyrei,Diodgekecfuxfbywsqocux,49091.0,5.0,3455552.0,,O,Canada,773.0,LKWQEYMVDHJVZMIWCGSRTHRFZALLAIWEPROICMEA,4.0,12.0,M,8.0,Salem,m,Ole9382,AR,Olejbofkbnvzfvneotxoflbqdk,1-067-555-2307,Annaly Capital Management
Clmwphpr,gaffywuawdywqytudbbrekracxvhfmljvetxoaarfcrreexxganywyfcgovmibamjiutan,QOMFGPBEZVGLVUJTTSNFGKO,125450.0,1.0,89300.0,,R,United States of America,677.0,WSOIO,2.0,28.0,M,1.0,Fairbanks,,vct9383,MN,vctlxovpymfdaadj,1-632-526-8929,Cypress Semiconductor
ZMHSUEKUU,TZTBTRFAJESCMZGWBCOHNECCSPBNNXPGQCSCNTWBAIRIGQLVTCNLESDVTFHNW,omzaawslldhiyoldqjkcqigz,50009.0,3.0,,F,O,United States of America,355.0,sxsiqwqjhfdpjmvgabcksottzpqqyhbakhkcelfplwizlcrwadzgvixrbdznjqrletumkye,3.0,8.0,S,5.0,Scottsdale,,bdi9384,Saskatchewan,bdippeifpfeyqzcsmvfsvdbfrjeemx,1-766-490-7051,Microsoft
Edqjgeiic,Uvbqmqioxjswqehglxcrzrkrsybfrnkysbjrfzikhwopmbxgbvbfqbl,xwvobbwvvincgtjgcpbfvbqpx,411841.0,3.0,188683.0,,O,United States of America,850.0,dznymfthialltmwcyfabucmgrorcxqkynmoibkvzadqxuowyrngnwwrr,,6.0,U,1.0,Berkeley,R,Pjk9385,AL,Pjkolknhijxidcfefkxkrf,1-916-847-3702,Ameren
kurqwfd,aknvtjqktgtlcusfjnrdjgzrwjqvtgdcgdmqfdbtxpljnpuazntwvsrdnmoqf,qfrjprpzd,282042.0,4.0,47266.0,F,O,United States of America,,JWEBXMMSQQZEWPDTEFJ,1.0,80.0,W,3.0,Hollywood,l,Gzo9386,TN,Gzogxxtzcslp,1-197-198-5620,Weis Markets
ZUWZTBCMEQVA,Gzmvyiizehcwbrhofpynbiducwpihvdnqecficabqialrmvavmzcmuege,wfrwzbqypcldwvife,76695.0,0.0,3441452.0,,R,United States of America,450.0,Ludqlxwprwbxosw,,1.0,U,8.0,Regina,,Vpn9387,CA,Vpncsisq,1-577-180-8689,Progress Energy
pfiaq,PNSBCWQNVPQLQIJHEUNORRWWFSCSCBASRMKHLJOJVHTEWDPJNLSWNIBRRTSJF,hwnmjeezyolwjzjxrerqi,169740.0,4.0,3472455.0,m,O,United States of America,756.0,Zhcajnhbrckefeqxnvp,,20.0,M,9.0,Columbus,,orf9388,Ontario,orfqcufybbdwiuob,1-329-183-8034,Visteon
mprvojlwo,Fcnaoxqbewpscmuixpk,Eanahb,87347.0,0.0,2731857.0,f,,Canada,711.0,ROMDTIKNVAYSJVLQCUQRWXQEPWWIXRGHOCDNJUDBZD,3.0,13.0,S,2.0,Iqaluit,O,Hqq9389,SD,Hqqtesfgobwqhqlxlrigtjhiyacff,1-465-145-8568,Kennametal
Ampdtjjmow,Bxtyylwmgnvzlkyfvoyfglkgumrohqinhgcedqsbzlmvlxorkpothjemqjgvfkhgtlwnjoxqrckjtsc,TODUTXSMIHDUAAWHI,134444.0,5.0,3393312.0,,O,United States of America,485.0,Tnekycorspvxexvfdovtowrmbzjmmekuixdqplxfmulaormplvokteeelrw,5.0,18.0,U,2.0,Des Moines,,JZT9390,MO,JZTTKFNOYOIZWIGJMTG,1-861-535-8498,Unum Group
Zsfooho,Dvqitipgqqihwppvvcpkskxqwbdhwdhyxkhbinvwwashoypphykxagyozkitwhessiwmmzpjht,Umtcmzbnhy,490524.0,1.0,352441.0,,O,United States of America,693.0,UUWNBWOWUREBRNXJOFAVQPCXTVUUFEBHMNPGCFXEZXCALE,0.0,3.0,U,6.0,Santa Fe,s,UIO9391,OK,UIOSLRRIKHJAJYDGBKILKORBAFKF,1-355-189-2132,Saks
Cwrjka,,Mhcdffovhholpoprhgzgjczv,492505.0,1.0,15207.0,M,O,United States of America,308.0,,1.0,14.0,U,4.0,Dayton,V,HNC9392,DC,HNCLDFJLSQQVOPK,1-959-949-9563,WellPoint
lreffpsoapl,Orwcmsbdkqqkdccztufdtnviltymiigfdmbqnekhpgnitxhjjc,pkpszkalqgrakqorx,163057.0,4.0,944635.0,M,O,United States of America,394.0,RVZNQHOOZERHGTNQODRZAIPGOSWMMTUU,4.0,17.0,,2.0,Philadelphia,n,WUT9393,Saskatchewan,WUTEHVRLVGHXSSEGHUKJUHF,1-817-711-2467,Mosaic
,Wbuoscvphujwinutsfthgxsctkpvjqpoomohmprkdgrkbjamhdscmrjlpcgxhyojxlpxdxuxfvpzxb,zuphdtejtgpdcglfmw,31495.0,2.0,54176.0,,,United States of America,505.0,,5.0,85.0,U,0.0,Seattle,,Paq9394,MN,Paqkpmogtsevtg,1-649-673-7198,Perrigo
Hefws,Uzogahfwzfdjpifsfivhprsudgszswqmgnzvetdmjnv,Ihqphhwnnqnbcaxgkt,259876.0,5.0,2529652.0,f,O,United States of America,340.0,HDKLJAUJJZQ,0.0,53.0,S,2.0,Charlottetown,,WDL9395,CA,WDLMUFNAICOMNMHHZD,1-087-815-9390,Cintas
Dswxxgx,VICZC,Gcanwypcjfyslnalignofstoqzfgs,449245.0,4.0,3677433.0,,O,United States of America,,Sngcdgdmiqsfiwwmfkmohlsjjqoqdqzbspjpouogujhvzedudqkhmcoaoaqiuvhztitqxkwyiyq,3.0,47.0,U,3.0,Kansas City,E,amx9396,AL,amxjfjgruw,1-832-424-1561,Texas Instruments
Npqncksoe,XNUGQFZZECRNWLHG,ZPJYNONRTNKZ,143275.0,1.0,3100245.0,,R,United States of America,820.0,qtehiohrmvlmsywpvkqpdx,3.0,60.0,S,9.0,Honolulu,O,cyp9397,OK,cypugdgcjqprjtjcxahkwgipyjbv,1-192-130-6884,Advance Auto Parts
Ftdav,Exhamwkvqtdiijtrdvomdrzusjwtxxycptgzgpwjgjenlywtrjo,Ckdlmktctth,41921.0,2.0,847782.0,,U,United States of America,501.0,Ixmmtfdbfnjvjlbuolanldheuojcrohnccjqjmqcvmdecfqzkyvcd,1.0,38.0,U,6.0,Fairbanks,,ETG9398,IL,ETGDMXVVTVDKFGDT,1-243-000-0593,
NFVOAXBA,Tzidllkblfdkjvfzilvm,Pcmvaeczcwzpbo,257887.0,1.0,1163096.0,,O,United States of America,817.0,qifnevglowuqdihkaalxnvkgyzqmqkldrnnowlsqnmehayfqsknaakqg,,83.0,M,7.0,Yonkers,,Bsg9399,PA,Bsgofuauvjpvtylxalhup,1-753-749-8892,Live Nation
Evetjrnywsyn,clrcphnqhollvdgzkxwdqulvktwzgnadcouhotzdbcodyjhmccjyadeioplmnkthcluh,qiufevykwzviojgg,30394.0,,2521199.0,,R,,653.0,EDMWBEGIPNMTF,5.0,86.0,M,7.0,Yonkers,k,OAW9400,Prince Edward Island,OAWEXBZRBGJFZGIGZ,1-135-620-2410,Univision Communications
Tmhxsgjcmh,naqsvlttnyuyidwuesydatedosfxcwnfnxn,Luridhgs,,3.0,1028705.0,t,O,United States of America,342.0,Chfvsbnuthpjwuihipmjnvteduyqajtfkwjubkhmfvfeessehntixvarvnhogabeqy,5.0,23.0,M,4.0,Newark,,nzr9401,ID,nzrumaphavdo,1-770-368-1144,Procter & Gamble
Rkacdbnd,Ujvmmmsduftahqfgqojvrnofrdrlsyykhapfcqqbtholvcnjipgzglzxvzvymesksnlcdpo,Bibexkfsqqiimdkapto,324312.0,3.0,284279.0,,O,United States of America,470.0,YQXWKSVHJPJDSEMOPVFCPOBFLITKUNUQUDFESTKVETHAGPPWDJEEZBYEUIWUBRJCRQKJJL,3.0,86.0,U,4.0,Glendale,I,Jwn9402,New Brunswick,Jwnbagheaoevujfanobrqz,1-003-170-7046,Enterprise GP Holdings
Dveyqtqgzw,Wiodeogsqriplnvjdtnbfadjwpoye,Rnirygadoopmzkaehbwyxipa,206115.0,0.0,3982154.0,M,O,United States of America,738.0,Djmocxeqwenrrnhwvuhuqcvdhptxuuptgxfffynaxmfguybanmlgka,3.0,95.0,U,6.0,Macon,,Ozn9403,Alberta,Oznvqpzwxbzyaqsio,1-747-573-4013,Great Atlantic & Pacific Tea
Ruewoopxmx,nyqihhhvcfprysmdmadmihwmpecjzrphvdnjrgqusexpzlghs,Oakmlfsklfcllmhcwxelk,286350.0,2.0,1358649.0,,R,United States of America,721.0,oojwwgn,4.0,66.0,S,4.0,Palmdale,m,Coy9404,TX,Coyxmzjraqajpsfz,1-651-224-0340,Guardian Life Ins. Co.
Uuxtc,Bhxrlypufbnehgitqsuhcaamlfsyctjtljrcwnucigksftzzkoexjdcbjtleibq,SPMAHFYUDALAGLJJIETVSVBYKPQ,,1.0,2950960.0,,U,United States of America,608.0,njdtoxprjctsxbihwydhthybtjimnskiybwijkptlmgfujagoiuebiovuusxdt,2.0,40.0,S,4.0,Greensboro,,Yig9405,DE,Yigivmsskhaymsjbdapgveha,1-434-139-0541,Berry Plastics
JNRGAXCHVW,URCVYYIJPGBDQJVVNXPMDGYTIIAHQJFJIU,iknynttouqvodefckonfdpj,396153.0,3.0,,M,O,Canada,387.0,,2.0,93.0,W,4.0,Huntington,d,Laz9406,MN,Lazjxsva,1-041-707-1801,Xerox
RHOLT,Giokxxqmvnhmsaznkxsdbymqnmxtarpziissclerbxqonawjqnsobvckzrvkduyks,Sofdvnjwuyj,113282.0,5.0,,f,O,Canada,,lazxabkldnvllkfvjgabduysqudrmwjkyjaqcivexokksqixs,3.0,,S,3.0,Nashua,,Gou9407,MN,Gousrcxolpdcppgxnuwosiljedjrq,1-142-543-8989,
Cbjhpobwsvvm,Tnttrcvxotyiwwjaxwodqquvisgfirhfbnyknfrhmnnoollhlontqexgzoggrlhoegway,Nqgsqguixwb,107612.0,1.0,3035527.0,,R,United States of America,535.0,Kilgrntjdfhxg,4.0,67.0,W,5.0,Henderson,k,Den9408,AZ,Denwxbmvj,1-642-408-5459,NetApp
Zfeztlg,Wiqmtegcgqblnxywptpalhniqwlitwllxbgshbuxpmejgmnsthttbvfvqxugqnshv,Shuvwtjrfoupgnutmljh,52850.0,2.0,,m,O,United States of America,602.0,Ipepdkutbkyhwnsnbpmwrzvkuboxfgzofceqnnllzz,5.0,44.0,M,10.0,Colorado Springs,v,Jft9409,AK,Jftpoenpdwhtfpl,1-471-916-3022,Cliffs Natural Resources
SRANCKDPCPC,Hbdmrwjmhz,STWVCISQT,442069.0,5.0,2078834.0,F,O,United States of America,791.0,Qmwxfhdnuvr,1.0,85.0,U,1.0,St. Petersburg,S,SBQ9410,MS,SBQKXFEOGDQTHKASJGCVJMPXRTQ,1-916-703-9205,AECOM Technology
rryvgejmwlmj,tfpnrjgsvhvepgpgzwjfmuypzxwtaorbymhnbaodipgbwmtuafuizckqp,PZBNHW,424497.0,0.0,932477.0,,O,United States of America,565.0,Pfbdja,2.0,20.0,S,4.0,Columbia,,DQN9411,LA,DQNCFESCLFGHLRAZONYXOLYMT,1-549-791-3741,PetSmart
,FHEQIYR,zwlemodde,194585.0,3.0,2356456.0,,U,United States of America,785.0,TGFQFIAOIXQVOWPLFNLVSAHBZIVUQXCPWKNXUEHHYEVYFXDCBJVNDXQMLEYNGCAVIOACQMTQH,4.0,55.0,,9.0,Fargo,,Gxn9412,AL,Gxnxgllezimfzoydoto,1-361-871-0230,Hewlett-Packard
AMDNFR,sdlwwsaatjsbfjpgzxwsunbrhqyfduilkuwoleug,Xkujx,427521.0,0.0,2372383.0,M,U,United States of America,801.0,,2.0,40.0,U,0.0,Milwaukee,S,Uil9413,GA,Uilwtdxhdxslwdgqcmqlaa,1-835-025-3174,Hudson City Bancorp
EBQOGKXWPV,Doifcitejqvltb,vptvgjqcyboich,25203.0,3.0,2157485.0,m,O,United States of America,398.0,tmeyiaqxajnupsbrmgdwwpyqyuobnjoljod,0.0,82.0,W,4.0,Eugene,,GXC9414,GA,GXCREA,1-650-468-3471,American Express
LLTSFRODVL,Sgoiewrlawhrsaaleqhiqgfuxqvdofcnowooprtjdmbulabu,cnczuhpgx,314243.0,2.0,1629131.0,,O,Canada,679.0,AQBABKVAQRXYSEPIXSEYUMVQQHTNKUKWPEXEJSGTYQTHUACSNEEZ,0.0,40.0,S,9.0,Fayetteville,,grg9415,AK,grgavyxejbmddfshvsdsqlgmudbj,1-376-762-0093,Kla-Tencor
Tmuvwebrfv,zbwiltbeermwtmcenicfh,Oyjqmqnhtprerylvposclvexkjk,215905.0,0.0,1281786.0,F,O,United States of America,356.0,jhdivvnpiuakzmtklchbulifgdzfchfbzeuvciujsfsalbhgnqocsudmvjuxkihrpxmdoohze,5.0,39.0,M,8.0,Cedar Rapids,J,Lbi9416,KS,Lbimxyxlfawvqz,1-942-284-7016,J.B. Hunt Transport Services
wjiarafv,Jbbceekmvuqjorluaizzxhkqsvfgdafwjveobvgdneemkuqfwnychkxuxcbsivrtceaclngthck,MVAEBKYZIDNWLRBNKSVBGA,249321.0,3.0,,,R,United States of America,480.0,Rwcvrkwajhadbf,,56.0,D,9.0,Buffalo,,jha9417,NH,jhagzgl,1-294-143-0630,Cabela's
