AddressLine1,NumberCars,Country,Income,Age,MiddleInitial,LastName,Gender,FirstName,AddressLine2,OwnOrRentFlag,Phone,PostalCode,NetWorth,Employer,AgencyID,CreditRating,City,State,NumberCreditCards,MaritalStatus,NumberChildren
19876 conier upper,5.0,United States of America,65695.0,10.0,,Peleato,,SARI,,U,1-544-823-3292,V6k 1p6,1046997.0,ArvinMeritor,Pel2549,582.0,Mobile,AL,7.0,M,5.0
14243 river place road,3.0,United States of America,176926.0,64.0,,Hadley,F,RANICE,,O,1-153-147-3013,10010,1090026.0,Flowserve,Had2550,376.0,Pueblo,CA,8.0,,4.0
19518 sheriden upper,4.0,United States of America,138136.0,93.0,,DAWSON,,Walter,,O,1-689-030-7538,92411,951099.0,American Eagle Outfitters,DAW2551,843.0,Erie,NH,5.0,M,0.0
4833 baltic boulevard,0.0,Canada,,20.0,M,FAIRLIE,,prashant,Apt. 471,O,1-232-732-2018,E7n 1q2,1503741.0,,FAI2552,809.0,Glendale,Manitoba,3.0,M,5.0
16181 foster park,0.0,United States of America,434217.0,5.0,,trisic,,Xylina,,U,1-669-094-2294,78749,3335946.0,United Technologies,tri2553,699.0,Cheyenne,IA,9.0,M,4.0
7042 ottley park,5.0,United States of America,65910.0,88.0,,RAMSAYER,,Mot,,O,1-398-736-3545,93832,204564.0,Family Dollar Stores,RAM2554,355.0,Modesto,ME,0.0,M,3.0
1104 century road,2.0,United States of America,124057.0,22.0,,paterson,,Megan,,U,1-368-143-9819,90232,3363186.0,AmeriCredit,pat2555,315.0,Vallejo,LA,2.0,,2.0
24400 SYCAMORE SCHOOL BOULEVARD,1.0,United States of America,323372.0,54.0,Y,QUILTY,F,Radoslav,,O,1-599-582-7213,V6d 1v2,80004.0,Enterprise GP Holdings,QUI2556,,Santa Fe,British Columbia,5.0,U,1.0
9815 withers lane,5.0,United States of America,140747.0,22.0,,Kohnhorst,,tidwell,,O,1-972-516-3025,94590,727999.0,Applied Materials,Koh2557,,Whitehorse,OH,1.0,M,4.0
15520 ledgestone upper,2.0,United States of America,,79.0,,Puent,,Torre,,R,1-504-733-4725,94518,208029.0,,Pue2558,574.0,Dayton,ME,9.0,M,1.0
2164 palm road,0.0,Canada,26190.0,88.0,C,DROLET,F,Julee,,O,1-894-028-5050,72265,2750505.0,Laclede Group,DRO2559,737.0,Chula Vista,MO,5.0,W,5.0
13741 durand street,2.0,United States of America,211812.0,14.0,,Akkermans,,Roland,,O,1-156-684-5311,T6d 1e7,2105378.0,,Akk2560,823.0,Macon,KS,0.0,S,1.0
23181 CANTEY COURT,0.0,United States of America,491034.0,94.0,Y,Cuddihy,M,Jey,,O,1-198-959-7417,92858,574595.0,Aleris International,Cud2561,571.0,St. Petersburg,AZ,4.0,M,1.0
2989 madison north,4.0,United States of America,58204.0,59.0,,Wolfman,,Cang,,U,,10263,1660243.0,Erie Insurance Group,Wol2562,466.0,Fort Wayne,Ontario,7.0,U,2.0
24795 CLOVER COURT,5.0,Canada,92676.0,19.0,M,Serbin,,WILEEN,Apt. 440,O,1-556-990-2387,75025,1499364.0,Expeditors International,Ser2563,738.0,Overland Park,WV,9.0,U,3.0
24368 rutgers way,5.0,Canada,135240.0,66.0,,Degan,M,deanne,,O,1-638-131-6560,94354,3704446.0,KBR,Deg2564,460.0,Hay River,Quebec,5.0,U,3.0
17976 jack avenue,5.0,United States of America,292583.0,36.0,,Frey,,MARIT,,O,1-230-831-6803,19133,2337575.0,Marathon Oil,Fre2565,781.0,Nashville,UT,8.0,U,2.0
4144 LAKE PARK LANE,4.0,United States of America,285149.0,4.0,,Kirkby,,Carleen,,O,1-573-380-8833,E7N 1P4,107221.0,RBS Global,Kir2566,408.0,Hollywood,ND,9.0,W,1.0
5656 upton west,0.0,United States of America,,22.0,,LATORRE,,Catlaina,,R,1-045-117-0485,S3a 1g9,3827727.0,Eli Lilly,LAT2567,586.0,Salt Lake City,CO,0.0,U,5.0
6488 AVALON NORTH,2.0,United States of America,161828.0,69.0,,cobaugh,F,DEHLIA,,R,1-531-778-7023,39207,1540650.0,VF,cob2568,607.0,Fort Worth,IL,9.0,M,1.0
9109 western way,1.0,United States of America,308038.0,95.0,,plouffe,F,Mechelle,Suite 344,O,1-528-349-0745,v6x 1s8,2635531.0,Rowan Cos.,plo2569,322.0,Toledo,NM,0.0,S,5.0
8680 BAGBY COURT,0.0,United States of America,276572.0,11.0,,STARSDPS,,costas-dinos,,R,1-981-281-2577,31410,3642330.0,Thrivent Financial,STA2570,,Buffalo,GA,3.0,M,0.0
6517 FRAILING WEST,5.0,United States of America,379621.0,6.0,,paliwal,,Emmaline,,O,1-123-622-1334,20083,608896.0,Family Dollar Stores,pal2571,790.0,Inglewood,Saskatchewan,10.0,M,1.0
19334 STRATMORE LANE,4.0,United States of America,69893.0,61.0,,Wooster,F,Yueli,,R,1-537-247-9061,45441,1437234.0,Andersons,Woo2572,500.0,San Jose,ND,9.0,M,4.0
18175 walnut east,,United States of America,419209.0,96.0,P,De wiele,F,ninette,Apt. 117,O,1-361-697-4822,36652,1337965.0,Rent A Center,De 2573,445.0,Burlington,AZ,0.0,S,2.0
11167 WOLFE WAY,5.0,United States of America,344598.0,59.0,P,Eppenstiner,,Alicia,,O,1-715-431-9118,V6B 1S8,1092846.0,,Epp2574,408.0,Virginia Beach,PA,8.0,U,0.0
24743 hope drive,1.0,United States of America,37819.0,73.0,,LICANDRO,M,MICHAELLA,,O,1-455-878-7794,T5a 1t1,1377455.0,Henry Schein,LIC2575,805.0,Burlington,DC,10.0,M,0.0
10905 apollo west,0.0,United States of America,97688.0,9.0,,hesk,F,WINONAH,,O,1-084-216-6649,55420,1501897.0,Hospira,hes2576,526.0,Bismarck,NJ,9.0,M,4.0
24740 kingsbridge south,0.0,United States of America,234104.0,78.0,,phagan,,Quynh,,,1-180-532-4222,47738,1920413.0,Regions Financial,pha2577,766.0,Victoria,OR,4.0,M,2.0
17481 spectrum avenue,4.0,Canada,176880.0,39.0,Z,Fitzgerald,,Hilde,,R,1-429-827-9186,10203,3378585.0,Nalco Holding,Fit2578,436.0,Modesto,DC,6.0,W,
9552 roosevelt court,1.0,United States of America,429694.0,35.0,F,PRANG,F,chlo,,U,1-444-410-6897,h2e 1y4,699399.0,Ryder System,PRA2579,491.0,Baltimore,Ontario,9.0,M,0.0
20623 hickory street,2.0,United States of America,,16.0,B,JAMNEJAD,f,ALIKEE,,O,1-341-640-2742,90876,211289.0,Cabela's,JAM2580,604.0,Huntsville,MS,0.0,U,5.0
6802 ames street,2.0,Canada,293547.0,57.0,G,cellucci,m,SHEILA,,U,1-834-082-5868,T6b 1e2,1572695.0,American National Insurance,cel2581,,Chandler,MN,5.0,M,5.0
2088 red willow way,1.0,United States of America,8477.0,13.0,,STEPP,,VMCHANGE,,O,1-706-688-6304,94278,1840869.0,Oceaneering International,STE2582,,Chattanooga,WY,,S,5.0
15898 APPLEWOOD ROAD,1.0,United States of America,407643.0,94.0,J,Ottowa,,Carrissa,,O,1-050-251-6261,H2f 1x3,3500574.0,Textron,Ott2583,816.0,Missoula,WA,,M,2.0
14563 KINLAND CRESCENT,0.0,United States of America,,61.0,,HOWSE,,Emmalynn,,O,1-967-723-9887,93363,964379.0,Con-way,HOW2584,393.0,Nashville,OH,1.0,M,2.0
6456 ashford hollow south,1.0,United States of America,274472.0,4.0,,Brodfuehrer,,cassey,,O,1-750-008-4383,60795,1302029.0,Google,Bro2585,728.0,San Francisco,NM,1.0,S,4.0
20441 PINTO PARK,5.0,United States of America,457884.0,10.0,,Burleigh,,Dynah,,O,1-646-984-0077,V6N 1R5,,Complete Production Services,Bur2586,561.0,Montgomery,NH,0.0,U,4.0
19443 payne boulevard,3.0,Canada,453721.0,26.0,P,Thacker,,RONICA,,O,1-357-835-2616,H7g 1t3,866510.0,Dole Food,Tha2587,560.0,Pembroke Pines,AZ,7.0,U,5.0
17962 COLUMBUS EAST,1.0,United States of America,275778.0,57.0,,MCCLENDON,,Charlotte,apt. 979,R,1-343-475-7067,V6y 1w5,1215692.0,Capital One Financial,MCC2588,499.0,Savannah,HI,0.0,M,4.0
19492 LYONS COURT,5.0,United States of America,448783.0,74.0,,daneshzadeh,,Alisha,,O,,75052,113766.0,NuStar Energy,dan2589,785.0,Missoula,TX,0.0,U,1.0
19282 holly upper,5.0,Canada,491940.0,84.0,O,Mathieu,m,KAIA,,R,1-449-462-3346,23513,2177765.0,Robert Half International,Mat2590,402.0,Anaheim,LA,1.0,,4.0
4156 broadway west,1.0,United States of America,264847.0,48.0,,Gayman,,Vimi,,,1-922-562-8572,22227,1561349.0,Southwestern Energy,Gay2591,662.0,Winnipeg,AL,2.0,W,2.0
10789 winifred lane,1.0,United States of America,,0.0,B,Kogan,f,Corri,,O,1-872-327-1232,73151,658644.0,Molson Coors Brewing,Kog2592,637.0,Santa Fe,New Brunswick,3.0,,5.0
8752 forest park east,0.0,United States of America,75114.0,92.0,,Dysart,m,TAMRA,APT. 537,U,1-390-177-7171,80526,2612131.0,Patterson,Dys2593,617.0,Erie,WV,4.0,U,4.0
6490 MARCHMONT SOUTH,0.0,Canada,65833.0,77.0,Y,Bennison,M,HELENKA,,O,1-508-720-2153,V5c 1o9,3349586.0,,Ben2594,675.0,Grand Rapids,GA,8.0,S,5.0
10381 voss rue,4.0,United States of America,91262.0,75.0,M,byer,m,lexy,,O,1-133-362-7748,70503,1217563.0,Vornado Realty Trust,bye2595,784.0,Chula Vista,New Brunswick,0.0,U,
4522 BROWN AVENUE,0.0,Canada,117473.0,58.0,T,BARRACLOUGH,,diana,,O,1-937-863-8627,72213,883061.0,Belk,BAR2596,349.0,Warren,NC,4.0,S,3.0
2378 gaines court,4.0,United States of America,304577.0,5.0,,SALLADAY,M,ALBRECHT,,O,1-351-861-9368,90033,850602.0,U.S. Bancorp,SAL2597,603.0,Stamford,AL,,M,2.0
18907 wagner street,0.0,Canada,495603.0,97.0,A,Bassignana,,abbi,,,1-706-105-9893,94589,3911245.0,Starbucks,Bas2598,402.0,Bridgeport,NJ,0.0,D,4.0
20060 FLORENCE DRIVE,1.0,United States of America,376767.0,60.0,M,STONER,f,butch,,U,1-660-348-6671,M3W 1J7,244871.0,Rockwood Holdings,STO2599,506.0,Cincinnati,MS,7.0,M,1.0
7828 cartwright park,1.0,Canada,466649.0,56.0,,Salada,M,Gerrie,,R,1-872-505-3248,85093,,,Sal2600,328.0,Madison,WA,6.0,U,0.0
22506 shelter drive,4.0,United States of America,200175.0,74.0,Z,Klasky,,fausto,,U,1-009-253-9398,48253,380616.0,Costco Wholesale,Kla2601,749.0,San Diego,NH,6.0,M,5.0
575 lander court,3.0,United States of America,137606.0,6.0,,santos,,dacie,,U,1-791-917-0763,33325,2217225.0,Kansas City Southern,san2602,658.0,Costa Mesa,IA,1.0,S,4.0
21119 vickery west,2.0,United States of America,454506.0,99.0,,encomenderos,,Nissy,Apt. 689,U,1-939-943-5107,40220,1549157.0,WABCO Holdings,enc2603,623.0,Gary,DE,2.0,M,3.0
10232 oak hill west,3.0,United States of America,81291.0,25.0,U,brosselard,m,Eadith,,O,1-163-411-1142,44322,2632065.0,Portland General Electric,bro2604,708.0,Tempe,DC,9.0,M,
10905 apollo west,4.0,Canada,438189.0,55.0,I,NETDEV,,GERT,,R,1-174-492-7776,M5C 1Z2,2092276.0,Shaw Group,NET2605,360.0,Irving,Quebec,0.0,M,
19478 KINLAND LANE,,United States of America,497456.0,47.0,D,BRINKMAN,,sanae,,O,,13211,3483635.0,Rite Aid,BRI2606,736.0,Hollywood,OH,10.0,M,2.0
18570 woodtimber way,0.0,United States of America,106953.0,88.0,K,hager,,Svenn-erik,,O,1-020-999-3864,78742,193836.0,Abbott Laboratories,hag2607,832.0,Buffalo,OR,0.0,S,4.0
947 mcshann avenue,,United States of America,39767.0,45.0,,cinq-mars,M,Burgess,suite 305,,1-605-361-8741,99759,1036364.0,Scana,cin2608,368.0,Santa Fe,LA,4.0,S,4.0
11631 USTER SOUTH,2.0,United States of America,37849.0,6.0,,NISBET,f,devondra,,R,1-400-569-1634,t5c 1m3,312761.0,Polaris Industries,NIS2609,427.0,Toronto,WA,7.0,M,1.0
18234 fir street,5.0,Canada,123938.0,65.0,,steeves,M,TANA,,R,1-096-141-1038,78733,3748598.0,Phillips-Van Heusen,ste2610,546.0,Toronto,CT,5.0,S,5.0
8101 clifton drive,0.0,United States of America,301799.0,87.0,,Csop,,Alissa,,U,1-170-260-3246,23289,3713350.0,,Cso2611,765.0,Glendale,NM,9.0,M,1.0
18013 tiffany way,3.0,United States of America,305505.0,12.0,,Stillwell,,SHELTON,,O,1-349-038-1348,90840,394303.0,Rockwood Holdings,Sti2612,481.0,Pasadena,GA,4.0,M,3.0
2928 POTOMAC UPPER,5.0,United States of America,1925.0,48.0,,plouffe,M,manimozhi,,,,92038,2958841.0,Eli Lilly,plo2613,527.0,Portland,NJ,3.0,M,2.0
21620 snead avenue,2.0,United States of America,213841.0,79.0,,jeavons,m,catrina,,O,1-905-194-2855,m2q 1e3,3806494.0,Tyson Foods,jea2614,734.0,Sherbrooke,IL,4.0,S,1.0
5350 glen loch boulevard,4.0,United States of America,419646.0,,E,manolios,m,PRIORE,,O,1-590-723-3311,M8a 1x2,70687.0,Nvidia,man2615,537.0,Santa Clarita,MN,7.0,D,5.0
7160 cannas avenue,5.0,United States of America,311129.0,72.0,T,zaretsky,,Thea,,R,1-541-436-9056,V6k 1t2,1558633.0,AFLAC,zar2616,626.0,Overland Park,OR,5.0,M,2.0
2579 creekbend way,,United States of America,476684.0,5.0,,suer,,Halina,,R,,77221,3641585.0,NV Energy,sue2617,734.0,Garland,LA,4.0,U,0.0
23607 idlewild way,1.0,United States of America,480975.0,19.0,,MOSEBY,,Minne,,R,1-804-841-0957,85089,154612.0,Molina Healthcare,MOS2618,426.0,Riverside,AK,2.0,S,4.0
4139 PACE LOWER,1.0,United States of America,266476.0,100.0,,ACTON,,MAIDISN,APT. 485,U,1-342-301-7355,m5d 1w3,1261571.0,JetBlue Airways,ACT2619,789.0,Thousand Oaks,AK,10.0,U,2.0
2453 BAKER WAY,5.0,United States of America,176933.0,53.0,,tanchak,F,LAUREL,,U,1-820-172-9279,94525,1963347.0,Molina Healthcare,tan2620,362.0,Casper,WA,2.0,S,2.0
21292 HILDEBRAND WEST,5.0,United States of America,283885.0,38.0,,Fleishman,,quyen,,O,1-520-596-3006,M2R 1E1,,Kla-Tencor,Fle2621,599.0,Chicago,MD,1.0,M,
12683 la cienega street,3.0,United States of America,493578.0,56.0,,Mullarney,R,Angil,,O,1-193-725-0779,80156,3119965.0,Cimarex Energy,Mul2622,402.0,Overland Park,PA,5.0,S,2.0
18439 broken oak lane,1.0,United States of America,481399.0,32.0,,WASSERMAN,M,PDE,,R,1-225-321-9980,V6t 1w1,1608044.0,Group 1 Automotive,WAS2623,444.0,Hialeah,OH,6.0,W,3.0
13134 ansley upper,3.0,United States of America,,19.0,U,Henshaw,,Jorry,,O,1-587-520-0490,H2g 1x4,,Emerson Electric,Hen2624,684.0,Oxnard,IN,2.0,U,2.0
2928 potomac upper,,Canada,408392.0,23.0,,figura,m,Jacinta,,O,1-134-449-3792,85028,3809485.0,Priceline.com,fig2625,675.0,Las Cruces,British Columbia,8.0,M,0.0
6490 marchmont south,4.0,United States of America,65706.0,86.0,,Hugel,F,ELVERT,APT. 350,O,1-566-390-5105,T5b 1t2,684008.0,Virgin Media,Hug2626,526.0,Lakewood,VA,3.0,M,3.0
11741 hilltop court,2.0,Canada,328810.0,29.0,,Parypa,,Makam,,O,1-157-644-4824,95166,3376755.0,,Par2627,,Halifax,Saskatchewan,1.0,D,2.0
12727 HAYDEN CRESCENT,4.0,United States of America,161757.0,19.0,,Qadri,,okan,,,1-761-337-4891,96809,1361206.0,FMC,Qad2628,665.0,Cedar Rapids,NJ,0.0,M,4.0
3135 FARMERS LANE,5.0,Canada,,40.0,,Rowlandson,,Korrie,,,1-620-552-7401,V6o 1t6,2794619.0,Lennox International,Row2629,423.0,Fargo,Saskatchewan,2.0,M,2.0
8272 cartwright avenue,1.0,United States of America,49213.0,7.0,,Ghaemian,m,viviana,,O,1-033-359-5975,X5f 1v7,1003024.0,Moog,Gha2630,496.0,Phoenix,ID,6.0,M,4.0
3797 RUTGERS PARK,1.0,United States of America,339480.0,37.0,,martincich,F,Luigi,,R,1-934-734-5713,m9d 1t8,,J.C. Penney,mar2631,525.0,Fullerton,AL,8.0,S,2.0
20065 gates street,2.0,United States of America,294357.0,53.0,C,gregorski,,Lizette,apt. 537,R,1-767-339-2646,H7h 1v8,1133715.0,Delta Air Lines,gre2632,307.0,Albuquerque,CA,10.0,M,1.0
11872 crystal hills park,3.0,Canada,161259.0,19.0,,Stooke,,DENI,,O,1-936-160-7120,T5C 1W8,,Target,Sto2633,380.0,Chesapeake,OR,4.0,M,3.0
6420 CRESTMERE EAST,5.0,United States of America,317922.0,8.0,S,LAWLER,,rajinderpal,,O,1-191-678-9838,99519,1959117.0,Ferrellgas Partners,LAW2634,638.0,Winston-Salem,MT,9.0,U,2.0
20929 lee east,0.0,United States of America,402436.0,26.0,,O'neil,f,Sys,,U,1-826-078-8447,M5G 1W2,266532.0,LifePoint Hospitals,O'n2635,813.0,Quebec,RI,2.0,M,2.0
10286 FOXFIRE EAST,4.0,United States of America,365401.0,54.0,O,DE CRISTOFARO,,GARTH,,O,,32212,985695.0,Alliant Energy,DE 2636,541.0,Great Falls,UT,,M,5.0
1429 CREEK CRESCENT,0.0,United States of America,405445.0,7.0,O,WATFORD,f,myron,,O,1-031-983-7230,23461,826199.0,Sanderson Farms,WAT2637,415.0,Denver,MO,5.0,S,3.0
977 SPECTRUM UPPER,4.0,United States of America,364622.0,85.0,,Wachtstetter,,alyse,,O,1-386-422-7087,T6d 1j2,449040.0,Pacer International,Wac2638,712.0,Pueblo,ME,6.0,M,3.0
17687 denton lower,2.0,United States of America,137296.0,74.0,,Dupuy,,Walt,,O,1-438-476-9954,93674,2229730.0,Packaging Corp. of America,Dup2639,826.0,Newark,MA,4.0,M,2.0
5608 country crescent,2.0,United States of America,483168.0,50.0,,Caudill,,Sherman,Apt. 650,O,1-165-493-4841,M6T 1H7,535069.0,Molson Coors Brewing,Cau2640,347.0,Bridgeport,RI,1.0,M,4.0
23282 danvers crescent,0.0,United States of America,454656.0,85.0,,Elgie,,milzie,,O,1-008-011-6631,87125,1333759.0,Xilinx,Elg2641,495.0,Simi Valley,AL,5.0,S,4.0
2342 SUMMER CREST NORTH,3.0,United States of America,457698.0,3.0,,wilhelmson,f,Magdy,,R,1-030-794-1272,e7o 1p9,2318158.0,Lennar,wil2642,783.0,Huntington,VA,9.0,U,3.0
291 SHERIDEN STREET,1.0,Canada,103787.0,82.0,,bostock,,bab,,O,1-966-870-4549,10233,2799948.0,Pool,bos2643,563.0,Cincinnati,VA,,,4.0
10572 kiel avenue,5.0,United States of America,373508.0,42.0,,FORSYTHE,m,Nissie,,R,1-152-174-1527,85098,1015601.0,Dollar Tree,FOR2644,665.0,Tucson,New Brunswick,7.0,S,0.0
15471 WILMINGTON WAY,3.0,United States of America,71202.0,73.0,,orfano,,Nonna,,O,1-690-670-3455,30388,2445130.0,W.R. Grace,orf2645,688.0,Detroit,KS,6.0,W,3.0
7223 guadalupe lower,5.0,United States of America,437672.0,1.0,,Smecca,,PIERRE-MARC,Apt. 650,O,1-126-064-9901,63170,2082526.0,Celanese,Sme2646,702.0,Costa Mesa,MI,2.0,M,5.0
9761 lyle east,1.0,United States of America,110494.0,32.0,,Constantin,f,Reinhold,,O,1-833-991-4768,94340,2292497.0,J.B. Hunt Transport Services,Con2647,,Abilene,Prince Edward Island,3.0,M,5.0
2167 MOCKINGBIRD DRIVE,4.0,United States of America,43243.0,,T,GEADAH,,Glyn,,R,1-491-083-3527,04107,240463.0,Cytec Industries,GEA2648,403.0,Santa Clara,HI,8.0,M,2.0
5049 MILLS AVENUE,5.0,United States of America,228183.0,31.0,K,Lebeau,M,Lonneke,,O,1-377-473-8126,64154,2238747.0,Fastenal,Leb2649,533.0,Hollywood,NH,9.0,U,0.0
4937 chestnut avenue,1.0,United States of America,468466.0,93.0,,dipasquale,f,Junia,apt. 508,O,1-054-293-0153,83710,1307389.0,GameStop,dip2650,565.0,Oceanside,WA,1.0,S,5.0
21380 crosby rue,4.0,United States of America,135062.0,58.0,,mufti,M,Betteann,,R,1-563-196-3258,T6a 1i6,855570.0,Activision Blizzard,muf2651,522.0,New Orleans,Saskatchewan,5.0,M,1.0
15287 bingham west,,United States of America,297308.0,87.0,,hancock,m,TREVER,,O,1-041-827-9291,19092,1529968.0,McGraw-Hill,han2652,679.0,Laredo,AR,9.0,S,3.0
23914 ROBERTS LANE,4.0,United States of America,110117.0,5.0,,MASSUMI,m,Lyndsie,Apt. 298,O,1-192-758-9338,T5c 1n7,3170619.0,Hawaiian Electric Industries,MAS2653,758.0,Fairbanks,AR,7.0,,1.0
16177 MATLOCK DRIVE,3.0,United States of America,262668.0,28.0,,Mitsui,f,Chen-chen,,O,1-646-937-2683,m3w 1k2,788680.0,Nalco Holding,Mit2654,466.0,Evansville,AL,1.0,S,4.0
17216 montview upper,,United States of America,215091.0,71.0,,AKHAVAN,F,MALAYSIA,,,1-085-551-0693,90503,1651089.0,NBTY,AKH2655,589.0,Grand Rapids,OR,1.0,M,1.0
10252 main lower,1.0,United States of America,237592.0,86.0,,MAHBEER,F,atul,,O,1-878-778-5759,68122,2841964.0,Crosstex Energy,MAH2656,614.0,Hilo,NH,3.0,D,3.0
10479 WHITTINGTON RUE,2.0,Canada,377432.0,45.0,B,Whidden,,Brina,,R,1-573-757-9286,80236,2045984.0,Biogen Idec,Whi2657,442.0,Baltimore,WV,9.0,,5.0
6360 savoy drive,3.0,United States of America,482132.0,15.0,,ANDRUZZI,,Elke,Apt. 965,O,1-248-397-5800,47702,899667.0,Laclede Group,AND2658,506.0,Sydney,RI,3.0,M,0.0
20900 marchmont west,3.0,Canada,127264.0,35.0,,Kusyk,f,ceil,apt. 784,O,1-767-838-5926,H7g 1v8,3267917.0,SkyWest,Kus2659,790.0,San Diego,NM,6.0,S,1.0
5755 bluff road,5.0,United States of America,467543.0,99.0,,Networkroom,F,Ifti,,O,1-339-231-7565,85284,2079370.0,Marsh & McLennan,Net2660,394.0,Beaumont,FL,5.0,W,3.0
1715 texas west,0.0,United States of America,294325.0,73.0,Q,MAC MAID,m,ROXANA,,O,1-515-519-6455,X7j 1r4,3989557.0,Embarq,MAC2661,809.0,Austin,MO,8.0,,3.0
16552 FRESCO SOUTH,1.0,United States of America,456076.0,12.0,N,Willette,,carlotta,,O,1-069-658-5070,77101,1639126.0,Piedmont Natural Gas,Wil2662,365.0,El Paso,MA,5.0,M,1.0
24683 meadowlark boulevard,3.0,United States of America,95438.0,96.0,,Triplehorn,,MIRIAM,,O,1-008-569-7239,27604,601085.0,Cardinal Health,Tri2663,388.0,Edmonton,NJ,3.0,S,3.0
20954 belt line rue,0.0,United States of America,375099.0,78.0,,Pullan,,anjela,,O,1-844-879-4783,Y1b 1g4,2465301.0,Genworth Financial,Pul2664,,Fort Lauderdale,KY,,S,1.0
18458 yorkchester west,3.0,United States of America,330705.0,49.0,,ORDWAY,,Mahesh,,O,1-937-645-7224,78712,2856459.0,Activision Blizzard,ORD2665,713.0,Tacoma,Manitoba,0.0,,1.0
21180 trafalgar way,1.0,Canada,124418.0,55.0,,MCCORD,,Jacinta,,O,1-655-019-1423,H7f 1t8,110322.0,,MCC2666,,Colorado Springs,New Brunswick,2.0,U,4.0
17057 eden lower,2.0,United States of America,244689.0,79.0,,Mobley,F,NUVIT,,R,1-735-199-1667,35203,583568.0,Schnitzer Steel Industries,Mob2667,711.0,Moncton,CT,1.0,S,1.0
19634 el monte boulevard,0.0,United States of America,458595.0,,,Hutt,f,birgitte,,O,1-855-989-0901,45252,1561090.0,Ameren,Hut2668,429.0,Torrance,UT,5.0,M,5.0
7667 bayridge road,4.0,United States of America,478075.0,37.0,Y,Swr,,haley,,O,1-309-403-7862,m5e 1u2,,Windstream,Swr2669,318.0,Sunnyvale,OH,3.0,U,5.0
24713 sanders drive,2.0,United States of America,210110.0,89.0,,TULLY,,NGUYEN,,O,1-201-502-8143,19249,1398784.0,Psychiatric Solutions,TUL2670,529.0,Durham,CT,9.0,,
9941 briar forest street,2.0,United States of America,198746.0,11.0,V,Coxall,M,NATALY,Apt. 513,O,1-799-779-6383,85014,1345217.0,ServiceMaster,Cox2671,739.0,Lexington,WA,8.0,M,1.0
21088 murie street,1.0,Canada,178148.0,54.0,A,rutyna,f,Gina,,O,1-304-579-2481,94109,602438.0,Timken,rut2672,536.0,Ontario,HI,1.0,M,5.0
1063 dunbar lower,1.0,Canada,310156.0,71.0,,kuhn,,Betteann,,R,1-788-984-4408,27405,2801777.0,Steelcase,kuh2673,397.0,Concord,MA,8.0,M,0.0
1424 east road,3.0,United States of America,247681.0,89.0,,Gidaro,,Bogdan,,O,1-075-490-7153,36132,1361159.0,Granite Construction,Gid2674,619.0,Newark,PA,8.0,M,3.0
20420 lynnfield lane,2.0,United States of America,177779.0,92.0,B,mccorkle,M,LRC,,U,1-836-751-8488,93362,3231165.0,Pride International,mcc2675,772.0,Chesapeake,LA,8.0,M,1.0
12957 warren crescent,2.0,United States of America,209850.0,31.0,,Traugott,m,REINE,apt. 955,O,1-167-265-0158,v6q 1q8,866271.0,Spherion,Tra2676,690.0,Regina,VT,2.0,W,2.0
23987 valderra park,3.0,United States of America,298798.0,50.0,K,Alikhan,m,Brittani,,O,1-106-679-6796,V6q 1t4,2141663.0,Timken,Ali2677,840.0,Calgary,British Columbia,0.0,U,4.0
11183 COUNTRY SOUTH,,United States of America,93065.0,,,Armolavicius,,chiarra,Apt. 476,O,1-830-920-0254,20046,870111.0,Applied Industrial Tech,Arm2678,598.0,Waco,MN,8.0,S,0.0
7366 fox boulevard,2.0,United States of America,288453.0,48.0,,Blakey,M,Udaya,Apt. 513,O,1-267-240-1336,M5g 1x1,1917609.0,Agilent Technologies,Bla2679,547.0,Irving,British Columbia,1.0,M,5.0
24280 piney point rue,4.0,United States of America,45072.0,66.0,,sutton,m,anthia,,O,1-645-656-7265,M5F 1X8,,Starwood Hotels & Resorts,sut2680,,Buffalo,NJ,4.0,M,5.0
17042 lancaster east,2.0,United States of America,225717.0,56.0,,Petrinack,m,Chungsik,APT. 508,O,1-518-561-5857,47736,346479.0,Loews,Pet2681,838.0,Santa Rosa,TX,7.0,S,4.0
22319 amherst street,1.0,Canada,222839.0,87.0,,sobkow,,SETSUKO,Suite 113,,1-070-047-4064,76710,647760.0,Steel Dynamics,sob2682,449.0,Chicago,VT,8.0,M,1.0
21181 2nd rue,2.0,United States of America,309291.0,82.0,,Simard-normandin,,MARQUITA,,U,1-803-791-8008,77232,3739619.0,Wesco International,Sim2683,500.0,Frederick,Newfoundland,4.0,S,3.0
11828 butler park,5.0,Canada,248351.0,,,lara,,franz,,O,1-572-391-8205,93329,674217.0,DuPont,lar2684,494.0,Concord,AK,5.0,M,0.0
24438 cedar springs avenue,,United States of America,163421.0,81.0,,Battershill,m,aurlie,,O,1-508-321-5863,77223,,Edison International,Bat2685,,Phoenix,Saskatchewan,8.0,S,5.0
13892 jennings road,5.0,United States of America,393289.0,44.0,,Herak,,lacey,,R,1-313-064-1613,98113,,Cracker Barrel Old Country,Her2686,569.0,Detroit,AZ,4.0,W,0.0
16648 ALEXIS AVENUE,3.0,United States of America,363868.0,25.0,,Veilleux,f,Rhoda,SUITE 48,O,1-287-082-2410,H2c 1w1,3181769.0,Guess,Vei2687,414.0,Simi Valley,Ontario,9.0,U,1.0
