AgID,FirN,MiIni,LN,AddLi1,NumCa,OORFl,AdL2,Gen,CreRa,Ci,NuChil,MariSta,Ag,Em,NumCrCar,NeWor
NVG6202,GBDZX,,NVGXVRYPMHCQRFDWOOQYMUKD,pjgofb,3.0,R,Rtkdnkrdggzfqrprlkjzrlypfmenvpnvmarshixolownrlpgqvrv,F,672.0,Shreveport,0.0,M,8.0,Kindred Healthcare,8.0,
DWK6203,adjob,,DWKWHFATGV,DEMEVSARYWMWNMIJBDWBAHZGYRLNKRLWTVPLZURYVWSTNLAFFRAOZQUVFB,1.0,R,Wcbkpa,,361.0,Amarillo,,M,24.0,Chesapeake Energy,1.0,2882906.0
Luz6204,tkuleqzksn,i,Luzfieqenymphybjzglljslffdwh,Nwwhqkzzeehgriewwjcxncabrknhx,5.0,O,VXLTJJKFQXMCYVXLNABUYCTSDOVUCV,m,359.0,Torrance,0.0,D,21.0,Affinia Group Intermediate,2.0,
vcv6205,Lneegrticlhnzkexxedlaooit,,vcvppqweo,ensfqkdzyuvccwrdiklvxuvqptvxxinvhllhao,4.0,R,IHFNMMDIUMNDIQBQXHQWJSTEDJUAKQATUQDCINWPRQIENSPZNOMIOQRXEUIXFARNDSAH,f,818.0,Lancaster,4.0,U,,Sunoco,,1144985.0
Sup6206,Pivcioomhosmibuug,,Supzvt,Hfdueraobxjltuhpbirxligbsuwa,0.0,O,KZXLDHQQYYEEXRPPCPJXYLSVSGOTLAANRQWBVUNRMGRXDCCOXVX,m,594.0,Brownsville,4.0,U,17.0,Morgan Stanley,4.0,
Kvh6207,MOGRLZFUSWCXYUIUZIDBCZNNUX,i,Kvhrmo,Tfpbpphzapbzfujjrcdtvlxpfqymmfqj,0.0,O,Txpzkthtdaspghavxzjfclncsllqwlcmqrqzsmhndhrkdsigdwgnbxrmkbib,f,786.0,Fort Smith,2.0,M,33.0,UAL,6.0,2646464.0
Otn6208,Yfgwviwirvduuvnuwu,,Otnbwglmswlabgavipk,GEJJBWHHXFRFSQICEFJHWASNJCVRNUGXIINNFHTMYZSRKXHHO,3.0,O,Kvbrqcnlqvimfmcgj,M,681.0,Charleston,3.0,W,50.0,Abercrombie & Fitch,2.0,40875.0
fwt6209,Immltexdahvibbsb,J,fwtcltsfotonbo,emcnvdnyjwqsdaelvunvqkreijdlbwggsukouptprehiugsoduqwbxptmutajfld,4.0,O,IOFYCPTLXZFUDWEHTRYFNOBXJHWF,m,384.0,Montpelier,0.0,M,25.0,Symantec,1.0,2017089.0
GDJ6210,gapnqanjpfsizfdzkdboscutf,K,GDJJTPEUDXVYAQ,Ibfjfwecvdvquryfxcidyfyidbaomdreg,3.0,O,alihjekbftrmihqpdzgpbhluvvowwhwikkevnsbsabfmnwivvuwxnudaxmuwioazxpfcgauceiu,,419.0,Hayward,3.0,U,,Trinity Industries,9.0,2387807.0
LBG6211,Vpwwnvagrlcrwh,Y,LBGXNNLQNIMNWLFJCFJSDWIFOEES,Ojmzgbgyovljcvrmvflmtknhcapnqfmciyfsnahnalpybn,4.0,R,Fqxuabpwiqjmlgrxpixnilibzrbqkarihuujgpkknbpvnyvhgiolnzsbviudhktnapb,F,519.0,Colorado Springs,1.0,M,39.0,,0.0,1388302.0
Mut6212,cdrtjvlbiyiylcefhby,i,Muthfsfgwii,Btcktauxavbtjmcdgttoteyhak,4.0,O,bvwattrtykimflyddrmlcnmmdrpkeyqwhppvxwqmwqhrazxujoqr,F,787.0,London,3.0,M,87.0,Biomet,9.0,2823060.0
Ome6213,TGBDGXFN,N,Omeuyrzkgoedfmy,Aqipoaylrieotkkmuouetjdchetlaisagwdhwvddixzdkvdpgrukiotqdzpkhjuj,0.0,O,Ekyjovmenayokladaozglvgjaxlsrqaqepqybsneravdzrweuhbumvnxbyfywtyqpjuohzhthonrplk,,821.0,Vancouver,0.0,M,45.0,StanCorp Financial,2.0,3302003.0
EWJ6214,Slfdk,,EWJNVT,,0.0,O,PNQNVJHTRBCLIHTRKTWBGLLVWLJIUKVPWPOYHHHHVFCYMUVSIEKOLVEE,,731.0,Salem,0.0,U,33.0,Equity Residential,8.0,2780004.0
Oqn6215,Thawjt,,Oqnrhzeepgwmqbyui,ZYDDWCPNMJBRUKJVNLJKCVFKDBOVKFHNHHUNIZZOIHXWRSCJBKXWHGXZWGWJKGYCAPENOPQVPGW,1.0,O,uezgtcjgwrdpvysylnlzdpxbgqehnwblgpawjeykf,F,366.0,Little Rock,2.0,M,100.0,IAC/InterActiveCorp,,2694785.0
Fvz6216,WJMFIKPSWVCCOSBLHU,f,Fvzdc,JTSEVEAXCOGLDWGXSLBERHLHOIOPARPMSFKMU,4.0,O,vdwjkyiielzmeapdr,,,Frederick,4.0,U,21.0,Belden,4.0,1711616.0
Ecr6217,LNHQVKSNVKUCFTXJXMWSAX,G,Ecrvgpdlueybsekykbeawpwfwxg,ikcoyrmtvkzyuexwrvkwlzqxreltatxknyeodojjeh,2.0,U,tsqcmtklhauciyoeebkzehdjgsmnmbmjkmiqietuxnkdgpzfvkpf,F,835.0,St. Petersburg,3.0,,20.0,Smurfit-Stone Container,10.0,397414.0
Nxz6218,rrtociroleulkdirxvql,h,Nxzxydohzvwyhwbtuoq,Brtynmhrkwrlujsef,4.0,O,ESXBTXCZHKGSSHJQUXFWKMMMRDOXTXIKUXSBXPCAPDQO,M,821.0,Dallas,5.0,S,44.0,Chesapeake Energy,2.0,712434.0
Wvd6219,Cqvhonkhhppmpxjakngboum,M,Wvdclcavzyjucisnmqbrbwfwpq,hzwiqasyadqycapjiceakdyghtpplvlgbuswhtffil,4.0,O,bmbdxxvrgwhvndcbzmxvayraaxuxajndblkxtlalydlbhcvrauyyeavgvndvdpurtbz,m,300.0,New Orleans,,S,38.0,Walt Disney,3.0,604208.0
Hvk6220,Ooapjnfgllqxebncnmqoowf,,Hvkbapjvmwxvy,ecryofddsopzqxcegvxjlshlnovbmjnbfcmqve,,,JMZWBDHKYVPHNQAOWFUTCRAYEFFBBULFEUZFTJALVLEPHYVNQSFYQJZPFINUFWAOSIQXDS,,734.0,Fort Wayne,4.0,M,35.0,DynCorp International,7.0,1909845.0
Kdv6221,unyjuehapdiijkvrc,,Kdvcir,Hshchhdarxjmyngaccvnjrbwxgaysbumzki,4.0,O,Ssgug,,779.0,Nashville,5.0,U,42.0,YRC Worldwide,4.0,568325.0
VFD6222,QKLIZSP,,VFDEJXW,Epbskpsvldgxbpkhulmnupjickybyoebkapqkuiaqqjsatkuzgxndbcnvzshca,5.0,O,Wigwxzwd,f,655.0,New Orleans,3.0,M,37.0,Virgin Media,6.0,3020963.0
jgn6223,Wrweftsbduoukgrte,,jgnrrmtdggocitkhzeazk,gykcbsqtacompeciljkkoplzxag,3.0,U,,,361.0,Augusta,,U,89.0,Dresser-Rand Group,8.0,1481735.0
CYS6224,Xhahvfxwppyhdgwxwldedianntfbi,N,CYSUTBSQHXYUKVWKH,RGHJAXXIKPNMXCDTFVJOIAILIGAEZLBWTRKCUFCTSWSWEKKSOFDNPVCPCJNEWV,,O,pzdvvhubdlpmrbytaesdmldr,,570.0,McAllen,0.0,U,70.0,NCR,5.0,2863560.0
Xuc6225,ytizmtfhbrwygkcpiuixsy,,Xucbgtynarvqvgbortywovilwi,AFNTVBLRGELSZGBQBPEKIHWPZEWTODEQRRP,2.0,O,GZHJWJXSSFHUL,,574.0,Providence,4.0,M,,Pilgrim's Pride,4.0,904387.0
BBQ6226,GDTEVAONZ,v,BBQQFDAHDFTAOWVHSFVS,XPADYWPJIHNKLC,4.0,U,vvaspfpipixvtsrgwhsgvcszdcncvuuhitfhbsxgxsndlzschrdqbymmkxdixdgjedeujk,m,673.0,Biloxi,5.0,U,2.0,Freddie Mac,7.0,
gom6227,MCRXSKBWVGSANBNEABUI,,gomghxnileublbuncnwxkaztws,TPQGAJHWJEFVGIEQMXLKOHXIUTIJHDEBY,5.0,R,Vngcnuemvxoxac,,380.0,Wichita,1.0,S,85.0,Newell Rubbermaid,2.0,802571.0
Rcs6228,uvjpobbgssu,z,Rcsnjt,Qsanmjwszckrijexhuejvaawndcmxckyecduvaitlszdtvfe,1.0,O,Mmmqbycktsrg,,425.0,Idaho Falls,2.0,M,24.0,General Cable,1.0,1226319.0
kxp6229,ANHYOAAUOIXRKT,,kxpxfskbofnhtkmetvyufrxwmdx,Cmmgeaexvkh,4.0,U,mrlzr,m,737.0,Hollywood,5.0,M,10.0,Merrill Lynch,2.0,2427827.0
Ksj6230,Grfpf,n,Ksjpnpymelpjbqwpbxw,Imdyokwylipnasubxrnhfesidgqicuzwmimlwkditk,5.0,R,ROTOVUBILJZCHVNTOJOPVNYEUKQXKTLMNEOITJQTRXTRKWPROHORQDXCCCMDHAY,M,803.0,Warwick,0.0,M,19.0,H&R Block,9.0,2046678.0
lko6231,EJROHPDRBXJLAUYBTUMKUWLAJKDU,B,lkotufeuagjebngsw,JUJSMMJOASKCVBKGRKQWMNCHZUCWOOFWSYLZVVDOCMSJUKVD,4.0,O,bspwpsdkkzileihqlqnwlaftlfzickdtxjbfzwidwxvttzxuwccpuepyfaqifdowjamnfajcxnyg,,814.0,Evansville,5.0,M,79.0,Hershey,1.0,2345397.0
nku6232,Ykincbzkouelaizcxeipd,d,nkuktcdweub,UAKZUWPOODTSHHXDFEXQCNNRLAIHOPHKYPAW,1.0,O,Njrqgjposvkvqeanysglqhdnir,m,741.0,Casper,1.0,W,82.0,Crosstex Energy,5.0,1439585.0
WXY6233,Gdcdfwhe,,WXYKDAVVEAYSPPGNQEDPSBCMF,YOMPYEXGALONPGTRETZGBXYJBMRAVNGWVEETEOBDUWOSBEGHKDSJQWPCLBQFLYRDDOPQO,5.0,,Bzcpxgenlfgkxgdbxykezmwslhskrlxgwiabkeokrcbxfrqycieeipxevhoixkgtmcbmlsnqsnpwwh,,608.0,Irving,0.0,,39.0,Bucyrus International,9.0,1477753.0
Eah6234,uwxhwtxsbz,z,Eahxnbrctncxuom,Frezlftzlghphipfekrpimr,4.0,R,Yrnausobgamaalqlusvhgecutfzicnbxrt,f,572.0,Sunnyvale,5.0,S,2.0,Gannett,7.0,598666.0
Kno6235,Gocyeydrjimlaruyb,,Knojnbuwtwzsywhuausazefwlwqqu,zapaxbidqbqasosksdaftxnchxdmftmiskxokdcunlku,0.0,R,,F,628.0,Fairbanks,2.0,S,5.0,Kimberly-Clark,5.0,2067368.0
Lhr6236,HESDVQAKNWJJMHDZQUSSZZSQ,,Lhrlplmcaldfyhhufjeia,Mvonxmrtkfsantfgestyymrtdnhxevcdipepfawhrdziuvoptrzbkuxoslrvpycsgbao,0.0,O,Emfjpsfrtgopmvtscnxviatidmqhtvdqqutxqsaukgb,F,692.0,Arlington,4.0,S,57.0,Marsh & McLennan,5.0,
Pgf6237,Icxoffsawvuzqamutqvgb,,Pgfsltr,Kxfblzktkxqjacgwpxbniijgndahkccyrhiflbhsyqhmqinsxqjln,5.0,R,Sdrhigxaqrqlsaxlzslvbkajpecseycmxtinouvuskftntx,M,446.0,Idaho Falls,0.0,,19.0,Flowers Foods,10.0,2778640.0
RFH6238,Wldcevtpnxwj,,RFHRAEWEWD,RUYDVRXLEUGDDECYAEIXQPCESKJHOPPGCRCWAOVZJA,3.0,R,LLETFAPGAGCIANEZDYSNXTCFHDXCPEOSHOGKGVYZGLUUZWNAFPUGIWTHMRGENZVACLFBDNXWWHZRA,f,827.0,Bridgeport,5.0,S,4.0,Advanced Micro Devices,8.0,2856159.0
WFS6239,Khveczbqhvdfxhah,R,WFSXCIDBV,Vnxtcwpyqmykkvyisbwxtksc,0.0,O,IQFRXZGVZYSYFKLKRVDQGVWK,,398.0,Austin,4.0,M,37.0,Magellan Health Services,0.0,3232636.0
Qhm6240,flrltrf,,Qhmhxtsjsosomeskihxjacrrdkfsf,ZVFBGVMMQLJYTCIQOZUALPFHOPHKI,5.0,R,XPSXXAFRPTMGCLNWTYFGPAUSE,,571.0,Toronto,0.0,U,11.0,U.S. Bancorp,2.0,3012195.0
Kxz6241,LPDLBULMHDLFVVM,K,Kxzkapamns,Cpxtcjkvigyfuf,4.0,O,VBUSUAOZWSITGBEGIFXBGPSFNMWTQRNEPOGKXRDAYDOGQTFUSFIDMAFOAR,f,301.0,Fontana,3.0,U,95.0,Sunoco,7.0,2013971.0
Adf6242,Dluxdhhoornskmwcclovx,G,Adfhmbpwax,GDBBLIBOWCKXISPQNTURKOQAPDRMSPJYRLNXFMVFQZILJGHOZGYMGVCJKSELGNNHFGZBGIAXAI,2.0,O,HFNMDMPQVNAZUUPHUBPQCVZAXDSKZYAGIOQFFHUFZADJOPPEWTWTHWCFPT,,,Chicago,1.0,W,76.0,JohnsonDiversey,7.0,821185.0
Zeb6243,Xiyrdivcxddoavethwjspglkselxh,,Zebqwuprqliofkrv,qcocnvmgbrglepemkvpxpabplesbuhohniapldn,2.0,O,Uobiusfqppjefanksgwfwquddmtrnzwjtvyhmywzremavatwshamchsjfiltjtzmdttretidtwkclhsc,,847.0,Yonkers,5.0,W,36.0,Guardian Life Ins. Co.,9.0,1457409.0
Duc6244,Oqkhmceljitjwppieftlonhqbkcim,,Ducxiwxvqipgelfqijupm,UOSVLXWMNANIMEMKMFPCDNGQTSJWOJNLSPLLEI,4.0,O,Rjhgkdwmkesmsezfxtokncqhoopnfrzfmeaseopdclvwbaalte,F,,Costa Mesa,,W,64.0,Colgate-Palmolive,7.0,3456919.0
Tje6245,Symatgimzhojeryxwww,,Tjeokrkzgvlrocpavltva,,5.0,R,RZQKOIQGPXWSOKIBJPGPYSAJCFKLABRLVYVQAFGFJUTCRVFRKYCYRPKB,,447.0,Los Angeles,5.0,W,73.0,Graybar Electric,10.0,
Jrj6246,GPNSKINUZNMXLMLZODBNPLPNJMUOQ,E,Jrjsihvqeogfgybqfcufkkricpyojb,Rtbbofwpqmlbkkaqczzqrgmaxfirjvjnsufjs,4.0,O,Neljcxjiuhxzccynuwgomfdgkvrfzhmnxlfcprnyuwbecbqlqacwcedn,m,753.0,Worcester,5.0,S,52.0,,5.0,2502749.0
Brd6247,xaloqveirzzyllxmrmsghrtwtr,,Brdaejybkbnvtclgr,difaedqdf,,O,Irtgkjbznhxgukpaazrbqcrutdwtpalhkegkeitwmqybhpbtuiavwuffvqvxxwaugzilnztqzbks,,836.0,Mobile,2.0,U,26.0,Lockheed Martin,5.0,2997086.0
ufa6248,fqfmx,,ufacoqolfwhqmlhm,Lqdzhvllccglvxnwzndywlpsyjlmvslezxapodazjubfqckrumqwjgwam,3.0,O,gcupgxckpemkkitzsatsftiqjyfttolywrjplyoal,,411.0,Peoria,1.0,S,77.0,KB Home,,1399551.0
cvm6249,Bjveglhlqqrqfofxznaircfv,Q,cvmlhsuvczxlzsocagwnwpfirmsw,pefxoahygymsivyr,0.0,O,Wjolmbjerzrktgcdcbhgyxgvmptmtqooshozrprxnycflworiadsckjqgfhamtofxbkdfvstbv,F,526.0,Fargo,1.0,U,74.0,Centex,4.0,2272513.0
lha6250,vwqqnpgcqrhclfylegz,E,lhadaaxqaclnxsrjbqfcrvc,Yfbfwytjevurtjcabrcgwiwgwubgrwjlcyzfqt,1.0,O,,,496.0,Sandy,1.0,S,32.0,Corn Products International,7.0,1137119.0
frx6251,ucjhnmqeoonnanuldchwyhwz,,frxrukvtrpdyesicebbrwsxwwg,zgzekpknohzcsvoijedjtkirgchtvk,4.0,O,iistjvdhxohxkkmrzsavmwzsamykffadya,m,399.0,Yonkers,3.0,S,74.0,Cenveo,3.0,1276461.0
Zor6252,Ryooubeqywawdhbwu,L,Zorbsfobylgdxplkytcfskqgmve,xvkogvffsvfynxgqlskoycbsyqxrpnngerzxcocospiifqpilblblmujoxxwr,4.0,O,KJZXGATBLZYBQJWAQMWLAKDDORTFEA,F,679.0,Detroit,2.0,M,43.0,NiSource,6.0,2251172.0
Ysf6253,PQOWJEXGQIUHPBPAETHYONA,,Ysfqpafitcuzibiivhikiwqwh,Fpjnzfd,1.0,O,FRXOXTE,,606.0,Akron,0.0,M,64.0,Qualcomm,3.0,1513469.0
vju6254,Hoboe,,vjufzxxpdxcnmikuz,Liqmryvlxrnwezntlijvesdbgzfwuuowggntebuzohdizyiwjqvjdfshdjcdl,4.0,R,Vlktteqsmobaugeecqewgdonnhftynyhmunyzgjqnwyfjrokobkrtejbpachbkflmlphwajmpwrnk,,334.0,Colorado Springs,2.0,D,97.0,SkyWest,6.0,2023582.0
Ijh6255,dmalogrluuqbtqwdnmojkomn,H,Ijhuoxfrxllnynbkbiwyqgxuiyvrfa,Ivjljqtnojfmsgprmqqmaeywwlbuyqwwgwcpuempnmnwspiotwqeut,,O,xgogxnomhbbrdbghttjqfpoaeftgomgtbeuuvgepaspesjllldehvxmlunvhlggjmtkmepmmpwzui,f,436.0,Salt Lake City,2.0,U,4.0,AMR,2.0,2573592.0
nwi6256,twhwdhzqbaqba,,nwiqvrpz,Xrohdesdswstrsktvkhykvainoalsvkd,4.0,O,Odjwjcqcbaumtbniue,,427.0,Cedar Rapids,2.0,U,90.0,Retail Ventures,2.0,3473502.0
Osi6257,MNTMRVQDGOXLXWKDAA,,Osizt,Lolcexsofgyawnwkybxwnuozt,5.0,R,Bqhxqvjqerej,,761.0,Cheyenne,1.0,M,93.0,Insight Enterprises,3.0,2148688.0
Qgv6258,Peyuxdxkyjotzzu,F,Qgvxiqrtoekhhfjehjqnum,lqdgpsifhpefkvvgpbfisaeeqhurjwuwjperidibrzwycznegugqozbhwx,1.0,U,Hlgllleybzxtlkpvydcsct,,,Orlando,2.0,M,2.0,,5.0,533465.0
wnm6259,Xzoyzsnhfkxkvdiorvcf,f,wnmvorsynxoftlhttxpdqayuk,OBEKGGRJHCCMZVQKEDPAJJRVWVSJBSJFLSOFBQHEAFYTUSKCUNRLFRWGWXPZNJZGJXMKDJSFW,5.0,,Txqkdgvyiqblpugsjcsat,M,540.0,Springfield,0.0,M,55.0,CHS,8.0,3462982.0
BIM6260,XGLIZRML,,BIMCGLEGKXEGVR,IEPKFBLXQKTXHPSOTRMJKXPQLKFFVSYRNNNQBDCYMLWTTMNKDTPVJNJWYFEF,4.0,R,UGMFEREJSH,M,363.0,Honolulu,2.0,S,20.0,Torchmark,1.0,858434.0
ily6261,rrjaju,X,ilyjtlrxulp,YQYAHLWMHEYCKRUGOKBBZIPFEDMJKRRKBPYIKUSHJHGHCFFPAHHPAHZJWVCCUDHGKG,5.0,O,modhhzkfjdjihlsqhwvgwtrsijgujjksutmnqeb,Y,523.0,Jacksonville,2.0,M,89.0,Warner Music Group,1.0,1582954.0
vim6262,mbjofxk,V,vimcssofuesj,ACOWBGGSDTBVBOJZIDRQYYJXFHEIFVBHO,3.0,R,QBSUMWWCRHJLBFQFTOXBSSBJRRF,F,608.0,Irvine,1.0,W,84.0,Applied Materials,0.0,2554833.0
Zrk6263,Yyetziuznzaozkvt,,Zrkuobqusxs,Invrvahpylfbmuikjfmigjurqzuovdgjjgwukwwdofqf,0.0,O,Otafhmfgoqtxojgpmkfddhwtndcjhlisubt,,309.0,Tulsa,5.0,,90.0,Monsanto,10.0,3510023.0
DKV6264,Jmomwwnmarvvlobqgmjzicx,,DKVPAHDRGW,Mxjuuvrx,4.0,O,gblbxfkkpxuleodoxqcummxtpbhy,,,Garden Grove,0.0,M,8.0,Amphenol,4.0,3769173.0
RTA6265,ojhylorijhgselommcnw,,RTAXVZUHAH,nkircsxgibmhnmgirefydo,1.0,R,Vufyewotmaeftntxxfd,K,583.0,Shreveport,3.0,U,9.0,BorgWarner,0.0,2917572.0
hwl6266,TLCCIYQUHGKDCQRCY,C,hwlnwqrrketsghqf,DIMVKFVWAGQCGFUSVYWIIFTOJSTHSJOAUQFKNJVVDPWZJCEGMFFFTSSRRJSNOAQXPQKWSA,1.0,O,HBQMUACWCGSQXFRDRFOGMXMOLMHRHARREGZKUQJCCDHPO,,653.0,Frederick,,,64.0,KeyCorp,,2574445.0
Aef6267,XOQPIEBZGIHWJGOXGHDLWVAMRUACT,x,Aeffmiywfqivqa,Wbkczymblmjgigmgjwowjmqndlxrlxnbsmmrwamwlwmmmdtxedszuymdfosezwedqjixc,1.0,O,Vecpnwgpymowphhsap,,378.0,Hollywood,1.0,M,69.0,Black & Decker,6.0,2225905.0
Gfm6268,Nnzzjbmbjtlsqiadfhqgiseu,,Gfmnmachzwvnmyy,Ecveleqqwpj,0.0,O,BJLAKWJWWSWTRQNWJIIBEYYMGSLUQDKRFQBECEMMOAXHNHSGJ,M,843.0,Elizabeth,0.0,U,96.0,Markel,8.0,744242.0
NGP6269,QIORCPQPINOTCOULWDZPSJBP,O,NGPSSWOIBOALVIYERLBONA,Zpixfjlgqowsrlazfjbvozrcdqtuazkpo,3.0,O,ADYBOQKQUDIDHZOAFDDHVFSEJOPMIJ,,662.0,Vallejo,1.0,S,10.0,,7.0,
Saj6270,Rhsgqblhthhzsdedewlhfu,r,Sajfwfokievszlggjqfdazyxufl,Ngijjbpphsykhldkwptebaojgjjnegazdwzupuwqjwciwtotcjuqrnmqtxthcvp,1.0,O,,F,710.0,Des Moines,0.0,M,28.0,SAIC,0.0,3861186.0
bjh6271,hjpnmkuevoidyqfhqkb,,bjhgspwqxkytkuayqikkzqvvl,Xisqfkauzhilgqz,2.0,R,Bhepfwpfugoetdynqiwuuaewrnszpfblzuofgwnrkkwurnskwilhfzwripssc,m,701.0,Dayton,2.0,M,74.0,Charter Communications,0.0,1056585.0
Dne6272,Qieuctzzn,x,Dnesvforonkhpkqlyhcshtu,Lovqqtujapzxntsybngxuxdgxowiqztznxkzgffjuxulwueuqlg,1.0,O,Rdnfn,,706.0,Baltimore,3.0,M,82.0,Expeditors International,1.0,2403570.0
EAD6273,Azbhpqycfqvrfwhyfeeubtk,,EADWMEFFLAGCJAFMQPCBZDYOJXQ,Reluavqodlabfjeccnxhjhdpzdfimzxzpnniecpugcduayavaqzirdubl,3.0,R,NTHUMXUYPMBDRZNQ,,741.0,Fort Lauderdale,2.0,M,17.0,Avon Products,9.0,3961210.0
Esi6274,Ewnlcamshghoqrla,j,Esillpp,YFZCIWJQHHZNTNKOYRZYZAUONKRKVIMMUNNXARDIKURRSKYTOHGDZQWGZPZWBNRTSXCMK,1.0,O,apybxbqgzkmrtrzjjjnqlmxefvmnshwauwtaoiugglbmeyqtyhtysgbafisquyhhhp,M,,Oakland,0.0,U,86.0,News Corp.,2.0,2779567.0
Ufo6275,KVPYFAWINYBNVDLU,,Ufouxeug,xtawxwqfmugchoufv,1.0,O,Zqkrhudqfonapygiiggtlbz,,,San Diego,2.0,W,71.0,Cliffs Natural Resources,5.0,2580741.0
Jxh6276,lomofzadqaufqchhb,A,Jxhtphpbattbvrgpjuffagcucy,ojwjtgmxbizyxhabnatzjpgckeofc,0.0,O,xzdjdbkkx,m,461.0,West Valley,0.0,S,3.0,Western Refining,6.0,3449731.0
Yxm6277,Ltnlbmeefllmpgqmkouig,R,Yxmtydiwlwjsccucsfyxa,Yjmymqwcpxifjxaylsejuhfntgccctqswwuckfrdyuazpvqpaatuwvrcqtilcenmldcdocqtp,,O,Vlbmrpkgbpkadahcwqsinunduqqyaaiinnrrnepwp,M,499.0,Columbus,0.0,U,49.0,AMC Entertainment,7.0,1721006.0
Zaw6278,grhhfwuddtcfavroiqxxptdt,Q,Zawssicjrqxpaqzbxczswgubasaac,opcijmxiqootzwwfihwtzhxgbjvamtacgojhtwvzcietcaknveasdtaaivnlfiikbapa,0.0,O,JZINAWCIFSWDNWPSOCNHJIFZDDETPCQIORHPVXWWZLEWFKWZNLNVOBLYGSETBVNZVXMXLTMSRBZHEYC,m,468.0,Vancouver,4.0,M,,Pepco Holdings,6.0,167494.0
Xvy6279,xlqzzdqnixciu,U,Xvyymciwxuepfhrqwmwlqfd,UJMJHRIHEMGRDALYXSSEMNMXVLTPWIYA,3.0,O,rtivpemiajuextlyfhvgdrmjfhwdfdemjikfkvssq,F,,Fort Worth,4.0,S,52.0,Manitowoc,4.0,478397.0
ggl6280,XNZHBRLMSZ,,gglbgur,OHXSSKIHDMPUUJJZXVJHJQCA,4.0,O,Ltolaqmgarxuwfrlchdbptgdwbqsnnqljnchapj,m,340.0,Cheyenne,4.0,M,79.0,Dentsply International,6.0,378153.0
Xva6281,uiuqmc,,Xvaezcmpeb,Ksugudoxubcdkzqoztxeomtcsavcugxlqinlmjbwmmktgxqktbqcidmsury,2.0,O,Jtdxqcptortlnfgcevcqrihbvvmpopndwbsaujafeckwbpgcjoprlyjuih,,335.0,Kansas City,1.0,W,89.0,Legg Mason,5.0,3543021.0
Zqj6282,zjfrdoivznwbiopgoitcamwmsgywn,,Zqjchvobziwmt,Aodqxwekrncptotiintrnrnppgjhwwubornlbltxfbmyqcgoguafjbeotlaqphqeibxp,3.0,O,Ijqzatmpdrpdgoxkxphrjvvfumqqqcdtkgzftpwlhclwhtdvwp,,415.0,Missoula,1.0,U,14.0,Sherwin-Williams,10.0,1229308.0
Vjz6283,HXBNECSCXWZQEGBRS,U,Vjztq,vrprhcxfiriydrorxgsspffmpkwpl,3.0,R,Xcpsrvhebsskfvlblrunxyomuzyfefvlhwphpagqwocwbkhevepgalnaoqjieljvpphznmikkuxwg,,795.0,Yellow Knife,1.0,S,13.0,UAL,0.0,737899.0
Zrh6284,NQUQOJNUPILU,D,Zrhskqkvaza,PXTOTGLQBMIWNWSCOPFJBCMHRTBFSHTLDUSBPZJYRS,4.0,R,KBMEAISSQWCYZOGAIOBARNZXNUHRXOQPAYBASLKIHNPTGLCUEOIGCGNDDDYIQSVQQNVRJDXVJD,,579.0,El Paso,1.0,S,60.0,Lennox International,10.0,266728.0
zpc6285,Xbcdooixvnzaezjufbazjvghcopp,o,zpclkhuobbckunikrzqmcnaqywgwum,Tnfvgghvljqdbcondzirhmsiuxminuaseyvcmx,4.0,O,wkuffkdjdqjwiexshqnlbekwofaedxbocdvdmoprpovorxqxgwwanrkmmhxlweqqsxkgiervm,F,507.0,Oxnard,1.0,S,82.0,Target,8.0,1067686.0
LXA6286,Hqepyhlax,,LXAXGKZTTK,gbspvvjqyknllpasidbojkualuhszibagboatluybyomsxriwennryfxjnadjb,1.0,R,,,489.0,Oshawa,4.0,M,83.0,Nordstrom,2.0,1574915.0
HLH6287,Ewlhojmgbzhwbticc,,HLHRQHFGZPRUQHPBAOEODLVNW,FPFVZKWKAURBLTJOXQEZPXTRIAQUPSVJDUHHPHEZDLWTMVJWNZWAGJQBGRVLSELRDSDGUUNDJSIKD,1.0,R,Lkizlmghbhuzjfgcbnengkmqqitmwwskegfwrmiyhbuslqevfzjawcknpkxiqznjggbxnuttnmaceag,m,741.0,Lowell,3.0,S,46.0,Nordstrom,7.0,262527.0
LQV6288,LNMQD,,LQVTYSJCMRQHEQUBXFXYVZAXABGTDE,VSEEJFKITARSYCLSYHXCPNJWMGEU,1.0,R,Ouxxoboor,f,686.0,Fresno,5.0,M,38.0,Mutual of Omaha Insurance,7.0,1489216.0
Whs6289,hkzonebjphkuj,z,Whsvnkxmfmwgpktkqzcsdg,Gaswnx,3.0,O,Bgyuwzdcakymmdvykkblzncznymwcnfavfrehoivikvyjkhptchjllyklneeqcukz,,733.0,Toronto,5.0,W,,Biogen Idec,5.0,2241346.0
elq6290,ykgqmpi,w,elqseajuqjqd,hyagffcxyvusvxjvrewucupqtvumblegnehaduuwmdjjwaxhvqsaytshgmpwfwphf,2.0,O,Wurjcyvhxsdhotfovwvvokkbpblx,M,669.0,Hartford,2.0,D,47.0,Mettler-Toledo International,2.0,3904529.0
