prospect_AgencyID,prospect_Income,prospect_City,prospect_OwnOrRentFlag,prospect_FirstName,prospect_LastName,prospect_NumberCars,prospect_NumberChildren,prospect_MaritalStatus,prospect_Age,prospect_CreditRating,prospect_Employer,prospect_NumberCreditCards,prospect_NetWorth
Jgq10660,10687.0,Paterson,,MGGAXCQBOKL,Jgqyjatlx,5.0,0.0,W,93.0,509.0,Huntington Bancshares,10.0,2766792.0
uof10661,427259.0,Coral Springs,O,XOLPSNOSLEMV,uofkiflrpzpnwnvpqkhelgplfz,2.0,4.0,U,11.0,543.0,Int. Flavors & Fragrances,2.0,1302869.0
Nti10662,322299.0,Cincinnati,U,Elcdegmdupudqzv,Ntihyhrhuvybwtysmnpaqlpcxhmuc,5.0,5.0,U,59.0,432.0,Clorox,2.0,1964514.0
hqf10663,343723.0,Santa Fe,O,Ggcptff,hqfqcqvumhhsgwbtcmcmk,,3.0,D,20.0,501.0,Pacer International,2.0,3207419.0
Teh10664,17335.0,Lansing,R,TWXKGXUITVXNEXAK,Tehsxatrbdavtdqzkeil,4.0,2.0,U,76.0,,Lincoln Electric Holdings,2.0,2225957.0
uam10665,247974.0,Abilene,O,FCBVWBHMKFYPDSHORYNX,uamifgdhmsohhiclzywfqezrzosr,5.0,3.0,U,6.0,303.0,Regal-Beloit,4.0,3361201.0
Knr10666,,Pittsburgh,O,ycdbmrmnmisexkpxlfifukknwxlw,Knrdccg,0.0,1.0,S,47.0,711.0,Calumet Specialty Products,10.0,2018684.0
Mup10667,349814.0,Glendale,U,ALAMUBJXAMPDKLASLHBOR,Mupqektqzfmqwr,2.0,2.0,,15.0,524.0,Jones Apparel Group,1.0,1401703.0
Mxk10668,466843.0,Arlington,O,Dqcxlefgcbudfkafttufjopupgclta,Mxkcbgrsviouinogdxnhwsrdno,2.0,5.0,M,22.0,370.0,American Financial Group,8.0,2042865.0
Izn10669,295174.0,Albuquerque,O,Ipsxpvrunmluwffmuqkecxlmtlbfyp,Iznbxaeevoyhvxkskqsjdzvtpxpqb,5.0,1.0,,73.0,441.0,RSC Holdings,,1128183.0
Rye10670,99833.0,St. Catharines,O,Vpgmgtkxrjudcxtjxfuxy,Ryeuraucwbpw,2.0,1.0,M,97.0,382.0,Northrop Grumman,7.0,2806790.0
PJI10671,459514.0,Columbus,O,Mkwwah,PJIBGQXCAGDZA,4.0,3.0,S,4.0,,Navistar International,10.0,1376620.0
NZT10672,,Brownsville,O,Fljmcudmjrlcbfhcuiougtqffr,NZTMLEPNKYGYMOMCFKNBC,1.0,1.0,M,43.0,565.0,Piedmont Natural Gas,6.0,1753851.0
Tzp10673,118421.0,Scottsdale,O,Yfdcyhzwfwc,Tzpnmpbenpvxp,2.0,0.0,U,0.0,784.0,RBS Global,1.0,3902623.0
YYC10674,431261.0,St. Louis,O,xsdgxzrccwlrfmcsvcmapfq,YYCGFROVBRMARDTVORSPLANMCJP,4.0,1.0,U,20.0,321.0,Children's Place Retail Stores,3.0,
KVU10675,266065.0,Knoxville,O,jbbnjtnqafxhsxrcjsdq,KVUSZKCA,,1.0,D,88.0,510.0,Nash-Finch,9.0,3195125.0
tdp10676,138491.0,Regina,O,KHDBUUNSSDJFWGEYHCSENJP,tdpktbpbnhkqgzwqcpar,,3.0,S,100.0,,Aleris International,4.0,1551443.0
OJF10677,125888.0,Raleigh,U,Ynnyxcrbuwmxx,OJFZGKQJURJKJDMTJUTMKYYBWDUCWM,0.0,0.0,W,81.0,605.0,Graphic Packaging Holding,6.0,2385003.0
Oij10678,399369.0,Hollywood,,Chekdwothvouorjlvjwmjaz,Oijdxlnwxbya,0.0,3.0,M,31.0,581.0,3M,0.0,1277355.0
Okg10679,456632.0,Lowell,R,HBVHDKASKMDNNHHVHYYKOIGYRT,Okguwtyjcjhgrabqhgkhxn,1.0,2.0,S,54.0,359.0,Del Monte Foods,2.0,2545601.0
Uxq10680,86230.0,Simi Valley,O,niqfvzkgntuq,Uxqhgzobcdecjuiwcwviwf,0.0,4.0,W,4.0,741.0,Valero Energy,8.0,1569151.0
ntz10681,180310.0,Sandy,O,kwxquxilvpyhdmxqfhghv,ntziitsjcjbssybwbe,,1.0,S,45.0,579.0,Amerigroup,8.0,937850.0
IXV10682,254789.0,Simi Valley,O,Wsrtbbdz,IXVDSFYTKGNLJI,3.0,1.0,W,0.0,815.0,Covance,7.0,2832973.0
Azf10683,21722.0,Pueblo,O,Viteyvplcaxbnmnhvvitpie,Azflakyjfky,0.0,3.0,D,1.0,384.0,Coca-Cola,10.0,2354556.0
Dkt10684,385325.0,Salem,O,Cmvbitpkbbotzsqdinvv,Dktffymrljirakfmokfijnpvd,0.0,1.0,M,13.0,486.0,Dollar General,8.0,2808378.0
PGY10685,,Sudbury,O,FVVRBZP,PGYDO,5.0,0.0,M,73.0,680.0,Benchmark Electronics,2.0,3482900.0
Eew10686,224373.0,Charlottetown,O,Uwziripwaabobpvhmhbagbpeprjvpq,Eewutkghdxgdgyosmtryonjr,1.0,4.0,S,87.0,374.0,Molson Coors Brewing,4.0,
CQF10687,385033.0,West Valley,R,Tscru,CQFYRLFXDNVAK,0.0,2.0,S,57.0,754.0,Beazer Homes USA,1.0,2645217.0
Iuw10688,152857.0,Fresno,O,afkeilkpbrenflvcozywtwcbcirgkr,Iuwdbvpcdelwg,2.0,4.0,M,31.0,396.0,AmeriCredit,7.0,696462.0
KVG10689,474898.0,El Paso,U,YCRXNZXLNJFSBNDZOOHYDXIOO,KVGOEAQ,2.0,1.0,D,67.0,736.0,Winn-Dixie Stores,3.0,71100.0
ncr10690,196896.0,Hay River,O,Susadfjfcay,ncrizal,3.0,1.0,,57.0,625.0,PG&E Corp.,10.0,3563168.0
Oiu10691,92602.0,Oceanside,O,pwoqdvmttsmdbvurqcdijtunqvoctl,Oiuhxtsmlmdmxlfh,1.0,1.0,M,,718.0,AnnTaylor Stores,2.0,1732845.0
Veo10692,252395.0,Chicago,O,TJIZMGRNVDYQDBKCCKWFABHGGW,Veoskzrtzcnwj,1.0,0.0,W,19.0,636.0,BMC Software,10.0,61753.0
euj10693,54769.0,Riverside,O,Rfcma,eujpzodoopraktslonylhcsazqp,1.0,1.0,W,91.0,800.0,Kellogg,4.0,3864531.0
Wyh10694,49681.0,Portland,O,Kdemuvddosactji,Wyhpztdfosncoyu,3.0,,M,44.0,567.0,,7.0,774607.0
Oka10695,417102.0,Chula Vista,O,zcefsrpgecgusvwfmtelsdptbst,Okajmmxrvpamgugkwidhylpnrx,2.0,1.0,M,47.0,318.0,R.H. Donnelley,8.0,3965693.0
nae10696,336306.0,Hay River,O,PPOOBNXSBN,naeubeazanp,1.0,4.0,M,86.0,829.0,VF,7.0,2617902.0
Kij10697,244927.0,Warren,R,Rqystpvdazn,Kijlvtwcvotnjtjyescejhbzc,3.0,3.0,M,81.0,355.0,McDonald's,2.0,2951800.0
KRM10698,152035.0,Shreveport,O,DYQDSBEHXBYOLQRVFLSDHU,KRMEAPNSSSMYLW,2.0,4.0,D,43.0,307.0,J.M. Smucker,9.0,695719.0
Exm10699,289616.0,Syracuse,R,Nedalptqztpzqwvodopohpcmbevxj,Exmrcfcbafyjf,1.0,2.0,M,90.0,460.0,Cisco Systems,8.0,1723542.0
Hla10700,270430.0,Escondido,O,Pvurnwtqscspb,Hlabhsbpfiftugugscrlmslv,5.0,3.0,U,69.0,665.0,FPL Group,0.0,2163859.0
htz10701,327799.0,McAllen,R,Ptungabtfanrpgtndostrvnstrlkn,htzemggdnuopg,5.0,4.0,M,9.0,671.0,Granite Construction,6.0,981461.0
LYO10702,274201.0,Mesa,O,Tnbwlnoxlepynmfqkljhtvq,LYOKRUJTBWICLQENXGXXMFXVBSIA,4.0,2.0,D,60.0,784.0,NCI Building Systems,5.0,368450.0
Fea10703,429490.0,Hollywood,R,Ogxgehvrlbf,Feapfpzgksxxqzgcn,5.0,4.0,W,89.0,765.0,Level 3 Communications,8.0,652886.0
yrx10704,471840.0,Mesa,R,Irtwayadlmyltlvvwohfinueolwu,yrxiznvstrirmqsflcxhe,2.0,4.0,,,810.0,Granite Construction,10.0,1160944.0
Pfr10705,77378.0,Miami,O,Rulfeidatrokbwmlowaql,Pfroozbxlkkfezvgvzgpsfba,2.0,0.0,M,61.0,331.0,Big Lots,2.0,3104664.0
GNX10706,432869.0,Fremont,O,Jxjavpalxtfmyytjlwfwxjbttpvxa,GNXNXCHCENFTCDTLKGWXTYI,0.0,4.0,U,18.0,839.0,Wells Fargo,0.0,2049112.0
Djt10707,152563.0,Dawson City,U,JHVQDGPHNIZILOHSBRRHCRU,Djtuutceel,4.0,5.0,M,50.0,824.0,Synnex,5.0,2024417.0
Kzf10708,278503.0,Yellow Knife,O,FGQUXMGMEJAVYXPPOFMOZEPJNIN,Kzfutrdsxhzloqgsrxi,5.0,0.0,M,61.0,555.0,HCA,0.0,1256576.0
Xal10709,301318.0,Boise,O,NYCUAQKZQ,Xalklkhkivgcfjtxxhcrltuxysi,1.0,4.0,W,99.0,626.0,Johnson Controls,1.0,
JKU10710,453493.0,Mesa,O,Hihhzh,JKUMWNLZUCCRAEPINBCXACVBVIC,0.0,4.0,S,24.0,311.0,WABCO Holdings,,
Chl10711,242476.0,Jacksonville,O,Xrphgmlxbdfhsqcb,Chlkpowogfacpsmdr,3.0,0.0,S,91.0,,Bob Evans Farms,3.0,3804324.0
RHQ10712,372124.0,Whitehorse,O,Ydfnxjhp,RHQWZRJJYKVFWGEBYVMAX,3.0,1.0,U,88.0,742.0,Capital One Financial,4.0,1863409.0
WKD10713,187039.0,Des Moines,R,Vrnburqkiutkntvnwoak,WKDQQEQZJKWCCONYMUZRZUDBREMHL,3.0,,M,21.0,694.0,Core-Mark Holding,4.0,108511.0
cik10714,357994.0,St. Paul,O,Ycipulyxxlkugro,cikvequqouyjpdorq,2.0,5.0,U,100.0,435.0,AbitibiBowater,0.0,969264.0
tji10715,,San Bernardino,O,Dtrebbwvkmjidqrcd,tjiqjrcu,2.0,1.0,W,51.0,654.0,Raytheon,3.0,60014.0
Jrp10716,266012.0,Brownsville,O,LSQFWPYFFUTJWJNGMPSDFYEVUELTP,Jrpled,1.0,5.0,M,44.0,692.0,Northeast Utilities,0.0,576906.0
Odm10717,85620.0,Garland,U,kacddbnfokyrfsygkvbzubsactmv,Odmzvfdmpjasmkgomgcawxn,5.0,2.0,D,38.0,635.0,Chemtura,10.0,2352148.0
Wxc10718,151845.0,Jersey City,O,Gxkjuffurx,Wxcxlevuowqbybimmpxkbr,4.0,1.0,U,42.0,465.0,Lennar,6.0,1093757.0
HMK10719,402959.0,Huntsville,R,EYKXG,HMKHLFHAGVOUFPJWSPOTLCQWGER,1.0,0.0,S,36.0,615.0,Peabody Energy,1.0,2672519.0
Oup10720,306303.0,Garland,O,Ecenebxwvlszhaedsnqhfbt,Oupdxpdwkamrfbcvlpaynxkrsmjlrt,4.0,1.0,M,25.0,777.0,McClatchy,,3934330.0
jcq10721,285455.0,New Orleans,O,Chhjqnldzd,jcquezxwei,,,M,57.0,848.0,KAR Holdings,8.0,805347.0
RJD10722,437267.0,Independence,R,ARFLDGTVGYMGFSXDKHLVDMUKX,RJDFZVUWTXSCKDJNOHXWCLIJHTN,5.0,0.0,U,75.0,363.0,Cigna,3.0,2881988.0
Uul10723,127466.0,Baton Rouge,O,Ylhjvkywhltbcfc,Uulhrgkcjcnmamdresvlivwr,1.0,2.0,S,77.0,772.0,Macy's,1.0,3208641.0
Dks10724,374018.0,Cleveland,O,Hkmsfduug,Dksuakkqvhxwdojubmd,2.0,1.0,M,45.0,530.0,General Growth Properties,8.0,503064.0
MHQ10725,1468.0,Macon,O,limudwi,MHQGBEBEQQNIKUOGKIPHRQXHYJMLA,1.0,2.0,M,15.0,534.0,Sonic Automotive,8.0,3195180.0
OZM10726,450040.0,Charlotte,O,Zlmtyhsodw,OZMWPTDERG,2.0,2.0,M,3.0,717.0,Southwest Gas,9.0,1044054.0
dhc10727,351830.0,Charlottetown,O,Qaajjvtpgdkx,dhcsjmvaeedkwjjxcf,2.0,3.0,M,14.0,493.0,MeadWestvaco,6.0,881584.0
Yvf10728,365119.0,Oceanside,O,ppoug,Yvfdkzfblrsjhwbyn,0.0,2.0,M,12.0,789.0,Baxter International,9.0,1849521.0
Vlb10729,239852.0,Santa Fe,O,bswbf,Vlbokmoxgbaxabvidvn,2.0,4.0,M,23.0,440.0,Pactiv,3.0,3625828.0
nbf10730,22805.0,Rancho Cucamonga,O,Oimmcmssmumghuajg,nbfixlkvxgwrfsvpllsxhuft,5.0,0.0,M,46.0,568.0,GMAC,10.0,2943929.0
BXH10731,344647.0,Santa Rosa,O,Duwsyustszephzrspihmtugkja,BXHDVTJTIVR,4.0,1.0,U,87.0,424.0,BlueLinx Holdings,0.0,659284.0
NND10732,79461.0,Mesquite,U,Xqolnorrhjnwqrwfm,NNDVW,2.0,3.0,U,29.0,582.0,NII Holdings,3.0,2203511.0
dui10733,481235.0,Yellow Knife,O,yyhhdnnsxuenqwqspqvjwmcbbcoukx,duieqpgmbmpsprcqjitkyhar,0.0,,U,78.0,821.0,Owens & Minor,9.0,1773544.0
pdo10734,72336.0,Philadelphia,O,Ghwhelkbruz,pdodoc,3.0,3.0,M,96.0,763.0,Alcoa,0.0,2253227.0
sha10735,395245.0,Salinas,O,idyfuqgtvbwdqcliukxuq,shazjdnfpo,0.0,3.0,M,37.0,448.0,Hexion Specialty Chemicals,9.0,2139352.0
jpw10736,156674.0,London,O,ucewmwwblnsyjctzbp,jpwxqwafqccxwcdbartieaf,,3.0,U,,451.0,ConAgra Foods,4.0,1001997.0
Wpn10737,498757.0,Fayetteville,R,Mmulvgwcuxuqxcopopugtkxa,Wpnrqlpbsnprwsmih,4.0,1.0,M,25.0,352.0,MPS Group,4.0,1550816.0
cbk10738,238026.0,Mesa,O,njahg,cbkkwwpkakehndcsehzoditydm,2.0,5.0,M,28.0,558.0,Precision Castparts,0.0,3843181.0
kcr10739,139569.0,Fort Worth,O,ppietxhybtiuwadpuchxrxvrt,kcrhndvuqwubmyhjecjfhvidasd,3.0,1.0,M,98.0,330.0,News Corp.,4.0,
Kha10740,309433.0,Ottawa,R,Lqbxgjxatqpcb,Khawpcajlzrjdgaitrloh,4.0,5.0,U,83.0,689.0,Arkansas Best,7.0,862766.0
Vgi10741,328976.0,Fairbanks,R,Wgblfbzwvnj,Vgiwdkyjtjjdxjs,1.0,1.0,U,65.0,765.0,URS,6.0,2882674.0
XTJ10742,240436.0,Grand Rapids,O,Sgwthiiamzipthpxbtoqv,XTJCKRXLUFIAQEBEPQPHUJHUXTILND,1.0,5.0,U,73.0,627.0,Plexus,8.0,398997.0
smn10743,108929.0,Newark,R,Vbrppkpepfpua,smnqqaxmfxxqtpkiggiez,1.0,4.0,U,9.0,490.0,Oneok,4.0,2444841.0
ADL10744,369083.0,Riverside,R,dmxxikprvrsqg,ADLTQPKNZBMTAQ,3.0,2.0,S,39.0,533.0,Pacific Life,4.0,335347.0
Lup10745,337809.0,Ottawa,R,Qouqpuynxvtfzxqhutgivifqguqf,Lupxgenghzikwwjkqepujxjteawkui,2.0,,M,100.0,641.0,Western Union,3.0,3782643.0
Xua10746,268059.0,Boston,O,Mmenpqljqaufwdkwnbomjomdmzd,Xuaruehuuuixcckuzetzveg,2.0,1.0,W,2.0,510.0,,,2285956.0
SLO10747,443817.0,Tucson,O,Pohveleigvnv,SLORSWVNEKKXRIFWGXERSPOS,5.0,0.0,M,83.0,416.0,US Airways Group,1.0,377971.0
dra10748,465516.0,Charleston,O,tksuibroueazbexodcbmo,draxwtrejhuzhfwteshutvihzyszk,4.0,4.0,D,83.0,391.0,NTK Holdings,1.0,325843.0
mav10749,368247.0,Bellevue,O,Ckmqghvlakanmepsc,mavjtiswvpseqzih,5.0,5.0,M,32.0,656.0,AMR,0.0,1910979.0
SPR10750,162103.0,Regina,O,yqeigbsldvnkmsxwahpexjdxf,SPRRKESXFTSNHUXBPIBXPMPKAM,1.0,,U,,405.0,,2.0,1411715.0
bxj10751,479067.0,Calgary,O,HPPOSWOHXVRBKEFUFJUQGOPKD,bxjmqszrkgjsitcvkezjdphjuokl,5.0,5.0,W,52.0,507.0,Continental Airlines,3.0,1049873.0
Btd10752,216160.0,Columbia,O,Bpkdze,Btdqcyxfoequogkyrmunyctbuvq,5.0,4.0,M,85.0,445.0,Anadarko Petroleum,4.0,1401810.0
XUH10753,301138.0,Peoria,O,Ruglzutdftiwcvmtt,XUHWOILKQPFRAQGDNPQKGVEGHIONSD,2.0,0.0,,76.0,669.0,State Farm Insurance Cos.,7.0,2971933.0
nja10754,237470.0,Jackson,R,OJPAH,njattghlangapmrjijifxpurwaippa,1.0,5.0,D,59.0,483.0,Paychex,6.0,2539385.0
YBW10755,175033.0,Hayward,O,Jygsnlnowpiqlm,YBWFUHQSDUUZVXRJJQMPHDNT,0.0,2.0,S,99.0,486.0,Community Health Systems,2.0,2797149.0
ojr10756,130402.0,Winston-Salem,R,Bcccwpwprtj,ojrwihdbnbwgykeewvpo,4.0,4.0,U,32.0,415.0,Merck,5.0,
Jxc10757,47190.0,Halifax,R,sjlrrgbdv,Jxcvkfgwgvzthvbpxjdfbwofacgp,3.0,0.0,S,67.0,577.0,Dollar General,1.0,3813587.0
HHQ10758,344616.0,Whitehorse,R,Rokhndnbpjphybujxj,HHQMVCH,2.0,0.0,M,6.0,601.0,Hudson City Bancorp,0.0,2954169.0
XNO10759,186412.0,Montreal,O,WQQUWPKULEXUQOOAEI,XNOYZHYEVNE,3.0,5.0,S,22.0,504.0,Darden Restaurants,10.0,1193300.0
Kjn10760,113792.0,Lansing,O,YGLTYDOBROWWYMMXYELLSN,Kjnkvdix,2.0,3.0,M,21.0,413.0,Murphy Oil,8.0,574347.0
Vqk10761,289307.0,Independence,R,ttpqxttfxjx,Vqkhnmxqvnpjxgzc,5.0,0.0,D,87.0,778.0,Jones Apparel Group,6.0,3744118.0
XZB10762,6882.0,Chicago,O,VLZUMNYLMRLNAUQNBUO,XZBUYKYLGJJWGLAAGS,1.0,5.0,,96.0,308.0,Marriott International,1.0,3583201.0
ldv10763,311727.0,Charlotte,U,QGXWYDRNEJNRRKZQLTEUTJ,ldvhqzawaumoilvayevhy,5.0,2.0,,3.0,446.0,WGL Holdings,0.0,2748619.0
Ili10764,494245.0,Tucson,R,Mysnfqfwx,Ilinupnbzbxbizd,1.0,0.0,U,88.0,398.0,Praxair,6.0,2383008.0
syu10765,298683.0,Idaho Falls,O,Howdpifccmfwqksiaer,syuazwqbwmbyncliztjjwjxxszcfcu,2.0,5.0,D,18.0,695.0,Briggs & Stratton,5.0,
Xac10766,419170.0,Los Angeles,O,Tzbpzleidtohipwlqvia,Xacnxshxxxonbgqhyhsbnqiogyk,2.0,3.0,M,67.0,806.0,Capital One Financial,8.0,2137214.0
Cti10767,348664.0,Glendale,O,Zboulrxpwouswdmmx,Ctitfk,4.0,3.0,S,51.0,340.0,A. Schulman,6.0,1031354.0
Nzr10768,427181.0,Oshawa,U,Lbblg,Nzrioicpzwau,2.0,5.0,S,48.0,678.0,RPM International,3.0,499467.0
Mtw10769,474270.0,Tucson,O,Obtmhvwmhmwtles,Mtwni,3.0,4.0,W,5.0,359.0,,5.0,3514240.0
phx10770,88560.0,Vancouver,O,Lhtsqmhrqyiffxmkbuvqe,phxrhggyahx,3.0,4.0,D,44.0,501.0,First Data,7.0,1876487.0
Vmy10771,457134.0,Norfolk,O,tfieaqbfmhcbicgowmxxjmaj,Vmyxbvkcsemexumzzwpsznutdtq,4.0,3.0,U,15.0,460.0,Domtar,9.0,1952058.0
Xsi10772,6358.0,Oklahoma City,O,skslrcknjpmgubzkipikvodykxwj,Xsisadxodbwwsyaivstmgnl,1.0,3.0,U,89.0,728.0,Applied Materials,10.0,909405.0
uxr10773,418302.0,Iqaluit,,Xmarfrwuzixti,uxrpbxvizexdljtpweduts,2.0,2.0,S,50.0,659.0,Kansas City Southern,10.0,
Mxr10774,139285.0,Lansing,O,CUZKZ,Mxrfgkpbfbylulymxvsczdx,3.0,1.0,S,22.0,411.0,AptarGroup,2.0,3700638.0
Cvf10775,292021.0,Lancaster,O,Qydjlrvhxshwusdnnvxsmkfqt,Cvfiypstnzgaidruucsgmxohjir,3.0,1.0,M,28.0,369.0,CC Media Holdings,6.0,1306319.0
Suy10776,210830.0,Aurora,U,Hvajaxuukird,Suyhsllijppwhoxk,,0.0,,46.0,394.0,Interstate Bakeries,6.0,150233.0
GLY10777,109434.0,Lancaster,O,Jhomqfbhkfpmrwzubndsuwwbtntli,GLYFSZZLQ,1.0,,S,36.0,339.0,Levi Strauss,3.0,
Ape10778,12476.0,St. Catharines,U,kzlfxlxxmq,Apeyfsxnnukxcayulaqiswc,4.0,2.0,S,50.0,547.0,Merck,10.0,3155265.0
vpq10779,84193.0,Warren,R,Oscfladctbwdsjrlvvwqqxobmbhbz,vpqhfejpdtwszrh,2.0,3.0,W,16.0,702.0,Vought Aircraft Industries,9.0,2143598.0
pxg10780,326571.0,Huntington Beach,O,Qmyzekzupdowkiaqrhjcplolfoq,pxgknexepxfejynehwpcbpt,4.0,1.0,S,,679.0,Apache,1.0,1675682.0
Qyp10781,134879.0,Winston-Salem,O,Wclhzhelapg,Qyparslzargxxytomiykbb,1.0,4.0,D,54.0,618.0,PerkinElmer,8.0,1032754.0
Fyu10782,238275.0,Columbus,O,Shcgvayjsmzaxpbj,Fyuhdmwjxg,4.0,4.0,U,8.0,727.0,Comcast,7.0,3097622.0
Vbp10783,,Norfolk,U,Oqahbtsxjacnwiddeptejqbvudqiq,Vbptpaulczyhregmx,5.0,0.0,M,,406.0,Hexion Specialty Chemicals,,499178.0
Gld10784,78862.0,London,O,gwvfprjwuprczst,Gldfmfyqntigefij,5.0,4.0,U,59.0,302.0,,1.0,3254375.0
kbn10785,13674.0,Hilo,R,Ymccvwvcejhhq,kbnyzjogskzeejcrigd,0.0,4.0,S,53.0,818.0,,4.0,1919672.0
XZA10786,,Baltimore,O,dgxsaxybzdipzhgiklcl,XZAAVNQ,0.0,5.0,M,78.0,359.0,Humana,10.0,642522.0
CXS10787,353310.0,Rockford,O,TOZPHMQKYGHMLWR,CXSBCDGRJWV,2.0,4.0,M,65.0,610.0,Donaldson,9.0,1676788.0
jrr10788,218161.0,Oshawa,O,Ztyoipnd,jrrgrjttwvbwsfqnjykxzruqgowjs,5.0,5.0,,12.0,526.0,TECO Energy,2.0,3923020.0
yiv10789,319643.0,Vancouver,U,Rxxknpjvvgfaockkptjlsmzpareuv,yivjcvkdngvffctyzyrrni,3.0,0.0,S,49.0,521.0,Stanley Works,2.0,3517029.0
Fnx10790,496302.0,Scottsdale,,Ygtsvexmvnvoewixbiglaeahyw,Fnxuehyjxnitthqf,1.0,0.0,M,57.0,586.0,Roper Industries,9.0,2118554.0
Axv10791,394626.0,Madison,O,Rjwrhxmcvceywlxoebcjrvmnsea,Axvkdllystpuhiinnbmggaevtg,1.0,3.0,M,10.0,433.0,Fortune Brands,6.0,757375.0
WNO10792,218359.0,Macon,R,Puvkcqodsaxzqtuik,WNOWLCXDIFVNENKONGLVVHBFP,1.0,4.0,M,25.0,426.0,Blockbuster,3.0,3802888.0
igf10793,171264.0,Thousand Oaks,R,exyquolapytaqeaagnotzkasc,igfokmlbjkvvldfbbchzcp,0.0,4.0,S,68.0,749.0,DTE Energy,9.0,1492526.0
wzd10794,119570.0,Atlanta,O,VSUMDNLREOCEXCWWMRTPIKT,wzdzdfynjgknxgggeypoqvbrrjjo,4.0,,D,13.0,342.0,Smithfield Foods,5.0,2747226.0
Zsc10795,19661.0,Mobile,R,Fxgos,Zscciixampucprvsbnpd,3.0,2.0,W,37.0,800.0,Con-way,4.0,2025593.0
Hfh10796,375881.0,Wichita,O,CHXONXOGUSIXKBHARWZJ,Hfhizfgjsinytqzjfqwhcrfdlhond,0.0,3.0,M,94.0,619.0,Alliance Data Systems,5.0,1456952.0
Uce10797,198187.0,Beaumont,O,Tagudpckry,Ucehvhcfoihiqgidzvkrhmghg,,5.0,S,17.0,337.0,Harley-Davidson,7.0,3275538.0
vwn10798,331718.0,Louisville,O,Psplzuvtbxvwwepvhdhvo,vwnywshlwsnlzqpp,1.0,4.0,M,18.0,576.0,Ford Motor,2.0,2863460.0
Twc10799,7173.0,Oakland,O,glxqbmcvhi,Twcmtlehrtojevmfrqv,0.0,5.0,S,76.0,685.0,Stater Bros. Holdings,8.0,
lhn10800,172729.0,Dawson City,O,Tbvjkanpgjcikvnwwty,lhnwg,3.0,5.0,M,84.0,708.0,BearingPoint,3.0,906022.0
Fby10801,218459.0,Sterling Heights,O,Trzjqqe,Fbywmltorvb,3.0,4.0,M,65.0,723.0,AnnTaylor Stores,2.0,3269581.0
Wbh10802,293955.0,El Monte,O,zbbcrzrmxxmxtuafeuhysuno,Wbhoygwjstumd,5.0,5.0,W,70.0,352.0,Walt Disney,6.0,2287268.0
Imp10803,213052.0,Lansing,R,nflluhxcqxdtmv,Implvqkkbapvwnacjmeexdzogwhg,1.0,2.0,S,40.0,816.0,Lam Research,6.0,2411108.0
see10804,417884.0,Yellow Knife,O,Dodijyefealfuuvocgagtewxsgjque,seezpavvdeukq,2.0,3.0,W,48.0,651.0,Symantec,6.0,1634472.0
akn10805,123343.0,San Antonio,O,PUYKTESWVVA,aknqpbwm,0.0,4.0,M,96.0,698.0,Hewlett-Packard,5.0,629264.0
wpa10806,56475.0,Durham,O,Abyjaygiuvbpircurqmdaslwunt,wpafz,4.0,2.0,M,59.0,804.0,Toll Brothers,6.0,2853478.0
Awj10807,395447.0,Lancaster,U,Dwglcgqwgoxvcpwaxmcqfjwtxb,Awjylfftbvovvxqq,1.0,3.0,W,88.0,,Kraft Foods,10.0,1340666.0
rgg10808,424197.0,Thousand Oaks,,Ktxbwvepalcalct,rgghpxowsfpplmirdxzjsgkesm,3.0,0.0,S,81.0,352.0,American Axle & Manufacturing,3.0,3597465.0
Zdq10809,151018.0,Mobile,O,SSEZYVLGVVXTOQ,Zdqnnnmvdgicbhgwy,4.0,1.0,M,78.0,816.0,Superior Energy Services,6.0,2367827.0
Uzl10810,218453.0,West Covina,O,Jiseyotqnndheh,Uzlchjqvbyhwckrxbaa,0.0,3.0,M,20.0,510.0,Lear,2.0,
YQB10811,432197.0,Kitchener,O,QYZYKFV,YQBFWEYCEMXY,5.0,5.0,M,61.0,417.0,Graybar Electric,6.0,1233055.0
xwt10812,116570.0,Orange,O,Psdmzxjdwwmjsiouzifh,xwtrwsyskjjjuddxjiqslmiwgslmr,4.0,3.0,S,37.0,850.0,Cincinnati Financial,4.0,102427.0
Dew10813,115948.0,Salt Lake City,O,Ooilbfiuamcdzxawjzevuiweaal,Dewrj,5.0,4.0,S,,835.0,Mirant,0.0,2786005.0
cjg10814,434788.0,Minneapolis,U,unwqeeadbjxifgsftowdwvd,cjgpizkuoo,1.0,1.0,D,94.0,474.0,SPX,,
HXK10815,287531.0,Santa Rosa,O,CVJSURRGJOEJJFRZTKFNOPENLIA,HXKDXQAWDOFQGUSGKKQLBCPEOD,1.0,0.0,U,9.0,609.0,Cummins,9.0,1503007.0
Glj10816,221614.0,Toronto,U,Izvvvltpefsnycyojkccylcvzldmx,Gljcpav,2.0,0.0,M,82.0,375.0,Graphic Packaging Holding,3.0,2123212.0
aob10817,324232.0,Fairbanks,O,Lclypfhzebkqcqvkdnh,aobtsr,3.0,3.0,S,,309.0,Discover Financial Services,9.0,1744147.0
AHT10818,239547.0,Indianapolis,O,Saplqvoixs,AHTDNQPBZUVQLIUDJKHKMTAQW,2.0,5.0,D,99.0,516.0,Group 1 Automotive,9.0,3427871.0
