prospect_gncd,prospect_nmbrchldrn,prospect_nmbrcrs,prospect_ct,prospect_crdtrtng,prospect_ntwrth,prospect_gndr,prospect_wnrrntflg,prospect_nmbrcrdtcrds,prospect_pstlcd,prospect_frstnm,prospect_cntr,prospect_phn,prospect_ncm,prospect_mrtlstts,prospect_g,prospect_mplr
Gci9786,5.0,,Ontario,380.0,1814013.0,M,O,6.0,acmacflq,TCVUTVPIWPFAE,United States of America,1-303-723-5831,407401.0,D,23.0,Metals USA Holdings
Xcd9787,3.0,,Santa Clarita,699.0,2746916.0,,O,8.0,wefnezad,nhpbxqrdubvkn,Canada,1-807-845-1621,136863.0,M,50.0,ProLogis
Wrb9788,5.0,5.0,Shreveport,300.0,3673503.0,f,U,8.0,,tancatsgpm,United States of America,1-532-915-4568,140613.0,,56.0,Insight Enterprises
dqt9789,2.0,3.0,Hialeah,705.0,2439162.0,,O,9.0,Dpfnty,hoxucizkdxortuoaykhgea,United States of America,1-840-477-1190,101326.0,S,71.0,Henry Schein
Lkf9790,0.0,4.0,Hollywood,602.0,2739411.0,,O,5.0,zywpjmcqdtte,ghmzuiadzojurradfrjvnfyezcm,Canada,1-876-538-1436,205725.0,U,48.0,Wynn Resorts
Jca9791,5.0,5.0,Warren,542.0,1610254.0,m,R,7.0,Nanqg,YFCUPMLIPIIFUCHHTOHFYUMU,Canada,1-434-897-1689,308540.0,W,63.0,Western Refining
Cyo9792,,1.0,Austin,608.0,,,O,7.0,,Tjdikoadlzyzkoklgypapsgpkdd,United States of America,1-229-228-4105,321517.0,,55.0,
Fbo9793,,0.0,Ontario,,3521205.0,,O,6.0,Uspump,aiztjpznpjfmu,United States of America,1-712-455-7425,,S,99.0,Synnex
RWL9794,0.0,1.0,Bellevue,647.0,2425580.0,M,U,3.0,AAIAQQEJ,Glypzcpvgxfbrzybmbpr,Canada,1-321-095-8066,23536.0,M,7.0,Monsanto
Ymj9795,2.0,5.0,Orlando,,,F,O,0.0,dwpmlztks,Dkqqxhtuafgfxoetbygxjhpu,Canada,1-452-393-4430,444451.0,D,36.0,Weis Markets
kqr9796,5.0,0.0,Salem,798.0,1353495.0,,O,0.0,UQVRZGZQH,Nhzumynidyccsihmsguiqbc,United States of America,1-038-099-3417,250390.0,S,99.0,Beckman Coulter
Anu9797,5.0,0.0,Fort Smith,332.0,443045.0,,O,1.0,FHTKTLERXT,LYIYRU,Canada,1-284-920-3901,167063.0,M,43.0,Pentair
Odk9798,0.0,,Ottawa,392.0,2597213.0,,U,3.0,FZCXE,Lreqaivcqdrawvffzwdec,United States of America,1-542-243-3222,94636.0,M,85.0,Western Union
Sng9799,,0.0,Rochester,565.0,3176155.0,,,6.0,Nibnnr,Yauotgusqlcjpilqsoph,United States of America,1-229-158-8024,91842.0,M,28.0,Office Depot
ryj9800,2.0,5.0,Rapid City,732.0,3265617.0,m,O,5.0,Aptjpvosoe,Wegwshbzdubcugqhac,United States of America,1-075-206-4337,442243.0,S,86.0,Brightpoint
gle9801,0.0,2.0,Seattle,369.0,2387472.0,m,O,5.0,KSCYCESK,Intgaluuihdohkjelwwwabh,United States of America,1-724-404-2730,277520.0,D,32.0,GameStop
BCG9802,1.0,4.0,Allentown,483.0,846372.0,M,O,5.0,Srllf,zelijplqqfmwk,United States of America,1-389-179-0350,,W,28.0,Nacco Industries
WXO9803,4.0,4.0,Eugene,661.0,2862895.0,F,U,2.0,Dnuryfeirof,NFLUYAGEWTDJSJIRTRVOZOADGWGKVU,United States of America,1-536-802-1200,151886.0,W,,
Ijq9804,5.0,4.0,San Bernardino,438.0,1652410.0,f,O,6.0,,Sbjva,United States of America,1-591-775-1309,175605.0,S,83.0,Graphic Packaging Holding
fdd9805,4.0,5.0,Denver,813.0,2406642.0,,R,8.0,Rjoxn,Kunqlddvufsg,United States of America,1-199-805-6277,37684.0,S,,Terra Industries
Aro9806,3.0,3.0,Sunnyvale,511.0,435495.0,C,O,5.0,PTEZIOYKNGBQ,LKPEFFPZQGYOEVC,United States of America,1-134-178-7893,71197.0,S,71.0,DISH Network
uso9807,,2.0,Charlottetown,474.0,1537756.0,,O,8.0,Xgpiffwdr,BDIDFDPPLKDZKSQSIDHLO,United States of America,1-476-772-9719,157122.0,U,32.0,
Bhj9808,1.0,2.0,Costa Mesa,506.0,2722282.0,,R,4.0,alrwz,ivtcvmqobnmbmkthc,United States of America,1-526-786-0424,444816.0,M,,Sanmina-SCI
Mge9809,4.0,5.0,Richmond,772.0,,F,,6.0,Nnezf,Iieckalxlxyspqfxcwmybyoykrlhr,United States of America,1-786-446-9417,8311.0,D,48.0,Stanley Works
Coo9810,0.0,3.0,Kitchener,546.0,678801.0,,O,3.0,Rgmbf,Cmzzrok,United States of America,1-781-637-3596,155914.0,M,69.0,Johnson Controls
JYX9811,2.0,4.0,Sherbrooke,552.0,1049475.0,,O,10.0,Lgdeo,fjuijpbwtoyxke,United States of America,1-964-545-5956,339601.0,U,97.0,Tech Data
szn9812,2.0,1.0,Tulsa,738.0,3844727.0,F,O,6.0,,yfgwxwqmwwb,Canada,1-827-775-1568,344862.0,D,55.0,
CRH9813,0.0,0.0,Erie,573.0,2888275.0,x,O,10.0,Pvpgftphron,Xzucbhtwrclunobrt,United States of America,1-311-965-2370,496829.0,W,22.0,Rohm & Haas
lgv9814,3.0,1.0,San Francisco,842.0,2451777.0,m,O,6.0,Bzihvvbyqf,Jegufq,United States of America,1-984-027-7433,129017.0,S,42.0,M&T Bank Corp.
Vvl9815,3.0,0.0,Huntington Beach,347.0,776583.0,M,R,0.0,PQRUO,Mzlrbnvqnusktzk,United States of America,1-157-236-7700,430025.0,M,3.0,Automatic Data Processing
Ugw9816,1.0,2.0,Costa Mesa,551.0,2562495.0,m,O,10.0,Gdmdlbnjbt,Brziwasyvwgap,United States of America,1-656-109-1600,97349.0,S,40.0,Mettler-Toledo International
Ryu9817,3.0,3.0,Paterson,565.0,3652078.0,,O,5.0,Luplgst,Telyhqnytndyakqmkwuljwe,United States of America,1-635-447-3318,393547.0,D,55.0,Jarden
Vlp9818,2.0,2.0,Aurora,301.0,557439.0,M,U,0.0,ywozoerkq,Chrkbunk,Canada,1-393-830-5416,182351.0,S,56.0,Brookdale Senior Living
lfx9819,0.0,3.0,Plano,572.0,3406094.0,,U,3.0,SXPPXJXUPKA,Vpaqwunhlszalapqofoznrcmj,United States of America,1-441-296-2469,416999.0,S,51.0,Airtran Holdings
JLW9820,5.0,1.0,Biloxi,328.0,,,O,,Jnnfard,Pfmdwmo,United States of America,1-673-121-3558,417268.0,U,43.0,Packaging Corp. of America
AMX9821,0.0,4.0,Kansas City,318.0,2569171.0,,R,5.0,Wprqtaiifpi,Unxcykhddddeqpavwcm,United States of America,1-405-616-8440,8210.0,S,24.0,Health Net
Uax9822,0.0,2.0,Manchester,397.0,,M,O,,KDWZDFHPK,Qkxodimnmc,United States of America,,310092.0,M,87.0,Coca-Cola Enterprises
eth9823,1.0,1.0,Boise,755.0,3800745.0,,O,4.0,LZSRWIUVTD,RWYDALURPXEGFFELJBZKJIRYLEEQEA,United States of America,1-062-969-9915,308220.0,M,2.0,UAL
Yes9824,5.0,1.0,Eugene,726.0,2501119.0,,,6.0,Rowrnedbgdvp,Dbxanxqyetewm,United States of America,1-237-403-1731,13133.0,U,82.0,
KWC9825,0.0,,Tucson,599.0,2719500.0,M,,9.0,ONURDXOYLBJD,ixhyxmpbyjdysfh,United States of America,1-763-307-9397,324723.0,U,27.0,McGraw-Hill
Tqi9826,1.0,5.0,Sherbrooke,418.0,2076148.0,M,O,1.0,Nsvqzlwwfjfb,fmcmhcuyrlfknebswqajndwxdfs,United States of America,1-354-555-1031,85424.0,U,83.0,Chemtura
Wpa9827,2.0,2.0,Aurora,807.0,3893034.0,,O,4.0,Gxvmaymhdz,Vjfqioksqrywpwlvyaoizevsjjwmei,Canada,1-913-677-8025,156722.0,U,50.0,Church & Dwight
gpm9828,0.0,5.0,Allentown,549.0,3870783.0,m,O,5.0,Ftiviokemot,gafdmvpbjyoeingukgxjy,United States of America,1-368-266-8562,220136.0,U,32.0,Family Insurance Group
prv9829,4.0,4.0,Houston,633.0,2179066.0,,O,3.0,VZRUAF,Zfjqxgyfas,,1-244-489-1174,398813.0,W,17.0,Kraft Foods
Ytv9830,5.0,4.0,Baton Rouge,300.0,3916822.0,,O,5.0,Noexilytzfe,Mgdmcbkntjmmlfjlbp,,1-801-737-7051,32185.0,U,54.0,Anadarko Petroleum
Ttl9831,1.0,3.0,Mesquite,383.0,1771227.0,,O,7.0,Kvzrp,Vmjzdsfyq,United States of America,1-628-498-6046,380312.0,M,68.0,Fortune Brands
Kkh9832,4.0,4.0,Ottawa,598.0,2911392.0,m,O,7.0,Pbwequhd,Fxvlxzcvyiawnvkdnbmsriofaejsna,Canada,1-520-341-5913,286646.0,U,98.0,PC Connection
LES9833,0.0,5.0,Toronto,351.0,2302082.0,,O,5.0,Iykvwpxhik,TULIDBTUGYZFSEDAGZICXMFGEL,United States of America,1-955-867-3416,255157.0,M,23.0,
Kbn9834,1.0,5.0,Omaha,757.0,3809157.0,,O,9.0,kajgselxyhsd,Ubfbxjfpwiklmeqhnfgvnlcqclxihc,United States of America,,151929.0,M,6.0,Fortune Brands
VNB9835,5.0,4.0,St. Johns,,1780094.0,m,O,8.0,Bopfksow,Luxsgxilotbdrrymsvrxckzpwso,United States of America,1-413-207-9887,416186.0,U,11.0,Philip Morris International
mog9836,3.0,1.0,Corpus Christi,539.0,2476975.0,,O,6.0,Ojhblexfg,umqivnscuqkhuwzrt,United States of America,1-975-288-7412,248338.0,M,86.0,Oil States International
XOZ9837,3.0,3.0,Coral Springs,,890294.0,,O,7.0,ADPLLPPFTK,Vowueiydaejbujfzxihgjf,United States of America,1-540-846-0942,86514.0,M,50.0,Northern Trust Corp.
Ixh9838,0.0,4.0,Ann Arbor,819.0,2635253.0,,O,8.0,jromb,Dmiosnpltzyshfniwgzxclbtixrkm,,1-252-815-0749,247336.0,W,93.0,Health Net
Awr9839,5.0,,Brownsville,831.0,496823.0,F,O,8.0,ejvdrmfih,Vtcnf,Canada,1-196-424-5054,309440.0,S,81.0,Pantry
RMI9840,2.0,1.0,Shreveport,514.0,362621.0,,R,1.0,UCHFZOP,wnaynxsyovn,United States of America,1-601-649-3790,486563.0,M,25.0,Publix Super Markets
iff9841,5.0,2.0,Lexington,480.0,2966858.0,f,O,9.0,xxqfqmsnoado,Ggebrpopiymiirz,United States of America,1-820-566-0356,408888.0,M,47.0,Smith International
Moj9842,4.0,1.0,Indianapolis,526.0,2439916.0,,O,3.0,chlacgze,lojnrkbbbbagplcua,United States of America,1-362-942-1548,172886.0,M,,Cytec Industries
dnf9843,5.0,4.0,St. Louis,706.0,1037920.0,F,O,1.0,PSEHMK,DFPDXKWHEKNP,,1-214-875-8476,499374.0,S,,Virgin Media
Kwl9844,2.0,2.0,Santa Clara,394.0,1071787.0,,O,9.0,Plrahvyojds,Mmrndbqulakkmdjzpfpdyasqgp,United States of America,1-993-409-1963,360279.0,D,20.0,FPL Group
agh9845,2.0,3.0,Indianapolis,461.0,1964285.0,,O,4.0,Evdsexkixjc,Pfwnqlfxj,United States of America,1-552-189-4153,479794.0,S,30.0,Honeywell International
Ikq9846,3.0,,Las Vegas,390.0,905620.0,,O,10.0,Dnovenprqjm,Idjmninve,United States of America,1-089-839-7520,,M,13.0,Precision Castparts
Tcc9847,4.0,3.0,Billings,747.0,358003.0,F,,7.0,,EAUVPJARXMODLUOPKIBLGMDHKGPID,United States of America,1-540-949-5084,417999.0,U,13.0,Cintas
Phc9848,1.0,0.0,Aurora,671.0,2726548.0,,,10.0,Wgoqxoxzbo,Karlbcuzgextmwtpexvvecgfm,United States of America,1-864-528-6133,356581.0,M,16.0,L-3 Communications
dah9849,3.0,2.0,Warwick,631.0,810916.0,M,,1.0,RCRXZUMEWNHD,auqmdubzsxoieudbzikuiwzudpm,,1-860-284-0921,285031.0,M,32.0,Magellan Health Services
fyy9850,5.0,0.0,Salt Lake City,634.0,619755.0,m,R,6.0,dqrhlbk,MEKONPERUJJOGQCVAOUSVGS,United States of America,,57300.0,S,74.0,Bristol-Myers Squibb
cia9851,0.0,3.0,Sunnyvale,492.0,2239170.0,,U,9.0,Hjovsweta,Ovcfdhzptrunbrvyrbwxcxswt,United States of America,1-717-655-6253,290970.0,M,70.0,Fifth Third Bancorp
Rup9852,0.0,1.0,San Diego,413.0,892128.0,,O,7.0,Eimawihtsvb,Wbfsjecfdlutyladpiniisjtsot,United States of America,1-035-155-5723,103512.0,S,83.0,United Rentals
JEK9853,5.0,,Virginia Beach,619.0,3130806.0,f,R,0.0,EDMHYQMEEQ,uxaolpgggeteeivpzldpicfxvuexs,United States of America,,297632.0,S,91.0,Michaels Stores
SGG9854,,2.0,Salem,446.0,3473479.0,M,R,,Fmwtwfq,Gzqqjlcklmiwdtfnmu,Canada,1-549-547-9329,239655.0,M,99.0,Agilent Technologies
rmn9855,2.0,4.0,Overland Park,767.0,100195.0,,O,5.0,Xcurw,Vtrhmoqpavtvbtaenjoirgqhyf,United States of America,1-754-004-1808,366997.0,D,84.0,NewPage Holding
BUP9856,4.0,4.0,Mount Pearl,428.0,106595.0,,O,3.0,oapuiec,Wouburmrwpyx,United States of America,1-336-478-8193,73136.0,M,73.0,General Cable
akt9857,3.0,2.0,Los Angeles,528.0,817817.0,,O,8.0,Xsrfq,Qiliqhbmqjzojcwjcsfpkrxjackjt,United States of America,1-270-703-6913,92343.0,M,84.0,YRC Worldwide
PJS9858,1.0,5.0,Syracuse,523.0,2802149.0,,O,4.0,btfjjlgouhus,fmupnxnlmnpn,United States of America,1-256-718-0489,283951.0,M,54.0,NV Energy
Puy9859,5.0,0.0,Allentown,658.0,506871.0,,R,7.0,Sgefxjev,Ehcphehiu,United States of America,1-417-894-7081,37154.0,M,34.0,Sun Microsystems
hoq9860,5.0,2.0,Brownsville,475.0,1405175.0,M,O,5.0,cvktzjmnneb,Cdhhruknuuyotrtqmvnhiqjsi,United States of America,1-185-319-8207,96303.0,M,48.0,
Rqx9861,3.0,3.0,Charlottetown,678.0,2650306.0,f,O,10.0,,gaemcecciayvyfhcin,United States of America,1-450-615-4188,430997.0,D,76.0,Lowe's
Qmb9862,2.0,2.0,San Francisco,469.0,1956097.0,f,O,,WMALOJGPTYQN,Vogsqmmzmtagryezlc,United States of America,1-871-896-6899,428569.0,M,10.0,Total System Services
ert9863,3.0,1.0,Omaha,595.0,973923.0,,O,1.0,Nbwqyjg,Aaeklti,United States of America,1-346-609-8684,304381.0,W,74.0,Integrys Energy Group
sjl9864,4.0,5.0,Buffalo,749.0,2446019.0,f,U,2.0,Rfsxjhdg,IHZXQHG,United States of America,1-983-655-0855,422144.0,D,96.0,Collective Brands
LCR9865,2.0,2.0,Montpelier,344.0,,,O,1.0,VXSAUAAUZTKF,vciftdutcvobokkfvktjtj,United States of America,1-595-433-8361,385918.0,M,43.0,Snap-On
Vjb9866,3.0,0.0,Iqaluit,337.0,2169049.0,,O,6.0,LGBNYJHKAJ,Gytohga,United States of America,1-409-001-1296,46320.0,U,74.0,Applied Biosystems
fhb9867,3.0,1.0,St. Paul,841.0,2566691.0,,O,4.0,DHODFOBH,Yoavs,United States of America,1-819-971-2152,355052.0,S,75.0,Watson Wyatt Worldwide
Vzn9868,1.0,,Lewiston,544.0,2356764.0,f,O,3.0,dsboanrla,rbnor,United States of America,1-193-083-0580,335409.0,U,97.0,R.R. Donnelley & Sons
Niq9869,3.0,0.0,San Francisco,574.0,2465932.0,m,R,5.0,zvefwpsyvm,gycvmjgjlnursxlosbhklusknt,United States of America,1-784-700-1830,353085.0,U,25.0,FreeportMcMoRan Copper & Gold
Lza9870,2.0,0.0,Elizabeth,411.0,838029.0,M,O,3.0,EGOSCWCL,Btueqzhhiqfeezgipt,United States of America,1-944-696-1094,,M,88.0,Smith International
nyp9871,5.0,1.0,Hilo,428.0,1194315.0,,U,2.0,FQWVNRBM,Tqkbngqvnboymexlypxjchufopdnv,Canada,1-467-923-4156,15241.0,M,53.0,RPM International
YKS9872,4.0,5.0,Elizabeth,768.0,896952.0,M,R,2.0,Jxfgaesdyfks,Jrtizmicwhzfdnrlnjbxtrwsstbuf,United States of America,1-551-393-7913,201461.0,S,21.0,YRC Worldwide
Miu9873,5.0,4.0,Santa Clara,841.0,1449534.0,,R,4.0,Hwivicvow,PMKGJJLMCABGQDEHKKGIRA,United States of America,1-419-879-0272,175251.0,D,91.0,Newmont Mining
MGY9874,5.0,4.0,Albuquerque,698.0,2836067.0,M,O,1.0,cjaegfcwx,Dvfuiiptyienhaawgk,United States of America,1-069-537-7174,179654.0,U,51.0,PSS World Medical
Gez9875,2.0,1.0,Sacramento,,3528220.0,,U,10.0,xneikr,MTVROYES,United States of America,1-889-695-7999,228684.0,M,56.0,Southern
Pmm9876,3.0,1.0,Lowell,656.0,844644.0,L,O,,lovzfaqou,onvni,United States of America,1-210-900-6565,363168.0,M,9.0,Perini
APL9877,4.0,0.0,Lansing,565.0,3620604.0,,O,5.0,Mfrulfcbz,STDJM,United States of America,1-607-512-2320,403522.0,M,19.0,Ecolab
jlx9878,4.0,1.0,Charleston,371.0,400095.0,,O,6.0,Qhgrb,oymhqcn,United States of America,1-749-491-3569,69468.0,M,,United Natural Foods
CXM9879,2.0,4.0,Rochester,753.0,847663.0,F,U,4.0,Ejkjaust,HCJDCFMHQQ,United States of America,1-348-668-6049,217571.0,W,26.0,First Data
aah9880,3.0,1.0,Virginia Beach,615.0,2345473.0,,,7.0,Jpdqbh,Tojyz,Canada,1-486-450-1008,137162.0,S,2.0,New York Times
Huy9881,5.0,3.0,Iqaluit,405.0,3395353.0,,U,10.0,Gpgoazrimgpx,Lqojfrjhll,United States of America,1-979-047-5794,497380.0,W,18.0,Olin
QZC9882,4.0,1.0,Chandler,731.0,1433403.0,m,O,10.0,Vmwtekqmi,XLXRZG,United States of America,1-493-543-3043,,M,88.0,Con-way
HGM9883,2.0,3.0,Simi Valley,795.0,563734.0,,O,4.0,ipohwfmjkju,gnfxkrsstu,United States of America,1-632-596-9700,27599.0,U,46.0,Pfizer
ebf9884,1.0,4.0,Pembroke Pines,826.0,2116224.0,,,2.0,Cubvu,Ydmjvbfpqjxjxnkuvlrxvpcpxgdye,United States of America,1-083-018-8740,153424.0,W,94.0,Liberty Global
GIQ9885,4.0,4.0,Chula Vista,768.0,95894.0,,O,2.0,,bbvwbzes,United States of America,1-273-786-5182,161673.0,S,68.0,Pentair
Csi9886,0.0,3.0,Macon,,2002783.0,m,U,4.0,ymguyfrfe,Smgnvmplsk,,1-159-822-5035,466318.0,S,71.0,CF Industries Holdings
Iev9887,4.0,1.0,Peoria,485.0,2439845.0,m,R,1.0,Kmldwrttlu,cliyceyftqfemphbqvihpazchbf,Canada,1-416-527-7417,304015.0,M,74.0,CACI International
zau9888,3.0,0.0,London,463.0,2342350.0,,O,3.0,Pqwojlxycnuc,Kbbgjie,United States of America,1-797-409-8765,130884.0,U,98.0,New York Life Insurance
Bxb9889,3.0,2.0,Fort Collins,769.0,2694839.0,,O,6.0,PLVXNFBEM,Bihmokrtdfevfolufixldgooovadj,Canada,1-490-149-9176,480167.0,M,60.0,
Gmm9890,,3.0,Scottsdale,556.0,1486843.0,,O,4.0,Nqodtedd,Olxbzqlycx,United States of America,1-368-070-9973,133671.0,W,40.0,Timken
lii9891,4.0,4.0,Sudbury,505.0,3037943.0,,O,10.0,Rpguxpxl,Avjjhwnxofhdmi,,1-277-087-0426,480094.0,M,66.0,Michael Foods
mep9892,4.0,2.0,San Antonio,393.0,,m,O,5.0,Tybpku,SRXLROSWGNUAJMOPJ,United States of America,1-279-864-8716,38745.0,W,56.0,Idearc
jiq9893,2.0,0.0,Simi Valley,710.0,524271.0,F,O,2.0,Gkvwdz,Fczuvcdhmabwi,United States of America,1-439-540-3593,216278.0,M,68.0,Paccar
Smg9894,4.0,4.0,Cheyenne,499.0,1364045.0,,R,10.0,Dlnqdnjdddpk,Xhsyjxmlalukdubttqgsay,United States of America,1-446-000-6052,159431.0,U,65.0,Aventine Renewable Energy
hlv9895,4.0,1.0,Chattanooga,503.0,,m,R,10.0,Dtnixiyknwp,Oczxjvwjvcgdqbwsmmzdvxmgl,United States of America,1-241-295-6865,19888.0,U,23.0,Boise
Umi9896,5.0,5.0,Lexington,664.0,1640714.0,F,O,,Gsqam,Tcpkhab,United States of America,1-050-189-4873,256100.0,,96.0,Erie Insurance Group
UIQ9897,0.0,0.0,Las Cruces,580.0,1149542.0,M,O,5.0,Kbgmrcyx,pnldkvvspujybaicizguk,United States of America,1-897-005-0822,218532.0,S,38.0,Rite Aid
fpi9898,5.0,3.0,Stamford,381.0,,m,O,4.0,gtrgrvy,Uxfidecozcdoojdcsmgzdywmadeqq,United States of America,1-785-431-3324,448600.0,U,0.0,Owens & Minor
TMU9899,2.0,1.0,Irving,325.0,2850504.0,,O,1.0,Mxecghvm,KVXDTESZRHPYXUKKTCORQJPVGE,United States of America,1-777-561-6436,248667.0,U,2.0,
AWQ9900,2.0,1.0,Boise,613.0,1927935.0,,O,7.0,Lvlvvzvmrva,Hytocvtejysavmhtxojpcxmkjeu,United States of America,1-780-406-7547,421362.0,M,9.0,Rockwell Collins
Koc9901,1.0,3.0,Detroit,326.0,3088112.0,,R,6.0,Twmycupggzzj,VEXWF,United States of America,1-967-103-9377,321585.0,U,58.0,Pep Boys
Dds9902,3.0,3.0,Anaheim,304.0,1745256.0,,O,10.0,,UHOKTZGPPQAXMAKJPPRNQRP,United States of America,1-026-018-4555,265660.0,U,62.0,RSC Holdings
Rss9903,1.0,5.0,Salem,841.0,3478614.0,,O,9.0,jnuadqdor,Nvxywjxxptxv,United States of America,1-794-707-6361,256894.0,S,22.0,Analog Devices
IHF9904,5.0,1.0,Provo,456.0,2203683.0,,O,10.0,kmzdrxzjp,Qifjpngclpbtqlfxkksmpy,United States of America,1-809-289-7249,217120.0,M,57.0,
Mmr9905,1.0,3.0,Philadelphia,322.0,389491.0,,O,9.0,LQYHN,Gzsuxxtbpavsnm,United States of America,1-971-340-2739,359626.0,U,72.0,CC Media Holdings
TAQ9906,2.0,3.0,Boise,749.0,2084364.0,,O,,Ygffjgf,Hwmsszycqojevkbvtcgrtrf,United States of America,1-997-869-5483,232875.0,M,48.0,Constellation Brands
yyp9907,0.0,0.0,Nashville,592.0,3727741.0,M,O,9.0,nzqrg,DYURNLKAOFDPLYBHLATE,United States of America,1-652-023-8483,335620.0,M,84.0,Great Plains Energy
Kmg9908,5.0,5.0,Phoenix,665.0,15865.0,,R,7.0,Htihxemq,KFIPNGPHDASUONXLEVWQ,United States of America,1-537-733-8366,75247.0,M,46.0,Henry Schein
jnr9909,0.0,5.0,Omaha,621.0,1627406.0,,R,1.0,Swkmbxesg,Dtyozq,,,458699.0,U,70.0,Calpine
Urv9910,5.0,4.0,New Haven,840.0,43053.0,M,R,1.0,IWFCQJDOKDR,Hykhrtdemgxpey,United States of America,1-287-654-2438,333343.0,,98.0,Lockheed Martin
PVD9911,3.0,3.0,Rockford,806.0,3870271.0,,O,6.0,Ffhdpmbhkkbp,THJFEXOCOBBORRNNACADSA,United States of America,1-485-106-8017,141104.0,D,73.0,Tenneco
MKQ9912,5.0,0.0,Detroit,766.0,2916832.0,,O,3.0,Airgadp,Rujdxilpigmugmkhtxwsj,United States of America,1-248-843-8017,6992.0,M,12.0,
AFB9913,0.0,4.0,San Buenaventura,341.0,1104262.0,f,O,0.0,kwvjagvihwka,Dtaeroklwtyiyl,United States of America,1-708-984-9780,309180.0,D,89.0,PepsiAmericas
Twb9914,0.0,3.0,Chandler,570.0,667902.0,,R,6.0,Ncrffko,Xbhvqraybuaernzatbosvwnbde,Canada,1-328-471-4213,,M,11.0,OGE Energy
lfz9915,3.0,4.0,Lancaster,642.0,1873427.0,M,O,10.0,HHHCZQC,wnvartjntxrvsmdkw,United States of America,1-182-809-0312,246734.0,,99.0,Gap
CPH9916,4.0,3.0,Fairbanks,363.0,3464870.0,,O,8.0,Gkvovhb,Qxwuxtlmv,United States of America,1-870-707-8696,92762.0,S,22.0,Family Insurance Group
Mbh9917,2.0,0.0,Fairbanks,813.0,813850.0,M,O,7.0,Mjifeeva,Uonkncmclphyixsninpwrnlfg,United States of America,1-652-374-2595,321743.0,U,68.0,Parker Hannifin
Xep9918,4.0,4.0,Stockton,738.0,207598.0,,O,10.0,nszbhfawdhr,Bnwnz,Canada,1-423-169-1051,298505.0,M,,NCR
Pgq9919,2.0,0.0,Greensboro,700.0,1983672.0,,R,7.0,Nzhoxj,Gugxxpxnthcfsxplempdizrtspjivh,United States of America,1-718-318-5063,472587.0,M,35.0,ConocoPhillips
ZRY9920,3.0,4.0,Moncton,511.0,,f,O,1.0,andwd,RVTCCCFIHGQWTSOTUYTECIIE,United States of America,1-653-791-2483,84781.0,U,,Honeywell International
lhb9921,1.0,0.0,Dallas,408.0,2629512.0,,O,3.0,Qnssykij,Vhrkcrjnnkcgvwt,United States of America,1-574-075-7346,,,64.0,RPM International
tco9922,5.0,,Mesquite,403.0,468793.0,F,O,0.0,Sohikqsfpu,KROEQLBZDNYCDLIEHGKCZR,United States of America,1-109-000-5273,439717.0,M,81.0,Zimmer Holdings
rrx9923,4.0,0.0,Dayton,,3229310.0,,U,0.0,Rlplrfskjlu,Mwgrjkjsxkatgciijrsojabxrwah,United States of America,1-818-102-2606,211844.0,M,15.0,
Yws9924,1.0,5.0,Akron,531.0,3004304.0,,,9.0,GKGYUBJ,Ekani,United States of America,1-589-331-4934,,M,63.0,AutoNation
DCG9925,,3.0,Wilmington,519.0,1617848.0,,R,9.0,PVKSFOIF,Thzjidothkikijmkcuqcrqautn,United States of America,1-284-446-8984,95032.0,M,41.0,Universal Health Services
pys9926,0.0,1.0,Escondido,313.0,769693.0,m,O,8.0,LPCDTD,Hjtqydvkbbjgfidzzsc,United States of America,1-124-118-0596,138163.0,W,13.0,Systemax
ihx9927,3.0,4.0,Huntington,579.0,1154495.0,,O,8.0,UXCUHPMU,Pczln,United States of America,1-360-376-8323,446526.0,M,65.0,Sprint Nextel
slt9928,4.0,0.0,Topeka,530.0,1054531.0,,O,10.0,Whwlhsjkolxo,Fdwjwioledpmtphkklcisodgum,United States of America,1-666-477-6134,69393.0,U,23.0,NYSE Euronext
EOM9929,2.0,3.0,Irving,355.0,3360669.0,M,O,3.0,JCBQU,FVODCXQYOU,United States of America,1-208-351-1734,14073.0,W,52.0,NuStar Energy
Ctt9930,3.0,0.0,Ann Arbor,313.0,2842734.0,F,U,0.0,fqlvyaoup,KAEJYMFMS,United States of America,1-229-318-2971,294077.0,M,40.0,
YKK9931,2.0,1.0,Washington,396.0,457529.0,F,,5.0,Lfjpcisgup,Rxnjhpdtnxalyl,United States of America,1-773-149-4206,185014.0,U,69.0,Abercrombie & Fitch
Acp9932,4.0,5.0,Mount Pearl,792.0,3529994.0,,O,1.0,Xezmsgewdh,Vxodobgpowkzgvheggillwr,United States of America,1-283-835-0166,291320.0,S,56.0,Vectren
Svn9933,3.0,0.0,Sioux Falls,600.0,2134962.0,,O,8.0,Talpokv,JLRCYKLKDGORHNDA,United States of America,1-499-794-9314,258469.0,M,,Cinemark Holdings
KSB9934,1.0,1.0,Las Cruces,344.0,3439269.0,F,O,1.0,cllhjdabw,Yiwqbrcfddouynpqdc,United States of America,1-411-165-8892,279488.0,D,95.0,Furniture Brands International
glz9935,3.0,3.0,Allentown,664.0,1089291.0,,U,8.0,hmvope,Yjcdma,United States of America,1-450-611-8246,283927.0,,31.0,Carpenter Technology
Qwz9936,4.0,0.0,Ann Arbor,746.0,1186944.0,,R,5.0,WHHYW,KCJLTJRY,United States of America,1-711-879-0121,54913.0,W,54.0,Costco Wholesale
