prospect_gncd,prospect_nmbrcrs,prospect_ddrssln2,prospect_ncm,prospect_g,prospect_ct,prospect_cntr,prospect_nmbrcrdtcrds,prospect_crdtrtng,prospect_ntwrth,prospect_phn,prospect_pstlcd,prospect_stt,prospect_nmbrchldrn,prospect_mrtlstts,prospect_wnrrntflg,prospect_mplr
rob1095,0.0,,93009.0,72.0,Los Angeles,United States of America,9.0,516.0,268750.0,1-218-919-0584,63156,ME,0.0,M,O,Navistar International
Sti1096,3.0,,295917.0,60.0,Worcester,Canada,9.0,371.0,2592121.0,1-838-027-6063,72289,Saskatchewan,0.0,M,U,Ruddick
ram1097,0.0,,245951.0,25.0,Albuquerque,Canada,6.0,824.0,1940913.0,1-810-463-3792,85099,ND,2.0,D,O,Noble Energy
inc1098,0.0,,386484.0,75.0,London,United States of America,6.0,422.0,3384172.0,1-665-762-5397,T5d 1l9,NE,4.0,M,,
HAR1099,1.0,Apt. 745,53524.0,69.0,Grand Rapids,United States of America,1.0,684.0,1836514.0,1-096-769-7262,19025,LA,2.0,W,O,
Lit1100,4.0,,305209.0,11.0,Tulsa,United States of America,7.0,833.0,,1-476-760-8359,M7m 1a1,TN,2.0,D,R,Airgas
GOL1101,2.0,,339845.0,94.0,Salem,United States of America,9.0,349.0,1608301.0,1-792-003-8759,77235,AK,,M,O,Kansas City Southern
deb1102,2.0,,430325.0,53.0,Huntington Beach,Canada,10.0,514.0,1736445.0,1-618-014-4494,78504,ID,1.0,M,R,eBay
VIT1103,4.0,,136296.0,88.0,Charleston,United States of America,10.0,673.0,76872.0,1-417-581-3861,T5C 1S3,CO,5.0,U,R,Monsanto
nav1104,0.0,,128284.0,78.0,Missoula,United States of America,1.0,819.0,3283688.0,,37419,Quebec,1.0,M,O,Exterran Holdings
Ken1105,2.0,,248780.0,86.0,Plano,United States of America,9.0,331.0,2374216.0,1-028-818-0899,93753,NE,0.0,M,O,Goodyear Tire & Rubber
oly1106,4.0,,462577.0,31.0,Costa Mesa,United States of America,9.0,499.0,2546060.0,,40201,MS,2.0,S,R,American Electric Power
Str1107,0.0,,65175.0,76.0,Augusta,Canada,1.0,599.0,1669874.0,1-697-995-6167,94320,PA,0.0,D,O,Amerigroup
yer1108,1.0,,181208.0,28.0,Bellevue,United States of America,0.0,702.0,,,H2b 1v9,KY,0.0,U,O,Pall
KOB1109,2.0,,,76.0,Quebec,United States of America,2.0,718.0,186934.0,1-179-394-4663,20008,RI,4.0,D,O,W.R. Grace
Smi1110,4.0,apt. 526,189189.0,55.0,Minneapolis,United States of America,3.0,389.0,2488540.0,1-102-985-1888,M9F 1T8,WI,0.0,W,O,Southwestern Energy
Bre1111,,,48456.0,44.0,Huntsville,United States of America,,675.0,1177604.0,1-020-144-3588,85703,AL,1.0,M,O,Sunrise Senior Living
Cob1112,3.0,Apt. 433,317627.0,74.0,Cheyenne,Canada,0.0,614.0,3240889.0,,T6B 1F7,MO,0.0,S,O,Helix Energy Solutions Group
mab1113,2.0,,162323.0,38.0,Fargo,United States of America,9.0,694.0,1507154.0,1-870-928-4397,91178,NJ,0.0,M,R,Temple-Inland
cow1114,0.0,,297691.0,17.0,North Las Vegas,United States of America,7.0,560.0,1420357.0,1-113-133-1885,T5c 1q4,AR,3.0,S,O,Acuity Brands
att1115,5.0,,66485.0,47.0,Santa Clara,United States of America,4.0,720.0,2185290.0,1-881-016-5692,M9d 1u2,KY,0.0,D,R,Cabot
BAT1116,2.0,,56197.0,2.0,Independence,Canada,10.0,346.0,855669.0,1-817-757-4109,80923,ME,3.0,U,O,Puget Energy
Mcg1117,0.0,,480152.0,14.0,Whitehorse,Canada,9.0,366.0,3692994.0,1-074-545-0233,H2f 1w1,British Columbia,0.0,M,O,Winn-Dixie Stores
GAL1118,4.0,,207382.0,62.0,El Monte,Canada,0.0,476.0,501064.0,1-975-072-0184,V6y 1t4,WI,4.0,U,O,AGCO
Cac1119,0.0,,179603.0,98.0,Mesquite,United States of America,2.0,614.0,950765.0,1-729-122-8730,91914,Newfoundland,1.0,M,R,Portland General Electric
WES1120,2.0,,38149.0,16.0,Lafayette,Canada,10.0,508.0,,1-340-794-6618,m8b 1x9,ME,1.0,S,U,Walgreen
rem1121,1.0,,401069.0,66.0,Lafayette,United States of America,2.0,628.0,3945293.0,1-303-816-5750,90335,British Columbia,4.0,M,R,Berkshire Hathaway
Fla1122,4.0,,8984.0,22.0,Escondido,United States of America,2.0,437.0,1838076.0,1-283-146-6689,66108,CO,0.0,M,O,Pulte Homes
STI1123,5.0,,90034.0,53.0,Fort Worth,United States of America,1.0,496.0,2233580.0,1-589-481-9736,23250,Quebec,1.0,S,O,Marriott International
JAM1124,,,348378.0,88.0,Livonia,United States of America,10.0,747.0,505817.0,1-793-609-7458,70150,AL,2.0,M,O,Weis Markets
Kun1125,2.0,,129211.0,88.0,Mesquite,Canada,9.0,645.0,949866.0,1-939-041-3103,46231,IL,4.0,S,R,Hayes Lemmerz
gar1126,1.0,,61258.0,58.0,Garland,United States of America,3.0,671.0,,1-849-317-4292,T5a 1k3,IN,5.0,M,O,Lithia Motors
Mun1127,2.0,,12465.0,52.0,Glendale,Canada,5.0,503.0,3970367.0,1-252-246-6922,10016,CO,1.0,S,O,Eaton
Bre1128,3.0,,466795.0,4.0,Charlottetown,United States of America,2.0,316.0,2524762.0,1-776-251-1309,98418,Nova Scotia,4.0,U,O,Key Energy Services
Jaf1129,5.0,,8185.0,9.0,Billings,United States of America,4.0,808.0,47548.0,1-344-071-8421,46234,VA,0.0,S,U,Activision Blizzard
hor1130,5.0,,307715.0,,Tempe,United States of America,5.0,452.0,3107908.0,1-255-590-3287,93879,WV,3.0,U,R,Electronic Arts
hud1131,3.0,,13028.0,81.0,Miami,United States of America,1.0,655.0,1686378.0,1-220-467-9456,94170,Saskatchewan,2.0,U,O,Mercury General
Edg1132,4.0,,88869.0,91.0,Colorado Springs,United States of America,2.0,799.0,1825074.0,1-323-626-6939,33609,OK,2.0,U,O,
lau1133,1.0,APT. 90,67662.0,49.0,Chicago,United States of America,5.0,838.0,1812748.0,1-716-829-5890,76708,CO,3.0,S,U,Owens & Minor
wam1134,3.0,apt. 951,255430.0,84.0,Santa Fe,Canada,6.0,586.0,2410767.0,1-586-719-4407,31904,NE,1.0,U,O,NRG Energy
tav1135,0.0,,288585.0,5.0,Macon,United States of America,5.0,303.0,2561323.0,1-224-749-2301,20037,LA,3.0,W,U,Target
Tej1136,4.0,Apt. 915,76305.0,,Tallahassee,United States of America,4.0,714.0,3586148.0,1-058-679-6409,A2b 1v1,Ontario,1.0,U,O,AES
Bri1137,2.0,,454086.0,,Pomona,Canada,6.0,805.0,2850170.0,,v6x 1s8,NH,0.0,,O,International Assets Holding
Vie1138,1.0,,90372.0,18.0,Winston-Salem,United States of America,3.0,350.0,1183241.0,1-165-250-4035,90046,DC,5.0,M,R,R.R. Donnelley & Sons
Kla1139,4.0,suite 184,143662.0,79.0,Allentown,United States of America,8.0,776.0,2353201.0,1-557-090-0094,m5f 1v9,NM,1.0,W,O,
SEL1140,2.0,,353864.0,,Charleston,United States of America,7.0,733.0,2787578.0,1-868-632-8142,H7e 1u2,MO,2.0,U,R,Seaboard
Kni1141,4.0,Apt. 600,293272.0,87.0,Santa Clara,United States of America,,333.0,1577482.0,1-017-931-9415,90395,British Columbia,0.0,M,U,
kau1142,4.0,,435702.0,60.0,Hampton,Canada,4.0,515.0,3616434.0,1-561-620-1390,37201,WI,5.0,S,O,Alpha Natural Resources
Sch1143,3.0,,192697.0,13.0,Mesa,Canada,3.0,,1092961.0,,H2A 1X9,DC,0.0,M,O,Teleflex
cul1144,5.0,,83243.0,40.0,St. Catharines,United States of America,5.0,535.0,1871131.0,1-567-714-5099,60783,IN,3.0,U,O,OfficeMax
rai1145,5.0,,429700.0,76.0,Whitehorse,Canada,6.0,603.0,1241392.0,1-059-611-6783,85080,KY,5.0,U,O,Tesoro
hsi1146,0.0,,67822.0,97.0,Peoria,Canada,5.0,314.0,1253352.0,1-139-364-6454,m5c 1w1,KS,2.0,M,O,
met1147,0.0,,11906.0,76.0,Sterling Heights,United States of America,1.0,623.0,3866970.0,1-402-347-5011,V6f 1w2,OR,2.0,W,O,Scotts Miracle-Gro
Map1148,0.0,,212673.0,8.0,Milwaukee,Canada,2.0,546.0,857598.0,,99548,PA,4.0,M,O,Zions Bancorp.
bou1149,,,308654.0,0.0,Arlington,United States of America,6.0,698.0,258605.0,1-007-602-6745,36153,Saskatchewan,4.0,M,R,Black & Decker
lal1150,0.0,,353500.0,,West Covina,United States of America,9.0,,,1-702-404-5303,30368,MI,3.0,M,R,Carlisle
MEA1151,1.0,,438030.0,75.0,San Buenaventura,Canada,0.0,558.0,3379711.0,1-938-744-9669,H5i 1r4,NM,1.0,S,O,Nordstrom
Td1152,1.0,,165409.0,0.0,Newark,United States of America,0.0,312.0,1304352.0,1-763-974-3931,44138,WV,0.0,M,O,NTK Holdings
CAR1153,1.0,,6654.0,61.0,Livonia,United States of America,10.0,473.0,580139.0,1-660-967-6856,95208,AR,0.0,M,O,O'Reilly Automotive
SAB1154,2.0,,,30.0,Elizabeth,United States of America,2.0,492.0,2252871.0,1-215-498-2302,T6c 1e7,MN,3.0,U,O,Air Products & Chemicals
Tar1155,5.0,,345844.0,,Lansing,United States of America,10.0,532.0,3992185.0,1-340-724-4534,92173,ID,2.0,W,R,E*Trade Financial
mid1156,1.0,,168068.0,,Fort Lauderdale,United States of America,9.0,436.0,3091500.0,1-484-646-0416,90039,OH,5.0,U,O,Capital One Financial
pha1157,0.0,,260416.0,7.0,Bismarck,United States of America,10.0,805.0,2448579.0,1-603-251-5949,V6b 1p9,CT,1.0,U,O,Burger King Holdings
Sha1158,2.0,,43507.0,88.0,San Francisco,United States of America,1.0,330.0,3587225.0,1-452-281-0654,88003,Newfoundland,4.0,D,O,Sally Beauty Holdings
SCA1159,5.0,,444249.0,50.0,Evansville,United States of America,9.0,828.0,,1-968-156-8297,T5b 1t3,ND,,S,O,PolyOne
gai1160,5.0,apt. 440,401051.0,29.0,Tallahassee,United States of America,9.0,357.0,3394698.0,1-219-741-8500,T5A 1U5,ME,2.0,S,O,Greif
Fis1161,2.0,,438776.0,2.0,Hamilton,United States of America,0.0,772.0,2365806.0,1-081-831-4877,61608,LA,5.0,U,O,Trinity Industries
Sch1162,1.0,,303366.0,87.0,Atlanta,Canada,1.0,837.0,910763.0,1-606-474-4401,10183,RI,3.0,U,O,Nicor
HEP1163,1.0,,282715.0,,Fairbanks,Canada,3.0,691.0,1819015.0,1-863-749-8264,x5e 1v7,NC,2.0,M,O,Sherwin-Williams
van1164,5.0,,,75.0,Hollywood,United States of America,,721.0,926601.0,,V6R 1U8,TN,0.0,S,O,Enbridge Energy Partners
CHR1165,1.0,,329204.0,92.0,Waco,Canada,7.0,763.0,280293.0,1-524-621-3328,T5a 1y5,TX,0.0,S,O,Spectrum Brands
sue1166,,,233906.0,97.0,Baltimore,United States of America,3.0,747.0,720552.0,1-964-577-9282,95126,ID,1.0,M,,General Growth Properties
Fon1167,3.0,,175670.0,89.0,Thousand Oaks,United States of America,8.0,581.0,1520684.0,1-479-071-8387,H7H 1T8,British Columbia,2.0,,O,Family Dollar Stores
Bor1168,0.0,apt. 339,344647.0,34.0,Richmond,United States of America,2.0,826.0,1865107.0,1-816-928-3911,M1h 1r6,NM,,S,R,J.M. Smucker
WIE1169,,,44515.0,97.0,Hayward,United States of America,9.0,698.0,2157922.0,1-821-841-0685,60618,WV,5.0,M,U,Systemax
CHA1170,3.0,,,38.0,Regina,United States of America,1.0,489.0,3276895.0,1-908-496-9722,T5A 1P2,VA,3.0,U,R,ProLogis
Pag1171,1.0,apt. 207,485565.0,,Lowell,Canada,5.0,,3989535.0,1-628-917-2398,43226,Quebec,3.0,S,R,Perot Systems
pop1172,2.0,,459732.0,83.0,Charleston,Canada,6.0,832.0,2342514.0,1-682-982-2013,92609,NC,2.0,S,O,
Cou1173,3.0,,186178.0,33.0,Pembroke Pines,Canada,,721.0,2623847.0,1-161-506-6299,V6n 1u3,WA,4.0,U,U,MetroPCS Communications
COM1174,4.0,,98162.0,91.0,Casper,United States of America,4.0,412.0,2664977.0,1-307-374-3616,36115,DE,4.0,M,O,Mattel
ROC1175,4.0,,391863.0,7.0,Paterson,United States of America,0.0,780.0,202931.0,1-563-460-6812,30330,NE,1.0,U,O,Service Corp. International
Ask1176,0.0,,277206.0,92.0,Dover,United States of America,3.0,,2150554.0,1-689-309-7772,30331,MN,0.0,U,O,Travelers Cos.
ALB1177,2.0,Apt. 926,72968.0,24.0,Naperville,United States of America,7.0,,3943624.0,1-333-494-9786,M1g 1r4,Quebec,5.0,M,R,Raymond James Financial
Per1178,5.0,Apt. 954,397291.0,42.0,Stamford,United States of America,5.0,451.0,144121.0,1-787-767-9041,36168,TX,,S,R,Southern
Ged1179,4.0,,9714.0,19.0,Hialeah,United States of America,3.0,393.0,3372221.0,1-576-844-8702,55162,NV,4.0,U,R,Ralcorp Holdings
Gus1180,0.0,,153193.0,13.0,Chandler,United States of America,4.0,315.0,2955257.0,1-510-039-2939,E7n 1q6,CT,3.0,S,R,
kes1181,0.0,,274520.0,72.0,Kitchener,United States of America,10.0,832.0,1460915.0,1-140-124-9970,h2d 1u5,DC,1.0,M,O,Boyd Gaming
RIT1182,0.0,,394376.0,20.0,Laredo,Canada,5.0,659.0,850568.0,1-259-495-6309,94320,PA,0.0,U,O,Northeast Utilities
DIE1183,0.0,Apt. 668,171364.0,16.0,Chula Vista,Canada,,498.0,302538.0,1-031-516-5725,13222,MO,0.0,M,O,Oil States International
SAN1184,0.0,,396156.0,40.0,Erie,United States of America,10.0,629.0,1806295.0,1-505-732-8802,V5d 1m2,NC,1.0,U,U,Baxter International
Dic1185,1.0,,499850.0,41.0,Regina,United States of America,1.0,798.0,3456371.0,1-101-781-7512,M5C 1Z6,FL,2.0,U,R,Henry Schein
Per1186,1.0,,149880.0,56.0,Mesquite,United States of America,2.0,679.0,2691544.0,1-414-582-0346,T6a 1i4,Ontario,2.0,M,R,PHH
Blo1187,5.0,,34922.0,59.0,Sudbury,United States of America,3.0,692.0,3639971.0,1-142-777-8202,93801,UT,3.0,D,O,Yahoo
Hub1188,,,30239.0,46.0,Casper,United States of America,8.0,,3209574.0,1-712-335-7075,T5a 1q7,MA,1.0,M,U,
KIN1189,4.0,,93347.0,43.0,Omaha,Canada,9.0,688.0,3756926.0,1-414-633-3613,V6s 1w9,KY,0.0,W,O,
tes1190,5.0,,197194.0,49.0,Spokane,United States of America,9.0,,2931041.0,1-740-250-5357,v5b 1p6,RI,0.0,M,R,Hess
Ser1191,5.0,,91995.0,55.0,Cedar Rapids,United States of America,8.0,663.0,775130.0,1-521-470-9182,10034,HI,5.0,W,,Oracle
kor1192,2.0,apt. 990,249279.0,54.0,Fairbanks,United States of America,2.0,684.0,2616286.0,1-489-574-8594,32240,SD,5.0,M,R,LSI
bos1193,2.0,,137890.0,20.0,Fort Wayne,Canada,,836.0,933005.0,1-589-412-8021,72284,ME,2.0,M,O,Plains Exploration
Eng1194,5.0,,124655.0,18.0,New York,United States of America,10.0,421.0,2159011.0,1-815-395-4773,94138,MI,1.0,U,R,Travelers Cos.
Lin1195,0.0,,213860.0,56.0,New Haven,United States of America,0.0,721.0,2539729.0,1-205-996-4786,64108,Ontario,5.0,W,R,Charter Communications
dru1196,2.0,apt. 714,210345.0,5.0,Greensboro,United States of America,1.0,539.0,1956521.0,1-379-121-8359,91759,IL,1.0,W,O,Massey Energy
Mim1197,0.0,,58462.0,63.0,Saint John,United States of America,9.0,621.0,1568532.0,1-549-459-9347,36603,UT,3.0,D,U,
MAC1198,1.0,,463531.0,7.0,Bismarck,United States of America,8.0,339.0,618397.0,,33010,Quebec,4.0,M,O,Dun & Bradstreet
Boy1199,0.0,,2962.0,52.0,St. Johns,United States of America,5.0,344.0,792635.0,1-105-878-1416,44133,TN,1.0,S,O,American Axle & Manufacturing
sha1200,5.0,,492936.0,85.0,Fontana,United States of America,8.0,689.0,3786664.0,1-099-542-7457,e7o 1h5,Quebec,2.0,U,U,Texas Instruments
Abe1201,1.0,,,41.0,Fontana,United States of America,0.0,339.0,2234573.0,1-946-550-5142,44102,IL,0.0,M,O,Eli Lilly
eis1202,0.0,,80814.0,82.0,San Buenaventura,Canada,6.0,822.0,1190191.0,1-511-509-4165,M5D 1W4,PA,5.0,M,O,AmerisourceBergen
RUM1203,5.0,,453062.0,90.0,Newport News,Canada,0.0,657.0,1505284.0,1-123-823-0767,M5g 1y4,MN,3.0,M,O,
CON1204,4.0,,260863.0,13.0,Memphis,United States of America,10.0,,2529745.0,1-650-413-3513,92879,Alberta,5.0,D,O,
kla1205,2.0,,72979.0,29.0,North Las Vegas,United States of America,9.0,498.0,990318.0,1-152-101-9525,T5a 1l5,UT,3.0,W,R,First Data
Hud1206,4.0,,347970.0,56.0,Tampa,United States of America,,618.0,2965412.0,1-753-826-8969,90244,CT,3.0,U,O,HealthSpring
ede1207,4.0,,472646.0,12.0,Oshawa,Canada,5.0,533.0,3947021.0,1-450-541-8069,91166,PA,1.0,S,O,Harley-Davidson
FEL1208,,,91620.0,77.0,Scottsdale,United States of America,2.0,539.0,205448.0,1-517-002-8015,23461,ND,2.0,M,,Alliance One International
Sch1209,4.0,,206466.0,94.0,Sacramento,Canada,2.0,370.0,1212587.0,1-422-843-3164,93389,NC,3.0,M,O,MPS Group
bro1210,5.0,,470471.0,1.0,Charleston,United States of America,,466.0,3019513.0,1-090-540-3172,T6c 1h7,Manitoba,4.0,U,O,Mosaic
doi1211,3.0,,15702.0,47.0,Warwick,United States of America,1.0,841.0,480003.0,1-544-108-4404,e7o 1n9,TN,1.0,M,R,MGM Mirage
Iaq1212,0.0,,,32.0,Missoula,United States of America,3.0,846.0,1663851.0,1-834-719-3009,13203,HI,2.0,M,O,Weyerhaeuser
VOA1213,1.0,,77086.0,6.0,Jersey City,United States of America,2.0,,16431.0,1-309-532-1007,91335,AR,1.0,M,R,AGL Resources
woo1214,3.0,,277587.0,92.0,Winston-Salem,United States of America,8.0,335.0,955759.0,1-258-938-5054,T6C 1G9,KY,1.0,M,O,State Farm Insurance Cos.
hal1215,0.0,,309383.0,31.0,Lansing,United States of America,8.0,340.0,829233.0,1-265-555-7012,92878,VA,4.0,U,U,Pilgrim's Pride
Zay1216,2.0,,,59.0,Chicago,United States of America,3.0,,1277886.0,1-496-220-5173,29205,PA,4.0,U,U,Precision Castparts
Hur1217,2.0,,86633.0,92.0,Nashua,Canada,1.0,449.0,2693596.0,1-943-319-0450,h2f 1x4,NE,5.0,S,U,Rock-Tenn
GUM1218,0.0,,31218.0,69.0,Concord,United States of America,6.0,381.0,1340742.0,1-086-172-2402,t6a 1g7,Prince Edward Island,5.0,M,O,
sol1219,4.0,,109562.0,51.0,San Diego,United States of America,2.0,419.0,,1-738-154-3508,90866,NM,2.0,,U,Delta Air Lines
fao1220,1.0,,201385.0,71.0,Madison,United States of America,8.0,747.0,852982.0,,94273,NY,3.0,D,O,Motorola
ERN1221,1.0,,427589.0,72.0,Saint John,Canada,3.0,720.0,1746702.0,1-147-341-1855,43625,OR,4.0,D,O,3M
Syl1222,,,442115.0,40.0,Norfolk,United States of America,6.0,,1111993.0,1-504-164-9114,H6b 1x8,MD,1.0,M,U,Ingles Markets
sco1223,2.0,,419466.0,23.0,Lakewood,United States of America,8.0,547.0,905885.0,1-382-486-7322,v6t 1r1,ND,1.0,M,R,Hudson City Bancorp
Rid1224,4.0,,276706.0,40.0,El Paso,United States of America,1.0,308.0,418487.0,1-725-441-6643,50324,LA,1.0,U,O,Citigroup
Hot1225,1.0,Apt. 646,130584.0,81.0,El Paso,United States of America,4.0,644.0,2667849.0,1-624-667-8341,v6o 1s6,NV,4.0,S,O,Schering-Plough
LUE1226,0.0,,363231.0,10.0,Tulsa,United States of America,2.0,523.0,3129396.0,1-394-099-1580,E7o 1l7,Nova Scotia,5.0,S,O,
WAL1227,3.0,,364610.0,87.0,Escondido,United States of America,7.0,330.0,1827490.0,1-819-993-1787,93664,WY,,S,O,Cephalon
Hoa1228,4.0,,167477.0,22.0,Irvine,Canada,9.0,662.0,1695044.0,1-284-475-3132,67225,AL,1.0,M,O,Aventine Renewable Energy
VAN1229,2.0,,15674.0,71.0,Durham,United States of America,9.0,326.0,3037827.0,1-629-566-6403,V5c 1o5,ID,0.0,W,O,National Life Group
Sca1230,4.0,,104231.0,30.0,Ann Arbor,United States of America,0.0,377.0,1394392.0,1-288-650-2894,M5a 1v8,Nova Scotia,5.0,M,R,Retail Ventures
SID1231,2.0,,439123.0,44.0,Bismarck,United States of America,3.0,760.0,1165541.0,1-045-952-9338,T6B 1J1,WV,3.0,W,O,Apple
Luu1232,0.0,,65410.0,,Lowell,United States of America,9.0,704.0,1959230.0,1-723-682-8994,80022,Saskatchewan,4.0,S,U,Newmont Mining
Bor1233,2.0,,469337.0,68.0,Ottawa,United States of America,4.0,,121635.0,1-137-265-4305,10164,ND,3.0,U,O,Sealed Air
GIL1234,5.0,,298717.0,73.0,Milwaukee,United States of America,8.0,713.0,1752544.0,1-893-977-0837,60774,ND,4.0,M,R,Amgen
Mcw1235,3.0,Suite 290,56675.0,74.0,New Orleans,United States of America,5.0,542.0,590157.0,1-204-729-1190,37220,ME,5.0,M,O,Spansion
Huf1236,5.0,,250536.0,43.0,Greensboro,United States of America,9.0,778.0,378036.0,1-784-145-6096,99703,AR,0.0,M,R,Office Depot
mev1237,,,,3.0,Simi Valley,Canada,8.0,623.0,150777.0,1-112-443-1407,14232,WA,2.0,S,R,
sti1238,0.0,,299575.0,49.0,Santa Clara,United States of America,7.0,392.0,499128.0,1-591-924-2610,T5a 1m4,TX,5.0,U,O,Halliburton
lor1239,5.0,,1647.0,50.0,Worcester,United States of America,10.0,314.0,3883139.0,,93326,CA,0.0,U,O,Kla-Tencor
vin1240,4.0,,286954.0,53.0,Escondido,Canada,10.0,702.0,2998448.0,1-120-114-2808,h2f 1x4,ND,3.0,W,O,Thermo Fisher Scientific
Wan1241,4.0,,481516.0,38.0,Erie,Canada,10.0,485.0,2625185.0,1-305-810-2623,90164,SC,0.0,D,U,Williams
Baz1242,2.0,APT. 254,111344.0,60.0,Regina,United States of America,6.0,715.0,3167634.0,1-652-883-3499,98141,MN,5.0,S,R,Sonic Automotive
Bab1243,3.0,,341647.0,72.0,Lancaster,United States of America,3.0,743.0,2769945.0,1-672-562-3209,90807,OH,5.0,W,O,Flowserve
Neu1244,3.0,,425275.0,42.0,Charlottetown,United States of America,4.0,752.0,3943063.0,1-410-290-3625,E4a 1r2,PA,5.0,M,O,Huntsman
Bet1245,5.0,APT. 159,76349.0,3.0,Huntsville,United States of America,10.0,,26913.0,1-066-652-6553,v5a 1p5,ID,5.0,M,R,
sch1246,5.0,,243685.0,92.0,Springfield,Canada,4.0,727.0,1268277.0,1-783-423-3737,90239,IL,5.0,M,O,Alliant Energy
Zel1247,2.0,Suite 328,34059.0,56.0,Bismarck,United States of America,2.0,627.0,2173819.0,1-415-186-6059,35845,MI,3.0,U,R,AptarGroup
Win1248,3.0,APT. 421,321140.0,80.0,Salinas,United States of America,2.0,439.0,1004185.0,1-167-455-1042,A2b 1v9,ND,5.0,D,O,Genuine Parts
heb1249,1.0,,30169.0,54.0,Fort Wayne,Canada,2.0,828.0,3248647.0,1-525-839-7401,H5l 1p9,TN,4.0,D,O,Starwood Hotels & Resorts
pic1250,0.0,,232504.0,82.0,McAllen,United States of America,3.0,413.0,403159.0,1-906-537-8336,M9e 1u7,ND,3.0,M,O,Weis Markets
May1251,4.0,apt. 776,,32.0,Shreveport,United States of America,2.0,829.0,1255629.0,1-933-285-4690,20011,NM,1.0,D,O,OfficeMax
kle1252,2.0,,33500.0,76.0,Hilo,United States of America,10.0,724.0,2944139.0,1-113-559-9611,10187,AK,4.0,D,O,MetroPCS Communications
Dil1253,1.0,,94094.0,58.0,Oxnard,United States of America,6.0,,2730313.0,1-553-227-3208,V6L 1T1,WI,4.0,W,O,Darden Restaurants
COM1254,1.0,,384343.0,75.0,Pittsburgh,Canada,0.0,597.0,3721362.0,1-119-188-8234,93888,MD,2.0,S,R,
men1255,1.0,,335778.0,72.0,Pomona,United States of America,5.0,702.0,87116.0,1-610-990-4030,13204,NY,4.0,M,O,Dentsply International
CAL1256,5.0,,,25.0,Lubbock,United States of America,3.0,783.0,,1-418-964-5696,H2a 1w9,Newfoundland,3.0,S,O,Modine Manufacturing
CON1257,4.0,,170437.0,73.0,Chicago,United States of America,2.0,514.0,188852.0,1-727-518-0923,94629,New Brunswick,5.0,S,O,Maxim Integrated Products
Van1258,2.0,,269584.0,33.0,Gary,United States of America,6.0,395.0,697983.0,1-424-230-7510,m2q 1d5,ID,1.0,S,R,Brink's
Nov1259,1.0,,172183.0,89.0,Independence,Canada,1.0,431.0,2682855.0,1-158-972-9762,V6b 1r6,SC,,U,U,American Financial Group
ACK1260,1.0,,35385.0,8.0,Little Rock,United States of America,,402.0,2101299.0,,94632,TN,1.0,M,O,Regions Financial
PAT1261,0.0,,223383.0,36.0,North Las Vegas,Canada,10.0,657.0,,1-921-154-5804,10703,Alberta,0.0,D,R,WABCO Holdings
Piz1262,3.0,,159693.0,4.0,Fargo,United States of America,4.0,663.0,3419489.0,1-845-232-0939,94402,Newfoundland,3.0,M,,UAL
Mof1263,3.0,,311444.0,21.0,Cincinnati,Canada,2.0,748.0,1927419.0,1-310-011-8087,m1h 1p3,NJ,2.0,U,O,General Electric
Dru1264,5.0,,285802.0,29.0,Orlando,United States of America,5.0,794.0,2476124.0,1-367-411-5545,53757,GA,4.0,,O,Collective Brands
IOA1265,0.0,,423642.0,32.0,Simi Valley,Canada,5.0,800.0,3524149.0,1-071-995-4878,33309,NV,5.0,M,,Duane Reade Holdings
Win1266,3.0,,414724.0,65.0,Stockton,United States of America,3.0,716.0,2826334.0,1-944-859-5982,M9d 1u1,ND,2.0,S,O,VF
CUL1267,5.0,,103095.0,41.0,Denver,United States of America,2.0,685.0,627765.0,1-500-161-2282,M5A 1W2,WY,4.0,D,R,Quest Diagnostics
Rol1268,4.0,,251608.0,4.0,Ottawa,Canada,3.0,467.0,2079617.0,1-900-782-2828,10193,New Brunswick,4.0,S,O,Amazon.com
Dav1269,5.0,,466631.0,,Santa Ana,Canada,8.0,424.0,2440307.0,1-688-722-3100,75204,ND,1.0,S,O,Cooper-Standard Holdings
flo1270,3.0,,319611.0,40.0,Fresno,United States of America,9.0,719.0,494497.0,1-663-949-2542,M5F 1W6,HI,4.0,M,O,Raymond James Financial
Nar1271,4.0,,31336.0,23.0,Newport News,United States of America,4.0,460.0,2449007.0,1-704-752-9592,t6a 1i7,AL,0.0,D,R,Waste Management
DEG1272,0.0,,234270.0,78.0,Cedar Rapids,United States of America,0.0,503.0,1061532.0,1-829-463-0846,98160,MD,1.0,W,R,Patterson-UTI Energy
AL1273,5.0,,441616.0,80.0,Augusta,Canada,9.0,781.0,3947420.0,1-956-266-9575,44312,PA,3.0,M,O,Fidelity National Financial
CRA1274,,,199969.0,7.0,London,United States of America,5.0,389.0,323615.0,1-793-652-0399,v6m 1v2,OR,3.0,M,,Brookdale Senior Living
ste1275,5.0,,104211.0,11.0,Salinas,United States of America,10.0,472.0,2578863.0,1-444-570-0151,35895,NM,4.0,M,R,Nalco Holding
Fal1276,5.0,,125783.0,,Fargo,United States of America,3.0,,2330950.0,1-270-102-2156,95402,New Brunswick,3.0,S,O,Dillard's
Erb1277,3.0,Apt. 343,386913.0,10.0,Overland Park,United States of America,,,1028958.0,1-088-500-6364,M5e 1u3,FL,2.0,M,,Hess
