prospect_gncd,prospect_ntwrth,prospect_g,prospect_ddrssln1,prospect_crdtrtng,prospect_stt,prospect_mplr,prospect_mrtlstts,prospect_ncm,prospect_pstlcd,prospect_nmbrcrs,prospect_ct,prospect_cntr,prospect_phn,prospect_nmbrchldrn,prospect_wnrrntflg,prospect_nmbrcrdtcrds
Fjm9302,1964125.0,58.0,Doovfgyddvwpwmsegdjfohrkqvvwj,718.0,NH,Monsanto,W,247648.0,,0.0,Fresno,United States of America,1-834-107-7735,4.0,O,5.0
Sur9303,2334579.0,82.0,JKMWAQWGWAWTEBUPHUTAGCAVTWTKVBQFNYJONKYGCRMWGINELOAD,447.0,NV,Maxim Integrated Products,M,409256.0,Nafcmm,3.0,Livonia,United States of America,1-766-430-1474,4.0,R,3.0
Hax9304,114832.0,51.0,Zfjjwdxmqsuinnthbtvuvulthhxognhcvdhznwayoixdu,405.0,Manitoba,BJ Services,M,60268.0,Vmvfoqbppkve,1.0,Orange,United States of America,1-936-575-5788,5.0,O,8.0
zgx9305,2593495.0,60.0,VLFKWILH,646.0,MA,ON Semiconductor,D,299077.0,NXGKVJWD,5.0,Provo,Canada,1-779-005-3408,2.0,O,4.0
Kmh9306,1731732.0,10.0,Ohksijheoeierjbfujnicdicbgdwzrrzwie,617.0,Manitoba,Polaris Industries,U,265850.0,Arvzcjdgi,2.0,Orange,United States of America,1-544-182-1503,5.0,R,8.0
tec9307,,11.0,CDUEVDMMLBWDDSDYENHRZQNJFWLNOVQBQHTANDTUJTQHXWJSTNR,346.0,AR,Varian Medical Systems,U,448020.0,Kymuormq,3.0,Salem,Canada,1-485-053-4961,3.0,O,9.0
Xsb9308,,42.0,efajzhcmjwlgogjcraenqyemdeiukqlzopmubqzpdkngiwijhahbaccfokpvlgpbwbalnm,784.0,WI,YRC Worldwide,M,205923.0,Cahdunqytzw,1.0,Charlotte,Canada,1-434-184-5650,0.0,O,5.0
RJB9309,1137816.0,73.0,Wnqcoqixkld,345.0,HI,Terra Industries,U,457110.0,NTXJNIOWALG,2.0,Frederick,United States of America,1-444-992-9218,3.0,O,
Ttw9310,2948275.0,30.0,Cnbmncbypygewtxakmjxyrlfvxzjbadd,816.0,Prince Edward Island,Walgreen,S,,,,Scottsdale,United States of America,1-182-939-2795,4.0,O,8.0
Gox9311,1018827.0,71.0,Tkmgbuhkivgcobgjqsoxhnk,,VT,Protective Life,S,25537.0,,1.0,Orange,United States of America,1-544-562-4582,4.0,O,2.0
zxx9312,3670831.0,73.0,Apwdrtidfbhfpqvsicnkrarriorylrthjqbfwcivxftgewqnkvnbmvwqubjlxvmqrnwvrxlb,479.0,SC,AGL Resources,S,243425.0,DTIINLFR,1.0,Columbia,Canada,1-656-542-3365,3.0,R,2.0
Oik9313,1101433.0,,Iwxbhfqalqdppbgsmerhphrzgdjnmwiujxvuxfunnuruoyctorn,840.0,IL,Manpower,D,456113.0,JURUW,5.0,Augusta,United States of America,1-155-740-9974,3.0,O,
Fdu9314,1520350.0,92.0,,765.0,TN,Chevron,D,,wgbyllvqa,3.0,Hollywood,United States of America,1-365-387-3031,1.0,R,5.0
BSV9315,1705062.0,97.0,Wichk,490.0,HI,Nasdaq OMX Group,U,151157.0,Kbxrynbkidr,2.0,Madison,United States of America,1-699-774-1254,2.0,R,10.0
qyt9316,1648906.0,70.0,Vkdlnwlxhoyikmvjvznwjulowopjnekcnitxgwhoshduoo,650.0,CA,Assurant,S,359574.0,Kjdjjhyquzix,5.0,Las Cruces,United States of America,1-111-491-8558,0.0,O,10.0
Uap9317,3534957.0,10.0,,318.0,AZ,Michaels Stores,W,162420.0,YIARXL,3.0,Concord,United States of America,1-204-025-6092,,O,0.0
PUL9318,2906056.0,90.0,ntkedpcwsdwgwaugbeljgwxbaywoqnhq,458.0,PA,,S,118416.0,Yvkjj,3.0,Sudbury,United States of America,1-151-395-1617,3.0,R,10.0
Vsi9319,1758546.0,19.0,Naont,508.0,CA,NuStar Energy,D,44735.0,Sfaicbotep,3.0,Whitehorse,United States of America,1-742-249-7532,5.0,O,9.0
Ulq9320,1876595.0,7.0,KRMKNJCBPRFBVGIOUCOPFXARDBLULKLMFWTRVSLENOQAFKLIAF,600.0,CO,Equifax,,265368.0,Hfsqglb,2.0,San Bernardino,United States of America,1-116-620-1198,1.0,O,1.0
PXR9321,3364612.0,48.0,Xgznkfoxypvihkafuffvllwv,470.0,KY,Vanguard Health Systems,,90317.0,Zssib,5.0,San Bernardino,United States of America,1-479-570-7693,4.0,O,0.0
BIC9322,960349.0,27.0,MKNWVZEBDNXJQGSJOVZOIKCNLKWCXYAYGWDSDVAFAZCRA,367.0,NC,WellPoint,M,305683.0,Capwj,2.0,Tempe,United States of America,1-281-131-8778,4.0,R,8.0
Egt9323,2434281.0,19.0,UIUAINSDQUYGOYNRFULPCCZTPOQWZIXBCVFOLHYZKQCHRKQVUCTSQFNPLZQHVNQSNPMPKNHHMRV,828.0,NY,Charles Schwab,U,312046.0,Usyykxhpgnmd,1.0,Winnipeg,United States of America,1-246-441-5565,3.0,O,6.0
Hwi9324,1687912.0,2.0,Rghtyensqiwcrjfootkhcrj,791.0,Saskatchewan,Helix Energy Solutions Group,U,130547.0,Wmsrsdnxsua,0.0,Syracuse,United States of America,1-106-315-9052,2.0,O,4.0
Aiz9325,226828.0,88.0,Iqxirqilnaetokwoaxqsmtnynnshzlptiyef,770.0,ND,Great Plains Energy,U,54561.0,SXCRDAMJ,5.0,McAllen,United States of America,1-944-038-8243,1.0,O,9.0
lbj9326,2682142.0,37.0,kcomhbxoctjfuvcxwoownuxcbohmlvubw,640.0,Prince Edward Island,Granite Construction,W,430056.0,,0.0,Hialeah,United States of America,1-616-635-2195,2.0,O,
klz9327,2356998.0,30.0,Lxryimwvxicjipjryesqmsxfhhdxqusuxocuudqrksxrccdxuwkjalqjbhsyk,485.0,WV,TECO Energy,M,208745.0,Aaxxbmsskwa,4.0,Yonkers,United States of America,1-109-509-5374,2.0,O,10.0
Vaq9328,848687.0,51.0,,544.0,DC,NetApp,S,328669.0,Jrcoao,3.0,St. Johns,United States of America,1-017-213-1159,0.0,O,4.0
iwp9329,735994.0,41.0,Hrjgfshvkahv,646.0,CA,International Game Technology,S,217250.0,BYJKMHU,,Albuquerque,United States of America,1-886-868-0874,2.0,O,4.0
VDX9330,1439992.0,2.0,Azxpmfnlgypttrcvfsoetbktcsjsvdlmbrju,563.0,VA,McDonald's,W,386927.0,gagsm,1.0,Huntington,United States of America,1-597-653-2241,0.0,O,2.0
XOT9331,1274990.0,39.0,fdhrmqbrfsnpqgdhjpmgceeqmndsreqfqwpnufbjtgy,821.0,MI,Steel Dynamics,M,223494.0,Dswflqojjpu,1.0,St. Paul,United States of America,1-442-207-8967,2.0,R,7.0
bgd9332,206621.0,96.0,Iapfxocyabqpafnphkqiitqckpeerpngsqcwunoyufxtcemppailkipmkxacuugmfrqfzgfmy,455.0,ID,Helmerich & Payne,U,372159.0,Qkbttvtpywe,3.0,Halifax,United States of America,1-270-865-8570,5.0,O,0.0
LWI9333,2310238.0,13.0,HHONPGZVCSSIQFDJOZIMQRHRINATOCKFGLDKBGPEZZCMAQTWQPIDXMQZEGCWLDM,662.0,ME,Lear,M,462514.0,Bbrzyk,3.0,West Valley,Canada,1-346-294-4429,3.0,O,6.0
EXK9334,,44.0,pifhdafzygmqtoilalaiduuliobfkvzlhi,818.0,WA,Atlas America,U,93567.0,Yunta,1.0,Spokane,United States of America,1-623-096-3088,3.0,O,5.0
nyq9335,2044618.0,63.0,Fuexijfecuwvbnziqrldiqhmcephfnzfvgncyebwmfqkzcvbiudkbyshvuofktichqanmreie,701.0,Saskatchewan,Jones Apparel Group,U,410810.0,Vfskfmfa,1.0,Manchester,,1-863-400-3831,,O,5.0
Hdi9336,556278.0,74.0,Ugrlygznksqmynlvxbylnzxeokcpuwqudsllunbllagakkuyblskutuogodelddmbm,547.0,ND,Henry Schein,M,177807.0,MZGVHDPMC,5.0,Chula Vista,United States of America,1-091-554-0668,1.0,R,5.0
YEV9337,3284453.0,13.0,,511.0,MA,Celanese,D,220965.0,Mzrva,0.0,Toronto,United States of America,1-041-041-7084,0.0,O,6.0
jmb9338,3775743.0,98.0,wunnsxtohdflbukesllwffcrejntprpqwfiwxvvtkqcebmwqcnprtyh,776.0,WI,Applied Biosystems,U,7870.0,wrstbrhrlh,2.0,Minneapolis,United States of America,1-179-719-7301,1.0,O,7.0
Uhs9339,1974666.0,20.0,Wzkqkuyarzdaiivcerrihozmdguqfulmfmnxnmi,603.0,KY,Las Vegas Sands,W,359152.0,Hddgntm,2.0,Dallas,United States of America,1-036-500-9811,3.0,O,10.0
Pmo9340,1329378.0,49.0,,413.0,AL,Coach,S,244334.0,Nccjzmhff,4.0,Salinas,United States of America,1-577-862-5813,0.0,O,2.0
BMP9341,2909229.0,8.0,RKRLPIAGGLCQCTZKRNBANXPJHQQDBWJPSKWPNTHRKBZOCLUSFKQMXITDPTDUYVSUEZBYVVZJNLAOB,481.0,British Columbia,Ameriprise Financial,,428099.0,,0.0,Memphis,United States of America,1-520-927-1380,0.0,R,2.0
HOC9342,,59.0,RGJGTKHEQAWNTWWTHQJQZORWIUJFCTVBAMZINETSATZFS,673.0,AR,Vought Aircraft Industries,M,325852.0,Cbabfkgrzovp,1.0,Allentown,United States of America,1-191-312-5506,5.0,O,2.0
uoe9343,2869101.0,55.0,Seqqgldmmbfolljsnjyjdryebucxbhbvohujbvavovhkqjrjhybeddughlqqftqfiuegwy,726.0,MO,Hanesbrands,M,,IWYMOWM,1.0,Denver,United States of America,1-184-898-8716,5.0,O,4.0
ddv9344,565070.0,,IMOFNFOSPKRCDECGTPSFNPONNWXRSLBIWTMYFEUGNPYNCLMTBSHWGDZIVNSVOQLWHRJ,394.0,AL,J.M. Smucker,M,31005.0,WTVUWV,4.0,Charleston,United States of America,1-542-783-2509,4.0,O,10.0
AQO9345,2283039.0,25.0,Rrrpritsqgyoxjqtngkrnjwsctmcxlbnmzrihihduqucaluzgacrlnzmu,613.0,NM,Conseco,M,5605.0,,1.0,Sudbury,Canada,1-568-123-5187,4.0,O,3.0
Cxi9346,3189016.0,8.0,Limurlputyexlrupkgaexdgwpdrtvllnbmhksrsgvoqzdicfexnvqldfdfqhcqnqsqapvhkxz,361.0,ND,AptarGroup,U,159171.0,Ilifeydpije,5.0,Gary,United States of America,1-489-309-9438,4.0,O,3.0
Drr9347,2654496.0,89.0,FMFEWKUHEWKCBSJWFFIX,577.0,OH,Helix Energy Solutions Group,M,360692.0,Dbpohaojyxk,4.0,Independence,United States of America,1-340-208-6107,5.0,U,10.0
Bno9348,2716732.0,9.0,Pvxatpndkxvwrslzxxtlrpeicwblpiwhlqidngzvuzhnndmsvbikhxduxjsqhrtftpztotciumz,455.0,ME,Sanmina-SCI,M,71803.0,Uzuotmimptgh,0.0,Dayton,United States of America,1-442-696-6249,0.0,R,3.0
ibm9349,266702.0,33.0,Jxmqxbyoy,647.0,WY,Vought Aircraft Industries,U,431130.0,yzgbigsdx,4.0,Anchorage,United States of America,1-782-519-8480,3.0,O,9.0
Roq9350,3036109.0,83.0,Flxqbpmfihthvloklurscit,344.0,PA,Thermo Fisher Scientific,W,402077.0,Tqzpn,1.0,St. Louis,United States of America,1-771-983-0971,4.0,R,2.0
Bee9351,802666.0,76.0,,702.0,NM,Morgan Stanley,U,317493.0,MGHHRBBS,2.0,Salinas,United States of America,1-026-310-4002,4.0,O,5.0
pmt9352,2121177.0,21.0,,602.0,AR,Hershey,U,242846.0,Jhdqfr,5.0,Cincinnati,United States of America,1-904-123-5817,2.0,O,7.0
XNV9353,3243442.0,42.0,Vofselcthhgvuhsadnglmzimyuqgfsostiwcslnvstpqaasplp,526.0,WA,Noble Energy,S,189279.0,GANTKFQISCB,,Los Angeles,United States of America,1-236-421-1891,1.0,O,5.0
Hra9354,2021690.0,95.0,rxgkinshlojqfodfkuhfbniijmxwwikswyanvfvitmfzcqvsqwyjuidvk,,OK,Century Aluminum,D,96167.0,Gniqeiujegr,,Bellevue,United States of America,1-769-176-0939,5.0,O,3.0
xmp9355,1980845.0,70.0,tipqftrqsqayxbrwpeupdwrfkrddwgmdr,514.0,Prince Edward Island,,U,321492.0,Evnkdvlzp,4.0,Virginia Beach,United States of America,1-408-211-0567,3.0,O,5.0
Mlt9356,838050.0,66.0,Yywumjyjolpxregxaorxmatnteghskplphcuckttywcxftoqdsysipiu,331.0,OR,Terra Industries,S,66367.0,WNDOXJDHOUMV,2.0,Overland Park,United States of America,1-506-571-8374,4.0,O,6.0
kfj9357,2021368.0,73.0,DFJEWKEJQLITQPGHFXMMCKLUEFHXBOCONKYJRDZMFOPVOHQBVGVIQNGNSUTHHOBLMLXGMFISHE,840.0,VA,Mattel,W,257884.0,SZAQVQ,5.0,Yellow Knife,United States of America,1-509-391-0683,4.0,O,9.0
XGL9358,176674.0,88.0,fxefczwhvsqtdfwbu,668.0,ME,,U,449830.0,Ojhic,2.0,Santa Rosa,Canada,1-384-794-2882,2.0,O,10.0
Aio9359,630392.0,70.0,Xtlfuhdzolfiopgarhzuqmpgisdjw,474.0,TN,Fiserv,M,58702.0,wbqhcbhmw,4.0,Huntington,,1-982-194-8517,1.0,O,4.0
jjd9360,939924.0,43.0,Cnvhwqsnizpwazklfklploolcyfvkebuocshdke,368.0,British Columbia,Emerson Electric,M,32361.0,CDBPFV,4.0,Cleveland,United States of America,,3.0,,10.0
pru9361,1766726.0,47.0,Ivdmfkobtnktrerpuxlqxnbsshaqqpauoatvpgrtvmxomevqmgtqussbjds,425.0,Alberta,Rite Aid,S,445223.0,Lzahzjcosid,2.0,Fullerton,Canada,1-379-305-4148,,R,7.0
Pus9362,730781.0,88.0,SFILIJQVMZLODPRDKHZNMGZDDZPJIMCHXEIEMOOZGHWHMHRTMWPCRPFKDTCTHX,320.0,OH,Sunoco,D,415398.0,lxpvethtxge,,Topeka,Canada,1-445-578-9749,4.0,O,2.0
qiw9363,3702054.0,11.0,Zisxgkjncbnecmpqtkkjnkxxewrqsrtgnaomkn,486.0,Saskatchewan,Key Energy Services,W,249106.0,Txbouafl,4.0,Billings,United States of America,1-559-131-1347,3.0,O,3.0
Xje9364,3474079.0,24.0,Tduwwnmzpbancwdgcyhv,342.0,IL,Marathon Oil,M,305306.0,MGLKOSSTLAG,5.0,Grand Prairie,Canada,1-890-526-1657,5.0,,5.0
edw9365,837037.0,58.0,Esdodf,346.0,PA,,U,31765.0,Iemtqx,4.0,San Bernardino,United States of America,1-765-701-6530,3.0,O,0.0
Ayj9366,1482994.0,35.0,ANVEWXDUQMOHXALSVWMMEQLEOOPDKYEDOCEARJIGFLK,319.0,FL,American Electric Power,M,329439.0,mkevldommwq,5.0,Huntsville,United States of America,1-739-416-0201,5.0,U,6.0
smf9367,3433840.0,55.0,GIYHHMYMDPKFTWPODHTEMTCYUWTISDJOCWKD,782.0,HI,Thor Industries,S,49130.0,BIYIZAITG,2.0,Concord,United States of America,1-219-366-1225,4.0,O,9.0
Flj9368,926004.0,46.0,Wshipoblsnieamuyfctxzacqt,827.0,MO,Werner Enterprises,M,432107.0,Nxtmpryovw,2.0,Rochester,United States of America,1-493-603-3040,4.0,O,2.0
lrq9369,1032078.0,30.0,Pxozlbexqtershanbrzfitnxmbwbzunsrylsjvdttjlqbrockvgaxzlsbuuuqxeilmawkpttjiqka,705.0,IL,KAR Holdings,U,321346.0,TLYILG,1.0,Cincinnati,United States of America,1-268-764-2083,0.0,R,5.0
Zrb9370,677109.0,27.0,qpgnstdxctltzftdpwhavbswurdl,808.0,MO,Bank of New York Mellon Corp.,W,471404.0,dnqwpc,1.0,El Monte,United States of America,1-345-028-9922,1.0,U,0.0
Aqo9371,2824015.0,26.0,Zboqlqxcslsknqbetigflwjhuctwb,837.0,SC,Ashland,S,434232.0,AXYAXKQ,1.0,Aurora,United States of America,1-067-056-0181,2.0,R,9.0
FBJ9372,2823628.0,36.0,Uqmcajxljgjlclplwvpg,576.0,MI,,U,354702.0,JNZAAUOFXCWD,2.0,Bismarck,,1-231-999-0171,,R,9.0
PWQ9373,3865939.0,92.0,Syjpyouwdnuusoqbjibhwqjmawersprxmaikkfvxvjenlkwujrojbvhrwqnpoeusccsvhwyphgtiua,623.0,Saskatchewan,,U,91047.0,JXAHYID,4.0,Hamilton,United States of America,1-951-980-6497,2.0,O,8.0
dkk9374,706155.0,100.0,SJZOCXESRFDUCUJACGPHKTNYGQSCGUMHYYTYFMIGPTUGJRFMJOHWVNSSGIIBMSNHHIQD,392.0,Nova Scotia,Portland General Electric,M,245856.0,Lraunszebds,4.0,Providence,United States of America,1-015-592-9503,0.0,O,1.0
NBE9375,1704399.0,89.0,auchfnpkvtzvifftsulbcf,367.0,WV,Chubb,S,230479.0,ujqdfvffoh,2.0,El Paso,Canada,1-768-185-5140,2.0,O,8.0
kds9376,3871317.0,30.0,yuvbwdltxiokgmosbpbzjkblkfwnjzfsuwkhsdjmndpjoaacxlgmdquvk,814.0,CT,Cabela's,M,154892.0,Adsjmwttpsyd,0.0,Tacoma,United States of America,,1.0,O,5.0
YTF9377,3576531.0,89.0,Tfbswypagdsrbwvqbvcapgdpgjtgklxwrmhqdxbwbhjqzofwbgeqfblughihekvqxlbdouvboglwldo,461.0,KY,Puget Energy,S,486835.0,Kdzoqjf,3.0,Biloxi,United States of America,1-468-522-8750,2.0,O,3.0
ecj9378,3418165.0,75.0,Etqflrjhvvbkotindjubzeqkugmwvtpclcipfdnlswtflyvmhkllxvrvuliekgrjdnryteguarfnkhmq,,ID,Macy's,M,325531.0,YXOACWDAQY,0.0,Whitehorse,Canada,,4.0,R,
DOM9379,3762568.0,97.0,Jxzrjwmfmtfviadpqseitrnky,342.0,SD,Exterran Holdings,D,466191.0,Nmlenv,0.0,Pittsburgh,United States of America,1-977-481-2520,3.0,R,0.0
WKU9380,17368.0,,,527.0,Saskatchewan,Bob Evans Farms,U,47954.0,xvoftt,5.0,San Antonio,United States of America,1-214-062-0263,1.0,O,4.0
Leo9381,2547897.0,57.0,CPNWDJYQDMJHTLLYPOEACLXGSTNFPUQKLBC,309.0,Saskatchewan,Goodrich,M,43295.0,Tqaqnaeo,1.0,Newark,United States of America,1-627-760-7172,1.0,O,0.0
Ole9382,3455552.0,12.0,LKWQEYMVDHJVZMIWCGSRTHRFZALLAIWEPROICMEA,773.0,AR,Annaly Capital Management,M,49091.0,JBRPPDEL,4.0,Salem,Canada,1-067-555-2307,5.0,O,8.0
vct9383,89300.0,28.0,WSOIO,677.0,MN,Cypress Semiconductor,M,125450.0,Clmwphpr,2.0,Fairbanks,United States of America,1-632-526-8929,1.0,R,1.0
bdi9384,,8.0,sxsiqwqjhfdpjmvgabcksottzpqqyhbakhkcelfplwizlcrwadzgvixrbdznjqrletumkye,355.0,Saskatchewan,Microsoft,S,50009.0,ZMHSUEKUU,3.0,Scottsdale,United States of America,1-766-490-7051,3.0,O,5.0
Pjk9385,188683.0,6.0,dznymfthialltmwcyfabucmgrorcxqkynmoibkvzadqxuowyrngnwwrr,850.0,AL,Ameren,U,411841.0,Edqjgeiic,,Berkeley,United States of America,1-916-847-3702,3.0,O,1.0
Gzo9386,47266.0,80.0,JWEBXMMSQQZEWPDTEFJ,,TN,Weis Markets,W,282042.0,kurqwfd,1.0,Hollywood,United States of America,1-197-198-5620,4.0,O,3.0
Vpn9387,3441452.0,1.0,Ludqlxwprwbxosw,450.0,CA,Progress Energy,U,76695.0,ZUWZTBCMEQVA,,Regina,United States of America,1-577-180-8689,0.0,R,8.0
orf9388,3472455.0,20.0,Zhcajnhbrckefeqxnvp,756.0,Ontario,Visteon,M,169740.0,pfiaq,,Columbus,United States of America,1-329-183-8034,4.0,O,9.0
Hqq9389,2731857.0,13.0,ROMDTIKNVAYSJVLQCUQRWXQEPWWIXRGHOCDNJUDBZD,711.0,SD,Kennametal,S,87347.0,mprvojlwo,3.0,Iqaluit,Canada,1-465-145-8568,0.0,,2.0
JZT9390,3393312.0,18.0,Tnekycorspvxexvfdovtowrmbzjmmekuixdqplxfmulaormplvokteeelrw,485.0,MO,Unum Group,U,134444.0,Ampdtjjmow,5.0,Des Moines,United States of America,1-861-535-8498,5.0,O,2.0
UIO9391,352441.0,3.0,UUWNBWOWUREBRNXJOFAVQPCXTVUUFEBHMNPGCFXEZXCALE,693.0,OK,Saks,U,490524.0,Zsfooho,0.0,Santa Fe,United States of America,1-355-189-2132,1.0,O,6.0
HNC9392,15207.0,14.0,,308.0,DC,WellPoint,U,492505.0,Cwrjka,1.0,Dayton,United States of America,1-959-949-9563,1.0,O,4.0
WUT9393,944635.0,17.0,RVZNQHOOZERHGTNQODRZAIPGOSWMMTUU,394.0,Saskatchewan,Mosaic,,163057.0,lreffpsoapl,4.0,Philadelphia,United States of America,1-817-711-2467,4.0,O,2.0
Paq9394,54176.0,85.0,,505.0,MN,Perrigo,U,31495.0,,5.0,Seattle,United States of America,1-649-673-7198,2.0,,0.0
WDL9395,2529652.0,53.0,HDKLJAUJJZQ,340.0,CA,Cintas,S,259876.0,Hefws,0.0,Charlottetown,United States of America,1-087-815-9390,5.0,O,2.0
amx9396,3677433.0,47.0,Sngcdgdmiqsfiwwmfkmohlsjjqoqdqzbspjpouogujhvzedudqkhmcoaoaqiuvhztitqxkwyiyq,,AL,Texas Instruments,U,449245.0,Dswxxgx,3.0,Kansas City,United States of America,1-832-424-1561,4.0,O,3.0
cyp9397,3100245.0,60.0,qtehiohrmvlmsywpvkqpdx,820.0,OK,Advance Auto Parts,S,143275.0,Npqncksoe,3.0,Honolulu,United States of America,1-192-130-6884,1.0,R,9.0
ETG9398,847782.0,38.0,Ixmmtfdbfnjvjlbuolanldheuojcrohnccjqjmqcvmdecfqzkyvcd,501.0,IL,,U,41921.0,Ftdav,1.0,Fairbanks,United States of America,1-243-000-0593,2.0,U,6.0
Bsg9399,1163096.0,83.0,qifnevglowuqdihkaalxnvkgyzqmqkldrnnowlsqnmehayfqsknaakqg,817.0,PA,Live Nation,M,257887.0,NFVOAXBA,,Yonkers,United States of America,1-753-749-8892,1.0,O,7.0
OAW9400,2521199.0,86.0,EDMWBEGIPNMTF,653.0,Prince Edward Island,Univision Communications,M,30394.0,Evetjrnywsyn,5.0,Yonkers,,1-135-620-2410,,R,7.0
nzr9401,1028705.0,23.0,Chfvsbnuthpjwuihipmjnvteduyqajtfkwjubkhmfvfeessehntixvarvnhogabeqy,342.0,ID,Procter & Gamble,M,,Tmhxsgjcmh,5.0,Newark,United States of America,1-770-368-1144,3.0,O,4.0
Jwn9402,284279.0,86.0,YQXWKSVHJPJDSEMOPVFCPOBFLITKUNUQUDFESTKVETHAGPPWDJEEZBYEUIWUBRJCRQKJJL,470.0,New Brunswick,Enterprise GP Holdings,U,324312.0,Rkacdbnd,3.0,Glendale,United States of America,1-003-170-7046,3.0,O,4.0
Ozn9403,3982154.0,95.0,Djmocxeqwenrrnhwvuhuqcvdhptxuuptgxfffynaxmfguybanmlgka,738.0,Alberta,Great Atlantic & Pacific Tea,U,206115.0,Dveyqtqgzw,3.0,Macon,United States of America,1-747-573-4013,0.0,O,6.0
Coy9404,1358649.0,66.0,oojwwgn,721.0,TX,Guardian Life Ins. Co.,S,286350.0,Ruewoopxmx,4.0,Palmdale,United States of America,1-651-224-0340,2.0,R,4.0
Yig9405,2950960.0,40.0,njdtoxprjctsxbihwydhthybtjimnskiybwijkptlmgfujagoiuebiovuusxdt,608.0,DE,Berry Plastics,S,,Uuxtc,2.0,Greensboro,United States of America,1-434-139-0541,1.0,U,4.0
Laz9406,,93.0,,387.0,MN,Xerox,W,396153.0,JNRGAXCHVW,2.0,Huntington,Canada,1-041-707-1801,3.0,O,4.0
Gou9407,,,lazxabkldnvllkfvjgabduysqudrmwjkyjaqcivexokksqixs,,MN,,S,113282.0,RHOLT,3.0,Nashua,Canada,1-142-543-8989,5.0,O,3.0
Den9408,3035527.0,67.0,Kilgrntjdfhxg,535.0,AZ,NetApp,W,107612.0,Cbjhpobwsvvm,4.0,Henderson,United States of America,1-642-408-5459,1.0,R,5.0
Jft9409,,44.0,Ipepdkutbkyhwnsnbpmwrzvkuboxfgzofceqnnllzz,602.0,AK,Cliffs Natural Resources,M,52850.0,Zfeztlg,5.0,Colorado Springs,United States of America,1-471-916-3022,2.0,O,10.0
SBQ9410,2078834.0,85.0,Qmwxfhdnuvr,791.0,MS,AECOM Technology,U,442069.0,SRANCKDPCPC,1.0,St. Petersburg,United States of America,1-916-703-9205,5.0,O,1.0
DQN9411,932477.0,20.0,Pfbdja,565.0,LA,PetSmart,S,424497.0,rryvgejmwlmj,2.0,Columbia,United States of America,1-549-791-3741,0.0,O,4.0
Gxn9412,2356456.0,55.0,TGFQFIAOIXQVOWPLFNLVSAHBZIVUQXCPWKNXUEHHYEVYFXDCBJVNDXQMLEYNGCAVIOACQMTQH,785.0,AL,Hewlett-Packard,,194585.0,,4.0,Fargo,United States of America,1-361-871-0230,3.0,U,9.0
Uil9413,2372383.0,40.0,,801.0,GA,Hudson City Bancorp,U,427521.0,AMDNFR,2.0,Milwaukee,United States of America,1-835-025-3174,0.0,U,0.0
GXC9414,2157485.0,82.0,tmeyiaqxajnupsbrmgdwwpyqyuobnjoljod,398.0,GA,American Express,W,25203.0,EBQOGKXWPV,0.0,Eugene,United States of America,1-650-468-3471,3.0,O,4.0
grg9415,1629131.0,40.0,AQBABKVAQRXYSEPIXSEYUMVQQHTNKUKWPEXEJSGTYQTHUACSNEEZ,679.0,AK,Kla-Tencor,S,314243.0,LLTSFRODVL,0.0,Fayetteville,Canada,1-376-762-0093,2.0,O,9.0
Lbi9416,1281786.0,39.0,jhdivvnpiuakzmtklchbulifgdzfchfbzeuvciujsfsalbhgnqocsudmvjuxkihrpxmdoohze,356.0,KS,J.B. Hunt Transport Services,M,215905.0,Tmuvwebrfv,5.0,Cedar Rapids,United States of America,1-942-284-7016,0.0,O,8.0
jha9417,,56.0,Rwcvrkwajhadbf,480.0,NH,Cabela's,D,249321.0,wjiarafv,,Buffalo,United States of America,1-294-143-0630,3.0,R,9.0
HMW9418,1912860.0,73.0,,376.0,MN,Nicor,U,435102.0,Xcjpcs,5.0,Biloxi,United States of America,1-777-426-7369,0.0,O,8.0
cvf9419,815582.0,,kxpgibfstrkkftbdyamucdbalmqahemrsxhsjufvtzixcswafwqbquhsiwvqobyakuktihs,591.0,NC,NiSource,M,359437.0,hpffav,1.0,Simi Valley,Canada,1-976-380-0264,1.0,O,6.0
Psa9420,1475743.0,61.0,OKDUCMYRPLMLRE,516.0,SD,Crane,M,197021.0,cpsidgtqeqz,4.0,Garden Grove,United States of America,1-733-952-9511,5.0,O,0.0
tcb9421,455426.0,33.0,Wfentbammniegyxnfrwpmbzfndaomrdlzzuwrwpkiqqevcagwsvwpssmreylctucdnnwhvingmw,595.0,WV,Wyndham Worldwide,S,188916.0,ZQNUFV,2.0,Yonkers,United States of America,1-461-827-7331,,O,4.0
Mcp9422,1352390.0,73.0,Qzxcjjloqrhqhsvqrywvlaoeqppetbcrvmwn,688.0,DC,,M,181793.0,Lfhhapm,3.0,Fort Worth,United States of America,1-505-629-5554,2.0,R,7.0
Gcp9423,205601.0,67.0,Addnshoeikxalllpgtmepn,724.0,PA,Bemis,D,271110.0,Dugyig,5.0,Warren,United States of America,1-993-925-5242,1.0,O,10.0
Mcp9424,2763552.0,34.0,Jcgmbs,813.0,CT,Kansas City Southern,W,43922.0,aqhqovlxo,5.0,Orlando,United States of America,1-700-360-1448,0.0,O,6.0
