prospect_gncd,prospect_crdtrtng,prospect_nmbrcrs,prospect_ncm,prospect_ct,prospect_ddrssln2,prospect_phn,prospect_nmbrchldrn,prospect_mrtlstts,prospect_g,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
FER3680,800.0,0.0,312933.0,Laredo,,1-291-235-4123,2.0,,61.0,R,Sherwin-Williams,5.0,
ash3681,675.0,2.0,370462.0,Huntington Beach,Suite 114,1-854-068-5233,5.0,M,56.0,O,Williams,8.0,3930263.0
NEA3682,704.0,,434164.0,Escondido,,1-006-968-7331,2.0,,12.0,O,Liberty Global,0.0,1714740.0
cha3683,815.0,4.0,230233.0,Raleigh,,1-535-846-1149,3.0,M,50.0,O,NCI Building Systems,,3372519.0
NAH3684,762.0,1.0,226460.0,Chesapeake,Apt. 387,1-946-617-1715,2.0,U,88.0,O,PNM Resources,10.0,587291.0
BAI3685,602.0,1.0,390526.0,Baton Rouge,,1-949-789-1381,2.0,U,68.0,O,CUNA Mutual Group,3.0,2621848.0
POM3686,686.0,,445707.0,Halifax,,1-297-404-0108,1.0,D,52.0,O,Progress Energy,3.0,2068957.0
bun3687,331.0,5.0,300897.0,Grand Rapids,,1-023-481-9726,2.0,M,38.0,U,Abercrombie & Fitch,2.0,397855.0
Dav3688,576.0,5.0,40419.0,Billings,,1-390-472-2788,4.0,D,47.0,O,Kimberly-Clark,8.0,1613178.0
KAS3689,465.0,2.0,263253.0,Great Falls,,1-988-324-2798,4.0,W,2.0,O,Supervalu,1.0,3209847.0
lei3690,629.0,3.0,14803.0,Houston,,1-688-623-4666,5.0,M,38.0,O,Jo Ann Stores,0.0,3325636.0
RUS3691,843.0,4.0,301280.0,Sacramento,,1-697-410-8698,3.0,U,13.0,O,Advanced Micro Devices,5.0,3061317.0
Bor3692,487.0,1.0,174994.0,Hay River,,1-569-532-1319,5.0,W,21.0,R,CME Group,4.0,1625727.0
war3693,836.0,2.0,156413.0,Montgomery,,1-839-583-5331,1.0,M,75.0,O,Omnicare,4.0,3208377.0
van3694,795.0,2.0,437554.0,Reno,,1-322-166-7819,0.0,S,61.0,R,BMC Software,2.0,332233.0
Moo3695,,2.0,431799.0,Huntington Beach,,1-605-476-1531,4.0,W,57.0,O,Country Financial Services,8.0,1618911.0
CAL3696,527.0,3.0,412706.0,Torrance,,1-299-903-7005,2.0,,91.0,O,McGraw-Hill,,19785.0
HOQ3697,,1.0,11964.0,Worcester,,1-986-031-6279,3.0,S,49.0,O,Maxim Integrated Products,,3024604.0
ope3698,567.0,5.0,342640.0,Akron,SUITE 420,1-961-479-5777,0.0,M,36.0,O,McDonald's,10.0,1040806.0
clo3699,807.0,1.0,184543.0,Flint,,1-248-811-0898,2.0,M,85.0,O,Realogy,2.0,3386869.0
Ano3700,315.0,4.0,302299.0,Biloxi,,1-508-810-3835,1.0,D,5.0,O,Jacobs Engineering Group,1.0,1506608.0
Hol3701,819.0,1.0,261472.0,Portland,,,3.0,U,87.0,O,Qualcomm,0.0,602576.0
BUR3702,803.0,,199483.0,Berkeley,,1-740-038-3061,2.0,M,87.0,,Brunswick,1.0,2062313.0
Sel3703,374.0,0.0,392164.0,Mount Pearl,,1-400-025-6609,5.0,U,39.0,O,Tech Data,3.0,516813.0
Ser3704,566.0,3.0,392747.0,Bellevue,,1-315-046-7380,1.0,,73.0,U,J.C. Penney,4.0,904658.0
BRY3705,349.0,0.0,378400.0,Las Cruces,,1-708-393-2869,0.0,U,56.0,O,SunGard Data Systems,6.0,1164476.0
van3706,781.0,3.0,486859.0,Great Falls,,1-715-576-6794,5.0,S,31.0,,UnitedHealth Group,6.0,424337.0
Dea3707,567.0,0.0,,Flint,,1-817-835-5953,0.0,D,10.0,R,FMC Technologies,1.0,
Neu3708,720.0,2.0,489235.0,Rancho Cucamonga,,1-799-302-5921,1.0,U,30.0,O,,,270781.0
Cof3709,301.0,3.0,78742.0,Huntington,,1-124-930-7139,3.0,S,2.0,,Albemarle,9.0,49208.0
Pri3710,692.0,3.0,339878.0,Huntington Beach,,1-031-776-4963,1.0,M,9.0,O,Colgate-Palmolive,6.0,728772.0
Ahm3711,715.0,1.0,299840.0,Tallahassee,,,2.0,S,84.0,,PNC Financial Services Group,,1259871.0
Fre3712,471.0,5.0,247966.0,Greensboro,,1-234-363-8893,0.0,S,93.0,O,Colgate-Palmolive,9.0,565999.0
dem3713,,2.0,246504.0,Tempe,apt. 384,,5.0,M,94.0,R,Time Warner,10.0,642512.0
Del3714,738.0,4.0,318844.0,Tacoma,apt. 714,1-517-007-7792,5.0,M,98.0,O,American National Insurance,1.0,3592841.0
Roe3715,717.0,0.0,88922.0,Fontana,,1-037-214-8441,4.0,S,100.0,R,Loews,3.0,3418129.0
PEL3716,671.0,5.0,427133.0,Sacramento,apt. 678,1-907-600-8587,1.0,M,67.0,U,Tiffany & Co,8.0,2305807.0
row3717,760.0,5.0,10238.0,Savannah,,1-662-637-7484,3.0,M,27.0,R,Questar,3.0,154974.0
fra3718,621.0,2.0,424999.0,Kansas City,apt. 989,1-781-040-8826,4.0,M,67.0,O,CenturyTel,1.0,315900.0
KAS3719,740.0,4.0,238849.0,St. Petersburg,,1-985-892-7861,2.0,U,77.0,O,McClatchy,2.0,2028359.0
che3720,482.0,1.0,211947.0,Salt Lake City,,1-742-971-3742,1.0,D,48.0,O,Systemax,1.0,3401242.0
UGU3721,627.0,5.0,480010.0,Charlotte,Apt. 915,1-422-246-5333,3.0,M,27.0,U,O'Reilly Automotive,3.0,276197.0
MAR3722,426.0,2.0,44051.0,Las Cruces,,1-164-418-8341,1.0,M,66.0,O,Great Atlantic & Pacific Tea,2.0,977908.0
TYS3723,519.0,3.0,363477.0,Windsor,apt. 407,1-881-249-0054,,W,3.0,,Loews,8.0,3116089.0
KAH3724,763.0,3.0,281684.0,Vancouver,,1-070-233-8193,4.0,S,82.0,O,Lennar,8.0,820385.0
Zvo3725,488.0,0.0,10464.0,Costa Mesa,,1-345-141-6408,2.0,U,66.0,O,Apollo Group,4.0,1963389.0
LET3726,422.0,0.0,273728.0,Virginia Beach,Apt. 513,,0.0,M,84.0,O,Bank of America Corp.,3.0,2079552.0
Keh3727,310.0,1.0,,Independence,,1-722-277-0703,4.0,U,61.0,O,Aleris International,1.0,995478.0
bra3728,404.0,5.0,422299.0,Houston,,1-776-871-1745,4.0,S,40.0,O,Enterprise GP Holdings,,958655.0
HOL3729,834.0,5.0,430074.0,Toronto,,1-309-628-8323,3.0,S,73.0,R,Sun Microsystems,5.0,2563060.0
Hop3730,452.0,5.0,318800.0,Cincinnati,,1-254-797-0807,5.0,U,79.0,O,Aon,0.0,432528.0
Kor3731,357.0,0.0,176625.0,Lansing,,1-878-352-0080,1.0,M,70.0,O,Steelcase,3.0,3655820.0
Gro3732,,5.0,462167.0,Tulsa,,1-459-249-7849,3.0,M,73.0,O,T. Rowe Price,4.0,3917267.0
Gog3733,818.0,4.0,148261.0,West Valley,,1-434-031-2688,0.0,U,33.0,O,SkyWest,1.0,1276796.0
Bor3734,336.0,,255310.0,Scottsdale,,1-499-268-2965,4.0,M,62.0,O,Noble Energy,10.0,1066355.0
Arn3735,791.0,1.0,313382.0,Saint John,,1-665-569-7816,5.0,W,16.0,O,Texas Instruments,3.0,3779442.0
SPO3736,812.0,2.0,480526.0,Hamilton,,1-994-456-8769,5.0,W,47.0,R,Consol Energy,10.0,1189522.0
lan3737,,5.0,,San Diego,,1-710-130-2088,3.0,W,,R,Ferrellgas Partners,2.0,1612749.0
CAR3738,387.0,5.0,57481.0,Pembroke Pines,,1-160-783-7022,4.0,M,4.0,O,Penske Automotive Group,9.0,1716600.0
NAR3739,344.0,5.0,471749.0,Sandy,APT. 776,1-840-182-7908,2.0,M,30.0,O,Carlisle,3.0,3364906.0
SCH3740,327.0,3.0,356279.0,Raleigh,apt. 224,1-140-875-8751,1.0,M,83.0,O,Affinia Group Intermediate,4.0,165857.0
Nek3741,758.0,2.0,482482.0,Detroit,,1-786-153-9323,5.0,M,12.0,O,Family Dollar Stores,7.0,614050.0
Dar3742,670.0,2.0,38517.0,Albuquerque,,1-694-243-0209,,M,,O,Thor Industries,4.0,1065045.0
Dun3743,340.0,5.0,141125.0,Plano,,1-070-553-6643,4.0,S,69.0,O,Merrill Lynch,2.0,975974.0
BAB3744,503.0,3.0,310966.0,Santa Fe,Apt. 266,1-279-880-4425,0.0,D,59.0,O,Sonic Automotive,8.0,2336041.0
pon3745,567.0,0.0,30670.0,Paterson,,1-291-664-0418,2.0,M,89.0,O,Reynolds American,0.0,3847430.0
Mag3746,320.0,1.0,161338.0,Windsor,APT. 440,1-316-708-5846,2.0,M,69.0,U,Delta Air Lines,1.0,1307768.0
Wil3747,836.0,3.0,231523.0,Cheyenne,,1-511-826-6681,1.0,D,,O,MEMC Electronic Materials,0.0,1609736.0
Hoe3748,665.0,5.0,231496.0,Oklahoma City,,1-282-864-4196,3.0,U,17.0,O,Alcoa,5.0,1519697.0
Blo3749,791.0,1.0,32736.0,Baltimore,,1-965-486-8968,0.0,M,32.0,R,Johnson Controls,6.0,1022755.0
Mul3750,308.0,5.0,413177.0,Elizabeth,,1-811-043-6123,4.0,D,17.0,O,Western Union,0.0,858084.0
VIL3751,640.0,3.0,67815.0,Sherbrooke,APT. 792,1-695-511-9565,5.0,,16.0,O,CSX,5.0,2428453.0
jaz3752,374.0,5.0,264119.0,Calgary,,1-724-794-1956,0.0,M,16.0,O,Fidelity National Information,1.0,1585407.0
Hla3753,706.0,3.0,463027.0,Toronto,,,4.0,S,66.0,O,Staples,5.0,3602781.0
Net3754,646.0,1.0,330969.0,Dawson City,,1-207-123-2993,4.0,M,88.0,O,Amerigroup,5.0,1402256.0
MAC3755,561.0,4.0,334004.0,Warren,,1-911-983-6609,,S,87.0,R,State Street Corp.,6.0,2069103.0
VOG3756,746.0,5.0,51163.0,Springfield,,1-315-698-6591,3.0,U,70.0,U,MetLife,0.0,2462374.0
Chr3757,686.0,4.0,56141.0,Portland,,1-985-068-2914,,M,56.0,O,Nacco Industries,5.0,3953300.0
DES3758,419.0,3.0,153340.0,Santa Clarita,,1-871-682-2368,2.0,M,70.0,O,Idearc,0.0,1368050.0
PEE3759,,2.0,4305.0,Simi Valley,,1-108-323-6445,3.0,S,41.0,U,CB Richard Ellis Group,9.0,2028581.0
Gar3760,303.0,2.0,34830.0,Madison,,1-985-643-6398,5.0,D,51.0,U,Bio-Rad Laboratories,7.0,2495743.0
MAR3761,594.0,2.0,467618.0,Peoria,,1-173-622-2101,4.0,M,30.0,O,Dentsply International,2.0,2050419.0
Cli3762,473.0,4.0,412102.0,Las Vegas,,1-629-466-7660,1.0,U,1.0,O,Ametek,9.0,501565.0
SHN3763,301.0,0.0,86859.0,Dawson City,,1-216-726-9008,1.0,W,19.0,O,CVS Caremark,4.0,2187654.0
Les3764,837.0,3.0,150572.0,Los Angeles,,1-078-942-9885,5.0,M,14.0,R,Coach,5.0,108434.0
Swi3765,400.0,0.0,176910.0,Augusta,,1-423-419-7104,5.0,U,42.0,O,Chesapeake Energy,,844532.0
SAM3766,391.0,5.0,247036.0,Tulsa,,1-482-212-7776,0.0,M,73.0,R,Amgen,4.0,1402583.0
HOL3767,763.0,2.0,192998.0,Erie,,1-466-775-7792,0.0,D,82.0,O,USG,10.0,955733.0
HUS3768,741.0,0.0,73123.0,Chicago,,1-522-889-6155,5.0,S,83.0,R,Charming Shoppes,1.0,2175371.0
Dal3769,503.0,0.0,32152.0,Fresno,,1-141-481-0128,5.0,D,100.0,O,National Oilwell Varco,4.0,17438.0
GAS3770,472.0,0.0,139556.0,Scottsdale,,1-956-581-6294,1.0,M,13.0,O,,2.0,342579.0
Jak3771,694.0,1.0,178341.0,Little Rock,,1-954-777-1829,3.0,M,67.0,R,Aetna,1.0,598877.0
Boe3772,717.0,5.0,380963.0,Huntington,APT. 3,1-691-018-0526,4.0,M,73.0,O,A. Schulman,,3258701.0
Jer3773,503.0,0.0,356863.0,Savannah,,1-504-157-1507,4.0,M,21.0,O,Dynegy,,2056890.0
Hos3774,788.0,4.0,274429.0,Mount Pearl,,1-060-425-4080,2.0,M,82.0,O,American Axle & Manufacturing,9.0,760673.0
Lon3775,372.0,3.0,467606.0,Charlotte,Apt. 339,1-337-975-0653,4.0,S,53.0,U,AECOM Technology,2.0,697721.0
Vey3776,600.0,0.0,,London,,1-622-077-2223,0.0,W,61.0,O,Big Lots,5.0,1717055.0
CAL3777,830.0,,65060.0,Hayward,Suite 14,1-862-264-8097,1.0,W,8.0,O,Steelcase,3.0,274958.0
Gah3778,381.0,2.0,106734.0,Livonia,,1-021-169-2188,3.0,S,52.0,O,Source Interlink Cos.,,1292597.0
don3779,838.0,5.0,145837.0,Tulsa,,1-425-650-4970,5.0,U,17.0,O,Bed Bath & Beyond,5.0,252905.0
MAN3780,825.0,4.0,237751.0,Washington,,1-606-935-1492,2.0,W,43.0,R,Jack in the Box,9.0,871787.0
gha3781,400.0,4.0,175599.0,Chicago,,1-390-043-1969,4.0,U,18.0,O,Hewitt Associates,5.0,2410475.0
AMA3782,816.0,4.0,111700.0,Huntington Beach,,1-997-958-1583,2.0,W,39.0,R,CC Media Holdings,1.0,1351570.0
mar3783,495.0,2.0,231849.0,Grand Rapids,,1-403-564-4649,3.0,U,89.0,O,CSX,1.0,854699.0
Bac3784,702.0,5.0,87101.0,San Diego,,1-426-554-7733,1.0,W,13.0,R,Mylan,5.0,2889647.0
FRA3785,418.0,3.0,141868.0,Fort Lauderdale,,1-737-487-9290,4.0,,18.0,R,Terra Industries,7.0,2142015.0
Lec3786,653.0,3.0,156844.0,Paterson,,1-063-140-2176,0.0,D,82.0,O,Alcoa,,3704507.0
Cos3787,303.0,5.0,61504.0,Oshawa,,1-406-537-1369,3.0,U,94.0,O,Public Storage,0.0,3179017.0
dok3788,333.0,2.0,60704.0,Pittsburgh,,1-205-827-7494,2.0,U,64.0,O,Hovnanian Enterprises,1.0,690194.0
man3789,487.0,0.0,287104.0,Columbia,,1-265-596-9775,4.0,M,57.0,U,Pilgrim's Pride,2.0,
Sta3790,667.0,0.0,43904.0,Spokane,,1-783-557-4963,5.0,U,79.0,O,Collective Brands,6.0,2574795.0
wan3791,702.0,1.0,313876.0,Moreno Valley,,1-003-662-1164,5.0,M,46.0,R,Collective Brands,10.0,3854258.0
Gru3792,787.0,1.0,354268.0,Memphis,,1-967-731-3488,2.0,M,,,CBS,4.0,753518.0
Man3793,788.0,3.0,285937.0,Idaho Falls,,1-993-871-2520,2.0,M,21.0,O,Moog,10.0,1127820.0
Bat3794,776.0,5.0,210429.0,Saskatoon,,1-849-035-4699,0.0,W,,U,CarMax,,93745.0
LOC3795,496.0,0.0,190784.0,Hartford,,1-256-286-2227,0.0,M,73.0,O,Viacom,2.0,3402817.0
SEI3796,690.0,2.0,107461.0,Tacoma,,1-293-592-5455,1.0,S,38.0,O,Amgen,10.0,995982.0
Hin3797,313.0,4.0,315923.0,San Antonio,,1-443-202-5437,5.0,U,86.0,O,Valassis Communications,1.0,409435.0
Bez3798,350.0,2.0,410933.0,Greensboro,,,2.0,W,34.0,O,Aramark,3.0,3860570.0
Ged3799,332.0,5.0,389785.0,Hollywood,,1-445-775-7204,0.0,S,63.0,O,McGraw-Hill,10.0,2507247.0
eav3800,835.0,0.0,381701.0,Vallejo,,1-596-576-5026,5.0,M,30.0,O,Unified Grocers,1.0,1330805.0
Kor3801,836.0,3.0,413806.0,North Las Vegas,,1-652-207-5924,1.0,M,77.0,U,National Fuel Gas,10.0,287050.0
God3802,674.0,4.0,342498.0,Pueblo,,1-773-419-4762,0.0,,6.0,O,Pantry,0.0,3643913.0
Hic3803,833.0,4.0,441144.0,Santa Fe,,1-726-431-9154,4.0,S,21.0,R,Mercury General,6.0,1651840.0
Mur3804,821.0,2.0,449603.0,Albuquerque,,1-489-643-7074,3.0,M,80.0,R,Lincoln National,3.0,3708109.0
Mck3805,332.0,5.0,283507.0,Norfolk,,1-219-649-0533,5.0,S,70.0,O,Alpha Natural Resources,4.0,2717434.0
PAU3806,509.0,3.0,294715.0,Stamford,,1-005-140-9650,2.0,U,83.0,O,Del Monte Foods,4.0,2426835.0
vel3807,758.0,1.0,48014.0,Henderson,,1-134-172-0969,2.0,M,15.0,O,Quanta Services,10.0,1881660.0
ste3808,502.0,,453485.0,Henderson,,1-382-363-4410,4.0,U,80.0,O,Interstate Bakeries,9.0,2358095.0
Stu3809,693.0,2.0,294846.0,Buffalo,,1-814-078-9043,2.0,W,31.0,O,Annaly Capital Management,10.0,2610144.0
COR3810,483.0,4.0,125833.0,Costa Mesa,,1-682-204-4111,4.0,M,,O,Flowers Foods,8.0,1062171.0
Gri3811,366.0,0.0,74420.0,Allentown,,1-401-920-9898,0.0,M,36.0,O,Brown-Forman,9.0,351965.0
TEL3812,480.0,0.0,288263.0,Seattle,,1-187-173-1828,4.0,S,83.0,U,Auto-Owners Insurance,7.0,104690.0
Vea3813,343.0,2.0,101716.0,San Francisco,apt. 619,1-839-275-1850,0.0,S,19.0,O,Bon-Ton Stores,2.0,1536925.0
Mal3814,356.0,2.0,,Aurora,,1-206-940-8397,,W,5.0,,Electronic Arts,6.0,
Sos3815,789.0,5.0,422851.0,Torrance,,,0.0,M,69.0,O,CC Media Holdings,7.0,
Che3816,429.0,4.0,36666.0,Stamford,,1-652-197-7391,5.0,M,31.0,O,Chesapeake Energy,3.0,3221211.0
Bri3817,564.0,3.0,38979.0,Winnipeg,,1-386-893-0040,1.0,M,,R,Cardinal Health,7.0,2264660.0
Ume3818,388.0,5.0,325538.0,Louisville,,1-259-403-5478,4.0,D,93.0,O,W.R. Berkley,8.0,3212852.0
PSU3819,368.0,4.0,161311.0,Rockford,,1-712-194-8621,1.0,M,12.0,O,,6.0,1021685.0
KOR3820,712.0,1.0,208328.0,New Haven,Apt. 38,1-473-486-2536,2.0,M,40.0,O,J.C. Penney,10.0,3791481.0
Bei3821,623.0,0.0,247584.0,Phoenix,,1-433-742-1040,1.0,M,90.0,O,Rockwell Automation,1.0,3663795.0
PIE3822,846.0,2.0,,Lowell,,1-855-208-0745,1.0,S,0.0,O,CHS,,491135.0
DED3823,841.0,4.0,449232.0,Santa Fe,APT. 192,1-722-034-7472,3.0,S,8.0,O,Markel,5.0,2220509.0
PEA3824,308.0,5.0,351472.0,West Covina,,1-648-730-5310,4.0,M,68.0,R,Celanese,0.0,3876023.0
MAU3825,448.0,1.0,20130.0,Peoria,,1-134-439-0217,2.0,U,82.0,O,AutoNation,6.0,1912681.0
ROW3826,426.0,3.0,49172.0,Mesquite,,1-149-692-8404,2.0,U,25.0,O,GameStop,9.0,2805997.0
Sel3827,603.0,5.0,465260.0,Pueblo,,1-183-610-8011,0.0,S,76.0,O,Scholastic,2.0,276419.0
SIM3828,850.0,1.0,205453.0,Great Falls,,1-981-808-4556,4.0,M,32.0,O,,9.0,353027.0
cos3829,488.0,3.0,493655.0,Hollywood,,1-230-318-0498,3.0,S,37.0,O,WABCO Holdings,5.0,3723662.0
Cor3830,446.0,5.0,40951.0,Plano,Apt. 736,1-218-486-8629,3.0,M,0.0,O,Hawaiian Electric Industries,5.0,2847460.0
Did3831,507.0,4.0,98722.0,Miami,,1-106-294-0164,4.0,S,21.0,O,New Jersey Resources,4.0,2859405.0
Kec3832,566.0,1.0,149780.0,San Francisco,APT. 288,1-182-704-1353,0.0,M,4.0,O,YRC Worldwide,9.0,74716.0
Ber3833,730.0,4.0,279421.0,San Jose,Apt. 324,1-541-140-1377,0.0,U,59.0,R,Circuit City Stores,7.0,3493117.0
dor3834,692.0,3.0,118936.0,Jacksonville,,1-412-352-2012,0.0,U,73.0,O,Itron,1.0,2331899.0
arm3835,490.0,4.0,158726.0,Hialeah,,1-478-054-7985,5.0,M,65.0,O,Olin,3.0,3728042.0
tim3836,434.0,1.0,416174.0,Winnipeg,,1-240-249-7550,5.0,S,20.0,O,Newell Rubbermaid,5.0,3637311.0
Mal3837,382.0,3.0,195832.0,Durham,,1-674-285-6196,0.0,S,74.0,R,VF,0.0,3684540.0
Ryd3838,464.0,2.0,26350.0,Sudbury,APT. 858,1-057-461-8897,1.0,M,91.0,O,AnnTaylor Stores,0.0,3955555.0
SEL3839,570.0,0.0,185352.0,Manchester,,1-873-275-8081,2.0,U,25.0,O,Charter Communications,,1602215.0
STE3840,706.0,0.0,420546.0,Escondido,,1-996-167-4686,4.0,M,46.0,U,,2.0,654013.0
Izi3841,505.0,0.0,358745.0,Washington,,1-354-412-9002,5.0,W,77.0,O,Valassis Communications,7.0,379684.0
Fro3842,687.0,4.0,474590.0,Springfield,,1-929-877-0764,3.0,U,93.0,O,Sealed Air,9.0,2601096.0
Men3843,582.0,5.0,91643.0,Cedar Rapids,,1-591-177-9817,2.0,S,62.0,O,KBR,4.0,170906.0
Bus3844,,1.0,,Torrance,suite 459,1-102-929-9677,0.0,M,93.0,O,Avnet,3.0,1614723.0
Wei3845,485.0,,277979.0,Des Moines,,1-811-612-1190,4.0,U,1.0,O,Kansas City Southern,,3141717.0
Cle3846,685.0,5.0,70176.0,Anaheim,,1-620-412-9037,3.0,D,42.0,R,Tech Data,10.0,2594540.0
Win3847,492.0,5.0,267081.0,Shreveport,,1-934-158-7897,0.0,S,13.0,O,U.S. Bancorp,4.0,2227290.0
Soh3848,801.0,3.0,117882.0,Miami,Suite 405,1-327-461-7717,3.0,,10.0,O,Liz Claiborne,7.0,519103.0
She3849,310.0,4.0,215564.0,Lubbock,,1-425-446-7537,0.0,M,84.0,O,Kraft Foods,8.0,2412460.0
Caw3850,682.0,3.0,397315.0,Costa Mesa,,1-020-064-5168,2.0,S,68.0,R,eBay,5.0,
Jew3851,337.0,0.0,251895.0,Oakland,,1-807-429-1321,1.0,D,32.0,O,Prudential Financial,8.0,858455.0
STA3852,816.0,4.0,111248.0,Hay River,,,1.0,U,42.0,O,Moog,2.0,2787342.0
Mod3853,754.0,0.0,253682.0,Bakersfield,,1-840-381-3691,5.0,M,61.0,U,Cincinnati Financial,4.0,1839144.0
Bor3854,592.0,4.0,482631.0,Santa Ana,,1-151-989-4875,2.0,U,80.0,O,Time Warner,3.0,70653.0
COR3855,703.0,4.0,368947.0,Tucson,,1-384-061-1944,2.0,D,42.0,O,Pilgrim's Pride,10.0,176534.0
Nis3856,548.0,2.0,279975.0,Chandler,,1-327-748-3717,3.0,U,47.0,O,Boyd Gaming,5.0,1253228.0
qui3857,689.0,,284703.0,Modesto,,1-815-535-6822,5.0,U,3.0,R,Greif,2.0,3280715.0
Bac3858,583.0,4.0,389072.0,Winnipeg,,1-276-532-9869,4.0,M,28.0,O,Chemtura,7.0,2360813.0
Beh3859,,5.0,10312.0,Calgary,,,0.0,M,67.0,O,United Natural Foods,6.0,3261168.0
FON3860,637.0,1.0,45223.0,El Paso,,1-218-511-9759,4.0,S,19.0,O,Prudential Financial,5.0,3543582.0
sle3861,478.0,1.0,284105.0,St. Petersburg,,1-477-362-1457,4.0,M,99.0,,Delphi,10.0,3553513.0
LAN3862,384.0,4.0,62602.0,Plano,,1-762-213-3610,5.0,U,36.0,O,American Financial Group,9.0,2182659.0
Bea3863,760.0,3.0,263510.0,Milwaukee,,1-531-410-9458,0.0,M,37.0,O,Anixter International,3.0,3900802.0
rei3864,814.0,5.0,371933.0,Lowell,,1-521-001-7188,3.0,D,55.0,O,Allegheny Energy,10.0,879138.0
Cha3865,665.0,1.0,462898.0,Anaheim,,1-451-674-9663,1.0,M,61.0,U,Monsanto,9.0,1753731.0
Isk3866,655.0,1.0,168370.0,Rapid City,,1-840-921-7902,3.0,U,19.0,R,,3.0,2807626.0
DE 3867,433.0,5.0,128841.0,Topeka,,1-500-635-2980,3.0,,73.0,O,Amgen,4.0,
Del3868,642.0,4.0,134679.0,Fayetteville,,1-765-688-1000,0.0,W,59.0,O,Jarden,2.0,2682714.0
Fra3869,741.0,1.0,178966.0,Austin,suite 114,1-891-143-3987,4.0,D,62.0,O,Coach,0.0,3593836.0
Rei3870,416.0,4.0,255559.0,Pembroke Pines,,1-367-934-3770,2.0,D,26.0,O,Mutual of America Life,0.0,848352.0
Pea3871,438.0,0.0,275450.0,Sunnyvale,,,2.0,S,58.0,R,Symantec,10.0,3595777.0
Hox3872,516.0,0.0,284488.0,Missoula,,1-811-369-4798,5.0,M,82.0,O,Ametek,5.0,2670129.0
har3873,339.0,5.0,386187.0,Providence,,1-329-682-8868,5.0,W,37.0,O,Moog,5.0,3662382.0
ACZ3874,729.0,4.0,271085.0,Worcester,,1-013-905-7677,3.0,S,49.0,O,Imation,4.0,1199647.0
Bow3875,339.0,1.0,65303.0,Garden Grove,,1-818-571-9769,3.0,U,17.0,O,Vought Aircraft Industries,,
BOW3876,340.0,5.0,416339.0,Dover,,1-088-806-9059,2.0,D,65.0,O,Cabot,,2885068.0
XAV3877,704.0,1.0,69721.0,Philadelphia,,,0.0,,75.0,O,SunGard Data Systems,5.0,360789.0
Van3878,467.0,5.0,485917.0,Oklahoma City,,1-058-412-8314,1.0,M,100.0,O,E.W. Scripps,6.0,2729238.0
Smi3879,722.0,2.0,350425.0,Allentown,,1-502-878-4242,,,93.0,O,Marathon Oil,10.0,859492.0
RIC3880,302.0,2.0,413022.0,Sherbrooke,,1-863-751-1470,3.0,S,20.0,R,Stryker,8.0,367593.0
Koo3881,580.0,1.0,54119.0,Savannah,,,4.0,M,9.0,O,Total System Services,9.0,2233443.0
gun3882,511.0,1.0,13311.0,Durham,,,4.0,S,90.0,R,Questar,4.0,830213.0
Fox3883,520.0,1.0,215228.0,Providence,,1-592-782-2932,2.0,M,54.0,O,Alliance One International,5.0,332338.0
Kes3884,313.0,0.0,131014.0,Thousand Oaks,,1-235-978-1596,5.0,U,54.0,O,Sealed Air,3.0,368931.0
ess3885,779.0,1.0,276435.0,Pomona,,1-229-312-2473,2.0,,31.0,O,AECOM Technology,0.0,2535264.0
Wea3886,830.0,4.0,277758.0,Oshawa,,1-263-130-0488,2.0,U,16.0,U,Regal-Beloit,6.0,1361087.0
Sch3887,711.0,0.0,166826.0,Montreal,Apt. 76,1-400-337-8019,4.0,S,60.0,O,Century Aluminum,5.0,1613720.0
Ast3888,457.0,2.0,145725.0,Carrollton,,1-190-461-6643,5.0,M,8.0,O,YRC Worldwide,4.0,1781858.0
Sid3889,595.0,4.0,405488.0,Chesapeake,Suite 28,1-914-791-7334,4.0,W,56.0,O,Penn National Gaming,8.0,2791865.0
Yak3890,637.0,1.0,133659.0,Elizabeth,,1-975-686-4201,5.0,M,3.0,O,Northeast Utilities,4.0,2979142.0
Nor3891,738.0,3.0,403219.0,Phoenix,,1-763-255-8217,5.0,,2.0,R,Teleflex,8.0,377320.0
Gru3892,753.0,0.0,348691.0,Fayetteville,,1-105-707-5050,5.0,M,88.0,O,Costco Wholesale,2.0,2373015.0
pls3893,573.0,5.0,464643.0,Omaha,,1-980-975-5706,5.0,S,41.0,O,Xcel Energy,4.0,3876229.0
bij3894,672.0,1.0,149148.0,Allentown,,1-633-373-1097,4.0,M,52.0,,Affinia Group Intermediate,0.0,2449825.0
Cri3895,609.0,3.0,184736.0,Brownsville,,1-768-666-4510,5.0,M,15.0,O,Parker Hannifin,2.0,3049513.0
Muk3896,350.0,4.0,482748.0,London,,1-853-368-8479,3.0,D,100.0,R,Gannett,4.0,2375253.0
mcc3897,463.0,3.0,212523.0,Allentown,,1-360-443-7018,,S,70.0,O,Newell Rubbermaid,0.0,
bir3898,517.0,0.0,418533.0,Tucson,,1-021-655-0829,0.0,M,32.0,O,Coventry Health Care,0.0,2646002.0
GUI3899,449.0,4.0,497476.0,Victoria,,1-267-719-3740,4.0,D,80.0,,MDU Resources Group,1.0,1136767.0
