prospect_AgID,prospect_MaSt,prospect_CreRa,prospect_Co,prospect_In,prospect_St,prospect_OORFl,prospect_FiNa,prospect_LaNa,prospect_MidIn,prospect_Pho,prospect_NuChil,prospect_Ag,prospect_Ci,prospect_AddLi1,prospect_NuC,prospect_Em,prospect_NuCreCar,prospect_NeWor
VYM8227,M,693.0,Canada,194250.0,Ontario,O,ldqwbgqddxwvlrqcgveoallj,VYMZFCRIRUE,,1-321-306-1431,3.0,97.0,Quebec,Hzqfmfqgziqbhpviudjvhjpbxfgaxulszeiynftjuzzt,1.0,CF Industries Holdings,8.0,1253712.0
Mgi8228,S,623.0,United States of America,91558.0,KY,O,jiafttrkfdfxej,Mgiarpfrvqbrtp,H,1-052-095-8041,4.0,45.0,Mesa,Peidcp,0.0,,5.0,58913.0
Gbw8229,U,622.0,United States of America,422839.0,IA,O,Xjpevbukikogxjgdbr,Gbweeigts,K,,2.0,54.0,Santa Ana,Nqtlvgdddcynuhmwxuapofqeymfzqvjeafplewkkvgariuukififojkemkqii,4.0,Teleflex,3.0,1999815.0
qma8230,,750.0,United States of America,239411.0,Saskatchewan,O,Vnaxqiqgvgtolwihahbmijjjssio,qmaoxucwmafgpgxbv,,1-052-009-5616,5.0,17.0,Oklahoma City,,4.0,Sigma-Aldrich,2.0,896850.0
Zwk8231,M,686.0,United States of America,444526.0,Alberta,R,Yucdkwkaralraloiw,Zwkgytc,c,1-170-960-9109,5.0,72.0,London,Impnsqvntocfwobhnrabjgivkawepwfqj,0.0,Steelcase,6.0,3240804.0
NMP8232,M,648.0,United States of America,202486.0,KS,O,Fqsgea,NMPAZTBOQLEQMNHMBTGSWXSCHTBWVD,,1-847-755-5040,3.0,5.0,Grand Rapids,MTFHVPATTDXCOMTJEDZYVDIOQYKHMVALOZSRSPUOPDNKTHOTIFWREBNN,2.0,FirstEnergy,9.0,2554609.0
GTD8233,D,499.0,United States of America,68361.0,WY,O,WFTFLQLUQACPIMSSGEGWOL,GTDBAXQJFWSEVNYATGBEOW,a,1-224-955-2425,0.0,56.0,Colorado Springs,Ynagcrismpmdzuiqhbviaeszgaswicwkwhbeflfyqmyzbcckhgbsomapheahuwhzlth,2.0,Affiliated Computer Services,9.0,988258.0
Bic8234,M,682.0,United States of America,158060.0,Saskatchewan,O,aqrcqagkmchehta,Bicyrvktfccwcjh,,1-292-360-1691,2.0,2.0,Iqaluit,udxfegumntghjpjmbvdacqwwvcsvudetqvegkrpl,4.0,Cytec Industries,0.0,1873895.0
IDA8235,M,561.0,United States of America,175529.0,VT,O,gaekbxp,IDANLHDUTRTCXOSLH,y,1-991-535-2419,3.0,,San Buenaventura,,4.0,News Corp.,2.0,2357669.0
lwk8236,S,679.0,United States of America,200101.0,ME,O,Odtqpljvpmhyaewcriuansipstghd,lwklmrwvnmg,y,1-399-636-9496,0.0,,Torrance,DXRKBQCJKBRSTIZU,1.0,Discovery Communications,5.0,1038657.0
Zht8237,S,495.0,United States of America,384042.0,NC,O,eetamvoamhvhxbftt,Zhtutvmvpcdvoziznvoqa,,1-111-488-6975,2.0,88.0,Sunnyvale,rjwfufufmcghvsewqsxbqdjxtrjqckx,0.0,"Toys ""R"" Us",1.0,1104168.0
kcg8238,W,801.0,United States of America,398456.0,MI,R,errpyy,kcgbophjwhglqgbovhjbbceak,,1-153-902-5023,2.0,35.0,Boston,Jjbiifckdzsbjpeuorvoxlipxsghewlsapwcmvereoqeovdxmvwmvqjadzmlasiuopdggwpqnhwo,4.0,Hexion Specialty Chemicals,8.0,3238082.0
Qtq8239,U,611.0,United States of America,161310.0,ND,,Foxlmlxnaoopwiytqiumpp,Qtqygefcbitzk,N,1-225-117-5803,3.0,54.0,Montreal,wxemwwasopexvzhfoslaxefenrxwsntzejbdhnpndekhubtinpmvxirvdpslurivmoz,5.0,Trinity Industries,8.0,2417935.0
SNX8240,M,525.0,United States of America,322139.0,WY,R,Nralbmee,SNXKNTIRANDVNKXS,L,,1.0,72.0,Warren,CTBMNRKZKYIOGEOJRVRQGUE,0.0,Applied Biosystems,6.0,2714291.0
umw8241,S,805.0,Canada,379425.0,IN,U,Itbaluqrdzaogxymgbny,umwpvofddlxhmtvar,,1-812-389-6366,3.0,68.0,Charlotte,IVITWNZ,5.0,PerkinElmer,10.0,1200283.0
Kdu8242,S,508.0,United States of America,449935.0,Prince Edward Island,R,Tjptfgw,Kdujtpq,D,1-048-272-4247,4.0,2.0,Macon,mdaiilpcpaposswtmjvyhutynonncjflomkkekwbmtcupnkgacpgigsknwinxzkkuysjrpmexs,5.0,FMC Technologies,6.0,3904614.0
Voq8243,M,490.0,United States of America,388691.0,Ontario,O,WTLQZTRCUTYNIXP,Voqzuedberysnlkjtavrbkwnwp,q,1-501-508-6157,3.0,79.0,Waco,mdwmgllbqxvcbdizfrjjetnytvsntdflwzdjeonmphtgaqdigmiqhkumwjtlwbvrhhbthpcijzhsvrou,0.0,StanCorp Financial,7.0,2821487.0
gga8244,M,510.0,Canada,342163.0,VT,R,NPHTOYFJMENHCQYF,ggaxhjcopqdnoakdklpbjhl,R,1-336-477-4646,0.0,,Wilmington,,1.0,Gilead Sciences,6.0,1237889.0
OHZ8245,U,761.0,United States of America,368434.0,FL,O,Hlqfwcocwn,OHZXBCCGHGDOTLBFOFDXYBUJPOR,E,1-474-720-6190,1.0,89.0,Baltimore,Hvinftrtmhiqhtioplrkitqu,3.0,Carlisle,3.0,1753222.0
XKK8246,M,639.0,United States of America,468239.0,NM,U,VZVRHKKDE,XKKGJNUBOELKBXHLZJAKIKL,V,1-799-030-5417,1.0,86.0,Bellevue,Gvhvhhd,3.0,US Airways Group,9.0,929818.0
Btx8247,U,375.0,United States of America,376227.0,VA,O,Bztunhjcroefgumpyxghaqyw,Btxtq,E,1-712-712-1689,5.0,45.0,Hilo,pjbesxitsmdditkhzvqrurucduhaoiglzwjrgjblakwxtdmxmjdlescqfqf,4.0,Steelcase,,3936166.0
Ihd8248,U,410.0,Canada,84005.0,IA,O,Pokarfduavw,Ihdfhvujxlsuyjhmbztnv,,1-735-098-2967,2.0,17.0,Ann Arbor,Esssiazilfxsczhuobobfslsdbxsycyerymlawdmoqgdijc,5.0,Las Vegas Sands,8.0,3874282.0
Axh8249,M,567.0,United States of America,324715.0,FL,O,Jxtojmbvnhhddtscesee,Axhcysfdsrdbpego,,1-268-546-4849,1.0,51.0,Shreveport,YTMBDNFVPKITIUWUXBFCJVMWLNCYPJIARWJWBLDIHPVUKFP,0.0,Discover Financial Services,4.0,667415.0
jyx8250,M,338.0,United States of America,251835.0,Quebec,O,BDDWRAXICYTMHVTSDVR,jyxuaofoqmcwcqobb,,1-252-339-9310,5.0,34.0,Warwick,sxdqqllyptpbksuvfvaldxqpjyvpnqeibrmsmesvthfdavliasjljudcuvdsscbl,1.0,Cummins,6.0,3919924.0
Jir8251,S,328.0,United States of America,337799.0,MS,O,hcmaebyzjvrc,Jiresqzgxvqthohlhhbvaal,,1-558-469-8699,3.0,15.0,Vancouver,Sugjnnmp,5.0,Unified Grocers,1.0,3029241.0
nbh8252,M,461.0,United States of America,226214.0,VA,O,Ucvhmofoxyrlms,nbhzhbtidw,r,1-529-039-7160,1.0,77.0,Wichita,FEIXPHQQKQWYPRNKILXNGSWCRMBBZRVKOEAVGXHSMAYQOJIFMSJTTZDTJZQQPFATXVWLUAB,3.0,Liberty Mutual Insurance Group,8.0,2706929.0
Gbd8253,W,720.0,,248844.0,NY,O,WJYKUMONVEGRJHUUWOFKFJUQ,Gbdlkerocaqwjdzjeikpnabopqx,,1-149-127-7299,4.0,50.0,Topeka,AGNMOTVSPCDMSXDPMPBBWREZYRKPKQQLJRAMHAFYLZWONHQTAHPOKKKOJJRFCOYIRUJRHERKY,2.0,United Services Automobile,4.0,3588909.0
Gji8254,M,697.0,United States of America,467894.0,LA,O,NWWSVMUKWGSKPNBTGZRECQIULSSZ,Gjipmgvft,y,1-548-271-6193,2.0,98.0,Buffalo,xisktpstmyefdtwqdjxsvuuuirbwobezfgonrkcqmsksqvwortijbhqtx,0.0,,2.0,3208555.0
MRJ8255,W,426.0,United States of America,,AR,O,Tgpjnwmhumabgymoxidjn,MRJYKEH,,1-959-002-8858,2.0,81.0,Garland,Vagaczbmlaahkipyxsnsobzweizqfooaxqizibhchavywgtbymhspcsxpmwjfgbxlfv,4.0,Mattel,10.0,3859308.0
Qev8256,M,412.0,United States of America,309563.0,Prince Edward Island,U,xsbuyngvvbisozvnjqnbodl,Qevocooirnrcsqrrtapbiyrtwcmuoy,,1-790-570-3402,,29.0,Scottsdale,ZUCMSNQZOOLGFBBYVTZYJKTBZGTLGHWKUPCJFLWEBZESQAORIXZQVFRRPFRIRCREXBXZSUM,3.0,Church & Dwight,3.0,2372347.0
REX8257,M,589.0,United States of America,23737.0,IA,O,Jnlzmjcwkpemyymlh,REXWTZAEUMPFEFTB,J,1-459-573-8675,4.0,61.0,Anchorage,Flcxzhoiwdrwxwvdngllihdlywqvupwsprqlrwuioswooo,4.0,Mohawk Industries,10.0,2547185.0
Shz8258,M,832.0,Canada,84510.0,OH,U,wkdvxre,Shzyzlgofcyxgokctdfptuskal,,1-736-284-7347,2.0,23.0,Kansas City,Aihixnpbkmigawwuvrrohhof,0.0,Vishay Intertechnology,0.0,2397440.0
Ibx8259,M,,United States of America,62462.0,Saskatchewan,,Pghxkpvmgykhhswgu,Ibxttzkpxtz,g,1-413-543-7562,4.0,34.0,Colorado Springs,oaahpkhopatcjubnvuhdvmwzuz,1.0,Hanesbrands,8.0,1278208.0
Srz8260,M,766.0,United States of America,259950.0,SD,R,dzohpfyrblsidtjngmxlrordkq,Srzzksnhzumy,I,1-086-431-7246,3.0,91.0,Fairbanks,wamapqtqjwntsaignftghcmqqoqnanlbgwobwbkifremhvxjrhlafc,5.0,ConocoPhillips,0.0,1657447.0
FLL8261,M,508.0,Canada,177982.0,NC,O,Mqwcfyiprvsirchhacxorh,FLLHKIIZAZHRICLTIT,,1-385-146-8140,5.0,90.0,Inglewood,OAEMFJZOEQACUMFJIHZNTSQPZSDBARA,5.0,Clorox,3.0,3306301.0
foq8262,S,744.0,United States of America,399867.0,VT,O,renxmtwbgbeli,foqinya,A,1-555-884-4350,5.0,99.0,Fresno,Ozlaiqbxxwbwbjuvpiqfjhxyahzexbytgejyuczrfzgjribshcoxqt,1.0,Mutual of America Life,5.0,3114013.0
wsz8263,S,569.0,,197976.0,CA,,ZAWCSPHUSBYDJBYU,wszqkkjrtgrxpdvc,p,1-747-411-6701,0.0,94.0,Quebec,QYJAUZVDZJLHTOJBKIGZDCPHBP,0.0,Medtronic,5.0,1628599.0
Mlh8264,M,632.0,United States of America,479805.0,Newfoundland,O,YVOWJQOE,Mlhvjh,b,1-068-236-5784,3.0,70.0,Allentown,Nlozdmobbxwbvyxiokhlkufrselvyxisiuqklmnskqblsozwdsydacxlwcuyartarjauikiyqiqx,0.0,Xcel Energy,8.0,406225.0
GIQ8265,S,709.0,United States of America,355323.0,CO,U,biywtldywztveknplf,GIQMAHZBIVGDGAUR,,1-866-836-5802,4.0,43.0,Newark,gzrcvlnxkcgmmsaasugzvjmynvasvsatwvbirulbhaxkwpehomxppjxvjguznfwtoitax,2.0,Portland General Electric,0.0,1201091.0
qsw8266,D,448.0,United States of America,138933.0,OR,R,ijnbscdbqqsocghvx,qswxcmgcffgfprvslvkq,n,1-998-541-3254,5.0,21.0,Overland Park,Pgwjcdzmcygjlkmvpakpzjejddjjxovvosibxoseyvlvnwfojeqxv,4.0,Molson Coors Brewing,2.0,3141283.0
bfv8267,M,452.0,United States of America,373085.0,NC,O,JJIBTDGBWHWOIMQERU,bfvlotpwyiqbjyqeiy,,1-885-323-1549,,56.0,Brownsville,Zqlvlqqwupjwvduawfmvcngnclponxhbofnbw,1.0,PG&E Corp.,,1926007.0
jqv8268,U,841.0,United States of America,223635.0,Newfoundland,U,Drnhlmcrckf,jqvfnemhqipdnmbwbmkwohtd,o,1-514-968-3721,2.0,10.0,Newark,Iuwwrampcmqsqtohet,3.0,Williams-Sonoma,6.0,2838996.0
Buz8269,M,570.0,United States of America,293818.0,CT,O,Ugfwtampizrxogf,Buzzkmgbvosvzzipim,,1-269-244-1579,2.0,51.0,Oklahoma City,Hxshojgldxpwdvczfqvfofmpcpnsblntzwfvhznmynodglewdacmazdxmtvrfrnjefgcrfpxfgbdj,2.0,Honeywell International,5.0,1737347.0
End8270,M,328.0,United States of America,310287.0,AR,O,FUXMVCVRUDAMQHROEHP,Endjftcwylmlgjzqvuurzvokjb,u,1-372-816-4603,0.0,88.0,Hull,WOVSRUBZSLYASYSFWUZRDBDIRQJBETCCRWTCVOMIJJCGIMLZEONPXMNRBXTDUEPQHFRDCUUKYWKUSQBO,1.0,Raymond James Financial,6.0,2727896.0
fnw8271,S,691.0,Canada,347444.0,UT,R,Ibtbtxmcvtwvijegzzmyxezaqcgq,fnwccaavwyaywtyfmygb,m,1-469-915-1376,4.0,29.0,Lowell,UTVYNMHKRUVICOLDMWTIWXXQYOWYINYNYLCREO,2.0,Calumet Specialty Products,10.0,1463334.0
rra8272,M,549.0,,438442.0,IN,O,Kvvixfanpvev,rradsttvsznubvf,,,0.0,42.0,Bakersfield,embljhtpibdtlgybnjkopkpj,2.0,Cinemark Holdings,3.0,3778043.0
Zso8273,M,399.0,United States of America,259339.0,NE,O,xvgnmmwd,Zsotdworplimkuaqq,K,1-980-661-2985,5.0,49.0,Stockton,AUPRBOVBHRIYQDQULVTTTNLBNPYHATSGQLVDXOENJKDFWJEMUIKBNTSKFECAM,4.0,Hasbro,7.0,
Jun8274,,419.0,United States of America,249443.0,Newfoundland,O,Sbbnesrvfiuf,Juneadslw,P,1-219-975-6702,0.0,,Frederick,BZPPBHMKIOZBLNWBUTEDVXBVQACFMBIVQSAVHDLEHVRED,1.0,Ecolab,5.0,1111335.0
YPV8275,U,739.0,United States of America,421335.0,UT,O,Jwgobvuokphtfmuluahwfw,YPVMIZYJFKFAUSLQMEDEBBNWFTLDFR,,1-853-223-4071,0.0,33.0,Hamilton,XBQOKOACJIOSQPXMORMNAURSNGRXYROM,3.0,Activision Blizzard,0.0,3962912.0
Dey8276,D,807.0,United States of America,329021.0,SC,R,ivzklgeuujrffttsufderbqqibadek,Deyuvpe,,1-353-902-3981,2.0,35.0,Elizabeth,Izdpcvsgpbposzszximguwxtsh,,Asbury Automotive Group,0.0,643738.0
Ihr8277,S,571.0,Canada,382911.0,WI,O,Zeohltwkqfwijfxxndnqt,Ihrywdgfvshjpsdmajjzguto,,1-543-814-1676,5.0,3.0,Hialeah,cburkbyudnvxkoivdxhbxcxyzxbgywongkemyfwzgtjdoptntvqwxujtnxoicrcipjzqnuymothc,5.0,Wyndham Worldwide,,3566462.0
Dqo8278,W,,United States of America,483478.0,KS,R,sfjzolrwvmosbsouxr,Dqoaewiu,,1-559-289-7306,1.0,83.0,Inglewood,RIWACHKOSYEPEAXABTJNXTIQGMAEQWTRBGKAHYFSUDWNVQWMQMNHIWIMRQGIEJNFVNXDB,3.0,Zimmer Holdings,0.0,2076840.0
Adm8279,U,468.0,United States of America,242798.0,AZ,O,zuubajrrahsxgj,Admkkqwtzxfjqyyiwruck,,1-666-150-9832,2.0,37.0,Fairbanks,bneuiiekibdzuuhgcayetqonpbfbpw,,Flowers Foods,4.0,2685720.0
Dyl8280,U,720.0,Canada,387352.0,Nova Scotia,O,zeaexfpwzoqohxnrssajrkwiss,Dylquimbnkhrntevvqmvv,O,1-912-438-2596,2.0,94.0,Oceanside,Hkxlgu,2.0,H&R Block,4.0,974327.0
LAL8281,U,529.0,United States of America,201029.0,GA,,bbolbqgsxcvkrtwjjafw,LALIEJF,I,1-551-364-2695,3.0,,Warren,bkfzstdcjcizxyugmcwvufumhgtzdyb,0.0,Spherion,8.0,371533.0
RHK8282,W,305.0,United States of America,368666.0,MO,O,Nlgudmfywhmankncpbipth,RHKJJMMNMXWX,,1-326-313-5651,5.0,74.0,Denver,Jnxpocdcofadlsttnhxmmzstuvmgrfvjercgxhefqdprmpjwbizzarrtqrxysmynhmzgosdca,1.0,Dominion Resources,4.0,1033295.0
jgp8283,U,331.0,United States of America,233211.0,ME,R,Ocampeuciugmeoelfrxecawulknnf,jgpuuxjssgigtpgp,g,1-068-074-9026,2.0,30.0,Huntington Beach,Fmucjqjdmmeahmbnorbmbvkycyjefqdrhwjljnpfakvtpqkvnylogtkvcunjtsinn,,Fifth Third Bancorp,2.0,3099872.0
frg8284,M,377.0,United States of America,475153.0,WA,U,oqlwffzvfiaajukmy,frgchmfo,O,1-514-868-3441,2.0,52.0,Sherbrooke,ANJKSFVMTBXURQVENGHDDDQYZBWGUIKQCSAOHDFGEDEEATPDEWDMMOVG,5.0,Ferrellgas Partners,4.0,1291565.0
xwe8285,U,739.0,United States of America,259621.0,NE,O,stlyjwslbfajjnshvafaedijxc,xweingsyel,,1-587-880-4716,5.0,93.0,Irvine,Rjnspzzsupqmgwctndiotdxd,5.0,Aramark,10.0,788535.0
PRF8286,,421.0,United States of America,248249.0,UT,R,UTYKJRYJO,PRFQVQNBUABZSSFWO,N,1-727-447-5620,3.0,67.0,Anchorage,baxfqtrrfzctszmzvqhfkpeseqlxawvvturpqvkihmmfkpehnwbtiabm,3.0,Wesco International,2.0,1886889.0
Mqj8287,,656.0,United States of America,18849.0,HI,,Bhiibxfmgacvpjnnjigshge,Mqjwbjsnazpyxivzcowcxk,p,1-375-508-8176,1.0,25.0,Buffalo,jhcstfshgodlkiwqyeysy,0.0,Hospira,1.0,
JQO8288,,378.0,United States of America,144063.0,CT,U,kvgftwzfetbrngdav,JQOPBIX,,1-278-610-0395,4.0,94.0,Grand Rapids,Cldawcrpxmejgzjgqpcsxm,2.0,Hartford Financial Services,3.0,2868030.0
Mkb8289,M,652.0,United States of America,242827.0,OK,O,Vqfmrbmqmnfhwdlcmkajc,Mkbggaiavgbhqgjhrrfui,P,1-998-478-8123,0.0,37.0,Aurora,zbizaxupugylkmnjmfrbszlvytkzfthwfcckotvxrmwhaldnunrwjcrfql,4.0,American Electric Power,4.0,3517153.0
phr8290,D,,United States of America,85649.0,ME,O,Wcqnq,phring,,1-365-036-0540,5.0,0.0,Winnipeg,tqwrsdfjyapcjudrhnqwbdzbnunkf,1.0,Loews,5.0,1888168.0
OGP8291,S,699.0,Canada,144969.0,HI,O,UBNAAWIBEAWN,OGPHZQGWZUQZCGYFCMUMXBXG,I,1-617-193-1217,1.0,41.0,Omaha,rawlbxdaioygj,5.0,BorgWarner,6.0,2688811.0
Kzv8292,D,511.0,United States of America,412027.0,MI,R,KFLHXVOQPMKOMS,Kzveyrhpuse,,1-263-955-2325,0.0,79.0,Overland Park,kcrrwzokapznhbaxivavyxtsnfmlilrdirpizbpjvpgvtpwojl,5.0,Hexion Specialty Chemicals,3.0,2318514.0
Mxm8293,D,738.0,Canada,354599.0,Ontario,O,whufulsklxghrvitmbgzba,Mxmnnkslogbpzpywbuvwitgi,,1-690-400-7919,0.0,92.0,Thousand Oaks,DHSHBOHZGSUEJ,5.0,Superior Energy Services,4.0,3261356.0
Ups8294,S,403.0,United States of America,433350.0,Saskatchewan,O,Lppbhyvretlcv,Upseejngrrshghnfyul,U,1-029-325-4281,3.0,21.0,Billings,Cmazamfyvgxghtrljoxtkpbzohmezqlocxlhdfphigiqreqpwuyghuegopwthugnnlsutxkyzururxls,5.0,DynCorp International,6.0,2166586.0
KHN8295,M,495.0,United States of America,108187.0,ID,O,Usmfxlmxvjhfyxcmfphbo,KHNMLUFXAKNOTUYQOYAXGO,k,1-262-777-5215,1.0,18.0,Sandy,codycncofyvkdmxlcoyglivcphnmrabiciopqflvlxztlzmulfdalximdjbkslhvirdqmdokvsdigsun,3.0,Vulcan Materials,3.0,1622840.0
gxk8296,U,618.0,United States of America,100838.0,MN,R,OQXMVQEVNRSXIVXWA,gxkjkwptlizaoksxmirrmcuvkyhsb,v,1-104-172-5088,4.0,,Grand Rapids,Quvwzjvbscwmwenrmlxq,0.0,Jo Ann Stores,5.0,1711660.0
zce8297,U,661.0,United States of America,314845.0,AR,O,Cuduxsshbqmmnepnth,zceadxlcbeqgrfpylupsmrpldklq,,1-348-111-9084,4.0,79.0,San Francisco,bjxnrksdkpiprbjcqlolftrlwtzrhbakhvbgbindmpgqkrujnhpgjwepzotjfnlbfsxjtkbt,3.0,Genzyme,3.0,2306134.0
ufz8298,D,690.0,United States of America,327117.0,Ontario,O,hikjbpinscefhafvrjkoie,ufzrqxswg,h,1-653-997-9543,4.0,31.0,Flint,VWHNQHJL,1.0,Kindred Healthcare,0.0,2920907.0
luk8299,U,388.0,United States of America,185551.0,Saskatchewan,O,DOWJUCGLUQOHAQDKWU,lukmjutwrrrnu,,1-321-311-4553,3.0,16.0,Fort Smith,bvgzjnzfhlakvjjxzikfshu,2.0,Dun & Bradstreet,1.0,3409998.0
Pgj8300,U,405.0,Canada,81136.0,Manitoba,O,Dcdfihpl,Pgjmkdlasmbexhvftbmfgjyk,,1-495-037-1682,0.0,7.0,London,Ylhprrujtwakwujsypufxedxbviyrdyoifxewizozxipptxeaoxvtkmhtnahoocu,1.0,AmerisourceBergen,1.0,3355826.0
Jny8301,S,744.0,United States of America,338074.0,NV,O,Chgxonsdbkuzmxlxuqhidbejow,Jnynyhfuqgno,,1-059-699-6840,3.0,55.0,El Paso,ebtdfkfpdlldicjxctsocbyzxcbunaabrsjyemvufpiicvjnkhtrlosschtuiowplz,0.0,Scotts Miracle-Gro,0.0,3216402.0
Wfs8302,M,332.0,United States of America,371921.0,MN,O,Pmtpzeucyxwgteyglfifhgexl,Wfspbutotiumfklcsoyccoxyupmwuy,,1-516-996-6623,3.0,73.0,Santa Clarita,HXRDXEYYWHYDWTYDIGJZTBVHCZCFBWNPNTAMBGRQUPWFTELFWJGEVKAEIYSTCUAMQ,1.0,Owens Corning,9.0,1530401.0
rzx8303,U,717.0,United States of America,341713.0,Newfoundland,O,Asqnbilufegjvvqidaimfw,rzxozsxekdlfeb,z,1-247-641-8846,5.0,10.0,Allentown,hybqmscfavkvodctbqrexnbcucbzfasshcjjlqjsmid,4.0,American Express,9.0,2738959.0
Phn8304,M,446.0,United States of America,8895.0,IA,O,Bvrnngrwah,Phnavhraqnvpdlmszfcwnh,,1-038-753-7861,2.0,2.0,Charleston,lxuxbrifdsrvgojbn,5.0,Source Interlink Cos.,4.0,755150.0
Fay8305,M,518.0,United States of America,402591.0,FL,O,Gtuhcphozltpzzrop,Fayptuyks,,1-089-612-4002,2.0,,Victoria,Ynttwlojujtoqbwlzxnarrujcyjjcclsfeadrzlyyubbvihndowtsrotiekwtygxexwydllis,2.0,Illinois Tool Works,2.0,3439669.0
Dta8306,U,689.0,United States of America,165225.0,KS,U,Hudbfurfefi,Dtagrgekfypyvnhozu,,1-323-261-4767,4.0,73.0,Simi Valley,Omkoercdnyundztuvaxiywdsmsxyemprdmovtclgehqprvgea,4.0,DynCorp International,2.0,2233842.0
Xtx8307,M,425.0,United States of America,443129.0,NH,R,FLWZTQRLQUU,Xtxztiuxuamctw,,1-965-130-1576,3.0,29.0,Louisville,Ejicbxbnpnnakqmjlymmxgzlxmgifwpcihygkjgwdeetgcsnecqdtheihaxrshjaii,4.0,Tyson Foods,2.0,1712245.0
Jbo8308,S,770.0,United States of America,463880.0,MI,O,Kdqhtemimorhhvdgzso,Jbogfsw,w,1-353-313-3825,2.0,84.0,Rochester,DYPXVGKYQZTJINHLOWVYHPCSYNMHNCGODIYXNDWAEKPKRMLLXPUMIEGMGRZIO,4.0,Harley-Davidson,5.0,1517955.0
Onl8309,,342.0,United States of America,358722.0,IA,O,Zcctyaphheddak,Onlpyphttlkxpbqw,G,1-031-949-4840,,96.0,Windsor,slsliruwsnkyicfbrzkiakinapcnullgoteqmbxsofkrlaidvzbgddvdjwqc,1.0,Cracker Barrel Old Country,5.0,2059713.0
Iyg8310,S,575.0,United States of America,247423.0,Saskatchewan,O,yzumkz,Iygblynviqrvsiiigghlnarlnk,F,1-838-427-0008,5.0,44.0,Huntington Beach,weewovmouf,5.0,Idearc,8.0,3107564.0
Sju8311,M,669.0,Canada,446701.0,MT,O,Feietljkdqapzhwe,Sjuwtdwzigkflnfdznkgjoci,Q,1-625-093-1158,,21.0,Nashville,Naismvifjwxrhhsbyjhadqekfktmrbtajbhllnubajqcawqhcjddjem,,Rohm & Haas,2.0,78813.0
kjt8312,M,693.0,United States of America,119573.0,OK,O,Fhwoen,kjtvzrmdyriip,,1-383-665-2314,0.0,53.0,Albuquerque,ERPEDBGRLGWHKADDWHVSAOYINAQNLCEQNQTRAAPMJVZMYKVLDZSYVHMLRUVHGBHPIUKQMLI,1.0,Paychex,0.0,3028301.0
XSN8313,S,559.0,United States of America,24102.0,VT,O,Yuwuomkfqovsqlui,XSNKFLUXO,,1-285-784-3736,2.0,29.0,Escondido,Jnrsfbszpgdgnoygawqkpsxbhasfezoxwhdqqhasemawzyc,0.0,AFLAC,8.0,530655.0
idm8314,W,362.0,United States of America,241496.0,KY,O,Fziccmjofpjaxsrxqokdlpcihstne,idmdfjghtuwiwyaizfhhrepmgo,T,1-540-762-5989,1.0,56.0,Springfield,grqrvkyetqetetowfbd,5.0,Polaris Industries,1.0,3285886.0
Fid8315,D,813.0,United States of America,471685.0,NH,O,Buytenw,Fidzabmrw,D,1-404-385-6647,4.0,69.0,Buffalo,kncmrrnffthksfgnk,0.0,,7.0,2451048.0
Veh8316,D,755.0,United States of America,321933.0,SC,O,RXNLKSMBDXVNMLQKQDA,Vehrwumbifbwdhbv,,1-571-358-3286,5.0,94.0,Baton Rouge,Uzrbroncswjnuijsgtsxoziuxebd,,,7.0,3165266.0
ZMU8317,D,431.0,United States of America,979.0,Nova Scotia,O,Ssgccryjxavrulkfsdtqi,ZMUCVNRGCCJTJUEJBSAQU,R,1-158-505-0198,,94.0,Hialeah,Iguxywaxgdbgbgsvinfvktpgljlleiddjkvbzfgksay,5.0,Carpenter Technology,5.0,1628344.0
zzn8318,S,707.0,Canada,193451.0,ME,O,Ptnlupxjboffzlhamkjwp,zznigkebmhgjssfdofcmuuu,U,1-823-289-3395,4.0,35.0,Montpelier,Gcdspdidktdlfswlaaogkpzwmhugodqsjzhcbenbjegljhfdpapqrqhnc,0.0,KBR,3.0,3911459.0
AFZ8319,M,584.0,United States of America,329543.0,IA,O,Qabcqhqjmajjgrnfiknmfproknvh,AFZRKPGSOIKW,a,1-366-576-7674,5.0,77.0,Chula Vista,wokbcspzzevalflgwvxnfsnnnlgvidy,4.0,Health Net,7.0,3499177.0
Ejj8320,M,449.0,United States of America,41482.0,Newfoundland,O,UBHSYLVZ,Ejjryoedtgpaxqbkfclofnzofqwdum,,1-241-402-2286,2.0,84.0,Norfolk,Jdhdwsnlbqqwwvujvgxfvyzbmoathyxjdmjarmxlgrvcuzwrbcjmmwbjtdxvtlesxqg,3.0,Group 1 Automotive,10.0,1928426.0
Fjf8321,M,807.0,United States of America,159252.0,OR,,XEHNUJIKPKYKPMGSQY,Fjflhmnvoakmtwisrv,,1-163-510-4261,2.0,90.0,Huntsville,,0.0,W.W. Grainger,10.0,928230.0
CGY8322,W,810.0,United States of America,148355.0,IL,O,Btfvngdvnbbmbubfwaidz,CGYNV,g,1-693-041-9883,5.0,72.0,Augusta,,0.0,Mattel,8.0,2224043.0
bel8323,M,772.0,United States of America,328658.0,VT,O,Nzxeqrlzwy,belbu,I,,3.0,33.0,Charleston,FREVUPJFKPLAANIXABYLLTBHTCMFJPFIBXIWAIRJKMAVTGW,3.0,ScanSource,9.0,192997.0
