gncd,wnrrntflg,frstnm,mrtlstts,pstlcd,ntwrth,phn,ncm,nmbrcrs,nmbrchldrn,g,crdtrtng,mplr,nmbrcrdtcrds
Zos9640,O,Qxciwoescdcbieqmgzxadh,M,GBFJDXOAE,1559371.0,1-992-699-4247,96921.0,4.0,1.0,94.0,701.0,Allegheny Technologies,5.0
Agt9641,R,Pgcvxwvokxeavmegxwa,S,gbrxinqcb,1863673.0,1-766-275-3648,386291.0,4.0,1.0,78.0,,Allegheny Technologies,
Gqu9642,O,Agrjlrdwcdedszpkxvjwbmbx,W,Nibldg,2656907.0,1-369-804-4930,146507.0,2.0,1.0,86.0,810.0,Alliant Techsystems,2.0
Bdw9643,U,Pvdiqirnns,,Dytajlv,286281.0,1-836-845-1047,18703.0,5.0,5.0,90.0,735.0,Broadcom,
buq9644,O,lrljedtyomt,U,Zupzyhpl,2389595.0,1-421-570-7147,53647.0,5.0,2.0,58.0,791.0,NCI Building Systems,6.0
fhi9645,O,KOCHTUNFKCNCOKIUMUUIUFQ,U,IKSJNCGOQ,1957281.0,1-757-716-5992,434003.0,5.0,0.0,78.0,684.0,Career Education,8.0
RHF9646,O,rzycrvvplbtjcn,U,qxinc,3301979.0,1-261-331-2427,70929.0,4.0,5.0,69.0,841.0,Beckman Coulter,7.0
Oks9647,O,Hxitbsmcbzvvltrhdx,S,,712995.0,1-346-021-7864,289744.0,1.0,1.0,92.0,392.0,Retail Ventures,0.0
UKQ9648,R,Jjyquyidukftznboigwmrt,U,Sovvspz,842795.0,1-790-926-4762,156050.0,1.0,0.0,2.0,492.0,Calpine,9.0
Ohu9649,O,wmzraxrjpbayfikbfxtqupi,W,Tjopetbhpn,1367688.0,,382626.0,5.0,3.0,,744.0,Delta Air Lines,0.0
smm9650,,Pgsyfb,M,Qxyoomfyvut,2635107.0,1-940-377-2495,133264.0,3.0,,43.0,636.0,Baxter International,10.0
Beu9651,U,Hlpmewicdkwgqtrkwdcvjmqf,U,oblongwf,2208163.0,1-633-105-6727,425723.0,3.0,4.0,77.0,395.0,RadioShack,2.0
APH9652,R,coetvcffyvxidwsohh,S,Ojakk,921134.0,1-852-696-7294,306944.0,2.0,0.0,90.0,783.0,Chemtura,
GSF9653,O,SGCKMGLQFOFME,D,DYYMGAMOI,811994.0,1-928-315-1548,288499.0,4.0,4.0,5.0,716.0,McClatchy,8.0
Vha9654,U,binplxmrenezwdrlrob,D,Nqhzo,,1-405-738-1297,440276.0,3.0,2.0,55.0,550.0,ConocoPhillips,3.0
Jfg9655,R,vopdmcnvzdrlfdor,M,Cxibq,3169368.0,1-964-125-5433,335631.0,2.0,3.0,26.0,763.0,Abbott Laboratories,10.0
npn9656,R,iljyiseyb,D,Moznadepu,2043675.0,1-505-112-3484,188284.0,0.0,4.0,45.0,489.0,Dominion Resources,1.0
umw9657,R,dohbyynswiqzcpklesemfrt,M,Jcqqdasnbq,,1-590-018-4997,102698.0,4.0,5.0,30.0,779.0,Genzyme,0.0
tjj9658,O,Tntfljajmhghb,D,pguikuweayns,2886757.0,1-491-191-5968,314955.0,2.0,0.0,15.0,452.0,,9.0
zzq9659,O,Qrvmribikkrkqbdlfxkwmtrsbe,D,TMIXPFYVKGE,1681142.0,1-586-119-8258,,2.0,0.0,70.0,673.0,Ralcorp Holdings,6.0
Fuj9660,,iuydf,S,Kefgng,,1-933-513-8421,,4.0,5.0,52.0,418.0,Marriott International,1.0
xwr9661,O,xffkkjaebwyxowcfmrajkdkwxmr,S,XLOFUJVHVG,1578917.0,1-082-095-9779,35214.0,0.0,4.0,49.0,453.0,Devon Energy,1.0
Qqv9662,U,Gdrkhmaifovplarxsitfv,S,Tuakxjjdmyq,2209812.0,1-848-087-7400,419445.0,5.0,2.0,35.0,347.0,Hess,8.0
lmh9663,O,CAZCIXCMFTWVBCVJVJPKMZGKLSL,D,BRYIFZZI,2741874.0,1-267-122-8885,306590.0,1.0,3.0,51.0,652.0,Cardinal Health,8.0
aoy9664,O,Vzkcjcrwjjeemtaxwb,S,UESWAUAVSD,3568994.0,1-483-408-3124,238125.0,5.0,5.0,89.0,315.0,IDT,
Rqd9665,O,ZIAADRFVXHMZDITGQTWWIFREFWCDCH,S,dcvamdzj,2346784.0,1-968-859-9429,261835.0,4.0,5.0,41.0,459.0,Sauer-Danfoss,7.0
Dqw9666,O,Skdatqeay,U,Qcdyewmngkxa,1898220.0,1-745-910-7040,497692.0,3.0,0.0,67.0,725.0,Micron Technology,2.0
Dgn9667,O,zsekhciorhksonmtvqupfgrpgmje,U,wuskbqszeb,2203625.0,1-899-093-9739,88112.0,1.0,0.0,93.0,447.0,General Cable,3.0
aoq9668,O,Cvekkvzjugahhrndrmidjpds,M,Fbnoo,52183.0,1-541-695-3852,104437.0,,1.0,65.0,,"Toys ""R"" Us",6.0
Sad9669,O,ZOMHEZQLWH,M,Immphapz,239989.0,1-007-280-8774,,5.0,4.0,56.0,792.0,Thor Industries,4.0
Ado9670,R,udwdptvgekvaiqgrhsogcabzww,M,Coqnelttwkq,2767366.0,1-413-101-7772,,2.0,3.0,90.0,621.0,Dell,3.0
Vmi9671,O,Unwtumzytqqnh,S,YJGAXIBDGIF,2497914.0,1-591-593-2209,341013.0,5.0,1.0,18.0,658.0,Bucyrus International,2.0
Hnj9672,O,KMRIMFFEVPLDJTEIOHKBGBV,S,huceedxenkvb,2766304.0,1-720-657-9962,485066.0,,1.0,42.0,584.0,Community Health Systems,9.0
dei9673,O,ifpjvgqcrvpnvatimdiemqnnn,M,EWAIYYFNO,,1-519-930-3145,75434.0,1.0,0.0,47.0,678.0,Adobe Systems,5.0
XWZ9674,O,TTQIBERP,M,Hfepjdkbxtsu,842909.0,1-308-247-8605,414049.0,5.0,3.0,4.0,363.0,Sonic Automotive,9.0
orz9675,O,Xkinmsfostoh,M,Wwfytjgb,1984905.0,1-055-588-7882,428708.0,5.0,5.0,24.0,735.0,KB Home,0.0
aup9676,O,WQJTDQLCHVSFPGXGOCZTLGRGUU,M,Owwjdhdjalao,,1-958-444-3864,39844.0,2.0,,0.0,478.0,United Refining,6.0
yfc9677,O,ZHPPUJDPYFADUTLLOFZTAQZLB,S,vmfxlubyh,1768786.0,1-571-946-4731,478282.0,5.0,3.0,75.0,601.0,TECO Energy,1.0
Gmm9678,R,jokoeckxauevwkuyjrtol,U,Dybsohghvv,1753547.0,1-274-031-4367,398282.0,4.0,2.0,86.0,360.0,Rockwell Automation,2.0
Fax9679,R,DYTLYIUADXKYVHFVZLPPJCWQKN,S,VTEGEGX,1629815.0,1-013-497-5463,118446.0,1.0,2.0,63.0,344.0,Allstate,9.0
Rjb9680,R,Csjmnqmwqbnaib,M,Fdwsbajlddtl,475073.0,1-339-574-0564,81725.0,1.0,5.0,85.0,491.0,BB&T Corp.,1.0
MQE9681,O,Tmsyhvujtxhippz,U,Btyepvnn,778154.0,1-036-625-3420,351317.0,3.0,3.0,36.0,747.0,Health Net,3.0
Jxc9682,O,Wwooapxnfrzpkigoabgjj,M,VGMEFCJQI,2754129.0,1-689-457-5027,389550.0,0.0,1.0,,365.0,Jacobs Engineering Group,
Mzk9683,O,Nwexrqlextlxmgnjcqqbbveqn,M,Fzhjd,856092.0,1-104-467-5384,327758.0,2.0,4.0,71.0,644.0,Thomas & Betts,7.0
Vpr9684,O,Mdbhgqse,M,Owmcxwrqim,3946401.0,1-939-928-9518,473327.0,0.0,5.0,83.0,667.0,Hershey,0.0
ter9685,O,ttlcyilgrnrkoqujxhvdq,S,Dumtemhcqw,1772756.0,1-855-338-8338,78196.0,0.0,2.0,2.0,404.0,Peter Kiewit Sons',2.0
BVB9686,R,Zqaqqhfmex,M,Ukbhyktiegtx,890225.0,1-663-637-9407,369645.0,1.0,0.0,5.0,302.0,Biomet,10.0
Rtr9687,R,Czgorvh,U,jiytkmat,522058.0,1-253-522-7670,387813.0,2.0,5.0,45.0,715.0,Helix Energy Solutions Group,
Gqm9688,O,NGEJMRQLMSNFY,,nhxmvfdza,729468.0,1-518-921-6896,224373.0,5.0,3.0,16.0,569.0,Peter Kiewit Sons',7.0
twx9689,R,ymruyjhcy,W,Lxpyjoiqpe,785210.0,1-940-990-0427,411588.0,,2.0,30.0,427.0,Metals USA Holdings,5.0
Nya9690,R,byqdkczfu,M,egjkeyujahr,3678733.0,1-398-166-5292,131727.0,1.0,2.0,,469.0,Corn Products International,0.0
lqb9691,O,Gdgldkayulaoxnozf,M,Ujkodnbusc,2362008.0,1-927-097-0868,418095.0,4.0,1.0,28.0,765.0,Select Medical Holdings,8.0
Sgj9692,O,Pjvchi,M,Pnnbejwipn,1148605.0,1-737-043-5199,176403.0,1.0,5.0,81.0,612.0,Dow Chemical,9.0
Nxi9693,O,Ldamerzhuokhafpnsernyn,M,Dccmp,725507.0,1-244-217-7148,480921.0,5.0,5.0,72.0,446.0,Tractor Supply,8.0
dsc9694,O,PRTKUOEOWIYRLZGQPWZQVWOAIWX,S,xzzqsvkm,687245.0,1-615-809-4057,135544.0,1.0,,100.0,729.0,TECO Energy,6.0
KES9695,O,KBBWMXZHXHZADPCDERS,U,,3128364.0,1-947-023-7069,141282.0,4.0,2.0,27.0,536.0,Jones Lang LaSalle,9.0
Ioy9696,O,LJNHLXQTH,W,ZATUGUX,2019975.0,1-804-557-4843,124643.0,5.0,0.0,79.0,392.0,Molina Healthcare,
Chf9697,R,daxfaprrmzeykfeguolfdcl,U,Ougozvevg,3947994.0,1-449-118-3915,30059.0,,2.0,62.0,710.0,Eaton,4.0
udq9698,O,Rqancsledlrxhtcjxuwwafu,M,Doerbagjqikl,1117777.0,1-792-399-2590,161910.0,3.0,0.0,6.0,509.0,Graphic Packaging Holding,
Tex9699,O,mncutykiznpbbhydazphmnlrhlabb,D,Jduhkv,3699271.0,1-144-991-6718,188636.0,,5.0,,494.0,Universal Health Services,4.0
nsr9700,R,Ifgbmvda,M,qzkohi,3390554.0,1-249-519-6691,192899.0,1.0,4.0,43.0,451.0,Amphenol,10.0
uyo9701,O,Slxiqybx,S,Cxmjasscm,2595389.0,1-168-431-2457,131135.0,2.0,2.0,,544.0,Cracker Barrel Old Country,
Kni9702,O,JNUXCRGKKQJUDVNTDFKQBADGLVBS,M,Auibgawr,2461368.0,1-328-227-5957,179290.0,5.0,5.0,95.0,,Scholastic,3.0
Wvv9703,O,JXRESDTVVPINEIMUEIRRNOXOEIKM,W,Iplvgcirddat,2313032.0,1-909-047-8936,346151.0,3.0,2.0,6.0,607.0,Cardinal Health,1.0
OKM9704,O,chlqwmvvbgbpjwixsdso,U,,1248101.0,1-385-703-4324,361254.0,0.0,0.0,72.0,739.0,Delphi,6.0
zpp9705,O,GAAXRDUMXJRYOHN,M,KOGZCYOVIE,3651964.0,1-944-594-1754,412022.0,2.0,,98.0,361.0,PolyOne,8.0
Msa9706,U,oosmwjkahdkkecnrmvvdk,M,Jiqdwcgjv,,1-090-561-3869,103144.0,0.0,0.0,12.0,836.0,Analog Devices,
lkc9707,R,okaztdsfkk,U,Rsfcyhddxk,901782.0,1-038-513-8916,121611.0,3.0,3.0,48.0,521.0,Cooper Tire & Rubber,5.0
Xbb9708,O,Ppuhidwnvambjyqlfh,W,Mdvzjrznpde,,1-894-515-7591,475893.0,4.0,3.0,61.0,782.0,Ryland Group,10.0
Udb9709,O,fimztfztxff,U,aeeekyk,2133261.0,1-142-702-3953,464301.0,1.0,4.0,82.0,492.0,Sprint Nextel,4.0
mmi9710,O,Bsbvbjcvtsotmgq,S,NGRKGELEVGF,995044.0,1-668-043-1872,314885.0,0.0,0.0,90.0,,Union Pacific,1.0
Ips9711,O,MNUJDQHFGFGBWFZA,,,2211836.0,1-582-913-5759,499232.0,5.0,1.0,18.0,649.0,Pilgrim's Pride,2.0
hir9712,O,Iqfdztgsksrfloyq,S,NTVXORR,3913615.0,1-075-910-5493,,2.0,2.0,47.0,386.0,Airgas,5.0
pnx9713,O,jvsdtimhytwtflxtxwwnexpfeenwp,D,,501692.0,1-444-526-8440,376966.0,4.0,5.0,70.0,664.0,Abbott Laboratories,3.0
Ocp9714,O,nkjsrbyh,W,Sltkznivpuh,3318801.0,1-414-351-2921,417819.0,3.0,3.0,21.0,821.0,,5.0
Vce9715,U,Kptstn,M,giheh,3906230.0,1-601-041-7304,181317.0,5.0,5.0,88.0,683.0,Micron Technology,10.0
HBH9716,O,Gmmbxiihahidnzwqxqgomzdrkvbaer,S,Mbnzlsyeys,3078341.0,1-011-770-3136,322935.0,2.0,0.0,5.0,560.0,NCI Building Systems,3.0
Hse9717,O,Bzhrta,S,YFFWBJ,2172994.0,1-134-713-5400,340623.0,4.0,0.0,82.0,790.0,,0.0
VXX9718,O,YWTJGWVRAKRVCRKOKCJGBEK,U,,1090017.0,1-903-001-3397,76246.0,4.0,3.0,77.0,334.0,AutoZone,2.0
Vmf9719,O,Tnllrewsuaaygzjgrieverie,W,Cczmaa,31902.0,1-497-787-0410,212640.0,0.0,1.0,80.0,807.0,Steelcase,1.0
evj9720,O,Nbqgguaetcaxlxfafgumrsnn,M,Enjmrggdsq,1842743.0,1-306-765-7201,27123.0,4.0,4.0,41.0,372.0,Raytheon,10.0
asd9721,O,bmyxstqbjpcoyrnwyc,U,DQUOY,1954597.0,1-927-838-7243,428212.0,1.0,2.0,78.0,447.0,CH2M Hill,
Ieu9722,O,rvoxbnvtuspyuekezqee,S,Efulnxsnk,3002681.0,1-437-699-8957,208135.0,3.0,5.0,68.0,588.0,Metals USA Holdings,6.0
kfi9723,O,fmgcgqpsgyf,M,Narulrixws,264407.0,1-218-324-5533,,,5.0,76.0,400.0,Texas Instruments,3.0
FJJ9724,O,Wqjhuogww,M,LJIYILMAJL,1001820.0,1-715-615-5940,447022.0,1.0,1.0,12.0,432.0,Leap Wireless International,0.0
VWN9725,R,HNMXQGGIJSTLFFHG,D,Nlispiudmvt,2798572.0,1-665-357-7789,383912.0,1.0,4.0,5.0,848.0,Safeway,6.0
Txo9726,O,nwiicmqzbhdsoxtfvnnq,S,Rssugc,1918410.0,1-329-612-7351,196459.0,1.0,4.0,27.0,728.0,Guess,3.0
Vkb9727,O,Afxxeifpljujqrsgfghdunvo,U,Aooexlbpfsi,1158545.0,1-729-753-6101,469095.0,3.0,0.0,91.0,725.0,Eli Lilly,3.0
Yph9728,O,Gwjiyyklkiijtdawgoowmqf,M,mogzyazzbe,,1-634-922-5897,257503.0,2.0,2.0,94.0,743.0,Cisco Systems,8.0
dop9729,O,Uwrfslssammwtx,W,Ecggpkb,2009083.0,1-339-811-1218,394763.0,4.0,4.0,18.0,756.0,Snap-On,8.0
hqy9730,,ghsjtmuerdjwfzlwem,U,,1615971.0,1-640-831-4740,322195.0,5.0,1.0,63.0,668.0,KBR,4.0
Qcf9731,R,Jtmjipthkcmtwkoe,,Owxcpx,256039.0,1-265-245-5768,410099.0,0.0,1.0,38.0,810.0,Entergy,4.0
GDA9732,O,clzlsujzhgbqbmss,W,euntgoolsea,3250398.0,1-913-446-2689,66652.0,0.0,5.0,3.0,581.0,Oceaneering International,0.0
DKK9733,O,Rwdpgb,D,hidzwufhjtc,3280363.0,1-551-223-2543,440258.0,5.0,1.0,41.0,693.0,Del Monte Foods,0.0
KHE9734,O,LTNJGRIABCUBIWLXXRLYMT,M,BOFOY,2841008.0,1-894-465-5565,167562.0,2.0,5.0,73.0,531.0,Western Digital,7.0
Zbn9735,R,AJFNSIBUTL,S,msubwo,3582446.0,1-117-340-4152,498721.0,5.0,1.0,48.0,611.0,Icahn Enterprises,6.0
Loq9736,,Krzczgd,W,CESMAGJGDNN,1390504.0,1-713-198-0317,437438.0,5.0,5.0,91.0,827.0,Casey's General Stores,
Jls9737,O,Ajvnxxdpvsenvtaivxqptfotiwby,M,HKFBKYYYJF,3629595.0,1-324-690-0496,,0.0,4.0,,740.0,Owens & Minor,3.0
wtg9738,R,Fznvsqtncdceenrq,W,,227315.0,1-019-035-8513,271547.0,5.0,4.0,98.0,614.0,Amgen,8.0
xfn9739,O,pplvkhtumihxjuo,W,Tuyvbikyv,3498913.0,1-159-720-7051,122003.0,4.0,4.0,53.0,526.0,MSC Industrial Direct,4.0
Yho9740,U,Ppqtqqax,M,Xtkeyycouu,2723921.0,1-376-345-5653,394116.0,2.0,,90.0,840.0,Werner Enterprises,2.0
ioc9741,,Eqlohthzrfpmiwjyunxikuqtiwexg,M,VELBKG,1439744.0,1-195-028-2007,143799.0,3.0,4.0,9.0,,Waste Management,4.0
Vux9742,O,guqhigtnglfmobu,S,ZFTDLLZK,2721559.0,1-308-365-4420,312994.0,3.0,0.0,37.0,361.0,Air Products & Chemicals,9.0
LGH9743,O,Pkqughbahdkwosmvzik,M,amvqixmmqcbe,3509245.0,,354207.0,5.0,1.0,42.0,580.0,Constellation Brands,1.0
grs9744,,Nzmggzclyfhugalhdumlcshwdhk,M,HPHFKGMTIRLJ,2852522.0,1-795-145-9991,243914.0,0.0,2.0,99.0,547.0,O'Reilly Automotive,0.0
MBL9745,U,Muxso,,Zqddnejz,2391361.0,,187633.0,5.0,5.0,48.0,523.0,SunTrust Banks,1.0
IFB9746,R,Jnanbfemqdlngfdgtqzfrir,D,Fhcceiam,3806448.0,1-499-752-2335,457959.0,1.0,3.0,36.0,570.0,Motorola,2.0
Sru9747,O,YVUZGSDBLCQMMGUCXSJYWUXMAOICMK,U,hllhvyxxqs,2348293.0,1-971-778-0152,279576.0,5.0,2.0,,729.0,Cigna,10.0
Esq9748,O,Sxetblyk,U,mejao,2794519.0,1-327-221-7261,76307.0,1.0,5.0,8.0,453.0,BorgWarner,6.0
Jbk9749,O,Kfbfowotjlwo,M,Hxmxijoio,3981941.0,1-266-735-1050,150356.0,3.0,0.0,69.0,501.0,Pep Boys,10.0
dri9750,R,ssrbwwffqqliqbdhsicmxphh,U,mhorjsbu,2484656.0,1-235-910-5247,281781.0,5.0,5.0,7.0,737.0,Duane Reade Holdings,2.0
CLQ9751,U,ZKMBJNXFPMVPAQXWUWCZV,U,hlhnweechud,829464.0,1-222-954-3222,480928.0,4.0,2.0,22.0,663.0,Metals USA Holdings,7.0
Wde9752,,lznkwntxerwamaajtniomnwgsjfbhl,M,Uqpduix,2766748.0,1-367-453-5459,47477.0,0.0,0.0,57.0,455.0,Avon Products,5.0
Fus9753,O,EADMDJ,U,NUARREEWKAWE,3851436.0,1-440-119-4367,,1.0,4.0,96.0,716.0,Markel,8.0
AWZ9754,O,Opjbcjxfxuskolcpfdklhvbpauk,M,jdsmdchabpp,,1-017-402-7313,202337.0,,5.0,5.0,394.0,BE Aerospace,9.0
EIW9755,O,Egbohdxj,S,Zlfcmcxx,3438394.0,1-634-288-6589,259743.0,4.0,3.0,10.0,624.0,Burlington Northern Santa Fe,7.0
bom9756,R,KUWKXBDYGMLNEMIGHVGBXDG,S,Yxagydaxtzqc,1952019.0,1-815-478-3247,473020.0,5.0,2.0,19.0,822.0,Sauer-Danfoss,4.0
WPO9757,R,dgnompdthfzadyhxfmldgzbmnkxgm,S,rxzlmus,1002370.0,1-430-006-1717,350535.0,2.0,0.0,95.0,742.0,BorgWarner,
Ewe9758,O,Tkytppdfdunrpkrdeffvuecx,M,Gfrwjymrkxwk,401126.0,1-408-553-9606,495731.0,1.0,0.0,95.0,744.0,,7.0
Gdp9759,O,Ftcyvmu,U,,738712.0,1-512-806-6987,266068.0,3.0,5.0,17.0,804.0,CarMax,0.0
pkg9760,O,czjoztkmdfxwkyd,D,wvnqecos,368588.0,1-127-705-4220,13742.0,5.0,1.0,2.0,740.0,Realogy,3.0
Ppp9761,O,Kjgwnnhsehqrvsiclwvwpacfjvfe,U,Eruugkuho,2868652.0,1-597-278-9123,158464.0,0.0,4.0,50.0,643.0,Domtar,5.0
HTN9762,O,Efqlfsphlpxdrxidilgkidtlwlspg,S,Nwizaccf,3706122.0,1-310-889-2244,217501.0,5.0,5.0,3.0,537.0,Expeditors International,1.0
Jmb9763,O,WAYLTHPURYPOGHLNBAYVDUJ,M,Bnhdflxl,,1-176-469-4736,360528.0,3.0,5.0,35.0,838.0,Reliance Steel & Aluminum,6.0
BYA9764,O,Wscyllvnbowqr,M,FFDURDBPD,126280.0,1-126-977-4741,249634.0,3.0,0.0,29.0,673.0,Archer Daniels Midland,0.0
Lfg9765,O,Lactuq,U,Bokapztwaos,3391430.0,1-640-749-7987,19012.0,3.0,4.0,70.0,673.0,Snap-On,9.0
aui9766,O,Ojrishnnz,S,Nmgooht,3857035.0,1-128-600-4335,260411.0,1.0,0.0,10.0,690.0,Rowan Cos.,3.0
Tse9767,O,Ldolidetvrnnzguynkqcdrjioo,S,,998642.0,1-391-125-3176,428633.0,0.0,0.0,,313.0,Jones Lang LaSalle,6.0
Qqj9768,O,CJOTPKTDJPMAOQLMQNAA,M,Chlxbkxdljbd,356647.0,1-489-334-9152,485730.0,1.0,0.0,63.0,561.0,Valassis Communications,0.0
pwv9769,O,BNXOWHHQLBADSKKRIWQN,M,Avsxqx,,1-527-060-6688,376278.0,3.0,1.0,80.0,678.0,Superior Energy Services,6.0
Rvb9770,,Vdftmbecnrmrtnussseslkjhmpzw,S,,1736087.0,1-842-863-3693,483333.0,5.0,0.0,,391.0,Bank of America Corp.,1.0
WIC9771,R,Bndsaihcj,M,WKEHUBS,2551540.0,1-631-365-2065,240007.0,2.0,0.0,68.0,556.0,Penske Automotive Group,8.0
Zje9772,R,etnijqehpykn,D,CUVUBMBYQ,861964.0,1-783-817-4776,334773.0,2.0,4.0,69.0,730.0,Colgate-Palmolive,1.0
Jba9773,U,BCKMOSHP,M,ymblxrjie,,1-775-482-3616,270739.0,5.0,0.0,98.0,718.0,Stryker,2.0
Dsg9774,R,Xgrkfvcy,U,ivbiiosl,2891160.0,1-188-214-9956,415362.0,5.0,1.0,36.0,575.0,Service Corp. International,5.0
VCH9775,R,Gobtbtgnzoctabef,U,Ctxmyswo,520676.0,1-689-730-8281,440482.0,1.0,0.0,82.0,720.0,Service Corp. International,5.0
udj9776,O,Gbjistzh,M,Csqpoi,910547.0,1-185-666-4477,414410.0,3.0,5.0,92.0,320.0,Occidental Petroleum,5.0
lhr9777,U,Inhwqohdlzpo,,Lwdxyahnou,178958.0,1-400-323-3151,493647.0,5.0,4.0,27.0,403.0,Belden,0.0
Eed9778,O,Gxigtulvvyeroi,W,Gtdqmrvrodr,179723.0,1-527-194-1440,339925.0,4.0,4.0,43.0,,Cisco Systems,0.0
Rjy9779,O,Zkqadgkavtigwfzhdbgtqeo,M,tuynu,560038.0,1-592-334-0332,435223.0,2.0,3.0,31.0,521.0,Regions Financial,7.0
Otz9780,O,yexkhok,S,NJJQDTIWHH,48989.0,1-192-355-9148,35941.0,0.0,,84.0,493.0,Seaboard,10.0
xnq9781,U,Aiswdrncyaqocfgpq,M,OIQMRFAOB,3631565.0,1-424-574-5497,435372.0,0.0,5.0,78.0,650.0,Sovereign Bancorp,9.0
efd9782,R,FNFRPL,U,YZTZMEZTX,20964.0,,38603.0,3.0,0.0,98.0,601.0,Staples,6.0
KFQ9783,O,RZBBHJESJOVCBEVVMAKYUX,S,anicaidxqhl,3152680.0,1-847-549-4326,367985.0,1.0,3.0,0.0,466.0,Sigma-Aldrich,0.0
BTV9784,U,NJLXD,M,nijgnbgdt,3058045.0,1-116-368-3368,294515.0,5.0,1.0,23.0,619.0,Xcel Energy,0.0
Tae9785,U,Zsvcumpqorfedfys,D,dkceajmashi,3995842.0,1-697-596-2552,,5.0,3.0,35.0,326.0,Int. Business Machines,
Gci9786,O,TCVUTVPIWPFAE,D,acmacflq,1814013.0,1-303-723-5831,407401.0,,5.0,23.0,380.0,Metals USA Holdings,6.0
Xcd9787,O,nhpbxqrdubvkn,M,wefnezad,2746916.0,1-807-845-1621,136863.0,,3.0,50.0,699.0,ProLogis,8.0
Wrb9788,U,tancatsgpm,,,3673503.0,1-532-915-4568,140613.0,5.0,5.0,56.0,300.0,Insight Enterprises,8.0
dqt9789,O,hoxucizkdxortuoaykhgea,S,Dpfnty,2439162.0,1-840-477-1190,101326.0,3.0,2.0,71.0,705.0,Henry Schein,9.0
Lkf9790,O,ghmzuiadzojurradfrjvnfyezcm,U,zywpjmcqdtte,2739411.0,1-876-538-1436,205725.0,4.0,0.0,48.0,602.0,Wynn Resorts,5.0
Jca9791,R,YFCUPMLIPIIFUCHHTOHFYUMU,W,Nanqg,1610254.0,1-434-897-1689,308540.0,5.0,5.0,63.0,542.0,Western Refining,7.0
Cyo9792,O,Tjdikoadlzyzkoklgypapsgpkdd,,,,1-229-228-4105,321517.0,1.0,,55.0,608.0,,7.0
Fbo9793,O,aiztjpznpjfmu,S,Uspump,3521205.0,1-712-455-7425,,0.0,,99.0,,Synnex,6.0
RWL9794,U,Glypzcpvgxfbrzybmbpr,M,AAIAQQEJ,2425580.0,1-321-095-8066,23536.0,1.0,0.0,7.0,647.0,Monsanto,3.0
Ymj9795,O,Dkqqxhtuafgfxoetbygxjhpu,D,dwpmlztks,,1-452-393-4430,444451.0,5.0,2.0,36.0,,Weis Markets,0.0
kqr9796,O,Nhzumynidyccsihmsguiqbc,S,UQVRZGZQH,1353495.0,1-038-099-3417,250390.0,0.0,5.0,99.0,798.0,Beckman Coulter,0.0
Anu9797,O,LYIYRU,M,FHTKTLERXT,443045.0,1-284-920-3901,167063.0,0.0,5.0,43.0,332.0,Pentair,1.0
Odk9798,U,Lreqaivcqdrawvffzwdec,M,FZCXE,2597213.0,1-542-243-3222,94636.0,,0.0,85.0,392.0,Western Union,3.0
Sng9799,,Yauotgusqlcjpilqsoph,M,Nibnnr,3176155.0,1-229-158-8024,91842.0,0.0,,28.0,565.0,Office Depot,6.0
ryj9800,O,Wegwshbzdubcugqhac,S,Aptjpvosoe,3265617.0,1-075-206-4337,442243.0,5.0,2.0,86.0,732.0,Brightpoint,5.0
gle9801,O,Intgaluuihdohkjelwwwabh,D,KSCYCESK,2387472.0,1-724-404-2730,277520.0,2.0,0.0,32.0,369.0,GameStop,5.0
BCG9802,O,zelijplqqfmwk,W,Srllf,846372.0,1-389-179-0350,,4.0,1.0,28.0,483.0,Nacco Industries,5.0
WXO9803,U,NFLUYAGEWTDJSJIRTRVOZOADGWGKVU,W,Dnuryfeirof,2862895.0,1-536-802-1200,151886.0,4.0,4.0,,661.0,,2.0
Ijq9804,O,Sbjva,S,,1652410.0,1-591-775-1309,175605.0,4.0,5.0,83.0,438.0,Graphic Packaging Holding,6.0
fdd9805,R,Kunqlddvufsg,S,Rjoxn,2406642.0,1-199-805-6277,37684.0,5.0,4.0,,813.0,Terra Industries,8.0
Aro9806,O,LKPEFFPZQGYOEVC,S,PTEZIOYKNGBQ,435495.0,1-134-178-7893,71197.0,3.0,3.0,71.0,511.0,DISH Network,5.0
uso9807,O,BDIDFDPPLKDZKSQSIDHLO,U,Xgpiffwdr,1537756.0,1-476-772-9719,157122.0,2.0,,32.0,474.0,,8.0
Bhj9808,R,ivtcvmqobnmbmkthc,M,alrwz,2722282.0,1-526-786-0424,444816.0,2.0,1.0,,506.0,Sanmina-SCI,4.0
Mge9809,,Iieckalxlxyspqfxcwmybyoykrlhr,D,Nnezf,,1-786-446-9417,8311.0,5.0,4.0,48.0,772.0,Stanley Works,6.0
Coo9810,O,Cmzzrok,M,Rgmbf,678801.0,1-781-637-3596,155914.0,3.0,0.0,69.0,546.0,Johnson Controls,3.0
JYX9811,O,fjuijpbwtoyxke,U,Lgdeo,1049475.0,1-964-545-5956,339601.0,4.0,2.0,97.0,552.0,Tech Data,10.0
szn9812,O,yfgwxwqmwwb,D,,3844727.0,1-827-775-1568,344862.0,1.0,2.0,55.0,738.0,,6.0
CRH9813,O,Xzucbhtwrclunobrt,W,Pvpgftphron,2888275.0,1-311-965-2370,496829.0,0.0,0.0,22.0,573.0,Rohm & Haas,10.0
