AgeID,Coun,NumC,LN,NumCreCa,AddLi1,FirN,Ge,CreRa,OwORFl,Inc,Ph,NumChil,MarSt,A,Em,NeWo
Ktz10291,United States of America,0.0,Ktzrjxgghcxhefa,4.0,Balbxdszgschrdottipyneajazvtapnbjw,Pnpfiejuiad,m,644.0,O,439131.0,1-128-537-1772,4.0,S,74.0,Varian Medical Systems,2972643.0
Hox10292,United States of America,0.0,Hoxsuv,7.0,Welkakpirccenyrm,Eolvhrogmbwtuogcxwnqntp,,335.0,O,432996.0,1-340-166-3025,3.0,M,93.0,,3765059.0
trf10293,United States of America,0.0,trfdobild,1.0,,KZPATZQSQCQNVHQXLKCFXMH,f,676.0,R,477487.0,1-979-222-0743,2.0,M,70.0,Jones Apparel Group,3042330.0
Vna10294,United States of America,5.0,Vnaumbjcyhb,9.0,ytqlcfujkmnasdhqb,Zcexffhjuv,m,775.0,O,223352.0,1-392-567-8212,2.0,M,45.0,,398098.0
mcr10295,United States of America,5.0,mcrwuzvdoqgboyiii,6.0,Jumzow,KCZOPHYIBYKQMPQEDJUCOMC,f,599.0,O,401127.0,1-455-518-9563,5.0,S,25.0,Beacon Roofing Supply,1459101.0
Fay10296,United States of America,0.0,Fayvkrw,6.0,IWQCCRRLTWA,Dchyvmccaydvybjxrnj,,743.0,O,213534.0,1-874-304-1355,5.0,W,55.0,Volt Information Sciences,1358996.0
sde10297,Canada,5.0,sdejkgvfyhjgmxkvmsavgdnu,2.0,Qyxmywatqmfqtopkclelubylrcemrssbptcbweudmmodofapmwyycqejtfjdfpr,AKZSTJWJRABHUOKRRR,,644.0,O,38680.0,1-043-090-9448,4.0,M,16.0,Fred's,3000931.0
Wwl10298,United States of America,4.0,Wwlgugczspxudntrtjqbl,2.0,jfkwffhrvapoknqauozdkokut,fxvibugbig,f,506.0,O,31504.0,1-017-432-2881,5.0,M,80.0,Goodrich,2923214.0
Yqd10299,United States of America,4.0,Yqdpaqkb,3.0,NMRSIEKTEMUCEYLBDMEEHSDLJTNQYQAVFMSNIRTCQDXRPGQEZPQRKEOSRDUJUJXU,FTBVDDGCGZJTQJOPFSHSHWAKNTRI,F,364.0,O,354937.0,1-915-026-8498,0.0,U,51.0,Enersys,2283233.0
Qux10300,United States of America,0.0,Quxmliuuyjxndrzodtjs,9.0,jdpoawqlshvozoznkycnnigfgzwmhnaarsotzbgoiusgflrdjmxikeehmkahfmgfkdbgf,Nrwugodfahgazniimtkblp,F,629.0,O,120173.0,1-498-930-4567,0.0,U,43.0,Watson Wyatt Worldwide,2029826.0
TGM10301,Canada,5.0,TGMXMQLMMUTASFYWUTJAW,3.0,Mmcpvupftdbmcbwuzaztcwinmtladnmtrgowyrfbearyadyg,YONVTUVGHUFBARLOWULMKBGJCNO,,404.0,O,119606.0,1-318-775-6031,2.0,M,36.0,Fortune Brands,3379446.0
byt10302,United States of America,0.0,bytrogeesschtlflxlodxnxbpd,8.0,Tcjtygakngt,Ykhubhsuudztoydxvnhunvjzvmi,,361.0,O,473204.0,1-294-940-2458,,U,72.0,Electronic Arts,3317149.0
dzi10303,United States of America,3.0,dzipwikegf,4.0,JEHTMPUNEXDMSSUHHBXKVUYOKWCJGACTBHOIKXJKTXQAHSFROJ,Wbsanfke,M,325.0,U,220189.0,1-350-669-5303,0.0,S,,Bed Bath & Beyond,527327.0
Jva10304,United States of America,4.0,Jvadgnkegugy,9.0,TUBLITGMQAMZHDGOOXQSDRNWVFLOGRYISVRNLTINNUDFF,ozluwvqvqukhuonlvfu,,828.0,O,216199.0,1-920-790-3833,3.0,S,96.0,Crosstex Energy,2963048.0
XAX10305,United States of America,2.0,XAXLXNKR,4.0,IZWAFKHMFFADVIU,Fxcohhuoyfmzpmlcz,,420.0,O,317544.0,1-913-949-5843,5.0,W,16.0,BearingPoint,1316666.0
Oyj10306,United States of America,5.0,Oyjeljir,5.0,jtcgeywchtiwuiipeumccnpkhlrmrotwmmgzslxyrubb,SWTVHGSCVTEKBSHCIRNQNC,M,465.0,R,328235.0,1-625-232-1467,3.0,S,59.0,,2318998.0
zbx10307,United States of America,1.0,zbxdifgpwjyprbzobphmswto,2.0,Loueavrjuriggioyrxmxjezqqjjwjkypvjqigzfqf,VDDHBBDINHZCWJMHFBIPMRPUVC,,771.0,R,307637.0,1-253-192-9819,5.0,U,6.0,Intel,883453.0
qph10308,,2.0,qphvf,10.0,blfvrnbeghcxlpkyfwesnvmi,Bhheebikleyhghxhoiwevecpnac,M,717.0,U,449834.0,1-101-717-4949,3.0,M,95.0,Electronic Arts,2037517.0
PJK10309,United States of America,1.0,PJKVCRF,10.0,RGWXKDALBEGUIFZJQACBYVL,Rudcexiihfohvcnbvhmpcgech,M,710.0,O,174691.0,1-132-426-9783,4.0,U,35.0,Beazer Homes USA,
Ptq10310,United States of America,0.0,Ptqmqsdshyldshh,8.0,XOHWNQCATHMHMQ,Dwhcdslzstqosgvjbkz,F,359.0,O,389627.0,1-582-685-3313,4.0,D,29.0,Tupperware Brands,3591541.0
QLT10311,United States of America,5.0,QLTLDZBSPOSBQQPGZVDQLAJ,6.0,Luzecyflgpixwjqj,WTTOKKIKSBXHJZ,,810.0,R,125434.0,1-031-339-5975,0.0,D,55.0,Vulcan Materials,1288257.0
Jse10312,United States of America,2.0,Jsevxpsak,2.0,LSWBYXAGWEBB,SKVZCUNMKQWTNMZQPAIKW,m,661.0,O,356850.0,,5.0,U,65.0,Cablevision Systems,935104.0
hqw10313,United States of America,4.0,hqwkidhhkdnnsnexrbqcgfwtmmrwf,8.0,Agqhptvfvp,Dkcakom,,639.0,O,,1-523-145-6138,5.0,S,6.0,Ryder System,718332.0
Lpg10314,United States of America,5.0,Lpgtbwvwdqpsqpqrszidhnqzxxllxm,7.0,Nqniqkdjnoqrzpikfufbaacbaxmaafxhrklyvighwgdyppmimscfspcikdhotmaubeixjnc,Dsnyiwqzomte,,458.0,O,276764.0,1-749-501-1692,1.0,M,63.0,Hanesbrands,235965.0
Tla10315,United States of America,1.0,Tlaiykfiwnivqzkfjnlemxvgqt,,Ednyagxeqxizgttdnhcfrefp,BNZUEIBLIGHQRV,,395.0,U,113138.0,1-575-129-6524,0.0,,20.0,Western Refining,152544.0
ONS10316,United States of America,4.0,ONSNBGMDZGNPHYVGMSWZJDN,,fmuljeljgkobqwmyho,ecndmqskzhwwatvvejsiptik,M,372.0,O,304274.0,1-113-661-9093,5.0,M,7.0,Flowers Foods,692004.0
Ukm10317,United States of America,3.0,Ukmyxtmwbotnacgee,7.0,iwxqesvtjifpzilhlpwtjygodpbscoljofgdsbailyia,KERKWI,M,590.0,R,409138.0,1-529-338-3011,5.0,S,57.0,Family Insurance Group,1263478.0
ekn10318,Canada,2.0,eknghrpnd,2.0,xzugfobxwarqmamvdgzjdbqvkfwpgtriolbmkfpkthoohbminqvbkmmflzoluhvmyjmpppsvrhhxxidr,xvufgbtupbpinooaeqiwlxsxijou,,644.0,U,169215.0,1-251-128-1614,2.0,M,31.0,Wyndham Worldwide,2451725.0
tle10319,Canada,5.0,tleakxczb,5.0,,Frzshjyonawmdpkxejxdd,M,,O,183997.0,1-167-231-5244,1.0,D,47.0,Convergys,2572155.0
YXN10320,United States of America,5.0,YXNBF,,Slruciuqxjigdapaqxwumjcqmucoovrthqeaikbunhhbvxcxhxtosloywruozx,Qvsfvwrklpkxyycsazczssonxji,,394.0,O,305712.0,1-746-577-8502,1.0,W,30.0,Baker Hughes,3017947.0
Zzj10321,Canada,0.0,Zzjspincoyqehtjrjfxu,2.0,Tpjlqemejnjoyvjcqpq,ebnyosgftrctfunaaq,,566.0,O,370852.0,1-509-447-2508,5.0,U,30.0,Enersys,2583073.0
Mcw10322,United States of America,1.0,Mcwmijdenc,9.0,Rdchkohwwugmrihdmcejpzrhred,BVMRIULUOLOAM,,398.0,O,61789.0,1-307-390-6887,4.0,M,86.0,Mueller Water Products,
BJO10323,United States of America,1.0,BJOSCMTOXVDCMLKGKQF,10.0,uialriswkkdkzhxwgoohxfqoagpjlkuozrsgafezqsmcd,Lqhdqfiybhbucnqxusszbov,F,484.0,R,4923.0,1-444-903-6881,0.0,S,25.0,IDT,245862.0
Hrf10324,United States of America,1.0,Hrfqhfead,5.0,,Kyykobrwbvcgsmm,M,616.0,O,125828.0,1-858-508-4426,1.0,M,89.0,Apache,2719205.0
Ncc10325,United States of America,5.0,Ncclmcivvceobo,10.0,Ovmdskhdsvigkjyrgodhofipyzxfavhxvjhycl,Hapkabenarthzygblqfvk,,643.0,O,135487.0,1-286-527-3740,0.0,S,0.0,DST Systems,1740714.0
IZH10326,United States of America,5.0,IZHXIBLPXJLTCSOVQFNAA,6.0,jkfvrjpcjwvemsrdyijherhwdnfknnnqijlqfxsovqykmefyus,Wtnqbsxglojrbnxogqyagcxbuofo,,809.0,O,195856.0,1-153-003-2570,3.0,D,18.0,Bank of America Corp.,2637913.0
ltw10327,United States of America,1.0,ltwoswyvyyuxxklwrmniyirphuwl,4.0,nondwlnmomyquvqbrxhadgkugllsqmjgxnrhmxehaffvpbhhahsjeohhvewm,fjtdeyhytxbiovkfrx,m,421.0,O,114169.0,,2.0,U,1.0,AptarGroup,727773.0
Erp10328,United States of America,4.0,Erpukydwhowf,4.0,Jecwvweswmsnthkqfrbolwadbyyrywzsiyeedkwoeagvwbtnj,Jwhgqtvixaepnadkjohvnyprroro,M,441.0,O,,1-552-571-2630,0.0,M,,Goldman Sachs Group,
Ihj10329,United States of America,4.0,Ihjhif,0.0,Zubtvaieyldqubmrszzvysljhsrcvtgaznmqhtcvgopbxwpm,tuabamybqvgszrkmpyejtg,,774.0,O,7519.0,1-190-154-2038,0.0,S,90.0,Electronic Arts,2183914.0
Dvp10330,United States of America,5.0,Dvpzxfgcgympjxp,3.0,Bminfhyyoeamwqpgmkawychgbobadrf,XYSUPXMUDSONENB,,543.0,O,238879.0,,4.0,M,99.0,Constellation Brands,
Fvo10331,United States of America,3.0,Fvomjn,8.0,ZYPOTLUCWUEIKPRE,Marragvmbahnpcowijc,M,428.0,O,216087.0,1-552-106-9068,2.0,U,57.0,Global Partners,1910630.0
EAS10332,United States of America,4.0,EASQYJJACDHO,2.0,Ddxbh,xcphrvmflwekpvirgpsg,M,807.0,O,102912.0,1-767-207-0142,1.0,M,60.0,,
Khc10333,United States of America,5.0,Khczu,1.0,Mnkndgmtfqhfeoucoerlppxrvecddgrjcsihtjrwpi,dramllhzkuawhyhabqcbfvrqph,,799.0,R,,1-724-066-2268,3.0,,16.0,Polo Ralph Lauren,2179513.0
Koa10334,United States of America,5.0,Koamvkftvvsozqxj,9.0,LXSXMLNDKOMFKEAGXAUFBXKXHINOZJHPTKXPVXFSBYFJTYWPEOWOQSH,Zbcgwtroccemfyxeismixeca,f,641.0,R,141657.0,1-964-615-1655,3.0,M,15.0,Fortune Brands,196241.0
haz10335,United States of America,3.0,hazweqijngdzgyrvvliozfwydkdp,1.0,Lmvuogdodqpust,ZAYBDWD,,377.0,U,57554.0,1-919-806-1423,0.0,W,87.0,St. Jude Medical,281132.0
Ail10336,United States of America,5.0,Ailyvkuguabqb,2.0,Vxfwhqmdyuorailsrbimuczcsladhademfvhrqngrojbnqjjyjxwtuxbcdjv,Hzvhrwtkcjlqvkgrbkdm,,767.0,O,4825.0,1-361-273-7223,0.0,M,84.0,Rohm & Haas,3115635.0
Uuh10337,United States of America,2.0,Uuhdtmgtsyjxdxubpnvxhwcf,1.0,Snrmzeivwiqzes,Okjppyxezwxlclavobkzrpskp,F,732.0,O,355454.0,1-720-046-2092,1.0,M,11.0,Family Dollar Stores,1984970.0
mwh10338,United States of America,2.0,mwhvuiaahsg,9.0,Jdrxcraysvcwrcojwgfllmcvwmlaufprjwkgnvlfcovwolniaxiynrqxybyvkef,fjhnurwnsupln,M,802.0,O,,1-804-311-6034,4.0,D,,Republic Services,1559480.0
Rrl10339,United States of America,5.0,Rrlzudl,8.0,Dhnijlswdlierzozpsmxtlmdwbubogyuluqceahikrcztfdtbbgkpkxsldahofqxpqvxqdgdmpt,WFDFZJJGVXWNXSCQQJG,m,490.0,O,48574.0,1-433-384-7483,3.0,M,61.0,Moody's,392657.0
NNQ10340,United States of America,5.0,NNQYTZTFNZHLJNYVTYLDQWF,6.0,ATAPYDXEBGRCUQSBNLWFGDVSBACLZXFDUXTENUSGVHFFTEUZZDLKTOSNNGK,Olvvijmgbdnceglrqxmpycomw,,523.0,O,132397.0,1-663-672-2415,2.0,M,82.0,Crown Holdings,1940637.0
alz10341,United States of America,0.0,alzyklqinbiomxxdzjts,0.0,Ieuocwgexboqvktugkmtldvqjqcaneyecegylnvpqvbztvpbgxswgzlrsbahtlla,rilxdfatizxtplhn,m,319.0,O,262640.0,1-088-558-9319,3.0,M,87.0,Affinia Group Intermediate,934030.0
Bau10342,United States of America,1.0,Baukzeuuacrxm,4.0,Ldcgutcwvhvborovegunkcvvntaynrbtugurfvrdfavsjskhkdlwpeho,npvxqamatjziritoeetoahbuds,,789.0,R,427107.0,1-705-610-4310,1.0,U,76.0,Sun Healthcare Group,3762105.0
WXP10343,,,WXPIHGISL,2.0,Odziccoyrqmrhmqywefprjuqtc,rrharbtzh,F,329.0,U,129602.0,1-081-860-6404,2.0,,81.0,Capital One Financial,1338212.0
Ohn10344,United States of America,2.0,Ohnrgtjgrzalkptlujejwjvdbcqk,9.0,Ituodfjfxajisziutobmouktpwbteenlktmpcgcwvrkhsvaruocadcmpzsceeec,Bgitxoqtnelqvbhxneoxvpcje,,371.0,O,342104.0,1-355-319-1506,3.0,M,81.0,Merrill Lynch,1096324.0
Pbp10345,United States of America,5.0,Pbpdxpgefq,3.0,Gwsgybmzimmfaegpnhygjjujoty,SIXHXVSLIJKQETDF,,395.0,O,82651.0,1-871-826-4670,2.0,M,97.0,Newell Rubbermaid,1614409.0
Jvb10346,United States of America,0.0,Jvblwnjckoeogxjwpjxkare,2.0,epvhtzrjnnfeyhpfutpwysqbhlxhczpfhwioggralovnolnyencehhtmwxpwruxzj,crzvoycfksvwlepkukbqfs,f,366.0,R,105275.0,1-761-170-5202,4.0,D,3.0,Molson Coors Brewing,2246040.0
dqf10347,United States of America,2.0,dqfxjfbenwbaxmaweqsbucv,9.0,Xdepsijezqqmjzu,jovhsov,m,462.0,R,448502.0,1-587-880-0627,3.0,D,4.0,ArvinMeritor,1029298.0
nig10348,United States of America,2.0,nigmeexosb,10.0,Yqiioqvrdsokmxymlpuutqulrimirhv,pxtgxxefgqrjpuquegdywfccvwss,,822.0,,179046.0,1-719-208-4675,,M,,American Greetings,1655587.0
ijh10349,United States of America,1.0,ijhgizhoz,0.0,lgeanzaohcnpjxtdtjzdntvtialvtkuavrhatllyctqofnjowndoqjqygpcpvfy,GIQQOMJWQCBWBUWVMREBLBJHQTN,,319.0,O,81237.0,1-873-220-3176,2.0,S,47.0,Spectra Energy,628241.0
Qrq10350,United States of America,0.0,Qrqlwmmpnmoaatbhytczbg,10.0,Fgeivkkbepxiwqbqzudhcyudhinpkbijrbrtuqmmsumzqrmallfvqrracngnzxdqvmav,Lxjkewmzgzstfwylnpzpazsvqnztrf,,638.0,O,187235.0,1-531-012-4816,4.0,M,23.0,Consolidated Edison,3909501.0
irk10351,Canada,5.0,irkbpkpr,4.0,nmhixsnfrbmowurwuwqtgoepjhczsbcjoocytpplonljxkrsgdjyfsgvdoc,JVGSKDWCOAXVFDLKPQ,,382.0,R,,1-979-875-8949,2.0,M,91.0,,3861614.0
Ikv10352,Canada,4.0,Ikvleuyfbtjcblfkec,8.0,,cqkdachsexzel,,540.0,R,399618.0,1-470-876-1088,2.0,W,2.0,NCR,658709.0
Ncs10353,United States of America,1.0,Ncsozvzrgolyjsipchuhd,4.0,Hlpqxwibafydulmnfssqrthgiggplcmvh,kivuxppuejaatqblpajmfkpqxl,F,537.0,U,73873.0,1-554-862-3206,2.0,S,72.0,CVS Caremark,761014.0
Uin10354,United States of America,0.0,Uinizkgnjcgtspxwi,,rmzjdfcdomwshadvxxqlvdbicoojcbfhkqpaqascsiosvelidkkkegcieqjleuakfphep,lfknijr,,476.0,O,314126.0,1-809-239-3397,3.0,W,79.0,Starbucks,166804.0
owt10355,United States of America,2.0,owtvdmjsucn,2.0,qpvihayhosjvhf,Oadsjqmpnoht,M,338.0,O,58833.0,1-060-313-9471,2.0,U,80.0,Adobe Systems,2581250.0
DMO10356,United States of America,2.0,DMOPJSJBTOWZLDBNIUZG,3.0,WAXULHLDUOBREJ,Nrmxbifuoncryxfrnjyfmhq,,378.0,O,228782.0,1-503-989-3129,5.0,U,22.0,Hewlett-Packard,2001020.0
tir10357,United States of America,1.0,tirtuumxocwrs,6.0,flmzxlyuvuzovswjtggoydwgskcvjlfwlzqnxlfhdfiuqg,LWAPR,,750.0,O,389600.0,1-587-705-0465,0.0,M,96.0,Macy's,3402376.0
Iic10358,United States of America,4.0,Iickebsa,0.0,Pyrlavjnfyesnhypczospuhmotmteqmgeewajhcafiixbnrikdmsrbeygieulwhsyczaymjxtcucwtjx,Eeeat,,,R,65253.0,1-322-772-8527,3.0,M,70.0,A. Schulman,2587106.0
Opz10359,United States of America,3.0,Opzcvc,1.0,Ilvfllogdpacrmhdidtsgfqusmyxsfsiuvjmaohvrdsefkeliqoqooqtxqhhyxbiwamthqbrhooc,mhyglenwhsjr,,411.0,U,386846.0,1-616-532-9108,4.0,S,48.0,Baldor Electric,2020424.0
Ixt10360,,4.0,Ixtnomzugbqhmuhttkgwxhl,8.0,QSQKLJYELXQXLEFVWZ,Ngdqvnokmsibmdhurfioqjqkibq,f,781.0,R,447731.0,1-186-327-7115,5.0,S,85.0,Lam Research,145788.0
Ate10361,United States of America,5.0,Atewyysnt,3.0,gonnjaceddudsjflgpqcmyqxyipxwrltgsecrowxxacnalwwgcnhdehhnstutonlhpiriom,cydsjavwibdkcwfzjkgyk,m,443.0,R,477914.0,1-767-705-9578,3.0,S,9.0,Valspar,945599.0
mme10362,United States of America,1.0,mmehdhndiolgksqusqfpqllrud,3.0,Slsjeqdcm,Vdzpssuwydeqoknfxgxpqg,,489.0,U,421455.0,1-311-364-0532,5.0,S,62.0,CACI International,2930325.0
Ntz10363,United States of America,3.0,Ntzwnfc,,Rnpmwrkzmnceuaqxoovpaitrwlfqqejepommrqvinisanvcpbcmnyqjracphbj,AVJVKEWDBLG,,377.0,U,471409.0,1-358-943-2736,1.0,U,79.0,,1608710.0
ZWV10364,Canada,2.0,ZWVALF,1.0,gchusvsssyljnuylkhonpchjwkfyztmnddtsexhkwmpzxligaltqrvrsxazilfp,Tfliacuxqxaucqlniuitsgg,,545.0,R,418545.0,1-689-268-4581,2.0,S,41.0,Century Aluminum,157437.0
Stu10365,United States of America,5.0,Sturilnwm,5.0,gvargmomuntfsrxcxhsbpswxgpcwkqxytsupumhrwgkcbvusnkgjhzxuyp,Dhslgfbkyjabxqrepogenngawpy,,612.0,U,216482.0,1-971-625-2431,3.0,M,37.0,Huntington Bancshares,3567204.0
irc10366,Canada,0.0,ircdoghsuajpgebdq,10.0,DETUIKLKNDXTKKOUZORLVAQSE,BQVNCWKVKONOEVC,,405.0,R,280081.0,1-872-018-5562,2.0,U,81.0,Comcast,281169.0
wet10367,Canada,5.0,wetisohuipeyqpsaad,9.0,IOMFNOYHWMBESDKOEGFHNCXTNBELNKYSXSKHDXNYKYVWWGWOQCVRHPBEABSUNRXLWNQCMCKRVMRV,Qsfmnojcxsuyvhqcyuejmdlqgbxhv,,472.0,O,371188.0,1-760-385-7820,5.0,S,64.0,VeraSun Energy,75602.0
INB10368,United States of America,,INBIL,9.0,Pfynflisyzfrhoonzhgv,UADDNBJFJFQESAAOQPJ,,656.0,O,242562.0,1-266-758-7730,2.0,D,55.0,Altria Group,
Als10369,United States of America,4.0,Alsgo,,Qtglfgrtpeeaaqpquojjffytfvlgtnsdseufdnugntcnnsluuiivrbjzfqh,Ytwkhxpmdpnxsoislzl,,666.0,R,468474.0,1-665-774-2401,0.0,U,59.0,Magellan Health Services,628034.0
Pkh10370,United States of America,2.0,Pkhdudrktxfhruynaqzdh,1.0,Wmpffbbbxvjgrsnpawbsabyvsmwvticvsrnrruwerykbtmaoarqpnnwblaaorzljvfdlierrzeo,SCXUYASFBE,f,659.0,,128208.0,1-040-497-9143,3.0,M,31.0,Huntington Bancshares,25960.0
WXO10371,United States of America,0.0,WXOEGLDRVWCIMFRBBFEPN,1.0,Kkbgdhyawijuvpjetmelbzilfzbegvwexznitpuqqi,ELCRNNBHHD,,433.0,U,347198.0,1-049-165-2155,5.0,S,24.0,Furniture Brands International,2366524.0
Yhf10372,United States of America,3.0,Yhfuajmupuwjqwtvljhblccvq,9.0,Wnyyjjnxxzeurkztzrfuaxeajjtgmtslmpntcezhhucmssafxkfcnvrmcxpqzosoo,Ubxbzy,f,742.0,U,319055.0,,2.0,W,52.0,NCR,2710169.0
AHZ10373,United States of America,1.0,AHZMRXCMXGNCDOLVGSLHPRTPXOFS,8.0,Inrdzpvsvafddydwwfsumsrzdrjfpoqzbjliwyvtvyivkmyrueaclnfolndwybkuwiogqwfdvcvhf,qeemniosjkssc,f,628.0,O,409649.0,1-692-646-6005,3.0,U,15.0,Pacer International,2597791.0
Hfc10374,United States of America,1.0,Hfcujutnginncsptbz,4.0,AUQHDSYPHXPKEWMOTNPGRCXEJWWKADAEMKPDQK,Mfjlokteertagktixqr,,499.0,O,380853.0,1-969-517-7062,5.0,M,99.0,Valero Energy,1992295.0
UBF10375,United States of America,3.0,UBFMOAOAPUDUHTURGZLNDYZKWTPMKX,9.0,Qhlwivhizfkopibg,Jxmstqvhoaeratnixczqsauum,,804.0,O,248948.0,1-138-090-9428,0.0,W,6.0,Icahn Enterprises,1761169.0
WYN10376,Canada,1.0,WYNUNEZORGKULBUHAFBWF,9.0,DFXIHMFHKHWVVXOQWGMJH,Auhvsvxytabesnmqdovftiikpi,f,526.0,O,105538.0,,3.0,M,68.0,,17973.0
zld10377,Canada,4.0,zldgvqupuaczsqopwxjdsbkexpzhb,0.0,iaruauafhztiuwnldgazhazrdjuggxdseqlpflyfqcossisnsxxqixw,Zpziubdysqjuzomtezdbhcw,m,716.0,R,,1-040-046-2210,4.0,S,73.0,Southwestern Energy,3148776.0
YWS10378,United States of America,2.0,YWSQVMNGERRYJRJMKPXRGVG,0.0,Kjqfhsdypfnbjzflqnidvegucbcbyofzmftwwtkmggwjfboldqiksxjawrdga,JSBVRLXAQJZLLRDOXMJT,,576.0,U,9512.0,1-225-058-2179,5.0,U,39.0,General Motors,2770889.0
Lnv10379,United States of America,4.0,Lnvwpixdlhaajfaeaaskqy,0.0,ksmqex,Pfbfxvgdtgshw,M,592.0,O,164858.0,1-900-798-2175,3.0,U,1.0,HNI,3165486.0
meq10380,Canada,0.0,meqesoxvnzndsukqdcv,2.0,Crizcppftugntsmcmulqcldejgqwrekfokfjbypobfdtuayaucgbnrdmjvgldppqcsyptbz,Hedxpsliur,,806.0,O,12997.0,1-602-645-3217,3.0,U,25.0,D.R. Horton,1513049.0
bml10381,United States of America,2.0,bmlqmb,1.0,,Razlwvlaukbdczefhwskqovb,f,472.0,O,335957.0,1-443-948-5528,2.0,U,77.0,Neiman Marcus,241575.0
Bzq10382,,0.0,Bzqkerpukpzzfegsuctcpiohheyw,6.0,watwoyxaldgaalhieobdunsyvaawhrxymkdqjvhdnwj,OWKPWDPPRGGVVRVCWNDJXPBKQSKC,,551.0,O,370742.0,1-091-166-6858,2.0,U,,Sentry Insurance Group,3247345.0
CLI10383,United States of America,2.0,CLIQJ,2.0,MIUBZYKUXSJIMFOMURRRWPAJJRMKBJVZSZILNUQQJFCOBYVUGCKSSRYDSBXXYLR,sugwqbnc,M,525.0,O,244135.0,1-989-685-8712,,M,70.0,Lear,152207.0
NIQ10384,United States of America,2.0,NIQXIPGLUYIJUQ,4.0,Jvoypyvxmdwsglokcmbkstanbiitdjwcfcmtaiekwjyszzewoiageimjyaxkgbssrchieogvhv,uqzgosqhxfifclidxrczccpcmh,f,325.0,O,8574.0,1-292-265-1960,3.0,M,63.0,PerkinElmer,607236.0
KNM10385,,5.0,KNMUSTQSMLNQ,8.0,OVTFDADJPSXYSTLDNLCCMBBTSBUOFIYUWSNIJYDUQAVAGTSTRQVXCSSNHRRTEKVKN,WCFECPZFYPYXVRCSXTRNVEHDTRBK,m,619.0,O,47912.0,1-392-793-7787,2.0,M,5.0,Benchmark Electronics,3690203.0
isa10386,Canada,5.0,isavugegikdpjxxatbykwph,5.0,mdffelsvgysczjqzrsjwqcchvmztgvtazkl,Dlfaawvglcprigldkfuvgscmtqhve,f,424.0,O,259694.0,1-060-655-5110,3.0,M,64.0,National Fuel Gas,26630.0
Rga10387,United States of America,4.0,Rgaalkfjj,1.0,QDEIRXPVZICNLJLMCITSSDXWCRPPUKIVDFCHQZIPSFNTJIJSLGSSTKFYIEIWKBUOSMTNGFCSN,AMEUYNEMPDB,,438.0,U,194158.0,1-938-398-9072,5.0,M,7.0,Office Depot,1254589.0
Vgc10388,United States of America,,Vgcowiveqbrpsztghlfdvbcduakkjm,1.0,Fdupjhokm,Ditmxzd,,418.0,O,489972.0,1-935-924-8228,3.0,M,21.0,Penske Automotive Group,1249205.0
lxv10389,United States of America,0.0,lxvjnjkobboqjmohbvvftnasxuf,4.0,exeffzsivni,ZZCDCDAQQSXAYYFVOFPYID,f,730.0,,67091.0,1-744-611-7470,2.0,M,87.0,Beazer Homes USA,1972627.0
KRU10390,United States of America,5.0,KRUYWNPSFSFCVAAKA,6.0,drntruwtkcjwgjsfriy,Ivxncvoje,,515.0,O,382602.0,1-908-313-4715,2.0,W,77.0,Saks,3953737.0
Ffc10391,United States of America,4.0,Ffcyzhsexjaehvwoci,10.0,YQBUKHOALCLJBA,Lczzlffikzbur,f,379.0,O,422657.0,1-936-829-8239,3.0,M,62.0,Prudential Financial,947069.0
fkl10392,Canada,5.0,fkluifbmgviclx,9.0,Vdkygmsukbwmtzq,OMAFTIR,M,776.0,O,272075.0,1-109-104-5097,4.0,U,16.0,Johnson & Johnson,2723638.0
Rbt10393,United States of America,4.0,Rbtnxxyzmtvto,5.0,KCDUBYHOCKSZDNSJTBIVXDRKHRWHWXPVTRSHYLUHMDZIVGJFGPGPCUMUMK,EEQWIFKIVLHWPHSQMGNXRHYNV,F,325.0,O,483635.0,1-539-782-6960,5.0,U,73.0,URS,712037.0
Qmg10394,United States of America,4.0,Qmgkaydem,4.0,Zlgvdojmhjbihiotkp,ZTOZRJZFELESFULZ,,771.0,O,319916.0,1-003-647-8837,2.0,S,97.0,Anadarko Petroleum,2925085.0
Xil10395,United States of America,4.0,Xilcsgvozxedqkqezkoweyybffy,10.0,Bhomtkxvtbyzmlohepyvodclxziyxhvzddoweljlzswgqqvafodbatwzlwjett,Iifncxgivjp,m,720.0,O,169669.0,1-211-587-9982,2.0,D,11.0,AMR,3665377.0
hxp10396,United States of America,3.0,hxplcuvquanaigurjzl,8.0,Wmqedrofariqsqxqqkigztlehacxbpxdfzjsnzsihvenhmuiuobnryfqnzvfxgmgvudslbxbqvgce,CEONBOYHJDZUKJARPLBZVT,,626.0,O,238214.0,1-587-209-0057,3.0,D,74.0,,1565336.0
egp10397,United States of America,1.0,egpszhnefxkdioxhkvrqyu,6.0,Vhcmcpkagbqxookqxgqjnypyxzxjmpfjzrhnqaohipertclwb,WSJEVGNYVGBSSCDTPYF,,640.0,R,421522.0,1-086-948-9699,3.0,S,19.0,Pep Boys,3224073.0
Rmx10398,United States of America,2.0,Rmxpvnqvjgkagauebpyfhntwskqg,0.0,xaxfdaycalthiovtitbzlksvfrcqrfbhizyuaqgwrvry,Bvbmkzpvuof,,586.0,O,312092.0,1-699-919-3953,0.0,D,79.0,Graphic Packaging Holding,2330463.0
