AddressLine2,MaritalStatus,AddressLine1,OwnOrRentFlag,AgencyID,Age,Phone,LastName,State,City,Gender,CreditRating,NumberChildren,NumberCreditCards,MiddleInitial,FirstName,Income,NumberCars,Employer,PostalCode,Country,NetWorth
Folnxbegvnvyxeuhukajjbgvtnhoivrgmgjsrudftginjgeasobfwifebar,M,RTNIPNRFHPBJDDTGERKVHBBVUMKQYMZJNCBATKUHXIDZPXZK,O,Qaq4728,45.0,1-473-591-0607,Qaqpwdhmtp,MA,Lancaster,f,371.0,2.0,5.0,c,Lbfio,359751.0,5.0,PPG Industries,oartzgnma,United States of America,3330147.0
LMOJZGZCQNPQPHIIGIOPEWCKS,U,,R,Kog4729,42.0,1-596-835-4182,Kogzdompevtemitcfbpmepjjkcxgy,MS,New York,f,524.0,4.0,5.0,A,pxxxaiezsk,123301.0,1.0,Travelers Cos.,Xvxca,United States of America,857365.0
Ebwuxsajvnvfczp,M,bwfuvsactkyxgvnpbbigymbmiewelfliemkudmnacszmuymshpfmgegvecb,O,XNP4730,26.0,1-346-911-3391,XNPKYSCFWJEX,WY,Warren,F,728.0,0.0,10.0,,KWJNLXBBJZTVFSZMWBCZPP,123424.0,4.0,Pentair,Sbbhkowpnpa,United States of America,1470636.0
Kvwlkoqdrwxcpgntcuztnzpg,S,Ghxanzazdizjdippdsxanfdgyigikdaesseffpppdoactegioirzzjltv,O,Gtd4731,69.0,1-863-337-8643,Gtdhqgnaderbkhzhipy,AZ,Hay River,,351.0,2.0,3.0,,QZEXC,499739.0,2.0,Southern,Ppqubfeuww,United States of America,2010885.0
Iombaqavaazhdozk,,vismlfmwqphnrorytxentzfeighdaxzvdvsnfaojhcdfuglphgbmzowrekcjnqbbrlackahmfoacno,R,PTB4732,9.0,1-965-360-8827,PTBQBPANEIIHFFTFQMEBN,Prince Edward Island,Brownsville,,467.0,1.0,5.0,,GTNIW,140857.0,5.0,Celgene,xmlnuqb,United States of America,1220348.0
DYQXVTEXAVEUIDWOAYFPLNELMYOC,U,mffjjwulmxrjcwluaweudvislcsemaxzsvtonqkkwyqgbzsdcfnvry,O,BBK4733,17.0,1-260-801-4912,BBKNOJJMKTYHYPGE,WA,Miami,,833.0,4.0,5.0,C,TQWEXPNPTZJPAFRUJ,327231.0,5.0,Arch Coal,HBESVDT,Canada,3688332.0
Vgotvajucsipqwgetehksl,W,puggxlvjskuvmijmckkldmhytlwupkovtlpcwrbsuwcjolgxiig,R,Tth4734,60.0,1-353-844-6825,Tthsocfykdaesk,KY,Burlington,,483.0,0.0,1.0,Q,Zwurzqqwhno,289849.0,5.0,Becton Dickinson,tucejqcf,United States of America,2878257.0
Anwxxdbmvzooffvcrgeeidfoajvneciukrghlbus,M,YSSXXAIMPCAOFONNNHYJHVDBZLWCA,O,Olf4735,60.0,1-572-975-3479,Olfrvaqxoabccgqaewmrryfbka,IA,Seattle,,478.0,1.0,,,vipetlc,333759.0,0.0,,eepkjls,United States of America,2549473.0
Itggndsphrkvilxupsbnjnsbjklhtixiqygscqyhimnpgxcnyueisiwjwsejakkj,M,chdxkvytntfhqjfqugzbukbonpndnh,O,Rjv4736,97.0,1-444-440-9209,Rjvooicbxegkmjlnaccxeumxdsujfv,NH,St. Catharines,f,767.0,4.0,6.0,,Jvihmkmpsvdmqkgnzwkhpvdgr,498765.0,3.0,Constellation Energy,TEFRQKN,United States of America,433506.0
thvpimuuhrraqrvguhifzhaindhsgyqzlkjkvbexor,W,Wjaqdyfonckbhyawagfijvskxbyewudfitychd,O,her4737,15.0,1-620-258-7019,hercfzpaurhswt,RI,Dawson City,f,482.0,1.0,8.0,,Upewrw,421913.0,1.0,Marsh & McLennan,PWXIE,,1847526.0
QVRJIWQBIKG,S,Zixujdcpiyljgadhpckjfodenflisydfvxk,U,QWM4738,36.0,1-964-550-6411,QWMWXHJLQ,WV,Flint,F,319.0,3.0,6.0,,Ylojswilyeemtiqyy,151041.0,5.0,General Growth Properties,,United States of America,565304.0
PQJUCDAKSVANESUAZNMOYFKCFZ,S,LWDTRPKAJOTQGEOSCOKMMDFLBKXSWTPRYHHOGNCVZKWKIJENWZNUXUJAPXYIEHNACGRMNEJQS,O,XLN4739,20.0,1-477-101-1361,XLNUMB,NJ,Huntington Beach,F,400.0,3.0,4.0,M,AIHXVAIDQVTZWETTDU,344390.0,2.0,Dana Holding,Rmpsfwcig,United States of America,2607514.0
Gdwmiwajnzogttpqhrxollelvpgihdhvkfldxefgtmdydqcktyvuqqpkxhhwtr,U,CVCGDGYBJT,O,VRH4740,48.0,1-079-368-7798,VRHOAUBREZPXJTUPJQWYDXMQCN,MN,Fullerton,,615.0,5.0,,J,Aefbqml,2734.0,,SunTrust Banks,njwijgs,United States of America,1982496.0
ujclrynlfcxwaqvlqgecpksbjjxtvhqnbdlcnzfijlaglhwvatkvzkodnjgqpjfalsuxjz,U,Hnbpddturhucblkpsagsbtgnfexuzaiivaogjvcxdekcekdwgr,O,WGZ4741,43.0,1-900-974-9726,WGZGWYIINQQXQAD,NH,Berkeley,,581.0,,2.0,W,Fcwnhevbudrmewlhgnqbdf,468185.0,0.0,NuStar Energy,Ywulf,United States of America,3762913.0
SNZFOXGNWRRPHEPDQNFAQDMGREGNRDSSRXLMRCDQRKQXLXLDAB,U,Lfbiekbxqrvdgiyxxnbroxynqccuosoalxduzcniuisxmxjmxflswuqqbfwguzsdvagyyqxsqs,,MTO4742,99.0,1-284-586-0379,MTOFV,AL,Irvine,M,799.0,4.0,8.0,B,Tkrdsgrogpwdypvglydwmtqor,463648.0,1.0,Valero Energy,SXZMCLCHJ,Canada,2408355.0
euiorionjhogyappcdamm,,gsybvbtl,R,Bci4743,66.0,,Bcimif,IL,Washington,,768.0,1.0,10.0,y,dzoxdswekktufa,43975.0,1.0,Targa Resources,Xgtpwzpafboa,,1606307.0
Xssadkcwnnzquwsjjwbbispoanqd,S,gqebwtwrhhnerwzeovmkbgbbhera,,mpe4744,94.0,1-307-965-9866,mpemseo,CA,Sioux Falls,,773.0,4.0,3.0,,Zmuwosc,468162.0,,American Electric Power,cvkcxvisqh,United States of America,3354250.0
FTDKHQHJUTSCASNKFBWZWBCWYDOYJJAZXKJVJDIYQDTCZAROCTH,,leqqgzjtmsfdmaidjagmkpzvbnholnfgbwlwwouwchqrpgypufuqpi,O,Xbq4745,33.0,1-440-318-5480,Xbquymuzkcmc,NE,Coral Springs,m,638.0,3.0,3.0,,HDFQYHUGTRRQBFVEGSDCBKU,395739.0,1.0,Carlisle,Gtjvcdqqtp,United States of America,3382716.0
RSPQAYDIOLRMYYMCNQXBLZFX,M,OPOCVQLMOKMHQDRTQYFVKOMWTVBNMMDQOPZ,O,Bqe4746,41.0,1-125-551-4429,Bqeltb,Manitoba,Hamilton,m,517.0,2.0,3.0,,dffstfpnkregclxx,412467.0,1.0,E*Trade Financial,,United States of America,1902346.0
OMVTVZOKRKESJGDXGASXKMXCHAC,W,Dqtjctalngisjyqiyuqsecamjdpmpuox,R,jif4747,64.0,1-926-860-0190,jifxknvlu,New Brunswick,Lancaster,,721.0,1.0,3.0,j,Ikghxbumijtroqwzeeap,,5.0,Progressive,Ionbt,United States of America,2194210.0
SCNHUCZFAW,U,Ycqojibjivyanplvxvwctrvvkxmhjprlihddjkyuzjipwspwkjajlxvzkewrusnptmeyblcbb,O,SKI4748,93.0,1-232-388-6615,SKIRDW,WI,Fullerton,,301.0,0.0,5.0,b,Qzxecnokzncy,199405.0,2.0,Solo Cup,kmfhiotzok,,32639.0
Eeqhjcwijduprguwziunszggmylwitznrlqralxstqud,M,Vzjwowaakxcqkzphdjpzbpudepkrvodxgjrwpvmgf,O,Qda4749,31.0,1-432-247-1265,Qdatzjvlfoynuynsxpcleck,MA,Independence,,557.0,2.0,8.0,,FCMDGBFKXMTJPBLDQTVKKMNW,232095.0,1.0,Interactive Brokers Group,ABEOU,United States of America,2440934.0
Vcuowqiesisgpufuazjyaiagvygewxab,,Pakmxecrdiylernzdvuvogytmwgkmjevofpczqtxamoktnjejdrsrm,O,rlm4750,84.0,1-034-028-4714,rlmudsen,PA,Henderson,f,345.0,2.0,3.0,,ruqlinygssewsaxrleipafe,419954.0,4.0,Buildings Materials Corp.,,United States of America,3643159.0
SNTBAXIVPMRCGSFT,U,apxknqqjpgwnazwtgzbpuekmzfarlzcxcxpeynleaoiwzikummgfhmdanwnocpkpugfqxpasawxavgw,O,czc4751,51.0,1-432-095-5406,czccymsz,New Brunswick,Laredo,,651.0,0.0,8.0,,Rcqbiwqbkdhmetuloiqcxulrr,199018.0,,,KJDWIQHWUO,,1342979.0
MNMDJSEHZWIGNHDFUGYPWFGDPHMVRNSIIZIDMODPDWZBTAOKZDEV,S,Ezshjwfbegjadjcpugqwctwfstwrowwudfmwdcjvapns,R,GGV4752,11.0,1-277-314-7505,GGVPYSPJNHHZBALQGLKXLEVSK,WV,Oklahoma City,,324.0,3.0,0.0,U,qblxdfxdlzfznpwmofmcfodasvc,359494.0,5.0,Rock-Tenn,Lmlagmua,United States of America,2652575.0
KIEOD,S,ebtovoxxihsegmtjsyhhbnroxfjkmzinmuk,,xzv4753,5.0,1-339-579-3351,xzvprahrgexxcdzhmcgcoklksseb,RI,Sandy,m,369.0,0.0,1.0,s,LSUOTXPFJEP,222207.0,5.0,Spherion,DHWUDQMFEDTT,United States of America,2649494.0
Qtskozaytyzjnmbbgmcpnekvlylcafkwqqljklecotz,S,hmqiupwnaumccdodrgfuazlfkgcf,U,Vkq4754,25.0,1-813-737-7193,Vkqguauiujkngtnmbhj,VA,Torrance,,425.0,2.0,6.0,,alidnmdydz,384766.0,,Alliant Energy,Kwcdev,United States of America,3544328.0
skuiquosijgeuh,M,Wqccskbhzcksphrozxhx,U,Hzr4755,13.0,1-003-808-7989,Hzruxopykhsmcmmlnifxu,British Columbia,Lansing,,795.0,0.0,8.0,n,ELQHLOFAXJGHCEVCHK,229674.0,1.0,Itron,cpteevoqr,United States of America,2133746.0
ZWARSURTEBLRUCSCPVMXCHONETEVNKXKWOSVSALXAKOKKLBQPLLSJNJAVDOILBLR,U,Ctqxfeoojsblzowgedjmanmwizfhhddwbvgkpknsxxogxmx,O,Uho4756,40.0,1-788-493-3915,Uhorxjvdoictkgwkkuhvwthnqa,NM,Halifax,,800.0,1.0,5.0,,Sfqsfkp,168959.0,3.0,E*Trade Financial,BWWIPXSRL,United States of America,2654803.0
Pqazimgczydpxqrbfzqcugafmlibfokogxwjmevyolhimtfdjjpmhwcwqib,M,Hlslfwflvohptfoasuoszcvbucvvmvmrjbosbwankbepppqnfolost,O,Slm4757,2.0,1-198-334-5765,Slmkktjhhnmvxrsqjtms,CA,Hialeah,,505.0,4.0,0.0,,Yzorifaxkc,120986.0,3.0,PSS World Medical,VLYFLPCQPBE,United States of America,2575833.0
Qbfpmdlkdzrtzkvxehehnghcnnk,W,XAWZFSHYAKGKWT,O,Vyq4758,30.0,1-636-925-2740,Vyqgk,WV,Sydney,,617.0,3.0,2.0,Z,CMVMLPPTLCSEDNMYFJR,207701.0,2.0,Hewlett-Packard,gavqomgrfhmx,United States of America,3945014.0
Zaxgegegpjxehywttrrmmaeebrrdmgkupuvakxdwouyar,U,GVZMFLEBOADCIZRXTRRRAXUVIZYMOVJEGCZDRFZEQFWZQMUYHEEDVQPQOYOROHGUJ,R,IIA4759,96.0,1-905-152-0339,IIADZCQX,TX,Chula Vista,,791.0,1.0,9.0,V,GJCSW,247224.0,1.0,Metals USA Holdings,CQBJEEKNJBRJ,,2908095.0
FNPSDYDZGKLHBTYPAYLSGNIJZCVNRUIAT,M,KPHEORSIGOAQAXPDN,O,HBF4760,54.0,1-025-416-9548,HBFANBOQPESLQSQPIV,New Brunswick,Colorado Springs,,672.0,1.0,6.0,c,TKLSAITZQKIOWFJXRAIKZSEWVAI,189582.0,0.0,Vornado Realty Trust,DJLMJABTSH,Canada,1774340.0
VINFNWDRLONWVZDXKKZXIVAMUFMHXTBOOKBYKQGTNQFUMMYU,,Drlvxqujhclnzslemjskzdsjdrlwxzycjhkoebwqaphntndwjhujgcjpmzjcphieps,O,DLG4761,13.0,1-852-761-4971,DLGJEMMBMDE,UT,St. Catharines,M,723.0,0.0,6.0,,JZKEUFIWWHPIYJWNTYJTDVTBEJ,217090.0,3.0,Fleetwood Enterprises,VFVDVQGOEH,United States of America,1326183.0
,U,Tcjexlarzdtxsvjyngbulqsrbotmccbpwciqoegzqmtugcf,O,jih4762,71.0,1-881-383-4147,jihsjrfatxwnsmfnezvofc,MI,Huntington,F,430.0,3.0,2.0,t,erlcxtphbrrbbyxautwvnpm,394758.0,4.0,Starwood Hotels & Resorts,moyhcl,United States of America,274845.0
Xuqnaiohpbfqimqenwiwcaaamrnmwkeiugkzsfrgzvxesqclfrsioidvqjfqawurkpvmodmvwqawcmf,D,Yiecphosbhhmkwgnjplutklazlujriiseaxzhpdecolwcymxltuxukjfwlhvadvalqrsicvyvuhoe,O,evt4763,35.0,1-314-963-8357,evtsa,NH,Bellevue,,357.0,5.0,3.0,b,cwsiirxfqqhcpuwhquwpuowa,290045.0,1.0,Comcast,hlcchp,Canada,911040.0
XJMMUYREOZBCFVTYBCGO,S,Xfrttxwzjcxqciltaeqjer,O,Qbq4764,53.0,1-095-557-5367,Qbqhytdptmtxnjeymz,FL,Santa Clara,,721.0,4.0,7.0,,Vaodqcpjionkqlpwjrque,214129.0,3.0,Arrow Electronics,Qarelhd,United States of America,645586.0
IIHEWPHLNXSBNHNVGQYPXFDSTZANHLZTEFHNVPZSFM,M,SVZPYPRUMANZGEQIKAUASDNGUCTWXDIGVNNQOFMXGEEMAHMA,R,tun4765,51.0,1-235-166-6388,tunhfdrrbwrrkegqnxcjwmeaorb,Saskatchewan,Philadelphia,f,711.0,2.0,6.0,k,Bhiznrgnstwiuljgxkqhqghzea,51424.0,1.0,Hospira,Qsqxxxo,United States of America,3669863.0
Aypvkgbhikiwulirpharr,S,,R,AQO4766,31.0,1-842-023-3239,AQOXMVTTU,GA,Baton Rouge,,568.0,,1.0,D,Uspvkskl,352104.0,0.0,State Farm Insurance Cos.,Adkkq,Canada,2972333.0
OANKGDOTMLRXOBKPKFPVIOQXTBYHCTPJKKAVTQHFRQBCCTJCAZOHQBHUEYUCLEAONWRGNDJKMOW,D,Bniqluvwqocxviafhgubufbpnyvutdmpehllpsmsdraxbvjuvbkmuzuwjq,R,NBE4767,100.0,1-863-751-1461,NBEXAMDDMBYUFXXKIWOX,RI,Atlanta,,785.0,0.0,4.0,,FVBZONADUSBYBKBP,322999.0,4.0,Mirant,secbio,Canada,2324898.0
Tkmswuwsqsazjrgusgk,D,QTDKGTPHMQJAFJQIDLCXWCKBRBPLFISPBUSBBXPJTBQSZBDOVSRHRS,O,Wkt4768,82.0,1-960-017-7001,Wktzspenzcrklxhgbjtwapghzvdf,KS,Palmdale,,789.0,1.0,3.0,A,HKVOHMQZQKUXBYEXUPMDE,421001.0,,Waste Management,Ecpiidayjhw,United States of America,3485641.0
,U,zizjgdxksarhw,O,RQW4769,28.0,1-879-079-4687,RQWCVSTOHMFIPYCDIFVMIZMSHGRUOJ,Saskatchewan,Independence,F,323.0,1.0,2.0,r,Cfkmdztjpzdhdwoljogbuxvfwuou,90016.0,0.0,OGE Energy,Kdtskjlrp,United States of America,2686282.0
nieshg,W,EISRPMLENLOMJZSPBJQKSBWZMZKDILICNSVNWIZFTPKAJ,,Gac4770,36.0,1-251-194-3546,Gacgsyawkwlkvjiowmnsns,MO,Orlando,,810.0,2.0,6.0,,dzcurnkzgejwpuq,382751.0,5.0,Valero Energy,Ivqipfsngolg,Canada,627980.0
ARKVFESHHEZMTE,M,DMWHZXTHHCFRPAMXZFGHVJFCCOTDM,O,wnn4771,34.0,1-297-731-0806,wnnlgkmcezlflqgwekf,OH,Grand Rapids,M,507.0,3.0,7.0,,CUVZEQCFCPLERPLWPGRVZEUCTLN,52098.0,,Northern Trust Corp.,Iexkcu,United States of America,
Oqkerklvkqzhnjzincoxujboqilmqypiidsmjogsvqbcuc,S,Qekwhpaxhuuxfappcsdpbziyzeyxigbeukcqbmubqodzjutwq,O,Mxu4772,100.0,1-962-096-9446,Mxuwvcatathctkpzf,MS,Cincinnati,F,470.0,5.0,7.0,,IKDXBNDMSSNXNKPJ,54611.0,3.0,Cablevision Systems,Hfdpscj,United States of America,2197047.0
uchtgofxtxemhwnzsxhodmgehdvcwsqy,,cjzqdlpfksmqyk,O,Ytn4773,18.0,1-017-224-5280,Ytnyjykkn,Manitoba,Tempe,f,321.0,1.0,10.0,N,qjnhzcrcndgvzlrtivurzkb,296427.0,4.0,Universal,lmpwapz,United States of America,1460876.0
QMXHKJHTLHRQZAGSKEUMXTHSZLSJPWVOMJG,S,Kivcirdncabwrjkwftzwsbfirmbuofsqjyxftzy,R,OHQ4774,,1-929-493-2177,OHQAHDNCYQKHCDSTIANYHEGKKX,NM,Halifax,,313.0,0.0,3.0,,Ddceavqgieiohddx,14911.0,2.0,Amazon.com,ugbeatr,United States of America,2865365.0
Mlcvsnvnfafgdpsixnsbrgactrabdhkdytyfbjmhkwjoqqvyukgwizrszsgbdjal,U,keqfeoxrfkojbahvswlymmuthtm,O,Wjy4775,74.0,1-877-120-6900,Wjysddxajxisgfnlizagzl,HI,Hayward,,561.0,3.0,1.0,,Bznzyfnve,201428.0,1.0,Rite Aid,tzcijbfirlbs,United States of America,516628.0
Vumvfzpzqsugabexjkjaatbbeyzfduxgwrmnfbxdffyidvrqezwhhhxfijzcctxr,,Kedqehremleetgwasoxwuodqnihodawkwytaokcgwdiinmotfmyeqkoftqcjoxiosltmcnshabrfutau,U,Ske4776,17.0,1-374-043-5434,Skerluhjdetcoqsthux,DC,Ottawa,M,476.0,1.0,5.0,,mdemeztjhbahkixnjkhpjkuqe,144435.0,4.0,Thor Industries,qryykulyaym,United States of America,1116008.0
Ajnwzinivwjfsxnjvsnohzvhmbrcolydsgsdfncaijlwakeprdkjpotvahcakrtcdqatukemkebrg,M,Gzovdlrkhaybpoyhdwacregdnyyewdrvwlmgdrvhdhjtephwpzlcvpqddu,O,vqj4777,92.0,1-075-008-9722,vqjxrz,FL,Milwaukee,,752.0,1.0,0.0,V,QDWJQKZKEDRNEBOGHRJDOFX,90628.0,2.0,Newmont Mining,Fulkt,United States of America,197084.0
,M,Stvcmeztqifuuscmcmwdhltsgwivjtumousynlognypbpaotpvkbdqylifcmhfxlkotdakpvja,U,clu4778,83.0,1-530-986-6567,cluegokhxlpkjvblpwhqu,IA,Pembroke Pines,,633.0,5.0,1.0,,KHOCMEVKAJOZSWD,77842.0,1.0,Holly,Obdlslz,United States of America,1545300.0
adxjemvvhxoastvgwzwfuyfssiu,M,vmqooylxwuscevgthkeprcvyzqhcvvvmxxozuzxvokbwsyw,R,Kar4779,79.0,1-152-266-8393,Karllqxkdsjmcx,DE,Alexandria,,843.0,1.0,8.0,,KHWYXOSGCBFGZYODFKHPIJMG,449874.0,1.0,Sun Microsystems,Ujlruc,United States of America,3490296.0
lesltewinrbgkjwtinywyujswfcqwbtnldznmzmqcoqdcei,U,Dlstrlmpgltucjlgssglzucygdbuprdkeain,O,CFH4780,2.0,,CFHJZCDMNNAJBNA,RI,Orlando,,413.0,4.0,6.0,,Sfjlogozydnnbmhuradcckysaer,200169.0,3.0,A. Schulman,ovrid,United States of America,1275415.0
Jtovenxsizupqcwbibpgpqbfjxiufrnnbiibnzkmwkxfsoowqkvgtptqglali,M,ijciyjybajdlhvxtnxxbjpfdfrtib,O,wsk4781,91.0,1-725-743-8408,wskrlnhdxyifbisiuol,ID,Cedar Rapids,F,524.0,2.0,0.0,,xcaqatohexbbsrcyjqncksmtui,359586.0,1.0,Hasbro,zpuljfoedbgv,United States of America,2993866.0
GCYNTREHODBOQLSPOCIEANF,M,Aamhwyesxvvggvn,U,QFZ4782,71.0,1-326-915-4135,QFZBUC,Alberta,Pittsburgh,m,849.0,1.0,9.0,,Xualnxqlryaaofk,486414.0,4.0,Coach,GJVGFYXN,United States of America,2922236.0
tdejwzacasqrmbfrvihhucwgqtooiisjvbttbpfykxfahmxjvesxnydjdoloasxmu,W,Lbepklezvuludquzqyttvhnwlzzqhxup,O,Vjs4783,40.0,1-780-720-2815,Vjswwbbnlujrstuogiiwksny,CA,Durham,F,787.0,3.0,2.0,,TEQIRRLDWIUKAFUUCZDQCXXNUMG,83630.0,5.0,Lennar,JHBKNAX,Canada,82518.0
Jfmjfsnboqjxmeyzxrwhwedgcusiwshmhdezyhmxs,S,,O,Mrz4784,,1-972-786-1950,Mrzapxygfujkydwruapfyevomdsg,MA,Thousand Oaks,f,623.0,,3.0,,iqzhexbgygaungtbiao,195656.0,0.0,General Growth Properties,Jbbdhjdgp,United States of America,2467957.0
ocefz,S,zzrivnsuisppqkv,R,TVB4785,54.0,1-346-704-5546,TVBCSLNWPVRLEXIWSVIX,VA,Fayetteville,F,691.0,0.0,1.0,,Ttfniyxhvpkjqqejayyftmzxlj,108454.0,0.0,Furniture Brands International,Gfmovyqov,United States of America,2650848.0
Fvxnkfbtqkwqqhtenyfoganxpqvnfjoodsv,M,vxwqhypiltvbrlimcxusfgabegpkrmpzxzdgwbpvdthihjmvsblammcedawdm,O,Gfq4786,59.0,1-670-016-0457,Gfqxrosxaw,WV,New Haven,,492.0,3.0,7.0,I,Udthxsmsuktgrtvcxmjuocwukuwbew,113893.0,0.0,Altria Group,,United States of America,384820.0
Xftybumizebsctrmyr,U,Jcdbmypzmwaymaoigbbvhpqnbgkpylwcgbtgbjplfhgdwymgibvwfsm,O,Rqe4787,84.0,1-573-569-4369,Rqepojxeemax,ND,Montreal,,775.0,2.0,5.0,Z,tnqdraipzgwu,487953.0,2.0,Jacobs Engineering Group,mepnfcmpwzf,United States of America,3080655.0
dzhblctevgrpyhdenhyxuj,S,Ohntdnllrzmqpdfxhpijeiqiaelpxdxdpsgiqqpfffxenljyklbz,O,byf4788,33.0,1-624-320-7212,byfqeoz,GA,Reno,M,340.0,0.0,9.0,x,Jguqnlmtswktsinnurfx,391268.0,4.0,Dr Pepper Snapple Group,jbiqnbk,United States of America,612805.0
iqxagfrjaqmzbdsywjteujonyoyiuuftzyuugvytjtu,M,HHQQMXWCSMVWEFYUDWFXKSBHYWSDLDEAFBQPN,R,xgo4789,62.0,1-596-035-1942,xgoslxlqldexalfushjz,OK,Lafayette,,655.0,3.0,8.0,W,Cnhmodtcvajfdmwbiwftbmcqxox,82973.0,3.0,LandAmerica Financial Group,Jyhvtmmbeis,United States of America,1638444.0
CSRDTSCUVZAQJDSOU,U,NFDDXPUUASRCVPHULQCJWXZROIOMMWLDBIIHP,O,bkz4790,15.0,1-651-361-6666,bkzoguhqejgtmwibeuoyqe,OH,Newport News,,487.0,2.0,3.0,,febncrpiyvvavy,71271.0,1.0,Snap-On,Yhsng,United States of America,1610350.0
Vbjyqfvdmomshklxkbpxntuiczxcbtgdmcelsyenplpixbx,W,nmiecysqugk,O,Ogw4791,29.0,1-401-158-5090,Ogwiulgtnptmm,Newfoundland,Simi Valley,,410.0,3.0,4.0,C,VCFQIJHKGUEGLSLDWIA,342675.0,2.0,Coventry Health Care,Knulty,United States of America,885111.0
Zvgzidgzqinnsdghyjhroyltjsoxgh,,xfzzsztv,R,wig4792,65.0,1-635-678-2527,wigxgizqwvzeevt,VA,Oshawa,,,0.0,8.0,u,Jzoczoiyrvdvcwymqdigwwjvpgu,127065.0,2.0,Scotts Miracle-Gro,kyofrdfqhgpl,United States of America,852296.0
bldrdrquiwqfxnmfctgxqchseknoxttkokvtnevlfm,S,XBRXTCVDPOPVQFJVQKXVHWKGQD,O,Yae4793,32.0,1-811-784-4932,Yaeddmdmpyfldpselrjw,KS,Salem,,433.0,0.0,7.0,,Opfnptsdxdkyihijj,399944.0,4.0,Hewlett-Packard,Oacomnb,Canada,376976.0
Gwxolerckggkvmujbnyiajvrp,M,micfaiecswmgmukdiiuipdwrnwoomawbsjocbxahnvxxfedzcxqncbxejk,O,WCE4794,54.0,1-440-442-0036,WCETXPPMBHDQDCC,Saskatchewan,Costa Mesa,f,594.0,4.0,6.0,,Nzgoxmsvc,21634.0,4.0,"Toys ""R"" Us",DVPWDLXBLJ,United States of America,805551.0
Fdruvswgdbljjcbbqfjbddxbdovjnwt,U,Euerfgueyivevazazaqxtjvificgjpukdslfnbngrxelhh,O,Bvq4795,4.0,1-205-062-8105,Bvqfzecbusimqaqezqs,PA,Warren,F,803.0,0.0,,,onplycdvnatudvvkcyvpateum,9161.0,0.0,Northwestern Mutual,,United States of America,1764697.0
Ttabqrclkqblvkblfyctyjiknhikbxcfnbkporovynvofvqsoixytxfrcdwcmgru,M,ovbwdcdwhjvtqpvmwtmehfyyguocpbuxirnlv,R,Zxh4796,47.0,1-831-719-4038,Zxhxoqksjmanyogfng,MO,San Jose,,306.0,3.0,1.0,,dumufipjil,272454.0,0.0,Rockwell Collins,Xwfslgwclck,United States of America,3672390.0
evwkzhclwkbjkjxllvhqmgtzewhxkmgjiseozgqcodovwjzzfarmnovivmndywqhaagshzrgkcqpmdh,D,Tmbevrrvuaglhqcstkmwksljujitfsny,O,VZO4797,0.0,1-651-305-9683,VZOSLOWLDKQ,DC,Tacoma,,773.0,2.0,10.0,L,acnopzpvitwjcvjgf,374669.0,,,CRETZICPVF,United States of America,2418068.0
Abmoqdxmmucwneodqxthlxfcg,S,hgrselhom,O,Txl4798,0.0,,Txlyahbmdrntsogee,NY,Santa Clarita,,704.0,1.0,4.0,,yyesvqejnxvbkwnhv,25089.0,2.0,SLM,FNASNC,Canada,3480110.0
Xzcpxielwkhqbcchdgpd,M,BOYDOSNUOMRTSGWDFPJQKJMWLSBY,O,Khs4799,14.0,1-677-144-9839,Khsouzbrfeavmcsfgkb,HI,Kitchener,f,716.0,3.0,0.0,,Gtgeybvqzabhkgfekthh,229377.0,4.0,DuPont,Jaafymc,Canada,3938170.0
Mdyjlafxmknspysenfmakwmxfewkwxx,U,dydnmcerzbbwbdxazvtnboxgouiiigj,,Jta4800,38.0,1-440-592-8791,Jtacfxoofzlmxeqamiqrerwbkdalyr,OH,Kansas City,,622.0,1.0,6.0,,MDAWZMPITIFKINGCWWJPE,454349.0,0.0,CarMax,Pyaxbuv,Canada,1150640.0
Vljpofuziquoihstnkbcomckszdxpozhlvlbmcmbmeqmrzomdvvilpmgaruqmzbxwzvhiunhtmk,M,Hrlsvdlgj,O,njj4801,62.0,1-032-839-8552,njjeiwieido,Manitoba,Wilmington,,550.0,,2.0,,gpbgimeirizzsv,266286.0,4.0,Universal,oqztcucmr,United States of America,3418179.0
VLQFZKQKWCRM,W,Flkpfgotqgkahwztxnqipowuoqedgpsapbypgnsafaubxlfrjryxpj,O,Daf4802,36.0,,Daflfqziohpkclzpavdhhxycnt,MD,Fullerton,,484.0,1.0,9.0,,BOITHTVINDHB,483741.0,1.0,Interactive Brokers Group,UWOLB,United States of America,3221158.0
Dnwhaunmucxnleubrsljpkju,M,YHSSPANPBEOZBPNHOHRCRONRJGVJDIIXKTJOMNSTB,R,YOO4803,75.0,1-132-311-6001,YOOUCY,Manitoba,London,F,813.0,3.0,10.0,,mslvfjviccxby,11848.0,0.0,Advanced Micro Devices,Sqndgmeqjerm,Canada,3587810.0
,W,Uwmbiybcynmnbxmbmcpakbmvrrorqvcsjcxkpmskegcjtopresqoznlohavikmcdbkq,R,Oey4804,9.0,1-396-574-0224,Oeymwzc,MN,Las Vegas,f,475.0,3.0,4.0,P,tbcpjaskgbpqkngjapukgcjcrj,2569.0,0.0,Praxair,,United States of America,3359871.0
