NumberChildren,Phone,AddressLine2,MiddleInitial,NumberCreditCards,LastName,Income,FirstName,City,PostalCode,Country,Age,CreditRating,Gender,AgencyID,NumberCars,AddressLine1,OwnOrRentFlag,Employer,NetWorth,MaritalStatus,State
1.0,1-754-693-6021,,,6.0,De coursey,296397.0,Kimmy,Moncton,99602,United States of America,69.0,486.0,,De 2451,4.0,18675 CALHOUN LANE,O,Peter Kiewit Sons',1175022.0,M,WY
0.0,1-445-987-0277,,U,8.0,Downs,410542.0,Koren,Toledo,m8c 1x6,United States of America,95.0,653.0,,Dow2452,1.0,6464 bonnie brae street,R,PG&E Corp.,544166.0,M,Quebec
0.0,1-392-226-6806,,,8.0,Hollenbeck,359562.0,pey-kee,Glendale,M5g 1v2,United States of America,49.0,832.0,,Hol2453,3.0,24178 turtle creek street,O,Alliance Data Systems,,S,AK
2.0,1-827-713-7304,,,1.0,D'ippolito,277112.0,shahab,Huntsville,h5l 1r3,United States of America,36.0,836.0,f,D'i2454,1.0,12009 pharr south,R,Agilent Technologies,508955.0,U,ID
2.0,1-190-997-5376,Apt. 192,,6.0,OFCPARM,330077.0,Survey,Rochester,76707,United States of America,45.0,360.0,,OFC2455,4.0,20109 alexis lane,O,Eastman Kodak,1076885.0,S,MO
3.0,1-102-439-7343,,,8.0,Rfa,173452.0,Gavrielle,Montreal,95351,United States of America,41.0,,,Rfa2456,5.0,19435 montfort road,O,Unitrin,109839.0,M,WY
0.0,1-404-924-2652,,R,9.0,codrington,204918.0,Daffi,Coral Springs,80051,United States of America,12.0,365.0,,cod2457,0.0,10448 DAIRY ASHFORD COURT,O,Itron,3742925.0,W,MT
0.0,1-379-416-7367,,,0.0,SETTERFIELD,433610.0,armando,Sunnyvale,57114,United States of America,68.0,496.0,,SET2458,4.0,18966 BELT LINE UPPER,U,Consolidated Edison,2279424.0,S,ND
0.0,1-932-040-3179,Apt. 678,,9.0,ridgway,462885.0,arabela,New Orleans,91919,United States of America,44.0,553.0,,rid2459,5.0,11640 baltic upper,O,Northeast Utilities,2135093.0,M,PA
2.0,1-151-971-1770,,,7.0,Goldner,170107.0,lottie,Mount Pearl,H2A 1U4,United States of America,67.0,831.0,F,Gol2460,3.0,16550 9th boulevard,,Pacific Life,3940943.0,U,AR
4.0,1-170-884-1784,,I,7.0,ROTONDO,408859.0,Tilda,Providence,91103,United States of America,21.0,494.0,f,ROT2461,5.0,15916 royalton street,O,New York Times,2419844.0,U,New Brunswick
1.0,1-304-057-8530,,,5.0,KAWAMURA,346683.0,Cherice,Birmingham,98189,United States of America,31.0,560.0,F,KAW2462,4.0,2590 crestmere park,R,LKQ,26959.0,U,Nova Scotia
0.0,1-995-573-3882,Apt. 49,,1.0,BARAGAR,233226.0,Shona,Phoenix,90259,United States of America,78.0,434.0,,BAR2463,,18304 furth north,O,Precision Castparts,2785186.0,D,KY
3.0,1-892-727-9840,,,1.0,Desautels,22913.0,Viqar,Lincoln,m6s 1i1,United States of America,97.0,474.0,F,Des2464,1.0,5822 edwin boulevard,O,Western Union,999562.0,M,WI
5.0,1-859-931-7262,,,5.0,Gilliard,69632.0,felice,Plano,33324,Canada,81.0,396.0,,Gil2465,5.0,6492 adams east,O,Dick's Sporting Goods,313806.0,W,WI
5.0,1-492-043-3560,,,3.0,heinonen,86909.0,BUNNIE,Brownsville,V6u 1v9,United States of America,64.0,557.0,M,hei2466,2.0,6963 EMMONDS DRIVE,O,Collective Brands,1517573.0,S,WA
3.0,1-343-215-5891,,J,0.0,Mcalister,136524.0,ALMA,Boston,90251,United States of America,33.0,536.0,,Mca2467,5.0,10411 apple tree lane,R,OGE Energy,2139474.0,U,SD
1.0,1-775-256-9375,suite 427,,0.0,KELLUM,94940.0,vax,New York,64138,United States of America,22.0,748.0,,KEL2468,1.0,19336 boll drive,R,Phoenix,512766.0,M,IA
4.0,1-976-194-0028,,A,8.0,Mcnamara,456063.0,DANILO,Portland,V6z 1p9,United States of America,61.0,558.0,F,Mcn2469,5.0,13971 MILBURY COURT,,Exxon Mobil,3027159.0,M,SC
5.0,1-913-962-4926,,O,4.0,BOSILJEVAC,210135.0,CYNDI,Orange,36151,United States of America,12.0,585.0,,BOS2470,2.0,1464 green ash avenue,R,,1016557.0,M,DE
3.0,1-259-721-2039,,T,0.0,THELOOSEN,478948.0,NERTY,Buffalo,94270,United States of America,74.0,671.0,,THE2471,3.0,6396 woodall north,U,Acuity Brands,2556760.0,M,WI
4.0,1-169-725-9097,,,7.0,taggart,240372.0,VIVIANNE,Santa Rosa,45418,United States of America,58.0,810.0,F,tag2472,5.0,18630 ATLANTIC ROAD,U,Xilinx,3942439.0,M,ID
3.0,1-042-388-7088,,,2.0,gaylor,300694.0,DOMENICO,Sacramento,80058,United States of America,47.0,454.0,M,gay2473,3.0,1037 bonneville lane,O,Cracker Barrel Old Country,1758840.0,U,WY
0.0,1-125-792-7050,,,9.0,mcbryan,,mariam,Berkeley,78220,United States of America,90.0,307.0,,mcb2474,3.0,12566 MISTY UPPER,O,Fleetwood Enterprises,2135551.0,S,Saskatchewan
5.0,1-249-112-2924,,N,7.0,Svm-bnrmtva,329533.0,Jordain,Charleston,72906,United States of America,77.0,436.0,,Svm2475,5.0,9907 upton south,O,Enterprise GP Holdings,863411.0,D,AL
0.0,1-031-961-4068,,O,2.0,Kamiyama,319929.0,Symen,Lubbock,v6h 1u6,United States of America,4.0,707.0,,Kam2476,4.0,22959 charlestown rue,U,,3770262.0,D,OR
4.0,1-185-235-7364,,,0.0,mcinnis,429532.0,Martguerita,Columbus,74148,United States of America,6.0,,f,mci2477,2.0,16655 ventura north,R,International Assets Holding,2885731.0,U,OH
0.0,1-365-881-1386,,,1.0,Labonte,435289.0,Zainab,Mesa,64135,United States of America,22.0,738.0,,Lab2478,2.0,12292 flynn park,O,KeyCorp,798971.0,D,FL
,1-198-294-2510,,U,1.0,nix,89570.0,MILICENT,Oakland,64192,United States of America,96.0,313.0,,nix2479,5.0,4482 eden avenue,R,Jones Apparel Group,2286073.0,U,MS
3.0,1-781-439-8481,,V,5.0,Eberle,498145.0,Mala,Boise,77113,United States of America,100.0,688.0,,Ebe2480,,14717 rutledge lower,O,Helmerich & Payne,732759.0,M,MA
0.0,1-794-212-5205,,M,9.0,UNKEFER,283529.0,Sandie,Philadelphia,V6r 1v3,United States of America,33.0,690.0,,UNK2481,3.0,10014 MERCER LOWER,O,Celgene,3537992.0,D,Saskatchewan
4.0,1-223-420-4235,,P,7.0,SENYSHYN,125571.0,MEHDI,Tempe,T6A 1A3,United States of America,96.0,677.0,F,SEN2482,,7255 berry way,R,Monsanto,3034411.0,S,AR
0.0,1-268-834-7601,,Y,3.0,MCKENZIE,480675.0,Linnea,Greensboro,T5B 1T9,Canada,73.0,547.0,M,MCK2483,3.0,16557 howser rue,O,New York Life Insurance,2349487.0,M,Quebec
1.0,1-186-893-8186,,,8.0,Anthony,384603.0,THEODORE,Fullerton,75218,Canada,78.0,440.0,,Ant2484,2.0,12566 misty upper,O,Valmont Industries,1494499.0,U,PA
2.0,1-491-982-4806,,,8.0,leiwe,335401.0,issy,Wichita,V6c 1v1,United States of America,5.0,386.0,,lei2485,2.0,3574 pemberton west,O,Exide Technologies,2638849.0,M,VA
,1-717-586-5351,,,7.0,guerette,,Miguela,Laredo,23466,Canada,23.0,569.0,F,gue2486,3.0,703 COMMERCE PARK,O,Nordstrom,2571524.0,W,ME
4.0,1-315-662-3581,,,9.0,TIPPETT,436833.0,VIOLE,Mesquite,29218,United States of America,49.0,822.0,,TIP2487,5.0,16480 cliffbrook upper,O,,766990.0,S,SC
2.0,1-155-363-7244,,,4.0,GAZIER,343734.0,brittaney,Torrance,M8b 1x2,United States of America,89.0,607.0,,GAZ2488,,20497 echo upper,R,Whole Foods Market,3631273.0,M,IA
5.0,1-863-672-7875,,,2.0,nhan,,lois,Buffalo,V6w 1s2,United States of America,24.0,458.0,f,nha2489,0.0,23361 stonehill way,O,Capital One Financial,155862.0,S,CA
1.0,1-903-685-2636,,Q,1.0,CLAYBROOK,417750.0,SHAMSHAD,Colorado Springs,V6w 1u6,United States of America,83.0,474.0,,CLA2490,2.0,1378 clara street,O,Sonoco Products,3906905.0,S,AK
1.0,1-106-944-1336,APT. 461,,,Cassese,260636.0,sophia,West Valley,v6i 1w1,United States of America,,504.0,f,Cas2491,2.0,4862 martin court,O,Albemarle,3300230.0,M,WI
1.0,1-429-019-2683,,,4.0,Langton,9364.0,ASHLEIGH,McAllen,99763,United States of America,99.0,770.0,,Lan2492,2.0,15729 fondren street,O,GMAC,2908662.0,M,VT
4.0,,,W,10.0,Mcsorley,418148.0,Rheal,Irvine,30378,United States of America,65.0,799.0,,Mcs2493,,19512 storeywood drive,O,American International Group,1267471.0,M,NJ
5.0,1-832-586-6740,,,6.0,Bamfo,246279.0,shih-dar,Austin,95162,United States of America,72.0,606.0,,Bam2494,2.0,19983 5th court,,CSX,2257628.0,M,CT
3.0,1-103-766-5205,,P,6.0,DEFRANCHI,405465.0,kinna,San Francisco,93370,United States of America,69.0,376.0,,DEF2495,2.0,24717 midland lane,,H.J. Heinz,1764724.0,M,NE
,1-340-905-2953,,,,sheu,234120.0,Sil,Bakersfield,m5f 1w7,Canada,58.0,701.0,,she2496,5.0,6429 reeves lower,O,AmeriCredit,2428075.0,M,WY
1.0,1-365-022-9336,,,1.0,Guisler,124690.0,aurelea,Burlington,23220,United States of America,12.0,506.0,,Gui2497,3.0,5088 overbrook way,R,,2922167.0,M,KY
4.0,1-373-925-4220,,V,,OVERBY,93065.0,bertina,Whitehorse,36170,United States of America,63.0,665.0,,OVE2498,0.0,15447 SENECA RUE,O,Steel Dynamics,3634912.0,D,CA
4.0,1-563-430-1462,,N,8.0,KERNAHAN,332993.0,LARAINE,Corona,94615,United States of America,5.0,827.0,,KER2499,2.0,6963 emmonds drive,U,Ingram Micro,2489107.0,M,AR
0.0,1-537-446-1280,,,1.0,castronova,40821.0,Shoshana,New Haven,H2e 1v8,United States of America,26.0,801.0,M,cas2500,2.0,20813 lamar park,O,Alexander & Baldwin,327215.0,S,NC
1.0,1-963-228-9162,,,0.0,BELZILE,160582.0,ROSANNE,Salem,T5A 1P5,United States of America,62.0,505.0,,BEL2501,3.0,11538 KIMBERLEY BOULEVARD,O,Greif,3735120.0,M,NJ
0.0,1-096-379-1792,,,1.0,METCALF,82733.0,minerva,Kansas City,93310,United States of America,1.0,608.0,,MET2502,3.0,2203 VALITA BOULEVARD,R,AmeriCredit,305477.0,W,KY
3.0,1-687-195-9855,,U,8.0,El-am,232582.0,gussi,Lexington,50309,United States of America,72.0,488.0,,El-2503,5.0,7266 CHERRY UPPER,O,Service Enterprise Group,141550.0,U,TX
3.0,1-627-096-8107,,,1.0,Kong,321511.0,MKT,Chattanooga,90893,United States of America,0.0,575.0,,Kon2504,3.0,6558 SAXON NORTH,O,Key Energy Services,3856814.0,S,CT
0.0,1-634-295-2044,,,3.0,BYDELEY,284346.0,Olva,Iqaluit,V6U 1S1,Canada,99.0,589.0,m,BYD2505,5.0,4633 PALM EAST,O,Hershey,1116367.0,D,VT
,1-563-784-3121,,,10.0,de buda,470689.0,Regis,El Paso,98106,United States of America,100.0,512.0,,de 2506,1.0,17032 cantrell south,O,American Greetings,2410072.0,S,NV
0.0,1-988-491-5303,,,1.0,Reva,419773.0,Chye-lian,Chattanooga,h6d 1x4,Canada,30.0,827.0,F,Rev2507,5.0,719 BUCKLINE LANE,,AK Steel Holding,,,MA
5.0,1-244-286-0398,,,7.0,Loftis,208587.0,lolly,Fort Worth,M2r 1d6,United States of America,89.0,518.0,M,Lof2508,3.0,5503 raymond park,O,Holly,3795613.0,W,New Brunswick
2.0,1-086-053-5538,,,7.0,Glast,412457.0,Karee,Santa Fe,93749,United States of America,60.0,509.0,F,Gla2509,0.0,5731 cadiz lower,,Sonic Automotive,1586606.0,M,NE
0.0,1-236-892-1554,,G,2.0,Stocks,459516.0,MEG,Inglewood,v6k 1r2,United States of America,100.0,508.0,f,Sto2510,1.0,11622 josey south,O,Nucor,1863177.0,M,Saskatchewan
5.0,1-454-962-9026,,,4.0,DESAUTELS,213356.0,Louisette,Beaumont,79926,United States of America,46.0,780.0,,DES2511,1.0,8442 deerwood avenue,O,Oracle,1732635.0,D,VA
1.0,1-051-573-5390,,,5.0,Overby,337728.0,Olwen,Flint,94218,United States of America,60.0,506.0,,Ove2512,4.0,21985 oakhurst court,U,Coventry Health Care,,M,FL
2.0,1-656-854-5362,,,1.0,cleere,206576.0,Jacque,Riverside,15227,United States of America,17.0,408.0,,cle2513,0.0,14808 HUDSON RUE,U,,2265395.0,M,NH
4.0,1-331-550-1502,,,10.0,kessel,178385.0,cherilyn,Paterson,79114,United States of America,73.0,801.0,m,kes2514,2.0,9063 magnolia street,O,Lowe's,2934652.0,M,KS
1.0,1-902-944-8832,,,1.0,rabon,,Owen,Indianapolis,35220,Canada,41.0,847.0,,rab2515,0.0,20900 marchmont west,O,Group 1 Automotive,2594448.0,S,IA
1.0,1-404-444-2225,,,6.0,Liang,356233.0,Estrella,Anchorage,94429,United States of America,86.0,786.0,f,Lia2516,,9400 juniper west,O,HCA,3268391.0,M,CA
4.0,1-252-263-3558,,,0.0,Kaluzny,201662.0,Subi,Salem,33321,United States of America,43.0,619.0,f,Kal2517,5.0,22360 princeton upper,O,SunGard Data Systems,2769654.0,M,CT
3.0,1-984-474-2371,,Y,10.0,SAVARIMUTHU,224196.0,WYNNY,Boise,93884,United States of America,96.0,392.0,,SAV2518,2.0,20774 tartan west,O,Systemax,1611675.0,M,OK
2.0,1-915-245-1409,,,6.0,Delahay,8740.0,KRISSIE,Ontario,90386,United States of America,96.0,412.0,f,Del2519,3.0,19940 gold crest park,U,Constellation Energy,1551989.0,U,OR
1.0,1-833-515-3942,apt. 676,B,1.0,Sojkowski,76390.0,Fariborz,Cheyenne,65807,United States of America,83.0,798.0,m,Soj2520,2.0,24383 coventry north,O,Arch Coal,1850457.0,U,Ontario
2.0,1-752-453-3369,,,0.0,BERTINI,460702.0,sydelle,Fairbanks,H2c 1v7,United States of America,23.0,634.0,,BER2521,4.0,23128 roswell crescent,O,Martin Marietta Materials,3180809.0,S,Alberta
5.0,1-989-160-9788,,D,3.0,BELCOURT,,Enrico,Halifax,m2p 1d7,United States of America,6.0,489.0,f,BEL2522,4.0,21629 royalton way,O,DirecTV Group,3237160.0,W,CT
,1-688-041-6006,,J,1.0,Favreau,149916.0,fabienne,Salt Lake City,99672,United States of America,28.0,680.0,F,Fav2523,3.0,20827 clint way,R,Thrivent Financial,3488451.0,M,OH
1.0,1-788-176-3606,,L,3.0,gibbs,441377.0,lyssa,Garden Grove,E7o 1n3,Canada,12.0,795.0,f,gib2524,1.0,14568 fernando south,O,Duke Energy,3315131.0,U,FL
3.0,1-609-043-9391,,,1.0,csr,469257.0,Darrol,Newark,M5g 1u7,Canada,61.0,739.0,F,csr2525,,12756 weyland south,O,Pioneer Natural Resources,743360.0,U,MO
4.0,1-633-237-5262,,I,2.0,Boase,60938.0,Cathie,Denver,H2e 1x5,United States of America,35.0,334.0,M,Boa2526,5.0,15379 selma road,O,Walt Disney,1450566.0,S,WV
2.0,1-576-657-6299,apt. 856,,3.0,HOMAYOON,105989.0,Ashleigh,Fremont,H2c 1w2,United States of America,25.0,433.0,f,HOM2527,1.0,6768 fondren lower,O,Texas Instruments,1131254.0,D,AZ
1.0,1-182-013-6546,,,5.0,mathews,50817.0,Rayna,Ontario,53703,Canada,11.0,565.0,j,mat2528,2.0,10856 summer street,R,,833483.0,M,SC
0.0,1-931-978-3134,,,5.0,malcolm,443988.0,Orenzo,Warren,44103,United States of America,60.0,313.0,f,mal2529,1.0,2047 brown west,O,Cabela's,1423551.0,W,NE
0.0,1-584-467-8593,,,4.0,Oplinger,354075.0,Koo,Grand Rapids,90043,United States of America,35.0,329.0,M,Opl2530,2.0,19202 ansley park,O,Alliant Techsystems,,M,MN
1.0,1-227-975-4896,,,4.0,Timleck,2962.0,TYBI,Simi Valley,t5c 1u4,United States of America,85.0,591.0,,Tim2531,4.0,4068 beauregard drive,O,Thrivent Financial,1731195.0,,TN
5.0,1-836-098-8732,,,9.0,WINICKI,36947.0,Ronen,Palmdale,53790,United States of America,68.0,780.0,F,WIN2532,3.0,11100 morningside west,O,UAL,2454316.0,M,NJ
0.0,1-009-041-1072,,,9.0,EALES,389051.0,valli,Columbia,99635,United States of America,89.0,674.0,,EAL2533,5.0,15686 oliver street,R,Spectra Energy,3161570.0,M,CO
5.0,1-568-020-0145,,I,5.0,Pitre,,Cody,Rochester,19217,Canada,41.0,434.0,,Pit2534,4.0,23851 gold rue,O,Crane,3476350.0,S,New Brunswick
1.0,1-091-211-2049,,,6.0,ODAC,148019.0,derick,Hialeah,72207,United States of America,7.0,502.0,,ODA2535,1.0,3788 holmes rue,,CenterPoint Energy,227110.0,U,ND
1.0,,,,7.0,Groves,187890.0,Dieuwertje,Eugene,V6c 1u2,United States of America,85.0,310.0,,Gro2536,1.0,210 charthouse south,O,Tesoro,2073555.0,M,RI
3.0,1-518-862-2188,,X,9.0,douet,170094.0,linn,Whitehorse,60735,Canada,30.0,599.0,F,dou2537,3.0,1722 mosshead drive,O,Lockheed Martin,1084778.0,M,MO
,1-999-314-8129,,,,Coriaty,339324.0,Adah,Mount Pearl,80171,United States of America,71.0,776.0,m,Cor2538,0.0,14329 rio grande lower,O,Beacon Roofing Supply,2679183.0,S,Nova Scotia
5.0,1-310-498-9354,,,6.0,Donleycott,6027.0,Arielle,Arlington,t6b 1h4,United States of America,76.0,664.0,,Don2539,5.0,5965 DAWNVIEW ROAD,U,Lam Research,3196486.0,M,NV
2.0,1-570-994-1597,,E,8.0,Bruno,315949.0,Niek,Santa Clara,M5e 1v6,United States of America,6.0,484.0,m,Bru2540,4.0,6580 BINGHAM AVENUE,O,Oil States International,,U,AR
1.0,1-932-266-7390,,,9.0,Spisak,339950.0,La verne,Stockton,46212,United States of America,,,f,Spi2541,5.0,7596 marchmont avenue,O,Owens-Illinois,3367952.0,S,CA
5.0,1-755-483-3353,,H,4.0,Choo-kang,214595.0,Huib,Jackson,85231,United States of America,81.0,647.0,,Cho2542,2.0,23592 ardmore rue,O,Principal Financial,3988768.0,W,AK
4.0,1-874-425-7728,,,6.0,Fouke,85902.0,Naveen,Fayetteville,98406,United States of America,17.0,657.0,,Fou2543,4.0,18688 BEATTY BOULEVARD,O,United Services Automobile,619627.0,M,WI
0.0,1-379-820-6771,,,4.0,Marttinen,479979.0,Angeliek,Mesquite,h2e 1u4,Canada,29.0,720.0,,Mar2544,4.0,17886 st. phillip upper,O,Pilgrim's Pride,294902.0,U,NV
5.0,1-201-080-7163,,A,9.0,Tognoni,296791.0,Las,Los Angeles,70150,United States of America,20.0,809.0,,Tog2545,5.0,8116 martin upper,O,Prudential Financial,1351126.0,D,WA
5.0,1-658-916-8210,,,1.0,Abi-aad,421265.0,Zdenka,Tampa,T6d 1g6,Canada,66.0,850.0,,Abi2546,5.0,17026 durand north,O,BJ Services,2913033.0,M,Ontario
2.0,1-011-068-6547,,,1.0,piggott,404755.0,Faith,Baton Rouge,M5e 1y8,United States of America,48.0,375.0,M,pig2547,5.0,17073 rust north,,HSN,,S,DE
4.0,1-894-616-6963,,U,4.0,Piyasena,363331.0,Lubomyr,Erie,h7f 1t9,United States of America,48.0,564.0,M,Piy2548,4.0,10938 main lane,O,VWR Funding,1593121.0,M,NV
5.0,1-544-823-3292,,,7.0,Peleato,65695.0,SARI,Mobile,V6k 1p6,United States of America,10.0,582.0,,Pel2549,5.0,19876 conier upper,U,ArvinMeritor,1046997.0,M,AL
4.0,1-153-147-3013,,,8.0,Hadley,176926.0,RANICE,Pueblo,10010,United States of America,64.0,376.0,F,Had2550,3.0,14243 river place road,O,Flowserve,1090026.0,,CA
0.0,1-689-030-7538,,,5.0,DAWSON,138136.0,Walter,Erie,92411,United States of America,93.0,843.0,,DAW2551,4.0,19518 sheriden upper,O,American Eagle Outfitters,951099.0,M,NH
5.0,1-232-732-2018,Apt. 471,M,3.0,FAIRLIE,,prashant,Glendale,E7n 1q2,Canada,20.0,809.0,,FAI2552,0.0,4833 baltic boulevard,O,,1503741.0,M,Manitoba
4.0,1-669-094-2294,,,9.0,trisic,434217.0,Xylina,Cheyenne,78749,United States of America,5.0,699.0,,tri2553,0.0,16181 foster park,U,United Technologies,3335946.0,M,IA
3.0,1-398-736-3545,,,0.0,RAMSAYER,65910.0,Mot,Modesto,93832,United States of America,88.0,355.0,,RAM2554,5.0,7042 ottley park,O,Family Dollar Stores,204564.0,M,ME
2.0,1-368-143-9819,,,2.0,paterson,124057.0,Megan,Vallejo,90232,United States of America,22.0,315.0,,pat2555,2.0,1104 century road,U,AmeriCredit,3363186.0,,LA
1.0,1-599-582-7213,,Y,5.0,QUILTY,323372.0,Radoslav,Santa Fe,V6d 1v2,United States of America,54.0,,F,QUI2556,1.0,24400 SYCAMORE SCHOOL BOULEVARD,O,Enterprise GP Holdings,80004.0,U,British Columbia
4.0,1-972-516-3025,,,1.0,Kohnhorst,140747.0,tidwell,Whitehorse,94590,United States of America,22.0,,,Koh2557,5.0,9815 withers lane,O,Applied Materials,727999.0,M,OH
1.0,1-504-733-4725,,,9.0,Puent,,Torre,Dayton,94518,United States of America,79.0,574.0,,Pue2558,2.0,15520 ledgestone upper,R,,208029.0,M,ME
5.0,1-894-028-5050,,C,5.0,DROLET,26190.0,Julee,Chula Vista,72265,Canada,88.0,737.0,F,DRO2559,0.0,2164 palm road,O,Laclede Group,2750505.0,W,MO
1.0,1-156-684-5311,,,0.0,Akkermans,211812.0,Roland,Macon,T6d 1e7,United States of America,14.0,823.0,,Akk2560,2.0,13741 durand street,O,,2105378.0,S,KS
1.0,1-198-959-7417,,Y,4.0,Cuddihy,491034.0,Jey,St. Petersburg,92858,United States of America,94.0,571.0,M,Cud2561,0.0,23181 CANTEY COURT,O,Aleris International,574595.0,M,AZ
2.0,,,,7.0,Wolfman,58204.0,Cang,Fort Wayne,10263,United States of America,59.0,466.0,,Wol2562,4.0,2989 madison north,U,Erie Insurance Group,1660243.0,U,Ontario
3.0,1-556-990-2387,Apt. 440,M,9.0,Serbin,92676.0,WILEEN,Overland Park,75025,Canada,19.0,738.0,,Ser2563,5.0,24795 CLOVER COURT,O,Expeditors International,1499364.0,U,WV
3.0,1-638-131-6560,,,5.0,Degan,135240.0,deanne,Hay River,94354,Canada,66.0,460.0,M,Deg2564,5.0,24368 rutgers way,O,KBR,3704446.0,U,Quebec
2.0,1-230-831-6803,,,8.0,Frey,292583.0,MARIT,Nashville,19133,United States of America,36.0,781.0,,Fre2565,5.0,17976 jack avenue,O,Marathon Oil,2337575.0,U,UT
1.0,1-573-380-8833,,,9.0,Kirkby,285149.0,Carleen,Hollywood,E7N 1P4,United States of America,4.0,408.0,,Kir2566,4.0,4144 LAKE PARK LANE,O,RBS Global,107221.0,W,ND
5.0,1-045-117-0485,,,0.0,LATORRE,,Catlaina,Salt Lake City,S3a 1g9,United States of America,22.0,586.0,,LAT2567,0.0,5656 upton west,R,Eli Lilly,3827727.0,U,CO
1.0,1-531-778-7023,,,9.0,cobaugh,161828.0,DEHLIA,Fort Worth,39207,United States of America,69.0,607.0,F,cob2568,2.0,6488 AVALON NORTH,R,VF,1540650.0,M,IL
5.0,1-528-349-0745,Suite 344,,0.0,plouffe,308038.0,Mechelle,Toledo,v6x 1s8,United States of America,95.0,322.0,F,plo2569,1.0,9109 western way,O,Rowan Cos.,2635531.0,S,NM
0.0,1-981-281-2577,,,3.0,STARSDPS,276572.0,costas-dinos,Buffalo,31410,United States of America,11.0,,,STA2570,0.0,8680 BAGBY COURT,R,Thrivent Financial,3642330.0,M,GA
1.0,1-123-622-1334,,,10.0,paliwal,379621.0,Emmaline,Inglewood,20083,United States of America,6.0,790.0,,pal2571,5.0,6517 FRAILING WEST,O,Family Dollar Stores,608896.0,M,Saskatchewan
4.0,1-537-247-9061,,,9.0,Wooster,69893.0,Yueli,San Jose,45441,United States of America,61.0,500.0,F,Woo2572,4.0,19334 STRATMORE LANE,R,Andersons,1437234.0,M,ND
2.0,1-361-697-4822,Apt. 117,P,0.0,De wiele,419209.0,ninette,Burlington,36652,United States of America,96.0,445.0,F,De 2573,,18175 walnut east,O,Rent A Center,1337965.0,S,AZ
0.0,1-715-431-9118,,P,8.0,Eppenstiner,344598.0,Alicia,Virginia Beach,V6B 1S8,United States of America,59.0,408.0,,Epp2574,5.0,11167 WOLFE WAY,O,,1092846.0,U,PA
0.0,1-455-878-7794,,,10.0,LICANDRO,37819.0,MICHAELLA,Burlington,T5a 1t1,United States of America,73.0,805.0,M,LIC2575,1.0,24743 hope drive,O,Henry Schein,1377455.0,M,DC
4.0,1-084-216-6649,,,9.0,hesk,97688.0,WINONAH,Bismarck,55420,United States of America,9.0,526.0,F,hes2576,0.0,10905 apollo west,O,Hospira,1501897.0,M,NJ
2.0,1-180-532-4222,,,4.0,phagan,234104.0,Quynh,Victoria,47738,United States of America,78.0,766.0,,pha2577,0.0,24740 kingsbridge south,,Regions Financial,1920413.0,M,OR
,1-429-827-9186,,Z,6.0,Fitzgerald,176880.0,Hilde,Modesto,10203,Canada,39.0,436.0,,Fit2578,4.0,17481 spectrum avenue,R,Nalco Holding,3378585.0,W,DC
0.0,1-444-410-6897,,F,9.0,PRANG,429694.0,chlo,Baltimore,h2e 1y4,United States of America,35.0,491.0,F,PRA2579,1.0,9552 roosevelt court,U,Ryder System,699399.0,M,Ontario
5.0,1-341-640-2742,,B,0.0,JAMNEJAD,,ALIKEE,Huntsville,90876,United States of America,16.0,604.0,f,JAM2580,2.0,20623 hickory street,O,Cabela's,211289.0,U,MS
5.0,1-834-082-5868,,G,5.0,cellucci,293547.0,SHEILA,Chandler,T6b 1e2,Canada,57.0,,m,cel2581,2.0,6802 ames street,U,American National Insurance,1572695.0,M,MN
5.0,1-706-688-6304,,,,STEPP,8477.0,VMCHANGE,Chattanooga,94278,United States of America,13.0,,,STE2582,1.0,2088 red willow way,O,Oceaneering International,1840869.0,S,WY
2.0,1-050-251-6261,,J,,Ottowa,407643.0,Carrissa,Missoula,H2f 1x3,United States of America,94.0,816.0,,Ott2583,1.0,15898 APPLEWOOD ROAD,O,Textron,3500574.0,M,WA
2.0,1-967-723-9887,,,1.0,HOWSE,,Emmalynn,Nashville,93363,United States of America,61.0,393.0,,HOW2584,0.0,14563 KINLAND CRESCENT,O,Con-way,964379.0,M,OH
4.0,1-750-008-4383,,,1.0,Brodfuehrer,274472.0,cassey,San Francisco,60795,United States of America,4.0,728.0,,Bro2585,1.0,6456 ashford hollow south,O,Google,1302029.0,S,NM
4.0,1-646-984-0077,,,0.0,Burleigh,457884.0,Dynah,Montgomery,V6N 1R5,United States of America,10.0,561.0,,Bur2586,5.0,20441 PINTO PARK,O,Complete Production Services,,U,NH
5.0,1-357-835-2616,,P,7.0,Thacker,453721.0,RONICA,Pembroke Pines,H7g 1t3,Canada,26.0,560.0,,Tha2587,3.0,19443 payne boulevard,O,Dole Food,866510.0,U,AZ
4.0,1-343-475-7067,apt. 979,,0.0,MCCLENDON,275778.0,Charlotte,Savannah,V6y 1w5,United States of America,57.0,499.0,,MCC2588,1.0,17962 COLUMBUS EAST,R,Capital One Financial,1215692.0,M,HI
1.0,,,,0.0,daneshzadeh,448783.0,Alisha,Missoula,75052,United States of America,74.0,785.0,,dan2589,5.0,19492 LYONS COURT,O,NuStar Energy,113766.0,U,TX
4.0,1-449-462-3346,,O,1.0,Mathieu,491940.0,KAIA,Anaheim,23513,Canada,84.0,402.0,m,Mat2590,5.0,19282 holly upper,R,Robert Half International,2177765.0,,LA
