Employer,Age,NumberChildren,NumberCars,MaritalStatus,NetWorth,State,AddressLine1,Gender,FirstName,LastName,PostalCode,AgencyID,Income,MiddleInitial,Country,AddressLine2,OwnOrRentFlag,CreditRating,NumberCreditCards,City,Phone
AFLAC,72.0,2.0,5.0,M,1558633.0,OR,7160 cannas avenue,,Thea,zaretsky,V6k 1t2,zar2616,311129.0,T,United States of America,,R,626.0,5.0,Overland Park,1-541-436-9056
NV Energy,5.0,0.0,,U,3641585.0,LA,2579 creekbend way,,Halina,suer,77221,sue2617,476684.0,,United States of America,,R,734.0,4.0,Garland,
Molina Healthcare,19.0,4.0,1.0,S,154612.0,AK,23607 idlewild way,,Minne,MOSEBY,85089,MOS2618,480975.0,,United States of America,,R,426.0,2.0,Riverside,1-804-841-0957
JetBlue Airways,100.0,2.0,1.0,U,1261571.0,AK,4139 PACE LOWER,,MAIDISN,ACTON,m5d 1w3,ACT2619,266476.0,,United States of America,APT. 485,U,789.0,10.0,Thousand Oaks,1-342-301-7355
Molina Healthcare,53.0,2.0,5.0,S,1963347.0,WA,2453 BAKER WAY,F,LAUREL,tanchak,94525,tan2620,176933.0,,United States of America,,U,362.0,2.0,Casper,1-820-172-9279
Kla-Tencor,38.0,,5.0,M,,MD,21292 HILDEBRAND WEST,,quyen,Fleishman,M2R 1E1,Fle2621,283885.0,,United States of America,,O,599.0,1.0,Chicago,1-520-596-3006
Cimarex Energy,56.0,2.0,3.0,S,3119965.0,PA,12683 la cienega street,R,Angil,Mullarney,80156,Mul2622,493578.0,,United States of America,,O,402.0,5.0,Overland Park,1-193-725-0779
Group 1 Automotive,32.0,3.0,1.0,W,1608044.0,OH,18439 broken oak lane,M,PDE,WASSERMAN,V6t 1w1,WAS2623,481399.0,,United States of America,,R,444.0,6.0,Hialeah,1-225-321-9980
Emerson Electric,19.0,2.0,3.0,U,,IN,13134 ansley upper,,Jorry,Henshaw,H2g 1x4,Hen2624,,U,United States of America,,O,684.0,2.0,Oxnard,1-587-520-0490
Priceline.com,23.0,0.0,,M,3809485.0,British Columbia,2928 potomac upper,m,Jacinta,figura,85028,fig2625,408392.0,,Canada,,O,675.0,8.0,Las Cruces,1-134-449-3792
Virgin Media,86.0,3.0,4.0,M,684008.0,VA,6490 marchmont south,F,ELVERT,Hugel,T5b 1t2,Hug2626,65706.0,,United States of America,APT. 350,O,526.0,3.0,Lakewood,1-566-390-5105
,29.0,2.0,2.0,D,3376755.0,Saskatchewan,11741 hilltop court,,Makam,Parypa,95166,Par2627,328810.0,,Canada,,O,,1.0,Halifax,1-157-644-4824
FMC,19.0,4.0,4.0,M,1361206.0,NJ,12727 HAYDEN CRESCENT,,okan,Qadri,96809,Qad2628,161757.0,,United States of America,,,665.0,0.0,Cedar Rapids,1-761-337-4891
Lennox International,40.0,2.0,5.0,M,2794619.0,Saskatchewan,3135 FARMERS LANE,,Korrie,Rowlandson,V6o 1t6,Row2629,,,Canada,,,423.0,2.0,Fargo,1-620-552-7401
Moog,7.0,4.0,1.0,M,1003024.0,ID,8272 cartwright avenue,m,viviana,Ghaemian,X5f 1v7,Gha2630,49213.0,,United States of America,,O,496.0,6.0,Phoenix,1-033-359-5975
J.C. Penney,37.0,2.0,1.0,S,,AL,3797 RUTGERS PARK,F,Luigi,martincich,m9d 1t8,mar2631,339480.0,,United States of America,,R,525.0,8.0,Fullerton,1-934-734-5713
Delta Air Lines,53.0,1.0,2.0,M,1133715.0,CA,20065 gates street,,Lizette,gregorski,H7h 1v8,gre2632,294357.0,C,United States of America,apt. 537,R,307.0,10.0,Albuquerque,1-767-339-2646
Target,19.0,3.0,3.0,M,,OR,11872 crystal hills park,,DENI,Stooke,T5C 1W8,Sto2633,161259.0,,Canada,,O,380.0,4.0,Chesapeake,1-936-160-7120
Ferrellgas Partners,8.0,2.0,5.0,U,1959117.0,MT,6420 CRESTMERE EAST,,rajinderpal,LAWLER,99519,LAW2634,317922.0,S,United States of America,,O,638.0,9.0,Winston-Salem,1-191-678-9838
LifePoint Hospitals,26.0,2.0,0.0,M,266532.0,RI,20929 lee east,f,Sys,O'neil,M5G 1W2,O'n2635,402436.0,,United States of America,,U,813.0,2.0,Quebec,1-826-078-8447
Alliant Energy,54.0,5.0,4.0,M,985695.0,UT,10286 FOXFIRE EAST,,GARTH,DE CRISTOFARO,32212,DE 2636,365401.0,O,United States of America,,O,541.0,,Great Falls,
Sanderson Farms,7.0,3.0,0.0,S,826199.0,MO,1429 CREEK CRESCENT,f,myron,WATFORD,23461,WAT2637,405445.0,O,United States of America,,O,415.0,5.0,Denver,1-031-983-7230
Pacer International,85.0,3.0,4.0,M,449040.0,ME,977 SPECTRUM UPPER,,alyse,Wachtstetter,T6d 1j2,Wac2638,364622.0,,United States of America,,O,712.0,6.0,Pueblo,1-386-422-7087
Packaging Corp. of America,74.0,2.0,2.0,M,2229730.0,MA,17687 denton lower,,Walt,Dupuy,93674,Dup2639,137296.0,,United States of America,,O,826.0,4.0,Newark,1-438-476-9954
Molson Coors Brewing,50.0,4.0,2.0,M,535069.0,RI,5608 country crescent,,Sherman,Caudill,M6T 1H7,Cau2640,483168.0,,United States of America,Apt. 650,O,347.0,1.0,Bridgeport,1-165-493-4841
Xilinx,85.0,4.0,0.0,S,1333759.0,AL,23282 danvers crescent,,milzie,Elgie,87125,Elg2641,454656.0,,United States of America,,O,495.0,5.0,Simi Valley,1-008-011-6631
Lennar,3.0,3.0,3.0,U,2318158.0,VA,2342 SUMMER CREST NORTH,f,Magdy,wilhelmson,e7o 1p9,wil2642,457698.0,,United States of America,,R,783.0,9.0,Huntington,1-030-794-1272
Pool,82.0,4.0,1.0,,2799948.0,VA,291 SHERIDEN STREET,,bab,bostock,10233,bos2643,103787.0,,Canada,,O,563.0,,Cincinnati,1-966-870-4549
Dollar Tree,42.0,0.0,5.0,S,1015601.0,New Brunswick,10572 kiel avenue,m,Nissie,FORSYTHE,85098,FOR2644,373508.0,,United States of America,,R,665.0,7.0,Tucson,1-152-174-1527
W.R. Grace,73.0,3.0,3.0,W,2445130.0,KS,15471 WILMINGTON WAY,,Nonna,orfano,30388,orf2645,71202.0,,United States of America,,O,688.0,6.0,Detroit,1-690-670-3455
Celanese,1.0,5.0,5.0,M,2082526.0,MI,7223 guadalupe lower,,PIERRE-MARC,Smecca,63170,Sme2646,437672.0,,United States of America,Apt. 650,O,702.0,2.0,Costa Mesa,1-126-064-9901
J.B. Hunt Transport Services,32.0,5.0,1.0,M,2292497.0,Prince Edward Island,9761 lyle east,f,Reinhold,Constantin,94340,Con2647,110494.0,,United States of America,,O,,3.0,Abilene,1-833-991-4768
Cytec Industries,,2.0,4.0,M,240463.0,HI,2167 MOCKINGBIRD DRIVE,,Glyn,GEADAH,04107,GEA2648,43243.0,T,United States of America,,R,403.0,8.0,Santa Clara,1-491-083-3527
Fastenal,31.0,0.0,5.0,U,2238747.0,NH,5049 MILLS AVENUE,M,Lonneke,Lebeau,64154,Leb2649,228183.0,K,United States of America,,O,533.0,9.0,Hollywood,1-377-473-8126
GameStop,93.0,5.0,1.0,S,1307389.0,WA,4937 chestnut avenue,f,Junia,dipasquale,83710,dip2650,468466.0,,United States of America,apt. 508,O,565.0,1.0,Oceanside,1-054-293-0153
Activision Blizzard,58.0,1.0,4.0,M,855570.0,Saskatchewan,21380 crosby rue,M,Betteann,mufti,T6a 1i6,muf2651,135062.0,,United States of America,,R,522.0,5.0,New Orleans,1-563-196-3258
McGraw-Hill,87.0,3.0,,S,1529968.0,AR,15287 bingham west,m,TREVER,hancock,19092,han2652,297308.0,,United States of America,,O,679.0,9.0,Laredo,1-041-827-9291
Hawaiian Electric Industries,5.0,1.0,4.0,,3170619.0,AR,23914 ROBERTS LANE,m,Lyndsie,MASSUMI,T5c 1n7,MAS2653,110117.0,,United States of America,Apt. 298,O,758.0,7.0,Fairbanks,1-192-758-9338
Nalco Holding,28.0,4.0,3.0,S,788680.0,AL,16177 MATLOCK DRIVE,f,Chen-chen,Mitsui,m3w 1k2,Mit2654,262668.0,,United States of America,,O,466.0,1.0,Evansville,1-646-937-2683
NBTY,71.0,1.0,,M,1651089.0,OR,17216 montview upper,F,MALAYSIA,AKHAVAN,90503,AKH2655,215091.0,,United States of America,,,589.0,1.0,Grand Rapids,1-085-551-0693
Crosstex Energy,86.0,3.0,1.0,D,2841964.0,NH,10252 main lower,F,atul,MAHBEER,68122,MAH2656,237592.0,,United States of America,,O,614.0,3.0,Hilo,1-878-778-5759
Biogen Idec,45.0,5.0,2.0,,2045984.0,WV,10479 WHITTINGTON RUE,,Brina,Whidden,80236,Whi2657,377432.0,B,Canada,,R,442.0,9.0,Baltimore,1-573-757-9286
Laclede Group,15.0,0.0,3.0,M,899667.0,RI,6360 savoy drive,,Elke,ANDRUZZI,47702,AND2658,482132.0,,United States of America,Apt. 965,O,506.0,3.0,Sydney,1-248-397-5800
SkyWest,35.0,1.0,3.0,S,3267917.0,NM,20900 marchmont west,f,ceil,Kusyk,H7g 1v8,Kus2659,127264.0,,Canada,apt. 784,O,790.0,6.0,San Diego,1-767-838-5926
Marsh & McLennan,99.0,3.0,5.0,W,2079370.0,FL,5755 bluff road,F,Ifti,Networkroom,85284,Net2660,467543.0,,United States of America,,O,394.0,5.0,Beaumont,1-339-231-7565
Embarq,73.0,3.0,0.0,,3989557.0,MO,1715 texas west,m,ROXANA,MAC MAID,X7j 1r4,MAC2661,294325.0,Q,United States of America,,O,809.0,8.0,Austin,1-515-519-6455
Piedmont Natural Gas,12.0,1.0,1.0,M,1639126.0,MA,16552 FRESCO SOUTH,,carlotta,Willette,77101,Wil2662,456076.0,N,United States of America,,O,365.0,5.0,El Paso,1-069-658-5070
Cardinal Health,96.0,3.0,3.0,S,601085.0,NJ,24683 meadowlark boulevard,,MIRIAM,Triplehorn,27604,Tri2663,95438.0,,United States of America,,O,388.0,3.0,Edmonton,1-008-569-7239
Genworth Financial,78.0,1.0,0.0,S,2465301.0,KY,20954 belt line rue,,anjela,Pullan,Y1b 1g4,Pul2664,375099.0,,United States of America,,O,,,Fort Lauderdale,1-844-879-4783
Activision Blizzard,49.0,1.0,3.0,,2856459.0,Manitoba,18458 yorkchester west,,Mahesh,ORDWAY,78712,ORD2665,330705.0,,United States of America,,O,713.0,0.0,Tacoma,1-937-645-7224
,55.0,4.0,1.0,U,110322.0,New Brunswick,21180 trafalgar way,,Jacinta,MCCORD,H7f 1t8,MCC2666,124418.0,,Canada,,O,,2.0,Colorado Springs,1-655-019-1423
Schnitzer Steel Industries,79.0,1.0,2.0,S,583568.0,CT,17057 eden lower,F,NUVIT,Mobley,35203,Mob2667,244689.0,,United States of America,,R,711.0,1.0,Moncton,1-735-199-1667
Ameren,,5.0,0.0,M,1561090.0,UT,19634 el monte boulevard,f,birgitte,Hutt,45252,Hut2668,458595.0,,United States of America,,O,429.0,5.0,Torrance,1-855-989-0901
Windstream,37.0,5.0,4.0,U,,OH,7667 bayridge road,,haley,Swr,m5e 1u2,Swr2669,478075.0,Y,United States of America,,O,318.0,3.0,Sunnyvale,1-309-403-7862
Psychiatric Solutions,89.0,,2.0,,1398784.0,CT,24713 sanders drive,,NGUYEN,TULLY,19249,TUL2670,210110.0,,United States of America,,O,529.0,9.0,Durham,1-201-502-8143
ServiceMaster,11.0,1.0,2.0,M,1345217.0,WA,9941 briar forest street,M,NATALY,Coxall,85014,Cox2671,198746.0,V,United States of America,Apt. 513,O,739.0,8.0,Lexington,1-799-779-6383
Timken,54.0,5.0,1.0,M,602438.0,HI,21088 murie street,f,Gina,rutyna,94109,rut2672,178148.0,A,Canada,,O,536.0,1.0,Ontario,1-304-579-2481
Steelcase,71.0,0.0,1.0,M,2801777.0,MA,1063 dunbar lower,,Betteann,kuhn,27405,kuh2673,310156.0,,Canada,,R,397.0,8.0,Concord,1-788-984-4408
Granite Construction,89.0,3.0,3.0,M,1361159.0,PA,1424 east road,,Bogdan,Gidaro,36132,Gid2674,247681.0,,United States of America,,O,619.0,8.0,Newark,1-075-490-7153
Pride International,92.0,1.0,2.0,M,3231165.0,LA,20420 lynnfield lane,M,LRC,mccorkle,93362,mcc2675,177779.0,B,United States of America,,U,772.0,8.0,Chesapeake,1-836-751-8488
Spherion,31.0,2.0,2.0,W,866271.0,VT,12957 warren crescent,m,REINE,Traugott,v6q 1q8,Tra2676,209850.0,,United States of America,apt. 955,O,690.0,2.0,Regina,1-167-265-0158
Timken,50.0,4.0,3.0,U,2141663.0,British Columbia,23987 valderra park,m,Brittani,Alikhan,V6q 1t4,Ali2677,298798.0,K,United States of America,,O,840.0,0.0,Calgary,1-106-679-6796
Applied Industrial Tech,,0.0,,S,870111.0,MN,11183 COUNTRY SOUTH,,chiarra,Armolavicius,20046,Arm2678,93065.0,,United States of America,Apt. 476,O,598.0,8.0,Waco,1-830-920-0254
Agilent Technologies,48.0,5.0,2.0,M,1917609.0,British Columbia,7366 fox boulevard,M,Udaya,Blakey,M5g 1x1,Bla2679,288453.0,,United States of America,Apt. 513,O,547.0,1.0,Irving,1-267-240-1336
Starwood Hotels & Resorts,66.0,5.0,4.0,M,,NJ,24280 piney point rue,m,anthia,sutton,M5F 1X8,sut2680,45072.0,,United States of America,,O,,4.0,Buffalo,1-645-656-7265
Loews,56.0,4.0,2.0,S,346479.0,TX,17042 lancaster east,m,Chungsik,Petrinack,47736,Pet2681,225717.0,,United States of America,APT. 508,O,838.0,7.0,Santa Rosa,1-518-561-5857
Steel Dynamics,87.0,1.0,1.0,M,647760.0,VT,22319 amherst street,,SETSUKO,sobkow,76710,sob2682,222839.0,,Canada,Suite 113,,449.0,8.0,Chicago,1-070-047-4064
Wesco International,82.0,3.0,2.0,S,3739619.0,Newfoundland,21181 2nd rue,,MARQUITA,Simard-normandin,77232,Sim2683,309291.0,,United States of America,,U,500.0,4.0,Frederick,1-803-791-8008
DuPont,,0.0,5.0,M,674217.0,AK,11828 butler park,,franz,lara,93329,lar2684,248351.0,,Canada,,O,494.0,5.0,Concord,1-572-391-8205
Edison International,81.0,5.0,,S,,Saskatchewan,24438 cedar springs avenue,m,aurlie,Battershill,77223,Bat2685,163421.0,,United States of America,,O,,8.0,Phoenix,1-508-321-5863
Cracker Barrel Old Country,44.0,0.0,5.0,W,,AZ,13892 jennings road,,lacey,Herak,98113,Her2686,393289.0,,United States of America,,R,569.0,4.0,Detroit,1-313-064-1613
Guess,25.0,1.0,3.0,U,3181769.0,Ontario,16648 ALEXIS AVENUE,f,Rhoda,Veilleux,H2c 1w1,Vei2687,363868.0,,United States of America,SUITE 48,O,414.0,9.0,Simi Valley,1-287-082-2410
Sally Beauty Holdings,70.0,2.0,3.0,M,,MS,2240 appleby road,,Iris,Prichard,23287,Pri2688,369608.0,,United States of America,,U,814.0,5.0,Cincinnati,1-252-529-0102
Virgin Media,87.0,3.0,5.0,U,1184778.0,NH,3202 powers lower,F,Natasha,Pcbtools,E7n 1h8,Pcb2689,131105.0,U,United States of America,,U,416.0,4.0,Huntington Beach,
Zale,22.0,2.0,0.0,U,2501478.0,Prince Edward Island,11516 tanner street,f,Nikolia,Taki,40516,Tak2690,64311.0,,Canada,,O,782.0,4.0,Springfield,1-751-961-1617
Pinnacle West Capital,96.0,0.0,,U,2902400.0,VA,17411 vandenburg north,,ADEL,saundercook,77112,sau2691,495659.0,,United States of America,,R,735.0,9.0,Regina,1-088-530-9154
Lincoln Electric Holdings,,2.0,5.0,M,2493211.0,Saskatchewan,4373 NEVILLE NORTH,,Marcos,turkovic,V6q 1t8,tur2692,276647.0,D,United States of America,,,555.0,4.0,Jackson,1-442-096-8433
NBTY,78.0,1.0,5.0,M,965733.0,OR,16064 TOWERWOOD CRESCENT,,suellen,Au-yeung,h2b 1u1,Au-2693,202431.0,Q,Canada,,R,,,Spokane,1-258-389-6827
Philip Morris International,24.0,,5.0,M,1403848.0,SD,12460 CLAYTON STREET,,etienne,Verification,27614,Ver2694,256659.0,S,United States of America,,O,657.0,8.0,Provo,1-953-932-0318
OfficeMax,95.0,2.0,0.0,U,2104839.0,UT,3234 pasadena boulevard,,Richardson,REISER,85770,REI2695,219099.0,X,Canada,,R,722.0,7.0,Lowell,1-702-756-2516
Charming Shoppes,84.0,0.0,5.0,D,2042347.0,UT,3146 HOWSER LANE,,Marko,Osborne,85225,Osb2696,124595.0,R,Canada,,O,611.0,7.0,Orange,1-585-583-0294
First Data,2.0,1.0,,S,,LA,14853 COMMERCE PARK,m,ariel,Brashear,46215,Bra2697,271755.0,C,United States of America,,R,645.0,4.0,Newport News,1-079-912-0788
Spectra Energy,17.0,5.0,3.0,D,1039251.0,DC,21448 HAMPTON BOULEVARD,,lex,CICCARELLI,78416,CIC2698,78637.0,L,United States of America,,O,373.0,8.0,Shreveport,1-163-941-8955
Bank of New York Mellon Corp.,51.0,3.0,1.0,M,154620.0,NH,3833 princeton crescent,,STARSDPS,kausche,99575,kau2699,380592.0,,United States of America,,O,718.0,1.0,Moncton,1-479-857-1392
IAC/InterActiveCorp,13.0,1.0,,W,156457.0,Newfoundland,21370 king rue,F,DINO,LOYOLA,93340,LOY2700,245969.0,Q,United States of America,,U,680.0,2.0,Great Falls,1-377-554-5670
Dick's Sporting Goods,16.0,5.0,3.0,U,2377134.0,VT,2086 weller road,,Ivan,newnam,37231,new2701,435461.0,,United States of America,,O,739.0,0.0,Hull,1-152-372-9888
Harley-Davidson,8.0,2.0,5.0,D,732018.0,AL,18955 spruce street,,angelle,marchetti,v5b 1p2,mar2702,323412.0,,Canada,,,777.0,8.0,Gary,1-677-325-7582
Raytheon,29.0,5.0,1.0,W,3354690.0,Manitoba,23012 wathan court,,Lorelei,braverman,V6c 1q1,bra2703,386727.0,,United States of America,,O,679.0,2.0,Des Moines,1-426-645-9381
NYSE Euronext,38.0,5.0,0.0,M,2761479.0,SD,24653 leon west,v,Kass,MEFFE,64157,MEF2704,274587.0,,Canada,,R,633.0,0.0,Inglewood,1-093-167-3015
Ruddick,47.0,3.0,2.0,D,1911700.0,NJ,4708 EDWARDS WAY,,milka,Lienemann,90877,Lie2705,358418.0,A,United States of America,,R,482.0,9.0,Louisville,1-935-788-0668
NCR,16.0,1.0,4.0,M,3251087.0,KS,21422 INGERSOLL EAST,f,yukinaga,Tiu,94343,Tiu2706,466250.0,,United States of America,,O,460.0,6.0,Biloxi,1-944-701-6840
,84.0,2.0,1.0,U,35775.0,Saskatchewan,11678 NEWPORT NEWS LOWER,,Bobbe,mahoney,38113,mah2707,,L,United States of America,,O,747.0,3.0,Manchester,1-075-887-2122
Activision Blizzard,7.0,2.0,1.0,S,1867993.0,MA,15645 sabine rue,,LAURETTE,Robb,90508,Rob2708,138085.0,A,United States of America,,R,476.0,3.0,El Monte,1-974-657-4277
American National Insurance,93.0,3.0,1.0,M,654796.0,MN,10906 runyan east,M,Koressa,Desharnais,V6c 1q7,Des2709,257816.0,,United States of America,,O,663.0,,Fontana,1-366-521-5512
Quiksilver,29.0,5.0,0.0,M,1256017.0,WI,24683 MEADOWLARK BOULEVARD,F,Prudence,Cooke,V6t 1t7,Coo2710,93116.0,,United States of America,,R,384.0,5.0,Irvine,1-557-981-2400
NII Holdings,60.0,5.0,4.0,M,1078838.0,KY,19342 wycliffe park,M,AACCF,halicki,60769,hal2711,208050.0,P,United States of America,,O,426.0,0.0,Miami,1-516-047-4782
Costco Wholesale,19.0,0.0,3.0,M,3860556.0,AK,24468 brooks lane,,meriline,Bolton,99760,Bol2712,385632.0,K,United States of America,,R,576.0,4.0,Pomona,1-708-351-7149
Toro,80.0,2.0,0.0,U,2259832.0,TN,20798 baltic north,,Celie,fatica,V6f 1s4,fat2713,499635.0,,United States of America,,U,610.0,5.0,Toronto,1-365-026-3585
Raymond James Financial,58.0,1.0,2.0,M,1322088.0,NY,10863 wisteria south,F,HAMID,BROUILLETTE,90051,BRO2714,130775.0,,United States of America,,O,346.0,2.0,Fort Wayne,1-736-669-1694
Cognizant Technology Solutions,1.0,4.0,2.0,W,317101.0,CA,2579 CREEKBEND WAY,M,SOUPHALACK,REETZ,e7o 1q2,REE2715,29313.0,E,United States of America,,O,581.0,2.0,Yellow Knife,1-037-733-0728
Aon,62.0,1.0,4.0,D,1701693.0,ND,5935 MCAFEE PARK,,bachittar,Moschopoulos,60649,Mos2716,61536.0,,United States of America,,O,335.0,5.0,St. Petersburg,1-355-638-5202
Bon-Ton Stores,30.0,5.0,0.0,M,534690.0,ID,15465 cliffbrook west,m,jaclyn,canada,92135,can2717,232556.0,,United States of America,,R,361.0,2.0,Waco,1-829-849-8415
RadioShack,30.0,5.0,4.0,M,3187351.0,HI,8447 hoke upper,,OPER,Kordik,31208,Kor2718,65894.0,,Canada,,O,490.0,9.0,Virginia Beach,1-029-612-0075
HealthSouth,95.0,5.0,2.0,M,1406816.0,LA,13429 spring crescent,,GINEVRA,Tschaja,55430,Tsc2719,331919.0,G,United States of America,,O,582.0,9.0,Brownsville,1-009-000-6688
Pepsi Bottling,32.0,3.0,3.0,M,1303951.0,FL,19554 olmos upper,f,Lorita,macmillan-brown,v6u 1t2,mac2720,185828.0,B,United States of America,,O,552.0,2.0,West Covina,1-714-464-1102
Perini,8.0,1.0,1.0,W,3933534.0,New Brunswick,7477 cone way,,brandea,Gascho,19113,Gas2721,42992.0,,Canada,,O,549.0,3.0,Orange,1-147-962-0382
CB Richard Ellis Group,62.0,3.0,4.0,U,571633.0,OK,24558 pampas north,,BLINNIE,Siu-kwok,h2g 1u6,Siu2722,6555.0,M,United States of America,,R,779.0,5.0,Provo,1-268-499-0563
MDU Resources Group,30.0,5.0,2.0,U,1316638.0,Saskatchewan,10474 hickorybark court,,Jazmin,reckhard,V6R 1R3,rec2723,,,United States of America,,R,639.0,0.0,Corpus Christi,
Peabody Energy,79.0,1.0,2.0,W,3905111.0,GA,6156 holmes court,f,Goldwyn,Hewitt,70166,Hew2724,352112.0,,United States of America,,U,540.0,10.0,Eugene,1-242-537-7924
Western Refining,83.0,2.0,,M,2930990.0,New Brunswick,14546 LA PEER DRIVE,M,Felecia,PANESAR,H7f 1v2,PAN2725,313996.0,,United States of America,,O,735.0,7.0,Pembroke Pines,1-231-088-7172
Precision Castparts,68.0,4.0,3.0,U,1880672.0,AK,4078 lexington north,F,ANNA-MARIA,DENNEY,80106,DEN2726,401286.0,,United States of America,apt. 288,O,763.0,10.0,Nashua,1-458-609-9778
Cigna,34.0,2.0,5.0,U,385773.0,MA,4655 bay upper,,Lil,creecy,31211,cre2727,233170.0,,Canada,,O,447.0,3.0,Charlotte,1-622-867-9342
Bed Bath & Beyond,,2.0,2.0,W,1411936.0,Newfoundland,15201 beale east,,EMYLEE,Doughty,h2d 1u1,Dou2728,413483.0,,Canada,,O,314.0,1.0,Hamilton,1-666-364-2284
Baker Hughes,59.0,1.0,1.0,W,568081.0,Manitoba,8532 cooper lane,F,Carry,mccafferty,43652,mcc2729,190901.0,Z,United States of America,,R,748.0,10.0,Lubbock,1-197-697-9083
Reynolds American,60.0,5.0,4.0,W,,WV,21088 murie street,f,Glenna,KOLK,80232,KOL2730,85322.0,,Canada,,R,790.0,2.0,Memphis,1-016-028-6895
BMC Software,66.0,1.0,2.0,M,2925938.0,AZ,22607 ATLANTIC RUE,,MARIEKE,SLUNDER,21206,SLU2731,253092.0,,Canada,,R,803.0,8.0,Milwaukee,1-323-687-9990
Chesapeake Energy,6.0,0.0,2.0,S,1602264.0,VT,17825 fleet south,,Tanhya,Gonsalves,H2C 1X4,Gon2732,6911.0,,United States of America,,R,787.0,10.0,Houston,1-626-981-0542
Liberty Mutual Insurance Group,47.0,3.0,4.0,M,3879591.0,WI,23680 alpha park,,deva,GIOFFRE,H2B 1Z3,GIO2733,204760.0,E,United States of America,,O,433.0,10.0,Mesquite,1-896-841-7105
Sentry Insurance Group,31.0,2.0,0.0,S,3111535.0,AZ,16956 bellwood rue,,Lola,Armolavicius,A2B 1V6,Arm2734,269938.0,,United States of America,,R,694.0,4.0,Hay River,1-947-961-7229
C.R. Bard,57.0,5.0,,U,,IN,11635 sun tree west,F,minh-phuc,Abbatantuono,t5a 1q1,Abb2735,174038.0,G,United States of America,,O,844.0,7.0,Concord,1-679-463-9913
,56.0,5.0,2.0,M,3169847.0,MI,18270 hickorybark drive,,Rayna,cotugno,C2B 4X3,cot2736,391545.0,Z,Canada,,O,458.0,5.0,Plano,1-025-818-5831
Newell Rubbermaid,1.0,0.0,2.0,M,3739836.0,MA,22232 SOUTH DRIVE,,josee,BLUMENFELD,77034,BLU2737,98279.0,,United States of America,,R,520.0,2.0,Mesa,1-226-650-8062
BorgWarner,35.0,2.0,4.0,M,2106048.0,VT,11596 pampas rue,M,beatriz,WA,53220,WA2738,26241.0,,United States of America,,O,359.0,6.0,North Las Vegas,1-393-763-8729
GameStop,68.0,4.0,0.0,W,3007656.0,IN,24695 hampton boulevard,,dorene,Glinka,b8a 1z5,Gli2739,146659.0,,Canada,,,798.0,6.0,Irving,1-408-620-4401
Ford Motor,43.0,2.0,1.0,S,1446479.0,Prince Edward Island,17825 fleet south,m,Yvet,Dunfield,b1c 1w1,Dun2740,227491.0,,United States of America,,O,500.0,5.0,Torrance,1-842-112-3056
Kellogg,,0.0,5.0,M,566596.0,TN,2792 pike court,F,Clayton,Lacosse,M9f 1u5,Lac2741,445786.0,,United States of America,,O,364.0,6.0,Kansas City,1-784-998-7541
,5.0,3.0,1.0,M,,GA,23223 woodlawn upper,F,kiennghiep,Macpherson,68515,Mac2742,239375.0,,United States of America,,R,699.0,10.0,Los Angeles,1-862-600-1265
HSN,,1.0,5.0,S,1580287.0,DC,16719 ridgelea south,m,Hady,sosa,79118,sos2743,1433.0,T,Canada,,O,702.0,10.0,Columbia,1-990-122-8973
Terra Industries,11.0,2.0,2.0,S,2384593.0,OK,1270 hughes lane,,Wendeline,cronin,V6g 1s5,cro2744,316228.0,,Canada,,O,705.0,9.0,Miami,1-431-563-7740
Radian Group,44.0,0.0,3.0,,2331174.0,IA,7575 bernard court,,Halley,van gaal,M6u 1h2,van2745,100354.0,U,United States of America,,R,359.0,5.0,Great Falls,1-438-091-2762
Source Interlink Cos.,40.0,0.0,4.0,M,3226443.0,WY,9598 ullrich avenue,M,Harlie,Moen,T6D 1D1,Moe2746,243430.0,H,United States of America,,R,742.0,3.0,Fort Lauderdale,1-432-824-7248
NewPage Holding,66.0,2.0,5.0,M,2791607.0,WV,2682 lumber park,M,Keelia,CARRMTCE,V6M 1V3,CAR2747,498209.0,,United States of America,,O,529.0,3.0,Santa Fe,1-531-493-0202
Ferrellgas Partners,61.0,,3.0,M,1102255.0,VT,21380 DURANGO PARK,,Kathleen,Coldwell,27710,Col2748,481343.0,P,United States of America,,O,694.0,0.0,Seattle,1-502-962-0588
NTK Holdings,,5.0,2.0,M,1939152.0,Newfoundland,8974 courtland avenue,m,Ardella,Szkarlat,T5b 1j9,Szk2749,196094.0,E,United States of America,,O,300.0,8.0,Warren,1-537-717-3816
NYSE Euronext,56.0,,0.0,U,655068.0,MS,24950 sheppard lane,m,MADLIN,reade,m5g 1w9,rea2750,29162.0,,Canada,,O,694.0,8.0,Jersey City,1-996-248-8080
Warner Music Group,1.0,5.0,4.0,S,941611.0,MA,18513 vickers avenue,M,Bina,farrow,94511,far2751,,S,United States of America,Apt. 646,O,347.0,6.0,Riverside,1-478-137-6330
MasterCard,45.0,3.0,5.0,U,1824605.0,DE,4871 havenridge court,f,Sherman,Coleman,v6t 1u8,Col2752,289365.0,,Canada,,O,433.0,10.0,Minneapolis,1-673-178-8026
Boeing,89.0,5.0,0.0,S,271877.0,Ontario,8092 gibbes court,F,rozelle,Esposito,63146,Esp2753,468678.0,,Canada,,R,830.0,4.0,Las Cruces,1-457-010-6560
