prospect_AgeID,prospect_AddrL1,prospect_MiIni,prospect_NumCreCa,prospect_LN,prospect_Ph,prospect_NumC,prospect_NuCh,prospect_MaSta,prospect_Ag,prospect_CrRa,prospect_OORF,prospect_Em,prospect_NWo
Mnw5464,Llxkzmxctykohvirmqoxdgmdjbivsfkjbupzkjepfvjsjjda,g,5.0,Mnwuumgvniznwmhvlqjphb,1-969-268-0738,1.0,5.0,M,45.0,708.0,O,Black & Decker,3248346.0
Tfe5465,,,10.0,Tfeuopk,1-676-177-6465,1.0,5.0,D,84.0,785.0,O,Global Partners,3441222.0
Sgk5466,Aipjcvfdaxztfjxufep,j,0.0,Sgkbvulqm,1-671-327-8968,3.0,5.0,M,,591.0,U,,2156839.0
EWE5467,Lkfscxskigkuaccmvkldsyimfenhkimqrbddgxf,V,4.0,EWEPTAQONGAVXMRUONZPDKVBPFOA,1-430-910-8166,5.0,4.0,M,52.0,523.0,O,Electronic Arts,3461203.0
Arc5468,nnckmholcxhicvdhfxhqhuxgyghziivjsaqumvoorotalwfvwomxnh,P,10.0,Arcpoybdywqrnskzhsngygukssqhy,1-450-461-2920,3.0,4.0,M,21.0,449.0,,Zale,903386.0
ROL5469,Fzmgrxcpncksdxxtjeihvpvfcedbfnitbbtllvnakjeims,G,3.0,ROLAWKSHBNVK,1-895-884-6460,3.0,0.0,M,61.0,686.0,O,Verso Paper,1881111.0
HVP5470,LHVYCVUHSZ,I,1.0,HVPKUQORZAMDXAMAKSUGWK,,3.0,5.0,M,23.0,,R,Amphenol,2918297.0
FLO5471,arnijwygfpdkxfglklegofopqa,,3.0,FLOLGVHPKHIAWQHBROGPWWGSG,1-941-822-5380,5.0,3.0,,36.0,438.0,O,Xilinx,1299540.0
kgx5472,Kdbvumqrxvlwwqzvjfdzjulpxownnamjomdhfxqpovqnkeyquaprqtikiojqqz,o,2.0,kgxawugzinmyzufihcenwlwxnzgoi,1-231-670-2346,3.0,3.0,S,74.0,756.0,O,Las Vegas Sands,904932.0
Lss5473,bioxzzldtijoycuwjbpzzoetkofopmoyxlq,,0.0,Lsstuzheursbtwcnikjfghsi,1-780-727-9520,4.0,1.0,M,48.0,435.0,O,Cummins,2803070.0
tkz5474,gbaorykpgjzneimuxnjnpnhorrulbbnuhiuzortgerdkudyctvcmgugeunbvdmsvrrboaupdkpakouph,,3.0,tkzgeewhuzhxnvxbmjcq,1-493-921-2032,5.0,5.0,S,10.0,504.0,O,Aleris International,3275913.0
fes5475,Ldndcngbdadb,,9.0,feswbpssbrbgj,1-661-841-4168,2.0,1.0,M,23.0,743.0,U,Guess,429634.0
UCC5476,Hdusxjkjqqjwpqccvpjsmafzjeoralpcqsabcgcimvmajrctnikljn,R,2.0,UCCXYYIZSOBEZTRDCGBRYGI,1-711-635-6344,0.0,1.0,M,24.0,612.0,O,Barnes & Noble,2316804.0
Jxq5477,Mxhkvyeesejyvgjlrmefgmrxeainnuftmmyaliepbgvv,,7.0,Jxqmowhhieb,1-846-319-8451,0.0,2.0,M,79.0,710.0,O,New Jersey Resources,1249601.0
LBG5478,Mnnuoqjuxoxf,z,3.0,LBGMRGHHETNDJXZQWJTPLRPQCTB,1-362-691-4085,,0.0,S,16.0,848.0,R,Complete Production Services,997792.0
Nzb5479,Jiwkg,,6.0,Nzbqrfwffyabqmtqqaploq,1-535-786-8538,4.0,4.0,M,70.0,824.0,O,Monsanto,3242507.0
Kqq5480,Rxxjjyhpzwfsrjzsqxeznizm,K,1.0,Kqqkzmxqpf,1-394-755-8641,1.0,0.0,W,87.0,715.0,O,Atlas America,2996279.0
MGV5481,Pfyyfuklbhngtlcmktbdqdxpsvztyzxreooluxeywqtsbmqqzkzmlshzjx,,2.0,MGVPTLHTFIPN,1-932-466-9231,,4.0,M,87.0,619.0,O,Administaff,640119.0
ipp5482,QSPKEJPVBVYUMSQFXRNRWTGQJBCIPLCSSBUPHFHIECBCXFIKJJSOQKQCLKOIMX,h,9.0,ipppssaskzfywezasnfpe,1-761-618-2557,4.0,1.0,S,81.0,707.0,,Hormel Foods,2937555.0
EAT5483,DPSAUKYVZQXHWXZEULTVUHBD,C,5.0,EATKSIHRWKPBKJYYFRS,1-237-132-2297,2.0,3.0,W,14.0,586.0,O,Pride International,2669221.0
Czc5484,ibwcocpuciuzdxmdzgarzuujvgesjyvliepdosmxkufwgbjexhkjsokihgrzqewwcdrjexbd,,4.0,Czcmqdzmpdcfv,1-699-181-7048,5.0,2.0,S,42.0,,O,Molson Coors Brewing,3439467.0
Cnr5485,Vqifmdbkujpgsnvwwxyolny,v,1.0,Cnrolaurhgpkm,,1.0,2.0,U,55.0,788.0,O,W.R. Grace,2789746.0
Wto5486,Toimnaqyoyuezkryydarfyfuvykxfanuaz,k,7.0,Wtovfamdsgcwxthfhqhrcffoptzca,1-096-197-5713,0.0,0.0,W,30.0,730.0,O,NRG Energy,3680293.0
xvd5487,HFFMAGYEOGCDGOZIUMSEZDRFXZZVTJHLBEQLMUDSEKVRSOIL,D,7.0,xvdomznx,1-406-158-1976,4.0,4.0,M,98.0,361.0,O,Danaher,2554864.0
LGA5488,ftbyvl,,0.0,LGAQGTDTITFJVEVMJYGWMSS,1-784-938-3048,1.0,5.0,M,45.0,,,Freddie Mac,822209.0
Dlk5489,,,,Dlkesmxwlkrlucmvtbi,1-532-268-9015,0.0,1.0,M,9.0,722.0,R,WGL Holdings,2247565.0
ued5490,AVQTQTLEFGIVLCKPDYLYKWROKLBHWUIDPWWFNWSTAHNYPHICPQMEJCNJSIJTLTKTRB,K,8.0,uedplfxtuyckxtxg,1-747-212-1038,5.0,3.0,U,37.0,700.0,R,Polaris Industries,3380570.0
xio5491,ANJPEAWLMJOQJGHVKEF,,8.0,xiojmdsoaremrba,1-173-587-5646,3.0,,S,19.0,654.0,O,PolyOne,
Bbx5492,Qhqhnmdpzlqygmhfxnpgpsihpowinmgoavgongnbwlwwrrrobvmlqmqwcqqhwjnecy,w,6.0,Bbxcdcownfxe,,,4.0,M,,628.0,O,,2168077.0
Ozs5493,Dqsgcasdclawtrsomjdagiwwhfkkqtntdueyxpttaerqycrqjxppupkiuwovhrr,,0.0,Ozsoglmaddmammeksf,1-241-306-1419,2.0,1.0,M,28.0,461.0,O,McClatchy,2153242.0
Pdt5494,YDJASPAWIGRMSTCTKONXMGDBRFBEMONZMVHICFEDLVMHBQS,,1.0,Pdtojqdbmplzlr,1-260-602-8104,5.0,2.0,M,80.0,503.0,O,Steel Dynamics,
Akf5495,WAMCKCZZIXMO,H,5.0,Akfxonmszgxgfoe,1-775-868-0452,0.0,2.0,U,9.0,550.0,O,General Mills,3633201.0
ftm5496,Taommaqfcksnkwiuxttwtcrtticcoxgxgceiwlglmlkqthoyhnginrevhuujansvudvsz,V,5.0,ftmkyiydcmpx,1-886-214-2172,,2.0,S,37.0,736.0,O,,1174340.0
Tpx5497,Ovlrteqjtecpevezqypwyhubjstetvxdcpsfgqe,U,6.0,Tpxvndcymvwarlc,1-760-578-7594,2.0,4.0,S,88.0,,U,Symantec,3603859.0
KFT5498,LASVVRVHKUMLEPEHFCZTXAEEUCKPJZJXDRK,B,0.0,KFTFNBVAQGQKVDISGCD,1-188-235-6615,2.0,4.0,U,90.0,758.0,O,Reliance Steel & Aluminum,2993705.0
Fky5499,VLZSMTTXSLERIQLJONDQMRJERLIESMUNCFRRAFUCFOHK,R,1.0,Fkybluqtxqqiaa,1-077-540-2310,4.0,2.0,D,53.0,508.0,O,Complete Production Services,836666.0
FKK5500,Pjovmajdzydojnihlfjvwmupgdjuawobzadrylqaplghezgldfiqxdqfqidrieqkquh,,5.0,FKKLGPRNPHDBEFJEOCFBLOYVC,1-686-832-3823,0.0,1.0,S,88.0,687.0,O,Brinker International,93506.0
Vym5501,Jlazpqvzjhmmljwmghutrroewjcurrkojssohhhxaxqyltpqixfixjcudtqjy,,4.0,Vymenvqxr,1-877-259-0661,4.0,,D,61.0,761.0,,Apple,378998.0
PLZ5502,Ujaenwrcyul,,4.0,PLZZPJSETSO,1-284-825-2142,3.0,3.0,M,77.0,759.0,O,Walgreen,3382148.0
oyu5503,jwwehitfkluwmktf,H,6.0,oyubrbbjmopazrjtbiel,1-065-062-9425,3.0,3.0,W,37.0,418.0,O,Live Nation,965558.0
Hrl5504,,V,4.0,Hrlmgjrkaafygvfztghuqaedtnla,1-213-548-8406,5.0,1.0,M,93.0,430.0,O,Dominion Resources,1293257.0
Zol5505,Cpkxevcmoykfljdkjupipcvgittdsutfqcmdfjgfkqwfbrjntiymlrqotbbnpdoswfuen,,10.0,Zolyfpvtrhduipvsehlsesdmfm,1-357-060-5078,2.0,1.0,M,62.0,536.0,R,ArvinMeritor,681616.0
PUT5506,SCCQAYUXDMHWMNKBXPVVQTMEQWULKDMIOJUXYUQTVTBAVFNCHYRTZHMTEJZKCJL,E,2.0,PUTLWTQOEQJDBTTYKZJFZWIY,1-702-902-9459,,1.0,S,59.0,692.0,O,Spectra Energy,1145191.0
mwx5507,hivjlimdsxygydolfnvrscycbwqklckgtmcgviemgsnkqlotnvbdoocmxsjdybobkgluzrcwf,,7.0,mwxjqotnavpoexeh,1-589-083-8627,3.0,2.0,M,32.0,744.0,O,Kroger,1248514.0
Kct5508,Gbelqhellszpuozrdnuh,,1.0,Kctzsfgusoivdrryeroqwrbbkw,1-345-947-3435,5.0,1.0,M,65.0,647.0,O,Radian Group,1403092.0
bcf5509,WDDRVRAUILFUXBHDPNS,,5.0,bcfynvekbmfn,,0.0,3.0,M,64.0,619.0,U,AES,3902074.0
Liq5510,mtsenhthllzjrqmuujzfwnfavmbwmshhghkbpbmhwoixujlxbuxutofiqnostktahiukqvdbam,,4.0,Liqdwycikyeum,1-142-880-9619,2.0,2.0,M,25.0,789.0,R,Popular,3168726.0
KMG5511,Uygkjosdlacdxbrzssqgzddminxrljthowoezhjknlldfsyuegcdywgknhmryikwdttrkrczlxrkn,,6.0,KMGHVGKKQAPIZCCLOATNQ,1-794-388-2477,1.0,3.0,U,63.0,475.0,R,Anixter International,3913954.0
Rnt5512,Lojwtcfxy,L,10.0,Rntjolshfzlivlgcvocrckkntijh,1-595-382-8872,3.0,0.0,M,19.0,305.0,O,Valspar,3142412.0
Tvf5513,xiczvypyfchhogygohxu,M,1.0,Tvfctqcuqp,1-954-888-0105,5.0,1.0,D,24.0,760.0,O,UGI,
FDD5514,Nqyduftjzffxaksfekjptccaaehhqdmxmnianboklwgbyoistquwaqianfokfkqbwdtxuxhodx,,9.0,FDDAWANDPTUD,1-850-009-5591,1.0,3.0,U,56.0,565.0,O,Danaher,3810936.0
Oih5515,Jdwdrhbvkocggqitigivkgtgklwfjrbbzdghiuc,Z,7.0,Oihnpfinammyaks,1-550-309-3186,0.0,4.0,W,68.0,508.0,O,Thomas & Betts,715063.0
Peq5516,TXSSTBWJUFLIGKIPTAYBUJZGGCNXBXBGFMTHDNUKBQFAKJBFCQIIWQ,,6.0,Peqzzkomqqlbqvmklq,1-724-579-3042,0.0,3.0,M,7.0,672.0,O,Energy Future Holdings,3472931.0
EHN5517,Trufycracsno,H,9.0,EHNAEQPAEVRFMVI,1-063-639-5359,0.0,0.0,S,87.0,350.0,O,Service Enterprise Group,3036299.0
Qub5518,LKVGZHEEUJDQFFJMHNEWPBEPKCBQJPKSGXACWETHQXEJJSXMNKFLOEMEC,K,7.0,Qubnp,1-140-829-6375,3.0,3.0,,75.0,527.0,R,Hubbell,2714666.0
STA5519,HBDTJHHIACXYAASUVJNRBWXHJHNEYQFVKRZARMPYEUAJUKIU,O,7.0,STADPH,1-815-117-5573,0.0,2.0,M,31.0,,O,Quest Diagnostics,3027823.0
ixb5520,lgcclznzfktjcqivsdssqnxuvieblwcbgzmjefjouccypdgvsogagisj,L,10.0,ixbytiithngwbodiknxcdhboysi,1-301-463-5117,3.0,4.0,W,38.0,404.0,O,Wesco International,2525050.0
Uvi5521,WSMOTMUHVISGWBCNMHDCALSDVUECL,B,7.0,Uvitzbkjhrgnrdmcnorcyrhwra,1-340-406-2327,2.0,2.0,S,5.0,,,Stater Bros. Holdings,1237488.0
CPY5522,clswwbztjvktlwnukdfrwdtizjpetunnaxhymyswrteydgqbapsqdhzwdkurdglfsohjtutvsytdlu,,7.0,CPYEXNKVOHYMETDWPSGJTFNG,1-122-711-4160,5.0,5.0,M,5.0,555.0,O,Terex,1774557.0
vwn5523,Ulshbbkxnhmtdiudewbgrwcuxnwmtxrvyugeaklcbiykshdbguwiiuneoybxm,K,10.0,vwnaf,1-956-318-5098,5.0,4.0,U,69.0,490.0,O,Vishay Intertechnology,2304038.0
opw5524,fawsjgdqntbrxybcaacysxmoptwnelbiuumuynzusbcedaupmmingskblqemwzudfaiahkxf,k,0.0,opwultalfqflbdluydifkiujfsiwh,1-152-212-8127,4.0,0.0,S,15.0,579.0,O,PepsiCo,2004129.0
nqw5525,buieebxdrnudukvssvswhskcjshvlbqbjlhqccachhkrngocsetlsxzhjurk,,10.0,nqwtflvleyhqmuvhv,1-215-933-6898,5.0,1.0,U,76.0,697.0,O,Kindred Healthcare,3583711.0
Acc5526,PBMFCLIGHANJQHBKMBIBTUIMHJSTGWRFDRHPWVMYLNRMYAHIYFRBORMX,A,2.0,Accdojwqpvaqptwmsduuqxnq,,2.0,3.0,W,69.0,789.0,O,Guess,3558529.0
fgq5527,djpjwtvcwdipvpvlrblqbtsztvoodgmhvbzhbbwou,,9.0,fgqobivlqixcfrlexormksyj,1-532-611-0375,3.0,5.0,W,7.0,453.0,O,Rent A Center,882017.0
Dlu5528,xsgbrxlttpqmxrljfszbjdlvsfbbxmldlgxtmlrwtnuzhzyohlchnsrutsgmbrency,G,3.0,Dlumpsgkridvwgcqieshhwggodiwq,1-027-486-1390,5.0,5.0,M,24.0,377.0,U,Northern Trust Corp.,1350339.0
Aco5529,Znhpxrvsmicmtpwlxigsjaxbifqauwcdulqwpohlowcljsbetccxznkjtrg,,1.0,Acoeyjppdjeonwzfikdsryanqmudcz,1-438-441-2310,4.0,,D,65.0,620.0,R,Wells Fargo,3913162.0
Thv5530,zbswgcnlyjsxiqgejkmgrhvqcaslppihmuwewtdrchknjtzrdjffkjtdcfjwrdmu,,10.0,Thvmzrh,1-822-962-2293,5.0,2.0,,69.0,429.0,O,Marriott International,
Teh5531,Eysdjhcywamhidhsrfsnbuvinxcbknqcucbubjllchqemfwjklwxfxhyxprnlhhxwrjdc,p,0.0,Tehayzv,1-417-000-8459,4.0,5.0,M,,733.0,R,,2398862.0
XQE5532,uwwmojuhfjzyakgndptsfzdawnmbwsautdycukpobguauomdjdsmqfbrylvoptffpmhrcnmviamkrplc,,8.0,XQEHSBIPZ,1-189-515-0158,5.0,3.0,S,83.0,,O,Bed Bath & Beyond,3309699.0
FHS5533,Iltmfjvihpmmuhmjxuxxtpyiecqufucfrotkbxdhmsgspgipblgpoaleyfi,,1.0,FHSGWFDLBAVPOGWRVSPFTE,1-240-127-8754,3.0,2.0,S,100.0,769.0,O,Exide Technologies,2041694.0
Jmp5534,ESGMGZARWICBUDTLVWGXTDSRGNCGNEUKNBIUJKNNYGOZHDXVTJACUPFUJBDEHBHKNTXPAR,H,1.0,Jmpfxyydxcslggzdpmxi,,3.0,4.0,S,17.0,369.0,O,Brookdale Senior Living,3978862.0
COY5535,Srmsaxdzwddtmrslooblffectxvetbipcgrgqodnjwwpmhhh,n,3.0,COYFJRNSBSROUS,1-351-006-4701,4.0,4.0,U,88.0,330.0,O,Leggett & Platt,3624524.0
Pct5536,VEQNCECMEIQBQMQSGBPNKSARCFPBEYHNPGYNLPBXB,C,6.0,Pctqfwkvjonawryabdzol,1-429-993-8078,3.0,5.0,M,74.0,482.0,R,General Mills,1934481.0
JFL5537,Eostgsoguljkrnimftcmaxxtermezaklcmpljrfvupaqbxdrsfhryvtjpjhlcpb,,,JFLVXHOLJMJKGPTYJWPJSLGVK,1-987-231-0268,0.0,3.0,M,93.0,771.0,O,Qwest Communications,2018828.0
OHA5538,Vunqaqfaqpzsuouhnuaazigitqxesnahpzbhxgnkadkcjcvqtngcceffyywdltsytenqvgibyfgzx,E,1.0,OHAHMJ,1-762-124-1161,2.0,5.0,U,8.0,392.0,R,,3201161.0
rul5539,Pgyozeocunxkxdejjrirhokiukydghknmmyrwkyxgggnvayznvhdjeblnprhhgwaannsmm,N,4.0,rulfddeisfeqmohtjiwswxqs,1-875-460-7357,0.0,0.0,U,44.0,688.0,O,,1244782.0
Vsf5540,Hfbck,R,4.0,Vsfhrbqznsshem,1-774-181-3475,4.0,4.0,S,76.0,460.0,R,Cardinal Health,3025736.0
tzl5541,Rtacmsihhltkvybblgaoq,e,3.0,tzldvlfuhebugxn,1-618-946-0312,5.0,5.0,S,31.0,633.0,O,Advanced Micro Devices,1044942.0
CWU5542,mlufg,,7.0,CWUUWSXHAPNLONRRRSPWFFF,1-987-134-2150,3.0,0.0,U,98.0,588.0,O,Conseco,1257286.0
FAI5543,Ggolrbiojcgkrqjkknxsdpvpnycyfekrttmnrcndbiogpuhfyzboqguztwpcncfnjboypp,m,10.0,FAIFUWNW,1-318-442-6422,4.0,2.0,S,43.0,476.0,,Northern Trust Corp.,828939.0
mnk5544,CATJSOEOHUPQSQEFMLB,,,mnkni,1-258-700-0495,3.0,3.0,U,24.0,832.0,U,Masco,1115250.0
Mpx5545,Eienmhhmzpcquxdeataontjhholzpnkejvmnoijhzaebdqfpsidhv,,7.0,Mpxrdfoklfdnteuvcrgftdahjlk,1-360-928-9412,3.0,2.0,M,43.0,,O,,3115776.0
Jvi5546,,,4.0,Jvioahrxlr,1-304-971-5199,4.0,3.0,U,5.0,474.0,O,RPM International,3825800.0
Erc5547,xjhzqqzjetrwrdwakqxuhhzbccfokk,L,7.0,Ercdogtrkipqavxz,1-721-616-7345,0.0,4.0,M,9.0,473.0,O,Vornado Realty Trust,129448.0
bcl5548,Pozahynogwadegnhlvkjovdxjscmwzmhpdhffqgtgkrhcxmzybgbqdeokeigpapddrftrxkgaec,,8.0,bcljzqbrmhxexfent,1-300-478-6565,4.0,5.0,M,24.0,720.0,O,Abbott Laboratories,2544843.0
Gfq5549,EPRPRWSGRSQBMWTLWZZLBVEMQBDRCNTXICBQOUSMVAHAHGJIGGIXMVSDLK,,7.0,Gfqhkyjbwvchxnezgrbhrzbobi,1-037-901-7788,3.0,1.0,M,20.0,396.0,O,Questar,2188910.0
Whn5550,Fytdbgbxlgmsbwfinvgxdoscaotzixlavktukbiwhyqoiaeogbfaqitv,,0.0,Whnueaxnuwu,1-612-163-4801,4.0,5.0,U,20.0,360.0,,Black & Decker,2513129.0
Mcl5551,Fskrommjcqjkodz,,3.0,Mclurdsmjirewkckr,1-253-162-3690,1.0,4.0,S,80.0,491.0,O,MPS Group,2961107.0
Qfl5552,Nlnsjnuuosdxgsqkpjqqfrbvaobgugybmsyyltpcjffdkpxsthbwrkaomyoprm,V,2.0,Qflfhssjigufiqfqnhhbaieknpefh,1-182-176-3945,3.0,4.0,D,51.0,539.0,O,Whirlpool,1444988.0
Cbq5553,Kjcenhtoffcykxfqlvwpvslnpsurwipuccbldmhkeokfswgnuivizivlrnfaxmtaguudduujak,r,6.0,Cbqgebzmgbll,1-814-917-5301,1.0,2.0,M,12.0,747.0,U,,2696032.0
QYC5554,xccxoknxmtkxuaybnnqlrhdmmozytguyxcpiyrnnuieqcyqxd,a,0.0,QYCJWW,1-047-012-4498,2.0,3.0,D,21.0,703.0,R,R.H. Donnelley,1732556.0
OUY5555,FUNVTPTEOKCOMBSZNHRFIFDEZUQDFVGBXPWVMXBWGCYJSOSPZJHCMWYEXKJPCTVTUIUTQQWRKQKKK,k,3.0,OUYRPUETTZMLNYUWUVBUFCMPFY,1-596-739-8734,1.0,0.0,M,40.0,567.0,O,Manitowoc,801314.0
nsc5556,tcwxthdojwyqynjvunrxiowyuonuoplj,,5.0,nsclwgqxxgccxi,1-962-132-6835,,5.0,M,96.0,404.0,O,American Axle & Manufacturing,1081657.0
Ltw5557,Zhwhszeawcreuh,P,2.0,Ltwktxyypxkglphwqsjkdhpsvn,1-379-690-1663,2.0,0.0,M,75.0,444.0,R,Volt Information Sciences,
ZUW5558,Zwxnjjvpugsdbsqfnxvylotvotaddfrnohxjkdikmpcasonj,,7.0,ZUWUGAOEM,1-940-059-4117,3.0,5.0,U,,598.0,O,Robert Half International,379013.0
Qnf5559,Cbbmgdfhvjpiwkwyd,,8.0,Qnftpmqtkgp,1-410-710-1983,2.0,0.0,M,73.0,799.0,O,Jones Lang LaSalle,3365660.0
Amu5560,Djlxnmpuqnjqhudepmfxjvxcjkqchxmumcvrxtcqjrodaobqarvf,h,3.0,Amuiwbhhzrqzvio,1-801-389-2055,0.0,4.0,U,,337.0,O,Markel,2335207.0
THT5561,Hdvbhsth,N,3.0,THTNVCCSOVGBUH,1-653-088-0067,5.0,1.0,S,89.0,688.0,O,Holly,2888082.0
Nuj5562,Cdguoctfawochcppbjymwuazgmoajmwqiot,P,6.0,Nujkpizlqsedk,1-971-997-6520,4.0,3.0,M,59.0,735.0,O,Dover,3610589.0
ynj5563,skutiprnmg,C,0.0,ynjneirojnfjarol,1-879-444-6890,4.0,0.0,D,1.0,544.0,O,Nationwide,2175165.0
Erq5564,,,1.0,Erqegprhyojfegbee,1-581-508-4041,0.0,1.0,S,27.0,399.0,O,National Life Group,85711.0
ifm5565,Wcdgicmisyvlrpzxggcdnoyhdofrwaipl,w,1.0,ifmourrrocqalcejpyels,1-580-913-4061,4.0,0.0,M,23.0,442.0,R,Manitowoc,106276.0
YLE5566,RUZRCUTVMNQUTOFZBWZEKBUOUINHKHON,,1.0,YLELJ,1-692-891-6387,0.0,5.0,W,11.0,453.0,O,Mueller Water Products,726121.0
syj5567,Vjldkhghfnfkhoyqnfgwlpjtsssskemldpsbwbftyogrmgiqppovn,,,syjkmgwgokjbwsrniiuekii,1-974-835-6684,0.0,5.0,U,29.0,758.0,O,Allegheny Technologies,
NXN5568,LPMAAMYOUZEYYOSZRAFBOSUSGQOZWQCNXCKCZLHNEKUEF,,,NXNUBRNVKUCNSUIKNVTWOIES,1-619-393-9880,0.0,2.0,M,53.0,369.0,O,Brown-Forman,2054953.0
Ipg5569,Xcugqipmebdnwbmrwnvbgzohthusemgqyifefrmq,J,0.0,Ipglwehzzssqu,1-640-642-3483,1.0,3.0,U,,352.0,U,Source Interlink Cos.,1656079.0
AWA5570,WZUUDYQFVGQUWXPDNGQCSPRUEFUHVGNUURQPIPLE,,10.0,AWAUV,1-565-349-6629,1.0,5.0,W,39.0,635.0,O,Kindred Healthcare,2246497.0
Veg5571,xhajvmoktgwl,d,7.0,Vegieakmpwbueusuiwqfkowsqvqglh,,3.0,5.0,W,86.0,729.0,,Crosstex Energy,3332629.0
Qju5572,kbpqhjgqhdibsfkymxxapee,K,3.0,Qjuhqjlsbbyyomqpivebg,1-463-309-1948,4.0,2.0,S,75.0,764.0,R,Northwestern Mutual,2397452.0
Azt5573,Acqowsendxzohnqswujnrlxiufagmhmtmglaijpzmrdndfwqaeenro,a,4.0,Aztrpzkjt,1-368-177-5600,4.0,3.0,M,59.0,573.0,O,Hertz Global Holdings,2010843.0
JLX5574,GZYXWJSHVKJAVIBQWNGXTBPZSUIJTBXROLWQGHVKJKVHZUQHGKNGID,H,8.0,JLXNYJUEPMMCBBSSIJFBHVMF,1-509-800-2763,3.0,4.0,U,75.0,492.0,O,McGraw-Hill,793054.0
Pjm5575,txqikgilleimaagxwadltqykobcyangvfngwyrdkxgesdknwsiinusdunuctvzrgsy,Z,6.0,Pjmhdmdaf,1-235-685-4618,3.0,3.0,U,74.0,460.0,R,Shaw Group,2719611.0
ldt5576,NBQDYSFYHJIANHAPABVZJQLUAKSB,O,6.0,ldtizwxcrzjgtb,1-894-682-8604,2.0,4.0,S,54.0,,O,Bank of New York Mellon Corp.,2283822.0
RHO5577,Mdwcieehlfznzcohurjftzhfozzhtlhiwxdkhtfedzzuvpzopazjokhbtswgcpioccvqzztrrawbukfg,,7.0,RHOMYGSAWSXMHOFMWBSFCFECUCXE,1-063-353-8805,0.0,2.0,S,88.0,448.0,O,United Technologies,3483834.0
cjg5578,pqjhnprktgdsgafoucbgqtaqgqcl,,5.0,cjgpcnjkpjwpa,1-829-133-7673,3.0,,M,4.0,834.0,U,Discovery Communications,3758649.0
qbz5579,Mgsnzo,,10.0,qbzzctpnfmhpxgzbgqoqbaz,1-975-023-9035,3.0,0.0,M,97.0,599.0,O,Silgan Holdings,1108005.0
ipg5580,Kocglrsvfikprzmixjnpacquegyuvumyexfsjrqsmnxidhasxdm,,9.0,ipgntnvfan,1-421-632-1869,3.0,1.0,M,,546.0,U,Donaldson,3254563.0
Noa5581,Qxcninnbndclvumgtvdgchrtxxsgkitpkhbapfgvnfjsawcltuggvidxjldjqrdeomwmv,B,0.0,Noaghkwelwrytqhffigqkottbgzehb,1-357-277-3778,5.0,3.0,W,17.0,338.0,O,Discover Financial Services,1314408.0
MHX5582,msxksukkztowcrsjmjatrqmihrnmskhoehyapbnzzvfupallyzcmbp,v,3.0,MHXFYWOQNNWQCJMFGLIIMUOYFAM,1-894-724-2381,,2.0,M,83.0,729.0,O,Avis Budget Group,1687481.0
Ird5583,Oxnlexut,,4.0,Irdwcdddxmpeqqfpqh,1-529-632-5918,,5.0,W,26.0,711.0,O,Williams-Sonoma,2503779.0
Syk5584,Kicybwhvvsldollouaigvaitnbgnhojpwpixuscmdxytbfaaiusisdmabzrriaaogu,Z,6.0,Sykwftsfddxhxquhjejetutrq,1-636-602-5096,4.0,0.0,,72.0,305.0,O,Sally Beauty Holdings,40913.0
SHY5585,Wtfvgoavfiokdresrnkdvapjzzkorb,N,,SHYEAXWAJBKBVYQRXQLCIBNKJ,1-438-012-5927,3.0,3.0,M,18.0,756.0,O,Fannie Mae,1608918.0
Jfs5586,,q,3.0,Jfsupnzabribqktqltstlplkhi,1-527-610-8137,5.0,3.0,U,,714.0,O,,3228469.0
Wfp5587,rmpceshoulhuvfwcbn,M,7.0,Wfpswaizlstcokrnptdqkjt,1-462-144-9590,4.0,0.0,S,26.0,767.0,O,US Oncology Holdings,1633706.0
Auh5588,ucuikxzlusglsidfzyzxcihqvcknwdzovakxphfreponoamelccvrdpxs,T,0.0,Auhxgncolnyzocrjzzjrtaxudg,1-114-953-8752,0.0,4.0,M,14.0,763.0,O,Domtar,1692218.0
Vhi5589,WAPUSAVODOGCQOYUQSQNUGGFLMPT,S,8.0,Vhiigiesnby,1-116-201-4882,0.0,0.0,,73.0,585.0,O,Air Products & Chemicals,3865120.0
Hjw5590,Aybfhzivvsfwfnfdlqjzkrowbwbkbnglskpcjiiuurssnwrmbniirvychtnmlqsbbtjqfabjgo,G,8.0,Hjwkryhhce,1-377-967-0410,2.0,0.0,S,79.0,744.0,U,Covance,1330273.0
fln5591,Nqylpqvpkibpcasdwkssdxntdgqgakmhprmedauqpoljuryzqragitqnxzn,,10.0,flncghqkngupbn,1-607-172-7204,2.0,3.0,M,56.0,450.0,R,Expeditors International,3542132.0
Tav5592,Rawvbujhbsfrrxadaxppkdnqdojvuyvwjwwtsrwhnrkxqrmdkojtqjbrvbjbftpwgtnmvltwio,,6.0,Tavqwth,1-313-731-1801,4.0,2.0,D,47.0,423.0,O,NiSource,212410.0
zdt5593,Zmriqkoondifvjkgdeioleljklowpsanhbtnkgdxkjtevkqzfkwnkmvvtxpdnlnojjlktskvzndh,h,10.0,zdtpenq,1-736-003-3610,4.0,1.0,S,35.0,596.0,,International Game Technology,3952024.0
Myd5594,FWYDWXETVBWIUJZSGRHXWBCLBDWWFXNUXHUIKIGXAZPLSKMNAY,S,3.0,Mydfhvymcor,,1.0,2.0,W,10.0,595.0,O,Kennametal,251593.0
